GEN.1.1	Kuwaripatjara mulapa Godalu ilkaṟi munu manta palyaṉu uwankara wiyangka. 
EST.9.1+EST.9.2+EST.9.3+EST.9.4+EST.9.5+EST.9.6+EST.9.7+EST.9.8+EST.9.9+EST.9.10+EST.9.11+EST.9.12+EST.9.13+EST.9.14+EST.9.15+EST.9.16+EST.9.17+EST.9.18+EST.9.19+EST.9.20+EST.9.21+EST.9.22+EST.9.23+EST.9.24+EST.9.25+EST.9.26+EST.9.27+EST.9.28+EST.9.29+EST.9.30+EST.9.31+EST.9.32	Ka palula maḻangka Jew panya tjuṯa puḻkaṟa pukuḻaringu munuya ngura winkingka mai puḻka palyaṟa tjunguringkula ngalkuningi. Munuyanku kutjupa kutjupa tjuṯa mantjiṟa kutjungku kutjungku ngapartji-ngapartjingku ungangi pukuḻarira.
EST.9.1+EST.9.2+EST.9.3+EST.9.4+EST.9.5+EST.9.6+EST.9.7+EST.9.8+EST.9.9+EST.9.10+EST.9.11+EST.9.12+EST.9.13+EST.9.14+EST.9.15+EST.9.16+EST.9.17+EST.9.18+EST.9.19+EST.9.20+EST.9.21+EST.9.22+EST.9.23+EST.9.24+EST.9.25+EST.9.26+EST.9.27+EST.9.28+EST.9.29+EST.9.30+EST.9.31+EST.9.32	Munuya palulanguṟu yiya kutjupa yiya kutjupa tjiṉṯu panya paluṟu wirkankunyangka mai puḻka palyaṟa ngalkupai aṟa panya palunya kulintjikitjangku.
EST.10.1+EST.10.2+EST.10.3	Ka mayatja panya puḻkangku Mutukainya mayatja tjunu palula itingka mayatja nyinanytjaku. Kaya Jew tjuṯangku pukuḻarira Mutukainya wangaṉarangku kulilpai, panya Estherlu pula kuṯaṟarangku tjananya mayatjangka anga-wangkara wankakutuṉu.
PRO.1.1	Tjukurpa nyanganpa Israelku mayatjangku walkatjunu panya Davidaku katjangku wati ini Tjalamantu. 
PRO.1.2	Ka tjukurpa nyanga paluṟu tjana nyuranya nintini kuliṟa ninti puḻkaringkunytjaku, ka nyura nintiringkunytjatjanungku tjukurpa kumpilpa ngaṟanytja tjuṯalta uti kulilku munu kuliṟa wangaṉarangkulta palyalku. Munu palulanguṟu kutjupa tjuṯangku nyurala wangkara nintinnyangka nyura nintingku tjukaṟurungku kulilku. 
PRO.1.3	Munu nyura tjukurpa nyanga palumpa tjanampa nintiringkunytjatjanungku kulilku palyanyku nyinanytjikitjangku. Munu nyura kulilku aṉangu uwankaraku palu puṟunytjuṯu tjukaṟurungku palyantjikitjangku kutjupa tjuṯaku kuḻu.
PRO.1.4	Uwa, tjukurpa nyanga palula tjanalanguṟu aṉangu ngurpa-ngurpa tjuṯa nintiringkuku ninti puḻka nyinanytjikitja. Ka wati yangupala kungkawaṟa tjuṯa kuḻu nintiringkuku, munuya palulanguṟu nintiringkunytjatjanungku kuliṟa tjukaṟurungku ngurkantankuku palyanyku nyinanytjikitjangku. 
PRO.1.5	Kaya uti aṉangu nintipuka tjuṯangku kuḻu tjukurpa nyanganpa kuliṟa nintiringama munuya nyara palulanguṟu ninti puḻka mularariku. Panya tjana tjukaṟurungku palyantjikitja mukuringkula tjukurpa nyanganpa kuliṟampa tjukaṟurungku ngurkantankuku. 
PRO.1.6	Munu aṉangu nintipukangku tjanala tjukurpa aṟa kutjupatjara wangkanyangka tjana uti kulilku.
PRO.1.7	Palu kulilaya! Nyura ninti puḻkaringkunytjikitja mukuringkula Mayatja Godanya-waraṟa waḻkunma munuya palula wangaṉarangku kulinma. Nyara palulanguṟu kutju nyura ninti puḻkaringkuku. Palu panya aṉangu kawakawa tjuṯa ninti puḻkaringkunytjikitja mukuringkunytja wiya munuya kuraringkupai kutjupangku tjananya nintinnyangka.
PRO.3.11	Kulila! Mayatja Godalu nyuntunya tjitji puṟunypa tjukaṟurulpai palulawanu nyinanytjaku, kan uti palula wangaṉarangku kulinma panya paluṟu nyuntunya ngunti palyannyangka pailpai. Uti nyuntu kuranguṟu painnyangka kuliṟa tjituṟu-tjituṟurinytja wiyangku wantima. 
PRO.3.12	Panya paluṟu puḻkaṟa mukuringkupai palumpa katja uṉṯalpa tjuṯaku, munu pala palulanguṟu tjananya tjukaṟurulpai munu kuraringkunyangka tjananya pungkupa tjana tjukaṟuru nyinanytja-tjiratjangku. 
PRO.11.1	Nyura aṉangu kutjupangka kutjupa kutjupa ngunti tjalamilannyangka Godanya puḻkaṟa mirpaṉaripai, palu paluṟu pukuḻaripai nyura tjukaṟurungku tjalamilannyangka mani nampa ngunti katuntja wiyangku. 
PRO.12.1	Tjinguṟu kutjupangku nyuranya wangkara tjukaṟurunnyangka kulintjatjanu nyura ninti puḻka nyinama, palu tjinguṟu nyura kulintja wiyangku wantirampa kawakawa alatjiṯu nyinaku. 
PRO.19.18	Tjitji tjuṯaya kura palyannyangka nyakula wangkara tjukaṟurunma paluṟu tjana nintiringkula palya nyinanytjaku. Palu nyura tjukaṟuruntja wiyangku wantirampa nyura alatjiṯu tjananya wantir'iyaṉi tjana puṯu kuliṟa ma-kuraringkunytjaku munu ilunytjaku. 
PRO.20.1	Aṉangu wama tjikiṟa taṟangkarira kawakawaringkupai munu puḻkaṟa mirpaṉarira aṉangu tjuṯa kuralpai alatjiṯu. Kaya palula-tawara wama tjikiṟa taṟangkariwiyangku wantima aṉangu kutjupa tjuṯa tjituṟu-tjituṟurinytjaku-tawara. 
PRO.20.6	Aṉangu tjuṯangkuya wangkapai, “Ngayuku mulamulariwa panya ngaylu kalkuntjatjanungku palyalpai alatjiṯu.” Palu alatji wangkanyangkaya kuliṟa mapalku mulamularingkuwiyangku wantima, panya tjana unytjungku kutju wangkapai mulamulangku wiya, palu aṉangu maṉkurtu kutju kalkuntjatjaungku tjukaṟurungku palyalpai. 
PRO.20.13	Tjinguṟu nyura waṟka wiya rawa kunkunpa ngarira paḻtjatjiratjariku. Palu nyura kunkunpa wiyangku waṟka kutjupa kutjupa tjuṯa palyaṟampa mani mantjiṟa mai puḻkatjara nyinaku paḻtja alatjiṯu. 
PRO.21.13	Nyura tjinguṟu ngaḻṯutjara tjuṯa alpamilantja wiyangku wantinyi tjana mukuringkula ngatjinnyangka, ka palu puṟunypaṯu ngula nyura mukuringkula ngatjinnyangka tjana ngapartji nyurampa ngaḻṯuringkunytja wiyangkuṯu wantiku. 
PRO.22.6	Tjitjiyanku kuḻunypalpi wiṟuṟa nintinma palyanyku nyinanytjaku, ka paluṟu tjana ngula puḻkaringkula kulilku panya palunya tjananya nyura tjukutjukulpi nintintjitja munuya wiṟuṟalta nyinaku tiṯutjara. 
PRO.22.24+PRO.22.25	Uti nyura maḻpa mularku mukuringama munu aṉangu mirpaṉtju maḻpa palyantja wiyangku wantima nyura palu puṟunyarinytjaku-tawara. Tjinguṟu nyura palula tjunguringkula palu puṟunyariku munu nyura aṉangu tjuṯaku puṯu kalypa nyinaku, ka palulanguṟu kura tiṯutjara nyurala ngaṟakatima. 
PRO.23.4+PRO.23.5	Purkaṟangkuya kulinma, panya aṉangu kutjupa tjuṯa puḻkaṟa rawa waṟkaripai mani puḻka mantjintjikitja. Palu nyura pina aḻangku kuliṟa alatji palyantja wiyangku wantima, panya nyura mani puḻka mantjinnyangka mani pala paluṟu mapalku wiyaringkupai, panya waḻawuru mapalku parpakaṟa ankupai, palu puṟunypa. 
PRO.23.11	Purkaṟangkuya kuliṟa nintiringama kutjupangku nyuranya wangkara nintinnyangka. 
PRO.23.13	Watarkurinytja wiyangkuya tjitji nyurampa rawangku tjukaṟurunma tjana kurannyangkampa. Munuya tjananya pungkula nintinma panya paluṟu tjana pungkunyangka ilunytja wiya nintiringkuku kuliṟa, “Munta-uwa, nganaṉanya tjukaṟuruṉi.” 
PRO.23.22	Utiya nyurampa mama tjuṯangka wangaṉarangku kulinma. Tjinguṟu nyura tjanala wiyangkampa nyinanytja wiya ngaṟama. Munuyanku ngunytju tjuṯa kuḻu pamparingkunyangka aṯunymaṟa kanyinma wantinytja wiyangku. 
EZK.3.1+EZK.3.2+EZK.3.3+EZK.3.4	Palulanguṟuṉi wangkangu, “Kuwariṉanta unganyi nyiri nyangatja, ka nyuntu mantjiṟa ngalkula.” Munuṉi mulapaṯu nyiri ungu kaṉa ngalkunu. Ka mayu panya wiṟu mulapa tjuwita tjaḻa puṟunypa.
EZK.3.1+EZK.3.2+EZK.3.3+EZK.3.4	Munuṉi piṟuku wangkangu, “Kuwari Israelkunu tjuṯakutu ara munu tjanala tjakultjura ngayulu kuwari nyuntunya wangkanytjitja. 
EZK.3.5+EZK.3.6	Aṉangu ngura kutjupa-pitja tjuṯa nyinanyi ngura kutjupa tjuṯangka wangka kutjupa uti wiya. Tjinguṟuṉa nyuntunya tjanalakutu iyanma, kaya nyuntu ngayuku tjukurpa wangkanyangka wangaṉarangku kulinma. Palu wiya, ngayuluṉa tjanalakutu nyuntunya iyantja wiyangku wantinyi. Ngayulu nyuntunya iyaṉi nyuntumpa walytja tjuṯangka wangkanytjaku Israelkunu tjuṯangka. 
EZK.3.7	Palu paluṟu tjana nyuntula kulintja wiyangku wantiku. Panya tjana ngayunya kulintja wiyangku wantipai, palulanguṟuya nyuntunya kuḻu kulintja wiyaṯu. Uwa, Israelkunu tjuṯa apu tjuṯa kurunpa wituwitu alatjiṯu. 
EZK.3.8+EZK.3.9	Palu kulila! Ngayulu ngapartji nyuntunya kunpuṉi tjanala tungun-tungunpa ngaṟanytjaku, ka palulanguṟu tjana nyuntula tungunpungkunyangka nyuntu tjanampa nguḻuringkunytja wiyangku wantima. Kutjupa-aṟaya nyuntunya rawangku nyakula uṟa-kanyilku pungkunytjikitjangku, palu nyuntu tjanampa nguḻuringkunytja wiyangku wantima. Paluṟu tjana ngayunya tiṯutjarangku tungunpungkupai.” Alatji Mayatja Godalu ngayunya wangkangu.
EZK.3.10	Munuṉi piṟuku wangkangu like this, “Tjukurpa nyanga ngayulu kuwari nyuntunya wangkanytja puḻkaṟa kulila kurunpa winkingku. 
EZK.3.11	Munu ankula Israelkunu tjuṯangka tjakultjura nyuntumpa panya walytja tjuṯangka ngura nyanga Papilanta nyinanyangka. Tjanala wangka alatji, ‘Mayatja Godalu nyuranya wangkanyi.’ Kaya tjinguṟu nyuntunya wangaṉarangku kulilku tjinguṟu wiya, palu nyuntu tjanala ngayuku tjukurpa tjakultjura alatjiṯu.”
EZK.3.12	Ka palulanguṟu Godalu ngayunya waḻpa puḻkangka katuṉu munuṉi ngura kutjupakutu katingu. Kaṉa katungku katinyangka ngayula tjanangka kulinu wangka rurku puḻkangku wangkanyangka alatji, “Mayatja Godanya puḻkaṟa mirawaṉima witulya puḻka mulapa palumpa panya ngurangka nyinanyangka.” 
EZK.3.13	Uwa, rurku panya paluṟu puḻka mulapa, panya kutjupa-aṟa manta unngu puḻkaṟa uri-uripai, rurku palu puṟunypa. Palu rurku paluṟu panya nyaḻpitjara panya puḻka kutjara kutjara, panya paluṟu tjana nyaḻpi uri-uritjingaṟa kaputu-kaputu anangi ka nyaḻpi tjananku pampu-pampuṟa puḻkaṟa rurkuningi. Ka panya wiila kutjara kutjara palula tjanala itingka uriṟa kuḻu puḻkaṟa rurkuningi. 
EZK.3.14	Ka waḻpa puḻkangku ngayunya ma-katinyangkaṉa puḻkaṟa mirpanaringu, panya Mayatja Godalu ngayunya witiṟa katingi wantinytja wiyangku. 
EZK.3.15	Uwa, ka waḻpangku panyaṉi ngalya-katira ngalya-walatjunu ngura ini Tilapipala panya Israelkunu tjuṯaku ngurangka, karu ini Kapala itingka. Kaṉa ngura nyara palula puṯu kuli-kuliṟa nyinangi tjiṉṯu tjuṯa nampa nyangatja tjapanpa.
EZK.3.16	Palula maḻangka Godalu piṟuku ngayunya wangkangu alatji, 
EZK.3.17	“Ezekiel! Kuwariṉa nyuntunya tjunanyi Israelkunu tjuṯa ngaṟala aṯunymankunytjaku. Ka ngayulu nyuntunya tjukurpa wangkanyangka nyuntu tjananya nguḻutjuṟa tjakultjunama ngayuku panya tjukurpa.” 
EZK.33.30	Ka Godalu alatji wangkangu wati ini Itjikilta, “Wati awa! Nyawa! Nyuntumpa walytja nyara tjuṯangku nyuntunya wangkanyi. Tjanaya kapuṯu kutjupa kapuṯu kutjupangku nyinara nyuntunya wangkapai alatji, ‘Wanyula Itjikilta ankula kulinma! Tjinguṟu paluṟu tjukurpa kutjupa kulinu Mayatja Godalu palula wangkanyangka munu kuwari kulintjatjanungku tjakultjunanyi.’ Alatjiya nyuntunya wangkapai.
EZK.33.31	“Munuya palulanguṟu paluṟu tjana pitjala nyinakatira kulilpai nyuntu tjukurpa wangkanyangka tjanala. Palu paluṟu tjana kulintjatjanungku nyuntu wangkanytjitja tjuṯa palyantja wiyangku wantipai alatjiṯu. Munuya alatji kutju wangkapai, ‘Awa! Tjukurpa wiṟunya palangku wangkangu kuwari nganaṉala! Wiṟu mulapa!’ Palu nyanga palu puṟunypa wangkanyangka nyuntu kuliṟa mulamularingkuwiyangku wantima, panya tjana unytjungku kutju wangkanyi, munuya tjukurpa panya palumpa mapalku watarkuripai kuruntu mantjintja wiya. Panya paluṟu tjana mukuringkunytja tjuṯa kutju palyalpai nyuntu panya wangkanytja wantira. Munuya paluṟu tjana utitja tjuṯa kutju rawangku kulilpai, panya mani, mai, munu kutjupa kutjupa wiṟu tjuṯa manyungku mantjintjikitjangku. 
EZK.33.32	Uwa, nyuntu tjananya wangkara wituwitunnyangkaya kuliṟa wantipai alatjiṯu. Utiya ngayuku tjukurpa nyuntu tjanala wangkanyangka kuliṟa tjukaṟurungku palyanma. Palu tjana kulilpai kutju wangaṉarangku kuliṟa palyantja wiyangku. Panya aṉangu tjuṯa inma wiṟu kulintjikitja tjunguringkupai munu kuliṟa pukuḻaripai, palu puṟunypaya paluṟu tjana pitjala nyuntu wangkanyangka kuliṟa unytju pukuḻaripai, munuya maḻangka tjukurpa mapalku watarkuripai wangaṉarangku kuliṟa palyantja wiyangku.” Alatji Godalu wangkangi Itjikilta.
EZK.33.32	Munu piṟuku wangkangu alatji, 
EZK.33.33	“Palu maḻangka ngula kutjupa kutjupa kura puḻka ngayulu wangkanytja palula tjanala wirkankuku, kaya nyara palula aṟangka tjana maḻa kutju nyuntunya kulilku, ‘Munta-uwa! Wati panyatja mulapa panya Godaku wangkatjara nyinangi, munu panya nganaṉala tjukaṟurungku tjakultjunangi Godalu wangkanytjitja uwankara.’ Alatjiya kulilku.”
EZK.34.1+EZK.34.2	Ka Mayatja Godalu ngayula wangkangu Israelkunu tjuṯaku mayatja tjuṯa wangkara paintjaku munu palumpa wangka tjanala tjakultjunkunytjaku nyanga alatji, “Ngayuluṉa Mayatja Godanya nyurampa puḻkaṟa mirpaṉarinyi. Panya aṉangu nyanga Israelkunu tjuṯa tjiipi munu nanikuta tjuṯa puṟunypa nyinanyi, ka nyura mayatja tjuṯangku tjananya tjapata puṟunytju aṯunymaṟa kanyintjaku ngaṟanyi. Palu nyura panya tjananya mulapa wiṟuṟa palyanyku kanyintja wiyaṯu, munu panya nyuranku kutju walytjangku alatjiṯu pukuḻmankupai. 
EZK.34.3	Uti nyura tjapata mulatumpa tjiipi munu nanikuta nyanga tjuṯa aṯunymanama. Palu nyura kurangku nanikutanguṟu ipi tjikilpai munu nyura tjiipi inyunguṟu mantara walytja kutju palyaṟa tjarpapai, munu nyura kuka tjiipi wiṟu mulapa ngurkantaṟa pungkula ngalkupai. Palu nyura tjananya paḻtjantja wiyangku wantipai, munu nyura kutju walytja paḻtjaringkupai nyura kutju pukuḻpa nyinanytjikitja. 
EZK.34.4	Munu nyura kutjupa tjuṯa uparingkunyangka nyakula palunya tjananya kuṉpuṟa kanyilpai wiya, munu kutjupa tjuṯa pikatjararingkunyangka nyakula nyura palyanyku kanyilpai wiya. Munu nyura kutjupa tjuṯa puṉungku wakannyangka nyakula paṉṯitjingka karpintja wiyangku wantipai, munu nyura kutjupa tjuṯa pakuringkula wawanyarinyangka nyakula ankula palunya tjananya pakaltjingaṟa katinytja wiyangku wantipai, munu nyura kawankatinytja tjuṯa kuḻu para-nguriṟa mantjiṟa katira tjunguntja wiyangku kuḻu wantir'iyalpai tjana kawalirinytjaku. Mulapa nyura palunya tjananya pauntjingaṟa kanyilpai mukulya wiyangku. 
EZK.34.5	Kaya paluṟu tjana wililyaraṉu, ka tjananya tjiṯutja inuṟa tjuṯangku patjaṉi, panya tjananya tjapata tjuṯangku aṯunymankunytja wiyangku wantinyangka. 
EZK.34.6	Ka panya ngayuku tjiipi tjuṯa wililyaraṟa kawankatingu apukutu munu puṯikutu kuḻu ngura kutjupa uwankarakutu, ka aṉangu kutjupangku palunya tjananya waṉaṟa nguriṟa mantjiṟa ngalya-katinytja wiya alatjiṯu. Ngaḻṯutjara!
EZK.34.7	“Palu wanyuya ngalya-kulinma wati tjapata tjuṯangku! Ngayuluṉa Mayatja Godalu nyurala wangkanyi. 
EZK.34.8	Ngayulu panya Godanya tiṯutjara nyinapainya munuṉa ngayulu nyurala wangkanyi, kaṉiya kulinma! Panya ngayuku tjiipi tjuṯa inuṟangku patjaṟa ngalkula wiyaṉu nyura tjananya aṯunymankunytja wiyangku wantinyangka. Palu tjana kawankatinyangka uti nyura palunya tjananya waṉaṟa nguriṟa mantjinma, palu nyura wantinyi alatjiṯu ngayuku tjiipi tjuṯa aṯunymaṟa kanyintja wiyangku. Munu nyuranku kutju walytjangku kulilpai, nyara tjiipi tjuṯa kulintja wiyangku. 
EZK.34.9+EZK.34.10	Wanyuya tjapata tjuṯangku ngayunya puḻkaṟa kulinma! Panya ngayulu Mayatja Godanya nyurampa puḻkaṟa mirpaṉarinyi, munuṉa kuwari ngayuku tjiipi tjuṯa mantjilku nyuralanguṟu, munuṉa piṟuku maḻakungku nyuranya ungkunytja wiyangku wantiku nyura piṟuku tjananya kurantjaku-tawara. Panya nyura ngaṉmanytju palunya tjananya wiṟuṟa aṯunymankuwiyangku wantira tjananya pungkula ngalkuningi. Palula-tawaraṉa tjananya nyuralanguṟu mantjilku.
EZK.34.11	“Uwa, ngayulu Mayatja Godalu nyurala mulamulangku wangkanyi, panya ngayuluṉatju tjiipi tjuṯa nguriṟa mantjiṟa kanyilku. 
EZK.34.12	Panya tjapata palyangku tjiipi wililyarannyangka waṉaṟa nguriṟa mantjilpai wiṟuṟa kanyintjikitjangku. Palu puṟunypa ngayulu ngayuku aṉangu kawankatinytja tjuṯa nguriṟa mantjilku munuṉa maḻakungku ngalya-katira kanyilku. Panya mungaṯu kura puḻka ngaṟanyangka paluṟu tjana wililyaraṟa anu. Palu kuwari ngayulu tjapata palyangku tjananya nguriṟa mantjiṟa ngayuluṉatju aṯunymaṟa kanyilku. 
EZK.34.15	Ngayuluṉa tjapata tjanampa ngaṟaku tjananya wiṟuṟa aṯunymankunytjikitja, munuṉatju ngayulu tjanampa ngura wiṟu mulapa palyalku tjana pakuwiyaringkula pukuḻpa palyanyku nyinanytjaku.
EZK.34.16	“Nyangatjaṉa mulamulangku palyalku ngayulu Mayatja Godalu. Ngayuluṉatju kawankatinytja panya tjuṯa waṉaṟa nguriṟa mantjiṟa katira tjungulku, munuṉatju punkaṟa kaṯakatinyangka nyakula tjananya paṉṯitjingka karpilku, munuṉa uparingkunyangka nyakula tjananya ngaḻṯunytjungku kuṉpulku. Palu panya kaṉpi puḻka tjuṯa munu kuṉpu tjuṯa kuḻu ngayulu wiyalku, panya ngayuluṉatju tjapata wiṟu tjiipi tjuṯa tjukaṟurungku aṯunymaṟa kanyilpai.
EZK.34.17	“Palu kuwariṉatju ngayuku tjiipi tjuṯa nyanganyi munuṉa ngayulu nyakula ngurkantananyi kutjupa tjara palya, kutjupa tjara kura. 
EZK.34.18+EZK.34.19	Panya tjiipi kaṉpi puḻka tjuṯangku uti tjiipi kutjupa tjuṯa aṯunymaṟa kanyinma, palu tjana ukiṟi puḻka nyakula tjana-waraṟa pitjala ngalkupai munuya paḻtjaringkunytjatjanungku ukiṟi kutjupa tjana wantinytja pirpuntaṟa wantikatipai, kaya maḻa tjiipi kutjupa tjuṯangku pitjala nyakupai, ‘Munta! Nyangatja kaṉpi tjuṯangku ngaṉmanytju pitjala ngalkula pirpuntaṟa wiyaṉu.’ Ka palu puṟunypa tjiipi panya kaṉpi puḻka tjuṯa mina kaḻṯaṟa wiṟungka tjana-waraṟa wirkankupai munuya tjikiṟa tjaḻapungkula mina panya tjunpinpi palyalpai. Kaya maḻatja panya tjuṯangku tjikintjikitjangku pitjala nyakupai mina tjunpinpi ngarinyangka kaḻṯaṟa wiya. Ngaḻṯutjara! Panya paluṟu tjana maḻatjangku ukiṟi kurakura ngalkupai munuya mina kurakura tjikilpai tjunpinpi ngaṉmanyitja tjuṯangku kuraṟa wantikatinytja.
EZK.34.20	“Pala palulanguṟuṉa nyuranya kuwari wangkanyi, panya nyura kaṉpi puḻka nyinanyi mai palya ngalkunytjatjanu munu mina palya tjikintjatjanu. 
EZK.34.21	Kaya panya tjana kuwari ngaḻṯutjara upa nyinanyi panya nyura mai palya mina palyanguṟu mauṉṯankunytja tjuṯa. 
EZK.34.22+EZK.34.23	Kaṉa nyuranya kuwari ngayulu ngurkantananyi munuṉatju kuwari upa tjuṯa wankaṟunanyi nyura piṟuku kurantjaku-tawara. Ngayuluṉatju kuwari ngurkantaṟa tjaraṉi palya tjuṯa munu kura tjuṯa kuḻu, munuṉa palulanguṟu tjapata palya tjunanyi nyuranya uwankara wiṟuṟa kanyintjaku. Tjapata nyara paluṟu panya Davidalanguṟu palumpa walytja maḻatja, munu paluṟu Davidalu puṟunytju nyuranya wiṟuṟa aṯunymankuku. 
EZK.34.24	Nyara paluṟu nyuranya kuranyurira kanyilku, kaṉa ngayulu nyurampa God nyinaku. Uwa, ngayuluṉa Mayatja Godalu nyurala wangkangu nyura ngayula kulintjaku.
EZK.34.25	“Kuwariṉa ngayuku tjiipi tjuṯa kaḻkuṉi tjananya tiṯutjarangku pukuḻpa wankaṟu kanyintjikitjangku. Munuṉa tjiṯutja inuṟa tjuṯa tjanampa nguranguṟu wiyaṉi tjiipi paluṟu tjana ukiṟi wankaṟungku ngaṟala ngalkunytjaku munu puṉu wiltjangka nguḻuwiya ngarinytjaku. 
EZK.34.30	Kaṉiya paluṟu tjana ngayunya mulapa kulilku alatji, panya ngayulu tjanampa Godanya Mayatja puḻka mulapa tjanala tjunguṯu nyinanyi. Kaya paluṟu tjana kulilku alatji, ‘Mulapala nganaṉa Godaku walytja tjuṯa nyinanyi aṉangu Israelkunu tjuṯa.’ 
EZK.34.31	Nyura mulapa ngayuku tjiipi tjuṯa nyinanyi, ngayuku walytjapiti, kaṉa ngayulu God nyurampa nyinanyi.” Nyanga alatji Godalu Mayatja Puḻkangku wangkangu.
EZK.37.1	Kaṉi Mayatja Godalu panya witulya puḻkangku ngayunya pampuṉu, ka palumpa kuruntu ngayunya katingu ngura kutjupakutu wimaṟu puḻkakutu munuṉi nyara palula tjunu. Ka wimaṟu nyara palula tarka tjuṯa mulapa ngarira waṉingi. 
EZK.37.2	Kaṉi paluṟu para-katiṟinangi tarka tjuṯangka katuwanungku ngayulu uwankara nyakunytjaku. Kaṉa nyangu tarka panya winki mulapa ngarira-waṉinyangka. Ka tarka paluṟu tjana uwankara piḻṯi alatjiṯu ngaringi.
EZK.37.3	Ka Mayatjalu ngayula wangkangu, “Wati awa! Kulilaṉi kaṉanta tjapila! Tarka nyanganpa wanyu mulapa wankaringkula nyinaku kuwari?”
EZK.37.3	Kaṉa wangkangu, “Nyuntu Mayatjanya panya puḻka mulapa! Nyuntu kutjungku nintingku kulini. Ngayulu ngurpa.”
EZK.37.4	Kaṉi palulanguṟu wangkangu tarka palula tjanala wangkanytjaku alatji, “Tarka piḻṯi tjuṯa! Mayatja Godaku tjukurpaya kulinma! 
EZK.37.5	Panya paluṟu Mayatja puḻkangku nyurala wangkanyi alatji, ‘Ngayulu nyuranya ngaalypa ungkuku nyura wankaringkunytjaku. 
EZK.37.6	Munuṉa piṟuku nyurala pulyku iltjanpa kuḻu tjungulku. Munuṉa palulanguṟu nyuranya miṟingka tjutulku. Ka nyura ngaalypatjararingkula piṟuku wankaringkuku. Munu nyura palulanguṟu ngayunya kulilku panya mulapa ngayulu Mayatja Godanya nyinanyi.’ ” Alatji Godalu ngayula wangkangu palumpa tjukurpa tarka tjuṯangka tjakultjunkunytjaku.
EZK.37.7	Kaṉa wangaṉarangku kuliṟa tjanala tjakultjunu panya Mayatjalu ngayula wangkanytja. Munuṉa wangkara wangkara kulinu tirkilymankunyangka. Munuṉa para-nyakula nyangu tarka paluṟu tjana tjungu-tjunguringkunyangka. Panya tjana ngaṉmanypa ilura tarka-kutjuringu munuya iltjanpa wiyaringkula mantangka ngarira waṉingi. Ka ngayulu tjanala Godaku tjukurpa wangkanyangka tarka panya paluṟu tjana maḻaku tjunguringu puntu walytjangka walytjangka. 
EZK.37.8	Ka pulyku tjuṯa tarkangka uwankara tjunguringu iltjanpa kuḻukuḻu, ka palulanguṟu miṟingku kuḻu tjananya tjutuṉu, palu tjana kuwaripaṯu ngaringi ngaalypa wiya.
EZK.37.9	Ka palulanguṟu Mayatjalu ngayula piṟuku wangkangu palumpa tjukurpa waḻpangka wangkanytjaku nyanga alatji, “Mayatja Puḻkangku Godalu wangkanyi alatji, ‘Waḻpa ngana! Waḻa pitja kampa uwankaranguṟu, wiluṟaranguṟu kakaraṟanguṟu uḻpaṟiranguṟu munu alinytjaranguṟu kuḻu. Munu ngalya-pitjala ilunytja nyanga tjuṯangka ngaalypa puuṟa tjarpatjura tjana wankaringkunytjaku.’ ” Alatji Godalu ngayula wangkangu waḻpangka wangkanytjaku.
EZK.37.10	Kaṉa mulapaṯu wangkangu Godalu panya wangkanytja. Ka waḻpa wirkaṟa ilunytja panya tjuṯangka ngaalypa puuṟa tjarpatjunu, kaya piṟuku wankaringu. Munuya paluṟu tjana uwankara pakaṟa ngaṟangi mungilyi alatjiṯu.
EZK.37.11	Ka Mayatja Godalu ngayunya wangkangu, “Nyuntu tarka nyanga palunya tjananya nyanganyi paluṟu tjana panya aṉangu Israelkunu tjuṯa. Panya paluṟu tjana wangkapai, ‘Nganaṉa puḻkaṟa tjituṟu-tjituṟurira puṯu kulini, “Yaaltjirikula?” Nganaṉa tarka piḻṯi tjuṯa puṟunypa nyinanyi munula puṯu kulini wankaringkunytjikitjangku.’ Alatji tjana wangkapai.”
EZK.37.12	Munu palulanguṟu Godalu ngayunya piṟuku wangkangu palula tjanala tjakultjunkunytjaku palumpa tjukurpa nyanga alatji,
EZK.37.12	“Walytja tjuṯa! Ngayulu Godalu Mayatja puḻkangku kuwari kurulpa tjuṯa nyurampa aḻaṉi munuṉa nyuranya pakaltjingaṟa maḻakungku katiku ngura walytjakutu Israeltakutu. 
EZK.37.13	Ka nyura ngayuku walytja tjuṯa kurulnguṟu pakantjatjanungku kulilku, ‘Munta mulapa paluṟu Mayatja puḻka nyinanyi nganampa Godanya.’ 
EZK.37.14	Kaṉa ngayuku kurunpa nyurala unngu tjarpatjunkuku, ka nyura piṟuku ngaalytjararingkula wankaringkula nyinaku. Kaṉa nyuranya maḻakungku katira tjunkuku ngura walytjangka manta panya Israelta. Ka nyura nyara palulanguṟu kulilku, ‘Mulapa Mayatja Godalu nganaṉala kalkuntjatjanungku palyaṉu munulanya paluṟu wankaṟunu.’ Alatji nyura ngayuku nintiringkula kulilku.”
EZK.37.14	Nyanga alatji Godalu ngayunya wangkangu palula tjanala wangkanytjaku Israelkunu tjuṯangka. 
