MRK.1.1	Kutatika kwa Uthenga Uweme wa Yesu Kristu, Mwana wa Mulungu. 
MRK.5.40	Koma pameneapo ŵala ŵanthu etatika ku muchita msikila nomuseka, tetyo Yesu eŵafumya wonse notola awisi na anyina awala mwana pamo na asambili ŵake ŵala atatu na kuya nawo ku chipinda kweenzelele wala mwana. 
MRK.5.41	Emukata kwanja wala mwana nomuuzya kuti, “Talita, koum,” kunena kuti, “Mwanawe, nukuuzya, uka!” 
MRK.5.42	Euka pameneapo notatika kuyenda–yenda. Enze na vyaka kumi na viŵili. Pevichitika ivi, ŵanthu enkhala odabwishiwa ngako. 
MRK.5.43	Koma Yesu elamula kuti asauzye aliyense, nipo enena kuti, “Mpeni vakulya alye.”
MRK.6.1	Yesu efumako kwala, nowelela ku Nazaleti ku munzi kwawo. Asambili ŵake emukonkha. 
MRK.6.2	Peifwika nsiku ya Sabata etatika kusambizya mu kachisi wa Ayuda. Ŵanthu anyinji enzemo; nipo pechimumvwa ekanganishiwa.
MRK.6.2	Enzokonshana kuti, “Kansi evitola kuni vonse ivi? Ni nzelu zotyani izi zechipasiwa? Ochita tyani vokanganisha? 
MRK.6.3	Kansi uyu ni misililini, mwana wa Maliya, mkwawo wa Yakobe, Yosefe, Yudasi na Simoni? Kansi alongosi ŵake onkhalalini kuno?” Tetyo eipilwa naye nipo emukana.
MRK.6.4	Yesu eŵayasuka kuti, “Mneneli opasiwa mchinzi kulikonse kwangalute koma okaniwa na a ku munzi kwawo na enekwawo.” 
MRK.6.5	Aliyochite vinthu vinyinji vodabwisha kwala, koma eika tyala manja ŵake pa ŵanthu atontho olwala nipo ewachizya. 
MRK.6.6	Ekanganishiwa ngako powona kusoŵa chichetekelo kwa ŵala ŵanthu.
MRK.6.6	Yesu eluta na kuyosambizya ŵanthu a ku minzi yozunguluka kwawo. 
MRK.6.7	Eita asambili ŵake ŵala kumi na aŵili wonse pamo noŵatuma aŵili–aŵili. Eŵapasa ulamulilo pa viŵanda 
MRK.6.8	nowalamulila kuti, “Osatola kalikonse pa ulwendo uyu koma tyala ndodo, osatola mkate keno chola chapaulwendo, keno ndalama mu matumba mwanu. 
MRK.6.9	Vwalani nkhwaŵilo, koma osanyamula mkanjo uyakine.” 
MRK.6.10	Eŵauzya soti kuti, “Kulikonse kwatiakakupokeleni luweme, mukankhale kwamene kwala mpaka mukaweleko. 
MRK.6.11	Koma kulikonse kwati akakupokelenilini luweme keno kusakumvwilani, mukofumako nokunkhumula lukungu ya ku mendo kwanu. Iyo ikankhale chenjezyo kwa wove!”
MRK.6.12	Tetyo asambili eluta na kuyoŵilizya kuti ŵanthu aleke viipa vawo. 
MRK.6.13	Efumya viŵanda vinyinji, notila mafuta ŵanthu anyinji olwala nipo enzochila.
MRK.6.14	Mfumu Helode echimvwa za Yesu, chikomo chakuti mbili yake imvwika paliponse. Ŵanthu ayakine enzolaŵila kuti, “Yohane Mbatizi euka kwa akufwa, niye chikomo chake ali na mphamvu zochita zodabwisa.”
MRK.6.15	Ayakine soti enze kuti, “Ni Eliya,” na ayakine soti enzolaŵila kuti, “Ni mneneli, ngani ŵala aneneli a masiku akale.”
MRK.6.16	Helode pechimvwa kuti ni Yohane Mbatizi enena kuti, “Yohane Mbatizi, wenitenda mutu, wauka soti kwa akufwa!”
MRK.6.17	Yove Helode niye etuma asilikali ŵake kuti akakate Yohane, nomumangilila nomuika mu ndende. Helode echita teti chikomo cha Helodiya, wenzolungule, ngankhale kuti enze mwanakazi wa mkwawo Filipo. 
MRK.6.18	Yohane Mbatizi enzomuuzya Helode kuti, “Ni chiwemelini kulungula mwanakazi wa mkwanu.” 
MRK.6.19	Tetyo Helodiya eipilwa na Yohane nopangwa kumupaya, koma enzokwanishalini chikomo cha Helode. 
MRK.6.20	Helode enzoyopa Yohane chikomo chakuti enzoziŵa kuti enze munthu muweme na kuti enze wolungama na mtuŵa, tetyo enzomusunga luweme. Enzotemwa kumumvwila ngankhale kuti enzokanganishiwa malingililo nsita zonse akamumvwa.
MRK.6.21	Lomba mpata weoneka kwa Helodiya wopailamo Yohane. Penze pa nsiku yokumbukila za nsiku yovyalika ya Helode, yove epanga malyelelo ku akulu a Boma, akulu ŵa asilikali na nzika zotangulila za ku Galileya. 
MRK.6.22	Mwana mwanakazi wa Helodiya echizovina, nipo emumvwisha luweme Helode na oitiwa ku malyelelo ŵala.
MRK.6.22	Tetyo amfumu emukonsha wala msimbi kuti, “Upangwa kuti nikupase chinji? Nikupase chilichonse cha utiusenge.” 
MRK.6.23	Emuuzya tetyo wala msimbi na vilumbilo, “Nulumbila kuti nikupase chilichonse chauti usenge, ngankhale kuyaŵa chalo changu pakati.”
MRK.6.24	Tetyo wala msimbi echiyokonsha anyina kuti, “Nisenge chinji?”
MRK.6.24	Anyina emuyasuka kuti, “Usenge mutu wa Yohane Mbatizi.”
MRK.6.25	Msimbi wala eutuka kuya soti kwa Helode nomuuzya kuti, “Nupangwa kuti munipase mutu wa Yohane Mbatizi pa mbale lomba teti.”
MRK.6.26	Ichi chipanga a Mfumu kuŵa osatemwa, koma chikomo cha vilumbilo vechipanga pa menso pa oitiwa aliyopangwe kumukanila. 
MRK.6.27	Tetyo elamulila akaphaso ŵake kuti akatole mutu wa Yohane Mbatizi. Akaphaso eluta ku ndende, na kuyotenda mutu wa Yohane Mbatizi, 
MRK.6.28	nouleta pa mbale nopasa wala msimbi, wala msimbi eutwala kwa anyina. 
MRK.6.29	Asambili ŵa Yohane pechimvwa izi echizotola mtembo wake, na kuyouika ku manda.
MRK.6.30	Wotumiwa ŵala ewelela kwa Yesu nomuuzya vonse vechichita nosambizya. 
MRK.6.31	Kwenze ŵanthu anyinji enzokuza noluta chakuti Yesu na asambili ŵake enzeve nsita yakulya. Tetyo Yesu eŵauzya asambili ŵake kuti, “Tiyeni ku malo kwaseka kusapitapita ŵanthu kuti mukapumuleko.”
MRK.6.32	Tetyo eloŵa mu ngalawa na kuya ku malo kwaŵeka kusapita–pita ŵanthu. 
MRK.6.33	Ŵanthu anyinji eŵawona penzopita noŵaziŵa. Tetyo efuma mu minzi noutuka kupita mbali mwa chimumana noluta kweenzokuya Yesu na asambili ŵake. 
MRK.6.34	Pechifuma mu ngalawa Yesu ewona winji wa ŵanthu nochita chitinthi, chikomo chakuti wonse enze ngani mbelele ziliye chiŵeta. Tetyo etatika kuŵasambizya vinthu vinyinji.
MRK.6.35	Pekwenzofipa, asambili ŵake ewela kuli yove nomuuzya kuti, “Lolani kwafipa kale ngako, na kuti kuno ni kusanga, 
MRK.6.36	auzyeni ŵanthu aŵekuya, auzyeni alute ku minda ili pafupi na mu minzi ili pafupi kuti akasiteko vakulya kuti alye.”
MRK.6.37	Koma Yesu eŵayasuka kuti, “Mwamene mwewo apeni vakulya.”
MRK.6.37	Asambili ekonsha Yesu kuti, “Kansi mupangwa kuti tiseŵenzeshe ndalama zinyinji zokwanila mazana aŵili za siliva
MRK.6.38	Tetyo Yesu eŵakonsha kuti, “Muli na mikate ingananji? Kawoneni.”
MRK.6.38	Pechiyowona, emuuzya kuti, “Tili nayo isano na masaŵi aŵili.”
MRK.6.39	Lomba Yesu euzya asambili ŵake kuti aike ŵanthu mu magulu na kuti ankhale pansi pa mauzu. 
MRK.6.40	Tetyo ŵanthu ŵala enkhala pansi, mu magulu a ŵanthu ayakine makumi kumi na ayakine soti makumi asano. 
MRK.6.41	Lomba Yesu etola mikate isano na masaŵi aŵili, nololesha kululu, notembezya Mulungu. Esuna mikate yala nopasa asambili ŵake kuti ayaŵile ŵanthu, etola soti masaŵi aŵili ŵala noyaŵila ŵanthu. 
MRK.6.42	Aliyense echilya nipo ekuta. 
MRK.6.43	Asambili etola vitundu kumi na aŵili avakulya vesalako. 
MRK.6.44	Analume ŵeka ŵechilyesha enze zikwi zisano.
MRK.6.45	Mu chingulo mwamene umo Yesu elamulila asambili ŵake kuti aloŵe mu ngalawa, atangule alute ku silya iyakine ya chimumana, ku Betisaida, pameneapo yove enzouzya ŵanthu kuti aŵekuya kwawo. 
MRK.6.46	Pechilailana nawo ŵala ŵanthu, Yesu eluta ku lupili kuyolomba.
MRK.6.47	Pekwefwika mchingulo ngalawa yenze pakati pa chimumana, koma Yesu enze pa silya. 
MRK.6.48	Ewona asambili ŵake otamana kupalasa ngalawa chikomo chakuti enzokuya kwenzofumila mphepo. Mu mamawa ku matemwakucha Yesu ewela kwa wove oyenda pa manzi. Enzoŵapitilila, 
MRK.6.49	koma pechimuwona oyenda pa manzi eyezya kuti ni chimuuka, tetyo eŵilikizya. 
MRK.6.50	Wonse echimvwa mwezo pechimuwona.
MRK.6.50	Pameneapo Yesu eŵauzya kuti, “Kosani mitima, osachita mwezo, ninewo!” 
MRK.6.51	Tetyo eloŵa mu ngalawa pamo na asambili nipo chimphepo chesila. Asambili enze wokanganishiwa ngako, 
MRK.6.52	chikomo chakuti aliyomvwishishe zolyesha ŵanthu zikwi zisano; nzelu zawo zenze zosinkha.
MRK.6.53	Etauka chimumana nofwika kusilya ya ku Genezaleti, kwechimangilila ngalawa. 
MRK.6.54	Pechisiya ngalawa yala, ŵanthu emuziŵa Yesu pameneapo. 
MRK.6.55	Tetyo eutukila kulikonse kwechimvwa kuti niye kwa ali, noleta ŵanthu wolwala alilele pa machila ŵawo. 
MRK.6.56	Kulikonse kwenzopita Yesu ku minzi na ku minda – ŵanthu enzoleta wolwala ku misika. Emusenga Yesu kuti aŵalole wolwala akate msono wachovwala chake, na kuti wonse enzokata msono wala enzochila.
MRK.7.1	Nsiku iyakine Afalisi ayakine pamo na Asambizyi ayakine a Malamulo ofumila ku Yelusalemu, eungana pamo kwa Yesu. 
MRK.7.2	Wove ewona kuti asambili ŵake enzoingokulya chosasamba ku manja. (Kunena kuti aliyosamalile mwambo wosamba ku manja.) 
MRK.7.3	Apa, Afalisi na Ayuda ayakine wonse enzokulyalini akaliyosamba ku manja mu njila yololewa. Enzochita tetyo kuti asunge mwambo wa makolo ŵawo. 
MRK.7.4	Enze kuti akafuma ku msika, enzokulyalini mpaka kusamba ku manja. Enzosunga soti myambo iyakine inyinji yechiŵasiyila makolo ŵawo ngani kusuka cheso, mbale, vopikilamo vamkuŵa, [na mipando yonkhalapo pakulya].
MRK.7.5	Lomba Afalisi na Asambizyi ŵala emukonsha Yesu kuti, “Chikomo ni chinji asambili ŵanu osungalini mwambo wa makolo, oingokulya chakulya osasamba ku manja mosalolewa?” 
MRK.7.6	Yesu eŵayasuka kuti, “Nimwe ŵanthu muliye vyendi, chendi–chendi Mneneli Yesaya enena vyendi ngani Malembo onena kuti,
MRK.7.6	‘Ŵanthu aŵa onichinzika tyala na pa kamwa,
MRK.7.6	koma mtima wawo uli kutali na newo.
MRK.7.7	koma kulambila kwawo kuliye phindu,
MRK.7.7	chikomo chakuti vakusambizya ni vyendilini
MRK.7.7	ni malamulo a ŵanthu tyala!’”
MRK.7.8	Pa vuli pake Yesu echiti, “Mwewo musiya Malamulo a Mulungu, nosunga myambo ya ŵanthu.”
MRK.7.9	Yesu epitilizya kulaŵila nawo kuti, “Muli nayo njila yanu yochenjela yosiiyilamo Malamulo a Mulungu kuti musunge myambo yanu. 
MRK.7.10	 Mose elamula kuti, ‘Upase mchinzi anyoko na awuso,’ soti, ‘Wonyoza awisi keno anyina, okopayiwa.’ 
MRK.7.11	Koma mwewo munena kuti, ‘Munthu akauzya avyazi ŵake kuti, “Pepani, ndalama yenenze kuti nikuyavyeni nayo yatwaliwa chawanzi kwa Mulungu
MRK.7.12	Lomba mumulolalini kuti ayavye awisi keno anyina.’ 
MRK.7.13	Pochita tetyo Malizu a Mulungu muŵayezya kunkhala atyala–tyala, chikomo cha mwambo wanu wamusiilana–siilana. Koma lomba muchita soti vinyinji votetyo.”
MRK.7.14	Pa vuli pake Yesu eita soti ŵanthu kuti awele pafupi, eŵauzya kuti, “Mumwvishishe monse. 
MRK.7.15	Paliye chinthu chufumila kunja noloŵa mu kati mwa munthu chingamuifye. Koma zufumila mu kati mwa munthu niye zingamuifye. 
MRK.7.16	[Ali na matu akumvwa, amvwishishe!]”
MRK.7.17	Yesu esiya winji wala ya ŵanthu na kuyoloŵa mu ngʼanda, asambili ŵake emukonsha za mwambi uyu. 
MRK.7.18	Yesu eŵayasuka kuti, “Chilichonse chofumila kunja, nakuloŵa mu munthu chingamuifyelini. 
MRK.7.19	Chikomo chuloŵalini mu mtima koma mu mala, pa vuli pake nofumila kunja kwa muŵili.” (Ponena tetyo emasula kuti vakulya vonse ni viweme.)
MRK.7.20	Enena soti kuti, “Zufuma mu kati mwa mtima niyezumuyifya. 
MRK.7.21	Chikomo zufuma mu kati mwa mitima ya ŵanthu ni izi: malingililo ayipa, kachenche, unjivi, kupaya, 
MRK.7.22	uchende, kulitemwa, kuyipa mitima, wenye, kukumbwila komvwisha nsoni, luipilwa, manyozo, kuzikuzya na uchizende. 
MRK.7.23	Viipa vonse ivi vufuma mu kati mwa munthu, niyevumuyifya.”
MRK.7.24	Yesu enyamuka kuluta ku mbali iyakine ya ku Tilo. Enkhala ku ngʼanda iyakine, yove aliyopangwe kuti ŵanthu aziŵe kuti aliko. Koma aliyofisike. 
MRK.7.25	Pa nsita yamene iyi, mwanakazi muyakine, mwana wake mwanakazi enzotamana na chiŵanda. Pechimvwa za yove, ewela kwa Yesu nomfukamila. 
MRK.7.26	Mwanakazi uyu enzelini Muyuda, enze wa mtundu wa ŵanthu aku Silo-Fenisiya. Mwanakazi uyu esenga Yesu kuti afumye chiŵanda mu mwana wake.
MRK.7.27	Koma Yesu emuyasuka kuti, “Yai, ŵalekeni ŵana alye akute. Ni chiwemelini kutola chakulya cha ŵana kutaila imbwa.”
MRK.7.28	Mwanakazi wala echiti, “Ni chendi, Asikulu, ngankhale kuti zilitetyo nazo imbwa zunkhala mu nyansi mwa gome kutolako mapona–pona ŵakutaya ŵana.”
MRK.7.29	Nsita yamene yala Yesu emuuzya kuti, “Chikomo cha malizu yamwanena, nkhoyani chiŵanda chafuma mu mwana wanu.”
MRK.7.30	Mwanakazi wala ewelela ku ngʼanda kwake nofwana kuti mwana wala alilele pa kama, chiŵanda chala chafuma.
MRK.7.31	Yesu efumako soti ku mbali yala ya ku Tilo, eyenda kutulikila mbali ya ku Sidoni, noluta ku Chimumana cha Galileya, kupitila ku mbali ya Minzi Kumi. 
MRK.7.32	Ŵanthu ayakine ewela kwa yove na munthu wamene enzokumvwalini na kuti enze silaŵila. Ŵanthu ŵala esenga Yesu kuti achizye wala munthu poyika manja pa yove.
MRK.7.33	Yesu etola wala munthu pa mbali kumufumya pa winji wa ŵanthu. Eyika vikumo vake mu matu a wala munthu notila mata pansi, nokata pa lulimi pa wala munthu. 
MRK.7.34	Elolesha Kululu nonena malizu kuti, “Efata!” kunena kuti “Zulika!” 
MRK.7.35	Nsita yamene iyo matu a wala munthu ezulika, na chenzo mu manga lulimi chemangusuka na kutatika kulaŵila luweme.
MRK.7.36	Yesu elamulila ayake a wala munthu kuti, “Osati akauuzyeko munthu aliyense zachitika.” Koma ngakhale kuti eŵalesha nogogomezya izi, wove echiyoŵilizya chechiwona. 
MRK.7.37	Ŵanthu enkhala odabwa ngako. Echiti, “Uyu munthu zonse ochita luweme. Ngankhale osamvwa ochizya na kumvwa, na osalaŵila oŵalaŵilisha.”
MRK.8.1	Paliyopite nsita itali ŵanthu anyinji eungana soti. Yesu pechiwona kuti ŵanthu ŵala aliye chakulya eita asambili ŵake noŵauzya kuti, 
MRK.8.2	“Nukumvwa nawo chitinthi ŵanthu chikomo ankhala nane masiku atatu osalya kalikonse, na kuti lomba paliye vakulya. 
MRK.8.3	Nikaingoŵawezya ku munzi kwawo na njala yawo alefuke pa mseu, pakuti ayakine afumila kutali.”
MRK.8.4	Asambili ŵake emukosha kuti, “Ŵanthu anyinji teti, munthu angakwanishe tyani kuŵasakilila vakulya kuno kusanga?”
MRK.8.5	Yesu eŵakonsha kuti, “Muli na mikate ingananji?”
MRK.8.5	Wove echiti, “Tili nayo isano na iŵili.”
MRK.8.6	Pa nsita iyi Yesu eŵauzya ŵanthu ŵala kuti ankhale pansi. Pa vuli pake etola mikate yala notembezya Mulungu, noisunasuna noitwala kwa asambili ŵake kuti aŵayaŵile ŵanthu ŵala. Asambili ŵala echita mwechiŵauzyila. 
MRK.8.7	Enze soti na tusaŵi tutontho, Yesu etembezya soti Mulungu chikomo cha tusaŵi tutontho twala, eŵauzya soti asambili ŵake kuti aŵape ŵanthu ŵala. 
MRK.8.8	Ŵanthu echilya nokuta. Vesala vakulya vezula vitundu visano na viŵili. 
MRK.8.9	Ŵanthu enzepo okwanila zikwi zinai. 
MRK.8.10	Pa vuli pake Yesu elailana nawo ŵanthu ŵala, noloŵa mu ngalawa pamo na asambili ŵake noluta ku malo a Dalamanuta.
MRK.8.11	Nsita iyakine Afalisi ewela notatika kusushana na Yesu, nomusenga kuti aŵaoneshe chiziŵikilo chodabwisa chofumila ku Kululu. Potetyo enzopangwa kumuyezya. 
MRK.8.12	Yesu engʼutila mu mtima kuti, “Kansi ninchiji ŵanthu a luko ya nsita zino opangwa kuwona chiziŵikilo chodabwisa? Nukuuzyani vyendi kuti ŵanthu a luko ino akachiwonelini chiziŵikilo chakupangwa.” 
MRK.8.13	Pechichita teti Yesu eŵasiya na kuyoloŵa mu ngalawa notaukila silya iyakine.
MRK.8.14	Asambili a Yesu eluŵa kutakula mkate, koma mu ngalawa enze na mkate umo tyala. 
MRK.8.15	Nsita iyi Yesu eŵapa malango mochenjezya kunena kuti, “Munkhale menso na chofufumisha mkate cha Afalisi na cha Helode.”
MRK.8.16	Asambili ŵala etatika kulaŵizyana ŵekaŵeka kuti, “Wotetyo chikomo chakuti tiliye mkate.”
MRK.8.17	Yesu eziŵa zenzolaŵila, eŵakonsha kuti, “Chikomo ni chinji munena za kuti muliye mkate? Kansi mpaka lomba muwonalini keno kumvwisha? Mwa mitima yanu ni iyumu? 
MRK.8.18	Kansi menso muli nawo koma muloleshalini na matu muli nawo koma mumvwishishalini? Kansi mukumbukilalini? 
MRK.8.19	Penesuna–suna mikate isano kwa ŵanthu zikwi zisano, zosalila mwetola vitundu vingananji?”
MRK.8.19	Asambili ŵake eyasuka kuti, “Kumi na viŵili.”
MRK.8.20	Yesu eŵakonsha kuti, “Nga penesunila mikate isano na iŵili kwa ŵanthu wokwanila zikwi zinai, mwetola vitundu vingananji azosalila?”
MRK.8.20	Wove eyasuka kuti, “Vitundu visano na viŵili.”
MRK.8.21	Yesu echiti, “Mpaka lomba mumvwishalini?”
MRK.8.22	Yesu na asambili ŵake efwika ku Betisaida, kwamene kwala ŵanthu eleta mpofu, esenga Yesu kuti amuchizye pomukumya na kwanja. 
MRK.8.23	Yesu emukata pa kwanja, nofuma naye kunja kwa munzi. Etila mata mu menso mwa mpofu, na kumuika manja nomukonsha kuti, “Kansi uwona kanthu?”
MRK.8.24	Wala munthu eŵinuka nonena kuti, “Nuwona ŵanthu oyenda, koma owoneka ngani vimiti.”
MRK.8.25	Yesu emuika soti manja pa menso pake. Wala munthu echila notatika kulolesha zonse paweme. 
MRK.8.26	Yesu emuuzya kuti alute kwawo, nomulamulila kuti, “Usaloŵe soti mu munzi umu.”
MRK.8.27	Yesu na asambili ŵake eluta ku minzi ya ku Kaisaliya-Filipi. Pa mseu Yesu eŵakonsha asambili ŵake kuti, “Kansi ŵanthu onena kuti nine ŵani?”
MRK.8.28	Wove eyasuka kuti, “Ayakine onena kuti nimwe Yohane Mbatizi, ayakine onena kuti nimwe Eliya, ayakine soti onena kuti nimwe muyakine mwa aneneli.”
MRK.8.29	Yesu eŵakonsha kuti, “Nga mwewo mukuti nine ŵani?”
MRK.8.29	Petulo eyasuka kuti, “Nimwe Messiya, Mpulumushi Wolonjezewa wa Mulungu.”
MRK.8.30	Yesu eŵalamulila kuti, izi zinkhale za chisinsi.
MRK.8.31	Yesu etatika kusambizya asambili ŵake kuti, “Nsita ikafwike yakuti Mwana wa Munthu akanzuzike ngako. Akulu ŵa Ayuda, na akulu ŵa ansembe na Asambizyi a Malamulo azemukane. Uyu azepayiwe, koma pakazopita masiku atatu azeuke.” 
MRK.8.32	Izi ezinena mosafisila. Tetyo Petulo emtola noluta naye pa mbali, notatika kumzuzula.
MRK.8.33	Yesu echeuka, nololesha asambili ŵake ŵala, nsita iyi ezuzula Petulo kuti, “Fuma apa wewo Satana! Malingililo ŵako ni wa Mulungulini, ni wa ŵanthu tyala.”
MRK.8.34	Pa vuli pake, Yesu eita winji wa ŵanthu pamo na asambili ŵake kuti awele pafupi na yove, eŵauzya kuti, “Munthu opangwa kukonkha newo azikane yeka na kuti amanthe mtanda wake nokonkha newo. 
MRK.8.35	Chikomo chakuti opangwa kupulumusha moyo wake autaye, koma uyo otaya moyo wake chikomo cha newo na Uthenga Uweme, apulumushe moyo wake. 
MRK.8.36	Ngani munthu ophindula vinji ponkhala navo vonse vapachalo chapansi, koma notaya moyo wake? 
MRK.8.37	Munthu angalipilenji chakuti awombolele moyo wake? 
MRK.8.38	Lomba munthu, keno ochita nsoni na newo koma soti na malizu ŵangu, pa menso pa ŵanthu ochita viipa na osachetekeleka, Mwana wa Munthu akachite naye nsoni akayowela, ali mu ulemelelo wa Ausu wake na angelo atuŵa.”
MRK.9.1	Yesu epitilizya kulaŵila kuti, “Nukuuzyani vyendi kuti, alipo ayakine pano afwelini mpaka akawone Ufumu wa Mulungu wawela na mphamvu zake.”
MRK.9.2	Pa vuli pa masiku asanu na imo, Yesu etola Petulo, Yakobe na Yohane nokwela nawo pa lupili itali kwa ŵeka. Akali kwamene uko mawonekelo a Yesu eyaluka, wove ololesha. 
MRK.9.3	Vovwala vake veyaluka vongʼanimila notuŵa kuti mbee, kupula mwamene munthu aliyense angatuŵishile nyula pansi pano. 
MRK.9.4	Nsita iyi asambili ŵake ŵala ewona Eliya na Mose wolaŵila na Yesu.
MRK.9.5	Petulo euzya Yesu kuti, “Asambizyi, ni chiweme kuti tili namwe pano. Tusenga kuti timange misasa itatu uyakine wanu uyakine wa Mose uyakine wa Eliya.” 
MRK.9.6	Enena tetyo chikomo chakuti echita mwezo ukulu ngako.
MRK.9.7	Pameneapo pefwika mukumbi, noŵavwinikila, mwimvwika malizu onena kuti, “Uyu ni Mwana wangu wotemweka, mukomumvwila.” 
MRK.9.8	Mosaziŵa luweme, pechilolesha pa malo ŵala efwana kuti penzeve munthu aliyense, koma Yesu enze naye.
MRK.9.9	Penzoseluka kufuma pa lupili, Yesu eŵapasa lamulo yakuti osati auzyeko munthu aliyense vechiwona, mpaka Mwana wa Munthu akauke kwa akufwa. 
MRK.9.10	Ichi echisunga ngani chisinsi kwa woveŵeka, etatika kulaŵila za tanthauzo ya “kuuka kwa akufwa.”
MRK.9.11	Asambili ŵake emukonsha Yesu kuti, “Ni chinji Asambizyi a Malamulo onena kuti Eliya opangwika kunkhala otatika kuwela?”
MRK.9.12	Yesu eyasuka kuti, “Chendi chake ni chakuti, Eliya opangwika kunkhala otatika kuwela, kuzowamya vinthu vonse. Ni chikomo ni chinji kwelembewa kuti Mwana wa Munthu akasaushiwe ngako nokaniwa? 
MRK.9.13	Koma newo nukuuzyani kuti, Eliya ewela kale, nipo wove echita naye vilivonse venzopangwa, ngani Malembo olaŵila za yove.”
MRK.9.14	Yesu na asambili atatu ŵala pechiwelela kwa asambili ŵala ayakine, efwana winji wa ŵanthu uluŵazunguluke. Asambizyi a Malamulo nsita iyi enzosushana na asambili ŵala. 
MRK.9.15	Pechiwona Yesu ŵala, ŵanthu enze etemwa ngako, emuutukila kuti ampase moni.
MRK.9.16	Yesu eŵakonsha kuti, “Musushana nawo za vinji?”
MRK.9.17	Munthu muyakine pa winji wala eyasuka kuti, “Asambizyi, naleta mwana wangu kuti mumuchizye. Uyu ekatiwa na chiŵanda, chimulonda lizu. 
MRK.9.18	Ichi chiŵanda chikamukata, chumuwishila pansi notatika kufuma povu ku kamwa nokukuta menu na kuti muŵili wake uyuma gwa! Nenze nasenga asambili ŵanu kuti afumye chiŵanda koma akangiwa.”
MRK.9.19	Yesu echiti, “Nimwe luko iliye chichetekelo! Ninkhale namwe kufwika nsita yotyani? Mukalungame nsita yanji, na kuti nipilile mpakalini? Muleteni kuno mwana uyo.”
MRK.9.20	Mulumbwana wala emuleta kwa Yesu. Chiŵanda chala pechewona Yesu chempoza pansi wala mwana nipo etatika kunyukuma, nomvumvulika uku povu yufuma ku kamwa.
MRK.9.21	Yesu ekonsha awisi kuti, “Mwa izi zetatika lini?”
MRK.9.21	Awisi echiti, “Kutatika akali mtontho. 
MRK.9.22	Chiŵanda ichi nsita zinyinji chankala chumuwisha, payakine pa manzi, payakine pa mulilo kupangwa kumpaya. Koma mwewo keno mungakwanishe, mungachitepo chilichonse. Tapapata muchite nase lusungu, tiyavyeni.”
MRK.9.23	Yesu echiti, “‘Mungakwanishe!’ Mukaikilanji? Vinthu vonse vokwanishika kwa ali nacho chichetekelo.”
MRK.9.24	Awisi a wala mwana elaŵila moŵilikizya kuti, “Nili nacho chichetekelo koma ni patontho. Niyavyeni kuti ninkhale nacho chichetekelo chikulu.”
MRK.9.25	Yesu pechiwona kuti winji wa ŵanthu watatika kupapatizyana, ezazila chiŵanda chala kuti, “Wewo chiŵanda cholesha kulaŵila na kumvwa, nukupingula kuti ufume mwa uyu mwana, osati ukaloŵemo soti mwa yove.”
MRK.9.26	Chiŵanda chala cheŵilikizya nomuzungulusha mwamphamvu mwana wala, pa vuli pake nofuma. Mwana wala mwechiwila chelele, ewoneka mongawafwa, ayakine mwa ŵala ŵanthu enzonena kuti wasilizyika. 
MRK.9.27	Koma Yesu emukata pa kwanja nomuusha, mwana wala epanama.
MRK.9.28	Yesu pechiloŵa mu ngʼanda, asambili ŵake emukonsha penze paŵeka kuti, “Ngasewo takangiwa tyani kufumya chiŵanda ichi?”
MRK.9.29	Yesu eyasuka kuti, “Chiŵanda cha mtundu woteti, chipangwika mwatatika mwalomba, pa vuli pake niyepochifumya.”
MRK.9.30	Pechifuma ku malo aŵa, Yesu na asambili ŵake epitila mu chalo cha Galileya. Koma yove aliyopangwe kuti ŵanthu aziŵe, 
MRK.9.31	chikomo chakuti pa nsita iyi, enzosambizya asambili ŵake. Enzoŵauzya kuti, “Mwana wa Munthu akatwaliwe mu manja mwa alwani, nipo wove akamupaye. Pa vuli pake yove akauke pakayopita masiku atatu.” 
MRK.9.32	Asambili ŵake aliyomvwishishe vechinena Yesu, koma enzochita mwezo kuti amukonshe.
MRK.9.33	Yesu na asambili ŵake efwika ku Kapilinamu. Pechiloŵa mu ngʼanda, yove eŵakonsha kuti, “Kansi pa mseu pala mwenzosushananji?” 
MRK.9.34	Asambili ŵala enzechelele, chikomo chakuti zenzosushana zenze zakuti mkulu ni ŵani pakati pawo.
MRK.9.35	Yesu enkhala pansi noŵaita asambili ŵake ŵala kumi na aŵili, noŵauzya kuti, “Keno kuli opangwa kunkhala mkulu, opangwika kuti alichefye, notumikila wonse.”
MRK.9.36	Pechinena tetyo etola mwana, nomunkhazika penze wove nomufukatila, noŵauzya kuti, 
MRK.9.37	“Munthu wopokelela luweme mwana ngani uyu chikomo cha newo, niye kuti wopokelela luweme newo wamene. Uyo wopokelela newo luweme, niyelini kuti wapokela newo koma Atata enituma.”
MRK.9.38	Yohane euzya Yesu kuti, “Asambizyi, tawona munthu muyakine ofumya viŵanda mu zina yanu, koma sewo tamulesha chikomo chakuti oyendalini na sewo.”
MRK.9.39	Koma Yesu echiti, “Osamulesha yayi, chikomo chakuti munthu angachitelini kuti wachita chodabwisha mu zina yangu, nsita yamene iyo noninyoza. 
MRK.9.40	Chikomo chakuti munthu uyu osushanalini nase koma okatizyana nase. 
