MAT.1.1	Baa arrittiaa Yeesu Krĩstõ halaangatõõ cĩ habu Daavide
LUK.8.35	Nĩngĩtĩ õõ acĩnĩ eeta. Ma baa ammũdoothĩk nẽẽg Yeesu ho, adtuuha hinnia eet aa aduknaanĩ loriẽẽta ꞌcĩg abathĩ ho iccioloongan loota ꞌthõõnĩĩ cĩgĩnnĩg, itihimi ũbũna, nĩngĩtĩ itieelini eeta gẽrrẽẽt. 
LUK.8.36	Ma nĩngaata, õõt uduktaak eeta ꞌcĩg adtuuha thõõth icci ho ꞌgõõnõgĩ, ꞌgõõl ꞌcĩ eellianĩ ẽẽtĩ ꞌcĩ aꞌnyak loriẽẽt ꞌcĩg abathĩ ho. 
LUK.8.37	Nĩngĩtĩ aduhaakĩ eeta cĩg ꞌGerathẽnĩ Yeesu hũtũngeek looc cĩnĩĩng, hĩnĩngĩtĩ baa ikia aggam ĩhõõggõ tẽẽlꞌthĩtĩ cobbi gẽrrẽẽt. Nĩngĩtĩ õtõdĩ Yeesu haahũl õkõõĩ.
LUK.8.38	Baa ala ẽẽtĩ ꞌcĩ adukna loriẽẽta ꞌcĩg abathĩ ho Yeesu hookorit hõdẽĩ, nẽẽthĩ hinnia, baa aduhaak Yeesu ĩnõõnnõ anneek, 
LUK.8.39	“Bodooth ĩĩcĩ olu nẽ ũũk uduhaahu eet thõõth ꞌcĩ ĩdĩmaneehi Nyekuci ho.” Nĩngĩtĩ õkõõĩ nẽ ũũk uduhaak eet ꞌtaaũna thõõth ꞌcĩ adĩmaneek Yeesu ĩnõõnnõ ho.
LUK.8.40	Ma baa õbõda Yeesu, ammũdeek hinnia lothippit umwa ẽrẽ ĩnõõnnõ, hĩnĩngĩtĩ baa aga nẽẽg ngaatĩ akuuni Yeesu. 
LUK.8.41	Ma nĩngaata, ikia ẽttẽẽd ẽẽtĩ umwaa ꞌcĩ haĩ ꞌJairo looc ꞌthõõnĩĩ cĩg Yeesu nẽ ĩĩlaleek ĩnõõnnõ hũũk õlõõ cĩnnĩ. Baa ĩĩn ꞌJairo makayyioohit cĩ ꞌCieeth cĩ Laiitto. 
LUK.8.42	Baa adĩman nẽẽ hoti, hĩnĩngĩtĩ õbõhĩ adaak loholeec cĩnnĩ ꞌcĩ ngayyi ꞌcĩ ĩĩn irkiꞌnyia õmmõtõ hĩ ꞌramma. Loholeec cĩnnĩ ꞌcĩ ngayyi dioo tĩho.
LUK.8.42	Ma baa nga õvvõ Yeesu ꞌgõõla, baa atũllũngõõnĩ lothippiti ĩnõõnnõ hĩcĩ aĩ haathoꞌtha ꞌthõõnĩ. 
LUK.8.43	Nẽ tarĩ, baa ammũdeek aaĩ ngaa umwaa lothippitatõõ ꞌcĩ arik ẽlẽ irkiꞌnyia õmmõtõ hĩ ꞌramma hõllõngaa abĩlĩ ũdũt, hĩnĩngĩtĩ baa aitiõõ ẽẽtĩ ꞌcĩ ẽẽla ĩnõõnnõ tõõ. 
LUK.8.44	Nĩngĩtĩ anĩhõõthĩkĩ ngaa nicciee Yeesu ĩĩcĩ bahuuco lothippitatõõ nẽ uhum cẽrẽm cĩnnĩ. Ma nĩngaata noho, õhõdĩ terrei cĩ ẽlẽ cĩnnĩ ho noho ꞌlẽm.
LUK.8.45	Ma ho, ijino Yeesu ĩĩ, “Nganĩ ꞌcĩ ahumma nganĩĩt ko?”
LUK.8.45	Ma baa ẽppẽhan eeta vẽlẽk ko, ẽdẽc Pẽẽtũrũ ĩĩnnĩk, “Makayyioohit, ꞌmaa tarĩ atullungoonni lothippiti nganiit gẽrrẽẽt nẽ ĩrrĩdattii thõng buúk.”
LUK.8.46	Ẽdẽcĩ Yeesu aĩ “Uhuma ꞌthẽk hatĩ ẽẽtĩ umwaanĩ, hĩnĩngĩtĩ hathĩknoothi ngaatĩ ũũhĩ ꞌtirriani umwaa ẽllaa caannĩ battaala.”
LUK.8.47	Ma baa aga ngaa ciee aĩ happulannia hatĩ ho, ikia aggam barriti nĩĩcĩ noho, nĩngĩtĩ aku ẽttẽẽdĩ looc ꞌthõõnĩĩ cĩg Yeesu, hẽbẽrẽẽnnĩĩ cĩg eet vẽlẽk nẽ ẽddẽẽba thõõth ꞌcĩ ahumi nẽẽ cẽrẽm cĩ Yeesu ho. Nĩngĩtĩ aduhaakĩ eet ꞌgõõl ꞌcĩ aku abũnnayyĩ nẽẽ ꞌthaa tĩho noho ho. 
LUK.8.48	Ma ho, uduhaak Yeesu ĩnõõnnõ ĩĩnnĩk, “Loholeec caannĩ, aaꞌnyi nganiit lemiiniti cunni bũna. Tĩnga bĩĩt lõꞌngõõc.”
LUK.8.49	Ma baa nga õthõõth Yeesu, ikia uppwaanna eet umwaa ꞌcĩ aku aduhaak ꞌJairo makayyioohit cĩ ꞌCieeth cĩ Laiitto anneek, “Iittiõõ loholeec tõõ ẽlẽ, ma nga haccanani ꞌlimmannioohit.”
LUK.8.50	Ma athĩhĩ Yeesu thõõth icci ho, uduhaak ꞌJairo maaꞌnyĩ loholeeco ĩĩnnĩk, “Ma hommoꞌthi, ꞌnyaak lemiinit, hátĩ hũbũna loholeeca.”
LUK.8.51	Ma uppwaanni Yeesu õlõõ cĩ ꞌJairo ho, ũũk ẽtẽdẽyẽẽhĩ eet ngaatĩ adukni ꞌcieetõõ nẽ ẽlẽmaahĩ Pẽẽtũrũ, hĩ Yõaannẽ hĩ ꞌJeemith dioo hĩ maaꞌnyĩ loholeeco hĩ aattĩnnĩ. 
LUK.8.52	Ma baa okoleek eeta luulu nĩngaata ho, ikia irrioonĩk Yeesu ĩhõõggõ ĩĩnnĩk, “Ma haluyyu, nga hadaak loholeeca, õhõda ũꞌnyaaha haaga.”
LUK.8.53	Arannĩ hinnia eeta Yeesu thõng, hĩnĩngĩtĩ baa agaacõ nẽẽg ngaatĩ adaahĩ loholeec ẽlẽk. 
LUK.8.54	Ma ho, aggam Yeesu loholeec aꞌthiit nẽ ĩĩnnĩk, “Loholeec caannĩ ho, tĩnga!” 
LUK.8.55	Ma nĩngaata, õbõda lorii cĩ loholeeco, nĩngĩtĩ arũgnaanĩ haau ꞌjieena. Nẽ uduhaak Yeesu eet haanytĩk ꞌgiimwa hadak. 
LUK.8.56	Baa anyamũũtana thõõth ciee ꞌthĩnĩt cĩ maaꞌnyĩ loholeeco hĩ cĩ aattĩnnĩ gẽrrẽẽt. Nĩngĩtĩ irrioonĩkĩ Yeesu ĩhõõggõ hiittiõõ hõllõngaa appulanaak eet umwa thõõth icci ũdũt.
LUK.9.1	Ma baa ũtũvva Yeesu ꞌthooyyiak ꞌcĩg ĩĩn õmmõtõ hĩ ꞌramma ho hiita ngaatĩ hõdẽẽthõng, ikia aaꞌnyĩk ĩhõõggõ ꞌtirrian hĩ makaaꞌthĩt ꞌcĩ iiggiaĩ loriẽẽt ꞌcĩg abathĩ vẽlẽk heelliaĩĩ eet mooriꞌthioohĩ, 
LUK.9.2	nẽ ĩꞌthõ ĩhõõggõ hõõt hillimatteek eet thõõth cĩ habuccieet cĩ Nyekuci nẽ aanytĩk ꞌcĩg õmmõõrĩ hũbũttaathõ. 
LUK.9.3	Nĩngĩtĩ aduhaakĩ ĩhõõggõ annẽẽkĩ, “Õõt haaga. Ma haꞌnyahi eet umwaa hĩbahĩt hode locoburo hode ꞌgẽẽn hode ꞌrabbẽẽta hode ceremwa. 
LUK.9.4	Ma uduhuttu halang umwa, aallattia nĩngaata ĩꞌthõng ũtũngteek ꞌtaaũn tĩho. 
LUK.9.5	Nẽ má aburruung eeta ngaamwaanĩ, utuddungteek tuduhaac cĩ ꞌthoo cugguung nĩngaata, hatĩ ũtũngteehu ꞌtaaũn tĩho, hátĩ hĩĩ terethiinit ꞌcĩ utuburru niig ĩhõõggõ.” 
LUK.9.6	Nĩngĩtĩ ĩꞌngaannĩ ꞌthooyyiaha õõĩ olooyyiohĩ vẽlẽk nẽ illimanit nyeemuut ꞌcĩ abũnnaa nẽ aanytĩk eet hũbũttaathõ mooriꞌthioohĩ lõkõrẽẽt vẽlẽk.
LUK.9.7	Ma baa athĩhĩ Ẽrõõdẽ habuui thooꞌthiok iccig vẽlẽk ko, ikia õmmõthĩ nẽẽ gẽrrẽẽt, hĩnĩngĩtĩ baa aĩ eeta ũgẽẽgĩ, ũrũga Yõaannẽ daahĩtha, 
LUK.9.8	nẽ tarĩ ĩĩtõ ũgẽẽgĩ õbõda Eliijja nẽ ĩĩtõ ũgẽẽgĩ ũrũga põrõvẽtaacĩ umwaa ꞌcĩ baa baarkit. 
LUK.9.9	Baa õthõõth Ẽrõõdẽ aĩ, “Baa huruha naa Yõaannẽ ẽlẽk nẽ nganĩ ciee nga hathihi naa aĩ, adĩman thooꞌthiok ꞌcĩg aattĩg hoti ho?” Nĩngĩtĩ adiim acĩnĩ nẽẽ Yeesu.
LUK.9.10	Ma baa oboddia ꞌthooyyiaha, iita uduktaak Yeesu dtiicanĩ ꞌcĩg baag adĩman nẽẽg ko. Nĩngĩtĩ õkõõĩ nẽẽ ĩhõõggõ ĩĩcĩ ꞌtaaũn cĩ Beꞌthaida. 
LUK.9.11	Au hinnia aga eeta thõõth icci, nĩngĩtĩ anũĩ ĩnõõnnõ. Nẽ atal Yeesu ĩhõõggõ ngaatĩ auuni nẽ illimaneek ĩhõõggõ thõõth cĩ habuccieet cĩ Nyekuci nẽ aaꞌnyĩk ꞌcĩg õmmõõrĩ hũbũttaathõ.
LUK.9.12	Ma baa iggiingi kõrra, iita ꞌthooyyiaha ĩĩttĩk Yeesu, “Duhaak eet hõõt hummuddia ꞌgẽẽn olooyyiohĩĩ ꞌcĩg obokii hĩ nĩngĩtĩ ooginni, hĩnĩngĩtĩ haattĩg naag ngaatĩ aitiõõnnĩ ꞌgii vẽlẽk tõõ.”
LUK.9.13	Ẽdẽcĩ hinnia Yeesu anneek, “Aanytĩk niig ĩhõõggõ ꞌgiimwa hadahit.”
LUK.9.13	Ẽdẽcĩ nẽẽg Yeesu anneek, “Haꞌnyaka naag ũbũnẽẽt ꞌtur hĩ ulugo ꞌramma haaga, occa thĩ mĩĩ nõõ hõõ hũũtanna ꞌgẽẽn cĩ eet iccig vẽlẽk.” 
LUK.9.14	Baa ũũppan eeta ꞌcĩg maacĩg dioo ĩĩn aalibꞌnya ꞌtur nĩngaata.
LUK.9.14	Nĩngĩtĩ annẽẽkĩ Yeesu nuyyiook cĩgĩnnĩg, “Aanytĩk eet haauto loota hĩĩtõ hẽẽn ꞌtur, hẽẽn ꞌtur.” 
LUK.9.15	Nĩngĩtĩ adĩmanĩ ꞌthooyyiaha buúk hĩcĩ aduha nẽẽ ho. 
LUK.9.16	Ma ho, ittiha Yeesu ũbũnẽẽt ꞌcĩg ĩĩn ꞌtur hĩ ulugo ꞌcĩg ĩĩn ꞌramma ho nẽ ĩcĩnõõthĩ hẽẽtkujjieen nẽ alaõõĩ nẽ ẽꞌngẽra. Nĩngĩtĩ aaꞌnyĩkĩ nuyyiook heꞌngerrieek lothippit. 
LUK.9.17	Aduk eeta ꞌgẽẽn tĩho ĩꞌthõng hũũppattĩ nẽẽg vẽlẽk, huluttia ꞌthooyyiaha thuruthur ꞌcĩg ũũppan lohoddwa õmmõtõ hĩ ꞌramma.
LUK.9.18	Kõr umwa, baa õkõ Yeesu ĩĩcĩ burki nẽ ũũk alaõ. Ma nĩngaata, iita ummuddiaak nuyyiooha cĩgĩnnĩg ĩnõõnnõ, nĩngĩtĩ ajini nẽẽ ĩhõõggõ annẽẽkĩ, “Aĩ nõõ ꞌthẽk eeta dẽẽdẽ nganĩ naa?”
LUK.9.19	Ẽdẽcĩ nẽẽg anneek, “Aĩ eeta ũgẽẽgĩ ĩĩnĩ nii Yõaannẽ Batitta, nẽ ĩĩtõ ũgẽẽgĩ ĩĩnĩ nii Eliijja nẽ tarĩ ĩĩtõ ũgẽẽgĩ, iini moho nii põrõvẽtaac umwa cĩ baarkit ꞌcĩ ũrũga thõng.”
LUK.9.20	Nĩngĩtĩ ajini Yeesu ĩhõõggõ tarĩ annẽẽkĩ, “Ma niig ainnu nganĩ naa?”
LUK.9.20	Ẽdẽcĩ Pẽẽtũrũ aĩ, “Ĩĩnĩ nii Krĩstõ ꞌcĩ ĩꞌthõõa Nyekuci.”
LUK.9.21	Ma ho, itilo Yeesu ĩhõõggõ hiittiõõ hõllõngaa õõ aduhaak eet umwa thõõth icci ũdũt.
LUK.9.22	Ma nĩngaata, uduhaak Yeesu nuyyiook ĩĩnnĩk, “Accananni hatĩ Ngeertĩ Eeto ĩꞌthõng nẽ ũtũbũrĩt makayyiooha cĩg eetuk hĩ makayyiook cĩg paadĩrꞌnyaannu, hĩ ꞌlimmanniook cĩg nyattaalak nẽ hatĩ uruhi. Ma urutaa cĩ waathinniook iyyio, arũgna hatĩ nẽẽ daahĩtha.”
LUK.9.23	Ma ho, uduhaak ĩhõõggõ vẽlẽk ĩĩnnĩk, “Ẽẽtĩ ꞌcĩ adiim anũyya nganĩĩta, aꞌnyĩĩk hẽlẽmana ẽlẽ cĩnnĩ nẽ irriongan hurucce
LUK.9.24	Ẽẽtĩ ꞌcĩ adiim aꞌthũũnnĩ rũgẽt cĩnnĩ, adhuheek hatĩ tuu, nẽẽthĩ, ẽẽtĩ ꞌcĩ adhuheek rũgẽt cĩnnĩ tuu, hĩnĩngĩtĩ nganĩĩta, ẽẽla hatĩ nẽẽ rũgẽt cĩnnĩ. 
LUK.9.25	Ne ꞌyioko ꞌthẽk ꞌcĩ occa ammũda ẽẽtĩ hĩĩ ꞌcĩ aaꞌnyĩhõõthĩkĩ ĩnõõnnõ lõõcĩ nicciee vẽlẽk nẽ udhuheek rũgẽt cĩnnĩ tuu? 
LUK.9.26	Nẽ má abũrĩ ẽẽtĩ umwaa ngaatĩ ẽlẽmma nganĩĩt hĩ thõõth caannĩ, abũrĩ hatĩ Ngeertĩ Eeto buúk ngaatĩ ẽlẽmmĩ ĩnõõnnõ, hatĩ ikia nẽẽ bulẽẽttaa cĩnnĩ, hĩ ĩĩcĩ Maacõnĩ, hĩ ĩĩcĩ aajĩlẽẽt ꞌcĩg ẽllẽẽmĩthĩ. 
LUK.9.27	Haduhaakuung dĩdĩ, aattĩg eeta ũgẽẽgĩ hõrggẽẽnaa cunuung ꞌcĩg hatĩ arũgĩ ĩꞌthõng hĩcĩnĩt habuccieet cĩ Nyekuci.”
LUK.9.28	Ma urutaa cĩ waathinniook turkiyyio, ũtũvvũ nẽẽ Pẽẽtũrũ, hĩ Yõaannẽ, hĩ ꞌJeemith nẽ ũũhĩ ĩhõõggõ muuraa umwaanĩ ĩĩcĩ õõ alaiini. 
LUK.9.29	Ma baa nga alayyi nẽẽnĩ, ũtũhũĩ muum cĩnnĩ hĩ ceremwa hattaalito hĩĩtõ õõppẽr. 
LUK.9.30	Ma hĩdĩĩkoothong, uppwaatta Mũũꞌtha hĩ Eliijja 
LUK.9.31	bulẽẽttaa ꞌcĩ ẽllẽẽmĩth gẽrrẽẽt, hiita hothooꞌthio hĩ Yeesu. Baa atuhan nẽẽg thõõth cĩ ꞌgõõl ꞌcĩ hatĩ õkõ adaaknĩ Yeesu ꞌJeruꞌthalẽma hĩ baa adukiaa. 
LUK.9.32	Ammũdeek hinnia thõõth ciee aggamta Pẽẽtũrũ hĩ ꞌgõõnõgĩ ũꞌnyaaha. Ma baa acĩnĩ ho, adtuuha hinnia bulẽẽnĩt cĩ Yeesu nẽ ĩcĩnĩt eet ꞌramma abĩlĩ hõdẽĩ hĩ ĩnõõnnõ. 
LUK.9.33	Ma baa ĩꞌngaathĩ Mũũꞌtha hĩ Eliijja õõ ho, othoothĩk Pẽẽtũrũ Yeesu ĩĩnnĩk, “Makayyioohit, ẽllẽẽmĩth ngaatĩ haattiyyi ngaati gẽrrẽẽt, hẽtẽhẽnyta da ꞌcieethi iyyio, cunni hõdẽĩ, cĩ Mũũꞌtha hõdẽĩ nẽ ĩĩ cĩ Eliijja.” Baa hõllõngaa aga Pẽẽtũrũ thõõth ꞌcĩ aduha ho.
LUK.9.34	Ma baa nga õthõõth Pẽẽtũrũ, uppwaanna diith umwaa nẽ ũmmũt ĩhõõggõ, nĩngĩtĩ itieelini ꞌthooyyiaha gẽrrẽẽt. 
LUK.9.35	Ma ho, õthõõtha mõlõõhĩ umwaa diithatõõ ĩĩ, “Loholeec caannĩ ꞌcĩ hẽbẽra cieeni, ĩthĩhĩt ĩnõõnnõ.”
LUK.9.36	Ma baa õthõõth mõlõõhĩ ẽlẽk, iita ĩcĩnĩt ꞌthooyyiaha Yeesu aau ẽmmẽn. Nĩngĩtĩ au ammiꞌthẽẽnĩ nẽẽg thõõth icci korriook nicciag ĩꞌthõng irkiꞌnyia ũgĩ.
LUK.9.37	Ma loohoth cĩnnĩ, ulluuccia Yeesu hĩ ꞌthooyyiak cĩgĩnnĩg muuraa nẽ iita ommottio hĩ lothippit cobbi gẽrrẽẽt unaahatõõ. 
LUK.9.38	Ma nĩngaata noho, õthõõthak eet umwaa Yeesu lothippitatõõ ĩĩnnĩk, “ꞌLimmannioohit, ẽlaahaa baaĩ nuun loholeec caannĩ ꞌcĩ odoyyii ho. 
LUK.9.39	Loholeec ꞌcĩ accananeeka lorii ꞌcĩ abathĩ, ara ẽttẽẽdĩ looc hẽvẽvvẽr ĩꞌthõng huduu ũtũgĩ. Hõllõngaa alahaneek buúk nẽ iꞌnyiathanaaha loholeec gẽrrẽẽt. 
LUK.9.40	Baa hala nuyyiook cugunnig hitiggiaacõ, aitiõõ hinnia hõllõngaa ũũlũ ũdũt.”
LUK.9.41	Nĩngĩtĩ annẽẽkĩ Yeesu ĩhõõggõ, “Illoorru niig eeta cĩg irkiꞌnyia iccig ko gẽrrẽẽt nẽ nga aitioonnuung lemiiniti tõõ. Adiimmu niig hũrũmtĩ naag hĩ ngagiit ĩꞌthõng hatĩngaan? ꞌNyaha daho loholeec cunni ho ngaati ẽlẽ.”
LUK.9.42	Tananga baa nga õkõ buuleniti ĩĩcĩ aayyi Yeesu, ara ẽttẽẽdĩ lorii ꞌcĩ abathĩ ho ĩnõõnnõ looc noho ꞌlir hẽvẽvvẽr. Ma ho, eggerꞌnyeek Yeesu lori ꞌcĩ abathĩ ho, hũbũna buuleniti nĩĩcĩ noho. Ma nĩngaata, õbõdẽẽhĩ Yeesu loholeec maaꞌnyĩ. 
LUK.9.43	Nĩngĩtĩ abulanĩ ꞌtirriani ꞌcĩ Nyekuci ho eet gẽrrẽẽt.
LUK.9.43	Ma baa nga abulan eet ꞌlẽẽmĩthĩ cĩ thõõth ꞌcĩ adtican Yeesu ho, ĩĩnnĩk nẽẽ nuyyiook cĩgĩnnĩg, 
LUK.9.44	“Ĩthĩhĩt thõõth ꞌcĩ hẽppẽẽdahuung naa ho jurrung. Õhõppõõcanoothĩk hatĩ Ngeertĩ Eeto athĩnĩĩ cĩg eetuk.” 
LUK.9.45	Baa hinnia aitiõõ hõllõngaa aga nẽẽg thõõth ꞌcĩ õthõõth Yeesu ho, hĩnĩngĩtĩ baa ammiꞌthi hĩ ĩhõõggõ hiittiõõ hõllõngaa aga. Nẽ tarĩ, baa itieelli nẽẽg ngaatĩ ajini ĩnõõnnõ.
LUK.9.46	Ma kõr umwa, ẽppẽhattõõĩ ꞌthooyyiaha cĩg Yeesu thõõth ꞌcĩ aĩ, nganĩ occa hatĩ ꞌcĩ maka hõrggẽẽnaa cĩnĩĩng. 
LUK.9.47	Baa aga Yeesu muhẽẽnĩt cĩnĩĩng ko. Nĩngĩtĩ attihaanĩ loholeec ꞌcĩ hidici nẽ aaꞌnyĩk hĩbĩl ojoonu hĩ ĩnõõnnõ. 
LUK.9.48	Nẽ irrioonĩk ĩhõõggõ ĩĩnnĩk, “Ẽẽtĩ ꞌcĩ ẽlẽmĩ ngaatĩ arũmẽẽnĩ hĩ loholeec icci õlõõ cĩnnĩ taliitta ꞌthaarĩĩ cĩgannĩg, ẽlẽmma nganĩĩta nẽ ẽẽtĩ ꞌcĩ ẽlẽmma nganĩĩta, ẽlẽmĩ eet baa ĩꞌthõõannaa nganĩĩt buúk. Ẽẽtĩ ꞌcĩ hidici gẽrrẽẽt hõrggẽẽnaa cunuung vẽlẽk, ĩnõõnnõ ꞌcĩ maka gẽrrẽẽt.”
LUK.9.49	Ma ho, ĩĩnnĩk Yõaannẽ Yeesu, “Makayyioohit baa hacĩnna eet umwa iiggia loriẽẽt ꞌcĩg abathĩ ꞌthaarĩĩ cugunnig, nẽ hĩĩttĩha occa abĩllĩ dtiic cĩnnĩ ho, hĩnĩngĩtĩ hõllõngaa ĩĩn nẽẽ eet cĩnaac.”
LUK.9.50	Ẽdẽcĩ hinnia Yeesu anneek, “Ma habĩllu, hĩnĩngĩtĩ ẽẽtĩ ꞌcĩ hõllõngaa aaburreekeet ngagĩĩta, ĩĩn eet cĩnaac.”
LUK.9.51	Ma baa õbõhĩ kõrra ꞌcĩ odongiini Yeesu õkõõĩ hẽẽtahujjieen, ikia ĩrĩnyanoothĩk nẽẽ ngaatĩ õkõõĩ ꞌJeruꞌthalẽma. 
LUK.9.52	Nĩngĩtĩ ĩꞌthõõĩ eet ũgĩ hutuwattĩ hõõt õlõõ umwaanĩ looccaa cĩ Thamaria,
LUK.9.53	Nẽẽthĩ hinnia, baa abũrĩ eeta cĩg õlõ tĩho Yeesu, hĩnĩngĩtĩ baa aku edeceek nẽẽ ĩĩcĩ ꞌJeruꞌthalẽmĩ. 
LUK.9.54	Ma baa adtuuha nuyyiooha, ꞌJeemithi hĩ Yõaannẽ thõõth ꞌcĩ aaĩ hoti ho, õõt ijinit Yeesu ĩĩttĩk, “Makayyioohit, adiimmeet nii ngagĩĩt hutuvvuyyiaawa ꞌgwoo hẽẽtahujjieen hĩ baa Eliijja, hikia hũtũũth eet iccig?” 
LUK.9.55	Abbuudi hinnia Yeesu nẽ eggerenyeek ĩhõõggõ, 
LUK.9.56	nĩngĩtĩ õõĩ õlõõ ꞌcĩ ꞌrĩĩng.
LUK.9.57	Ma baa nga ẽdẽcĩ nẽẽg ꞌgõõla, ĩĩnnĩk eet umwaa Yeesu, “Hanuyyii hatĩ naa nganiit loonyini vẽlẽk ĩcĩg õkõõĩ.”
LUK.9.58	Ẽdẽcĩ hinnia Yeesu ĩnõõnnõ anneek, “Aꞌnyak irrieerrwaana tabannwa ꞌcĩg ooginni nẽ aꞌnyak hĩbaallĩ buúk ꞌcieethi cĩggĩĩng, nẽẽthĩ, aitiõõ Ngeertĩ Eeto nĩngĩtĩ aruhaanĩ õõ haaga tõõ.”
LUK.9.59	Ma ho, õbõk Yeesu eet umwa nĩngaata noho nẽ ĩĩnnĩk, “Ijjia nũaanĩ.”
LUK.9.59	Ẽdẽcĩ hinnia ẽẽtĩ tĩho aĩ, “Makayyioohit, aꞌnyaa nõõ hũũk hũmmũt nyakangaan nẽ hõbõda.”
LUK.9.60	Ẽdẽcĩ Yeesu ĩnõõnnõ anneek, “Aꞌnyĩĩk daakiak hũmmũtĩt daakiak nyaagwaana. Bĩĩt nẽẽ nii ꞌlimmaneek eet nyeemuut cĩ habuccieet cĩ Nyekuci.”
LUK.9.61	Ma nĩngaata, ẽdẽca ẽẽtĩ umwaa tarĩ ĩĩ, “Makayyioohit, hanuyyii nẽẽꞌthẽk hatĩ naa buúk nganiita, ĩꞌnya nõõ hũũk huduhaak eet cĩg halang caannĩ.”
LUK.9.62	Ẽdẽcĩ hinnia Yeesu ĩnõõnnõ anneek, “Aitiõõ eet ꞌcĩ aggam hõllaac cĩ taꞌngõõ nẽ ubbuudõthĩ looc uruta, hõllõngaa ũũppan ngaatĩ occa adticaniini habuccieetaa cĩ Nyekuci.”
LUK.10.1	Ma urutaa cĩnnĩ, ẽbẽra Yeesu Makayyioohiti nuyyiook hẽẽn tũkĩramma hĩ ꞌramma tarĩ nẽ ĩꞌthõ hĩ ꞌramma hĩ ꞌramma, hutuwattĩ hõõt ꞌtaaũnnioohĩ hĩ ꞌgoolliohĩ vẽlẽk ĩcĩg hatĩ õkõõĩ nẽẽnĩ. 
LUK.10.2	Baa iloot nẽẽ ĩhõõggõ anneek, “Ibbiir mana cobbi gẽrrẽẽt nẽ hĩdĩcĩg hinnia janniooha. Alaac Makayyioohit baattĩ manu hĩꞌthõõa janniook ũgĩ. 
LUK.10.3	Ĩtĩngaac õõtõ. Nẽẽthĩ, agayyiooth ngaatĩ hĩꞌthooikuung ꞌyioko naa ngagiit ngaatĩ abathĩ, hĩ aꞌtha ꞌcĩg aꞌngĩdoothĩk ngaatĩ abbĩꞌthẽẽnĩ huduumwaana. 
LUK.10.4	Nẽẽthĩ, ma haꞌnyaku ꞌrabbẽẽt, hode locoburo hode caawa nẽẽ haaga. Nẽ ma hĩꞌthaayyu eet umwa ꞌgõõla ũdũt.
LUK.10.5	“Ma aduhunnu halang cĩ eet umwa, aggatanit nõõ ĩĩttĩk, ‘Aꞌnyĩĩk ganõn haau halangatõõ ĩĩcĩ.’ 
LUK.10.6	Nẽ má aaĩ ẽẽtĩ ꞌcĩ abũnnaa halangatõõ tĩho, aggatan hatĩ laiiniti cunuung cĩ bũnnaiitto ho ĩnõõnnõ. Má aitiõõ, õbõda hatĩ ꞌgattanĩ cunuung ko hĩ ngagiita. 
LUK.10.7	Aallattia halangatõõ tĩho, ma hovvooyyu ꞌjieena ũdũt. Adahit ꞌgẽẽn ꞌcĩ aaꞌnyuung eeta cĩg halang tĩho, hĩnĩngĩtĩ ũũppan ẽẽtĩ ꞌcĩ idticanõõ ngaatĩ adũmaniini.
LUK.10.8	“ꞌTaaũnaa ĩĩcĩ õõ aduhunnu nẽ ẽlẽmtuung eeta, adahit ꞌgẽẽn ꞌcĩ aaꞌnyuung nẽẽgĩ. 
LUK.10.9	Õõt ꞌthẽk aanytĩk eet vẽlẽk ꞌcĩg õmmõõrĩ hũbũttaathõ, nẽ uduktaahu iittihu, ‘Aau habuccieet cĩ Nyekuci ojoonu.’ 
LUK.10.10	Nẽẽthĩ, ꞌtaaũnaa ĩĩcĩ ooyyu nẽ utuburruung eeta, õõt ꞌgoolliohĩ cĩggĩĩng nẽ iittihu, 
LUK.10.11	‘Ĩꞌnya hutuddungteeha tuduhaac cĩ ꞌtaaũn cunuung ꞌcĩ aaĩ ꞌthõõnĩ cĩggaang ko loota, hĩĩ terethiinit ꞌcĩ adulothoothikuung bolloohiniti. Nẽẽthĩ, agaac jurrung ngaatĩ aavvi habuccieet cĩ Nyekuci ojoonu.’ 
LUK.10.12	Haduhaakuunga, mẽẽttĩg hatĩ eeta cĩg ꞌThõõdõmĩ kõr ꞌcĩ ẽttẽẽdĩkĩ Nyekuci eet vẽlẽk thõõth, hĩllõõan eet cĩg ꞌtaaũn tĩho.”
LUK.10.13	Ma ho, õthõõth Yeesu ĩĩ, “Pĩĩrnanĩt hĩ ngagiit eet cĩg Korathini hĩ cĩg Beꞌthaida! Hĩnĩngĩtĩ ꞌyioko baa hĩĩ ꞌcĩ adĩmaniini thooꞌthioha ꞌcĩg ĩnaat eeta looccaa cunuung ko, hĩĩ ꞌcĩ baa adĩmaniini ꞌtaaũnnioohĩĩ cĩg ꞌTire hĩ ꞌThidõõnẽ, occa baa ũtũngteek eeta cĩg ꞌTire hĩ ꞌThidõõnẽ ꞌthẽccanẽẽt cĩggĩĩng baa hũnũũk ꞌrĩng. Occa ꞌyioko baa ahimit ceremwa cĩg ulwaanak nẽ aauto hatiꞌtheeta. 
LUK.10.14	Nẽẽthĩ, mẽẽttĩg hatĩ eeta cĩg ꞌTire hĩ cĩg ꞌThidõõnẽ kõr ꞌcĩ ẽttẽẽdõthõõthĩkĩ eet thooꞌthioha hĩllõõattuung ngagiita. 
