MAT.1.1	Ã ndei Jesucristo i ñiinda ã. David rei ei tuchɨ. Abraham abe no.
LUK.3.11	Juan ngue ñee ee ra. —Ndeɨrao nyeremo mose, enongue emondo eɨrao eã je. Ndechɨurã mose, emo emondo mbaecha reã je, ɨ que Juan mbia mbaaquiatu quiatu ra. 
LUK.3.12	Impuestos isi isiquia mo abe que nyoɨ Juan je ra. Juan bautizar ɨ sacuã ee. —¿Mbae rese ra ureɨco ure re? ɨ que ñee Juan je ra. 
LUK.3.13	—¡Mbae ra jembatachɨ̃ jẽ! ¡Cobrar jenye turã ño jẽ! Jẽɨcua quiatu chõ, ɨ que Juan ee ra. 
LUK.3.14	Soldados mo abe que ñee Juan je ra. —¿Mbae rese ra ureɨco ure re no? ɨ que soldados ñee Juan je ra. Juan ngue ñee ee ra. —¡Mbia mbae ra jẽisi chooñochɨ̃ jẽ! “Co que mbae ɨcuã saã nda” ¡jenye chooñochɨ̃ nda emo je jẽ! Jembae ae chõ jendeco, ɨ que Juan ñee soldados je ra. 
LUK.3.15	Mbia que mae quiatu quiatu quia Juan ndese ra. —Cristo chõ co reae, ɨ raque mae quiatu quiatu erese. 
LUK.3.16	Juan ngue ñee mbia jaje ra. —I achõ je chõ aɨco nguiã bautizar ɨ mbia je co. Co chɨ emo ndu quia seruɨ co. Ae quia equirãcuã tuchɨ sesɨ re. Ae quia eturã tuchɨ sesɨ re. Ae quia ra bautizar ɨ mbia je Espíritu Turã je. Mbia chɨã mbitirõ sacuã. Sã tata riqui mbae mbitirõ no. 
LUK.3.17	Ae ra mbia umbae mɨɨ ɨcúe. Eturã achõ ño embae re. Ae embae eã nae, ũquɨ̃ nda esei cote. Ũquɨ̃ ndeisa ra ua eã mbeɨ tata. Sã mbia quiata a chiqui chiqui no. Sã ea mɨɨ ɨcúe no. Sã echuruique mombo tátaa no, ɨ que Juan ñee mbia je ra. 
LUK.3.18	Eɨ̃ ngue Juan nguia Dios cheẽ turã nenei nenei mbia je ra. Mbia mbaaquiatu tuchɨ. 
LUK.3.19	Ererecua Herodes je que Juan ñee nyee ra. Felipe ninisi rese siqui mose. —¿Mbaerã ereɨco ndenongue ninisi rese re? ɨ que Juan ererecua je ra. —Mbae ɨcuã eresaã saã ja techɨ̃ nguia re, ɨ tuchɨ que Juan ee ra. 
LUK.3.20	Ererecua que Juan ñee mumba beɨ chõ nda. Ererecua que Juan tarõ nyee cárcel nda.
LUK.3.21	Juan bautizar ɨ mose mbia jaje, Jesús je abe que bautizar ɨ ra. Jesús que ñee ñee nguia ngu je ra. Ibei que obo ee ra. 
LUK.3.22	Espíritu Turã ngue nguichi Jesús rese ra. Nyurusɨ rã ño nguichi checua erese. Ibatenda que ñee ee ra. —Seriirĩ ño nde re. Sechesecua chõ nde re. Seyate nderese, ɨ que Ibatenda Jesús je ra.
LUK.3.23	Jesús treinta años mose que mbia mbaaquiatu quiatu ramo nda. —José riirĩ, ɨ ja que mbia Jesús je ra. Elí riirĩ nguia José re. 
LUK.3.24	Elí rei Matat ndiirĩ. Matat ndei Leví riirĩ. Leví rei Melqui riirĩ. Melqui rei Jana ndiirĩ. Jana ndei José riirĩ. 
LUK.3.25	José rei Matatías riirĩ. Matatías rei Amós ndiirĩ. Amós ndei Nahum ndiirĩ. Nahum ndei Esli riirĩ. Esli rei Nagai riirĩ. 
LUK.3.26	Nagai rei Maat ndiirĩ. Maat ndei Matatías riirĩ. Matatías rei Semei ndiirĩ. Semei ndei José riirĩ. José rei Judá riirĩ. 
LUK.3.27	Judá rei Joana ndiirĩ. Joana ndei Resa riirĩ. Resa rei Zorobabel riirĩ. Zorobabel rei Salatiel riirĩ. Salatiel rei Neri riirĩ. 
LUK.3.28	Neri rei Melqui riirĩ. Melqui rei Adi riirĩ. Adi rei Cosam ndiirĩ. Cosam ndei Elmodam ndiirĩ. Elmodam ndei Er riirĩ. 
LUK.3.29	Er rei Josué riirĩ. Josué rei Eliezer riirĩ. Eliezer rei Jorim ndiirĩ. Jorim ndei Matat riirĩ. 
LUK.3.30	Matat rei Leví riirĩ. Leví rei Simeón ndiirĩ. Simeón ndei Judá riirĩ. Judá rei José riirĩ. José rei Jonán ndiirĩ. Jonán ndei Eliaquim ndiirĩ. 
LUK.3.31	Eliaquim ndei Melea riirĩ. Melea rei Mainán ndiirĩ. Mainán ndei Matata riirĩ. Matata rei Natán ndiirĩ. 
LUK.3.32	Natán ndei David riirĩ. David rei Isaí riirĩ. Isaí rei Obed riirĩ. Obed rei Booz riirĩ. Booz rei Salmón ndiirĩ. Salmón ndei Naasón ndiirĩ. 
LUK.3.33	Naasón ndei Aminadab riirĩ. Aminadab rei Aram ndiirĩ. Aram ndei Esrom ndiirĩ. Esrom ndei Fares riirĩ. Fares rei Judá riirĩ. 
LUK.3.34	Judá rei Jacob riirĩ. Jacob rei Isaac riirĩ. Isaac rei Abraham ndiirĩ. Abraham ndei Taré riirĩ. Taré rei Nacor riirĩ. 
LUK.3.35	Nacor rei Serug riirĩ. Serug rei Ragau riirĩ. Ragau rei Peleg riirĩ. Peleg rei Heber riirĩ. Heber rei Sala riirĩ. 
LUK.3.36	Sala rei Cainán ndiirĩ. Cainán ndei Arfaxad riirĩ. Arfaxad rei Sem ndiirĩ. Sem ndei Noé riirĩ. Noé rei Lamec ndiirĩ. 
LUK.3.37	Lamec ndei Matusalén ndiirĩ. Matusalén ndei Enoc ndiirĩ. Enoc ndei Jared riirĩ. Jared rei Mahalaleel riirĩ. Mahalaleel rei Cainán ndiirĩ. 
LUK.3.38	Cainán ndei Enós ndiirĩ. Enós ndei Set riirĩ. Set rei Adán ndiirĩ. Adán ndei Dios riirĩ.
LUK.4.1	Jesús que nyebi Ama Jordán sɨ ra. Espíritu Turã ngue siqui tuchɨ quia erese ra. Turúquiaa que Espíritu Turã Jesús rerao ra. 
LUK.4.2	Huee que eriqui arete ra. Cuarenta días. Mbae mo ngue eu eã mbeɨ aque mose ra. Eriãcuãte que cote ra. —Tã tae rã Jesús je. Ma Jesús mbae ɨcuã naa, ɨ rei que diablo Jesús rɨɨ̃ nda. 
LUK.4.3	—Nde Dios riirĩ mose, mbichae esaã co sɨta je no, ɨ rei que diablo Jesús je ra. 
LUK.4.4	Jesús que ñee ee ra. —Tei. Eɨ̃ ngue embesa ji ñee nda: “Mbia chɨu achõ nda mbia mingo eã. Dios cheẽ nguia ra mbia mingo nguiã”, ɨ que embesa ji ra, ɨ que Jesús diablo je ra. 
LUK.4.5	Aquere que diablo Jesús rerao ibi ibate mo nda. Ibate tuchɨ. Diablo que ibi teacuquia ja Jesús je ra. Ɨshonda abe reacuquia ja ee. Aque mose beɨ que ereacuquia ja ee ra. 
LUK.4.6+LUK.4.7	Diablo que ñee Jesús je ra. —Sembae ja chõ ibi re. Se emondose mose emo je, amondo ra ee. Tamondo tuchɨ ndeje. Mbia ja rerecuarã nda aremɨɨ. Ndeɨco mose serese, tamondo ja ndeje. Serimbarã mose nde, tamondo ja ndeje no, ɨ rei que diablo ñee Jesús je ra. 
LUK.4.8	Jesús que ñee diablo je ra. —Quiatúae sesɨ ae, Satanás. ¿Mañɨ nda nderimba se re? “Dios ae rese chõ jẽɨngo”, ɨ que embesa ji ñee ndesẽ, ɨ que Jesús diablo je ra. 
LUK.4.9	Aquere que diablo Jesús rerao Jerusalén nda. Querao que suruchuɨ ibate Dios chuchua arõ nda. Ibate tuchɨ echuchua. —Nde Dios riirĩ mose, eo oso íbii. Dios ra ndereaquiatu. Eremanoã nda oso ngoɨ. 
LUK.4.10	Sã embesa ji riqui ñee no:
LUK.4.10	Dios ra ángeles mondo ndereaquiatu sacuã.
LUK.4.11	Oje ra ndeisi.
LUK.4.11	Nembuquichi mingue rae.
LUK.4.11	Sɨta ra cua ɨã ndei je,
LUK.4.11	ɨ que embesa ji ra, ɨ rei que diablo Jesús je ra. 
LUK.4.12	Jesús que ñee diablo je ra. —Sã embesa ji ñee no: “‘Ma Dios sereaquiatu. Tã tae ee no’, jenyechɨ̃ nda Dios je”, ɨ ñɨ Dios cheẽ nde, ɨ que Jesús ñee diablo je ra. 
LUK.4.13	Diablo Jesús mbɨɨcuã aronea mose, secha chee que oso ra. —Emo mose jiri ra tã aebe ndeje jẽ, ɨ rei que uchɨangui re ra.
LUK.4.14	Jesús que oso nyebi Galiléaa cote ra. Espíritu Turã quirãcuã ngue siqui tuchɨ quia erese ra. Mbia hue jenda ja que jirandu ja tuchɨ quia erese ra. 
LUK.4.15	Judíos chumunuásaa que Jesús riqui mbia mbaaquiatu quiatu ra. Mbia que ñee turã ja quia erɨɨ̃ nda.
LUK.4.16	Jesús que ngasẽ Nazaret cote ra. Hue rei etiarõsa hue. Sábado mose que esɨ judíos chumunuásaa ra. Sábado mose beɨ que eriqui oso oso huee ra. Juã ngue embesa ji renei nonde mbia je ra. 
LUK.4.17	Mbia que Isaías chɨmbesa mondo Jesús oo ra. Isaías chɨmbesa que eequia cote ra. Ã embesa ji que esaã saã mbia je ra:
LUK.4.18	Espíritu Turã ndiqui tuchɨ serese co.
LUK.4.18	Dios que sererecúe ra.
LUK.4.18	Echeẽ turã nenei nenei sacuã mbaecha reã je.
LUK.4.18	Etarõi mbusẽ sacuã ño ngue Dios sererecúe ra.
LUK.4.18	Eresayã ndesa ɨra sacuã ño ngue sererecúe no nda.
LUK.4.18	Ae je ererecua ɨcuãte riqui nae, ũquɨ̃ mbusẽ sacuã ño ngue Dios sererecúe nguiã no.
LUK.4.19	Mbia je ñee ñee sacuã ngue Dios sererecúe no nda.
LUK.4.19	“Namo ño Dios turã ndiqui nguiã”, ɨ sacuã mbia je,
LUK.4.19	ɨ que Jesús embesa ji mbuchecua mbia je ra. 
LUK.4.20	Jesús que embesa ji mumbi cote ra. Mondo que emo oo cote ra. Ngoi que cote ra. Mbia que mae mbeɨ quia erese ra. 
LUK.4.21	Jesús que ñee mbia je ra. —Embesa ji que ambuchecua jẽje namo, aque ɨo quia jẽje a cote, ɨ que Jesús mbia je ra. 
LUK.4.22	Mbia que ñee turã ja quia Jesús rɨɨ̃ nda. —Jesús cheẽ turã tuchɨ quia eriqui re, ɨ ja tuchɨ que mbia nyuruɨra ra. —¿José riirĩ ño co re? ɨ que mbia quia ee ra. 
LUK.4.23	Jesús que ñee mbia je ra. —“Mbia mae sayã ngue eresaã saã Capernaum nae, ũquɨ̃ mo esaã aa ndechuchúaa no”, jenye arõte seje sechuchúaa. 
LUK.4.24	Tacheẽ nyecua rã jẽje. Dios cheẽ mbuchecuasa ɨshonda cheẽ nguia ra mbia isi turã mbeɨ quia. Nguecua jenda cheẽ nguia ra eisi turã eã. 
LUK.4.25	Tacheẽ nyecua rã jẽje. Elías reco mose íbii, ama ngue nyaaquíã mbeɨ ra. Tres años ndobeɨ. Mbia riãcuã ja que aque mose ra. Eru cheecha tubɨrɨãte que chɨ rei hue Israel jenda ra. 
LUK.4.26	“Ũquɨ̃ eru cheecha mo je mbae echao turã”, ɨ ãte que Dios quia Elías je ra. “Sarepta jenda je quia mbae echao eru cheecha je”, ɨ quiatu que Dios ee ra. Judío eã je quiatu que Dios Elías mondo ra. 
LUK.4.27	Eliseo reco mose íbii, leprosos tubɨrɨãte que chɨ rei hue Israel jenda ra. Eliseo que hue jenda mo mbucheroã no nda. Ɨshonda mo nguiatu que embucherõ Siria jenda ra. Naamán, ɨ que ee ra, ɨ que Jesús ñee mbia je ra. 
LUK.4.28	Judíos chumunuasa que Jesús riqui ñee mbia je ra. Mbia Jesús cheẽ andu mose que paama ɨ ee ra. 
LUK.4.29	Mbia paama ɨ je que Jesús mombo sucha tubɨrɨã sɨ ra. Sɨta ibate que sucha tubɨrɨãte ra. Sɨta rimia mbucu que mbia Jesús rerao rei ra. Hue sɨ nda emombo nguiã ña. 
LUK.4.30	Jesús que oso chee mbia tubɨrɨã ite re sɨ ra.
LUK.4.31	Jesús que oso Capernaum cote ra. Sucha tubɨrɨã mo. Galilea jenda. Sábado mose que mbia mbaaquiatu quiatu ra. 
LUK.4.32	Ererecua rã ño ngue Jesús riqui mbia mbaaquiatu quiatu ra. Nyebe mbia riqui nguiã nyuruɨra tuchɨ echeẽ andu. 
LUK.4.33	Huee que ameɨ mo ndiqui mbia chumunuásaa ra. Aba checuayã ɨcuã nyɨreco rei ae. Aque que ñee asite Jesús je ra. 
LUK.4.34	—¿Mbaerã erechu quia urerea co re, Jesús? Quiatúae urerecha ae. ¿Urerɨɨcharã ño erechu quia co re? Dios rucucha chõ nde re. Areɨcuate se, ɨ rei que aba checuayã ɨcuã Jesús je ra. 
LUK.4.35	Jesús que ñee ee ra. —Equɨrɨrɨ chõ jẽ. Esẽ oso ameɨ ñɨangui sɨ, ɨ que Jesús ee ra. Jesús cheẽ mose que aba checuayã ameɨ mombo íbii ra. Mbia tubɨrɨãsaa. Usẽ ngue u ameɨ mbasiã cote ra. 
LUK.4.36	Mbia turɨrɨã ngue nyuruɨra ja u erea ra. —Jesús quirãcuã ae ñee nguiã. Mbia rerecua rã ño eriqui nguiã ñee aba checuayã ɨcuã je. ¡Sã aba checuayã echeẽ mumbayã jẽ! ɨ tuchɨ que mbia nyuruɨra erea ra. 
LUK.4.37	Mbia que ñimbiirandu randu ja Jesús rese ra. Erurubinda jenda abe jirandu ja erese.
LUK.4.38	Jesús que usẽ mbia chumunuasa sɨ cote ra. Oso que ɨque Simón nyuchua cote ra. Ɨ que Simón nyari rasi u ee ra. Eracu tuchɨ que ee ra. —Embucherõ na, ɨ tuchɨ que mbia Jesús je ra. 
LUK.4.39	Jesús que oso nyibi earõ nda. Ñee ngue eracu je ra. —Etiba, ɨ que ee ra. Eracu que huɨ esɨ Jesús cheẽ nguire ra. Ari que juã cote ra. Mbae que echao chao mbia chɨurã cote ra.
LUK.4.40	Tenda ɨreɨ̃ mose que mbia nguesenda rasi rurucuaẽ cuaẽ ja Jesús je ra. Erasi chumumbara tuchɨ que ra. Jesús que o chono ñono ja erasi arõ embucherõ cherõ ja ra. 
LUK.4.41	Aba checuayã ɨcuã ngue usẽ usẽ nguia mbia sɨ Jesús cheẽ mose cote ra. —Nde rei Cristo Dios riirĩ, ɨ que usẽ usẽ mbia sɨ ra. —¡Jẽñee eã ño jẽ! ɨ tuchɨ que Jesús quia aba checuayã ɨcuã je ra. Ũquɨ̃ ngue Cristo ɨcua chõ nda.
LUK.4.42	Nyaashɨ̃ namo mose que Jesús sɨ turuquia a. ra. —Se ae taɨco mbɨrɨ̃ na, ɨ rei que ra. Mbia que nyoɨ eruɨ erea chee ra. —¡Eresochɨ̃ nda urerecha jẽ! Ure rese beɨ chõ eɨco, ɨ rei que mbia ñee Jesús je ra. 
LUK.4.43	Jesús que ñee ee ra. —Dios cheẽ tasenei senei pe quitinda je abe. Nyebe sembu nguiã, ɨ que Jesús ra. 
LUK.4.44	Jesús que mbia mbuchesea sea quia Galilea jenda ra. Dios cheẽ nenei nenei judíos chumunuásaa.
LUK.5.1	Emo mose que Jesús riqui ama ndɨsha rimia ndese ra. Genesaret, ɨ que ama ndɨsha aque je ra. Mbia cuabẽ ngue ngaẽ ee huee ra. Dios cheẽ anduse rete que ra. Nyebe mbia tubɨrɨã Jesús mumbi ɨ ɨ tuchɨ nguiã. 
LUK.5.2	Canoa nyeremo abe que chɨ hue erimia ndese ra. Eoreã ja que ra. Echa que chɨ sɨra mbuasa ɨreɨ ɨreɨ ra. 
LUK.5.3	Jesús que ua canoa nongue ye ra. Simón mbae que aque canoa nda. —Ama nimia ndecha jiri sererao mingo, ɨ que Jesús Simón je ra. Canoa ye que Jesús ñɨ erimia ndesenda mbaaquiatu quiatu ra. 
LUK.5.4	Mbia mbaaquiatu jare que ñee Simón je ra. —Eriquiraasa rɨ̃ canoa jendao. Huee tarafa jemondo ii. Sɨra mbuasa jemondo ii, ɨ que Jesús ee ra. 
LUK.5.5	Simón ngue ñee ee ra. —Nyaashɨ̃ nyee que ureɨco rei embuasa rerequia isa ra. Emo ngue uresiroã mbeɨ ra, Sererecua. Ma ndecheende tasaambe no, ɨ que Simón Jesús je ra. 
LUK.5.6	Mbia que tarafa mondo ii cote ra. Sɨra tubɨrɨã mbua nonde. Tarafa soro serɨ̃ sɨra usi je. 
LUK.5.7	Nyueru eru que canoa nongue yenda je ra. —Sɨra usite ure je. Jenyu rã. Nandembua ja rã canoa ye, ɨ que canoa nongue yenda je ñee nda. Canoa nyeremo puk ɨ ja sɨra je. Aete ñɨɨmɨ sɨra usi je. 
LUK.5.8	Sɨra tubɨrɨãchɨ̃ sɨra eande nyii. Nyebe Simón Pedro nyuruɨra tuchɨ nguiã mae Jesús chɨmondo rese. Ngoi que ngũíã ndese ñee ee ra. —Seɨcuãte aɨco co, Sererecua. Serecha rei se ae, ɨ rei que Simón Pedro ñee Jesús je ra. 
LUK.5.9	Echɨã nguia cuaãcuã ɨ tare nguiã. Eresenda abe chɨã cuaãcuã ɨ ja. Sɨra tubɨrɨã ndea. Sɨra mbua eande nyii. 
LUK.5.10	Zebedeo riirĩ abe que chɨ ja Simón ndese huee ra. Jacobo, ɨ que enongue je ra. Juan, ɨ que enongue je no nda. Ũquɨ̃ chɨã abe que cuaãcuã ɨ ra. Jesús que ñee Simón je ra. —¡Eresiquichechɨ̃ nda jẽ! Sɨra rese ra ereɨcoã cote. Mbia ra ereru reru beɨ quia seje cote, ɨ que Jesús ee ra. 
LUK.5.11	Canoa yenda ngasẽ mose ama nimíaa, umbae que esecha ja nyoɨ beɨ nonde Jesús rese cote ra.
LUK.5.12	Jesús que siqui tuchua mo nda. Hee que emo ndasi riqui ee ra. Leproso. Jesús rese mae mose que ngoi ngũíã ndese ee ra. Nyibi que ñee Jesús je ra. —Sererecua, nde sembucherõse mose, sembucherõ se, ɨ que leproso ñee Jesús je ra. 
LUK.5.13	Jesús que oco erese ra. —Echerõ cote, ɨ que ee ra. Echeẽ mosebe que nyerõ nda. 
LUK.5.14	Jesús que ñee ee ra. —¡Erecheẽchɨ̃ nda mbia mo je jẽ! Eso nderasiã ndeacuquia sacerdote je cote. Moisés cheẽ nduɨ sɨ mbae mo emondo Dios je. Eɨ̃ nda mbia jirandu nderasiã ndese cote, ɨ que Jesús ñee ee ra. 
LUK.5.15	Mbia que ñimbiirandu ɨ ɨ tuchɨ quia Jesús rese ra. Ngaẽ ngaẽ ja que equia echeẽ andu ra. Umbucherõ cherõ sacuã abe que eriqui ngaẽ ngaẽ erea ra. 
LUK.5.16	Jesús que oso oso quia mbia tiámbaa ra. Ñee ñee Dios je.
LUK.5.17	Emo mose que Jesús riqui mbia mbaaquiatu quiatu ra. Huee que fariseos mo nyɨ echeẽ andu andu ra. Embesasa abe que chɨ ra. Galilea jenda chõ ũquɨ̃ nde. Judea jenda abe no. Jerusalén jenda abe no. Huee que echɨ ja Jesús cheẽ andu ra. Dios quirãcuã ngue siqui tuchɨ Jesús rese ra. Erasi mbucherõ cherõ sacuã. 
LUK.5.18	Mbia que erasi mo curucuaẽ quisa ye ra. Emɨ sayã ngue ae ra. —Nandemingue serao Jesús je, ɨ rei que ra. 
LUK.5.19	Tuchua mbaranguiatuãte que ee ra. Mbia tubɨrɨã ngue tuchua mbiitãyã ee ra. Nyebe erasi ruruchoɨ nguiã suɨ tuchua arõ. Tei que endoro ra. Erasi que embuquichi ɨmbu quisa ye Jesús rɨmbe ra. Mbia ite rɨ̃. 
LUK.5.20	—Ererucuaẽsa riqui seɨcua ũquɨ̃, ɨ que Jesús ñee uchɨangui re ra. Nyebe ñee nguiã emɨ sayã je. —Ndechɨsaã mbae ɨcuã ambutiã nguiã ndesɨ co, ɨ que Jesús ee ra. 
LUK.5.21	Fariseos que ñee ñee nyue ra. Embesasa rese. —Jesús ñee ɨcuã ñochɨ̃ nguiã Dios rɨɨ̃ co. Dios ibatenda ae mbia chɨao ɨcuã mbutiã nguiã esɨ. Jesús aquiatuã ño ñene, ɨ rei que eu ñee ñee nda. 
LUK.5.22	Jesús que ũquɨ̃ ndua ɨcuã ɨcuate ra. Nyebe ñee nguiã ee cote. —¿Mbaerã jẽɨngo ndua ɨcuã nde? 
LUK.5.23	¿Ma mbaranguiatuã eã jiri jẽje re? ¿Mbia ɨcuã mbutiã ere? ¿Mbia rasi mbucherõ ere no? ¿Ma mbaranguiatuã eã jiri ũquɨ̃ jẽje re? 
LUK.5.24	Dios riirĩ ndei se. Mbia chɨao ɨcuã mbutiã aquiatu chõ se re. Sequirãcuã tateacuquia jẽje, ɨ que Jesús ñee ee ra. Ñee ngue erasi je cote ra. —Ehuã na. Ndechuchua eso cote. Ndequisa abe erao, ɨ que Jesús emɨ sayã je ra. 
LUK.5.25	Jesús cheẽ ndurucha reã ngue emɨ sayã juã nda. Mbia que mae ja tuchɨ u erese ra. Uquisa abe que equerao ra. Eya tuchɨ que oso uchuchúaa ra. Ñee ñee turã ngue equia Dios rɨɨ̃ nda. 
LUK.5.26	Mbia que nyuruɨra ja u mae emɨ sayã ngata rese ra. —Emɨ sayãte rei nyii. Ngata chõchɨ̃ cote, ɨ ja que mbia u mae nguiatu erese ra. Mbia ñee turã ja Dios rɨɨ̃ cote.
LUK.5.27	Leví, ɨ que emo je ra. Ae que impuestos isi isi beɨ quia ererecua mbaerã nda. Jesús que ngasẽ ee emo mose ra. Huee que eñɨ ngoi plata isi isi ra. —Seruɨ beɨ eɨco, ɨ que Jesús ñee ee ra. 
LUK.5.28	Ae Leví juã oso nguiã Jesús ruɨ. Mbae recha ja umbae. 
LUK.5.29	Leví que fiesta saã tuchɨ Jesús je ra. Embuquiaru turã sacuã uchuchua. Impuestos isi isiquia ata que chɨ quiaru erese huee ra. Mbiamo abe que chɨ no nda. 
LUK.5.30	Fariseos que ñee ɨcuãte Jesús chɨmbaaquiatu je ra. Embesasa rese ñee ɨcuã ee. —¿Mbaerã jẽɨngo quiaru impuestos isi isiquia rese re? Mbia ɨcuã ndese abe jẽɨngochɨ̃ nguiã quiaru, ɨ que ñee nda. 
LUK.5.31	Jesús que ñee ee ra. —Sã mbia rasiã ndiqui aba mbucherõsa requia eãte no. Sã erasi chõ ndiqui erequia no. 
LUK.5.32	“Jenyu seje”, aeã ngue u nguiã mbia turã je. Mbia ɨcuã je chõ ngue achu nguiã “jenyu seje” ɨ. “Jẽɨcuã sɨ jẽhuɨ”, ae chõ ngue u nguiã eɨcuã je, ɨ que Jesús ee ra.
LUK.5.33	Mbia que ñee Jesús je ra. —Juanñɨmbaaquiatu huɨ huɨ uchɨu sɨ. Ñee nonde Dios je. Fariseos chɨmbaaquiatu abe huɨ huɨ uchɨu sɨ no. ¿Mbaerã ndechɨmbaaquiatu riqui huɨ ãte uchɨu sɨ re? ɨ que mbia Jesús je ra. 
LUK.5.34	Jesús que ñee ee ra. —Sã emo ngũinisirã isi ramo mose no. Sã eresenda iate riqui quiaru erese no. Sã huɨ aroneate uchɨu sɨ aque mose no. 
LUK.5.35	Sã eru riqui mano emo mose no. Aque mose quia ra equiato huɨ uchɨu sɨ cote, ɨ que Jesús ñee ee ra. 
LUK.5.36	Jesús que ejemplo saã mbia je ra. —Sã emo ndiqui tiru yasu mɨɨ aroneate tiru ima sorei rese no. Ũquɨ̃ mose eɨcuãte cote. Eyasu ra quiata chõ esɨ. 
LUK.5.37	Sã emo eri rasi ramo nderecoquiatu eã eriru ima ye no. Mbae ɨre ima ye erecoquiatu aronea. Eri rasi ra ñimatã ño mbae ɨre ndoro. Eri ra uchẽ ja. Mbae ɨre abe mbɨɨcuãte ra cote. 
LUK.5.38	Eri yasu quia nda equerecoquiatu nguiã mbae ɨre yasu ye. Soroã sacuã. 
LUK.5.39	Emo eri ima mbei mose, eyasu ra embei sereã cote. “Eima ño eturã nde”, ɨ chõ nguiã cote. Nyebe mbia riqui nguiã secheẽ yasu isi sereãte, ɨ que Jesús ñee mbia je ra.
LUK.6.1	Sábado mo mose que Jesús sɨ quia mbiaco ite rɨ̃ nda. Uchɨmbaaquiatu rese. Echɨmbaaquiatu que quiata a ucua mɨɨ mɨɨ nyoɨ quia ecuã mose ra. Equiti quitire oo je que echoɨ quia eachãaña cote ra. 
LUK.6.2	Fariseos mo ngue ñee ee ra. —¿Mbaerã jẽɨngo mbae ɨshao shao sábado mose re? Co mose chõ mbia uquenea ucua resẽ, ɨ que fariseos ee ra. 
LUK.6.3	Jesús que ñee ee ra. —¿Embesa ji rese jemae eã David rɨɨ̃ nde? David riãcuãe que aque mose ra. Eresenda abe riãcuã ngue aque mose ra. 
LUK.6.4	David que ɨque Dios chuchúaa ra. Mbichae Dios chuchua jenda que eu ra. Mee mee ngue nguesenda je ra. Eriãcuãte quia ñene. Sacerdote achõ mbaerã ndaque mbichae. 
LUK.6.5	Sábado rerecua beɨ chõ se re, ɨ que Jesús ñee fariseos je ra.
LUK.6.6	Sábado nongue mose que Jesús sɨ judíos chumunuasa ra. Mbia que embaaquiatu quiatu huee ra. Huee que eo tomei mo ndiqui ee ra. Equiato cutinda tomei ngue ra. 
LUK.6.7	Fariseos que mae nguiatu quia Jesús rese ra. Embesasa abe que mae nguiatu quia erese ra. —Mañɨ nda Jesús quia eo tomei je reae. Co sábado mose reae. Sã embucherõ jẽ. Nandecheẽ ɨcuã nda ee chã jẽ, ɨ que eu mae nguiatu Jesús rese ra. 
LUK.6.8	Ũquɨ̃ ndua ɨcuã ngue Jesús ɨcua ra. Ñee ngue eo tomei je cote ra. —Ehuã na u mbia ite rɨ̃, ɨ que Jesús ee ra. Eo tomei ngue juã uã cote ra. 
LUK.6.9	Jesús que ñee mbia je ra. —¿Mbae eturãte jẽje co tenda mose re? Sábado mose beɨ. ¿Coche mbae turã naa naa sábado mose re? ¿Coche mbae ɨcuã naa naa co mose re no? ¿Coche mbia mbucherõ co mose re no? ¿Coche mbia ɨquia co mose re no? ɨ que Jesús ñee mbia ja je ra. 
LUK.6.10	Jesús que mae mbia ja rese cote ra. —Echomee secuti, ɨ que eo tomei je cote ra. Eo tomei ngue ñomee Jesús cheẽ mose ra. Aque mosechɨ que eo nyerõ cote ra. 
LUK.6.11	Nyebe fariseos paama ɨ tuchɨ nguiã Jesús je. Sábado mose mbia mbucherõ mose. —¿Mañɨ nande ra Jesús je re? Nandeɨquia chõ nda reae, ɨ tuchɨ que eu ñee nyue ra.
LUK.6.12	Jesús que oso mbia tiámbaa ra. Sɨta ibátee. Huee que eñɨ ñee mbeɨ Dios je nyaashɨ̃ nyee ra. 
LUK.6.13	Nyaashɨ̃ mose que uchɨmbaaquiatu munua ja cote ra. Ũquɨ̃ doce mo ngue eirabo ra. —Sechɨmondo sacuã jẽ. Jaemondo ra secheẽ nenei nenei sacuã mbia je, ɨ que ũquɨ̃ doce je ra. 
LUK.6.14	Ã mbia que eirabo ra:
LUK.6.14	Simón (Pedro, ɨ abe que ee ra.)
LUK.6.14	Andrés (Simón nongue rei ae.)
LUK.6.14	Jacobo
LUK.6.14	Juan
LUK.6.14	Felipe
LUK.6.14	Bartolomé
LUK.6.15	Mateo
LUK.6.15	Tomás
LUK.6.15	Jacobo (Alfeo riirĩ ndei ae.)
LUK.6.15	Simón el Cananista
LUK.6.16	Judas (Jacobo nongue rei ae.)
LUK.6.16	Judas Iscariote (Aque que Jesús mondo mbia ɨcuã je ra.)
LUK.6.16	Ũquɨ̃ ja que Jesús irabo ra.
LUK.6.17	Jesús que nguichi u sɨta sɨ cote ra. Uchɨmbaaquiatu rese. Ibi túraã ngue ecuaẽ ngasẽ cote ra. Mbia tubɨrɨãte abe que chɨ huee ra. Judea jenda. Jerusalén jenda abe no. Tiro jenda abe no. Sidón jenda abe no. Ama nimia jenda rei ũquɨ̃. Ũquɨ̃ ngue ngaẽ nyiisaquia Jesús cheẽ ndese ra. Jesús embucherõ abe sacuã ngue ecuaẽ nda. 
