GEN.1.4	Tsî Elob ge ge mû, ǃnâb a ǃgâi ǃkhaisa; tsî Elob ge ǀgorasa ǃnâb tsî ǃkhaenab tsîkha ǁaegu ge dī.
NUM.9.19	Tsî ǀnanus ge ǂgui tsēde tabernakeli ai ǀhawe, on ge Israeli ôana ǃKhūb di ǃûisa gere ǃûi tsî dāǁnâ tama.
NUM.9.20	Tsî ī i geo, ǀnanus ge ǀoro tsēde tabernakeli ai hâo, on ge ǃKhūb di mîmās ǃoa gere ǁgoe, tsî ǃKhūb di mîmās ǃoa gere dāǁnâ.
NUM.9.21	Tsî ī i geo, ǀnanus ge ǃuisa xu ǁgoas kōse hâ tsî ǀnanus ge ǁgoas ai khâi ǃkhaisa, on ge gere dāǁnâ; tsēas kao, tsuxubas kao, ǃâus ra ūkhâisen ǃnubain ge gere dāǁnâ.
NUM.9.22	Tsî ǀnanus ge ǀgam tsēra kōses kas, ǀgui ǁkhâb kōses ka xawe tabernakeli ai ǀhaweo, ǁîb ai ra hâse, on ge Israeli ôana ǁgoe tsî doe tama; tsî khâis ka ǃnubain ge gere doe.
NUM.9.23	ǃKhūb di mîmās ǃoan ge gere ǁgoe, tsî ǃKhūb di mîmās ǃoan ge gere doe; ǃKhūb di ǃûisan ge ge dī ǃKhūb ge mîmā khami, Moseb di ǃoabasa xu.
NUM.10.1	ǃAruǀîb ge ǃKhūba Moseb ǃoa ge mî:
NUM.10.3	Tsîn ga ǁîǀgamra xâio, ob ge ǀhaohâb hoaba sa tawa nî ǀhû, tentoms ǀhûs dis di dao-ams tawa.
NUM.10.4	Tsî ǀguisan ga ǀguri xâio, o gu ge ǂamsagu, Israeli ǀoadisin di danakhoega sa tawa nî ǀhû.
NUM.10.5	ǂKhupixa ǀōb ǀkhats ga xâio, on ge ǁgoe hân hîa aiǂoasǀî ǁgoena nî doe.
NUM.10.6	Tsî ǀgamǁî ǃnās aits ga ǂkhupixa ǀōb ǀkha xâio, on ge ǁgoe hân, hîa ǃkhawagasǀî ǁgoena nî doe; ǂkhupixa ǀōb ǀkhan ge nî xâi, doedi ân ǃoa.
NUM.10.7	Tsî ǀhaohâbats ga ǀhûǀhû ots ge xâis ǀguisa nî hî, xawets ge ǂkhupixase xâi tide.
NUM.10.8	Tsî pristergu, Aronni ôagu ge ǁnā ǀgapadara nî xâi; tsî ra ge sado ǀamo ǂnûiǂgāse nî ība sadu di ǃhaodi tawa.
NUM.10.9	Tsî sadu di ǃhūb ǃnâ du ga torodīǃgûo khākhoeb, sado ra ǂōǂōb ǃoagu, o du ge ǁnā ǀgapadara ǀkha ǁkhāti ǂkhupixa ǀō-e nî dī; o du ge nî ǂâibahe ǃKhūb sadu Elob di ais aiǃâ, tsî du ge sadu di khākhoena xu nî orehe.
NUM.10.11	Tsî i ge ǀgamǁî kurib di ǀgamǁî ǁkhâb ǃnâ, ǀgamdisiǁî tsēs ǁkhâb dis ai ge ī, ǀnanus ge tabernakeli ǀhûǀguitimîs diba xu khâi ǃkhaisa.
NUM.10.12	On ge Israeli ôana doedi ân ǃnâ ǃgaroǃhūb Sinaiba xu ge doe; tsî ǀnanus ge ǃgaroǃhūb Paranni ǃnâ ge hâ.
NUM.10.13	Nētin ge ge aidoe ǃKhūb di mîmās ǃoa Moseb ǃomma xu.
NUM.10.14	ǂGurob ge ǃkhaub Judab ôan di ǁgoeǃkhais diba ge doe, ǁîn di ǂnubidi ǃoa; tsî ǁîs di ǂnubis ǂamab ge Nasonni, Aminadab ôaba ge hâ i.
NUM.10.15	Tsî ǂnubis Isaskari ôan di ǃhaos dis ǂamab ge Nataneli, Suari ôaba ge hâ i.
NUM.10.16	Tsî ǂnubis Sebulonni ôan di ǃhaos dis ǂamab ge Eliab, Helonni ôaba ge hâ i.
NUM.10.17	ǃNubaib ge tabernakela ge ūǁnâhe, tsî Gersonni ôagu tsî Merarib ôagu ge ge doe, tabernakela ra taniǃâ.
NUM.10.18	ǁNās khaoǃgâb ge ǃkhaub Rubenni ǁgoeǃkhais diba ge doe, ǁîn di ǂnubidi ǃoa; tsî ǁîs di ǂnubis ǂamab ge Elisuri, Sedeuri ôaba ge hâ i.
NUM.10.19	Tsî ǂnubis Simeonni di ǃhaos dis ǂamab ge Selumieli, Surisadaib ôaba ge hâ i.
NUM.10.20	Tsî ǂnubis Gadi ôan dis ǂamab ge Eljasab, Dehueli ôaba hâ ge i.
NUM.10.21	ǃNubai gu ge Kehatǁîgu ge doe, ǃanusiba ra taniǃâ; tsî naugu ge tabernakela ge ǂnubikhâi, ǁîgu ge hās kōse.
NUM.10.22	ǁNās khaoǃgâb ge ǃkhaub Efraimmi ôan di ǁgoeǃkhais diba ge doe ǁîn di ǂnubidi ǃoa; tsî ǁîs di ǂnubis ǂamab ge Elisamab, Amihudi ôaba ge hâ i.
NUM.10.23	Tsî ǂnubis Manaseb ôan di ǃhaos dis ǂamab ge Gamalieli, Pedasuri ôaba ge hâ i.
NUM.10.24	Tsî ǂnubis Benjaminni ǃhaos dis ǂamab ge Abidanni, Gideonni ôaba ge hâ i.
NUM.10.25	ǃNubaib ge ǃkhaub Danni ôan di ǁgoeǃkhais diba ge doe, ǁgoeǃkhaidi din hoana ra ǃkhōǀhaose, ǁîn di ǂnubidi ǃoa; tsî ǁîs di ǂnubis ǂamab ge Ahieseri, Amisadaib ôaba ge hâ i.
NUM.10.26	Tsî ǂnubis Aseri ôan di ǃhaos dis ǂamab ge Pagieli, Okranni ôaba ge hâ i.
NUM.10.27	Tsî ǂnubis Naftalib ôan di ǃhaos dis ǂamab ge Ahirab, Enanni ôaba ge hâ i.
NUM.10.28	Nēdi ge doedi Israeli ôan dide ge i, ǁîn di ǂnubidi ǃoa, doen ra hîa.
NUM.10.30	Xaweb ge: ǃGû ta tide, ti ge mî, tsî, tita ge ti ǃhūb tsî ti ǀaokhoen ǃoa nî ǃgû.
NUM.10.31	Ob ge ǁîba: Tā ǁnāxū da re, ti ge mî, sats a ǂan xuige, ǃgaroǃhūb ǃnâ da nî ǁgoe ǃkhaisa, ots ge satsa mûse nî ība da.
NUM.10.32	Tsî i ge nî ī, sida ǀkhats ga ǃgû tsî ǃgâib ga īo, ǃKhūb nî sida tawa ǃgâidība, o da ge satsa ǁkhāti nî ǃgâidī.
NUM.10.33	Nētin ge ǃnona tsēdi di daob kōse ǃKhūb di ǃhomma xu ge doe; tsî ǂgaes ǃKhūb di ǃgaeǀhaos dis ge ǁîn di ais aiǃâ ge ǃgû, ǃnona tsēdi di daob kōse, ǁînas nî sâǃkhai-e ôaǂuibase.
NUM.10.36	Tsî sâs geo, ob ge ge mî: ǃHoba re, ǃKhūtse, disiǀoadisin Israeli din di ǀoadisin ǃoa.
NUM.11.2	ǃNubais ge ǁaesa Moseba ge ǂgai; ob ge Moseba ǃKhūb ǃoa ge ǀgore, tsîs ge ǀaesa ge ǀari.
NUM.11.3	ǁNā-amagab ge ǀons ǁnā ǃās disa Tabera ti ge ǂgai, ǃKhūb di ǀaes ge ǁîn ǁaegu khau amaga.
NUM.11.5	ǂÂi da kom rao ǁnā ǁaun Egipteb ǃnâ da ge xū-i ama tamase gere ǂûn xa; tôan xa tsî ǃhanatsaman xa tsî ǀoran xa tsî ǃhān xa tsî Jode-uib tsîn xa.
NUM.11.6	Xawe nēsis ge sida ǀomsa a ǂnâsa, ǀnî xū-i ge sida mûdi aiǃâ a ǀkhai, nē manab ǀguib komo.
NUM.11.8	Os ge ǁaesa ǃgûma tsî ge ǀhaoǀhao bi tsî ge ǁkhami bi ǁkhamidi ǃnâ tsî ge sâi bi sūdi ǃnâ tsî ǁîb xa amperedana ge dī; tsî ǁkhoab ge olitsampereb dib khami ge ǁkhoa.
NUM.11.9	Tsî ǀaub ge tsuxuba ǁgoeǃkhais ai ǁnāo, ob ge manaba ǁîb ai ge ǁgôaxa.
NUM.11.10	ǃNubaib ge Moseba ǁaes ra ā ǃkhaisa ge ǁnâu ǁîn ommi din ǃnâ, mâ-i hoa-i ǁî-i oms di dao-ams ǃnâ. Ob ge ǁaib ǃKhūb diba kaise ge khâi; tsî Moseb di mûǁae i ge ǁkhāti ge tsū i.
NUM.11.11	Ob ge Moseba ǃKhūb ǃoa ge mî: Tarexats kha satsa ǃgāb âtsa tsūse ge sîsenū, tsî tarexa ta kha sa mûǁae ǀkhomma hō tama hâ, ots ra ǃgommi nē ǁaes hoaragas diba tita ai ǁgui?
NUM.11.12	ǃKhōǃoa ta xare ge tita nē ǁaes hoasa? ǁOra ta xare ge ǁîsa? Ots ra tita ǃoa mî: ǁÎna tani sa tîǂams ǃnâ, kaikaiǁgûb ra dai ra ǀgôa-e tanis xase, ǁnā ǃhūb, ǁîn îgats ge nūbaba ǃoa
NUM.11.13	Mapa xu ta kha ǁnâi ǁgan-e nî hō, nē ǁaes hoasa ta nî mās kōse? Titaǀîn ra ā tsî: ǁGan-e mā da, î da ǂû re! ti mî.
NUM.11.14	Tita ǀgui ta kom nē ǁaes hoasa tani ǁoao, ǃgomdāhe ta kom rao.
NUM.11.17	o ta ge tita ǁgôaxa tsî nî ǁnāpa sa ǀkha ǃhoa tsî ǁnā gagas, sa ai hâs xa ū, tsî nî ǁîgu ai ǁgui; o gu ge ǃgommi nē ǁaes diba sa ǀkha nî tani, îts tā ǀguri tani.
NUM.11.19	O du ge nî ǂû ǀgui tsēs ǀguis kōse tama i, ǁkhāti ǀgam tsēra kōse tama i, ǁkhāti koro tsēdi kōse tama i, ǁkhāti disi tsēdi kōse tama i, ǁkhāti ǀgamdisi tsēdi kōse tama i tsî;
NUM.11.20	hî-î, ǀgui ǁkhâb hoaragab kōse, ǂguisa xus nî ǂoaxa tsî uixa du nîs kōse, ǃKhūb, sadu ǁaegu hâba du go aoxū, tsî ais âb aiǃâ du goro ā tsî: Tare xū-i ǃaroma da Egipteba xu ge doeǂoa? ti mî amaga.
NUM.11.21	Ob ge Moseba ge mî: ǃNanikaidisiǀoadisin ge, ǀnūǃgû ran nē ǁaes din, ǁîn ǁaegu ta hâna; xawets ra satsa: Tita ge ǁîna ǁgan-e nîra mā, ǀoasa ǁkhâb kōsen nî ǂûga, ti mî?
NUM.11.24	Ob ge Moseba ǂoa tsî ǃKhūb di mîde ǁaesa sī ge mîba; tsîb ge hûdisi aogu, ǁaes di kaiga ǀhaoǀhao tsî ǁîga tentoms ǂnamipe ge mâi.
NUM.11.25	ǃNubaib ge ǃKhūba ǀnanus ǃnâ ǁgôaxa tsî ǁîb ǀkha ge ǃhoa; tsîb ge gagas ǁîb ai hâs xa ū tsî ǁîsa hûdisi aogu, ǁnā kaigu ai ge ǁgui, o i ge ge ī, gagas ge ǁîgu ai sâo, o gu ge gere kēbo, xawe ǁnās khaoǃgâ tama.
NUM.11.26	Tsî ǀgam aokha ge ǁgoeǃkhais ǃnâ ge hâ i, ǀguib di ǀons ge Eldad tsî naub di ǀons ge Medad; tsî ǁnā gagas ge ǁîkha ai ge sâ, xoamâisan di kha ge i xui-ao, tentoms ǃoa kha ge ǂoa tama hâ i xawe; tsî kha ge ǁgoeǃkhais ǃnâ gere kēbo.
NUM.11.27	ǃNubaib ge ǀgôaba ǃkhoesī tsî Moseba ǂhôa tsî ge mî: Eldadi tsî Medadi tsîkha ge ǁgoeǃkhais ǃnâ ra kēbo.
NUM.11.30	ǁNās khaoǃgâb ge Moseba ǁgoeǃkhais ǃnâ ge ǀhû, ǁîb tsî Israeli di kaigu ona.
NUM.11.32	ǃNubais ge ǁaesa khâi tsî ǁnā tsēs hoas tsî ǁnā tsuxub hoab tsî sao ra tsēs hoasa ǃnabarina gere ǀhaoǀhao; ǀorose ūhâ-i ge disi gomerde ge ǀhaoǀhao; tsîn ge ǁîna ge ǁguiǃābasen ǁgoeǃkhais ǂnamipe.
NUM.11.33	Tsî ǁgan-i ganupe ǁîn di ǁgûgu ǁaegu hâ i ǁgaehe tama hâ hîab ge ǃKhūb di ǁaiba ǁaesǀî ge khâi, tsî ǃKhūb ge ǁaesa ama kai ǁnora-ai-i ǀkha ge ǂnau.
NUM.11.35	Turab ǀhobade xus ge ǁaesa Haserots ǃoa ge doe; tsîn ge Haserots tawa ge hâ.
NUM.12.2	tsî ra ge ge mî: ǁNâi Moseb ǃnâ-ū ǀguib ra ǃKhūba ǃhoa? Sim ǃnâ-ūs tsînab ǃhoa tama hâ? Tsî ǃKhūb ge ǁîsa ge ǁnâu.
NUM.12.3	Xawe ǁnā aob, Moseb ge kaise tsamtsiǃnâ ge i, khoen, ǃhūbaib ai hân hoan ǃgâ-ai.
NUM.12.4	ǃNubaib ge ǃKhūba ǃnapetamase Moseb, Aronni tsî Miriams tsîn ǃoa ge ǃhoa: Sa ǃnonado, ǂoaxa du re tentoms ǀhûs dis ǃoa. On ge ǁî ǃnonana ge ǀkhī.
NUM.12.6	Ob ge ge mî: ǁNâu nēsi ti mîde! Kēbo-aob ga sadu ǃnâ hâo, o ta ge tita ǃKhūta ai-e xu ǁîb tawa nî ǂanǂansen. ǁHapo-i ǃnâ ta ge tita ǁîb ǀkha nî ǃhoa.
NUM.12.9	ǃNubaib ge ǃKhūb di ǁaiba ǁîraǀî ge khâi, tsîb ge ǁîba ge bē.
NUM.12.11	ǁNā-amagab ge Aronna Moseb ǃoa ge mî: Okha, ti ǀhonkhoetse, tā sim ai ǁgui re nē ǁoreb ǂkhabasem go dīb tsî ǁîb ǀkham go ǁoreba.
NUM.12.12	As ǁîsa tā ǁō hâ-i xase ī re, ǁgans â-i, ǁgûs sorosa xu i ra ǀkhī hîa ǃkhareb ai hapuhe hâ-i xase.
NUM.12.15	Nētis ge Miriamsa hû tsēdi kōse ǁgoeǃkhais ǃauga ge dīǂuihe; tsî ǁaes ge aiǃâ doe tama, Miriams ge ǃkhōǃoahes kōse.
NUM.12.16	Xawe ǁnās khaoǃgâs ge ǁaesa Haserotsa xu ge doe tsî ǃgaroǃhūb Paranni ǃnâ ge sī ǁgoe.
NUM.13.1	Tsî ǃKhūb ge Moseb ǃoa ge mî:
NUM.13.3	Ob ge Moseba ǁîga ǃgaroǃhūb Paranna xu ge sî ǃKhūb di mîmās ǃoa. ǁNā khoegu hoagu ge Israeli ôan di danakhoe ge i.
NUM.13.4	Tsî nēdi ge ǀondi âga: Rubenni ǃhaos xa Samuab, Sakuri ôab;
NUM.13.5	Simeonni ǃhaos xa Safati, Horib ôab;
NUM.13.7	Isaskari ǃhaos xa Jigali, Joseb ôab;
NUM.13.9	Benjaminni ǃhaos xa Paltib, Rafub ôab;
NUM.13.10	Sebulonni ǃhaos xa Gadieli, Sodib ôab:
NUM.13.11	Joseb ǃhaos xa, Manaseb ǃhaos di amǃnâs ai Gadib, Susib ôab;
NUM.13.12	Danni ǃhaos xa Amieli, Gemalib ôab;
NUM.13.13	Aseri ǃhaos xa Seturi, Mixaeli ôab;
NUM.13.14	Naftalib ǃhaos xa Nabib, Wofsib ôab;
NUM.13.15	Gadi ǃhaos xa Geueli, Makib ôab.
NUM.13.17	Ob ge Moseba ǁîga ge sî, ǃhūb Kanaanna gu nî ǃkhēga, tsîb ge ǁîgu ǃoa ge mî: Nēpa-ū ǃgûǃapa ǃkhawagasǀî, î go ǃapa ǃhommi ai;
NUM.13.18	î go ǃhūba sī kō, matib ī ǃkhaisa, tsî ǁaes, ǁîb ǃnâ ǁan hâsa isen a ǀgaisa, isen a ǂkhabusa ǃkhaisa, isen a ǀoro, isen a ǂgui ǃkhaisa.
NUM.13.19	Tsî mati ī ǃhūb a ǃkhaisa, ǁîb ǃnân ǁan hâba, iseb a ǃgâi, iseb a tsū ǃkhaisa; tsî mati ī ǃādi asa, ǁîdi ǃnân ǁan hâde, ise di ǁgâudi ǃnâ, isen ǁaposa ǃkhaidi ǃnâ ǁan hâ ǃkhaisa;
NUM.13.20	tsî ǁkhāti mati ī ǃhūb a ǃkhaisa, iseb a kausas, iseb a ǃgarasasa, ise di haide ǁîb ǃnâ hâsa, ise di hâ tamasa. Î go ǃgariǃgarisen î go ǃhūb di ǂûn xa ū. Tsî ǁnā tsēdi ge ǂguro ǂûn ǂauxûiǂûhais din di tsē ge i.
NUM.13.21	Nēti gu ge ǃgûǃapa tsî ǃhūba ge ǃkhē ǃgaroǃhūb Sinna xu Rehobs kōse, Hamats ǃoats ra ǃgûǀî.
NUM.13.22	O gu ge ǃgûǃapa ǃkhawagasa-ū tsî Hebrons kōse ge sī, tsî ǁnāpa gu ge Ahimanni, Sesaib tsî Talmaib tsîga ge hâ i, Anaki ôaga. Tsî Hebrons ge Soans, Egipteb ǃnâ ǁgoes xa hû kurigu aiǃâ ge ǂnubihe hâ i.
NUM.13.23	ǁNās khaoǃgâ gu ge ǃgoaǃnāb Eskoli tawa sī tsî ǁnāpa ǀgui ǂgonaba ge ǃgaoǁnâ ǂauxûiǂûhais di narus ǀkha; ǁîsa kha ge ǀgamkha tanihai-i ai ge tani; tsî granatǂûn tsî ǀnomahais ǂûn on xa.
NUM.13.24	ǁNā ǃkhais ǁkhās ge ǃgoaǃnāb Eskoli dib ti ge ǂgaihe, ǁnā narus ǂauxûiǂûhais ǂûn dis, Israeli ôan ge ǁnāpa ǃgaoǁnâs ǃaroma.
NUM.13.25	ǁNās khaoǃgâ gu ge ǃhūb di ǃkhēsa xu ge oa hakadisi tsēdi di ǀunis ai.
NUM.13.26	Tsî gu ge Moseb tsî Aronni tsîkha ǃoa ǃgûsī tsî ǀhaohâb Israeli ôan dib ǃoa ge sī ǃgaroǃhūb Paranni ǃnâ Kades tawa; tsî gu ge ǁîkha ǃereamsa ge ūhāba, tsî ǀhaohâb hoaba ǃhūb di ǂûna ge mû kai.
NUM.13.28	Nēs ǀguis: ǁAes ge a ǀgaisa, ǁnā ǃhūb ǃnâ ǁan hâsa, tsî ǃādi ge ǁaposa tsî kaise a kai, tsî ge ge ǁnāpa ǁkhāti Anaki ôana ge mû.
NUM.13.29	Amalekǁîn ge ǃkhawagas ǃhūb ǃnâ ǁan hâ; xawe Hetiǁîn, Jebusǁîn tsî Amorǁîn ge ǃhomgu ǃnâ ǁan hâ, tsî Kanaanǁîn ge hurib tawa Jordanǃāb amǃgâ ǁan hâ.
NUM.13.31	Xawe aogu, ǁîb ǀkha ge ǃgûǃapa hâ igu ge ge mî: ǁNā ǁaes ǃoa da ge doeǃapa ǁoa, sada xan a ǀgaisa amaga.
NUM.13.32	Nēti gu ge ǁîga ǁnā ǃhūb hîa gu ge ǃkhēb xa Israeli ôana tsū gomma ge ūhāba mî raǃâ: ǁNā ǃhūb, ǁîba ge ge ǃgûǃnâǃganub, ǃkhē bi ge nîga, ǁîb ge a ǃhū, ǁîb ǃnâ ǁan hâna ra hapuba; tsî ǁaes ǃnâ ge ge mû khoegu hoagu ge gaxu soros â-i khoe ge i.
NUM.14.1	ǃNubain ge ǀhaohân hoana khâi tsî dommi âna ge ūkhâi, tsî ǁaes ge ǁnā tsuxub ǁkhāb ǃnâ gere ā.
NUM.14.4	On ge nē-e nau-i ǃoa ge mî: A da danakhoeba dībasen, î da Egipteb ǃoa sī oa.
NUM.14.7	Tsî kha ge Israeli ôan di ǀhaohâb hoab ǀkha ǃhoa tsî ge mî: ǁNā ǃhūb, sige ge ǃgûǃnâǃganub, ǃkhē bi ge nîse, ǁîb ge kaise a ǃgâi ǃhū.
NUM.14.9	Xawe du tā ǃKhūba mâǃoa, î du ǁaes ǁnā ǃhūb disa tā ǃao, ǁîn ge perese nî ība da; ǁîn di sommi ge ǁîna xu ge ǂgō, tsî ǃKhūb ge sada ǀkha hâ; tā ǁîna ǃao.
NUM.14.11	Ob ge ǃKhūba Moseb ǃoa ge mî: Mâ ǁaeb kōses kha nē ǁaesa tita nî ǂoeǂoe? Tsî matikōsen kha tita ǃnâ ǂgom tide buruxa dīn ǁîn ǁaegu ta ge dīn hoan tawa?
NUM.14.13	Ob ge Moseba ǃKhūb ǃoa ge mî: On ge Egipteǁîna ǁnāsa nî ǁnâu, sats ge nē ǁaesa sa ǀgaib ǀkha ǁîn ǁaeguba xu ǂgaeǂguiǂuikai xui-ao;
NUM.14.14	on ge ǁîna ǁanǂgā-aon nē ǃhūb din ǃoa nî mî, ǁnâun ge khami sats ǃKhūts ra nē ǁaes ǁaegu hâsa, sats ǃKhūts ra aisa xu ais ǃoa mûhesa, sa ǀnanus ra ǁîn ǂamǃnâ mâsa, tsî sats ra ǁîn di ais aiǃâ ǃgûsa, tsēa ǀnanus ǃnâ tsî tsuxuba ǀaes ǃnâ.
NUM.14.15	Tsîts kha ǁnâi nē ǁaesa ǀgui khoeb ǀguib as xase nî ǃgam? On kom ǀūben, nē gomma nî ǁnâuna ǃhoa tsî nî mîo:
NUM.14.17	Ab ǁnâi ǀgaib ǃKhūb diba kai, sats ge ǃhoas ǁkhās xase, mî raǃâ:
NUM.14.19	ǀÛba ǁnâi re ǂhanuoǃnâsib sa ǁaes diba kaisib sa ǀkhomxaǂgaosib dib ǃoa; tsî ǀnaits ǁîba nē ǁaesa Egipteǃhūba xu nēpas kōse gere ǀûba khami.
NUM.14.20	Ob ge ǃKhūba: Tita ge ǁîna go ǀûba sa mîs ǃoa, ti ge mî.
NUM.14.21	Xawe amase ûi ta hâ ǃkhais aob ge ǃhūbaib hoaragaba ǃKhūb di ǂkhaisib xa nîra ǀoa.
NUM.14.22	ǁNā khoegu hoagu, ti ǂkhaisib tsî ti buruxa dīgu, Egipteb ǃnâ tsî ǃgaroǃhūb ǃnâ ta ge dīga mû tsî xawe disi ǃnādi kōse ge ǃâitsâ te tsî ti domma ǁnâuǀnam tama igu
NUM.14.25	Tsî Amalekǁîn tsî Kanaanǁîn tsîn ge ǁnā ǃgoaǃnāb ǃnâ ǁan hâ. ǁAri ǂoa î du ǃgaro ǃhūb ǃoa doe, ǂĀxahuribǀî gau daob ai.
NUM.14.26	ǁNās khaoǃgâb ge ǃKhūba Moseb tsî Aronni tsîkha ǃoa ge mî:
NUM.14.27	Mâ ǁaeb kōse ta kha nē ǂkhaba ǀhaohâb, tita ǃoagu ra ǀarab ǀkha nî hâ? Tita ge ǀara-aidi Israeli ôan didi, ǁîdi ǀkhan ra tita ǃoagu ǀarade go ǁnâu.
NUM.14.28	Mî ǁîn ǃoa: Tita ûi hâ ǃkhais ao, tib ra ǃKhūba mî, tita ge sado nîra dī-ū, sadu ge ti ǂgaeǃnâ mî khami.
NUM.14.29	Sadu di ǁō hâ sorodi ge nē ǃgaroǃhūb ǃnâ nîra ǁnā; tsî sadu ǃgôahe hâdu hoadu, sadu di ǀgaus hoas ǃoa, ǀgamdisi kurigu â-ib tsî ǁnāsa ǃnā hâba xu, sadu, tita ǃoagu goro ǀarado;
NUM.14.30	amase du ge ǁnā ǃhūb ǃnâ sī tide, ǁîb ǂamai ta ge ti ǃomma ūkhâib, ǁîb ǃnâ ta nî ǁan kai duba, Kaleb, Jefuneb ôab tsî Josuab, Nunni ôab tsîkha ǀguikha.
NUM.14.31	Xawe sadu di ôaron, ǁîn xa du ge: ǁÎn ge nî ūǀhanahe, ti mîn, ǁîna ta ge nîra ūǂgâ, tsî ǁîn ge ǁnā ǃhūb, sadu ge ǃharaxūba, nîra ǂan.
NUM.14.32	Tsî sadu xasa, sadu di ǁō hâ sorodi ge ǃgaroǃhūb ǃnâ nîra ǁnā.
NUM.14.33	Tsî sadu ôan ge nē ǃgaroǃhūb ǃnâ ǃûi-aose nî doema hakadisi kurigu kōse; tsîn ge sadu di ǀaiga nîra tani, sadu di ǁō hâ sorodi nî ǃgaroǃhūb ǃnâ hapuhes kōse.
NUM.14.35	Tita ǃKhūta ge go ǃhoa: Amase ta ge ǁîsa nîra dī nē ǂkhaba ǀhaohâb, ǁnān, ti ǃoagu go ǀhûn dib hoab tawa; ǁîn ge nē ǃgaroǃhūb ǃnâ toa tsî nîra ǁō ǁnāpa.
NUM.14.37	ǁnā khoegu, ǃhūba tsū gomma ge ūǀkhībagu ge ǁō-i xa ge ǁō ǃKhūb di ais aiǃâ.
NUM.14.39	Tsî Moseb ge nē mîde Israeli ôan hoan ǀkha ge ǃhoa. Os ge ǁaesa kaise ge ǃoa.
NUM.14.41	Ob ge Moseba ge mî: Tare xū-i ǃaroma du kha ǃKhūb di mîmāsa ǁnāti ra ǃûǂam? Nē ǃkhais kom amǁnā tideo.
NUM.14.42	Tā doeǃapa, ǃKhūb ge sadu ǁaegu hâ tide xuige; î du tā ǀnîsi ǂnauhe sadu khākhoen di ais aiǃâ.
NUM.14.43	Amalekǁîn tsî Kanaanǁîn ge ǁnāpa sadu di ais aiǃâ hâ, tsî du ge gôab ǃnâ nîra ǁnā; ǃKhūba xu du ge ǂnanbē amagab ge ǃKhūba sadu ǀkha hâ tide.
NUM.14.44	Xawen ge ǂanapega dītsâ, ǃhommi di ǀgapib ai ǃapasa; xawe ǃKhūb ǃgaeǀhaos di ǂgaes tsî Moseb tsîn ge ǁgoeǃkhais ǁaeguba xu ǀgora tama ge i.
NUM.15.1	ǁNās khaoǃgâb ge ǃKhūba Moseb ǃoa ge mî:
NUM.15.3	tsî ǀaeǁguibasa du ga ǃKhūba ǁguibao, khauǁguibas kas, ǂāǁguibas kas hoasa, mîmâi-e du nî dīǀoaǀoase tamas ka io māsenxa ǁguibas ǃnâs kas, sadu di mîmâisa ǁâudīgu ǃnâs kas, ǀnamǀnamsa ǁama-e du ǃKhūba nî dībaga, goman xas kao, ǀgoan xas kao,
NUM.15.6	Tsî ǀgui bairab di amǃnâs ai du ge ǂûǁguiba-e nî ǁguiba, ǀgam disiǁî ǃâra tsampereb, olib ǀkha ǂnâ-aihe hâb dira xa, ǃnonaǁî ǃâs hinni dis ǀkha.
NUM.15.7	Tsî ǂauxûib xa du ge ǂnâǁguibase ǃnonaǁî ǃâs hinni disa nî ǁguiba ǀnamǀnamsa ǁamab ǃKhūb dib ase.
NUM.15.8	Tsî ǂkham ǁgōba du ga khauǁguibases kas, ǂāǁguibases kas hoasa ǁāǁāo, mîmâi-e du nî dīǀoaǀoase, ǃKhūb di ganganǁguibase,
NUM.15.9	o du ge ǂkham ǁgōb tawa ǂûǁguiba-e nî ǁguiba: ǃNona disiǁî ǃâdi tsampereb, olib ǀkha ǂnâ-aihe hâb dide xu, ǀgui hinni di ǃkhareba.
NUM.15.10	Tsî ǂauxûib xa du ge ǂnâǁguibasa nî ǁguiba ǀgui ǃkhareb hinni diba, ǀaeǁguibas, ǀnamǀnamsa ǁamab ǃKhūb dib dis ase.
NUM.15.11	Nēti i ge nî dīhe ǁnā ǀgui ǁgōb ǀkhas kas, ǁnā ǀgui bairab ǀkhas kas, ǁnā ǀgui ǁkhaob gūn tsî pirin dib ǀkhas kas hoasa.
NUM.15.12	ǀGaus hîa du nî ǁāǁās ǃoa du ge mâ-i hoa-i ǀkha ǁnāti nî dī, ǀgaus an ī khami.
NUM.15.13	Mâ ǃhūb ǃnaesabeb hoab ge nēna ǁnāti nî dī, ǀaeǁguiba-e ra ǁguibaǃâ ǀnamǀnamsa ǁamab ǃKhūb dib ase.
NUM.15.14	Tsî ǃhaokhoe-i ga sadu ǃnâ ǃhaokhoese hâo, sadu ǁaegu i ga hâo sadu di ǃhaodi ǃnâ, tsî i ga ǀaeǁguiba-e ǁāǁā, ǀnamǀnamsa ǁamab ǃKhūb dib ase, o i ge ǁîsa nî di, sadu on ra dī khami.
NUM.15.16	ǀGui ǂhanub ǀguib tsî ǀgui dommi ǀguib ge sadu tsî ǃhaokhoe-i, sadu ǁaegu hâ-i tsîdo nî hâba.
NUM.15.17	ǃAruǀîb ge ǃKhūba Moseb ǃoa ge mî:
NUM.15.18	ǃHoa re Israeli ôan ǃoa îts ǁîna ǃoa mî: Sadu ga sīo ǁnā ǃhūb, ǁîb ǃnâ ta nî ūǂgâ dub ǃnâ,
