MAT.1.1	Ŋwa'nyə nə ŋkhənyə Yeso Kristo mú David, mú Abraham.
MAT.16.10	Kɑ msɛ mta' sɔmbʉə nə pɔ sha' pfʉə ba dəŋ mkhəkhʉə bo' myə́ a? 
MAT.16.11	Nwə kɑ́ po lə yu' gɑ ŋ kha tə́ gɔmnwə m nə sɛ́ pɑ́ nə cwə yə ŋ khɑ gɔm bi po gɑ́ po pɔm kwɔ'msɛ̌ pɑ Farisai pu a pɑ Sadukai!
MAT.16.12	A lə pɑ́ po'o wap yu' gɑ e katə̀ gɔm m gɑ́ wap pɔm ŋkwɔ'msɛ pɑ́; gɑ e gɔm gɑ wap pɔm ywə yə pɑ Farisai pu a pɑ Sadukai ji'tə pɔmnəŋ a.
MAT.16.13	Yeso lə́ ŋwak nthʉm guŋ Kaesarea Filipo, həŋtə pɑkhʉ pyə gɑ: Pɔmnəŋ gɔm gɑ Mú mo bɑ wɑ? 
MAT.16.14	Wap ghɔm bi é gɑ: Shɑ́ pɔ gɔm gɑ́ o bɑ́ Yohane nu' pɔ shyə̀; pyə shɑ̀ ghɔm gɑ́ o bɑ́ Elia; shɑ̀ ghɔm gɑ́ o bɑ́ Yeremia kɑ mu' gɔm ghɔm Si lɑ́. 
MAT.16.15	Yeso piŋ gɔm bi pu gɑ: Kwa' wɔ, pǒ gɔm gɑ́ gɑ̌ bɑ́ wɑ? 
MAT.16.16	Simon Pɛtrɔ lɑ́ ghɔm gɔm gɑ: O bɑ́ Kristo Mú Si nthʉɔtʉɔ. 
MAT.16.17	Yeso piŋ dɑ́ ghɔm gɔm bi e gɑ: Simon mu Yona o bɑ́ bùŋtsě, nə pa' tə́ bapnɑ kɑ́ mcyə lə́ nə gə o zhyə po'o pɑ̀, Tá a yə e kɛbəŋ a nə́ gə́. 
MAT.16.18	Biŋ sɔ' m nə m̀, gɑ ghɔm gɑ o bɑ́ Pɛtrɔ yəŋ la'tə gɑ́ ghǔ gwɔ', biŋ gɔ́ sɔ' kwɑ cu'tə a dəm ghǔ gwɔ' bɔ, mtʉ̀ɔ vʉ lə nəŋ gɔ sɔ' ghə sɔm gʉ' nə̀. 
MAT.16.19	Gɑ̌ gɔ sɔ' hɑ ki Nəfo kɛbəŋ bu; guŋ ywə awɛ yə ǒ kwɑ́ dəmcǎ' a, pú gɔ sɔ' kwɑ́ kɛbəŋ, a guŋ ywə awɛ yə ǒ kyɛ' dəmcǎ' a, pu sɔ' ŋkhyɛ' kɛbəŋ. 
MAT.16.20	A lə pɑ̌ po'o Yeso ghɔm bi pɑkhʉ̌ pyə gɑ wap pɔm nə siŋ sɔmmo gɑ e bɑ́ Kristo.
MAT.16.21	Tɑ́ fɑ cwə o bɔ Yeso Kristo to' nə siŋ pɑkhʉ pyə gɑ e lə́ gɔ ghɔ Yerusalɛm, yɔgó' té' o bi mghətso, bɑ m bi mkamsi gwyəgwyə pu a pɑ zhyə́ mco', wap ghə pu zhwə e, tə́ e piŋ jam nə vʉ̌ nə batə tyɛ'dzʉ́ yɑtá. 
MAT.16.22	Pɛtrɔ fəŋ e nə gɔ jʉ̀m, shɔk e gɔm bi e gɑ: Si pfɔptə o m Cyəpɔ! Gɛ̌, bi a lə pɑ́ nə o pa' a. 
MAT.16.23	Da' gɑ́ Yeso fɛ́ nɑ e gɔm bi Pɛtrɔ gɑ: Lu jʉ̌m m̀ m Sata! O wə bɑ bəŋ m̀ bɑ pɑ ywə fa'tə, nə pa' mkwɛnyə mǔ tə́ wə bɑ́ myə́ Si pɑ́, a pɑ́ myə́ pɔmnəŋ.
MAT.16.24	Yeso lə piŋ gɔm bi pɑkhʉ̌ pyə̀ gɑ: Mo pɑ́ gɔ yap jʉ̌m m̀, e kəŋnyə thə́ nɑ e, biŋ ŋkwa yə bɛnyəpɛnyə, nə jap jʉ̀m m̀. 
MAT.16.25	Nə pa' mo pɑ́ shəŋ nə vɔk vɔ́k e bɑ e gɔ pi vɔk e bɔ; da' gɑ́ mo yə e pi vɔk é nə m̀ a gɔ sɔ' ghə vɔk. 
MAT.16.26	A po' bi a pɑ a piŋ ŋkwitə mo nə kʉ̌ gɑ guŋ dzʉ awɛ pɑ bi e, tə́ bɑ ě lɑ vɔk e nə jo? Kɑ bi a pɑ́ mo hɑ kɑ a pɑ́ dəŋ vɔk é? 
MAT.16.27	Nə pa' Mú mo gɔ sɔ' sɔ' pu a pɑ aŋgəle pyə nthʉm ghu'tə Si a, hɑ bǎ myə́ mcwɔ'fa' wɑlə́ pa' e nə giŋ yə a. 
MAT.16.28	Kwa' nyənyɔ gɑ̌ siŋ wɔ gɑ, cəcɑ́ pɔ pyə wap tsɔ' a, shɑ pɔ tə́ gɔ sɔ' pfʉ tə yɔ̌ pa' Mu mo sɔ' pa' fo a pɑ́.
MAT.17.1	A lə nə cyə́ tyɛ' nthɔk Yeso lɑ Pɛtrɔ, ba Yakop pu Yohane fɑ é pu a pú təm gɔ dəm sʉəsʉə kuŋ dǒ pú. 
MAT.17.2	Yeso sɑnyə dzə̌ pú: Sə́ é ləŋnyə pa' sə́ nam a, dzə tsyə fɔk pa' ŋkha' a. 
MAT.17.3	Wap piŋ jɔ Mosɛ pu Elia ŋwak pu a Yeso pɑwə shɔm nwə̀. 
MAT.17.4	Pɛtrɔ wuŋ ŋkho nə́ gɔm bi Yeso gɑ: Cyəpɔ, a puŋ gɑ́ pɑ pɑ́ pɑ́ tsɔ'ɔ; o kuŋ bɑ́ gɑ́ gɔ zhɔk mpfɑ̀ tsɔ'ɔ mɑ ntha. Mu' pɑ́ yǔ, mu' pɑ́ yə Mosɛ, mu' pɑ yə Elia. 
MAT.17.5	Cwə yə e lə pɑ́ gɔm po'o a, guŋ nə yɔ mlwa dəŋnyələŋnyə pfɔptə wap. E yu' gi mo nthʉm mlwa ghɔm gɑ: Mo yəŋ bɑ Mu a yə gɑ̌ ŋkhuŋ e pɑpuŋ a, mo yə e buŋ a nə cwɔ' e. Po yu'nyə e. 
MAT.17.6	Pɑkhʉ̌ Yeso lə nə yu' po', bwɔk té', bvʉtə si pfɔppfɔp. 
MAT.17.7	Yeso sɔ' bəŋ pú, sho' pu nə pú gɔm gɑ: Po lusi! Ka po pwɔk! 
MAT.17.8	Wap lə pʉ' mnyə map, biŋ jɔ pɑ́ da' Yeso dó é. 
MAT.17.9	Pa' wap lə pɑ́ dzəŋ fɑ kuŋgó nə pɑnyə a, Yeso co' bi pú gɑ: Po pɔm nə siŋ sɔmmo nwə nə ywə yə a shyə po yɔ a, tə́ ŋkhəm cwə yə́ Mu mo yam nə vʉ̌ a.
MAT.17.10	Pɑkhʉ̌ Yeso lə piŋ həŋtə́ e gɑ: Nwə kɑ́ pɑ zhyə́ mcò' pɑ́ gɔm gɑ́ Elia gɔ sɔ' ləŋdzə sɔ̌'? 
MAT.17.11	E pa' bi pu gɑ: A nyənyɔ gɑ Elia gɔ sɔ' sɔ' piŋ nyap guŋ mnwə awɛ. 
MAT.17.12	Da' gɑ́ gɑ siŋ wɔ gɑ́, Elia le da' sɔ̌', wap lɑ nthə nə piŋ e, gə nə e pa' wap zhyə a. Ba Mu mo yə gɔ yɔgo' bi pú 
MAT.17.13	pɑkhʉ̌ pyə yu' gɑ e lə́ gɔm Yohane nu'pɔ shyə́.
MAT.17.14	Wap pu a pú lə ghɔ tə́ ŋkhəm bəŋ pɔmnəŋ, mu' mbɛ sɔ' ŋkham kwi'tə dzə e gɔm gɑ́. 
MAT.17.15	Cyəpɔ, cɔmmtso mu a, e bvʉ, biŋ bɑwə́ jɔgo' té' o; e bɑ̀ mu'cwə bvʉ mɔk, bɑ mu'cwə bvʉ̀ shyə. 
MAT.17.16	Gɑ cəŋtə dɑ e gɔ bi pɑkhʉ̌ pǔ, da' gɑ́ la' wap ku' nə yɛ̀ é 
MAT.17.17	Yeso lɑ ghɔm gɔm gɑ: Wɔ pɑ tə́ zhyə nə́ piŋ, mghɛ mhɔ, gɑ̌ gɔ pɑ́ bəŋ po tə kəm sǒ? Gɑ gɔ ŋkhyəp tʉ́m nə po tə kəm sǒ? Po lɑ e sɔ̌' tsɔ'ɔ bəŋ m̀. 
MAT.17.18	Yeso lə cɔk zhwenyə cwəpuŋ, e təm nə mu, mu bɔ wuŋ jɛ́ pɑ́ cwə o bɔ. 
MAT.17.19	A lə pɑ́ po'o pɑkhʉ̌ pyə sɔ' bəŋ é gɔm bi é gɑ: Nwə kɑ́ bɑ pyə ka kú' nə zhəŋ e? 
MAT.17.20	Yeso pa' bi pu gɑ: Bɑ piŋnthʉm yɔ kɔk. Nə pa' gɑ̌ siŋ wɔ kwa' nyənyɔ gɑ́ tyɛ'dzʉ yə po ghə piŋnthʉm dəŋ msɔm jap a, bɑ po gɔ ghɔm bi kuŋ go yəŋ gɑ: Lu tsɔ'ɔ gɔ tsi' i, a ghɔ̌. A sɔmywə lə piŋ shyə́ wɔ. 
MAT.17.21	A piŋ bɑ po'o nə zhəŋ yəŋ nthi zhwenyə cwəpuŋ pɑ pɑ̌ m nə́ nə cwyɛ'nyə Si pu nə cwə tɑ́ tsʉ̌ ywə́
MAT.17.22	Cwə yə́ wap lə cu'tə Galilea, Yeso ghɔm bi pú gɑ: Pú gɔ hɑ Mù mo nə bǔ pɔmnəŋ; 
MAT.17.23	wap zhwə e, a piŋ nə pɑ́ batə tyɛ'dzʉ yɑtá e yàm nə vʉ̌. Wap lə yú' po'o, nwə pɔk wap té' o.
MAT.17.24	Cwə yə́ wap lə́ kəm Kapɛrnaum a, pɑ kwishwɔp Dyə Si ghɔ bəŋ Pɛtrɔ gɔm bi é gɑ: Tà yɔ tə́ ma' shwɔp a? 
MAT.17.25	Pɛtrɔ ghɔm gɑ: bɑkɔ. Pɛtrɔ lə́ pɑnyə dyə cwəlɔ, Yeso ləŋdzə gɔm bi é gɑ̌ O yɔ yǔ gɑ́ kɑ̀? Mfo mfo dəmcǎ' ŋkwi shwɔp bi pɑ wɑ? Bi pɔ pap kɑ m bi mcyə́nyə̀? 
MAT.17.26	Pa' Pɛtrɔ lə̀ pa' gɑ́ bi mcyə́nyə̀ a, Yeso lə ghɔm bi é gɑ́: Nə kəlɑ́ pǒ tə́ bɑ mtho' pɑ́. 
MAT.17.27	Da' gɑ́ nə cyətə fa'tə pɔ bǎ, ghɔ shyə lɑpʉə, má' bà', gəm dəŋdzə̀ bápgù yə́ e gɔ cɔk a, biŋ ŋa' shwə̀ é: O gɔ yɔ́ bʉm nthʉm o. Lɑ nə́ gɔ hɑ bi pu nə́ yɑ̀ shwɔp ba yù.
MAT.18.1	A lə́ pɑ́ cwə o bɔ, pɑkhʉ̌ pyə́ sɔ' bəŋ é həŋtə e gɑ: wɑ̌ bɑ mo gwyə nthʉm Nəfo kɛbə̀ŋ? 
MAT.18.2	Yeso lə ké muywə mú, jap e cəcɑ́ pú 
MAT.18.3	biŋ gɔm gɑ: Gɑ̌ siŋ wɔ kwa' nyənyɔ gɑ́ po pɑ́ tə́ kwyəpnyə biŋ shʉ' pa' pǒmkəcɔk po a, bɑ gɛ̌, po tə́ gɔ sɔ' kó nə́ Nəfo kɛ́bə̀ŋ pɑ. 
MAT.18.4	Mo yə e gɔ sɔ' zhi mo ŋkho' pa' mú yəŋ gɑ a, bɑ̀ mo gwyə nthʉm Nəfo kɛbəŋ. 
MAT.18.5	Mo yə e lɑ muywə mú pa' yəŋ gɑ nə tso tsɑ̌ a, bɑ e dɑ pa' pɑ́ kwa' myə̀.
MAT.18.6	Da' gɑ́ mo yə́ e fa'tə bǎ tá' mo nə pǒmkəcɔk po pɔ gɑ pyə wap biŋ a, bɑ dzə̀ bi mo bɔ gɑ pu cə̀ŋ mɑ gwɔ' nthuŋ e ma' e nthʉ́m tsʉ̀m shyə́ lɑpʉə. 
MAT.18.7	Ghəghʉɔ bi dzʉ̌ yə a fa'tə pɔmnəŋ po'o a, əŋ, a buŋ gɑ fa'tə pɑ wə́, da' gɑ́ ghəghʉɔ bɑ bi mo yə fa'tə shyə m nə́ e a. 
MAT.18.8	A pɑ gɑ pú u kə́ kwə ó lə́ gɔ fa'tə o, o ya' gwa' tə́ gʉə sʉəsʉə; nə pa' dzə gɑ o ko nə́ vɔk m kam kwə kə́ m kam pu lə́, shyə́ pa' bi a pɑ́ pu ma' o nthʉm mɔk mamà pu a bú mǔ məbʉə kə́ pu a mkwə mǔ məbʉə lə́. 
MAT.18.9	Biŋ bɑ́ bi a bɛtsə o pɑ̀ gɔ fa'tə o nə vʉ nə mhɔ, o té e gwa' e tə́ gʉə sʉəsʉə; dzə gɑ o kó nə vɔk kəpitsə shyə pa' bi a pɑ́ pu ma' o nthʉ̀m mɔk mama pu a mnyə mǔ məbʉə a.
MAT.18.10	Pó pɔm nə wak sɔm mú nə pǒmkəcɔk po pɔ̌ gɑ, nə pa' gɑ siŋ wɔ gɑ a bɑ́ kɛbəŋ m aŋgəle pap pɑ nthiŋnyə tə́ pwa dzə̌ Tá ǎ. 
MAT.18.11	Nə pa' Mu mò lə́ sɔ' nə vɔk ywə yə a lə́ pi a. 
MAT.18.12	Pǒ jɔ̌ yɔ́ gɑ́ kɑ̀? A po'o bi a pɑ mo ghə jʉ̀jʉ̀ tsyə́ ŋkhə́, mu' ta' piŋ nthəm nə pú bi, bɑ́ e tə́ gɔ tak pyə shwɔpvʉ̌' mgham vʉ̌' dəm kuŋ, ghɔ cəŋ yə é bi a pa a? 
MAT.18.13	Gɑ̌ siŋ wɔ kwa' nyənyɔ gɑ́ e cwə tə jɔ́ e bɑ e gɔ ŋwɛnyə nə e tə́ cyə nə pyə shwɔpvʉ̌' mgham vʉ̌'. 
MAT.18.14	A dəŋdəŋ po'o tə́ Tá yɔ kɛbəŋ shəŋ gɑ́ sɔmmo nə pǒ pɔ gɑ kɑ́ pi.
MAT.18.15	A pɑ́ gɑ́ fɑ o hɔ́nwə̀, o ghɔ jɔ e, po e pɑ́ pɑ́ pɑ́pʉə, o cɔktə e. E yu' bɑ o tsʉ́ fɑ o. 
MAT.18.16	E pɑ́ tə yu' bù, o piŋ dɑ ta' mo kɑ pɔ pʉə lə́ po'o gɑ mghɔm pɔ pʉə kɑ pɔ tá lə nyap nwə bɔ.
MAT.18.17	Bi a e kəŋnyə, nə yu' bi pu a, o siŋ cu'tə pɔ Kristo, bi a e piŋ ŋkhəŋnyə nə yu' bi cu'tə, o yɔ e cwəlɔ m pa' tə́ pɑ yə Yudea kə́ pa' ŋkwi shwɔp a lə. 
MAT.18.18	Nə pa' gɑ siŋ wɔ kwa' nyənyɔ gɑ́: Guŋ ywə awɛ yə pǒ kwɑ dəmcǎ' a pu gɔ sɔ' kwɑ kɛbəŋ, a guŋ ywə awɛ yə po ŋkhyɛ' dəmcǎ' a pu sɔ' kyɛ' kɛbəŋ.
MAT.18.19	Gɑ piŋ siŋ wɔ kwa' nyənyɔ gɑ pɔ pɑpʉə cəcɑ́ po dəm cá' pɑ ŋkwishwə dó pɑ́ kə́lə́, bɑ Tá a yə e kɛbəŋ a gɔ hɑ́ bi pù. 
MAT.18.20	Nə pa' tsʉ' yə́ pɔ pʉə kɑ pɔ tá lə cu'tə́ nə́ nə́ tsǒ tsɑ á bɑ́ gɑ bɑ́ cəcɑ́ pú.
MAT.18.21	Pɛtrɔ lə fʉ'tə nɑ e gɔ bəŋ Yeso gɔm bi e gɑ: Cyəpɔ, cwə yə́ fɑ a hɔnwə bəm a, bɑ gɑ̌ gɔ nə cwyɛ' e mcʉm sʉ'ʉ? Mcʉm sɔmbʉə lə́? 
MAT.18.22	Yeso ghɔm bi e gɑ: Ŋ tə gɔ ghɔm bu gɑ́ tə́ ŋkhəm da' mcʉm sɔmbʉə pɑ́ o gɔ nə cwyɛ'e mcʉm mgham sɔmbʉə jyə sɔmbʉə.
MAT.18.23	Nə pa' Nəfo kɛbəŋ shwə pa' nwə mu' fo yə e lə pɑ́ ŋkhʉə ju bi mco' pyə́ a. 
MAT.18.24	Pú lə́ to' dɑ mu' co' e sɔ' bɑ pu e ghə tsə talɑŋto sha' ghǎm. 
MAT.18.25	Pa' a lə́ bɑ e ka ghə́ ywə nə nthuŋ a, fo lə́ ghɔm gɑ́ pu fiŋ e, ba jwi e pu a po pyə́, ba guŋ tsə tsyə awɛ nə nthuŋ jú e. 
MAT.18.26	Gɛfa' bɔ lə̀ nǔŋ mkwə fo gɔm gɑ: Na' byap a, gɑ gɔ tuŋ. 
MAT.18.27	Mtso myə́ lə kú tap e, e lɑ jú e nə shwyɛ' e, nthak e nəŋ e ghɔ. 
MAT.18.28	Gɛfa' bɔ lə nə təm dzʉ́, pu mu' só e yu'tə, e pɑwə ŋkhʉə e tsə bɛ ŋkhə. E tɔm e nə nthuŋ e, nwɔ' nthuŋ e pɑ nə zhwə e, bɑ́ gɔm gɑ: Tuŋ ywə yə pǔ ya a. 
MAT.18.29	Só e lə́ núŋ mkwə e, biŋ shwyɛ'nyə e gɔm gɑ: Na' byap a gɑ̌ gɔ tuŋ. 
MAT.18.30	Da' gɑ́ e kə́ŋnyə̀, biŋ gə pú nyəŋ e cɛ́ tə nə byap gɑ́ e tuŋ jú e. 
MAT.18.31	Mso pyə́ lə nə yɔ ywə yə a shyə́ a, nwə pɔk wap té' o; wap ghɔ siŋ tà yap nwə yə a nthəm a. 
MAT.18.32	Tá yap lə ké gɛfa' e bɔ gɔm bi e gɑ: Gɛfa' cwəpùŋ, o lə́ cwyɛ'nyə a, ŋ də jú o nə shwyɛ' o awɛ. 
MAT.18.33	O la tə bɑ́ pɑ́ o cɔmmtso sò o pa' ŋ də cɔ́mmtso mu a pɑ a? 
MAT.18.34	Tap e lə yɛluŋ nə e, hɑ e bi fəfə, tə nə byap gɑ́ e túŋ guŋ ywə awɛ yə pu lə bɑwə ŋkwi bi a. 
MAT.18.35	A dəŋdəŋ po' tə́ Tá a kɛbəŋ gɔ sɔ' ghə nə po, bi a pɑ́ gɑ́ bǎ ya mo lə nə po ka lɑ mhɔ fɑ e nə shwyɛ' e tə nthʉ́m tʉ́m e a.
MAT.19.1	Cwə yə́ Yeso lə́ miŋ nə ghɔmmnwə a, dú Galilea gɔ Yudea nə yə mu' jʉɔ Yurdɛŋ 
MAT.19.2	pɔmnəŋ jɔmyɔ̌m lə́ bɑ jʉ̀m e, e piŋ bɑ́ jɛ́ wap tsʉ'ʉ. 
MAT.19.3	Pɑ Farisai ghɔ bəŋ e dəŋtə e gɔm gɑ: A bɑ pu piŋ gɑ bi a pɑ mbɛ zhəŋ jwi e bǎ nə kə́ a? 
MAT.19.4	Yeso pa' gɑ: Po ká ké gɑ nə́ nə́ to' Nyap dzʉ́ lə̀ ghə wap Mbɛ pu mjwǐ, 
MAT.19.5	biŋ gɔm gɑ: A shyə̀ m po'o mbɛ pɑ́ gɔ sɔ' təm nə tap e ba nə map e, piŋ kwɑ́ m nə jwi e, wap pɑ́pʉə piŋ bɑ́ pɑ́ ta' bapnɑ́ yɑmu'. 
MAT.19.6	A bɑ́ po'o wap lə́ piŋ bɑ́ pɑpʉə pɑ, wap bɑ pɑ ta' bapnɑ yɑmu'. A po'o tə́ ywə yə Si tamtə a mo kɑ́ haptə. 
MAT.19.7	Pɑ Farisai piŋ gɔm bi Yeso gɑ: Nwə kɑ́ bɑ Mosɛ lě bvə gɑ pu pɑ́ hɑ ŋwa'nyə nə jəŋ mjwǐ cwə nə zhəŋ mjwǐ? 
MAT.19.8	Yeso ghɔm bi pu gɑ: A lə shyə m nə pa' a bɑ́ tʉm tsɔ sɔk gɑ́ kùŋ a, tə̀ Mosɛ piŋ gɑ po pɑ́ jəŋ pɑ jwǐ pɔ. Da' gɑ́ nə́ nə́ to' a lá tə́ bɑ̀ po'o pɑ. 
MAT.19.9	Gɑ ghɔm bi po gɑ: Mo zhəŋ jwi e tə a bɑ́ pɑ́ da' nə nwə nə ka thə a biŋ ŋkho mu' mjwǐ bɑ e ghə ghap.
MAT.19.10	Pɑkhʉ pyə ghɔm bi e gɑ: A pɑ́ gɑ́ vɔk mbɛ bəŋ mjwǐ nthʉm lɔmdyə bɑ m pa' a, bɑ a ka kwitə nə lɔmdyə̌. 
MAT.19.11	E ghɔm bi pu gɑ: Guŋ pɔ awɛ tə́ ju' ghɔm tsɔ pɑ̀ tə né da' pɔ pyə a hɑ gɑ́ wap yù' a.
MAT.19.12	Nə pa' shɑ́ msʉ̌ pɔ si bɑ mmʉ́ə pap nə́ dzə wap. Shɑ̀ mkwì piŋ bɑ yap bɑ pɔmnəŋ nə dɑ wap gə mkwi; shɑ́ piŋ bɑ́ bɑ pɑ́ wap nə dɑ nɑ tsap gə mkwi dù nə́ Nəfo kɛbəŋ. Jú'yǔ' yú'.
MAT.19.13	A lə́ pɑ́ po'o pɔmnəŋ lɑ pǒmkəcɔk pó nə sɔ' bi Yeso gɑ́ e nyəŋ byanyə nə pú, biŋ shwyɛ'nyə Si. Pɑkhʉ̌ Yeso pɑ jəŋ wap. 
MAT.19.14	Yeso ghɔm gɑ: Po tak pomkəcɔk pó pɑ́ nəŋ, ka po kɔ gɑ́ wap kɑ sɔ' bəm, nə pa' Nəfo kɛbəŋ bɑ bi pɔ pyə wap pɑ́ pa' wap a. 
MAT.19.15	Yeso lə yap bǔ nə pú cwəlɔ dú tsʉ'u gɔ̌.
MAT.19.16	A lə pǐŋ bɑ, mu' mbɛ sɔ' bəŋ Yeso gɔm bi e gɑ: Ta, gɑ̌ gɔ ghə gɑ́ kɑ pɑpuŋ tə́ ghə vɔk mama? 
MAT.19.17	Yeso ghɔm bi e gɑ: Nwəkɑ́ o həŋtə a nwə̀ nə̀ ywə pɑpuŋ? Da' ta' mo nə́ bɑ́ mo pɑpuŋ. O pɑ́ shəŋ nə pɑ́ nthʉm vɔk, o pɑ ŋkhyəp mco' 
MAT.19.18	E həŋtə́ Yeso gɑ: Má mco'? Yeso pa' gɑ: Kɑ zhwə mò. Kɑ ghə́ ghàp. Kɑ zhʉ̀. Kɑ kwinthɛ cwanwə̀. 
MAT.19.19	Ghə mku' tɔ̌ pu mɔ̌. Nə́ nɑ miŋ. O kúŋ mo yə e bəŋ o a pa' o ŋkhuŋ thə́ nɑ o a. 
MAT.19.20	Mú səm bɔ ghɔm bi e gɑ: Gɑ́ zhyə̀ guŋ e bǎ awɛ. A wə biŋ jak a kɑ? 
MAT.19.21	Yeso ghɔm bi e gɑ: O pɑ́ shəŋ nə pɑ́ dɔlɔ̌ o ghɔ fiŋ guŋ tsə́ tsyə o ghə awɛ, hɑ bi mpə̌ŋ, tə sɔ' gə fʉ́' thə kɛbəŋ. Biŋ sɔ' jap jʉ̌m m̀. 
MAT.19.22	Mu səm bɔ lə yu' ghɔm tsɔ, sə é fi' e ghɔ, nə pa' a lə́ bɑ e ghə tsə tɑ́' a.
MAT.19.23	Yeso piŋ gɔm bi pɑkhʉ pyə gɑ: kwa' nyənyɔ gɑ siŋ wɔ gɑ̌ a gɔ sɔ' tʉɔ bi gɛ ywə́ nə ko nə Nəfo kɛbəŋ. 
MAT.19.24	Gɑ piŋ kwi' siŋ wɔ gɑ, a yɛ̀ bi kamelo nə cyə nə fǎ dàp syap shyə pa' bi a pɑ gɛ ywə ko nə̀ Nəfo Si a. 
MAT.19.25	Pɑkhʉ pyə́ lə nə yu' ghɔm tsɔ̌, a cyə wap, wap pɑ́ gɔm gɑ: Tə́ a po'o wɑ́ ghɔ sɔ' vɔk? 
MAT.19.26	Yeso lə le wap dəŋdəŋ gɔm gɑ: Ywə yə a shyə̀ pɔmnəŋ a tə́ shyə Si pɑ́.
MAT.19.27	Pɛtrɔ lə́ lɑ ghɔm gɔm gɑ: Pyə le ŋthak guŋ tsə awɛ jap jʉm o. Tə́ a gɔ sɔ' pɑ́ nə́ pyə pɑ́ m gɑ́ kɑ? 
MAT.19.28	Yeso ghɔm bi e gɑ: Kwa'nyənyɔ gɑ ghɔm bi po gɑ: Cwə yə pu gɔ sɔ' ghə guŋ ywə awɛ msə a, cwə yə Mu mo gɔ sɔ' cwə́ dəm kwɔ' wu'tə̀ é a, wɔ pyə po lə yap jʉ̌m m̀ a, po cwə nə mkwɔ' shwɔppʉə mgham, bɑ́ sa' mtuŋ dyə Israɛl shwɔppʉə mgham. 
MAT.19.29	Biŋ bɑ bi a bǎ wɑlə́ pɑ́ bɑ e lé nthak la' tsyə, mfɑ pyə́ pyə pɑ bɛ ba pyə pɑ jwǐ, tap e, map e, pó pyə, kɑ be myə́ po' nə tso tsɑ̌ bɑ e gɔ sɔ' kwi tsə bɔ tə a yɔm piŋ kwi ba vɔk mama. 
MAT.19.30	Bo'gwyə pɑ dzə̀ gɔ sɔ' cʉ' pɑ jʉ̀m, a pɑ jʉ̀m cʉ' pɑ dzə̀.
MAT.20.1	Nəfo kɛbəŋ shwə pa' mu' mo gɛ lǎ' yə e lə́ təm mɑfɔkdzʉ̌ bɑ dɑ mghɛ fa' pé mthə mlu' e a. 
MAT.20.2	Pú a mghɛ fa' lə́ yap gɑ e gɔ hɑ bɛ ŋkhap bi pú nə tyɛ'dzʉ́ cwəlɔ̌, e cya wap pé mthə mlu' e. 
MAT.20.3	A lə piŋ nə cyə mnam tá e təm jɔ shɑ pɔ bɑ wap tiŋnyə tsʉ'u tɑ pɑwə gə ywə, 
MAT.20.4	e ghɔm bi pu gɑ: Ba wɔ yɔ ghɔ pe mthə mlu' m̀, gə hɑ ywə yə a ku'nyə a bi pò. 
MAT.20.5	Wap lə ghɔ̌. E lə piŋ nthəm nə batə́ mnam nthɔk, ba mnam vʉ̌', kwi' gə pɑ po'o. 
MAT.20.6	A lə pɑ nə gwɛ a jyə mnam shwamu' mgham e kwi' nthəm, biŋ jɔ́ shɑ pɔ̀ bɑ wap tiŋnyə tsʉ'u, gɔm bi pu gɑ: Nwə kɑ bɑ po ywɔk tsɔ'ɔ tə ghə sɔmywə? 
MAT.20.7	Wap pa' bi e gɑ, sɔmmo bɑ e ka lɑ wɔk fa'. E ghɔm bi pu gɑ: Ba wɔ yɔ ghɔ pé m̀. 
MAT.20.8	A lə kəm bwadzʉ̌, gɛ pě ghɔm bi ŋkho nthɛ é gɑ: Ké mghɛ fa', hɑ ŋkhap fa' bǎ ya mo lə bi é, ntho' nə pɔ pyə wap sɔ' jʉm a, miŋ nə pyə wap la' dəŋdzə sɔ' a. 
MAT.20.9	Pɔ pyə wap lə sɔ' nə batə mnam shwamu' mgham a, lə sɔ̌', bǎ ya mo lə nə́ pu kwi ta' bɛ ŋkhap. 
MAT.20.10	Pɔ pyə wap lə́ tsə́ pé a lə́ nə sɔ' bɑwə ŋkwɛ gɑ́ pu gɔ kwi' yáp dəŋ ŋkhap; da' gɑ bǎ ya mo lə́ nə pu lə kwi pɑ ta' bɛ ŋkhap. 
MAT.20.11	Wap lə́ nə kwǐ bɑ ŋkhuku nthuŋ pú nə gɛ la' a 
MAT.20.12	bɑ gɔm gɑ: Pɔ pyə wap sɔ' m jʉm a bɑ wap fa' da' nə ta' nam, o piŋ gə nə pu pɑ́ pá' wɔk pyə́ pyə ywɔk fa', mɑ nam tyə́ wɔk a. 
MAT.20.13	Da' gɑ gɛ la' a ghɔm bi mu' mo nə́ pu gɑ: So a, ŋ kha hɔ sɔmywə bu, pu ké tə́ ka'nyə nə bɛ ŋkhap a? 
MAT.20.14	Pé ywə yə a yu a gɔ. Gɑ̌ gɔ hɑ pɑ dəŋ yə gɑ hɑ bu a bi yə́ŋ mò. 
MAT.20.15	Pù ka piŋ gɑ́ gə nə ywə yə a yɑ̌ a pa' gɑ kuŋ a? Kɑ bɛtsə o bɔk pa' gɑ mo pɑpuŋ a? 
MAT.20.16	A po'o tə́ pɑ jʉ̀m gɔ sɔ' cʉ' pɑ dzə, a pɑ dzə piŋ shʉ' pɑ jʉ̀m.
