GEN.1.1	Tɔɔzeizu mɔunpa GALA ge geeɠɔlɔgi ta zooi ɓɛtɛni. 
LEV.21.24	Moize naama wooiti daazeelini Aalɔn ma ta ná-doun zunuiti, é ʋɛɛ Izelayɛle nuiti kpein ba.
LEV.22.1	Ɠɔoɠɔ GALAGI ɓɔɛni Moize ʋɔ, é ɠɛ ma: 
LEV.22.2	«Aalɔn ta ná-doun zunuiti kala ga fai niiti ta ti maaɲɛ, é lo vebɛani ɲadegaiti ba, niiti Izelayɛle nuiti ti ti ɠulazu bɛ̀, naa ɠa a kɛ ti mina dàasei ɲadegai ɠoloɠolo. Nà ga Ɠɔoɠɔ GALAGI.
LEV.22.3	«Ɠɛ ti ma: Wo-mavofodaiti saama, zunu nɔpɛ kɔzɔai a yɛ de, é maaɓuɠa vebɛani ɲadegaiti ba, niiti Izelayɛle nuiti ti ti veezu bɛ̀, naama nui ɠa ɓɛ, é zeɠe gàazu. Nà ga Ɠɔoɠɔ GALAGI. 
LEV.22.4	Nu-o-nu Aalɔn mavofodai zu, kulama zeeɓɛi a ɠɛ ba, ɓaa kalaɲa kolegi, naa la vebɛani ɲadegaiti ta mia, eyɛsu é ɓe ga ɲade. Zekana é la ga zɔi a vɔɔɠuna nui ta ʋa, kɔzɔai ga poomai, ɓaa é ɓɔɠɔ maaɠoloɠologai. 
LEV.22.5	Zɔi a vɔɔɠuna kpokpo ganii ta ʋa, é kɔzɔi maazɔlɔɔ, ɓaa nu vului ta, nii kɔzɔba anii ma zii tanɔpɛ a ʋɛɛna ba, é ɠɔzɔ ga naa, 
LEV.22.6	zɔi a vɔɔɠuna ta ʋa, naa ɠa yɛ kɔzɔyai zu eyɛsu kpɔkɔi, é la vebɛani ɲadegaiti ta mia, kɛni é maagba. 
LEV.22.7	Foloi a ɓena ga da, toɠa ɲade, naa ʋolu toɠa zoo niina é vebɛani ɲadegaiti ta mi, mazɔlɔɔ ná-daamianigi ʋe. 
LEV.22.8	É la sua ʋooma mia, ɓaa nii baliʋaliai ga, nii a kɛ é mina ɓɔɠɔ ɠɔzɔ ga naa. Nà ga Ɠɔoɠɔ GALAGI.
LEV.22.9	«Zalaɠa ɠula nuiti ta nà-deveiti makɛ, naa ɠa a kɛ ti mina koloɠolo, koto ʋa la ti unma, ti mina ʋa zaazu. Nà ga Ɠɔoɠɔ GALAGI, nii é ti ɲadesu.
LEV.22.10	«Izelayɛle nu nɔpɛ ge mina vebɛani ɲadegai ta mi, ni é la ga zalaɠa ɠula nu. Anɛɛ zalaɠa ɠula nui ma wɛɛin ta ná-botiɠɛ nui, ti la vebɛani ɲadegai ta mia. 
LEV.22.11	Kɛlɛ duɔi nii zalaɠa ɠula nui geyaai, naa ɠa zoo é ta mi, ta nii ɓalaagi sɔlɔɔgai ná-pɛlɛi wu, ta ná-daamianigi ta mi. 
LEV.22.12	Zalaɠa ɠula nui ná-doun anzanui, sinigi la ga zalaɠa ɠula nu, naa la naa ta mia, nii seɠeai vebɛani ɲadegaiti ba. 
LEV.22.13	Kɛlɛ zalaɠa ɠula nui ná-doun anzanui, nii é ga poanzai, ɓaa nii sinigi ɠɛlɛai ba, é la doun zɔlɔɔni, ta nii é ʋaazu ɠalesu ma, é yɛ kɛɛɠɛ ná-pɛlɛi wu, eɠɛʋelei é ɠɛni ná la, ná-nu niinɛlai zu, naa ɠa zoo é kɛɛɠɛ ná-daamianigiti ta mi. Nu nɔpɛ ge la ta mia, ni é la ga zalaɠa ɠula nu.
LEV.22.14	«Ni nui ta a vebɛani ɲadegai miina, ki ge la ba, toɠa vebɛanii liegɔi naa ve zalaɠa ɠula nui ya, é ta ʋɛɛ ba ga gaaɠwɛsu lɔɔlugɔi zeizu ɠilagi. 
LEV.22.15	Zalaɠa ɠula nuiti ti mina Izelayɛle nuiti ta-vebɛani ɲadegaiti kɔzɔ, nii naati ti seɠezu ba Ɠɔoɠɔ GALAGI ʋɛ. 
LEV.22.16	Ni naati ta ta-vebɛani ɲadegaiti miina, ta ta-vaaɠaaza golai la ɓɔɠɔ unma, ti ɠɛ ga sɔba nuiti, mazɔlɔɔ nà ga Ɠɔoɠɔ GALAGI, nii é ti ɲadesu.»
LEV.22.17	Ɠɔoɠɔ GALAGI ɓɔɛni Moize ʋɔ, é ɠɛ ma: 
LEV.22.18	«Ɓɔɛ Aalɔn ta ná-doun zunuiti pɔ, naa ʋɛɛ Izelayɛle nuiti kpein ba, è ɠɛ ti ma: Nu kpein é ga Izelayɛle nu, ɓaa ti ga seikɔɠɔma nu Izelayɛle yooi zu, niiti ta gala zalaɠai ɠula Ɠɔoɠɔ GALAGI ʋɛ, minazeɠe daazeeli vaa zu, ɓaa vebɛanii vaa zu ti daai ɠisu, 
LEV.22.19	nii a kɛ daazo, toɠa ʋa ga togani zinɛ ɠila, nii nɛɛʋuzu la ba, é kula nikɛiti saama, ɓaa baalagiti, ɓaa boliiti. 
LEV.22.20	À mina ani nɔpɛ kula ga zalaɠai, nii nɛɛʋuzu a ɠɛ ba, mazɔlɔɔ daa la zoga wo ʋɛ. 
LEV.22.21	Ni zunui ta a toganii ma wolai ɓaa ma goi ta ɠulana ga ziilɛi zalaɠai, é ɠɛni ga minazeɠe daazeeli vai, ɓaa é ɠɛni ga vebɛanii nii é daai ɠisu, nɛɛʋuzu mina ɠɛ zalaɠa anii ʋa, naa ɠa a kɛ daazo. Nɛɛʋuzu nɔpɛ ge mina ɠɛ ba. 
LEV.22.22	À mina sua nɔpɛ kula ga zalaɠai Ɠɔoɠɔ GALAGI ʋɛ, nii gaazuɠoleai, ɓaa maalɛɠɛfɛgai, ɓaa koliiti ti ba, ɓaa kaʋai ɠulaai ma, ɓaa gɛlɛɠɛlɛgi ɠulaai ma. À mina naa ɠala zalaɠa ɠulazuʋɛ Ɠɔoɠɔ GALAGI ʋɛ. 
LEV.22.23	Nikɛ zinɛi ɓaa baala ziʋoi nii baalobazuʋɛ ta ɠoozaai, ɓaa ta ɓuɠa, wa zoo wo naa ɠula ga zalaɠai ɓaa vebɛanii, nii wo daai ɠisu, kɛlɛ naa ɠɛɠala zuai ma zalaɠai la daazoga minazeɠe daazeeli vaa zu. 
LEV.22.24	À mina sua ɠula ga zalaɠai Ɠɔoɠɔ GALAGI ʋɛ, nii pɔlɔɠɛzɛɠain woloai, ɓaa kulaai su, ɓaa teʋeai ga. À mina naa ta ɠɛ ga zalaɠa wa-yooi zu. 
LEV.22.25	À mina suai naa ma zii tanɔpɛ geya wɛɛn ma, wo ʋa kula wa-ƓALAGI ʋɛ ga zalaɠai. Mazɔlɔɔ ti maalɛɠɛfɛgɛ, nɛɛʋuzuʋɛ ɠa ba, daa la zoga wo ʋɛ.»
LEV.22.26	Ɠɔoɠɔ GALAGI ɓɔɛni Moize ʋɔ, é ɠɛ ma: 
LEV.22.27	«Siɛgi zu nikɛi a zɔlɔɔna da, ɓaa baalagi, ɓaa bolii, toɠa yɛ ma leei ʋa, é kɛ ga folo lɔfela. É zo folo lɔsaʋasiɛi ma, eyɛsu zɔɔma voloiti, a ɠulana ga zalaɠai, nii abui galazu Ɠɔoɠɔ GALAGI ʋɛ, daa ɠa zo. 
LEV.22.28	À mina togani leei ta ma yiʋoi ʋaa ʋɔɔma folo ɠila nɔ. 
LEV.22.29	Wa ɠɛna mama fee zalaɠai ɠulaa Ɠɔoɠɔ GALAGI ʋɛ, wa kula ʋele ɓɛtɛ, nii a kɛ daazo. 
LEV.22.30	Wa ti pɛ mi ma voloi nɔ ma, wo la ta yɛ ga ná, é ʋa yɛsu sobui ʋa zeeli. Nà ga Ɠɔoɠɔ GALAGI.
LEV.22.31	«Wa nà-deveiti so, wo ziɛ ga tiye. Nà ga Ɠɔoɠɔ GALAGI.
LEV.22.32	«À mina dàasei ɲadegai ɠoloɠolo, nà-ɲadedai ɠa maamusɛi zɔlɔɔ Izelayɛle nuiti saama. Nɔ̀un nà Ɠɔoɠɔ GALAGI, nii é wo ɲadesu, 
LEV.22.33	nɛ̀i gè wo ɠulaai Ezipete yooi ʋa, ga gè ɠɛ ga wa-ƓALAGI. Nà ga Ɠɔoɠɔ GALAGI.»
LEV.23.1	Ɠɔoɠɔ GALAGI ɓɔɛni Moize ʋɔ, é ɠɛ ma: 
LEV.23.2	«Ɓɔɛ Izelayɛle nuiti pɔ, è ɠɛ ti ma: Fɛti voloi ɠa ga niiti, wo maanɛai wo ti ɠula, ti ga nà-fɛti voloiti. Naati ma vaa zu, wa nuɓusɛiti toli, ti gaalɛba ɲadegai wo.
LEV.23.3	«Ɛsɛ ka ná-boti ɠɛ folo lɔzita laawu, kɛlɛ foloi lɔfelasiɛi ɠa ga dooɠo foloi, gaalɛba ɲadegai ɠa wo ma. Wo la boti nɔpɛ kɛa naama voloi. Dooɠo foloi ɠa ɠɛ de Ɠɔoɠɔ GALAGI lɛbi vai ma, ʋɛ nɔpɛ wa zei ná.
LEV.23.4	«Wɛlɛ Ɠɔoɠɔ GALAGI ná-fɛti volo ɠiligi tanigaa ʋa, niiti wo maanɛai wo nuɓusɛiti toli ma, ti gaalɛba ɲadegai wo naama ɠuiti ma, ti logai.
LEV.23.5	«Alu mɔungi ma volo puugɔ maazu naanisiɛi (14) ma ɓɔkɔi, kpidii a ʋɛɛna, naa ɠa é ga Ɠɔoɠɔ GALAGI ná-Pakegi. 
LEV.23.6	Alugi naa ma volo puugɔ maazu lɔɔlusiɛi (15), naa ɠa ɠɛ ga ɓului nii lɛʋɛ la su, naa ma vɛtii, Ɠɔoɠɔ GALAGI lɛbi vai ma. Folo lɔfela laawu, wa yɛ ɓului miizu, nii lɛʋɛ la su. 
LEV.23.7	Folo mɔungi, wa gaalɛba ɲadegai wo, wo la boti nɔpɛ kɛa, eɠɛʋelei wa ɗa kɛ la. 
LEV.23.8	Folo lɔfela laawu, wa zalaɠai ɠula, nii abui galazu, Ɠɔoɠɔ GALAGI ʋɛ. Folo lɔfelasiɛi ma, wa nuɓusɛiti toli, wo gaalɛba ɲadegai wo, wo la boti nɔpɛ kɛa, eɠɛʋelei wa ɗa kɛ la.»
LEV.23.9	Ɠɔoɠɔ GALAGI ɓɔɛni Moize ʋɔ, é ɠɛ ma: 
LEV.23.10	«Ɓɔɛ Izelayɛle nuiti pɔ, è ɠɛ ti ma: Siɛgi zu wo ʋaazu lɔɔzu la zooi zu, nii gè feezu wo ya, wa moloi leʋena, wa ʋa ga ma ɠili ɠila, zalaɠa ɠula nui ʋɔ, wa-molo leʋea mɔungi zu. 
LEV.23.11	Dooɠo foloi ʋoluma zobui, zalaɠa ɠula nui ɠa molo ɠilii latɛɠɛ vai ma ʋoogi ɠɛ, Ɠɔoɠɔ GALAGI ɠakala, naa ɠa a kɛ daazo wo ʋɛ. 
LEV.23.12	Voloi wo ʋaazu molo ɠilii latɛɠɛ vai ma ʋoogi ɠɛɛzu la, wa kona gila baala sinɛi zo, nii nɛɛʋuzu la ba, wo kula ga gala zalaɠai Ɠɔoɠɔ GALAGI ʋɛ. 
LEV.23.13	Wa ɓulu vukɔ ʋagɔi kilo lɔzita ʋɛɛ ba, gaayɔgai ga gulɔi, eɠɛ vebɛanii galaai abui ɠa, makugi nɛai Ɠɔoɠɔ GALAGI ʋɛ, ta puya zalaɠai litɛlɛ ɠila ta tukpɛ (1,5) dɔɔi zu. 
LEV.23.14	Aisa naama voloi ʋa zeeli, wo ʋaazu ma ga vebɛanii wa-ƓALAGI ʋɔ, à mina ɓulu mi, ɓaa ani ɠɔpɔ geega, ɓaa molo niinɛi. Naa ɠa ga ɠɔoɠɔ tɔgi wo-mavofodaiti kpein bɛ, ʋɛ nɔpɛ wa zei ná.
LEV.23.15	«Wa dɔɔɠɔi ɠaalu ga dɔfela, é zo dooɠo foloi ʋoluma voloi ma, yeei wo ʋaazu la ga molo ɠili, wo datɛɠɛ mà. 
LEV.23.16	É zo dooɠo foloi ma voloi ma, wa folo ʋuulɔɔlugɔ (50) ɠaalu, wo molo niinɛi ma vebɛani ɠili kɛʋele ɓɛtɛ Ɠɔoɠɔ GALAGI ʋɛ. 
LEV.23.17	Wa ʋa ga ɓulu felegɔ, wo zeɠe la wo-zeizuʋɛ, wo ti latɛɠɛ, ti ɠilagilagi ɠa ɓɛtɛ ga ɓulu vukɔ ʋagɔi kilo lɔzita, ti mɔ ga lɛʋɛi. Naati ta ga zooi ʋa lɔnɔ mɔungiti Ɠɔoɠɔ GALAGI ʋɛ. 
LEV.23.18	Ɓului naati poluma, wa kona gila baala ziʋo lɔfela ɠula ga zalaɠai, nɛɛʋuzu mina ɠɛ ti ʋa, ta nikɛ zinɛ ɓokpa gila ta baala sinɛ felegɔ, ti ɠula ga gala zalaɠai, é ʋɛɛ ta-vebɛanii ʋa, ta ta-ʋuya zalaɠai. Zalaɠai ʋe, nii abui galazu, makugi nɛai Ɠɔoɠɔ GALAGI ʋɛ. 
LEV.23.19	Wa boli zinɛi ɠula ga koto gba zalaɠai, ta kona gila baala sinɛ felegɔ, wo kula ga ziilɛi zalaɠai. 
LEV.23.20	Zalaɠa ɠula nui ɠa ti latɛɠɛ vai ma ʋoogi ɠɛ, Ɠɔoɠɔ GALAGI ɠakala, é ʋɛɛ zooi ʋa lɔnɔ mɔungiti ma ɓului ʋa, é ʋɛɛ baala ziʋo felegɔiti ba. Ta zeɠe, ti ve Ɠɔoɠɔ GALAGI ʋɛ, ti ɠɛ ga zalaɠa ɠula nui nɔnɔi. 
LEV.23.21	Naama voloi nɔ, wa nuɓusɛiti toli, ti gaalɛba ɲadegai wo. Wo la boti nɔpɛ kɛa, eɠɛʋelei wa ɗa kɛ la. Naa ɠa ɠɛ ga ɠɔoɠɔ tɔgi wo-mavofodaiti kpein bɛ, ʋɛ nɔpɛ wa zei ná.
LEV.23.22	«Siɛgi zu wo moloi leʋezu la wa-yooi zu, wa kpala kpelamaʋɛ yɛ ná, wo mina ná leʋe, wo mina ɠale ma posuyɛʋɛi ma. Wa naa yɛ ná bala nuiti bɛ, ta seikɔɠɔma nuiti. Nà ga Ɠɔoɠɔ GALAGI, wa-ƓALAGI.»
LEV.23.23	Ɠɔoɠɔ GALAGI ɓɔɛni Moize ʋɔ, é ɠɛ ma: 
LEV.23.24	«Ɓɔɛ Izelayɛle nuiti pɔ, è ɠɛ ti ma: Alugi lɔfelasiɛi ma volo mɔungi ma, toɠa ɠɛ ga dooɠo folo wola wo ʋɛ, wo ɠitoo sù, wa puʋugiti fɛ, wo gaalɛba ɲadegai wo. 
LEV.23.25	Wo la boti nɔpɛ kɛa, eɠɛʋelei wa ɗa kɛ la. Wa zalaɠai ɠula, nii abui galazu, Ɠɔoɠɔ GALAGI ʋɛ.»
LEV.23.26	Ɠɔoɠɔ GALAGI ɓɔɛni Moize ʋɔ, é ɠɛ ma: 
LEV.23.27	«Alugi lɔfelasiɛi ma volo puugɔi ma, naa ɠa ɠɛ ga koto gba voloi. Wa gaalɛba ɲadegai wo, wo zugi zo, wo zalaɠai ɠula, nii abui galazu, Ɠɔoɠɔ GALAGI ʋɛ. 
LEV.23.28	Wo la boti nɔpɛ kɛa naama voloi, mazɔlɔɔ koto gba voloi ʋe, yeei koto gba vai maanɛai é ɠɛ la wo ʋɛ, Ɠɔoɠɔ GALAGI ɠaazu, wa-ƓALAGI. 
LEV.23.29	Nu-o-nu nii é la zugi zoni naama voloi, naa ɓe ka leʋe ná-nuɓusɛiti ba. 
LEV.23.30	Nu nɔpɛ a boti ɠɛɛna naama voloi, nà undaaʋili ná-nuɓusɛiti saama. 
LEV.23.31	Wo la boti nɔpɛ kɛa. Naa ɠa ɠɛ ga ɠɔoɠɔ tɔgi wo-mavofodaiti kpein bɛ, ʋɛ nɔpɛ wo zeizu ná. 
LEV.23.32	Toɠa ɠɛ wo ʋɛ ga dooɠo folo wolai, wa zugi zo. É zo alugi ma voloi laaʋuusiɛi ma ɓɔkɔi ma, é li poluma zobui ma ɓɔkɔi ʋɔ, kɛni wo looɠo.»
LEV.23.33	Ɠɔoɠɔ GALAGI ɓɔɛni Moize ʋɔ, é ɠɛ ma: 
LEV.23.34	«Ɓɔɛ Izelayɛle nuiti pɔ, è ɠɛ ti ma: Ma alugi lɔfelasiɛi nɔ ma volo puugɔ maazu lɔɔlusiɛi (15) ma, naa ɠa ɠɛ ga kota vɛtii Ɠɔoɠɔ GALAGI ʋɛ, folo lɔfela laawu. 
LEV.23.35	Folo mɔungi, gaalɛba ɲadegai ɠa wo. Wo la boti nɔpɛ kɛa, eɠɛʋelei wa ɗa kɛ la. 
LEV.23.36	Folo lɔfela laawu, folo-o-folo wa gala zalaɠai gila kula, Ɠɔoɠɔ GALAGI ʋɛ. Foloi lɔsaʋasiɛi, wa gaalɛba ɲadegai wo, wo gala zalaɠaiti kula Ɠɔoɠɔ GALAGI ʋɛ. Toɠa ɠɛ ga gaalɛba ɲadegai GALA dɛbi vai ma. Wo la boti nɔpɛ kɛa, eɠɛʋelei wa ɗa kɛ la.
LEV.23.37	«Fɛti voloiti kana, Ɠɔoɠɔ GALAGI lɛbi vai ma, niiti wo maanɛai wo nuɓusɛiti toli ti ma, ti gaalɛba ɲadegai wo. Ti zalaɠaiti kula, ti ɠalazu abui ɠa, ta vebɛaniiti, ta zalaɠaiti, ta puya zalaɠaiti, é zoloo foloi ɠilagilagi ma leveiti ma. 
LEV.23.38	Wa Ɠɔoɠɔ GALAGI ná-dooɠo foloiti maaɲɛ, wo ti la wa-vebɛaniiti maazu, ta wa-minazeɠegiti, ta wa-vebɛaniiti kpein wo ti laai ɠisu, niiti wo ti veezu Ɠɔoɠɔ GALAGI ʋɛ.
LEV.23.39	«Alu dɔfelasiɛi ma volo puugɔ maazu lɔɔlusiɛi (15) ma, siɛgi zu wo zooi zu ani waaiti kulazu la, wa fɛtii ɠula Ɠɔoɠɔ GALAGI lɛbi vai ma. Wa naa ɠɛ folo lɔfela laawu. Folo mɔungi ɠa ɠɛ ga dooɠogi, dɔsaʋasiɛi ɓalaa ɠɛ ga dooɠogi. 
LEV.23.40	Folo mɔungi, wa gulu ʋagɔiti ma waai zeɠe, ta dɔɔ laagiti, ta gulu ɓekegiti, ti ɠaaɓiiliai, ta ziɛla ɠulu ɓekegiti. Wa ɠoozunɛ Ɠɔoɠɔ GALAGI ɠaazu, wa-ƓALAGI, wo naa ɠɛ folo lɔfela laawu. 
LEV.23.41	Kona-o-kona wa fɛtii naa ɠula Ɠɔoɠɔ GALAGI lɛbi vai ma, folo lɔfela laawu. Toɠa ga ɠɔoɠɔ tɔgi wo-mavofodaiti kpein bɛ. Wa ɠɛ kulazu alu dɔfelasiɛi ma. 
LEV.23.42	Wa zei kotaiti bu folo lɔfela laawu. Izelayɛle yooi zu, zou lointi kpein ta zei kotaiti bu, 
LEV.23.43	naa ɠa a kɛ, wo-mavofodaiti ti kwɛɛ ga gè Izelayɛle nuiti seini kotaiti bu, gè ti ɠulaai ma Ezipete yooi ʋa. Nà ga Ɠɔoɠɔ GALAGI, wa-ƓALAGI.»
LEV.23.44	Ʋele ɠana Moize kalagiti feeni la Izelayɛle nuiti zea, é ʋilɛ Ɠɔoɠɔ GALAGI ná-fɛti voloiti ba.
LEV.24.1	Ɠɔoɠɔ GALAGI ɓɔɛni Moize ʋɔ, é ɠɛ ma: 
LEV.24.2	«Devei ve Izelayɛle nuiti zea, ga ti ʋa è ʋɔ ga wolive wulɔ ʋagɔi, kpɛtɛai fitinai vaa zu, naa ɠa a kɛ wo yeeyɛ fitinaiti ba, yeenɔpɛ ti mina za. 
LEV.24.3	GALA daaɠomi seɠe ʋɛlɛi wu, seɠe zuɠooza golai ɠakalaʋɛ, nii é zeele woo ɠesui ɠakalaʋɛ, miná ɠa Aalɔn a sei ná, fitinaiti ti so, é zo kpɔkɔi ma, eyɛsu geelaalao, Ɠɔoɠɔ GALAGI ɠaazu. Toɠa ga ɠɔoɠɔ tɔgi, wo-mavofodaiti kpein bɛ. 
LEV.24.4	Toɠa fitinaiti kɛʋele ɓɛtɛ, fitina zei anii ɠa, é ga zanu kitei, ti ɗa zo yeenɔpɛ Ɠɔoɠɔ GALAGI ɠaazu.
LEV.24.5	«Ɗa ɓulu vukɔ ʋagɔi zeɠe, è ɓulu puugɔ maazu felegɔ (12) ɓɛtɛ, ɓului ɠilagilagi ɠa ɠɛ ga kilo lɔzita. 
LEV.24.6	Ɗa ti ɠɛʋele ɓɛtɛ zanu kitei ma laɓalii ɠa, Ɠɔoɠɔ GALAGI ɠaazu, ga seizu felegɔ. 
LEV.24.7	Ɗa ani maku nɛɛnɛ kitei ta ʋu seizu ɠilagilagi ma. Naa ʋolu ɗa ani maku nɛɛnɛ kitei ɠala Ɠɔoɠɔ GALAGI ɠaazu, ɓului ʋotogi zu, eɠɛ ɠizɛsui. 
LEV.24.8	Dooɠo foloi ɠilagilagi, ta ɗa ɓului naati kɛʋele ɓɛtɛ yeenɔpɛ Ɠɔoɠɔ GALAGI ɠaazu. Toɠa ga minazeɠegi é yɛsu ná ɠɔ, Izelayɛle nuiti ta-vaa zu. 
LEV.24.9	Ɓului naati ta ɠɛ ga Aalɔn ta ná-doun zunuiti tɔnɔ, ta ti mi ada ɲadegai ta, mazɔlɔɔ toɠa ɠɛ ti ʋɛ ga vebɛani ɲadega wolai, naati saama, niiti ti ɠalazu, Ɠɔoɠɔ GALAGI ɠaazu. Toɠa ga ɠɔoɠɔ tɔgi.»
LEV.24.10	Yeeta, Izelayɛle anzanu ɠila ta Ezipete zunu ɠila, ti-loun zunui ʋaani Izelayɛle nuiti saama. Kpɔɛi leʋeni ti-ʋuuzuʋɛ, Izelayɛle anzanui naa ná-doun zunui ta Izelayɛle zunui ta ti yɔɠɔzu. 
LEV.24.11	Izelayɛle anzanui naa ná-doun zunui woo ɲɔiti boni GALA daalɔɠɔma, é koto. Ti ʋaani la Moize ʋɔ. Dee laaseigi ɠɛni ga Selɔmite, Diɓeli ná-doun anzanui, Dan ná-bolodai zu. 
LEV.24.12	Ti makɛni ga pagɔ, eyɛsu deve zɔlɔɔ Ɠɔoɠɔ GALAGI ya.
LEV.24.13	Ɠɔoɠɔ GALAGI ɓɔɛni Moize ʋɔ, é ɠɛ ma: 
LEV.24.14	«À woo ɲɔu wo nui ɠula wo-ʋuuzuʋɛ ʋa. Niiti kpein ti gooi mɛnigai, naati ti yeeiti pɛɛ unma, naa ʋoluma bɛbɛi kpein ge sɔ ga kɔtui, é za. 
LEV.24.15	Ɗa ɓɔɛ Izelayɛle nuiti pɔ ga, nu-o-nu a ná-GALAGI ɠotona, naama nui ɠa ná-kotoi ma ɠasɔi zeɠe. 
LEV.24.16	Zɔi nɔpɛ a woo ɲɔu wona Ɠɔoɠɔ GALAGI laaseigi laalɔɠɔma, ta naama nui ʋaa, bɛbɛi kpein ka sɔ ga kɔtui, é za, é ɠɛni ga seikɔɠɔma nu ɓaa zou loun, tɔɔzei é woo ɲɔi woga GALA daaseigi laalɔɠɔma.
LEV.24.17	«Zɔi a nu ʋaana, ta naama nui ʋaa. 
LEV.24.18	Zɔi a sua ʋaana, toɠa potogi ve ga suai ta. Zɛnvui ʋoto ka ɠɛ ga zɛnvui. 
LEV.24.19	Ni nui ta a seiɲɔɠɔi maawanana, toɠa ɠɛ la, eɠɛʋelei tɔ ɓɔɠɔi é kɛa la ga zɔi. 
LEV.24.20	Nii a nu ɠaei ɠale, naama nui ɠaei ɠa ɠale, nu ɠaazuɠɛzɛgi ʋoto ka ɠɛ ga nu ɠaazuɠɛzɛgi, nu ɲiiga ʋoto ka ɠɛ ga nu ɲiiga. Ta naama maawanai ɠɛɠalai ɠɛ ga naa, nii é kɛa ga zɔi. 
LEV.24.21	Zɔi a sua ʋaana, toɠa potogi ve. Kɛlɛ zɔi a nu ʋaana, ta naama nui ʋaa.
LEV.24.22	«Tɔ gilagi nɔ ɠa seiɗai wo ma, seikɔɠɔma nu ʋɛɛ zou loun ʋa, mazɔlɔɔ nà ga Ɠɔoɠɔ GALAGI, wa-ƓALAGI.»
LEV.24.23	Moize ɓɔɛni Izelayɛle nuiti pɔ. Ti woo ɲɔu wo nui ɠulani ti-ʋuuzuʋɛ ʋa, ti sɔ ga kɔtuiti, é za. Izelayɛle nuiti ti kɛɛni ɠana, eɠɛʋelei Ɠɔoɠɔ GALAGI ma levei veeni la Moize ya.
LEV.25.1	Ɠɔoɠɔ GALAGI ɓɔɛni Moize ʋɔ Sinayi gizei ma, é ɠɛ ma: 
LEV.25.2	«Ɓɔɛ Izelayɛle nuiti pɔ, è ɠɛ ti ma: Siɛgi zu wo ʋaazu lɛɛzu la zooi naa zu, gè feezu wo ʋɛ, wa ɗa zooi yɛ ná, é ɗa looɠo yeeɠɛɠalai tanigaa zu, naa ɠa ɠɛ Ɠɔoɠɔ GALAGI ná-lɛbiyai vaa ma. 
LEV.25.3	Kona dɔzita laawu, wa wa-ani zuwui vaza wa-ɓalagiti su. Kona dɔzita laawu, wa wa-leezɛn ɓeleiti suɓɛtɛ ga pagɔ, wo gaawaai ɠula. 
LEV.25.4	Kɛlɛ kona dɔfelasiɛi, dooɠogi ɠa ve zooi ya, dooɠogi ɠa ɠɛ Ɠɔoɠɔ GALAGI lɛbi vai ma. Wo la ani zuwu vazaga wa-ɓalagiti ba. Wo la wa-leezɛn ɓeleiti suɓɛtɛa. 
LEV.25.5	Wo la molo ɠɔɠɔʋolu leʋea, wo mina leezɛn ɠula kpelei zu, nii su la ɓɛtɛni. Naa ɠa ɠɛ ga dooɠogi ɲɛgɛlɛin zooi ʋɛ. 
LEV.25.6	Zooi ná-dooɠogi zaala zu, wa ɠɔnɔgi zɔlɔɔ, wɔun wa, wa-wotiɠɛ zunuiti, ta wa-wotiɠɛ anzanuiti, ta nui nii wo salazu folo-o-folo, ta wɛɛn é zeini wo ɠɔɠɔma, 
LEV.25.7	ta wa-loganiiti, ta suaiti ti wa-yooi zu, zooi ʋa lɔnɔgi kpein ka ɠɛ ga daamianigi.
LEV.25.8	«Wa dooɠo kona dɔfela ɠaalu, kona dɔfela zeizu lɔfela, naa ɠa é ga kona ʋuunaanigɔ maazu taaʋuugɔ (49). 
LEV.25.9	Alu dɔfelasiɛi ma voloi ʋuusiɛi ma, wa puʋugi vɛ, gooɠula, koto gba voloi, wa puʋugi vɛ wa-yooi kpein su. 
LEV.25.10	Wa kona ʋuulɔɔlusiɛi (50) naa leve ga kona ɲadegai, wo ɓɔɠɔyeemai laazeeli zooi zu zei wo nuiti kpein ma. Toɠa ɠɛ wo ʋɛ ga ɓɔɠɔyeema ɠonagi, ɛsɛ gilagilagi ná-zooi ɠa ɠaaɠale ma pɔ, ta ɛsɛ ka ɠale ma ná-pɛlɛyeɠei wu. 
LEV.25.11	Kona ʋuulɔɔlusiɛi (50) ɠa ɠɛ wo ʋɛ ga ɓɔɠɔyeema ɠonagi: wo la ani zuwu vazaga, wo mina molo ɠɔɠɔʋolu leʋe, wo mina leezɛn ɠula kpelei zu, nii su la ɓɛtɛni. 
LEV.25.12	Mazɔlɔɔ ɓɔɠɔyeema ɠonagi ʋe. Wa deve ga ɲadegɛ. Anii niiti ti ʋɔnɔsu ɓɔɠɔ ʋɛ kpalagi zu, wa naati mi.
LEV.25.13	«Ɓɔɠɔyeema ɠonagi naa zu, ɛsɛ gilagilagi ná-zooi ɠa ɠaaɠale ma pɔ. 
LEV.25.14	Ni wa zou ʋɔdina, ɓaa wo geya Izelayɛle nui ta ma, à mina tooma vaa ɠɛ. 
LEV.25.15	Wa zou ʋɔdi zɔngɔi ɓaa geya zɔngɔi ɠwɛteʋe, é tɔɔzei ɓɔɠɔyeema ɠona gaaɓelagi ma, konagi liegɔi teʋegai, ta molo leʋei liegɔi a ɠɛ, aisa ɓɔɠɔyeema ɠonagi ʋa zeeli. 
