MAT.1.1	O le tala lenei i le gafa o Iesu Keriso le atali‘i o Tavita, le atali‘i o Aperaamo.
MRK.1.8	O a‘u ‘ou te papatisoina ‘outou i le vai, a o ia o le a na papatisoina ‘outou i le Agaga Pa‘ia.”
MRK.1.9	‘Ua mavae nai aso ‘ona maliu atu ai lea o Iesu mai Nasareta o i Kalilaia, ‘ua papatisoina fo‘i o ia e Ioane i le Ioritana. 
MRK.1.10	‘Ina ‘ua maliu a‘e Iesu nai le vai, sa silafia e ia o le lagi ‘ua avanoa, ma le Agaga e foliga i se lupe ‘ua afio ifo i ona luga. 
MRK.1.11	‘Ua fa‘alogoina fo‘i le si‘ufofoga mai le lagi: “O lo‘u atali‘i oe, ‘ou te alofa ‘iā te oe.”
MRK.1.12	‘Ona u‘una‘iina lea o ia e le Agaga ‘ina ‘ia maliu atu i le vao tu‘ufua. 
MRK.1.13	E fasefulu aso sa i ai o ia i inā ma sa fa‘aosoosoina ai e Satani. Sa i ai fo‘i manu fe‘ai fa‘atasi ma ia, ‘ae sa ō mai agelu ma ‘au‘auna atu ‘iā te ia.
MRK.1.14	A o saisaitia Ioane i le falepuipui, sa maliu atu Iesu i Kalilaia, ma tāla‘i atu le Tala Lelei mai le Atua. 
MRK.1.15	‘Ua fa‘apea atu, “O le taimi tonu lenei, ‘ua latalata mai le Mālō o le Atua. Inā salamō ia ma talia le Tala Lelei.”
MRK.1.16	A o maliu ane Iesu i autafa o le vaituloto o Kalilaia, sa silafia e ia tagata faifaiva e to‘alua, o Simona ma lona uso o Anetere‘a, o lo‘o fagogota i lo la ‘upega. 
MRK.1.17	‘Ona fetalai atu lea o Iesu ‘iā te i lā‘ua, “O mai ia o le a ‘ou ‘avea ‘oulua ma faifaiva i tagata.” 
MRK.1.18	Na tu‘ua loa lo la ‘upega ‘ae mulimuli atu ‘iā te ia.
MRK.1.19	E le‘i mamao tele atu i luma, ‘ae toe va‘aia fo‘i le isi uso e to‘alua, o Iakopo ma Ioane, o atali‘i o Sepetaio; sa i le va‘a i lā‘ua o lo‘o fōnofōno o latou ‘upega. 
MRK.1.20	Na vala‘auina i lā‘ua e Iesu, ‘ona la tu‘ua loa lea o lo la tamā o Sepetaio i le va‘a fa‘atasi ma ‘au‘auna ‘ae mulimuli atu ‘iā Iesu.
MRK.1.21	‘Ua o‘o atu i latou i le ‘a‘ai o Kapanaumi, ‘ona maliu atu ai lea o Iesu i le sunako
MRK.1.22	O ē na fa‘alogo ‘iā te ia sa matuā ofo i le ala na a‘oa‘o atu ai o ia; auā ‘ua a‘oa‘o atu o ia ‘iā te i latou fa‘apei o se ‘ua i ai le pule ‘ae le pei o a‘oa‘o tulafono.
MRK.1.23	O totonu lava o le sunako na ‘alaga mai ai le tagata ‘ua i ai le agaga leaga, 
MRK.1.24	fai mai, “Iesu e, le Nasareta! O le ā lau fe‘au ‘iā te i matou? ‘Ua e sau ‘ea e fa‘aumatia i matou? ‘Ou te iloa oe, o oe o le Tagata Pa‘ia mai le Atua.”
MRK.1.25	‘Ona vavao lea e Iesu le agaga ma fai atu, “Filemū ia ma alu i fafo.”
MRK.1.26	‘Ona lūlūina lea o le tagata e le agaga leaga, ‘ua fa‘ataiō ma le leo tele, ‘ona alu lea o ia i fafo. 
MRK.1.27	‘Ua ofo i latou uma, ‘ona fesili lea o le isi i le isi. “O le ā lenei mea? O se a‘oa‘oga fou lava o lo‘o i ai fa‘atasi ma le pule! E o‘o lava i agaga leaga ‘ua usiusita‘i i latou i ana fa‘atonuga.”
MRK.1.28	Sa vave ‘ona fa‘asalalauina e tagata le tala i lenei mea i itū uma o Kalilaia.
MRK.1.29	‘Ua tu‘ua e i latou le sunako ‘ae ō atu i le fale o Simona ma Anetere‘a, ‘ua o fa‘atasi fo‘i ma i latou Iakopo ma Ioane. 
MRK.1.30	‘Ina ‘ua taunu‘u atu Iesu i le fale, sa ta‘u ane loa ‘iā te ia o lo‘o ma‘i le tinā o le avā a Simona i le ma‘i fiva. 
MRK.1.31	‘Ona maliu atu lea o Iesu ‘iā te ia, ‘ua tago i lona lima ma fa‘atū ‘iā te ia. ‘Ona malosi loa lea o ia, ma ‘ua ‘au‘auna ‘iā te i latou.
MRK.1.32	‘Ina ‘ua goto le la i lea lava afiafi, sa aumai e tagata ‘iā Iesu i latou uma o ē mama‘i ‘atoa ma ē na i ai temoni. 
MRK.1.33	‘Ua fa‘apotopoto ane le nu‘u uma i lumāfale. 
MRK.1.34	‘Ona fa‘amālōlōina ai lea e Iesu o le to‘atele o ē na mama‘i i ma‘i ‘ese‘ese ma tuli ‘ese temoni. ‘Ua le fa‘atagaina fo‘i e ia temoni e tautala ‘ona ‘ua latou iloa o ia.
MRK.1.35	O le vaveao lava o le aso na soso‘o ai na maliu ‘ese ai Iesu mai le fale. ‘Ona maliu atu lea o ia i tua o le ‘a‘ai i le mea tu‘ufua, ma tatalo ai. 
MRK.1.36	A ‘ua ō atu Simona ma i latou uma sa fa‘atasi ma ia e sā‘ili ‘iā te ia. 
MRK.1.37	Na maua o ia e i latou ‘ona latou fai atu lea, “O lo‘o sā‘ili tagata uma ‘iā te oe.”
MRK.1.38	A ‘ua tali atu Iesu, “E tatau ‘ona tatou o i nisi nu‘u ‘ina ‘ia ‘ou tāla‘i atu le Tala Lelei ‘iā te i latou, auā o le mea lea na ‘ou sau ai.”
MRK.1.39	O lea na malaga atu ai o ia i itū uma o Kalilaia ma tāla‘i atu i o latou sunako ma tuli ‘ese temoni.
MRK.1.40	‘Ua alu ane le lepela ‘iā Iesu, ‘ua to‘otuli, ma ‘ai‘oi mai ‘iā te ia mo se fesoasoani. ‘Ua fai mai o ia, “ ‘Āfai e tusa ai ma lou finagalo se‘i e fa‘amālōlō mai ‘iā te a‘u.”
MRK.1.41	‘Ona alofa mutimutivale lea o Iesu ‘iā te ia, ‘ua ‘a‘apa atu lona lima ma pa‘i atu ‘iā te ia. ‘Ua fa‘apea atu, “ ‘Ou te loto i ai, inā mālōlō ia oe.” 
MRK.1.42	‘Ona te‘a loa lea o lona ma‘i ma ‘ua mālōlō. 
MRK.1.43	A o le‘i tu‘uina atu o ia e alu, sa lapata‘iina o ia e Iesu, 
MRK.1.44	ma fai atu, “ ‘Aua ne‘i e ta‘u atu lenei mea i se isi; a ‘ia e alu nei i le ositaulaga se‘i va‘ai ‘iā te oe, ma faia fo‘i le taulaga na poloa‘iina e Mose e fai ma fa‘amaoniga i tagata ‘ua fa‘amālōlōina oe.”
MRK.1.45	A ‘ua alu o ia ‘ua matuā fa‘asalalau atu le tala. O lea na le mafai ai e Iesu ‘ona toe maliu atu fa‘aaliali i le ‘a‘ai, a ‘ua nofo i mea tu‘ufua, ‘ae sa ō atu lava tagata ‘iā te ia mai nu‘u uma.
MRK.2.1	‘Ua mavae nai aso, ‘ona toe maliu atu lea o Iesu i Kapanaumi; ‘ua salalau fo‘i le tala ‘ua i ai o ia i le fale. 
MRK.2.2	‘Ona lolofi mai lea o tagata e to‘atele, ‘ua le mafai ‘ona ofi uma i le fale. ‘Ona tāla‘i atu lea e Iesu le fe‘au a le Atua ‘iā te i latou. 
MRK.2.3	‘Ua ō mai nisi tagata ma aumai ‘iā te ia le tagata ‘ua pe lona tino, o lo‘o si‘i mai e le to‘afa. 
MRK.2.4	‘Ua lē mafai ‘ona ‘aumaia o ia e i latou ‘iā Iesu ‘ona o le tumu o tagata, ‘ona ō a‘e lea o i latou i le falealuga ma tatala le ufiufi o le fale i luga a‘e tonu o le mea o lo‘o i ai Iesu. ‘Ua uma lea, ‘ona tu‘utu‘u ifo ai lea e i latou le fala o lo‘o ta‘oto ai o ia. 
MRK.2.5	‘Ua silafia e Iesu le malosi o lo latou fa‘atuatua ‘ona fetalai atu lea o ia i le tagata ma‘i, “Lo‘u atali‘i e, ‘ua fa‘amāgaloina au agasala.”
MRK.2.6	Sa i ai fo‘i i lea mea nisi a‘oa‘o tulafono; ‘ua manatunatu ifo i latou e fa‘apea: 
MRK.2.7	“ ‘Ua tautala fa‘apea o le ā lenei tagata? ‘Ua ‘upuvale i le Atua! E leai se isi na te mafaia ‘ona fa‘amāgaloina agasala; ‘ua na o le Atua lava!”
MRK.2.8	‘Ua silafia e Iesu o latou manatu lilo, ‘ona fetalai atu lea o ia ‘iā te i latou, “Aiseā ‘ua ‘outou mafaufau ai fa‘apea? 
MRK.2.9	O lē fea o mea nei e sili ‘ona faigofie, o le fai atu i le tagata ma‘i, ‘ ‘Ua fa‘amāgaloina au agasala,’ po o le fai atu, ‘Tu ia i luga, ‘ave lou moega ma alu loa?’ 
MRK.2.10	A o le fa‘amaoniga lenei ‘ia ‘outou iloa ai o lo‘o i le Atali‘i o le Tagata i le lalolagi le pule e fa‘amāgaloina ai agasala.” Na fa‘apea atu loa o ia i le tagata ma‘i, 
MRK.2.11	“ ‘Ou te fai atu ‘iā te oe, tu ia i luga, ‘ave lou moega ma alu i lou ‘āiga.”
MRK.2.12	‘Ona tula‘i ai lea o le tagata ma‘i i o latou luma, ‘ua ‘ave lona moega ma alu ‘ese loa. Sa matuā ofo i latou ma vivi‘i atu i le Atua, ‘ua fai ane, “Fa‘ato‘ā tatou va‘ai lava lea i se mea uiga ‘ese fa‘apenei!”
MRK.2.13	‘Ua toe maliu atu Iesu i ‘auvai o le vaituloto o Kalilaia; ‘ona lolofi ane lea o tagata e to‘atele ‘iā te ia, ‘ua a‘oa‘o atu fo‘i o ia ‘iā te i latou. 
MRK.2.14	A o maliu ane o ia, sa silafia e ia le tagata aolafoga, o Levi le atali‘i o Alefaio, o lo‘o nofo i le ofisa o lafoga. ‘Ona fetalai atu lea o Iesu ‘iā te ia, “Mulimuli mai ‘iā te a‘u.” ‘Ona tula‘i lea o Levi ‘ua mulimuli atu ‘iā te ia.
MRK.2.15	Mulimuli ane, na taumamafa fa‘atasi Iesu ma ona so‘o ma tagata aolafoga ma ē e agasala i le fale o Levi. 
MRK.2.16	O nisi fo‘i o a‘oa‘o tulafono, o faresaio i latou, ‘ua va‘ai atu ‘iā Iesu o ‘a‘ai fa‘atasi ma tagata agasala ma ē e aolafoga; ‘ona fesili atu lea o i latou i ona so‘o, “Aiseā ‘ua ‘a‘ai ai o ia fa‘atasi ma ē e aolafoga ma tagata agasala?”
MRK.2.17	‘Ua lagona e Iesu a latou ‘upu, ‘ona fetalai atu lea o ia, “E lē o tagata soifua mālōlōina a o tagata mama‘i e mana‘omia le foma‘i. ‘Ou te le‘i sau e vala‘au i ē e amiotonu a o ē e agasala.”
MRK.2.18	Sa anapopogi so‘o o Ioane ma faresaio. ‘Ona ō ane lea o nisi tagata ‘iā Iesu ma fesili ‘iā te ia, “ ‘Ua anapopogi so‘o o Ioane le papatiso ma so‘o o faresaio, ‘ae aiseā ‘ua le anapopogi ai ou so‘o?”
MRK.2.19	‘Ona tali atu lea o Iesu, “O se mea tatau ‘ea i ni uō ‘ua vala‘auina i se fa‘aipoipoga ‘ona anapopogi a o fa‘atasi i latou ma le fa‘ato‘āfaiavā? E leai; e le tatau ‘ona anapopogi a o fa‘atasi i latou ma le fa‘ato‘āfaiavā. 
MRK.2.20	Peita‘i, o le ā o‘o mai le taimi e ‘ave‘eseina ai le fa‘ato‘āfaiavā mai ‘iā te i latou; a o‘o mai lea aso ‘ona anapopogi ai lea o i latou.
MRK.2.21	“E leai se isi na te fonoina le ‘ofu tuai i se fasi ‘ie fou; auā a fa‘apea, ‘ona māsae tele ai lea o le ‘ofu tuai, e sili atu i lo le mea na i ai. 
MRK.2.22	E leai fo‘i se isi na te utuina le uaina fou i le fagupa‘u tuai; auā a fa‘apea, ‘ona māsae ai lea o le fagupa‘u, ‘ona tau fai maumau ai lea o le uaina ma le fagupa‘u. E tatau ‘ona utu le uaina fou i le fagupa‘u fou.”
MRK.2.23	A o maliu ane Iesu i totonu o togāsaito i le Sapati, sa savavali ane fa‘atasi o ia ma ona so‘o; ‘ona ‘o‘oto lea e ona so‘o tumutumu o saito.
MRK.2.24	‘Ona fesili mai ai lea o faresaio ‘iā Iesu, “O le ā le mea ‘ua fai ai e ou so‘o i le Sapati le mea e sa i le tulafono?”
MRK.2.25	‘Ona tali atu lea o Iesu, “Tou te le‘i faitauina ‘ea le mea na faia e Tavita? ‘Ina ‘ua fia ‘ai o ia ‘atoa ma ona tagata,
MRK.2.26	sa ulufale o ia i le fale o le Atua ma ‘ai le areto na tu‘uina atu mo le Atua. Na tupu lenei mea a o ‘avea Aviata ma ositaulaga sili. O le tulafono e na o ositaulaga e tatau ‘ona ‘a‘ai i lenei areto; peita‘i ‘ua le gata ‘ina ‘ai e Tavita a ‘ua tu‘uina atu fo‘i e ia i ona tagata.”
MRK.2.27	‘Ona toe fetalai atu lea o ia, “ ‘Ua faia le Sapati mo le lelei o tagata, ‘ae lē o le tagata mo le Sapati.
MRK.2.28	O lenei, o le Atali‘i o le Tagata o le Ali‘i o ia o le Sapati.”
MRK.3.1	Na toe maliu atu Iesu i le sunako, a o i ai le tamaloa ‘ua pe lona lima. 
MRK.3.2	Sa i ai nisi tagata na manana‘o ‘ina ‘ia molia Iesu i le tulafono, o lea sa lamalama ai i latou ‘iā te ia pe na te fa‘amālōlōina se isi i le Sapati. 
MRK.3.3	‘Ua fetalai atu Iesu i lē ‘ua pe lona lima, “Se‘i e sau lava i luma nei.” 
MRK.3.4	‘Ona fesili atu lea o ia, “O le ā le mea ‘ua fai mai ai le tulafono e ao ‘ona fai i le Sapati? ‘Ia agalelei po o le agaleaga? O le fa‘aola po o le fasioti?”
MRK.3.4	‘Ae peita‘i ‘ua le mautali i latou. 
MRK.3.5	Sa mafatia lona finagalo a o silasila solo o ia ‘iā te i latou, peita‘i sa tigā alofa fo‘i o ia mo i latou ‘ona o lo latou lē malamalama. ‘Ona fetalai atu lea o ia i le tamaloa, “Fa‘asa‘o lou lima.” ‘Ua fa‘apea ‘ona faia e ia ‘ona toe lelei ai lea. 
MRK.3.6	Na tu‘ua loa e faresaio le sunako ‘ae taupule fa‘atasi ma le vaega a Herota e fasioti Iesu.
MRK.3.7	‘Ua maliu atu Iesu ma ona so‘o i le vaituloto o Kalilaia, ‘ae na mulimuli atu fo‘i ‘iā te ia tagata e to‘atele mai Kalilaia, Iutaia, 
MRK.3.8	Ierusalema, Itumaia, Sasa‘e o le Ioritana ‘atoa ma le itū uma o Turo ma Saitonu. Na ō mai i latou ‘iā Iesu ‘ona ‘ua ‘a‘ave atu tala i mea na faia e ia. 
MRK.3.9	‘Ona o le to‘atele naunau o tagata, o lea na fetalai atu ai o ia i ona so‘o e sili pe a avane se va‘a mo ia ne‘i soli o ia e tagata.
MRK.3.10	Na faia e Iesu lenā fa‘atonuga ‘ona o le to‘atele o tagata mama‘i na fia pa‘i ane ‘iā te ia, auā na fa‘alogo i latou i le to‘atele o ē na fa‘amālōlōina e ia. 
MRK.3.11	Na va‘aia loa Iesu e tagata o lo‘o i ai agaga leaga, ‘ona fa‘apa‘u‘ū lea o i latou i ona luma ma ‘alalaga, “O oe o le Alo o le Atua!”
MRK.3.12	Na matuā vavao e Iesu agaga leaga e ‘aua ne‘i ta‘u atu e i latou o ia o le Alo o le Atua.
MRK.3.13	‘Ua maliu a‘e Iesu i le mea maupu‘epu‘e, ‘ona vala‘auina lea e ia ē na ia mana‘omia. 
MRK.3.14	‘Ona filifilia lea e ia tagata e to‘asefulu ma le lua, ma fa‘aigoa i latou o ‘aposetolo. ‘Ua fetalai atu o ia ‘iā te i latou, “ ‘Ua ‘ou filifilia ‘outou ‘ia tatou fa‘atasi ‘ona o lo‘u mana‘o e ‘auina atu ‘outou e tala‘i. 
MRK.3.15	‘Ou te tu‘uina atu fo‘i ‘iā te ‘outou le pule e tutuli ai temoni.”
MRK.3.16	O i latou nei na filifilia e ia: o Simona (o lē na fa‘aigoa e Iesu i le isi igoa, o Peteru), 
MRK.3.17	o Iakopo ma lona uso o Ioane, o le fānau a Sepetaio (O ē na fa‘aigoa e Iesu i le igoa, o Poaneki, o lona uiga, “o tagata malolosi e pei ni faititili”), 
MRK.3.18	o Anetere‘a, o Filipo, o Patolomaio, o Mataio, o Toma, o Iakopo le atali‘i o Alefaio, o Tataio, o Simona le Kanana, 
MRK.3.19	ma Iuta le Sekara o lē na fa‘alataina o ia.
MRK.3.20	Na maliu atu Iesu ma ona so‘o i le fale. ‘Ona toe potopoto mai ai lea o tagata e to‘atele, ‘ua le mafai ai e i latou ‘ona ‘a‘ai. 
MRK.3.21	‘Ua fa‘alogo ai lona ‘āiga, ‘ona ō atu lea o i latou e aumai o ia auā ‘ua fa‘apea le tala, “ ‘Ua valea o ia.”
MRK.3.22	‘Ua fai mai nisi a‘oa‘o tulafono mai Ierusalema, “ ‘Ua ‘iā te ia Pelesepulo
MRK.3.23	‘Ona vala‘auina lea o i latou e Iesu ma fetalai atu ia i latou i ‘upu fa‘atusa: “E mafai ‘ea e Satani ‘ona tuli ‘iā te ia lava? 
MRK.3.24	‘Āfai e le galulue fa‘atasi se mālō e lē mafai ‘ona tumau. 
MRK.3.25	‘Āfai e lē loto gatasi se ‘āiga e vave ‘ona malepelepe. 
MRK.3.26	‘Āfai fo‘i e vaevaeina le malosi o Satani, e vave ‘ona fa‘ato‘ilaloina ma fa‘aumatia lana pule.
MRK.3.27	“E leai se isi e mafai ‘ona ulufale i le fale O le tagata malosi ma fa‘aleagaina ana mea, vaganā ‘ua muamua sāisāi ‘iā te ia ‘ona fa‘ato‘ā mafai lea.
MRK.3.28	“Manatua, o agasala uma lava ma ‘upuvale a tagata e mafai ‘ona fa‘amāgaloina; 
MRK.3.29	a o ‘upuvale e faia e se tagata i le Agaga Pa‘ia e le mafai ‘ona fa‘amāgaloina; auā o le agasala tupito lenā.”
MRK.3.30	Na fai atu e Iesu lenā ‘upu auā na fai mai i latou, “ ‘Ua ‘iā te ia le agaga leaga.”
MRK.3.31	‘Ona ō mai lea o le tinā ma uso o Iesu ‘ua tutū i fafo ‘ae fe‘au o ia ‘ina ‘ia maliu ane. 
MRK.3.32	O tagata e to‘atele na fa‘atasi ma ia na ta‘uina atu e i latou ‘iā te ia, “O lo‘o fia maua oe e lou tinā ma ou uso o lo‘o i fafō.”
MRK.3.33	‘Ona tali atu lea o ia, “O ai lo‘u tinā? O ai fo‘i o‘u uso?” 
MRK.3.34	‘Ua silasila solo o ia i ē o lo‘o nonofo mai, ‘ona fetalai atu lea, “Va‘ai ‘outou, o tagata tonu lava e ta‘ua o lo‘u tinā ma o‘u uso, 
MRK.3.35	o i latou ia o ē e faia le finagalo o le Atua. O i latou na e ta‘ua o lo‘u uso, o lo‘u tuafafine, ma lo‘u tinā.”
MRK.4.1	‘Ona maliu atu lea o Iesu i tafatafa o le vaituloto o Kalilaia, ma toe a‘oa‘o atu i tagata e to‘atele o ē na potopoto ane ‘iā te ia. O lea na maliu a‘e ai o ia i le va‘a, a o tagata sa tutū mai i le ‘auvai.
MRK.4.2	Sa a‘oa‘o atu o ia ‘iā te i latou i mea e tele e ala i tala fa‘atusa. ‘Ua fetalai atu o ia,
MRK.4.3	“Fa‘alogo mai ia: Na alu atu le tagata faifa‘ato‘aga e lūlū ana fatu la‘au. 
MRK.4.4	A o faia lana galuega, na pa‘u‘ū nisi fatu i le auala ma sa ‘aina e manu felelei. 
MRK.4.5	O nisi na pa‘u‘ū i le mea gaoā, e fa‘alētele ai se ‘ele‘ele, na vave ‘ona tutupu; 
MRK.4.6	peita‘i ‘ona o le leai o ni o latou aa, na velasia ai ma mamate uma ‘ina ‘ua oso a‘e le la. 
MRK.4.7	O nisi fatu na pa‘u‘ū i totonu o le vaotuitui, na tutupu a‘e, a ‘ona ‘ua filia e le vaotuitui ‘ona lē fua ai lea. 
MRK.4.8	A o nisi fatu na pa‘u‘ū i le ‘ele‘ele lelei, ‘ua tutupu olaola ma fua mai e ta‘itolusefulu o nisi e ta‘ionosefulu, a o nisi e ta‘iselau.”
MRK.4.9	‘Ua fetalai atu o ia, “O lē ‘ua i ai taliga e fa‘alogo ai, fa‘alogo lelei mai ia.”
MRK.4.10	A o nofonofo to‘atasi o ia, na ō ane nisi tagata o ē sa fa‘alogologo ‘iā te ia fa‘atasi ma ona so‘o e to‘asefulu ma le lua ma fai atu ‘iā te ia e fa‘amalamalama ane tala fa‘atusa. 
MRK.4.11	‘Ua tali atu Iesu, “O mea lilo o le Mālō o le Atua ‘ua uma ‘ona ta‘u atu ‘iā te ‘outou. A o ē e ‘ese ai ‘ua fa‘aali i ai e ala i tala fa‘atusa. 
MRK.4.12	‘Ua fa‘apea ‘ona fai,
MRK.4.12	‘ ‘Ina ia fiu i latou e va‘ai ‘ae le iloa,
MRK.4.12	ia fiu fo‘i e fa‘alogo ‘ae le lagona,
MRK.4.12	ne‘i toe liliu atu i latou i le Atua
MRK.4.12	‘ona fa‘amāgaloina lea o a latou agasala.’ ”
MRK.4.13	‘Ona fesili atu lea o Iesu ‘iā te i latou, “Tou te le‘i malamalama lava i lenei tala fa‘atusa? ‘Āfai e leai, o lona uiga la e leai lava se tala fa‘atusa tou te malamalama ai. 
MRK.4.14	‘Ua lūlūina e le faita‘ato‘aga le afioga a le Atua. 
MRK.4.15	O nisi taimi o le ā pa‘ū atu ai lenei afioga i le alatele; e fa‘apenā tagata ‘ua fa‘alogo i le ‘upu, a ‘ua alu ane Satani ma ‘ave‘ese lenei ‘upu mai ‘iā te i latou. 
MRK.4.16	O isi tagata ‘ua pei o fatu ‘ua pa‘u‘ū i le ‘ele‘ele gaoā. Na fa‘alogo loa lava i le ‘upu talia loa ma le fiafia. 
MRK.4.17	Peita‘i e le‘i loloto lo latou taliaina o le ‘upu, o le mea lea e vave ai ‘ona pa‘u‘ū. E o‘o mai loa lava fa‘alavelave ma puapuagā ‘ona o le ‘upu, ‘ona ō ‘ese loa lea o i latou. 
MRK.4.18	O nisi fo‘i tagata ‘ua pei o fatu na pa‘u‘ū i totonu o le vaotuitui. ‘Ua fa‘alogo i latou i le ‘upu, 
MRK.4.19	a o le popole i mea o le olaga nei, e pei o le mana‘o i le ‘oloa ‘atoa ma le tu‘inanau i nisi mea ‘ua fa‘atūmulia ai o latou loto, ‘ua filia ai le ‘upu ma ‘ua le fua mai.
MRK.4.20	A o isi la tagata ‘ua pei o fatu na pa‘u‘ū i le ‘ele‘ele lelei. ‘Ua fa‘alogo i le ‘upu ma tāofi mau i ai, ‘ona fua mai ai lea, e ta‘itolusefulu i nisi, e ta‘ionosefulu i nisi, ‘ae ta‘iselau i nisi.”
MRK.4.21	‘Ua fa‘aauau pea e Iesu ana a‘oa‘oga, ‘ua fetalai atu, “O fea ‘ea e tatau ‘ona tutu le molī ma tu‘u ai? E fa‘apulou ‘ea i le tanoa po o lalo o le moega, pe tu‘u i luga o le laulau? 
MRK.4.22	So o se mea e faia fa‘alilo o le ā fa‘aalia, so o se mea fo‘i e natia o le ā iloa lava. 
MRK.4.23	O lē ‘ua i ai taliga e fa‘alogo ai fa‘alogo lelei mai ia.”
MRK.4.24	‘Ua fetalai atu fo‘i o ia ‘iā te i latou, “Se‘i o ‘outou matuā fa‘alogo mai lava i le mea lenei ‘ou te fai atu ai: O le fua o lo‘o ‘outou fuaina ai isi e toe fuaina ai ‘outou, ma e o‘o ‘ina fa‘amamafaina atili. 
MRK.4.25	Auā fo‘i o lē o lo‘o i ai mea, o le ā saga fa‘ateleina ana mea; a o lē e itiiti sina mea o i ai e o‘o lava ‘ina ‘ave‘eseina.”
MRK.4.26	‘Ua toe fetalai atu fo‘i Iesu: “O le Mālō o le Atua ‘ua fa‘apei o le tagata o lo‘o lūlū fatu la‘au i lona fanua; 
MRK.4.27	e moe o ia i le po ma ala a‘e i le taeao ‘ae na te le iloa pe na fa‘apefea ‘ona tutupu ma ola ia fatu. 
MRK.4.28	E tutupu a‘e lava i latou i le ‘ele‘ele ma fua mai; e muamua o latou lau, ‘ona fuga mai ai lea ma o‘o ai lava ‘ina fua tele ma taufuifui. 
MRK.4.29	A o‘o ‘ina matua le fuata, ‘ua o‘o mai fo‘i le seleselega, ‘ona fa‘aaogāina lea e le faifa‘ato‘aga lana mea faigaluega e tau ai fua.”
MRK.4.30	‘Ua fetalai atu Iesu, “O le ā se mea tatou te fa‘atusaina i ai le Mālō o le Atua? O le ā fo‘i se tala fa‘atusa tatou te fa‘aaogāina e fa‘amatala ai? 
MRK.4.31	E fa‘atusaina i le fua o le Sinapi, o se fatu e sili ‘ona la‘itiiti i lo o fatu totō uma i le taimi e totō ai i le ‘ele‘ele. 
MRK.4.32	Peita‘i a o‘o ‘ina tupu a‘e ‘ona ‘avea lea ma la‘au aupito sili ‘ona tele i la‘au iti uma; e fai fo‘i le paolo o ona lālā lauolaola ma moega o manu felelei.”
MRK.4.33	O le tele la o tala fa‘atusa fa‘apenei sa fa‘aaogā e Iesu ‘ina ‘ia fetaui ma lo latou malamalama. 
MRK.4.34	O taimi uma lava e a‘oa‘o atu ai o ia ‘iā te i latou, sa fa‘aaogāina ai e ia tala fa‘atusa; peita‘i a na o ia loa ma ona so‘o ‘ona fa‘amalamalama atu lea e ia mea uma ‘iā te i latou.
MRK.4.35	‘Ua o‘o i le afiafi o lea lava aso, ‘ona fetalai atu lea o Iesu i ona so‘o, “Tatou o ia i le isi itū o le vaituloto.” 
MRK.4.36	Na tu‘ua loa e i latou tagata e to‘atele, a ‘ua ‘ave o ia e i latou i le va‘a. Sa i ai fo‘i i inā isi va‘a. 
MRK.4.37	Na agi mai fo‘i le matagi malosi, ma ‘ua fati mai galu i le va‘a, toeitiiti a tumu ai. 
MRK.4.38	A o Iesu sa i ai lava i le va‘a, na tofā o ia i le taumuli i le aluga. Na fafagu o ia e so‘o ma fai atu, “Le A‘oa‘o e, a tu‘u ‘ea i matou ia feoti?”
MRK.4.39	‘Ona tula‘i lea e Iesu ma vavao atu i le matagi; ‘ua fai atu fo‘i i le sami, “Filemū ia; inā malū ia.” ‘Ona pe ai lea o le matagi, ‘ua matuā malū. 
MRK.4.40	‘Ona fetalai atu lea o Iesu ‘iā te i latou, “ ‘Ua ‘outou fefefe aiseā? ‘Ua leai ‘ea so ‘outou fa‘atuatua?”
MRK.4.41	‘Ua tūtūmu i latou i le fefe, ‘ua femusua‘i ma fai ane, “O ai ‘ea lenei tagata? E o‘o lava i le matagi ma le sami ‘ua usiusita‘i ‘iā te ia!”
MRK.5.1	‘Ua o‘o atu i latou i le isi itū o le vaituloto o Kalilaia i le itūmālō o Katara. 
MRK.5.2	‘Ua maliu ‘ese Iesu mai le va‘a ‘ona la fetaia‘i lea ma le tagata na sau sa mau i fanua oti. 
MRK.5.3	Sa i lea tagata le agaga leaga; e le‘i mafai fo‘i e se isi ‘ona sāisāi o ia i maea u‘amea. 
MRK.5.4	E tele taimi na sāisāi ai ona vae ma ona lima i maea u‘amea, ‘ae sa motusiina e ia. E leai fo‘i se isi na mafai ‘ona tāofia o ia. 
MRK.5.5	Sa feosofa‘i solo i tu‘ugamau ma mea maupu‘epu‘e i po ma ao. Na fa‘ataiō ma fa‘amanu‘a e ia ‘iā te ia lava i ma‘a.
MRK.5.6	‘Ua va‘ai mamao atu o ia ‘iā Iesu ‘ona momo‘e atu lea ma fa‘apa‘ū i ona luma 
MRK.5.7	ma ‘alaga ma le leo tele, ma fai atu, “Iesu e, le Alo o le Atua silisili ‘ese! Se ā sa‘u mea leaga ‘ua fai atu ‘iā te oe? ‘Ou te ‘ai‘oi atu i le suafa o le Atua, ‘aua ‘e te fa‘atigāina a‘u.”
MRK.5.8	‘Ua ala ‘ona ‘ai‘oi mai o ia fa‘apea ‘ona sa fai atu Iesu i le agaga e alu i fafo mai le tagata.
MRK.5.9	‘Ona fesili atu lea o Iesu ‘iā te ia, “O ai lou igoa?”
