GEN.1.1	Yäput peŋpäŋ Anututä kunum kenta kome pewän ahäŋkumän. 
PSA.22.23	Eruk näk ŋode yäyat; Anutu täŋo äbot täŋpani in Anutu wäpi yäpmäŋ akuwut! Jekop täŋo äboriye in Ekäni oraŋ imikot! Bureni, Isrel äbot in, gwäjiŋ äpmoŋ imut!
PSA.23.6	Unita gäripi pähap tärek-täreki nämo, nadäk täyat. Ba näk gäkkät bok pen api it yäpmäŋ ärode.
PSA.24.5	Ekänitä ämawebe udewanita nadäŋ yämiŋpäŋ iron säkgämän api täŋ yämek. Bureni-inik, yämagurani Anutu unitä Siwoŋi ämawebenaye yäŋ api yäwerek.
PSA.24.8	Täŋpäkaŋ peŋyäŋek täŋo intäjukun äma uwä netä? Uwä Ekäni kehäromi mähemi, iwan täŋo kehäromi yäpmäŋ äpani ubayäŋ! Äma unitägän peŋyäŋek pähap täŋo intäjukun äma itak.
PSA.24.9	Unita äneŋi täwera! Jerusalem täŋo yäma biani biani, in keweŋ imiŋirä peŋyäŋek pähap täŋo intäjukun äma ärowani-inik u kaŋ ärowän!
PSA.24.10	Täŋpäkaŋ peŋyäŋek täŋo intäjukun äma uwä netä? Uwä Ekäni kehäromi mähemi ubayäŋ! Äma unitägän peŋyäŋek pähap täŋo intäjukun äma itak. Bureni-inik!
PSA.25.10	Anutu uwä nadäk-nadäk yarä nikek nämo täk täyak, nadäŋkuko udegän pen api nadäŋ yäpmäŋ ärowek.
PSA.25.12	Täŋpäkaŋ ämawebe Ekäni täŋo mani buramik täkaŋ, ämawebe u Ekänitä kädet siwoŋi iwatta u yäwoŋärek täyak. Yäwoŋäreŋirän ugän iwat täkaŋ.
PSA.25.20	Täŋpäkaŋ gäk näkŋo watä ämana unita näk nämagutpäŋ watä säkgämän it namiŋiri iwantä nurirä mäyäk yäpettawä.
PSA.26.7	Näk ude täŋ gamiŋpäŋ kap kubä bänep täga man gäwetta teŋpäŋ täktäkka säkgämän u ämawebe yäwetpäŋ yäwoŋärek täk täyat.
PSA.26.8	Ekäni, eŋi gäkä it täyanken wäpka biŋam kwawak itak. Eŋi unita gäripi taŋi nadäk täyat.
PSA.26.11	Upäŋkaŋ Ekäni, nähä kädet udewani täga nämo täŋpet. Näk gäkŋo kädet siwoŋi ugän iwat täyat unita näk nadäŋ namiŋpäŋ gäkŋata biŋam nämagut.
PSA.26.12	Unita Anutu, ämawebe gäk ganiŋoret käbeyä täŋ irirä wäpka biŋam api yäŋahäk täŋpet.
PSA.27.9	Kadäni kadäni täŋkentäŋ namik täŋkuno udegän täŋkentäŋ namik täyi.
PSA.28.6	Bänep täga pähap! Näk Ekäniken yäŋapik man yäŋira nadäŋ namiŋkuko unita ämawebenaye, Ekäni wäpi iniŋoret täkot!
PSA.28.7	Unita bänep tägagämän nadäŋpäŋ kap terak wäpi yäpmäŋ akutat ŋo!
PSA.28.8	Ekäni uwä kehäromi-inik. Unitä iniken ämaniyeta kehäromi yämiŋpäŋ inita iwoyäwani näk watä it namik täyak.
PSA.29.3	Gwägu pähap u punin terak iromäŋ pähap yäŋirän äma komeni komenitä nadäk täkaŋ. U Anutu täŋo gera mämä.
PSA.29.4	Bureni! Anutu uwä kehäromini nikek. Gerani u yäŋirän komen ämawebetä nadäwä kehäromi ini pärik kubä täk täkaŋ.
PSA.29.5	Täŋpäkaŋ mänit piäŋirän puamäk täk täkaŋ uwä Anutu täŋo mämä. Anutu täŋo mämä unitä Lebanon komeken päya taŋi taŋi tokät täŋpä kuk täkaŋ.
PSA.29.6	Unitä kärak yäŋirän Lebanon kome täŋo pomtä oretoret nadäŋpäŋ piäŋ äroŋkaŋ mak, bulimakau nanakitä täk täkaŋ ude täk täkaŋ.
PSA.29.7+PSA.29.8	Bureni, Ekänitä kärak yäŋirän yäpä kwinit täyak. U kärak yäŋirän kome kawuki wäpi Kades unitä kwaik täyak.
PSA.29.9	Ekänitä gera yäŋirän tomtä nanaki bäyak täkaŋ. Ba gera yäŋpewän päya pähämi äreyäŋ kuk täkaŋ.
PSA.29.9	Ude täŋirän Ekäni täŋo kudupi yot gänaŋ ämawebeniyetä ŋode yäk täkaŋ; Ekäni täŋo wäpi biŋam taŋi kaŋ täŋpän! yäk.
PSA.29.11	Täŋkaŋ ämawebeniyeta kehäromi yämiŋpäŋ nadäŋ yämiŋirän säkgämän it täkaŋ.
PSA.30.1	Ekäni, näk käyäm täŋpäŋ kumnaŋi upäŋkaŋ gäkä äneŋi nämagutkuno unita ganiŋ oretat! Gäkä täŋkentäŋ namiŋiri iwanaye yäŋärok nämo näwetkuŋ.
PSA.30.5	Täŋpäkaŋ konäm butewaki kadäni keräpitagän täŋkaŋ butewaki paoränkaŋ äneŋi oretoret täk täkamäŋ.
PSA.30.7	Ekäni, kadäni uken näk pom ude, iŋamkaken kehäromi nikek itkut. Upäŋkaŋ gäk nabäŋ umuntaŋ kuŋiri umuntä kehäromina yäpmäŋ äpuk.
PSA.30.8	Ekäni, näk umun ude nadäŋkaŋ, gäkä butewaki nadäŋ nam yäŋpäŋ, gäkken yäŋapiŋkut.
PSA.30.9	Näk ŋode gäwetkut; Näk kumäŋpäŋ äneŋi kome äworeŋira nämo tägawek. Nämoinik! Ba äma kumbanitä wäpka biŋam täga nämo yäpmäŋ akwek. Ba äma kumbanitä gäkŋo täktäkka täŋo biŋam täga nämo yäŋahäwek yäŋ gäwetkut.
PSA.30.10	Unita Ekäni, näk gäkken yäŋapiŋira butewaki äneŋi nadäŋpäŋ täŋkentäŋ nam!
PSA.30.12	Unita mankum nämoinik api iret. Näk wari wari wäpka biŋam api yäŋahäk täŋpet!
PSA.31.1	Gäk kudän siwoŋi-inik täŋpani unita täŋpewi iwantä nurirä mäyäk yäpettawä!
PSA.31.4	Ekäni, iwantä näk nepmäŋitta buŋep täkaŋ. Unita nabäŋ näwariri jibi kubä yäpettawä! Gäk kubä-tägän watä ämana kehäromi.
PSA.31.6	Gäk ämawebe ätutä mäjo wära yäniŋ oret täkaŋ unita bitnäk täyan. Upäŋkaŋ näk gäka nadäŋ gamikinik täyat.
PSA.31.7	Gäk nadäŋ namikinik täk täyan unita oretoret täyat. Näk bäräpi täŋira nabäŋpäŋ bäräpina dätäreŋ namiŋkun. Komi nadäŋira nabäŋpäŋ komina utpewi maŋkuk.
PSA.31.9	Ekäni, gäk butewaki nadäŋ nam. Näk bäräpi kotatat. Näk konäm kottäyiwa dapunna pomi tokŋekaŋ. Täŋpäkaŋ kujatna imaka, kudup kwitakaŋ.
PSA.31.11	Kehäromina nikek nämo ude irira iwanayetä yäŋärok man näwet täkaŋ. Notnaye imaka, iŋam täŋ namik täkaŋ. Täŋpäŋ täŋkentäŋ namanitä näka gaŋa taŋpäŋ nabä-kätäkaŋ.
PSA.31.14	Upäŋkaŋ gäk näkŋo Anutuna bureni-inik yäŋpäŋ-nadäŋ gamikinik täk täyat.
PSA.31.15	Näk gäk ketka terakgän it täyat unita iwan nepmäŋitnayäŋ näwat-kirek täkaŋ uken nanik nämagut.
PSA.31.17	Upäŋkaŋ äma waki ini wawut! Ini kumäŋpäŋ kumäk-inik täŋput!
PSA.31.18	Unita Anutu, äma udewani täŋo meni täŋpipi.
PSA.31.19	Ämawebe gäkä terak tubeŋ kuk täkaŋ u watä kehäromi it yämik täyan. Ude täŋiri ämawebe komeni komenitä kaŋpäŋ nadäk täkaŋ.
PSA.31.20	Täŋiri iwantä komi yämikta täŋpä wak täkaŋ. Ba äma waki täŋo mäyäk mantä täga nämo yäpmäŋ äpäk täkaŋ.
PSA.31.23	Ekäni, gäk ude täŋ namiŋkuno unita ämawebe ŋode yäwera; Ekäni täŋo äboriye in uwä Ekänita gäripi-inik nadäk täkot! U ämawebe mani buramik täkaŋ u watä säkgämän it yämik täyak.
PSA.31.23	Upäŋkaŋ äma inita nadäwä ärowani täk täkaŋ unita kowata yämik täyak.
PSA.31.24	Täŋpäŋ imaka umuritä ahäŋ tamiŋirä bätakigän kuŋat täkot!
PSA.32.4	Kadäni uken kepma bipani bänepna sukurekta komi namiŋiri kehäromina kudup paotkuk, edap taŋi ijiŋpäŋ kome kawuktak täyak ude.
PSA.32.7	Wakiken nanik nämagut täyan unita näk ganiŋ oretta kap taŋigän tek täyat.
PSA.32.9	Unita gäk hos kenta but ude nämo äworewen yäk. Yarä uwä nadäk-nadäki nämo yäk. U yen topmäŋpäŋ wädäwikaŋ manka buramiŋpäŋ gäkken ämdeŋ yäk. Täŋpäkaŋ gäkä udegän nämo äworewen yäŋ näwetkuk.
PSA.32.10	Upäŋkaŋ ämawebe Anututa nadäŋ imikinik täk täkaŋ u säkgämän yabäŋ yäwat täyak.
PSA.32.11	In ämawebe bänep sukurewani kudup, Anutu iŋamiken kap teŋpäŋ gera terak oretoret täk täkot!
PSA.33.1	Ämawebe siwoŋi kuŋarani, in oretoret täŋpäŋ Anutu kap iniŋ ubiŋ tewut. Jop manman nämo yäwani intä iniŋoret kap teŋ imiŋirä tägawek.
PSA.33.2	Unita wagäm utpäŋ wäpi biŋam iniŋ orerut!
PSA.33.3	Wagäm bigoŋ säkgämän utpäŋ kap kodaki kubä oretoret terak teŋ imut!
PSA.33.4	Anutu täŋo man u bureni-inik. Ba imaka täk täyak uwä tägagän täk täyak. Goret kubä nämo täk täyak.
PSA.33.10	U täna yäkŋat täŋpä wak täkaŋ.
PSA.33.16+PSA.33.17	Ba ŋode nadäk täkaŋ; Nin täŋo ämik tuŋum u kehäromi nikek unita nin intäjukun itkamäŋ yäŋ nadäk täkaŋ.
PSA.33.16+PSA.33.17	Upäŋkaŋ täga nämo! Ämik täŋo tuŋum unitäŋo kehäromi terak säkgämän nämo itneŋ. Nämoinik!
PSA.33.20	U watä it nimiŋirän säkgämän it täkamäŋ.
PSA.33.21	Unita Ekänitagän gäripi pähap nadäk täkamäŋ. Unitäŋo wäpi kudupi terakgän tubeŋ kuŋpäŋ it täkamäŋ.
PSA.33.22	O Ekäni, nin irit kuŋat-kuŋatnin gäkä terakgän peŋpäŋ täŋkentäkta itsämäŋitna gäkŋo ironka pähap paot-paori nämotä nintä terak äroton!
PSA.34.2	Imaka täga täŋ namik täyak unita nadäŋpäŋ iniŋoret täyat. Ude täŋira ämawebe nadäwätäk ikektä näkŋo man u nadäŋkaŋ bänep oretoret täkot.
PSA.34.5	Unita nadäkot; In nadäŋ bäräp täŋpäŋ Ekäniken täŋkentäkta yäŋapinayäŋ täŋo uwä bänep oretoret pähap api nadäneŋ. U imata, Ekänitä inta nämo bitnäk täyak unita.
PSA.34.11	Unita nanaknaye, in äbä dubinaken itpäŋ Ekäni wäpi biŋam oraŋ imikta täwetpäŋ täwoŋärewayäŋ täyat ŋo ket nadäwut.
PSA.34.12	Uwä ŋode; In säkgämän itkaŋ oretoret terak kaŋ it yäpmäŋ ärona yäŋ nadäkaŋ?
PSA.34.14	Gwäk pimiŋpäŋ kädet tägatäga u kudup kaŋ iwarut.
PSA.34.18	Ba ämawebe butewaki pähap terak it täkaŋ u oraŋ yämiŋpäŋ bänepi täŋpidäm taŋ yämik täyak.
PSA.34.21	Täŋpäkaŋ imaka wakiwakitä äma waki täŋpani kumäŋ-kumäŋ api däpneŋ. Täŋ ämawebe, äma nadäkinik täŋpanita iwan täŋ yämik täkaŋ uwä Ekänitä komi api yämek.
PSA.35.1	Ekäni, äma iwan täŋ namik täkaŋ u iwan täŋ yämisi. Ba äma näkkät ämik täk täkamäŋ ukät ämik udegän täkot!
PSA.35.2	Kurepäkät kupäŋtek yäpmäŋkaŋ täŋkentäŋ namikta äbäsi.
PSA.35.3	Täŋpäŋ äma näwat kirek täkaŋ u kadä bohamka yäwoŋäresi. Täŋkaŋ bänepna kwinigän itta api täŋkentäŋ gamet yäŋ näwet.
PSA.35.5	Ekäni täŋo aŋerotä yäwat kireŋirän täpun-täpun mänittä piäŋ äreyäŋ täŋpän kuk täkaŋ ude kaŋ äworewut.
PSA.35.6	Metäŋpeŋ kuŋirä käderi bipmäŋ urani täŋpäŋ itärop kaŋ täŋpän. Täŋirän Ekäni täŋo aŋerotä kaŋ däpän!
PSA.35.7	Mebäri nämo näka buŋep pek täkaŋ. U nepmäŋitta awaŋ käroŋi kädetnaken änek täkaŋ.
PSA.35.8	Unita nämo nadäŋirä täŋpäwaktä kaŋ ahäŋ yämän. Täŋkaŋ buŋepi iniken unitä yepmäŋ irirän kaŋ wawut!
PSA.35.9	Ude täŋirä Ekänita yäŋpäŋ oretoret api täŋpet, täŋkentäŋ namayäŋ täyak unita.
PSA.35.10	Bänep nadäk-nadäkna kuduptä Ekäni ŋode api iweret; Gäk bumik äma kubä nämo itak. Äma kwini äma kehäromi nikektä däpneŋ yäŋpäŋ täŋkentäŋ yämik täyan.
PSA.35.10	Ba äma jäwäri äma tuŋum ikektä täŋyäkŋatneŋta watä it yämik täyan.
PSA.35.11	Äma waki täŋpani manken nepmaŋpäŋ waki ude täŋpani yäŋ jop näkŋat täkaŋ.
PSA.35.13+PSA.35.14	Ba äma kubä miŋitä kumäŋirän konäm butewaki täŋpeko ude täk täŋkut.
PSA.35.15	Täŋpäkaŋ kadäni näkä bäräpi gänaŋ irira wisik-inik yäŋ yäŋpäŋ näk it gwäjiŋpäŋ yäŋärok näwet täŋkuŋonik. Äma kome kubäken nanik u nutpäŋ nutgän täk täŋkuŋ.
PSA.35.16	Ba äma wakitä guŋ yäniŋ wärätpäŋ ibeneŋo ude nebeŋpäŋ naniŋ wärät täkaŋ.
PSA.35.17	Unita Ekäni jop yabäŋ äwaräkuk täk täyan u jidegän api pewen? Bäräŋeŋ äbä aŋ ägwäri nutnayäŋ täkaŋ ŋoken nanik nämagut!
PSA.35.18	Ude täŋiri ämawebekaye käbeyä täŋirä iŋamiken bänep täga man kwawakgän gäwetpäŋ api ganiŋ oreret.
PSA.35.19	Ba jop yabäŋiri äma jop nadäŋ kokwawak täŋ namik täkaŋ u komi namiŋpäŋ yäŋärok nämo näwetneŋ.
PSA.35.20	Äma udewani uwä kwini man nämo yäk täkaŋ. Nämo, u äma kwini terak kuŋaranita jop manman mebäri mebäri pewä ahäk täkaŋ.
PSA.35.21	Täŋkaŋ, ude täŋiri gabämäŋo yäŋ jop yäŋnäkŋatpäŋ wohut-wohut man bumta yäk täkaŋ.
PSA.35.22	Ude täŋirä upäŋkaŋ Ekäni, kaŋpäŋ nadäno unita man kum nämo iren. Ekäni, näk nabäŋ umuntaŋ päŋku ban nämo iren.
PSA.35.23	Nämo! Kikŋutpäŋ ijiwä kwäpäŋ nabä! Äbä näk gärak itkaŋ iwanaye näka äma täga yäŋ yäwet!
PSA.35.25	Yabäŋ äwaräkuk täŋiri näka ŋode nämo yäneŋ; Tägagämän! U paotak!
PSA.35.26	Eruk, äma komi nadätat ŋonita yäŋärok näwet täkaŋ u kehäromini kudup paorirä täŋguŋ taŋpäŋ kaŋ irut!
PSA.35.26	Ba äma näka nadäwä äpani täŋpäpäŋ inita nadäwä ärowani täk täkaŋ uwä wäpi biŋam paorirän mäyäk pähap kaŋ nadäwut.
PSA.35.27	Täŋpäkaŋ Ekäni, gäk täŋkentäŋ namiŋiri ämawebe näka äma siwoŋi yäŋ nadäkinik täk täkaŋ u oretoret gera wari wari ŋode kaŋ yäwut;
PSA.35.27	Ekäni wäpi biŋam punin-inik it täyon! Epän ämani ŋonitä säkgämän irirän gäripi nadäk täyak.
PSA.36.2	Bänepitä täŋyäkŋarirän inita nadäwä ärowani täŋpäpäŋ ŋode nadäk täkaŋ; Wakinin käbop itak. Anututä unita yäŋpäŋ manken täga nämo nipmaŋpek! yäŋ nadäk täkaŋ.
PSA.36.3	Meni jinomken man, nadäk ba täktäk waki unitägän abäk täkaŋ. Unita jop manmangän yäk täkaŋ. Imaka täga täkta nadäk tawaŋ siwoŋi kubä nämo pek täkaŋ.
PSA.36.4	Nämo, däpmon patpari-kenä kädet waki täkta nadäk tawaŋ pek täkaŋ. Imaka täga täpuri-inik kubä nämo täŋkaŋ waki täktäk kädet unita mäde nämoinik ut imik täkaŋ.
PSA.36.6	Imaka imaka tägagän täk täyan u yabäŋpäŋ-nadäŋitna inide kubä täk täyak. Gäkä piä siwoŋi täk täyan uwä ämatä nadäwä tärenaŋi nämo. Äma ba imaka tom tom gäkägän yabäŋ yäwat täyan.
PSA.36.10	Unita ämawebe gäka nadäŋ gamikinik täk täkaŋ unita bänep iron pen täŋ nimiŋ yäpmäŋ kwen.
PSA.36.11	Täŋpäŋ äma ärowani täŋpani yabäŋ äwaräkuk täŋiri näk nämo yeŋ jakŋitneŋ. Ba waki täŋpani yabäŋ äwaräkuk täŋiri näk nämo yokut täreneŋ.
PSA.36.12	Wisik! Äma waki täŋpani akukta nämo, maŋ-däpaniken ugän pätkaŋ. U kaŋpäŋ nadäwut!
PSA.37.3	Unita gäk nadäwätäk nämo täŋpäŋ Ekänitagän nadäkinik täŋpäŋ kudän täga ugän täŋpeŋ kuŋat täyi. Ude täŋpayäŋ täno uyaku kome yäŋ gamaniken u säkgämän api iren.
PSA.37.12	Bureni, äma wakiwaki täŋpanitä äma siwoŋita kokwawak täŋ yämiŋpäŋ täŋpäwakta nadäk täkaŋ.
PSA.37.13	Upäŋkaŋ Ekänitä äma udewanita yäŋärok yäwet täyak. Imata, itkaŋ nämo, api waŋ moreneŋ yäŋ nadäk täyak.
PSA.37.14	Äma äpani jäwäri u siwoŋi upäŋkaŋ äma wakiwaki täŋpanitä äma däpmäkta äpa kuwek gwäjiŋit päip boham wepmärit täk täkaŋ.
PSA.37.15	Ude täk täkaŋ upäŋkaŋ päip boham iniken unitägän äyäŋutpäŋ ini api yäput täneŋ. Täŋkaŋ äpa kuweki uwä Anututä api ubiŋ jukut täŋpän kuneŋ.
PSA.37.17	Imata, Ekänitä ini äma waki täŋpani täŋo kehäromi yäyomägatpäŋ äma tägata watä api it yämek.
PSA.37.18	Bureni, Ekänitä ämawebe mani buramiŋpäŋ iwat täkaŋ u watä säkgämän it yämiŋpäŋ kome iwoyäŋ yämani u inita biŋam yäniŋ kirewänpäŋ uken tärek-täreki nämo api itneŋ.
PSA.37.19	Täŋkaŋ äma udewaniwä kadäni waki äbäŋirän tägagän api itneŋ. Ba tagwän irit ahäwayäŋ täyakken imaka, ketem tokŋek api näneŋ.
PSA.37.20	Upäŋkaŋ äma waki täŋpani uwä Ekäni täŋo iwan itkaŋ unita api kumneŋ. Päya irori kadäni keräpitagän ahäŋpäŋ paot täkaŋ ude, ba gupetä äbutkuk täkaŋ ude api paotpeŋ kuneŋ.
PSA.37.21	Äma waki täŋpani uwä äma täŋo tuŋum yäpmäŋkaŋ kowata äneŋi bäräŋeŋ nämo yämik täkaŋ. Upäŋkaŋ äma täga uwä iron säkgämän täŋpäŋ tuŋumi ämata ŋo yämiŋ-yämiŋ täk täkaŋ.
PSA.37.22	Täŋpäkaŋ ämawebe Ekäni täŋo iron ikek unitäwä kome yäŋ yämani u api koreŋpäŋ itneŋ. Täŋ äma Ekäni täŋo kokwawak terak it täkaŋ uwä yäwat kireŋpewän api kuŋtäŋpä kuneŋ.
PSA.37.24	Ude täŋirän äma udewani yewän kuneŋo uwä täga nämo maŋutneŋ. Nämo, Ekänitä täŋkentäŋ imiŋirän yeŋ täpäneŋpäŋ irek.
PSA.37.26	Nämo, äma täga udewani kadäni kadäni äma täŋkentäŋ yämikta iron tägatäga jop täŋ yämik täkaŋ. Täŋkaŋ äperiye nanakiyetä täga kuŋarirä miŋiye naniyetä yabäŋpäŋ oretoret api täk täneŋ.
PSA.37.27	Unita notnapak, kädet waki täkta mäde ut imiŋpäŋ kädet täga ugän kaŋ tä. Ude täŋiri kämiwä gäkŋo yerikaye uwä kome iwoyäwaniken ugän säkgämän api itneŋ.
PSA.37.29	Täŋ ämawebe siwoŋitä kome yäŋ yämani u koreŋpäŋ uken tärek-täreki nämo api itneŋ.
PSA.37.30	Täŋpäkaŋ äma siwoŋi täŋo meni jinomkenä man säkgämän säkgämän Anutuken nanik unitägän ahäk täkaŋ. Mani unitä ämawebe täŋkentäŋ yämik täyak.
PSA.37.32	Täŋ äma waki täŋpani uwä äma täga däpmäkta yabäŋ yäwat piä täk täkaŋ.
PSA.37.33	Upäŋkaŋ Ekänitä äma täga uwä yabä kätäŋirän iwaniyetä kehäromini täga nämo yäpmäŋ äpneŋ, ba manken täga nämo yepmaneŋ.
PSA.37.34	Unita Ekänitä täŋkentäŋ gamikta unitäŋo man kädet u kudup iwatkaŋ dapun täyi. Ude täŋiri oraŋ gamiŋpäŋ kome iwoyäwani u ganiŋ kireŋpäŋ iwankaye dapunka terak yäwat kireŋpewän kuŋirä api yabäwen.
PSA.37.36	Upäŋkaŋ mäden, äma unitä iraniken u kuŋpäŋ ini ba tuŋumi nämo irirän kaŋkut. Kaŋ-ahäwayäŋ wäyäkŋeŋkuro upäŋkaŋ täga nämo kaŋ-ahäŋkut. U paotkuk.
PSA.37.38	Täŋpäkaŋ momi täŋpani uwä paotpäŋ paot-inik api täneŋ. Ba yeriniye imaka, kudup api awähutneŋ.
PSA.37.39	Upäŋkaŋ bäräpi kadäniken Ekänitä äma siwoŋi täŋkentäŋ yämiŋpäŋ watä it yämik täyak.
PSA.38.1	O Anutu, kokwawak nadäŋkaŋ nämo nebewen, ba momina täŋo kowata nämo namen.
PSA.38.2	Gäk kuwektä-yäŋ namäk täyan. Täŋpäŋ nut-maŋpi kome terak äpmok täyat.
PSA.38.5	Gupnaken womäntä tabä täŋkaŋ käbäŋi bumta piäk täkaŋ. Näkŋa kudän goret täŋkuro unita udewä ahäŋirän taräki-inik täk täkaŋ.
PSA.38.6	Bänepnaken bäräpi bumta parirä nadäŋira wakiinik täk täyak. Ude täŋkaŋ kepma käroŋ butewaki nadäŋpäŋ konäm kottäŋ kuŋat täyat.
PSA.38.7	Täŋpäŋ gupna kädäptä-yäŋ ijiŋirän käyäm pähap täk täyat.
PSA.38.8	Komi taŋi nadäŋkaŋ goret-goret itat, imaka taŋi kubätä yeŋ nepmäŋitpäŋ irirän bumik.
PSA.38.10	Bänepnatä tuptup yäpurirän kehäromina kudup paot-inik täyak. Ude täŋirän dapunna imaka, säkgämän nämo ijitak.
PSA.38.11	Ude täŋira notnaye jibinata yäŋpäŋ dubinaken äbäkta bitnäk-inik täk täkaŋ. Ba meŋ nan ba notnaye wanotnaye imaka, nabäŋ umuntaŋpäŋ päŋku ban it täkaŋ.
PSA.38.12	Täŋpäkaŋ ämatä näk nutpäŋ waki täŋ namikta man yäŋpäŋ-nadäk täk täkaŋ. Täŋpäŋ waki täŋ namikta juku piŋtäŋ kuŋat täkaŋ. Ude täŋkaŋ näk nutta buŋep täk täkaŋ.
PSA.38.13	Täŋirä nähäwä guŋ ude äworeŋpäŋ man yäk täkaŋ u nämo nadäk täyat. Täŋpäŋ man waki yäk täkaŋ uwä kowata täga nämo yäk täyat.
PSA.38.14	Butewaki! Näk man nämo yäwani, ba man nämo nadäwani ude äworeŋpäŋ man kum it täyat.
PSA.38.15	Upäŋkaŋ Ekäni, gäk yäpmäŋ wädäŋpäŋ itat. Täŋpäŋ Ekäni Anutuna, näk nadätat; Gäkä nadäŋ namiŋpäŋ api täŋkentäŋ namen.
PSA.38.16	Unita iwanaye jop yabäŋiri näk komi nadäŋpäŋ goret irira nabäŋpäŋ wisik-inik yäŋ näwetneŋtawä.
PSA.38.17	U imata, komi pen nadäŋ itkaŋ wakinik täŋpayäŋ keräp täyat.
PSA.38.19	Täŋ iwanaye bumta-inik uwä kehäromi nikekgän itkaŋ jop nadäŋ kokwawak nadäŋ namik täkaŋ.
PSA.38.20	Näk kudän siwoŋi täŋira äma unitä iwan täŋ namik täkaŋ. Äma udewaniwä kudän tägata kowata wäkigän täk täkaŋ.
PSA.38.22	Gäk Ekäni, wakiken nanik wädäŋ tädotpäŋ nepmaŋpani unita bäräŋeŋ täŋkentäŋ namisi!
PSA.39.2	Ude yäŋkuro unita bäräpi ŋo ahäŋ namiŋirän man kum-inik itkut. Man täpuri kubä, waki ba täga nämo yäŋkuro upäŋkaŋ nadäŋ bäräpna taŋi täŋkuk.
PSA.39.3	Täŋpäŋ nadäwätäk unitä bänepnaken agekotkuk. Nadäwätäkgän täŋkä bäräpi bumta kaŋ-ahäŋkuro unita ŋode yäŋkut;
PSA.39.5	Bureni, äma kuduptagän itkaŋ u me woŋ bumik, kadäni keräpi-inik itta yäwani.
PSA.39.6	Ba wärani, edap ägonitä ahäŋpäŋ paot täkaŋ u irepmitpäŋ nämo. Täŋpäkaŋ äma piä täk täkaŋ u imaka kehäromi kubä nämo pewä ahäk täkaŋ. Moneŋ tuŋum pewä ahäk täkaŋ u netätä api koreneŋ yäŋ nämo nadäk täkaŋ.
PSA.39.7	Unita Ekäni, imatäken kubäta itsämbet? Gäk kubä-tägän täga täŋkentäŋ nameno unita gakagän itsämäŋtat.
PSA.39.8	Unita momi täk täyatken unitäŋo kowata yäpnaŋiken nanik nämagusi. Ba yabäŋ äwaräkuk täŋiri äma gäka nämo nadäŋ gamanitä yäŋärok näwetneŋtawä.
PSA.39.9	Nämo, gäkŋa täŋpewi komi ŋo nadätat unita man kum irayäŋ. Man täpuri kubä nämoinik yäwayäŋ.
PSA.39.10	Unita komi piä wari namentawä! Nut yäpmäŋ äbäŋiri kumbayäŋ täyat!
PSA.39.11	Gäkŋo mebärika nadätat. Gäk momi täŋo kowata äma yabäŋ yäŋpäŋ komi piä yämik täyan. Ba imaka unita gäripi nadäk täkaŋ u gwaktä tek näŋpä tumäk täkaŋ ude täŋpiwak täkaŋ.
PSA.39.11	Bureni, ämawä me woŋ bumik, kadäni keräpi-inik itta yäwani.
PSA.39.12	Unita Ekäni, juku peŋpäŋ butewaki gera ba yäŋapik manna nadäŋ namisi. Täŋpäŋ konäm korira nabäŋpäŋ äbä naniŋ kawat tä.
PSA.39.12	Näk äbeknaye oranaye udegän kome terak ŋo gäkkät kadäni keräpitagän itta iwoyäŋkun.
PSA.39.13	Eruk nabä kätäŋiri oretoret ätu täŋkaŋ kaŋ kuŋ kewewa!
PSA.40.1	Näk Ekäniken gera yäŋkaŋ täŋkentäŋ namikta kwikinik itkut. Irira butewaki nadäŋ namiŋpäŋ gera yäŋkuro u nadäŋ namiŋkuk.
PSA.40.2	Ba näk äma kubä okä näbä gänaŋ äpmoŋpäŋ ireko ude irira Ekänitä wädäŋpäŋ kome tägaken nepmaŋpän äneŋi täga kuŋatkut.
PSA.40.3	Kap u teŋira nabäŋpäŋ ämawebe mäyaptä Anutu täŋo kehäromita nadäwä inide kubä täŋpäpäŋ Ekänita nadäkinik api täneŋ.
PSA.40.4	Ba Ekäni mäde ut imiŋpäŋ mäjo wära nämo yäniŋ oret täkaŋ. Nämoinik!
PSA.40.5	Täŋkentäk bumta täŋ nimikta nadäk tawaŋ pek täyan unita täga nämo yäwetpäŋ yäwoŋärewa täreneŋ. Nämoinik! Täŋkentäk nimik täyan uwä bumta-inik, daninaŋi nämo.
PSA.40.6	Upäŋkaŋ näk gäkŋata biŋam iwoyäŋpäŋ manka nadäkta jukuna biori tumbuŋ. Täŋpäŋ gäkä nadäk-nadäk namiŋiri manka buramik täyat.
PSA.40.9+PSA.40.10	Ekäninintä nadäŋ nimikinik täŋpäŋ wakiken nanik wädäŋ tädotpäŋ nipmak täyak yäŋ api yäwet täŋpet. Täŋpäŋ manka täktäkka täŋo biŋam käbop nämo pek täyat.
PSA.40.9+PSA.40.10	Ironka pähap ba imaka burenigän täk täyan u ämawebe yäwet täyat.
PSA.40.11	Unita Ekäni, näka nadäŋ namisi! Gäk butewakika käbop nämo pewen. Nämo, nadäŋ namiŋiri ironka ba manka burenitä watä säkgämän it namiton.
