GEN.1.1	Er pen kenta Doue a grouaz an env hag an douar.
GEN.48.17	Mes Joseph a velaz e lake he dad he zorn deou var Ephraim, hag e tisplijaz kement-se d’ezhan; cregi a reaz e dorn he dad, o klask he zevel divar ben Ephraim, hag lie gas var ben Manasse.
GEN.48.18	Ha Joseph a lavaraz d’he dad: N’e ket evel-se eo, va zad; rag he-man eo ar c’hossa, laka da zorn deou var he ben.
GEN.48.19	Mes Jacob, o terc’hel ïnad ato, a lavaraz: Her gouzoud a rau, va mab, her gouzoud a ran. Hen ive a deui da veza eur bobl, heu ive a vezo braz: Mes he vreur, ar yaouanka, a vezo brassoc’h eged-han, hag euz he lignez e savo eun niver braz a boblou.
GEN.48.21	Hag Israel a lavaraz da Joseph: Setu me o vond da vervel, mes Doue a vezo gan’ehoc’h, hag a rai d’ehoc’h distrei da vro ho tadou.
GEN.48.22	Ha me a ro d’id eul loden a vuioc’h eged d’az preudeur, an hini em euz kemeret euz dorn an Amorean gaut va c’hleze ha gant va gwarec.
GEN.49.1	Ha Jacob a c’halvaz he vibien hag a lavaraz d’ezhe: En em zastumit lioll en dro d’in, ha me a zisclerio d’ehoc’h an traou a dle c’hoarvezoud gan’ehoc’h en amzer da zond.
GEN.49.2	En em zastumit holl ha selaouit, mibien Jacob, selaouit Israel, ho tad.
GEN.49.3	Ruben, te eo va mab hena, va nerz, ar c’henta frouez euz va galloud, ar c’henta en henor hag er galloud.
GEN.49.4	Dre ma’z oud birvidic evel an dour, u’e ket d’id e vezo ar plas kenta, rag o veza pignet var gwele da dad, ec’h euz saotret va gwele en eur zevel en’han.
GEN.49.5	Simeon ha Levi a zo breudeur. Ho c’hlezeier a zo armou garo meurbed.
GEN.49.6	Doue ra viro na’m befe perz e-bed en ho menoz, ha ne zeufe va gloar da gaoud he blas eu ho c’hompagnunez, rag en ho c’holer ho deuz lazet tud, hag en ho gwall-ioul ho deuz troc’het divesker ar c’holeou-taro.
GEN.49.7	Milliget ra vezo ho c’hounnar dre ma’z eo bet criz, hag ho buanegez dre ma’z eo bet didruez! Me a lako droulans etre-z’he e douar Jacob, hag ho dispartio dre vro Israel.
GEN.49.8	Evidoud-te, Juda, da vreudeur a veulo ac’hanoud; da zorn a vezo var gouzoug da inimied; mibien da dad a stouo d’an douar diraz’oud.
GEN.49.9	Juda a zo eul leon vaouank. Goude beza bet er chasse, va mab, ez oud distroet 
GEN.49.10	Gwalen ar roue n’ed ai ket er meaz euz a Juda, na baz al lezenner euz tre he dreid ken na zeui ar Silo (
GEN.49.11	Staga a ra he azen bihan ouz ar winien, hag ouz ar winien gaera e stag eubeul he azenez; gwalc’hi a rai he zae er gwin, hag he vantel e goad ar rezin.
GEN.49.12	He zaou-lagad a zo skedus gant ar gwin, hag he zent gwen gant al leaz.
GEN.49.13	Zabulon a ielo da choni var bord ar mor, eur porz-mor a vezo evit al listri, hag he deven a ielo beteg Sidon.
GEN.49.14	Issacar a zo eun azen krenv gourvezet, ha speurennou crevier a bep tu d’ezhan.
GEN.49.15	Gwelet hen deuz e oa mad ar repos, ha kaer meurbed ar vro; ha roet hen deuz he skoaz da zougen ar zam, ha pleget hen deuz da baea an taillou.
GEN.49.16	Dan a vezo barner var he bobl, evel unan euz a dribuou Israel.
GEN.49.17	Ra vezo Dan eur serpant var an hent, eur aer-viber var ar wenojen, o flemma treid ar marc’h, hag a laka an hini a zo var-nez’han da gweza var chouk he gil.
GEN.49.18	G-ortozet em euz da zilvidigez, O Aotrou!
GEN.49.19	Gad! bandennou a zeuio var-nez’han; mes hen en em daolo var-nez’he, hag a redo var ho lerc’h.
GEN.49.20	Euz a Asser e teuio ar bara mad, fournis a rai traou da blijoud da rouaned.
GEN.49.21	Nephthali a zo eur c’havr digabrest; komzou flour a zo ganthan.
GEN.49.22	Joseph a zo branc eur vezen frouezuz, brane eur vezen frouezuz e-kichen eur vammen dour; he brancou ho deuz goloet ar voger.
GEN.49.23	Archerien ho deuz gwall-egazet anezhan, ho deuz tennet var-n’ezhan gant ho waregou, hag ho deuz klasket lammat var-n’ezhan.
GEN.49.24	Mes he warec a chomaz ferm, hag he zivreac’h hag he zaouarn a zo bet krenveet gant daouarn an Holl-Galloudec euz a Jacob, (ac’hane e teu ar Pastor, Carrec Israel).
GEN.49.25	Kement-se a vezo great gant Doue da dad, pehini a zicouro ac’hanoud, ha gant an Holl-Galloudec pehini a vennigo ac’hanoud gant bennoziou an env, d’an neac’h, bennoziou ar mamenou dour, d’an traon, gant bennoziou an tez hag ar bronou euz ar mammou.
GEN.49.26	Bennoziou da dad a zav huelloc’h eged ben-noziou va zud koz-me, ken huel ha kern ar meneziou eternel; hag e vezint var ben Joseph, var dal an hini a zo prins var he vreudeur.
GEN.49.27	Benjamin a zo eur bleiz hag a zifram; diouz ar mintin e tebr al loen lazet, ha diouz an abardaez e ra lodennou euz ar c’hig.
GEN.49.28	Ar re-ze holl a zo chefou an daouzeg tribu euz a Israel, ha setu ar pez a lavaraz ho zad d’ezhe en eur ho benniga; hag e vennigaz peb hini anezhe gant eur venedicsion dizhenvel deuz ar re all.
GEN.49.29	Ar gourc’hemen-man a roaz ive d’ezhe en eur lavaret: Emaoun o vond da gavoud va fobl; lakit va c’horf er bez gant va zud koz er c’havarn a zo e parc Ephron an Hethian,
GEN.49.30	er c’havarn a zo e parc Macpela dirag Mambre, e bro Canaan, ar c’havarn hag ar parc a oa bet prenet gant Abraham digant Ephron an Hethian, evit ober he vez enhi. Eno eo bet beziet Abraham ha Sara he c’hreg,
GEN.49.31	Isaac ha Rebecca, he c’hreg; eno em euz ive enterret Lea.
GEN.49.32	Ar parc hag ar c’havarn a zo enhan a zo bet prenet digant bugale Heth.
GEN.49.33	Ha pa hen doe Jacob ehanet da rei he c’hour-c’hemenou d’he vibien, e chachaz ganthan he dreid er gouele, hag e varvaz, hag ez eaz da gavoud he bobl.
GEN.50.1	NEUZE Joseph en em daolaz var vizach he dad, hag a ouelaz var-n’ezhan, hag a bokaz d’ezhan.
GEN.50.2	Ha Joseph a c’hourc’hemenaz d’ar vedicined, he zervicherien, balzami he dad; hag ar vedi-cined a valzamaz Israel.
GEN.50.3	Hag e oe implijet daou-ugent dervez evit ober kement-se, rag hennes eo an niver euz an devechou a ranker da gaoud evit balzami. Hag an Egyptianed a ouelaz var-nez’han epad deg dervez ha tri-ugent.
GEN.50.4	Pa oe treinenet amzer ar c’haon, Joseph a gomzaz ouz officerien Pharaon, hag a lavaraz: Mar em euz kavet gras dirag ho taou-lagad, roit da glevet da Pharaon, me ho ped, ar c’homzou-man:
GEN.50.5	Va zad hen deuz va lakeet da douat en eur lavaret: Setu emoun o vond da vervel; sebelia a ri ac’hanoun er bez em euz prenet e bro Canaan. Breman eta, me az ped, lez ac’hanoun da zevel di, ma c’hellin sebelia va zad, hag e tistroin adare.
GEN.50.6	Ha Pharaon a respontaz: Sav ha sebeil da dad, evel m’hen deuz lakeet ac’hanoud da douat.
GEN.50.7	Neuze Joseph a zavaz da zebelia he dad; assambles ganthan e savaz holl zervicherien Pharaon, ar re ancien euz he di, hag an holl chefou euz an Egypt,
GEN.50.8	hag holl diegez Joseph, he vreudeur, ha tiegez he dad; ha ne lezjont e bro Gossen nenied ho bugale vihan, ho denved hag ho ejened;
GEN.50.9	sevel a reaz ive ganthan carroziou ha cavaliri, ar pez a reaz eur vanden-dud hag a oe braz meurbed.
GEN.50.10	Dond a rejont beteg leur Atad, a zo en tu-all d’ar Jourdan, hag e rejont clemmou hag huana-dou braz dreist ordinal; ha 
GEN.50.11	Hag ar Gananeed, tud ar vro, o velet ar c’haon-ze e leur Atad, a lavaraz: Setu aze eur c’haon braz gant an Egyptianed. Abalamour da ze eo bet hanvet Abel-Mitsraim (
GEN.50.12	Mibien Jacob a reaz evel-se en he genver, evel m’hen doa gourc’hemenet d’ezhe.
GEN.50.13	Dougen a rejont anezhan da vro Canaan, hag e sebeiljont anezhan er c’havarn a zo e parc Macpela, an hini a oa bet prenet gant Abraham digant Ephron an Hethian, hag a zo dirag Mamre, evit ober he vez enhi.
GEN.50.14	Ha goude m’hen doe Joseph beziet he dad, e tistroaz d’an Egypt gant he vreudeur hag ar re holl a oa savet ganthan da zebeilla he dad.
GEN.50.15	Mes breudeur Joseph, o velet e oa maro ho zad, a lavaraz an eil degile: Marteze Joseph a gemero droug ouz’omp, hag a rento d’eomp an holl droug hon euz great d’ezhan.
GEN.50.16	Neuze e lakjont lavaret da Joseph: Da dad abarz mervel, hen deuz roet an urz-man:
GEN.50.17	Evel-hen e komzot da Joseph: Oh! pardon, me az ped, fallagriez da vreudeur, hag ho fec’hed; rag droug ho deuz great d’id; mes breman, pardon, me az ped, fallagriez servicherien Doue da dad. Ha Joseph a ouelaz epad ma oat o komz outhan.
GEN.50.18	Hag he vreudeur a zeuaz ho-unan, en em strinkaz d’he dreid, hag a lavaraz: Setu, ni en em ro da zervicherien d’id.
GEN.50.19	Ha Joseph a lavaraz d’ezhe; N’ho pezit ket a aoun; rag daoust ha me a zo o terc’hel plas Doue?
GEN.50.20	Sonjet ho poa ober droug d’in; mes Doue hen deuz troet kement-se e mad, evit ober ar pez a c’hoarvez hirio, evit kenderc’hel e buez eur bobl vraz.
GEN.50.21	Bezit eta dispont; me ho mago c’houi hag ho pugale. Hag e eonsolaz anezhe, hag e komzaz ouz ho c’halon.
GEN.50.22	Joseph a chomaz eta en Egypt, hen ha tiegez he dad, hag e vevaz deg vloaz ha cant.
GEN.50.23	Ha Joseph a velaz bugale Ephraim beteg an drede rum. Bugale Makir, mab da Vanasse, a c’hanaz ive var barlen Joseph.
GEN.50.24	Ha neuze Joseph a lavaraz d’he vreudeur: Setu me o vond da vervel; mes Doue ne vanko ket da zond d’ho pizita, hag ho lako da zevel euz ar vro-man d’ar vro hen deuz prometet dre le da Abraham, da Isaac ha da Jacob.
GEN.50.25	Ha Joseph a lakaz bugale Israel da douat en eur lavaret: A dra certen Doue a vizito ac’hanoc’h, ha c’houi a gasso va eskern euz ar vro-man.
GEN.50.26	Neuze Joseph a varvaz, oajet a zeg vloaz ha cant, hag e oe balzamet ha lakeet en eun arched en Egypt.
MAT.1.1	Levr lignez Jesus‐Christ, mab David, mab Abraham.
MAT.1.2	Abraham a oe tad da Isaac. Isaac a oe tad da Jacob. Jacob a oe tad da Juda ha d’he vreudeur. 
MAT.1.3	Juda hen doe euz a Damar Farez ha Zara. Farez a oe tad da Esrom. Esrom a oe tad da Aram. 
MAT.1.4	Aram a oe tad da Aminadab. Aminadab a oe tad da Naason. Naason a oe tad da Zalmon. 
MAT.1.5	Salmon hen doe euz a Rahab Booz. Booz hen doe euz a Ruth Obed. Obed a oe tad da Jesse. Jesse a oe tad d’ar roue David. 
MAT.1.6	Ar roue David hen doe Salomon, euz an hini 
MAT.1.7	Salomon a oe tad da Roboam. Roboam a oe tad da Abia. 
MAT.1.8	Abia a oe tad da Asa. Asa a oe tad da Josafat. Josafat a oe tad da Joram. Joram a oe tad da Hosias. 
MAT.1.9	Hosias a oe tad da Joatham. Joatham a oe tad da Achas. Achas a oe tad da Ezekias. 
MAT.1.10	Ezekias a oe tad da Vanasse. Manasse a oe tad da Amon. Amon a oe tad da Josias. Josias a oe tad da Joakim. 
MAT.1.11	Joakim a oe tad da Jekonias ha d’he vreudeur, var‐dro an amzer ma oent kasset e captivite da Vabilon.
MAT.1.12	Ha goude ma oent bet kasset euz ho broda Vabilon, Jekonias a oe tad da Zalathiel. Salathiel a oe tad da Zorobabel. 
MAT.1.13	Zorobabel a oe tad da Abiud. Abiud a oe tad da Eliakim. Eliakim a oe tad da Azor. 
MAT.1.14	Azor a oe tad da Zadoc. Sadoc a oe tad da Achim. Achim a oe tad da Eliud. 
MAT.1.15	Eliud a oe tad da Eleazar. Eleazar a oe tad da Vatthan. Matthan a oe tad da Jacob; 
MAT.1.16	ha Jacob a oe tad da Josef, pried Mari, euz a behini eo bet ganet Jesus, a c’halver Christ.
MAT.1.17	Beza ez euz eta en holl, euz a Abraham bete David, pevarzec generation; hag euz a Zavid bete captivite Babilon, pevarzec generation; hag euz a gaptivite Babilon beteg ar C’hrist, pevarzec generation.
MAT.1.18	Hogen, ginivelez Jesus‐Christ a c’hoarvezaz evel‐hen: Goude ma oe dimezet Mari, he vam, da Josef, araog ma oant eat assambles, hi en em gavaz brazez dre ar Spered‐Santel. 
MAT.1.19	Mes Josef, he fried, o veza eun den just, pehini na felle ket dezhan he dishenori dirag an holl, a zonjaz he c’has kuit e‐kuz. 
MAT.1.20	Mes pa oa o sonjal kementse, setu, eun eal a‐berz an Aotrou en em brezantaz dirazhan dre eun huvre, hag a lavaraz 
MAT.1.21	hag e c’hano eur mab, hag e c’halvi he hano Jesus (
MAT.1.22	Hogen, kement‐se holl a c’hoarvezaz, evit ma vije accomplisset ar pez a oa bet lavaret evel‐hen gant an Aotrou dre ar profet: 
MAT.1.23	Setu, ar verc’hez a vezo brazez, hag e c’hano eur mab, hag he hano a vezo 
MAT.1.24	Josef o veza dihunet euz he gousk, a reaz evel m’hen doa gourc’hemenet dezhan eal an Aotrou, hag e tigemeraz he vreg. 
MAT.1.25	Mes ne anavezaz ket anezhi bete ma oe gwillioudet euz he mab kentaganet, hag hen a roaz dezhan an hano a Jesus.
MAT.2.1	Jesus o veza ganet en Bethlehem, 
MAT.2.2	setu e teuaz majed euz ar Zao‐heol da Jerusalem, en eur lavaret: Pe leac’h eman an hini a zo ganet da roue d’ar Judevien? rag gwelet hon euz he stereden er Zao‐heol, hag ez omp deuet d’hen adori. 
MAT.2.3	Ar roue Herodes, o veza klevet 
MAT.2.4	Hag o veza assamblet holl brinsed ar veleien, ha Scribed ar bobl, e c’houlennaz diganthe pe leac’h e tlie genel ar C’hrist. 
MAT.2.5	Hag int a lavaraz dezhan: En Bethlehem, euz a Juda; rag evel‐hen eo bet scrivet dre ar profet: 
MAT.2.6	Ha te, Bethlehem, douar Juda, n’oud ket an distera e‐touez ar 
MAT.2.7	Neuze Herodes, o veza galvet ar majed e‐kuz, a c’houlennaz gant preder diganthe e pe amzer ho doa gwelet ar stereden; 
MAT.2.8	hag o kas anezhe da Vethlehem, e lavaraz: It, ha goulennit gant preder divarben ar bugel bihan, ha pa ho pezo kavet 
MAT.2.9	Ar re‐man eta, goude beza klevet ar roue, a bartiaz; ha setu, ar stereden ho doa gwelet er Zao‐heol a iea en ho raog, bete ma teuaz, ha ma choumaz a‐uz al leac’h ma oa ar bugel bihan. 
MAT.2.10	Ha pa veljont ar stereden, e oe karget ho c’halon gant eur joa vraz. 
MAT.2.11	Hag o veza eat en ti, e kavjont ar bugel gant Mari he vam; hag oc’h en em brosterni dirazhan, ec’h adorjont anezhan; ha goude beza digoret ho zenzoriou, e rojont dezhan prezanchou, aour, ezans ha mirrh. 
MAT.2.12	Hag o veza bet avertisset gant Doue, dre eun huvre, na zistrojent ket da gavout Herodes, e tistrojont d’ho bro dre eun hent all.
MAT.2.13	Pa oant eat kuit, eun eal a‐berz an Aotrou en em ziskouezaz da Josef, dre eun huvre, o lavaret: Sav; kemer ar bugel bihan hag he vam, ha tec’h en Ejypt, ha choum eno ken a livirin d’id; rag Herodes a glasko ar bugel evit hen lakaad d’ar maro. 
MAT.2.14	, o veza savet, a gemeraz ar bugel bihan hag he vam, en noz, hag en em dennaz en Ejypt. 
MAT.2.15	Hag e choumaz eno bete ma varvaz Herodes. Evel‐se e oe accomplisset ar pez hen doa lavaret an Aotrou dre ar profet evel‐hen: Galvet em euz va mab euz an Ejypt.
MAT.2.16	Neuze Herodes, pa velaz ho doa ar majed great goab anezhan, a oe en coler vraz, hag e kassaz 
MAT.2.17	Neuze e oe accomplisset ar pez a oa bet lavaret dre ar profet Jeremias: 
MAT.2.18	Klevet a zo bet en Rama criadennou, hirvoudou, gwelvan ha klemmou braz: Rachel o wela d’he bugale; ha na felle ket dezhi beza consolet, abalamour n’emaint mui.
MAT.2.19	Mes pa oe maro Herodes, setu, eun eal a‐berz an Aotrou en em ziskouezaz dre eun huvre da Josef, en Ejypt, o lavaret: Sav, kemer ar bugel bihan hag he vam, 
MAT.2.20	ha distro da vro Israel; rag ar re a glaske lemmel he vuez digant ar bugel a zo maro. 
MAT.2.21	 eta, o veza savet, a gemeraz ar bugel hag he vam, hag a zeuaz en douar Israel. 
MAT.2.22	Mes, pa glevaz e oa Arkelaüs o rên er Jude e plas he dad Herodes, hen doe aoun da vond di, hag o veza bet avertisset gant Doue dre eun huvre, en em dennaz e costeziou Galile, 
MAT.2.23	hag o veza deuet, e choumaz en eur gear galvet Nazaret; hag evel‐se e oe accomplisset ar pez a oa bet lavaret dre ar brofeted: Galvet e vezo Nazaread.
MAT.3.1	En deiziou‐ze e teuaz Ian ar Badezour, o prezeg en dezert ar Jude, hag o lavaret: 
MAT.3.2	En em gonvertissit, rag rouantelez an envou a zo tost. 
MAT.3.3	Rag he‐man eo an hini divarben pehini hen deuz komzet ar profet Izaias, pa lavaraz: Mouez an hini a gri en dezert: Preparit hent an Aotrou: lakit eün he wenojennou.
MAT.3.4	Hogen, ar Ian‐ze hen doa eur zae a vleo kanval, hag eur gouriz ler en‐dro d’he groazel; hag he voued a oa killeien‐raden ha mel gwez.
MAT.3.5	Neuze Jerusalem, hag ar Jude holl, hag an holl vro var‐dro d’ar Jourdan a zeue er meaz d’he gavout; 
MAT.3.6	hag e oent badezet ganthan er Jourdan, oc’h anzav ho fec’hejou.
MAT.3.7	Mes o velet kalz a Farizianed hag a Saduseed o tond d’he vadiziant, hen a lavaraz dezhe: Raç an aered‐viber! piou hen deuz desket deoc’h tec’hel rag ar goler da zond? 
MAT.3.8	Grit eta frouez hag a gonven d’ar gonversion. 
MAT.3.9	Ha na zonjit ket lavaret enoc’h hoc’h‐unan: Beza hon deuz Abraham da dad; rag me a lavar deoc’h, ec’h hell Doue sevel euz ar vein‐ze bugale da Abraham. 
MAT.3.10	Hag ar vouc’hal a zo dija lakeat ouz grizien ar gwez; pep gwezen eta ha na ro ket a frouez mad a vez troc’het ha taolet en tan. 
MAT.3.11	Evidoun‐me a vadez ac’hanoc’h en dour evit ar gonversion; mes an hini a zeu var va learc’h a zo galloudussoc’h egedoun, ha n’oun ket dign da zougen dezhan he voutou; hen ho padezo er Spered‐Santel hag en tan. 
MAT.3.12	He groe a zo ganthan en he zorn, hag e netaio ervad he leur, hag e tastumo he winiz er c’hreuniel; mes lakaad a rai ar pell da zevi en eun tan ha na varvo ket.
MAT.3.13	Neuze Jesus a zeuaz euz a C’halile d’ar Jourdan, da gavout Ian, evit beza badezet ganthan. 
MAT.3.14	Mes Ian na felle ket dezhan 
MAT.3.15	Ha Jesus, en eur respont, a lavaraz dezhan: Na stourm ket 
MAT.3.16	Ha goude ma oa bet badezet Jesus, e savaz rag‐tal euz an dour, ha setu an envou en em zigoraz dezhan, hag e velaz Spered Doue o tisken evel eur goulm hag o tond varnezhan. 
MAT.3.17	Ha setu eur vouez euz an envou, hag a lavaraz: He‐man eo va mab muia‐karet, e pehini em euz lakeat va 
MAT.4.1	Neuze Jesus a oe kasset gant ar Spered ebarz an dezert evit beza tentet gant an diaoul. 
MAT.4.2	Ha goude m’hen doe iunet daou‐ugent devez ha daou‐ugent nosvez, hen doe naoun. 
MAT.4.3	Hag an tentatour, o veza tosteat outhan, a lavaraz: Mar d’oud Mab Doue, lavar ma teui ar vein‐ze da veza bara. 
MAT.4.4	Mes 
MAT.4.5	Neuze an diaoul hen kassaz er gear zantel, hag a lekeaz anezhan var lein an templ; hag a lavaraz dezhan: 
MAT.4.6	Mar d’oud Mab Doue, en em daol d’an traon; rag scrivet eo: Gourc’hemen a rai d’he elez divar da ben, hag e tougint ac’hanoud etre ho daouarn, gant aoun na stokfez da droad ouz eur mean‐benag. 
MAT.4.7	Jesus a lavaraz dezhan: Scrivet eo ive: Na denti ket an Aotrou da Zoue. 
MAT.4.8	An diaoul a gassaz anezhan c’hoas var eur menez huel meurbed, hag a ziskouezaz dezhan holl rouantelezou ar bed hag ar gloar anezhe; hag e lavaraz dezhan: 
MAT.4.9	An holl draou‐ze a roin d’id, mar en em brosternez d’am adori. 
MAT.4.10	Neuze Jesus a lavaraz dezhan: Tec’h kuit, Satan; rag scrivet eo: An Aotrou da Zoue a adori, hag hen hepken a zervichi. 
MAT.4.11	Neuze an diaoul a lezaz anezhan; ha setu ma teuaz elez hag a zervichaz anezhan.
MAT.4.12	Hogen Jesus, o veza klevet e oa bet lakeat Ian er prizon, en em dennaz en Galile. 
MAT.4.13	Hag o veza kuiteet Nazaret, e teuaz da choum e Cafernaüm, 
MAT.4.14	hag evel‐se e oe accomplisset ar pez a oa bet lavaret evel‐hen dre ar profet Izaias: 
MAT.4.15	Douar Zabulon ha douar Neftali, 
MAT.4.16	Ar bobl a oa azezet en devalijen, he deuz gwelet eur sclerijen vraz; hag en em zavet eo ar sclerijen var ar re a oa azezet en bro hag en skeud ar maro.
MAT.4.17	Adaleg neuze Jesus a gommansaz da brezeg ha da lavaret: En em gonvertissit, rag rouantelez an envou a zo tost.
MAT.4.18	Ha Jesus, en eur vale a‐hed mor Galile, a velaz daou vreur, Simon, a c’halver Per, hag Andre he vreur, o teurel 
MAT.4.19	Hag e lavaraz dezhe: Deut var va learc’h, ha me a raio ac’hanoc’h pesketerien tud. 
MAT.4.20	Hag int rag‐tal, o lezel ho rouejou, a heuliaz anezhan. 
MAT.4.21	Hag ac’hane o vond araog, e velaz daou vreur all, Jakes, mab Zebede, ha Ian he vreur, en eur vag, gant Zebede ho zad, o tressa ho rouejou, hag e c’halvaz anezhe. 
MAT.4.22	Hag int rag‐tal o lezel ar vag hag ho zad, a heuliaz anezhan.
MAT.4.23	Ha Jesus a iea dre an holl C’halile, o kelen en ho zinagogou, hag o prezeg aviel rouantelez 
MAT.4.24	Hag ar vrud anezhan a ieaz dre an holl Siri; hag e tigassent dezhan an holl dud klanv ha dalc’het gant meur a glenved hag a wall‐boan, hag ar re dalc’het gant an drouk‐spered, hag ar re loarec, hag ar re baralitic; hag hen a iac’hae anezhe. 
MAT.4.25	Ha mareadou braz a dud a heuliaz anezhan euz a C’halile, hag euz a Zecapolis, euz a Jerusalem, euz ar Jude, hag euz an tu‐all d’ar Jourdan.
MAT.5.1	Hogen, o velet ar bobl, 
MAT.5.2	Hag o tigeri he c’henou, e kelenne anezhe, en eur lavaret:
MAT.5.3	Eürus ar re baour er spered rag rouantelez an envou a zo dezhe. 
MAT.5.4	Eürus ar re a zo er glac’har; rag consolet e vezint. 
MAT.5.5	Eürus ar re douç; rag int a herito deuz an douar. 
MAT.5.6	Eürus ar re ho deuz naoun ha sec’hed euz ar justis; rag int a vezo rassaziet. 
MAT.5.7	Eürus ar re drugarezus; rag int a gavo trugarez. 
MAT.5.8	Eürus ar re bur a galon; rag int a velo Doue. 
MAT.5.9	Eürus an dud a beoc’h; rag int a vezo galvet bugale Doue. 
MAT.5.10	Eürus ar re a zo persecutet abalamour d’ar justis; rag rouantelez an envou a zo dezhe. 
MAT.5.11	Eürus e vefet pa zeui an dud da ober rebechou deoc’h, d’ho persecuti, ha da lavaret e‐gaou pep seurt droug a‐enep deoc’h, abalamour d’in; 
MAT.5.12	en em laouenait ha tridit gant ar joa, rag ho recompans a vezo braz en envou; rag evel‐se eo ho deuz persecutet ar brofeted 
MAT.5.13	C’houi eo holen an douar; mes mar koll an holen he vlaz, gant petra e vezo hen sallet? N’eo mui mad da netra, nemed da veza taolet er meaz, ha da veza mac’het gant treid an dud. 
MAT.5.14	C’houi a zo sclerijen ar bed: eur gear diazezet var eur menez na hell ket beza kuzet; 
MAT.5.15	ha ne alumer ket eur c’houlaouen evit he lakaad dindan eur boczel, mes var eur c’hantoleur, hag e ro sclerijen d’ar re holl 
MAT.5.16	Ra sclerio evel‐se ho sclerijen dirag an dud, evit ma velint ho mad‐oberou, ha ma c’hlorifiint ho Tad pehini 
MAT.5.17	Na zonjit ket e ven deuet evit diskar al lezen pe ar brofeted; n’oun ket deuet evit diskar, mes evit accomplissa. 
MAT.5.18	Rag e gwirionez hen lavaran deoc’h, bete ma vezo tremenet an env hag an douar, na dremeno euz al lezen eur iota hep‐ken pe eur poentic euz a eul lizeren, ken na vezo accomplisset holl. 
MAT.5.19	Piou‐benag eta a doro unan euz ar bihana euz ar goure’hemenou‐man, hag a gelenno evel‐se d’an dud, a vezo galvet ar bihana en rouantelez an envou; mes piou‐benag 
MAT.5.20	Rag me a lavar deoc’h: Ma n’ez a ket ho chustis dreist hini ar Scribed hag ar Farizianed, na antreot ket en rouantelez an envou.
MAT.5.21	Klevet hoc’h euz eo bet lavaret d’ar re goz: Na lazi ket; ha piou‐benag a lazo a vezo punissabl dre ar barnerien. 
MAT.5.22	Hogen me a lavar deoc’h penaos piou‐benag en em laka en coler ouz he vreur, hep caoz, a vezo punissabl dre an tribunal; ha piou‐benag a lavaro d’he vreur: Raka (
MAT.5.23	Rag‐se mar digassez da offrans d’an aoter, ha mar teu sonj d’id eno hen deuz da vreur eun dra‐benag en da enep, lez eno da offrans dirag an aoter, 
MAT.5.24	ha kea da genta d’en em reconcilia gant da vreur; ha neuze, deuz hag offr da offrans. 
MAT.5.25	En em laka a‐unvan hep‐dale gant da enebour, e‐pad ma’z oud en hent ganthan, gant aoun na zeufe da livra ac’hanoud d’ar barner, hag he‐man da vinistr 
MAT.5.26	E gwirionez hen lavaran d’id, na zeui ket er meaz ac’hane, ken az pezo paeet an diveza liard.
MAT.5.27	Klevet hoc’h euz eo bet lavaret d’ar re goz: 
MAT.5.28	Na ri ket a avoultriach. Mes me a lavar deoc’h penaos kement hini hag a zell ouz eur vaouez gant c’hoantegez anezhi, hen deuz dija great avoultriach ganthi en he galon. 
MAT.5.29	Mar ra d’id da lagad deo kweza 
MAT.5.30	Mar ra d’id da zorn deo kweza 
MAT.5.31	Lavaret eo bet ive: Piou‐benag a gasso kuit he vreg, a ranko rei dezhi eur scrid a zivors. 
MAT.5.32	Mes me a lavar deoc’h penaos piou‐benag a gasso kuit he vreg, nemed evit avoultriach e ve, a ra dezhi avoultri; ha piou‐benag a zimezo d’ar 
MAT.5.33	Klevet hoc’h euz c’hoas eo bet lavaret d’ar re goz: Na doui ket en faoz, mes derc’hel a ri e‐kenver Doue d’al le az pezo great. 
MAT.5.34	Mes me a lavar deoc’h: Na douit ket a‐grenn, na dre an env, rag trôn Doue eo; 
MAT.5.35	na dre an douar, rag scabel he dreid eo; na dre Jerusalem, rag kear ar Roue braz eo. 
MAT.5.36	Na dou ket ken neubeut dre da ben; rag na hellez ket ober da eur vleven beza gwenn pe zu. 
MAT.5.37	Mes ra vezo ho ker: ia, ia, nann, nann; rag kement 
MAT.5.38	Klevet hoc’h euz eo bet lavaret: Lagad evit lagad, ha dant evit dant. 
MAT.5.39	Mes me a lavar deoc’h: Na stourmit ket ouz an hini drouk; mes mar sko unan‐benag ac’hanoud var da jod deo, tro e‐ben ive outhan. 
MAT.5.40	Ha mar fell da unan‐benag ober proces ouzid ha kemeret da zae, lez c’hoas da vantel ganthan. 
MAT.5.41	Ha piou‐benag a oblijo ac’hanoud da vond eul leo ganthan, kea diou. 
MAT.5.42	Ro d’an neb a c’houlen diganez, ha na dro ket kein d’an hini a fell dezhan empresta diganez.
MAT.5.43	Klevet hoc’h euz eo bet lavaret: Karoud a ri da nessa, hag e kasai da enebour. 
MAT.5.44	Mes me a lavar deoc’h: Karit hoc’h enebourien, bennigit ar re a daol malloz varnoc’h; grit vad d’ar re ho deuz kas ouzoc’h, ha pedit evit ar re a outrach hag a bersecut ac’hanoc’h; 
MAT.5.45	evit ma veot bugale ho Tad pehini 
MAT.5.46	Rag mar 
