GEN.1.1	Tenang tutuna' masipo' Kumponinge aa'ning paning ee'noko kansi' nkovuu'nang. 
MAT.16.15	Ee'noko napo' Jiisuu'ke aa'puru' teing, “Teka dii'ke napo' baa tammerimaung ning?” 
MAT.16.16	Teketa Saimoni' Piitai bari'uma aa'puu', “Da' aa' tee Kumponinge teroita Pako'pari'nii' nantoong domamperira tareveriainoo'koo, tee Kumponing domantoo' bauring.” 
MAT.16.17	Jiisuu'ke maku'uma aa'puu', “Biraankeraring da', Jooni bauring, ai' aung tee naninge kansi'koonge naurua', teka tee Mma'ke paning-koonge nauruing. 
MAT.16.18	Ee'noko ninge aa'damaang, da' tee ee'nung Piita, Manto, ee'noko aung-koo boia'koo e'maniang-koo ninge tee nkaang dootuu' donkong-antavampaing, mosianung-koonge purinto'ke puru'uauka'nung. 
MAT.16.19	Ee'noko ninge da' tee kii'nanka arompaing teing muu' paninung-kooning. Aming kapoo' dake anke kansi'koo pinka'eaing deeko' paning-koo tee' pinka'aravaing, ee'noko aming kapoo' anke kansi'koo dapa'eaing deeko' paning-koo tee' nari' dapa'aravainge.” 
MAT.16.20	Teketa potevuru' teing bakaning barevare-nupoong sira'paavaroo'naang tee Kumponinge Pako'pari'nii'.
MAT.16.21	Tenang-eta deto Jiisuu'ke tee te' Jerusalema' bera kapoo'nanka arikananka tora'puaining bakaning barevare-nupoong nau tutumpuru'. Aing aa'ninge tora'antavaavaing: nantoong pankenge, piristi'koong ovontunankai, ee'noko boto naunukai. Ee'noko tee tee' nkoaama dupisi'aavaing, ee'noko beenang doong deemparako napo' domamparara daa'aravai. 
MAT.16.22	Teketa Piitai taapo' be'antavura teka potevuma aa'puu', “Bakei makotua' da' tee' nko-koo, Ovoring. Tee' da'koo nkoaravauka'nung.” 
MAT.16.23	Teketa Jiisuu' bakaning barevare-nupoong-aape bere'arama Piita turampuma aa'puu', “Tokoi beai da' Sietani'. Da' tee ning-koo baanka' makosi. Dake tee Kumponing bakaang noru' noru'ea', nantoong biikaang noru' narung noru'ei otong.”
MAT.16.24	Teketa Jiisuu'ke aa'puru' teing bakaning barevare-nupoong, “Naning ning siomui poo'naang piavora deeko', baka bakaang pia iro' doonko tompimparavaing ee'noko bakaang aa'barata' poru'ui ning siomumaatoaing. 
MAT.16.25	Ee'koo, baa tee naning bakaang domaang ning-koo orokovuma baka tare-koo piavoaing tee paa'aravaing, teka baa tee naning bakaang domaang ning-koo aroo'ari dua'uaing, teie tee napo' daa'uaing. 
MAT.16.26	Ee'noko aming kapoo' tampara basiarapeu' naning-koo ookara kapoo'nanka kansi'po' barampuma okovui baka orariarakotaa' domaang paa'aravaina'? Ee'noko naning aming avupeu' tee bakaang domaang paa'aru'nung napo' moo'koo? 
MAT.16.27	Ai' ning Tee Naning-naumpo' Paning-etaing tee teie Mma' bakaang meenasie baumari moaing teing ninka nkaning koosinunanka ninka, teketa moo' avorompaing nantoong naruna' naruna' kapoo' nkoau'ning siompario'. 
MAT.16.28	Teka ninge masikung naurampimang, dii'koo nii'ning anke nari' donkoniri otorining-koo mme' boo'koo mantonkiria' ning Tee Naning-naumpo' Paning-etaing nkaang muu'koo Daurarong˜ deemari moko oomeriaing.”
MAT.17.1	Teketa pa'noko'keta na'mung doong tankinuio' Jiisuu'ke Piita dovang Jeemisi ee'noko baara'ma'nung Jooni, bokuvurira iu' isikung-koo deto koinau' teing naing bii'ka. 
MAT.17.2	Ee'noko teke teinge ooaio' Jiisuu' bakaang mono aampari'arama aa'nou', bakaang oing duaa'pina' siisiou' ee'noko bakaang mononopa' aa'na' kakaaravou' araka-pina'. 
MAT.17.3	Ee'noko tenang teing-ankoi Moosesi naanka Eliasi oro'pareta Jiisuu' ninka kareaako'. 
MAT.17.4	Ee'noko Piitai aa'puu' tee Jiisuu', “Ovoring ee, bakei tampa' nii' anke o'norimaang. Da' piaroko deeko' ninge bare beevaari kaniampaing, nava da' dakanava, nava Moosesi bakanava ee'noko nava Eliasi bakanava.” 
MAT.17.5	Ee'noko tenang tee Piita tee' karoi otoko narunge kamo'ke sisisiisie teka daka'puru', ee'noko teieta kamo'keta auronge karoma aa'puu',
MAT.17.5	“Aung tee nnuring ninge piaavamaung. Ning tee-koo aa'na' dotumaramaung. Taaraveriaing tee.”
MAT.17.6	Tenang teinge bakaning barevare-nupoonge tee aurong taaravaara avoreaara oing kansi'koo doonko kinkinau'. 
MAT.17.7	Teka Jiisuu'ke pora kompurima aa'puru', “Deto daa'dariai, aroreria'.” 
MAT.17.8	Teketa tenang deto daa'arira ookaama nii'nara naning ooaava', Jiisuu' narung teka ooau'.
MAT.17.9	Teketa iu'keta depeto siarima Jiisuu'ke teing orokovuru' tee kapoo' ooau'nung nauaariaroo'naang bera tee Naning-naumpo' Paning-etaing boo'keta daa'aravainoo'ke basi.
MAT.17.10	Teketa teinge bakaning barevare-nupoonge tee nia'aama aa'pau', “Teinge boto naunukai aming-koo aa'paamaung Eliasi tee tee-koo Kumponinge Pako'pari'nii'koo˜ uro'ke poaing?” 
MAT.17.11	Ee'noko Jiisuu'ke maku'urima aa'puu', “Masika' Daari Meekung-koo Eliasi tee poo'naang tampari otong ookara kapoo'nanka nerivuu'naang. 
MAT.17.12	Teka ninge aa'dampimang, tee Eliasi aa' tee tero pou'nung, teka teinge tasi'paavarura tee oraka' piavorou'na' nari' nkoau' tee. Tee' nari' napo' ning Tee Naning-naumpo' Paning-etaing nantoonge sisikeera-antamaavainge.” 
MAT.17.13	Teketa tee' minkuvuio' teinge bakaning barevare-nupoonge tasi'pau' tee ee'nung Jooni Minkinara miru'ui Eliasi tee' minkuvuu'nung.
MAT.17.14	Tenang teing nantoong karinga-anko poroio' naning narung pora Jiisuu'anko kinkinura aa'puu', 
MAT.17.15	“Ovoring ee, nnuring piaaveai kookokoaramaung, ee'noko aa'na' sisikeeravokoo'. Mmau'namu'pie nta'koo nii'noo' ntong-koo dua'arakoo'. 
MAT.17.16	Aing-anko dakaning barevare-nupoong-anko tavo'ansio' teinge taare-anta-koo makosiaavaruing.” 
MAT.17.17	Ee'noko Jiisuu'ke maku'urima aa'puru' teing, “Nko dii' masika'anta otoriainge, koontariaing, are' basinaroonge dii' ninka nari' o'norimaatoainge dooroontampiri? Po'antaveai tee oki'nara a' ning-anko.” 
MAT.17.18	Teketa tavo'uio' Jiisuu'ke tee ma'naang teka aka'puio' teieta nemaka-ita bakoaru', ee'noko tenang-eta deto taarevou'.
MAT.17.19	Teketa teing bakaning barevare-nupoong makenge tee-anko porora aa'pau', “Nii' aming-koo tee ma'naang bata'koo makotumpia'?” 
MAT.17.20	Jiisuu'ke maku'uma aa'puru', “Diikaang masika'anta bakei oki'nung deemparako tee' bata'eriarupeu'nung. Masika' naurampimang ninge, diikaang masika'anta tee masitara'koong sinang-pina' basi oto'derui dei dii'ke aunteto iu' aa'peripeu', ‘Anka' diiri'daravai anketa,’ ee'noko tee diiri'arapeu'. Tee'koo kapoo' dii'ke nko-koo makosi deeaung otoarupeu' dii'koo. 
MAT.17.21	Teka tee aung amurii' tamung bakoaravarupeu', naninge kunsiarama ee'noko unkumoarama deeko' makosi temurii' bata'koo.”
MAT.17.22	Ee'noko tenang teing ookara Kaaleli' porora oosiarirai'nange Jiisuu'ke aa'puru' teing, “Ning Tee Naning-naumpo' Paning-etaing tee nkaning-koo navumainuka-koo narunge tooka kompui taura'muu'naang nantoong oreng biikaang bireng-koo. 
MAT.17.23	Teinge dupisi'maavaing, teka beenang doong deemparako napo' domamarara daa'maravaing.” Ee'noko teing bakaning oraka' dee'orou' tee'puio'.
MAT.17.24	Teketa Jiisuu' bakanavitu ninka Kapaneume'navuntu'koo basiaririo' taakisi nkanukai porora Piita nia'aama aa'pau', “Diikaang nau-antai ee taakisi dootuu'nava pankava-koong dua'uaung?” 
MAT.17.25	Piitai maku'uma aa'puu', “A, tee aa' dua'umaung.” Teketa tenang Piita pava-koo pora mme' nauvuaruko teie Jiisuu'ke tutung minkuvuma aa'puu', “Saimoni' ee, arekee' noru'emaang, ookara dauraronukai kansi'kooninge baata-koo taakisi barampaamaung, biurukaa'koo ai' oovuning-koo?” 
MAT.17.26	Piitai maku'uma aa'puu', “Oovuning-eta barampaamaung.” Teketa Jiisuu'ke aa'puu', “Tee tee tee'koo dauraronuka biurukaa' teing unaanisi oto'nuka, ee'noko ning napo' tee'ke, unaanisi oto'nara. 
MAT.17.27	Teka makosi nee'ke moo'ampeaing noru' orari-antavarampe'neeng teing. Enang bera a'doong nuaru'koo airiraravaing, teketa tutuna'nu tavi'nu barampeainu-koo karang kaake'era teka mooni' ooveaing. Oovera nkavera teing averiaing, neekaang taakisi deemparavaing.”
MAT.18.1	Tenang ee'nang napo' teinge bakaning barevare-nupoonge porora Jiisuu' nia'aama aa'pau', “Pankaing baa tee-koo muu' paninung-koo?” 
MAT.18.2	Teketa Jiisuu'ke narung tooto' bokuvura teing-koo meu' donkong-antavura aa'puru', 
MAT.18.3	“Masika' naurampimang, dii' diikaang domang bere'dariarura deeko' toirekaa'pina' onou-koo dii' teing bakei makosiria' te' muu' paninung-koo tung-koo. 
MAT.18.4	Tee'koo baa tee naning baka boonko noru'aravaing aung-pina' tooto'pina' tee tee ee'nung muu' paninung-koo pankaing. 
MAT.18.5	Ee'noko baa tee naning ning nkaang miring-koo onkeonke'uaing narung tooto' oki'nara aung-pina' oro' teie tee onkeonke'muaing.
MAT.18.6	“Teka Baa tee naning aing toire' ning masika'antamaamaing-koo narung dua'antavuaing tee-koo orara aarumo-koo deeko' tee tee piaaru'. Tee' oro' naning baukoi paravuaruu'nung dei tampa', ai' Kumponinge aa'na' kiimatavuaing tee. 
MAT.18.7	Bakei piaaru'nuka kansi'nupoong amutemuriaunanka orara aarumo-koo nantoong dua'antavaarimaing. Masika', tee' oro' aarumo dua'anta-koong tee poaing, teka bakei piaaru'nuka teing nantoong tee' oro' aarumo tavo'antavaavaining!
MAT.18.8	“Ee'noko dakaang birenge nii'noo' kau'ke dua'antaruko deeko' orara aarumo-koo, napu'darara taapo' dua'eaing tenau'. Tampa' masika' tee da' nanau' kopu'darara de'doonima domaang otoi oto'noo' beaing, ookanau'ka otoi nta'koo otoi-oto'koong-koo dua'du'neenga. 
MAT.18.9	Ee'noko napo' dakaang dutai orari-antaruko deeko' ka'bantarara taapo' dua'eai. Tampa' masika' tee da' naruta otoi domaang otoi oto'noo' beaing, ookaruta otoko mosianung-koong nta'koo dua'daa'neenga. 
MAT.18.10	Tee'koo tarerariri otoriaing dii'ke aing-koo narung oki'nareka'koo tamung baa'pina' ooeri'neeng, ai' toire' biikaning koosinunakai tee paning-koo uatepa Mma'anko beroma sira'paarimaung baata teing anutua oraka' nkoaarimaing.
MAT.18.11	“Ee'noko ning Tee Naning-naumpo' Paning-etaing tee nantoong toire' makosinuka pooariru'ning besi'koo mou'nung. 
MAT.18.12	Arekee' noru'erimang dii'ke, naning narung daaku' sipisipi' oto'evuma otopeu'nung ee'noko teing-koo nau pooari dei, teie ee teing nii'ning mmau' tee-koo mii-koo nii'nameng-koo sipurira teu nau besi'koo nanuarupeu' pooarapeu'nu? 
MAT.18.13	Ee'noko masika' minkuamaang, teie daa'ura deeko' teu, tee tee bakei aa'na' dotuarapeu' teu-koo ee'nu-koo sipisipi'nu-koo, bane teing nii'ning mmau' otoroko pooariarupeu'ning. 
MAT.18.14	Tee' nari' napo' tee ee'nung Diuma paning-koong koonto' piavoa' narung toire'koo oki'nareka' makosinuka-koong paa'koo.”
MAT.18.15	“Naning da'marang-koonge oraka' nkoruko deeko' bera naueai bakaang oraka'nko dee' dee'ka otoresi, ee'noko da' taararuaing deeko' tee dake tampameng-koo barampeing tee. 
MAT.18.16	Teka da' taararuaruko deeko' nii'nara nii'noo' kenaankara da' ninka bokuereta nari' beriai tee-anko. Tee' nkoveko ookara kapoo'nanka makosina' masika' sira'paravaing kenaankarai nii'noo' beenaumoi ooaio'. 
MAT.18.17	Ee'noko napo' teing taara-koo piavoaruko deeko' dootuu'koo sira'peai. Ee'noko napo' dootuu'nupoong taara-koo piavoaruko deeko' koonto' mutaanang-koong-pina' nii'noo' taakisi nkanuka-koong-pina' nari' nkoveriaing. 
MAT.18.18	Masika' naurampimang, aming kapoo' dii'ke anke kansi'koo pinka'eriaing tee napo' paning-koo pinka'ari otoainge, ee'noko aming kapoo' anke kansi'koo dii'ke dapa'eriaing deeko', paning-koo tee' nari' dapa'ari otoainge. 
MAT.18.19	Napo' ee' naurampii'naang, dii'koo nii'naankai anke kansi'koo kapoo'koo kara naroompereta nia'kireko deeko' tee tee' nari' piaroreaina' nko-antavuaing teie Mma'ke paning-koonge. 
MAT.18.20	Ai' are' tokoo beenaumo nii'noo' kenaanka naro' poroainoo' nkaang miring-koo, ning tee teke teing-ankoi nari' o'noaing.”
MAT.18.21	Teketa Piitai pora Jiisuu' nia'uma aa'puu', “Ovoring, ninge naning mmarang-koong arekee'ning bateie tonta'antavampeu' ning oraka' nkomuko deeko'? Ai' ˜kemu'ka-taae?” 
MAT.18.22	Teka Jiisuu'ke maku'uma aa'puu', “Ninge ee' naurama'naang, ˜kemu'ka-taae deea', teka teing ˜kemu'ka-taa tampematomaing amutemu'ari ˜kemu'ka-taa kivora-namu'pie tonta'antaveaing tee da'maiko'.
MAT.18.23	“Tee'koo tee muu' paninung tee ee' oro'pari otong: Narung daurarong˜ otopeu'nung, ee'noko teie bakaning botovotonaa'nuka biikaang komaaru˜ tee-koo nkoau'ning nerivuu'naang piavou'. 
MAT.18.24	Teketa nerivuri otoko naning mmau' koko-kokorei' mooni' nkavuu'nung tee-anko po'antavau' bakaang komaaru narivuu'naang. 
MAT.18.25	Teketa pora teie moo' kasi-antavuaruio' teie bakaang ovoringe ee' minkuvuu', ‘Ookara-da', da'aang, ee'noko daurukaa', ee'noko dakaning kapoo'nanka baave-koong tee komaaru maku'aravaina'.’ 
MAT.18.26	Teketa teie botovotonaa' tee-koo uro'kanoo' miinge keemparara eentavarama aa'puu', ‘Io' si'mera batei ameko ookara kapoo'nanka maku'derompaing.’ 
MAT.18.27	Ee'noko teie bakaang ovoringe tee' oovura bakaang domang aa'na' piaavou' tee-koo, ee'noko unaa-antavuma tonta'evuu' tee bakaang komaaru.
MAT.18.28	Teka tee ee'nung botovotonaa' teketa tenkenura teie nii'nung botovotonaa' oovuu' napo' tee-koo nau kiina'nu komaaru oto'evuing. Ee'noko teie moo'ura keni'uma aa'puu', ‘Koonto' maku'memuai tee nkaang mooni' dake nkaveu'nung!’ 
MAT.18.29	Teketa tee ee'nung ba'maiko' doonko kinkinura eentavarama aa'puu', ‘Io' si'mera batei ameko maku'derompaing.’ 
MAT.18.30	Teka teie aroo'ua' tee' minkuarako, nka teie bera kiimatanava-koo dai'antavuu' teke otoo'naang bera tee komaaru maku'uainoo'ke basi.
MAT.18.31	Ee'noko nii'ning botovotonaa'nukai tee teie tee' nkovuko ooaara oraka' dee'orora berora tee biikaang ovoring nauau' ookara kapoo' teie nkovuu'nung. 
MAT.18.32	Teketa teie bakaang ovoringe tee botovotonaa' kuung bokuvuu'. Bokuvura aa'puu', ‘Da' tee bakei orara botovotonaa'! 
MAT.18.33	Ninge teing dakaning komaarunanka eentameio' ookara o'antareronsio' dake aming-koo tee da'maiko' nari' botovotonaa' piaavearui tee' ninge piaarantu'na' da'?’ 
MAT.18.34	Ee'noko teie bakaang ovoringe iiravoma tee kiimata-nupoong tanatanuka-anko kosi'uu' teke kiimatavari otoo'naang bera ookara komaarunanka maku'uainoo'ke basi.
MAT.18.35	Tee' ee'na' nari' teie Mma'ke paning-koonge dii' naruna' naruna' nkoruriaing dii'marang tonta'antaverereriaruko deeko' diikaang domang-eta.”
MAT.19.1	Teketa tenang Jiisuu'ke tee aung karananka minku bakevura Kaaleli'nameng sipura Judia'navora'aape pare'aru' Joo'dani-nari-koo amenka'koonoo'. 
MAT.19.2	Ee'noko nantoong karingai Jiisuu' siompai te' napo' berou', ee'noko teka taare-antavuru' teing. 
MAT.19.3	Ee'noko nii'ning boto keperuu'navitu nari' Jiisuu'anko pororai'nange aavavaama aa'pau', “Botoi ee taura'pui otong naninge ba'aang bata'koo baka piavoma deeko'?” 
MAT.19.4	Jiisuu'ke maku'urima aa'puru' teing, “Dii'ke ee deeruerima tasi'periaung tee Kumponinge pupu'uu'nang donkaani ee'noko manikuma nari' nkovuretu'na'? 
MAT.19.5	Ee'noko aa'pui otong Daari Meekung-koo,
MAT.19.5	‘Tee'koo donkaanie baumararing sipureta ba'aang ninka pinka'areaing, ee'noko tee tenaanka narung mono deempareaing.’ 
MAT.19.6	Enang tee, kenaanka deemparea' teka narung deemparesing. Tee'koo kapoo' Kumponinge be'nu'antavuu'nung naro'ka naninge tankaampuauka'nung.”
MAT.19.7	Ee'noko teinge nia'aama napo' aa'pau', “Teka Moosesie aming-koo taura'puma aa'puu',
MAT.19.7	‘Naninge ba'aang sipuma deeko' narung karavoto˜ daarivuaing nampeesi toto'puing tasi'anta-koo?’” 
MAT.19.8	Teketa Jiisuu'ke maku'urima aa'puu', “Moosesie tee' taura'puu'noo' dii'ankaampi si'koo tee dii' diikaang domang iveka'doriko, teka pupu'aru'noo'ke Kumponinge tee' minkuvua'. 
MAT.19.9	Teka ee' naurampimang ninge, baa tee naning ba'aange tutung kaukauro nkovuaruko bata'ura ee'noko oovunani nampura deeko' teie nampeesi orarivumaung.”
MAT.19.10	Teketa bakaning barevare-nupoonge aa'pau' tee, “Ei, bakei naning ba'aang ninka tee' nari' dai'aresi otoremaatoaing deeko' nantoong nampeesiaria' otoaing-koo tampa'.” 
MAT.19.11	Teketa Jiisuu'ke maku'uma aa'puru', “Tee' minkuerimatomana' ookara nantoonge aroo'aavarupeu', teing naing Kumponinge tee' oto'koo miru'urimaing deeko' tee' otoropeu'. 
MAT.19.12	Aa'nomaung-koo: nii'ning makosiaavaing ke'de-ita ponto'arikoo', ee'noko nii'ning nantoonge deeko' tuukavaarikoo', ee'noko nii'ning maroita nampeesi-koo piavoroarukoo' muu' paninung narung-koo kei'oroo'naang. Baa naning tee' oto'koo aroo'aravaing tee makosi tee' otoaing.”
MAT.19.13	Teketa toirekaa' oki'nareka' Jiisuu'anko tavo'aaru' Jiisuu'ke bireng pante'urira kunsivurii'naang teing. Teka teinge bakaning barevare-nupoonge poteaariko' teing tavo'aaru'ning. 
MAT.19.14	Ee'noko Jiisuu'ke aa'puu', “Teing toirekaa' taura'perereriko poroai ning-anko, para'ereria', ai' tee muu' paninung nantoong amurii' okovuriaing.” 
MAT.19.15	Teketa tenang bireng pante'urira teing-koo teketa tenkenuu'.
MAT.19.16	Enang tee teketa naning narung Jiisuu'anko pora nia'uma aa'puu', “Nau-anta, aming kapoo' tampara ninge nkoamira tee domaang oparavauka'nung kompampaing?” 
MAT.19.17	Jiisuu'ke maku'uma aa'puu' tee, “Dake aming-koo ning kapoo' tampara nkovepeu'nung-koo nia'memaang? Ai' Kumponing narung masikung tampara otong. Da' tee domaang oparavaung-koo tuntaraa'naang piarora deeko' dake tee bakaang botonanka siompeaing.” 
MAT.19.18	Teie aa'puu', “Boto areing?” Ee'noko Jiisuu'ke maku'uma aa'puu', “Aing ee' oro' botonanka:
MAT.19.19	‘Naning dupisi'eauka',
MAT.19.19	Nampeesi orarieauka',
MAT.19.19	Bakiaa' nkoveauka',
MAT.19.19	Daang-koo tuutunampeauka',
MAT.19.19	Daumararing deto noru'eresi pakuereaing,’ 
MAT.19.19	ee'noko
MAT.19.19	‘Dake tee naning da'koo due'nung daka piaararamana' nari' tee' piaaveaing.’” 
MAT.19.20	Ee'noko teie nemakai aa'puu', “Aing ookara teroita tanatavantu'ning, ai' aming kapoo' ninge mme' nkoampa'?” 
MAT.19.21	Jiisuu'ke maku'uma aa'puu' tee, “Dake ookara dupe-anta-koo piarora deeko' bera kapoo'nanka dakaning ookara baavevera mooni' nkavera ata'oi'nuka-koo tankaampeaing. Tee' nkovera Paning-koong kavonanka oto'deruaing. Ee'noko ning siomei poai.”
MAT.19.22	Ee'noko teie nemakai tee' taaravura teketa orarunsiari tenkenuu' tee kavokavoro mmau'po'nung deemparako. 
MAT.19.23	Jiisuu'ke tee' oovura bakaning barevare-nupoong nauvurima aa'puru', “Ninge masika' naurampimang dii', tee naning kapoo' mmau'po'nung bakei pore' masikung te' muu' paninung-koo tung-koo. 
MAT.19.24	Ee'noko napo' unampansi naurampii'naang, kaameli'navoro' bamaru'koong busie tumparavarupeu'na' bakei naning kavonanka-po'nung dau basinoo' makotua' Kumponing bakaang muu'koo tung-koo.”
MAT.19.25	Ee'noko tenang teinge bakaning barevare-nupoonge tee' minkuvuko taaravaara bakei aa'na' ta'ninau'. Ee'noko aa'pau', “Nka enang baa domaang moo'aravaing?” 
MAT.19.26	Ee'noko Jiisuu'ke teing oovurira aa'puru', “Nantoong bii'ka domaang moo'koo makosi deea', Kumponinge deeko' ookara kapoo' nko-koo makosi.” 
MAT.19.27	Teketa Piitai baari'uma aa'puu', “Aung ee, teka nii'ke ookara kapoo'nanka niikaning sipampiru'nung da' siontampima, ee'noko nii'ke aming nkavampiaing?” 
MAT.19.28	Jiisuu'ke maku'urima napo' aa'puru' teing, “Ninge masika' naurampimang, tenang ookara kapoo' neraka'paravainang, ning Tee Naning-naumpo' Paning-etaing teke nkanoo' ba'nava'nani'domai ovorimari ba'nanampainang paninung meenasie baumaritaa', tee' nari' napo' dii' kante ba'nantariri kara simpe'erimaatoaing teing kivora-ita kenaanka muu' Isireeli-nupoong-koo ovontuntariri. 
MAT.19.29	Ee'noko ookara nantoonge aing aa'ning nkaang miring pankaing-anta-koo sipau'ning: pavananka, biumaraang, biurukaa' toire', nii'noo' biikaang kansi', teinge tee daaku'namu'pie maku' nkavaavaing ee'noko napo' tee barenku domaang oparavaung-koong okovuriaing teing. 
MAT.19.30	Teka mmau' nantoong ureai otoromaing dama'ke dama'duariaing, ee'noko dama'duariri otoromaing ureaavai.”
MAT.20.1	“Tee muu' paninung tee tee-pina' oro', naning mintoonau-po'nung tero tane'ke bera nantoong bakanau-koo mintoong-koo bokuvuru'nung, na'mung doong-koo mintoompariko moo'koo namikue moo'urii'naang tampura; 
MAT.20.2	Ee'noko aroo'aririo' teie bakanau-koo botovuru'. 
MAT.20.3	Teketa napo' duaa' deto sirang poio' bera baaveromaa nii'ning nantoong tamung donkonaio' oovuru'. 
MAT.20.4	Ee'noko aa'puru' teing, ‘Dii' aing berira nkanau-koo mintoontariai, ee'noko ninge tee makosina' moo'dampiaing.’ Ee'noko teing berou' mintoong-koo. 
MAT.20.5	Teketa napo' duaaki'nang ee'noko kamunoo'nang napo' beu' bera tee' nari' tutung nkovuu'na' nkovuu'. 
MAT.20.6	Teketa napo' muung-aapenang berai'nange nii'ning nantoong tamung donkonaio' oovuru', ee'noko nia'uru' teing, aa'puru', ‘Dii' aming-koo tamung donkoniri otorimaang e'mung ootukuna'mung kapoo' nkoveria'?’ 
MAT.20.7	Teinge aa'pau', ‘Naninge bokumuriaruko tee' o'norimaang.’ Ee'noko teie aa'puru' teing, ‘Dii' napo' berira nkanoo'ke mintoontariaing, ee'noko moo' makosina' nkaveriaing.’
MAT.20.8	“Teketa muumpuko teie mintoong okovenunge teing bakaning mintoong-nupoong tarevuriko'ning bokuvura aa'puu', ‘Teing nantoong mintoomparirining bokuerira moo' averiaing asi'ning-eta bera tutuna'nupoong-koo basi.’ 
MAT.20.9	Teing mintoong-nupoong muung-aapenang bokuvurio' tutumpariru'ning poroio' moo'koo namikuna' avuru'. 
MAT.20.10	Tee'koo teing tutung bokuvurio' mintoong tutumpariru'ning mmau' nkavaavaing-pina' noru'ariru', teka teing napo' tee' namikuna' mono kante nkakau'. 
MAT.20.11	Ee'noko teinge tee' nkavaara minkuminkuau' tee mintoong okovenung, aa'paama, 
MAT.20.12	‘Dake aing dama' mintoong tutumparira narung aua mintoomparirining nii' uipaarii'koo aa'na' mintoomaririning ninka nari' basie moo'ering.’ 
MAT.20.13	Teka teie narung teing-koo karavuma aa'puu', ‘Ee mmaiko', ninge dii' oraka' nkorampia'. Aroo'eriaruinge ee temiku namiku mintoontarira nka-koo? 
MAT.20.14	Nkaverira aung diikaang moo' beriai. Teing dama' bokuaransing tee' nari' avu'koo piamoi o'nong. 
MAT.20.15	Oraka'ke kapoo' nkaang mooni' ninge piamopeu'na' nari' nko-koo? Ai' dii' domang oraru'kiring ee ning tampa' avusiro'mario'?’ 
MAT.20.16	Tee' nari' teing nantoong dama'du-nupoong teing ureaavaining, ee'noko ureaamaing teing dama'duariaining.”
MAT.20.17	Enang tee Jiisuu' uroitaa' Jerusalema'aape daanto beroma bakaning nanai'keta kenaankara barevare-nupoong taapo' tonta'urira teka aa'puru' teing, 
MAT.20.18	“Aing ee, Jerusalema'aape merimang ee'noko teka ee'noo'ka naninge tooka kompui ning Tee Naning-naumpo' Paning-etaing taura'muu'naang aa'ning-koo Piristi'nuka-koo ovontung ee'noko boto naunuka, ee'noko teinge tee ning dupisi'koo manemaavaing. 
MAT.20.19	Ee'noko teinge Ju'deeaing-anko si'maavaing teka akapeu'maama mura'maava'naang, ee'noko aa'barata'koo bi'maara dupisi'maavaing. Teketa beenang doong deemparako napo' daa'maravaing.”
MAT.20.20	Teketa napo' Siebedi baurinketa beuko Jiisuu'anko pou' baurinketa ninka. Pora uro'kanoo' kinkinura eentavaru'. 
MAT.20.21	Jiisuu'ke aa'puu', nia'uma, “Da' aming kapoo' piaromaang?” Ee'noko tenie aa'puu', “Amainta nnurinketa dake enang ee' miru'ereaing narung tampavine-aape ba'nanuaing ee'noko narung mare'aanavine-aape da'koo tenang da' daurarong deentaravainang.” 
MAT.20.22	Teketa Jiisuu'ke temainta aa'puretu', “Dee'ke noru'erea' tee kapoo' eentameremaatomaung. Dee'ke ee teru' ntonaru' oraka' dee'naru' ning naikampainaru' naikirepeu'? Ee'noko tee sisikeera ning meeka'antamaravainge ee meeka'antararepeu'?” Ee'noko temaintai maku'urema aa'puretu', “Ee', nee' makosira.” 
MAT.20.23	Teketa Jiisuu'ke aa'puretu', “Ee', masika' dee'ke naiereaing teru' nkanareng-eta, ee'noko tee' sisikeerai meeka'antarareainge ning meeka'antamaravaina', teka tee ba'nava'nani' ning-koo tampavine-koo nii'noo' mare'aanavine-koo ning-koo ninge miru'koo makosi deea'. Teie Mma'ke bampuu'na' ba'nantareaing.”
MAT.20.24	Ee'noko teinge napo' nanai'ke tee' taaravaara teinge iikoo'aaretu' temainta. 
MAT.20.25	Teketa Jiisuu'ke ookara naro' bokuvurira aa'puru', “Dii'ke noru'eri otong teing nantoong Ju'deeaing-kooning urantanuka bii'ka ovontumparimaing ee'noko biikaning pankenankai biikaang iri'ke nantoong etuaarikoo'. 
MAT.20.26	Teka dii'koo tee' nkoaravauka'nung. Ee' nkoaravaing dii'koo: baa tee naning Kumponing bakaang duta-koo pankaimparaa'naang piavoaing dii'koo meu'ke tee tee ee'nung pakupakunung deemparavaing. 
MAT.20.27	Ee'noko napo' baa tee naning dii'koo dau basi deemparaa'naang piavoaing tee tee ee'nung napo' dii'koo botovotonaa' otoaing. 
MAT.20.28	Ning Tee Naning-naumpo' Paning-etaing tee'ke, kansi'koo ovoring-pina' oto'koo moa', teka pakupakunung deemaraa'naang mou'nung, ee'noko nkaang domaang dua'koo teing-koo mmau' boo'keta simpiri'arii'naang.”
MAT.20.29	Teketa tenang Jiisuu' teing ninka bakaning barevare-nupoong Jerikoo'namono sipaara beroko nantoong karingai siompau' tee. 
MAT.20.30	Kenaanka naninka kaputu'ka taung miiringe ba'nanuresi otoreko', ee'noko tenang tee Jiisuu' teketa tankinuko taaravureta tenaanka bokurema aa'puretu', “Ovoring, Deevita' bakanaving-koong, piaamereai nee'.” 
