GEN.1.2	Erd vikîvala û bêşikil bû, tariyê kûrahî rapêçabû. Ruhê Xwedê li ser rûyê avê digeriya.
2SA.5.12	Bi vî awayî Dawid fêm kir ku Xudan wî li ser Îsraîlê kiriye padîşah. Çimkî ji bo xatirê gelê wî Îsraîlê, padîşahiya wî mezin kir.
2SA.5.13	Piştî ku Dawid ji Hevronê vegeriya, li Orşelîmê dîsa ji bo xwe cariye û jin anîn. Dawid dîsa bû bavê kur û keçan. 
2SA.5.14	Navê zarokên Dawid yên ku li Orşelîmê çêbûn ev in: Şammûa, Şovav, Natan, Silêman, 
2SA.5.15	Yîvhar, Êlîşûa, Nefeg, Yafiya, 
2SA.5.16	Êlîşama, Êlyada û Êlîfelet.
2SA.5.17	Dema ku Filîstî bihîstin Dawid li ser Îsraîlê wek padîşah hatiye kifşkirin, hemû artêşa Filîstî ji bo li Dawid bigerin ketin rê. Dawidê ku bi vê yekê hesiya, çû kelehê. 
2SA.5.18	Filîstî hatibûn û li Deşta Refayîmê belav bibûn. 
2SA.5.19	Dawid ji Xudan pirs kir û got: «Ez êrîşî Filîstiyan bikim, tê wan radestî min bikî?»
2SA.5.19	Xudan jê re got: «Bike, bêguman ezê wan radestî te bikim.»
2SA.5.20	Li ser vê yekê Dawid çû Baal-Perasîmê û li wê derê Filîstiyan têk bir. Paşê got: «Çawa av her tiştî biqelêşe û derbas dibe, Xudan dijminên min ji pêşiya min qelaştin û derbas bû.» Ji ber vê yekê, navê wir danîn Baal-Perasîm
2SA.5.21	Filîstiyan pûtên xwe li wir hiştin. Dawid û zilamên wî jî wan birin û çûn.
2SA.5.22	Filîstî careke din hatin û li Deşta Refayîmê belav bûn. 
2SA.5.23	Dawid ji Xudan pirsî. Xudan jê re got: «Ji vî aliyê ve êrîş neke! Wan ji paş ve dorpêç bike û li ber darên belesanê êrîşî wan bike. 
2SA.5.24	Gava ku te ji jora darên belesanê dengê meşê bihîst, bilezîne. Maneya vê ev e; ji bo ku artêşa Filîstiyan têk bibim, ez li pêş te çûme.» 
2SA.5.25	Dawid li gorî emrê Xudan kir û ji Gevayê heta Gezerê, Filîstî têk birin.
2SA.6.1	Dawid hemû zilamên bijare yên li Îsraîlê civandin. Hejmara wan sî hezar kes bû. 
2SA.6.2	Dawid û artêşa wî rabûn çûn Baalaya Cihûdayê
2SA.6.3+2SA.6.4	Sindoqa Xwedê, ji mala Avînadavê li ser gir hildan û danîn ser erebeyeke nû. Herdu kurên Avînadav, Ûzza û Ahyo erebeya nû ya ku Sindoqa Xwedê li ser bû, diajotin. Ahyo li pêşiya Sindoqê dimeşiya. 
2SA.6.5	Dawid û tevahiya Mala Îsraîl li ber Xudan, bi hemû hêza xwe li çeng, tembûr, def, zîl û zengilan dixistin.
2SA.6.6	Dema ku gihîştin ser Bêndera Naxon ga terpilîn. Ûzza destê xwe dirêj kir Sindoqa Xwedê girt. 
2SA.6.7	Hêrsa Xudan li Ûzzayê ku bi bêrûmetî tevgeriya re rabû û wî li erdê xist. Ew li wir, li kêleka Sindoqa Xwedê mir.
2SA.6.8	Dawid hêrs bû ku Xudan li Ûzza xist. Ji wê rojê û pê ve ji vir re Pêrês-Ûzza
2SA.6.9	Dawid wê rojê ji Xudan tirsiya û got: «Çawa dibe ku Sindoqa Xudan tê ba min?» 
2SA.6.10	Êdî nexwest ku Sindoqa Xudan bi xwe re bibe Bajarê Dawid. Ji dêla wê ew bir mala Ovêd-Edomê Gatî. 
2SA.6.11	Sindoqa Xudan li mala Ovêd-Edomê Gatî sê mehan ma. Xudan Ovêd-Edom û hemû malbata wî pîroz kir.
2SA.6.12	Ji Padîşah Dawid re wiha gotin: «Xudan ji ber Sindoqa Xwedê Ovêd-Edom, hemû malbata wî û her tiştê wî pîroz kir.» Bi vî awayî Dawid çû û Sindoqa Xwedê ji mala Ovêd-Edom bi kêfxweşî anî Bajarê Dawid. 
2SA.6.13	Yên ku Sindoqa Xudan hildigirtin piştî ku şeş gav avêtin, Dawid conegayek û golikekî dermale qurban kirin.
2SA.6.14	Dawidê ku kirasê kahintiyê
2SA.6.15	Dawid û tevahiya Mala Îsraîl, bi qîrînên kêfê û dengê boriyê, Sindoqa Xudan dianî. 
2SA.6.16	Dema ku Sindoqa Xudan gihîşt Bajarê Dawid, Mîkala keça Şawûl di pencerê re nêrî. Dema ku dît Padîşah Dawid li pêşberî Xudan direqise û lotikan davêje, Mîkalê di dilê xwe de ew biçûk dît.
2SA.6.17	Sindoqa Xudan anî û li cihê ku Dawid ji bo wê, di hûndirê konê de çêkiriye danî. Dawid qurbanên aştî û şewitandinê pêşkêşî Xudan kirin. 
2SA.6.18	Piştî ku Dawid qurbanên aştî û şewitandinê pêşkêş kirin, bi navê Xudanê Karîndar gel pîroz kir. 
2SA.6.19	Li wir li tevahiya jin û mêran, li hemû civaka Îsraîlê her kesî naneke somin û nanikên xurme û tirî belav kirin. Paşê hemû vegeriyan malên xwe.
2SA.6.20	Dema ku Dawid ji bo pîrozkirina malbata xwe vegeriya malê, Mîkala keça Şawûl derket derve ku pêşwaziya wî bike. Ji Dawid re got: «Padîşahê Îsraîlê, îro çi navekî xweş bi pey xwe xist! Mîna kesekî bêqîmet, te xwe li ber xulam û cariyên xwe tazî kir.»
2SA.6.21	Dawid got: «Ez li ber Xudan reqisîm. Çimkî wî ez li cihê bavê te û hemû ziriyeta wî hilbijartim û wek serwer li ser gelê xwe Îsraîlê şandim! Helbet ezê li ber Xudan bireqisim! 
2SA.6.22	Bi ser de ezê xwe ji vê û zêdetir jî biçûk bixim, ezê xwe tu tişt nebînim. Ew cariyên tu behsa wan dikî jî, min rûmetdar dikin.»
2SA.6.23	Mîkala keça Şawûl heta roja mirinê jî zarok neanîn.
2SA.7.1	Padîşah li qesra xwe bi cih bibû. Xudan jî ew ji hemû dijminên derdora wî parast û rihetî da wî.
2SA.7.2	Padîşah ji Natanê Pêxember re got: «Va ye, ez di mala dara sedrê de rûdinim. Lê Sindoqa Xwedê di konekî de ye!»
2SA.7.3	Natan ji padîşah re got: «Here hemû tiştên tu difikirî pêk bîne. Xudan bi te re ye.»
2SA.7.4	Wê şevê peyva Xudan ji Natan re hat û got: 
2SA.7.5	«Here ji xulamê min Dawid re bêje: ‹Xudan dibêje: Ji bo ku ez tê de rûnim, tê ji min re malekê ava bikî? 
2SA.7.6	Ji roja ku min gelê Îsraîlê ji Misrê derxist û vir ve, ez di malê de qet rûneniştime. Ez di kon de, vir de wir de diçûm û dihatim. 
2SA.7.7	Li her dera ku ez bi tevahiya Îsraîliyan re çûmê, ma min heta îro ji tu rêberekî Îsraîlê yê ku şivantiya gelê min dike re gotiye: We çima ji bo min maleke ji dara sedrê ava nekir?›
2SA.7.8	«Niha ji xulamê min Dawid re bêje: ‹Xudanê Karîndar wiha dibêje: Ji bo tu serweriyê ji gelê min ê Îsraîlê re bikî, min te ji mêrgan, ji şivantiya ber pêz anî. 
2SA.7.9	Tu bi ku ve diçûyî, ez bi te re bûm. Min hemû dijminên te, ji ber te tune kirin. Ezê navê te mîna navên mirovên mezin ên vê dinyayê mezin bikim. 
2SA.7.10+2SA.7.11	Min ji gelê xwe Îsraîlê re cihekî hilbijart û ezê li wir bi cih bikim. Bila êdî li welatê xwe rûnin, bila careke din, neyên acizkirin. Kesên xerab jî, çawa ji roja min rêber danîn ser Îsraîlê heta niha zordarî kirin, bila êdî zorê li wan nekin. Ezê te ji tevahiya dijminên te xilas bikim û rihetiyê bidim te.
2SA.7.10+2SA.7.11	«‹Xudan dibêje ku ewê ji te re malekê ava bike. 
2SA.7.12	Dema tu bimirî û bigihîjî bav û kalên xwe, ezê piştî te yekî ji ziriyeta te derînim û padîşahiya wî xurt bikim. 
2SA.7.13	Yê ku ji bo navê min malekê ava bike ew e. Ezê jî textê padîşahiya wî her û her bidomînim. 
2SA.7.14	Ezê bibim bavê wî, ewê bibe kurê min. Dema ku xerabiyê bike, ezê bi darê mirovan, bi lêdana mirovan wî bînim rê. 
2SA.7.15	Lê ezê dilsoziya xwe ji te texsîr nekim. Ew kerema ku min li ber te ji Şawûl standibû, ezê tu caran ji te nestînim. 
2SA.7.16	Wê mal û padîşahiya te her û her li ber çavên min be, textê te jî her û her xurt bimîne.›»
2SA.7.17	Natan tevahiya van gotin û dîtiniyan ji Dawid re got.
2SA.7.18	Li ser vê yekê Padîşah Dawid hat li ber Xudan rûnişt û wiha got: «Ya Reb Xudan, ez kî me, ka malbata min çi ye ku te ez xistim vê rewşê? 
2SA.7.19	Ya Reb Xudan, bi ser de jî, te derbarê pêşeroja mala xulamê xwe de jî soz da. Ya Reb Xudan, ma tu bi mirovan re herdem wisa tevdigerî? 
2SA.7.20	Ka ez wekî din çi dikarim ji te re bêjim! Ji ber ku ya Reb Xudan, tu xulamê xwe nas dikî. 
2SA.7.21	Ji bo xatirê gotina te û li ser daxwaza te, te ev mezinahî kir û ji xulamê xwe re got.
2SA.7.22	«Tu mezin î, ya Reb Xudan! Yekî ku bişibe te tune. Ji bilî te Xwedê jî tune! Me ev bi guhên xwe bihîstiye. 
2SA.7.23	Li dinyayê miletekî ku bişibe gelê te yê Îsraîlê jî tune. Ji bo ku bibin gelê te, tu çûyî ji bo wan rizgar bikî. Ji bo wan, ji bo gelê xwe te bi karên mezin û tirsehêz nav û deng da. Te miletên din û îlahên wan, ji ber gelê xwe qewirandin ku te ew ji bo xwe ji Misrê rizgar kiribû. 
2SA.7.24	Te hîmê gelê xwe yê Îsraîlê danî. Ya Xudan her û her ew gelê te ye, tu jî Xwedayê wan î.
2SA.7.25	«Ya Xudan Xwedê, peyva xwe ya te di heqê xulamê xwe û mala wî de gotibû heta hetayê pêk bîne. Çawa ku te got bike. 
2SA.7.26	Ji bo ku mirov bibêjin: ‹Xudanê Karîndar, Xwedayê Îsraîl ye!›, navê te heta hetayê bi rûmet be û mala xulamê te Dawid jî li ber çavê te xurt bibe.
2SA.7.27	«Ya Xudanê Karîndar, Xwedayê Îsraîl! Te ji xulamê xwe re got: ‹Ezê ji bo te malekê deyne.› Ji ber vê yekê xulamê te, ji bo duayê ji te re bike, wêrek bû. 
2SA.7.28	Ya Reb Xudan, tu Xwedê yî! Gotinên te rast in û te ji xulamê xwe re vî tiştê baş got. 
2SA.7.29	Niha ji bo ku heta hetayê li ber te bidome, ez hêvî dikim ku tu mala xulamê xwe pîroz bikî. Ji ber ku ya Reb Xudan, te wiha soz da û wê mala xulamê te bi pîrozkirina te heta hetayê pîroz bibe.»
2SA.8.1	Piştî demekê Dawid Filîstiyan têk bir û ew kirin bin nîrê xwe û Meteg-Ammayê ji destên Filîstiyan derxist.
2SA.8.2	Wî Moaviyan jî têk bir. Wan bi awayekî dirêjkirî rêz kirin û bi benikê pîva. Herdu rêzên ku pîva kuşt, rêzek hemû sax hişt. Moavî bûn xulam û bacdarên Dawid.
2SA.8.3	Dawid, Hadadezerê kurê Padîşahê Sovayê Rehovî têk bir. Wî dixwest careke din padîşahiya xwe li Çemê Firatê ava bike. 
2SA.8.4	Dawid hezar û heft sed siwarî û bîst hezar peyayên wî girtin. Sed hespên ji bo erebeyên şer ne tê de, wî hemû hesp seqet kirin.
2SA.8.5	Aramiyên Şamê ji bo ku piştgiriya Hadadezerê Padîşahê Sovayê bikin hatin. Dawid ji Aramiyan bîst û du hezar kes kuştin. 
2SA.8.6	Paşê li welatê Aramiyên Şamê, leşkerên xwe bi cih kirin. Ew jî bûn xulam û bacdarên wî. Dawid bi ku ve çû Xudan ew bi ser xist.
2SA.8.7	Dawid mertalên zêr ên di destên serleşkerên Hadadezer de hildan û ew birin Orşelîmê. 
2SA.8.8	Herwiha ji Betah û Bêrotayê gelek tûnc talan kir ku ev herdu bajar di bin destê Hadadezer de bûn.
2SA.8.9	Toiyê Padîşahê Hamatê bihîst ku Dawid hemû artêşa Hadadezerê belav kiriye. 
2SA.8.10	Toî, ji bo ku silavê bide Padîşah Dawid û serketina wî ya li dijî Hadadezer pîroz bike, kurê xwe Yoram şand ba wî. Çimkî Toî herdem li dijî Hadadezer şer kiribû. Di destê Yoram de diyariyên ji zêr, zîv û tûnc hebû. 
2SA.8.11	Padîşah Dawid zêr û zîvên ji miletên ku têk biribûn, pêşkêşî Xudan kir. 
2SA.8.12	Wî zora Aramiyan, Moaviyan, Ammoniyan, Filîstiyan û Amalêqiyan biribû û ew ji wan standibûn. Bi ser de jî wî talanê Hadadezerê kurê Rehovê Padîşahê Sovayê jî biribû. Wî hemûyan pêşkêşî Xudan kir.
2SA.8.13	Nav û dengê Dawid bilind bû. Gava vegeriya li Geliyê Xwê hijdeh hezar Edomî kuştin
2SA.8.14	Li her derên Edomê leşkerên xwe bi cih kirin. Edomî bûn xulamên Dawid. Xudan li her derî Dawid serfiraz kir.
2SA.8.15	Dawid li seranserê Îsraîlê padîşahî kir. Wî rastî û edaletê da gelê xwe. 
2SA.8.16	Yoavê kurê Serûyayê, serleşkerê artêşê bû. Yehoşafatê kurê Ahîlûd dîroknivîsê dewletê bû. 
2SA.8.17	Sadoqê kurê Ahîtûv û Ahîmelekê kurê Aviyatar kahin bûn. Seraya nivîsende bû. 
2SA.8.18	Benayayê kurê Yehoyada serbazê parêzvanên Dawid, Kerêtî û Peletiyan bû. Kurên Dawid jî kahin bûn.
2SA.9.2	Bi navê Sîva xulamekî Mala Şawûl hebû. Ew anîn ba padîşah. Dawid jê pirsî: «Sîva tu yî?»
2SA.9.2	Wî jî got: «Belê ez im, ezbenî.»
2SA.9.3	Sîva got: «Kurekî Yonatan heye ku ji herdu lingan kulek e.»
2SA.9.4	Padîşah pirsî: «Ew li ku ye?»
2SA.9.4	Sîva bersiv da û got: «Li Lo-Devarê, li mala Maxîrê kurê Emmiyêl e.» 
2SA.9.5	Li ser vê yekê, padîşah ji mala Maxîr gazî kurê Yonatan kir.
2SA.9.6	Dema ku ew hat ba Dawid, li ber wî xwe tewand.
2SA.9.6	Dawid got: «Mefîboşêt
2SA.9.6	Mefîboşêt lê vegerand: «Belê ez im ezbenî.»
2SA.9.7	Dawid jê re got: «Netirse. Ji bo xatirê bavê te Yonatan, ezê qenciyê li te bikim. Hemû axa bapîrê te Şawûl ezê li te vegerînim. Tê herdem li ser sifra min xwarinê bixwî.»
2SA.9.8	Mefîboşêt serê xwe tewand ber xwe û got: «Ma ez xulamê te kî me ku tu bi kûçikekî wekî min mirî re eleqedar dibî?»
2SA.9.9	Padîşah Dawid şand pey Sîvayê xulamê Şawûl û jê re got: «Min her tiştên ku ji berê de yên Şawûl û malbata wî bûn da neviyê wî Mefîboşêt. 
2SA.9.10	Tu, kurên xwe û xulamên xwe hûnê zeviyên wî bajon û berê wan ji wî re bibin ku pêdiviya xwarina neviyê mezinê we peyda bibe. Wê neviyê xweyê te Mefîboşêt, herdem li ser sifra min xwarinê bixwe.» Panzdeh kur û bîst xulamên Sîva hebûn.
2SA.9.11	Sîva got: «Ezê hemû fermanên xweyê xwe padîşah pêk bînim.» Mefîboşêt wekî kurekî padîşah li ser sifra wî xwarin xwar. 
2SA.9.12	Bi navê Mîka kurekî biçûk ê Mefîboşêt hebû. Hemû kesên Sîva xizmeta Mefîboşêt dikir. 
2SA.9.13	Mefîboşêt li Orşelîmê dima. Herdem nanê li ser sifra padîşah dixwar. Ew ji herdu piyên xwe kulek bû.
2SA.10.1	Piştî demekê Padîşahê Ammoniyan mir, kurê wî Hanûn li cihê wî bû padîşah. 
2SA.10.2	Dawid ji xwe re got: «Ji ber ku bavê wî qenciyê bi min kiriye, ezê jî qenciyê li Hanûnê kurê Nahaş bikim.» Li ser mirina bavê wî, ji bo sersaxiyê, peywirdar şandin Hanûnê.
2SA.10.2	Dema peywirdarên Dawid gihîştin welatê Ammoniyan, 
2SA.10.3	rêberên Ammoniyan, xweyên wan ji Hanûn re gotin: «Ji bo ku Dawid van zilaman şand ba te, tu dibêjî qey, Dawid rêzdariya wî li gel bavê te heye? Dawid ji bo ku bajêr nas bike, sixûriyê bikin û hilweşînin ew zilam ji te re şandine.»
2SA.10.4	Li ser vê yekê, Hanûn zilamên Dawid dan girtin. Nîvê rihên wan da qusandin. Kirasên wan heta qorikê wan jê kir û ew bi paş ve vegerandin.
2SA.10.5	Gava Dawid bihîst, şand pey wan. Çimkî zilamên wî pir şerm dikirin. Padîşah got: «Heta rihê we dirêj bibe, li Erîhayê bimînin, paşê vegerin.»
2SA.10.6	Gava Ammoniyan dît ku li ber çavê Dawid reş bûne, wan xeber şand Bêt-Rehov û Sovayê. Bîst hezar leşkerên peya yên Aramî, Padîşahê Maexayê û hezar leşkerên wî ji gelê Tovê jî diwanzdeh hezar zilam kirê kirin. 
2SA.10.7	Gava ku Dawid ev yek bihîst, Yoav û tevahiya mêrxasên xwe yên artêşê şandin. 
2SA.10.8	Ammonî rabûn li ber dergehê bajêr tevdîra şer kirin. Sova û Rehovê Aramiyan, gelê Tovê û zilamên Maexa jî, li derveyî bajêr amadehiya şer kirin.
2SA.10.9	Yoavê ku li pêş û paş yekîneyên neyaran dîtin, ji leşkerên bijare ên Îsraîliyan hinekên baş hilbijartin û ew li dijî Aramiyan bi cih kirin. 
2SA.10.10	Yekîneyên mayî jî, xist bin fermandariya Avîşayê birayê xwe û ew li dijî Ammoniyan bi cih kirin. 
2SA.10.11	Yoav got: «Heger Aramî zora min bibin, were aliyê min. Lê heger Ammonî zora te bibin, ezê bêm aliyê te. 
2SA.10.12	Wêrek bin! Ji bo xatirê bajarên gelê xwe û Xwedayê xwe, divê em wêrek bin! Bila Xudan bi ya xwe bike.»
2SA.10.13	Dema Yoav û kesên pê re, ji bo li dijî Aramiyan şer bikin xwe avêtin pêşiyê, Aramî ji ber wan reviyan. 
2SA.10.14	Ammoniyên ku dîtin ew direvin, ji ber Avîşay reviyan û ketin bajêr. Li ser vê yekê Yoav bi Ammoniyan re şer nekir û vegeriya Orşelîmê.
2SA.10.15	Aramî li ber Îsraîliyan têk çûn. Loma jî hatin ba hev. 
2SA.10.16	Hadadezer xeber şand û gazî Aramiyan kir ku li rojhilatê Çemê Firatê bûn. Aramî di bin fermandariya Şovaxê fermandarê artêşa Hadadezer de çûn Hêlamê.
2SA.10.17	Dema Dawid bi vê yekê hesiya, artêşa Îsraîlê da hev. Çemê Ûrdunê derbas kir û gihîşt Hêlamê. Aramî li dijî Dawid ketin sefan û pê re şer kirin. 
2SA.10.18	Lê belê Aramî ji ber Îsraîliyan reviyan. Dawid ji wan heft sed şerkerên erebeyên şer û çil hezar leşkerên siwarî kuştin. Li Şovaxê fermandarê artêşa Hadadezer jî xist û ew li wir mir. 
2SA.10.19	Hemû padîşahên di bin fermandariya Hadadezer de têk çûn. Loma bi Îsraîliyan re rûniştin, serî li ber wan tewandin.
2SA.10.19	Piştî vê yekê êdî Aramî nema alîkariya Ammoniyan kir.
2SA.11.2	Carekê Dawid berê êvarê ji nav nivînên xwe rabû, çû ser banê qesrê li wê derê geriya. Dît ku jinek li ser bên serê xwe dişo. Jinik pir xweşik bû. 
2SA.11.3	Dawid ji bo ku fêm bike ew kî ye kesekî şand.
2SA.11.3	Zilam got: «Jinik Bat-Şevaya keça Êliyam û jina Ûriyayê Hîtîtî ye.» 
2SA.11.4	Dawid ji bo ku jinikê bînin, qasid şandin. Jinik hat ba Dawid. Dawid bi jinikê re raza ku demek berê ji adet pak bibû. Dawiyê jinik vegeriya mala xwe. 
2SA.11.5	Jinikê fêm kir bi zaro maye. Ji Dawid re xeber şand û got: «Ez bi zaro me.»
2SA.11.6	Li ser vê yekê, Dawid, bi Yoav re xeber şand ku Ûriyayê Hîtîtî were ba wî. Yoav Ûriya şand ba Dawid. 
2SA.11.7	Ûriya hat ba wî, Dawid pirsa Yoav, artêşê û rewşa şer, jê kir. 
2SA.11.8	Paşê ji Ûriya re got: «Here mala xwe, li kêfa xwe binêre.» Ûriya ji qesrê derket, Dawid xelatek li pey şand. 
2SA.11.9	Lê belê, Ûriya neçû mala xwe, li gel hemû zilamên padîşahê xwe, li ber dergehê qesrê raza.
2SA.11.10	Dema Dawid pê hesiya ku Ûriya neçûye malê, jê pirsî: «Ev demeke dirêj e tu ne li malê yî, westiyayî çima neçûyî mala xwe?»
2SA.11.11	Ûriya bersiv da û got: «Sindoq jî, Îsraîlî û Cihûdayî jî, li çardaxê dimînin. Fermandarê min Yoav û zilamên xweyê min li çolan dimînin. Di vê rewşê de, ezê çawa karibim bikevim mala xwe ji bo ku ez bixwim vexwim û bi jina xwe re razim? Bi serê te ezê qet tiştekî wiha nekim.»
2SA.11.12	Li ser vê yekê Dawid got: «Îşev jî li vir bimîne, ezê sibe te bişînim.» Ûriya wê rojê û roja din jî li Orşelîmê ma. 
2SA.11.13	Dawid şand pey Ûriya. Heta ku ew serxweş kir, pê da xwarin û vexwarin. Dema bû êvar Ûriya ji bo ku raze, bi zilamên xweyê xwe re çû cihê razanê. Dîsa neçû mala xwe.
2SA.11.14	Serê sibê Dawid nameyek ji Yoav re nivîsand û bi Ûriya re şand. 
2SA.11.15	Di nameyê de nivîsand: «Ûriya di eniya herî dijwar a şer de bi cih bike û xwe ji berê bide alî da ku bê kuştin.»
2SA.11.16	Dema Yoav bajar dorpêç kir, Ûriya li cihê ku dizanibû zilamên egîd li wê derê ne bi cih kir. 
2SA.11.17	Xelkê bajêr derketin bi leşkerên Yoav re şer kirin. Ji leşkerên Dawid hin kes hatin kuştin. Ûriyayê Hîtîtî jî, di nav kuştiyan de bû.
2SA.11.18	Yoav ji bo ku hal û meseleyên şer ji Dawid re bêje, qasidekî şand. 
2SA.11.19	Ji qasid re got: «Hal û mesela şer ji padîşah re bêje. 
2SA.11.20	Heger padîşah hêrs bibe û ev pirs ji te bike: ‹Ji bo ku bi wan re şer bikin, hûn çima evqas nêzîkî bajêr bûn? Ma we nizanibû ku wê ji ser bircan tîran bavêjin we? 
2SA.11.21	Ma nayê bîra we ku Avîmelekê kurê Yerûbbeşet
2SA.11.22	Qasid rabû çû. Dema hat ba Dawid, hemû gotinên Yoav ji Dawid re gotin: 
2SA.11.23	«Ew zilam ji me xurtir derketin. Ji bajêr derketin li çolê bi me re şer kirin. Lê me ew, ber bi dergehê bajêr ve ajotin. 
2SA.11.24	Li ser vê yekê tîravêjan ji ser bircan tîr barandin. Ji zilamên padîşah hinek mirin; xulamê te Ûriyayê Hîtîtî jî mir.»
2SA.11.25	Dawid ji qasid re got: «Ji Yoav re bêje: ‹Bila ev bûyer te xemgîn neke! Ne diyar e ku wê di şer de kî bimire. Êrîşeke dijwar bibin ser bajêr û wêran bikin!› Bi van gotinan wêrekiya wî zêde bike.»
2SA.11.26	Jina Ûriya, gava bi mirina mêrê xwe hesiya, şîna wî kir. 
2SA.11.27	Gava wextê şînê derbas bû, Dawid qasid şand pey wê û ew anî qesra xwe. Ew bû jina wî û kurek jê re anî.
2SA.11.27	Lê ev tiştê Dawid kir bi Xudan xweş nehat.
2SA.12.2	Gelek pez û dewarên kesê dewlemend hebûn. 
2SA.12.3	Lê kesê feqîr, ji bilî berxekê pê ve tiştekî wî tunebû. Wî ew berx ji xwe re kirîbû û xweyî dikir. Berx li ba wî, tevî zarokên wî mezin bû. Ji xwarina zilam dixwar vedixwar, di paşila wî de radiza. Wekî keçika wî bû. 
2SA.12.4	Paşê, rojek rêwiyek hat ba mirovê dewlemend. Zilam ji bo ku ji merivê xwe re xwarin amade bike, dil neda ku ji mih an jî dewarên xwe yekî serjê bike, çû berxa feqîr anî û ji mêvanê xwe re serjê kir.»
2SA.12.5	Dawid li mirovê dewlemend pir hêrs bû, ji Natan re got: «Bi navê Xudanê Jîndar, kesê ku wiha kiriye mirinê heq dike! 
2SA.12.6	Ji ber ku wiha kiriye û li ber neketiye, divê ji dêla berxê ve, çar qatê wê bide.»
2SA.12.7	Li ser vê yekê Natan ji Dawid re got: «Ew mirov tu yî! Xudan Xwedayê Îsraîl dibêje: ‹Min te ji bo Îsraîlê kifş kir û ji destê Şawûl xilas kir. 
2SA.12.8	Min mala xweyê te da te, min jinên wî jî xist paşila te. Min Mala Îsraîl û Cihûda jî da te. Heger ev hindik bûna, minê hê jî bida te! 
2SA.12.9	Te çima ew tişt di çavê Xudan de xerab e kir û te peyva wî kêm dît? Te Ûriyayê Hîtîtî bi şûr kuşt, te bi şûrê Ammoniyan ruhê wî stand. Te jina wî jî ji xwe re anî. 
2SA.12.10	Loma jî wê tu caran şûr ji ser mala te kêm nebe. Çimkî te jina Ûriyayê Hîtîtî ji xwe re anî û ez bêrûmet kirim.›
2SA.12.12	Belê, te ew kar bi dizî kir, lê ezê vê yekê li ber çavê hemû gelê Îsraîlê di nava rojê de bikim!›»
2SA.12.13	Dawid got: «Min li ber Xudan guneh kir.»
2SA.12.13	Natan jê re got: «Xudan gunehê te efû kir, tê nemirî. 
2SA.12.14	Lê tu bi vê yekê bûyî sedem ku dijminên wî Xudan kêm bibînin. Loma jî ev kurê te yê bûye, wê bimire.» 
2SA.12.15	Piştre Natan vegeriya mala xwe.
2SA.12.15	Xudan li wî zarokî xist. Kir ku zarokê ji jina Ûriyayê ku ji Dawid bû nexweş bikeve. 
2SA.12.16	Dawid ji bo zarok, lavayî Xwedê kir û rojî girt; çû mala xwe û şevên xwe bi raketina li erdê derbas kir.
2SA.12.17	Rîspiyên qesrê hatin ku wî ji erdê rakin. Lê Dawid nexwest ji erdê rabe, xwarinê jî bi wan re nexwar. 
2SA.12.18	Roja heftan zarok mir. Peywirdarên Dawid tirsiyan ku xebera mirina zarok bidin Dawid. Ji ber ku digotin: «Hê zarok sax bû em pê re axivîn, lê guhdariya me nekir. Niha emê çawa jê re bêjin zarok miriye? Ewê tiştekî bîne serê xwe.»
2SA.12.19	Gava Dawid dît peywirdar di nav xwe de dikin pistepist, fêm kir ku zarok miriye. Ji wan pirsî: «Ma zarok mir?»
2SA.12.19	Gotin: «Belê, mir.»
2SA.12.20	Li ser vê yekê Dawid ji erdê rabû. Xwe şûşt, bêhnên xweş li xwe kir û cilên xwe guhertin. Çû Mala Xudan û perizî wî. Paşê zivirî mala xwe û xwarin xwest û xwar. 
2SA.12.21	Xizmetkarên wî jê pirsîn: «Tu çima wiha tevdigerî? Dema ku zarok dijiya te rojî digirt, digiriyayî; lê piştî ku mir tu rabûyî dest bi xwarinê dikî.»
2SA.12.22	Dawid wiha bersiva wan da: «Dema ku zarok dijiya min rojî digirt û digiriyam. Ji ber ku, min digot: ‹Ma kî dizane, dibe ku Xudan keremê bide, ew ji min re bibexişîne û zarok bijî.› 
2SA.12.23	Lê zarok mir. Êdî ez çima rojiyê bigirim? Ma ez dikarim wî vegerînim? Ezê herim ba wî, lê ewê neyê ba min.»
2SA.12.24	Dawid jina xwe Bat-Şevayê aş kir. Çû ba wê û pê re raza. Wê kurek anî û navê wî Silêman danî. Xudan jê hez kir. 
2SA.12.25	Xudan bi riya Natan xeber şand û navê kurik Yedîdya
2SA.12.26	Di vê navberê de, Yoavê ku li dijî bajarê Rabbayê, bi Ammoniyan re şer dikir, taxa qesrê jî bi dest xist. 
2SA.12.27	Paşê Yoav qasid şandin ba Dawid û got: «Min li dijî bajarê Rabbayê şer kir û kaniyên avên wan bi dest xistin. 
2SA.12.28	Niha tu bermayiyên artêşê bide hev û bajêr dorpêç bike, bi dest bixe; wisa bike ku ez bajêr bi dest nexim, ji bo ku bajar bi navê min neyê bibîranîn.» 
2SA.12.29	Dawid hemû leşkerên xwe berhev kirin û çû bajarê Rabbayê, li dijî bajêr şer kir û bi dest xist. 
2SA.12.30	Taca Padîşahê Ammoniyan
