GEN.1.1	Mu ntangiriro Imana yaremye ijuru n'isi. 
EXO.12.1	Musa na Aroni bakiri mu Misiri, Uhoraho arababwira ati: 
EXO.12.2	“Uku kwezi ni ko kuzababera ukwa mbere k'umwaka. 
EXO.12.3	Mubwire Abisiraheli ko ku itariki ya cumi y'uku kwezi, buri rugo rugomba gushaka umwana w'intama cyangwa w'ihene. 
EXO.12.4	Niba abo mu rugo rumwe ari bake ku buryo badashobora kumara iryo tungo, basangire n'ab'urugo baturanye. Bazahitemo iryo tungo bakurikije umubare w'abazarisangira. 
EXO.12.5	Bazahitemo isekurume y'intama cyangwa y'ihene itarengeje umwaka
EXO.12.6	Bazayigumane kugeza ku itariki ya cumi na kane y'uku kwezi. Ku mugoroba w'uwo munsi Abisiraheli bose bazice ayo masekurume. 
EXO.12.7	Bazafate ku maraso bayasīge ku mpande zose z'ibizingiti by'umuryango wa buri nzu, bazariramo iyo sekurume. 
EXO.12.8	Iryo joro bazarye inyama zokeje, bazirishe imigati idasembuye n'imboga zirura. 
EXO.12.9	Ntibazarye inyama mbisi cyangwa zitetse, ahubwo bazarye izokeje gusa. Bazotse itungo ryose uko ryakabaye, n'igihanga n'iminono n'ibyo mu nda. 
EXO.12.10	Ntibazagire inyama baraza, izizasigara bazazitwike. 
EXO.12.11	Bazazirye biteguye kugenda. Bazabe bakenyeye, bambaye inkweto, bafashe n'inkoni mu ntoki, kandi bazazirye vuba vuba. Uko ni ko bazanyizihiriza Pasika.
EXO.12.12	“Iryo joro nzahita mu Misiri nice abahungu bose b'impfura, n'uburiza bwose bw'amatungo. Jyewe Uhoraho nzahinyuza ibigirwamana byose by'Abanyamisiri. 
EXO.12.13	Amaraso muzasīga ku miryango azagaragaza amazu muzaba murimo. Nimbona ayo maraso nzabahitaho
EXO.12.14	Uwo munsi uzababere umunsi mukuru w'urwibutso rw'ibyo jyewe Uhoraho nabakoreye. Muzajye muwizihiza uko ibihe bihaye ibindi, bibe itegeko ridakuka.”
EXO.12.15	Uhoraho arakomeza ati: “Uwo munsi muzakure umusemburo wose mu mazu yanyu, mumare iminsi irindwi murya imigati idasembuye. Muri iyo minsi, umuntu uzarya umugati usembuye azacibwe mu Bisiraheli. 
EXO.12.16	Ku munsi wa mbere no ku wa karindwi w'icyo cyumweru, muzajye mugira ikoraniro ryo kundamya. Kuri iyo minsi yombi ntihakagire umurimo mukora, uretse uwo gutegura ibyo murya.
EXO.12.17	“Muzajye mwizihiza iminsi mikuru y'imigati idasembuye, mwibuka umunsi nzaba nakuye imiryango yanyu mu gihugu cya Misiri. Muzajye muwizihiza uko ibihe bihaye ibindi, bibe itegeko ridakuka. 
EXO.12.18	Kuva ku itariki ya cumi na kane y'ukwezi kwa mbere nimugoroba, kugeza ku ya makumyabiri n'imwe y'uko kwezi nimugoroba, muzarye imigati idasembuye. 
EXO.12.19	Muri iyo minsi irindwi muzakure umusemburo wose mu mazu yanyu, kuko umuntu uzarya umugati usembuye, yaba Umwisiraheli cyangwa umunyamahanga utuye muri mwe, azacibwa mu Bisiraheli. 
EXO.12.20	Ntimuzarye rero imigati isembuye, aho muzaba mutuye hose muzarye imigati idasembuye.”
EXO.12.21	Musa akoranya abakuru bose b'Abisiraheli, arababwira ati: “Nimugende, buri rugo rutoranye intama cyangwa ihene, maze ruyice kugira ngo mwizihize Pasika
EXO.12.22	Amaraso yayo muyaregereze mu rweso, maze mufate umushandiko w'utwatsi twitwa hisopo muwukozemo, hanyuma muyasīge ku mpande zose z'ibizingiti by'imiryango, kandi ntihagire n'umwe wo muri mwe usohoka kugeza mu gitondo. 
EXO.12.23	Uhoraho naza kwica Abanyamisiri akabona amaraso ku bizingiti by'imiryango yanyu, arihitira ye gutuma umumarayika urimbura yinjira mu mazu yanyu ngo abice. 
EXO.12.24	Mwebwe n'abazabakomokaho, muzubahirize iryo tegeko uko ibihe bihaye ibindi. 
EXO.12.25	Nimumara kugera mu gihugu Uhoraho yabasezeranyije, muzakomeze uwo muhango. 
EXO.12.26	Abana banyu nibababaza bati: ‘Uwo muhango mukora usobanura iki?’, 
EXO.12.27	muzabasubize muti: ‘Turatambira Uhoraho igitambo cya Pasika, kitwibutsa ko Uhoraho yahise ku mazu y'Abisiraheli mu Misiri akaturokora, igihe yicaga Abanyamisiri.’ ”
EXO.12.27	Nuko Abisiraheli bose barunama baramya Uhoraho, 
EXO.12.28	hanyuma baragenda. Abisiraheli babigenza nk'uko Uhoraho yategetse Musa na Aroni.
EXO.12.29	Mu gicuku Uhoraho yica abana b'impfura bose b'Abanyamisiri, kuva ku mpfura y'umwami uganje ku ngoma kugeza ku mpfura y'imfungwa iri muri gereza, yica n'uburiza bw'amatungo. 
EXO.12.30	Iryo joro umwami wa Misiri n'ibyegera bye ndetse n'Abanyamisiri bose barabyuka, bacura umuborogo kuko nta rugo na rumwe rutari rwapfushije umuntu.
EXO.12.31	Butaracya umwami ahamagaza Musa na Aroni, arababwira ati: “Ngaho nimumvire mu gihugu mujyane n'Abisiraheli bose, mujye kuramya Uhoraho nk'uko mwabisabye. 
EXO.12.32	Nimujyane n'imikumbi yanyu n'amashyo yanyu nk'uko mubyifuza, kandi muzansabire umugisha!” 
EXO.12.33	Abanyamisiri bashushubikanya Abisiraheli ngo babavire mu gihugu, kuko bavugaga bati: “Nimutagenda turashira.” 
EXO.12.34	Abisiraheli bafata amapanu yariho imigati idasembuye bari batangiye gutegura, bayapfunyika mu myenda yabo, bayatwara ku ntugu. 
EXO.12.35	Abisiraheli bari bagenje nk'uko Musa yababwiye, bari basabye Abanyamisiri imyambaro n'ibintu bikozwe mu ifeza no mu izahabu. 
EXO.12.36	Uhoraho yatumye Abanyamisiri bareba neza Abisiraheli, babaha ibyo babasabye. Uko ni ko Abisiraheli batwaye ubutunzi bw'Abanyamisiri.
EXO.12.37	Abisiraheli bavuye i Ramesesi bataha i Sukoti bagenda n'amaguru. Bari nk'ibihumbi magana atandatu hatabariwemo abagore n'abana, 
EXO.12.38	bajyana n'imikumbi myinshi n'amashyo menshi. Abantu benshi b'amoko atari amwe bajyana na bo. 
EXO.12.39	Ya mitsima bari batangiye gutegura bakiri mu Misiri, bayitekamo utugati tudasembuye kuko bari birukanywe mu Misiri huti huti, ntibabone uko bashaka impamba.
EXO.12.40	Abisiraheli bamaze mu Misiri imyaka magana ane na mirongo itatu. 
EXO.12.41	Umunsi uheruka w'iyo myaka magana ane na mirongo itatu, ni ho ubwoko bw'Uhoraho bwavuye mu Misiri bukurikije imiryango yabwo. 
EXO.12.42	Ijoro ryabanjirije ukuvanwa mu Misiri kw'Abisiraheli, Uhoraho yarabarinze. Ni yo mpamvu ari ijoro ryeguriwe Uhoraho, kugira ngo bajye baryibuka uko ibihe bihaye ibindi.
EXO.12.43	Uhoraho abwira Musa na Aroni ati: “Dore amabwiriza yerekeye Pasika: ntihakagire umunyamahanga urya ku byagenewe Pasika. 
EXO.12.44	Niba mufite inkoreragahato mwaguze ikaba yarakebwe, izabiryeho. 
EXO.12.45	Umunyamahanga utuye muri mwe, ari ubakorera cyangwa uwikorera, ntazabiryeho. 
EXO.12.46	Ibya Pasika muzabirire mu nzu byateguriwemo, inyama z'igitambo ntimuzazisohokane, kandi ntimuzavune amagufwa yacyo. 
EXO.12.47	Ubwoko bwose bw'Abisiraheli bujye bwizihiza Pasika. 
EXO.12.48	Umunyamahanga utuye muri mwe nashaka kuyizihiza ku bwo kubaha Uhoraho, mujye mubanza mukebe abo mu rugo rwe bose b'igitsinagabo. Ni bwo azabarwa nk'Umwisiraheli agashobora kwizihiza Pasika. Ariko ntihakagire uw'igitsinagabo utakebwe uyiryaho. 
EXO.12.49	Abisiraheli n'abanyamahanga bazaba batuye muri mwe, mwese muzagengwa n'itegeko rimwe.”
EXO.12.50	Abisiraheli bose babigenza nk'uko Uhoraho yari yategetse Musa na Aroni. 
EXO.12.51	Uwo munsi Uhoraho akura Abisiraheli mu gihugu cya Misiri, akurije imiryango yabo.
EXO.13.1	Uhoraho abwira Musa ati: 
EXO.13.2	“Nimunyegurire abana b'abahungu b'impfura bose bo mu Bisiraheli, munyegurire n'uburiza bwose bw'amatungo.”
EXO.13.3	Musa abwira abantu ati: “Mujye mwibuka umunsi Uhoraho yabakuye mu Misiri aho mwari inkoreragahato, ahabakuje ububasha bwe. Muzarye imigati idasembuye mwizihiza uyu munsi 
EXO.13.4	muvuyeyo, muri uku kwezi kwa Abibu
EXO.13.5	Muzakomeze kugenza mutyo, igihe Uhoraho azaba abagejeje mu gihugu azabaha nk'uko yabisezeranyije ba sokuruza, igihugu cy'Abanyakanāni n'Abaheti n'Abamori, n'Abahivi n'Abayebuzi, igihugu gitemba amata n'ubuki. 
EXO.13.6	Muzamare iminsi irindwi murya imigati idasembuye, maze ku munsi wa karindwi muzakorere Uhoraho umunsi mukuru. 
EXO.13.7	Muzarye imigati idasembuye muri iyo minsi yose uko ari irindwi, icyo gihe ntihazaboneke imigati isembuye cyangwa umusemburo mu gihugu cyanyu cyose. 
EXO.13.8	Muri iyo minsi mikuru muzasobanurire abana banyu, ko ari iyo kwibuka ibyo Uhoraho yabakoreye ubwo mwavaga mu Misiri. 
EXO.13.9	Bityo iyo minsi mikuru izababere urwibutso, kimwe n'uko mwagira ikimenyetso ku maboko cyangwa ku gahanga. Izabibutsa kuvuga no kuzirikana Amategeko y'Uhoraho wabakuje mu Misiri ububasha bwe. 
EXO.13.10	Muzajye mwubahiriza iri tegeko mu gihe cyaryo uko umwaka utashye.”
EXO.13.11	Musa akomeza kubwira abantu ati: “Uhoraho namara kubageza mu gihugu cya Kanāni kandi akakibaha, nk'uko yabibasezeranyiye mwebwe na ba sokuruza, 
EXO.13.12	muzature Uhoraho abahungu banyu bose b'impfura, n'uburiza bwose bw'igitsinagabo bwo mu matungo yanyu. 
EXO.13.13	Uburiza bw'indogobe
EXO.13.14	“Mu gihe kizaza abana banyu nibabaza icyo uwo muhango usobanura, muzabasubize muti: ‘Uhoraho yadukuje ububasha bwe mu Misiri aho twari inkoreragahato. 
EXO.13.15	Umwami wa Misiri yanze kuturekura, maze Uhoraho yica abahungu b'impfura bose b'Abanyamisiri, yica n'uburiza bw'amatungo yabo. Ni yo mpamvu tumutambira uburiza bwose bw'amasekurume bwo mu matungo yacu, naho impfura zacu z'abahungu tukazicungura.’ 
EXO.13.16	Bityo uwo muhango uzababere urwibutso, kimwe n'uko mwagira ikimenyetso ku maboko cyangwa ku gahanga. Uzabibutsa ko Uhoraho yadukuje mu Misiri ububasha bwe.”
EXO.13.17	Umwami wa Misiri amaze kurekura Abisiraheli, Imana ntiyabacisha mu muhanda unyura mu Bufilisiti nubwo ari ho hari hafi. Yari izi ko abantu bashobora gutinya kurwana, bakisubiraho bakagaruka mu Misiri. 
EXO.13.18	Ni yo mpamvu yabanyujije mu nzira ya kure, ica mu butayu igana ku Nyanja y'Uruseke. Abisiraheli bavuye mu Misiri bakurikije imiryango yabo.
EXO.13.19	Musa ajyana amagufwa ya Yozefu kuko yari yararahije bene Isiraheli ati: “Igihe Imana izabagoboka, amagufwa yanjye ntimuzayasige ino muzayajyane.”
EXO.13.20	Abisiraheli bava i Sukoti barara Etamu hafi y'ubutayu. 
EXO.13.21	Ku manywa Uhoraho yabagendaga imbere ari mu nkingi y'igicu kugira ngo abayobore, nijoro akabagenda imbere ari mu nkingi y'umuriro kugira ngo abamurikire. Bityo bagashobora kugenda ku manywa na nijoro. 
EXO.13.22	Ku manywa inkingi y'igicu ntiyabavaga imbere, na nijoro inkingi y'umuriro ntiyabavaga imbere.
EXO.14.1	Uhoraho abwira Musa ati: 
EXO.14.2	“Bwira Abisiraheli basubire inyuma, bashinge amahema ku nkombe y'inyanja imbere y'i Pihahiroti, hagati ya Migidoli n'inyanja, hafi ya Bāli-Sefoni. 
EXO.14.3	Umwami wa Misiri azibwira ko Abisiraheli bahabiye mu Misiri, ubutayu bukabazitira. 
EXO.14.4	Nzamunangira umutima maze abakurikire. Ariko nzamutsinda we n'ingabo ze zose mpabwe ikuzo. Bityo Abanyamisiri bazamenya uwo ndi we.” Abisiraheli babigenza nk'uko Uhoraho yabivuze.
EXO.14.5	Umwami wa Misiri yumva ko Abisiraheli bagiye, maze we n'ibyegera bye bisubiraho baravuga bati: “Twakoze ibiki? Ubonye ngo tureke Abisiraheli bagende kandi badukoreraga!” 
EXO.14.6	Bategura igare ry'umwami, bateguza n'ingabo ze, bajyana 
EXO.14.7	n'amagare y'intambara yose yo mu Misiri, harimo magana atandatu akomeye, buri gare ririmo umusirikari mukuru uriyoboye. 
EXO.14.8	Uhoraho anangira umutima w'umwami wa Misiri, akurikira Abisiraheli bari bavuye mu Misiri barinzwe n'Uhoraho
EXO.14.9	Ingabo zose z'Abanyamisiri ziri ku mafarasi no mu magare y'intambara, zikurikira Abisiraheli zibafatira hafi y'i Pihahiroti, imbere y'i Bāli-Sefoni, aho bari bashinze amahema ku nkombe y'inyanja.
EXO.14.10	Abisiraheli babonye umwami wa Misiri n'ingabo ze, bagira ubwoba bwinshi maze batakira Uhoraho. 
EXO.14.11	Babwira Musa bati: “Mbega ibyo wadukoreye! Kuki washatse ko dupfira mu butayu? Ese nta mva ziri mu Misiri? 
EXO.14.12	Tukiri mu Misiri ntitwakubwiye ngo utureke dukorere Abanyamisiri? Ese ibyo ntibyari kuturutira gupfira mu butayu?”
EXO.14.13	Musa arabasubiza ati: “Mwitinya nimukomere! Iri joro muri bwirebere ukuntu Uhoraho abakiza. Bariya Banyamisiri mureba ntimuzongera kubabona ukundi. 
EXO.14.14	Nimuhumure, Uhoraho ni we uri bubarwanirire!”
EXO.14.15	Uhoraho abwira Musa ati: “Ni iki gituma untakira? Bwira Abisiraheli bakomeze urugendo! 
EXO.14.16	Rambura inkoni yawe hejuru y'inyanja amazi yigabanyemo kabiri, maze Abisiraheli bace mu nyanja hagati nk'abagenda ku butaka. 
EXO.14.17	Nanjye ngiye kunangira umutima w'Abanyamisiri babakurikire. Ngiye gutsinda umwami wa Misiri n'ingabo ze zose ndetse n'abarwanira mu magare no ku mafarasi, maze mpabwe ikuzo. 
EXO.14.18	Nimara kubatsinda nzahabwa ikuzo, kandi Abanyamisiri bazamenya uwo ndi we.”
EXO.14.19	Umumarayika w'Imana wagendaga imbere y'Abisiraheli aherako ajya inyuma yabo, inkingi y'igicu na yo ibajya inyuma, 
EXO.14.20	ihagarara hagati yabo n'Abanyamisiri ijoro ryose. Abisiraheli ibabera urumuri, naho Abanyamisiri ibabera umwijima. Bityo iryo joro ryose abashyamiranye ntibegerana.
EXO.14.21	Musa arambura ukuboko hejuru y'inyanja. Iryo joro ryose, Uhoraho ahuhisha umuyaga ukomeye uturutse iburasirazuba usubiza amazi inyuma, inyanja yigabanyamo kabiri, hagati y'ayo mazi yombi hasigara ubutaka. 
EXO.14.22	Abisiraheli bambukira kuri ubwo butaka, amazi ameze nk'urukuta iburyo n'ibumoso.
EXO.14.23	Abanyamisiri bagenderaga ku mafarasi n'abari mu magare y'intambara, bakurikira Abisiraheli mu nyanja rwagati. 
EXO.14.24	Bujya gucya, Uhoraho ari mu nkingi y'umuriro n'igicu areba ingabo z'Abanyamisiri, zicikamo igikuba. 
EXO.14.25	Uhoraho atuma ibiziga by'amagare yabo bifatwa mu cyondo, ku buryo yagendaga biruhanyije cyane
EXO.14.26	Nuko Uhoraho abwira Musa ati: “Rambura ukuboko hejuru y'inyanja maze amazi arenge ku Banyamisiri, abagendera mu magare no ku mafarasi!” 
EXO.14.27	Musa abigenza nk'uko Uhoraho yabitegetse. Maze mu museke inyanja isubira mu mwanya wayo, Abanyamisiri bagerageje guhunga bahura n'amazi abarengaho. Uhoraho abarimburira atyo mu nyanja. 
EXO.14.28	Amazi arenga ku magare no ku mafarasi, ntiharokoka n'umwe mu ngabo zose z'umwami wa Misiri zari zinjiye mu nyanja zikurikiye Abisiraheli. 
EXO.14.29	Ariko Abisiraheli bari bambutse inyanja bagenda ku butaka, amazi ameze nk'urukuta iburyo n'ibumoso.
EXO.14.30	Uwo munsi Uhoraho akiza Abisiraheli Abanyamisiri, babona intumbi z'Abanyamisiri zigandagaje ku nkombe z'inyanja. 
EXO.14.31	Babona ububasha Uhoraho yakoresheje agatsinda Abanyamisiri, nuko baramwubaha cyane, bamugirira icyizere we n'umugaragu we Musa.
EXO.15.1	Musa n'Abisiraheli baririmbira Uhoraho indirimbo bagira bati:
EXO.15.1	“Reka ndirimbire Uhoraho kuko yatsinze bitangaje,
EXO.15.1	yaroshye mu nyanja amafarasi n'abayagenderagaho!
EXO.15.2	Uhoraho ni we munyambaraga undwanirira, ndamuririmba,
EXO.15.2	ni we wankijije.
EXO.15.2	Ni Imana yanjye, nzamuhimbaza,
EXO.15.2	ni Imana ya data, nzamuhesha ikuzo.
EXO.15.3	Uhoraho ni intwari ku rugamba,
EXO.15.3	Uhoraho ni ryo zina rye.
EXO.15.4	Yaroshye mu nyanja amagare n'ingabo by'umwami wa Misiri,
EXO.15.4	abatware b'ingabo z'ingenzi yabaroshye mu Nyanja y'Uruseke.
EXO.15.5	Baguye ikuzimu nk'ibuye,
EXO.15.5	amazi menshi abarengaho.
EXO.15.6	“Uhoraho, mbega ukuntu ufite ikuzo n'imbaraga!
EXO.15.6	Uhoraho, ukuboko kwawe kw'iburyo kwajanjaguye abanzi!
EXO.15.7	Ububasha bwawe burahebuje,
EXO.15.7	utsinda abahagurukiye kukurwanya.
EXO.15.7	Uburakari bwawe buragurumana,
EXO.15.7	bubakongora nk'ibikenyeri.
EXO.15.8	Warahumetse amazi arirundanya,
EXO.15.8	yarakomeye amera nk'urukuta,
EXO.15.8	ikuzimu mu nyanja harakomera.
EXO.15.9	“Abanzi bacu baravuze bati:
EXO.15.9	‘Tuzabakurikira tubafate,
EXO.15.9	tuzigabanya iminyago twimare agahinda.
EXO.15.9	Tuzakura inkota tubice!’
EXO.15.10	Ariko warahumetse inyanja ibarengaho.
EXO.15.10	Barohamye nk'ubutare mu mazi menshi.
EXO.15.11	“Uhoraho, nta yindi mana ihwanye nawe.
EXO.15.11	Nta we mwahwanya icyubahiro n'ubuziranenge!
EXO.15.11	Ufite igitinyiro n'ikuzo kandi ukora ibitangaza.
EXO.15.12	Warambuye ukuboko kw'iburyo,
EXO.15.12	isi imira bunguri abanzi bacu.
EXO.15.13	Wacunguye ubwoko bwawe,
EXO.15.13	wabuyoboranye urukundo n'imbaraga,
EXO.15.13	uzabujyana
EXO.15.14	Amahanga azumva ibyo wakoze ahinde umushyitsi,
EXO.15.14	Abafilisiti ubwoba buzabataha.
EXO.15.15	Abatware ba Edomu bazakangarana,
EXO.15.15	ibikomangoma by'i Mowabu bizahinda umushyitsi,
EXO.15.15	Abanyakanāni bose bazacika intege.
EXO.15.16	Bazashya ubwoba batinye,
EXO.15.16	Uhoraho, bazabona imbaraga zawe nyinshi bajunjame,
EXO.15.16	bazareka ubwoko bwawe wacunguye buhite.
EXO.15.17	Uhoraho, uzabujyana ku musozi wawe bwite,
EXO.15.17	uzabutuza ahantu witunganyirije ngo uhature,
EXO.15.17	Nyagasani, ni ho uziyubakira Inzu yawe.
EXO.15.18	Uhoraho, uganje ku ngoma iteka ryose!”
EXO.15.19	Abagendera ku mafarasi n'abagendera mu magare y'intambara b'umwami wa Misiri binjiye mu nyanja, maze Uhoraho abarenzaho amazi. Naho Abisiraheli baciye hagati mu nyanja bagenda ku butaka.
EXO.15.20	Umuhanuzikazi Miriyamu mushiki wa Aroni afata ishakwe, abagore bose baramukurikira, bagenda babyina kandi bavuza amashakwe. 
EXO.15.21	Miriyamu agaterera abantu agira ati:
EXO.15.21	“Nimuririmbire Uhoraho kuko yatsinze bitangaje,
EXO.15.21	yaroshye mu nyanja amafarasi n'abayagenderagaho!”
EXO.15.22	Nuko Musa ayobora Abisiraheli bava ku Nyanja y'Uruseke, berekeza mu butayu bwa Shuru. Bagenda iminsi itatu batarabona amazi. 
EXO.15.23	Bageze i Mara bahabona amazi ariko ntibabasha kuyanywa kuko yaruraga. Ni cyo cyatumye hitwa Mara
EXO.15.24	Abantu bitotombera Musa, bavuga bati: “Turanywa iki?” 
EXO.15.25	Musa atakambira Uhoraho, Uhoraho amwereka igiti. Musa akijugunya mu mazi, ntiyongera kurura.
EXO.15.25	Aho ni ho Uhoraho yabahereye amategeko n'amabwiriza, ni na ho yabageragereje. 
EXO.15.26	Arababwira ati: “Ni jye Uhoraho Imana yanyu. Nimwita ku cyo mbabwira mugakora ibintunganiye, mukumvira amabwiriza mbaha mugakurikiza amateka natanze, nta ndwara nzigera mbateza mu zo nateje Abanyamisiri. Ni jye Uhoraho ubakiza indwara.”
EXO.15.27	Hanyuma bagera Elimu, bahasanga amasōko cumi n'abiri n'imikindo mirongo irindwi. Nuko bashinga amahema hafi y'amazi.
EXO.16.1	Abisiraheli bose bava Elimu bagera mu butayu bwa Sini, buri hagati ya Elimu n'umusozi wa Sinayi. Bagerayo ku itariki ya cumi n'eshanu y'ukwezi kwa kabiri k'umwaka baviriye mu Misiri
EXO.16.2	Muri ubwo butayu, Abisiraheli bose bitotombera Musa na Aroni 
EXO.16.3	bati: “N'iyo Uhoraho atwicira mu Misiri aho twari dufite inyama n'imigati byo kurya tugahaga! Kuki mwatuzanye muri ubu butayu ngo twese tuhicirwe n'inzara?”
EXO.16.4	Nuko Uhoraho abwira Musa ati: “Ndabagushiriza ibyokurya biturutse mu ijuru nk'imvura. Buri munsi abantu bazajya batoragura ibyo bakeneye kurya uwo munsi. Bityo nzamenya kandi niba banyumvira. 
EXO.16.5	Ku munsi ubanziriza isabato, bazajya batoragura incuro ebyiri z'ibyo basanzwe batoragura ku yindi minsi.”
EXO.16.6	Musa na Aroni babwira Abisiraheli bose bati: “Uyu mugoroba muri bumenye ko ari Uhoraho wabakuye mu Misiri, 
EXO.16.7	kandi mu gitondo muzabona ikuzo rye. Yumvise mumwitotombera, ntabwo ari twe mwitotombera!” 
EXO.16.8	Musa arakomeza ati: “Uhoraho ari bubahe inyama zo kurya uyu mugoroba, naho mu gitondo azabaha imigati muyihage kuko yumvise mumwitotombera. Ntabwo ari twe mwitotombera, ahubwo ni Uhoraho.”
EXO.16.9	Musa abwira Aroni ati: “Bwira Abisiraheli bose bakoranire imbere y'Uhoraho kuko yumvise kwitotomba kwabo.” 
EXO.16.10	Aroni agiha iryo koraniro amabwiriza, abantu babona ikuzo ry'Uhoraho ribonekeye mu gicu hejuru y'ubutayu.
EXO.16.11	Uhoraho abwira Musa ati: 
EXO.16.12	“Numvise kwitotomba kw'Abisiraheli. None babwire ko nimugoroba bari burye inyama, na mu gitondo bazarya imigati bayihage. Bityo bazamenya ko ndi Uhoraho Imana yanyu.”
EXO.16.13	Nimugoroba inturumbutsi zigwa mu nkambi zirahazimagiza, mu gitondo ikime kiratonda kizenguruka inkambi. 
EXO.16.14	Ikime gishize, mu butayu hasi hasigara utuntu duto cyane dusa nk'isukari. 
EXO.16.15	Abisiraheli babonye utwo tuntu turabayobera, barabazanya bati: “Utu ni uduki?”
EXO.16.15	Musa arababwira ati: “Ni imigati Uhoraho abahaye ngo murye, 
EXO.16.16	kandi yategetse ko umuntu wese atoragura ibimuhagije, nka litiro ebyiri kuri buri muntu uri mu ihema rye.” 
EXO.16.17	Abisiraheli babigenza batyo. Bamwe batoragura byinshi abandi bike, 
EXO.16.18	maze barabipima kugira ngo uwatoraguye byinshi yongerere uwatoraguye bike. Buri wese atwara ibimuhagije.
EXO.16.19	Musa arababwira ati: “Ntimugomba kubiraza ngo bigeze mu gitondo.” 
EXO.16.20	Ariko bamwe ntibamwumvira barabiraza, mu gitondo basanga byaguye inyo, binuka. Musa arabarakarira.
EXO.16.21	Buri gitondo umuntu wese yatoraguraga ibimuhagije, ku gasusuruko ibisigaye bigashonga. 
EXO.16.22	Ku munsi ubanziriza isabato, abantu batoragura incuro ebyiri z'ibyo basanzwe batoragura, ni ukuvuga nka litiro enye kuri buri muntu. Abakuru b'Abisiraheli baza kubibwira Musa. 
EXO.16.23	Nuko arababwira ati: “Uko ni ko Uhoraho yabivuze. Ejo ni umunsi w'ikiruhuko, ni isabato y'Uhoraho. Mwotse cyangwa muteke icyo mushaka, ibisigaye mubibike kugeza ejo mu gitondo.” 
EXO.16.24	Babigenza nk'uko Musa yabibategetse, ibyasigaye bigeza mu gitondo bitaguye inyo, ndetse bitanutse. 
EXO.16.25	Musa arababwira ati: “Mubirye uyu munsi. Nta byo mushobora kubona ku gasozi, kuko uyu munsi ari isabato y'Uhoraho. 
EXO.16.26	Muzajye mubitoragura mu minsi itandatu, naho ku munsi wa karindwi ari wo sabato, ntabizaboneka.”
EXO.16.27	Nyamara ku munsi wa karindwi, abantu bamwe bajya kubitoragura ariko ntibabibona. 
EXO.16.28	Uhoraho abaza Musa ati: “Muzageza ryari mwanga kumvira amabwiriza yanjye n'amategeko yanjye? 
EXO.16.29	Impamvu mbaha imigati y'iminsi ibiri ku wa gatandatu, ni ukugira ngo mwubahirize isabato nabahaye. Ntihakagire uva iwe ku munsi wa karindwi, buri wese ajye aguma aho ari.” 
EXO.16.30	Nuko Abisiraheli baruhuka ku munsi wa karindwi.
EXO.16.31	Ibyo byokurya Abisiraheli babyita manu
EXO.16.32	Musa aravuga ati: “Dore ibyo Uhoraho yategetse: ‘Nimwuzuze litiro ebyiri za manu mu rwabya, muzibikire abazabakomokaho kugira ngo bazabone ibyokurya nabagaburiye mu butayu, ubwo nabakuraga mu gihugu cya Misiri.’ ” 
EXO.16.33	Nuko Musa abwira Aroni ati: “Fata urwabya ushyiremo litiro ebyiri za manu, urubike imbere y'Uhoraho kugira ngo ab'ibihe bizaza bazayibone.” 
EXO.16.34	Nk'uko Uhoraho yari yabitegetse Musa, Aroni yaje kubika urwo rwabya iruhande rw'ibisate by'amabuye byari byanditsweho Amategeko.
EXO.16.35	Abisiraheli bariye manu imyaka mirongo ine, kugeza igihe bagereye ku mupaka w'igihugu gituwe n'Abanyakanāni.
EXO.16.36	Litiro ebyiri za manu ni kimwe cya cumi cy'urugero bapimishaga rwitwa efa.
EXO.17.1	Abisiraheli bose bava mu butayu bwa Sini, bagenda bimura inkambi zabo nk'uko Uhoraho yabategetse. Bageze i Refidimu bahashinga amahema, ariko ntibahabona amazi yo kunywa. 
EXO.17.2	Abantu batonganya Musa, baramubwira bati: “Duhe amazi yo kunywa.”
EXO.17.2	Musa arabasubiza ati: “Murantonganyiriza iki? Kuki mushaka kugerageza
EXO.17.3	Abantu bahicirwa n'inyota, bakomeza kwitotombera Musa bavuga bati: “Kuki wadukuye mu Misiri? Mbese washatse kutwicisha inyota, twebwe n'abana bacu n'amatungo yacu?”
EXO.17.4	Musa atakambira Uhoraho ati: “Aba bantu mbagenze nte? Hasigaye gato bakantera amabuye!”
EXO.17.5	Uhoraho abwira Musa ati: “Toranya bamwe mu bakuru b'Abisiraheli mujyane, kandi witwaze ya nkoni wakubitishije uruzi rwa Nili. 
EXO.17.6	Nanjye ndahagarara imbere yawe ku rutare ruri ku musozi wa Horebu
EXO.17.7	Musa yita aho hantu Masa
EXO.17.8	Abisiraheli bakiri i Refidimu, Abamaleki barabatera. 
EXO.17.9	Musa abwira Yozuwe ati: “Toranya ingabo ejo muzajye kuturwanyiriza Abamaleki, nanjye nzaba mpagaze mu mpinga y'umusozi mfite ya nkoni Imana yambwiye kwitwaza.”
EXO.17.10	Yozuwe ajya kurwanya Abamaleki nk'uko Musa yabimubwiye, naho Musa na Aroni na Huri barazamuka bajya mu mpinga y'umusozi. 
EXO.17.11	Iyo Musa yazamuraga ukuboko
