GEN.1.1	Mbere na mbere Imana yaremye ijuru n'isi. 
GEN.22.13	Aburahamu yubura amaso arareba, abona inyuma ye impfizi y'intama, amahembe yayo afashwe mu gihuru. Aburahamu aragenda, yenda ya ntama, ayitambaho igitambo cyoswa mu cyimbo cy'umuhungu we. 
GEN.22.14	Aburahamu yita aho hantu Yehovayire
GEN.22.15	Maze marayika w'Uwiteka arongera ahamagara Aburahamu ari mu ijuru, 
GEN.22.16	 aramubwira ati “Ndirahiye, ni ko Uwiteka avuga, ubwo ugenjeje utyo ntunyime umwana wawe w'ikinege, 
GEN.22.17	 yuko no kuguha umugisha nzaguha umugisha, no kugwiza nzagwiza urubyaro rwawe ruhwane n'inyenyeri zo mu ijuru, kandi ruhwane n'umusenyi wo mu kibaya cy'inyanja, kandi ruzahīndura amarembo y'ababisha barwo. 
GEN.22.18	 Kandi mu rubyaro rwawe ni mo amahanga yose yo mu isi azaherwa umugisha kuko wanyumviye.” 
GEN.22.19	Aburahamu asubira aho abagaragu be bari, barahaguruka bajyana i Bērisheba, agezeyo arahatura.
GEN.22.20	Hanyuma y'ibyo babwira Aburahamu bati “Na Miluka yabyaranye na mwene so Nahori abana.” 
GEN.22.21	Imfura ye ni Usi, hakurikiraho Buzi murumuna we, na Kemuweli se wa Aramu, 
GEN.22.22	na Kesedi na Hazo na Piludashi, na Yidilafu na Betuweli. 
GEN.22.23	Betuweli yabyaye Rebeka. Abo uko ari umunani, Miluka yababyaranye na Nahori mwene se wa Aburahamu. 
GEN.22.24	Inshoreke ye yitwa Rewuma, na yo yabyaye Teba na Gahamu, na Tahashi na Māka.
GEN.23.1	Sara yaramye imyaka ijana na makumyabiri n'irindwi, iyo ni yo myaka Sara yaramye. 
GEN.23.2	Sara apfira i Kiriyataruba (ari ho Heburoni) mu gihugu cy'i Kanāni, Aburahamu aza kuborogera Sara, amuririra.
GEN.23.3	Aburahamu arahaguruka ava ku ntumbi ye, abwira Abaheti ati 
GEN.23.4	 “Ndi umushyitsi n'umusuhuke muri mwe, mumpe gakondo yo guhambamo, mpambe umupfu wanjye, mwivane mu maso.”
GEN.23.5	Abaheti basubiza Aburahamu bati 
GEN.23.6	“Databuja, utwumve uri umuntu ukomeye cyane muri twe, uhambe umupfu wawe mu mva yacu uri buhitemo muri zose, nta wo muri twe uri bukwime imva ye ngo we guhambamo umupfu wawe.”
GEN.23.7	Aburahamu arahaguruka, yikubita imbere ya bene igihugu, ni bo Baheti. 
GEN.23.8	Avugana na bo arababwira ati “Nimwemera yuko mpamba umupfu wanjye ngo mwivane mu maso, munyumvire, munyingingire Efuroni mwene Sohari, 
GEN.23.9	ampe ubuvumo bw'i Makipela afite, buri ku mpera y'isambu ye. Abungurishirize hagati yanyu igiciro kibukwiriye kitagabanije, bube gakondo yo guhambamo.”
GEN.23.10	Efuroni yari yicaye hagati mu Baheti, Efuroni Umuheti asubiza Aburahamu, Abaheti bamwumva, abinjiraga mu irembo ry'umudugudu wabo bose ati 
GEN.23.11	“Ahubwo databuja, nyumva. Iyo sambu ndayiguhaye, n'ubuvumo burimo ndabuguhaye, mbiguhereye imbere y'ab'ubwoko bwacu, hamba umupfu wawe.”
GEN.23.12	Aburahamu yikubita imbere ya bene igihugu. 
GEN.23.13	Abwira Efuroni bene igihugu bamwumva ati “Ndakwinginze, nyumvira. Ndakwishyura igiciro cy'iyo sambu, cyemere nkiguhe, mpambemo umupfu wanjye.”
GEN.23.14	Efuroni asubiza Aburahamu ati 
GEN.23.15	“Databuja, nyumvira. Agasambu kaguze shekeli
GEN.23.16	Aburahamu yumvira Efuroni agerera Efuroni ifeza avuze, Abaheti bamwumva, shekeli magana ane z'ifeza, zemerwa n'abagenza.
GEN.23.17	Nuko isambu ya Efuroni yari i Makipela, iri imbere y'i Mamure, yo n'ubuvumo burimo n'ibiti byo muri yo byose byayigotaga hose ku mpera yayo, bikomerezwa Aburahamu 
GEN.23.18	kuba gakondo ye, imbere y'Abaheti, imbere y'abinjiraga mu irembo ry'umudugudu wabo bose.
GEN.23.19	Hanyuma y'ibyo, Aburahamu ahamba Sara umugore we muri ubwo buvumo bwo mu isambu y'i Makipela, iri imbere y'i Mamure (ni ho Heburoni) mu gihugu cy'i Kanāni. 
GEN.23.20	Nuko Abaheti bakomereza Aburahamu iyo sambu n'ubuvumo buyirimo kuba gakondo yo guhambamo.
GEN.24.1	Aburahamu yari ashaje ageze mu za bukuru, kandi Uwiteka yari yarahaye Aburahamu umugisha kuri byose. 
GEN.24.2	Aburahamu abwira umugaragu we, umukuru wo mu rugo rwe wategekaga ibye byoseati “Ndakwinginze, shyira ukuboko kwawe munsi y'ikibero cyanjye, 
GEN.24.3	nanjye ndakurahiza Uwiteka, ni we Mana nyir'ijuru, ni we Mana nyir'isi, yuko utazasabira umwana wanjye Umunyakanānikazi, abo ntuyemo. 
GEN.24.4	Ahubwo uzajye mu gihugu cyacu kuri bene wacu, usabireyo umwana wanjye Isaka umugeni.”
GEN.24.5	Uwo mugaragu aramusubiza ati “Ahari umukobwa ntazemera ko tuzana muri iki gihugu, byaba bityo naba nkwiriye gusubiza umwana wawe mu gihugu wavuyemo?”
GEN.24.6	Aburahamu aramusubiza ati “Wirinde gusubizayo umwana wanjye. 
GEN.24.7	Uwiteka Imana nyir'ijuru, yankuye mu nzu ya data no mu gihugu navukiyemo, ikambwira indahira iti ‘Urubyaro rwawe nzaruha iki gihugu’, iyo ni yo izatuma marayika wayo akujya imbere, nawe uzasabireyo umwana wanjye umugeni. 
GEN.24.8	Kandi umukobwa yaramuka yanze, ntuzafatwa n'iyi ndahiro undahiye. Icyakora ntuzasubizeyo umwana wanjye.” 
GEN.24.9	Uwo mugaragu ashyira ukuboko munsi y'ikibero cya Aburahamu shebuja, arabimurahira.
GEN.24.10	Uwo mugaragu ajyana ingamiya cumi zo mu ngamiya za shebuja, agenda afite ibyiza bya shebuja by'uburyo bwose
GEN.24.11	Apfukamisha izo ngamiya ku iriba riri inyuma y'uwo mudugudu. Hari nimugoroba, igihe abagore basohokera kuvoma. 
GEN.24.12	Arasenga ati “Uwiteka Mana ya databuja Aburahamu, ndakwinginze, umpe ihirwe uyu munsi, ugirire neza databuja Aburahamu. 
GEN.24.13	Dore mpagaze ku isōko, abakobwa b'abo mu mudugudu basohotse kuvoma. 
GEN.24.14	Bibe bitya: umukobwa ndi bubwire nti ‘Ndakwinginze, cisha bugufi ikibindi cyawe nyweho’, akansubiza ati ‘Nywaho nduhira n'ingamiya zawe’, abe ari we watoranirije Isaka umugaragu wawe. Ibyo ni byo bizamenyesha yuko ugiriye databuja neza.”
GEN.24.15	Nuko agisenga atyo, Rebeka arasohoka, wabyawe na Betuweli mwene Miluka, muka Nahori, mwene se wa Aburahamu, ashyize ikibindi ku rutugu. 
GEN.24.16	Uwo mukobwa yari umunyagikundiro cyinshi kandi yari umwari, nta mugabo wigeze kuryamana na we, aramanuka ajya ku isōko, aravoma arazamuka. 
GEN.24.17	Uwo mugaragu arirukanka aramusanganira, aramubwira ati “Ndakwinginze, mpa utuzi mu kibindi cyawe, nyweho.”
GEN.24.18	Aramusubiza ati “Databuja, nywaho.” Atengamatira vuba ikibindi cye, aramuha aranywa. 
GEN.24.19	Amaze kuyamuha aramubwira ati “Nduhira n'ingamiya zawe zeguke.” 
GEN.24.20	Ayasuka vuba mu kibumbiro arirukanka, yongera kujya ku iriba kudahira, adahirira ingamiya ze zose. 
GEN.24.21	Uwo mugabo amwitegereza acecetse, kugira ngo amenye yuko Uwiteka yahaye urugendo rwe amahirwe, cyangwa ataruyahaye.
GEN.24.22	Nuko ingamiya zimaze kweguka, uwo mugabo yenda impeta y'izahabu, kuremera kwayo kwari nk'igice cya shekeli, n'ibimeze nk'imiringa bibiri byo kwambara ku maboko, kuremera kwabyo ni shekeli cumi z'izahabu, arabimwambika. 
GEN.24.23	Aramubaza ati “Uri mwene nde? Ndakwinginze mbwira. Kandi kwa so hari aho twarara?”
GEN.24.24	Aramusubiza ati “Ndi mwene Betuweli wa Miluka na Nahori.” 
GEN.24.25	Kandi ati “Dufite inganagano n'ibyokurya bizihagije, kandi dufite n'aho kubaraza.”
GEN.24.26	Uwo mugabo arunama, yikubita hasi, asenga Uwiteka. 
GEN.24.27	Ati “Uwiteka ahimbazwe, Imana ya databuja Aburahamu, itaretse kugirira databuja imbabazi n'umurava, nanjye Uwiteka anyoboye inzira ijya kwa bene wabo wa databuja.”
GEN.24.28	Uwo mukobwa arirukanka, abwira abo mu nzu ya nyina uko byabaye. 
GEN.24.29	Kandi Rebeka yari afite musaza we witwa Labani. Labani uwo arasohoka, ajya gusanganirira uwo mugabo ku iriba. 
GEN.24.30	Abonye ya mpeta na za zahabu zimeze nk'imiringa, biri ku maboko ya mushiki we, kandi yumvise amagambo ya Rebeka mushiki we ati “Ibyo ni byo uwo mugabo yambwiye”, ni ko kujya aho uwo mugabo ari. Asanga ahagaze iruhande rwa za ngamiya ku isōko. 
GEN.24.31	Aramubwira ati “Ngwino winjire, uhiriwe ku Uwiteka, ni iki kiguhagaritse hanze, ko niteguye inzu n'ikiraro cy'ingamiya?”
GEN.24.32	Uwo mugabo yinjira mu nzu, Labani akura imitwaro kuri izo ngamiya, atanga inganagano n'ibyokurya by'ingamiya, n'amazi yo kumwoza ibirenge n'ayo koza iby'abo bari kumwe. 
GEN.24.33	Bamuzanira ibyokurya, maze arababwira ati “Sindya ntaravuga ubutumwa.”
GEN.24.33	Labani aramubwira ati “Buvuge.”
GEN.24.34	Aramubwira ati “Ndi umugaragu wa Aburahamu. 
GEN.24.35	Kandi Uwiteka yahaye databuja imigisha myinshi ahinduka umuntu ukomeye, kandi yamuhaye imikumbi n'amashyo, n'ifeza n'izahabu, n'abagaragu n'abaja, n'ingamiya n'indogobe. 
GEN.24.36	Kandi na Sara muka databuja yamubyariye umuhungu akecuye, ni we yahaye ibye byose. 
GEN.24.37	Kandi databuja yarandahirije ngo ne kuzasabira umwana we Umunyakanānikazi, abo atuyemo. 
GEN.24.38	Ahubwo ngo nzajye mu nzu ya se no muri bene wabo, ngo abe ari bo nsabiriramo umwana we. 
GEN.24.39	Mbwira databuja nti ‘Ahari umukobwa azanga ko tuzana.’ 
GEN.24.40	Aransubiza ati ‘Uwiteka ngendera imbere, azatuma marayika we ngo ajyane nawe, azaha urugendo rwawe ihirwe, maze nawe uzasabire umwana wanjye umugeni wo muri bene wacu, mu nzu ya data. 
GEN.24.41	Nugera kuri bene wacu, ni bwo utazafatwa n'indahiro nkurahije. Baramuka bamukwimye, ntuzafatwa n'indahiro nkurahije.’
GEN.24.42	“Maze uyu munsi ngera ku isōko, ndasenga nti ‘Uwiteka Mana ya databuja Aburahamu, niba uhaye urugendo ngenda ihirwe, 
GEN.24.43	dore mpagaze ku isōko, bibe bitya: umukobwa usohoka kuvoma nkamubwira nti “Ndakwinginze, mpa utuzi ku kibindi cyawe nyweho”, 
GEN.24.44	akansubiza ati “Nywaho ubwawe kandi nduhira n'ingamiya zawe”, abe ari we uba umugeni Uwiteka yatoranirije mwene databuja.’ 
GEN.24.45	Ngisengera mu mutima wanjye, Rebeka asohoka ashyize ikibindi ku rutugu, aramanuka ajya ku isōko, aravoma. Ndamubwira nti ‘Ndakwinginze, mpa nyweho.’ 
GEN.24.46	Acisha bugufi ikibindi n'ingoga agikuye ku rutugu rwe, arambwira ati ‘Nywaho, nduhira n'ingamiya zawe.’ Ndanywa, kandi yuhira n'ingamiya zanjye. 
GEN.24.47	Ndamubaza nti ‘Uri mwene nde?’ Aransubiza ati ‘Ndi mwene Betuweli wa Nahori na Miluka.’ Mpera ko nkatira impeta ku zuru rye n'imiringa ku maboko ye. 
GEN.24.48	Ndunama, nikubita hasi, nsenga Uwiteka, mpimbaza Uwiteka Imana ya databuja Aburahamu, yanyoboye inzira ikwiriye ngo mboneremo umukobwa wabo wa databuja, musabire umwana we. 
GEN.24.49	Nuko nimushaka kugirira databuja neza, ntimumurerege nimumbwire, kandi nimutabyemera nimumbwire nanjye mpindukire njye iburyo cyangwa ibumoso.”
GEN.24.50	Labani na Betuweli baramusubiza bati “Ibyo biturutse ku Uwiteka, nta kindi tubasha kukubwira, ari icyiza, ari n'ikibi. 
GEN.24.51	Dore Rebeka ari imbere yawe, mujyane abe muka mwene shobuja, nk'uko Uwiteka yavuze.” 
GEN.24.52	Umugaragu wa Aburahamu yumvise amagambo yabo, yikubita hasi, aramya Uwiteka. 
GEN.24.53	Uwo mugaragu azana ibintu by'ifeza n'iby'izahabu n'imyenda abiha Rebeka, kandi aha na musaza we na nyina ibintu by'igiciro cyinshi.
GEN.24.54	We n'abo bazanye bararya baranywa, baraharara buracya, babyuka mu gitondo, arababwira ati “Nimunsezerere nsubire kwa databuja.”
GEN.24.55	Musaza w'umukobwa na nyina baramusubiza bati “Umukobwa nasigarane natwe iminsi cumi cyangwa isagaho, azabone kugenda.”
GEN.24.56	Arabasubiza ati “Mwintinza kuko Uwiteka yahaye urugendo rwanjye ihirwe, nimunsezerere nsubire kwa databuja.”
GEN.24.57	Baramusubiza bati “Reka duhamagare umukobwa tumubaze, twumve irimuva mu kanwa.” 
GEN.24.58	Bahamagara Rebeka, baramubaza bati “Urajyana n'uyu mugabo?”
GEN.24.58	Arabasubiza ati “Turajyana.”
GEN.24.59	Basezera kuri Rebeka mushiki wabo n'umurezi we, basezerera umugaragu wa Aburahamu n'abantu be. 
GEN.24.60	Bifuriza Rebeka umugisha baramubwira bati
GEN.24.60	“Mushiki wacu, uzabe nyirakuruza w'abantu inzovu ibihumbi,
GEN.24.60	Urubyaro rwawe ruzahindūre amarembo y'abanzi barwo.”
GEN.24.61	Rebeka ahagurukana n'abaja be bajya ku ngamiya, zirabaheka bakurikira uwo mugabo, uwo mugaragu ajyana Rebeka aragenda.
GEN.24.62	Bukeye Isaka aza aturutse mu nzira yo ku iriba ryitwa Lahayiroyi, kuko yari atuye mu gihugu cy'i Negebu. 
GEN.24.63	Isaka arasohoka, ajya kwibwirira mu gasozi nimugoroba, yubura amaso, abona ingamiya ziza. 
GEN.24.64	Rebeka yubura amaso, abonye Isaka, ava ku ngamiya. 
GEN.24.65	Abaza wa mugaragu ati “Uriya mugabo ni nde ugenda ku gasozi, tugiye guhura?”
GEN.24.65	Uwo mugaragu aramusubiza ati “Ni databuja.” Rebeka yenda umwenda we, yitwikira mu maso.
GEN.24.66	Uwo mugaragu atekerereza Isaka ibyo yakoze byose. 
GEN.24.67	Isaka azana Rebeka mu ihema rya nyina Sara, aramurongora, aba umugore we, aramukundwakaza. Isaka ashira umubabaro wa nyina yapfushije.
GEN.25.1	Aburahamu arongora undi mugore witwa Ketura. 
GEN.25.2	Babyarana Zimurani na Yokishani, na Medani na Midiyani, na Yishibaki na Shuwa. 
GEN.25.3	Yokishani yabyaye Sheba na Dedani. Bene Dedani ni Abashuri n'Abaletushi n'Abaleyumi. 
GEN.25.4	Bene Midiyani ni Efa na Eferi, na Henoki na Abida na Eluda. Abo bose ni urubyaro rwa Ketura.
GEN.25.5	Aburahamu yahaye Isaka ibye byose. 
GEN.25.6	Ariko abana b'inshoreke Aburahamu yari afite, abaha impano akiriho, arabohereza ngo batandukane na Isaka umwana we, bagende berekeje iburasirazuba, bajye mu gihugu cy'iburasirazuba.
GEN.25.7	Iminsi Aburahamu yaramye ni imyaka ijana na mirongo irindwi n'itanu. 
GEN.25.8	Aburahamu ageze mu za bukuru, aramye imyaka myinshi, umwuka urahera, apfa ashaje neza, asanga bene wabo. 
GEN.25.9	Abana be Isaka na Ishimayeli, bamuhamba muri bwa buvumo bw'i Makipela, buri mu isambu ya Efuroni mwene Sohari Umuheti, iri imbere y'i Mamure. 
GEN.25.10	 Ni yo sambu Aburahamu yaguze n'Abaheti, ari ho bahambye Aburahamu na Sara umugore we. 
GEN.25.11	Aburahamu amaze gupfa Imana iha umugisha Isaka umwana we, Isaka yari atuye hafi ya rya riba ryitwa Lahayiroyi.
GEN.25.12	Uru ni rwo rubyaro rwa Ishimayeli, umwana wa Aburahamu, uwo Hagari Umunyegiputakazi, umuja wa Sara yabyaranye na Aburahamu. 
GEN.25.13	Uku ni ko abana ba Ishimayeli bitwaga, nk'uko amazina yabo ari, nk'uko babyaranye. Imfura ya Ishimayeli ni Nebayoti, hakurikiraho Kedari na Adibēli na Mibusamu, 
GEN.25.14	na Mishuma na Duma na Masa, 
GEN.25.15	na Hadadi na Tema na Yeturi, na Nafishi na Kedema. 
GEN.25.16	Abo ni bo bana ba Ishimayeli, ayo ni yo mazina yabo, nk'uko imidugudu yabo iri, nk'uko ingo zabo ziri. Ni abatware cumi na babiri, nk'uko amoko yabo ari. 
GEN.25.17	Imyaka Ishimayeli yaramye ni ijana na mirongo itatu n'irindwi, umwuka urahera arapfa, asanga bene wabo. 
GEN.25.18	Bahera i Havila batura, bageza i Shuri, iri imbere ya Egiputa, aherekeye Ashuri. Yari atuye imbere ya bene se bose.
GEN.25.19	Uru ni urubyaro rwa Isaka, umwana wa Aburahamu. Aburahamu yabyaye Isaka, 
GEN.25.20	Isaka yari amaze imyaka mirongo ine avutse, ubwo yarongoraga Rebeka, mwene Betuweli Umwaramu w'i Padanaramu, mushiki wa Labani Umwaramu. 
GEN.25.21	Isaka yingingira umugore we Uwiteka kuko yari ingumba, Uwiteka yemera kwinginga kwe, Rebeka umugore we asama inda. 
GEN.25.22	Abana bakiranira mu nda ye aribaza ati “Ubwo bimeze bityo, ibi bimbereyeho
GEN.25.23	“Inda yawe irimo amahanga abiri,
GEN.25.23	Amoko abiri azatandukana,
GEN.25.23	Ahereye igihe azavira mu mara yawe.
GEN.25.23	Ubwoko bumwe buzarusha ubundi amaboko,
GEN.25.23	Umukuru azaba umugaragu w'umuto.”
GEN.25.24	Maze igihe cyo kubyara kwe gisohoye, zari impanga mu nda ye. 
GEN.25.25	Gakuru avuka atukura, ari cyoya nk'umwenda w'ubwoya, bamwita Esawu. 
GEN.25.26	Hakurikiraho Gato, afashe agatsinsino ka Esawu, bamwita Yakobo. Kandi Isaka yari amaze imyaka mirongo itandatu avutse, ubwo Rebeka yababyaraga.
GEN.25.27	Abo bahungu barakura. Esawu aba umuhigi w'umuhanga w'umunyeshyamba, Yakobo we yari umunyamahane make, yabaga mu mahema. 
GEN.25.28	Maze Isaka yakundiraga Esawu kuko yajyaga arya ku muhigo w, Rebeka we yakundaga Yakobo.
GEN.25.29	Bukeye Yakobo ateka imboga, Esawu arinjira avuye mu ishyamba, akōza. 
GEN.25.30	Esawu abwira Yakobo ati “Ndakwinginze, ngaburira ku bitukura utetse, kuri ibyo bitukura byawe, kuko nkōza.” Ni cyo cyatumye yitwa Edomu.
GEN.25.31	Yakobo aramusubiza ati “Keretse twagura ubutware bwawe uyu munsi.”
GEN.25.32	Esawu aramusubiza ati “Ubu se ko ngiye gupfa, ubwo butware bumariye iki?”
GEN.25.34	Yakobo aha Esawu umutsima n'ibishyimbo yatetse, ararya aranywa, arahaguruka arigendera. Uko ni ko Esawu yasuzuguye ubutware bwe.
GEN.26.1	Indi nzara itera muri icyo gihugu, itari iyateraga mbere Aburahamu akiriho. Isaka ajya i Gerari kwa Abimeleki, umwami w'Abafilisitiya. 
GEN.26.2	Uwiteka aramubonekera aramubwira ati “Ntumanuke ngo ujye muri Egiputa, uzature mu gihugu nzakubwira. 
GEN.26.3	 Suhukira muri iki gihugu, nanjye nzabana nawe, nguhe umugisha kuko wowe n'urubyaro rwawe nzabaha ibi bihugu byose, kandi nzakomeza indahiro narahiye Aburahamu so. 
GEN.26.4	Kandi nzagwiza urubyaro rwawe ruhwane n'inyenyeri zo mu ijuru, kandi nzaha urubyaro rwawe ibi bihugu byose. Kandi mu rubyaro rwawe ni mo amahanga yose yo mu isi azaherwa umugisha, 
GEN.26.5	kuko Aburahamu yanyumviraga, akitondera ibyo namwihanangirije n'ibyo nategetse, n'amategeko yanjye nandikishije n'ayo navuze.”
GEN.26.6	Isaka atura i Gerari. 
GEN.26.7	 Abantu b'aho bamubaza iby'umugore we, arabasubiza ati “Ni mushiki wanjye”, kuko yatinye kuvuga ati “Ni umugore wanjye.” Ati “Abantu b'aha be kunyica bampora Rebeka”, kuko yari umunyagikundiro. 
GEN.26.8	Amazeyo igihe kirekire, Abimeleki umwami w'Abafilisitiya arungurukira mu idirishya, abona Isaka akinisha umugore we. 
GEN.26.9	Abimeleki ahamagaza Isaka aramubwira ati “Biragaragara yuko ari umugore wawe, ko wavuze uti ‘Ni mushiki wanjye’?”
GEN.26.9	Isaka aramusubiza ati “Ni uko nibwiraga nti ‘Be kunyica bamumpora.’ ”
GEN.26.10	Abimeleki aramubaza ati “Ibyo watugize ibyo ni ibiki? Byashigajeho hato umwe mu bantu banjye akaryamana n'umugore wawe, ukadushyirishaho icyaha.” 
GEN.26.11	Abimeleki yihanangiriza abantu be bose ati “Uzakura uyu mugabo cyangwa umugore we ntazabura gucirwaho iteka.”
GEN.26.12	Isaka abiba muri icyo gihugu, muri uwo mwaka yeza ibirutaho incuro ijana. Uwiteka amuha umugisha. 
GEN.26.13	Uwo mugabo aba umukire, agenda arushaho, ageza aho yabereye umukire cyane. 
GEN.26.14	Yari afite imikumbi n'amashyo n'abagaragu benshi, atera Abafilisitiya ishyari. 
GEN.26.15	Amariba yose abagaragu ba se bafukuye, Aburahamu se akiriho, Abafilisitiya bari bayashibishije ibitaka.
GEN.26.16	Abimeleki abwira Isaka ati “Genda utuvemo, kuko uturuta cyane.” 
GEN.26.17	Isaka avayo, abamba amahema ye mu gikombe cy'i Gerari, aturayo. 
GEN.26.18	Isaka asibūza amariba bafukuye, Aburahamu se akiriho, kuko Abafilisitiya bari bayasibye, Aburahamu amaze gupfa. Ayita amazina se yayise.
GEN.26.19	Abagaragu ba Isaka bafukura muri icyo gikombe, babonamo iriba ry'amazi adudubiza. 
GEN.26.20	Abashumba b'i Gerari batonganira ayo mazi n'aba Isaka, bati “Ni ayacu.” Isaka yita iryo riba Eseki
GEN.26.21	Bongera gufukura irindi riba, na ryo bararitonganira, aryita Sitina
GEN.26.22	Avayo afukuza irindi riba, ryo ntibaritonganira, aryita Rehoboti
GEN.26.23	Avayo arazamuka, ajya i Bērisheba. 
GEN.26.24	Uwiteka amubonekera iryo joro aramubwira ati “Ndi Imana ya so Aburahamu, ntutinye kuko uri kumwe nanjye, kandi nzaguha umugisha, ngwize urubyaro rwawe ngiriye umugaragu wanjye Aburahamu.” 
GEN.26.25	Yubakayo igicaniro, yambaza izina ry'Uwiteka, abambayo ihema rye, kandi abagaragu ba Isaka bahafukura n'iriba.
GEN.26.27	Isaka arababaza ati “Ni iki kibazanye aho ndi kandi munyanga, mwaranyirukanye aho muri?”
GEN.26.28	Baramusubiza bati “Twabonye neza yuko Uwiteka ari kumwe nawe, turavuga tuti ‘Dushyire indahiro hagati yacu nawe, kandi dusezerane nawe 
GEN.26.29	yuko utazatugirira nabi, nk'uko natwe tutakwakuye, ahubwo twakugiriye neza gusa, tugusezeraho amahoro.’ None uhiriwe ku Uwiteka.” 
GEN.26.30	Nuko Isaka abatekera ibyokurya bararya, baranywa. 
GEN.26.31	Bazinduka kare bararahiranya, Isaka arabasezerera bamusiga amahoro.
GEN.26.32	Kuri uwo munsi abagaragu ba Isaka baraza, bamubwira iby'iriba bafukuye, bati “Tubonye amazi.” 
GEN.26.33	Aryita Sheba. Ni cyo gituma uwo mudugudu witwa Bērisheba na bugingo n'ubu.
GEN.26.34	Esawu amaze imyaka mirongo ine avutse arongora Yuditi mwene Beri Umuheti, na Basemati mwene Eloni Umuheti, 
GEN.26.35	bababaza imitima ya Isaka na Rebeka.
GEN.27.1	Isaka ashaje, amaso ye amaze kuba ibirorirori, ahamagara imfura ye Esawu ati “Mwana wanjye.” Aritaba ati “Karame.”
GEN.27.2	Aramubwira ati “Dore ndi umusaza, sinzi igihe nzapfira. 
GEN.27.3	None ndakwinginze, enda ibyo uhigisha, ikirimba cyawe n'umuheto wawe, ujye mu ishyamba umpigireyo umuhigo, 
GEN.27.4	untekere inyama ziryoshye nk'izo nkunda, uzinzanire nzirye mbone kuguhesha umugisha ntarapfa.”
GEN.27.5	Rebeka yumva Isaka abwira umwana we Esawu. Esawu ajya mu ishyamba guhiga, ngo ahigurire se umuhigo. 
GEN.27.6	Rebeka abwira Yakobo umwana we ati “Numvise so abwira Esawu mwene so ati 
GEN.27.7	‘Mpigurira umuhigo, untekere inyama ziryoshye nzirye, nguheshereze umugisha mu maso y'Uwiteka ntarapfa.’ 
GEN.27.8	Nuko none mwana wanjye, wumvire ibyo ngiye kugutegeka. 
GEN.27.9	Jya mu mukumbi unzanire abana b'ihene beza babiri, nanjye ndabatekera so babe inyama ziryoshye zimeze nk'izo akunda, 
GEN.27.10	nawe uzishyīre so azirye, aguheshe umugisha atarapfa.”
GEN.27.11	Yakobo asubiza Rebeka nyina ati “Dore Esawu mukuru wanjye ni cyoya, jyeweho umubiri wanjye ni umurembe. 
GEN.27.12	Ahari data yankorakora, akamenya ko ndi umuriganya, nkizanira umuvumo mu cyimbo cy'umugisha.”
GEN.27.13	Nyina aramubwira ati “Mwana wanjye umuvumo wawe abe ari jye ubaho, nyumvira gusa ugende uzinzanire.” 
GEN.27.14	Aragenda arazizana aziha nyina, nyina ateka inyama ziryoshye nk'izo se akunda. 
GEN.27.15	Rebeka yenda imyambaro myiza ya Esawu imfura ye, iyo yari afite mu nzu, ayambika Yakobo umuhererezi. 
GEN.27.16	Kandi ashyira impu z'abo bana b'ihene ku bikonjo bye no ku ijosi rye, aharembekereye. 
GEN.27.17	Aha umwana we Yakobo za nyama ziryoshye yatetse n'umutsima yavuze.
GEN.27.18	Ajya aho se ari aramuhamagara ati “Data.” Aritaba ati “Ndakwitaba. Uri nde mwana wanjye?”
GEN.27.19	Yakobo asubiza se ati “Ndi imfura yawe Esawu, nkoze ibyo wantegetse. Ndakwinginze, byuka urye ku muhigo wanjye, kugira ngo umpeshe umugisha.”
GEN.27.20	Isaka abaza umwana we ati “Ni iki kiwukubonesheje vuba utyo, mwana wanjye?”
GEN.27.20	Aramusubiza ati “Ni uko Uwiteka Imana yawe impaye ishya.”
GEN.27.21	Isaka abwira Yakobo ati “Mwana wanjye, igira hino ndakwinginze, ngukorakore, menye yuko uri umwana wanjye Esawu koko, cyangwa ko utari we.” 
GEN.27.22	Yakobo yegera Isaka se, aramukorakora aravuga ati “Ijwi ni irya Yakobo, ariko ibikonjo ni ibya Esawu.” 
GEN.27.23	Ntiyamenya uwo ari we, kuko ibikonjo bye biriho ubwoya nk'ibya mukuru we Esawu, nuko amuhesha umugisha. 
GEN.27.24	Aramubaza ati “Uri umwana wanjye Esawu koko?”
GEN.27.24	Aramusubiza ati “Ndi we.”
GEN.27.25	Aramubwira ati “Wunyegereze, nanjye ndye ku muhigo w'umwana wanjye, kugira ngo nguheshe umugisha.” Arawumwegereza ararya, amuzanira vino, ashozaho. 
GEN.27.26	Se Isaka aramubwira ati “Mwana wanjye, nyegera unsome.” 
GEN.27.27	 Aramwegera, aramusoma, yumva impumuro y'imyambaro ye, amuhesha umugisha ati
GEN.27.27	“Impumuro y'umwana wanjye,
GEN.27.27	Imeze nk'iy'umurima Uwiteka
GEN.27.27	Yahaye umugisha.
GEN.27.28	Nuko Imana iguhe ku kime kiva mu ijuru,
GEN.27.28	No ku mwero w'ubutaka,
GEN.27.28	N'imyaka y'impeke myinshi,
GEN.27.28	Na vino nyinshi.
GEN.27.29	Amahanga akwikubite imbere,
GEN.27.29	Utware bene so,
GEN.27.29	Bene nyoko bakwikubite imbere.
GEN.27.29	Uzakuvuma wese avumwe,
GEN.27.29	Uzakwifuriza umugisha wese awuhabwe.”
