MAT.1.1	Aganay sləm aŋa azla­baba madzi­dziga aŋa Yesu Kristu, bəzi aŋa David, bəzi aŋa Abəraham. 
MRK.13.2	Yesu awulàlla: “Kanəŋa gày məŋga uwanay ay? Amiyaka akur tekula kà, adàgəɗal à gay aw. Azlaməna məzam tadà­bazlah à ahəŋ gesina.”
MRK.13.3	Yesu ahàd à gudəŋ à afik, adzà madzay la gudəŋ kuvu la afik, la huma magol gày Zəzagəla. Azla Piyer, Yakuba, Yuhana la Andəre uwana kokuɗa gəl aŋatà, tanàval: 
MRK.13.4	“Pə̀hanula, mbà tatak uwanay adàpaka vok ma? La mana mədà­nəŋəŋ madəv à gay aŋa tatak uwaga adàsa à waŋ ma?” 
MRK.13.5	La abatà Yesu adzəkà mapàhla ala la magoɗay: “Ɗahàw haŋkəli, dza avavar akul aw! 
MRK.13.6	Kà uwana azladza aŋuvaw tadàsa à waŋ la sləm gulo, tadà­goɗay: ‘Gi la uwana, gi dza uwana Zəzagəla afàl dzakwa à gəl.’ Tadàzah azladza ala aŋuvaw. 
MRK.13.7	Baŋa kadàtsənaw gay guvəl la slaka nekwa gà, ŋgaha uwana la slaka kərkər gà kà, guba akəs akul aw. Say uwaga adapaka vok leri, ama uwaga kà makəɗ gəl aŋha dadàŋ aw. 
MRK.13.8	Kà uwana azladza kutso anik tadàp guvəl la azladza kutso anik, makoray aŋa sufəl anik tadàp guvəl la makoray aŋa sufəl anik. Kutso adà­ɓəlaka vok la slaka anik anik, ŋgaha may məŋga adàsa à waŋ. Uwaga madzəka vok aŋa ŋgərpa bokuba mazay aŋa huɗ bəzi pəra.”
MRK.13.9	“Ama akul kà, ɗahàw haŋkəli kà gəl aŋkul, kà uwana tadà­kasah akul, ŋgaha tadàɗahla akul à huma seriya. Tadà­zlaɓah akul la gày madəv kuɗa la aku. Tadà­tsazlah akul à huma azlaməŋga, la azla­su­fəl kà gay gulo, ŋgaha kadà­pahaw gay gulo la huma aŋatà. 
MRK.13.10	Say dza gesina la gudəŋ la vok tadà­tsən gay Zəzagəla dadàŋ. 
MRK.13.11	Baŋa takas akul, tadala akul à huma seriya, guba adàkas akul dadàŋ, kà gay uwana kadàpəhaw à atà à adi aw. Ama baŋa kaslà adàsa à waŋ, gay uwana kadàpəhaw kà kadà­ɓəzawwal la ləv aŋkul la tsəh, kà uwana gay uwanay kà, gay aŋa gəl aŋkul aw, ama Masasəɗok Zəzagəla adàvà à akul! 
MRK.13.12	Azladza tadàvah azla­deda aŋatà la ahàl aŋatà kà makaɗ atà. Baba bay adàva bəzi aŋha kà aŋa makəɗay, azlabəza bay tadà­gohla afaɗ à azla­baba aŋatà à gəl, ŋgaha tadàkaɗ atà. 
MRK.13.13	Azladza gesina tadà­pəsewah akul lakəl aŋa gay gulo. Ama dza uwana adà­basiŋ tsəràh à awtày la tetəvi Zəzagəla la ama kà, masla kà adàɓəlay.”
MRK.13.14	Yesu agòɗ bay: “Kadànəŋaw dza uwana tazala: Məzam aŋa Zəzagəla adàdza madzay la slaka uwana azlayla aw, (Dza uwana adzeŋ uwaga kà atsənəŋ lela!), azla­uwana la Yahu­diya tadàhoy à gudəŋ à afik. 
MRK.13.15	Dza uwana la gəl gày, adàsa à vəɗah, ama adàda à gày kà mahəl tatak aŋha aya aw. 
MRK.13.16	Dza uwana la guf la abà, adàwul à mtəga kà mahəl lukut aŋha bay aw. 
MRK.13.17	Ŋgərpa kà aŋa azlamis uwana la bəza la huɗ, ŋgaha azlamis uwana bəza vərna aga à atà la ahàl, la mavakay uwatà. 
MRK.13.18	Də̀vàw kuɗa à Zəzagəla kà tatak uwaga aŋa mapak vok la təla anasl aw. 
MRK.13.19	La kaslà uwatà kà, ŋgərpa məŋga adàgay la ahəŋ, uwana adapak vok dagay uwana Zəzagəla aɗahà gudəŋ à vok tsəràh à lakana aw, adàpaka vok bokuba uwaga aya ɗiki­ɗiki aw. 
MRK.13.20	Ama Zəzagəla adag azla­ma­vakay uwatà desl kà azladza aŋha uwana ada­tsa­tsa­mani à atà. Baŋa kiya uwaga aw, kà dza adàɓəlay ɗiki­ɗiki aw.”
MRK.13.21	“Kiya uwaga, baŋa dza anik agoɗ à akul: ‘Aganay dza uwana Zəzagəla afàl dzakwa à gəl la abanay, à agatày, la abatày’, kadi­ŋawwal gəl à vok aw! 
MRK.13.22	Kà uwana azlaməna mapəh à atà gay à ahàl fidaga tadà­saha à waŋ, tadà­pahla azla­na­dzipo anik anik ala, kà maz azladza uwana ala Zəzagəla ada­tsa­tsamni atà, à baŋa taslala vok. 
MRK.13.23	Akul zlà kà, ɗahàw haŋkəli! Gədapəh à akul tatak uwaga à vok à abà dagay uwarà.”
MRK.13.24	“La mavakay uwatà, la lig aŋa ŋgərpa la ahəŋ, afats adàtəf à zagəla, təla adàuɗay aya aw. 
MRK.13.25	Azla­tse­tsiliŋ tadàsokw à ahəŋ la zagəla, azla­maslay uwana la zagəla la afik tadàɓəlaka vok. 
MRK.13.26	Ŋgaha azladza gesina tadànəŋ Kona aŋa dza atsa à ahəŋ la habaga la abà, la ndzəɗa ŋgaha la mazləɓay məŋga.
MRK.13.27	Adàsləl azla­ma­lika aŋha à slaka gesina, kà maham à gay azladza uwana à vok Zəzagəla atsa­tsà­mànì atà, dagay la gay tər gudəŋ à vok ufaɗ.”
MRK.13.28	“Tapawla gay la gay la abà aŋa gudəv: Baŋa azləl ahàl mawga baɓasl aɗay, kasəlaw kà təla madara kà nekwa. 
MRK.13.29	Kiya uwaga babay, baŋa kanəŋaw tatak uwaga apakà vok gesina, sə̀làw kà, Kona aŋa dza kà nekwa la gay gamagày kà mas à waŋ. 
MRK.13.30	Haɗay, gəgoɗ à akul: Azladza aŋa zamana uwanay tadàdəv à gay dadàŋ aw, say baŋa tatak uwanay adàpaka vok gesina dadàŋ. 
MRK.13.31	Zagəla la kutso tadàdəv à gay, ama gay gulo kà, adàdəv à gay ɗiki­ɗiki aw.”
MRK.13.32	“Ama dza asəl mavakay uwatà, baŋaw kaslà uwatà aw, azla­ma­lika uwana la zagəla la afik tasəl aw, Kona aŋa dza bay asəl aw, say Baba kokuɗa gəl aŋha pəra. 
MRK.13.33	Ɗahàw haŋkəli, kadzewhal aw, kà uwana kasəlaw mok uwana tatak uwaga adàpaka vok aw. 
MRK.13.34	Adà­pakay kà bokuba dza uwana ad à mau­gu­zahay, asàkìyà à gày aŋha à ahəŋ, aviyà à ahàl aŋa azla­ma­gamza aŋha, avàhà à atà sləray ala, ŋgaha agòɗ à masla manəŋla gamagày: ‘Say kanəŋla lela, kadzehal aw!’ 
MRK.13.35	Kà uwaga dzàw à ahəŋ la adi, kà uwana kasəlaw mok uwana zil gày adàwul à waŋ aw, bi la mokokhu, bi la tataka vəɗ, bi la mawiyay gotsak, bi məl palaha. 
MRK.13.36	Baŋa atsa à waŋ katskats, aɓəza akul à gəl la madzehal la abà aw. 
MRK.13.37	Tatak uwana gəgoɗ à akul, gəgoɗ à azladza gesina babay: Dzàw à ahəŋ la adi!”
MRK.14.1	A lig mavakay səla kà aŋa madzəka madəvaday Paska uwana azladza tazuw Pain kokuɗa tatak makəsliŋ, azlaməŋga aŋa azlaməna mav tatak à Zəzagəla, la azla­ma­dza­haga aŋa wakità seriya aŋa Zəzagəla tayàh tetəvi la vuɗ uwatà, kà makəs Yesu la ɗemɗem, ŋgaha aŋa makəɗay. 
MRK.14.2	Tagoɗ: “Mədàkəs la vuɗ madəvaday aw, kà azladza aŋa madzəka magazlay aw.”
MRK.14.3	Uwana Yesu la gudəŋ Be­ta­niya, la kay aŋa Səmon, masla akàl zagəla, mok uwana adadza madzay kà mazuw tatak may kà, mis anik asà à waŋ la amàl matərsin la ahàl la koloba gà, sləm aŋa amàl uwatà kà nar. Tsa­kalay aŋha kà zla­zlaɗa. Mis uwatà apə̀zl koloba, adzadzàɓ matərsin uwatà à Yesu à gəl. 
MRK.14.4	Azladza anik uwana la abatà kà, azìŋ atà à gəl, tagòɗ: “Kà mana awis amàl matərsin aŋha ala deyday ma? 
MRK.14.5	Agayŋa aduw matərsin gà ala aŋa sili dadərmokw makər, ŋgaha avàh sili gà azlaməna kuɗa la uwana aɗuwa à vok.” Kiya uwaga taŋoŋùz à tsəh ala lakəl aŋha. 
MRK.14.6	Ama Yesu agòɗ à atà: “Sàkàwwal! Kà mana kavərawla gay ma? Aɗàh à gi sləray delga gà. 
MRK.14.7	Azlaməna kuɗa kà, atà la slaka aŋkul koksi­koksi, kaslawwalla vok aŋa maɗaha à atà delga koksi­koksi bokuba uwana asa à akul. Ama gi gədàdza à ahəŋ la akul koksi­koksi aw. 
MRK.14.8	Mis uwanay aɗahà uwana aslàla vok. Masla aɗàh gi amàl matərsin à vok kà, kà maɗàh gi à ahəŋ aŋa maf gi à zəvay à agu. 
MRK.14.9	Haɗay, gəgoɗ à akul: La gudəŋ la vok gesina, uwana tadàpah gay marabəŋ, tadàpəhay bay tatak uwana mis uwanay aɗahàŋ, ŋgaha mis uwanay adàwul à atà à gəl.”
MRK.14.10	La lig la ahəŋ, Yudas Iska­riyot, tekula la tataka aŋa azlaməna matapla kulo gəl aŋha səla la abà, ahàd à slaka azla­ma­dza­haga aŋa azlaməna mav tatak à Zəzagəla kà mat kaf à Yesu à gəl. 
MRK.14.11	Uwana tatsənà uwaga kà, taràb, tagòɗal: “Mədàvà à ka sili.” Dagay kaslà uwatà, Yudas ayàh tetəvi kà mapəhla Yesu ala.
MRK.14.12	La mavakay teraŋa aŋa madəvaday Pain kokuɗa tatak makəsliŋ, vuɗ makaɗ magadzaw aŋa Paska, azlaməna matapla aŋha tanàval à gay la: “Lala asa à ka kà məday kà maɗàh à ka tatak may aŋa madəvaday Paska à ahəŋ la?” 
MRK.14.13	Yesu aslə̀l azladza səla la tataka aŋatà la abà, agòɗ à atà: “Dàw à gudəŋ à abà, dza la ahəŋ la tuguzl lakəl, la iyaw gà, kadà­ga­gamaw akul nna. 
MRK.14.14	Nə̀fàw à gày uwana à abà adàda à agu, gòɗàw à zil gày uwatà kà: Məŋga gami agoɗ à ka: ‘Lala à gày gulo, uwana gədàzuw tatak may aŋa Paska la aku la azlaməna matapla gulo li? agoɗ’, gòɗàwwal. 
MRK.14.15	Masla adàpəhakulla gày məŋga uwana la afik gà, slaka maɗehəŋ à ahəŋ gà gesina. La abatà la uwana kadà­ɗahaw vok à ahəŋ gesina kà aŋami.” 
MRK.14.16	Azlaməna matapla la slaka aŋha tahàd, tahàd à huɗ gudəŋ à abà, taɓəzà tatak à gəl bokuba uwana Yesu apə̀hatàla. Uwana taɗàh tatak may Paska à ahəŋ kà, tawùl à slaka Yesu.
MRK.14.17	Uwana mokokhu adasa à waŋ kà, Yesu abə̀z à abatà la azlaməna matapla aŋha kulo gəl aŋha səla. 
MRK.14.18	Mok uwana tadzà madzay, tazùw tatak may, Yesu agòɗ à atà: “Haɗay, gəgoɗ à akul, tekula la tataka aŋkul la abà uwana məzuw tatak may səla adàta à gi kaf à gəl.”
MRK.14.19	Azlaməna matapla la slaka aŋha tadzəkà mazawla à gəl, tagoɗal la tekula tekula aŋatà: “Gi zlàk uwà? Gi zlàk uwà?”
MRK.14.20	Yesu agòɗ à atà: “Dza tekula la tataka aŋkul la abà, uwana mədəɓ alàl à kaf à gəl anu səla, la uwana adàta à gi kaf à gəl. 
MRK.14.21	Ndzer gi, gi Kona aŋa dza gədàmətsay bokuba uwana tatsetsèr à wakità à abà lakəl gulo. Ama ŋgərpa adàgay la dza uwana adàtəg kaf à gəl aŋa Kona aŋa dza agay, tayyì dza uwaga aw kà ŋuləm kà masla.”
MRK.14.22	La mok uwana tazùw tatak may, Yesu azə̀ɓ kaf, atsàkàŋ ala, ‘Kikay’ agòɗ à Zəzagəla, ŋgaha avà à azlaməna matapla la slaka aŋha, agòɗ à atà: “Zùwàw uwaga kà vok gulo!” 
MRK.14.23	Ŋgaha azə̀ɓ kətsaw la iyaw mayyay ahàf gà, ‘Kikay’, agòɗ à Zəzagəla, avà à atà, atà gesina tasà à uda la abà, 
MRK.14.24	ŋgaha agòɗ à atà: “Uwaga kà aŋiz gulo, aŋiz makəs vok slawda la Zəzagəla, uwana asokw à vəɗah kà aŋa azladza aŋuvaw. 
MRK.14.25	Haɗay, gəgòɗ à akul, gədàsa iyaw mayyay ahàf uwanay aya aw, tsəràh à uwana mədàsay anina aya la makoray Zəzagəla.” 
MRK.14.26	Tazləɓà Zəzagəla la mahabay, ŋgaha tasà à uda, tadà aŋatà à gudəŋ kuvu à afik.
MRK.14.27	Yesu agòɗ à azlaməna matapla la slaka aŋha: “Akul gesina kadà­sakaw gi à ahəŋ, kadàhoy à waŋ akul, kà uwana uwaga kà matse­tse­rayga la wakità Zəzagəla la abà: ˈGədà­kəɗ masla manəŋla azla­tuwaŋ, azla­tuwaŋ tadàvah gəl à ahəŋ.ˈ
MRK.14.28	Ama la lig la ahəŋ, gədàwul à uda la mamətsay, gədà­tsəvokay kà akul kà mad à Galili.” 
MRK.14.29	Piyer agòɗal: “Amiyaka azladza gesina tasak à kak à ahəŋ kà, gi kà, gədàsak à kak à ahəŋ aw.” 
MRK.14.30	Ŋgaha Yesu awùllal ala: “Haɗay, gəpəh à ka, la vuɗ uwanay lakana, gurayŋa mew­g­dza­galaŋ awiyay asik səla kà, kà kak Piyer kadà­goɗay kà, kà kasəl gi aw, asik makər.” 
MRK.14.31	Ama Piyer agòɗ la ndzəɗa aya: “Gədàpəh tsəhay gay uwaga aw, gəmətsay ndzer la kak!” Atà gesina tagòɗ kiya uwaga babay.
MRK.14.32	Tabə̀z à slaka anik uwana sləm aŋha Ge­tse­mane. Yesu agòɗ à azlaməna matapla la slaka aŋha: “Dzàw à abanay, gəda à madəv kuɗa!” 
MRK.14.33	Yesu ahə̀l azla Piyer, Yakuba la Yuhana kà maday atà nna. Adzəkà maskulay la mazaw la gəl. 
MRK.14.34	Agòɗ à atà: “Mazaw la gəl akəɗ gi. Ama dzàw la abanay, dzèwhàl aw!” 
MRK.14.35	Azà à atà vok la vok ala ŋuv, atə̀ɗ à vəɗah, adə̀v kuɗa à Zəzagəla: “Baŋa kaslala vok, và à gi tetəvi, kà kaslà aŋa ŋgərpa ada aŋha la slaka gulo. 
MRK.14.36	Iyay Baba gulo, kaslala vok kà maɗàh tatak gesina. Zə̀ɓagəŋ kətsaw ŋgərpa uwanay ala la slaka gulo. Ama bokuba uwana asa à gi aw, say bokuba uwana asa à ka.”
MRK.14.37	Ŋgaha awùl à waŋ, aɓəzà azlaməna matapla aŋha makər uwatà à gəl, atà la madzehal gà. Agòɗ à Piyer: “Səmon, kadzehal ay? Kaslala vok aŋa madz à ahəŋ la adi sa tekula aw ay? 
MRK.14.38	Akul gesina dzàw à ahəŋ la adi, də̀vàw kuɗa kà matəɗiya à mava­varay à abà aw. Haɗay, masasəɗok aŋa dza asal makəs gay, ama vok aŋha la nzdəɗa aw!”
MRK.14.39	Ŋgaha adà aŋha aya. Adə̀v kuɗa kalkal uwana uwarà. 
MRK.14.40	Uwana awùl à waŋ, aɓəzà atà à gəl la madzehal gà. Taslàlà vok aŋa madz à ahəŋ la adi aw. Tasə̀l uwana tawùllal ala aw.
MRK.14.41	Uwana awùl à waŋ à slaka aŋatà aŋa mamakər aŋha, agòɗ à atà: “Kadzewhal, kaduwaw ləv ay? Diga adagay, sa kà adaslay. Lagwa azlaməna tsakana takəs Kona aŋa dza. 
MRK.14.42	Sàw à afik, məhàd adagay, aganay dza uwana atəg à gi kaf à gəl kà ada­zlaŋay”, Yesu agòɗ à atà.
MRK.14.43	Mok uwana Yesu avàts gay dadàŋ, Yudas, tekula la tataka aŋa azla­kulo gəl aŋha səla la abà, asà à waŋ. Maham à ahəŋ dza aŋuvaw tanəfà à waŋ la katsakar, la zəva. Məŋ madza­haga aŋa azlaməna mav tatak à Zəzagəla, la azla­ma­dza­haga aŋa wakità seriya aŋa Zəzagəla, la azla­ma­siga la uwana taslə̀lla atà. 
MRK.14.44	Yudas uwana atàl kaf à gəl apə̀hla dabaray à maham à ahəŋ dza kà makəs Yesu. Agòɗ: “Dza uwana gədàsəkwiŋ maslawda slawda kà, masla la uwana kayahaw, kadà, kə̀sàw, ɗawùlla nə̀ŋàwla.” 
MRK.14.45	Uwana adabəz à abatà, katskats ahàd à slaka Yesu, agòɗ: “Məŋga gulo!”, akəsà vok. 
MRK.14.46	Azladza takə̀s Yesu, tawà­slàhàŋ à ahəŋ. 
MRK.14.47	Ama tekula la tataka azlaməna matapla la abà, atsìzlla ala, aɓə̀ɗ katsakar aŋha à lag, aɗə̀ɗ magamza aŋa məŋga aŋa azlaməna mav tatak à Zəzagəla, anàtsal sləm lakəl ala. 
MRK.14.48	Yesu agòɗ à maham à ahəŋ dza: “Kà mana katsàw à wàŋ la katsakar ŋgaha la zəva la ahàl kà aŋa makəs gi ma? Gi masla nabəra ay? 
MRK.14.49	Kəla mavakay gədzà à ahəŋ la akul la məŋ gày Zəzagəla la aku, gətàpakulla tatak, akul bay kakə̀sàw gi aw. Ama uwaga apaka vok kà madəvəŋ à gay tatak uwana azlaməna mapəh à atà gay à ahàl tapə̀h dagay uwarà.” 
MRK.14.50	Ŋgaha azlaməna matapla la slaka aŋha gesina tasàkal à ahəŋ. Tahòy aŋatà.
MRK.14.51	Kohana anik la ahəŋ, anəfà Yesu la peteli la vok pəra. Tayàh kà makəsay. 
MRK.14.52	Ama asàkatàla peteli à ahəŋ, ahòy aŋha ala diga.
MRK.14.53	Maham à ahəŋ dza tadàla Yesu à slaka məŋga aŋa azlaməna mav tatak à Zəzagəla, la azla­magol dza la azla­ma­dza­haga aŋa wakità seriya aŋa Zəzagəla. Gesina tahamà gay à vok. 
MRK.14.54	Piyer anəfà atà la lig kərkər, adà à kodal aŋa məŋga aŋa azlaməna mav tatak à Zəzagəla à abà, adzà madzay la azla­slodzi à vəɗa akàl à vok.
MRK.14.55	Azlaməŋga aŋa azlaməna mav tatak la azla­ma­dza­haga gesina tayàh dabaray aŋa makəsalla fida à gəl aŋa madukwla seriya mamətsay à gəl, ama taɓəzà à mawi­siga aŋha aw. 
MRK.14.56	Kà uwana uwa­be­yuwi atùgw gay fida lakəl aŋha, ama fida aŋatà akəsà vok aw. 
MRK.14.57	Azlanik aŋatà tasà à afik ŋgaha tatsə̀ɗal azla­fida anik anik à gəl gesina. 
MRK.14.58	“Mətsənàŋ agòɗ kà: ‘Gədàkal magol gày Zəzagəla uwanay à ahəŋ, uwana azladza taŋàl la ahàl la mahənay makər, gədàhənəŋ ala kokuɗa maf ahàl à abà aŋa azladza’, agòɗ.” 
MRK.14.59	Baməraka la maɗàh fida uwatà, gay aŋatà akə̀s à vok aw.
MRK.14.60	Məŋga aŋa azlaməna mav tatak asà à afik, atsìzlla ala la tataka azladza la abà gesina, anavà Yesu la gay ala: “Kawulla gay à uda aw takay? Mana à uwana tatugw kà gəl tak ma?” 
MRK.14.61	Ama Yesu adzà à ahəŋ titi. Awùlla gay à uda aw. Məŋga aŋa azlaməna mav tatak anavà Yesu aya: “Kak Kristu, Kona aŋa Zəzagəla uwana tazləɓay ay?” 
MRK.14.62	Yesu agòɗal: “Bà kiya uwaga, kadànəŋaw Kona aŋa dza madza madzayga la ahàl kaf aŋa Zəzagəla lakəl la maslay, la mazləɓay məŋga, ŋgaha atsa à ahəŋ la habaga zagəla la abà.”
MRK.14.63	Məŋga aŋa azlaməna mav tatak akwàhà lukut aŋha ala, agòɗ: “Məwoya sayda anik lakəl aŋha aya aw! 
MRK.14.64	Katsənàw uwana apə̀h mawi­siga lakəl aŋa Zəzagəla. Mana kadzəgwaw ma?” Gesina aŋatà tadùkwla seriya mamətsay à gəl.
MRK.14.65	Azladza anik la tataka aŋatà la abà tadzəkà mataf slesliɓ à Yesu à adi. Tatsàkal à yewdi à ama, tazlàɓ la mamits ahàl, ŋgaha tagòɗal: “Pə̀hanula, uwa à uwana aɗə̀ɗ à ka uwa?” Azla­slodzi takə̀s Yesu, ŋgaha tabakàlla ahàl à sləm à abà.
MRK.14.66	Piyer la gəl akàl dadàŋ, à uwana dugu madza­dzaray aŋa məŋga aŋa azlaməna mav tatak asà à waŋ. 
MRK.14.67	Uwana anəŋà Piyer à vəɗa akàl à vok kà, anərə̀z, agòɗ: “Kak bay, kadzà à ahəŋ la Yesu, zil Nazaret.” 
MRK.14.68	Ama Piyer aɗahà fida, agòɗ: “Gəsəl aw, gətsəna gay uwaga asa à ka magoɗay aw!” Ŋgaha asà à uda, adà aŋha à dzog­dzog à abà. Mok uwatà mew­g­dza­galaŋ awiyà. 
MRK.14.69	Dugu madza­dzaray anəŋà Piyer aya, agòɗ à azladza uwana la abatà aya: “Dza uwanay kà tekula aŋatà bay!” 
MRK.14.70	Ama Piyer agòɗ aya: “Awaŋ, gi tekula aŋatà aw.” La lig la ahəŋ ŋuv, azladza uwana la abatà tagòɗ à Piyer: “Haɗay, kak bay, kak tekula aŋatà, kà uwana kak zil Galili.” 
MRK.14.71	Piyer adzəkà magoɗay: “Baŋa gəɗàh fida, say Zəzagəla avà à gi ŋgərpa zagəla. Gəsəl dza uwaga kapəhaw gay aŋha ɗiki­ɗiki aw!” 
MRK.14.72	La mok uwatà mew­g­dza­galaŋ awiyà kà masəla. Gay uwana Yesu apə̀h, awùl à Piyer à gəl: ‘Mok uwana mew­g­dza­galaŋ awiyay asik səla dadàŋ aw, kadà­goɗay asik makər kà, kasəl gi aw.’ Piyer adzəkà matuway.
MRK.15.1	Bəŋ la zay la tsəh, azlaməŋga aŋa azlaməna mav tatak takə̀s sawaray la azla­ma­dza­haga aŋa wakità seriya aŋa Zəzagəla gesina, tatsurkà Yesu, tadàlla, tavà à Pilatus à ahàl à afik. 
MRK.15.2	Pilatus anavà Yesu la gay ala: “Kak Sufəl aŋa azla Yahu­diya ay?” Yesu awulàlla: “Iyay, bokuba uwana kagòɗ.” 
MRK.15.3	Azlaməŋga aŋa azlaməna mav tatak, takàl gay à Yesu à vok aŋuvaw. 
MRK.15.4	Pilatus anavà Yesu aya: “Kawulla à gay à uda aw uwà? Tsənà makəl à ka gay à vok aŋatà tsi.” 
MRK.15.5	Ama Yesu awùlla à gay à uda aw. Ləv avàl à Pilatus à gay kà uwaga.
MRK.15.6	Kəla madəvaday Paska, Pilatus adùwatàla gəl à masla daŋay tekula, uwana maham à ahəŋ awoyàŋ. 
MRK.15.7	La mok uwatà, dza tekula la ahəŋ la daŋay la aku, sləm aŋha Barabas. Masla tekula aŋa azlaməna mazləl guvəl à gumna à adi, takàɗ dza la magazlay la abà. 
MRK.15.8	Maham à ahəŋ dza ahàd à mtəga Pilatus kà aŋa manav uwana Pilatus aɗa­hà­hàtàŋ viya viya. 
MRK.15.9	Pilatus anavà atà à gay ala: “Asa à akul kà gəduwakulla gəl Sufəl aŋa azla Yahu­diya ay?” 
MRK.15.10	Kà uwana asə̀l kà azlaməŋga aŋa azlaməna mav tatak tadàla Yesu à slaka aŋha kà maŋor pəra. 
MRK.15.11	Ama azlaməŋga aŋa azlaməna mav tatak tavədzàhà à tsəh azladza à afik kà Pilatus aduwatàla gəl kà Barabas. 
MRK.15.12	Pilatus agòɗ à maham à ahəŋ dza aya: “Mana asa à akul gəɗehəŋ à dza uwanay à vok kaza­lawla ala Sufəl aŋa azla Yahu­diya ma?” 
MRK.15.13	Tawulàlla la mawiyay: “Zlə̀l masla à ahàf à adi!” 
MRK.15.14	Pilatus anavà atà: “Mana mawi­siga aŋha uwana aɗahàŋ ma?” Ama tazàla mawiyay à gəl aya: “Zlə̀l masla à ahàf à adi!” 
MRK.15.15	Pilatus awoyà marab ləv aŋa azladza. Kà uwaga à uwana aduwà à atà gəl à Barabas. Ŋgaha agòɗ à azla­slodzi kà taslàh Yesu ala la kurpi, avà à atà masla à ahàl kà mazləliya à ahàf à adi.
MRK.15.16	Azla­slodzi tadàla Yesu à gəl akàl aŋa Pilatus, tazàlàhà azla­slodzi gesina. 
MRK.15.17	Tadùwal dawara mativga à vok, taslàslàp atàk, tatse­fàɗal à gəl maga­ba­ga gabaga aŋa sufəl kà makədaslal. 
MRK.15.18	Ŋgaha tasukwà masla: “Ayyi, Sufəl aŋa azla Yahu­diya!” 
MRK.15.19	Taɗə̀ɗ à gəl la kavak, tatàfal slesliɓ à vok, takədèɗ à ahəŋ la huma aŋha bokuba sufəl kà madze­dzinay. 
MRK.15.20	Uwana tadə̀v makəɗaslal à gay, tasərə̀tal dawara mativga uwatà la vok ala, tawùllal lukut aŋha à vok, ŋgaha tadàla à uda kà aŋa mazləl à ahàf à adi.
MRK.15.21	La tetəvi la ama, tagagàm la dza, uwana zil gudəŋ Səren, sləm aŋha Səmon baba aŋa Ale­kəsander atà la Rufus. Masla atsà à waŋ la guf aŋha la abà. Azla­slodzi tafàl ndzəɗa à gəl aŋa mazəɓ ahàf aŋa Yesu. 
MRK.15.22	Tadàla Yesu à slaka uwana sləm aŋha 
MRK.15.23	La abatà asà à atà aŋa maval iyaw hamhamga uwana tatè­ɗalla mir à tsəh, kà mataslala maziŋ ala, ama Yesu akweskà kà masay. 
MRK.15.24	Ŋgaha tata­tàsl Yesu à ahàf à adi. Tavàhà lukut aŋha la tataka aŋatà la abà, tatsàl tsatsa lakəl, kà uwana asà à atà masəl tatak uwana uwa­be­yuwi aŋatà aɓə̀zal.
MRK.15.25	Mok uwana tatàsl Yesu à ahàf à adi kà zil gosela. 
MRK.15.26	Tatsetsèr à gəl aŋha gay seriya tapə̀hla ala la magoɗay gay uwana takə̀ɗ ala: SUFƏL AŊA AZLA
MRK.15.26	YAHUDIYA. 
MRK.15.27	Tata­tàsl azlaməna nabəra səla à ahàf à adi la Yesu, tekula la ahàl kaf aŋha, tekula bay la ahàl gudzay aŋha. (( 
MRK.15.28	Kiya uwaga agay bokuba uwana tatsetsèr à wakità Zəzagəla à abà:
MRK.15.28	Tatugw masla à tataka aŋa azlaməna haypa à abà.))
MRK.15.29	Azladza uwana tagu­wàhà à awtày la abatà takəɗàslal, tako­kò­tàhà gəl, tagòɗal: “Nə̀ŋàŋ zla! Kak uwana kagòɗ kà, asa à ka makal magol gày Zəzagəla à ahəŋ, aŋa maŋalay anik la mavakay makər, kagòɗ.
MRK.15.30	Sà à ahəŋ la ahàf la adi, ɓə̀lla gəl aŋak tak zla!” 
MRK.15.31	Kiya uwaga babay azlaməŋga aŋa azlaməna mav tatak takəɗàslal la azla­ma­dza­haga aŋa wakità seriya aŋa Zəzagəla la slaka gà, tagòɗ kà atà kà atà: “Aɓəlà azladza anik, ama aslala vok aŋa maɓəl gəl aŋha aw uwà? 
MRK.15.32	Say mənəŋəŋ Mesi, Sufəl aŋa Isərayel atsa à ahəŋ la ahàf la adi dadàŋ, ŋgaha mədiŋal gəl à vok.” Azladza uwana tata­tàsl à ahàf à adi tatsə̀kal mago­ɗahay à gəl babay.
MRK.15.33	La tataka afats, mələs apakà vok la kutso la abà gesina, tsəràh afats dat mogova gova gərewni delga. 
MRK.15.34	La afats dat magova gova gərewni delga uwatà, Yesu awiyà la ndzəɗa, agòɗ: “
MRK.15.35	Azlaanik uwana tadzà à ahəŋ la abatà tatsənà uwaga, tagòɗ kà: “Aganay azalay à dza uwana Zəzagəla apəhal gay à ahàl à uwana sləm aŋha Eliya.” 
MRK.15.36	Dza tekula ahòy à awtày la abatà, ahənà sawsaw ala la iyaw hamhamga, afà sawsaw à gay kavak, avàl kà mako­kuzay, agòɗ: “Tsetsi mədzà à ahəŋ titi, mənərə̀z à baŋa Eliya atsa à waŋ kà aŋa mazəɓ à ahəŋ la ahàf la adi!”
MRK.15.37	Ama Yesu awiyà la ndzəɗa, ŋgaha amə̀ts.
