MAT.1.1	Hehakaho Jesu Keriso oni amuhija vejajina. Jesuho Teviti 'ee Eparahami puni amuja.
MRK.15.28	Nitama Godoni irijara 'waramarena Hu ea sisea pu'úmo icha 'ahi 'ana'eja 'iamajara roe nimaa renana. 
MRK.15.29	Ea kajija korosia aneja kaji ruvai'i matahe nuana achihe ijahi'i ijá 'wava Eeee! Ara Temiporu veje au'ira'omo na'ia no'opisu pa'are'eje A 'warave ara kajaho kú'o ve'ena 'úmanakúna 'wavara. 
MRK.15.30	Orono korosi 'aha kaji ni'ajarame ariha roe kava 'wavara. 
MRK.15.31	'Unama nikwinu'ina kajino pirisiti mama'ina 'ee Sikuraipiepo Hu matahareja ijá 'wava Hu ea 'aho'a ni'ajihu ja'ina'e Hu ori'ina areri pani'ajaramu 'wavara. 
MRK.15.32	A nimaa Keriso Isureri opuni Kiniakúna A iviamaa orono ariha roa kamareje nú A nimaa roja 'wavara. Ea ka'ene korosia 'ahi pu pu'úmo 'aniajija 'u'o Jesu sivaa 'waravara.
MRK.15.33	Vei riri kwaaka mapoka kajaho na'ima namapena va'o va'ume nusirei vea tiria koroku apenana. 
MRK.15.34	'E'eme nusirei vea tiria korokuijino Jesura ajira ijá 'umena Eroi Eroi rama sapakatani 'umenana. Jesu ija'ina 'warama jihuni maijaho Nuni Godi Nuni Godi iraki jihuna'e A Na pataaroriho? 
MRK.15.35	Hura 'umena kaji ea ka'ene rori namija kajipo henareja ijá 'wava Heha! Hu Iraija 'umenu 'wavara. 
MRK.15.36	Ea kwino ninuma va'e 'oasuni apene icha 'ahi vevaha'ika'i ajina riha kikisima'ura vaji apúsame i'amarono apena ma'iro ve'ika'i hu ijá 'iama Ja mare'e Iraijara ro 'unaa mwe'i ranava kava 'wavara. 
MRK.15.37	'E'eme Jesu niho'o ajira 'ume'i kaivo kwamana. 
MRK.15.38	Temiporu vaji ateha ka'ene uranavujaho rira mu'oi kahi huri rene isome va'e kami tihi 'e'une no'ohe'i rejara. 
MRK.15.39	Sorutia puni namikii Jesuni una'i namiji'i kavume Jesu oja suavuma kamarena hu ijá 'iama Niho'o nimaa nimaa Ea ikaho Godoni Hariha 'iamana. 
MRK.15.40	Napara 'aho'a 'u'o Karari namiji'i kavara. Ijihipuni vajijaho Meri Matarini Saromine 'ee napara pina Meri ka'ene Josisi huni 'u'ua Jemisi puni oha'omo napara kajihi pu'úmo namijara. 
MRK.15.41	Vea ka'ene Jesura Karari hinajaho napara kajija Hu 'ararihae one 'ee Huni ira hene vene 'ee ni'ajahura. 'Ee napara 'aho'a mapoka ka'ene pu pu'úmo Jerusaremi roajija 'u'o ijí namijara.
MRK.15.42	Sapati vea re'avarono amairiara'eme nusiremana. 
MRK.15.43	Josapi ka'ene Aramatia ora kanisorua pina ea mapoka hu hena kavura'omo hu Godoni arijara rohuniji 'ajaha hiji'ina'omo hu roe pajuvi'i Pairati oni va'e Jesuni hahiji ape'i 'waramana. 
MRK.15.44	Pairati Hura marako kwamaji henarena niho'o puruva renana. 'Ejume sorutia puni namikia apoma 'waramana 'Ú Jesuho nikwamana ho pane? 'wamana. 
MRK.15.45	'Ejume namikia kajara Jesu nikwamana 'wavume Pairati henarena Josapi 'waravume hu apena va'e kwanana'iro va'ana. 
MRK.15.46	'Ejume Josapi va'e ateha 'imene roe hu Jesu korosi 'ahi apene ateha kaji mwame apene va'e muna ara ka'ene mai'o 'uhuajihuni vaji rana'ika'i muna tahuma apene ira tanunanamana. 
MRK.15.47	Napara pina huni iha Meri ka'ene Matarini 'ee pina Meri ka'ene Josisi oni oha'omo pu no'o Jesuni ruha ka'ene ranavajaho hami kavara.
MRK.16.1	Sapati vea nipa'are'eme Meri Matarini 'ee Meri ka'ene Jemisi oni oha 'ee Saromi ijipo senisia amua rukina 'imene Jesuni haha 'ona'iro 'ahiume va'ara. 
MRK.16.2	Hurapoka niho'o sú'u sú'umai pu muna ari ea ranavaji ro 'e'u'eme vea ajimana. 
MRK.16.3	Pu vai'i ijá 'wava Muna ka'ene vwicha kunavajaho irara tahuma apena ruva'ena? 'wavara. 
MRK.16.4	'Enakaivo pu vai'i kavajaho muna ni'ima' ura kajaho nitatiraha ruva'ara. 
MRK.16.5	'Ejume pu va'e muna ara kajihuni vaji aruma vai'i kavajaho kivasa pina ateha jopatu'ura saja sa'ina apúsame mana'inija'i asuma hijume pu kama tatavara. 
MRK.16.6	'Ejume hu pu ijá 'iama Juvujaho areha. 'Ú ja Jesu Nasareti ora ka'ene pu korosi 'ahi 'anauma kwamaji savo? Hu kú'o 'urinana. Hura namajaho ikena kaivo Hu ikaho pahinu. 
MRK.16.7	'Enakúne va'e Huni tisaiporua 'ee Pita ho ijá 'waraha. Hu ja ni'warama ja'ina'e Hu Karari urana va'ukúne ja ijí Hu piunaha iha 'iamana. 
MRK.16.8	Pu muna ari vaji rene juhaha useme va'ajime simarame 'ee oja hwa'usahaume ea ira pa'warava jihuni maijaho pu tea junavara.
MRK.16.9	Jesura Hurapoki sú'u sú'u 'urinajaho Meri Matarini ka'ene 'avena sisea iropu no'o siomahaji huni una'i marako samaahiramana. 
MRK.16.10	'Ejume hu va'e ea ka'ene Hu Hu'úmo ojura ka'ene niramaruvi'i chora'e hijajihi 'waramana. 
MRK.16.11	Hu kú'o 'urina hinuji kama roe 'waramaji hejajaho pu panimaa rojara.
MRK.16.12	Ijihuni túna'i ea no'ohe'i rori va'iro va'eme Hu 'unamutoi haha ani'ina apúsarame roe pu piunime pu pu'úmo va'ara. 
MRK.16.13	Pu 'uname va'e napuhwaha 'aho'ijija 'waravara kaivo pu 'u'o niho'o panimaa rojara.
MRK.16.14	'Ene ijihuni túna'i ea iropu ropu kwinu hina 'iruma i'eme Hu puni roume pu kavumakivi'i Hu pu 'uraraha jihuni maijaho Hu 'urina hinaji ea mapoka Hu kama 'waravara kaivo puni oja kisima'ura rejumakame pu panimaa rojajihuna'e avanana. 
MRK.16.15	Hu ijá 'iama Ja kwaaka mapokaki va'ajime eaka mapokakihi Godoni vu'a maa maiu'ina 'wara'avara. 
MRK.16.16	Ea irara nimaa roje toi apúsave 'uri'amajaho hu majama hihuna. 'Enakaivo ea irara panimaa ro'amajaho hu 'otua vene eha sisea apehuna. 
MRK.16.17	Ea irahipo nimaa ro'avajaho aachakipo najahuna. Eje pu Nuni ihi 'ahi 'avena sisesa siomahe 'ee ira maiu'ina 'wahuna. 
MRK.16.18	'Ene pu tapara iji 'unirame 'ee toa atama rukina i'avajaho pu sisea parena'a. 'Ene ea atama rukina pu iji 'unira'avajaho maranihuna 'iamana.
MRK.16.19	Jesu ka'ene Natohwijara pu 'waravuma pa'arejume Jesu apejume akúpa 'ahi va'e Hu Godoni ija mana'inija'i asuma hinana. 
MRK.16.20	'Ejume pu kwaaka mapoka kino ea mapoka naja'eme Natohwijara pu pu'úmo va'e pu ni'ajihe vejume pu aacha ani ani'ina najahumakame Huni ira nimaa renana.
LUK.1.1	Ea ni'ina Tiapirasi ese. Ea mapoka'e uneunecha mapoka ka'ene núni vajakino nimaa renajaho heha 'ahi nivejara. 
LUK.1.2	Nú raka ka'ene pu 'waravaji pu heha 'ahi vejare 'ee raka ka'ene nitama aneji ea 'ahopo puni nii ki'eme rejaji 'waravara'omo pu heha 'ahi vejare 'ee raka ka'ene vu'a 'waravi'inijipo 'waravaji pu heha 'ahi vena apena roara. 
LUK.1.3	Na vwihajujaho mamaijaho na heha 'ahi uneunecha iraka ka'ene kahi aneji rene vena apene roaji ve'ipisana ronare'e veju. Ijihuni maijaho ijí iraka nimaa ka'ene rejajija na hami hami kime hejuta. 
LUK.1.4	Na ike vu'akaho ona'e vejujihuni maijaho pu raka maa ka'ene a najahaji he parahuni jihuna'e veju.
LUK.1.5	Vea ka'ene Herotira Jutia opuni kinia renani veijino pirisitia pina Jakaraiasi 'wavujaho hu Apaijara pirisitia ka'ene renaja'ina'e renana. 'Enakaivo huni naparijaho Eroni oni amuja. Huni ihijaho Irisapetina. 
LUK.1.6	Pu Godoni una'i niho'o arira 'urahe ojure 'ee Natohwi jihuni tamanijara 'waramu ja'ina'e ojura. 
LUK.1.7	Pu no'o amuja pa'ana. Ijihuni maijaho Irisapetiho amuja paveji'ina'e renana 'ee pu no'o ni ema paranaha'e rejara. 
LUK.1.8	Na'ii pini Jakaraiasi huni ehi pu'úmo kaukara vehuni vei rejume pirisitiepo Godoni una'i vejuja'ina'e venana. 
LUK.1.9	Pirisitia puni tamana'omo pu pipia vene hu iji pijaha jihuna'e hu Temiporu vaji va'e Natohwi jihuni inisenisia jaana. 
LUK.1.10	Vea ka'ene inisenisi jaari veijaho ea mapoka ka'ene samai hijajija hine siporua 'ojara. 
LUK.1.11	'E'eme Natohwi jihuni 'ona oji'ina huni roe inisenisia jauri 'aijua rori mana'inija'i naminana. 
LUK.1.12	Vea ka'ene Jakaraiasi hua kamajaho niho'o tea juma paranana. 
LUK.1.13	'Enakaivo 'ona oji'ina kajara ijá 'wama Jakaraiasi tea junamujaho arema. Godiho oni siporua henana'omo oni napara Irisapetiho oni hariha nahehuna. 'Enajihuna'e a huni iha Joni 'i'amana 'wamana. 
LUK.1.14	Vea ka'ene hu nahe'amajaho a niho'o teamaname mari'uhuna 'ee ea mapoka teamanahuna. 
LUK.1.15	Hu niho'o Godoni rori ea ni'ima'ura mavarasa'ina'e 'urihuna. Hu niho'o 'wainia 'ee toa kikisina paihuna. Hu nahe'avari anejijino rene Godoni 'Aveni samahe tinia apena parahuna. 
LUK.1.16	Hura kú'o Isureri oni harihija aherama ta'arohe Godi ka'ene puni Natohwi jihuni rohuna. 
LUK.1.17	'Enajihuna'e hura Iraija oni oja 'ee harura ijí same Huni una'i vahuna. 'Ene emahwa puni ojijija ta'arohe harihwaha 'ee ea ka'ene vuataa paheji'inijija veje ea arira maa rehuna. 'Ee ea aherame veje Natohwi jihuni 'unama amairiarahuna 'wamana. 
LUK.1.18	'Ejume Jakaraiasira 'ona oji'ina kajaho ijá 'wama Na ikaho ichá'ina'e hena ka'ejo? Na ni emamaa 'ee nuni napara 'u'o ni paranamaa renu 'wamana. 
LUK.1.19	'Ejume 'ona oji'inijara eha vena ijá 'wama Na Kepireruna. Na Godoni rori namijura'omo Hura ranamiume na aa'e vu'a maiu'ina mamaake 'wara'i routa. 
LUK.1.20	'Enakúne hena! Vea ka'ene nuni vu'ijara nimaa rena roe 'e'u'amajaho nimaa re'ena kaivo a nuni vu'a panimaa ronujihuna'e a iviamaa ira pa'wara'ika'i hi'eje vea ka'ene hariha nahe'amajino ira 'warahuna. 
LUK.1.21	'E'eme ea mapoka Jakaraiasi Temiporu vaji 'ajaha hijajaho 'aha jopatu'uma'ura re'eju'e hu iraka vene marako parou ronareja vwihajara. 
LUK.1.22	'Enakaivo vea ka'ene hu ro'e'unajaho hu ira areri pa'waramana. 'Ejume pu marako ka'ika'i ijá 'wava Hu visoni Temiporu vaji kamare'e ijihuna'e avanu 'wavara. Hu ira pu pa'wara'ika'i ijaru 'waravi'i hinana. 
LUK.1.23	Huni kaukara parajumakame kú'o 'unama huni sei va'ana. 
LUK.1.24	Ijihuni túna'ijino na'ii pini huni napara Irisapetiho hari'i nena searu hi'eme masapa iropu pa'arejara. 
LUK.1.25	'Ejume hu ijá rona Iviamai Natohwijara na túchamai ika'ina vwihaniana. Na hariha panaheju jihuna'e eriri nuni vahi'a apena va'ana ronana.
LUK.1.26	'Enakaivo ivi'a masapa iropu kwinu pa'are'eme 'ona oji'ina Kepireriho Godira ranavume Karari vaji ara natohwa ka'ene Nasaretina 'wavuji roana. 
LUK.1.27	Hu Josapi ka'ene Teviti oni amujijara 'asúra ka'ene 'wahuni jihuni vu'a apena roana. 'Asúra kajihuni ihijaho Merina. 
LUK.1.28	'Ejume 'ona oji'inijara huni roe ijá 'wama Esi. A maiji ani'ina'e vwihanaajina. 'Ene Natohwijaho a hu'úmuna 'wamana. 
LUK.1.29	Hu vu'a ka'ene 'waramaji henajaho niho'o puruva rene teajuvume huni vwiha vaji ijá rona Iraki reni'amarono 'ajorime 'warimu ronana. 
LUK.1.30	'Ejumakame 'ona oji'inijara ijá 'wama Meri tea junamujaho arema! Godiho a maiji ani'ina'e vwihanaana. 
LUK.1.31	'Enakúne hena! A hari'i nenareje hariha nahene huni ihijaho 'ime Jesuna 'wa'amana. 
LUK.1.32	Hu niho'o Natohwa rene 'ee Hu maho'o Ichuto Maijihuni Hariha 'wahuna. 'Ene Godi ka'ene Natohwijara Teviti oni ruhijaho Hu mahuna. 
LUK.1.33	'Eje Hu Jekapi oni amuhi puni Natohwa'e majama rehuna 'ee Hura kwaa ara ka'ene 'ajo'amajaho niho'o majama nahuna 'wamana. 
LUK.1.34	'Ejume Merira 'ona oji'iniji ijá 'wama Ijaho ichá'ina'e re'ena? Ijihuni maijaho na 'asúra 'wamana. 
LUK.1.35	'Ejume 'ona oji'inijara eha vene ijá 'wama Godoni 'Aveni samahuna. 'Ee harura ka'ene maho'o Ichuto Maijihunijara raorahuna. Ijihuni hahi Hariha ka'ene arira maiji nahe'amajaho Godoni Hariha 'wahuna. 
LUK.1.36	'Enakúne hena! Oni vwina ka'ene Irisapetiho amuja pa'ana 'wavura vo hu iviamaa niparanaha reji'i hari'i nena hi'eju'e masapa iropu kwinu pa'arenu. 
LUK.1.37	Ijihuni maijaho unenu'u pini Godi oni una'i kisina pa'ana 'wamana. 
LUK.1.38	'Ejume Merira ijá 'wama Na niheju. Na Natohwi jihuni pweakúne ara iraka ka'ene 'warimu ja'ina'e veje reniama 'wamana. 'E'eme ona'oji'inijaho iji'a ranama va'ana.
LUK.1.39	Ijí vea kajino Meriho marako 'urine ara natohwa Juta vaji kwaa ka'ene huri'a rukiniji va'ana. 
LUK.1.40	Hu Jakaraiasi oni sei va'e arume Irisapeti 'ajomana. 
LUK.1.41	Vea ka'ene Merira 'ajomaji Irisapeti he'eme hariha huni tea vaja kají pipijuku'eme Godoni 'Aveni Irisapeti oni vaja ruha apenana. 
LUK.1.42	'Ejume hu ira ajira'e ijá 'wama A napapuni vajijino niho'o merajaha paranana. 'Ee Hariha ka'ene oni hahi vaji hinujaho nimerajahana. 
LUK.1.43	'Ú irakijihuna'e nuni Natohwi jihuni ohakaho na uvani'i roane? 
LUK.1.44	Ike hena! A 'ajorivume na he'eme harihaka nuni tea vaji hinujaho teamavume pipijukumana. 
LUK.1.45	Natohwijara raka ka'ene hua'e rone 'waramajara roe nimai rehuniji hu nimaa ronajihuna'e merajahana 'wamana.
LUK.1.46	'Ejume Meri ijá 'wama Nuni oja Natohwiji ta'arohu. 
LUK.1.47	Nuni 'avenijaho Godi ka'ene na ni'ajiha jihuna'i temaranu. 
LUK.1.48	Ijihuni maijaho huni pweijara masuani ajuarana hinajihuna'e Hu huni hura venana. Heha! Iviasi rene amuja amuja na rone merajihana 'wahuna. 
LUK.1.49	Ijihuni maijaho Natohwijara uneunecha mapoka mama'ina nuna'e venana. 'Ene Huni ihijaho niho'o aririjina 'wavura. 
LUK.1.50	Ijihuni maijaho amuja amuja kwinu kwinu irahipo Huni hura vejujaho Hu numirama apena rouna. 
LUK.1.51	Hu Huni iji uneunecha mama'ina vene 'ee ea ka'ene kehi kehi oji'ini jihipuni oja vwiha veju'e ani ani va'ura. 
LUK.1.52	Hura ea mama'ina veju'e puni ruha mama'inijija pa'arejura 'ee Hu ea ka'ene masuani hiji'inijihi 'unirame ahasirimauna. 
LUK.1.53	Hu ea ka'ene matunavi'inijija uneunecha mamaa areri vajihuna. 'Ene ea ka'ene uneunecha ani reji'inijija irechamiu'e ija maisu va'ajivura. 
LUK.1.54	Hu huni pwea Isureri ni'ajahuna. 'Ene Hura pu numiramuji vwiha'amarono ni'ajahuna. 
LUK.1.55	'Ene opunúna'e Eparahamiho 'ee huni sesahwahiji 'warama ja'ina'e majama 'waramu 'wamana. 
LUK.1.56	'Ene Meriho masapa no'opisu hinarena kú'o 'unama huni ari va'ana.
LUK.1.57	Ivi'a Irisapetira hariha nahehuni vea roume hu hariha nahenana. 
LUK.1.58	'Ejume huni amuja ea ka'ene huni rori hijura 'ee huni vwea vwina Natohwijara hu numimarena venaji henareja pu pu'úmo temarasahara. 
LUK.1.59	'Enarena vea oma iropu no'opisu para'eme pu hariha kajaho sisa 'uhua'irono apena roara. 'Enareja pu omahoni iha Jakaraiasi 'i'i 'ahiume vejara. 
LUK.1.60	'Enakaivo huni ohijara ijá 'iama Pana. Huni iha Jonina 'wa'eja 'iamana. 
LUK.1.61	'Ejume pu hu ijá 'wava Ijaho oni vwea vwina pina iha ija'ina 'uraha 'wahuna pana 'wavara. 
LUK.1.62	'Ejume pu huni omijaho ijaru ijá 'wava A iha irá 'ihuna ura renao? 'wavara. 
LUK.1.63	Jakaraiasi heha 'waravume mahume hu ika'ina venamana. Huni iha Joni venana. 'Ejumakame pu ea mapoka niho'o oja hwa'usahara. 
LUK.1.64	Ijihia kajakaro rena Jakaraia oni ira ka'ene pa'arenajaho ira 'warame 'ee Godi ta'arohana. 
LUK.1.65	'Ejumakame ea ka'ene rora rora kají hijujija niho'o tea junama paranana. 'E'eme Jutia huri'a vaja kajaho raka ka'ene renaji 'wamapenojara. 
LUK.1.66	Ea ka'ene ijí hejajija pira'arame ijá 'wava Sesamaakaho ichá'ina'e re'ena? Ijihuni maijaho Natohwijara Hu 'ajohau 'wavara.
LUK.1.67	Huni oma Jakaraiasiho Godoni 'Aveni tinia apejume raka ka'ene iji'a rehunijaho ika'ina 'waramana. 
LUK.1.68	Natohwa ka'ene Isureri opuni Godi ijí ta'aroha. Hu ehwaha'e uvanie 'ee kú'o 'unama 'imenae 'eka'i roana. 
LUK.1.69	Huni pwea Teviti oni amuja vajijino núni Ni'ajúhi'ina Natohwa vejume 'urinana. 
LUK.1.70	Ikaho Hura nitama iraka ka'ene Huni poropetia arimaijihi puni vaji 'waruvara. 
LUK.1.71	Hu núni naka 'ee ea ka'ene nú kúme senavi'inijihi puni vaji ni'ajú'i roana. 
LUK.1.72	Ijihuni maijaho Hu opunúna numirame 'ee Hura nahama 'waramaji vwihanuna. 
LUK.1.73	Hu nimaa nimaa núni oma Eparahami nahama 'waramana. 
LUK.1.74	'Ene Hu núni nakapuni vaji Hu nú ni'ajúhuna nahama 'warumana. 'Ejakame nú pajuhavi'i Huni kaukara vehuna. 
LUK.1.75	'Ene Huni una'i arimaa 'ee nimaa nimaa núra hi'avari veijaho hina vena apene vahuna. 
LUK.1.76	'Ene harihakere a poropetia ka'ene maho'o Ichuto Maijihuna 'wahuna. Ijihuni maijaho a urana va'e Natohwi jihuni 'unamiji amairiahuna. 
LUK.1.77	A Huni ehija ka'ene Hura ni'ajihuniji najahakame puni sisea vwihane arehuniji kama hehuna. 
LUK.1.78	Ijihuni hahi Godi ka'ene swasi ma'urijara nú numirume vea kahi ichutoi ranave rina roe hananúhuna. 
LUK.1.79	'Ene ea ka'ene nutuvi'ini hijujija 'ee ea ka'ene nikwamasa'iro vejujihija hananihuna. 'Ene Hu núni mumora 'ajohuakame nú matauma hihuni 'unamiji vahuna 'iamana. 
LUK.1.80	'Ejume hariha 'u'ua kajaho emarena ajime 'ee huni vwiha 'u'o emarena paranana. 'E'eme hu nechi'eru hinonu va'u iji'a amura Isureri puni una'i sama hiramana.
LUK.2.1	Ijí vea kajino kamati Sisa Aukasitasira 'waravume ea ka'ene hura kwaa ara ka'ene 'ajohaujija iha ta'irono ea mapoka nianae va'avarono 'waramana. 
LUK.2.2	Vea ka'ene Kwiriniasi Siria opuni 'ajohai'ina renani vajijino iha amura'e aneja vene tahara. 
LUK.2.3	Ea mapoka puni aranejijino iha ve'irono va'ara. 
LUK.2.4	'Ejume Josapi 'u'o Nasareti Karari vaji rene Jutia ara natohwa Petirihemi ka'ene Teviti oni araneji va'ana. Ijí hu va'ajihuni maijaho hu Teviti oni amuji jihuna'e va'ana. 
LUK.2.5	Pu no'o Meri ka'ene hura 'wahuna'e nahama 'waravara ka'ene hari'i nenaji'i puni iha ve'irono va'ara. 
LUK.2.6	'Ene pu ijí hijari vea kajino hura hariha nahehuni vea niroa apenana. 
LUK.2.7	'Ejumakame hu ijí huni Hariha ka'ene amurijaho nahenana. 'Enareja hu apena ateha hwame 'ee hanupo 'iruma ijuri ruhi ranavume hinana. Ijihuni maijaho pura ruha ka'ene hihunijaho pa'ajihuna'e avajara.
LUK.2.8	'Ejumakame ea ka'ene sipia 'ajohi'ina 'aho'a kwaa kajino vea kajihuni na'iijino puni sipia'e 'ajohi'i hijara. 
LUK.2.9	'E'eme Natohwi jihuni 'ona oji'ini roe puni una'i nami'eme Natohwi jihuni hanaji'inijara pura namija kajaho hanana apene tauhuhana. 'Ejume pu niho'o natohwa'e tea junama paraniana. 
LUK.2.10	Ona'oji'inijara ijá iama Juvujaho are'ika'i heha! Na joni vu'a maiu'ina mamaa'e apena routa. 'Ee ijara veje ja 'ee ea mapoka ka'ene kwaa araka mapoka kakino hijukija teamanama parahuna. 
LUK.2.11	Ike iviasi na'iakino Teviti oni ara natohwijino joni Ni'ajihi'ina nahejara. Hu Keriso ka'ene Natohwijina. 
LUK.2.12	Jara ijí hena kahunijaho ja vai'i kave pu atehi apene Hariha 'u'ua kajaho hwame hanupo 'iruma ijuri ruhi ranavu'e hinuna'omo ja ijí kahuna 'iamana. 
LUK.2.13	Ijá ve'eme ni'aha kwino 'ona oji'ina kajaho 'ee 'ona oji'ina 'aho'a mapoka mapoka kahi akúpi 'ahi Godi ta'arohe javaa vejara. 
LUK.2.14	Pu javaa ika'ina vejara
LUK.2.14	Godi ka'ene niho'o Ichuto Maiji huni pinana 'urinu. 'Ene ea ka'ene Godira iki mwe'i kime teamanamujihi matauvi'inijaho mihu 'wame ta'arohara.
LUK.2.15	Ona'oji'inijija akúpa 'ahi va'umakivi'i sipia 'ajohi'inijipo ijá 'wava Roe ma arira'e Petirihemi va'e ike unekaka reju'ukame Natohwijara roe nú 'warumuke kava 'wavara. 
LUK.2.16	'Ejume pu marako vai'i kivume Meri ho Josapi ho Hariha 'u'ua kajaho ijano ijí hanuhapo 'iruma ijuri ruha kajino hijara. 
LUK.2.17	Vea ka'ene sipia 'ajohi'ini jipuhipu Hariha 'u'ua kaji kavajaho raka ka'ene Hariha 'u'ua kaji rona 'waravajaho pu 'waravara. 
LUK.2.18	Ea mapoka'e sipia 'ajohi'inijipo vu'a kaji 'waravume hejajaho niho'o oja hwa'usunahara. 
LUK.2.19	'Enakaivo Merira ijí henarena huni oja vaji vwihananama apena va'ana. 
LUK.2.20	Sipia 'ajohi'ina kajija 'unama vai'i uneka ka'ene pu kame hejaji Godi ta'arohe Huni pinana 'unama ahasirivara.
LUK.2.21	Na'ia iropu no'o pisu pa'arejume iji'a sisa 'uhu'avarono iha 'iame Jesuna 'wavara. Hu iji'a mai'o tei vaji muna'amarono ona'oji'inijara iha kajaho mahana.
LUK.2.22	Vea kajara apejume Josapi'o Meri'o Mosisi oni tamani iraka ka'ene 'waramaji vene 'ee hariha ara hinajaho pa'are'eme pu Sesamaijaho isinara iramahe Jerusaremi Natohwiji ma'i 'ahiume va'ara. 
LUK.2.23	Ikaho Natohwi jihuni tamana vaji ika'ina 'warumana. Hariha ka'ene amurijihi nahena'avajija Godi vajahuna 'úmana. 
LUK.2.24	'Ene Natohwi jihuni tamana vaji 'warama ja'ina'e marahu'ora no'ohe'ina 'aho unea no'ohe'i 'eka va'e swasa vejura. 
LUK.2.25	Heha! Ea pina huni ihijaho Simionina hu Jerusaremi vaji hinuna. Hu ea arira 'ee huni kaukara oja mahi'ina'omo hu Isureri opuni Mesaia 'ajaha hinuna. 'Ena'omo Godoni 'Avena hu samahana. 
LUK.2.26	'Ejume Godoni 'Avenijara hu nahama 'waramajaho hu pakwa'ika'i hi'eje Natohwi jihuni Kerisora roa kahuna 'wavume hinana. 
LUK.2.27	Hu 'Aveni vaji Temiporu roana. Vea ka'ene emahwapo Hariha Jesu aheme roajaho varapa tamana ve'i roara. 
LUK.2.28	Simioni Hariha kajaho tapane apene huni ija 'ahi rana'ika'i Godi teimani 'wamana. 
LUK.2.29	Hu ika'ina 'waramana Natohwe iviamaa Ara Oni ira vaji nahama 'warumajaho renu. 'Enakúne A Oni pwea veje matauma va'ama. 
LUK.2.30+LUK.2.31	Ara Oni Ni'ajúhi'ina ka'ene ea mapokakihi puni una'i amairiaramajaho na nuni niakino kavu. 
LUK.2.32	Hu ira ka'ene Jenitaru hananie najahunijina 'ee Hu Oni ehija Isureri opuni Hanani'inijina 'wamana. 
LUK.2.33	Emahwapo vu'a ka'ene Hua rone 'waravaji hejajaho oja hwa'usahara. 
LUK.2.34	Simionira pu merajihe 'ee Meri Huni ohijaho ijá 'wama Hena! Ike Harihakaho Isureri opuna pijahana. Hu Isureri ora 'aho'a veje arihe 'aho'a ajihuna. 'Ene Hu aacha'omo ea mapoka ijí kame Hu ninahuna. 
LUK.2.35	'Eje ja temuka'amajaho areri so'wa 'usa rukina joni oja 'ahi naminau ja'ina'e rehuna. Ijihuni maijaho oja vaji hema vwiha roe samaumaa rehuna 'wamana. 
LUK.2.36	Napara poropeti Ana Panueri oni 'apaja 'ee Asa oni amuja. Hu paranamaa paruahe'i hinajaho juara iropu no'o pa'arenana. 
LUK.2.37	'E'eme hu amuna hinajaho juara mapoka mapoka (84) pa'arenana. Hu niho'o Temiporu paranamuna 'ee veiri'a na'ia rira 'aura areme 'ee siporua 'onuna. 
LUK.2.38	Nijihijakura hu roe Godi teimani 'wamana 'ee ea ka'ene Jerusaremi puni Ni'ajihi'ina 'ajoha hijajihi majaa Hu rone 'waramana.
LUK.2.39	'Ejume pu Natohwi jihuni tamanijara 'waramajaho ve paranareja vukú'o 'unama Karari puni ara natohwa Nasareti va'ara. 
LUK.2.40	'E'eme Sesamaa kajaho haruriji'i emarena ajime 'ee Huni vwiha 'u'o emarene 'ee Godoni maiji vwihanii'inijaho Hu hu'úmo majama namana.
LUK.2.41	Juara kwinu kwino pa'are'eju'e emahwaha Jerusaremi Pasova sora i'i va'ura. 
LUK.2.42	Vea ka'ene Hu juara iropu ropu no'o renajino pu kú'o tamanijara ve'avarono 'waramu ja'ina'e sora i'iro kahi va'ara. 
LUK.2.43	Pura na'ia icharu hihuni veijaho nipa'arejume pu kú'o 'unama ari puni va'eme Jesuho Jerusaremi hinana kaivo Huni emahwahijija ijaho pahena pakavara. 
LUK.2.44	Pu vwihajajaho Hu ea mapoka kajihipuni vaji va'u ronareja pu 'urina kwaa jora'e na'ia kwino va'areja ijí pakamareja aneja vene puni napuhija 'ee vwea vwina puni vaja kajino savara. 
LUK.2.45	Pu Hu pakamareja kú'o 'unama Jerusaremi sama va'ara. 
LUK.2.46	Vea no'opisu pa'are'eme pu Hu Temiporu vaji najahi'inijipo najahaji hene 'ee aporavi'i hi'eme piunavara. 
LUK.2.47	Ea mapoka Hura eha mavarasa'ina ka'ene 'waramaji hejajaho pu niho'o oja hwa'usunahara. 
LUK.2.48	Pu ijí kame hejajaho pu 'u'o oja hwa'usunahara. 'Ee oahi ijá 'wama Hariha nuna A iraka vene 'unama ika'ina 'ahúane? Nú omune'i niho'o oja hianu'eme Aa'e sarame apenojara 'wamana. 
LUK.2.49	Hu pu ijá 'iama 'Ú ja raka vena Na sarivo? 'Ú Na Oma Nunijihuni sei hihunijaho ja pahejo? 'iamana. 
LUK.2.50	'Enakaivo Hura raka ka'ene 'warama jihuni maijaho pu pahejara. 
LUK.2.51	'Ejume Jesuho pu pu'úmo 'uname Nasareti va'ana. 'Enarena Hu emahwapuni ira hene venana. Oahi raka ka'ene hena kamajaho oja vaji vwihaji'i hinonana. 
LUK.2.52	'Ejume Jesuho 'urine emakina rene 'ee vwiha vaji emarene 'ee Godiho 'ee emaa Hu ura rejura.
