GEN.1.1	Uniotabakin ka Nukën 'Ibu Diosan uniokëxa, naíkamë 'ëo 'imainun me. 
MAT.3.12	An ñu 'apácë unin 'acësaribi oquin ca 'ati 'icën. Ësa ca 'iti 'icën. Unin ca ñu bëru trigo 'apatia. 'Apátancëxun ca bimia bitsia. Bitancëxun ca bucúnxun chacaia. Chacaquian tacaia ca aín xacá suñun amo putia. Pucëbë ca aín bëru ax tiquia. Usai 'ia bërúanxun bixun bucúntancëxun ca aín xacácama tsi rëquirucë bënántisamanën nëënia. Usaribi oquin ca axa uti an aín 'acë ñucama 'unánquin, upí unicama abëa 'iti bianan 'atimacama a atun ñu 'atima 'acë cupí bimi xacá nëënti pucësa 'imiti 'icën.
MAT.3.13	Usa 'ain ca Galilea me anuax cuanx Jesús Judea nëtënu 'icë baca, Jordán cacë, anua Juan 'ain, anu cuancëxa, anuxuan Juanën nashiminun. 
MAT.3.14	Cuanxa bëbaiabi ca Juanën nashimisama tanquin Jesús cacëxa:
MAT.3.14	—¿Miinra 'ë nashimisa 'aíshbi caina 'ën mi nashiminun quiax ain?
MAT.3.15	Cacëxunbi ca Jesusan cacëxa:
MAT.3.15	—Uisai cara Nucën Papa Dios quia, usai cananuna 'iti 'ain. Usa 'ain camina min 'ë bërí nashimiti 'ain.
MAT.3.15	Cacëxun ca Juanën —cana mi 'ati 'ain —quixun caxun Jesús nashimiacëxa.
MAT.3.16	Usoquin Juanën nashimicëx ca Jesús bacanuax 'iruquiani cuancëxa. Cuanquinbi ca Jesusan naí panárabëcëbëtan isquin anuax numacuru tinax uáxa Nucën Papa Diosan Bëru Ñunshin Upí anu 'iruia isacëxa. 
MAT.3.17	Usai 'icëbëtan ca Jesusan naínuaxa banaia cuacëxa, ësai qui: “Ënëx ca 'ëx amiira sináncë bacë bëchicë 'icën. Ami sinani cana chuámarua tani cuëënin”.
MAT.4.1	Nashimicë 'icë ca Nucën Papa Diosan Bëru Ñunshin Upitan Jesús anu uni 'icëma menu cuanti sinánmiacëxa, anuxun ca ñunshin 'atimanën 'apun ñu 'atima 'amicatsi quixun 'ati 'icë quixun 'unánquinbi.
MAT.4.2	Anu 'ixun ca Jesúsan añu ñubi cuarenta imë́ 'imainun cuarenta nëtën piama 'icën. Ñu piima ca panancëxa. 
MAT.4.3	Panancë ca ñunshin 'atimanën 'apun anu uxun 'atima ñu 'amicatsi quixun ësaquin cacëxa:
MAT.4.3	—Asérabi Diosan Bëchicë 'ixun ca ënë maxáxcama pán 'inun cat.
MAT.4.4	Cacëxunbi ca Jesusan cacëxa:
MAT.4.4	—Ësai ca Nucën Papa Diosan bana cuënëo quia: “Pán piishi ca uni tsótima 'icën. Uisai cara Nucën Papa Dios quia a bana 'airibi ca uni tsóti 'icën”.
MAT.4.5	Usotancëxun ca ñunshin 'atimanën 'apun Jesús Jerusalén ëma upí anu buáncëxa. Buántancëxun ca anuxun Nucën Papa Dios rabiti xubu aín mascuan sënë́ncënu buánruacëxa. 
MAT.4.6	Buánrutancëxun ca cacëxa:
MAT.4.6	—Diosan bana cuënëo ca ësai quia:
MAT.4.6	An ca aín ángelcama mi bërúanmia. Bërúancëxmi maxáxmi tachacaxma 'inun ca aín mëcënan biquin mi bacáruti 'icën. Usa 'ain ca mix asérabi Diosan Bëchicë 'aish ënuax nuánquianx menu nipacëtan.
MAT.4.7	Cacëxunbi ca Jesusan cacëxa:
MAT.4.7	—Ësairibi ca aín bana quia: “Nucën 'Ibu Diosan cara 'ë ië́miti 'icë iscatsi quixun camina a tantima 'ain”.
MAT.4.8	Usotancëxun ca ñunshin 'atimanën 'apun amiribishi tantëcëncatsi quixun aín bashi chairucë manan Jesús buáncëxa. Buántancëxun ca anuxun camabi me 'imainun a menu 'icë ëmacamaxa cha 'aish upí 'icë ismiacëxa. 
MAT.4.9	Ismiquin ca cacëxa:
MAT.4.9	—Minmi 'ë rantin puruni tsóbuquin 'ë rabicëxun cana ënë mecama, camabi anu 'icë ñucamacëñunbi minan 'inun mi 'inánti 'ain.
MAT.4.10	Usaquian cacëxun ca Jesusan cacëxa:
MAT.4.10	—Ñunshin 'atimanën 'apu, ënuax ca cuantan. Nucën Papa Diosan bana cuënëo ca ësai quia: “Min 'Ibu Diosëshi camina rabiti 'ain. Rabiquin camina ashi ax cuëëncësabi oquin ñu 'axunti 'ain”.
MAT.4.11	Usoquian cacëx ca ñunshin 'atimanën 'apu Jesús ëbiani cuancëxa. Cuancëbëtan ca Nucën Papa Diosan ángelcaman uxun Jesús 'aquiancëxa.
MAT.4.12	Usa 'ain ca Juan, an uni nashimicë, ami nishquin 'apun sipuacëxa. Juan sipuacë ñuicania cuabiani ca Jesús Judea nëtënuax Galilea nëtënu cuantëcëancëxa. 
MAT.4.13	Anu cuanx Nazaret ëmanu bëbatancëx ca a ëbiani Galilea cacë parúmpapa rapasu 'icë ëma, Capernaúm, anu 'i cuancëxa. A me anu Capernaúm 'icë ax ca Zabulón 'imainun Neftalí cacë me 'iacëxa. 
MAT.4.14	Anu ca Jesús 'iti 'icë quixun ca Nucën Papa Diosan 'amicëxun Isaíasnën cuënëocëxa, ësaquin:
MAT.4.15	Zabulón me 'imainun Neftalí me, a Jordán baca 'ucë manan 'icë, 'imainun anun parúmpapanu cuanti bai acamax ca Galilea me, anu judíosma unibu bucucë, anu 'icën. 
MAT.4.16	Anu 'icë unicamax ainanma 'ixun Nucën Papa Dios cuëëncësabi oquin 'ati 'unáncëma 'aíshbi ca Cristo ucëbë an 'unánmicë 'iaxa. Ainanma 'aish bamati 'aíshbi ca Cristo ucëbë an 'unánmicëx xabánu 'icësa 'iaxa.
MAT.4.17	Bana ñuixuntabaquin ca Capernaúm ëmanu 'ixun Jesusan anu 'icë unicama ësaquin cacëxa:
MAT.4.17	—Anun Nucën Papa Diosan abë upí 'inun mitsu ainan 'imiti nëtë ca 'urama 'icën. Usa 'ain ca ami sináncë 'aíshmabi sinanati ami sinan. Usaquian anuxun bana ñuixunquin cacësabi oquin ca Jesusan 'itsa oquin a bana unicama ñuixuancëxa.
MAT.4.18	Parúmpapa Galilea cuëtani cuanquinbi ca Jesusan rabë́ uni mëracëxa. A uni rabëtax ca achúshi Simón 'icëbi Pedroribi cacë, a 'imainun aín xucë́n Andrés cacë 'iacëxa. A rabëtax an tsatsa bicë uni 'ixuan tsatsa ricania ca Jesusan mëracëxa. 
MAT.4.19	Mëraquin ca cacëxa:
MAT.4.19	—'Ën mi 'unánminun ca 'ëbë cuani ut. An tsatsa bicë uni 'icëbi cana 'ëmi catamënunmi uni sinánminun mitsu 'imiti 'ain.
MAT.4.20	Usaquian Jesusan cacëxuinshi aín rica ëbiani ca abë cuancëxa.
MAT.4.21	A uni rabë́ bibiani cuanquinbi ca Jesusan bëtsi uni rabë́ribi, Zebedeonën bëchicë, Jacobo 'imainun aín xucën Juan, an aín papa Zebedeobëtan nuntinuxun rica mëníoia mëracëxa. 
MAT.4.22	Mëraquian cuënquin Jesusan abëa cuanun cacëxëshi ca nuntinubi aín papa ëbiani Jesúsbë cuancëxa.
MAT.4.23	Usa 'ain ca Jesusan Capernaúm anuax cuanxun Galilea mecamanuxun anua judíos unicama timë́ti xubucamanuxun bana ñuixuancëxa. —Nucën Papa Diosan ca ami catamëcë unicama abë 'inun ainan 'imiti 'icë —quixun caquin upí bana unicama ñuixuanan ca uni ñucëcama pëxcüacëxa. 
MAT.4.24	Usoquian 'aia Jesús chanioia cuaquin ca Siria nëtënu 'icë unicaman axa ñucëcama Jesusan pëxcunun quixun anu buáncancëxa. Bëtsi bëtsi ñucëcama 'imainun ñunshin 'atimanën 'ibuacë unicama 'imainun uni ñucë nirucuainquinbi tancëma, 'imainun aín nami nimëti saquiquicë acama anu buáncëxun ca Jesusan pëxcüacëxa. 
MAT.4.25	Usoquin bana ñuixuanan unicama pëxcubiania cuania ca 'aisamaira unin Jesús nuibiancëxa. Galilea menu 'icë unicama 'imainun Decapolis cacë menu 'icë unicama 'imainun Jerusalénu 'icë unicama 'imainun Judea mecamanu 'icë unicama 'imainun Jordán baca 'ucë manánuaxribi ucë unicaman ca abë cuanquin Jesús nuibiancëxa.
MAT.5.1	'Aisamaira uni isbiani cuantancëxa Jesús matá me mapëracëtancëx anu tsóbutia ca aín 'unánmicë unicaman nëbë́tsioracëxa. 
MAT.5.2	Nëbë́tsioracëxun ca Jesusan uisa unicamax cara cuëënti 'icë quixun atu 'unánmiquin cacëxa, ësaquin:
MAT.5.3	An —'ënbi cana 'ën nuitu upí 'imitima 'ai —quixun 'unáncë uni, ax ca 'ëmi catamëtia Nucën Papa Diosan aín nuitu upí 'imianan ainan 'imicë cupí, chuámarua tani cuëënia.
MAT.5.4	Axa masá nuitucë uni a ca Nucën Papa Diosanbi aín masáquin sináncë nëtë́miti 'icën. Usai ca 'iti 'icë quixun 'unani ca chuámarua tani cuëënia.
MAT.5.5	Axa cëruti banacëma uni ax ca Nucën Papa Diosan 'inánti ñucamañu 'iti 'icën, an cacësabi oi. Usai ca 'iti 'icë quixun 'unani ca chuámarua cuëënia.
MAT.5.6	'Acëñuma bamaia uni piti cuëëncësaribi oi Nucën Papa Diosan iscëx upí 'iti cuëëncë uni, a ca an usaía 'inun 'imiti 'icën. Usai ca 'iti 'icë quixun 'unani ca chuámarua tani cuëënia.
MAT.5.7	An 'aquinsa 'icë uni itsi nuibaquin 'aquincë uni a ca Nucën Papa Diosanribi nuibaquin 'aquinti 'icën. Usai ca 'iti 'icë quixun 'unani ca chuámarua tani cuëënia.
MAT.5.8	Axa aín nuitu Nucën Papa Diosan iscëx upí 'ianan aín sinan upí uni an ca Nucën Papa Dios 'unánan isti 'icën. Usai ca 'iti 'icë quixun 'unani ca chuámarua tani cuëënia.
MAT.5.9	An raíri uni bëtsibë nishananíma nuibananun 'aquincë uni a ca Nucën Papa Diosan —mix camina 'ën bëchicë 'ai —quixun cati 'icën. Usa unix ca chuámarua tani cuëënia.
MAT.5.10	Nucën Papa Dios cuëëncësabi oi 'icë cupía, uni itsin tëmëramicë uni, ax ca —'ëx cana Nucën Papa Diosnan 'aish aín nëtënu abë 'iti 'ai —quixun sinani chuámarua tani cuëënia.
MAT.5.11	Mitsun 'ën bana cuacë upí unin mitsu 'atima banan canan bëtsi bëtsi onan cëmëi mitsumi manáncëxbi camina chuámarua tani cuëënti 'ain. 
MAT.5.12	Usaribi oquin ca an Nucën Papa Dios quicë bana uni ñuixuncë unicama unin bëtsi bëtsi ocëxa. Usaquin sinánquin camina cuëënquin, Nucën Papa Diosan ca mitsu upí oquin sinánxunquin aín nëtënu abë 'i upitax tsónun mitsu 'imiti 'icë quixun 'unani chuámarua tani cuëënti 'ain.
MAT.5.13	Ësaquinribi ca Jesusan cacëxa:
MAT.5.13	—Mitsux camina ënë nëtënu 'aish tashisa 'ain. Tashin ca anun tashíncëxun ñu mucoquin upí 'imia. Usaribi oquin camina mitsun mibë 'icë unicama upiti bucunun 'aquinin. Tashi axa aín muca nëtëtia ca unin uisaxunbi amiribishi mucotëcëntima 'icën. Usa 'aish ca a tashi mucañuma ñancáishi 'icën. 'Aisama 'icë ca unin putia, putia unin amácëx ca nëtëtia. Mitsun upiti bucunun mibë 'icë unicama 'aquincëma 'aish camina a tashíxa mucañuma 'icësaribi 'iti 'ain.
MAT.5.14	Tashisa 'ianan camina mitsux lamparínsaribi 'ain. Usa 'ixun camina mibë 'icë unicama upiti bucuti 'unánun 'aquinin. Ca ësa 'icën. Ëma cha matánu 'icë ax ca unëtima, a ca camabi unin isia. 
MAT.5.15	Usaribi oquin ca unin lamparín bimitancëxun bunánti buinaxun anun mapuquin nanima. Usoquinma ca lamparinëan a xubunu 'icë unicama pëcatanun ñu manámi nania. 
MAT.5.16	Usaribi oquin camina mitsun mibë 'icë unicama upiti bucuti 'unánun 'aquincë 'aish lamparínsaribi 'iti 'ain. Mitsun ñu upí 'aia isquin ca cuëënquin a unicaman min Papa Dios naínu 'icë a rabiti 'icën.
MAT.5.17	Camina 'unánti 'ain, Moisésnën cuënëo bana 'imainun Nucën Papa Diosan aín unibu cuënëomia banacama quicësabi oquin 'axunma 'anun quixun uni cai cana 'ëx uáma 'ain. 'Ë ñuiquian cuënëo banacama quicësabi oi 'i cana ënë nëtënu uacën. 
MAT.5.18	Cana mitsu asérabi cain, naí 'imainun mecama cëñúcëma pain 'ain ca a banacama quiásabi oi 'iti 'icën. Usai ca 'iti 'icë quiáxa quiá 'ain ca achúshi banabi usai 'icëma 'itima 'icën. 
MAT.5.19	Usa 'ain ca ui unicaman cara a banacama achúshirabi —a bana cananuna 'atima 'ai —quixun caquin uni itsi usaribi oquin sinánun 'unánmia, ax ca Nucën Papa Diosan nëtënu 'aish, bëtsi unicamabëtan sënë́nmaraira 'iti 'icën. Usa 'aínbi ca an a banacama quicësabi oquin 'aquin uni itsínribi usaribi oquin 'anun 'unánmicë uni, ax Nucën Papa Diosan nëtënu 'aish, raíri unicamabë sënë́nmaira 'iti 'icën. 
MAT.5.20	Cana mitsu cain, mitsun an Moisésnën cuënëo bana 'unáncë unicama 'imainun fariseo unicaman 'acësamaira oquin Nucën Papa Diosan bana quicësabi oquin 'acëma 'aish camina ainanma 'ianan aín nëtënu abë 'itima 'ain.
MAT.5.21	Moisésnën mitsun raracama ñuixuan bana unin ñuixunia camina cuan, ësai quicë: “Uni camina 'atima 'ain. Uin cara uni 'ati 'icë ax ca Nucën Papa Diosan 'uchocë 'aish cast'icancë 'iti 'icën”. A bana unin mitsu ñuixunia camina cuan. 
MAT.5.22	Usaía quiá 'aínbi cana 'ën mitsu cain, axa uni itsi, aín xucë́nsa 'icëbi ami nishcë uni ax ca 'uchocë 'aish cast'icancë 'iti 'icën. Axa uni itsi ñu cai 'atimati banacë uni a ca mitsun cushibunën 'apucaman 'uchoti 'icën. 'Imainun ca an ami nishquin uni itsi —ñunshin bacë camina 'ai —quixun cacë uni ax, axa manë tsinu 'iti uníxa 'uchacësaribi 'icën.
MAT.5.23	Usa 'ain camina Nucën Papa Dios rabinuxun a 'inánti ñu bëxun —uni itsi ca 'ëmi nishaxa —quixun sináncë 'ixun 
MAT.5.24	Nucën Papa Dios 'inántimi buáncë ñu anubi pain nanbiani cuanx, axa mimi nishcë uni abë pain mëníonanti 'ain. Mëníonantancëx abë upí 'ixun camina cuantëcënquin min 'inánti ñu Nucën Papa Dios 'inánquin a rabiti 'ain.
MAT.5.25	Bëtsi unían mimi nishquin, mitsun cushinu buáncëx, bain cuani camina anu bëbacëma pain 'aish, abë mëníonanti 'ain. Mëníonancëxunma ca mimi nishcë uni axa mi ñui ami manáncëxun min cushin mi sipuati 'icën. Usa 'aíshmi sipuacë 'itin rabanan camina bëbacëma pain 'aish a unibë mëníonanti 'ain. 
MAT.5.26	Cana mitsu asérabi cain, sipuacë 'ixun camina min cushi quicësabi oquin curíquinën cupíoti 'ain. A pain ancëquin cupíoi camina sipunubi 'iti 'ain. Usaquin 'atin rabanan camina min cushinu bëbacëma pain 'aish axa mimi nishcë unibë mëníonanti 'ain.
MAT.5.27	Moisésnën mitsun raracama ñuixuan bana unin ñuixunia camina cuan, ësai quicë: “Uni itsin xanubë camina 'itima 'ain”. 
MAT.5.28	Usai quiá 'aínbi cana 'ën mitsu cain, uinu 'icë unix cara ainanmabi xanu itsi isi aín nuitu mëu cuëënia a unix ca a xanubë 'icësa 'ia.
MAT.5.29	Min bëru mëqueu anun ñu isi 'atima ñu 'ati cuëëncë 'ixunbi camina ashiquin manuquin ënti 'ain. Usoquin 'ai camina min bëru achúshi ëchíxun nicësa 'iti 'ain. Mix bëru rabë́ñu 'aíshmi manë tsinu anuax tëmërai cuantima cupími min bëru achúshi ëchíxun niti ca asábi 'icën. 
MAT.5.30	Min mëcën mëqueu anun 'aisama ñu 'ati cuëëncë 'ixunbi camina ashiquin manuquin ënti 'ain. Usoquin 'ai camina min mëcën achúshi tëaxun nicësa 'iti 'ain. Mix mëcën rabë́ñu 'aíshmi manë tsinu anuax tëmërai cuantima cupími min mëcën achúshi tëaxun niti ca asábi 'icën.
MAT.5.31	Moisésnën cuënëo bana ca ësairibi quia: “Ui unin cara aín xanu ëinsa tania an ca —ënë xanu ca bërí 'ën xanuma 'icë —quixun quirica a cuënëoxunti 'icën”. 
MAT.5.32	Usaía Moisésnën cuënëo bana quicë 'aínbi cana 'ën mitsu cain, an aín xanúxa uni itsibë 'icëmabi ëncë unin ca a xanumi 'uchaquin a 'aisama xanu 'icësai 'inun 'imia. Usaribiti ca an uni itsin ëncë xanu bicë uni ax 'uchaia, uni itsin xanubë 'icësaribiti.
MAT.5.33	Moisésnën mitsun raracama 'unánmiquin cuënëoxuan bana unin mitsu ñuixunia camina cuan, ësai quicë: “Unin aín bana ca asérabi 'icë quixun uni itsin 'unánun —Nucën 'Ibu Diosan ismainun cana mi cain, asérabi cana 'ën cacësabi oquin 'ati 'ai —quicë 'ixun camina asérabi mix quicësabi oquin 'ati 'ain, Nucën Papa Diosan ca mi isia quixun 'unánquin”. 
MAT.5.34	Usa 'aínbi cana 'ën mitsu cain, —Nucën Papa Diosan ismainun cana mi cain —qui camina banatima 'ain. 'Imainun camina —naitan cuamainun cana cëmëquinma asérabi mi cain —qui banatima 'ain, naínu ca Nucën Papa Dios 'icë, usa 'ain. 
MAT.5.35	'Imainun camina —menbi cuamainun cana cëmëquinma asérabi mi cain —qui banatima 'ain, mecama ca Nucën Papa Diosan ainan 'inun uniocëxa, usa 'ain. 'Imainun camina —Jerusalénu 'icëcaman cuamainun cana cëmëquinma asérabi mi cain —qui banatima 'ain, Jerusalénu ca judíos unicaman 'Apu 'icë, usa 'ain. 
MAT.5.36	'Imainun camina —'ën maxcá sinánquin cana cëmëquinma asérabi mi cain —qui banatima 'ain. Min maxcánu 'icë buxa tunan 'icëbi camina minbi uxua 'imitima 'ain, uxua 'icëbi camina tunan 'imitima 'ain. Nucën Papa Diosan cuni ca 'imiti 'icën. Usa 'ain camina usai banatima 'ain. 
MAT.5.37	Usai quima camina cëmëma banan cuni banati 'ain. Cëmëcëma 'aish camina —Nucën Papa Diosan ismainun cana asérabi mi cain —qui banatima 'ain. A ñunshin 'atimanën sinánmicë uni ax ca usai banaia.
MAT.5.38	Moisésnëan mitsun rara ñuixuan, ësaia quicë bana a camina cuan: “An uni itsin bëru 'atimocë uni a ca uni itsínribi aín bëru 'atimoti 'icën. An uni itsin xëta 'atimocë uni a ca uni itsínribi aín xëta 'atimoti 'icën”. 
MAT.5.39	Usai quiá 'aínbi 'ën mitsu cain, mitsua 'atimocëxunbi camina ami nishquin cupiquin 'atimotima 'ain. Usoquin 'aquinma camina mitsua mëqueu bëtáshcacëxun 'aisa tania amoribia mitsu bëtáshcanun 'amiti 'ain. 
MAT.5.40	An min camisetami 'inánun quixun policía cacë uni a camina min cutúnribia biisa tania 'inánti 'ain. 
MAT.5.41	Unían mi achúshi kilometro aín ñu buánxunun cacëxun camina rabë́ kilometro buánxunti 'ain. 
MAT.5.42	An mi ñu 'inánun quixun ñucácë uni a camina 'inánti 'ain. An —min ñu ca mi bëxuntëcënun 'ë 'inan —cacë uni a camina 'inánti 'ain.
MAT.5.43	Ësai quicë banaribia ñuia camina cuan: “Axa mimi nishcë uni nuibaquinma camina axa mibë nuibanancë unishi nuibati 'ain”. 
MAT.5.44	Usai quiá 'aínbi cana 'ën mitsu cain, axa mimi nishcë unicama nuibaquin 'aquianan camina axa mimi 'atimati banacë unicama 'imainun an mi bëtsi bëtsi ocë unicama Nucën Papa Dios ñucáxunti 'ain. 
MAT.5.45	Usaquin 'acë 'aish camina asérabi mitsun Papa Dios axa naínu 'icë an sináncësabi oquin sináncë 'ain. An ca camabi uni, upí uni 'imainun upíma uni aribia pëcanun bari urumianan camabi unin ñu 'apácë chabónun 'uíribi 'ibúmia. Usaribi oquin camina camabi uniribi nuibaquin 'aquinti 'ain. 
MAT.5.46	Mitsúnmi an mitsu nuibacëma unicama nuibaquinma an mitsu nuibacë unicamaishi nuibatia ca Nucën Papa Diosan mitsu upí isima. An 'apu buánmiti curíqui bicë uni 'aisama 'ixunbi ca usaribi oquin an a nuibacë uni a nuibananquinia. Mitsun camina an mitsu nuibacë unishima camabi uni nuibati 'ain. 
MAT.5.47	Mitsun aintsishi sináncë 'aish camina an Nucën Papa Dios 'unáncëma unibu 'icësaribi 'ain. Atun ca aín aintsishi sinania. Usa 'aínbi camina mitsun aintsishima camabi uni sinánti 'ain, Nucën Papa Dios cuëëncësabi oquin. 
MAT.5.48	Usa 'ain camina mitsun Papa Dios, axa naínu 'icë, an sináncësaribi oquin sinánti 'ain.
MAT.6.1	'Ëx upí 'icëa camabi unin isnun cana ñuñuma uni ñu 'inánti 'ai quixun camina sinántima 'ain. An usaquin sinánquin uni itsi ñu 'ináncë uni a ca Nucën Papa Dios naínu 'icë, an upí isima. 
MAT.6.2	Usa 'ain camina ñuñuma uni ñu 'inánquin an uni paráncë unicaman 'acësaribi oquin 'atima 'ain. Unin atu rabiti cuëënquin ca anu judíos unicama timë́ti xubunuxun ñu 'inánan bainuxunribi camabi unin isnun ñuñuma uni ñu 'inania. Usoquian 'inania isquin ca an a iscë unicaman a rabiquin, ax ca upí uni 'icë quixun caia. Unicaman usa uni rabiabi ca Nucën Papa Diosan a upí isima. 
MAT.6.3	A unicamax usai 'icëbëbi camina mitsux usai 'itima 'ain. Min ñuñuma uni ñu 'inánquin camina bëtsi uni catima 'ain, min abë nuibanancë uni abi camina catima 'ain. 
MAT.6.4	Raíri unin isnunma camina uni ñu 'inánti 'ain. Usaquinmi 'aia isi ca Nucën Papa Dios, an camabi unin ñu 'aia iscë, ax cuëënti 'icën. Cuëënquin ca mi upí oquin sinánxunti 'icën.
MAT.6.5	Mitsux Nucën Papa Diosbë banai camina an uni paráncë unicama 'icësa oi 'itima 'ain. Atux ca unían a isnun quiax anua judíos unicama timë́ti xubunuax 'ianan anun niti bai cuëbí anuaxribi Nucën Papa Diosbë banaia. Asérabi cana mitsu cain, a unicamaxa usai Nucën Papa Diosbë banaia iscë unicaman —ax ca upí uni 'icë —quixun sinánquin rabia. Usaquin rabiabi ca Nucën Papa Diosan a upí isima. 
MAT.6.6	A unicamaxa usai 'icëbëbi camina mitsux usai 'itima 'ain. Mitsux min Papa Diosbë bananux min 'itinu atsínquin camina min xëcuë xëputi 'ain. Xëputancëx camina, min Papa Diosribi ca anu 'icë quixun 'unani, abë banati 'ain. Mitsua unin isiamabi ca min Papa Dios, an camabi ñu isanan camabi sinan 'unáncë, ax mixmi abë banaia cuati cuëënti 'icën. Cuëënquin ca mitsu upí oquin sinánxunti 'icën.
MAT.6.7	Mitsux Nucën Papa Diosbë banai camina an Nucën Papa Dios 'unáncëma unicamaxa 'icësaribiti banatima 'ain. Atux ca —nux usai banaia ca Nucën Papa Diosan nun bana cuati 'icë —quixun sinani 'aisamairai banaia, uisai quiti cara quixun sinanimabi. 
MAT.6.8	Usa uníxa 'icësai camina 'itima 'ain. Mitsun Papa Dios an ca mitsun cacëma pan 'ixunbi uisa ñucama caramina a ñucáti 'ai quixun 'unania. 
MAT.6.9	Usa 'ain camina ësaquin cai Nucën Papa Diosbë banati 'ain:
MAT.6.9	Nucën Papa Dios, naínu 'icë, mix camina asérabi min sinan upíira 'ain. Usa camina mix 'ai quixun ca camabi uni mi ñui upí banáinshi banati 'icën. 
MAT.6.10	Aín 'Apu 'icëa camabi unin mi rabiti cana cuëënin. Usaquian mi 'anun camina 'imiti 'ain. Min nëtënuxuan ángelcaman 'acësaribi oquian ënë nëtënuxun unicaman mix cuëëncësabi oquin 'ati cana cuëënin. 
MAT.6.11	Camabi nëtë́nmi 'acësaribi oquin camina ënë nëtë́nribi nun piti anun nux tsóti a nu 'inánti 'ain. 
MAT.6.12	Unían nu 'atimocëxunbinu aribi 'atimoquinma a ñucama sinánquinma manucësaribi oquin camina nun 'acë 'atima ñucama nu tërë́nxunquin manuti 'ain. 
MAT.6.13	Ñunshin 'atimanën 'apúan nu ñu 'atima 'amixunma 'anun camina nu bërúanti 'ain. Nun ñu 'atima 'ati 'icëbi camina nu usa ñu 'axunma 'anun nu ië́miti 'ain. Mix cushiira 'aish xënibua 'aínbi 'Apu 'icë ca camabi unin mi rabiti 'icën. Usai 'inun min 'imiti cana cuëënin.
MAT.6.14	Mitsun axa mitsumi 'uchacë uni usaribi oquin cupiquinma a manumi abë upí 'ia ca mitsun Papa Dios naínu 'icë an mitsux ami 'uchacëcama tërë́nquin manuti 'icën. 
MAT.6.15	Usa 'aínbi ca mitsumi 'uchacë uni a usaribi oquin cupimi abë upí 'iama oquin mitsun Papa Dios naínu 'icë an mitsun ami 'uchacëcama tërë́nquin manutima 'icën.
MAT.6.16	Mitsux Nucën Papa Diosbë upiti bananuxun piima camina an uni paráncë uníxa 'icësaribiti 'itima 'ain. A unicamax ca —Nucën Papa Diosmi sinánquin picëma 'aish ca upí uni 'icë —quixuan raíri unin sinánun quiax picëma 'ianan masá nuitucësa 'ia. Usai 'ia uni raírinën a rabiabi ca Nucën Papa Diosan a upí isima. 
MAT.6.17	A unicama usai 'icëbëbi camina mitsux Nucën Papa Diosmi sinani samatibi mëníocati min bu mëníonan bëchucati 'ain. 
MAT.6.18	Unían 'unántisama 'inun usai mëníocaxmi samatia ca mitsun Papa Dios, an camabi unin sinan 'unáncë, ainshi mitsu isti 'icën. Isi cuëënquin ca upí oquin mitsu sinánxunti 'icën.
MAT.6.19	Ënë nëtënuax ñuñuira 'iti cuëënquian unin 'aisamaira ñu bitsiabi ca bëtsi bëtsi ñu nacuaxan cëñumainun bëtsi bëtsi ñuxa puibuax chëquimainun bëtsi bëtsi ñu an ñu mëcamacë unin unë́xun xubunu atsínxun mëcamatia. Usa 'ain camina axa ñuñuira 'iti cuëëncë uni asaribi 'itima 'ain. 
MAT.6.20	Ënë nëtënuaxa 'icësai ca Nucën Papa Diosan nëtë naínu 'icë ñucama 'atimati cëñutíma, an ñu cëñuti nacuáxbi ca 'aíma 'icën, anuax ca ñu puibutiribi 'aíma 'icën, 'imainun ca an xubunu atsínxun ñu mëcamacë uni anu 'aíma 'icën. Usa 'ain camina mitsux ënë menu 'icë ñuñuishi 'iti sinánquinma Nucën Papa Dios cuëëncësabi oquin 'ati 'ain. Usaquin 'atancëxmi aín nëtënu abë 'icë ca an mitsúnmi a cuëënminuxun 'acë ñucama cupí, mitsu cupíira oquin chuámarua cuëënun 'imiti 'icën. 
MAT.6.21	Uisa ñun cara cuëënia, a ñuishi ca unin sinania. Axa ënë nëtënu 'icë ñuñu 'iti cuëëncë unin ca a ñuñu 'itishi sinania. Usa 'aínbi ca an Nucën Papa Diosan a cupíoquin aín nëtënuxun chuámarua 'imiti cuëëncë uni an Nucën Papa Dios cuëënun ax cuëëncësabi oquin 'atishi sinania.
MAT.6.22+MAT.6.23	Lamparínën pëcacëbëtan ca unin bëruñu cupíshi an pëcacë ñucama 'imainun xabá isia. Min bëru upí 'ain camina upí oquin isquin min ñu mëëti 'ati 'ain. Min bëru 'aisama 'ain camina xabá isquinma min ñu mëëti upí oquin 'atima 'ain, bëánquibucënuxun 'acësoquinshi camina 'ati 'ain. Usaribiti camina Nucën Papa Diosan 'imicëx min sinan upí 'ianan an sinánmicë 'aish min sinan an pëcacësa 'ain. Usai 'ibi camina an sináncësaribi oquin sináncëma 'aish bëánquibucënu nicësa 'ain. Ami sinánquinma bëtsi bëtsi ñu sináncë 'aish ca uni bëánquibucënuira nicësa 'icën.
