MAT.1.1	Naunaekhimayun Jesus Christim hivullingita atingit, tamna Davidim kingullia, Abrahamlu kingullia. 
MRK.6.3	Tamna hanayiungilak, Marym engniga. Tapfumalu James, Joseslu, Judaslu, Simonlu nukagiyain, naiyaillu nunaptingni-ingilat?” Talva ihuigiyaat. 
MRK.6.4	Jesusimli ukallautiyain, “Nalautaiyi nagugiyauyunaektuk nunaminiitillugu nuakatiminin ilamininlu, aahini kihimi.” 
MRK.6.5	Talva Jesus hapengnaktumik pilimaituk takanani, kihimi aaniakhimayun ikitun aktugamigit naguhipkaktain. 
MRK.6.6	Tapkualu inuit inminun ukpegngitpiangmata Jesus agligutaktuk.
MRK.6.6	Tapfumalu iglukagluangitun apkutigigamigit ilihauyyingnakpaktuk. 
MRK.6.7	Talva angutit 12n kaitkuyain inminun tililektainlu malgutivlugit hakugiktitugillu agiuktunun. 
MRK.6.8	Pitkuyaillu maligutini upalungayakunagit aullautikhamingnun aiyaupiaktuinangmik kihimi. Natkaktukhaungitun mukpauyanik, pukhamingniglunin manimiglunin. 
MRK.6.9	Kamiktukhauyugaluit atigikaktukhaungitulli malgunik. 
MRK.6.10	Ukallautiyaillu, “Namunlunin iglumun itegaigupfi taikanihimayukhaugaluaktuhi aullakiktinahi. 
MRK.6.11	Ilaitali naiyuktailipahi tuhaavigiyumangitkivluhi, kimagupfigit itigahi hiugaektilugit tapkunani naunaikutagikuvlugut.” 
MRK.6.12	Talva aullakhutik ilihauyyiyun inuit ihumaliukikuvlugit. 
MRK.6.13	Huli agiuktun amigaitun anipkaktain aaniaktunlu ukhuktekhugit naguhipkaktain.
MRK.6.14	Tapfumani Atanek Herod tuhaayuk, Jesusim atinga tuhaanangman inungni. Ilait ukaktun, “John Baptaiekti makittitauyuk hapengnaktumik havakhuni.” 
MRK.6.15	Allat ukaktugaluit, “Una Elijauyuk.” Allatauk ukaktun, “Nalautaiyiuyuk ingilgattun.” 
MRK.6.16	Herodim tuhaagamiuk ukaktuk, “John niakuektihimayagaluanga tukungayunin inupkaktauyuk.
MRK.6.17	Hivungani Herodim John pivagmagu itektauvigmungaktitugu. Taimalivaktuk Herodiasim, katangumi Philipim nuliyangata pitkumagu, tamna angnak nuliagigamiuk. 
MRK.6.18	Johnim Herodmun ukakhimangman “Nukavit nuliyanga pigangni ihuitpiaktuk”. 
MRK.6.19	Talvangaanin Herodiasim John nagugiyunaektaa tukutumainakhugu. Pilimaitugaluak taimatumik 
MRK.6.20	Herodim John ekhigimagu ilumugnahugivlugu. Nagunahugigamiuglu munagiyaa. Johnmin nalaugagami kapiahuktuk tuhaavigiyumainakaluaktillugulu atauhektun.
MRK.6.21	Kakugugunmanli Herodim aniyauvia tikittuk, tapfumalu negiaktukuyain maliktini, atanikpaillu, Galileemiun ataningillu. 
MRK.6.22	Tapfumani Herodiasim pania itegami numekpaktuk aliahuktitugit Herod, negikataillu. Taima atanek angnaguhengmun ukallaktuk, “Ihumangnik tukhiaviginga, aitukuvlutin.” 
MRK.6.23	Tapfumunga ukagiaktuk ukakhuni, “Humiklunin tukhiagvigigungma, tuniniaktagin, atanguvingma pikutaita nappainlunin aitutiginiaktatka ilingnun.” 
MRK.6.24	Tayyainak aniyuk angnani apeginahualekhugu, “Humik tukhiaktukhauvik?” Kiuyuk “John Baptaiektim niakuanik.” 
MRK.6.25	Talva kilamiuvluni itegmiyuk atanek apegivlugu ukakhuni, “Tayya tuniyyavangma John Baptaiektim niakuanik akiutakpagmun.” 
MRK.6.26	Ataneklu kapiakhukpiaktuk ukagiakhimagamili negikatait tuhaatillugit, ukagiyautini puigugunaitain. 
MRK.6.27	Tayyainaglu atangum anguyakti tiliyaa itektauvingmun niakuektikuvlugu John. 
MRK.6.28	Niakua akiutakpagmi kagitimagu, atangum tuniyaa angnaguhek tapfuminga, tapfumalu angnaminun tunihiyuk niakuanik. 
MRK.6.29	Maligutaita Johnim tuhaagamitku kaiyun timaa tiguvlugu iluvektaat.
MRK.6.30	Apostleslu Jesusmun utektun uniutivlugu tamainik havaamingnik ilihauyyutimingniglu. 
MRK.6.31	Ukallautiyait, “Iglukpailgulmun aavungaugitti kihimgiugluhi unanguekhekuvluhi”, inuit amigaitpiaktun tikingnangmata ailutiglunin negitailivlugit. 
MRK.6.32	Talva kihimgiukhutik iglukpailgulmun aullaktun umiaktukhutik. 
MRK.6.33	Kihimi inuit tautugamitigit aullalektillugit ilitagivlugit, iglukagvingnin kaiyun akpathutik hivuliuvlutik akianun tikittun. 
MRK.6.34	Jesusim tikinami tautugamigit inuit amigaitun nagligiyain imnaitun imnailikangngitutun-inmata; aahin ilihautinahualektain amihumik.
MRK.6.35	Unulengman, maligutaita upaktaat ukakhutik, “Iglukpailgulmiinapta unulengmanlu 
MRK.6.36	inuit aullaktikit iglukagluangitununlunin niuvegiaktukuvlugit nekihamingnik.” 
MRK.6.37	Kiuyagaluangit, “Ilipfi nekihainik tunihigit.” Ukallautiyaat “Aavungaktukhauvita niuvegiaktukuvluta mukpauyanik, 200 dallat atuglugit, nekihainik tunikuvlugit?” 
MRK.6.38	Ukautiyait, “Mukpauyagliuyuhi uhimayunik kafiinik? Keniyyavuhi.” Kenigamik ukaktun, “Talimanik, ikalungniglu malgunik.” 
MRK.6.39	Talva ingikuyain ivingnun katimakuvlugit. 
MRK.6.40	Tamangmiglu akuvittun 50-laanik, 100-laaniglu. 
MRK.6.41	Jesuslu mukpauyanik talimanik, ikalungniglu malgunik tiguhigami aagluktuk kilangmun kuyakhukhuni mukpauyat avguktain tunivlugit tapkuninga maligutini tapkua tunikuvlugit inuit; tunipkaiyuglu ikalungnik tamainun. 
MRK.6.42	Tamangmiglu akeatuktun naamaktumik. 
MRK.6.43	Kinguagun tapkua ilakungit katigamitigit tigumiaktit 12n tatatait. 
MRK.6.44	Tapkualu mukpauyaktuktun 5000guyun angutit.
MRK.6.45	Tayyainaglu Jesusim maligutini ikipkaktain umiagmun akianun ikaakuvlugit Bethsaidamun inmi aullaktikuvlugit inuit. 
MRK.6.46	Tapkua aullakaaktillugit Jesus manilgulmun maiyugaktuk kengauyumavluni. 
MRK.6.47	Unulengmanlu umiak tahegmiitillugu kihimgiukhuni nunamiitpaktuk. 
MRK.6.48	Tapkua paukhutik aiyukalengmata anugigaalugmun Jesusim tautuktain imam kangagun pihuktillugu. Uvlaamilu kaulgaktinagu tapkununga aullaktuk pihukhuni kangiutinahualekaakhunilu, 
MRK.6.49	tapkuali takugamitku imam kangagun pihuktillugu anengniunahugiyaat tukungayumin, igialaakhutik 
MRK.6.50	ekhitakpiakamik. Tayyainagli ukagvigiyain ukakhuni, “Ekhiuktailuhi uvangauyunga kuviahukpagitti”. 
MRK.6.51	Aahin umiagmun ikinman anugaektuk, tapkuali agligutakpiaktun, 
MRK.6.52	mukpauyaktigunlu kangekhiyuitun umatain naptuvallaamata.
MRK.6.53	Ikagamik Gennesaretmiun nunaanun tikittun umiatik kehakhugu. 
MRK.6.54	Umiagmin atkaumata tayyainak inuit ilitagiyaat. 
MRK.6.55	Aahin utiuvlutik iglukagvingnun, kagitinahualektain aaniakhimayun kipikhimayun Jesusmun naiyugaanun kuyagingnakhuni. 
MRK.6.56	Namunlunin tikikagan iglukagluangitunun, iglukagvingnunlunin aahinunlunin, aaniaktun kaitauningnaktun iliyauvlutik niuvavingni, tapkua tukhiavigiyumavlugu Jesus aktuinakuvlugu annugaata hinaa, aktuinaktunlu naguhipkaktauyun.
MRK.7.1	Tapfumani Pharisekut, tiitigaktillu akuihimayun Jerusalemin katimagamik Jesusmun, 
MRK.7.2	tautuktain maligutait negivangmata uakhimaitumik algait halumaitillugit. 
MRK.7.3	(Pharisekut Jewmiut tamangmik negitinatik uakpaktun algamingnik hivullingita pitkuhiit malikhugit 
MRK.7.4	aahin niuvavingnin aigagamik negiyunaitun ingmingnik uaktinatik; pitkuhit allat malingnaktain, kallutait, akiutaillu, kattaillu uakhugit) 
MRK.7.5	Pharisekut Tiitigaktillu apegiyaat, “Hug maligutitin hivullipta pitkuhiit maligngipahigit negivlutik algamingnik uakhimaitumik?” 
MRK.7.6	Ukallautiyait, “Itkumayumik Isaiah hivuniugiakpaktuk ilipfigun ilumukhektutigun, tiitigakhimangman, 'Hapkua inuit nagugitillunga uvanga kanimingnin uvamnin ungahiktumiitgaluaktun umatimingni. 
MRK.7.7	Angayyuvigiyangnga ilumuktungngitutun inuit pitkuhigingnik ilihauyyingnakpiagamik.' 
MRK.7.8	Godim pitkuyanga kimagapfiuk inuit pitkuhiit malingnakuvlugit.”
MRK.7.9	Ukautiyaillu “Godim pitkuyain igitpaktahi ilipfi pitkuhihi malikuvlugit. 
MRK.7.10	Moses ukakhimangman, 'Angutin angnallu nagugilugik' imaatunlu, 'Kinalika anguminun angnaminunlunin ukanilukumi tukutauli' tamna. 
MRK.7.11	Ilipfili ukagaluaktuhi, 'Inuk anguminun angnaminunlunin ukakkan, Hullika piyakhagiyahi uvamnin Corbanguyuk' (Imaatun-ituk-Godmun tuniyauyuk) 
MRK.7.12	Talva ilipfi ikayukiktailiyakhi tamna angayukaminun. 
MRK.7.13	Taima pitkuhipfigun tapkuninga ilihauyyigapfi Godim ukauhiit hugnektitahi. Allaniglu ayyikiitumik pivaktuhi.
MRK.7.14	Aahin Jesusim kaitkugamigit inuit inminun ukallautiyain, “Nalaugitti uvamnun tamapfi kangekhiluhilu. 
MRK.7.15	Hullika inum hilataaniituk iluanungaugumi halumaektilimaituk tapfuminga, tapkuali inum iluanin aniyun halumaektiyagaluangat tamna.
MRK.7.16	Inuk hiutilik hapkuninga tuhaali. 
MRK.7.17	Iglumunlu itegman kimakhugit inuit maligutaita apegiyaat hivuniunekun. 
MRK.7.18	Ukallautiyain, “Ilipfitauk kangekluangitpihi? Ilihimangngitpihi hullika inum hilataanin iluanun itegumi halumaektilimaitaa, 
MRK.7.19	umataanun itegnginami akeaguanun kihianun anaktauvlunilu?” (Taima Jesusim nekikhat tamaita halumagnahugiyain) 
MRK.7.20	Ukaktuglu, “Hullika inungmin aniyuk halumaektiyuk inungmik. 
MRK.7.21	Imaatun-ituk, inuk ihuitumik ihumalegumi allatugumagumilu, kukitumavlunilunin, inuagumagumi 
MRK.7.22	aagukhukpiakhuni, huinekiyumavluni, ikugumi, tuhuvluni, uneglukpiagumilu, anangaiyakhuni, tiitakpiagumilunin, 
MRK.7.23	hapkuninga tamainik inuk pigumi hivungani ihumalektuk umamini, tapkuaktauk inuk halumaektitaa.”
MRK.7.24	Talva nangekhuni Jesus aullaktuk Tyrm Sidonim nunainun. Iglumunlu itegumayuk inungnin tautugnaitillugu, iyektaulimaitugaluak tapkunanga. 
MRK.7.25	Tayyainaglu angnak panikaktuk agiuktulingmik tuhaagami Jesuskun upautiyuk pallukhuni itigainun. 
MRK.7.26	Angnak tamna Greekmiutauyuk Syropheniciamiuni inuhimayugaluak. Tapfuma tukhiagvigiyaa agiuktuk anipkakuvlugu panianin. 
MRK.7.27	Ukallautiyaa, “Kitungauyun negipkaktaulit, ihuiman kitungauyun nekhautain tuniyaupata kenminun.” 
MRK.7.28	Kiuyagaluanga angnam, “Ilaa Atanek, kenmitlunin ikpatim ataaniitun kitungauyun nekhautaita ilakungit katakhimayun negiyain.” 
MRK.7.29	Jesusim ukallautiyaa, “Ukagavin taima aiyyavutin, agiuktum panin kimangmagu.” 
MRK.7.30	Aigamilu panini tautuktaa nallakhuni iglengmi, agiuktuektuglu.
MRK.7.31	Tyreminlu utegami apkutigiyaa Sidon attakhuni Galileem tahianun aullakhuni iglukagvitigun kulitigun. 
MRK.7.32	Inuillu tikiutiyaat Jesusmun inuk tuhaalimaiman ukayyaglukhunilu, tukhiagvigivlugulu aktuinakuvlugu. 
MRK.7.33	Jesusimlu aahinungautigamiuk hiutaik aktuktaik, ukaalu mihaktektaa kaniminin. 
MRK.7.34	Kilangmun aaglukhunilu anekhaumiyuk ukautivlugu, “Ephaphatha” –imaatun-ituk, “Angmagin”. 
MRK.7.35	Hiutaillu angmaktuk ukayyagikhiyuk tayyainak. 
MRK.7.36	Jesusimlu unipkaktailiyain tapfuminga, akhunli uniutivagain tamaita tamainik. 
MRK.7.37	Tapkualu agligutakpiakhutik ukaktun, “Una tamainik naguyunik pivaktuk. Tuhaayuitun tuhaatitain, ukayuitullu ukaktitugit.”
MRK.8.1	Tapfumani inuit amigaitpiaktun katimangmimata nekhaekpiakhutik, Jesusim maligutini inminun kaitkuyain ukautivlugit, 
MRK.8.2	“Inuit nagligiyatka uvluni pingahuni uvamniitpagmata nekhaitgaluaktillugit. 
MRK.8.3	Aitkugupkit negitinagit hakuekhunguyun, ilait ungahiktumin kaithimangmata.” 
MRK.8.4	Maligutaitalu kiuyaat, “Kanuk mukpauyaktuktiniakkitigit hapkua hamani inuilgulmiitilluta?” 
MRK.8.5	Apegiyain “Kafinik mukpauyagliuyuhi uhimayunik?” Ukaktun “7nik.” 
MRK.8.6	Talva tapfuma inuit ingitkuyain nunamun, talva mukpauyait uhimayun 7n tigugamigit kuyahukhuni avguktain tapkuninga maligutini tunivlugit, tapkua tunipkaikuvlugit inungnun; tapkualu tuniyain. 
MRK.8.7	Aahin ikalukaktunlu ikitunik, Jesuslu kuyahukaaktillugu pitkuyain tapkuatauk tuniyaukuvlugit inungnun. 
MRK.8.8	Inuillu negivaktun akeatukhutik. Aahin mukpauyaita ilakungit kimakhimayun, katigamigit tigumiaktit 7n tatattait 
MRK.8.9	Takanani inuit 4000guyun itpaktun. 
MRK.8.10	Jesusimlu aullaktinamigit tayyainak umiagmun ikiyuk maligutaillu aullakhutik Dalmanutham nunaanun.
MRK.8.11	Talva Pharisekut kaivlutik kaninahualektaat naunaikutamik kilangmin takuyumavlutik uktugiaktukuvlugu Jesus. 
MRK.8.12	Jesuslu akhun anekhaumiyuk ukakhuni, “Hug hapkua inuit naunaikutamik takuyumavat? Ilumun ukautigipfi, hapkua inuit naunaikutamik takuyunaitun.” 
MRK.8.13	Kimakhugitlu akianungaktuk umiaktukhuni.
MRK.8.14	Maligutaillu puigukpiagamik natkangngitun mukpauyanik, umiagmi mukpauyak uhimayuk atauhinak avaliektuk. 
MRK.8.15	Jesusim ihuakhaktain ukakhuni, “Kamahutigilugit Pharisekut Herodkullu mukpauyaita puvlangit.” 
MRK.8.16	Tapkuali ingmingnik apekhiyun tapfuminga ukakhutik, “Mukpauyaekapta”. 
MRK.8.17	Jesusimlu tuhaagamigit ukaktuk, “Mukpauyaekapfi hug ukakkihi? Kangekhingitpihi ilihimaluanginapfi? Umatihi naptuvallaaktun? 
MRK.8.18	Iyikaktilluhi takulimaituhi, hiutikaktilluhilu tuhaalimaitgaluaktuhi? Itkaumayuitpihilu? 
MRK.8.19	Uvanga mukpauyait talimat avgukpagapkit inungnun 5000guyunun kafinik tigumiagutit ilakungingnik tatatpaktahi?” Ukautiyaat, “12nik”. 
MRK.8.20	“7nlu inungnun 4000guyunun kafinik tigumiagutit mukpauyaita ilakungingnik?” Tapkua ukaullautiyaat, “7nik”. 
MRK.8.21	Ukautiyaillu, “Tayyalunin kangekhingitpihi?”
MRK.8.22	Bethsaidamun tikittun. Inuillu takanani kagitiyaat takpiituk Jesusmun tukhiagvigivlugu aktukuvlugu tamna. 
MRK.8.23	Tapfumalu takpiituk tahiuktaa kanilgulmun iglukagluangitumin, kanimininlu mihatektaik iyingik aktugamiuk apegiyaa, “Humik tautukpin?” 
MRK.8.24	Tamna aaglukhuni ukaktuk, “Inuit tautuglektatka pihukhutik, napaaktutun-ililektugaluit.” 
MRK.8.25	Iyingillu aktugmiyaik, talva takpiitugaluak kungniakhuni tautuglektuk tamanik. 
MRK.8.26	Jesusimlu tamna aitkugamiuk ukaktuk, “Aitinatin iglukagluangitumun pulaaktailutin.”
MRK.8.27	Jesus maligutaillu aullangmiyun iglukagluangitunun Caesarea-Philippimiitunun. Aullakhutik maligutini apegiyain, “Inuit kinaunahugivangnga, kanuk ukaktun”. 
MRK.8.28	Kiuyaat, “John Baptaiektiunahugiyaatin, allata Elijaunahugiyaatin, allatalu nalautaiyyit ilangatlunin ukaktaat.” 
MRK.8.29	Apegiyain, “Ilipfili kinaunahugivihinga?” Peterm kiyuaa, “Christiuyutin.” 
MRK.8.30	Uniuyyitailiyain inungnun.
MRK.8.31	Aahin ilihautinahualektain inmigun inum engniga naklikhaktitauhunguman amihumik, igitauluni inuit ataningingnin, angayyuvikpagyuakut ataningingninlu, tiitigaktininlu tukutauluninlu, uvluglu pingahuani makiniaktugaluak. 
MRK.8.32	Hapkua ukautigiyain naunaitumik. Peterm pigamiuk ihuahagahualektaa. 
MRK.8.33	Jesusim kiviakhuni takuvlugit maligutini Peter ihuakhaktaa ukakhuni, “Tunumnungaugit Tupilak, God ihumaginginangni, inuit kihimi.”
MRK.8.34	Talva Jesusim inuit maligutinilu inminun kaitkuyain ukautivlugit, “Inuk uvamnik maligumayuk inminik pitailiyukhak haniagutiminiglu tigukaalugu maliglunga. 
MRK.8.35	Kinalika inuheminik annautigumi tamaktiniaktaa, kinalikalunin inuheminik tamaktigumi uvanga ukauhitkalu pivlugit annautiniaktaa. 
MRK.8.36	Inuk humik pikangniakka nunat tamaita piyutigigumigit tukugaluaktillugu? 
MRK.8.37	Humiglunin inuk tunihiniakka inuhini himmautigikuvlugu? 
MRK.8.38	Inum uvanga ukauhitkalu kanguhutigipagit inuit huinekiyun takuangni tamnatauk inum engningata kanguhutiginiaktaa kaitkumi Angumi kaumaningagun ilagilugit ihalgulgit naguyun.
MRK.9.1	Jesusim ukautiyaillu, “Ilumun ukautigipfi, hapkua inuit nangekataulektun ilait tukuyunaitun tautuktinatik Godim atanguvianik tikilektillugu.
MRK.9.2	Uvlullu 6it nungumata, Jesusim Peter, Jameslu Johnlu inminun malikuyain maiyugakatigiyumavlugit manilgulmun kingiktumun kihimgiukhutik. Tatpaanilu takuangni allanguktitauyuk. 
MRK.9.3	Annugaillu kengnagnakpiakhutik kakutanguktun aputitun kakuktaukiyauvlutik uaktauhimayunin. 
MRK.9.4	Tapkunungalu Elijah Moseslu hagyaektuk Jesus ukagvigivlugu. 
MRK.9.5	Peterm Jesus ukallautiyaa, “Atanek, hamaniinapta nagutpiaktuk, tupigliukta pingahunik, ilingnun atauhengmik, Mosesmunlu atauhengmik, Elijahmunlu atauhengmik.” 
MRK.9.6	Ukakhaminik ilihimangnginami ekhiukpallaaktillugu. 
MRK.9.7	Nuvuyamlu ulingmagit, nipi nuvayagmin tuhaanaktuk ukakhuni, “Una engniga nagugiyaga, tuhaakhiuk.” 
MRK.9.8	Tayyainaglu kiviangmata inuhingitpiaktuk, Jesus avaliengman.
MRK.9.9	Aahin manilgulmin atkautilugit Jesusim pitkuyain tapkua takuyamingnik uniuyyikunagit inum engniga makikaaktinagu tukungayunin. 
MRK.9.10	Taima tapfuminga ihumalektun tukungayun makiyyutaatigun unipkakhimaitumik. 
MRK.9.11	Apegiyallu Jesus, “Hug tiitigaktit ilihauyyivat Elijam tikittakhaanik hivulliuvluni?” 
MRK.9.12	Ukallautiyain, “Elijah ilaa tikikaaktukhaugaluaktuk tamaita ihuakuvlugit; huli tiitigakhimayuk inum engnigagunun naglikhaktitauhunguman mitautigiyauvluni, hug? 
MRK.9.13	Ukautigipfili, Elijah tikihimayugaluak inuilli ihumamingnik pivagaat tiitigakhimangman tapfumuna.”
MRK.9.14	Aahin tapkua tikinamitigit maligutit allat inuit amigaitun tapkunani tautuktain, tiitigaktillu kangutivlutik. 
MRK.9.15	Tayyainaglu inuit takugamitku Jesus agligutakhutik akpahiyun tapfumunga hallutugu. 
MRK.9.16	Apegiyain, “Humik ukakatigikpihi tapkununga?” 
MRK.9.17	Inuit ilangata kiuyaa. “Ilihauyyi, engniga kagitiyagaluaga ilingnun agiuktukangman ukayuitumik. 
MRK.9.18	Agiuktum pigagamiuk nunamun ulgutiyaa, inuhuktuk kiiyakpiaktuk kapekivluni kigatakhimavlunilu. Aahin maligutitin apegivaktatka agiuktuekuvlugu pilimaitugaluit.” 
MRK.9.19	Talva Jesusim tapkua ukallautiyain, “Inuit hunauvat ukpektaitpiaktun, kanuk hivitutigiyumik naiyugniagipfi? Kanuk hivitutigiyumik huginiakkihi? Kagitihiuk uvamnun.” 
MRK.9.20	Tapkua inuhuktuk kagitiyaat tapfumunga. Agiuktum takugamiuk Jesus tayyainak inuhuktuk kiipkaktaa. Tamnalu nunamun ulgugami nunamun akhalekhuni kapekivluni kaniminin. 
MRK.9.21	Jesusimlu inuhuktum anguta apegiyaa, “Kanga taimalingnakpakpa?” Kiuyuk, “Nutagauneminin. 
MRK.9.22	Ilaani agiuktum ingnegmun imangmunlunin ulgutivaktaa tukunahuakhugu. Hapengngitkuvinlu nagligitigut ikayugluta.” 
MRK.9.23	Jesus ukallaktuk tapfumunga, “Hapengngitkuma! Hullika hapengnaipiaktun ukpegluaktumun.” 
MRK.9.24	Tayyainak inuhuktum anguta ukallaktuk nipikutuyumik “Ukpektunga ukpeguektailunga.” 
MRK.9.25	Talva inuit kuglukpallialengmata Jesusim takugamigit agiuktuk ukagvigiyaa ukakhuni, “Agiuktuk ukayuituk tuhaayuituglu, pitkuyagin, anigiagin tayya itekiktailutinlu talvangaanin tapfumunga.” 
MRK.9.26	Talva agiuktum kiipkakaaktillugu inuhuktuk igialaakhunilu aniyuk, inuhuktuklu tukungayutun-ililengman ilait ukaktun, “Tukuyunektuk” 
MRK.9.27	Jesusimli algaa tigugamiuk makiktitaa nangektuglu.
MRK.9.28	Iglumunlu Jesus itengman, maligutaita apegiyaat kihimgiukhutik, “Hug uvagut anipkaglimaitpitigu tamna?” 
MRK.9.29	Kiuyain, “Agiuktun taimatun anipkaktauniaktun kengaunektigun kihiagun.”
MRK.9.30	Talvangalu aullangmiyun Galileekukhutik. Jesuslu takuyumangituk inungnik takanani 
MRK.9.31	ilihauyyiyumavluni maligutiminun kihianun. Ukautiyaillu, “Inum engniga inungnun tuniyauniangman tapkua tukuniaktaat, tukutaugumilu uvluk pingahuangni makiniaktuk.” 
MRK.9.32	Tapkuali ukauhiit kangekhimangngitait kamahukpallaagamiglu apegiyumangngitaat.
MRK.9.33	Capernaumun tikihimangmata, iglumiitillugu Jesusim apegiyain, “Kaigapta huna ukautigivakkihiuk?” 
MRK.9.34	Nipiliyuitun tapkua aullaktillugit nallitik ataniukiyaumangan ingmingnik apekhuivagamik. 
MRK.9.35	Ingigamilu 12n kaitkuyain inminun ukautivlugit, “Ilipfingnin kinalika hivulliugumagumi kinguliuyukhauyugaluak kivgaktuinakluni tamainun.” 
MRK.9.36	Talva nutagak pigamiuk akungnamingnun iliyaa, talva tigugamiuk ukallautiyait, 
MRK.9.37	“Kialika nutagak umatun ilagikumiuk atimni, ilagiyanga uvanga. Aahin kialika ilagiguminga atauhektun ilagingnaktaa tamna tiliyiga.”
MRK.9.38	John Jesumun ukallaktuk, “Ilihauyyi tautukpagapta angunmik anipkaitillugu agiuktunik atingnun pitailiyakkut malingngimatigut.” 
MRK.9.39	Jesus ukaktugaluak, “Pitailiyukhaungitkaluaktuhi tapfuminga, inuk hapengnaktumik pigumi atipkun talvangaanin atiga ukautigiyunaimagu ihuitumik. 
MRK.9.40	Inuk akikektungitkumi uvaptingnun ikayuktaatigut. 
MRK.9.41	Ilumun ukautigipfi, kialika imektigumihi iminnangmik atikautigigapfiuk Christ tamna akiliuhiakhunguyuk ilaa.
MRK.9.42	“Inum huinekipkakumiuk nutakat ilangatlunin ukpekluakkan uvamnun, uyagakpak kungahingagun nivingaktukhak imangmun imitkuvlugu. 
MRK.9.43	Algavillunin huinekipkakpatin kipilugu nagutkiak ilingnun kilangmun iteguvin algaekhimaktillutin igitaukunatin ikualakttivingmun ingnegvilingmun malgunik algakakhimakaluaktillutin.
MRK.9.44	Talvani kupilgut negingnaktun tapkuninga, ingnillu kamilaitpiaktuk. 
MRK.9.45	Itigavillu huinekipkakpatin kipilugu nagutkiak kilangmun iteguvin tuhiakaluaktillutin igitaukunatin ikualakttivingmun malgunik itigakaktillutin.
MRK.9.46	Talvani kupilgut negingnaktun tapkuninga, ingnillu kamilaitpiaktuk. 
MRK.9.47	Iyivillunin huinekipkakpatin ungavagiaguk nagutkiak Godim atanguvianun tikitkuvin iyikaktillutin aipanik igitaukunatin ikualakttivingmun kamilaitumun. 
MRK.9.48	Talvani kupilgut negingnaktun tapkuninga, ingnillu kamilaitpiaktuk.
MRK.9.49	“Tamangmiglu tagiuktauniaktun ingnegmun. 
MRK.9.50	Tagiuk naguyuk, tagiugli hakuekumik kanuk atuktauniakkat? Ilipfingni tagiukakpagluhi naamakpayyavuhilu.”
MRK.10.1	Jesus talvanga aullaktuk Judeam nunaanun, Jordam avataanun; aahintauk inuit amihut tikittaat. Taima pitkuhiminik malikhuni ilihautiyain. 
MRK.10.2	Talva Pharisekut uktugumavlugu upaktaat apekhivlutik, “Naamakpa angutim nuliyani avipkakpagu?” 
MRK.10.3	Kiuyain, “Kanuk Mosesim pitkuyaahi?” 
MRK.10.4	Ukaktun, “Moses avitumayunun pitkuiyuk tiitigakuvlugit avityyutikhanik avitkuvlugit.” 
MRK.10.5	Jesusim ukallautiyain, “Mosesim taima pitkuyaahi umatihi naptuvallaamata. 
MRK.10.6	Ingilganli God hanagami tamainik 'Tamna havavaktuk angunmik angnagmiglu.' 
MRK.10.7	'Taima angutim anguni, angnanilu kimangniaktaik nuliayani naiyukuvlugu, 
MRK.10.8	tapkuaklu malgukaluakhutik atauhektun-inniaktuk'. Talvangaanin malgungitpiaktuk atauhiugamik. 
MRK.10.9	Tapkuaglu Godim nuliagik katinmagik, inum allam avipkaktailivaglugik.”
MRK.10.10	Iglumilu maligutaita apegiyaat tapfuminga. 
MRK.10.11	Ukautiyain, “Kialika nuliyani avipkakumiuk nulianikhuni allamik allatuktuk. 
MRK.10.12	Angnamlunin uini avipkakumiuk uinigumavluni allamik tamnatauk allatuktuk.
MRK.10.13	Nutakalgillu nutakatik kagitiyain Jesusmun aktuinakuvlugit, maligutaitali taimaliuktailiyagaluangit. 
MRK.10.14	Jesusimlu takugamigit kuviahungngituk ukautivlugit, “Nutakat uvamnun kailit aahivaktailugit tapkua Godim atanguvia naminigimayyuk. 
MRK.10.15	Ilumun ukautigipfi, kinalika Godim atanguvianik pigngitkumi nutagaktun tapfumunga itegunaituk.” 
MRK.10.16	Nutakallu tigugamigit taliminun naguguktitain.
MRK.10.17	Jesus aullagahualektillugu inuk akpahiyuk tapfumunga hitkuvigigamiuk apekhiyuk, “Ilihauyyi naguyutin, humik piniaktukhauvik inuhengmik nungulaitumik kinguvakhakakuvlunga?” 
MRK.10.18	Jesusim ukallautiyaa, “Hug naguyumik taivinga? God kihimi naguyuk. 
MRK.10.19	Pitkuyainik ilihimagaluaktutin, 'Inuaktailutin, allatuktailutin, kukittailutinlu, ikutailutinlu nuakatikun, hullika naminigitailugu ihuitukun, angutin angnallu nagugilugik.' ” 
MRK.10.20	Kiuyaa, “Ilihauyyi, hapkua pitkuhiit tamaita malikpaktagaluatka inuhuktutimnin.” 
MRK.10.21	Jesusim iigigamiuk nagugiyaa ukallautivlugu, “Atauhengmigli pingitkaluaktutin. Aigiagin tamaiyatin niuvgutigikit ilingayun aitukuvlugit taima pikutinik akituyunik pikakhunguyutin kilangmi. Aahin kaigiagin maliglunga.” 
MRK.10.22	Taima Jesus ukangman akulia allanguktuk aiyuglu kuviahungngitkivluni pikutain amigaitpiangmata.
MRK.10.23	Jesuslu kiviakhuni maligutiminun ukaktuk, “Mangiektum tikiyyuta Godim atanguvianun aiyungnakpiaktuk.” 
MRK.10.24	Maligutaitali agligutautigiyaat. Jesusli ukangmiyuk, “Kitungatka, aiyungnakpiaktuk Godim atanguvianun itekluni. 
