GEN.1.1	Pada mulanya, ketika Allah mula menciptakan alam semesta,
NUM.22.24	Kemudian malaikat TUHAN berdiri di bahagian jalan yang sempit, di antara dua kebun anggur dengan tembok batu di sebelah-menyebelah. 
NUM.22.25	Apabila keldai itu nampak malaikat di situ, keldai itu minggir sehingga kaki Bileam terjepit ke tembok. Sekali lagi Bileam memukul keldainya. 
NUM.22.26	Malaikat TUHAN maju lagi dan berdiri di tempat yang lebih sempit, sehingga tidak ada jalan untuk menyimpang ke kanan atau ke kiri. 
NUM.22.27	Kali ini, ketika keldai itu nampak malaikat TUHAN, keldai itu merebahkan badan. Bileam naik marah lalu memukul keldai itu dengan tongkatnya. 
NUM.22.28	Kemudian TUHAN membolehkan keldai itu bercakap, lalu keldai itu berkata kepada Bileam, “Apakah kesalahan saya? Mengapakah tuan memukul saya sampai tiga kali?”
NUM.22.29	Bileam menjawab, “Oleh sebab engkau mempermainkan aku! Jika aku mempunyai sebilah pedang, sudah pasti aku membunuh engkau.”
NUM.22.30	Keldai itu menjawab, “Bukankah tuan menunggangi saya seumur hidup tuan? Pernahkah saya memperlakukan tuan begini?”
NUM.22.30	“Tidak,” jawab Bileam.
NUM.22.31	Kemudian TUHAN membolehkan Bileam melihat malaikat TUHAN yang berdiri di situ dengan pedang terhunus, lalu Bileam sujud menyembah. 
NUM.22.32	Malaikat itu berkata, “Mengapakah engkau memukul keldaimu sampai tiga kali? Akulah yang menghalangi perjalananmu, kerana engkau tidak seharusnya pergi. 
NUM.22.33	Tetapi keldaimu nampak aku dan keldai itu minggir tiga kali. Jika tidak, aku pasti membunuh engkau dan membiarkan keldaimu hidup.”
NUM.22.34	Bileam menjawab, “ Saya sudah berdosa. Saya tidak tahu bahawa tuan berdiri di hadapan untuk menghalangi saya. Jika pada pendapat tuan, saya tidak seharusnya pergi, baiklah saya pulang.”
NUM.22.35	Tetapi malaikat TUHAN berkata, “Pergilah bersama-sama semua orang ini, tetapi hanya katakan apa yang aku suruh engkau katakan.” Oleh itu Bileam meneruskan perjalanannya bersama-sama semua orang itu.
NUM.22.36	Apabila Raja Balak mendengar bahawa Bileam datang, baginda pergi berjumpa dengan dia di Ar, kota di pinggir Sungai Arnon di sempadan tanah Moab. 
NUM.22.37	Raja Balak bertitah kepada Bileam, “Ketika beta memanggil kamu pada kali yang pertama, mengapakah kamu tidak datang? Adakah kamu menyangka bahawa beta tidak sanggup membayar upahmu?”
NUM.22.38	Bileam menjawab, “Sekarang hamba sudah datang, tetapi hamba tidak berhak mengatakan apa pun kecuali yang diperintahkan oleh Allah.” 
NUM.22.39	Kemudian Bileam pergi bersama-sama Raja Balak ke kota Huzot. 
NUM.22.40	Di situ Raja Balak menyembelih beberapa ekor lembu dan domba sebagai korban. Raja Balak memberikan sebahagian daripada daging itu kepada Bileam dan para pemimpin yang bersama dengan baginda.
NUM.22.41	Keesokan paginya Raja Balak membawa Bileam pergi ke Bamot-Baal. Di situ Bileam dapat melihat sebahagian daripada umat Israel.
NUM.23.1	Bileam berkata kepada Raja Balak, “Binalah tujuh buah mazbah untuk hamba di sini, lalu sediakanlah tujuh ekor lembu jantan dan tujuh ekor domba jantan.”
NUM.23.2	Raja Balak mengabulkan permintaan Bileam. Lalu Raja Balak dan Bileam mempersembahkan seekor lembu jantan dan seekor domba jantan di atas tiap-tiap mazbah. 
NUM.23.3	Kemudian Bileam berkata kepada Raja Balak, “Berdirilah di samping korban yang tuanku persembahkan. Sementara itu hamba akan pergi melihat sama ada TUHAN datang bertemu dengan hamba atau tidak. Hamba akan memberitahu tuanku segala sesuatu yang difirmankan TUHAN kepada hamba.” Bileam pergi seorang diri ke puncak sebuah bukit, 
NUM.23.4	dan Allah menemui Bileam di situ. Bileam berkata kepada Allah, “Aku sudah membina tujuh buah mazbah dan mempersembahkan seekor lembu jantan dan seekor domba jantan di atas tiap-tiap mazbah.”
NUM.23.5	Kemudian TUHAN memberitahu Bileam apa yang harus dikatakannya, lalu menyuruh dia kembali kepada Raja Balak untuk menyampaikan pesan TUHAN kepada baginda. 
NUM.23.6	Apabila Bileam kembali, dia mendapati Raja Balak masih berdiri bersama dengan semua pemimpin Moab, di samping korban-korban yang dipersembahkannya.
NUM.23.7	Kemudian Bileam mengucapkan nubuat ini,
NUM.23.7	“Raja Balak, penguasa Moab sudah membawa hamba dari Siria,
NUM.23.7	dari pergunungan di sebelah timur.
NUM.23.7	‘Marilah,’ titahnya, ‘berucaplah bagi beta, kutuklah umat Israel.’
NUM.23.8	Bolehkah hamba mengutuk apa yang tidak dikutuk oleh Allah,
NUM.23.8	atau menghukum apa yang tidak dihukum oleh TUHAN?
NUM.23.9	Dari puncak gunung aku nampak mereka,
NUM.23.9	dari atas bukit aku memperhatikan mereka.
NUM.23.9	Mereka suatu bangsa yang hidup tersendiri,
NUM.23.9	mereka tahu, mereka diberkati lebih daripada bangsa lain.
NUM.23.10	Keturunan Israel bagaikan debu tidak terbilang;
NUM.23.10	mereka terlalu banyak untuk dihitung.
NUM.23.10	Semoga akhir hayat hamba seperti akhir hayat salah seorang umat Allah;
NUM.23.10	semoga hamba meninggal dengan tenang seperti orang jujur.”
NUM.23.11	Kemudian Raja Balak berkata kepada Bileam, “Apakah yang sudah kamu lakukan kepada beta? Beta membawa kamu ke sini untuk mengutuk musuh beta, tetapi kamu memberkati mereka.”
NUM.23.12	Bileam menjawab, “Hamba hanya dapat mengucapkan apa yang disuruh oleh TUHAN.”
NUM.23.13	Kemudian Raja Balak bertitah kepada Bileam, “Marilah kita pergi ke tempat lain. Di sana kamu akan nampak hanya sebahagian daripada umat Israel. Dari sana, kutuklah mereka bagi beta.” 
NUM.23.14	Raja Balak membawa Bileam ke padang Zofim, di puncak Gunung Pisga. Di sana Raja Balak juga membina tujuh buah mazbah dan mempersembahkan seekor lembu jantan dan seekor domba jantan di atas tiap-tiap mazbah.
NUM.23.15	Bileam berkata kepada Raja Balak, “Berdirilah di samping korban yang tuanku persembahkan, sementara hamba pergi menemui TUHAN di situ.”
NUM.23.16	TUHAN menemui Bileam dan memberitahu dia apa yang harus dikatakannya, lalu menyuruh dia kembali kepada Raja Balak untuk menyampaikan firman itu kepada baginda. 
NUM.23.17	Apabila Bileam kembali, dia mendapati Raja Balak masih berdiri bersama dengan para pemimpin Moab, di samping korban-korban yang dipersembahkannya. Raja Balak bertanyakan firman TUHAN, 
NUM.23.18	lalu Bileam mengucapkan nubuat ini,
NUM.23.18	“Hai Raja Balak anak Zipor, dengarlah kata hamba.
NUM.23.19	Allah bukan manusia, Dia tidak berdusta;
NUM.23.19	Allah bukan insan, Dia tidak mengubah fikiran.
NUM.23.19	Apa yang dijanjikan-Nya akan dipenuhi-Nya;
NUM.23.19	apa yang difirmankan-Nya pasti dilakukan-Nya.
NUM.23.20	Aku disuruh memberkati;
NUM.23.20	apabila Allah memberkati,
NUM.23.20	aku tidak dapat membatalkannya.
NUM.23.21	Tidak ada kesukaran pada masa depan Israel,
NUM.23.21	tidak ada kesusahan pada masa depan mereka.
NUM.23.21	TUHAN, Allah mereka menyertai mereka;
NUM.23.21	Israel mengakui Dia sebagai raja.
NUM.23.22	Allah sudah memimpin mereka keluar dari Mesir,
NUM.23.22	Allah berperang bagi mereka seperti lembu liar.
NUM.23.23	Tiada mantera ataupun ilmu sihir
NUM.23.23	yang dapat menentang Israel.
NUM.23.23	Orang akan berkata tentang Israel, ‘Lihatlah perbuatan Allah bagi mereka!’
NUM.23.24	Bangsa Israel bagaikan singa yang perkasa,
NUM.23.24	yang tidak akan diam sehingga mangsa diterkamnya,
NUM.23.24	dan darah mangsa itu diminumnya.”
NUM.23.25	Kemudian Raja Balak bertitah kepada Bileam, “Sudahlah, jika kamu tidak mahu mengutuk umat Israel, setidak-tidaknya jangan berkati mereka!”
NUM.23.26	Bileam menjawab, “Bukankah hamba sudah memberitahu tuanku bahawa hamba mesti melakukan apa yang diperintahkan TUHAN?”
NUM.23.27	Raja Balak bertitah, “Marilah kita pergi ke tempat lain. Mungkin di sana, Allah akan membenarkan kamu mengutuk umat Israel bagi beta.” 
NUM.23.28	Oleh itu Raja Balak membawa Bileam ke puncak Gunung Peor yang menghadap padang gurun. 
NUM.23.29	Bileam berkata kepada Raja Balak, “Binalah tujuh buah mazbah bagi hamba di sini, lalu bawalah tujuh ekor lembu jantan dan tujuh ekor domba jantan.” 
NUM.23.30	Raja Balak mengabulkan permintaan Bileam, lalu mempersembahkan seekor lembu jantan dan seekor domba jantan di atas tiap-tiap mazbah.
NUM.24.1	Pada masa itu Bileam sudah tahu bahawa TUHAN mahu dia memberkati umat Israel. Oleh sebab itu dia tidak lagi mencari petanda-petanda seperti yang dilakukannya sebelum itu. Dia melihat ke arah padang gurun, 
NUM.24.2	lalu nampak umat Israel berkhemah dalam kelompok menurut suku masing-masing. Roh Allah menguasai Bileam, 
NUM.24.3	lalu dia mengucapkan nubuat ini,
NUM.24.3	“Inilah perkhabaran Bileam anak Beor,
NUM.24.3	ucapan seorang yang melihat dengan jelas,
NUM.24.4	seorang yang mendengar firman Allah.
NUM.24.4	Hamba nampak penglihatan daripada Allah Yang Maha Kuasa,
NUM.24.4	sambil rebah, namun dengan mata terbuka.
NUM.24.5	Khemah-khemah Israel sungguh indah,
NUM.24.6	seperti barisan panjang pokok kurma,
NUM.24.6	atau seperti taman di pinggir sungai;
NUM.24.6	seperti pokok gaharu yang ditanam oleh TUHAN,
NUM.24.6	atau seperti pokok sedar di tepi air.
NUM.24.7	Mereka akan mendapat air hujan berlimpah-limpah,
NUM.24.7	dan menanam benih di ladang yang cukup air.
NUM.24.7	Raja mereka lebih agung daripada Raja Agag,
NUM.24.7	dan kerajaan baginda akan diluaskan.
NUM.24.8	Allah membawa mereka keluar dari Mesir;
NUM.24.8	Dia berperang bagi mereka seperti lembu liar.
NUM.24.8	Mereka membinasakan musuh,
NUM.24.8	menghancurkan tulang mereka,
NUM.24.8	dan mematahkan panah mereka.
NUM.24.9	apabila tidur, tidak seorang pun berani membangunkannya.
NUM.24.9	Sesiapa yang memberkati Israel akan diberkati,
NUM.24.9	dan sesiapa yang mengutuk Israel akan dikutuk.”
NUM.24.10	Dengan sangat murka, Raja Balak menggenggam penumbuk lalu bertitah kepada Bileam, “Beta menyuruh kamu mengutuk musuh beta, tetapi kamu memberkati mereka pula sampai tiga kali. 
NUM.24.11	Sekarang pulanglah! Walaupun beta berjanji mengupah kamu, tetapi TUHAN tidak membenarkan kamu menerima upah.”
NUM.24.12	Bileam menjawab, “Hamba sudah memberitahu para utusan tuanku bahawa 
NUM.24.13	walaupun tuanku memberi hamba segala perak dan emas di istana tuanku, hamba tidak dapat melawan perintah TUHAN dengan melakukan kehendak hamba sendiri. Hamba hanya mengucapkan apa yang disuruh oleh TUHAN.”
NUM.24.14	Bileam berkata kepada Raja Balak, “Sekarang hamba hendak pulang kepada bangsa hamba. Tetapi sebelum hamba pergi, biarlah hamba memberitahu tuanku apa yang akan dilakukan umat Israel terhadap bangsa tuanku pada kemudian hari.” 
NUM.24.15	Kemudian Bileam mengucapkan nubuat ini,
NUM.24.15	“Inilah perkhabaran Bileam anak Beor,
NUM.24.15	ucapan seorang yang melihat dengan jelas,
NUM.24.16	seorang yang mendengar firman Allah,
NUM.24.16	dan menerima pengetahuan daripada Yang Maha Tinggi;
NUM.24.16	seorang yang nampak penglihatan daripada Allah Yang Maha Kuasa
NUM.24.16	sambil rebah, namun dengan mata terbuka.
NUM.24.17	Aku melihat masa hadapan, aku nampak bangsa Israel.
NUM.24.17	Daripada bangsa itu, seorang raja datang,
NUM.24.17	raja itu seperti bintang cemerlang, yang muncul daripada Israel.
NUM.24.17	Dia akan membinasakan para pemimpin Moab,
NUM.24.17	dan menghancurkan semua orang Set.
NUM.24.18	Dia akan menaklukkan musuhnya di Edom,
NUM.24.18	lalu menjadikan tanah mereka miliknya,
NUM.24.18	dan Israel akan terus menjadi pemenang.
NUM.24.19	Bangsa Israel akan menginjak-injak mereka,
NUM.24.19	dan membinasakan semua musuh yang masih hidup.”
NUM.24.20	Kemudian Bileam nampak orang Amalek dalam penglihatannya, lalu dia mengucapkan nubuat ini,
NUM.24.20	“Amalek ialah bangsa yang terkuat antara semua bangsa,
NUM.24.20	tetapi akhirnya bangsa itu akan binasa selama-lamanya.”
NUM.24.21	Dalam penglihatan itu Bileam nampak juga orang Keni, lalu dia mengucapkan nubuat ini,
NUM.24.21	“Tempat kediamanmu sungguh kukuh,
NUM.24.21	selamat seperti sarang burung di atas bukit batu,
NUM.24.22	tetapi orang Keni akan binasa, apabila kamu ditawan oleh Asyur.”
NUM.24.23	Kemudian Bileam mengucapkan nubuat ini,
NUM.24.23	“Siapakah orang yang berkumpul di utara itu?
NUM.24.24	Penyerbu-penyerbu akan datang dari Siprus
NUM.24.24	lalu menawan Asyur dan Heber.
NUM.24.24	Tetapi akhirnya mereka pun akan binasa selama-lamanya.”
NUM.24.25	Kemudian Bileam bersiap-siap untuk pulang ke tempat tinggalnya, dan Raja Balak pun berangkat.
NUM.25.1	Semasa umat Israel berkhemah di Lembah Sitim, kaum lelaki mereka mula bersetubuh dengan perempuan Moab yang tinggal di sana. 
NUM.25.2	Perempuan-perempuan itu mengajak mereka ke pesta-pesta korban untuk menghormati tuhan mereka. Orang Israel juga makan daging daripada korban itu dan menyembah 
NUM.25.3	tuhan orang Moab. Oleh sebab mereka menyembah Baal di Peor, TUHAN murka terhadap mereka 
NUM.25.4	dan berfirman kepada Musa, “Tangkaplah semua pemimpin umat dan bunuhlah mereka pada siang hari,
NUM.25.5	Musa berkata kepada para hakim umat itu, “Kamu masing-masing mesti membunuh tiap-tiap orang daripada suku kamu yang sudah menyembah Baal di Peor.”
NUM.25.6	Ketika Musa dan segenap umat sedang meratap di pintu Khemah TUHAN, mereka melihat seorang Israel membawa seorang perempuan Midian masuk ke dalam khemahnya. 
NUM.25.7	Apabila Pinehas anak Eleazar, iaitu cucu Imam Harun, nampak hal itu, dia bangun dan meninggalkan perhimpunan. Dia mengambil sebatang tombak, 
NUM.25.8	lalu menyusul lelaki dan perempuan itu ke dalam khemah; dia menikam kedua-duanya dengan tombak. Dengan demikian wabak yang sedang membinasakan orang Israel berhenti. 
NUM.25.9	Namun orang yang mati sudah berjumlah 24,000 orang.
NUM.25.10	TUHAN berfirman kepada Musa, 
NUM.25.11	“Pinehas anak Eleazar, cucu Imam Harun, sudah meredakan kemurkaan-Ku terhadap Israel. Dia tidak membiarkan Israel menyembah tuhan lain kecuali Aku, sehingga kemurkaan-Ku reda dan Aku tidak membinasakan umat itu. 
NUM.25.12	Maka beritahulah Pinehas bahawa Aku mengadakan perjanjian dengan dia yang akan berlaku selama-lamanya. 
NUM.25.13	Oleh sebab dia tidak membiarkan Israel menyembah tuhan lain, dan dia juga sudah mendatangkan pengampunan dosa bagi umat itu, dia dan keturunannya akan menjadi imam selama-lamanya.”
NUM.25.14	Nama orang Israel yang dibunuh bersama-sama perempuan Midian itu ialah Zimri anak Salu; dia ketua satu keluarga dalam suku Simeon. 
NUM.25.15	Nama perempuan itu ialah Kozbi. Zur, bapa perempuan itu, ialah penghulu sekumpulan puak orang Midian.
NUM.25.16	TUHAN memberikan perintah ini kepada Musa, 
NUM.25.17	“Serbulah orang Midian dan kalahkanlah mereka, 
NUM.25.18	kerana kejahatan yang dilakukan mereka terhadap kamu ketika mereka menipu kamu di Peor, dan juga kerana Kozbi yang dibunuh di Peor pada masa wabak berlaku.”
NUM.26.1	Selepas wabak itu berhenti, TUHAN berfirman kepada Musa dan Eleazar anak Harun, 
NUM.26.2	“Kamu harus membanci semua orang Israel menurut keluarga masing-masing. Semua orang lelaki yang berumur dua puluh tahun ke atas dan yang layak menjadi askar harus dibanci.” 
NUM.26.3+NUM.26.4	Musa dan Eleazar mematuhi perintah TUHAN. Mereka mengumpulkan semua orang lelaki yang berumur dua puluh tahun ke atas. Mereka berkumpul di dataran Moab di seberang Sungai Yordan, bertentangan dengan kota Yerikho.
NUM.26.3+NUM.26.4	Inilah orang Israel yang keluar dari Mesir:
NUM.26.5	Suku Ruben, anak sulung Yakub: puak Henokh, Palu, 
NUM.26.6	Hezron, dan Karmi. 
NUM.26.7	Kaum lelaki dalam puak-puak itu berjumlah 43,730 orang. 
NUM.26.8	Anak Palu ialah Eliab, 
NUM.26.9	dan anak-anak Eliab ialah Nemuel, Datan, dan Abiram. Datan dan Abiram telah dipilih oleh puak itu sebagai pemimpin masyarakat, tetapi mereka menentang Musa dan Harun. Datan dan Abiram berpihak kepada pengikut-pengikut Korah ketika mereka memberontak terhadap TUHAN. 
NUM.26.10	Pada masa itu tanah terbelah dan menelan mereka. Mereka mati bersama-sama Korah dan pengikut-pengikutnya, ketika api membinasakan 250 orang lelaki, dan peristiwa itu menjadi amaran kepada umat Israel. 
NUM.26.11	Namun anak-anak lelaki Korah tidak terbunuh.
NUM.26.12	Suku Simeon: puak Nemuel, Yamin, Yakhin, 
NUM.26.13	Zerah, dan Saul. 
NUM.26.14	Orang lelaki dalam puak-puak ini berjumlah 22,200 orang.
NUM.26.15	Suku Gad: puak Zefon, Hagi, Syuni, 
NUM.26.16	Ozni, Eri, 
NUM.26.17	Arod, dan Areli. 
NUM.26.18	Orang lelaki dalam puak-puak ini berjumlah 40,500 orang.
NUM.26.19+NUM.26.20	Suku Yehuda: puak Syela, Peres, Zerah, 
NUM.26.21	Hezron, dan Hamul. Dua orang anak lelaki Yehuda, iaitu Er dan Onan, sudah meninggal di Kanaan. 
NUM.26.22	Orang lelaki dalam puak-puak ini berjumlah 76,500 orang.
NUM.26.23	Suku Isakhar: puak Tola, Pua, 
NUM.26.24	Yasub, dan Simron. 
NUM.26.25	Orang lelaki dalam puak-puak ini berjumlah 64,300 orang.
NUM.26.26	Suku Zebulon: puak Sered, Elon, dan Yahleel. 
NUM.26.27	Orang lelaki dalam puak-puak ini berjumlah 60,500 orang.
NUM.26.28	Keturunan Yusuf; dia mempunyai dua orang anak lelaki, Manasye dan Efraim.
NUM.26.29	Suku Manasye: Makhir anak Manasye, ialah bapa Gilead, dan puak-puak berikut ialah keturunan Gilead: 
NUM.26.30	puak Iezer, Helek, 
NUM.26.31	Asriel, Sekhem, 
NUM.26.32	Semida, dan Hefer. 
NUM.26.33	Zelafehad anak Hefer tidak mempunyai anak lelaki. Anak-anak perempuannya ialah Mahla, Noa, Hogla, Milka, dan Tirza. 
NUM.26.34	Kaum lelaki dalam puak-puak ini berjumlah 52,700 orang.
NUM.26.35	Suku Efraim: puak Sutelah, Bekher, dan Tahan. 
NUM.26.36	Sutelah ialah nenek moyang puak Eran. 
NUM.26.37	Orang lelaki dalam puak-puak ini berjumlah 32,500 orang.
NUM.26.37	Itulah puak-puak keturunan Yusuf.
NUM.26.38	Suku Benyamin: puak Bela, Asybel, Ahiram, 
NUM.26.39	Sefufam, dan Hufam. 
NUM.26.40	Bela ialah nenek moyang puak Ared dan Naaman. 
NUM.26.41	Orang lelaki dalam puak ini berjumlah 45,600 orang.
NUM.26.42	Suku Dan: puak Suham. 
NUM.26.43	Orang lelaki dalam puak-puak ini berjumlah 64,400 orang.
NUM.26.44	Suku Asyer: puak Yimna, Yiswi, dan Beria. 
NUM.26.45	Beria ialah nenek moyang puak Heber dan Malkiel. 
NUM.26.46	Asyer mempunyai seorang anak perempuan bernama Serah. 
NUM.26.47	Orang lelaki dalam puak-puak itu berjumlah 53,400 orang.
NUM.26.48	Suku Naftali: puak Yahzeel, Guni, 
NUM.26.49	Yezer, dan Syilem. 
NUM.26.50	Orang lelaki dalam puak-puak itu berjumlah 45,400 orang.
NUM.26.52	TUHAN berfirman kepada Musa, 
NUM.26.53	“Bahagikanlah tanah itu kepada suku-suku ini menurut bilangan mereka. 
NUM.26.54+NUM.26.55+NUM.26.56	 Bahagikanlah tanah itu dengan membuang undi. Berikanlah bahagian yang besar kepada suku yang besar, dan bahagian yang kecil kepada suku yang kecil.”
NUM.26.57	Suku Lewi terdiri daripada puak Gerson, Kehat, dan Merari. 
NUM.26.58	Dalam keturunan mereka termasuk puak Libni, Hebron, Mahli, Musi, dan Korah. Kehat ialah bapa Amram. 
NUM.26.59	Amram berkahwin dengan Yokhebed, anak perempuan Lewi. Yokhebed lahir di Mesir. Amram dan Yokhebed mempunyai dua orang anak lelaki, Harun dan Musa, serta seorang anak perempuan bernama Miryam. 
NUM.26.60	 Harun mempunyai empat orang anak lelaki: Nadab, Abihu, Eleazar, dan Itamar. 
NUM.26.61	 Nadab dan Abihu meninggal ketika mereka mempersembahkan api yang tidak dikehendaki TUHAN. 
NUM.26.62	Orang lelaki daripada suku Lewi yang berumur satu bulan ke atas berjumlah 23,000 orang. Mereka didaftarkan berasingan dengan orang Israel lain kerana mereka tidak mendapat tanah pusaka di tanah Israel.
NUM.26.63	Semua puak itu didaftarkan oleh Musa dan Eleazar ketika mereka membanci umat Israel di dataran Moab, di seberang Sungai Yordan, bertentangan dengan kota Yerikho. 
NUM.26.64	Antara mereka yang didaftarkan oleh Musa di Gurun Sinai, tidak seorang pun yang masih hidup. 
NUM.26.65	 TUHAN berfirman bahawa mereka semua akan mati di padang gurun. Mereka semua telah meninggal, kecuali Kaleb anak Yefune dan Yosua anak Nun.
NUM.27.1	Zelafehad mempunyai lima orang anak perempuan: Mahla, Noa, Hogla, Milka, dan Tirza. Bapa Zelafehad ialah Hefer, bapa Hefer ialah Gilead, bapa Gilead ialah Makhir, bapa Makhir ialah Manasye, bapa Manasye ialah Yusuf. 
NUM.27.2	Kelima-lima orang anak Zelafehad itu pergi menghadap Musa, Imam Eleazar, para pemimpin Israel, dan segenap umat yang berkumpul dekat pintu Khemah TUHAN. Mereka berkata, 
NUM.27.3	“Bapa kami meninggal di padang gurun tanpa mempunyai anak lelaki. Dia bukan pengikut Korah yang memberontak terhadap TUHAN. Bapa kami meninggal kerana dosanya sendiri. 
NUM.27.4	Tetapi mengapakah namanya lenyap daripada umat Israel hanya kerana dia tidak mempunyai anak lelaki? Berilah kami bahagian tanah bersama dengan sanak saudara bapa kami.”
NUM.27.5	Musa menyampaikan perkara mereka itu kepada TUHAN, 
NUM.27.6	lalu TUHAN berfirman kepadanya, 
NUM.27.7	 “Permintaan anak-anak perempuan Zelafehad itu memang wajar; berilah mereka tanah bersama dengan sanak saudara bapa mereka. Warisan Zelafehad harus diwariskan kepada semua anak perempuannya. 
NUM.27.8	Beritahulah umat Israel bahawa apabila seorang lelaki meninggal tanpa mempunyai anak lelaki, tanah pusakanya harus diwariskan kepada anak perempuannya. 
NUM.27.9	Jika dia tidak mempunyai anak perempuan, tanah pusakanya harus diwariskan kepada saudara lelakinya. 
NUM.27.10	Jika dia tidak mempunyai saudara lelaki, tanah pusaka itu harus diwariskan kepada saudara lelaki bapanya. 
NUM.27.11	Jika dia tidak mempunyai saudara atau bapa saudara, tanah pusaka itu harus diwariskan kepada saudara mara yang terdekat kepadanya.” Umat Israel harus patuh kepada hukum itu, menurut perintah TUHAN melalui Musa.
NUM.27.12	TUHAN berfirman kepada Musa, “Naiklah ke Pergunungan Abarim dan pandanglah tanah yang akan Aku berikan kepada umat Israel. 
NUM.27.13	Selepas memandang tanah itu, engkau akan meninggal sebagaimana Harun abangmu juga sudah meninggal, 
NUM.27.14	 kerana kamu berdua telah melawan perintah-Ku di padang gurun Zin. Apabila segenap umat Israel bersungut-sungut terhadap-Ku di Meriba, kamu tidak menyatakan kuasa-Ku yang suci di hadapan mereka.” (Peristiwa itu terjadi di mata air Meriba di Kades, di padang gurun Zin.)
NUM.27.15	Kemudian Musa berdoa, 
NUM.27.16	“Ya TUHAN Allah, yang memberikan kehidupan kepada semua yang hidup, aku mohon, lantiklah seorang yang dapat memimpin umat ini, 
NUM.27.17	 seorang yang dapat mengetuai mereka ketika berperang. Jangan biarkan umat-Mu menjadi seperti kawanan domba yang tidak mempunyai gembala.”
NUM.27.19	Suruhlah dia berdiri di hadapan Imam Eleazar dan segenap umat. Di hadapan mereka semua engkau harus mengisytiharkan Yosua sebagai penggantimu. 
NUM.27.20	Berilah dia sebahagian daripada kekuasaanmu, supaya segenap umat Israel akan taat kepadanya. 
NUM.27.21	 Yosua harus minta petunjuk daripada Imam Eleazar, dan Eleazar mesti menanyakan kehendak-Ku dengan menggunakan Urim dan Tumim.
NUM.27.22	Musa melaksanakan perintah TUHAN. Dia menyuruh Yosua berdiri di hadapan Imam Eleazar dan segenap umat. 
NUM.27.23	 Kemudian Musa meletakkan tangannya di atas kepala Yosua dan mengisytiharkan Yosua sebagai penggantinya, menurut perintah TUHAN kepadanya.
NUM.28.1	TUHAN menyuruh Musa 
NUM.28.2	menyampaikan perintah ini kepada umat Israel. Pada waktu-waktu yang ditetapkan, mereka mesti mempersembahkan persembahan makanan yang baunya menyenangkan hati TUHAN.
NUM.28.3	Inilah persembahan makanan yang mesti dipersembahkan kepada TUHAN setiap hari: Bagi korban untuk menyenangkan hati TUHAN,
NUM.28.4	Persembahkanlah seekor anak domba pada pagi hari dan seekor lagi pada petang hari; 
NUM.28.5	tiap-tiap korban itu harus disertai satu kilogram tepung terbaik bercampur satu liter minyak zaitun yang terbaik. 
NUM.28.6	Itulah korban harian yang dibakar semuanya, yang mula-mula dipersembahkan di Gunung Sinai, sebagai persembahan makanan; baunya menyenangkan hati TUHAN. 
NUM.28.7	Bersama dengan anak domba itu harus dipersembahkan juga satu liter wain sebagai korban wain, yang dituang ke atas mazbah. 
NUM.28.8	Anak domba untuk korban pada petang hari, bersama dengan korban wain harus dipersembahkan dengan cara yang sama seperti korban pada pagi hari. Korban ini adalah persembahan makanan yang baunya menyenangkan hati TUHAN.
NUM.28.9	Pada hari Sabat, persembahkanlah dua ekor domba jantan berumur satu tahun dan yang tidak ada cacat, serta dua kilogram tepung terbaik bercampur minyak zaitun sebagai korban untuk mengucap syukur
NUM.28.10	 Korban untuk menyenangkan hati TUHAN
NUM.28.11	Persembahkanlah korban untuk menyenangkan hati TUHAN
NUM.28.12	Sebagai korban untuk mengucap syukur,
NUM.28.13	dan satu kilogram tepung terbaik bagi setiap ekor anak domba. Korban-korban untuk menyenangkan hati TUHAN
NUM.28.14	Bersama dengan korban itu harus dipersembahkan juga korban wain, sebanyak dua liter bagi setiap ekor lembu jantan, satu liter setengah bagi seekor domba jantan, dan satu liter bagi setiap ekor anak domba. Itulah peraturan tentang korban untuk menyenangkan hati TUHAN,
NUM.28.15	Di samping korban harian bersama dengan korban wain, persembahkanlah juga seekor kambing jantan sebagai korban untuk mengampunkan dosa.
NUM.28.17	Pada lima belas hari bulan itu, perayaan agama dimulakan dan berlangsung selama tujuh hari. Pada masa itu hanya roti yang tidak beragi boleh dimakan. 
NUM.28.18	Pada hari pertama perayaan itu, kamu harus berkumpul dan beribadat; jangan lakukan pekerjaan berat. 
NUM.28.19	Persembahkanlah korban untuk menyenangkan hati TUHAN,
NUM.28.20	Persembahkanlah korban untuk mengucap syukur menurut apa yang ditetapkan, iaitu tepung bercampur minyak zaitun: bagi setiap ekor lembu persembahkanlah tiga kilogram tepung, dua kilogram bagi domba jantan, 
NUM.28.21	dan satu kilogram bagi setiap ekor anak domba jantan. 
NUM.28.22	Persembahkanlah juga seekor kambing jantan sebagai korban untuk mengampunkan dosa. Dengan cara itu kamu melakukan upacara penyucian untuk umat itu. 
NUM.28.23	Semua korban itu merupakan tambahan kepada korban yang dipersembahkan pada setiap pagi, iaitu korban untuk menyenangkan hati TUHAN.
NUM.28.24	Dengan cara itu juga, selama tujuh hari, kamu harus mempersembahkan korban untuk menyenangkan hati TUHAN.
NUM.28.25	 Pada hari ketujuh, kamu harus berkumpul untuk beribadat; jangan lakukan pekerjaan berat.
