MAT.1.1	BAHWA inilah surat katurunan Isa Almasih, iya itu anak Daud, dan anak Ibrahim.
MRK.14.13	Maka disurohkannya dua orang muridnya, sŭrta katanya kapadanya, Pŭrgilah angkau masok kŭdalam nŭgri, maka disana angkau akan bŭrtŭmu dŭngan sa’orang yang ada mŭngangkat sa’buah buyong ayer, ikotlah akan dia.
MRK.14.14	Maka barang dimana iya masok, kata ulihmu kapada orang ampunya rumah itu, Guru tŭlah bŭrkata, dimanakah ada bilek jamu yang aku akan mŭmakan pŭrjamuan hari raya langkah dŭngan murid muridku?
MRK.14.15	Maka iyalah kŭlak akan mŭnunjokkan kapadamu suatu bilek lapang diatas yang bŭrhias, dan tŭlah sŭdia, disanalah sŭdiakan bagie kita.
MRK.14.16	Maka pŭrgilah murid muridnya itu lalu masok kŭdalam nŭgri, maka didapatinya spŭrti yang dikatakannya kapada marika itu, maka disŭdiakanlah ulih marika itu pŭrjamuan hari raya langkah itu.
MRK.14.17	Maka pada pŭtang datanglah Isa bŭrsama sama dŭngan duablas orang muridnya.
MRK.14.18	Maka apabila tŭngah marika itu makan, maka kata Isa, Sŭsungguhnya aku bŭrkata kapada kamu, sa’orang deripada kamu yang makan dŭngan aku akan mŭnyŭrahkan aku dŭngan tipu.
MRK.14.19	Maka marika itu skalian pun mulielah bŭrduka chita, dan bŭrkata kapadanya sa’orang lŭpas sa’orang, Akukah? Maka kata yang lain, Akukah?
MRK.14.20	Maka jawabnya sŭrta bŭrkata kapada marika itu, Iya itu sa’orang deripada dua blas yang mŭnchŭlopkan tangannya bŭrsama sama dŭngan aku dalam pinggan.
MRK.14.21	Maka dŭngan sŭsungguhnya Anak manusia itu mŭnurot spŭrti ajalnya yang tŭlah tŭrtulis bagienya, akan tŭtapi karamlah bagie orang yang mŭnyŭrahkan dŭngan tipu akan Anak manusia itu, maka tŭrlebih baiklah bagie orang itu kalau iya tiada dipranakkan skali kali.
MRK.14.22	¶ Maka sŭtlah sudahlah marika itu makan, Isa mŭngambil roti, dibŭrkatinya, lalu dipŭchahkannya akan dia, sŭrta dibrikannya kapada marika itu, maka katanya, Ambillah makan, inilah tubohku.
MRK.14.23	Maka diambilnya chawan maka sŭtlah sudah iya mŭnguchap shukor lalu dibrikannyalah itu kapada marika itu, maka skaliannya itupun minumlah akan dia.
MRK.14.24	Maka katanya kapada marika itu, Inilah darahku, wasiat bahru yang tŭrtumpah sŭbab orang banyak.
MRK.14.25	Maka sŭsungguhnya aku bŭrkata kapada kamu, tiadalah aku kŭlak mŭminum lagi ayer buah anggor ini sampielah pada hari yang aku mŭminum akan dia dalam kŭrajaan Allah.
MRK.14.26	¶ Maka apabila marika itu skalian sudah mŭnyanyi puji pujian, marika itu kluarlah pŭrgi kapada bukit Zieton.
MRK.14.27	Maka kata Isa kapada marika itu skalian, Kamu kŭlak akan kŭna shak ulih sŭbab aku, pada malam ini, kŭrna iya itu tŭlah tŭrtulis, Aku akan mŭmalu gombala kambing, maka kambing kambing itupun akan bŭrtaboran.
MRK.14.28	Tŭtapi kumdian deripada itu aku akan bŭrbangkit, maka aku kŭlak pŭrgi dahulu deripada kamu kŭdalam Gŭlalia.
MRK.14.29	Tŭtapi kata Petros kapadanya, Mŭski pun skaliannya akan kŭna shak, tŭtapi aku tidak.
MRK.14.30	Maka kata Isa kapadanya, Sŭsungguhnya aku bŭrkata kapadamu, adapun hari ini, mŭski pun pada malam ini, dahulu deripada ayam bŭrkokok dua kali, angkau kŭlak mŭnyangkali aku tiga kali.
MRK.14.31	Tŭtapi iya bŭrkata tŭrlebih kŭras, Jikalau kiranya aku mati skali pun, bŭrsama sama juga dŭngan angkau, maka tiadalah aku mŭnyŭngkali angkau dalam barang bichara; maka dŭmkian lagi juga kata marika itu skalian.
MRK.14.32	Maka datanglah marika itu kapada suatu tŭmpat yang bŭrnama Gethsamani, maka kata Isa kapada murid muridnya, Dudoklah kamu disini sŭmŭntara aku mŭminta doa.
MRK.14.33	Maka dibawanya sŭrtanya Petros, dan Yakob, dan Yahya, maka mulielah iya duka chita sangat, sŭrta mŭnjadi tŭrlalu bŭrat.
MRK.14.34	Maka katanya kapada marika itu, Bahwa nyawaku tŭrlalu sangat duka chita, kŭmati matian, nantilah disini dan bŭrjaga.
MRK.14.35	Maka pŭrgilah iya kahadapan sŭdikit, lalu sujud kabumi, sŭrta mŭminta doa, jikalau dŭngan sŭbulih bulihnya waktu itu biarlah lalu deripadanya.
MRK.14.36	Maka katanya, Ya Ayah, sagala pŭrkara tiada mustahil bagiemu, jauhkanlah chawan ini deripadaku, maka dalam itupun bukannya spŭrti kahandakku, mŭlainkan kahandakmu.
MRK.14.37	Maka datanglah iya, lalu didapatinya marika itu skalian tidor; maka katanya kapada Petros, Simon, tidorkah kamu, tiadakah bulih kamu bŭrjaga satu jam?
MRK.14.38	Jagalah kamu dan bŭrdoa, supaya jangan kamu masok kŭdalam pŭrchobaan, maka roh itu sŭsungguhnya sŭdialah, tŭtapi tuboh itu lŭmahlah adanya.
MRK.14.39	Maka pŭrgilah iya pula lalu mŭminta doa, sŭrta bŭrkata sama juga pŭrkataan.
MRK.14.40	Maka apabila kŭmbalilah iya, maka didapatinya marika itu tidor pula, kŭrna mata marika itu bŭrat, atau apa handak dijawabkan ulih marika itu akan dia.
MRK.14.41	Maka datanglah iya katiga kalinya, lalu bŭrkata kapada marika itu, Tidorlah kamu skarang, bŭrsŭnanglah kamu; tŭlah chukoplah; waktu sudah sampie; sŭsungguhnya Anak manusia itu disŭrahkan dŭngan tipu kŭtangan orang orang bŭrdosa.
MRK.14.42	Bangunlah, biar kita pŭrgi; tengoklah, orang yang mŭnyŭrahkan dŭngan tipu akan daku itu tŭlah dŭkat.
MRK.14.43	¶ Maka dŭngan sŭrta mŭrta sŭlagi iya bŭrchakap, maka datanglah Yudas yang didalam dua blas murid itu, maka adalah bŭsŭrta dŭngan dia bŭlatŭntara tŭrlalu banyak dŭngan pŭdang, dan tombak, iya itu deripada kŭpala kŭpala imam, dan khatib khatib, dan orang tua tua.
MRK.14.44	Maka orang yang mŭnyŭrahkan dŭngan tipu itu tŭlah mŭmbri suatu tandah kapada marika itu, katanya, Kapada barang siapa aku akan mŭnchium, iya itulah dia; tangkaplah, bawalah akan dia baik baik.
MRK.14.45	Maka sŭrta iya tŭlah datang, lalu ditujunya akan Isa, sŭrta katanya, Guru Guru; lalu dichiumnya akan dia.
MRK.14.46	Maka marika itu skalian pun mŭmbubohlah tangan akan dia, lalu ditangkapnya.
MRK.14.47	Maka adalah sa’orang yang bŭrdiri dŭkat itu, mŭnghunaslah pŭdangnya, lalu diparangkannya kapada sa’orang hamba imam yang bŭsar, lalu putuslah tŭlinganya.
MRK.14.48	Maka kata Isa kapadanya, Kŭdatangan kamu ini kluar spŭrti mŭlawan sa’orang pŭnchurikah, dŭngan pŭdang pŭdang, dan tombak tombak, handak mŭnangkap aku?
MRK.14.49	Maka adalah pada tiap tiap hari aku ada bŭsŭrta dŭngan kamu dalam ka’abah mŭngajar, tiada kamu mŭnangkap aku, tŭtapi dapat tiada kitab itu tŭlah gŭnaplah.
MRK.14.50	Maka skalian marika itu pun mŭninggalkanlah akan dia, lalu lari.
MRK.14.51	Maka adalah sa’orang orang muda yang mŭngikot akan Isa, mŭnyangkotkan sa’lie kain khasa ditubohnya yang bŭrtlanjang itu, maka ditangkaplah ulih orang orang muda itu akan dia.
MRK.14.52	Maka ditanggalkannyalah akan kain puteh, lalu larilah iya dŭngan bŭrtlanjang.
MRK.14.53	¶ Maka marika itu pun mŭmbawalah akan Isa kapada imam yang bŭsar, maka adalah disana bŭrsama sama dŭngan dia, bŭrhimponlah sagala kŭpala kŭpala imam, dan orang tua tua, dan khatib khatib.
MRK.14.54	Maka adalah Petros itu mŭngikot akan dia jauh deri blakang itu pun sampie kapada mahaligie imam, maka dudoklah iya bŭrsama sama dŭngan hamba hamba itu mŭngganggang tubohnya dŭkat api itu.
MRK.14.55	Maka kŭpala kŭpala imam, dan sagala orang orang bichara itu pun mŭncharilah saksi akan mŭlawan Isa, supaya dibunohnya akan dia; maka tiadalah didapatinya.
MRK.14.56	Kŭrna adalah banyak yang mŭnjadi saksi dusta mŭlawan akan dia, tŭtapi saksinya itu tiadalah stuju sa’orang dŭngan sa’orang.
MRK.14.57	Maka bŭrbangkitlah sa’orang anu yang mŭnjadi saksi dusta mŭlawan akan dia katanya;
MRK.14.58	Adalah kami mŭnŭngar iya kata, Aku nanti mŭmbinasakan ka’abah ini yang tŭlah dipŭrbuat dŭngan tangan, maka dalam tiga hari aku bulih mŭmbangunkan yang lain, yang dipŭrbuat bukan dŭngan tangan.
MRK.14.59	Tŭtapi dŭmkian juga tiada saksi saksi marika itu stuju bŭrsama sama.
MRK.14.60	Maka imam bŭsar itu pun bŭrdirilah ditŭngah tŭngah, lalu bŭrtanya kapada Isa, katanya, Tiadakah angkau mŭnjawab suatu pun, apakah yang saksi saksi ini mŭnudoh akan dikau?
MRK.14.61	Tŭtapi diamlah iya, maka suatu pun tiada dijawabnya. Ditanya ulih imam bŭsar itu pula akan dia, sŭrta bŭrkata kapadanya, Angkaukah Almasih anak bŭrkat itu?
MRK.14.62	Maka kata Isa, Akulah, maka kamu kŭlak akan mŭlihat Anak manusia itu dudok disŭblah kanan yang bŭrkwasa, datang dalam awan awan dilangit.
MRK.14.63	Sŭtlah itu maka imam bŭsar itu pun mŭngoyakkan kain bajunya, sŭrta bŭrkata, Apa guna lagi kapada kita mŭnchari saksi saksi.
MRK.14.64	Kamu tŭlah mŭnŭngar hujat ini, apakah kamu fikir? Maka marika itu skalian pun mŭnŭntukan iya salah patut mati.
MRK.14.65	Maka ada orang yang mŭmulai mŭludahi akan dia, dan mŭnutopi mukanya, dan ditumboknya akan dia, sŭrta bŭrkata kapadanya, Nabuatkanlah; maka hamba hamba itu pun mŭnamparlah akan dia.
MRK.14.66	¶ Adapun tŭtkala Petros itu adalah dibawah dalam mahaligie itu, maka datanglah sa’orang hamba pŭrampuan imam bŭsar itu:
MRK.14.67	Maka apabila dilihat ulih hamba pŭrampuan itu Petros bŭrganggang tubohnya, maka dipandangnya akan dia, lalu katanya, Angkau pun bŭrsama samakah dŭngan Isa orang Nazareth itu?
MRK.14.68	Tŭtapi bŭrsangkallah iya katanya, Aku tiada tahu atau mŭngarti apa kamu kata. Lalu kluarlah iya kabalirong, maka ayam pun bŭrkokoklah.
MRK.14.69	Maka dilihatlah ulih sa’orang hamba pŭrampuan pula akan dia, katanya kapada orang orang yang bŭrdiri dŭkat itu, Ini sa’orang deripada marika itu.
MRK.14.70	Maka bŭrsangkallah iya pula; sŭbŭntar lagi orang orang yang bŭrdiri dŭkat itu bŭrkata pula kapada Petros, Sungguh sungguh angkau sa’orang deri pada marika itu, kŭrna angkau sa’orang Galilia, tutormu pun bŭgitu juga.
MRK.14.71	Tŭtapi iya mŭmulai mŭngutok dirinya, dan bŭrsumpah, katanya, Aku tiada mŭngŭnal akan orang yang kamu kata itu.
MRK.14.72	Maka ayam pun bŭrkokoklah kadua kali, maka Petros pun tŭringatlah dalam hatinya akan pŭrkataan yang dikatakan Isa kapadanya, dahulu deripada ayam bŭrkokok dua kali, angkau kŭlak mŭnyagkali aku tiga kali. Maka apabila iya tŭrkŭnanglah itu, mŭnangislah iya.
MRK.15.1	HATA maka sŭtlah ka’esokkan harinya, pada pagi, maka kŭpala kŭpala imam itu pun mŭmbuatlah suatu mŭjlis bichara dŭngan orang tua tua, dan khatib khatib, dan sŭmua orang orang bichara, maka Isa diikat, dibawalah ulih marika itu pŭrgi, lalu disŭrahkannya akan dia kapada Pilatus.
MRK.15.2	Maka ditanya ulih Pilatus akan dia, Angkaukah raja orang Yahudi? Maka dijawabnya sŭrta bŭrkata kapadanya, Spŭrti kata kamu itu.
MRK.15.3	Maka kŭpala kŭpala imam itu mŭnudoh akan dia atas bŭbrapa pŭrkara, maka suatu pun tiada dijawabnya.
MRK.15.4	Maka bŭrtanya pula Pilatus, katanya, Tiadakah angkau mŭnjawab suatu pun? Tengoklah bŭbrapa banyak marika itu mŭmbri saksi mŭlawan akan dikau.
MRK.15.5	Tŭtapi suatu pun tiada dijawab Isa, sampie Pilatus pun hieranlah.
MRK.15.6	Maka adapun pada hari raya itu dilŭpaskannya kapada marika itu sa’orang orang dalam pŭnjara, barang siapa yang dikahandaki ulih marika itu.
MRK.15.7	Maka adalah disana sa’orang yang bŭrnama Bŭraba, yang ada tŭrikat dŭngan orang orang yang tŭlah bŭrbuat dŭrhaka sama sama dia, iya itu tŭlah mŭmbunoh orang dalam dŭrhakanya itu.
MRK.15.8	Maka bŭlatantara itu pun bŭrtriaklah kuat kuat, mŭmulai mŭminta kapadanya bŭrbuat spŭrti yang tŭlah dipŭrbuatnya slalu kapada marika itu.
MRK.15.9	Tŭtapi disahut ulih Pilatus kapada marika itu, katanya, Mahukah kamu supaya aku lŭpaskan bagie kamu raja orang Yahudi ini?
MRK.15.10	Kŭrna iya mŭngŭtahui kŭpala kŭpala imam itu tŭlah mŭnyŭrahkan Isa dŭngan dŭngkinya.
MRK.15.11	Tŭtapi dihasut ulih kŭpala imam akan kaum itu supaya baik dilŭpaskannya Bŭraba bagie marika itu.
MRK.15.12	Maka Pilatus mŭnjawab pula kapada marika itu, Apakah kahandak kamu, supaya aku pŭrbuat kapada orang yang kamu kata raja orang Yahudi itu?
MRK.15.13	Maka bŭrtriaklah pula marika itu kuat kuat, Salibkanlah akan dia.
MRK.15.14	Sŭtlah itu maka bŭrkatalah Pilatus kapada marika itu, Mŭngapa, apakah jahat yang tŭlah dipŭrbuatnya? Maka makinlah bŭrtriaklah marika itu sangat sangat, Salibkanlah akan dia.
MRK.15.15	Maka dŭngan hal yang dŭmkian Pilatus itu pun handak mŭmuaskan kaum itu, dilŭpaskannyalah akan Bŭraba kapadanya, lalu disŭrahkannya Isa akan disalibkan, sŭtlah sudah disŭsahnya akan dia.
MRK.15.16	Maka dibawalah ulih rayat akan dia dibalerong yang bŭrnama Pretorium, maka dihimponkannyalah sŭmuanya pasukan.
MRK.15.17	Maka dipakiekan ulih marika itu akan dia baju ungu, maka dianyamkannyalah suatu mahakota deripada duri, lalu dikŭnakannya dikŭpalanya.
MRK.15.18	Lalu dimulainya mŭmbri sŭlam akan dia, Hie raja orang Yahudi.
MRK.15.19	Maka dipalu ulih marika itu kŭpalanya dŭngan sa’batang buloh, lalu diludahinya akan dia, sŭrta bŭrtŭlot mŭnyŭmbah akan dia.
MRK.15.20	Maka apabila sudah diolok olokkan ulih marika itu akan dia, ditanggalkanlah baju ungu itu deripadanya, lalu dikŭnakannya pakieannya sŭndiri, maka dibawanya kluar akan dia handak disalibkan.
MRK.15.21	Maka dipaksalah ulih marika itu akan Simon mŭngangkat kayu salibnya, iya itu orang Kirenian, yang lalu datang deri dalam nŭgri, iya itu bapa Askandar, dan Rufus.
MRK.15.22	Maka dibawalah ulih marika itu akan Isa kapada tŭmpat yang bŭrnama Golgotha, yang tŭrsalin artinya, tŭmpat tŭngkorak.
MRK.15.23	Maka dibrilah ulih marika itu akan dia minum ayer anggor yang tŭrchampor dŭngan mor, tŭtapi tiadalah ditrimanya.
MRK.15.24	Maka apabila sudah disalibkan ulih marika itu akan dia, maka dibahgikannyalah akan pakie pakieannya dibuangnya undi diatasnya, mana yang patut diambil ulih masing masing orang.
MRK.15.25	Maka pada jam yang katiga, disalibkanlah ulih marika itu akan dia.
MRK.15.26	Maka surat tudohannya dituliskannya diatasnya, RAJA ORANG YAHUDI.
MRK.15.27	Maka adalah bŭrsama sama dŭngan dia disalibkan ulih marika itu, dua orang pŭnyamun, sa’orang disŭblah kanannya, dan yang lain disŭblah kirinya.
MRK.15.28	Maka kitab pun tŭlah gŭnaplah katanya, Iya tŭlah tŭrbilang dŭngan orang orang dŭrahka.
MRK.15.29	Maka barang orang yang lalu lalang mŭnista akan dia, sambil mŭnggunchang kŭpalanya, katanya, Hie angkau yang mŭmbinasakan akan kaabah dan mŭmbangunkan akan dia dalam tiga hari.
MRK.15.30	Lŭpaskanlah dirimu sŭndiri turun deri salib itu.
MRK.15.31	Maka kŭpala kŭpala imam itupun mŭngolok olokkan katanya, sama sŭndirinya sŭrta dŭngan khatib khatib, Iya tŭlah mŭlŭpaskan orang orang lain lain, akan dirinya sŭndiri tiada bulih dilŭpaskannya.
MRK.15.32	Biarlah Almasih, raja orang Israil itu turun skarang deri salib, supaya kami mŭlihat dan pŭrchaya; maka orang yang disalibkan bŭrsama sama dŭngan dia itupun mŭnista akan dia.
MRK.15.33	Maka apabila sampielah jam yang ka’anam, maka datanglah gŭlap kapada sagala tŭmpat sampie kapada jam yang kasŭmbilan;
MRK.15.34	Maka pada jam yang kasŭmbilan itu, Isa pun bŭrtriaklah dŭngan nyaring swaranya katanya, Ilie, Ilie lama sabahthani, yang tŭrsalin artinya, Allahku, Allahku, mŭngapakah angkau mŭninggalkan aku?
MRK.15.35	Maka sŭtŭngah orang yang ada bŭrdiri dŭkat, apabila didŭngarnya itu, katanya, tengoklah iya mŭmanggil Ilias.
MRK.15.36	Maka bŭrlarilah sa’orang diisinya chuka pŭnoh dalam lumot karang, dan dibubohkannya pada sŭbatang buloh, dibrikannya akan dia minum, katanya biarkanlah dia, biar kita tengok kalau datang Ilias mŭnurohkan dia.
MRK.15.37	Maka Isa pun bŭrtriaklah dŭngan nyaring swaranya, lalu putuslah nyawanya.
MRK.15.38	Maka tirie kaabah pun chareklah bŭlah dua deri atasnya sampie kŭbawah.
MRK.15.39	¶ Maka apabila pŭnghulu sa’ratus orang yang bŭrdiri bŭrsŭbrangan dŭngan dia itu, mŭlihat iya bŭrtriak bŭgitu kras sŭraya putus nyawanya, katanya, Sŭbŭnar bŭnar orang ini Anak Allah.
MRK.15.40	Maka adalah disana pŭrampuan pŭrampuan pun mŭlihat deri jauh, maka diantaranya itu ada Mŭriam Magdalani, dan Mŭriam ibu Yakob kŭchil, dan Yuso, dan Salomi:
MRK.15.41	(Yang tŭlah mŭngikot kapada Isa tŭtkala iya diGalilia dan tŭlah bŭrkhodmat akan dia) dan banyaklah pŭrampuan yang lain lain pun yang tŭlah datang bŭrsama sama dŭngan Isa kaJerusalem.
MRK.15.42	¶ Maka apabila sampielah pŭtang, sŭbab hari disŭdiakan iya itu hari dahulu deripada hari Sabtu.
MRK.15.43	Maka Yusof orang Arimathia, iya itu sa’orang orang bichara yang tŭrmulia; dan lagi pun ada mŭnantikan kŭrajaan Allah, datanglah iya masok dŭngan braninya mŭminta kapada Pilatus akan mayat Isa.
MRK.15.44	Maka hieranlah Pilatus kalau sudah iya mati! maka dipanggilnyalah akan pŭnghulu sa’ratus orang, ditanyanya akan dia, kalau kalau sudah lamakah iya mati?
MRK.15.45	Maka apabila dikŭtahuinyalah deripada pŭnghulu sa’ratus orang itu, dibrikannyalah akan mayat itu kapada Yusof.
MRK.15.46	Maka dibŭlikannyalah kain khasa nipis, lalu dituronkannyalah mayat Isa, sŭrta dibungkusnya dalam kain khasa itu, maka ditarohkannyalah dalam suatu kubor yang tŭlah tŭrukir deripada sa’buah batu, maka digolekkannya sa’buah batu kapada pintu kubor itu.
MRK.15.47	Maka Mŭriam Magdalani, dan Mŭriam ibu Yusof pun mŭlihatlah dimana Isa tŭlah dilŭtakkan.
MRK.16.1	MAKA apabila lalulah hari sabtu itu, Mŭriam Magdalani, dan Mŭriam ibu Yakob, dan Salomi, mŭmbawa rŭmpah rŭmpah yang harum, supaya marika itu bulih datang mŭmbuboh akan dia.
MRK.16.2	Maka pada pagi pagi hari yang pŭrtama deripada jŭmaat itu, maka datanglah marika itu kapada kubor itu pada waktu tŭrbit matahari.
MRK.16.3	Maka bŭrkatalah marika itu sama sŭndirinya, Siapakah kŭlak akan mŭnggulingkan kita batu deripada kubor itu.
MRK.16.4	Maka apabila dilihat ulih marika itu, klihatanlah batu itu sudah tŭrguling, kŭrna iya itu tŭrlalu bŭsar adanya.
MRK.16.5	Maka sŭrta masok marika itu kŭdalam kubor itu dilihatnya sa’orang orang muda ada dudok disŭblah kanan, pakieannya baju puteh panjang, maka kŭtakotanlah marika itu.
MRK.16.6	Maka katanya kapada marika itu, Janganlah takot, kamu mŭnchari Isa orang Nazareth itu yang tŭlah disalibkan; iya tŭlah bŭrbangkit, tiadalah iya disini; tengoklah tŭmpat itu yang dilŭtakkan marika itu akan dia.
MRK.16.7	Tŭtapi pŭrgilah kamu katakan kapada murid muridnya, dan Petros, iya tŭlah pŭrgi dahulu deripada angkau kŭdalam Galilia, maka disanalah kŭlak kamu mŭlihat akan dia spŭrti iya tŭlah bŭrkata kapadamu.
MRK.16.8	Maka kluarlah marika itu dŭngan sŭgranya, sŭrta bŭrlari lari deri kubor itu, kŭrna marika itu gŭmŭntar sŭrta dŭngan ajaib; tiadalah marika itu mŭngatakan kapada sa’orang pun, sŭbab marika itu takot.
MRK.16.9	¶ Shahadan apabila Isa sudah bŭrbangkit pagi pagi pada hari yang pŭrtama deripada jŭmaat itu, maka mula mula iya klihatan kapada Mŭriam Magdalani, yang tŭlah dibuangkan Isa tujoh orang hantu itu deripadanya.
MRK.16.10	Maka pŭrampuan itu pun pŭrgilah mŭmbri tahu kapada marika itu yang tŭlah bŭrsama sama dŭngan Isa, tŭtkala marika itu bŭrduka chita dan mŭnangis.
MRK.16.11	Maka apabila marika itu mŭnŭngar Isa tŭlah hidoplah, dan tŭlah dilihat ulih pŭrampuan itu, tiadalah marika itu pŭrchaya.
MRK.16.12	Hata kumdian deripada itu iya klihatan dŭngan rupa yang lain kapada dua orang deripada marika itu, tŭtkala marika itu bŭrjalan sŭrta masok kŭdalam nŭgri.
MRK.16.13	Maka marika itu pun pŭrgilah mŭmbri tahu itu kapada murid muridnya yang tinggal lagi, tiada juga marika itu pŭrchaya.
MRK.16.14	Maka kumdian klihatanlah iya kapada sa’blas orang murid muridnya, tŭtkala marika itu dudok makan, maka ditŭngkingkanlah ulih Isa akan dia, sŭbab tiada marika itu pŭrchaya, dan kras hatinya, sŭbab tiada pŭrchaya akan marika itu yang tŭlah mŭlihat akan dia, kumdian deripada iya tŭlah bŭrbangkit.
MRK.16.15	Maka kata Isa kapada marika itu, Pŭrgilah kamu kapada sagala dunia, dan ajarkanlah akan Injil kapada sagala manusia.
MRK.16.16	Adapun orang yang pŭrchaya, dan yang dibaptisakan, iya itu kŭlak akan slamat, tŭtapi orang yang tiada pŭrchaya itu, iya itu kŭlak akan dibinasakan.
MRK.16.17	Maka alamat alamat ini akan mŭngikot orang yang pŭrchaya, maka dŭngan namaku kŭlak marika itu akan mŭmbuangkan hantu hantu, marika itu kŭlak akan bŭrkata kata dŭngan bŭrjŭnis jŭnis bahsa.
MRK.16.18	Marika itu kŭlak akan mŭmŭgang ular ular, dan jikalau marika itu tŭrminum barang yang mŭmbunoh, tiada akan mŭnyakiti kapada marika itu; marika itu akan mŭnarohkan tangan ka’atas orang yang sakit, maka orang itu pun kŭlak akan sŭmboh.
MRK.16.19	¶ Hata sŭtlah sudah Tuhan bŭrkata kata kapada marika itu, maka iya tŭlah disambut kŭlangit, sŭrta dudok dikanan Allah.
MRK.16.20	Maka marika itu pun pŭrgilah, sŭrta mŭngajar kapada barang tŭmpat, maka Tuhan ada bŭkŭrja bŭrsama sama dŭngan marika itu, dan ditŭtapkannya akan pŭrkataan itu dŭngan alamat alamat bŭrsama sama: Amin.
LUK.1.1	BAHWA adapun spŭrti banyak orang yang sudah mŭmasok tangan handak mŭnyatakan dŭngan pŭratoran suatu kesah deri pŭrkara pŭrkara yang tŭlah dipŭrchayai dŭngan sungguh sungguh diantara kami.
LUK.1.2	Itu pun spŭrti yang tŭlah disŭrahkan ulih marika itu skalian kapada kita, yang deri pŭrmulaannya matanya mŭnjadi saksi, dan guru guru pŭrkataan itu:
LUK.1.3	Tampaknya baik pula kapada aku, yang tŭlah sudah mŭngarti dŭngan sampornanya akan sagala pŭrkara pŭrkara itu deripada pŭrmulaannya skali, akan mŭngarangkan kapadamu dŭngan pŭratoran, hie Theophilus yang amat mulia;
LUK.1.4	Supaya angkau kŭlak mŭngtahui akan katŭntuannya sagala pŭrkara pŭrkara itu, yang angkau tŭlah diplajari itu.
LUK.1.5	¶ SHAHADAN maka adalah pada zaman Herodis, iya itu raja orang Yahudi, maka adalah sa’orang imam yang bŭrnama Zakaria, silah silahnya turon deripada Abia; maka istrinya itu deripada anak pŭrampuan Haron, namanya Ilisabeth.
LUK.1.6	Maka adalah kadua marika itu orang yang bŭnar kapada Allah, sŭrta bŭrlaku dalam sagala hukum dan pŭngajaran Tuhan dŭngan tiada bŭrsalah.
LUK.1.7	Maka marika itu tiada bŭranak, kŭrna Ilisabeth itu mandol, dan kadua orang itu tŭlah lalulah sangat umornya.
LUK.1.8	Maka pada skali pŭrstua tŭtkala Zakaria mŭmbuat pŭkŭrjaan imam dihadapan Allah dalam pŭratoran silah silahnya itu,
LUK.1.9	Mŭnurot adat pangkat imam itu, maka pŭkŭrjaannya itu akan mŭmbakar bahu bahuan tŭtkala masok kŭdalam ka’abah Tuhan.
LUK.1.10	Maka sagala bŭlatŭntara deripada kaum itu tŭngah sŭmbahyang diluar deripada waktu mŭmbakar bahu bahuan itu.
LUK.1.11	Maka klihatanlah kapada Zakaria sa’orang mŭliekat Tuhan bŭrdiri sŭblah kanan tŭmpat bahu bahuan itu.
LUK.1.12	Maka apabila dilihat ulih Zakaria akan dia, maka susahlah iya, kŭtakotan datang kapadanya.
LUK.1.13	Tŭtapi kata mŭliekat itu kapadanya, Janganlah takot Zakaria, kŭrna doamu tŭlah didŭngar, dan istrimu Ilisabeth itu akan branak sa’orang laki laki padamu, maka handaklah angkau mŭnamai akan dia Yahya.
LUK.1.14	Maka angkau akan mŭndapat kasukaan dan suka chita, dan banyaklah orang yang suka chita kŭlak pada masa iya dipranakkan.
LUK.1.15	Kŭrna iyalah kŭlak akan mŭnjadi bŭsar pada halrat Tuhan, iya kŭlak tiada minum ayer anggor, atau minuman yang kŭras, dan iyalah kŭlak akan dipŭnohi dŭngan Roh Alkudus, mŭski pun dalam prot ibunya.
LUK.1.16	Dan banyaklah bŭni Israil itu kŭlak akan dibalikkannya kapada Tuhan Allahnya.
LUK.1.17	Maka iyalah kŭlak bŭrjalan dihadapannya dŭngan roh dan kwasa, Ilias akan mŭmbalikkan hati bapa bapa itu kapada anak anak, dan yang dŭrhaka itu kapada hikmat kabŭnaran; akan mŭlangkapkan suatu kaum itu sŭdia kŭrna Tuhan.
LUK.1.18	Maka kata Zakaria kapada mŭliekat itu, Bagimanakah aku akan mŭngtahui itu, kŭrna aku sa’orang orang tua, dan istriku itu tŭlah lalulah sangat umor.
LUK.1.19	Maka jawab mŭliekat itu sŭrta bŭrkata kapadanya, Akulah Jibrail, yang bŭrdiri dihalrat Allah; disurohkannya bŭrkata kata kapadamu, dan mŭnunjokkan khabar kasukaan ini.
LUK.1.20	Maka sŭsungguhnya angkau akan mŭnjadi kŭlu, tiada bulih bŭrkata kata, sampielah kapada hari pŭrkara pŭrkara itu akan dijadikan, ulih sŭbab angkau tiada pŭrchaya akan pŭrkataanku yang akan kŭlak digŭnapkan pada masanya.
LUK.1.21	Maka kaum itu pun mŭnantikan Zakaria, sŭrta ajaib sŭbab iya bŭgitu lambat dalam ka’abah.
LUK.1.22	Maka apabila kluarlah iya, tiadalah bulih iya bŭrkata kata kapada marika itu; maka pada pŭrasaan marika itu adalah iya mŭlihat suatu pŭnglihatan dalam ka’abah, kŭrna iya mŭlambie akan marika itu, sŭrta tinggallah iya kŭlu.
LUK.1.23	Maka sŭrta sudahlah hari pŭkŭrjaannya itu tŭlah gŭnap, maka bŭrbaliklah iya karumahnya sŭndiri.
