MAT.1.1	Ekitabu kyesyondengo sya Yesu Kristo, mugala wa Dawidi, mugala wa Abrahamu.
MRK.5.37	Neryo mwataliga ogundi mundu akamukwama nina Petero na Yakobo na Yoane mugala wabo Yakobo. 
MRK.5.38	Babere bahika oko nyumba yomu­rongani wenyumba yerihindana, mwalangira olukanda naba karira nerisusumana kutsibu. 
MRK.5.39	Neryo abere ingira, mwabuga nabo ati, Busana naki mukabugaya olukanda neririra kwehi? Omwana siaholire nikwa agotsere. 
MRK.5.40	Mobamuseka kutsibu, Nikwa mwahulukiryabo eyihya abosi, mwimya ise womwana na nyinya nababya haguma naye, mwaya aho omwana ari. 
MRK.5.41	Mwamuwata oko byala mwamubwira ati, Talita kumi; eribindula ambu, Akana karo, ngabuga nawe nyiti, Hangana. 
MRK.5.42	Neryo-neryo akana kato mokahangana mokalendera; ku sangwa amatabuga emituta erikumi nibiri abutirwe. Neryo neryo mobasweka nerisweka inene. 
MRK.5.43	Neryo mwategekabo kutsibu sihabye mundu oyu kaminya eki, neryo mwabwirabo bamuhe akerirya.
MRK.6.1	Neryo mwalwa eyo mwaya ewabo; nabiga buwe mobamu kwama. 
MRK.6.2	Noko sabatu mwatsuka erikangirirya omo nyumba yerihindana; neryo abangi abamowa mobasweka bati, Ebi byosi oyu alusirye byohi kwehi? Kandi amenge omundu oyu akahabawa ni wahi kwehi? Emibiri yamaka yingaha ikakolawa omo byala biwe! 
MRK.6.3	Oyu si mubatsi omugala wa Maria namugala wabo Yakobo na Yose na Yuda na Simoni, na bali babo sibari hano haguma netu kwehi? Neryo moba mupona. 
MRK.6.4	Yesu mwabuga nabo ati, Omuminyereri siaribula erikengwa imono omo kihugo kiwe, nomo katikati kekitunga kiwe, nomo nyumba yiwe. 
MRK.6.5	Neyo mwatatoka erikola emibiri ikalakalire, ibana balwere bake abahira kwebyala alamyabo. 
MRK.6.6	Kandi mwasweka busana neritendikirirya ryabo.
MRK.6.6	Kandi mwalendera omo miyi omo mbande syosi akaka ngirirya.
MRK.6.7	Neryo mwayibirikirira erikumi nababiri, mwatsuka eritu mabo babiri babiri, mwahabo ehamuli busana nebirimi bibi. 
MRK.6.8	Mwategekabo sibatwale ekindu omo lugendo lwabo gono mutso musa butsira obundu, butsira engunza, butsira esyo faranka omo matusi wabo; 
MRK.6.9	nikwa bambale esyongendero kandi sibambale esyokanzu ibiri. 
MRK.6.10	Kandi mwabuga nabo ati, Aho mukingira omo nyumba, mubyemo erihika aho mwasya lwiramo. 
MRK.6.11	Aha bandu batinda-syabaliga eribakokya bakagana eribowa, omugulu mukalwayo, imwakunguta olututu oluri omo bisandu byenyu busana neritulago ukubo. 
MRK.6.12	Mobagenda moba tulago bati abandu babinduke. 
MRK.6.13	Mobalusya esyombinga nyingi, mobahakabya amaguta wabakoni bangi mobala myabo.
MRK.6.14	Omwami Herodi mowa engulu yiwe; kusangwa erina rya Yesu iryamabiminyikala. Abandi bati, Yoane mubatisa abiri lubuka omo baholi; kikaleka ebya kagala ebi ibyakolwa omwisi wuwe. 
MRK.6.15	Nikwa abandi bati, Ni Eliya. Nabandi bati, Ni munyereri, ngo muguma goko baminyereri bakera. 
MRK.6.16	Nikwa omugulu Herode owa engulu eyo mwabuga ati, Yoane oyo natwa komutwe, abirilubukibwa. 
MRK.6.17	Kusangwa Herode ini amabituma eriyatsimba Yoane nerimuboha omo muliki busana na Herodia muka mugala wabo ye Filipo; kusangwa iniabiri muhikya. 
MRK.6.18	Kusangwa Yoane mwabwira Herode ati, Ni kitsibu eriimya muka mugala wenyu. 
MRK.6.19	Neryo Herodia mwamukwa ekiniga, mwasonda erimwita. Nikwa mwataluka, 
MRK.6.20	kusangwa Herode mubaha Yoane, inianasi kwari mundu atunganene nomundu ubuyirire, neryo mwamuteya ndeke. Nomugulu amowa mwagangaganga; nikwa mwamowa nobu tseme.
MRK.6.21	Nikwa omwanya mwabanika omugulu Herode oko kiro kyeributwa riwe mwaha erirya oko barongani biwe nesyo ndwalisya siwe nabakulu beGalilaya. 
MRK.6.22	Kusangwa omugulu mwali wa Herodia asyasatirabo, mwatsemesya Herode nabageni buwe; nomwami mwabuga nomwanamuto oyo ati, Unzabe ekyo wanzire kyosi, ngandikuhakyo. 
MRK.6.23	Kandi mwamulahirirya ati, Ekyosi wangasaba, ngandikuhakyo, nomo kyangabya eki hande kyobwami bwage. 
MRK.6.24	Naye mwaya eyihya mwabulya nyinya ati, Nyisabeki kwehi? Naye mwamusubirya ati, Omutwe wa Yoane Mubatisa. 
MRK.6.25	Neryo-neryo mwaya oko mwami luba, mwabulya, ati, Ngasonda iwamba linolino omutwe wa Yoane Mubatisa oko kisya. 
MRK.6.26	Nomwami mwabya nobulige bunene; nikwa busana nerilahirya riwe na busana nabageni buwe mwatanza erimukagago. 
MRK.6.27	Neryo-neryo omwami mwatuma omusoda wokobateya mwamutegeka erileta omutwe wa Yoane. 
MRK.6.28	Naye mwagenda mwatwirago omo nyumba yomuliki, kandi mwaleta omutwe wuwe oko kisya, mwahago omwanamuto; nomwanamuto mwahago nyinya wuwe. 
MRK.6.29	No­mugulu abiga buwe bowa engulu yiwe, mobasa mobaheka omubiri wuwe, mobahirago omwisinda.
MRK.6.30	Nabakwenda mobasuba eyiri Yesu, mobamubwira ebyosi babya bamabikola nerikangirirya. 
MRK.6.31	Kandi mwabuga nabo ati, Mwase inywe bene ahate bandi, muluhuke akatambi. Ku sangwa habya bangi abakasa ibaswagenda, ibakabula endambi yerirya. 
MRK.6.32	Neryo mobalwayo omo bwato mobaya ahate bandi ibo bene. 
MRK.6.33	Nikwa bangi mobalola kubo bakagenda, moba minyirerabo, mobatibitayo omo bisandu erilwa omo miyi yosi, mobatangabo. 
MRK.6.34	Nomugulu amabisabuka mwalebya endeko nene, mwakwabo olukugo, kusangwa babya ngesyombuli sita wite omulisya; neryo mwatsuka erikangiriryabo emyatsi mingi. 
MRK.6.35	Neryo hasonda erihombera, abiga biwe mobamuhikako bati, Hano sihari bandu sihari miyi, bwamahombera; 
MRK.6.36	tumabo bagende omo kihugo omo miyi eyitimbire hano bayigulire ebyerirya. 
MRK.6.37	Nikwa mwasubiryabo ati, Nenyu muhebo ebyerirya. Nabo mobamubwira bati, Tugende tugure amandu wesyofaranka elfu ibiri tuhe gobo baryego kwehi? 
MRK.6.38	Naye mwabulyabo ati, Muwite amandu angahi kwehi? Mugende mulebaye. Nabo babere babilebya ibamusubirya bati, Ni atano namahere abiri. 
MRK.6.39	Neryo mwategekabo bikale ahisi abosi oko biti mo ndekondeko. 
MRK.6.40	Neryo mobikala omo ndekondeko, igani-igana namakumi atano-atano. 
MRK.6.41	Neryo mwimya amandu atano na mahere abiri mwalalamira elubula mwatsumulabyo mwatsutsanga amandu, mwahago abiga bahirego embere wabandu; kandi mwagaba amahere abiri omukati-kati kabo bosi. 
MRK.6.42	Abosi mobarya mobuguta. 
MRK.6.43	Mobakumakuma ebihandebihande byatahanguka nebyamahere mobyusula omo bitiri ikumi na bibiri. 
MRK.6.44	Nabosi barya amandu ayo babya balume amaelfu atanu.
MRK.6.45	Neryo-neryo mwatunda abiga buwe omo bwato, basoke embere siwe eyisirya, eBetesaida, asigale akalagana nendeko. 
MRK.6.46	Neryo abere abilagana nabo, mwaya oko bitwa erisaba. 
MRK.6.47	Neryo bwamabihombera, obwato bwabya omo ngetsi, naye abya iyowene oko kitaka. 
MRK.6.48	Neryo mwalangira kobakataluka erigoya, kusangwa erihunga moryahuluka embere syabo. Noko kisisimuko kyakani kyekiro, mwahika kubo, akagenda omo bisandu oko ngetsi. Mwabya ngakatwangana kubo, 
MRK.6.49	nikwa babere bamulolako akagenda oko ngetsi mobaganirya bati ni mulimu, mobalaka; 
MRK.6.50	kusangwa abosi mobamulolako, moba hahukya emitima. Nikwa neryo-neryo mwabuga nabo ati, Muhumule ni ngye; simubahe. 
MRK.6.51	Naye mwingira omo bwato haguma nabo nerihunga moryumbya nabo mobasweka kutsibu, 
MRK.6.52	kusangwa mobataminya busana namindu, kusangwa emi tima yabo iyabirikala.
MRK.6.53	Neryo babere babisoka, mobahika oko kihugo kye Genesareti, mobahanga obwato oko mukokoro. 
MRK.6.54	Babere balwa omo bwato neryo-neryo abandu mobamuminya, 
MRK.6.55	bo batibita oko mbande syosi sye kihugo ekyo mobatsuka erileta abakoni oko ngingo syabo eriya aho bowa ambu ari. 
MRK.6.56	Nehosi ahika, omo hiyi, kutse omo miyi mineneminene, kutse omo kihugo, mobahira abakoni omo maguriro, mobamugonga-gonga bati batule oko musike wolukimba luwe; nabosi batula kulo mobalamibwa.
MRK.7.1	Nikwa omugulu abaFarisayo nabandi basaki abalwa eYeru salema bahindana ahari, 
MRK.7.2	mobalangira abandi oko biga buwe barya omo byala bitowene eribindula ambu ebitanabire. 
MRK.7.3	(Kusangwa abaFarisayo nabaYuda bosi, isiberya batebanabya ebyala byabo, ibakakwama emitsye yabakulu; 
MRK.7.4	nomugulu bakahika omwiguriro, isiberya batebayikosa; neyindi mitsye mingi ine eyo bakakwama, ngerierya esyondehi nebisya nesyo nyungu syemiringa.) 
MRK.7.5	AbaFarisayo nabasaki mobamubulya bati, Busana naki abiga bawe sibelendera ngemitsye ya bakulu, nikwa bakarya omo byala bitowene kwehi? 
MRK.7.6	Naye mwabuga nabo ati, Isaya mwaminyerera ndeke busana nenyu abatebya, ngoko kisakire kiti,
MRK.7.6	Abandu aba bakanyisikaya neminywa yabo,
MRK.7.6	Nikwa omutima wabo ari hali kwingye;
MRK.7.7	Bakanyikukamira buyira,
MRK.7.7	Ibakakangirirya eritegeka ryabandu ngerikangirirya kundu.
MRK.7.8	Mukasiga eritegeka ryoMungu, imukahambirirana nemitsye yabandu.
MRK.7.9	Neryo mwabuga nabo ati, Muwite enzira ndeke yerigana ekihano kyoMungu, busana neribika emitsye yenyu! 
MRK.7.10	Ku sangwa Musa mwabuga ati, Sikaya tata wawe na koyo wawe; kandi, ati, Oyu wasyatsuma ise kutse nyinya, akwe kundu; 
MRK.7.11	nikwa inywe muti, Omundu amabwira ise kutse nyinya ati, Endundi nangakuha ni Korbane (eribindula ambu, ebyama habwa oko Mungu)— 
MRK.7.12	imukaleka iniataswakola kindu busana na ise wuwe kutse nyinya wuwe, 
MRK.7.13	mutya imukayira eKinywa kyoMungu mo buyira busana nerikangirirya abandi emitsye yenyu. Neyindi myatsi mingi ngeyi mukakolayo.
MRK.7.14	Neryo mwabirikira abandu akandi, ati, Munyihulikirire imwe bosi, mowe: 
MRK.7.15	sihari kindu kikingira omwisi syomundu ekikalwa eyihya kikayira omundu mo mubi; nikwa ebindu ebikalwa omwisi syomundu byo bikayira omundu mo mubi. ( 
MRK.7.16	Omundu amabya namatwi weriowa, owe.) 
MRK.7.17	Neryo omugulu amabiingira omo nyumba, abisiga abandu, abiga buwe mobamubulya busana nomusyo oyo. 
MRK.7.18	Naye mwasubiryabo ati, Kwe nenyu, simuwite amenge kwehi? Simwasi kwebyosi bikingira omwisi syomundu bikalwa eyihya sibyetoka erimuyira mo mubi kwehi? 
MRK.7.19	kusangwa sibiriya omo mutima nikwa omo nda yiwe, bikalaba. (Eribuga atya ni buga ati, ebyalya byosi byowene.) 
MRK.7.20	Neryo mwabuga ati, Ebikalwa omwisi womundu byo bikayira mundu mo mubi. 
MRK.7.21	Kusangwa omo mutima wo mundu omwisi mukalwa amaringikania mabi, erisingira, eriiba, eriita, eriteta,
MRK.7.22	erirumwa, erikola ebibi, eriteba, engumbu nyibi, ameso mabi, eritsuma, eriyanza, obukiru. 
MRK.7.23	Emyatsi eyo yosi ikalwa omwisi, bikayira mundu mo mubi.
MRK.7.24	Nerilwa eyo mwahangana mwaya oko mitano yeTiro neSidona. Mwingira omo nyumba, isianzire hakabya oyu kaminya; nikwa mwatatoka eribisama. 
MRK.7.25	Nikwa neryo-neryo omukali oyu wite mwali mulere iniari ko kirimu kibi, mowa engulu yiwe mwasa mwaga oko bisandu biwe. 
MRK.7.26	Omukali oyu abya muGiriki, wekitunga kya Sirofoinike. Mwamugonga gonga ati aguse ekirimu kibi kyeyihya kilwe ku mwali. 
MRK.7.27	Naye mwabuga naye ati, Abana batsuke eriuguta, kusangwa siritolere eriimya ebyalya byabana erigusabyo esyombwa. 
MRK.7.28	Nikwa mwamusubirya ati, Ega Mukama; tse nesyombwa nasyo esiri omwisi wobutala sikanarya ebitahangukira byabana. 
MRK.7.29	Neryo mwabuga naye ati, Busana neribuga eri uyigendere; ekirimu kibi kyamabilwa ku mwali wawe. 
MRK.7.30	Naye mwasuba omo nyumba yiwe, mweya mwana inianagotsere omo ngingo, nekirimu kibi ikyabirigenda.
MRK.7.31	Neryo mwasubula mwalwa omo kihugo kyeTiro, mwalaba eSidoni mwahika oko ngetsi yeGalilaya, mwalaba omukati-kati ke Dekapoli, 
MRK.7.32	Neryo mobamuletera omundu mutsiha kandi ini mumu; mobamugonga-gonga bati amuhire kwebyala biwe. 
MRK.7.33	Neryo mwamulusya ahari abandu mwamutwala ahayihenge kire, mwahira eminwe yiwe omo matwi wuwe, mwatwa ama tandi mwatula oko lulimi luwe; 
MRK.7.34	mwalalama mwalebya elubula, mwahumurikana, mwabuga naye ati, Efafata, ni buga riti, Ribukala. 
MRK.7.35	Na matwi wuwe mwalibukala, nolulimi luwe molwabohokala, mwabuga ndeke. 
MRK.7.36	Neryo mwategekabo ati sibabwire omundu; nabo mobalaba kwaho eritulago. 
MRK.7.37	Mo basweka kutsibu okwilaba, bati, Abirikola emyatsi yosi yondeke; akaleka abatsiha ibowa nesyomumu isyabuga.
MRK.8.1	Oko biro ebyo, omugulu Endeko nene yamabihindaan, isibawite ekyerirya, mwabirikira abiga buwe, mwabwiroba ati, 
MRK.8.2	Namaganyira endeko eyi, kusangwa bamabisiba nage biro bisatu, na lino sibawite ebyerirya; 
MRK.8.3	namatumabo ewabo, batebarya bakandiwirira omo nzira; nabandi bakubo eyo balwa ni hali. 
MRK.8.4	Abiga buwe mobamubulya bati, Omundu angatoka ati eriugutya abandu aba nobundu kwehi? na hano ni mbwa rara. 
MRK.8.5	Naye mwabulyabo ati, Muwite amandu angahi kwehi? Mobamusubirya bati, Arinda. 
MRK.8.6	Naye mwategeka endeko yikale ahisi; neryo mwimya amandu arinda, mwaha ewasingya mwatwabo mwahago abiga buwe erihirago embere syendeko. 
MRK.8.7	Ibawite notuhere tuke; nahyo amabitsumulahyo, mwategeka erihirahyo embere wabo nibya. 
MRK.8.8	Mobarya, mobuguta; mobakumakuma ebitahangukira byasaka mobyusula omo bitiri birinda. 
MRK.8.9	Nabandu babya nga maelfu ani. 
MRK.8.10	Neryo mwa lagana nabo; neryo-neryo mwingira omo bwato haguma nabiga buwe, mobaya eDalmanuta.
MRK.8.11	AbaFarisayo mobasa mobatsuka erimukubisania obuhaka, bakamusonda kwekitikotiko erilwa elubula, bakamulengako. 
MRK.8.12	Naye mwahumulikana omwisi wekirimu kiwe kutsibu, ati, Busana naki olulengo olu lukasonda-sonda ekitikotiko kwehi? Kundu, ngabuga nenyu, olulengo olu silwendisyahabwa ekitikotiko. 
MRK.8.13	Neryo mwasigabo, mwingira omo bwato kandi mwaya eyisiria.
MRK.8.14	Kandi mobibirirwa erileta amandu; ibawite obundu buguma busa haguma nabo omo bwato. 
MRK.8.15	Naye mwahanabo ati, Mulebaye, muyitegaye busana nekihamya kyabaFarisayo nekihamya kyaHerode. 
MRK.8.16	Nabo mobakanirania bati, Situwite obundu. 
MRK.8.17	Yesu mwaminya ekyo, mwabuga nabo ati, Busana naki mukakaniranaya ko mutawite amandu kwehi? Simuri mwalangira neriminya kwehi? Emitima yenyu ikalakalire kwehi? 
MRK.8.18	Muwite ameso simwelangira kwehi? Muwite amatwi simuriowa kwehi? Simuriyibuka kwehi? 
MRK.8.19	Omugulu natsutsanga amandu atano busana na bandu maelfu atano, momwakumakuma ebitahangukira momusulya ebitiri bingahi kwehi? Nabo mobamusubirya bati, Ikumi na bibiri. 
MRK.8.20	Na warinda busana na maelfu ani, momwakumakuma ebitaha ngukira momusulya ebitiri bingahi kwehi? Mobamusubirya bati, Birinda. 
MRK.8.21	Naye mwabuga nabo ati, Simurimwaminya kwehi?
MRK.8.22	Neryo mobahika eBetesaida. Nabandi bandu mobamu letera endimatime, mobamugonga-gonga bati amutuleko. 
MRK.8.23	Naye mwimya ebyala byendimatime, mwamusondolera ekyaswa kyomuyi; abere abitwira amatandi oko meso wuwe mwamuhira kwebyala, mwamubulya ati, Hari ekyo wamala ngira kwehi? 
MRK.8.24	Naye mwalalamira mwabuga ati, Namalangira bandu; nikwa basosire emiti ikagenda. 
MRK.8.25	Mwaswahira ebyala biwe kandi oko meso wuwe; neryo mwalangira ndeke mwa lamibwa, neryo mwalangira emyatsi yosi yo ndeke. 
MRK.8.26	Neryo mwamutuma oko wabo ati, Siwingire omo muyi.
MRK.8.27	Neryo Yesu mwalaba na biga buwe, oko hiyi hya Kaisaria Filipi; nomo nzira mwabulya abiga buwe ati, Abandu bakabuga bati ingyendi kwehi? 
MRK.8.28	Nabo mobamubwira bati, Yoane Mubatisa; nabandi bati, Elia; nabandi muguma wokobami nyereri. 
MRK.8.29	Naye mwabulyabo ati, Nikwa nenyu mukabuga muti ingyendi kwehi? Petero mwamusubirya ati, Uri Kristo. 
MRK.8.30	Naye mwahanabo sibabwire mundu busana naye.
MRK.8.31	Naye mwatsuka erikangiriryabo ngoko oMugala womundu atolere eriagalwa omo myatsi mingi, neriganwa nabakulu naba hereri bakulu nabasaki, neriitwa, nerilubuka kandi enyuma webiro bisam 
MRK.8.32	Mwabuga ebi neriminyikala. Petero mwa mutwala ahayihengekire, mwatsuka erimukunga. 
MRK.8.33	Nikwa erikeba nerilangira abiga biwe mwakunga Petero ati, Usube enyuma kwingye, Satani! Kusangwa suri oko luhande lwo Mungu, nikwa oko lwabandu.
MRK.8.34	Neryo mwabirikira endeko haguma nabiga buwe, mwa­buga nabo ati, Omundu amasonda erinyikwama, ayigane imaye omusalaba wuwe anyikwame. 
MRK.8.35	Kusangwa oyu kasonda erilamya engebe yiwe asyatalyayo; noyu katalaya engebe yiwe busana nage na busana nengulu yowene asyalamyayo. 
MRK.8.36	Ku sangwa omundu amabana endundi yahi amatunda e kihugo kyosi akatalya engebe yiwe kwehi? 
MRK.8.37	Kusangwa omundu asyahinganiaki busana nengebe yiwe kwehi? 
MRK.8.38	Kusangwaoburi mundu oyu kakwa esisoni busana nage nebinywa byage omo lulengo olu lwerisingira nolubi, oMugala womundu naye asyakwa esisoni busana naye, omugulu asyasa omo lukengerwa lwe Ise wuwe haguma nabamalaika babuyirire.
MRK.9.1	Neryo mwabuga nabo ati, Kwenene ngabuga nenyu, hari bandi abimene hano sibendisyalola okwihola batebalola oko bwami bwoMungu bukasa namaka.
MRK.9.2	Nenyuma webiro endatu Yesu mwimya Petero na Yakobo na Yoane, ibobene mwatwalabo oko kitwa kirikiri; naye mwa hindukibwa emuliro wabo, 
MRK.9.3	Nesyomgimba siwe mosyakanga bania, nerihenia kutsibu, isihari ekyangakangabaniasyo kitya mona kihugo. 
MRK.9.4	Neryo Elia na Musa mobabutuka kubo; ibakakanaya na Yesu. 
MRK.9.5	Petero mwabuga na Yesu ati, oMu kama, ryowene turi hano; tukokotaye ehitarikirire hisatu, kaguma busana nawe, na kaguma busana na Musa na kaguma busana na Elia. 
MRK.9.6	Kusangwa siabya asi ekyo angabuga, ku sangwa babya ibakubaha kutsibu. 
MRK.9.7	Nekitu mokyasukuliryabo, nomulenge mwalwa omo kitu ati, Yoyu Mugala wage mwanze; mumowe. 
MRK.9.8	Neryo-neryo mobakebakeba mobatalangira mundu ni na Yesu iyowene.
MRK.9.9	Nomugulu bandagala oko kitwa, mwahanabo ati sibabwire mundu nomuguma ebyo bamalolako, oMugala womundu asya bya alubuka oko baholi. 
MRK.9.10	Neryo mobabika omwatsi oyo omukati-kati kabo bakabulanaya ngerilubuka oko baholi nga niki. 
MRK.9.11	Neryo mobamubulya bati, Busana naki abasaki baka buga bati Elia atolere eritsuka eriasa kwehi? 
MRK.9.12	Naye mwa subiryabo ati, Elia akatsuka eriasa erisubya emyatsi yosi; kandi kisakire kiti busana noMugala womundu kiti asyagalwa omo myatsi minene nerisiningulirwa kwehi?
MRK.9.13	Nikwa ngababwira nyiti Elia abiriasa, mobamukola ngoko banzire, ngoko kisakire busana naye.
MRK.9.14	Babere bahika eyiri abiga, mobalangira endeko nene initimbire kubo, nabasaki bakakuba obuhaka nabo. 
MRK.9.15	Neryo neryo endeko yosi yamabilola kubo moyasweka kutsibu, moba tibita erihindana naye mobamubukya. 
MRK.9.16	Naye mwabulyabo ati, Mukakubisanaya nabo buhakaki kwehi? 
MRK.9.17	Omuguma womondeko mwamusubirya ati, Mukangirirya, namakuletera mugala wage, kusangwa ari kwembinga itebuga; 
MRK.9.18	naho ikamuhamba ikamutinira ahisi; akabimbaya erihulo iniarya meno wuwe iniabasa; nage monabulya abiga bawe baguseyo eyihya, nabo mobataluka. 
MRK.9.19	Naye mwasubiryabo ati, Ilolo olulengo lutikirirye, nasyabya haguma nenyu omugulu gungahi kwehi? Nasyabalindirira omugulu gungahi kwehi? Munde tereye. 
MRK.9.20	Neryo mobamuletera omulwana; nomugulu ekirimu kyamulolako, neryo-neryo mokyamunyolanyola, naye mwayi lunda oko kitaka mwayigalagalya ahisi, mwabimbya erihulo omo buno. 
MRK.9.21	Yesu mwabulya ise ati, Kyamutsuka omugulu wahi kwehi? Naye mwamusubirya ati, Kyamutsuka iniakine mwana. 
MRK.9.22	Nengendo nyingi kikamugusa omo muliro nomo magetsi, erimwita; nikwa wamatoka erikola kindu, utuganyire utuwatikaye. 
MRK.9.23	Yesu mwabuga naye ati, Wamatoka! Emyatsi yosi ikatokekana oko oyu ukikiraya. 
MRK.9.24	Neryo-neryo ise womwana mwabuga kutsibu ati, Namikirirya; uwatikaye eriti ndikirirya ryage! 
MRK.9.25	Omugulu Yesu alangira endeko ikatibita haguma, mwakunga ekirimu kibi ati, Uwe kirimu kyemumu nekitsiha namakutegeka nyiti, umulweko, siwingire kandi omwisi wuwe na kera.
MRK.9.26	Nenyuma kyamabilaka nerimunyola nyola kutsibu, mokyamulwako, nomulwana mwabya ngekinda; kyaleka hakuhi nabosi ibabuga bati, Abirihola. 
MRK.9.27	Nikwa Yesu mwamuwata oko byala, mwamuhangania, naye mwahangana.
MRK.9.28	Neryo abere ingira omo nyumba, abiga buwe mobamubulya bubi-sobiso bati, Busana naki motukataluka erigusayo kwehi?
MRK.9.29	Naye mwabuga nabo ati, Omusindo oyu siaritoka erihigwa mukindi rye nerisaba neritsira.
MRK.9.30	Mobalaba kandi erilwa eyo nerilaba eGalilaya. Naye isianzire omundu akaminya; 
MRK.9.31	kusangwa abya akakangirirya abiga buwe, ati, Omugala womundu asyahoterwa omo byala byabandu, basyamwita; nomugulu amabiitwa, enyuma webiro bisatu asyalubuka.
MRK.9.32	Nikwa mobataminya eribuga eryo, kandi mobubaha erimubulya.
MRK.9.33	Neryo mobahika eKapernaumu; neryo abere ane omo nyumba mwabulyabo ati, Ekyo muryabya mukakubira obuhaka tune omo nzira niki kwehi? 
MRK.9.34	Nikwa mobabya bukutu; kusangwa omo nzira bakuba obuhaka oyo wangabya omukulu nga nindi. 
MRK.9.35	Neryo mwikala ahisi mwabirikira erikumi na babiri; mwabuga nabo ati, Omundu amasonda eribya weri mbere, abye wenyuma oko bosi nibya abye omugombe wabosi.
MRK.9.36	Neryo mwaleta omwana mulere, mwamuhangania aho kati kati kabo; nerimuwatako omo byala biwe, mwabuga nabo ati,
MRK.9.37	Oyu kakokaya omwana mulere ngoyu omo rina ryage akanyikokaya; noyu kanyikokaya siarinyikokaya nikwa oyo wanyituma.
MRK.9.38	Yoane mwabuga naye ati, Mukangirirya, twamalola oko mundu akagusa esyombinga eyihya omo rina ryawe, motwa mukunga, kusangwa syabya akatukwama. 
MRK.9.39	Nikwa Yesu mwabuga ati, Simumukage; kusangwa sihari mundu oyu kakola omubiri akalakalire omo rina ryage oyo wangatoka eribuga nabi luba busana nage. 
MRK.9.40	Kusangwa oyute nzigu yetu ari oko luhande lwetu. 
MRK.9.41	Kusangwa kwenene, ngabuga nenyu, oyu wasyabaha olutehi lwamagetsi eripulya kusangwa mukaheka erina rya Kristo, siendisyatalya oluhembo luwe na hake.
MRK.9.42	Noyu wasyaleka omuguma goko balere aba abakanyikiriraya akatwikala, eryowene ibasengera oluso lunene omo bikya biwe iniaguswa omo ngetsi. 
MRK.9.43	Okoboko kwawe kwamaleka ukatwikala, utweko; ryowene busana nawe eriingira omo ngebe mo kirema kwilaba eriingira nebyala bibiri omo kurimu, oko muliro owatetoka erihumberibwa. ( 
MRK.9.44	Aho omuhuka wabo atehola, kandi nomuliro siarihumberibawa.) 
MRK.9.45	Nekisandu kyawe kyamaleka ukatwikala, utwekyo; ryowene busana nawe eriingira omo ngebe mokirema kwilaba eriguswa nebisandu bibiri omo kurimo ( 
MRK.9.46	aho omuhuka wabo atehola, kandi nomuliro siarihumberibawa.) 
MRK.9.47	Neriso ryawe ryamaleka uka twikala, ukureryo; ryowene busana nawe eriingira omo bwami bwoMungu neriso riguma kwilaba eriguswa omo kurimu na meso abiri.
MRK.9.48	Aho omuhuka wabo atehola, kandi omuliro siarihumberibawa. 
MRK.9.49	Kusangwa oburi mundu asyalengwako omo muliro ngomunyu. 
MRK.9.50	Omunyu owene; nikwa omunyu amatalya obusi bwago, imwasihya gumuki kwehi? Mubye nomunyu omwisi wenyu, kandi mubane obuholo omukati-kati kenyu.
MRK.10.1	Neryo mwalwa eyo mwaya omo kihugo kyeYudea nekyeyisiria yeYorodani, nesyondeko mosyahindana ahari kandi; nakandi mwakangiriryabo, ngoko anatula akakola.
MRK.10.2	AbaFarisayo mobasa ahari mobamubulya busana nerimu lengako bati, Rinatolere omo bihano omundu erihiga mukaliwe kwehi? 
MRK.10.3	Naye mwasubiryabo ati, Musa mwabategekeraki kwehi? 
MRK.10.4	Nabo bati, Musa mwaha mundu ehamuli yerisaka ebarua yerikomola, nerimuhiga. 
MRK.10.5	Nikwa Yesu mwabuga nabo ati, Busana nerikala ryemitima yenyu mwabasakira ekihano eki. 
MRK.10.6	Nikwa okwitsuka ryerihangika, Mungu mwabumbabo omu lume nomukali. 
MRK.10.7	Busana nomwatsi oyo omundu asyasiga ise na nyinya wuwe asyabegerania na mukaliwe, 
MRK.10.8	na babiri basyabya omubiri muguma. Na ritya isibakiri babiri, nikwa omubiri muguma. 
MRK.10.9	Neryo abo Mungu abiribegerania haguma, sihabye mundu ukagabulabo.
MRK.10.10	Nomo nyumba abiga mobamubulya akandi busana no­mwatsi oyo. 
MRK.10.11	Naye mwabuga nabo ati. Oburi mundu oyu kakomola mukaliwe akahikya ogundi, iniakasingira; 
MRK.10.12	naye amalwa oko iba wuwe akahikibwa nogundi, iniakasingira.
MRK.10.13	Neryo mobamuletera abana balere ambu atule kubo; nabiga mobakungabo. 
MRK.10.14	Nikwa Yesu abere alangira ekyo mwahitana, mwabuga nabo ati, Muleke abana balere base kwingye, simukakirayebo; kusangwa abari batya obwami bwo­Mungu ni bwabo.
MRK.10.15	Kwenene, ngabuga nenyu, oyu tindasya ngirira obwami bwoMungu ngo mwana mulere siendisingira mubo na hake. 
MRK.10.16	Neryo mwawata kubo omo maboko wuwe mwatsumulabo, mwahira kubo kwebyala biwe.
MRK.10.17	Omugulu asonda eritsuka olugendo luwe, omundu mwa mutibitako mwamukukamira mwamubulya ati, Mukangirirya Mubuya, nangakolaki eribana erilagwa engebe yerikota kwehi? 
MRK.10.18	Yesu mwabuga naye ati, Busana naki ukanyahula mo mubuya kwehi? Sihari mubuya yono muguma oMungu. 
