MAT.1.1	Mɛkana maka kɛ lɛpɔ kasi Yesus Krist nɛ̀ mɛɗinɔ mɛ ɓesaŋmbambɔ ɓenɛ. Nyɛ nday Davit, nday Abaraham. 
MAT.21.16	Ɛ ɓo lɛpɛ nyɛ Yesus nde: «’Wɛ kɛ wokɔ yasi te yi ɓo lɛpɛ kɛ́?» Ɛ nyɛ yeŋsa nde: «I̧, mi kɛ wokɔ. ’Ma yite nde, wunɛ tì pa tɔlɔ mɛlɛpi maka yi ɗiyɛ kɛtinate kɛ mɛkana mɛ Njambiyɛ kɛ́ na? Yo kɛtinate nde: ‹Wɛ kelma nde, ko sɛkɛ sɛkɛ ɓɔnɔsikɛ nɛ̀ ɓaka ɓe ndi kɛ ɗye ɓɛri ɓaka lûksa wɛ.› » 
MAT.21.17	Kɛ nyɛ ma si lɛpɔ ɗete kɛ́, ɛ nyɛ ŋgbɛsɛ ɓo pundɔ ɗuwɛ womɛte kɛ Yerusalɛm kwa̧ kɛ̀ ya kɛ Betani.
MAT.21.18	Misi pupɛ ɓemɛŋmɛnɛ kɛ ŋgimɔ te yi Yesus ɓa̧ kɛ yɔkwɛ nɛ kɔkɔ kɛ̀ Yerusalɛm kɛ́, nja ɓa̧ kɛ kelɔ nyɛ. 
MAT.21.19	Kɛ nyɛ ma kaŋɛ misi, a ɓɛ́ŋa wɛtɛ njuku *figiye kɛ kɛki nje. Ɛ nyɛ kwa̧ kɛ̀, a sém ndi mɛmbɔru nɛ mɛmbɔru nɛ gbi. Ɛ nyɛ lɛpɛ nyɛ njuku figiye te nde: «Yɔ siyma ɓɔnɛ, ko wɛ tí wumɔ se ko mbumɔ wɛtɛ nɛ wɛtɛ mbaŋa yesɔ na.» Ndana ndana, ɛ njuku figiye ɛnɔru gwe sɔsɔ nɛ kawoyo. 
MAT.21.20	Kɛ ɓejekɛ ma ɓɛŋɛ yasi yinɔri kɛ́, ɛ ɓo ŋgbakima lɛpɔ nde: «Kelma nan yi njuku figiye kɔ gwa̧ sɔsɔ ndi ndana ndana ɗekɛ kɛ́?» 
MAT.21.21	Ɛ Yesus yeŋsa nyɛ ɓo nde: «Gbakasi yi mi lɛpɛ nyɛ wunɛ kɛ́: Ŋgɛ wunɛ tikɛ gba temɔ kɛ yi Njambiyɛ kinɛ mɛso na, wunɛ ta kelɔ yasi kwa̧ yikɛ yi mi kelma ndana nɛ njuku figiye kɔ kɛ́. Ko wunɛ lɛ́pi nyɛ keki te yɔkɔ nde: ‹Ɗukwɛ waka kɛ̀ ɓalɔ kɛ maŋ,› yo má kelna ɗete. 
MAT.21.22	Yasi hɛnɛ te yi wunɛ ta diyɛ Njambiyɛ kɛ mɛŋgwɛta mun, tikɔ gba temɔ kɛ yenɛ, a ta nyɛ wunɛ yo.»
MAT.21.23	Yesus nja̧ kwa̧ kɛ̀ kɛ mbanjɔ Njambiyɛ. Kɛ ŋgimɔ te nyɛ ɓa̧ kɛ teɗye ɓomɔ mɛlɛpi mɛ Njambiyɛ kɛ́, ɛ ɓekum ɓe ɓotu ɓe nyɛna sadaka nyɛ Njambiyɛ nɛ̀ ɓetomba ɓe ɗya nje kɛ yenɛ diyɛ nyɛ nde: «Ɗeti te yi wɛ kelɛ nɛ mɛyasi mɛte yikɛ kɛ́ wúla we? Sendi, nda nyɛ wɛ ɗeti nde, kelɔ mɛyasi mɛte?» 
MAT.21.24	Ɛ nyɛ yeŋsa nyɛ ɓo nde: «Mi sendi, mi ndi nɛ lɛpi wɛtɛ yi mi ta diyɛ wunɛ. Ŋgɛ wunɛ yeŋsa nyɛ mi, mi má nje lɛpɔ nyɛ wunɛ mbɛy komɛ ɗeti te yi mi kelɛ nɛ mɛyasi mɛte wulɛ kɛ́. 
MAT.21.25	Nda tomɛ Jaŋ nde, a njâki tɔpɛ ɓomɔ kɛ mɔrɔku? ’Yo Njambiyɛ ho yo ɓomɔ?» Ndana, ɛ ɓo kandɛ mɛdiyna tandɛ yan lɛpɔ nde: «Ŋgɛ wusɛ lɛpɛ nde: Yo Njambiyɛ, yite a ta diyɛ wusɛ nde: Ma kɛto ŋge yi wunɛ tì tikɛ temɔ kɛ yasi te yi nyɛ lɛpima kɛ́? 
MAT.21.26	Ma ŋgɛ wusɛ nje yeŋsa nde: Yo ɓomɔ, yite wusɛ yâkaŋgwɛ kambɔ ŋgil ɓomɔ, kɛto ɓomɔ hɛnɛ kɛ ɓɛŋɛ nde, Jaŋ mɔ punja mɛlɛpi mɛ Njambiyɛ.» 
MAT.21.27	Ɗete, ɛ ɓo yeŋsa nyɛ Yesus nde: «Wusɛ yeti kɛ duwɛ na.» Ɛ nyɛ nje lɛpɔ nyɛ ɓo nde: «Mi sendi, mi yeti kɛ lɛpɔ yaŋa nyɛ wunɛ kɛ kasi ɗeti te yi mi kelɛ nɛ mɛyasi mɛte kɛ́ na.»
MAT.21.28	«Nɛ ta lɛpɔ nde ŋge kɛ kanɔ te yi wunɛ ta wokɔ ndana kɛ́? Mbaŋa mbam ɓa̧ nɛ ɓɔnɔ ɓembam yiɓa. Ɛ nyɛ lɛpɛ nyɛ tomba te nde: ‹Mɔnmbɛ, kɛn kelɔ say kɛ ŋgwaŋ mbɛ muka.› 
MAT.21.29	Ɛ nyɛ yeŋsa nde: ‹Kway na.› Ɗiyɔ kɛ́, ɛ nyɛ ɗiyɛ nɛ ŋgbum takɛ yasi tɛmɛ kwa̧ kɛ̀ ŋgwaŋ. 
MAT.21.30	Ndana, ɛ nyɛ dolɛ ndɛmbi te lɛpɔ ndi kiya yasi te yi nyɛ lɛpima nyɛ yɔru kɛ́ nyɛ nyɛ. Ɛ nyɛ yeŋsa nde: ‹I̧ Da, mi ta kɛ̀.› Ma yasi wɛtɛ, a tì nje kɛ̀ na. 
MAT.21.31	Kɛ njoka ɓɔnɔ ɓaka yiɓa, nda wokuma mɛn saŋgwɛ kɔ?» Ɛ ɓo yeŋsa nde: «Yo tomba te.» Ɛ Yesus nje lɛpɔ nyɛ ɓo nde: «Gbakasi yi mi lɛpɛ nyɛ wunɛ kɛ́: Ɓotu ɓe ɓoŋna mɔni garama nɛ̀ ɓoma ɓete ɓe joŋna kɛ sap sap joŋgwɛ ɓaka ta kandɛ nyiŋɛ kɛ *Kandɔ Njambiyɛ tikɔ wunɛ. 
MAT.21.32	Yo ta ɓɛŋna ɗete, kɛto Jaŋ nja̧ kɛ yun teɗye wunɛ nje te yi nɛ ŋgbeŋ, ma wunɛ tì tikɛ temɔ kɛ yasi te yi nyɛ lɛpima kɛ́ na. Yasi wɛtɛ, ɓotu ɓe ɓoŋna mɔni garama nɛ̀ ɓoma ɓete ɓe joŋna kɛ sap sap joŋgwɛ ɓaka tikima yan temɔ kɛ yasi te yi nyɛ lɛpima kɛ́. Wunɛ kómbila ɓɛŋɛ yun mɛyasi mɛnɔri hɛnɛ. Ma nɛ nde, wunɛ njâki yeŋsa temɔ kɛ kɔŋte yí tikɔ temɔ kɛ yasi te yi nyɛ lɛpima kɛ́, wusɛ tì kelɛ ɗete na.
MAT.21.33	«Wunɛ wôku sendi wɛtɛ kanɔ. Wɛtɛ masa mɛsay sama ŋgwaŋ *vinyɛ. Ɛ nyɛ kelɛ kakwɛ litɔ nɛ yo, timɔ mbɛy sɔpita mɛmbumɔ, sumɔ sendi doŋgbe doŋgbe tu̧ yí pɛmna ŋgwaŋ. Ɛ nyɛ nje kaŋɛ yo hɛnɛ nyɛ ɓaŋa ɓotu ɓe mɛsay nde, ɓo ɓâkiɗya, ɓɛ sendi nɛ ŋgaɓiyɛ te yan kɛte. Kɛ kɔŋte, ɛ nyɛ kwa̧ kɛ̀ lɔndunate kɛ yiŋa mɛnɛti. 
MAT.21.34	Kɛ ŋgimɔ te yi mɛmbumɔ ma si ɗetɔ kɛ ŋgwaŋ kɛ́ ma ɗya̧, ɛ nyɛ tomɛ ɓaŋa ɓotu ɓe mɛsay kɛnjɛ kɛ yi ɓari, nɛ́ ɓo njesɛ nyɛ yiŋa kwalɔ mɛmbumɔ mɛ ŋgwaŋ. 
MAT.21.35	Yasi wɛtɛ, ɛ ɓotu ɓe ɓa̧ nɛ mɛsay te ɓari ɓiye ɓo mɛndɛ wɛtɛ, wo mbaŋa, lu̧ mɔ yitatite nɛ mɛtari wo. 
MAT.21.36	Kɛ kɔŋte, ɛ nyɛ tomɛ sendi ɓaŋa ɓotu ɓe mɛsay ɓuɗyate kwa̧ ɓe mbɔmbu. Ɛ ɓo kelɛ nɛ ɓo ndi nda yi ɓo kelma nɛ bosa ɓomɔ kɛ́. 
MAT.21.37	Yí siɗyɛ nɔ, ɛ nyɛ nje tomɔ mɔnɔ wenɛ kɛnjɛ lɛpɔ nde: ‹Ɓo ta kambɔ, kɛto yo mɔnmbɛ.› 
MAT.21.38	Yasi wɛtɛ, kɛ ɓotu ɓaka ma kaŋɛ misi ɓɛŋɛ nɛ nyɛ kɛ́, ɛ ɓo lɛpɛ tandɛ yan nde: ‹Mɔ te ɛ ta tika nɛ mɛlikɔ, ɛkɔ. Nɛ njâki, hɛ wôku nyɛ, nɛ́ wusɛ tika nɔ.› 
MAT.21.39	Ɛ ɓo ɓiye nyɛ kɛ̀ ɓetɛ kɛ kɔŋ ŋgwaŋ wo. 
MAT.21.40	Ma ndana, komɛ sa ŋgwaŋ ta kɛ̀ nje kɛ́, a ta kelɔ nan nɛ ɓotu ɓaka?» 
MAT.21.41	Ɛ ɓo yeŋsa nyɛ Yesus nde: «A ta girise ɓeya ɓotu ɓenɔri nɛ nyalɔ, nje kaŋɛ ŋgwaŋ nyɛ ɓaŋa ɓotu ɓe mɛsay ɓe ta nyɛ nyɛ mɛmbumɔ kɛ ŋgimɔ ɗya̧.» 
MAT.21.42	Ɛ Yesus nje lɛpɔ nyɛ ɓo nde: «’Yite nde, wunɛ tì pa tɔlɔ lɛpi kɛ yi ɗiyɛ kɛtinate kɛ mɛkana mɛ Njambiyɛ kɛ́ na? Yo kɛtinate nde: ‹Tari*f1* te yi ɓotu ɓe sumna tu̧ sɛŋma kɔ kpalma nje ɓɛ saŋgwɛ kondu. Ma yasi kɛ, yo mɛkele mɛ Baba Mbokɔ, yo yasi te yi wusɛ ɓɛŋɛ ŋgbakima.› 
MAT.21.43	Ɗete, mi kɛ lɛpɔ nyɛ wunɛ nde: Njambiyɛ ta soŋɛ *Kandɔ ɗyenɛ kɛ mɛɓɔ mun, a má nje kaŋɛ yo nyɛ kandɔ te ɛ ta kelɔ mɛyasi nɛ ŋgbeŋ nda yi nyɛ Njambiyɛ kwaɗyɛ kɛ́. [
MAT.21.44	Ŋgɛ mumɔ ɓalɛ kɛ Tari te, a ta lekwɛ nɛ mutu mutu. Sendi, ŋgɛ Tari te ɓalɛ kɛ to mumɔ, yo ta kɔkɔ nyɛ nɛ mbɔl.]» 
MAT.21.45	Ɓekum ɓe ɓotu ɓe nyɛna sadaka nyɛ Njambiyɛ nɛ̀ *Ɓefarisɛ̧ wokuma mɛkanɔ mɛnɔri, ɛ ɓo duwɛ nde, Yesus lɛ́pinaŋgwɛ nɛ ɓo. 
MAT.21.46	Ɓo saŋma nje te yi ɓiye nyɛ, yasi wɛtɛ, ɓo ɓa̧ kɛ kambɔ ŋgil ɓomɔ, kɛto ɓomɔ ɓɛŋma nde, Yesus mɔ punja mɛlɛpi mɛ Njambiyɛ.
MAT.22.1	Yesus nja̧ kɛ̀ sendi mbɔmbu lɛpina nyɛ ɓomɔ nɛ nje mɛkanɔ. A lɛpima nde: 
MAT.22.2	«*Kandɔ te yi kwey kɛ ɓoŋna nɛ wɛtɛ kumande te ɛ kelma jesɔ gwaki mɔnɔ wenɛ ɛ mbam kɔ. 
MAT.22.3	A tomma ɓotu ɓe mɛsay ɓenɛ kɛ̀ jeɓa nɛ ɓotu ɓete ɓe nyɛ jeɓama kɛ jesɔ ɓaka. Yasi wɛtɛ, ɓotu ɓete tì kwaɗyɛ nje na. 
MAT.22.4	A nja̧ ɓasiɗye tomɔ ɓaŋa ɓotu ɓe mɛsay lɛpɔ nde: ‹Nɛ kɛ̂n lɛpɔ nyɛ ɓotu ɓete ɓe mi jeɓama ɓaka nde: Mi sima kombile mɛɗye hɛnɛ. Mi woma ɓenday nɛ̀ ɓenyamɔ ɓete ɓe nɛ mutɔ ɓaka. Mɛyasi mɛ kombilate, ɓo njâki kɛ jesɔ.› 
MAT.22.5	Yasi wɛtɛ, ɓotu ɓete yɛliya jeɓan te tɔkɛ kɛndi yan kwa̧. Yɔkɔ ɛ tɛmɛ kɛ̀ ŋgwaŋ nɛ, yɔru ɛ kwa̧ kɛ̀ ɗyaŋgwɛ mɛjɛŋ mɛnɛ. 
MAT.22.6	Ɓukwɛ te ɓaka tɛmma ɓiye ɓotu ɓe mɛsay ɓe kumande teɗye ɓo mɛbɔnɛ wo ɓo. 
MAT.22.7	Temɔ kumande kwama ɓuɗyate, ɛ nyɛ tomɛ ɓesɔja ɓenɛ si kɛ̀ girise nɛ ɓeya ɓotu ɓe wona ɓomɔ ɓaka, loɗyɛ ɗya ɗyan. 
MAT.22.8	Kumande nja̧ lɛpɔ nyɛ ɓotu ɓe mɛsay ɓenɛ nde: ‹Mi ma komsa jesɔ, ma ɓotu ɓete ɓe mi jeɓama ɓaka ti yaka nɛ jesɔ te na. 
MAT.22.9	Ndana, nɛ kɛ̂n nɛ mɛmanɔ yi kɛ̀ nɔ. Ɓomɔ hɛnɛ te yi wunɛ ta dolɔ, wunɛ lɛ̂pi nyɛ ɓo nde, ɓo njâki kɛ jesɔ.› 
MAT.22.10	Ɓotu ɓe mɛsay ka̧ nɛ ɓoku mɛnje ŋgbɔ ɓomɔ hɛnɛ te yi ɓo dolma, ko ɓeya ɓomɔ ko kimɔ ɓomɔ. Ɛ tu̧ jesɔ tondɛ nɛ ɓomɔ nɛ ŋgbɛŋ. 
MAT.22.11	Kumande nja̧ nyiŋɛ tu̧ yí nje ɓɛŋɛ ɓomɔ, a sém mbaŋa mumɔ kɛ njokate kinɛ lambɔ jesɔ gwaki kɛ yotu na. 
MAT.22.12	Ɛ nyɛ diyɛ nyɛ nde: ‹Sɔ mbɛ, yo kwaŋnama nan yi wɛ nyiŋma waka kinɛ lambɔ jesɔ gwaki kɛ yotu kɛ́?› Mbam ɗiyma nɛ kpiŋgbili kinɛ ɓutɛ numbu na. 
MAT.22.13	Ɛ kumande lɛpɛ nyɛ ɓotu ɓe mɛsay nde: ‹Wunɛ ɓîya nyɛ wotɔ mɛkol nɛ̀ mɛɓɔ mɛnɛ tɔkɛ nyɛ ɓetɛ kɛ sɛ̧ kɛ yitil. Yo womɛte komɛ nyɛ ta lelɔ nyambɔ mɛsu̧.› 
MAT.22.14	Yo nde, Njambiyɛ jéɓaŋgwɛ ɓomɔ ɓuɗyate, ma ɓaka ɓe nyɛ tɔkɛ kɛ njokate ɓaka ti ɓuyɔ na.»
MAT.22.15	Ndana, ɛ *Ɓefarisɛ̧ kwa̧ kɛ̀ kelɔ kutu yí ɓɛŋɛ nɛ nje te yi ɓo yakama dɔŋgiɗye nɛ Yesus wulɛ kɛ yasi te yi nyɛ nɛ ŋguru wenɛ ta lɛpɔ kɛ́. 
MAT.22.16	Ɓo tomma ɓejekɛ ɓan nɛ̀ ɓaŋa ɓotu ɓete ɓe ɓa̧ kɛ njɔŋ kumande Herod ɓaka kɛnjɛ kɛ yi Yesus lɛpɔ nde: «Yekele, hɛ duwa̧ nde, wɛ mɔ gbakasi. Wɛ téɗya nje Njambiyɛ gbate gbate ko kɛ misi mɛ nda, kɛto wɛ ti ɓáŋ yɔ mbɛri misi mɛ mumɔ na. 
MAT.22.17	Ma, lɛpɔ yasi te yi wɛ takɛ kɛ lɛpi kɛ kɛ́: ’Mɛmboŋga lɛ́pi ka nde, mumɔ gbôku garama nyɛ *Sesar ho a tî gboku?» 
MAT.22.18	Yasi wɛtɛ, Yesus duwa̧ ɓeya mɛtakɛ man. Ɛ nyɛ yeŋsa nde: «Wunɛ ɓotu ɓe likisi, wunɛ ɓóɓa mi kɛto ŋge? 
MAT.22.19	Wunɛ pâŋ pa teɗye mi mɔni te yi ɓo ɗiki gbo nɛ garama kɛ́.» Ɛ ɓo nje nɛ sule wɛtɛ ɓu̧ kaŋɛ nyɛ nyɛ. 
MAT.22.20	Ɛ nyɛ diyɛ ɓo nde: «Yikɛ yekambiyɛ to nda? Mɛkɛti mɛte yikɛ téɗya nda?» 
MAT.22.21	Ɛ ɓo yeŋsa nyɛ nyɛ nde: «Yo yi Sesar.» Ɛ nyɛ nje lɛpɔ nyɛ ɓo nde: «Ɗete, wunɛ nyɛ̂ki Sesar mɛyasi mɛte yenɛ, nyɛ Njambiyɛ mɛyasi mɛte yenɛ.» 
MAT.22.22	Ɓo wokuma nda yi Yesus yeŋsama kɛ́, ɛ ɓo ŋgbakima ŋgbɛsɛ nyɛ tɔkɛ kɛndi si kwa̧.
MAT.22.23	Kɛ kiya yesɔ te *Ɓesadusɛ̧ ɓe lɛpɛ nde, ɓemuŋ tí womiyɛ ɓaka nja̧ kɛ yi Yesus lɛpɔ nyɛ nyɛ nde: 
MAT.22.24	«Yekele, Mɔyisi lɛpima nde: ‹Ŋgɛ mbam gwe kinɛ tikɔ mɔnɔsikɛ na, nɛ̀ maŋ nɛ mbam te ɓôŋ kusɔ, na ja ɓenɛ nyɛ yí kwaŋɗye nɛ ɗinɔ maŋ ɛ gwa̧ kɔ.› 
MAT.22.25	Ma yo ɓa̧ nɛ ɓaŋa ɓɔnɔ ɓembam yitan jɔ yiɓa ɓe jaɗya kɛ mɔy yan, ɓo joŋnama kɛ njoka wusu. Tomba te ɓoŋma nyari nje gwe. Nda a tì ja kɛ́, ɛ ndɛmbi te ɓu̧ kusɔ maŋ. 
MAT.22.26	Yo nja̧ kwaŋna ndi sendi ɗete nɛ̀ ndɛmbi te nɛ̀ mɔ yitatite kumɔ kɛ mɔ yitan jɔ yiɓate. 
MAT.22.27	Ɗiyɔ kɛ́, ɛ nyari nje gwe sendi kɛ kɔŋ yan hɛnɛ. 
MAT.22.28	Ma kɛ yesɔ te yi ɓemuŋ ta womiyɛ nɔ kɛ́, kɛ njoka ɓembam ɓaka yitan jɔ yiɓa, nya kɔ ta nje ɓɛ nya nda, kɛto ɓo hɛnɛ ɓoŋma nyɛ nɛ mɛgwaki?» 
MAT.22.29	Ɛ Yesus yeŋsa nyɛ ɓo nde: «Wunɛ kɛ mɔy mɛjɔsɔ, kɛto wunɛ kɛ ndekima yasi te yi yo kɛtinate kɛ mɛkana mɛ Njambiyɛ kɛ́, ndekima sendi ŋguŋguɗyɛ Njambiyɛ. 
MAT.22.30	Yo nde, komɛ ɓemuŋ ta womiyɛ kɛ́, mɛgwaki tí ɓɛŋna se na. Yasi wɛtɛ, ɓomɔ hɛnɛ ta joŋna nda yi ɓejaki ɓe Njambiyɛ joŋna nɔ kɛ ɗyoɓɔ kɛ́. 
MAT.22.31	Ma kɛ kasi womiya ɓemuŋ, ’yite nde, wunɛ tì pa tɔlɔ ka yasi te yi Njambiyɛ lɛpima nyɛ wunɛ kɛ́ na? Njambiyɛ lɛpima nde: 
MAT.22.32	‹Mi mbɛ Njambiyɛ te ɛ Abaraham, Njambiyɛ te ɛ Isak, Njambiyɛ te ɛ Yakɔp.› Yo nde, Njambiyɛ yeti Njambiyɛ ɓemuŋ na, nyɛ Njambiyɛ te ɛ ɓotu ɓete ɓe nɛ joŋ ɓaka.» 
MAT.22.33	Ŋgil ɓotu ɓete ɓe lɛŋgwa mɛtɔ kɛ yasi te yi Yesus ɗikima lɛpɔ kɛ́ ŋgbakimama kwalɔ teɗya yasi te yenɛ.
MAT.22.34	Kɛ *Ɓefarisɛ̧ ma wokɔ nde, a ɗiɓima numbu *Ɓesadusɛ̧ kɛ yeŋsa lɛpi te yi nyɛ yeŋsama kɛ́, ɛ ɓo kwa̧ wesiɗya. 
MAT.22.35	Wɛtɛ kɛ njoka yan ɓa̧ nyaŋgwɛ mɔ teɗya mɛmboŋga. Ɛ nyɛ diyɛ Yesus diyan yí lɛɓiye nɛ nyɛ. A diyma nyɛ nde: 
MAT.22.36	«Yekele, kɛ njoka mɛmboŋga, yɛn kwa̧ ɓɛsɔ?» 
MAT.22.37	Ɛ Yesus yeŋsa nyɛ nyɛ nde: « ‹Kwaɗyikwɛ Baba Mbokɔ te Njambiyɛ wɔ nɛ temɔ yɔ hɛnɛ, nɛ sisiŋ yɔ hɛnɛ, nɛ ɗyanɔ ɗyɔ hɛnɛ.› 
MAT.22.38	Bosa mboŋga nɛ̀ nyaŋgwɛ mboŋga te ɛ kwaŋma ɓɛsɔ hɛnɛ kɔ, ɛru. 
MAT.22.39	Mboŋga yiɓate ɛ kɛ ɓoŋna nɛ mbɛte, yo yɔkɔ ɛ lɛpɛ nde: ‹Kwaɗyikwɛ mɔŋ nda yi wɛ kwaɗyɛ nɛ yotu yɔ kɛ́.› 
MAT.22.40	Mɛmboŋga maka yiɓa ɓɛ njuku mɛmboŋga nɛ̀ njuku mɛlɛpi hɛnɛ te yi ɓotu ɓe punja mɛlɛpi mɛ Njambiyɛ lɛpima kɛ́.»
MAT.22.41	Nda yi *Ɓefarisɛ̧ wesiɗyama kɛ́, ɛ Yesus diyɛ ɓo nde: 
MAT.22.42	«Nɛ táka nde, *Krist nda? Nyɛ mɔnɔ nda?» Ɛ ɓo yeŋsa nyɛ nyɛ nde: «Nyɛ Mɔnɔ Davit.» 
MAT.22.43	Ɛ Yesus lɛpɛ nyɛ ɓo nde: «Ma ŋge nje kelɔ nde, Kimɔ Sisiŋ nyɛ̂ki Davit ɗeti te yi jeɓa nyɛ nde Kumande wenɛ kɛ́? Kɛto Davit lɛpima nde: 
MAT.22.44	‹Baba Mbokɔ lɛpima nyɛ Kumande wombɛ nde: Ɗiyɔ mɛtiɗyɛ kɛ mbam ɓɔ mbɛ kumɔ nde, mi sîki kawule ɓependɔ ɓɔ tikɔ kɛ nji̧ mɛkol mɔ.› 
MAT.22.45	Ma ŋgɛ Davit jeɓa nyɛ nde Kumande, yite Kumande wenɛ ta kpalɔ nje ɓɛ mɔnɔ wenɛ nan?» 
MAT.22.46	Ko mumɔ wɛtɛ nɛ wɛtɛ tì ɓɛ nɛ ɗeti te yi yeŋsa yaŋa nyɛ nyɛ na. Kandɛ yesɔ te ko mumɔ wɛtɛ nɛ wɛtɛ tì ɓoɓɛ diyɛ se nyɛ yiŋa diyan na.
MAT.23.1	Ndana, ɛ Yesus lɛpɛ nyɛ ŋgil ɓomɔ nɛ̀ ɓejekɛ ɓenɛ nde: 
MAT.23.2	«Ɓotu ɓe kɛtina mɛyasi nɛ̀ *Ɓefarisɛ̧ ndana kɛ mbɛy Mɔyisi yí teɗye mɛmboŋga mɛ Njambiyɛ yi Mɔyisi kɛtima kɛ́ nyɛ ɓomɔ. 
MAT.23.3	Ɗete, wunɛ kêl ɓakiɗye mɛyasi hɛnɛ te yi ɓo ta lɛpɔ nyɛ wunɛ kɛ́, ma yasi wɛtɛ, nɛ tî joŋnaŋgwɛ nda ɓo na, kɛto ɓo lɛ́pi ndi yasi lɛpɔ kɛ numbu kinɛ nje kelɔ nda yi ɓo lɛpima kɛ́ na. 
MAT.23.4	Ɓo kánja ɗitina mɛmapi soɓiɗye ɓomɔ kɛ ɓɛkɔ. Ma yasi wɛtɛ, ɓo nɛ ŋguru wan yeti kɛ sambile nyɛy ɓɔ wɛtɛ kpokɛ nɛ yo na. 
MAT.23.5	Ɓo kél mɛkele man hɛnɛ nde, nɛ́ ɓomɔ ɓɛŋ ɓo. Ɗete, ɓo kɛ ɗɔkwɛ mɔnɔ mɛyasi mɛte yi ɓo ɗiki lɛŋɛ yi nɛ mɛmboŋga mɛ Mɔyisi kɛ mɔyte kɛ́ kwa̧ yi ɓɛsɔ, sɛwɗye sendi mɛyasi mɛte yi ɓo nyɛ kɛ numbu mɛlambɔ man kɛ́ nɛ ndulɛŋ ndulɛŋ. 
MAT.23.6	Ɓo sáŋ kpasa mɛmbɛy kɛ mɛtu̧ mɛdina, kwaɗyɛ ɗiyɔ kɛ bosa mɛmbɛy kɛ mɛmbanjɔ mɛwesiɗya mɛ Ɓeyudɛn. Ɓo kwáɗyikwɛ nde, ɓomɔ kɛ̂ nyɛnɔ ɓo kɛ mɛmbɛy komɛ ɓomɔ ɗiki wesiɗya kɛ́, 
MAT.23.7	kwaɗyɛ sendi nde, ɓomɔ kɛ̂ jeɓaŋgwɛ ɓo nde yekele. 
MAT.23.8	Ma ŋgɛ ɓɛ wunɛ, wunɛ tî saŋ nde, mumɔ jêɓaŋgwɛ wunɛ nde yekele na, kɛto wunɛ ndi nɛ Yekele wɛtɛ nɛ wɛtɛ. Ma wunɛ hɛnɛ ɓemaŋ nɛ ɓemaŋ. 
MAT.23.9	Wunɛ tî jeɓaŋgwɛ wɛtɛ mumɔ kɛ to mɛnɛti nde da na, kɛto wunɛ ndi nɛ Da wɛtɛ nɛ wɛtɛ, yo yɔkɔ ɛ ɗiyɛ kɛ kwey kɔ. 
MAT.23.10	Nɛ tî saŋ nde, mumɔ jêɓaŋgwɛ wunɛ nde masa na, kɛto wunɛ ndi nɛ Masa wɛtɛ nɛ wɛtɛ, yo *Krist. 
MAT.23.11	Mɔ te ɛ ɓɛ nyaŋgwɛte kɛ njoka yun kwa̧ ɓɛsɔ kɔ yâkaŋgwɛ kelɔ mɛsay nyɛ wunɛ. 
MAT.23.12	Mɔ te ɛ ɓendiɗye yotu kɛnjɛ kwey, Njambiyɛ ta piɗyɛ nyɛ kɛnjɛ nji̧. Ma yɔkɔ ɛ piɗyɛ yotu kɛnjɛ nji̧, Njambiyɛ ta kpalɔ ɓendiɗye nyɛ kɛnjɛ kwey.»
MAT.23.13	«Mɛbɔnɛ ta ɓalɔ kɛ to yun, wunɛ ɓotu ɓe teɗya mɛmboŋga nɛ̀ *Ɓefarisɛ̧, wunɛ ɓotu ɓe likisi, kɛto wunɛ kɛ ɗiɓɔ numɛy te yi *Kandɔ te yi kwey kɛ mbɔmbu ɓomɔ. Wunɛ nɛ ŋguru wun yeti kɛ nyiŋɛ kɛte na, ma wunɛ yeti kɛ tikɔ nde, ɓotu ɓete ɓe kwaɗyɛ nyiŋɛ kɛte ɓaka nyîŋa na. [
MAT.23.14	Mɛbɔnɛ ta ɓalɔ kɛ to yun, wunɛ ɓotu ɓe teɗya mɛmboŋga nɛ̀ Ɓefarisɛ̧, wunɛ ɓotu ɓe likisi! Kɛto wunɛ kɛ wɛnjile mɛyasi hɛnɛ nɛ mbul kɛ mɛɓɔ mɛ ɓekusɔ ɓomari ɗiki nje kelɔ sɛwna mɛŋgwɛta, nɛ́ ɓomɔ ɓɛŋ nde, wunɛ kimɔ ɓomɔ. Ɗete, Njambiyɛ ta jɔse wunɛ ɗetinate teɗye wunɛ nyaŋgwɛ mɛbɔnɛ kwa̧ to te.]
MAT.23.15	«Mɛbɔnɛ ta ɓalɔ kɛ to yun, wunɛ ɓotu ɓe teɗya mɛmboŋga nɛ̀ Ɓefarisɛ̧, wunɛ ɓotu ɓe likisi! Kɛto wunɛ kɛ ɓendɔ mɛlandi kɛ̀ nɔ kɛ to mɛɗuku, kɛ̀ mɛkɛndi kɛ to mɛnɛti yí sa̧ mɔ te ɛ ta yeŋsa temɔ nyiŋɛ kɛ misɔn yun. Ma ŋgɛ nyɛ si nyiŋɛ ɗete kɛ́, wunɛ kpalma nje kelɔ nde, a ɓɛ̂ki yɔkɔ ɛ ta kɛ̀ kɛ ɗitɛ te yi ti ɗím kɛ́, kɛto wunɛ ta kelɔ nde, a kêl ɓeya yasi kwa̧ wunɛ mɛŋga yiɓa.
