MAT.1.1	Tone nüri bama pünanaquiti Jesucristo tücañe, bama ipiarientetorrti David y arrti Abraham.
MAT.18.7	Pobrerrümantai bama icu na cürrü oboi ba macocotoca uiche aisamunema nomünantü. Pobrerrtiatai naqui ñoñünrrü uiche aiñanti ba macocotoca. 
MAT.18.8	Sane nauquiche arrtü nehe o napope arrüna uiche aisamute nomünantü, mejor aitüsünasio y arusiompü. Manrrü urria arrtü asüboriquia esati Tuparrü aübu tamantai nehe o tamantai napope. Tapü aichücü aürotü au infierno oto pese oboi manio nehe o napope. 
MAT.18.9	Tapürrtü atapeneca au nomünantü ui nasüto mejor aiquiaübu y arusaübu. Itopiqui manrrü urria arrtü aücatü esati Tuparrü aübu tamantai nasüto, pünanaquirrtü aecatü au infierno oto pese yupu manio torrücaü nasüto.
MAT.18.10	Nantito Jesús:
MAT.18.10	—Tapü chücuasürüpüma aume bama masiomanca icocoromañü. Arrübama angelerrü bacuirara itacuma, nantarrtai aboma esati Tuparrü au napese. 
MAT.18.11	Arrüñü Ñemanauncurratoe Ñoñünrrü isecatü icu na cürrü, nauqui ñataisümunucu eanaqui nomünantü ümo bama iñoconomati Tuparrü.
MAT.18.12	Amonsoi arrüna machepecatarrü: Supiarrtü anati naqui taman ñoñünrrü abe cien niyaburrti nobirraca. Taman omeanaqui ensoro. ¿Acaso chomonconopü uiti manio noventa y nueve eana rroense na ariorrti apacherioti manu taman ensoro omeana yirituca? 
MAT.18.13	Arrtü tabüco uiti, manrrü nipucünuncurrti pünanaqui yucuata manio amonquiatai. 
MAT.18.14	Sane ito arrti Iyaü naqui anati au napese, chirranrrtipü nauqui anati naqui sürotü au infierno eanaqui bama masiomanca icocoromañü.
MAT.18.15	Nantito Jesús:
MAT.18.15	—Arrtü arrti taman aruqui ane causane uiti aemo, aitasurrti peese. Apari nurria aübuti y urasoi isucarüti arrüna churriampü uiti aemo. Arrtü oncoiti arrüna nura, urrian tato naca aübuti. 
MAT.18.16	Tapürrtü chirranrrtipü oncoiti nura, apari tatito aübuti aübu bama maquiataca bama asaramatü causane uiti aemo, na atusi nurria nipünatenti. Rrepente auquiapae yasutiuti nura maniqui aruqui. 
MAT.18.17	Arrtü chirranrrtipü oncoiti, urasoi isucarü namanaiña bama icocoromati Tuparrü. Arrtü chirranrrtipü oncoiti nurarrüma, auqui caüma aiñasü peese pünanaquiti tacana pünanaqui bama chicocoromatipü Tuparrü y bama mayacobraca impuestorrü.
MAT.18.18	‛Ñemanauncurratoe sucanañü aume: Arrüna napacüpücu auna icu na cürrü, valeo ito au napese. Arrüna chichebopü aboi auna icu na cürrü, au napese isiatai chichebopito.
MAT.18.19	‛Sucanañü ito aume: Arrtü aboma torrüma mañoñünca icu na cürrü chepatai ñapensacarrüma nauqui anquimia arrüna nirrantümoma pünanaquiti Iyaü au napese, arrti caüma macumananati ümoma. 
MAT.18.20	Itopiqui auna cauta aboma torrü o trerrüma iyoberabaramacü au nisüri, arrüñü yaca acamanu eanama.
MAT.18.21	Auqui arrti Pedro sürotitü esati Jesús, ñanquirioti pünanaquiti:
MAT.18.21	—Señor, ¿mantucubu veserrü tiene que irrimiaca tato nomünantü ümoti saruqui? ¿Taqui siete veserrü?
MAT.18.22	Aiñumuti Jesús, nanti sane:
MAT.18.22	—Champürrtü sieteatai veserrü. Ta sucanañü aemo: Hasta setenta veserrü siete narrimiacaca tato ümoti aruqui.
MAT.18.23	‛Arrünarrtü üriabucati Tuparrü pasao uiti tacana uiti taman yüriaburrü naqui rranrrü acurrta aübu bama imostoti. 
MAT.18.24	Tanati bacurrtarati. Cuati acamanu esati arrti maniqui taman mosorrü, naqui tarucapae nebequirrti ümoti, sürümana millonerrü. 
MAT.18.25	Arrti maniqui mosorrü champü uiche apacanenti manu nebequirrti. Sane nauquiche arrti maniqui yüriaburrü bacüpuruti nauqui apaventeti aübu nanaiña nicüpostoti, nenarrirrti y namanaiña bama aütorrti nauqui puerurrü apacanenti manu nebequirrti. 
MAT.18.26	Auqui arrti maniqui mosorrü bachesoiyoti nurria esati manqui yüriaburrü, nanti ümoti sane: “Señor, apucüru ichacuñü. Tapü apuraurrücüapae acobrarañü. Tiene que rrapacane nanaiña manu nirrebequi aemo”. 
MAT.18.27	Sane nauquiche arrti maniqui yüriaburrü pucürusuti itacuti, perdonabo uiti manu nebequirrti. Champürrtü ananto acobraratiti. Emecanantito uiti. 
MAT.18.28	Pero arrti maniqui mosorrü nauquiche tanati tato türüpo, icuñunutiti maniqui quiatarrü mosorrü icumpañeruturrti, naqui ebeoti chimiantai ümoti. Iñenotiti auqui nitapeurrti, itumenotiti, tüsaipü aconti uiti. Auqui nanti ümoti: “¡Apaca iñemo arrone nebequi!” 
MAT.18.29	Auqui arrti maniqui icumpañeruturrti bachesoiyoti esati. Nanti ümoti: “¡Apucürü ichacuñü, tapü apuraurrücüapae acobrarañü, tiene que te rrapacane nanaiña nirrebequi aemo!” 
MAT.18.30	Pero arrti champürrtü pucürusuti itacuti. Más bien sürotitü aiñanatiti au preso, cheperrtü bapacarati ümoti arrümanu nebequirriti. 
MAT.18.31	Nauquiche arrtaimia manuma maquiataca mamosoca, orronene nurria ümoma. Aüromatü uraboimia isucarüti maniqui yüriaburrü nanaiña arrüna pasabo uiti. 
MAT.18.32	Nauquiche tütusio ümoti, maemencoti iyoti maniqui mosorrü. Nauquiche tanati acamanu esati, nanti ümoti: “Arrücü mosorrü malorrü. Aucutanu ataquisürücatai iñemo. Sane nauquiche chirracobracapü arrümanu tarucu nebequi iñemo, itopiqui achesoiquia nurria yesañü. 
MAT.18.33	Isiupücü tiene que ataquisürüti aemo maniqui acumpañeru tacana arrüna nataquisürücü iñemo”. 
MAT.18.34	Sane nauquiche bien tüboricoti maniqui yüriaburrü ümoti. Bacüpuruti nauqui carrtigaboti nurria cheperrtü bapacarati nanaiña arrümanu tarucapae nebequirrti.
MAT.18.35	Auqui nantito Jesús:
MAT.18.35	—Sane ito isamutenti Iyaü au napese abaübu, arrtü chirrimiacanapü aboi nomünantü ümoti quiatarrü aübu nanaiña nabausasü.
MAT.19.1	Nauquiche tüchauqui nurarrti Jesús arrüna sane, sürotito auqui Galilea, niyücürrti au manu cürrü nürirri Judea, topü manu sapoco nürirri Jordán. 
MAT.19.2	Cütüpürrü macrirrtianuca süromatü isiuti. Taha urriancama tato uiti sürümanama bama maunrrocono.
MAT.19.3	Acamanu aboma bama fariseorrü. Uturuquimia süromatü esati Jesús nauqui aiñama metorrü ümoti. Ñanquitioma pünanaquiti, namatü:
MAT.19.3	—¿Aensapü puerurrü sopiñoconio suisüposütaiqui, arrtü ane pario na itopiquiche?
MAT.19.4	Aiñumuti Jesús, nanti ümoma:
MAT.19.4	—Tusiatai aume ane corobo sane: “Auqui maübo arrti Tuparrü isamunutiti taman ñoñünrrü ichepe taman paürrü”. 
MAT.19.5	Auqui nanti Tuparrü: “Sane nauquiche arrti yaürrü iñoconotiti yaütoti y nipiacütoti nauqui aürotitü ichepe nicüpostoti. Sane nauquiche caüma tacanarrtü tamantai nacarrüma”. 
MAT.19.6	Champürrtü torrümainqui, tamantai au narrtarrti Tuparrü. Sane nauquiche churriampü aiñoconomacü arrübama tüposo.
MAT.19.7	Auqui arrümanuma fariseorrü ñanquitioma tatito pünanaquiti Jesús:
MAT.19.7	—¿Causanempü acüputi Moisés tücañe nauqui atorri ñome paüca taman nicororrü arrüna uiche atusi ta champürrtü abiqui isiuti naqui nopiquianio?
MAT.19.8	Aiñumuti Jesús, nanti:
MAT.19.8	—Torrio te uiti Moisés nauqui apiñoconio naucüposütaiqui itopiqui tarucu nomünantü aboi. Pero arrüna nirrancarrti Tuparrü auqui maübo ta champürrtü sane. 
MAT.19.9	Sucanañü aume que arrti naqui iñococotati nicüpostoti, arrüna champü causane nisüborirquirri aübuti quiatarrü, y posoti aübu quiatarrü paürrü, chauqui tisamutenti nomünantü. Arrti naqui poso aübu taman paürrü arrüna oncono uiti iquiana, chauqui ito tisamutenti nomünantü.
MAT.19.10	Auqui arrübama ñanunecasarrti Jesús namatü ümoti:
MAT.19.10	—Arrtü sane, manrrü urria chopocapü.
MAT.19.11	Auqui nanti Jesús ümoma:
MAT.19.11	—Chüpuerurrüpü namanaiña atusi ümoma arrüna ñapanauncurrti Tuparrü. Cunauntaña bama torrio ümoma na atusi ümoma. 
MAT.19.12	Sürümanatai arrüna itopiquiche chüposotipü ñoñünrrü: Aboma bama chüposopüma itopiqui auquiapae mamesoma. Aboma chüposopüma itopiqui tübioma. Aboma ito bama chüposopüma itopiqui rranrrüma aserebimia ümoti Tuparrü. Arrti naqui puerurrü asuriuti arrüna sane, tari yasuriurati.
MAT.19.13	Acamanu ito macanama masiomanca esati Jesús, nauqui aiñanti neherrti onüma, y nauqui eanti itacuma. Tapü arrübama ñanunecasarrti icuansomoconoma manuma uiche ayematü manuma masiomanca. 
MAT.19.14	Arrti Jesús nanti ümo manuma ñanunecasarrti:
MAT.19.14	—Asioma sane, tari yebamatü tauna yesañü manuma masiomanca, tapü abasiquia icuatama. Auna cauta üriabucati Tuparrü cuasürüma bama tacana naca bama masiomanca.
MAT.19.15	Auqui iñatati neherrti ita manuma masiomanca, ñacunusüancacarrti ümoma. Auqui caüma sürotitito auqui manu.
MAT.19.16	Taman nanenese, arrti maniqui taman yaürrü sürotitü esati Jesús nauqui anquirioti pünanaquiti, nanti sane:
MAT.19.16	—Buen Maestro, irranca rranquirio apünanaquicü: ¿Isane arrüna urria isamune nauqui aye sobi nisüboriqui esati Bae Tuparrü?
MAT.19.17	Aiñumuti Jesús, nanti sane ümoti:
MAT.19.17	—¿Causane ucanü iñemo buenurrüñü? Tamantiatai Tuparrü naqui anati au napese naqui buenurrü. Arrtü arrianca aye obi au napese esati Tuparrü, aicocosio arrüba yacüpucurrti Tuparrü.
MAT.19.18	Auqui nanti maniqui yaürrü ümoti:
MAT.19.18	—¿Ñacusabe arrüba yacüpucurrti Tuparrü?
MAT.19.18	Aiñumuti Jesús:
MAT.19.18	—Tapü atabaiquia, tapü arrianca ümo quiatarrü paürrü, tapü acusüpüca, tapü apanca apüti quiatarrü. 
MAT.19.19	Anaun ümoti aüma y ümo napacüma. Tari cuasürüti aemo asüborisapa tacana nacua aemoantoe.
MAT.19.20	Aiñumuti maniqui yaürrü, nanti:
MAT.19.20	—Enterurrü arrüba bacüpucuca icocoquio auqui maübo nisunaun. ¿Isane manrrü arrüna faltabo iñemo?
MAT.19.21	Nanti Jesús ümoti:
MAT.19.21	Arrtü arrianca bien urriampae nasüboriqui, acosi tato au napo y aipiaventecasio enterurrü arrüba abe obi. Aitorrimia nicuarrü ümo bama pobrerrü y ariacu isiuñü. Auqui caüma ane nacua au napese uiti Tuparrü.
MAT.19.22	Arrti maniqui yaürrü oncoiti arrümanu nurarrti Jesús sane, süroti tato aübu tarucu nisuchequirrti, itopiqui arrti bien rricurrti.
MAT.19.23	Auqui nanti Jesús ümo bama ñanunecasarrti:
MAT.19.23	—Ñemanauncurratoe sucanañü aume: Cuestarrü ümoti taman rricurrü nauqui aye uiti auna cauta üriabucati Tuparrü. 
MAT.19.24	Manrrü chücuestarrüpü ümo taman camello apasa auqui nirrto cümese. (Arrümanu numuquianrrü camello isiu nisunaun cabayurrü.) Arrti rricurrü cuestarrü aye uiti auna cauta ane nüriacarrti Bae Tuparrü.
MAT.19.25	Nauquiche oncoimia arrüna sane bama ñanunecasarrti Jesús, tarucu nicütobürrüma, namatü ümomantoe:
MAT.19.25	—¿Quitimo naqui puerurrü aye uiti esati Tuparrü?
MAT.19.26	Tapü arrti Jesús asaratitü ümoma, nanti:
MAT.19.26	—Arrübama mañoñünca icuqui nantai cürrü chüpuerurrüpü aisamunema arrüna sane uirrimiantoe, pero arrti Bae Tuparrü puerurrti aisamunenti nanaiñantai.
MAT.19.27	Auqui nanti Pedro ümoti Jesús:
MAT.19.27	—Señor, arrüsomü sopiñocota nanaiña arrüna ane soboi, nauqui sobetü asiucü. ¿Isane arrüna iyebo ñana soboi auqui na subaca asiucü?
MAT.19.28	Aiñumuti Jesús:
MAT.19.28	—Ñemanauncurrratoe sucanañü aume: Au manu tiemporrü ñana coñocono tato nanaiña arrüba omirriante uiti Tuparrü. Auqui caüma arrüñü Ñemanauncurratoe Ñoñünrrü ichümoca au niyesa tronorrü taha auna cauta üriabucati Iyaü. Tapü arraño bama nirranunecasa tiene que autümo ito ichepeñü esati Tuparrü au manio doce tronorrü, nauqui apacurrta ñome manio doce familiarrü auqui Israel. 
MAT.19.29	Arrübama iñocotama niporrüma, yaruquitorrüma, niquiasitorrüma, yaütorrüma, nipiacütorrüma, aütorrüma, nicüpostorrüma niyorrüma auqui niyaca, tiene que asuriuma cien veserrü manrrü. Tiene que ito aye uimia esati Tuparrü au napese auna cauta champü nitacüru nisüboriquirrimia. 
MAT.19.30	Sürümanama bama arucapae ümoma caüma, pero ñana tonema bama champü yaserebiquirrimia. Sürümanama ito bama champütiatai asaratü ümoma caüma, pero ñana tonema bama cusürübo aüromatü esati Tuparrü.
MAT.20.1	Nanti Jesús ümoma: —Arrtü üriabucati Tuparrü oemo, pasao tacana uiti taman patrón. Ane niyorrti bien arubaesa, ane uva cütu uiti. Taman nanenese tansürapae sürotitü apacheti bama trabajadorerrü ümoti nauqui atama nüta uva. 
MAT.20.2	Nauquiche tütabücoma uiti, nanti ümoma: Rrapacaca aume taman denario au sapese. Auqui bacüpuruti ümoma au niyorrti nauqui atrabacama. Süromatü. 
MAT.20.3	Taqui a las nueve tansürü sürotitü au plaza, besüro narrtarrti ümo bama mañoñünca aboma acamanu champü yachücoimia. 
MAT.20.4	Nanti ümoma: “Amecosi apatrabaca au niyo, apata nüta uva. Rrapacaca bien aume”. Auqui arrümanuma mañoñnca süromatito atrabacama ümoti. 
MAT.20.5	Tiñatai toce. Süroti tatito au plaza. Isamutenti tatito isiatai. Isiu nimümürrü taqui a las tres, isiatai tatito uiti. 
MAT.20.6	Tütümümüca a las cinco, süroti tatito au plaza. Tabücoma uiti manuma mañoñünca aboma acamanu tümonsoma, champü yachücoimia. Nanti ümoma: “¿Causane chapatrabacacapü arrüna nanenese?” 
MAT.20.7	Auqui namatü ümoti: “Itopiqui champüti naqui iquianati somü supatrabaca”. Auqui nanti ümoma: “Amecosi au niyo apatrabaca. Rrapacaca bien aume”. 
MAT.20.8	Nauquiche tütobiquia, nanti maniqui iyoche ümoti maniqui capatarrü: “Aiyoberabasama manuma trabajadorerrü y apaca ümoma. Cusürübo apaca ümo manuma aübapae aiñanaimia. Au nitacürurrü apaca ito ümo manuma amoncomantai auqui tansürü”. 
MAT.20.9	Auqui cuamatü manuma aüboqui aiñanaimia a las cinco isiu nimümürrü. Pagabo ümoma taman denario. 
MAT.20.10	Au nitacürurrü pucünuñama ito manuma tücoboi yatrabacacarrüma auqui tansürü, ñaquioncorrümampü pagabo ñana manrrü ümoma. Pero tamantai ito denario pagabo ümoma. 
MAT.20.11	Nauquiche tiyasutiuma manu pagorrü, uratoquioma ümoti maniqui iyoche. 
MAT.20.12	Namatü: “Arrübama aübapae aiñanaimia tamantai horarrü batrabacarama. Pero arrücü apacaca ümoma isiu nisubaiqui arrüna apacaca suiñemo. Abu arrüsomü enterurrü sapese supatrabacaca ümo nipequi surrü”. 
MAT.20.13	Auqui arrti maniqui iyoche nanti ümoti manqui taman: “Saruqui, champürrtü rrencañaca aemo. Ta tüsurapoi asucarücü que rrapacaca taman denario au sapese. 
MAT.20.14	Nani arrüna nacanasa, acosi. Taiquiana urria aemo tanu. Arrüñü irranca rrapaca ümo bama aübatai atrabacama isiu tacana arrüna nirrapacaca aemo. 
MAT.20.15	Arrüñü isamute aübu nimoni isiu arrüna nirranca. ¿Taqui ünantü aemo arrüna tarucu nibeunucu?” 
MAT.20.16	Sane te pasabo ñana: Arrübama champütiatai asaratü ümoma caüma, tonema bama cusürübo aüromatü ñana esati Tuparrü. Tapü arrübama arucapae ümoma caüma, tonema bama champü yaserebiquirrimia ñana.
MAT.20.17	Tanati Jesús isiu cutubiurrü, niyücürrti au Jerusalén. Auqui tasuruma peese uiti bama ñanunecasarrti. Nanti ümoma:
MAT.20.18	—Tusio aume que usaca noecü au Jerusalén. Arrüñü Ñemanauncurratoe Ñoñünrrü tiene que ichorri ümo bama üriatu sacerdoterrü y ümo bama manunecana nüriacarrü. Arrüma caüma namatü tiene que ison. 
MAT.20.19	Tiene que ito aitorrimianamañü ümo bama extranjerurrü. Arrüma caüma emeonomañü, icübairomañü y icüramucunumañü apü curusürrü. Pero yopürücü trerrü naneneca tiene que isübori tato eanaqui macoiñoca.
MAT.20.20	Au manu nanenese arrümanu nicüpostoti Zebedeo sürotü esati Jesús aübu bama torrü aürrü: Arrti Jacobo y arrti Juan. Bachesoiyo esati. 
MAT.20.21	Arrti Jesús ñanquitioti pünanaqui:
MAT.20.21	—¿Isane narriantümo?
MAT.20.21	Aiñumu manu paürrü:
MAT.20.21	—Irranca nauqui aitümocoquio arrüba torrücaü nisaütaiqui apetacucü au napese arrtü üriabucü. Taman au nepanauncu nehe, quiatarrü au nepau nehe.
MAT.20.22	Aiñumuti Jesús:
MAT.20.22	—Chütusiopü aemo isane arrüna anquitio.
MAT.20.22	Auqui nanti ümoti Jacobo y ümoti Juan:
MAT.20.22	—¿Aensapü puerurrü avantabo año ümo nautaquisürücü tacana arrücuatü taquisürücürrü cuabotiqui iñemo?
MAT.20.22	Auqui iñumutama:
MAT.20.22	—Puerurrü somü.
MAT.20.23	Auqui nanti Jesús ümoma:
MAT.20.23	—Ñemanauntu te autaquisürüca ñana tacana arrüna nichaquisürücü. Pero arrümanu naurriantümo nauqui autümo au nepanauncu y nepau niñe, canapae champü nisüriaca nauqui itorrimia aume. Arrtiatai Iyaü naqui puerurrü aitorrimiati ümo bama urria au ñaquioncorrti.
MAT.20.24	Arrümanuma diez maquiataca ñanunecasarrti Jesús oncoimia arrüna sane. Tüboricoma ümoti Juan y ümoti Jacobo. 
MAT.20.25	Auqui tasuruma uiti Jesús namanaiña manuma ñanunecasarrti, nanti ümoma:
MAT.20.25	—Arraño bien tusio aume arrüna sane. Arrübama ane nüriacarrüma icu na cürrü isamutema isiu nirrancarrüma, fuerte nurria yacüpucurrüma. 
MAT.20.26	Pero arraño tapü sane aboi aumeampatoe. Arrti naqui rranrrü ane manrrü nüriacarrti, tari yaserebirati ümo bama maquiataca, 
MAT.20.27	tiene que aisamunutiyü tacana mosorrü ümo bama maquiataca. 
MAT.20.28	Sane ito arrüñü Ñemanauncurratoe Ñoñünrrü champürrtü isecatü nauqui aserebimia iñemo. Ta isecatü nauqui yaserebi ümo bama macrirrtianuca y nauqui itorrimia nisüboriqui tacana bapacatarrü itobo nomünantü uimia.
MAT.20.28	Sane nurarrti Jesús.
MAT.20.29	Pasaoma auqui manu pueblurrü Jericó, niyücürrüma au Jeruslén. Cütüpürrü macrirrtianuca süromatü isiuti Jesús. 
MAT.20.30	Acamanu isiu cutubiurrü aboma torrü mañoñünca tümonsoma, supusuma. Oncoimia que pasaoti Jesús auquimanu esaquimia. Tosibicoma, namatü:
MAT.20.30	—¡Señor, arrücü eanaqui nesarrti familiarrü yüriaburrü David, apucüru suichacu!
MAT.20.31	Auqui cuasoma ui manuma macrirrtianuca, na etayoimia. Pero arrüma manrrü nitosibirrimia:
MAT.20.31	—¡Señor, arrücü eanaqui nesarrti familiarrü yüriaburrü David, apucürü suichacu!
MAT.20.32	Auqui arrti Jesús tochencoti. Tasuruma uiti. Cuamatü esati. Nanti ümoma:
MAT.20.32	—¿Isane naurriantümo?
MAT.20.33	Arrüma iñumutama:
MAT.20.33	—¡Señor, suirranca sumasara tato!
MAT.20.34	Arrti Jesús pucürusuti itacuma. Iñentati nistorrüma. Au manu rratorrü asarama tato nurria.
MAT.20.34	Auqui süromatü isiuti Jesús.
MAT.21.1	Tütaboma saimia Jerusalén, iñataimia au manu pueblurrü nürirri Betfagé, cutaquiquibo manu yiriturrü nürirri Olivos. Auquimanu bacüpuruti Jesús ümo bama torrüma ñanunecasarrti. 
MAT.21.2	Nanti ümoma:
MAT.21.2	—Amecosi au ba ta poca abe taha ocümenu. Acamanu ane taman bururrü paüma, tomoeno aübu naübosimia esa. Apitaquisüna y apiquiasio tauna iñemo. 
MAT.21.3	Arrtü anati naqui manitana aume, amucanaño ümoti sane: “Arrti Señor rranrrti ocupabo uiti”. Auqui caüma autorri aume.
MAT.21.4	Pasabo nanaiña arrüna sane, nauqui acoco arrümanu corobo tücañe uiti taman profetarrü. Nantü sane:
MAT.21.5	Amucanaño ümo manuma pohoso au Sión:
MAT.21.5	Amasasatü, arrti naqui yüriaburrü aume cuati aubesa tacanarrtü taquisürütiatai.
MAT.21.5	Cuati chacu taman naübosi bururrü.
MAT.21.6	Auqui arrümanuma torrü ñanunecasarrti, isamutema isiu arrüna yacüpucurrti Jesús ümoma. 
MAT.21.7	Cuatü uimia manu bururrü aübu naübosirri. Iñatama naibirrimia chacu manu naübosirri nauqui aüroti Jesús chacu. 
MAT.21.8	Tarucapae nubiqui macrirrtianuca. Ipiacumainquiatama nicüburrirrimia isiu cutubiurrü cümenuti Jesús. Maquiataca maneonoma nasusüca, matüsünanama nasu mutacürrü, iñatama ito isiu cutubiurrü. 
MAT.21.9	Arrübama cusürübo y arrübama cuamatü isiuti Jesús, tosibicoma sane, namatü:
MAT.21.9	—¡Gloria ümoti naqui yüriaburrü eanaqui nesarrti familiarrü David tücañe! ¡Curusüoti uiti Tuparrü naqui cuatü au nürirrti Señor! ¡Uiñanaunati Tuparrü au napese!
MAT.21.10	Nauquiche iñataiti Jesús au Jerusalén, enterurrü macrirrtianuca cütobüsoma. Aboma bama ñanquitioma:
MAT.21.10	—¿Ñacutipü naqui ñoñünrrü?
MAT.21.11	Na arrümanuma macrirrtianuca cuamatü aübuti, namatü:
MAT.21.11	—Tonenti naqui profetarrü Jesús auqui pueblurrü Nazaret, auqui manu cürrü Galilea. 
MAT.21.12	Auqui arrti Jesús sürotipo au niporrti Tuparrü. Penecoma türüpo uiti manuma amoncoma acamanu mapaventecanama y macomporarama ausüratai. Ipemünacaniontiño nimesa bama macampiara monirri aübu macrirrtianuca y arrümanio nisiya bama mapaventecana nututaquiquia. 
MAT.21.13	Nanti ümoma:
MAT.21.13	—Nantü au Nicororrü sane: “Arrüna nipo urriante ümo meancarrü”. Pero arraño apiñata tacanarrtü nipo bama macusüpüca.
MAT.21.14	Au manu niporrti Tuparrü cuamatü esati Jesús bama supusu y arrübama chüpuerurrüpü amema. Urriancama tato uiti. 
MAT.21.15	Arrümanuma üriatu sacerdoterrü ichepe manuma manunecana nüriacarrü arrtaimia arrümanio milagrorrü omirriante uiti Jesús. Oncoimia ito nitosibi masiomanca au niporrti Tuparrü, bama namatü sane: “¡Gloria ümoti aütorrti yüriaburrü David!” Sane nauquiche tüboricoma uirri. 
MAT.21.16	Namatü ümoti Jesús:
MAT.21.16	—Onsoi arrürabotü ñanitacarrüma.
MAT.21.16	Aiñumuti Jesús:
MAT.21.16	—Ñoncoi. ¿Champümo tülehebo año arrüna nantü icu Nicororrü? Nantü sane:
MAT.21.16	Obi te Tuparrü iñanaunumacü bama masiomanca, hasta arrübama aübo aboma icu cürrü.
MAT.21.17	Auqui onconoma macrirrtianuca uiti Jesús. Sürotitü au Betania. Acamanu barücüboti.
MAT.21.18	Tansürapae basücübücoti tato Jesús au Jerusalén. Isiu cutubiurrü cürüpüoti. 
MAT.21.19	Auqui asaratitü ümo taman suese higuera ane abeu cutubiurrü. Sürotitü esa, nirrancarrtipü atamünati nütarrü. Pero champüatai. Pururrtai nasurrü. Sane nauquiche nanti ümo:
MAT.21.19	—¡Tari chanantopü ütaca tato!
MAT.21.20	Au manu rratorrü süübu manu suese. Arrübama ñanunecasarrti nauquiche arrtaimia arrüna sane, cütobüsoma. Ñanquitioma pünanaquiti, namatü:
MAT.21.20	—¿Causanemo contoapae tüsüübo manu suese higuera?
MAT.21.21	Aiñumuti Jesús:
MAT.21.21	—Ñemanauncurratoe sucanañü aume: Arrtü bien amoncatü Tuparrü, arraño ito puerurrü apisamune arrüna sane, hasta manrrü. Puerurrü ito amucanaño ümo taman yiriturrü: “¡Aiquiaübusü auquina, acosi au narubaitu turrü!” Arrümanu yiriturrü sürotü. 
MAT.21.22	Enterurrü apanquiquia au napeanca y arrtü bien amoncatü ümoti Tuparrü, torrio aume.
MAT.21.23	Auqui iñataimia au Jerusalén. Sürotipo Jesús au niporrti Tuparrü. Acamanupo manunecanati ümo macrirrtianuca. Auqui cuamatü esati bama üriatu sacerdoterrü y arrübama mamayoreca israelitarrü, ñanquitioma pünanaquiti:
MAT.21.23	—¿Quiti uiche aitorrimia aemo üriacabocü nauqui aisamune arrüna sane?
MAT.21.24	Aiñumuti Jesús:
MAT.21.24	—Surapoi ausucarü, arrtü apiñumuta arrüna irranca rranquirio amopünanaqui. 
MAT.21.25	¿Quiti uiche aicüpurutiti Juan nauqui aunimiati? ¿Taqui uiti Bae Tuparrü o ui bamantai mañoñünca?
MAT.21.25	Auqui caüma ñanquitioma pünanaquimiantoe, namatü:
MAT.21.25	—Arrtü usucana oñü que uiti Bae Tuparrü, entonces arrti Jesús caüma nanti oemo: “Bueno, ¿causane chapicococatipü?” 
MAT.21.26	Arrtü usucana oñü que ui bamantai mañoñünca, tüboricoma macrirrtianuca oemo. Itopiqui tüsaipü enterurrümantai icocotama que arrti Juan profetarrti tücañe.
MAT.21.27	Sane nauquiche namatü ümoti Jesús:
MAT.21.27	—Champürrtü tusio suiñemo.
MAT.21.27	Auqui nanti Jesús ümoma:
MAT.21.27	—Arrüñü ito chüpuerurrüpü suraboi ausucarü quiti uiche atorri iñemo isüriacabo, nauqui puerurrü isamune arrüna sane.
MAT.21.28	Nantito Jesús ümoma:
MAT.21.28	—¿Aburaño ümo arrüna sane? Anati taman ñoñünrrü, aboma torrüma aütorrti. Nanti ümoti maniqui taman: “Isaü, acosi caüma atrabaca au niyo, ata uva”. 
MAT.21.29	Arrti maniqui aütorrti nanti: “No, chirrancapü”. Pero auqui campiabo ñapensacarrti, sürotitü atrabacati. 
MAT.21.30	Arrti maniqui yaütoti sürotitito esati maniqui quiatarrü aütorrti, icüpurutitito ariorrti atanti uva au niyorrti. Arrti maniqui aütorrti aiñumuti: “Urria taita, yecatü rratrabaca”. Pero champürrtü sürotitü.
MAT.21.31	‛¿Ñacuti uturuqui manuma torrü icocota arrüna yacüpucurrti maniqui yaütorrüma?
MAT.21.31	Aiñumuma:
MAT.21.31	—Arrti maniqui yeboti atrabacati.
MAT.21.31	Auqui nanti Jesús ümoma:
MAT.21.31	—Ñemanauncurratoe sucanañü aume: Arrübama mayacobraca impuestorrü y arrüba paüca opichübañantai ümo mañonünca tiene que aye uimia primero amopünanaqui auna cauta ane nüriacarrti Tuparrü. 
MAT.21.32	Itopiqui arrti Juan Bautista cuati tücañe anunecati causane nauqui urria nausüboriqui aübuti Tuparrü. Pero arraño chapicocotapü nurarrti. Arrübama mayacobraca impuestorrü y arrüba paüca opichübañantai ümo mañoñünca icocotama ñanunecacarrti Juan. Arraño amarrtai arrüna sane, pero ta chapiñorroncocañopü y chapicocotapü.
MAT.21.33	‛Amonsoi nurria arrüna quiatarrü machepecatarrü: Anati taman ñoñünrrü naqui mana cütu uva au niyorrti. Masamunuti siercu itacu. Urrinate ito taman babetarrü canrrü uiti, arrüna cauta ataichome uva iyo niyürrü. Masamunutito arrüna cauta puerurrü ariorrti ape acuirati itacu niyorrti. ‛Auqui torrio uiti manu niyorrti ümo bama trabajadorerrü nauqui atocoma acuirama itacu. Arrti cübüsoti au quiatarrrü narücüquirri. 
