MAT.1.1	LLYVER 
MAT.24.45	Pwy wrth hyny ’sy was ffyddlon a’ 
MAT.24.46	Gwyn ei vyd y gwas hwnaw yr vn pan ddel ei Arglwydd ei caiff yn gwneythy
MAT.24.47	Yn wir y dywedaf ywch’ y gesyt ef 
MAT.24.48	And a’s dyweit y gwas drwc hwnw yn ei galon, Ef a 
MAT.24.49	a’ dechrae 
MAT.24.50	ef a ddaw Arglwydd y gwas hwnaw 
MAT.24.51	ac ef a ei gw
MAT.25.1	YNO y cyffelypir teyrnas nef
MAT.25.2	A’ phemp o hanynt oedd yn 
MAT.25.3	Yr 
MAT.25.4	A’r 
MAT.25.5	Ac a’r priawd yn 
MAT.25.6	Ac 
MAT.25.7	Yno y cyfodawdd yr oll 
MAT.25.8	A’r 
MAT.25.9	A’r 
MAT.25.10	A’ thra oedent yn myned i bryny, y daeth y priawd: a’r ei oedd yn parat, aethon i mywn y gyd ac ef i’r 
MAT.25.11	Gwedy hyny y daeth y 
MAT.25.12	Ac ef a atepawdd ac a ddyvot, Yn wir y dywedaf ywch’, nid adwaen i 
MAT.25.13	Gwiliwch am hyny: can na wyddoch na ’r dydd na ’r awr y daw Map y dyn. 
MAT.25.14	Can ys 
MAT.25.15	Ac i vn y rhoddes bemp 
MAT.25.16	Yno hwn a 
MAT.25.17	A’r vnffynyt, hwn a 
MAT.25.18	An’d hwn a 
MAT.25.19	A’ gwedy llawer o amser, y daeth Arglwydd y gweision hyny, ac a gyfrifawdd a’ hwy. 
MAT.25.20	Ac yno y daeth hwn a 
MAT.25.21	Yno y dyvot ei Arglwydd wrthaw, 
MAT.25.22	A’ hwn a 
MAT.25.23	Ei Arglwydd a ddyuot wrthaw, Da 
MAT.25.24	Yno hwn a 
MAT.25.25	ac am hyny ydd ofneis, ac ydd aethym ac a guddieis dy dalent yn y ddaear: wel 
MAT.25.26	A’ ei Arglwydd a atepawdd ac a ddyvot wrthaw, 
MAT.25.27	Am hyny y dylesyt ddodi 
MAT.25.28	Cymerwch am hyny y dalent y arnaw, a’ rhowch i hwn ’sy ganthaw ddec talent. 
MAT.25.29	Can ys i bob vn a vo ganthaw, y rhoddir, ac ef gaiff ehelaethrwydd, ac 
MAT.25.30	Am hyny 
MAT.25.31	A’ phan ddel Map y dyn yn ei ’ogoniant a’ ei oll Angelion sainct
MAT.25.32	A’ geyr y vron ef y cynnullir 
MAT.25.33	Ac ef a’ osyt y devait ar ei dde
MAT.25.34	Yno y dyweit y Brenhin wrth yr ei 
MAT.25.35	Can ys‐bum 
MAT.25.36	 noeth, a dilladesoch vi: bum 
MAT.25.37	Yno ydd atep yr ei cyfion yddo, gan ddywedyt, Arglwydd, pa bryd ith welsam yn newynoc, ac ith 
MAT.25.38	A’ pha bryd ith welsam yn 
MAT.25.39	Ai pa bryd ith welsam yn glaf, nei yn‐carchar, ac yd aetham atat? 
MAT.25.40	A’r Brenhin a etyp, ac a ddyweit wrthwynt, Yn wir y dywedaf ychwi, yn gymeint a gwneythy
MAT.25.41	Yno y dyweit ef wrth yr ei 
MAT.25.42	Can ys bum newynoc, ac ny roesoch y my vwyt: bu ar naf sythet, ac ny roesoch ymy ddiot: 
MAT.25.43	bum 
MAT.25.44	Yno ydd atepant wy hefyt yddo, gan ddywedyt, Arglwydd, pa bryd ith welsam yn newynoc, ai yn sychedic, ai yn 
MAT.25.45	Yno ydd atep ef yddwynt, ac y dywait, Yn wir y dywedaf wrthych, yn gymeint na’s gwnethoch ir vn o’r ei lleiaf hyn, 
MAT.25.46	A’r ei hyn aant i boen dragyvythawl, ar ei cyfion i 
MAT.26.1	AC e ddarvu, gwedy i’r Iesu ’orphen y gairie hyn oll, ef a ddyvot wrth ei ddiscipulon, 
MAT.26.2	Chwi wydddoch, mae o 
MAT.26.3	Yno ydd ymgynnullawdd yr Archoffeiriait a’r Scrivennyddion, a’ 
MAT.26.4	ac a ymgyggoresont py vodd y dalient yr Iesu trwy 
MAT.26.5	Eithyr wynt a ddywetsont, Nyd ar yr ’wyl, rac bod cynnwrf ym‐plith y 
MAT.26.6	Ac val ydd oedd yr Iesu ym‐Bethania yn-tuy Simon ’ohanglaf, 
MAT.26.7	e ddaeth ataw wreic, ac gyd a hi 
MAT.26.8	A’ phan weles ei ddiscipulon, wy a 
MAT.26.9	can ys ef al’esit gwerthy er irait hwn er l’awer, a’i roddi ef ir tlotion. 
MAT.26.10	A’r Iesu a wybu, ac a ddyvot wrthwynt, Paam ydd ych yn 
MAT.26.11	Can ys y tlodion a gewch yn 
MAT.26.12	Can ys lle y tywalltawdd hi yr irait hwn ar vyg‐corph, er mwyn 
MAT.26.13	Yn wir ydywedaf wrthych, Pa le bynac y precether yr Euangel hon yn yr oll vyt, hyn yma hevyt a wnaeth hi, a venegir er coffa am denei, 
MAT.26.14	Yno yr aeth vn o’r dauddec, yr hwn a elwit Iudas Iscariot, at yr Archoffeiriait, 
MAT.26.15	ac a ddyvot 
MAT.26.16	Ac o hynny allan, y caisiawdd ef amser‐cyfaddas yw vradychy ef. 
MAT.26.17	Ac ar y 
MAT.26.18	Ac yntef a ddyuot, Ewch ir dinas 
MAT.26.19	A’r discipulon a wnaethant mal y gorchmynesei ’r Iesu yddwynt, ac a paratoesont y Pasc. 
MAT.26.20	Ac gwedy ei mynet hi yn 
MAT.26.21	Ac mal ydd oeddent yn bwyta, y dywedawdd, Yn wir y doedaf wrthych, y bradycha vn o hanawch vyuy. 
MAT.26.22	Yno yr aethant yn 
MAT.26.23	Ac ef a atepawdd ac a ddyvot, Yr hwn a 
MAT.26.24	Diau Map y dyn a gerdda, mal y mae yn ercrivenedic o hanaw, anid gwae ’r dyn hwnaw, trwy ’r hwn y bradycher Map y dyn: 
MAT.26.25	Yno Iudas yr hwn y bradychawdd ef, a atepawdd ac a ddyvot, Ai myvi yw ef, 
MAT.26.26	Ac val yr oeddynt yn bwyta, e gymerth yr Iesu ’r bara: a’ gwedy iddaw 
MAT.26.27	Ac ef a gymerth y 
MAT.26.28	Can ys hwn yw vy‐gwaet 
MAT.26.29	Mi ddywedaf wrthych, nad yfwyf o hynn allan o’r ffrwyth hwn 
MAT.26.30	A’ gwedy yddwynt 
MAT.26.31	Yno y dyvot yr Iesu yr wrthynt, Chwychwi oll a 
MAT.26.32	Eithyr gwedy ’r adgyvodwyf, ir af och blaen ir Galilea. 
MAT.26.33	Ac Petr atepawdd, ac a ddyvot wrthaw, Pe 
MAT.26.34	Yr Iesu a ddyvot wrthaw, Yn wir y dywedaf wrthyt, mae yr nos hon, cyn 
MAT.26.35	Petr a ddyvot wrthaw, Pe gorvyddei i mi varw gyd a thi, eto ny’th wadaf. Ar vn modd hefyt y dyvot yr oll ddiscipulon. 
MAT.26.36	Yno ydd aeth yr Iesu gyd ac wynt i van a elwit Gethsemane, ac a ddyvor wrth y discipulon. Eisteddwch yma, 
MAT.26.37	Ac ef a gymerth Petr, a’ dau‐vap Zebedeus ac a ddechreawdd 
MAT.26.38	Yno y dyvot 
MAT.26.39	Ac ef aeth ychydic pellach, ac a gwympodd ar ei wynep, ac y weddyawdd, can ddywedyt, 
MAT.26.40	Yno y daeth at y discipulon, ac ei cafas wy yn cyscu, ac a ddyvot wrth Petr, Paam? a ny allech’ wiliaw vn awr gyd a mi? 
MAT.26.41	Gwiliwch, a’ gweddiwch rac eich my ned 
MAT.26.42	Ef aeth trachefn yr ailwaith ac a weddiawdd, can ddywedyt 
MAT.26.43	Ac ef a ddeuth, ac y cavas wy yn cyscu trachefyn: can ys ei llygait wy oedd drymion, 
MAT.26.44	Ac ef ei gadawodd wy ac aech ymaith drachefyn, ac a weddiawdd y trydedd waith, can ddywedyt yr vn gairiae. 
MAT.26.45	Yno y daeth ef at ei discipulon, ac a ddyvot wrthynt, Cuscwch bellach a’ gorphwyswch: 
MAT.26.46	Cyvodwch, awn: nycha, y mae geyr llaw yr hwn a’m bradycha. 
MAT.26.47	Ac ef eto yn dywedyt 
MAT.26.48	A’ hwn aei bradychawdd ef, a royddesei arwydd yddynt, can ddywedyt, Pwy’n bynac a gysanwyf, hwnw ytyw, deliwch ef. 
MAT.26.49	Ac yn ebrwydd e ddaeth at yr Iesu, ac a ddyvot, 
MAT.26.50	A’r Iesu a ddyvot wrthaw, Y 
MAT.26.51	A’ 
MAT.26.52	Yno y dyvot yr Iesu wrthaw, Dod dy gleddyf yn ei 
MAT.26.53	Ai wyti yn tybiet, na’s gallaf yr awrhon 
MAT.26.54	Can hyny pa vodd y cyflawnir yr Scrythurae 
MAT.26.55	Yn yr awr hono y dyvot yr Iesu wrth y durfa, Chwi a ddeuthoch allan megis 
MAT.26.56	A’ hyn oll awnaethpwyt, er cyflawny’r Scrythure ’r Prophwyti. Yno yr oll ddiscipulon ei gadasant, ac a 
MAT.26.57	Ac wynt a ddaliesant yr Iesu, ac aethant ac ef at Caiaphas yr Archoffeiriat, lle ydd edd yr 
MAT.26.58	Ac Petr y cynlynawdd ef o hirbell yd yn 
MAT.26.59	A’r Archoffeirieit a’r Henureit, a’r oll 
MAT.26.60	Ac ny
MAT.26.61	ac a ddywedesont, Hwn yma a ddyvot, Mi allaf 
MAT.26.62	Yno y cyfodes yr Archoffeiriat ac a ddyvot wrthaw, A atepy di ddim? Pa peth 
MAT.26.63	A’r Iesu a dawodd. Yno ydd atepawdd yr Archoffeiriat, ac a ddyvot wrthaw, Mi ath 
MAT.26.64	Yr Iesu a ddyvot wrthaw, Tu 
MAT.26.65	Yno y 
MAT.26.66	Peth dybygwch chwi? Wy a atepesant, can ddywedyt, Mae ef yn 
MAT.26.67	Yno y poeresont wy yn ei wynep, ac ei 
MAT.26.68	gan ddywedyt, Prophwyta i ni, Christ, pwy yw hwn ath trawodd? 
MAT.26.69	Petr oedd yn eistedd 
MAT.26.70	Ac ef a watawdd geyr ei bron wy oll, ac a ddyvot, Ny’s gwnn beth ddywedy. 
MAT.26.71	A’ phan aeth ef allan ir porth, y gwelawdd 
MAT.26.72	A’ thrachefyn ef a’ wadawdd 
MAT.26.73	Ac ychydic gwedy, y deuth attaw ’rei oedd yn sefyll geyr llaw, ac a ddywedesont wrth Petr, Yn wir ydd 
MAT.26.74	Yno y drechreawdd ef 
MAT.26.75	Yno y cofiawdd Petr ’airie ’r Iesu yr hwn a ddywedesei wrthaw, Cyn canu yr ceilioc, tu a’m gwedy deirgwaith. Yno ydd aeth ef allan ac ydd wylawdd yn 
MAT.27.1	A’PHAN ddeuth y borae, ydd ymgyggorawdd yr oll Archoffeiriait a’ Henurieit y popul yn erbyn yr Iesu, er ei roddy i angae, 
MAT.27.2	ac aethant ymaith ac ef yn rhwym, ac ei rhoeant Pontius Pilatus y 
MAT.27.3	Yno pan weles Iudas aei bradychawdd, ei 
MAT.27.4	gan ddywedyt, Pechais can vradychy gwaet gwirian. Wythae a ddywydesont, Peth yw hyny i ni? edrych ti. 
MAT.27.5	Ac wedy yddaw davly yr ariant yn y Templ, ef a ymadawodd, ac aeth, ac a ymgrogawdd. 
MAT.27.6	A’r Archoffeiriait a gymeresont yr ariant, ac a ddywedesont, Nyd cyfreithlawn i ni ei bwrw wy yn y 
MAT.27.7	A’ gwedy yddynt ymgydgyggori, wy brynesont ac wynt vaes 
MAT.27.8	Ac am hyny y gelwir y maes hwnw 
MAT.27.9	(Yno y cwplawyt yr hynn a ddywedpwyt trwy Ieremias y Prophwyt, y ddywait, Ac wynt a gymersont ddec ar ucain ariant, gwerth y gwerthedic, yr hwn a brynesont gan plant ’r Israel. 
MAT.27.10	Ac wynt eu roesont am vaes y crochenydd, megis y gossoddes yr Arglwydd ymy) 
MAT.27.11	A’r Iesu a safawdd geyr bron y 
MAT.27.12	A’ phan gyhuddwyt ef can yr Archoffeiwait ar Henurieit, nyd atepawdd ef ddim. 
MAT.27.13	Yno y dyvot Pilatus wrthaw, A ny chlywy veint o pethae y maent wy yn ei roi yn dy erbyn? 
MAT.27.14	Ac y nyd atepawdd ef yddo i vn gair, val y rryweddawdd y llywawdr yn vawr. 
MAT.27.15	Ac ar yr wyl 
MAT.27.16	Yno ydd oedd ganthwynt garcharor 
MAT.27.17	A’ gwedy yddynt ymgasclu yn‐cyt, Pilatus a ddyvot wrthynt, Pa vn avynwch i mi ellwng y chwi, Barabas ai Iesu yr hwn a elwir Christ? 
MAT.27.18	(canys ef a wyddiat 
MAT.27.19	Ac ef yn eistedd ar yr ’orseddvainc, ei wraic a ddanvonawdd attaw gan ddywedyt, Na vit i ti awnelych ar 
MAT.27.20	A’r archoffeiriait a’r Henureit 
MAT.27.21	A’r llywyawdur a atepawdd, ac a ddyvot wrthynt, Pa vn o’r ddau a vynwch i mi ei ellwng ychwy? Wyntae a ddywetsant Barabbas. 
MAT.27.22	Pilatus a ddyvot wrthynt Peth awnaf ynte i Iesu yr hwn a elwir Christ? Wy oll a ddywedesont wrthaw, 
MAT.27.23	Yno y dyvot y llywyawdur, An’d pa ddrwc y wnaeth ef? Yno y llefesont yn vwy, can ddywedyt, 
MAT.27.24	Pan welawdd Pilatus na thycyei dim yddaw anid bot mwy o gynnwrf 
MAT.27.25	A’r oll popul a atepawdd ac a ddyvot, 
MAT.27.26	Ac val hynn y gellyngawdd ef Barabas yddynt, ac ef a 
MAT.27.27	Yno milwyr y llywiawdr a gymeresont yr Iesu ir dadlaeduy, ac a gynullesont attaw yr oll 
MAT.27.28	ac ei 
MAT.27.29	ac a blethesont coron ddrain ac ei dodesont ar ei benn, a’ chorsen yn ei law ddeheu, ac a blycesont ei glinie geir ei vron, ac ei gwatworesont, gan ddywedyt, 
MAT.27.30	ac wynt a boeresont arnaw, ac gymersont gorsen ac ei 
MAT.27.31	A’ gwedy yddwynt ei watwary, wy ei 
MAT.27.32	Ac a’n hwy yn 
MAT.27.33	A’ phan ddaethan i le a elwit 
MAT.27.34	Wy roesont yddaw yw yfet vinegr yn gymyscedic a bystyl: a’ gwedy yddo ei 
MAT.27.35	Ac wedy yddynt y 
MAT.27.36	Ac wy a eisteddesant ac ei gwiliesont ef yno. 
MAT.27.37	Ac ’osodesont hefyt vch ei benn ei achos yn escrivenedic 
MAT.27.38	Yno y crogwyt ddaw leitr y gyd ac ef, vn ar ddehau, ac arall ar 
MAT.27.39	A’r ei oedd yn mynet heibio, y caplesant ef, gan 
MAT.27.40	a’ dywedyt, Ti yr hwn a ddestrywi ’r Tem
MAT.27.41	A’r vn modd yr Archoffeiriait y gwatworesont ef y gyd a’r Scrivenyddion, a’r Henurieit, 
MAT.27.42	Ef a waredawdd eraill, 
MAT.27.43	Mae e yn ymddiriet 
MAT.27.44	Yr vn peth hefyt a 
MAT.27.45	Ac o’r chwechet awr, y bu tywyllwch ar yr oll 
MAT.27.46	Ac yn cylch y nawved awr y llefawdd yr Iesu a llef vchel, gan ddywedyt, 
MAT.27.47	A’r ei o’r sawl oedd yn sefyll yno, pan glywsont, a ddywedesont, Mae hwn yn galw 
MAT.27.48	Ac yn y van vn o hanynt o redawdd, ac a gymerth 
MAT.27.49	Ereill a ddywesont, Gad 
MAT.27.50	Yno y llefawdd yr Iesu drachefyn a llef vchel, ac ef a vaddeuawdd yr yspryt. 
MAT.27.51	A’ nycha, l’en y Templ a rwygwyd yn ddau, or cwr vcha yd yr isaf, a’r ddaear a grynawdd, a’r main a 
MAT.27.52	a’r beddae a ymogeresont, a’ llawer o gyrph y Sainct yr ei a gyscesent, a godesent, 
MAT.27.53	ac a ddaethant allan o’r beddae ar ol y gyfodiat ef, ac aethant y mewn ir dinas sanctaidd, ac a ymddangosesont i lawer. 
MAT.27.54	Pan weles y cann‐wriad, ar ei oedd gyd ac ef yn gwylie
MAT.27.55	Ac ydd oedd yno lawer o wragedd, yn edrych 
MAT.27.56	Ym‐plith yr ei ydd oedd Mair Magdalen, a’ Mair mam Iaco ac Ioses, a’ mam plant Zebedeus.
MAT.27.57	A’ gwedi y myned hi yn hwyr, y daeth gwr goludawc o Arimathaia, a’ ei enw Ioseph, yr hwn vesei yntef yn ddiscipul ir Iesu. 
MAT.27.58	Hwn aeth at Pilatus, ac archodd gorph yr Iesu. Yno y gorchymynawdd Pilatus 
MAT.27.59	Ac velly y cymerth Ioseph y corph, ac ei 
MAT.27.60	ac ei dodes yn ei 
MAT.27.61	Ac ydd oedd Mair Vagdalen a’r Mair arall yn eystedd gyferbyn a’r bedd.
MAT.27.62	A’r dydd dranoeth yn ol parotoat 
MAT.27.63	ac a ddywedesont, Arglwydd, e ddaw in cof 
MAT.27.64	gorchymyn gan hyny gadw y 
MAT.27.65	Yno y dyvot Pilatus wrthyn, ymae genwch wyliadwriaeth: ewch, a’ diogelwch val y gwyddoch. 
MAT.27.66	Ac wy aethan, ac a ddiogelesant y bedd 
MAT.28.1	YNO 
MAT.28.2	A’ nycha, y bu dayar‐gryn mawr: can ys descen
MAT.28.3	A’ ei 
MAT.28.4	A’ rac y ofn ef yd echrynawdd y ceidweid, ac aethon val yn veirw. 
MAT.28.5	A’r Angel y atepawdd ac a ddyvot wrth y gwragedd, Nac ofnwch: canys gwn mai caisio ydd ych yr Iesu yr hwn a 
MAT.28.6	ny
MAT.28.7	ac ewch a’r ffrwst, a’ dywedwch y’w ddiscipulon gyfody o hanaw o veirw: a’ 
MAT.28.8	Yno ydd aethant yn ebrwydd o’r 
MAT.28.9	Ac a ’n hwy yn myned y venegy y’w ddiscipulon 
MAT.28.10	Ac wy a ddaethant, ac a ymavlesont yn ei draet, ac ei addolesont. Yno y dyvot yr Iesu wrthwynt, Nac ofnwch. Ewch, 
MAT.28.11	A’ gwedy y myned hwy, 
MAT.28.12	Ac wy a yngynullesont y gyd a’r 
MAT.28.13	gan ddywedyt, Dywedwch, E ddaeth ei ddlscipulon o hyd nos, ac y lladratesont ef a ni yn cyscu. 
MAT.28.14	Ac a chlyw y 
MAT.28.15	Ac wy a gymeresont yr arian
MAT.28.16	Yno yr aeth yr vn discipul ar ddec i Galilaea, i’r mynyth lle y 
MAT.28.17	A’ phan welsant ef, yr addolasont 
MAT.28.18	A’r Iesu a ddaeth, ac a ymadroddawdd wrthwyn, gan ddywedyt, E roed i mi oll 
MAT.28.19	Ewch gan hyny, a’ dyscwch 
MAT.28.20	gan ddyscy yddwynt gadw bop peth a’r a ’orchymynais y chwy: a’ 
MRK.1.1	DECHRAE ’r Euangel Iesu Christ vap duw: 
MRK.1.2	mal ydd yscrifenir yn y Prophwyti, 
MRK.1.3	Llef yr vn yn l’efain yn y diffaith, 
MRK.1.4	Ioan oedd yn batyddyaw yn y 
MRK.1.5	Ac e daeth allan attaw oll wlad Iudaia, ac wy o Caesusalem, ac ei bedyddiwyt oll ganto yn afon Iorddonen, can y
MRK.1.6	Ac e wiscit Ioan o vlew camel, a’ gwregis croen o 
MRK.1.7	ac a precethei gan ddywedyt, 
MRK.1.8	Diau 
MRK.1.9	Ac e ddarvu yn y dyddiae hynny, 
MRK.1.10	Ac yn ebrwydd gwedy iddo ddyvot i vyny
MRK.1.11	Yno y bu 
MRK.1.12	Ac yn y man y 
MRK.1.13	Ac ef a vu yno yn y diffeith
MRK.1.14	A’ gwedy darvot rhoddy Ioan 
MRK.1.15	a’ dywedyt: 
MRK.1.16	Ac val y rhodiei ef wrth vor Galilaea, ef a welawdd Simon, ac Andreas ei vrawt, yn bwrw rhwyt ir mor, (can ys pyscotwyr oeddynt.) 
MRK.1.17	Yno y dyvot yr Iesu wrthynt, 
MRK.1.18	Ac yn y van y maddeuosont ei rhwytae, ac y dylynesont ef. 
MRK.1.19	A’ gwedy iddaw vyned ychydic 
MRK.1.20	Ac yn yman y galwodd ef wy: ac wy a adawsant ei tad Zebedeus yn y llong y gyd a’ei gyfloc-ddynion, ac aethant ffwrdd ar y ol ef.
MRK.1.21	Yno ydd aethont y 
MRK.1.22	Ac 
MRK.1.23	Ac ydd oedd yn y Synagog wy ddyn ac ynthaw yspryt aflan, ac ef a lefawdd, gan ddywedyt, 
MRK.1.24	Och, pa beth ’sy i ni a wnelom a thi r Iesu o Nazret? 
MRK.1.25	A’r Iesu a ei 
MRK.1.26	A’r yspryt aflan y rhwygodd ef, ac a wae ddawdd a llef 
MRK.1.27	Ac wy oll a 
MRK.1.28	Ac yn ebrwydd ydd aeth son am danaw dros yr oll wlat yn‐cylch Galilaea.
MRK.1.29	Ac 
MRK.1.30	Ac ydd oedd 
MRK.1.31	Ac ef a ddaeth ac ei cymerth hi 
MRK.1.32	Ac wedy yhwyrhay hi, a’ myned haul i 
MRK.1.33	A’r oll ddinas a ymgasclodd 
MRK.1.34	Ac ef a iachaodd lawer a’r oeddent yn gleifion o amrafael heintiae: ac a vwriodd allan lawer o gythreulieit: ac ny
MRK.1.35	Ac yn dra borae ar y cynddydd y cyfodes 
MRK.1.36	A’ Simon, a’r ei oedd
MRK.1.37	A’ gwedy yddwynt ei gahel, y dywedesont wrthaw, Y mae pawp yn dy gaisiaw. 
MRK.1.38	Yno y dyvot ef wrthynt, Awn ir trefi nesaf, val y precethwyf yno hefyt: can ys er 
MRK.1.39	Ac ef a precethawdd yn y Synagogae hwy trwy’r oll Galilaea, ac a vwriodd allan gythraulieit.
MRK.1.40	Ac e ddaeth ataw 
MRK.1.41	A’r Iesu a dosturiawdd, ac a esten
MRK.1.42	Ac er cynted y dyvot ef 
MRK.1.43	A’ gwedy gorchymynyn o hanaw iddo yn 
MRK.1.44	ac a ddyvot wrthaw, Gwyl na ddywetych ddim i nep, and tyn ymaith, 
MRK.1.45	Yntef wedy iddo vyned ymaith, a ddechreawdd venegi llawer o bethae, a’ chyhoeddy y 
MRK.2.1	GWEDY 
MRK.2.2	Ac yn y man, yr ymgasclent llawer ygyt yd na 
MRK.2.3	Yno y daeth attaw ’r ei yn dwyn vn claf o’r parlys, a ddygit y gan petwar. 
MRK.2.4	A’ phryt na allent ddyvot yn nes ataw gan y 
MRK.2.5	A’ phan weles yr Iesu y ffydd wy, y dyvot wrth y claf o’r parlys, 
MRK.2.6	Ac ydd oedd yr ei o’r Gwyr‐llen yn eistedd yno, ac yn 
MRK.2.7	Paam y dywait hwn gyfryw gabl? pwy a 
MRK.2.8	Ac yn ebrwydd pan wybu ’r Iesu yn ei yspryt, yddwynt veddwl val hyn ynthyn y unain, y dyvot wrthynt, Pa ’r a ymrysymy ydd ych 
MRK.2.9	Pa vn hawsaf ai dywedyt wrth y claf o’r parlys, Maddeuwyt yty dy pechote? ai dywedyt, 
MRK.2.10	Ac val y gwypoch, vot i vap y dyn 
MRK.2.11	Wrthyt y dywedaf, cyfot, a’ 
MRK.2.12	Ac yn y man y cyfodes, ac y cymerth ei ’lwth ymaith, ac aeth allan yn y gwydd wy oll, yn y sannawdd a’r bawp, a’ 
MRK.2.13	¶ Yno ydd aeth ef drachefyn 
MRK.2.14	Ac val ydd aeth yr Iesu heibio, ef a’ welawdd Levi 
MRK.2.15	Ac e ddarvu a’r Iesu yn eistedd i vwyta yn y duy ef, Publicanieit lawer, a’ phechaturieit a eisteddesont a gyd a’r Iesu, a’ ei ddiscipulon: can ys yr oedd llawer ac yn y ddylyn ef. 
MRK.2.16	A’ phan welawdd y Gwyr‐llen a’r Pharisaieit, y dywedesont wrth ei ddiscipulon ef, Paam yw iddaw vwyta ac yfet y gyd a Publicanot a’ Phecaturieit? 
MRK.2.17	A’ phan ey clypu ’r Iesu ef a ddyvot wrthynt, Nid rait ir ei iach wrth y 
MRK.2.18	A’ discipulon Ioan a’r Pharisaieit y ymprydynt, ac a ddaethant ac a ddywedesont wrthaw, Pa
MRK.2.19	A’r Iesu a ddyvot wrthynt, A eill plant yr ystafell‐briodas vmpridiaw, tra vo’r Priawt cyd a hwy? tra vo’r Priawt y canthwynt, ny
MRK.2.20	Ac 
MRK.2.21	Hefyt ny wni
MRK.2.22	Ac ny ddyd nep win newydd mewn 
MRK.2.23	Ac e ddarvu ac ef yn myned trwy ’r 
MRK.2.24	A’r Pharisaieit a ddywedesont wrthaw, 
MRK.2.25	Ac ef a ddyvot wrthynt, A ny ddarllenesoch er ioed pa 
MRK.2.26	Po’dd yr aeth ef i duy Dduw yn‐
MRK.2.27	Ac ef a ddyvot wrthwynt, Y Sabbath a wnaed er 
MRK.2.28	Erwydd paam Map y dyn ’sy Arglwydd 
MRK.3.1	AC ef aeth y mywn drachefyn ir synagog, ac ydd oedd yno ddyn ac iddo law wedy gwywo. 
MRK.3.2	Ac wy ei 
MRK.3.3	Yno y dyvot ef wrth y dyn a’r llaw ’wyw, Cyvot, 
MRK.3.4	Ac ef a ddyvot wrthwynt, 
MRK.3.5	Yno ydd edrychawdd ef o y amgylch arn
MRK.3.6	A’r Pharisaieit aethon ymaith, ac yn y man ydd ymgygoresont gyd a’r Herodiait yn y erbyn ef, pa vodd y 
MRK.3.7	A’r Iesu ef a ei ddiscipulon a 
MRK.3.8	ac o Gaerusalem, ac o Idumaea ac o’r tuhwnt i Iorddonen, a’r ei o gylch Tyrus a’ Sydon, pan glywsont veint a wnaethei 
MRK.3.9	Ac ef a ddyvot wrth ei ddiscipulon 
MRK.3.10	Can ys llawer a iachaesei 
MRK.3.11	A’r ysprytion aflan pan welsant ef, a gwympesont i lawr geyr ei vron, ac a 
MRK.3.12	Ac ef ei ysdwrdiawdd yn 
MRK.3.13	Yno yr escennawdd ef ir mynyth, ac a alwodd attaw yr ei a ewyllysiawdd ef, a’ hwy a ddaethant ataw. 
MRK.3.14	Ac ef a ’ossodes ddauddec, y vot o hanwynt y gyd ac ef, val yd anvonei ef wy i precethy, 
MRK.3.15	a’ bod yddwynt veddiant i iachay heintiae, ac y vwrw allan gythraelieit. 
MRK.3.16	A’r cyntaf 
MRK.3.17	Yno Jaco 
MRK.3.18	ac Andreas, a’ Philip, a’ Bartholomeus, a’ Matthew, a’ Thomas, ac Iaco, 
MRK.3.19	ac Iudas Iscariot, yr hwn 
MRK.3.20	A’r dyrfa a ymgynullawdd drachefyn, val na allent gymmeint a bwyty bara. 
MRK.3.21	A’ phan glypu ei 
MRK.3.22	A’r Gwyr‐llen a ddaethent o Caerusalem, a ddywedesont, vot Beelzebub gantaw, ac mai trwy pennaeth y cythraelieit y bwrei allan gythraelieit. 
MRK.3.23	Yno ef y galwodd wy ataw, ac a ddyvot wrthwynt 
MRK.3.24	Can ys a bydd teyrnas wedy r’ ymranny yn y 
MRK.3.25	Ac a’s ymranna tuy yn y erbyn ehun ny ddychon y tuy hwnw 
MRK.3.26	Velly a’s cyfyt Satan yn y erbyn hun, ac ymranny, ny all ef barhay, amyn bod 
MRK.3.27	Ny ddygon nep vyned y mewn i tuy yr cadarn a’ dwyn ymaith 
MRK.3.28	Yn wir y dywedaf y chwi, y maddauir oll pochotae i blant dynion, a’ pha gablae, bynac y cablant: 
MRK.3.29	an’d pwy pynac a gabl yn erbyn yr yspryt glan ny chaiff vaddeuant yn dragyvyth, any’d bot yn euoc y varn dragyvythawl, 
MRK.3.30	can yddyn ddywedyt, vot 
MRK.3.31	Yno y daeth ei vrodur a’ ei vam, a’ safasant allan, ac a 
MRK.3.32	A’r popul a eisteddawdd oei amgylch ef, ac a ddywedesont wrthaw, 
MRK.3.33	’Ac ef y atepawdd wy, gan ddywedyt, Pwy yw vy mam a’m broder? 
MRK.3.34	Ac ef a edrychawdd o y amgylch ar yr ei, ’oedd yn eistedd yn y gylchedd yn ei o gylch, ac a ddyvot, 
MRK.3.35	Can ys pwy pynac a wnel ewyllys Duw, hwnw yw by-
MRK.4.1	AC ef a ddechreawdd drachefyn precethy yn‐glan y mor, a’ thyrfa vawr a ymglascawdd ataw, yn ydaeth ef y long, ac eistedd yn y mor, a’r oll popul oedd ar y tir wrth y mor. 
MRK.4.2	Ac ef a ddyscawdd yddwynt laweredd 
MRK.4.3	Gwrandewch: Nycha, ydd aeth heywr allan y 
MRK.4.4	Ac e ddarvu val ydd oedd ef yn 
