GEN.1.1	Ar y dechrau cyntaf, dyma Duw yn creu y bydysawd a'r ddaear. 
DEU.32.38	– y duwiau wnaeth fwyta eu haberthau gorau,
DEU.32.38	ac yfed gwin yr offrymau o ddiod?
DEU.32.38	Gadewch iddyn nhw'ch helpu chi;
DEU.32.38	gadewch iddyn nhw edrych ar eich ôl chi!
DEU.32.39	Dw i eisiau i chi ddeall mai fi, ie fi ydy e!
DEU.32.39	Does dim duw arall ar wahân i mi.
DEU.32.39	Mae gen i awdurdod i ladd ac i roi bywyd,
DEU.32.39	awdurdod i anafu ac i iacháu,
DEU.32.39	a does neb yn gallu fy stopio!
DEU.32.40	Dw i'n addo ar fy llw,
DEU.32.40	‘Mor sicr â'm bod i yn byw am byth,
DEU.32.41	dw i'n mynd i hogi fy nghleddyf disglair,
DEU.32.41	a gafael ynddo i gosbi;
DEU.32.41	Dw i'n mynd i ddial ar y gelynion,
DEU.32.41	a thalu'n ôl i'r rhai sy'n fy nghasáu!
DEU.32.42	Bydd fy saethau wedi meddwi ar waed,
DEU.32.42	a'm cleddyf yn darnio cnawd –
DEU.32.42	gwaed y rhai wedi'u lladd a'r caethion,
DEU.32.42	prif arweinwyr y gelyn!’”
DEU.32.43	Llawenhewch, genhedloedd, gyda'i bobl;
DEU.32.43	bydd yn dial am ladd ei weision.
DEU.32.43	Mae'n mynd i ddial ar y gelynion,
DEU.32.43	a gwneud iawn am beth a wnaethon
DEU.32.43	i'w dir ac i'w bobl.
DEU.32.44	Yna dyma Moses yn mynd gyda Josua fab Nwn, ac yn adrodd geiriau'r gân i'r bobl i gyd. 
DEU.32.45+DEU.32.46	Ar ôl gwneud hynny, dyma Moses yn dweud wrthyn nhw, “Cofiwch bopeth dw i wedi'i ddweud wrthoch chi heddiw. Dysgwch eich plant i wneud popeth mae'r gyfraith yma'n ddweud. 
DEU.32.47	Dim geiriau gwag ydyn nhw – dyma'ch bywyd chi! Os cadwch chi nhw, byddwch chi'n byw yn hir yn y tir dych chi ar fin croesi'r Iorddonen i'w gymryd drosodd.”
DEU.32.48	Yna, ar yr un diwrnod, dyma'r 
DEU.32.49	“Dos i fyny bryniau Afarîm, a dringo i ben Mynydd Nebo (sydd ar dir Moab, gyferbyn â Jericho), i ti gael gweld Canaan, y wlad dw i'n ei rhoi i bobl Israel. 
DEU.32.50	Byddi di'n marw ar ben y mynydd, fel buodd dy frawd Aaron farw ar ben Mynydd Hor. 
DEU.32.51	Roedd y ddau ohonoch chi wedi gwrthryfela yn fy erbyn i pan oeddech chi gyda phobl Israel wrth Ffynnon Meriba yn Cadesh yn Anialwch Sin. Wnaethoch chi ddim dangos parch ata i o flaen pobl Israel. 
DEU.32.52	Felly byddi'n cael gweld y tir o dy flaen di, ond fyddi di ddim yn cael mynd i mewn i'r wlad dw i'n ei rhoi i bobl Israel.”
DEU.33.1	Dyma'r fendith wnaeth Moses, dyn Duw, ei chyhoeddi dros bobl Israel cyn iddo farw:
DEU.33.2	“Daeth yr 
DEU.33.2	roedd fel y wawr yn torri o gyfeiriad Edom.
DEU.33.2	Roedd yn disgleirio o Fynydd Paran,
DEU.33.2	ac yn dod allan gyda deg mil o angylion,
DEU.33.2	a mellt yn saethu o'i law dde.
DEU.33.3	Mae'n amlwg ei fod yn caru'r bobl,
DEU.33.3	ac yn gofalu am y rhai sydd wedi'u cysegru iddo.
DEU.33.3	Maen nhw'n gwrando ar ei eiriau, ac yn addoli wrth ei draed.
DEU.33.4	Rhoddodd Moses gyfraith i ni;
DEU.33.4	rhodd sbesial i bobl Jacob.
DEU.33.5	Yr 
DEU.33.5	pan ddaeth arweinwyr y bobl a llwythau Israel at ei gilydd.
DEU.33.6	Boed i Reuben gael byw, nid marw,
DEU.33.6	ond fydd ei bobl ddim yn niferus.”
DEU.33.7	Yna meddai am Jwda:
DEU.33.7	“Gwranda, 
DEU.33.7	ac una fe gyda'i bobl.
DEU.33.7	Rho nerth rhyfeddol iddo,
DEU.33.7	a helpa fe i ymladd yn erbyn ei elynion.”
DEU.33.8	Yna meddai am Lefi:
DEU.33.8	“I Lefi rhoddaist y Thwmim a'r Wrim,
DEU.33.8	i'r gwas oedd wedi'i gysegru.
DEU.33.8	Profaist e wrth Massa,
DEU.33.8	a dadlau gydag e wrth Ffynnon Meriba.
DEU.33.9	Dwedodd wrth ei rieni, ‘Dw i erioed wedi'ch gweld’,
DEU.33.9	wrth ei frodyr a'i chwiorydd, ‘Pwy ydych chi?’,
DEU.33.9	ac wrth ei blant, ‘Dw i ddim yn eich nabod chi,’
DEU.33.9	am fod gwneud beth rwyt ti'n ddweud,
DEU.33.9	ac amddiffyn dy ymrwymiad yn bwysicach ganddo.
DEU.33.10	Nhw sy'n dysgu dy ganllawiau i Jacob,
DEU.33.10	a'th gyfarwyddiadau i Israel.
DEU.33.10	Nhw sy'n cyflwyno arogldarth sy'n arogli'n hyfryd,
DEU.33.10	ac offrymau cyflawn ar dy allor.
DEU.33.11	O 
DEU.33.11	a chael pleser o'r gwaith mae'n ei wneud.
DEU.33.11	Torra goesau unrhyw un sy'n ymosod arno,
DEU.33.11	a'r rhai sy'n ei gasáu, nes eu bod nhw'n methu sefyll.”
DEU.33.12	Yna meddai am Benjamin:
DEU.33.12	“Bydd yr un sy'n annwyl gan yr 
DEU.33.12	yn byw yn saff wrth ei ymyl.
DEU.33.12	Bydd Duw yn ei amddiffyn bob amser;
DEU.33.12	bydd yr 
DEU.33.13	Yna meddai am Joseff:
DEU.33.13	“Boed i'r 
DEU.33.13	a rhoi cnydau da gyda gwlith o'r awyr,
DEU.33.13	a'r dŵr sy'n ddwfn dan y ddaear;
DEU.33.14	cnydau wedi tyfu dan wenau'r haul
DEU.33.14	ac yn aeddfedu o fis i fis;
DEU.33.15	cnydau'n tyfu ar ben y mynyddoedd hynafol,
DEU.33.15	a'r cynhaeaf sy'n aeddfedu ar y bryniau;
DEU.33.16	y cnydau gorau all y tir ei roi,
DEU.33.16	a ffafr yr Un oedd yn y berth oedd ar dân.
DEU.33.16	Bendith Duw ar ben Joseff –
DEU.33.16	ar ben yr un oedd y blaenaf o'i frodyr.
DEU.33.17	Mae iddo anrhydedd fel y tarw cyntaf,
DEU.33.17	ac mae ei gyrn fel rhai ych gwyllt,
DEU.33.17	i gornio'r bobloedd i ben draw'r byd –
DEU.33.17	dyma ddegau o filoedd Effraim a miloedd Manasse.”
DEU.33.18	Yna meddai am Sabulon:
DEU.33.18	“Bydd lawen, Sabulon, pan fyddi'n mynd allan,
DEU.33.18	ac Issachar, pan fyddi yn dy bebyll.
DEU.33.19	Byddan nhw'n galw pobloedd at eu mynydd,
DEU.33.19	ac yno'n cyflwyno aberthau iawn.
DEU.33.19	Byddan nhw'n derbyn cyfoeth o'r moroedd,
DEU.33.19	ac yn casglu trysorau o dywod y traeth.”
DEU.33.20	Yna meddai am Gad:
DEU.33.20	“Bendith ar yr Un sy'n gwneud i Gad lwyddo!
DEU.33.20	Bydd yn aros fel llew,
DEU.33.20	yna'n rhwygo'r fraich a'r pen.
DEU.33.21	Mae wedi dewis y rhan orau iddo'i hun –
DEU.33.21	rhan un sy'n rheoli.
DEU.33.21	Daeth gydag arweinwyr y bobl,
DEU.33.21	yn ufudd i ofynion da yr 
DEU.33.21	a'i ganllawiau i bobl Israel.”
DEU.33.22	Yna meddai am Dan:
DEU.33.22	“Mae Dan fel llew ifanc;
DEU.33.22	bydd yn llamu allan o Bashan.”
DEU.33.23	Yna meddai am Nafftali:
DEU.33.23	“O Nafftali, sy'n gorlifo o ffafr,
DEU.33.23	ac wedi dy fendithio gymaint gan yr 
DEU.33.23	dos i gymryd dy dir i'r gorllewin a'r de.”
DEU.33.24	Yna meddai am Asher:
DEU.33.24	“Mae Asher wedi'i fendithio fwy na'r lleill!
DEU.33.24	Boed i'w frodyr ddangos ffafr ato,
DEU.33.24	a boed iddo drochi ei draed mewn olew olewydd.
DEU.33.25	Bydd y bariau ar dy giatiau o haearn a phres;
DEU.33.25	byddi'n saff tra byddi byw.
DEU.33.26	Does neb tebyg i dy Dduw, o Israel onest;
DEU.33.26	mae'n hedfan drwy'r awyr i dy helpu,
DEU.33.26	a'r cymylau yn gerbyd i'w fawrhydi.
DEU.33.27	Mae'r Duw sydd o'r dechrau'n le diogel,
DEU.33.27	a'i freichiau tragwyddol oddi tanat.
DEU.33.27	Mae wedi gyrru dy elynion ar ffo,
DEU.33.27	ac wedi gorchymyn eu dinistrio.
DEU.33.28	Mae Israel yn cael byw yn saff,
DEU.33.28	ac mae pobl Jacob yn ddiogel,
DEU.33.28	mewn gwlad o ŷd a grawnwin;
DEU.33.28	lle mae gwlith yn disgyn o'r awyr.
DEU.33.29	Rwyt wedi dy fendithio, Israel!
DEU.33.29	Oes pobloedd eraill tebyg i ti? –
DEU.33.29	Pobl sydd wedi'ch achub gan yr 
DEU.33.29	Fe ydy'r darian sy'n eich amddiffyn,
DEU.33.29	a'r cleddyf gwych sy'n ymladd ar eich ran.
DEU.33.29	Boed i'ch gelynion grynu o'ch blaen,
DEU.33.29	a chithau'n sathru ar eu cefnau!”
DEU.34.1	Yna dyma Moses yn mynd o wastatir Moab i ben Mynydd Nebo, ac i gopa Pisga, sydd gyferbyn â Jericho. Dangosodd yr 
DEU.34.2	tir Nafftali i gyd, Effraim a Manasse, tir Jwda i gyd yr holl ffordd draw i'r môr, 
DEU.34.3	y Negef a'r gwastatir o ddyffryn Jericho (tref y coed palmwydd), yr holl ffordd i Soar. 
DEU.34.4	Yna meddai'r 
DEU.34.5	Felly dyma Moses, gwas yr 
DEU.34.6	Cafodd ei gladdu yng ngwlad Moab wrth ymyl Beth-peor, ond does neb yn gwybod yn union yn lle hyd heddiw. 
DEU.34.7	Roedd Moses yn 120 oed pan fuodd farw, ond roedd yn dal i weld yn glir, ac mor gryf ag erioed. 
DEU.34.8	Buodd pobl Israel yn galaru ar ôl Moses ar wastatir Moab am fis cyfan. Yna daeth y cyfnod o alar i ben.
DEU.34.9	Cyn i Moses farw, roedd e wedi gosod ei ddwylo ar Josua fab Nwn, ac roedd yr 
DEU.34.10	Fuodd yna erioed broffwyd arall tebyg i Moses yn Israel – roedd Duw yn delio gydag e wyneb yn wyneb. 
DEU.34.11	Gwnaeth bopeth roedd yr 
DEU.34.12	Roedd Moses wedi dangos nerth mawr a gwneud pethau rhyfeddol o flaen pobl Israel i gyd.
JOS.1.1	Ar ôl i Moses, gwas yr 
JOS.1.2	“Mae Moses fy ngwas wedi marw. Dos, a chroesi afon Iorddonen. Dw i eisiau i ti arwain y bobl yma i'r tir dw i'n ei roi i chi. 
JOS.1.3	Fel gwnes i addo i Moses, dw i'n mynd i roi i chi bob modfedd sgwâr fyddwch chi'n cerdded arni.
JOS.1.4	Bydd eich tir yn ymestyn yr holl ffordd o'r diffeithwch yn y de i Fryniau Libanus yn y gogledd. A'r holl ffordd o afon Ewffrates yn y dwyrain (gan gynnwys gogledd Syria hefyd)
JOS.1.5	Bydda i gyda ti, fel roeddwn i gyda Moses. Fydd neb yn gallu dy stopio di tra byddi di byw. Wna i ddim dy siomi di na dy adael di. 
JOS.1.6	Bydd yn gryf a dewr. Ti'n mynd i arwain y bobl yma i goncro'r wlad wnes i addo ei rhoi i'w hynafiaid. 
JOS.1.7	Ond rhaid i ti fod yn gryf ac yn ddewr iawn! Gwna'n siŵr dy fod yn gwneud popeth mae'r Gyfraith roddodd Moses i ti yn ei ddweud. Paid crwydro oddi wrthi o gwbl, a byddi di'n llwyddo beth bynnag wnei di. 
JOS.1.8	Darllen sgrôl y Gyfraith yma yn rheolaidd. Myfyria arni ddydd a nos, a'i dysgu, er mwyn i ti wneud beth mae'n ei ddweud. Dyna sut fyddi di'n llwyddo. 
JOS.1.9	Dw i'n dweud eto, bydd yn gryf a dewr! Paid bod ag ofn na phanicio. Dw i, yr 
JOS.1.10	Felly dyma Josua yn rhoi'r gorchymyn yma i arweinwyr y llwythau: 
JOS.1.11	“Ewch drwy'r gwersyll a dweud wrth bawb i gael eu hunain yn barod. Y diwrnod ar ôl yfory dych chi'n mynd i groesi afon Iorddonen, a dechrau concro'r tir mae'r 
JOS.1.12	Yna dyma Josua yn troi at lwythau Reuben, Gad, a hanner llwyth Manasse, a dweud: 
JOS.1.13	“Cofiwch beth ddwedodd Moses, gwas yr 
JOS.1.14	Gall eich gwragedd a'ch plant a'ch anifeiliaid aros yma, ar y tir roddodd Moses i chi. Ond rhaid i bob dyn sy'n gallu ymladd groesi'r afon o flaen gweddill eich brodyr, yn barod i frwydro gyda nhw. Rhaid i chi aros i'w helpu nhw 
JOS.1.15	nes bydd yr 
JOS.1.16	A dyma nhw'n ateb Josua: “Byddwn ni'n gwneud popeth rwyt ti'n ddweud, a mynd ble bynnag wnei di'n hanfon ni. 
JOS.1.17	Yn union fel gwnaethon ni wrando ar Moses, byddwn ni'n gwrando arnat ti. Boed i'r 
JOS.1.18	Os bydd unrhyw un yn gwrthryfela yn dy erbyn, ac yn gwrthod gwneud beth ti'n ddweud, y gosb fydd marwolaeth. Felly, bydd yn gryf a dewr!”
JOS.2.1	Dyma Josua fab Nwn yn anfon dau ysbïwr allan o'r gwersyll yn Sittim, a dweud wrthyn nhw: “Dw i eisiau i chi ddarganfod beth allwch chi am y wlad, yn arbennig tref Jericho.” Felly, i ffwrdd â nhw, a dyma nhw'n mynd i dŷ putain o'r enw Rahab, ac aros yno dros nos.
JOS.2.2	Ond dyma rywun yn dweud wrth frenin Jericho, “Mae rhai o ddynion Israel wedi dod yma i ysbïo'r wlad.” 
JOS.2.3	Felly dyma'r brenin yn anfon milwyr at Rahab, “Tyrd â dy gwsmeriaid allan – y dynion sydd wedi dod i aros yn dy dŷ di. Ysbiwyr ydyn nhw, wedi dod i edrych dros y wlad.” 
JOS.2.4	Ond roedd Rahab wedi cuddio'r dynion, a dyma hi'n ateb, “Mae'n wir, roedd yna ddynion wedi dod ata i, ond doeddwn i ddim yn gwybod o ble roedden nhw'n dod. 
JOS.2.5	Pan oedd hi'n tywyllu, a giât y ddinas ar fin cael ei chau dros nos, dyma nhw'n gadael. Dw i ddim yn gwybod i ba gyfeiriad aethon nhw. Os brysiwch chi, gallwch chi eu dal nhw!” 
JOS.2.6	(Ond beth roedd Rahab wedi'i wneud go iawn oedd mynd â'r dynion i ben to'r tŷ, a'u cuddio nhw dan y pentyrrau o lin roedd hi wedi'u gosod allan yno.)
JOS.2.7	Felly dyma weision y brenin yn mynd i chwilio amdanyn nhw ar hyd y ffordd sy'n arwain at afon Iorddonen, lle mae'r rhydau. A dyma giât y ddinas yn cael ei chau yn syth ar ôl iddyn nhw fynd.
JOS.2.8	Cyn i'r ysbiwyr fynd i gysgu'r noson honno, dyma Rahab yn mynd i fyny i'r to i siarad gyda nhw. 
JOS.2.9	Meddai wrthyn nhw, “Dw i'n gwybod yn iawn fod yr 
JOS.2.10	Dŷn ni wedi clywed sut wnaeth yr 
JOS.2.11	Pan glywson ni am y peth roedden ni wedi digalonni'n llwyr. Roedd pawb mewn panig. Mae'r 
JOS.2.12	Dw i eisiau i chi fynd ar eich llw, ac addo i mi o flaen yr 
JOS.2.13	na fyddwch chi'n lladd neb yn fy nheulu – dad, mam, fy mrodyr a'm chwiorydd, na neb arall yn y teulu.”
JOS.2.14	A dyma'r dynion yn addo iddi, “Os wnei di ddim dweud wrth neb amdanon ni, byddwn ni'n cadw'n haddewid i ti pan fydd yr 
JOS.2.15	Yna dyma Rahab yn eu gollwng nhw i lawr ar raff o ffenest ei thŷ. (Roedd wal allanol ei thŷ hi yn rhan o wal y ddinas.) 
JOS.2.16	“Ewch i gyfeiriad y bryniau,” meddai wrthyn nhw. “Fydd y dynion sydd ar eich ôl chi ddim yn dod o hyd i chi wedyn. Cuddiwch yno am dri diwrnod, i roi cyfle iddyn nhw ddod yn ôl. Wedyn gallwch fynd ar eich ffordd.” 
JOS.2.17	Dyma'r dynion yn dweud wrthi, “Allwn ni ddim ond cadw'r addewid wnaethon ni i ti ar un amod: 
JOS.2.18	Pan fyddwn ni'n ymosod ar y wlad, rhwyma'r rhaff goch yma iddi hongian allan o'r ffenest wnaethon ni ddianc drwyddi. A rhaid i ti gasglu dy deulu i gyd at ei gilydd yn y tŷ – dy dad, dy fam, dy frodyr a dy chwiorydd, a phawb arall. 
JOS.2.19	Os bydd unrhyw un yn gadael y tŷ ac yn cael ei ladd, nhw eu hunain fydd ar fai – fydd dim bai arnon ni. Ond os bydd unrhyw un sydd yn y tŷ yn cael niwed, ni fydd yn gyfrifol. 
JOS.2.20	Ond os byddi di'n dweud wrth unrhyw un amdanon ni, fyddwn ni ddim yn gyfrifol am dorri'r addewid.”
JOS.2.21	“Digon teg,” meddai hithau. A dyma hi'n eu hanfon nhw i ffwrdd, ac yn rhwymo'r rhaff goch i'r ffenest. 
JOS.2.22	Dyma nhw'n mynd i'r bryniau, ac yn aros yno am dri diwrnod – digon o amser i'r dynion oedd yn chwilio amdanyn nhw fynd yn ôl. Roedd y rheiny wedi bod yn edrych amdanyn nhw ym mhobman ar hyd y ffordd, ond wedi methu dod o hyd iddyn nhw.
JOS.2.23	Yna dyma'r ddau ddyn yn troi am yn ôl. Dyma nhw'n dod i lawr o'r bryniau, croesi afon Iorddonen, a mynd at Josua i roi adroddiad iddo o beth oedd wedi digwydd. 
JOS.2.24	“Does dim amheuaeth,” medden nhw. “Mae'r 
JOS.3.1	Yn gynnar y bore wedyn, dyma Josua a phobl Israel i gyd yn gadael Sittim a mynd at yr Iorddonen. Dyma nhw'n aros yno cyn croesi'r afon. 
JOS.3.2	Ddeuddydd wedyn, dyma'r arweinwyr yn mynd drwy'r gwersyll 
JOS.3.3	i roi gorchymyn i'r bobl, “Pan fyddwch chi'n gweld Arch Ymrwymiad yr 
JOS.3.4	Ond peidiwch mynd yn rhy agos ati. Cadwch bellter o ryw hanner milltir
JOS.3.5	A dyma Josua'n dweud wrth y bobl, “Gwnewch eich hunain yn barod!
JOS.3.6	Yna dyma Josua'n dweud wrth yr offeiriaid, “Codwch Arch yr Ymrwymiad ac ewch o flaen y bobl.” A dyma nhw'n gwneud hynny.
JOS.3.7	Dwedodd yr 
JOS.3.8	Dw i eisiau i ti ddweud wrth yr offeiriaid sy'n cario Arch yr Ymrwymiad, ‘Pan ddewch chi at lan afon Iorddonen, cerddwch i mewn i'r dŵr a sefyll yno.’”
JOS.3.9	Felly dyma Josua'n galw ar bobl Israel, “Dewch yma i glywed beth mae'r 
JOS.3.10	Dyma sut byddwch chi'n gweld fod y Duw byw gyda chi, a'i fod yn mynd i yrru allan y Canaaneaid, Hethiaid, Hefiaid, Peresiaid, Girgasiaid, Amoriaid a Jebwsiaid. 
JOS.3.11	Edrychwch! Mae Arch Ymrwymiad Meistr y ddaear gyfan yn barod i'ch arwain chi ar draws afon Iorddonen! 
JOS.3.12	Dewiswch un deg dau o ddynion o lwythau Israel – un o bob llwyth. 
JOS.3.13	Pan fydd traed yr offeiriaid sy'n cario Arch yr 
JOS.3.14	Felly pan adawodd y bobl eu pebyll i groesi'r Iorddonen, dyma'r offeiriaid oedd yn cario Arch yr Ymrwymiad yn mynd o'u blaenau. 
JOS.3.15+JOS.3.16	Roedd hi'n adeg y cynhaeaf, a'r afon wedi gorlifo. Dyma nhw'n dod at yr afon, a phan gyffyrddodd eu traed y dŵr, dyma'r dŵr yn stopio llifo. Roedd y dŵr wedi codi'n bentwr gryn bellter i ffwrdd, wrth Adam (tref wrth ymyl Sarethan). Doedd dim dŵr o gwbl yn llifo i'r Môr Marw.
JOS.3.17	Safodd yr offeiriaid oedd yn cario Arch Ymrwymiad yr 
JOS.4.1	Pan oedd y genedl gyfan wedi croesi afon Iorddonen, dyma'r 
JOS.4.2	“Dewis un deg dau o ddynion – un o bob llwyth. 
JOS.4.3	Dwed wrthyn nhw am gymryd un deg dwy o gerrig o wely'r afon, o'r union fan lle roedd yr offeiriaid yn sefyll. Maen nhw i fynd â'r cerrig, a'u gosod nhw i lawr lle byddwch chi'n gwersylla heno.”
JOS.4.4	Dyma Josua'n galw'r dynion oedd wedi'u penodi at ei gilydd (un dyn o bob llwyth), 
JOS.4.5	a dweud wrthyn nhw: “Ewch o flaen Arch yr 
JOS.4.6	Bydd y cerrig yn eich atgoffa chi o beth ddigwyddodd yma. Yn y dyfodol, pan fydd eich plant yn gofyn, ‘Beth ydy'r cerrig yma?’, 
JOS.4.7	gallwch ddweud wrthyn nhw fod afon Iorddonen wedi stopio llifo o flaen Arch Ymrwymiad yr 
JOS.4.8	Felly dyma'r dynion yn gwneud yn union fel dwedodd Josua. Dyma nhw'n codi un deg dwy o gerrig o ganol afon Iorddonen (fel roedd yr 
JOS.4.9	Gosododd Josua hefyd un deg dwy o gerrig eraill yn yr union fan lle roedd yr offeiriaid oedd yn cario'r Arch wedi bod yn sefyll. Mae'r cerrig yno hyd heddiw.
JOS.4.10	Safodd yr offeiriaid oedd yn cario'r Arch ar wely afon Iorddonen nes oedd popeth roedd yr 
JOS.4.11	Pan oedd pawb wedi croesi, dyma'r Arch a'r offeiriaid oedd yn ei chario yn croesi, a'r bobl yn eu gwylio. 
JOS.4.12	Roedd y dynion o lwyth Reuben, Gad a hanner llwyth Manasse wedi croesi o flaen pobl Israel, yn barod i ymladd, fel roedd Moses wedi dweud wrthyn nhw. 
JOS.4.13	Roedd tua 40,000 o ddynion arfog wedi croesi drosodd i ryfela ar wastatir Jericho. 
JOS.4.14	Y diwrnod hwnnw gwnaeth yr 
JOS.4.15	Dyma'r 
JOS.4.16	“Dwed wrth yr offeiriaid sy'n cario Arch y Dystiolaeth i ddod i fyny o wely'r Iorddonen.” 
JOS.4.17	Felly dyma Josua'n gwneud hynny. “Dewch i fyny o wely'r afon!” meddai wrthyn nhw. 
JOS.4.18	Dyma'r offeiriaid oedd yn cario Arch Ymrwymiad yr 
JOS.4.19	Roedd hi'r degfed o'r mis cyntaf
JOS.4.20	Dyna lle gwnaeth Josua osod i fyny yr un deg dwy o gerrig roedden nhw wedi'u cymryd o afon Iorddonen. 
JOS.4.21	A dyma fe'n dweud wrth bobl Israel, “Pan fydd eich plant yn gofyn i'w tadau, ‘Beth ydy'r cerrig yma?’ 
JOS.4.22	esboniwch iddyn nhw, ‘Dyma lle wnaeth pobl Israel groesi afon Iorddonen ar dir sych.’ 
JOS.4.23	Roedd yr 
JOS.4.24	Gwnaeth hynny er mwyn i bobl holl wledydd y byd gydnabod fod yr 
JOS.5.1	Roedd brenhinoedd yr Amoriaid a'r Canaaneaid wedi digalonni'n lân ac mewn panig llwyr. Roedden nhw wedi clywed fod yr 
JOS.5.2	Bryd hynny dyma'r 
JOS.5.3	A dyma Josua yn gwneud hynny ar Gibeath-ha-araloth (sef ‛Bryn y blaengrwyn‛). 
JOS.5.4	Y rheswm pam roedd rhaid i Josua wneud hyn oedd fod y dynion oedd yn ddigon hen i ymladd pan ddaeth pobl Israel allan o wlad yr Aifft i gyd wedi marw yn yr anialwch. 
JOS.5.5	Roedd y dynion hynny wedi'u henwaedu, ond doedd y rhai gafodd eu geni yn ystod y daith drwy'r anialwch ddim wedi bod drwy'r ddefod o gael eu henwaedu. 
JOS.5.6	Roedd pobl Israel wedi bod yn crwydro yn yr anialwch am bedwar deg mlynedd, nes bod yr holl ddynion oedd yn ddigon hen i ymladd pan ddaethon nhw allan o'r Aifft i gyd wedi marw – y dynion hynny oedd wedi bod yn anufudd i'r 
JOS.5.7	A bellach, roedd eu meibion wedi cymryd eu lle. A nhw wnaeth Josua eu henwaedu, am fod eu tadau ddim wedi cadw'r ddefod yn ystod y cyfnod yn yr anialwch.
JOS.5.8	Ar ôl i'r dynion i gyd gael eu henwaedu, dyma nhw'n aros yn y gwersyll nes roedden nhw wedi gwella. 
JOS.5.9	Yna dyma'r 
JOS.5.10	Roedd pobl Israel yn gwersylla yn Gilgal ar wastatir Jericho. Pan oedd hi'n nosi ar ddechrau'r pedwerydd ar ddeg o'r mis cyntaf dyma nhw'n dathlu'r Pasg. 
JOS.5.11	A'r diwrnod wedyn dyma nhw'n bwyta peth o gynnyrch y tir – bara heb furum ynddo, a grawn wedi'i rostio. 
JOS.5.12	Dyna'r diwrnod pan wnaeth y manna stopio dod. O'r diwrnod pan ddecheruon nhw fwyta cynnyrch y tir, gafodd pobl Israel ddim bwyta manna eto. O'r flwyddyn honno ymlaen roedden nhw'n bwyta cynnyrch gwlad Canaan.
JOS.5.13	Pan oedd Josua wrth ymyl Jericho, gwelodd ddyn yn sefyll o'i flaen yn dal cleddyf yn ei law. Dyma Josua'n mynd ato ac yn gofyn iddo, “Wyt ti ar ein hochr ni, neu gyda'n gelynion ni?” 
JOS.5.14	A dyma fe'n ateb, “Pennaeth byddin yr 
JOS.5.15	A dyma bennaeth byddin yr 
JOS.6.1	Roedd giatiau Jericho wedi'u cau'n dynn am fod ganddyn nhw ofn pobl Israel. Doedd neb yn cael mynd i mewn nac allan o'r ddinas. 
JOS.6.2	A dyma'r 
JOS.6.3	Dw i eisiau i dy fyddin di fartsio o gwmpas Jericho un waith bob dydd am chwe diwrnod. 
JOS.6.4	Mae saith offeiriad i gerdded o flaen yr Arch, pob un ohonyn nhw yn cario corn hwrdd.
JOS.6.5	Wedyn pan fydd yr offeiriaid yn seinio un nodyn hir ar y cyrn hwrdd, rhaid i'r fyddin i gyd weiddi'n uchel. Bydd waliau'r ddinas yn syrthio, a bydd y fyddin yn gallu ymosod, a'r dynion i gyd yn gallu mynd yn syth i mewn i'r ddinas.”
JOS.6.6	Felly dyma Josua fab Nwn yn galw'r offeiriaid ato a dweud wrthyn nhw, “Codwch Arch yr Ymrwymiad, a rhoi saith offeiriad i fynd o'i blaen, pob un ohonyn nhw yn cario corn hwrdd.”
JOS.6.7	A dyma fe'n dweud wrth y milwyr, “Ymlaen! Martsiwch o gwmpas y ddinas, gyda grŵp o ddynion arfog yn mynd o flaen Arch yr 
JOS.6.8	Ar ôl i Josua ddweud hyn, dyma'r saith offeiriad yn dechrau symud, pob un yn chwythu ei gorn hwrdd wrth fynd. A dyma Arch Ymrwymiad yr 
JOS.6.9	Roedd gwarchodlu o filwyr yn martsio o flaen a'r tu ôl i'r offeiriaid oedd yn chwythu'r cyrn hwrdd. 
JOS.6.10	Ond roedd Josua wedi dweud wrth y milwyr, “Peidiwch gweiddi o gwbl. Cadwch yn hollol dawel nes i mi ddweud wrthoch chi am weiddi – wedyn cewch weiddi nerth eich pen!”
JOS.6.11	Felly dyma Josua yn gwneud iddyn nhw fynd ag Arch yr 
JOS.6.12	Yn gynnar y bore wedyn dyma Josua yn codi, a chael yr offeiriaid i fynd allan eto, yn cario Arch yr Ymrwymiad. 
JOS.6.13	A dyma'r saith offeiriad yn mynd allan o flaen Arch yr 
JOS.6.14	Dyma nhw'n martsio o gwmpas y ddinas unwaith eto, ar yr ail ddiwrnod, ac yna'n mynd yn ôl i'r gwersyll. A dyma nhw'n gwneud yr un peth am chwe diwrnod.
JOS.6.15	Yna ar y seithfed diwrnod dyma nhw'n codi gyda'r wawr, i fartsio o gwmpas y ddinas fel o'r blaen – ond y tro yma dyma nhw'n mynd o'i chwmpas hi saith gwaith. 
JOS.6.16	Y seithfed gwaith rownd, dyma'r offeiriaid yn chwythu un nodyn hir, a dyma Josua yn dweud wrth y bobl, “Gwaeddwch! Mae'r 
JOS.6.17	Mae'r ddinas, a phawb a phopeth sydd ynddi, i gael ei dinistrio'n llwyr, fel offrwm i'r 
JOS.6.18	A gwyliwch nad ydych chi'n cymryd unrhyw beth sydd i fod i gael ei ddinistrio. Os gwnewch chi hynny, byddwch chi'n rhoi pobl Israel mewn perygl, ac yn achosi dinistr ofnadwy. 
JOS.6.19	Yr 
