GEN.1.1	Yn y dechreuad creodd Duw y nefoedd a'r ddaear. 
GEN.9.10	ac â phob creadur byw gyda chwi, yn adar ac anifeiliaid, a'r holl fwystfilod gwyllt sydd gyda chwi, y cwbl a ddaeth allan o'r arch
GEN.9.11	Sefydlaf fy nghyfamod â chwi, rhag torri ymaith eto bob cnawd trwy ddyfroedd dilyw, na bod dilyw arall i ddifa'r ddaear.” 
GEN.9.12	A dywedodd Duw, “Dyma a osodaf yn arwydd o'r cyfamod yr wyf yn ei wneud â chwi ac â phopeth byw gyda chwi tros oesoedd di-rif: 
GEN.9.13	gosodaf fy mwa yn y cwmwl, a bydd yn arwydd cyfamod rhyngof a'r ddaear. 
GEN.9.14	Pan godaf gwmwl ar y ddaear bydd bwa yn ymddangos yn y cwmwl, 
GEN.9.15	a chofiaf fy nghyfamod rhyngof a chwi a phob creadur byw o bob math, ac ni ddaw'r dyfroedd eto yn ddilyw i ddifa pob cnawd. 
GEN.9.16	Pan fydd y bwa yn y cwmwl, byddaf yn edrych arno ac yn cofio'r cyfamod tragwyddol rhwng Duw a phob creadur byw o bob math ar y ddaear.” 
GEN.9.17	Dywedodd Duw wrth Noa, “Dyma arwydd y cyfamod yr wyf wedi ei sefydlu rhyngof a phob cnawd ar y ddaear.”
GEN.9.18	Sem, Cham a Jaffeth oedd meibion Noa a ddaeth allan o'r arch. Cham oedd tad Canaan. 
GEN.9.19	Dyma dri mab Noa, ac ohonynt y poblogwyd yr holl ddaear.
GEN.9.20	Dechreuodd Noa fod yn amaethwr. Plannodd winllan, 
GEN.9.21	ac yna yfodd o'r gwin nes meddwi, a gorwedd yn noeth yn ei babell. 
GEN.9.22	Gwelodd Cham, tad Canaan, ei dad yn noeth, a dywedodd wrth ei ddau frawd y tu allan; 
GEN.9.23	ond cymerodd Sem a Jaffeth fantell a'i gosod ar eu hysgwyddau, a cherdded yn wysg eu cefnau a gorchuddio noethni eu tad, gan droi eu hwynebau i ffwrdd rhag gweld noethni eu tad. 
GEN.9.24	Pan ddeffrôdd Noa o'i win, a gwybod beth yr oedd ei fab ieuengaf wedi ei wneud iddo, 
GEN.9.25	dywedodd,
GEN.9.25	“Melltigedig fyddo Canaan;
GEN.9.25	gwas i weision ei frodyr fydd.”
GEN.9.26	Dywedodd hefyd,
GEN.9.26	“Bendigedig gan yr 
GEN.9.26	bydded Canaan yn was iddo.
GEN.9.27	Helaethed Duw Jaffeth, iddo breswylio ym mhebyll Sem;
GEN.9.27	bydded Canaan yn was iddo.”
GEN.9.28	Bu Noa fyw wedi'r dilyw am dri chant a hanner o flynyddoedd. 
GEN.9.29	Felly yr oedd oes gyfan Noa yn naw cant a hanner o flynyddoedd; yna bu farw.
GEN.10.1	Dyma genedlaethau meibion Noa, sef Sem, Cham a Jaffeth. Ganwyd iddynt feibion wedi'r dilyw. 
GEN.10.2	Meibion Jaffeth oedd Gomer, Magog, Madai, Jafan, Tubal, Mesech, a Tiras. 
GEN.10.3	Meibion Gomer: Ascenas, Riffath, a Togarma. 
GEN.10.4	Meibion Jafan: Elisa, Tarsis, Cittim, a Dodanim; 
GEN.10.5	o'r rhain yr ymrannodd pobl yr ynysoedd. Dyna feibion Jaffeth
GEN.10.6	Meibion Cham oedd Cus, Misraim, Put, a Canaan. 
GEN.10.7	Meibion Cus: Seba, Hafila, Sabta, Raama, a Sabteca. Meibion Raama: Seba a Dedan. 
GEN.10.8	Cus oedd tad Nimrod; hwn oedd y cyntaf o gedyrn y ddaear. 
GEN.10.9	Yr oedd yn heliwr cryf gerbron yr 
GEN.10.10	Dechreuodd ei frenhiniaeth gyda Babel, Erech, Accad a Calne yng ngwlad Sinar. 
GEN.10.11	Aeth allan o'r wlad honno i Asyria ac adeiladu Ninefe, Rehoboth-ir, Cala, 
GEN.10.12	a Resen, dinas fawr rhwng Ninefe a Cala. 
GEN.10.13	Yr oedd Misraim yn dad i Ludim, Anamim, Lehabim, Nafftwhim, 
GEN.10.14	Pathrusim, Casluhim a Cafftorim, y daeth y Philistiaid ohonynt.
GEN.10.15	Canaan oedd tad Sidon, ei gyntafanedig, a Heth; 
GEN.10.16	hefyd y Jebusiaid, Amoriaid, Girgasiaid, 
GEN.10.17	Hefiaid, Arciaid, Siniaid, 
GEN.10.18	Arfadiaid, Semariaid, a Hamathiaid. Wedi hynny gwasgarwyd teuluoedd y Canaaneaid, 
GEN.10.19	ac estyn eu ffin o Sidon i gyfeiriad Gerar, hyd Gasa; ac i gyfeiriad Sodom, Gomorra, Adma, a Seboim, hyd Lesa. 
GEN.10.20	Dyna feibion Cham, yn ôl eu llwythau a'u hieithoedd, ynghyd â'u gwledydd a'u cenhedloedd.
GEN.10.21	I Sem hefyd, tad holl feibion Heber, brawd hynaf Jaffeth, ganwyd plant. 
GEN.10.22	Meibion Sem oedd Elam, Assur, Arffaxad, Lud, ac Aram. 
GEN.10.23	Meibion Aram: Us, Hul, Gether, a Mas. 
GEN.10.24	Arffaxad oedd tad Sela, a Sela oedd tad Heber. 
GEN.10.25	I Heber ganwyd dau fab; enw un oedd Peleg, oherwydd yn ei ddyddiau ef rhannwyd
GEN.10.26	Joctan oedd tad Almodad, Saleff, Hasar-mafeth, Jera, 
GEN.10.27	Hadoram, Usal, Dicla, 
GEN.10.28	Obal, Abimael, Seba, 
GEN.10.29	Offir, Hafila, a Jobab; yr oeddent oll yn feibion Joctan. 
GEN.10.30	Yr oedd eu tir yn ymestyn o Mesa i gyfeiriad Seffar, i fynydd-dir y dwyrain. 
GEN.10.31	Dyna feibion Sem, yn ôl eu llwythau a'u hieithoedd, ynghyd â'u gwledydd a'u cenhedloedd.
GEN.10.32	Dyma lwythau meibion Noa, yn ôl eu hachau, yn eu cenhedloedd; ac o'r rhain yr ymrannodd y cenhedloedd dros y ddaear wedi'r dilyw.
GEN.11.1	Un iaith ac un ymadrodd oedd i'r holl fyd. 
GEN.11.2	Wrth ymdeithio yn y dwyrain, cafodd y bobl wastadedd yng ngwlad Sinar a thrigo yno. 
GEN.11.3	A dywedasant wrth ei gilydd, “Dewch, gwnawn briddfeini a'u crasu'n galed.” Priddfeini oedd ganddynt yn lle cerrig, a phyg yn lle calch. 
GEN.11.4	Yna dywedasant, “Dewch, adeiladwn i ni ddinas, a thŵr a'i ben yn y nefoedd, a gwnawn inni enw, rhag ein gwasgaru dros wyneb yr holl ddaear.” 
GEN.11.5	Disgynnodd yr 
GEN.11.6	a dywedodd, “Y maent yn un bobl a chanddynt un iaith; y maent wedi dechrau gwneud hyn, a bellach ni rwystrir hwy mewn dim y bwriadant ei wneud. 
GEN.11.7	Dewch, disgynnwn, a chymysgu eu hiaith hwy yno, rhag iddynt ddeall ei gilydd yn siarad.” 
GEN.11.8	Felly gwasgarodd yr 
GEN.11.9	Am hynny gelwir ei henw Babel, oherwydd yno y cymysgodd
GEN.11.10	Dyma genedlaethau Sem. Bu Sem fyw am gan mlynedd cyn geni iddo Arffaxad ddwy flynedd wedi'r dilyw. 
GEN.11.11	Wedi geni Arffaxad, bu Sem fyw am bum can mlynedd, a chafodd feibion a merched eraill.
GEN.11.12	Bu Arffaxad fyw am dri deg a phump o flynyddoedd cyn geni iddo Sela. 
GEN.11.13	Wedi geni Sela, bu Arffaxad fyw am bedwar cant a thair o flynyddoedd, a chafodd feibion a merched eraill.
GEN.11.14	Bu Sela fyw am dri deg o flynyddoedd cyn geni iddo Heber. 
GEN.11.15	Wedi geni Heber, bu Sela fyw am bedwar cant a thair o flynyddoedd, a chafodd feibion a merched eraill.
GEN.11.16	Bu Heber fyw am dri deg a phedair o flynyddoedd cyn geni iddo Peleg. 
GEN.11.17	Wedi geni Peleg, bu Heber fyw am bedwar cant tri deg o flynyddoedd, a chafodd feibion a merched eraill.
GEN.11.18	Bu Peleg fyw am dri deg o flynyddoedd cyn geni iddo Reu. 
GEN.11.19	Wedi geni Reu, bu Peleg fyw am ddau gant a naw o flynyddoedd, a chafodd feibion a merched eraill.
GEN.11.20	Bu Reu fyw am dri deg a dwy o flynyddoedd cyn geni iddo Serug. 
GEN.11.21	Wedi geni Serug, bu Reu fyw am ddau gant a saith o flynyddoedd, a chafodd feibion a merched eraill.
GEN.11.22	Bu Serug fyw am dri deg o flynyddoedd cyn geni iddo Nachor. 
GEN.11.23	Wedi geni Nachor, bu Serug fyw am ddau gan mlynedd, a chafodd feibion a merched eraill.
GEN.11.24	Bu Nachor fyw am ddau ddeg a naw o flynyddoedd cyn geni iddo Tera. 
GEN.11.25	Wedi geni Tera, bu Nachor fyw am gant un deg a naw o flynyddoedd, a chafodd feibion a merched eraill.
GEN.11.26	Bu Tera fyw am saith deg o flynyddoedd cyn geni iddo Abram, Nachor a Haran.
GEN.11.27	Dyma genedlaethau Tera. Tera oedd tad Abram, Nachor a Haran; a Haran oedd tad Lot. 
GEN.11.28	Bu Haran farw cyn ei dad Tera yng ngwlad ei enedigaeth, yn Ur y Caldeaid. 
GEN.11.29	Yna cymerodd Abram a Nachor wragedd iddynt eu hunain; enw gwraig Abram oedd Sarai, ac enw gwraig Nachor oedd Milca, merch Haran, tad Milca ac Isca. 
GEN.11.30	Yr oedd Sarai yn ddi-blant, heb eni plentyn.
GEN.11.31	Cymerodd Tera ei fab Abram, a'i ŵyr Lot fab Haran, a Sarai ei ferch-yng-nghyfraith, gwraig ei fab Abram; ac aethant allan gyda'i gilydd o Ur y Caldeaid i fynd i wlad Canaan, a daethant i Haran a thrigo yno. 
GEN.11.32	Dau gant a phump o flynyddoedd oedd oes Tera; a bu farw Tera yn Haran.
GEN.12.1	Dywedodd yr 
GEN.12.2	Gwnaf di yn genedl fawr a bendithiaf di; mawrygaf dy enw a byddi'n fendith. 
GEN.12.3	Bendithiaf y rhai sy'n dy fendithio, a melltithiaf y rhai sy'n dy felltithio, ac ynot ti bendithir holl dylwythau'r ddaear.”
GEN.12.4	Aeth Abram fel y dywedodd yr 
GEN.12.5	A chymerodd Abram ei wraig Sarai, a Lot mab ei frawd, a'r holl feddiannau a gasglwyd ganddynt, a'r tylwyth a gawsant yn Haran, a chychwyn i wlad Canaan. Wedi iddynt ddod i wlad Canaan, 
GEN.12.6	tramwyodd Abram trwy'r tir hyd safle Sichem, at dderwen More. Y Canaaneaid oedd yn y wlad y pryd hwnnw, 
GEN.12.7	ond ymddangosodd yr 
GEN.12.8	Yna symudodd oddi yno i'r mynydd-dir tua'r dwyrain o Fethel a gosod ei babell, gyda Bethel o'i ôl ac Ai o'i flaen; adeiladodd yno allor i'r 
GEN.12.9	A pharhaodd Abram i symud yn raddol tua'r Negef.
GEN.12.10	Yr oedd newyn yn y tir, ac aeth Abram i lawr i'r Aifft i aros yno dros dro, am fod y newyn yn fawr yn y tir. 
GEN.12.11	A phan oedd ar gyrraedd yr Aifft, dywedodd wrth Sarai ei wraig, “Gwn yn dda dy fod yn wraig brydferth; 
GEN.12.12	a phan wêl yr Eifftiaid di, fe ddywedant, ‘Dyma ei wraig.’ A lladdant fi, a'th gadw di'n fyw. 
GEN.12.13	Dywed mai fy chwaer wyt, fel y bydd yn dda i mi o'th herwydd ac yr arbedir fy mywyd o'th achos.” 
GEN.12.14	Pan gyrhaeddodd Abram yr Aifft, gwelodd yr Eifftiaid fod y wraig yn brydferth iawn. 
GEN.12.15	A gwelodd tywysogion Pharo hi a'i chanmol wrth Pharo, a chymerwyd y wraig i dŷ Pharo. 
GEN.12.16	Bu yntau'n dda wrth Abram er ei mwyn hi; a chafodd Abram ganddo ddefaid, ychen, asynnod, gweision, morynion, asennod a chamelod.
GEN.12.17	Ond trawodd yr 
GEN.12.18	A galwodd Pharo ar Abram a dweud, “Beth yw hyn yr wyt wedi ei wneud i mi? Pam na ddywedaist wrthyf mai dy wraig oedd hi? 
GEN.12.19	Pam y dywedaist, ‘Fy chwaer yw hi’, fel fy mod wedi ei chymryd yn wraig imi? Dyma dy wraig; cymer hi a dos ymaith.” 
GEN.12.20	A rhoes Pharo orchymyn i'w wŷr amdano, ac anfonasant ef a'i wraig a'i holl eiddo ymaith.
GEN.13.1	Yna aeth Abram i fyny o'r Aifft i'r Negef, ef a'i wraig a'i holl eiddo, a hefyd Lot. 
GEN.13.2	Yr oedd Abram yn gyfoethog iawn o anifeiliaid, ac o arian ac aur. 
GEN.13.3	Teithiodd ymlaen o'r Negef hyd Bethel, i'r man rhwng Bethel ac Ai lle'r oedd ei babell ar y dechrau, 
GEN.13.4	y man lle'r oedd wedi gwneud allor ar y cychwyn; ac yno galwodd Abram ar enw'r 
GEN.13.5	Yr oedd gan Lot, a oedd yn teithio gydag Abram, hefyd ddefaid ac ychen a phebyll; 
GEN.13.6	ac ni allai'r tir eu cynnal ill dau gyda'i gilydd. Am fod eu meddiannau mor helaeth, ni allent drigo ynghyd; 
GEN.13.7	a bu cynnen rhwng bugeiliaid anifeiliaid Abram a rhai Lot. Y Canaaneaid a'r Peresiaid oedd yn byw yn y wlad yr amser hwnnw.
GEN.13.8	Yna dywedodd Abram wrth Lot, “Peidied â bod cynnen rhyngom, na rhwng fy mugeiliaid i a'th rai di, oherwydd perthnasau ydym. 
GEN.13.9	Onid yw'r holl wlad o'th flaen? Ymwahana oddi wrthyf. Os troi di i'r chwith, fe drof finnau i'r dde; ac os i'r dde, trof finnau i'r chwith.” 
GEN.13.10	Cododd Lot ei olwg, a gwelodd fod holl wastadedd yr Iorddonen i gyfeiriad Soar i gyd yn ddyfradwy, fel gardd yr 
GEN.13.11	A dewisodd Lot iddo'i hun holl wastadedd yr Iorddonen, a theithio tua'r dwyrain; felly yr ymwahanodd y naill oddi wrth y llall. 
GEN.13.12	Yr oedd Abram yn byw yng ngwlad Canaan, a Lot yn ninasoedd y gwastadedd, gan symud ei babell hyd at Sodom. 
GEN.13.13	Yr oedd gwŷr Sodom yn ddrygionus, yn pechu'n fawr yn erbyn yr 
GEN.13.14	Wedi i Lot ymwahanu oddi wrtho, dywedodd yr 
GEN.13.15	oherwydd yr holl dir yr wyt yn ei weld, fe'i rhoddaf i ti ac i'th ddisgynyddion hyd byth. 
GEN.13.16	Gwnaf dy had fel llwch y ddaear; os dichon neb rifo llwch y ddaear, yna fe rifir dy had di. 
GEN.13.17	Cod, rhodia ar hyd a lled y wlad, oherwydd i ti yr wyf yn ei rhoi.” 
GEN.13.18	Yna symudodd Abram ei babell a mynd i fyw wrth dderw Mamre, sydd yn Hebron; ac adeiladodd allor yno i'r 
GEN.14.1	Yn nyddiau Amraffel brenin Sinar, Arioch brenin Elasar, Cedorlaomer brenin Elam, a Tidal brenin Goim, 
GEN.14.2	rhyfelodd y rhain yn erbyn Bera brenin Sodom, Birsa brenin Gomorra, Sinab brenin Adma, Semeber brenin Seboim, a brenin Bela, sef Soar. 
GEN.14.3	Cyfarfu'r rhain i gyd yn nyffryn Sidim, sef y Môr Heli. 
GEN.14.4	Am ddeuddeng mlynedd y buont yn gwasanaethu Cedorlaomer, nes iddynt wrthryfela yn y drydedd flwyddyn ar ddeg. 
GEN.14.5	Ac yn y bedwaredd flwyddyn ar ddeg daeth Cedorlaomer a'r brenhinoedd oedd gydag ef a tharo'r Reffaimiaid yn Asteroth-carnaim, y Susiaid yn Ham, yr Emiaid yn Safe-ciriathaim, 
GEN.14.6	yr Horiaid ym mynydd-dir Seir, hyd El-paran ar fin y diffeithwch. 
GEN.14.7	Yna troesant a dod i En-mispat, sef Cades, a tharo holl dir yr Amaleciaid, a hefyd yr Amoriaid, a oedd yn trigo yn Hasason-Tamar. 
GEN.14.8	Yna aeth brenin Sodom, brenin Gomorra, brenin Adma, brenin Seboim a brenin Bela, sef Soar, i ryfela yn nyffryn Sidim yn erbyn 
GEN.14.9	Cedorlaomer brenin Elam, Tidal brenin Goim, Amraffel brenin Sinar ac Arioch brenin Elasar, pedwar brenin yn erbyn pump. 
GEN.14.10	Yr oedd dyffryn Sidim yn llawn o byllau pyg; ac wrth i frenhinoedd Sodom a Gomorra ffoi, syrthiasant i mewn iddynt, ond ffodd y lleill i'r mynydd. 
GEN.14.11	Yna cipiodd y pedwar holl eiddo Sodom a Gomorra, a'u holl luniaeth, a mynd ymaith. 
GEN.14.12	Cymerasant hefyd Lot, mab i frawd Abram, a oedd yn byw yn Sodom, a'i eiddo, ac aethant ymaith.
GEN.14.13	A daeth un oedd wedi dianc, a dweud am hyn wrth Abram yr Hebread, a oedd yn byw wrth dderw Mamre yr Amoriad, brawd Escol ac Aner, rhai oedd mewn cynghrair ag Abram. 
GEN.14.14	Pan glywodd Abram am gaethgludo'i frawd, casglodd
GEN.14.15	Aeth ef a'i weision yn finteioedd yn eu herbyn liw nos, a'u taro a'u hymlid hyd Hoba, i'r gogledd o Ddamascus. 
GEN.14.16	A daeth â'r holl eiddo yn ôl, a dwyn yn ôl hefyd ei frawd Lot a'i eiddo, a'r gwragedd a'r bobl.
GEN.14.17	Wedi i Abram ddychwelyd o daro Cedorlaomer a'r brenhinoedd oedd gydag ef, aeth brenin Sodom allan i'w gyfarfod i ddyffryn Safe, sef Dyffryn y Brenin. 
GEN.14.18	A daeth Melchisedec brenin Salem â bara a gwin iddo; yr oedd ef yn offeiriad i'r Duw Goruchaf, 
GEN.14.19	a bendithiodd ef a dweud:
GEN.14.19	“Bendigedig fyddo Abram gan y Duw Goruchaf,
GEN.14.19	perchen nef a daear;
GEN.14.20	a bendigedig fyddo'r Duw Goruchaf,
GEN.14.20	a roes dy elynion yn dy law.”
GEN.14.20	A rhoddodd Abram iddo ddegwm o'r cwbl.
GEN.14.21	Dywedodd brenin Sodom wrth Abram, “Rho'r bobl i mi, a chymer di'r eiddo.” 
GEN.14.22	Ond dywedodd Abram wrth frenin Sodom, “Tyngais i'r 
GEN.14.23	na chymerwn nac edau na charrai esgid, na dim oll sy'n eiddo i ti, rhag i ti ddweud, ‘Yr wyf wedi cyfoethogi Abram.’ 
GEN.14.24	Ni chymeraf ond yr hyn a fwytaodd y llanciau, a chyfran y gwŷr a ddaeth gyda mi, sef Aner, Escol a Mamre; cânt hwy gymryd eu cyfran.”
GEN.15.1	Wedi'r pethau hyn, daeth gair yr 
GEN.15.2	Ond dywedodd Abram, “O Arglwydd 
GEN.15.3	Dywedodd Abram hefyd, “Edrych, nid wyt wedi rhoi epil i mi; a chaethwas o'm tŷ yw f'etifedd.” 
GEN.15.4	Yna daeth gair yr 
GEN.15.5	Aeth ag ef allan a dywedodd, “Edrych tua'r nefoedd, a rhifa'r sêr os gelli.” Yna dywedodd wrtho, “Felly y bydd dy ddisgynyddion.” 
GEN.15.6	Credodd Abram yn yr 
GEN.15.7	Yna dywedodd wrtho, “Myfi yw'r 
GEN.15.8	Ond dywedodd ef, “O Arglwydd 
GEN.15.9	Dywedodd yntau wrtho, “Dwg imi heffer deirblwydd, gafr deirblwydd, hwrdd teirblwydd, turtur a chyw colomen.” 
GEN.15.10	Daeth â'r rhain i gyd ato, a'u hollti'n ddau a gosod y naill ddarn gyferbyn â'r llall; ond ni holltodd yr adar. 
GEN.15.11	A phan fyddai adar yn disgyn ar y cyrff byddai Abram yn eu hel i ffwrdd. 
GEN.15.12	Fel yr oedd yr haul yn machlud, syrthiodd trymgwsg ar Abram; a dyna ddychryn a thywyllwch dudew yn dod arno. 
GEN.15.13	Yna dywedodd yr 
GEN.15.14	ond dof â barn ar y genedl y byddant yn ei gwasanaethu, ac wedi hynny dônt allan gyda meddiannau lawer. 
GEN.15.15	Ond byddi di dy hun farw mewn tangnefedd, ac fe'th gleddir mewn oedran teg. 
GEN.15.16	A dychwelant hwy yma yn y bedwaredd genhedlaeth; oherwydd ni chwblheir hyd hynny ddrygioni'r Amoriaid.” 
GEN.15.17	Yna wedi i'r haul fachlud, ac iddi dywyllu, ymddangosodd ffwrn yn mygu a ffagl fflamllyd yn symud rhwng y darnau hynny.
GEN.15.18	Y dydd hwnnw, gwnaeth yr 
GEN.15.18	“I'th ddisgynyddion di y rhoddaf y wlad hon,
GEN.15.18	o afon yr Aifft hyd yr afon fawr, afon Ewffrates.”
GEN.15.19	Dyna wlad y Ceneaid, y Cenesiaid, y Cadmoniaid, 
GEN.15.20	yr Hethiaid, y Peresiaid, y Reffaimiaid, 
GEN.15.21	yr Amoriaid, y Canaaneaid, y Girgasiaid, a'r Jebusiaid.
GEN.16.1	Nid oedd plant gan Sarai gwraig Abram, ond yr oedd ganddi forwyn o Eifftes, o'r enw Hagar. 
GEN.16.2	Dywedodd Sarai wrth Abram, “Edrych yn awr, y mae'r 
GEN.16.3	Wedi i Abram fyw am ddeng mlynedd yng ngwlad Canaan, cymerodd Sarai gwraig Abram ei morwyn Hagar yr Eifftes, a'i rhoi'n wraig i'w gŵr Abram. 
GEN.16.4	Cafodd ef gyfathrach â Hagar, a beichiogodd hithau; a phan ddeallodd ei bod yn feichiog, aeth ei meistres yn ddibris yn ei golwg. 
GEN.16.5	Yna dywedodd Sarai wrth Abram, “Bydded fy ngham arnat ti! Rhoddais fy morwyn yn dy fynwes, a phan ddeallodd ei bod yn feichiog, euthum yn ddibris yn ei golwg. Bydded i'r 
GEN.16.6	Dywedodd Abram wrth Sarai, “Edrych, y mae dy forwyn dan dy ofal; gwna iddi fel y gweli'n dda.” Yna bu Sarai yn gas wrthi, nes iddi ffoi oddi wrthi.
GEN.16.7	Daeth angel yr 
GEN.16.8	A dywedodd wrthi, “Hagar forwyn Sarai, o ble y daethost, ac i ble'r wyt yn mynd?” Dywedodd hithau, “Ffoi yr wyf oddi wrth fy meistres Sarai.” 
GEN.16.9	A dywedodd angel yr 
GEN.16.10	Dywedodd angel yr 
GEN.16.11	A dywedodd angel yr 
GEN.16.11	“Yr wyt yn feichiog, ac fe esgori ar fab;
GEN.16.11	byddi'n ei alw yn Ismael
GEN.16.11	oherwydd clywodd yr 
GEN.16.12	Asyn gwyllt o ddyn a fydd,
GEN.16.12	a'i law yn erbyn pawb, a llaw pawb yn ei erbyn ef,
GEN.16.12	un yn byw'n groes i'w holl gymrodyr.”
GEN.16.13	A galwodd hi enw'r 
GEN.16.14	Am hynny galwyd y pydew Beer-lahai-roi;
GEN.16.15	Ac esgorodd Hagar ar fab i Abram; ac enwodd Abram y mab a anwyd i Hagar yn Ismael. 
GEN.16.16	Yr oedd Abram yn wyth deg a chwech oed pan anwyd iddo Ismael o Hagar.
GEN.17.1	Pan oedd Abram yn naw deg a naw mlwydd oed ymddangosodd yr 
GEN.17.2	Gwnaf fy nghyfamod â thi, ac amlhaf di'n ddirfawr.” 
GEN.17.3	Syrthiodd Abram ar ei wyneb, a llefarodd Duw wrtho a dweud, 
GEN.17.4	“Dyma fy nghyfamod i â thi: byddi'n dad i lu o genhedloedd, 
GEN.17.5	ac ni'th enwir di mwyach yn Abram, ond yn Abraham, gan imi dy wneud yn dad i lu o genhedloedd. 
GEN.17.6	Gwnaf di'n ffrwythlon iawn; a gwnaf genhedloedd ohonot, a daw brenhinoedd allan ohonot. 
GEN.17.7	Sefydlaf fy nghyfamod yn gyfamod tragwyddol â thi, ac â'th ddisgynyddion ar dy ôl dros eu cenedlaethau, i fod yn Dduw i ti ac i'th ddisgynyddion ar dy ôl. 
GEN.17.8	A rhoddaf y wlad yr wyt yn crwydro ynddi, sef holl wlad Canaan, yn etifeddiaeth dragwyddol i ti ac i'th ddisgynyddion ar dy ôl, a byddaf yn Dduw iddynt.”
GEN.17.9	Dywedodd Duw wrth Abraham, “Cadw di fy nghyfamod, ti a'th ddisgynyddion ar dy ôl dros eu cenedlaethau. 
GEN.17.10	Dyma fy nghyfamod rhyngof fi a chwi, yr ydych i'w gadw, ti a'th ddisgynyddion ar dy ôl: y mae pob gwryw ohonoch i'w enwaedu. 
GEN.17.11	Enwaedir chwi yng nghnawd eich blaengrwyn, a bydd yn arwydd cyfamod rhyngom. 
GEN.17.12	Dros eich cenedlaethau, fe enwaedir pob gwryw ohonoch sydd yn wyth diwrnod oed, boed wedi ei eni i'r teulu, neu'n ddieithryn heb fod yn un o'th ddisgynyddion, ond a brynwyd ag arian. 
GEN.17.13	Rhaid enwaedu'r sawl a enir i'r teulu, a'r sawl a brynir â'th arian; a bydd fy nghyfamod yn eich cnawd yn gyfamod tragwyddol. 
GEN.17.14	Y mae unrhyw wryw dienwaededig nad enwaedwyd cnawd ei flaengroen, i'w dorri ymaith o blith ei bobl; y mae wedi torri fy nghyfamod.”
GEN.17.15	Dywedodd Duw wrth Abraham, “Ynglŷn â'th wraig Sarai: nid Sarai y gelwir hi, ond Sara fydd ei henw. 
GEN.17.16	Bendithiaf hi, a rhoddaf i ti fab ohoni; ie, bendithiaf hi, a bydd yn fam i genhedloedd, a daw brenhinoedd pobloedd ohoni.” 
GEN.17.17	Ymgrymodd Abraham, ond chwarddodd ynddo'i hun, a dweud, “A enir plentyn i ŵr canmlwydd oed? A fydd Sara'n geni plentyn yn naw deg oed?” 
GEN.17.18	A dywedodd Abraham wrth Dduw, “O na byddai Ismael fyw ger dy fron!” 
GEN.17.19	Ond dywedodd Duw, “Na, bydd dy wraig Sara yn geni iti fab, a gelwi ef Isaac
GEN.17.20	Ynglŷn ag Ismael: yr wyf wedi gwrando arnat, a bendithiaf yntau a'i wneud yn ffrwythlon a'i amlhau'n ddirfawr; bydd yn dad i ddeuddeg tywysog, a gwnaf ef yn genedl fawr. 
GEN.17.21	Ond byddaf yn sefydlu fy nghyfamod ag Isaac, y mab y bydd Sara yn ei eni iti erbyn yr amser yma'r flwyddyn nesaf.” 
GEN.17.22	Wedi iddo orffen llefaru, aeth Duw oddi wrth Abraham.
GEN.17.23	Yna cymerodd Abraham ei fab Ismael, a phawb a anwyd yn ei dŷ neu a brynwyd â'i arian, pob gwryw o deulu Abraham, ac enwaedodd gnawd eu blaengrwyn y diwrnod hwnnw, fel yr oedd Duw wedi dweud wrtho. 
GEN.17.24	Yr oedd Abraham yn naw deg a naw mlwydd oed pan enwaedwyd cnawd ei flaengroen, 
GEN.17.25	a'i fab Ismael yn dair ar ddeg oed pan enwaedwyd cnawd ei flaengroen yntau. 
GEN.17.26	Y diwrnod hwnnw enwaedwyd Abraham a'i fab Ismael; 
GEN.17.27	ac enwaedwyd gydag ef holl ddynion ei dŷ, y rhai a anwyd i'r teulu a phob dieithryn a brynwyd ag arian.
GEN.18.1	Ymddangosodd yr 
GEN.18.2	Cododd ei olwg a gwelodd dri gŵr yn sefyll o'i flaen. Pan welodd hwy, rhedodd o ddrws y babell i'w cyfarfod, ac ymgrymu i'r llawr, 
GEN.18.3	a dweud, “F'arglwydd, os cefais ffafr yn d'olwg, paid â mynd heibio i'th was. 
GEN.18.4	Dyger ychydig ddŵr, a golchwch eich traed a gorffwyso dan y goeden, 
GEN.18.5	a dof finnau â thamaid o fara i'ch cynnal, ac wedyn cewch fynd ymaith; dyna pam yr ydych wedi dod at eich gwas.” Ac meddant, “Gwna fel y dywedaist.” 
GEN.18.6	Brysiodd Abraham i'r babell at Sara, a dweud, “Brysia i estyn tri mesur o flawd peilliaid, tylina ef, a gwna deisennau.” 
GEN.18.7	Yna rhedodd Abraham at y gwartheg, a chymryd llo tyner a da a'i roi i'w was; a brysiodd yntau i'w baratoi. 
GEN.18.8	Cymerodd gaws a llaeth a'r llo yr oedd wedi ei baratoi, a'u gosod o'u blaenau; yna safodd gerllaw o dan y goeden tra oeddent yn bwyta.
GEN.18.9	Gofynasant iddo, “Ble mae dy wraig Sara?” Atebodd yntau, “Dyna hi yn y babell.” 
GEN.18.10	Yna dywedodd yr 
GEN.18.11	Yr oedd Abraham a Sara yn hen, mewn gwth o oedran, ac yr oedd arfer gwragedd wedi peidio i Sara. 
GEN.18.12	Am hynny, chwarddodd Sara ynddi ei hun, a dweud, “Ai wedi imi heneiddio, a'm gŵr hefyd yn hen, y caf hyfrydwch?” 
GEN.18.13	A dywedodd yr 
GEN.18.14	A oes dim yn rhy anodd i'r 
