GEN.1.1	Tô tigkanayan ka langun, igimu ka Manama tô langit
MAT.14.23	Tô igpanó dan dán, igtikáddág si Jesus tun ta pabungan ébô dumasal na sábbad din dád. Tô ágkasalláp dán tô álló, tun pô ta pabungan si Jesus. 
MAT.14.24	Asal madiyù dán tô barangé su tun dán ta tángngaan katô ranó. Tuu dan ihirapan, su idungguan dan ka magdakál balud, asta ikasumar dan ka mabákkár karamag. 
MAT.14.25	Na, tô masig dán igsállám, igsadun si Jesus tun kandan, asta igpanó sikandin tun ta bówwó katô ranó. 
MAT.14.26	Tô igkita dan na igpanó sikandin tun ta bówwó katô ranó, tuu dan imáddangan. Tingód katô máddang dan, igullaó sikandan, na mà dan, “Gimukud!”
MAT.14.27	Asal tigkô dád igkagi si Jesus kandan, na mà din, “Pasarig yu tô pusung yu, su sakán ni. Yakó ágkamáddangan.”
MAT.14.28	Igkagi si Pedro, na mà din, “Áglangngagán, atin ka bánnal na sikuna yan, papanówa nit bówwó ka ranó ébô makasadunna diyan áknikó.”
MAT.14.29	Igkagi si Jesus, na mà din, “Sadun ka dini.”
MAT.14.29	Purisu igpónóg si Pedro tikud tun ta barangé, asta igpanó tun ta bówwó ka ranó ébô madun tun ki Jesus. 
MAT.14.30	Asal tô igriyu din tô mabákkár karamag, imáddangan sikandin asta masig pád ilánnád. Igtawar sikandin, na mà din, “Áglangngagán, tabangiya.”
MAT.14.31	Sékót si Jesus igawid kandin, asta igkagi, na mà din, “Délák tô kasarig nu kanak. Yaka ágduwa-duwa.”
MAT.14.32	Tô igsaké dan tun ta barangé, igsódô dán tô karamag. 
MAT.14.33	Iglingkóód tô mga disipulu tun ki Jesus, igpangadap dan kandin, asta igkagi sikandan, na mà dan, “Sikuna tô bánnal Batà ka Manama.”
MAT.14.34	Na, tô igtalipag dan katô ranó, igdunggù dan tun ta Genesaret. 
MAT.14.35	Igkilala tô mga taga Genesaret ki Jesus. Purisu igpakangé dan tô langun ágkabógókan tikud tun ta mga banuwa na madani. 
MAT.14.36	Igpédu-édu dan ki Jesus ka mému mawid dan katô ugpu ka umpak din, asta inólian tô langun dan na ikawid.
MAT.15.1	Na, duwán mga Pariseo asta mga taratinurù ka sugù na igsadun tun ki Jesus tikud tun ta Jerusalem. Iginsà dan kandin, na mà dan, 
MAT.15.2	“Manan ka dì ágbánnal tô mga disipulu nu katô ágkémun ka mga kamónaan ta? Atin ka ágkan dan, dì dan ágdamù.”
MAT.15.3	Igkagi si Jesus, na mà din, “Áglapas kó katô mga sugù ka Manama ukit ka kabánnal yu katô ágkémun ka mga kamónaan yu. 
MAT.15.4	Igsugù tô Manama, ‘Respetowi yu tô ákniyu ámmà asta innà.’
MAT.15.5	Asal ágtinurù kó na mému ka dì tumabang tô manubù katô ámmà ó innà din ka kumagi dád, ‘Tô bággén ku pád ákniyu igbággé kud tun ta Manama.’ 
MAT.15.6	Asal ukit ka kabánnal yu kani ágkémun, géllé kó katô sugù ka Manama na kailangan tabangan yu tô ámmà asta innà yu. 
MAT.15.7	Kéman yu ka nángngà tô áglumun yu tun ta saruwan ka Manama! Sikiyu tô igtádduan kani kagi ka Manama na igulit i Isaias sayyan,
MAT.15.8	“‘Ágkagi tô mga manubù na ágpangadap dan kanak, asal madiyù tô pusung dan kanak. 
MAT.15.9	Dì nángngà tô kapangadap dan kanak, su igimu dan iring na tinurù ka Manama tô mga ágtinuruán ka manubù.’”
MAT.15.10	Na, marapung tô mga manubù na ilimud dutun, asta igtawar si Jesus kandan ébô madani dan tun kandin. Igkagi sikandin, na mà din, “Paminág kó kanak ébô makagpát kó. 
MAT.15.11	Ánnà tô ágkakan na mahu tun ta babbà tô makaripà ka manubù, asal tô madat mga kagi na ágluwà tikud tun ta babbà din tô makaripà ka manubù tun ta saruwan ka Manama.”
MAT.15.12	Na, igpadani tô mga disipulu i Jesus tun kandin, asta igkagi dan, na mà dan, “Miringasa tô mga Pariseo tingód katô igkagi nu géna.”
MAT.15.13	Igkagi si Jesus, na mà din, “Péwaán tô langun dan, su béttódán tikud tun ta kinamát tô langun pamula na ándà pamulayi katô Ámmà ku na góddô tun ta langit. 
MAT.15.14	Liliyi yu tô mga Pariseo. Iring dan na bólóg na gagak. Atin ka magak tô bólóg katô ássa bólóg, madabù tô duwa dan tun ta madalám bóbbó.”
MAT.15.15	Igkagi si Pedro, na mà din, “Uliti ké ka ándin é kóbadan katô panunggiringan na igtinurù nu géna.”
MAT.15.16	Igkagi si Jesus, na mà din, “Isalábbuanna su iring kó na mga manubù na dì pakagpát. 
MAT.15.17	Agad ándin tô ágkakan na pahun tun ta babbà ka manubù, tô gó é manayun tun ta gátták, asta lumuwà tikud tun ta lawa. 
MAT.15.18	Asal tô kagi na lumuwà tikud tun ta babbà ka manubù, tikud tun ta pusung din, asta tô gó é makaripà kandin. 
MAT.15.19	Tô pusung tô ágtikudan katô madat mga panámdám, ágmaté, áglibug, ágtakó, ágtestigos ka bulaló, asta ágkagi ka madat tingód ka duma manubù. 
MAT.15.20	Karipaan tô manubù ukit kani langun. Asal dì karipaan tô manubù na ágkan ka dì ágdamù.”
MAT.15.21	Igpanó si Jesus, asta igsadun sikandin tun ta probinsya na madani tun ta lunsud ka Tiro asta Sidon. 
MAT.15.22	Duwán sábbad bayi na igóddô dutun na ánnà Judio, su Canaanhon tô mga kamónaan din. Igsadun sikandin tun ki Jesus, asta igtawar, na mà din, “Sir, rubbad i David, kéduwiya, su ágkatuuwan ni batà ku bayi na gahuwan ka madat espiritu.”
MAT.15.23	Asal ándà taba si Jesus kandin. Purisu igpadani tô mga disipulu i Jesus tun kandin, asta igkagi sikandan, na mà dan, “Péwà nu yan bayi, su ágtákkás sikandin áknita, asta tuu gótép.”
MAT.15.24	Igkagi si Jesus, na mà din, “Igpapidda ébô tabangan ku dád tô mga rubbad i Israel na iring na mga karnero na itadin.”
MAT.15.25	Na, igpadani tô bayi tun ki Jesus, iglingkóód asta igkagi sikandin, na mà din, “Sir, tabangiya.”
MAT.15.26	Igkagi si Jesus, na mà din, “Asal duwán ágkagin na dì mému ka kangén tô ágkakan ka mga gabatà ébô pakannán ka mga asu.”
MAT.15.27	Igkagi tô bayi, na mà din, “Sir, bánnal tô igkagi nu. Asal tô mga asu mému kuman katô mumu na ágkadabù tikud tun ta lamisa katô amo.”
MAT.15.28	Igkagi si Jesus katô bayi, na mà din, “Dakál tô kasarig nu kanak! Tumanán ku tô kakalyag nu.”
MAT.15.28	Tigkô dád igmadigár tô batà din tô oras tô.
MAT.15.29	Na, igpanó si Jesus, asta igukit sikandin tun ta ligad ka Ranó ka Galilea. Igtikáddág sikandin tun ta madani pabungan asta igunsad sikandin. 
MAT.15.30	Marapung tô mga manubù na igsadun tun kandin, asta igpid dan tô duma mga manubù na duwán ássa-ássa bógók. Duwán mga kapig, mga pantig, mga bólóg, mga ómmó, asta marapung tô duma na mga ágkabógókan. Igpid dan madani tun ki Jesus. Igdappánnan din ka bállad sikandan, asta inólian dan. 
MAT.15.31	Isalábbuan tô langun manubù, su igkita dan na ikakagi tô mga ómmó, inólian tô mga pantig, ikapanó tô mga kapig, asta ikakita tô mga bólóg. Purisu igdurung dan tô Manama na ágpangadapán katô mga rubbad i Israel.
MAT.15.32	Na, igtawar i Jesus tô mga disipulu din, asta igkagi sikandin, na mà din, “Inéduwanna kani mga manubù, su itálluwan dan dán na ágtákkás kanak, asta ándà dán ágkannán dan. Dì mému ka pólián ku sikandan na ágballusán agó kagáttasan dan tun ta dalan.”
MAT.15.33	Igkagi tô mga disipulu din, na mà dan, “Ándà góddô kannun, asta ándà palang kangayan ta ka makan para kandan, su tuu dan marapung.”
MAT.15.34	Iginsà si Jesus, na mà din, “Pira abuk tô pan tun ákniyu?”
MAT.15.34	Igtaba sikandan, na mà dan, “Pittu abuk pan, asta pira dád abuk marénták sáddà.”
MAT.15.35	Na, igpónsad i Jesus tô langun manubù tun ta tanà. 
MAT.15.36	Igkangé din tô pittu abuk pan asta tô sáddà, asta igpasalamatan din tun ta Manama. Igtáppik-táppik din tô pan asta tô sáddà, igbággé din tun ta mga disipulu din, asta igtalad dan tun ta mga manubù na ilimud. 
MAT.15.37	Ikakan tô langun manubù, asta ibássug dan. Iglimud dan tô isamà, asta pittu tô magdakál basket na ipánnù. 
MAT.15.38	Mga áppat mararan (4,000) tô mga gamama na ikakan, asta ándà iyapi tô mga gabayi asta tô mga gabatà.
MAT.15.39	Igpólì i Jesus tô langun dan, igsaké sikandin ka barangé, asta igsadun sikandin tun ta probinsya na madani tun ta Magadan.
MAT.16.1	Na, duwán mga Pariseo asta mga Saduseo na igpadani tun ki Jesus ébô kuminnam kandin. Purisu igpamuyù dan na pakitanán din tô kasalábbuan tikud tun ta Manama. 
MAT.16.2	Igkagi si Jesus, na mà din, “Atin ka ágmallutù tô langit ka ágsalláp tô álló, kasóddóran yu na dì mudan simag. 
MAT.16.3	Atin ka mallutù asta mangittáng tô sagulapun ka ágsilat tô álló, kasóddóran yu na mudan. Agad ágkakilalaan yu tô gahaanan tun ta langit, asal ándà yu kagpátti tô mga kakilalaan áknganni. 
MAT.16.4	Kakalyag yu na pakitanán ku ákniyu tô kasalábbuan su madat kó asta igtayyug kó katô Manama. Asal sábbad dád é kasalábbuan na pakitanán ákniyu na iring katô ilumu ki Jonas.”
MAT.16.4	Na, igpanó si Jesus tikud tun kandan.
MAT.16.5	Na, tô igtalipag tô mga disipulu i Jesus katô ranó, ándà pan na igpid dan, su ilingawan dan tô tánnó dan. 
MAT.16.6	Igkagi si Jesus, na mà din, “Banté kó katô pagpatubù ka pan
MAT.16.7	Igpatóngkóé tô mga disipulu din, na mà dan, “Tô gó é igkagi din su ándà pan na igpid ta.”
MAT.16.8	Asal isóddóran i Jesus ka ándin tô panámdám dan. Purisu igkagi sikandin, na mà din, “Délák tô kasarig yu kanak. Ándà kó pa ikagpát. Purisu ágpatóngkóé kó na ándà pan na igpid yu. 
MAT.16.9	Isalábbuanna ákniyu, su ándà kó pa ikasóddór ka ándin tô mému lumun ku. Iring na ilingawan yud tô igpakan ku tô lima mararan (5,000) manubù katô lima abuk pan, asta marapung tô magdakál basket na igipánnù yu katô isamà. 
MAT.16.10	Iring na ilingawan yu tô igpakan ku tô áppat mararan (4,000) manubù katô pittu abuk pan, asta marapung tô magdakál basket na igipánnù yu katô isamà. 
MAT.16.11	Asal isalábbuanna su ándà kó pa ikagpát na ánnà pan tô kóbadan katô igkagi ku géna. Kailangan banté kó katô pagpatubù ka pan katô mga Pariseo asta mga Saduseo.”
MAT.16.12	Na, ikagpát dan na ánnà pagpatubù ka pan tô bantéyan dan, asal kailangan bantéyan dan tô ágtinuruán katô mga Pariseo asta mga Saduseo.
MAT.16.13	Na, igsadun si Jesus madani tun ta lunsud ka Cesarea Filipos. Iginsà sikandin katô mga disipulu din, na mà din, “Ándin tô ágkagin ka mga manubù tingód kanak na Igpamanubù? Sadanna kun?”
MAT.16.14	Igtaba sikandan, na mà dan, “Duwán mga manubù na ágkagi na sikuna si Juan na Tarabunyag. Duwán ássa mga manubù na ágkagi na sikuna si Elias. Duwán ássa ágkagi na sikuna si Jeremias ó sábbad propeta ka Manama sayyan.”
MAT.16.15	Iginsà si Jesus, na mà din, “Asal ándin é ákniyu panámdám tingód kanak? Sadanna?”
MAT.16.16	Igtaba si Simon Pedro, na mà din, “Sikuna tô Mesiyas. Sikuna tô Batà katô manté Manama na ándà ágtamanán.”
MAT.16.17	Igkagi si Jesus, na mà din, “Simon, batà i Jonas, duwán dayó nu! Ánnà manubù tô igpasóddór áknikó na sakán tô Batà ka Manama, asal Ámmà ku tun ta langit tô igpasóddór kanan áknikó. 
MAT.16.18	Purisu kagin ku áknikó, sikuna si Pedro,
MAT.16.19	Bággén ku áknikó tô susì katô pagpangulu ka Manama. Tô dian nu dini ta banuwa, tô gó é dian katô Manama na góddô tun ta langit, asta tô nunugan nu dini ta banuwa, tô gó é nunugan katô Manama na góddô tun ta langit.”
MAT.16.20	Na, maggát igsapad si Jesus na kailangan dì dan mulit tun ta duma mga manubù na sikandin tô Mesiyas.
MAT.16.21	Tikud katô álló tô, igulit si Jesus tun ta mga disipulu din ka ándin tô matuman dumunggù tun kandin. Kailangan madun sikandin tun ta Jerusalem, asta pahirapan sikandin katô mga ágtugállán ka Judio, mallayat ka mga pangulu ka templo asta mga taratinurù ka sugù. Matuman sikandin matayan, asal manté puman sikandin tun ta ikatállu álló.
MAT.16.22	Na, igpadani si Pedro tun ki Jesus, asta igsapadan din, na mà din, “Áglangngagán, mólà pa ka dì malumu diyan áknikó! Dì pád gó matuman.”
MAT.16.23	Asal igbariring si Jesus tun ki Pedro, asta igkagiyan din, na mà din, “Iwà ka, Maibuyan! su sumapad ka pád kanak. Ánnà tikud tun ta Manama tô kakalyag nu, asal tikud dád tun ta panámdám nu.”
MAT.16.24	Na, igkagi si Jesus katô mga disipulu din, na mà din, “Tô manubù na mákkás kanak, kailangan dì sikandin mákkás ka kakalyag ka pusung din, asal kailangan tumiis sikandin ka kahirapan agad matayan sikandin,
MAT.16.25	Tô manubù na áglággád katô kantayan din, kandaan sikandin katô kantayan na ándà ágtamanán. Asal ka mému ka matayan tô manubù tingód katô katákkás din kanak, matanggap din tô kantayan na ándà ágtamanán. 
MAT.16.26	Atin ka makatigatun tô manubù kani tibuk banuwa, asal kandaan sikandin katô kantayan, ándà palang pulusán din, su ándà bullas katô kantayan na ándà ágtamanán. 
MAT.16.27	Sakán tô Igpamanubù, asta lumónódda dini na tákkássan katô mga panaligan asta séllaán katô Ámmà ku. Atin ka lumónódda, sumulì a katô langun manubù tingód katô iglumu dan. 
MAT.16.28	Paminág yu ni kagin ku ákniyu. Duwán dini ákniyu na dì maté sippang ka kumita dan katô katigkanayan ka pagpangulu ku na Igpamanubù.”
MAT.17.1	Na, pángnga ka ánnám álló, igpatákkás i Jesus si Pedro, si Santiago, asta si Juan na adi i Santiago. Igtikáddág dan tun ta mallayat pabungan na ándà palang manubù. 
MAT.17.2	Róggun igsállág dan ki Jesus, ipalin tô bónnóng din na iring na sánnang ka álló. Ágséllà ka kapputian tô langun katô umpak din. 
MAT.17.3	Tigkô dan dád igkita si Moises asta si Elias na igtóngkô ki Jesus. 
MAT.17.4	Igkagi si Pedro ki Jesus, na mà din, “Áglangngagán, madigár su dini ké. Atin ka mému áknikó, mimuwa dini ka tállu rákkó, sábbad para áknikó, sábbad para ki Moises, asta sábbad para ki Elias.”
MAT.17.5	Róggun na igkagi si Pedro, tigkô dád duwán ágséllà sagulapun na ikatambun kandan. Igdinág dan tô kagi ka Manama tikud tun ta sagulapun, na mà din, “Ni gó ni kanak Batà na ágginawaan ku, asta tuuwa idayawan kandin. Paminág yu sikandin.”
MAT.17.6	Tô igdinág tô tállu disipulu, iglangkáb dan asta tuu dan imáddangan. 
MAT.17.7	Asal igpadani si Jesus tun kandan, igawidan din, asta igkagi sikandin, na mà din, “Tindág kó. Yakó ágkamáddangan.”
MAT.17.8	Tô iglangngag dan, igkita dan si Jesus na sábbad din dád man.
MAT.17.9	Na, róggun igtupang dan tikud tun ta pabungan, igkagi si Jesus tun kandan, na mà din, “Yakó gulit tingód katô igkita yu róggun ándà a pa kanté puman na Igpamanubù.”
MAT.17.10	Na, iginsà tô mga disipulu din, na mà dan, “Manan ka ágtinurù tô mga taratinurù ka sugù na kailangan lumónód si Elias tô dì pa dumunggù tô Mesiyas?”
MAT.17.11	Igtaba si Jesus, na mà din, “Bánnal na dumunggù pa si Elias, su sikandin tô tumaganà katô langun. 
MAT.17.12	Asal mulitta ákniyu na igdunggù dán sikandin, asal ándà sikandin kilalayi ka mga manubù. Asal igtuman dan tô madat kakalyag dan kandin. Iring pagsik kanan, pahirapanna na Igpamanubù ukit ka lumun dan kanak.”
MAT.17.13	Purisu ikagpát tô mga disipulu din na si Juan na Tarabunyag tô igtuman katô tandô tingód katô kadunggù i Elias.
MAT.17.14	Tô igdunggù dan tun ta marapung manubù na igangat kandan, duwán sábbad mama na igpadani tun ki Jesus. Iglingkóód sikandin, asta igkagi, na mà din, 
MAT.17.15	“Áglangngagán, kéduwi nu ni batà ku mama, su ágtuyù-tuyù sikandin, asta ágkahirapan. Marag sikandin ágkabantang tun ta apuy asta tun ta wayig. 
MAT.17.16	Igpid ku sikandin tun ta mga disipulu nu ébô kólian sikandin, asal ándà dan ikému.”
MAT.17.17	Igkagi si Jesus, na mà din, “Sikiyu mga manubù áknganni, dì kó ágsarig kanak, asta madat tô panámdám yu. Dì dán madugé na dumuma a ákniyu, asal kailangan tumiissa pa. Na, pid yu dini kanak tô batà.”
MAT.17.18	Na, igsapadan i Jesus tô madat espiritu, asta igluwà tikud tun ta batà. Tigkô inólian sikandin.
MAT.17.19	Na, igpadani tô mga disipulu i Jesus tun kandin na ándà duma manubù, asta iginsà sikandan, na mà dan, “Manan ka ándà ké ikapaluwà katô madat espiritu?”
MAT.17.20	Igkagi si Jesus, na mà din, “Su délák pa tô kasarig yu kanak. Paminág yu ni kagin ku ákniyu. Atin ka duwán kasarig yu kanak iring dád na délák lisu ka mustasa, makakagi kó tun ta pabungan, na mà yu, ‘Alin ka dutun.’ Purisu malin tô pabungan. Ándà palang na dì yu mému. 
MAT.17.21	[Asal paluwaán ni klasi ka madat espiritu ukit dád ka kadasal asta kapuwasa.]”
MAT.17.22	Na, tô ilimud dán tô mga disipulu i Jesus tun ta probinsya ka Galilea, igkagi si Jesus, na mà din, “Matuman ni dumunggù kanak na Igpamanubù. Kailangan bággénna tun ta bállad katô duma mga manubù. 
MAT.17.23	Matayanna ikandan, asta mantéya puman tun ta ikatállu álló.”
MAT.17.23	Purisu tuu dan iranu.
MAT.17.24	Tô igdunggù dan tun ta lunsud ka Capernaum, duwán mga taralimud ka buwis para katô templo. Iginsà dan ki Pedro, na mà dan, “Ágbayad tô pangulu yu ka buwis para katô templo?”
MAT.17.25	Igtaba si Pedro, na mà din, “Óó.”
MAT.17.25	Tô igulì dán si Pedro tun ta balé, tô ándà pa kagi sikandin, igkagi si Jesus ki Pedro, na mà din, “Simon, duwán insà ku áknikó. Sadan tô mga manubù na kailangan mayad ka buwis tun ta harì? Tô kandin pamilya, ó tô ássa mga manubù?”
MAT.17.26	Igtaba si Pedro, na mà din, “Tô ássa mga manubù.”
MAT.17.26	Igkagi si Jesus, na mà din, “Purisu dì ágbayad tô kandin pamilya. 
MAT.17.27	Asal ébô dì maringasa tô mga taralimud ka buwis áknita, sadun ka tun ta ranó, asta pamunuwit ka. Duwán salapì na kitanán nu tun ta babbà katô tagnà sáddà na maggut nu. Nángngà tô salapì para bággén ta tun ta templo. Angé nu, asta bággé nu tun ta mga taralimud ka buwis.”
MAT.18.1	Na, ándà kadugé, igpadani tô mga disipulu i Jesus tun kandin, asta iginsà sikandan, na mà dan, “Sadan tô mallayat é kamanubuan tun ta pagpangulu ka Manama?”
MAT.18.2	Purisu igtawar i Jesus tô sábbad batà, asta igpatindág din tun ta tángngaan dan. 
MAT.18.3	Igkagi si Jesus, na mà din, “Paminág yu ni kagin ku ákniyu. Atin ka malyag kó sakupán katô Manama tun ta pagpangulu din, kailangan pamantun yu tô panámdám yu asta makéring kó na mga gabatà, 
MAT.18.4	su tô manubù na ágpabbabà ka kamanubuan na iring katô kapabbabà kani batà, tô gó é tuu mallayat tun ta pagpangulu ka Manama. 
MAT.18.5	Atin ka ágtanggap kó katô sábbad batà tingód katô kapasakup yu kanak, iring na ágtanggapánna ikiyu.”
MAT.18.6	“Atin ka duwán makandà ka kapamaké katô agad sábbad kani mga marénták gabatà, tuu pa madigár ka ikáttán tô alig din tun ta dakál batu, asta antugán sikandin tun ta dagat. 
MAT.18.7	Makédu-édu tô mga manubù nit banuwa su duwán pakatintal! Ándà makalili katô pagtintal, asal makédu-édu tô manubù na mému gunayan ka pagtintal katô duma manubù!
MAT.18.8	“Atin ka tô bállad nu ó paa nu tô gunayan na makasalà ka, tampád nu asta antug nu, su tuu pa madigár agad sábbad dád tô bállad ó paa nu na duwán kantayan nu na ándà ágtamanán ka tandingán ka antugán tô tibuk lawa nu tun ta apuy na dì gó mapadáng ka ándà ágtamanán. 
MAT.18.9	Atin ka tô mata nu tô gunayan na makasalà ka, lássù nu asta antug nu, su tuu pa madigár agad mandà tô sábbad mata nu na duwán kantayan nu na ándà ágtamanán ka tandingán ka duwán duwa mata nu asta antugán tô tibuk lawa nu tun ta ágsupakanan ka apuy.”
MAT.18.10	“Yakó ágbuyas katô sábbad sakup ku na mabbabà é kamanubuan iring katô kapabbabà kani batà, su kagin ku ákniyu na ágbantéyan dan katô mga panaligan ka Manama na inalayun ágtubang katô Ámmà ku tun ta langit. 
MAT.18.11	[Igsadunna na Igpamanubù dini ta banuwa ébô tumábbussa katô mga manubù na itadin tingód ka mga salà dan.]
MAT.18.12	“Panámdám yu ni. Tô manubù na duwán sábbad gatus (100) karnero din, atin ka sábbad tô matadin, tananan din tô kasiyawan siyó (99) tun ta pabungan ébô pamasakán din tô sábbad karnero na itadin. 
MAT.18.13	Paminág yu ni kagin ku ákniyu. Atin ka kitanán din dán, tuu pa dakál tô dayó din ka tandingán katô dayó din tingód katô kasiyawan siyó (99) na ándà katadin. 
MAT.18.14	Iring kani tô riyun katô Ámmà ku tun ta langit, su dì gó mému kandin ka mandà tô sábbad sakup din.”
MAT.18.15	“Na, atin ka duwán kataladi nu na makalumu ka salà tun áknikó, sadun ka tun kandin na ándà ássa manubù, asta sapadi nu sikandin tingód katô salà na iglumu din. Atin ka maminág sikandin katô kagi nu, mapalónód nu sikandin tun ta Manama. 
MAT.18.16	Atin ka dì sikandin maminág katô kagi nu, patákkás nu tô sábbad ó duwa manubù, asta lónód kó tun kandin, ébô duwán duwa ó tállu testigos na maminág katô tinóngkóan yu.
MAT.18.17	Atin ka diyù gó sikandin maminág kandan, ulit yu tun ta mga ágpampamaké. Atin ka diyù gó sikandin maminág kandan, yakó ágtagad kandin, asal panámdám yu na iring sikandin na ánnà Judio asta iring na taralimud ka buwis.”
MAT.18.18	“Na, paminág yu ni kagin ku ákniyu. Tô dian yu dini ta banuwa, tô gó é dian katô Manama na góddô tun ta langit, asta tô nunugan yu dini ta banuwa, tô gó é nunugan katô Manama na góddô tun ta langit.
MAT.18.19	“Paminág yu ni kagin ku ákniyu. Atin ka duwán duwa manubù nit banuwa na pasábbadé tun ta kadasal, bággén katô Ámmà ku tun ta langit tô ágpamuyuán dan. 
MAT.18.20	Su agad ánda ágpalimudé tô duwa ó tállu manubù ébô mangadap kanak, dutunna duma kandan.”
MAT.18.21	Na, igpadani si Pedro tun ki Jesus, asta iginsà sikandin, na mà din, “Áglangngagán, atin duwán kataladi ku na marag áglumu ka salà kanak, makapira tô kapasinsiya ku kandin? Nángngà tô makapittu?”
MAT.18.22	Igkagi si Jesus, na mà din, “Ánnà nángngà ka makapittu dád, su agad luppián din tô kapittuwan (70) ka makapittu, kailangan pasinsiyaan nu sikandin.
MAT.18.23	“Iring kani tô pagpangulu ka Manama. Duwán harì na igpanámdám na sumukut sikandin katô utang ka mga opisyales din. 
MAT.18.24	Tô igtigkané sikandin, duwán sábbad opisyales na igpatawar din na tuu dakál tô utang din, su mga mararan tô salapì na utang din. 
MAT.18.25	Asal dì sikandin pakabayad. Purisu igkagi tô harì na kailangan imun sikandin na állang, apil tô sawa din asta tô mga gabatà din, asta barigyaán tô langun ka kaduwánnan dan ébô kabayadan tô utang din. 
MAT.18.26	Asal iglingkóód tô manubù, asta igpédu-édu, na mà din, ‘Sir, angat ka pa, su bayadan ku tô langun katô utang ku áknikó.’ 
MAT.18.27	Purisu igpandà katô harì tô utang katô manubù tingód katô kédu din, asta igpólì din. 
MAT.18.28	Tô igpanó tô manubù, igkita din tun ta dalan tô ássa opisyales na duwán délák utang kandin. Tigkô din dád igpákkál tô alig katô manubù, asta igkagi sikandin, ‘Bayadi nud tô utang nu kanak.’ 
MAT.18.29	Purisu iglingkóód tô ássa opisyales, asta igpédu-édu, na mà din, ‘Angat ka pa, su bayadan ku tô langun katô utang ku áknikó.’ 
MAT.18.30	Asal ándà kédu din, asta igpapriso din sikandin sippang ka kabayadan tô utang din. 
MAT.18.31	Na, tô ikasóddór tô mga ássa opisyales din, tuu iranu tô pusung dan. Purisu igsadun dan tun ta harì, asta igulit dan tingód katô langun na ilumu. 
MAT.18.32	Purisu igpakangé katô harì tô una opisyales, asta igkagi sikandin, ‘Madat ka manubù! Tô igpédu-édu ka kanak, igpandà ku tô langun ka utang nu. 
MAT.18.33	Su inéduwanna áknikó, kailangan médu-édu ka katô unawa nu na opisyales.’ 
MAT.18.34	Tuu isókówan katô harì sikandin, asta igpapriso din ébô supakan sippang ka kabayadan tô langun katô utang din.”
MAT.18.35	Igkagi si Jesus, “Atin ka dì kó ágpasinsiya katô kataladi yu tikud tun ta tibuk pusung yu, magunawa pagsik tô lumun katô Ámmà ku tun ákniyu.”
MAT.19.1	Na, pángnga igtinurù si Jesus kani langun, igiwà sikandin tikud tun ta probinsya ka Galilea, asta igukit sikandin tun dipag ka Wayig ka Jordan sippang tun ta probinsya ka Judea. 
MAT.19.2	Marapung tô mga manubù na igtalundug kandin, asta igdappánnan din ka bállad tô langun na ágkabógókan, asta inólian.
MAT.19.3	Duwán mga Pariseo na igpadani tun ki Jesus ébô kuminnam kandin. Iginsà sikandan, na mà dan, “Mému ka sumugban tô manubù katô sawa din agad ándà madat na iglumu din?”
MAT.19.4	Igtaba si Jesus, na mà din, “Ándà yu basì basayi tô kagi ka Manama na igsulat. Tô igimu tô Manama katô manubù sayyan, igimu din sikandan na mama asta bayi.
MAT.19.5	Igkagi tô Manama,
MAT.19.5	“‘Purisu tumanan tô mama katô ámmà din asta katô innà din, asta pasábbadé tô mama asta tô sawa din. Tô duwa dan mému dán sábbad.’
MAT.19.6	Purisu ánnà dan dán duwa, su inému dan dán sábbad. Na, su igimu dan ka Manama na sábbad, dì mému na pagsugbanán ka manubù.”
MAT.19.7	Iginsà sikandan, na mà dan, “Atin ka dì mému, manan ka igsugù si Moises sayyan na kailangan duwán papeles na bággén katô mama tun ta sawa din tingód katô kasugban din kandin, asta mému din péwaán?”
MAT.19.8	Igkagi si Jesus, na mà din, “Igsugù si Moises na mému kó sumugban katô sawa yu, su isóddóran din na tuu matággas tô ulu yu. Asal tô igimu tô Manama katô manubù sayyan, dì mému pasugbané. 
MAT.19.9	Purisu kagiyan ku sikiyu, atin ka sumugban tô mama katô sawa din na ándà libug, asta kumalyag sikandin katô ássa bayi, makalibug sikandin.”
MAT.19.10	Igkagi tô mga disipulu din, na mà dan, “Atin ka tô gó é malumu, tuu pa madigár ka dì dán kumalyag tô mga manubù.”
MAT.19.11	Asal igkagi si Jesus, na mà din, “Ánnà langun manubù tô dì gó kumalyag, asal makatiis dád tô mga manubù na ágtabangan ka Manama. 
MAT.19.12	Duwán mga imanubù na dì kumalyag. Duwán mga duma na dì kumalyag su taganà ikapunan dan. Duwán mga duma na dì kumalyag su duwán lumun dan tingód katô pagpangulu ka Manama. Purisu tô makatanggap na dì dan kumalyag, dì dan gó kumalyag.”
MAT.19.13	Na, duwán mga manubù na igpid ka marénták mga gabatà dan tun ki Jesus ébô dappánnan din ka bállad asta dasalan din. Asal igsapadan dan katô mga disipulu din. 
MAT.19.14	Igkagi si Jesus, na mà din, “Pabayà yu yan mga gabatà ébô makapadani dan dini kanak. Yakó ágsapad kandan, su tô mga manubù na ágsarig ka Manama iring katô kasarig ka mga gabatà tun ta ámmà asta innà dan, tô gó é panguluwan ka Manama.”
MAT.19.15	Tô igdappán dán si Jesus ka bállad tun kandan asta igdasal, igpanó sikandin.
