MAT.1.1	Yisúʻ Masíh, ibn i Dáúd, ibn i Ibráhím ká nasabnáma.
MRK.6.13	aur bahut badrúhoṉ ko nikálá, aur bahut bímároṉ ko tel malkar achchhá kiyá.
MRK.6.14	Aur Herodes bádsháh ne us ká zikr suná, kyúṉki us ká nám mashhúr ho gayá thá, aur us ne kahá, ki Yúhanná baptisma denewálá murdoṉ meṉ se jí uṭhá hai, is liye us se muʻjize záhir hote haiṉ. 
MRK.6.15	Magar baʻz kahte the, ki Eliyyáh hai, aur baʻz yih, ki Nabíoṉ meṉ se kisí kí mánind ek nabí hai. 
MRK.6.16	Magar Herodes ne sunkar kahá, ki Yúhanná jis ká sir maiṉ ne kaṭwáyá, wuhí jí uṭha hai. 
MRK.6.17	Kyúṉki Herodes ne áp ádmí bhejkar Yúhanná ko pakaṛwáyá, aur apne bháí Filippus kí bíwí Herodiyás ke sabab se, use qaidḳháne meṉ báṉdh rakkhá thá, kyúṉki Herodes ne us se biyáh kiyá thá, 
MRK.6.18	aur Yúhanná ne us se kahá thá, ki Apne bháí kí bíwí rakhní tujhe rawá nahíṉ. 
MRK.6.19	Pas Herodiyás us se dushmaní rakhtí, aur cháhtí thí ki use qatl karáe, magar na ho saká; 
MRK.6.20	is wáste ki Herodes Yúhanná ko rástbáz aur muqaddas ádmí jánkar us se ḍartá, aur use bacháe rakhtá thá. Aur us kí báteṉ sunkar bahut hairán ho játá thá; magar suntá ḳhushí se thá. 
MRK.6.21	Aur mauqaʻ ke din, jab Herodes ne apní sálgirih meṉ apne amíroṉ aur faují sardároṉ, aur Galíl ke raísoṉ kí ziyáfat kí, 
MRK.6.22	aur usí Herodiyás kí beṭí andar áí, aur náchkar Herodes aur us ke mihmánoṉ ko ḳhush kiyá; to bádsháh ne us laṛkí se kahá, Jo cháhe mujh se máṉg, maiṉ tujhe dúṉgá; 
MRK.6.23	aur us se qasam kháí, ki Jo tú mujh se máṉgegí, apní ádhí bádsháhat tak tujhe dúṉgá. 
MRK.6.24	Aur us ne báhar jákar apní máṉ se kahá, ki Maiṉ kyá máṉgúṉ? Wuh bolí; Yúhanná baptisma denewále ká sir. 
MRK.6.25	Wuh fiʼlfaur bádsháh ke pás jaldí se andar ái, aur us se yih ʻarz kí; Maiṉ cháhtí húṉ, ki tú Yúhanná baptisma denewále ká sir ek thál meṉ abhí mujhe maṉgwá de. 
MRK.6.26	Bádsháh bahut gamgín húá, magar apní qasamoṉ aur mihmánoṉ ke sabab us se inkár karná na cháhá. 
MRK.6.27	Pas bádsháh ne fiʼlfaur ek sipáhí ko hukm dekar bhejá, ki us ká sir láe. Us ne jákar us ká sir qaidḳháne meṉ káṭá, 
MRK.6.28	aur ek thál meṉ rakhkar láyá aur laṛkí ko diyá, aur laṛkí ne apní máṉ ko diyá. 
MRK.6.29	Phir us ke shágird sunkar áe, aur us kí lásh uṭhákar qabr meṉ rakkhí.
MRK.6.30	Aur rasúloṉ ne Yisúʻ ke pás jamaʻ hokar, jo kuchh unhoṉ ne kiyá, aur jo kuchh sikháyá thá, sab us se bayán kiyá. 
MRK.6.31	Us ne un se kahá; Tum áp alag wírán jagah meṉ chale áo, aur zará árám karo: is liye ki bahut log áte játe the, aur unheṉ kháná kháne kí bhí fursat na miltí thí. 
MRK.6.32	Pas wuh kishtí meṉ baiṭhkar alag ek wírán jagah meṉ chale gaye. 
MRK.6.33	Aur logoṉ ne unheṉ játe dekhá, aur bahuteroṉ ne pahchan liyá, aur sáre shahroṉ se ikaṭṭhe ho hokar paidal udhar dauṛe, aur un se pahle já pahuṉche. 
MRK.6.34	Aur us ne utarkar baṛí bhíṛ dekhí, aur use un par tars áyá, kyúṉki wuh un bheṛoṉ kí mánind the, jin ká charwáhá na ho; aur wuh unheṉ bahut báteṉ sikháne lagá. 
MRK.6.35	Jab din bahut ḍhal gayá, us ke shágird us ke pás ákar kahne lage; Yih jagah wírán hai, aur din bahut ḍhal gayá hai; 
MRK.6.36	unheṉ ruḳhsat kar, táki wuh chároṉ taraf kí bastiyoṉ aur gáṉwoṉ meṉ jákar, apne liye kuchh kháne ko mol leṉ. 
MRK.6.37	Us ne un se jawáb meṉ kahá; Tum hí unheṉ kháne ko do. Unhoṉ ne us se kahá; Kyá ham jákar do sau dínár kí roṭiyáṉ mol láeṉ, aur unheṉ khiláeṉ? 
MRK.6.38	Us ne un se kahá; Tumháre pás kitní roṭiyáṉ haiṉ? jáo, dekho. Unhoṉ ne daryáft karke kahá; Páṉch, aur do machhliyáṉ. 
MRK.6.39	Us ne unheṉ hukm diyá, ki sab harí ghás par jamáʻat jamáʻat karke baiṭh jáeṉ. 
MRK.6.40	Pas wuh sau sau aur pachás pachás kí qatáreṉ báṉdhkar baiṭh gaye. 
MRK.6.41	Phir us ne wuh páṉch roṭiyáṉ aur do machhliyáṉ líṉ, aur ásmán kí taraf dekhkar barakat cháhí, aur roṭiyáṉ toṛkar shágirdoṉ ko detá gayá, ki un ke áge rakkheṉ; aur wuh do machhliyáṉ bhí un sab meṉ báṉṭ díṉ. 
MRK.6.42	Pas wuh sab khákar ser ho gaye. 
MRK.6.43	Aur unhoṉ ne ṭukṛoṉ se bárah ṭokriyáṉ bharkar uṭháíṉ, aur kuchh machhliyoṉ se bhí. 
MRK.6.44	Aur jinhoṉ ne roṭiyáṉ kháíṉ, wuh páṉch hazár mard the.
MRK.6.45	Aur fiʼlfaur us ne apne shágirdoṉ ko majbúr kiyá, ki kishtí par chaṛhkar us se pahle us pár Baitsaidá ko chale jáeṉ, jab tak wuh logoṉ ko ruḳhsat kare. 
MRK.6.46	Aur unheṉ ruḳhsat karke, paháṛ par duʻá máṉgne gayá. 
MRK.6.47	Aur jab shám húí, to kishtí jhíl ke bích meṉ thí, aur wuh akelá ḳhushkí par thá. 
MRK.6.48	Jab us ne dekhá, ki wuh khene se bahut tang haiṉ, kyúṉki hawá un ke muḳhálif thí, to rát ke pichhle pahar ke qaríb wuh jhíl par chaltá húá un ke pás áyá; aur un se áge nikal jáná cháhtá thá. 
MRK.6.49	Lekin unhoṉ ne use jhíl par chalte dekhkar ḳhayál kiyá ki bhút hai, aur chillá uṭhe, 
MRK.6.50	kyúṉki sab use dekhkar ghabrá gaye the. Magar us ne fiʼlfaur un se báteṉ kíṉ aur kahá; Ḳhátir jamaʻ rakkho: maiṉ húṉ; ḍaro nahíṉ. 
MRK.6.51	Phir wuh kishtí par un ke pás áyá, aur hawá tham gayí: aur wuh apne dil meṉ niháyat hairán húe; 
MRK.6.52	is liye ki wuh roṭiyoṉ ke báre meṉ na samjhe the, balki un ke dil saḳht ho gaye the.
MRK.6.53	Aur wuh pár jákar Gannesarat ke ʻiláqe meṉ pahuṉche, aur kishtí gháṭ par lagáí. 
MRK.6.54	Aur jab kishtí par se utre, to fiʼlfaur log use pahchánkar 
MRK.6.55	us sáre ʻiláqe meṉ chároṉ taraf dauṛe, aur bímároṉ ko chárpáiyoṉ par ḍálkar, jaháṉ jaháṉ suná ki wuh hai, waháṉ waháṉ liye phire. 
MRK.6.56	Aur wuh ḳhwáh gáṉwoṉ, ḳhwáh shahroṉ, ḳhwáh bastiyoṉ meṉ jaháṉ kahíṉ játá thá, log bímároṉ ko bázároṉ meṉ rakhkar us kí minnat karte the, ki wuh sirf us kí poshák ká kanára chhú leṉ: aur jitne use chhúte the, sab achchhe ho játe the.
MRK.7.1	Phir Farísí aur baʻz faqíh us ke pás jamaʻ húe; wuh Yarúshalem se áe the, 
MRK.7.2	aur unhoṉ ne dekhá, ki us ke baʻz shágird nápák, yaʻní bin dhoe háthoṉ se roṭí kháte haiṉ. 
MRK.7.3	Kyúṉki Farísí aur sab Yahúdí, buzurgoṉ kí riwáyat par qáim rahne ke sabab, jab tak apne háth ḳhúb dho na leṉ nahíṉ kháte. 
MRK.7.4	Aur bázár se ákar, jab tak gusl na kar leṉ, nahíṉ kháte; aur bahut sí âur báteṉ haiṉ, jo qáim rakhne ke liye buzurgoṉ se unheṉ pahuṉchí haiṉ, jaise piyáloṉ, aur loṭoṉ, aur táṉbe ke bartanoṉ ká dhoná. 
MRK.7.5	Pas Farísíoṉ aur faqíhoṉ ne us se púchhá; Kyá sabab hai, ki tere shágird buzurgoṉ kí riwáyat par nahíṉ chalte, balki nápák háthoṉ se roṭí kháte haiṉ. 
MRK.7.6	Us ne un se kahá; Yashaʻyáh ne tum riyákároṉ ke haqq meṉ kyá ḳhúb nubuwwat kí; jaisá ki likhá hai;
MRK.7.6	Yih ummat zabán se to merí ʻizzat kartí hai,
MRK.7.6	Magar in ká dil mujh se dúr hai.
MRK.7.7	Aur yih befáida merí parastish karte haiṉ,
MRK.7.7	Kyúṉki ádmíoṉ ke hukmoṉ kí taʻlím dete haiṉ.
MRK.7.8	Tum Ḳhudá ke hukm ko tark karke ádmíoṉ kí riwáyat ko qáim rakhte ho. 
MRK.7.9	Aur us ne un se kahá; Tum apní riwáyat ke mánne ke liye Ḳhudá ke hukm ko kyá ḳhúb bátil karte ho! 
MRK.7.10	Kyúṉki Músá ne farmáyá hai ki Apne báp kí aur apní máṉ kí ʻizzat kar; aur, Jo koí báp yá máṉ ko burá kahe, wuh zarúr ján se márá jáe. 
MRK.7.11	Lekin tum kahte ho; Agar koí báp yá máṉ se kahe, ki Jis chíz ká tujhe mujh se fáida pahuṉch saktá thá, wuh qurbán, yaʻní Ḳhudá kí nazr ho chukí, 
MRK.7.12	to tum use phir báp yá máṉ kí kuchh madad karne nahíṉ dete. 
MRK.7.13	Yúṉ tum Ḳhudá ke kalám ko apní riwáyat se, jo tum ne járí kí hai, bátil kar dete ho; aur aise bahutere kám karte ho. 
MRK.7.14	Aur wuh logoṉ ko phir pás bulákar un se kahne lagá, ki Tum sab merí suno aur samjho. 
MRK.7.15	Koí chíz báhar se ádmí meṉ dáḳhil hokar use nápák nahíṉ kar saktí; magar jo chízeṉ ádmí meṉ se nikaltí haiṉ, wuhí ádmí ko nápák kartí haiṉ. [
MRK.7.16	Agar kisi ke sunne ke kán hoṉ to sun le.] 
MRK.7.17	Aur jab wuh bhíṛ ke pás se ghar meṉ gayá, to us ke shágirdoṉ ne us se is tamsíl ke maʻní púchhe. 
MRK.7.18	Us ne un se kahá; Kyá tum bhí aise besamajh ho? Kyá tum nahíṉ samajhte ki koí chíz jo báhar se ádmí ke andar játí hai, use nápák nahíṉ kar saktí; 
MRK.7.19	is liye ki wuh us ke dil meṉ nahíṉ, balki peṭ meṉ játí hai, aur páeḳháne meṉ nikal játí hai? Yih kahkár us ne tamám kháne kí chízoṉ ko pák ṭhahráyá. 
MRK.7.20	Phir us ne kahá; Jo ádmí meṉ se nikaltá hai, wuhí ádmí ko nápák kartá hai. 
MRK.7.21	Kyúṉki andar se, yaʻni ádmí ke dil se, bure ḳhayál, harámkáríáṉ, 
MRK.7.22	choriyáṉ, ḳhúnrezíáṉ, zinákáríáṉ, lálach, badíáṉ, makr, shahwatparastí, badnazarí, badgoí, sheḳhí, bewuqúfí nikaltí hai; 
MRK.7.23	yih sab burí báteṉ andar se nikalkar ádmí ko nápák kartí haiṉ.
MRK.7.24	Phir waháṉ se uṭhkar Súr aur Saidá kí sarhaddoṉ meṉ gayá. Aur ek ghar meṉ dáḳhil húá, aur na cháhtá thá, ki koí jáne; magar poshída na rah saká; 
MRK.7.25	balki fiʼlfaur ek ʻaurat jis kí chhoṭí beṭí meṉ nápák rúh thí, us kí ḳhabar sunkar áí, aur us ke qadamoṉ par girí. 
MRK.7.26	Yih ʻaurat Yúnání thí, aur qaum kí Súrufíníkí. Us ne us se darḳhwást kí, ki badrúh ko merí beṭi meṉ se nikál. 
MRK.7.27	Us ne us se kahá, ki Pahle laṛkoṉ ko ser hone de, kyúṉki laṛkoṉ kí roṭí lekar kuttoṉ ko ḍál dení achchhí nahíṉ. 
MRK.7.28	Us ne jawáb meṉ kahá; Háṉ, Ḳhudáwand; kutte bhí mez ke tale laṛkoṉ ki roṭí ke ṭukṛoṉ meṉ se kháte haiṉ. 
MRK.7.29	Us ne us se kahá; Is kalám ke sabab já; badrúh terí beṭí se nikal gayí hai; 
MRK.7.30	aur us ne apne ghar meṉ jákar dekhá, ki laṛkí palang par paṛí hai, aur badrúh nikal gayí hai.
MRK.7.31	Aur wuh phir Súr kí sarhaddoṉ se nikalkar Saidá kí ráh se Dikapulis kí sarhaddoṉ meṉ hotá húá Galíl kí jhíl par pahuṉchá. 
MRK.7.32	Aur logoṉ ne ek bahre ko jo haklá bhí thá, us ke pás lákar us kí minnat kí, ki apná háth us par rakh. 
MRK.7.33	Wuh us ko bhíṛ meṉ se alag le gayá, aur apní ungliyáṉ us ke kánoṉ meṉ ḍáliṉ, aur thúkkar us kí zabán chhúí, 
MRK.7.34	aur ásmán kí taraf nazar karke ek áh bharí, aur us se kahá; Iffattah, yaʻní Khul já. 
MRK.7.35	Aur us ke kán khul gaye, aur us kí zabán kí girih khul gayí, aur wuh sáf bolne lagá. 
MRK.7.36	Aur us ne unheṉ hukm diyá, ki Kisí se na kahná; lekin jitná wuh un ko hukm detá rahá, utná hí ziyáda wuh charchá karte rahe. 
MRK.7.37	Aur unhoṉ ne niháyat hí hairán hokar kahá; Jo kuchh us ne kiyá, sab achchhá kiyá; wuh bahroṉ ko sunne kí, aur gúṉgoṉ ko bolne kí táqat detá hai.
MRK.8.1	Un dinoṉ meṉ, jab phir baṛí bhíṛ jamaʻ húi, aur un ke pás kuchh kháne ko na thá, to us ne apne shágirdoṉ ko pás bulákar un se kahá; 
MRK.8.2	Mujhe is bhíṛ par tars átá hai, kyúṉki yih tín din se barábar mere sáth rahí hai, aur in ke pás kuchh kháne ko nahíṉ: 
MRK.8.3	agar maiṉ inheṉ bhúká ghar ko ruḳhsat karúṉ, to ráh meṉ thakkar rah jáeṉge; aur baʻz in meṉ se dúr ke haiṉ. 
MRK.8.4	Us ke shágirdoṉ ne use jawáb diyá, ki Is bíyábán meṉ kaháṉ se koí itní roṭiyáṉ láe ki inheṉ ser kar sake? 
MRK.8.5	Us ne un se púchhá, ki Tumháre pás kitní roṭiyáṉ haiṉ? Wuh bole, Sát. 
MRK.8.6	Phir us ne logoṉ ko hukm diyá, ki zamín par baiṭh jáeṉ: aur us ne wuh sát roṭiyáṉ líṉ, aur shukr karke toṛíṉ, aur apne shágirdoṉ ko detá gayá ki un ke áge rakkheṉ; aur unhoṉ ne logoṉ ke áge rakh díṉ. 
MRK.8.7	Aur un ke pás thoṛí sí chhoṭí machhliyáṉ thíṉ: us ne un par barakat cháhkar kahá, ki Yih bhí un ke áge rakh do. 
MRK.8.8	Pas wuh khákar ser húe; aur bache húe ṭukṛoṉ ke sát ṭokre uṭháe. 
MRK.8.9	Aur log chár hazár ke qaríb the; phir us ne unheṉ ruḳhsat kiya. 
MRK.8.10	Aur wuh fiʼlfaur apne shágirdoṉ ke sáth kishtí meṉ baiṭhkar Dalmanúta ke ʻiláqe meṉ gayá.
MRK.8.11	Phir Farísí nikalkar us se bahs karne lage, aur use ázmáne ke liye us se koí ásmání nishán talab kiyá. 
MRK.8.12	Us ne apní rúh meṉ áh kheṉchkar kahá; Is zamáne ke log kyúṉ nishán talab karte haiṉ? Maiṉ tum se sach kahtá húṉ, ki is zamáne ke logoṉ ko koí nishán diyá na jáegá. 
MRK.8.13	Aur wuh unheṉ chhoṛkar phir kishtí meṉ baiṭhá, aur pár chala gayá.
MRK.8.14	Aur wuh roṭí lení bhúl gaye the; aur kishtí meṉ un ke pás ek se ziyáda roṭí na thí. 
MRK.8.15	Aur us ne unheṉ yih hukm diyá, ki Ḳhabardár, Farísíoṉ ke khamír aur Herodes ke ḳhamír se hoshyár rahná. 
MRK.8.16	Wuh ápas meṉ charchá karne aur kahne lage, ki Hamáre pás roṭí nahíṉ. 
MRK.8.17	Magar Yisúʻ ne yih maʻlúm karke un se kahá; Tum kyúṉ charchá karte ho, ki hamáre pás roṭí nahíṉ? kyá ab tak nahíṉ jánte, aur nahíṉ samajhte? kyá tumhárá dil saḳht ho gayá hai? 
MRK.8.18	Áṉkheṉ haiṉ, aur tum dekhte nahíṉ? kán haiṉ, aur sunte nahíṉ? aur kyá tumheṉ yád nahíṉ? 
MRK.8.19	Jis waqt maiṉ ne wuh páṉch roṭiyáṉ páṉch hazár ke liye toṛíṉ, to tum ne kitní ṭokriyáṉ ṭukṛoṉ se bharí húí uṭháíṉ? Unhoṉ ne us se kahá; Bárah. 
MRK.8.20	Aur jis waqt sát roṭiyáṉ chár hazár ke liye toṛíṉ, to tum ne kitne ṭokre ṭukṛoṉ se bhare húe uṭháe? Unhoṉ ne us se kahá; Sát. 
MRK.8.21	Us ne un se kahá; Kyá tum ab tak nahíṉ samajhte?
MRK.8.22	Phir wuh Baitsaidá meṉ áe. Aur log ek andhe ko us ke pás láe, aur us kí minnat kí, ki use chhúe. 
MRK.8.23	Wuh us andhe ká háth pakaṛkar use gáṉw se báhar le gayá; aur us kí áṉkhoṉ meṉ thúkkar apne háth us par rakkhe, aur us se púchhá; Kyá tú kuchh dekhtá hai? 
MRK.8.24	Us ne nazar uṭhákar kahá; Maiṉ ádmíoṉ ko dekhtá húṉ; kyúṉki wuh mujhe chalte húe aise dikháí dete haiṉ, jaise daraḳht. 
MRK.8.25	Phir us ne dobára us kí áṉkhoṉ par apne háth rakkhe, aur us ne gaur se nazar kí, aur achchhá ho gayá, aur sárí chízeṉ sáf sáf dekhne lagá. 
MRK.8.26	Phir us ne yih kahkar us ko us ke ghar kí taraf rawána kiyá, ki Is gáṉw ke andar qadam bhí na rakhná.
MRK.8.27	Phir Yisúʻ aur us ke shágird Qaisariya Filippí ke gáṉwoṉ meṉ chale gaye: aur ráh meṉ us ne apne shágirdoṉ se yih púchhá, ki Log mujhe kyá kahte haiṉ? 
MRK.8.28	Unhoṉ ne yih jawáb diyá, ki Yúhanná baptisma denewálá; aur baʻz; Eliyyáh; aur baʻz; Nabíoṉ meṉ se koí. 
MRK.8.29	Us ne un se púchhá; Lekin tum mujhe kyá kahte ho? Patras ne jawáb meṉ us se kahá; Tú Masíh hai. 
MRK.8.30	Phir us ne unheṉ tákíd kí, ki merí bábat kisí se yih na kahná. 
MRK.8.31	Phir wuh unheṉ taʻlím dene lagá, ki Zarúr hai ki Ibn i Ádam bahut dukh uṭháe aur buzurg aur sardár káhin aur faqíh use radd karen, aur wuh qatl kiyá jáe, aur tín din ke baʻd jí uṭhe. 
MRK.8.32	Aur us ne yih bát sáf sáf kahí. Patras use alag le jákar use malámat karne lagá. 
MRK.8.33	Magar us ne phirke, aur apne shágirdoṉ par nigáh karke Patras ko malámat kiyá, aur kahá; Ai Shaitán, mere sámne se dúr ho, kyúṉki tú Ḳhudá kí bátoṉ ká nahíṉ, balki ádmíoṉ kí bátoṉ ká ḳhayál rakhtá hai. 
MRK.8.34	Phir us ne bhíṛ ko apne shágirdoṉ samet pás bulákar un se kahá; Agar koí mere píchhe áná cháhe, to apní ḳhudí se inkár kare, aur apní salíb uṭháe, aur mere píchhe ho le. 
MRK.8.35	Kyúṉki jo koí apní ján bachání cháhe wuh use khoegá, aur jo koí merí aur Injíl ke wáste apní ján khoegá, wuh use bacháegá. 
MRK.8.36	Aur ádmí agar sárí dunyá ko hásil kare aur apní ján ká nuqsán uṭháe to use kyá fáida hogá? 
MRK.8.37	Aur ádmí apní ján ke badle kyá de? 
MRK.8.38	Kyúṉki jo koí is zinákár aur ḳhatákár qaum meṉ mujh se aur merí bátoṉ se sharmáegá, Ibn i Ádam bhí, jab apne Báp ke jalál meṉ pák firishtoṉ ke sáth áegá, to us se sharmáegá.
MRK.9.1	Aur us ne un se kahá; Maiṉ tum se sach kahtá húṉ, ki Jo yaháṉ khaṛe haiṉ, un meṉ se baʻz aise haiṉ, ki jab tak Ḳhudá kí bádsháhat ko qudrat ke sáth áyá húá na dekh leṉ, maut ká maza hargiz na chakkheṉge.
MRK.9.2	Chha din ke baʻd Yisúʻ ne Patras aur Yaʻqúb aur Yúhanná ko hamráh liyá, aur unheṉ alag ek úṉche paháṛ par akele meṉ le gayá; aur un ke sámne us kí súrat badal gayí: 
MRK.9.3	aur us kí poshák aisí núrání aur niháyat safed ho gayí, ki dunyá meṉ koí dhobí waisí safed nahíṉ kar saktá. 
MRK.9.4	Aur Eliyyáh Músá ke sáth unheṉ dikháí diyá; aur wuh Yisúʻ se báteṉ karte the. 
MRK.9.5	Patras ne Yisúʻ se kahá; Rabbí, hamárá yaháṉ rahná achchhá hai: pas ham tín dere banáeṉ; ek tere liye, ek Músá ke liye, ek Eliyyáh ke liye. 
MRK.9.6	Kyúṉki wuh na jántá thá, ki kyá jawáb de; is liye ki wuh bahut ḍar gaye the. 
MRK.9.7	Phir ek bádal ne un par sáya kar liyá, aur us bádal meṉ se áwáz áí, ki Yih merá piyárá Beṭá hai; is kí suno. 
MRK.9.8	Aur unhoṉ ne yakáyak jo chároṉ taraf nazar kí, to Yisúʻ ke siwá âur kisí ko apne sáth phir na dekhá.
MRK.9.9	Jab wuh paháṛ se utarte the, to us ne unheṉ hukm diyá, ki Jab tak Ibn i Ádam murdoṉ meṉ se jí na uṭhe, jo kuchh tum ne dekhá hai, kisí se na kahná. 
MRK.9.10	Unhoṉ ne us kalám ko yád rakkhá; aur wuh ápas meṉ bahs karte the, ki murdoṉ meṉ se jí uṭhne ke kyá ma ní haiṉ? 
MRK.9.11	Phir unhoṉ ne us se yih púchhá, ki Faqíh kyúṉkar kahte haiṉ, ki Eliyyáh ká pahle áná zarúr hai? 
MRK.9.12	Us ne un se kahá, ki Eliyyáh albatta pahle ákar sab kuchh bahál karegá; magar kyá wajh hai ki Ibn i Ádam ke haqq meṉ likhá hai, ki wuh bahut se dukh uṭháegá, aur haqír kiyá jáegá? 
MRK.9.13	Lekin maiṉ tum se kahtá húṉ, ki Eliyyáh to á chuká, aur jaisá us ke haqq meṉ likhá húá hai, unhoṉ ne jo kuchh cháhá us ke sáth kiyá.
MRK.9.14	Aur jab wuh shágirdoṉ ke pás áe, to dekhá ki un ke chároṉ taraf baṛí bhiṛ hai, aur faqíh un se bahs kar rahe haiṉ. 
MRK.9.15	Aur fiʼlfaur sárí bhíṛ use dekhkar niháyat hairán húi, aur us kí taraf dauṛkar use salám karne lagí. 
MRK.9.16	Us ne un se púchhá; Tum un se kyá bahs karte ho? 
MRK.9.17	Aur bhíṛ meṉ se ek ne use jawáb diyá, ki Ai ustád, maiṉ apne beṭe ko, jis meṉ gúṉgí rúh hai, tere pás láyá thá: 
MRK.9.18	wuh jaháṉ use pakaṛtí hai, paṭak detí hai: aur wuh kaf bhar látá, aur dáṉt pístá, aur súkhtá játá hai: aur maiṉ ne tere shágirdoṉ se kahá thá ki wuh use nikál deṉ, magar wuh na nikál sake. 
MRK.9.19	Us ne jawáb meṉ un se kahá: Ai beiʻtiqád qaum, maiṉ kab tak tumháre sáth rahúṉgá? kab tak tumhárí bardásht karúṉgá? use mere pás láo. 
MRK.9.20	Pas wuh use us ke pás láe: aur jab us ne use dekhá, to fiʼlfaur rúh ne use maroṛá; aur wuh zamín par girá, aur kaf bhar lákar loṭne lagá. 
MRK.9.21	Us ne us ke báp se púchhá; Yih is ko kitní muddat se hai? Wuh bolá, Bachpan se: 
MRK.9.22	aur us ne aksar use ág meṉ aur aksar pání meṉ ḍálá, táki use halák kare: lekin agar tú kuchh kar saktá hai, to ham par tars khákar hamárí madad kar. 
MRK.9.23	Yisúʻ ne us se kahá; Kyá! Agar tú kar saktá hai! Jo iʻtiqád rakhtá hai, us ke liye sab kuchh ho saktá hai. 
MRK.9.24	Fiʼlfaur us laṛke ká báp chillákar bolá; Maiṉ iʻtiqád rakhtá húṉ, tú merí beiʻtiqádi ká ʻiláj kar. 
MRK.9.25	Jab Yisúʻ ne dekhá, ki log dauṛ dauṛkar jamaʻ ho rahe haiṉ, to us nápák rúh ko jhiṛakkar us se kahá; Ai gúṉgí bahrí rúh, maiṉ tujhe hukm kartá húṉ, is meṉ se nikal á, aur is meṉ phir kabhí dáḳhil na ho. 
MRK.9.26	Wuh chillákar, aur use bahut maroṛkar, nikal áí: aur wuh murda sá ho gayá, aisá ki aksaroṉ ne kahá, ki Wuh mar gayá. 
MRK.9.27	Magar Yisúʻ ne us ká háth pakaṛkar use uṭháyá, aur wuh uṭh khaṛá húá. 
MRK.9.28	Jab wuh ghar meṉ áyá, to us ke shágirdoṉ ne alag us se púchhá, ki Ham use kyúṉ na nikál sake? 
MRK.9.29	Us ne un se kahá, ki Yih qism duʻá ke siwá kisí âur tarah nahíṉ nikal saktí.
MRK.9.30	Phir waháṉ se rawána húe, aur Galíl meṉ hokar guzre, aur wuh na cháhtá thá, ki koí jáne; 
MRK.9.31	is liye ki wuh apne shágirdoṉ ko taʻlím detá aur un se kahtá thá, ki Ibn i Ádam ádmíoṉ ke hawále kiyá jáegá, aur wuh use qatl kareṉge, aur wuh qatl hone ke tín din baʻd jí uṭhegá. 
MRK.9.32	Lekin wuh is bát ko samajhte na the, aur us se púchhte húe ḍarte the.
MRK.9.33	Phir wuh Kafarnahúm meṉ áe; aur jab wuh ghar meṉ thá, to us ne un se púchhá, ki Tum ráh meṉ kyá bahs karte the? 
MRK.9.34	Wuh chup rahe; kyúṉki unhoṉ ne ráh meṉ ek dúsre se yih bahs kí thí, ki baṛá kaun hai. 
MRK.9.35	Phir us ne baiṭhkar un bárah ko buláyá aur un se kahá, ki Agar koí awwal honá cháhe, to wuh sab meṉ pichhlá aur sab ká ḳhádim bane. 
MRK.9.36	Aur ek bachche ko lekar, un ke bích meṉ khaṛá kiyá; phir use god meṉ lekar un se kahá; 
MRK.9.37	Jo koí mere nám par aise bachchoṉ meṉ se ek ko qubúl kartá hai, wuh mujhe qubúl kartá hai; aur jo koí mujhe qubúl kartá hai, wuh mujhe nahíṉ, balki use jis ne mujhe bhejá hai qubúl kartá hai.
MRK.9.38	Yúhanná ne us se kahá, Ai ustád, ham ne ek shaḳhs ko tere nám se badrúhoṉ ko nikálte dekhá, aur ham use manaʻ karne lage, kyúṉki wuh hamárí pairawí nahíṉ kartá thá. 
MRK.9.39	Lekin Yisúʻ ne kahá; Use manaʻ na karná; kyúṉki aisá koí nahíṉ jo mere nám se muʻjiza dikháe, aur mujhe jald burá kah sake; 
MRK.9.40	is liye ki jo hamáre ḳhiláf nahíṉ, wuh hamárí taraf hai. 
MRK.9.41	Aur jo koí ek piyála pání tumheṉ is liye piláe ki tum Masíh ke ho, maiṉ tum se sach kahtá húṉ, ki wuh apná ajr hargiz na khoegá. 
MRK.9.42	Aur jo koí in chhoṭoṉ meṉ se jo mujh par ímán láe haiṉ kisí ko ṭhokar khiláe, us ke liye yih bihtar hai, ki ek baṛí chakki ká páṭ us ke gale meṉ laṭkáyá jáe, aur wuh samundar meṉ pheṉk diyá jáe. 
MRK.9.43	Aur agar terá háth tujhe ṭhokar khiláe, to use káṭ ḍál; ṭundá hokar zindagí meṉ dáḳhil honá tere liye is se bihtar hai, ki do háth hote jahannam ke bích us ág meṉ jáe jo kabhí bujhne kí nahíṉ; [
MRK.9.44	jaháṉ un ká kíṛá nahíṉ martá, aur ág nahíṉ bujhtí.] 
MRK.9.45	Aur agar terá páṉw tujhe ṭhokar khiláe, use káṭ ḍál; laṉgṛá hokar zindagí meṉ dáḳhil honá tere liye is se bihtar hai, ki do páṉw hote jahannam meṉ ḍálá jáe; [
MRK.9.46	jaháṉ un ká kíṛá nahíṉ martá, aur ág nahíṉ bujhtí.] 
MRK.9.47	Aur agar terí áṉkh tujhe ṭhokar khiláe, to use nikál ḍál; káná hokar Ḳhudá kí bádsháhat meṉ dáḳhil honá tere liye is se bihtar hai, ki do áṉkheṉ hote jahannam meṉ ḍálá jáe, 
