MAT.1.1	Iga nyigo marina ga waku wa Yesu Kristo awei o kyishari kya Dawidi na Abrahamu.
MRK.1.15	echigamba, “Kyiyeri kyamshika, na Wumangyi wo Ruwa womtikyira kufuhi; ṙumbuyenyi wunyamaṟi na iiṙikyia Ndumi Ngyicha.”
MRK.1.16	Na oe kyiyeri aweiiṙa mbai ya ipalyipalyi lya Galyilaya, kawona Simion na Anderea, mono-wamae, wechiwiyitsa iṟambika ipalyipalyinyi; cha kyipfa wawekyeri wandu wekyeṙeia makunga. 
MRK.1.17	Yesu kawawia, “Nnjonyi mungyioshe, na inyi ngyemugaluo wandu wekyeṙega wandu.” 
MRK.1.18	Cha ilyi wakaṙa ngowa tsawo tseṙega makunga, wakamwosha.
MRK.1.19	Kayenda mbele kyitutu, kawona Yakobo o Sebedayo na Yohane, mono-wamae; nawo taa wawei ngalawenyi, wechiachikyia ngowa tsawo tseṙega makunga. 
MRK.1.20	Cha ilyi kawalaga, wakaṙa awu-yawo Sebedayo ngalawenyi hamwi na wandu wa wori, wakayenda, wakamwosha.
MRK.1.21	Wakayenda mṟasa Kaperinaumu, na cha ilyi mfiri o onyonya kaiṙa na sinagoginyi, kalosha. 
MRK.1.22	Wakaṟiyio mnu kyipfa kya malosho gakye; cha kyipfa naweiwalosha cha mndu awoṙe wuchilyi, maa chi cha walosha wa mawawaso-pfo. 
MRK.1.23	Na cha ilyi hawewoṙe sinangoginyi lyawo mndu awoṙo nyi mṟufui mmbicho. Kakuilenga na ṟui lying'anyi, 
MRK.1.24	echigamba, “Luwoṙe kyi na iyoe, Yesu o Nasareti? Ngyesa nocha ilurumatsa? 
MRK.1.25	Ngyikuichi iyoe nyi Mweele o Ruwa.” Yesu kamṙeṙia, echigamba, “Tsia sau, uwukye ko mndu-chu.” 
MRK.1.26	Mṟufui ulya mmbicho kamṙeṙemsha cha mndu ekyeuma nguku, kafiiṟa na ṟui lying'anyi, kammbuka. 
MRK.1.27	Wakaṟiyio woose, mṟasa wakawesana, wechigamba, “Ny'kyikyi ikyi? Nyi wuṟango wuhya! Kyipfa kui wuchilyi naiṙeṙia maa waṟufui wawicho, nawo wakamwindia!” 
MRK.1.28	Cha ilyi mbonyi tsakye tsikaṙunganana orio handu ngyuurukyenyi tsoose tsa mṟasenyi o Galyilaya.
MRK.1.29	Na kyiyeri walewuka sinagoginyi, waleshika kanyi ko Simion na Anderea, hamwi na Yakobo na Yohane. 
MRK.1.30	Na mamka o Simion, nawekyeri kyitaṟenyi, nawoṙo nyi isemu; na cha ilyi wakammbia mbonyi tsakye. 
MRK.1.31	Katikyira kufuhi na oe, kammbaṙa kuwoko kokye kamwira, isemu lyikamleka, kawaṟundia.
MRK.1.32	Kyasia kyiyeri kuleila, na mnengyeṟi omwolokyie, wawemwendie woose walawekuiṙima, na wawoṙo nyi waṟufui wawicho. 
MRK.1.33	Na wandu wafoi mnu wa mṟi ulya wawekuumbie moongonyi. 
MRK.1.34	Kakyiṟa wafoi wawewoṙe ndoṟe tsa orio mbaṟe, kawuta waṟufui wafoi wawicho, maa alelekyia waṟufui wawicho iṙeṙa-pfo, cha kyipfa wawemwichi.
MRK.1.35	Kyasia ngamenyi utuko, kafuma kayenda handu halawoṙe wandu, kandeterewa. 
MRK.1.36	Simion na oṙoe wakamwosha. 
MRK.1.37	Nawo kyiyeri walemmbona wakammbia, “Wandu woose waikupfula.” 
MRK.1.38	Kawawia, “Sindenyi handu hengyi, mṟasa shikaṟo shikyeri kufuhi, na ipfo ngyiiṙime ionguo pfo mbonyi; kyipfa ikyo nyikyo kyilengyiende.” 
MRK.1.39	Kayenda echionguo mbonyi masinagoginyi gawo, urukyenyi loose lo Galyilaya, na iwuta waṟufui wawicho.
MRK.1.40	Mndu awoṙo nyi taambo kacha na kokye, echimpfiria ndi, na imterewa, echigamba, “Kokunda noiṙima ingyulyisha na ingyiwuta ndoṟe-i.” 
MRK.1.41	Na oe kawona fowa mrimenyi kyipfa kyakye, kalesha kuwoko kokye, kampaaya, kammbia, “Ngyikundi, ila.” 
MRK.1.42	Na cha ilyi taambo lyakye lyikammbuka, kaila. 
MRK.1.43	Kamwima na pfinya, kammbuta ho cha ilyi, 
MRK.1.44	kammbia, “Ulawie mndu kyindo kyoose, indi yenda undekuloṟa ko mkohanyi, undeenengyia kyiṙaso chandu Mose alegamba kyipfa kya iila lyapfo, kyiwe wuṟingyishi kowo.” 
MRK.1.45	Kyaindi kafuma, kuwooka iṙeṙa maṙeṙo gafoi, na igamba kyindo kyilya, mṟasa Yesu alaiṙime-se iiṙa na mṟinyi kulawoṙe ikuṟiika; indi nawekyeri nja handu halawoṙe wandu. Wandu wakayenda kokye wawuka ngyuura tsoose.
MRK.2.1	Kaiṙa-se na Kaperinaumu hamwiṙe mfiri ifoi, kyikamanyika kye nakyeri kanyi. 
MRK.2.2	Halya kanyi hakasanzia wandu wafoi halatsugae maa ṙaawa moongonyi. Kawaongoya Ṙeṙo lyakye. 
MRK.2.3	Kukocha wandu wechimwendie mndu apfiie ngapfu, aṙuṙo nyi wandu waana. 
MRK.2.4	Na kyiyeri walelemo itikyira kufuhi na oe kyipfa kya wuingyi wo wandu, waletocha kai halya-ndu awekyeri; na wammarise iifunja walesotsa ikondoṟo mndu ulya apfiie ngapfu awelyilaaye. 
MRK.2.5	Na Yesu, kyiyeri alewona iiṙikyia lyawo, kawia ulya apfiie ngapfu, “Mono-ko, omhooṟio ngyuunyamaṟi tsapfo.” 
MRK.2.6	Na walosha waata wa mawawaso wawekyeri pfo, waṙamie, wechikusaṟa mrimenyi kowo, 
MRK.2.7	“Ny'kyilyi ichu aigamba kuṙi? Nailahia Ruwa. Nyi wui echiiṙima ihooṟia wunyamaṟi sile umwi tupu, nyi oe Ruwa?” 
MRK.2.8	Cha ilyi Yesu kamanya mrimenyi kokye kye waikusaṟa kuṙo mrimenyi kowo, kawawia, “Ny'kyilyi muikusaṟa kuṙi mrimenyi konyu? 
MRK.2.9	Kyii kyaangu nyi kyiha, iwia apfiie ngapfu, ‘Nohooṟio ngyuunyamaṟi tsapfo’, ang'u igamba, ‘Amka ukuṙikye ikondoṟo lyapfo uyende?’ 
MRK.2.10	Kyaindi muiṙime imanya kye Mono-Adamu nawoṙe wuchilyi wuyanenyi wo ihooṟia wunyamaṟi.” Iho naiwia ulya apfiie ngapfu, 
MRK.2.11	“Ngakuwia, amka, ukuiṙikye ikondoṟo lyapfo uyende kanyi kopfo.” 
MRK.2.12	Cha ilyi kaamka, kakuṙika ikondoṟo lyakye, kawuka mbele yawo woose; mṟasa wakaṟiyio woose, wakang'anyisa Ruwa, wechigamba, “Mbaṟe-i iyi lulandeenengo iiwona maa ale-pfo.”
MRK.2.13	Kafuma-se kayenda mbai ya ipalyipalyi, wandu woose wa kyisanzionyi wakayenda kokye kawalosha. 
MRK.2.14	Na kyiyeri aweiiṙa, kawona Lewi, mana o Alyifayo, aṙamie handu hesania ukamba mbai ya ipalyipalyi, kammbia, “Ngyiosha.” Kaamka kamwosha. 
MRK.2.15	Na kyiyeri aweṙamie kanyi kokye echilya, wesania ukamba wafoi na wanyamaṟi waleṙamia hamwi na Yesu na wanalosho wakye; cha kyipfa wawei wafoi wechimwosha. 
MRK.2.16	Na walosha wa mawawaso na Mafarisayo kyiyeri walemmbona echilya hamwi na wesania ukamba na wanyamaṟi, walewia wanalosho wakye, “Ny'kyilyi ailya hamwi na wesania ukamba na wanyamaṟi?” 
MRK.2.17	Kyiyeri Yesu aleicho nalewawia, “Walaluoe wekyepfula mganga-pfo, kyaindi walya walaikuiṙima. Ngyilecha ilaga wasumganyi-pfo, indi wanyamaṟi.”
MRK.2.18	Na wanalosho wa Yohane na Mafarisayo wawekyekuretekyia. Kyasia walecha, wakammbia, “Ny'kyilyi wanalosho wa Yohane na wanalosho wa Mafarisayo wekyekuretekyia, indi wanalosho wapfo wekyewuta kuṙo-pfo?” 
MRK.2.19	Yesu kawawia, “Walage wolyinyi weiṙima kuṙa ikuretekyia kyiyeri monyi wolyi akyeri hamwi nawo? Kyiyeri kyoose monyi wolyi akyeri hamwi nawo wechiiṙima ikuretekyia-pfo. 
MRK.2.20	Kyaindi kuicha mfiri monyi wolyi echiwuto kowo, nyi lyo-ndu wechiṙa ikuretekyia mfiri-cho. 
MRK.2.21	Kuwoṙe mndu ekyewika kyiṙami kya nguwo ngyihya ikunyenyi lyiku-pfo; kawika kuṙo, kyilya kyihya kyawiko ho kyechinyamaṟa ikunya-lyo lyiku, na halya-ndu harandukyie hekyeengyeṟika. 
MRK.2.22	Maa kuwoṙe mndu ekyewika mpfinyo shisagenyi shiku-pfo. Kokooya awika, mpfinyo ulya ochipaṟa shisaga-sho, mpfinyo ukopusuka, shisaga shilya shikanyamaṟika. Indi nekyewika mpfinyo shisagenyi shihya.”
MRK.2.23	Kyiyeri aweiiṙa maṙemenyi mfiri o onyonya wanalosho wakye wai kyaronyi walewooka iṙumbuo magaa ga nganu. 
MRK.2.24	Mafarisayo wakammbia, “Ny'kyilyi waiwuta kyindo kyilai kya sungusinyi mfiri o onyonya?” 
MRK.2.25	Kawawia, “Muichi chandu Dawidi aleṟunda, kyiyeri awemfooye, na iwoṙo nyi njaa, oe na oṙoe? 
MRK.2.26	Chandu aleiṙa na numbenyi ya Ruwa, kacha kyiyeri kya Abiatari, Mkohanyi ang'anyi kuta woose, kalya mkate iya Ngyeele, ilawaṟi ilyio nyi mndu sile makohanyi, kaenenga na oṙoe?” 
MRK.2.27	Kawawia, “Mfiri o onyonya ulewiko kyipfa kya mndu, chi mndu kyipfa kya mfiri o onyonya-pfo. 
MRK.2.28	Kyasia Mono-Adamu nyi oe Mndumii o mfiri o onyonya taa.”
MRK.3.1	Kaiṙa-se na sinagoginyi; napfo kuwewoṙe mndu awoṙe kuwoko kupfiie ngapfu. 
MRK.3.2	Wakamwowelyia kundu wawone kokooya nemkyiṟa mfiri o onyonya; waiṙime imṙuo mengyenyi. 
MRK.3.3	Kawia ulya awoṙe kuwoko kupfiie ngapfu “Goṟoka makyiṙi-gawi.” 
MRK.3.4	Kawawesa, “Nyi sungusinyi mfiri o onyonya iwuta shicha ang'u iwuta shiwicho? Ikyiṟa mrima ang'u iuwaaga?” Wakatsia. 
MRK.3.5	Kawaitukuya ngyuura tsoose ko nyashi, echiwoṙo nyi fowa mrimenyi kyipfa kya wuumu wo mrima yawo. Kawia mndu ulya, “Goṟuo kuwoko kopfo.” Na oe kagoṟuo kuwoko; kuwoko kokye kukowaṙa-se pfinya. 
MRK.3.6	Cha ilyi Mafarisayo walya wakayenda, wakachila mbonyi tsakye hamwi na Maherodi, chandu wechimrumatsa.
MRK.3.7	Na Yesu kakaa kuleshi, oe na wanalosho wakye, kayenda ipalyipalyinyi. Wuingyi wung'anyi wo wandu wukomwosha, iwuka Galyilaya na Uyuda, 
MRK.3.8	na Yerusalemu, na Idumaya, na molyolya o Yoridan, na ngyuura tsa Tiro na Sidon. Wuingyi wung'anyi wo wandu kyiyeri waleicho mbonyi tsoose tsa shindo awekyeri iṟunda, wakayenda kokye. 
MRK.3.9	Kawia wanalosho wakye kye kyingalawa kyitutu kyikae kufuhi na oe, kundu wuingyi wo wandu wulampeṟeetse. 
MRK.3.10	Cha kyipfa nalekyiṟa wafoi, mṟasa woose wawewoṙe ngyuukyiwa wakamraia waiṙime impaaya. 
MRK.3.11	Na waṟufui wawicho, orio kyiyeri walemmbona, waleoloka mbele yakye, wakafuga, wechigamba, “Iyoe nyi oe Mono-Ruwa.” 
MRK.3.12	Kawaima mnu walamṟingyishie.
MRK.3.13	Kaṙooya fumvunyi, kalaga walya alekunda oe amonyi; wakayenda kokye. 
MRK.3.14	Kawika wandu ikumi na wawi, waiṙime iwa hamwi na oe, na nawaṙume ionguo Mbonyi Ngyicha. 
MRK.3.15	Ngoseṟa wawe na wuchilyi wo iwuta waṟufui wawicho. 
MRK.3.16	Kawika walya ikumi na wawi. Simion kamlaga Petiro; 
MRK.3.17	na Yakobo kamlaga mono-Sebedayo, na Yohane, mono-wama o Yakobo, kawalaga Bonerikye, kyimwi na igamba, wana wa ikuṟuṟuma. 
MRK.3.18	Na Anderea, Filyipo, Baritolomayo, Matayo, Tomasi, Yakobo o Alyifayo, Tadayo, na Simion Mkananayo. 
MRK.3.19	Na Yuda Isikariote, nyi oe alemṟiinga.
MRK.3.20	Numa ya iho kayenda kanyi. Wuingyi wung'anyi wo wandu wukosanza-se, mṟasa Yesu na wanalosho wakye walaiṙime maa ilya mkate. 
MRK.3.21	Wandu wakye kyiyeri waleicho mbonyi wakafuma indemmbaṙa; kyipfa walegamba, “Nasuko.” 
MRK.3.22	Na walosha wa mawawaso walesoka iwuka Yerusalemu wakagamba, “Nawoṙe Beelyisebulyi, na kui ang'anyi o waṟufui wawicho naiwuta waṟufui wawicho.” 
MRK.3.23	Kawalaga, kawawia kui mfano, “Satana neiṙima kuṙa ifuna Satana? 
MRK.3.24	Na wumangyi wukokuṟiinga wumonyi, wochiiṙima igoṟoka-pfo. 
MRK.3.25	Na kanyi kukokuṟiinga kumonyi, kanyi-ko koiṙima igoṟoka-pfo. 
MRK.3.26	Na kokooya Satana afuma kakapana na mrima okye amonyi, kakuṟiinga, eiṙima igoṟoka-pfo, indi neshika mafurumionyi. 
MRK.3.27	Mndu echiiṙima iiṙa na numbenyi ya mndu awoṙe pfinya, na imsoka shindo shakye, sile apfunga kuwooka ulya awoṙe pfinya, naaho-ng'u echiṙuo ko pfinya numba yakye. 
MRK.3.28	Ny'kyaloi ngammbia, wandu wechihooṟio ngyuunyamaṟi tsoose, na ilahia Ruwa lyawo lyoose; 
MRK.3.29	indi mndu echilahia Mumuyo Mweele echihooṟio mṟasa mlungana-pfo; kyaindi nechiwaṙa ṙeko lyilechisia”; 
MRK.3.30	kyipfa kya ilyi walegamba, “Nawoṙo nyi mṟufui mmbicho.”
MRK.3.31	Wamae na wana wa wamae wakacha; wakagoṟoka nja, wakaṙuma mndu imlaga. 
MRK.3.32	Na wuingyi wo wandu waweṙamie, wechimwiṟiwia; wakammbia, “Ambuya, womoo na wana wa wama wapfo wai iho nja, waikupfula.” 
MRK.3.33	Kawagaluo, echigamba, “Wama oko na wana wa wama wako nyi wakyi?” 
MRK.3.34	Kaambuya walya waweṙamie wamwiṟiwie ngyuura tsoose, kagamba, “Ambuya wama oko na wana wa wama wako! 
MRK.3.35	Cha kyipfa orio mndu echiṟunda shilya Ruwa akundi, icho nyi oe mono-wama oko, na mshikyi oko, na wama oko.”
MRK.4.1	Kawooka-se iloshia mbai ya ipalyipalyi. Wuingyi wung'anyi mnu wo wandu wukokuumbia kokye, mṟasa oe kaṙooya ngalawenyi, kakaa ipalyipalyinyi. Wuingyi woose wo wandu wuwei handu hagaṙutsu mbai ya ipalyipalyi. 
MRK.4.2	Kawalosha shindo shifoi kui mfano. Kawawia maloshonyi gakye, 
MRK.4.3	“Aṙanyienyi. Moolyia mbeu nalefuma indewaaya. 
MRK.4.4	Na kyiyeri aweiwaaya, mbeu ingyi ileoloka mbai ya njia, shileye shikacha shikailya. 
MRK.4.5	Ingyi ikaoloka handu hawoṙe iṟaṟa, halawoṙe teri ishikyie. Cha ilyi ikaṙo kyaindi kyipfa kya iwuṟa teri ishikyie, 
MRK.4.6	kyiyeri mui ulewaa ukoikoṟa, na kyipfa ilawoṙe mri ikauma. 
MRK.4.7	Ingyi ikaoloka handu hawoṙe msha; msha iya ikaṙo, ikaipfumba, ilakumbie ndunda. 
MRK.4.8	Ingyi ikaoloka handu hawoṙe teri ngyicha, tsikakumbia ndunda, tsechiṙo na ing'ana, na ikumbia, imwi makumi gaṟaaṟu, imwi makumi gaṟandaaṟu, na imwi igana.” 
MRK.4.9	Kagamba, “Awoṙe maṙwi geaṙanyia, naaṙanyie.”
MRK.4.10	Na oe kyiyeri awekyeri amonyi, wandu walya wawemwiṟiwie, na walya ikumi na wawi, walemmbesa mbonyi tsa mfano iya. 
MRK.4.11	Kawawia, “Nyoe muwaenengye imanya kyiṟika kya Wumangyi wo Ruwa, indi ko walya wai nja ya Wumangyi-wo shoose shekyeṟundika kui mfano,
MRK.4.12	‘Kundu wakaambuya waambuye walawone;
MRK.4.12	na wakaaṙanyia waicho, walamanye;
MRK.4.12	walachengyiwiyilyia, na ihooṟio.’ ”
MRK.4.13	Kawawia, “Muichi mfano-chu? Kyasia mfano yoose moimanya kuṙa? 
MRK.4.14	Moolyia mbeu-cho nekyewaaya Ṙeṙo lya Ruwa. 
MRK.4.15	Iwa nyiwo wai mbai ya njia, Ṙeṙo lya Ruwa lyekyewooyo kowo. Nawo wakamuicho, cha ilyi Satana nekyecha, kawuta ho Ṙeṙo lyilya lya Ruwa lyileṙongo mrimenyi kowo. 
MRK.4.16	Na wuṙo iwa nyiwo wekyeṙongo handu hawoṙe maṟaṟa. Nyiwo wakammaa iicho Ṙeṙo lyilya lya Ruwa, cha ilyi wekyelyiambilyia na sia. 
MRK.4.17	Kyaindi wawoṙe mri makyiṙi-gawi gawo-pfo, indi lyekyekaa kowo kyiyeri kyifuhi. Numa ya iho kukocha wukyiwa na ipfulutso nyashi kyipfa kya Ṙeṙo lyilya lya Ruwa, cha ilyi wekyekapa tuulyia. 
MRK.4.18	Na iwa nyiwo walya wekyeṙongo handu hawoṙe msha. Nyi wandu wekyeicho Ṙeṙo lyilya lya Ruwa, 
MRK.4.19	kyaindi ikuwinisha lya kyiwuyana, na wulembi wo masaa, na lango tsa shindo shingyi tsikacha, shekyepfumba Ṙeṙo lyilya lya Ruwa lyilakumbie. 
MRK.4.20	Na iwa nyiwo wawaṙongye handu hawoṙe teri ngyicha. Nyi wandu wekyeicho Ṙeṙo lyilya lya Ruwa na ilyiambilyia, na ikumbia ndunda, umwi makumi gaṟaaṟu, umwi makumi gaṟandaaṟu, na umwi igana.”
MRK.4.21	Kawawia, “Muwonyi kuṙa? Taa yekyekoṟo kundu iwikyio wanda ya kyitela, ang'u wanda ya kyitaṟa? Chi yekyewikyio handu hakuirie-pfoe? 
MRK.4.22	Cha kyipfa kuwoṙe kyindo kyikuṟiikyie kyilechimanyika-pfo; maa kuwoṙe kyindo kyikyiṟikye, kyilechiwoneka na pata-pfo. 
MRK.4.23	Mndu kawaṙa maṙwi geaṙanyia, naaṙanyie.” 
MRK.4.24	Kawawia, “Aṙanyienyi kyindo-kyi. Kyindo kyilya muianduya nakyo oṙianyu ny'kyo Ruwa echimuanduya nakyo, kyaindi na wulang'a ngoseṟa. 
MRK.4.25	Cha kyipfa awoṙe kyindo nechienengo, na oe alawoṙe kyindo kying'anyi, maa kyilya kyitutu awoṙe nechisoko.”
MRK.4.26	Kagamba, “Wumangyi wo Ruwa, mfano okye nyi cha mndu aleola mbeu wuye ya uruka. 
MRK.4.27	Kawamolaa na iamka, kyio na kyingoto, na mbeu iya ikaṙo na ing'ana, alaichi oe. 
MRK.4.28	Kyipfa uruka lokyeṙosa shindo lumonyi; kuwooka iṟa, kawi igaa lya nganu, numa nganu ikoṟie igaenyi. 
MRK.4.29	Na ndunda tsikammba tsesambuo, cha ilyi nekyeira ishami, cha kyipfa kyilyimu kyamwafukyia.” 
MRK.4.30	Kagamba, “Lulyingatsane Wumangyi wo Ruwa na kyikyi? Ang'u luuwikye mfanonyi uha? 
MRK.4.31	Nyi cha ndunda ya haradalyi. Kyiyeri yekyeṙongo urukyenyi, maa chandu ikyeri ngyitutu kuta mbeu tsoose tsikyeri urukyenyi, 
MRK.4.32	ikamṙongo yekyeng'ana, ikawa ing'anyi kuta mashiṙi goose gawoṙe maṟa gekyelyio nyi wandu, ikawaṙa mbaga tsing'anyi; mṟasa shileye sha ngyinenyi shikaiṙima ikaa wanda ya mrinje oyo.”
MRK.4.33	Kui mfano ifoi ya mbaṟe-i naweiwaongoya Ṙeṙo lyakye, iṙuana na chandu waleiṙima ilyiaṙanyia. 
MRK.4.34	Maa aleṙeṙa nawo kulawoṙe mfano-pfo; kyaindi kaongoya wanalosho wakye amonyi mbonyi tsoose kui kyiṟika.
MRK.4.35	Mfiri ulya kyiyeri kya kyukonyi kawawia, “Luambaṙe mṟasa molyolya.” 
MRK.4.36	Wakaṙa wuingyi wulya wo wandu, wakamṙuo wuṙo chandu awekyeri ngalawenyi. Na ngalawa tsingyi tsiwekyeri hamwi na oe. 
MRK.4.37	Kukocha kyiwiṟi kying'anyi kya mkuma, mṟinga uiyenda na pfinya ukokapa ngalawa iya mṟasa ikawooka iichuo mṟinga. 
MRK.4.38	Na oe amonyi nawekyeri ura lo numa lo ngalawa, alee wuye ya mto. Wakamwamtsa, wakammbia, “Mlosha, chi kyindo kopfo iluṙa lurumare-pfoe?” 
MRK.4.39	Kaamka, kaṙeṙia mkuma, kawia ipalyipalyi, “Tsia, ulakupaaye!” Mkuma ukotsia, kukowaṙa itsia sau lying'anyi. 
MRK.4.40	Kawawia, “Ny'kyilyi mowa waowu? Mulandewaṙe iiṙikyia-pfoe?” 
MRK.4.41	Wakawoṙo nyi wuowu wung'anyi, wakawiana, “Nyi wui ichu-ng'u, maa mkuma na ipalyipalyi shimwindia?”
MRK.5.1	Wakashika molyolya o ipalyipalyi mṟasa uruka lo Wakyerasi. 
MRK.5.2	Na amsokye ngalawenyi, cha ilyi nalekarisana na mndu, awewukyie handu heṟika wandu wapfiie, awoṙo nyi mṟufui mmbicho. 
MRK.5.3	Kanyi kokye kuwei handu halya heṟika wandu wapfiie; maa kuwoṙe mndu oose aleiṙima impfunga-se maa kui mshe-pfo, 
MRK.5.4	cha kyipfa nawekyepfungo kafoi ko pingu na mshe; kaṙumbuo-ṙumbuo mshe iya na ifunja-funja pingu tsilya; maa kuwoṙe mndu awewoṙe pfinya tsemmbinga-pfo. 
MRK.5.5	Na mfiri yoose, kyio na kyingoto, nawekyeri kulya kundu koṟika wandu wapfiie na mafumvunyi, ekalagatsa na ikuwega-wega na magoe. 
MRK.5.6	Na kyiyeri alewona Yesu ai kuleshi, nalekapa mteeṟa, kamwindia. 
MRK.5.7	Kakalagatsa kui ṟui lying'anyi, kagamba, “Lekana na inyi, Yesu, Mono-Ruwa akyeri ruwewu. Kui rina lya Ruwa ulangyilyise wukyiwa.” 
MRK.5.8	Cha kyipfa nalemmbia, “Iyoe mṟufui mmbicho, wuka mndu-chu.” 
MRK.5.9	Kammbesa, “Rina lyapfo nyi wui?” Kamgaluo, kagamba, “Rina lyako nyi ‘Wandu Walang'a’, cha kyipfa lui wafoi.” 
MRK.5.10	Kamterewa mnu alawaṙuo nja ya uruka lulya. 
MRK.5.11	Na iho mafumvunyi hawewoṙe poo lying'anyi lya nguwe, tsechilyiso. 
MRK.5.12	Waṟufui wawicho woose wakamterewa, wechigamba, “Luṙuo ko nguwe, luiṙime iiṙa na mmbiunyi yatso.” 
MRK.5.13	Kawaenenga momu. Waṟufui walya wawicho wakafuma, wakaiṙa na mmbiunyi ya nguwe tsilya; na poo lyilya lyoose lyikaseṟemka kyiiṟimikonyi lyeṙicha, tsikaiṙa na ipalyipalyinyi, cha nguwe shiku shiwi; tsikapfiia ipalyipalyinyi. 
MRK.5.14	Walyisi wa nguwe tsilya wakaṙicha, wakaonguo mbonyi-tso mṟinyi na kundu kulai mṟinyi. Wandu wakafuma wawone kyindo kyilewutika. 
MRK.5.15	Wakayenda ko Yesu, wakawona ulya awewoṙo nyi waṟufui wawicho, aṙamie, aṟee nguwo, alamsuko-se, na oe nyi oe awewoṙo nyi poo lyilya lya waṟufui wawicho; wakaowuo. 
MRK.5.16	Na walya walekowawona walewaongoya mbonyi tsilewutikyia ulya awewoṙo nyi waṟufui wawicho, na mbonyi tsa nguwe. 
MRK.5.17	Wakawooka imterewa nawukye kulya kowo. 
MRK.5.18	Na oe kyiyeri aweiṙooya ngalawenyi, ulya awewoṙo nyi waṟufui wawicho nalemterewa nayende na oe. 
MRK.5.19	Kyaindi alemlekyia-pfo, indi nalemmbia, “Yenda kanyi kopfo, ko wandu wa kopfo, ndewaongoye shindo shilya shing'anyi Mndumii alekuwutia, na chandu alekusaṟia.” 
MRK.5.20	Kafuma kawooka ionguo mṟinyi ung'anyi uwoṙe shikaṟo ikumi okyelago Dekapolyi, shindo shilya shing'anyi Yesu alemmbutia; wandu woose wakaṟiyio.
MRK.5.21	Na kyiyeri Yesu amwambaṙe iwuya na molyolya akyeri kulya ngalawenyi, wuingyi wung'anyi wo wandu wukokuumbia kufuhi na oe; na oe nawekyeri mbai ya ipalyipalyi. 
MRK.5.22	Kukocha mndu umwi kyiiṙi kya wang'anyi wa sinagogi, ekyelago Yairo; na kyiyeri alemmbona, kaoloka maṙendenyi gakye, 
MRK.5.23	echimterewa mnu, echigamba, “Mono-ko mtutu o kyika naipfa. Ngyikuterewa uche, uwikyie kuwoko kopfo wuye yakye, naiṙime ikyia, na iwaṙa moo.” 
MRK.5.24	Kayenda hamwi na oe. Wuingyi wung'anyi wo wandu wukomwosha, wechimpeṟeetsa-peṟeetsa.
MRK.5.25	Kuwewoṙe mndu mka umwi awoṙe ndoṟe yechoṟa kyiyeri kya maka ikumi na iwi, 
MRK.5.26	maa chandu alelyiso wukyiwa kafoi echiṟundio nyi waganga wafoi. Shindo shoose awewoṙe shileenengyio shemṟundia, kyaindi shilamtarame maa ale, indi ndoṟe yakye ikaengyeṟa ing'ana. 
MRK.5.27	Kyiyeri aleicho mbonyi tsa Yesu, naleiṙa wuingyinyi wulya wo wandu kakaa numa ya Yesu, kapaaya ikunya lyakye, 
MRK.5.28	kyipfa nalegamba, “Ngapaaya maa mawale gakye tikyi, ngyechikyiṟo.” 
MRK.5.29	Cha ilyi shoka ya samu yakye ikauma, na oe kamanya mmbiunyi okye kye amkyia wukyiwa wulya. 
MRK.5.30	Cha ilyi Yesu, aichi mrimenyi kokye kye pfinya yammbuka, kaambuya numa kulya wuingyinyi wo wandu, kagamba, “Nyi wui angyipaaya mawale gako?” 
MRK.5.31	Wanalosho wakye wakammbia, “Nuwewonyi chandu wuingyi wo wandu waikupeṟeetsa-peṟeetsa, na iyoe nuigamba, ‘Nyi wui angyipaaya?’ ” 
MRK.5.32	Kaambuya ngyuura tsoose kundu nawone ulya aleṟunda kyindo-kyo. 
MRK.5.33	Na mndu mka ulya kawoṙo nyi wuowu na iṙeṙema, aichi kyammbutikyia, kacha kamwolokyia, kamwongoya wuloi woose. 
MRK.5.34	Kammbia, “Mono-ko o kyika, iiṙikyia lyapfo lyakukyiṟa, yenda na ufoṟo, ndoṟe-yo ilawe-se wukyiwa wopfo.”
MRK.5.35	Na kyiyeri aweiṙeṙa, kukocha wandu wawuka ko ulya ang'anyi o sinagogi, wechigamba, “Mono-pfo o kyika ampfa. Kuwoṙe kyiira kyiha iengyeṟa ituura mlosha?” 
MRK.5.36	Kyaindi Yesu, kyiyeri aleicho mbonyi-tso, kawia ang'anyi ulya o sinagogi, “Ulaowuoe, waṙa iiṙikyia tupu.” 
MRK.5.37	Maa alelekyia mndu ioshana na oe-pfo, sile Petiro, Yakobo, na Yohane, mono-wama o Yakobo. 
MRK.5.38	Wakashika kanyi ko ang'anyi ulya o sinagogi, kawona kyituṟu, na wandu wechifiiṟa, wechikapa ṟanyi ing'anyi. 
MRK.5.39	Amwiṙe na numba, kawawia, “Ny'kyilyi muwoṙe kyituṟu na ifiiṟa? Mana alandepfe-pfo, indi nalee tupu.” 
MRK.5.40	Wakamsaaṟa mnu. Na oe amwafune na nja woose, kaṙuo awu o mana ulya na wamae, na walya wakyeri hamwi na oe, kaiṙa na halya-ndu mana ulya awekyeri. 
MRK.5.41	Kawaṙa mana ulya kuwoko, kammbia, “Talyita, kumi”; kyitambuluo kyakye nyi “Mono-waka, ngakuwia, amka.” 
