MAT.1.1	Jesucristo Abrahampaj Davidpajpiwan mirayninmanta carkan. Cayka Jesucristopaj abueloncuna: 
MAT.27.65	Pilatotaj paycunata nerkan:
MAT.27.65	—Chay, cuidaj soldadocuna can. Puriychis, atiskayquichisman jina sepulturata seguramuychis.
MAT.27.66	Paycunataj purispa, sepulturata allinta seguraycorkancu. Tapaska rumita selloycuspa, soldadocunata sakerkancu cuidachcajta.
MAT.28.1	Samana p'unchay pasajtin, semana kallariy p'unchay sut'iyamuyta, María Magdalena, waj Mariapiwan purerkancu sepultura khawaj. 
MAT.28.2	Señorpaj angelnin janaj pachamanta uraycamuskanraycu, jallp'a sinchita qharcaterkan. Angeltaj sepulturaman chimpaycuspa, tapaska rumita tijrarpayarkan, chay patapitaj tiyaycorkan. 
MAT.28.3	Angel rayopaj c'anchaynin jina carkan, p'achantaj rit'i jina yuraj. 
MAT.28.4	Soldadocunataj chayta ricuspa, mancharicuymanta qharcaterkancu. Wañuska jina wijch'ucorkancu. 
MAT.28.5	Angel warmicunaman nerkan:
MAT.28.5	—Ama manchacuychischu. Yachani Jesusta masc'achcaskayquichista, chacataska carkan chayta. 
MAT.28.6	Mana caypichu, niskanman jina causaripunña. Jamuychis, khawaycuychis maypichus Señor churaska carkan chayta. 
MAT.28.7	Puriychis, cunanpacha discipuloncunaman willamuychis: ‘Causarimpunña, ñaupakeyquichista Galileaman purenka. Chaypi ricunquichis.’ Chayta noka kancunaman ninay carkan.
MAT.28.8	Warmicunataj sepulturamanta puriporkancu, manchariska cusiskataj. Phawarkancu discipuloncunaman willaj. 
MAT.28.9	Jina purichcajtincu, Jesús paycunaman riqhurispa, saludarkan. Paycunataj chimpaycuspa, Jesusta adorarkancu chaquincunata mark'aycuspa. 
MAT.28.10	Jesustaj paycunaman nerkan:
MAT.28.10	—Ama manchacuychischu. Puriychis, waukeycunaman willamuychis: ‘Galileaman purichuncu, chaypi ricuwankacu.’
MAT.28.11	Warmicuna purichcajtillancuraj, sepulturata cuidaj waquin soldadocuna llajtaman purispa, sacerdotecunapaj jefencunaman willamorkancu tucuy cay pasaskanta. 
MAT.28.12	Chay jefecunataj waj jefencunawan parlaj purerkancu rimanacunancupaj. Soldadocunamantaj achqha kolketa korkancu. 
MAT.28.13	Nerkancutaj:
MAT.28.13	—Kancunaka niychis: ‘Discipuloncuna tutapi jamuspa, Jesuspaj cuerponta suwancu puñuchcanaycucama’ nispa. 
MAT.28.14	Gobernaj chayta yachajtenka, nokaycu paywan parlasajcu mana imananasunquichispaj.
MAT.28.15	Soldadocunataj kolketa jap'ekaytawan yachachiskancuman jina parlarkancu. Chay niskancoka cunan p'unchaycama judiocuna uqhupi willacun.
MAT.28.16	Chunca ujniyoj discipuloncuna Galileaman purerkancu, Jesuspaj niskan lomaman. 
MAT.28.17	Jesusta ricuytawan adorarkancu, waquincunataj iscayrayarkancu chaywanpas. 
MAT.28.18	Jesús paycunaman chimpaycuspa nerkan:
MAT.28.18	—Dios tucuy atiyta kowan janaj pachapi cay pachapipas. 
MAT.28.19	Chayraycu tucuy nacioncunapi caj runacunaman puriychis. Willamuychis discipuloycuna canancupaj, Dios Tata, Dios Churi, Dios Santo Espiritupaj sutinpi bautizaspa. 
MAT.28.20	Kancunaman tucuy mandaskayta casucuyta yachachimuychis. Nokataj tuta p'unchay kancunawan cachcani cay pacha tucucunancama. Ajina cachun.
MRK.1.1	Diospaj Churin Jesucristomanta sumaj evangelio cay jinata kallarin.
MRK.1.2	Diospaj profetan Isaías escriberkan Dios Churinta cachamunanmanta:
MRK.1.2	“Kanmanta ñaupajta willajniyta cachamuni,
MRK.1.2	runacunapaj sonkonta waquichinanpaj
MRK.1.2	ñanta jina.
MRK.1.3	Ch'usaj lugarpi uj runa alto vozwan
MRK.1.3	willaconka: ‘Señor jamuchcan.
MRK.1.3	Sonkoyquichista waquichiychis
MRK.1.3	recto ñanta jina.’ ”
MRK.1.4	Ajinata Juanka ch'usaj lugarpi bautizachcaspa willararkan: “Diosman cutiricuspa bautizachicuychis, juchayquichiscunata Dios perdonananpaj” nispa. 
MRK.1.5	Judeapi caj tucuy provinciamanta Jerusalén llajtamantapas achqha runacuna uyarej jamuchcarkancu. Juan juchancu willacojcunata bautizarkan Jordán mayupi.
MRK.1.6	Juanpaj p'achantaj camello millmamanta carkan, karamanta cinturonwan chumpiycuska, miqhunantaj langosta niska athun t'inticuna t'aja misq'ipiwan. 
MRK.1.7	Pay willarkan: “Khepayta jamuchcan nokamanta astawan atiyniyoj. Paypaj ñaupakenpi ni imapaschu cani, abarcanta pascaranallaypajpas. 
MRK.1.8	Nokaka unullawan bautizachcayquichis. Paycajtaj Santo Espirituwan bautizasunquichis” nispa.
MRK.1.9	Chay p'unchaycunapi Jesús Galileapi caj Nazaret llajtamanta llojserkan. Juantaj payta bautizarkan Jordán mayupi. 
MRK.1.10	Unumanta llojsiytawan, Jesús ricorkan janaj pacha quicharacuchcajta, Santo Espiritutataj paloma jina uraycamuchcajta. 
MRK.1.11	Diospaj voznin janaj pachamanta nimorkan: “Kan munaska Chureyka canqui, nokapaj ajllaskay.”
MRK.1.12	Chay pasayta Santo Espíritu Jesusta ch'usaj lugarman pusarkan. 
MRK.1.13	Chaypi cachcarkan sajra animalcunawan tawa chunca p'unchayta. Supay Satanás tucuy imata ruwachcarkan Jesusta juchallichinanpaj, nitaj aterkanchu. Diospaj angelnincunataj Jesusta sirverkancu.
MRK.1.14	Juan Bautistata carcelaycojtincu, Jesús Galilea provinciaman purerkan Diospaj evangelionta willananpaj. 
MRK.1.15	Nerkantaj: “Diospaj gobiernon kayllallapiña. Cunan Diospaj ajllaskan tiempo chayamunña. Chayraycu juchayquichiscunata sakespa Diosman cutiricuychis, paypaj evangelionta creeychis” nispa.
MRK.1.16	Jesús Galilea kocha cantonta purichcaspa, Simonta paypaj wauken Andrestawan ricorkan. Paycunaka challwa jap'inancupaj llicata kochaman cachaycuchcarkancu, imaraycuchus challwiru carkancu. 
MRK.1.17	Jesustaj paycunata nerkan:
MRK.1.17	—Nokawan puriychis, nokataj runacunata Diosman pusamojta ruwaskayquichis, imaynatachus challwata jap'ej cachcanquichis jinata.
MRK.1.18	Chhicapacha llicancuta sakerpayaspa, Jesuswan puriporkancu.
MRK.1.19	Uj chhicallantaraj ñauparispa, Jesús Zebedeopaj churincunata, Santiagota wauken Juantawan ricorkan. Botepi llicancuta jallch'aspa cachcarkancu. 
MRK.1.20	Jesustaj wajarkan discipuloncuna canancupaj. Ajinapi paycunaka tatancu Zebedeota llanc'ajcunatawan botepi sakepuspa, Jesuswan puriporkancu.
MRK.1.21	Jesús discipuloncunawan Capernaum llajtaman chayarkan. Samana p'unchaypi Jesús sinagoga wasiman yaycuspa runacunata yachachiyta kallarerkan. 
MRK.1.22	Uyarejcunataj chay jina autoridadwan yachachiskanmanta muspharkancu, imaraycuchus leymanta yachachejcuna mana jinatachu yachacherkancu. 
MRK.1.23	Chay sinagoga wasipi uj runa carkan, paytaj sajra espirituyoj wajach'acorkan:
MRK.1.24	—¡Nazaret llajtayoj Jesús! ¿Imapaj meticuwanquichis? ¿Tucuchanawayquichispajchu jamunqui? Allinta rejsiyqui pichus caskayquita. Kanka Diospaj Santon canqui.
MRK.1.25	Jesús sajra espirituta c'amerkan:
MRK.1.25	—¡Jup'allay! ¡Llojsiy paymanta! —nispa.
MRK.1.26	Sajra espiritutaj runata t'ucuta jap'icherkan. Sinchi callpawan wajach'acuspataj, paymanta llojsiporkan. 
MRK.1.27	Tucuy ricojcunataj musphararkancu, tapunacorkancutaj:
MRK.1.27	—¿Imataj cayri? ¡Sinchi autoridadwan yachachin! ¡Sajra espiritucunawanpas casuchicun! —nispa.
MRK.1.28	Chaypacha tucuy Galilea provinciapi Jesusmanta yachacorkan.
MRK.1.29	Jesús sinagoga wasimanta llojsispa, Santiagowan Juanpiwan Simonpaj Andrespajwan wasinman purerkan. 
MRK.1.30	Simonpaj suegran sinchi calenturawan puñunapi cachcarkan. Chayta Jesusman willarkancu. 
MRK.1.31	Jesustaj onkoskaman chimpaycuspa, maquinmanta jap'ispataj, jataricherkan. Chhicapacha calenturamanta alliyaporkan, paycunatataj atendiyta kallarerkan.
MRK.1.32	Ch'isiyaycuytataj tucuy onkoskacunata sajra espirituyoj cajcunatawan Jesusman pusamorkancu. 
MRK.1.33	Llajtapacha wasi puncuman tantacamorkancu. 
MRK.1.34	Jesustaj achqhayojta tucuy ima onkoyniyojcunata alliyacherkan. Achqhayojmantataj sajra espiritucunata katerkorkan. Sajra espiritucunataj Jesusta rejserkancu. Chayraycu Jesús paycunata mana parlacherkanchu.
MRK.1.35	Tutapiraj Jesús jatarispa, ch'usaj lugarman oracionta ruwananpaj llojserkan. 
MRK.1.36	Simontaj uj discipuloncunapiwan Jesusta masc'aj llojserkancu. 
MRK.1.37	Taripaspataj nerkancu:
MRK.1.37	—Tucuy masc'achcasunquichis —nispa.
MRK.1.38	Jesustaj contestarkan:
MRK.1.38	—Cay kaylla llajtacunaman purisunchis evangeliota willaraj. Chaypaj cay pachaman jamuni.
MRK.1.39	Ajinamanta Jesús tucuy Galileanejpi purichcaspa, sinagoga wasicunapi evangeliota willaraj, sajra espiritucunatapas katerkoj.
MRK.1.40	Uj lepra onkoyniyoj runa Jesusman chimpaycuspa, konkoriycuspataj nerkan:
MRK.1.40	—Munanqui chayka, onkoyniymanta alliyachiwayta atinqui —nispa.
MRK.1.41	Jesús qhuyapayaspa llanqhaycorkan. Nerkantaj:
MRK.1.41	—Munani. ¡Alliyaska cay! —nispa.
MRK.1.42	Jesús chayta nejtin jina, alliyaporkan. 
MRK.1.43	Jesustaj cachapuspa, sinchita mandarkan:
MRK.1.44	—¡Uyariy! Ama pimanpas cayta willanquichu. Jerusalenman puriy, sacerdotemantaj ricuchicamuy alliyaskaña caskayquita, limpiochacuna costumbreta ruwanayquipaj. Moisespaj mandacuskanman jina ofrendata apamuy, ajinapi tucuy yachanancupaj alliyaskaña caskayquita.
MRK.1.45	Paytaj llojsiytawan, tucuynincuman willaracaporkan chay pasaskanta. Chayraycu Jesuska pacallamantaña llajtacunaman yaycoj, astawanpas ch'usaj lugarcunapi puriycachaj; chaywanpas runacunaka tucuynejmanta payman jamoj cancu.
MRK.2.1	Khepantin p'unchaycuna Jesuska Capernaum llajtaman cutimorkan. Runacunataj wasipiña caskanta yachaytawan, 
MRK.2.2	puncu jawanejpi achqhayoj tantaycucamorkancu. Chayraycu mana lugar carkanchu ni mayninta yaycunapaj. Jesustaj evangeliota willarkan. 
MRK.2.3	Jinata Jesús parlachcajtin, tawayoj uj such'uta wantuspa payta chayachimorkancu. 
MRK.2.4	Achqha runa caskanraycu, Jesusman chimpaycuchiyta mana aterkancuchu. Chayraycu wasi patanta jutc'uspa, puñunapi such'uta cachaycorkancu Jesuspaj ñaupakenman. 
MRK.2.5	Jesustaj paycunapaj creeynincuta ricuspa such'uta nerkan:
MRK.2.5	—Wawáy, juchayquicuna perdonaskaña.
MRK.2.6	Leymanta yachachejcuna chaypi tiyarachcaspa, sonkoncupi pensachcarkancu: 
MRK.2.7	“¿Imaraycutaj cay runa jinata parlayta atrevicunri? ¡Parlaskancunawan Diosta phiñachichcan! Dioslla juchataka perdonayta atin” nispa. 
MRK.2.8	Jesuska jinata pensaskancuta reparaspa nerkan:
MRK.2.8	—¿Imaraycutaj jinata pensachcanquichis? 
MRK.2.9	Onkoskaman ninari ¿maykentaj astawan fácil: ‘Juchayqui perdonaskaña’, icha ‘Jatariy, puñunayquita okharispa puripuy’ ninachu? 
MRK.2.10	Noka ricuchiskayquichis Tataj Churenka atiyniyoj cay pachapi juchata perdonananpaj caskanta.
MRK.2.10	Chhicataj such'uman nerkan:
MRK.2.11	—Kanta niyqui, jataricuy, puñunayquita okharispa wasiyquiman puripuy —nispa.
MRK.2.12	Chhicapacha tucuypaj ñaupakenpi such'oka jatariporkan, puñunanta okharispataj llojsiporkan. Tucuy runacunataj musphararkancu. Diosta alabaspataj nerkancu:
MRK.2.12	—¡Ni jayc'aj cay jinata ricorkanchischu!
MRK.2.13	Jesús Galilea kocha cantoman ujtawan purerkan. Runacuna payman chimpaycojtincu, yachacherkan. 
MRK.2.14	Pasapuspataj, Alfeopaj churin Levita ricorkan Romapaj impuesto cobrana chhicapi tiyachcajta. Payta nerkan:
MRK.2.14	—Jacu, nokawan puriy —nispa.
MRK.2.14	Sayarispataj Levika Jesuswan puriporkan.
MRK.2.15	Levipaj wasinpi Jesús discipuloncunapiwan miqhuchcarkancu; impuesto cobrajcunawan waj juchasapacunapiwan cusca tiyachcarkancu. Achqhayoj Jesusta katerkancu. 
MRK.2.16	Paycunawan miqhuchcajta ricuspataj, leymanta yachachejcuna fariseocunapas discipuloncunata taporkancu:
MRK.2.16	—¿Imaraycutaj yachachejniyquichis impuesto cobrajcunawan juchasapacunapiwan miqhun? —nispa.
MRK.2.17	Chayta uyarispa, Jesús paycunaman nerkan:
MRK.2.17	—C'uchicunaka medicotaka mana necesitancuchu, manachayri onkoskacunalla. Juchasapacunata wajaj jamuni, mana ‘sumaj cani’ nejcunatachu.
MRK.2.18	Uj cuti Juan Bautistapaj fariseocunapajpiwan discipuloncuna ayunachcarkancu. Waquin runacunataj Jesusman purispa nerkancu:
MRK.2.18	—Juanpaj fariseocunapajpiwan discipuloncuna ayunancu. ¿Imaraycutaj discipuloyquicunari mana ayunancuchu?
MRK.2.19	Paycunamantaj Jesús contestarkan:
MRK.2.19	—¿Atincumanchu ayunayta casamientoman invitaskacuna, novio paycunawan cachcajtinri? 
MRK.2.20	Chaywanpas tiempo jamonka novio paycunamanta kechuska cananpaj. Chhica ari, ayunankacu.
MRK.2.21	“Mana pipas mauc'a p'achataka mosojwan remendanchu, imaraycuchus mosoj remiendoka mauc'a p'achata astawan athunta lliq'ipunman. 
MRK.2.22	Nitaj mosoj vinota mauc'a kara botaman jich'aycuncumanchu, imaraycuchus mosoj vinoka mauc'a botata t'ojachinman. Vinotaj jich'arparicuman, kara botapas lliq'icapunman. Chayraycu mosoj vinotaka mosoj karaman jich'aycuna.
MRK.2.23	Samana p'unchay Jesús trigo chajra uqhunta purichcarkan. Discipuloncunataj purichcaspa, trigo urita pallayta kallarerkancu. 
MRK.2.24	Fariseocunataj Jesusta taporkancu:
MRK.2.24	—Uyariy, ¿imaraycutaj discipuloyquicuna samana p'unchaypi chayta ruwachcancu? Chayka leyninchisman jina mana ruwanachu.
MRK.2.25	Jesustaj nerkan:
MRK.2.25	—¿Manachu jayc'ajpas leerkanquichis imatachus David compañancunapiwan yarekachicuspa ruwaskancuta? 
MRK.2.26	Abiatar curaj sacerdote cachcajtin, David Diospaj wasinman yaycuspa, Diospaj wakaychaska t'antata miqhorkan compañancunapiwan. Leyman jina chay t'antataka sacerdotecunalla miqhunancu carkan.
MRK.2.27	Jesús fariseocunaman nillarkantaj:
MRK.2.27	—Samana p'unchayka runaj allinninpaj churaska, mana runachu samana p'unchaypaj allinninpaj churaskaka. 
MRK.2.28	Chaypaj Tataj Churenka atiyniyojllataj samana p'unchaymantapas.
MRK.3.1	Jesús ujtawan sinagoga wasiman yaycorkan. Chaypitaj uj ch'aquiska maquiyoj runa carkan. 
MRK.3.2	Jesusta khawachcarkancu, “¿Samana p'unchaypi alliyachenkachu, manachu?” nispa, chayman jina juchachanancupaj. 
MRK.3.3	Jesús ch'aquiska maquiyoj runata nerkan:
MRK.3.3	—Jatariy, chaupipi sayaycuy —nispa.
MRK.3.4	Taporkantaj ujcunata:
MRK.3.4	—¿Imacajtataj ruwana samana p'unchaypi: allin cajtachu icha mana allin cajtachu? ¿Alliyachinachu icha jinallachu wañupunan?
MRK.3.4	Paycunataj ch'inlla carkancu. 
MRK.3.5	Jinataj Jesuska phiñaska paycunata khawarkan, llaquiskataj chay rumi sonko runacuna mana entendiyta munaskancumanta. Ch'aquiska maquiyoj runatataj nerkan:
MRK.3.5	—Maquiyquita jaywariy —nispa.
MRK.3.5	Maquinta jaywarejtintaj, alliyaska caporkan. 
MRK.3.6	Chaymanta fariseocuna llojsipuspa, Herodespaj partidonpi cajcunawan yachachinacorkancu Jesusta imaynata wañuchinancupaj.
MRK.3.7	Galileamanta achqha runa katejtincu, Jesús discipuloncunawan puriporkan Galilea kocha cantoman. 
MRK.3.8	Jesuspaj athun milagrocuna ruwaskanta yachaspa, achqhayoj khawaj jamorkancu Judeamanta, Jerusalenmanta, Idumeamanta, Tiromanta, Sidonmanta, inti llojsimuy mayu lado Jordanmantawan. 
MRK.3.9	Chayraycu Jesús discipuloncunata nerkan:
MRK.3.9	—Uj boteta waquichiychis, cay achqha runa mana mat'iycamunawancupaj —nispa.
MRK.3.10	Jesús achqhayojta alliyacherkan; chayraycu tucuy onkoskacuna chimpaycorkancu payta llanqhaycunancupaj.
MRK.3.11	Sajra espiritucuna Jesusta ricuspa, ñaupakenpi konkoriycuspa wajach'acorkancu:
MRK.3.11	—¡Kan Diospaj Churin canqui! —nispa.
MRK.3.12	Jesustaj sajra espiritucunata c'amerkan mana jinata parlanancupaj tucuynincupaj ñaupakenpi.
MRK.3.13	Jesús lomaman llojsispa, picunatachus apostolninpaj munarkan chaycunata wajarkan ajllananpaj. Paywan tantaycucojtincu, 
MRK.3.14	chunca iscayniyojta ajllarkan paywan canancupaj, evangeliota willarajta cachananpaj. Chaycunaman suticharkan apostolta. 
MRK.3.15	Atiyninta korkan sajra espiritucunata katerkonancupaj. 
MRK.3.16	Caycunaka cancu chay chunca iscayniyoj: Simón, Pedro niska; 
MRK.3.17	Zebedeopaj churincuna Santiago Juanpiwan, paycunata Boanerges nispa suticharkan, (niyta munan: “Rayo Suenaypaj Churincuna”); 
MRK.3.18	Andrés, Felipe, Bartolomé, Mateo, Tomás, Alfeopaj churin Santiago, Tadeo, cananista partidomanta Simón, 
MRK.3.19	Jesusta vendiycoj Judas Iscariotepiwan.
MRK.3.20	Jesús discipuloncunapiwan uj wasiman puriporkancu. Ujtawan achqha runa tantaycucamorkancu. Chayraycutaj ni miqhuytapas aterkancuchu. 
MRK.3.21	Jesuspaj parientencunataj ima pasachcaskanta yachaytawan, Jesusta pusapoj jamorkancu, locoyapuskanta pensaspa.
MRK.3.22	Leymanta yachachejcuna Jerusalenmanta jamuspa Jesusmanta nerkancu: “Beelzebú niska supay, sajra espiritucunapaj jefen, cay runamanka atiyninta kon, waj sajra espiritucunata katerkonanpaj” nispa.
MRK.3.23	Jesús paycunata wajarkan, uj ejemplowan entendichinanpaj: “¿Imaynatataj supay Satanasri quiquin supay Satanasta katerkonman? 
MRK.3.24	Uj nacionpi caj runacuna uj ujcuna contra achqhaman partiska cajtincoka, chay nacionka mana astaqui canmanchu. 
MRK.3.25	Ajinallatataj uj wasipi familiantin chejninacuspaka, mana astaqui junto cancumanchu. 
MRK.3.26	Ajinallatataj supay Satanaspas iscayman tucunman chayka, mana atiynin canmanchu, tucucapunman.
MRK.3.27	“Ni pipas uj callpayoj runapaj wasinman yaycunmanchu cajnincunata kechunanpaj, mana payta ñaupajta wataycuspaka. Chaymantaraj cajnincunata kechuyta atinman.
MRK.3.28	“Segurayquichis, Dios runataka perdonanman tucuy juchanmanta mana allin niskancunamantawan. 
MRK.3.29	Chaywanpas Santo Espíritu contra parlajtaka ni jayc'aj perdonankachu, manachayri wiñaypaj castigaska canka.”
MRK.3.30	Ajinata Jesús nerkan, imaraycuchus paycuna nerkancu Jesusta sajra espirituyoj nispa.
MRK.3.31	Jesuspaj maman waukencunapiwan jawallaman chayamuspa, Jesusta wajacherkancu. 
MRK.3.32	Jesuspaj muyuntinpi tiyarachcajcunataj willarkancu:
MRK.3.32	—Mamayqui waukeyquicunapiwan jawapi cachcancu, masc'achcasunquichis.
MRK.3.33	Jesustaj contestarkan:
MRK.3.33	—¿Picunataj cancu mamay waukeycunari?
MRK.3.34	Paypaj muyuntinpi tiyarachcajcunata khawarispataj nerkan:
MRK.3.34	—Mamayka waukeycunapas caycunami. 
MRK.3.35	Pillapas Diospaj munayninta ruwajlla waukey, panay, mamaypas.
MRK.4.1	Ujtawan Jesús Galilea kocha cantopi yachachiyta kallarerkan. Chayman achqha runa tantacorkancu Jesuspaj parlaskanta uyarinancupaj. Chayraycu Jesús boteman yaycuspa tiyaycorkan. Runacunataj kocha cantopi quedacorkancu. 
MRK.4.2	Jesús ejemplocunawan achqha imacunata yachachichcaspa, nerkan:
MRK.4.3	“Uyariychis: Uj runa llojserkan tarpoj. 
MRK.4.4	Tarpuchcajtintaj, waquin mujucuna ñan pataman t'acacorkan. Pisketocunataj chayamuspa pallacaporkancu. 
MRK.4.5	Waquintaj pisi jallp'ayoj rumi pampaman t'acacorkan. Rato wiñarimorkan chaywanpas, 
MRK.4.6	rumi uqhupi mana saphichayta atiskanraycu, ruphay ch'aquichiporkan. 
MRK.4.7	Waquintaj qhichca uqhuman t'acacorkan. Qhichcacunataj wiñarispa sipiycorkan. Ajinapi mana urerkanchu. 
MRK.4.8	Waquin mujucajtaj sumaj jallp'aman t'acacorkan. Chay mujucunataj allinta wiñarkancu. Urerkancutaj sumajta: waquin quimsa chuncata, waquin sojta chuncata, waquintaj pachajta.”
MRK.4.9	Jesús nillarkantaj: “¡Uyarejcunaka, entendiychis!” nispa.
MRK.4.10	Chhicamantataj Jesús sapan cachcajtin, chaypi caj runacuna chunca iscayniyoj discipuloncunapiwan taporkancu: “Chay ejemplo, ¿ima niytataj munan?” nispa. 
MRK.4.11	Jesustaj contestarkan: “Kancunamanka Diospaj gobiernonmanta sut'inchasunquichis mana yachaskacunata. Wajcunacajmantaj ejemplocunallawan tucuy imata parlachcani, 
MRK.4.12	khawachcaspa mana ricunancupaj, uyarichcaspapas mana entendinancupaj, ni Diosman cutirinancupaj, nitaj perdonaska canancupaj.”
MRK.4.13	Jesús discipuloncunata nerkan: “¿Manachu cay ejemplota entendinquichis? ¿Imaynatataj, ari, waj ejemplocunata entendiwajchis? 
MRK.4.14	Chay tarpojka Diospaj palabranta willaj. 
MRK.4.15	Ñan pataman caj mujoka cay runacuna jina: Diospaj palabranta uyarejtincu jina, supay Satanás jamuspa uyariskancuta sonkoncumanta orkhopun. 
MRK.4.16	Rumi chaupipi pisi jallp'api tarpuska muju jina cajcunataj Diospaj palabranta uyarispa cusicuywan jap'ekancu. 
MRK.4.17	Mana saphiyoj jina caspataj, uj ratollapaj Diospaj palabranta creencu. Pruebacuna chejnicuycunapiwan jamojtintaj, creeynincuta chincachicapuncu. 
MRK.4.18	Qhichca uqhupi caj muju jina cajcunataj Diospaj palabranta uyarispa, 
MRK.4.19	negocioncupi kolketa ganayta sinchita pensaspa, imaymanacunawan khapajyayta munaspa, engañaska cancu. Tucuy chaycunawantaj Diospaj palabranta konkapuncu, manataj urincuchu. 
MRK.4.20	Sumaj jallp'api caj muju jina cajcunacajtaj Diospaj palabranta uyarispa, sumajta jap'ekancu. Imaynatachus uj mujoka quimsa chuncata urin, waquintaj sojta chuncata, waquintaj pachajta, ajinallatataj cay sumaj jallp'api caj muju jina runacunaka sumajta urincu.”
MRK.4.21	Jesús nillarkantaj: “C'anchayta jap'ichispaka, mana mesa uqhumanchu churancu, nitaj catre uqhumanchu, manachayri alto pataman, tucuyta c'anchananpaj. 
MRK.4.22	Jinallatataj tucuy pacaska cajka yachaconka, sut'inchaconkataj. 
MRK.4.23	Kancuna, uyarejcuna, entendiychis.”
MRK.4.24	Jesús nillarkantaj: “Allinta uyariychis. Kancuna ima medidawanchus ujcunata midinquichis, chay medidallawantaj Dios midisunquichis, astawan yapaskataraj. 
MRK.4.25	Diospaj palabranta entendejka astawan entendenka. Mana entendejmantataj pisi entendiskanpas kechuska canka” nispa.
MRK.4.26	Jesús nillarkantaj: “Diospaj gobiernonka mujuta tarpoj runaman rijch'acun. 
MRK.4.27	Tarpoj puñuchcajtinpas rijch'achcajtinpas, quiquillantataj p'unchaypipas tutapipas mujoka wiñachcan. Tarpojtaj ni yachanchu imaynata muju wiñamuskanta. 
MRK.4.28	Jallp'aka payllamanta wiñachimun. Ñaupajtaka wiñan, chaymanta t'ican, llulluspataj uriycun. 
MRK.4.29	Uri pokojtintaj, runaka pallapun, imaraycuchus ajthapina tiempo chayamunña.”
MRK.4.30	Jesús nillarkantaj: “¿Imamantaj rijch'acunman Diospaj gobiernonri? ¿Imawantaj rijch'achiyman? 
MRK.4.31	Jallp'api tarpuska mostaza mujuwan. Chay mujoka astawan juch'uycito tucuy mujumanta nejtenka. 
MRK.4.32	Chaywanpas tarpuskaña cajtenka, athunta wiñan. Astawan athunta ramachacun huertapi caj tucuy sach'acunamanta nejtinpas. Pisketocunapas ramancunapi tapachacuncu.”
MRK.4.33	Achqha cay jina ejemplocunawan Jesús evangeliota yachacherkan maycamachus entendiy atinancucama. 
MRK.4.34	Ejemplocunallawan yachachej; discipuloncunacajllaman tucuy imata sut'inchaj.
MRK.4.35	Chay p'unchay ch'isiyaycojtintaj, Jesús discipuloncunaman nerkan:
MRK.4.35	—Jacuchis kocha chimpaman —nispa.
MRK.4.36	Discipuloncuna runacunata sakespa Jesusta pusaporkancu tiyachcaskan botepi. Waj botecunapas compañallarkancutaj. 
MRK.4.37	Purichcajtincu, sinchi athun wayra jatarispa unuta boteman junt'aycuchimorkan. 
MRK.4.38	Jesustaj sanwanapi k'emiycucuspa botepaj khepannejpi puñuchcarkan. Rijch'arichispa nerkancu:
MRK.4.38	—¡Yachachej! ¡Unuman chincaycuchcanchisña! ¿Manachu importasunqui? —nispa.
MRK.4.39	Paytaj rijch'arispa wayrata c'amerkan:
MRK.4.39	—¡Amaña wayraychu! —nispa
MRK.4.39	Kochatataj nerkan:
MRK.4.39	—¡Ama khallacuychu! —nispa.
MRK.4.39	Manañataj wayrarkanchu, kochapas manaña khallacorkanchu. 
MRK.4.40	Discipuloncunamantaj nerkan:
MRK.4.40	—¿Imaraycutaj mancharicunquichisri? ¿Manarajchu creeyniyoj canquichis? —nispa.
MRK.4.41	Paycunataj sinchita mancharicuspa, ninacorkancu:
MRK.4.41	—¿Imayna runataj cayri? Wayrapas kochapas c'amejtin, payta casuncu —nispa.
MRK.5.1	Kocha chimpa Gerasa jallp'aman puriporkancu. 
MRK.5.2	Jesús botemanta urakajtin jina, uj sajra espirituyoj runa payman chimpaycorkan. Cay runa panteonmanta llojsimuska, 
MRK.5.3	imaraycuchus chaypi tiyachcarkan. Ni pi sujetayta aterkanchu ni cadenawanpas. 
MRK.5.4	Achqha cutiña maquincunata chaquincunatapiwan cadenacunawan watarkancu. Paytaj t'ipiraj ñut'uta. Ni pipas dominayta aterkanchu. 
MRK.5.5	Tuta p'unchay panteonpi lomacunapipas kaparispa puriycachaj, rumicunawan pay quiquin tacacuspa. 
MRK.5.6	Carumanta Jesusta ricuytawan, sajra espirituyoj runaka phawaspa jamorkan, Jesuspaj ñaupakenpitaj konkoriycorkan. 
MRK.5.7	Wajach'acuspa nerkan:
MRK.5.7	—¡Sinchi athun Diospaj Churin Jesús, ama meticuwaychu! ¡Diospaj sutinpi mañacuyqui, ama ñac'arichiwaychu!
MRK.5.8	Ajinata chay runa nerkan Jesuspaj mandacuskanraycu:
MRK.5.8	—¡Sajra espíritu, llojsiy cay runamanta!
MRK.5.9	Jesustaj payta taporkan:
MRK.5.9	—¿Imataj sutiyqui? —nispa.
MRK.5.9	Contestarkantaj:
MRK.5.9	—Legión suteyka, imaraycuchus achqhayoj caycu.
MRK.5.10	Chay sajra espiritucunaka Jesusmanta mañacuchcarkancu:
MRK.5.10	—Ama katerkowanquichischu cay jallp'amanta —nispa.
MRK.5.11	Kaylla lomapi achqha qhuchicuna korata miqhuchcarkancu. 
MRK.5.12	Sajra espiritucunataj Jesusmanta mañacorkancu:
