LUK.1.1	Kän mange käsäkädä dackä ngakä wexeki kasogäning na kä'desesäning tä warogkang tä räbäne kä'day, 
LUK.4.25	Ndä näs tire aläpedäng ngakong tanggo ka madurinyatäng mange tä cabärä Israyil tä cuku me logey Iliya ani zäkoxa kärigkäwa tä jendäg kodos na asämeny aranang, xas kawung tä walangic kä'day. 
LUK.4.26	Yä Kaläg kayaxsä me logey Iliya ta nuxu accäsa song, basa ta uxi näs mandur näs me pungud tä kaxsä pang Sarfa tä cabärä Sayidunang. 
LUK.4.27	Ndä menggä omodatäng mange tä Israyil tä cuku me logey Ilisa, yä nuxu accäsandäng kädäxäwa song, basa Naman me pungudi käpätäng Suriya.”
LUK.4.28	Ani sägädängäs ngakongang, känggi kä'day tä axä paliccä Yaxudinyang käsängasa paccey. 
LUK.4.29	Na sangusosuno tiyati, samagäng ma tunyu tä kaxsä pa. Na sagoyas ma tä nyixtä päxä cobocoboric, säpaye säzajas ma täzäg tä zä cabäri käke'decekang. 
LUK.4.30	Neng mawetä tä warä xä'dä na mägä'doc tä akäsogäma watäkäma.
LUK.4.31	Yasuwa kä'doc tägaxsä Kafärnaxum tä Calil, tä xongondu Sapid, na madeb bäldeygä kän. 
LUK.4.32	Na sa'dämdes bäldiccäma xa soxo bugundug täng.
LUK.4.33	Ndä tänya axä paliccä Yaxudinygi apangandäng käxa tasandäng tä wane, ndä kapere ka, 
LUK.4.34	“Wayi! Wanga was watäkäsko, Yasuwa me Nasra! Gining kuwung tä paxagäsko? Ayex gi ka giningang Ndedelang na näs näkä Kaläg.”
LUK.4.35	Na Yasuwa kadux käxa tasti tä wanämang ka, “Päli! Wete tä wanäma!” Na kala käxa tas kacodasa ma täzäg tä pidänäsa na kawetä napäl kawung ma käppärjig.
LUK.4.36	Känggi taxä paliccang, kädongasa ndä mänedäning ka, “Oxadi sogowa todong manang? Na butug na panggudug mädaxedäng ligitiga tasiny tunyu na wedeccä!” 
LUK.4.37	Na kala lulungudä Yasuwa kawasasäwa tä cabär bägälic.
LUK.4.38	Ani Yasuwa kawangasanäs axä paliccä Yaxudinyang, maläs pang Saman. Na ma'doxa wawana uxu bäxadiccandäng paccey, na sägäpay Yasuwa ka däxä ce. 
LUK.4.39	Na mägädokol todu zäce na maduxsi ka bäxadic lay wundung täce. Na käccogos cangäsa tiyati cawexse täsa.
LUK.4.40	Tä 'dängakä xong, känggi wayaka täxäccä na täxäka cagäcaguwinyang, sagoying täma. Na mägäläbtä sa kä'day na wadäkäsa kädaxäning. 
LUK.4.41	Kängga tasiny kawetäcco tunyu mangeccä, na pered ndä ngadeccä ka, “Giningang näs päxä Kalägkang!” Na madux sa mäleyis sa legey xa sa säyex ma ka mäs Almasi.
LUK.4.42	Na megetuduyzi täbangeneng, Yasuwa kawangasa sa ka'doc tä owda kaculdoy, yä musku xä'dä nyame bangäma. Ani sa'doxus mang, säleyis ma 'doc wangesänakä sa. 
LUK.4.43	Ndä Yasuwa ngade täsa ka, “Basa anduwaley yaxsäwecci apo lege ngakä bugundugku Kalägkang tä kulung cabärtagi tängang mändey, xa ngakongag Kaläg kayaxsä agä ka awung awexang.” 
LUK.4.44	Na todi mäwedede mäbäldecce tä axinygä paläccinygä Yaxudiny tä Yaxudiya.
LUK.5.1	Xongenendäng, Yasuwandäng dokolo tä nyixtä Colonggonä Calil, ndä xä'dä kagurma paye däng ngakä Kaläg. 
LUK.5.2	Na mägox dämpejiginy pädax tä nyixtä colonggo yä letuganagi näs menggä menekä asang, kawetäcco tunyu 'daye ka'dadaga. 
LUK.5.3	Na Yasuwa kä'doc tä kaxsä nuxu dämpejigsi näs näkä Samanang, na mäläpede ta Saman ka, “Zexteyi dämpejigsiginong na pidänä ma.” Yasuwa käcca tä nya kaxsä dämpejigsi ndä bälde xä'dä.
LUK.5.4	Yasuwa kä'dese legeyge, na ngade ta Saman ka, “Nyasi dämpejig tä maga tä'duginy na nggawi ka'dadagägo täng ndey meneng as.” 
LUK.5.5	Saman kabuc ka, “Ngotorpo, wakasängig kädayi tä wexed ndä kamenig nuxu 'dog song! Neng tä legeygägigong anggawada ka'dada tä ma.”
LUK.5.6	Na sägädäng ngakäma sägawa ka'dadakäsa tä ma na samen as mange de ka'dadagäsa kacertäno. 
LUK.5.7	Na sägädawasa ta biskodagäsagi tä dämpejigsi nuxungang ka wuno posa. Na sawuno sägäpäsä dämpejiginy pädax na as de paye muxosuno tä ma.
LUK.5.8	Saman Putros kox mänang, na kudukurusa tagä Yasuwa ngade ka, “Bazuwec, wede wangasa agä, xa anäs käxa sogo ngaka tasiny!” 
LUK.5.9	Na todi Putros na känggi namang, kädongo tä menekä aski samendä mangeng. 
LUK.5.10	Yaxup na Yoxana enggä penggä Zapadi menggä wexed na Saman kädongo mändey. Na Yasuwa ngade ta Saman ka, “Wanga nyigatäg, xa gang na ur'dug gi layis me menekä kän.” 
LUK.5.11	Na kala sagoyas dämpejiginygäsa tä tungurtic, na sawangasa weg bägälic na sägäräbkädä Yasuwa.
LUK.5.12	Tä cuku Yasuwa tä nuxu kaxsä pandäng, apangandäng kawung täma wane kä'dod na omo. Mägox Yasuwa na mägunusawa täzäg mäzaye zäg na manyäxay Yasuwa ka, “Bazuwec, kä'dang mpayeng kax kusog wanag kalay apo.” 
LUK.5.13	Na Yasuwa kälanga ande käpärä ma na ngade ka, “Agä ampaye asog gi lay mpo. Omo caya!” Na käccogos omo kaway tä wanäma.
LUK.5.14	Na Yasuwa kä'dedey ma ka andakä mäläpe tä nuxu kig song. Na madästä me omo ka, “Wede koyi ngasägi ta me tämed tä Kaläg na koyi 'dogu tämekägi ndey mäduwalasa ka wanägi kälay apo, tä bangä asiriyenä Musa kadästäse nangang, ndey säbäle ka wanägi kälay apo.” 
LUK.5.15	Yä wadi lulungudu wexekä Yasuwa kawasasäwa käked na xä'däni kädängang kawuno tä dänggä ngakäma ndey Yasuwa däxä sa tä täxäkäsa.
LUK.5.16	Ndä Yasuwa päledeswa tä owda kaculdoy xondaxonda watäke tä paley.
LUK.5.17	Na xongenendäng Yasuwa bäldecce na Farisiny na menggä lelericcä asiriyenä Musa aki käpädäsäno tä Calil na tä Yaxudiya na tä Ursalimang käcasäng käsac, ndä panggudugku Kalägkang kasog Yasuwa däxä känang.
LUK.5.18	Kulung apangas kawuno poko pudude tä salany. Säpaye ka sägoyas ma tax tagä Yasuwa. 
LUK.5.19	Neng sa'doxa ow kapäs, ndä owda sälangeyis ma undung na sa'dese tazä ax sawe ax ndä sälolas ma nang tax na salany tagä Yasuwa. 
LUK.5.20	Yasuwa kox menekä ngakäsa täma, na ngade ta pudude ka, “Bisko, ngaka tasinygägi käcayino.”
LUK.5.21	Na menggä lelericcä asiriyenä Musa na Farisiny käre tä ngastängga ka, “Apangza tiyanang degeje Kalägkang? Xänang caye ngaka tasiny tä kän basa Kalägkang?”
LUK.5.22	Ani Yasuwa kabälenäs ngakäsagiyang, mäne sa ka, “Wi siye anggo makadang ngakong tä mäganygägong? 
LUK.5.23	Ngakatiyag kädäppa ka xäxäminy ngadäningang, ‘Ani ka ngaka tasinygägi käcayining,’ wala ka, ‘Ngäsa tiyati wetäde’? 
LUK.5.24	Asogo ngakong ndey bäleng ka agä, Päxä Käxa Jul panggudugkatäng tä andang täzäg layis näka anycayis ngaka tasiny.” Na Yasuwa ngade ta pudude ka, “Ngäsa tiyati poka salanygägi wede tä pa.”
LUK.5.25	Na tetex mangäsa tagäsa tiyati na madeccäng salanygäma mägä'doc tä pa, mädädäxti Kaläg. 
LUK.5.26	Na mäganygäsa kabalza na sägädongo, na sägädädäxti Kaläg tä ngaki kasogunong. Na kala sanyigata Kaläg, sängadeccä ka, “Was kanoxig ngaka tädäxiny xongondong.”
LUK.5.27	Tä bangä ngakong Yasuwa kawetä tunyu na kox käxa age ka Lawi, säbängäs ma mändeng Mata, näs me yawgä tuluba käcca gixinicci taxä burkune. Na Yasuwa ngade täma ka, “Räbta agä.” 
LUK.5.28	Na mangäsa tiyati mawangasa weg kä'day mägä'doc tä bangä Yasuwa.
LUK.5.29	Na Lawi kasog led tä pane ta Yasuwa, na kala xä'dä na menggä yawgä tulubada na kulung palangaski tängang, käcasäng sagur siyad nasa. 
LUK.5.30	Na Farisiny na menggä lelericcä asiriyenä Musa daweccä ta menggä räbkä Yasuwa ka, “Wi siye anggo darjangedänang na ziyaccang na wuxiccing na menggä yawgä tuluba na kängga sogo ngaka tasinyang?”
LUK.5.31	Na Yasuwa kabuc ta Farisiny ka, “Känggi täxäccä songang paye me nayic song, basa känggi täxäccäng käcag paye me nayiccang. 
LUK.5.32	Agä kawung tä bangakä känggi apoccung song, wadi kawung tä känggi sogo ngaka tasinyang ndey meley mäganyga.”
LUK.5.33	Sängadeccä ta Yasuwa ka, “Menggä räbkä Yoxana mene uxkud todotol na palacca tä Kaläg, na mändey menggä räbkä Farisiny sogo mänang, yä menggä räbkägi kädil siyad na wuxid tol.”
LUK.5.34	Na kala Yasuwa ngade täsa ka, “Kädäppa ka dogang palangaska kawuno tä batad ka men uxkud yä me batatandäng nang? 
LUK.5.35	Musku xa ow wunodung säbate me batad täsa, ndä kala sälayenäs kängga mene uxkud.”
LUK.5.36	Na sax mändey maser nga täsa ka, “Kigkandäng cerede nyonggo tä tandäna warändi ndä debede tä näka kaboxsu song. Käxa kasog mänangang kacere tandäni waränding, ndä nyonggoni waränding 'dasedäning na boxe song. 
LUK.5.37	Kigkandäng colada bux tä meldäna näs boxenendäng song. Käxa kacolas buxka warändi tä meldäna näs boxeneng, zage meldä na wanyisäwa. 
LUK.5.38	Wadi kädäppa ka buxka warändi säcolas tä kaxsä meldäna warändi. 
LUK.5.39	Ndä käxa kawux buxku boxinyganang paye buxka warändi song. 'Do ngade ka, ‘Buxku boxinyga apoccu na wizicci.’”
LUK.6.1	Xongenendäng Yasuwa kadus kaxsänggä pelow tä xongondu Sapid. Na menggä räbkä ma kabag zänggä kuny kapujuguy kasi. 
LUK.6.2	Na kulung Farisiny ngadeccä ka, “Wi siye anggo nyca'dadang asiriyenä Musa tä xongondu Sapitang?” 
LUK.6.3	Yasuwa kabuc täsa ka, “Anggo känggeneng ngaki Sorunu Kaläg lege tä ngakä Dawud na biskodage kasog tä xondi xas kapaxäsang song? 
LUK.6.4	Masogkuwa key maläs axä burkunu tämed tä Kaläg de mägä'doc masi siyaki tedelinyang, yä asiriye ngade ka säsi säxong bal me tämed tä Kaläg watäkeneng, ndä madoga kulung tä enggä biskodagämang?” 
LUK.6.5	Na mängade täsa ka, “Agä Päxä Käxa Jul anäs bazuwec tä xongondu Sapid.”
LUK.6.6	Yasuwa käläs axä paliccä Yaxudiny bäldecce tä nuxu xongondu Sapitandäng. Ndä apangandäng tänya axä owdi andä abanicce käxsä. 
LUK.6.7	Menggä lelericcä asiriyenä Musa, na Farisiny jenggere Yasuwa käsac. Paye bäle ka cong Yasuwa däxäcci tä xongondu Sapitang, ndey ka sä'dox rakawza säglinäs nga täma. 
LUK.6.8	Ndä Yasuwa yex ngakäsagi sabokasa tä zänggäsang, na mängade tä 'doxti ande käxsängang ka, “Ngäsa tiyati dokala tä pidi todong.” Na todi mangäsa magädokol tänya owdi.
LUK.6.9	Na Yasuwa ngade täsa ka, “Ampaye amän anggo ka, apo ta asiriye ka wex ngaka apoccu wala ka wex ngaka tasiny tä xongondu Sapid, ka xony rongic wala ka wanydäs?”
LUK.6.10	Na Yasuwa gaw ze käsaya sa na'anggäsa na ngade ta apangzi ande käxsäng ka, “Langi andägi.” Na apang kälanga ande na ande kaliy apo. 
LUK.6.11	Na ngaki mänangang kawaley mäganygäsa na sälegecce säbodo 'doga säsog ta Yasuwa.
LUK.6.12	Xongondi Yasuwa ka'deg cabär tä paley tängang, masäng kädayi tä paley tä Kaläg. 
LUK.6.13	Ow kagezä na mabandä menggä räbkäma madec kulung tä wara asiny wang pädax ndey mäligä. 
LUK.6.14	Madeccäng känggong, Saman, ani sabangäs Putrosang, na päxä bona Andrawus, Yaxup, Yoxana, Filipus, na Partalmawus, 
LUK.6.15	Mata, Toma, Yaxup päxä pe Xalafi, Saman ani sabangäs me mäganygä pädätägkang, 
LUK.6.16	Yaxuza päxä pe Yaxup, na Yaxuza Askariyuti ani kamenes Yasuwang.
LUK.6.17	Yasuwa kawung täzäg na känggenegi kälägäng na mägädokol tä owda kädäpä. Na menggä räbkäma käyawesäno mange na kän bägälic kädurisäno käpätäsäno tä cabärä Yaxudiya na Ursalim na tä nyäxtä ndandangzä colonggonu Taya na Sayidun. Sawuno tä dänggä bäldiccäma Yasuwa na ndey ka mädäxäsa tä täxäkäsa. 
LUK.6.18	Na känggi ligitiga tasiny käco'deyang, kalaye käccag. 
LUK.6.19	Xä'dä paye zegeleyi ma, xa panggudug päkätäsäng wanäma ndä mädäxä sa na'anggäsa.
LUK.6.20	Na mägäza menggä räbkäma na mängade täsa ka,
LUK.6.20	“Baxändäg ta anggogong widänangang,
LUK.6.20	xa bugundugku Kaläg kunggog.
LUK.6.21	“Baxändäg ta anggogong xas tanggo gangang,
LUK.6.21	xa edekeny matasang.
LUK.6.21	“Baxändäg ta anggogong ngecceng gangang,
LUK.6.21	xa edekeny guguccing.
LUK.6.22	“Baxändäg ta anggogong säsaxenggong, na sa'däda tunyang, na sälangeng, na säpexke kala kängga tasiny xa kämeneng ngakang, agä Päxä Käxa Julang!
LUK.6.23	“Ledining na zazanedicci tä xongondi ngakong kasoguning tanggong, xa dericcägo ngondey tä pang Kaläg tiyati. Xa wawanakäsagi kä'doccong kasog mänang tä menggä logey.
LUK.6.24	“Woyoy ta anggogong male tanggong,
LUK.6.24	xa anggo ka'doxang buduldugkugo na kä'deseng kala.
LUK.6.25	“Woyoy ta anggogong kämasang gangang,
LUK.6.25	xa edekeny xas lukudi paxe anggo.
LUK.6.25	“Woyoy ta anggogong guguccing gangang,
LUK.6.25	xa edekeny guniccing na ngecceng.
LUK.6.26	“Woyoy ta anggogong kän kä'day lege ngaka apoccu tä ngakägong,
LUK.6.26	xa wawanakäsagi kä'doccong mändey kasog mänang ta menggä logeygi celuwinyang.”
LUK.6.27	Na Yasuwa kapos legey ngade ka, “Ndä agä alegecce tanggogong, ndeldedeng wunggugong. Mpaya menggä kurugo, zoga ngaka apoccu tä känggi saxenggong. 
LUK.6.28	Pese känggi cage anggong, na palezi tä känggi cälixtinggong. 
LUK.6.29	Tä käxi 'dade abogiccäging, wexi cengicci kalayang täng 'dadä, na käxa bate tandänäging, togi nuxu ani biyeyang täng mändey. 
LUK.6.30	Kig kanyäxayging togi 'dogi payeng, ndä kig kabag 'dog täging, adakä naläng täng tunyu. 
LUK.6.31	Koyada kän kala koyaki mpaye sägoydäs ging.
LUK.6.32	“Gang mpayadang känggi paye anggong, oxadi 'doxadang tä bangeneng? Mändey känggi sogo ngaka tasinyang paye känggi payeng. 
LUK.6.33	Gang zogadang ngaka apoccu tä känggi sogo ngaka apoccu tanggong, oxadiyang 'doxadang tä bangeneng? Mändey känggi sogo ngaka tasinyang sogo mänang. 
LUK.6.34	Ndä gang kämeneng amusu tä känggi yexeng ka meledäng tanggong, oxadiyang 'doxadang tä bangeneng? Mändey kängga sogo ngaka tasiny menede amusu tä kängga tasiny ndey mele täng kä'day. 
LUK.6.35	Wadi kädäppa ka mpayang menggä kurugo, na zogang ngaka apoccu täng, na meneng 'dog ndä bokosänang ka sämeleyäng tanggo song. Ndey dericcugo lay tädäx, na layisang enggä penggä Kalägi Tädäxang, xa mägaxsänya bow tä kängga mäganyga juliny na tä kängga logacca song. 
LUK.6.36	Layesi kängga aga watäsa tä kän xa Menggoni Tiyating age watäsa tä kän.”
LUK.6.37	Yasuwa ngade ka, “Wanga käligkä nga tä kän, andakä sägäling tanggo. Wanga zägkoygä kän, ndey säwang zägkoygä ko. Zaxi nga tä kän ndey säsaxäng nga tanggo. 
LUK.6.38	Begsi ndey säbeg anggo. Kili 'dog appoyo, 'dixisa täzäg ndä ngädengädesa, ndä didili, ndey säduki tä satä ngorezägi. Tä kiligi gi gilingang sägilidäng tägi.”
LUK.6.39	Na mändey maser nga täsa ka, “Käxa layis ngojox 'dosto ngojox song, kädäppa mänang? Pädaxkäsa sädelgetese taxä 'dog, säxong? 
LUK.6.40	Me räb ngondey ta me bäldicce song, basa käxi sägäbäldey appoyong nyang laye kala me bäldicceneng.
LUK.6.41	“Wi siye gi zaye nyaxic ta awunu päxä bonggo yä kä'diya sarakaduwecci ta awunuging? 
LUK.6.42	Käsogkuwa key läpede tä päxä bonggo ka, ‘Päxä bisko, wanga agä anycay nyaxic ta awunugi’ yä kä'diya bo sarakaduwecci ta awunuging? Ama me fonofoney! Caya bo sarakaduwecci ta awunuging täzäläg ndey zayza käley ndä kala bokung nyaxicci ta awunu päxä bonggong tunyu.”
LUK.6.43	“Eta apo iyedäng päxenena tas song, ndä mändey eta tas iyedäng päxenena apo song. 
LUK.6.44	Ewe kä'day bäletäsäning na enggengganagi iyedängang. Ewegä kunyu iyedäng enggä 'dami song, na adilu sete tä kenyegen song. 
LUK.6.45	Käxa apong ngaka apoccu päkätäsäng mägaxse, yä käxa tas ngaka tasiny päkätäsäng mägaxse. Xa 'dogi mälegeng päkädäng mägaxsämani kapäsang.”
LUK.6.46	Yasuwa ngade ka, “Wi siye anggo bangadang agä ka, ‘Bazuwec, Bazuwec,’ ndä wexedeng ngaki aläpedäng tanggo songang? 
LUK.6.47	Käxa kawung tagä ndä delde wunde tä legeygang ndey wexse nangang, agä aläpede täng ka käxeneni ka'das 
LUK.6.48	apangza kadony pane kabosasa täzäg loy, ndä repesa kadasu täzä tappa. Faya kawung basa colonggo kämamanya tä pox de käbung pa, ndä kägä'dikiy pa song, xa kärepesawa appoyo. 
LUK.6.49	Yä käxa dänge ngakang ndä wexe songang, käxeneni ka'das apangza kadony pane täzäg winy kabosasa kadasu säxong. Ndä colonggo kapäs käsajä pane, na kagurumusawa tetex na kawanydäswa seley!”
LUK.7.1	Ani Yasuwa kä'desenäs bäldeyge kä'day tä känang, maläsa Kafärnaxum. 
LUK.7.2	Ndä ngotorponu asägarugu Romanandäng tänya owdi paye cäläxse nano, ndä nya cäläxsämani täxä paccey paye äxsä. 
LUK.7.3	Ani ngotorpo kädängäs ka Yasuwa kawunäsang, mayaxsä ngondowinygä Yaxudiny ta Yasuwa, ka säbandä ma mäwung, ndey mänay cäläxsä ngotorpo.
LUK.7.4	Sawuno ta Yasuwa, na sägä'dedey ma ka, “Wede xonya ngotorpo xa mang mägädäppas xonyatang, 
LUK.7.5	xa mäpaye känggä Yaxudiny, na mändey madony axä palic.”
LUK.7.6	Na todi Yasuwa kä'doc nasa. Ani sägä'docconäs ngäte tä pang, ngotorpo kayxsa aminuge kaläpe täma ka, “Bazuwec, wanga dereygä ngasägi xa kandäppas ka gi wung tä panang song. 
LUK.7.7	Nyang kasog asaxe wunad tägingang. Ndä gang ngadi winy ndey cäläxsang 'dox nayic. 
LUK.7.8	Ndä agä mändey anäs käxa panggudug tä ande kamen asägaru, ndä kangada tä nuxu ka, ‘Wedeng’ na 'docco, na tä nuxung ka, ‘Bong’ na wunodung, na tä cäläxsang ka, ‘Wexe 'dogongang,’ na wexe 'dogeneni.”
LUK.7.9	Ani Yasuwa kädängäs ngakongang, ma'dämdes ngakäma. Na mawexwa mängade tä xä'däni räbtomang ka, “Aläpedäng tanggo ka tä Israyil bägälic ka'dox käxa kamen ngakang ka'das 'doxtongandäng song!” 
LUK.7.10	Na kala känggi sayaxsäng, kämele tä pa ka'doxäng cäläx kalay apo.
LUK.7.11	Kala tetex Yasuwa kä'doc tä kaxsä pana säbangäs Nayin. Na menggä räbkäma Yasuwa na xä'dä kä'docco nama. 
LUK.7.12	Sawuno saläs kaxsä pa, na sa'doxung apangandäng käxsä kän käpokung tunyu, ndä nyang nuxundugke ta bona ndä cäs mandur, ndä känatäng nace mange.
LUK.7.13	Bazuwec kox ce, na agäma kawasa täce na mängade täce ka, “Wanga ngeyig.” 
LUK.7.14	Na mawung mägäläbä salany, na nycogi pokaccangang kädokalasa kisid. Na mängade ka, “Päxä op, angade tägi ka, ngäsa tiyati!” 
LUK.7.15	Na päxä opi käxsängang kangäsa tiyati na kalegese, na Yasuwa kämeles ma ta bosa.
LUK.7.16	Na sägädongo kä'daygäsa, na sadelese tä dädäxtigä Kaläg, sängadeccä ka, “Me logeyga tädäxandäng tä warog!” na, “Kaläg kawung tä posakä kängge!” 
LUK.7.17	Na todi lulungudä Yasuwa kawasasäwa tä Yaxudiya na tä cendegä walangic kä'day.
LUK.7.18	Menggä räbkä Yoxana kaläpe ngaki kä'day Yasuwa kasogkang ta Yoxana. Na Yoxana kabandä menggä räbke pädax 
LUK.7.19	na mayaxsa sa ka sägä'docco sämän Yasuwa ka, “Giningang näs käxi kän beneng
LUK.7.20	Ani apanginy kawunonäs ta Yasuwang, sängadeccä ka, “Yoxana me pac kayaxsä was tä gining ka amänzig ka, ‘Giningang näs käxi kän beneng, wala basa abendig käxa caka?’” 
LUK.7.21	Na tä nya owdi Yasuwa kädäxä kän mange tä däxäka cakucakuny na mägäcay ligitiga tasiny tä wadäkä kän na malende agä ngojony.
LUK.7.22	Na mabuc täsa ka, “Wesi lapi ta Yoxana tä 'dogi känoxangang na kändängengang. Ka ngojony käsayiza, mexesu kewetädäcco kiccag, na menggä omoda wadägka kalaye apoccu, na bunguny kädängze, na kängga käxse koxsasa, na menggä wiy kädäng duwaleyga warändi. 
LUK.7.23	Baxändäg tä käxi base mägaxse tagä songang.”
LUK.7.24	Ani menggä yaxsäweccä Yoxana kä'docconäsang, Yasuwa kalegese tä ngakä Yoxana tä xä'dä ka, “Oxadi kasog anggo känoccang tä pumpung tä zaygeneng? Päx känoxang mege zäwande nyaxic? A'a! 
LUK.7.25	Neng oxadiyang känoc tunyu tä zaygeneng? Apangza kälagäwa na tandäna duladulaje? A'a! Za, känggi lage tanduga duladulajeccäng, käcag tol cuccu tä owdu buguninginyang!
LUK.7.26	“Oxadiyang känoccang tunyu tä zaygeneng? Me logey? E, neng aläpedäng tanggo ka ma mäs me logeyga tädäx tä menggä logey. 
LUK.7.27	Ngakongag gärekärejesäno tämang, ‘Lala, ayaxsada me yaxasawiccang tagägi, ani 'docco weye akäsog ndä kala noccang.’ 
LUK.7.28	Aläpedäng tanggo ka, känggong sägiyängang käxa tädäx kala Yoxanandäng song. yä käxi biyey tä bugundugku Kalägkang tädäx täma.”
LUK.7.29	Ani kän kä'day kädängäs ngaki Yasuwa kangatang, na mändey menggä yawgä tulubada, kagixi däppiccä Kaläg, xa Yoxana käpaccä sa. 
LUK.7.30	Ndä mändey Farisiny na menggä lelericcä asiriyenä Musa käpexkä ngaki Kaläg kabokasa täsang, xa Yoxana käpaccä sa song.
LUK.7.31	Yasuwa ngade ka, “Oxadi andäppo na känggä zongang, na sa sa'das wi? 
LUK.7.32	Sa sa'das pipuga käcasäno ta axä owdu wanyäg ndä bangedäning,
LUK.7.32	‘Was kanusig ndetelegu tanggo ndä anggo kocoxsang song,
LUK.7.32	kangeyig ndä aguniccig ndä anggo kängeydäcceng song.’
LUK.7.33	“Yoxana me Pac kawung ndä kalägäji ndä mäwuxi bux song. Ndä ngadaccang ka märamacca! 
LUK.7.34	Yä agänang Päxä Käxa Jul kawung asiyacca na awuxicci, ndä anggo ngadaccang ka, ‘Za, päxä me kurugurunong na wuxicci de bux paxeng mäs biskonu menggä yawgä tulubada na kängga tasiny!’ 
LUK.7.35	Zänggä ngakä lelertäg bäledeswa na cofu'do'dugku logadä menggä räbke.”
LUK.7.36	Nuxu Farisiccandäng säbangäs Saman kabandä Yasuwa ka säsiyza nang tä pane, na mägä'doc tä pang Farisic na sägä'docco sagur siyad. 
LUK.7.37	Ndä uxandäng tä nya kaxsä pani, sogo ngaka tasiny, cabäle ka Yasuwandäng tä pang Farisic, na cawung cägo midä mäxäs tä belenyza sadotogey sägäluxu tä ngayicca säbangäs alpasta. 
LUK.7.38	Na cägä'doc täwang badadagäma, cänge, ndä cädälbede uxku agäce tä exenggäma. Ndä cäsenye exenggäma na apaxkäce, na mändey cägäbucci exenggäma, ndä cawawe exenggäma na midä mäxäs.
LUK.7.39	Farisicci kabandä mang kox ngaki, na ngade tä ngase ka, “Kä'dang apangzong layis me logey seleyang, kax mabäle ka uxong läbe mang näka sogo ngaka tasinyang.”
LUK.7.40	Na Yasuwa kabuc täma ka, “Saman, ampaye aläpäng nuxu 'dog tägi.” Na mabuc ka, “Lapäng, me bäldic.”
LUK.7.41	Na Yasuwa ngade ka, “Me menekä amusundäng kamene amusudi ta kän pädax. Nuxu kamen fudada udiny mädäginy mädäg (500), mändey käxi nuxungang kamen udiny pädax wang asiny (50). 
LUK.7.42	Ani sägämelenäs wegki samen täma songang, masaxa wegki samen tämang kä'day. Pädaxkäsa xänang täsa kädäppa ka paye ma mo'do accanang?”
LUK.7.43	Saman kabuc ka, “Ka'das ka kädäppa ka käxi kamen amusu mangeng, nyaza.” Na Yasuwa ngade täma ka, “Mänang gi seley kälegey zänggä nga.” 
LUK.7.44	Na mawexwa mägäsay ce, na mängade tä Saman ka, “Gining noxo uxong? Agänang käläs panägi. Kudong magä 'dakä exenggang song, yä ce ca'day exenggang na uxku agäce ndä casenydä na apaxkä zäce. 
LUK.7.45	Kämpaxäng agä na modey na kägappas agä song, yä ani kaläsäs panäging cägädokala bucigä exenggang song. 
LUK.7.46	Käwawey zang na mid song, yä ce cawawey exenggang na midä mäxäs. 
LUK.7.47	Neng aläpedäng tägi ka ngaka tasinygäcegi mangeng kawangesäno täce ndä nyang cäpaye pacceyang. Yä käxi sasaxa täng bälaxinyang, paye bälaxiny.”
LUK.7.48	Na Yasuwa ngade täce ka, “Ngaka tasinygägi käcayining tägi.”
LUK.7.49	Ndä palangaski kagur siyad namang käre tä zängga ka, “Xänanang kanang mändey caye ngaka tasinygä tä känang?”
LUK.7.50	Na Yasuwa ngade tä ux ka, “Menekä ngakägi tagä kaxony gi. Wede na modey.”
LUK.8.1	Täbangä ngakongang, Yasuwa kadadara kaxsä pa na madus enggä cabärta mäbäldecce na mälogo yaxsäwecca apo tä bugundugku Kaläg. Känggämagi mägälägä asiny wang pädaxang satäng nama, 
LUK.8.2	na mändey sag na kulung uxugi mägänay tä ligitiga tasinyang na tä däxäkanang. Mariyomzi säbangäs Macidaliya ani samagäng kängga tasiny paxtänding tunyu tä waneneng, 
LUK.8.3	Xana uxu Cuza, ani kamen wexekä pang buguning Xirudusang, na Sosana na kulung kän mange kälarta wegkanagi layis käkä ngastängganang täsa.
LUK.8.4	Kän kawuno ta Yasuwa käpätäsäno tä kaxsänggä padägka cakucakuny na xä'dä kädurisäwa, na malegeyze täsa näs seredänic.
LUK.8.5	Mängade ka, “Me zäb kawetä kä'doc tä wasakä yugke ndä kulung kawosasa tä kaxsä akäsog na kän kebtesa, na awiny kaleb kulung. 
LUK.8.6	Kulung yug kawosasa tä cobocoboric, na ani kalocconäsang kamasasa xa nyigidiccandäng song. 
LUK.8.7	Kulung yug kawosasa tä warä kunyu na kalocco appoyo ndä kunyu räbta. 
LUK.8.8	Na mändey aki kawosasa tä zägka apoccung kalocco na ka'dongasa appoyo, na kiye kiccag zä kuc nuxung age kasog udiny mädäg (100) taxä mange.” Na mängade ka ngakong ngadeccä ka, “Käxa wunde dängecceng, däng ngakong!”
LUK.8.9	Na menggä räbkä ma kamän ma ka seredäniccong näkä wiyang. 
LUK.8.10	Na Yasuwa ngade ka, “Anggo nyadogung akäsog tanggo ndey bäleseng bodakä bugundugku Kaläg. Yä tä kulung kän agä alegecce täng na seredänic, ndey kax sälale na oxuswa pele winy, ndä kax sädänge na säbälede 'dogeneni song.
LUK.8.11	“Ndä gang seredäniccong bangeneng ka, yugkag näs ngakä Kalägkang. 
