MAT.1.1	SIN AK'SIN Jesus Christ David okkuai' Abraham okkuai' un'ix o sĭnaks' oaiĕxĕsts. 
MAT.5.46	Ukomĭm'mainoainikiau anniks'ĭsk matap'pixk kitŭk'omĭmmokoauixk, tsaak'anĭstappiuats kisa'kinosuai? Kŭttomŭnĭstauŭkomĭmmotsein'axau publicanix? 
MAT.5.47	Ki namiksematsĭm'ainoainikiau kĭxokoax, tsanĭstapiu'ats kumutaumotsapiau stsĭk'ix? Kŭttomŭnĭstaiksematsĭmmotseiu'axau publicanix? 
MAT.5.48	Ki sŭp-puiap'sĭk manĭst'sŭppuiapspi kĭn'oau spots'im.
MAT.6.1	ISKSKATS'ǏK kŏkstau'kŏmmotsitappiisuai matap'pix kŏkainu'yĭssi; ikŭmits'tsiki kĭn'oau spots'im kimataksakinosŭkoauats. 
MAT.6.2	Mak'aumŭtskotŭkkieniki pinik'it manĭstsik'ipi aiksĭstapokŏmotsitappikasix itai'puyĭssax natoi'apioyists ki moksoku'ĭsts, matappix mŏksĭnnu'yĭssax. Kitau'mŭnĭstopuau sakino'sattaiau. 
MAT.6.3	Ki aumŭts'kotŭkkieniki pinsksĭnĭs' i'aksĭssautsĭs kinet'otsĭsi otai'ĭstutsipi; 
MAT.6.4	Mŏksisĭmĭs'si kitaumŭts'kotŭksĭnni; ki Kĭn'a, aisĭmmiŭs'sŭppiuŏk, kitaksĭnnoam'sakinosŭk. 
MAT.6.5	Ki atsĭmoi'ikainoeniki pinet'omanĭstsĭk aiksĭstap'okŏmotsitappikasix: otŭk'ometsĭmanoaiau mŏkauatsĭmoiikasau otsitai'puyisau natoi'apioyists ki moksoku'ĭsts itsi'kokeĭsts, matap'pix mŏksĭnnu'yĭssau. Kitau'mŭnĭstopuau, sakino'sattaiau. 
MAT.6.6	Ki Ksĕsto'a, a'tsĭmoiikainiki, ĭstsipi koko'ai, okĭm'ĭniki, a'tsĭmoiikamĭs kĭn'a ai'sĭmmiapsiuă; ki kĭn'a, aisĭmmiŭs'sŭppiuŏk, kitaksĭnnoam'sakinosŭk. 
MAT.6.7	Ki atsĭmoi'ikainoeniki piniksĭstape'puawtsĭs, manĭstaiksĭstapepoattopiauaie saie'tŭkkix: tŭk'ka ŭs'taiau ak'aiokhtokiau otakai'puyĭssau. 
MAT.6.8	Pinet'omanĭstsik, tŭkka Kin'oau ĭsksĭnĭm'ests kitsipu'ĭnakitsipists kitsauomauan'ĭstopi. 
MAT.6.9	Ŭn'anĭstŭttsĭmoiikak: Nĭn'an spots' im kitsitau'pipi, ŭnanĭstatsĭm'metsĭs kitsĭn'ikŏsim: 
MAT.6.10	Ŭnanĭsto'tos Kitotŭmap'sĭnni: spots'im Kitsitsi'tan kanĭs'tutsipi, annom' ksŭk'kum nokŭt'anĭstutsit: 
MAT.6.11	Annok' ksĭstsiku'ik nokkok'inan aau'ŏssĭn: 
MAT.6.12	Ki ŭnniksksĭnĭt'au nitsauum'itsitappiisĭnanĕsts, manĭstŭs'ksĭnoawpi anniks'ĭsk matap'pixk nitsauum'itsĭstotokinanĭxk: 
MAT.6.13	Ki pinĭstskĭm'ŭkĭnan, ki nokitsikŏmotse'piŏkĭnan Sauum'itsitappiuă; kitŭsk'sainaniau nĭn'naiisĭnni, ki otŭnmap'sĭnni, ki ĭstsapĭna'sĭnni. Amen. 
MAT.6.14	Ŭnniksksĭnno'ainoeniki matap'pix otsauum'itsitappiisuauĕsts, Kin'oau spots' im kitak'oksksĭnokoau. 
MAT.6.15	Ki sauoksksĭno'ainoemki matap'pix otsauum'itsitappiisuauĕsts, Kĭn'oau Spots'im kimatakoksksĭnokoau'ats. 
MAT.6.16	Kŭttaioyienoeniki pinomŭs'sŭppik manĭst'omŭssŭppipiau ksĭstapokŏmotsitappikasix: tŭkka iksĭstuts'imiau ostokso'auĕsts, matap'pix mŏks'ksĭnoŏsax kŭttaau'yiau. Kitau'mŭnĭstopuauŭk'otsimiau saiakinosattopiau. 
MAT.6.17	Ki ksĕsto'a, kŭttaiau'yeniki pu'ikĭniit, ki ĭssĭs'kiosit; 
MAT.6.18	Matap'pix kŏkstai'ĭsksĭnokiau kikŭtauyi, kŏksksĭnnu'yĭssi Kĭn'a aisĭmmiŭssŭppiuă: ki Kĭn'a aisĭmmiŭs'sŭppiuă kitaksĭnnoam'sakinosŭk. 
MAT.6.19	Pinaumoi'potosik akau'tsapsĭnni annom' ksŏk kum, apŭn'ix ki apĭssu'yei otsĭts'oyipi, ki kŏm os'iepĭtsix otsipĭs'sax ki otsikŏmos'sax: 
MAT.6.20	Ki aumoi'potosik akau'tsapsĭnni spots'im, apŭn'ix ki apĭssu'yei otsitsau'oyipiau, ki kŏmosiepitsix otsitsauaisisŭppokatŭn'akiipiau ki otsitsauai'kŏmospiau: 
MAT.6.21	Itstsi'piau kitsinan'ĭsts, ŭn'nimauk ku'skĕttsipŏppi. 
MAT.6.22	Mostŭm'i ĭsta'natsii moŏps'piina; nituks'kŭssi koopspi, kostŭm' ak'otuitsiu anat'sii: 
MAT.6.23	Ki koŏps'pi minĭx'ĭssi, kostŭm'i ak'otuitsiu ski'natsii. Anat'sii annik' i tsĭspsts'tsiik kostŭm'i ski'natsĭssi maum'aumŭko ski'natsĭnni! 
MAT.6.24	Tukskŭm matap'pi matokotsapotomoyiuatsax na'tokŭmix nĭn'ax: aksikŭmokkĭmiu tukskum ki aks'ikŭmŭkomĭmmiu stsĭk'i; akikŭme'eniu tuks'kŭm ki aksikŭm'ĭstsĭmmĭmmiu stsĭk'i. Kimatokotapotomoauaxau Ap'ĭstotokiuă ki sauum'itsitappiuă. 
MAT.6.25	Ŭnnikaie kitan'ĭstopuau pinap'itsitatoat kitsipai'tappiisĭnni kitaks'oattoppi ki kitak'sĭmattoppi: ki pinap'itsitatoat kostŭm'i kitai'aksŭpskawsattoppi. Tse'ka ĭsskĭts'tau opai'tappiisĭnni ki aau'ŏssĭn, mostŭm'i ki istotos'ists? 
MAT.6.26	Sŭm'mokau paiu'tax: mat'omaiinsĭmmauaxau ki matomaipokiakiuaxau, ki matomaumoipotŭkkiii'axau ĭnsĭm'apioyĭsts; ki Kĭn'oau spots'im ai'ĭssoyiuax. Tŭkka' ĭsskĭts'tau, ksĕsto'a ki osto'auai? 
MAT.6.27	Ŭs'tainoeniki kŏk'spitappiisuai, tsiksĭm a' ak'aatspitappiiu? 
MAT.6.28	Kumauk'apaitsitatoppuaisksistsaii ĭstotos'ists? Sat'sĭkau anat'suiopokists itai'sŭskiiau; matapotŭkkiu'astsau, matapĭs tutŭkkiu 'ăsts'au ĭstotos'ĭsts. 
MAT.6.29	Ki kitan'istopuau Solomon otstsap'ĭstotossi mat skĭt stom'atsĕsts annists'isk suio'pokistsk. 
MAT.6.30	Is'totosatstopiĕsts saiŭs'kiĭsts manĭstĭs'totosatstoppiĕsts annĭsts'ĭsk annok' ksĭstsikuik na'paitappiiisk ki apinŏk'wĭs apittŭp'apĭxipiau ĭstsi'i: kikŭttomaiakstaiĭsttŭpĭstotosatskokoauats, kitsenŭk'aumaitŭkkipuau. 
MAT.6.31	Ŭn'nikaie pinapai'tsitatoak kŏk'anĭssuai Tse'a nŏks'auattopĭnan? Ki, Tse'a nŏk'sĭmattopĭnan; ki; Tse'a nŏks'ĭstotosattopĭnan? 
MAT.6.32	(Tŭk'ka annists'isk, Gentiles ap'ŭssatsĭmĕsts:) Kĭn'oau spots'im ĭsksĭnĭm'aie kitsĭm'mŭkitatosĕsts. 
MAT.6.33	Ki Matom'apsatsĭk Ap'ĭstotokiuă otsĭn'naiisĭnni ki otokŏmotsitappiisĭnni ki annists'isk kitak'ŭtokŏnokokĕsts. 
MAT.6.34	Ŭn'nikaie pin ap'itsitatok apinok'wis; api'nok'wis ak'apitsitasiu. Tuks'kai ksistsikui, maka'pi sup'anistsiu.
MAT.7.1	PINOKŎK'ITSIMAK ki kimatakokŏkitsĭmŭk o'a 
MAT.7.2	Kanĭstau'kŏkitsĭmapuai kitakanĭstaukŏkitsĭmŭkosuai; ki kanĭstau'kotawpi kitakanistau'kuyĭssi. 
MAT.7.3	Ki kumauk'satsiks kĕskŭn' osŭppa'kŏmosĭnni, ki kimatstatopats kitomŭksŭppa'kŏmosĭnni? 
MAT.7.4	Ki kikŭttaukot'anĭstau kĕskŭn' nŏk'sauautsĭssi kitsŭppa'kŏmosĭnni; ki sat'sit, omŭk'o kitauŭtsŭppa'kŏmosĭnni? 
MAT.7.5	Kitsiksĭstapo'komotsitappiansi, Matom'-sauautsit kitomŭk'sŭppakŏmosĭnni, ki kitakotŭmsokapsatsip kŏksauautsĭssi kĕskŭn' o sŭppa'kŏmosĭnni. 
MAT.7.6	Annists'ĭsk natoap'ĭstsk piniko'tokau imitax, ki pearls pinitŭp'ĭstŭpapixikau ak'sĭnix, ŏksĭkkŭmitauau'ŏkaiau ki akotŭmotŭkau'auyiau ki kitak'otŭmsixipok. 
MAT.7.7	Anik: ki kitak'okoko; apsatsik, ki kitak'okonip; ĭstok'iakik, ki kitaksikauai'pixĭk. 
MAT.7.8	Anniks'isk matap'pixk au'kŏmŏnixk au'kuyiiau; ki annŏk' ap'satsĭmŏk, au'konĭmaie: annŏk ĭstok'iakiuŏk, otak'sikauaipĭxikaie. 
MAT.7.9	Tŭkka' nĭn'naua, aukŏm'ŏnĭstŭssi okku'i napaiĕn, aiakokotsiuaie okotoki? 
MAT.7.10	Ki aukŏm'ŏnĭstŭssi mammi', aiakikotsiuaie pĭtse'ksĭna? 
MAT.7.11	Ksĕsto'au, kitsauum'itsitappiipuau, ĭsksĭnĭm'enoainiki kŏk'okotosuai ko'kosoauax ŏkh'sĭsts, Kĭn'oau spots'im kŭttomaiakokotsiu'atsax ŏkh'sĭsts anniks'isk matap'pixk otau'kŏmŏnikixk? 
MAT.7.12	Kanĭst'sitsitatopnai matap'pix kŏkŭnĭstsitsitaiĭssuaiau, kitak'ŭnĭstsitsitattaiau: ŭnnianĭstap'piu okŏk'itsĭmani ki prophetix otse'puawsuai. 
MAT.7.13	Apŭt'okĭtsĭmi pi'ik; sokokĭt'sĭmi apŭk'oksokui itŭp'itsiiau akotap'sĭnni, ki akai'tappii itsipim'ix: 
MAT.7.14	Annik' kĭtsĭm'ik, ki annik' moksoku'ik itŭp'itsiikiau opai'tappiisĭnni, aput'tsiiau; ki unna'tsitappii ikon'imix. 
MAT.7.15	Stim'nokau ksĭs'tapatoiapiekuax kit'sitotaakĭxk emŭk'ikĭnaĭstotosĭxk, ki o'pĭstokĭni itapis'onotsiau. 
MAT.7.16	Kit-aks'ksĭnoaiau otsĭn'asoauĕsts. Matap'pix kŭttomautuyiu'atsauax ksĭssi'ix mĭn'ĭsts, ki ksĭs'tapsŭskiĭsts kŭttomautsĭm'axau figs? 
MAT.7.17	Neto'i kŏnai'ŏkhsĭstsix ai'ŏkhsĭnasiau: ki makap'ĭstsix makap'inasiau. 
MAT.7.18	Ŏkhsĭstsĭs matokotokapinasiu'ats, ki makap'ĭstsĭs matokot'ŏkhsinasiuats. 
MAT.7.19	Kŏnai'istsix kŭttaŏkhsinasiix kakiok'au, ki ĭs'tsi itsĭs'tŭpapiksĭstaiau. 
MAT.7.20	Ŭn'nikaie kitaks'ksĭnoaiau otsĭn'asoauĕsts. 
MAT.7.21	Kŏnai'tappixk nitan'ikixk, Nin'a, Nin'a, matakokŏnitaipim'axau spots'im ĭsts'ĭn'naiisĭnni: annŏk' ap'ĭstutsĭmŏk Nin'a spots' im otsitsi'taniaie, ai'akitsipim. 
MAT.7.22	Annik' ksĭstsiku'ik akai'tappii nitak'anikiau, Nin'a, Nin'a, nikŭttomaisĭtsipspinanats kĭtsĭn'ikŏsĭm? Ki nikŭttomaisŭskounaniauaxau sauum'itsistaawx kitsĭn'ikŏsim? Nikŭttommutaipĭssatskaspĭnana kitsĭn'ikŏsim? 
MAT.7.23	Ki nitakotŭmanĭstaiau, kimats'ksĭnopu aua; Mĭstŭpa'akik, ksĕsto'au kitsauum'itsĭstutsipuaii. 
MAT.7.24	Annŏk' aiokh'tsĭmiuŏk annĭsts'ĭsk nĭtse'poawsĭstsk aks'ĭstutsiu mokŏkiiĭn'ai annŏk itokhĭt'okoĭskauŭk ok'otoki: 
MAT.7.25	Ki ai'sotau, ki ai'sauksikĭmskau, ki ai'sopu, ki annik' napioyĭs itot'sŭppu; ki matsĭstokhopiu'ats; tŭk'ka, itokh'itokoĭskau ok'otoki. 
MAT.7.26	Ki annŏk' aiokh'tsĭmiuŏk annists'isk nitse'poawsĭstsk, ki matsĭstutsim'atsĕsts aks'istutsiu mattsapsĭn'ai, annŏk' itokhit'okoĭskauŭk spŏts' ikui: 
MAT.7.27	Ki ai'sotau, ki ai'sauksikĭmskau, ki ai'sopu, ki annik' nap'ioyĭs itot'sŭppu; ki ĭstokhopi'u; ki omŭk'o otsĭs'tokhopiisĭnni. 
MAT.7.28	Ki ŭn'nitsiu, Jesus otaiksĭste'poattosĕsts annists'isk epo'awsĭstsk, matap'pix skaie'tŭkkiau otsksĭnĭmats'tŭksĭnni; 
MAT.7.29	Ototŭmap'sĭnni itŭs'ksĭnĭmatsiuax, ki sĭnak'ix manĭstŭs'ksĭnĭmatsawpiax, matŭsksĭnĭmatsiu'atsax.
MAT.8.1	OTSĬN'NĬSAATOSSI nitum'mo akai'tappiii itopokiuo'iauaie 
MAT.8.2	Ki, satsĭk, nĭnuau leper otsittotaakaie ki otsĭt'atsĭmmĭmmokaie, Id otsĭt'anikaie, Nin'a, atsi'tatomĭniki kitokotsiksĭxistotok. 
MAT.8.3	Ki Jesus itsau'ksikĭnstsiakiu, ki itsĭxen'iuaie, ki an'iu, nitak'anĭstutsip; ksĭksĭt'. Ki soksiksĭk'siuaie. 
MAT.8.4	Ki Jesus anĭstsiuaie, Sat'sĭt, pinaiitsinikos matap'pi; mĭs'taput, annĭs'tsĭnnosattsĭs natoi'apiekuŭn, ki aniiik' otan'ipik Moses ĭssa'kumŭtskotoat mŏks'ksĭniĭsau. 
MAT.8.5	Ki Jesus otsito'taipiĭssi Capernaum, eĕn'aken'ai otsĭtto'taakaie, ki otau'kŏmŏnikaie, 
MAT.8.6	Ki otan'ikaie Nin'a, anrŏk' nitapotomokŏk noko'ai itsĭs'tokhaitsiu, ai'papuyiu, eks'kaaipuĭnŭm. 
MAT.8.7	Ki Jesus an'ĭstsiuaie, nitak'ittappo nitak'okuttutoau. 
MAT.8.8	Eĕnaken'ai an'ĭstsiuaie, Nin'a, nimat'sipumapspa kŏkĭtsipĭssi noko'ai: kakse'puyit, ki annŏk' nitapotomokŏk ak'okuttutoau. 
MAT.8.9	Nĕsto'a nitap'otomoki, ki eĕn'akex nitap'otomokiau; ki nitan'ĭstau am'ok mĭs'taput, ki ai'ĭstapu; ki nitan'ĭstau stsĭk'i, puk'siput ki ai'paksipu; ki annŏk' nitap'otomokŏk nitan'ĭstau, am'oi ŭnnianĭs'tutsit, ki au'anĭstutsimaie. 
MAT.8.10	Jesus otokh'tsĭmsaie, skai'etŭkkiu, ki an'ĭstsiuax anniks'isk matap'pixk ipokiuo'ixk, Kitau'mŭnĭstopuau manĭst'omŭkopi otaumai'tŭksĭnni nimatŭnĭstokonip'ats Israel ĭstauŏsĭn'im. 
MAT.8.11	Ki kitan'ĭstopuau akai'tappii umutautstsipi apinŏk'kuyi ki otsĭt'tistŭkkŏpipi ak'ŭtotoiau, ki akopokau'pimiuax Abraham ki Isaac ki Jacob spots' im ĭstsĭn'naiisĭnni. 
MAT.8.12	Ki nĭn'naiisĭnni ĭstokos'ix ak'satŭpiksĭstsiauax ski'natsii; annim asain'sĭnni ki satse'kĭnan ak'itstsiian. 
MAT.8.13	Jesus an'ĭstsiuaie eĕnaken'ai mĭs'taput, kanĭst'aumaitŭkkipi kitakŭnĭsttutoko ki annŏk' otap'otomokŏk itsok'okuttutoau. 
MAT.8.14	Ki Jesus otsĭtsipĭssaie Peter oko'aiaie, nannuyiuaie otokem'ani o'ksĭstsiaie itsĭs'tokhaitsiĭnaie, ai'okhtokĭm pŭs'tsĭmesĭnni. 
MAT.8.15	Ki kaien'ĭmaie otsĭssi, ki pŭs'tsĭmesĭnni itskĭmaie: ki itsipuau', ki ito'yiuax, 
MAT.8.16	Autŭkkus'si ito'tsĭpotuyiauaie akai'tappiiau sauum'itsistaawx pakh'tokĭnattsiikiauax: ki otse'poawsĭnni itsa'tŭpiksĭstsiuax staawx, ki ikut'tutuyiuax ikŏnai'okhtokosix: 
MAT.8.17	Mŏks'enŭpanĭstosi otan'ipiaie Esias prophet, ki an'iu, Osto'i mat'sĭmĕsts kĭtsauŭt' tsikotsapsĭnunĭsts, ki ipa'tomĕsts kitokh'tokosĭnunĭsts. 
MAT.8.18	Jesus otsĭnno'ŏssax akai'tappiiĭx oto'tŭksipuyimokax, ikŏk'itsĭmau mŏk'opŭmmosau. 
MAT.8.19	Ki tukskŭmĭni aisĭnaki'ĭna itoto'yĭnaie ki an'ĭstsiuaie, Nin'a kitak'ittappopi nitak'opokiuo. 
MAT.8.20	Jesus an'ĭstsiuaie, ota'tuyix au'ŏttsimaniau, ki paiu'tax au'yiiiau; ki Nĭn'nau okku'yi matsĭstokhotom'atsaie otokŏn'. 
MAT.8.21	Ki stsĭk'i otŭsksĭnĭmats'aie an'ĭstsiuaie Nin'a, nŏk'otomitappo nŏk'akitsŏsi nĭn'a. 
MAT.8.22	Ki Jesus an'ĭstsiuaie, sŭppa'kit; ki enix ŭnanĭstak'itsŏsauax enix. 
MAT.8.23	Ki otsŭppopĭs'si akh'iosatsĭs, otŭs'ksĭnĭmatsax ipokitsŭppo'piiax. 
MAT.8.24	Ki satsit iek'opaikĭmskau, ki ai'sikopaikĭmskau akh'iosatsĭs; ki ai'okau. 
MAT.8.25	Ki otŭs'ksĭnĭmatsax otsĭt'totaakikax ki otsitsiksekenokikax, ki an'ĭstsiikiauaie, Nin'a kŏmotse'piokĭnan: nitaks'ĭnetspĭnan. 
MAT.8.26	Ki an'ĭstsiuax kumauk'sikopupuauaisks kitsenŭkumaitŭkkipuan? Itŭmit'sipuau, ki ai'sĭtsĭpsattomĕsts sopu'ĭsts ki pai'kĭmskaiĭsts; ki ikŏnau' maitsiĕsts. 
MAT.8.27	Ki nĭn'ax skai'etŭkkiau, ki an'iau, Tsŏkhtanĭstap'ĭnanŏkhtauts, sopu'ĭsts ki omŭk' sikĭmi manĭstse'tokĕsts? 
MAT.8.28	Ki otopŭmmo'si Gergesenes ĭstauŏsĭn'im ito'tatsemiauaie natsitappii sauumitsistaawx pakh'tokĭnattsiikiax, aken'imanĭsts itsŭx'iax, eks'kainixiikiax, matap'pi matokottotsitsko'pats. 
MAT.8.29	Ki satsit, aisokse'puyiau, ki an'iau, Tsaakanĭstappikitsĭmattopĭnan, ksĕsto'ă ki nĕstŭnan, Jesus, Ap'ĭstotokiuă okku'yi? Kikŭt'tautotopa kŏkkĭtsikĭmatsĭstotoksĭnan otsauomo'tosi itaiksĭstsikumiopi kŏk'kĭtsikĭmatsĭstotoksĭnan? 
MAT.8.30	Ki Pĭstsĭksi'pio akaiĕm ak'sĭnix itau'yiau. 
MAT.8.31	Ki sauum'itsistaawx au'kŏmŏnĭstsiauaie ki an'ĭstsiauaie, saiai'pixĭkĭnaniki, nŏk'itsipĭsĭnaniau ak'sĭnix. 
MAT.8.32	Ki an'ĭstsiuax kŭkku'. Ki otsŭksax, ak'sĭnix itsipim'iax: ki, satsit, kŏnak'sĭnix itsĭn'aukskasiau inno'tsĭstŭppakui, ki omŭk'sikĭmi suioks'kasattomiau, ki inets'iau. 
MAT.8.33	Ki anniks'ĭsk matap'pixk ŭsks'kŭmiĭskax itsĭs'tŭpaukskasiau, ki akap'ioyĭs itsipim'iau ki ai'itsĭnikŏttsiauax, ki anniks'ĭsk matap'pixk pakhtokkĭnattsixk sauum'itsistaawx mats'itsĭnnikŏttsiauax. 
MAT.8.34	Ki, sat'sĭt, Kŏnai'tappix ikŏnai'sŭxkitsĭmiau akap'ioyĭs mŏkittotatsemŏsau Jesus: ki otsĭnno'ŏssauaie, au'kŏmŏnĭstsiauaie mŏks'ĭstapusaie otau'ŏssuai.
MAT.9.1	KI itsŭppo'piu akh'iosatsĭs, ki ito'pŭmmo ki otauŭtakap'ioyim ito'to. 
MAT.9.2	Ki, sat'sit, itotsĭp'iauaie nĭn'nau, ai'pakhpuyiu, ĭstokhai'tsiu ŭksĭn': Ki Jesus otsĭnĭs'saie otaumai'tŭksuaiax anĭstsiuaie ai'pakhpuyiuă, Noko'a, ŏkh'sitŭkkĭt; kitsauum'itsitappiisĭsts ĭsksĭnip'iau. 
MAT.9.3	Ki, sat'sit, stsĭk'ix ai'sĭnakix ĭstai'au am'o (nin'nau) makapie'puyiu. 
MAT.9.4	Ki Jesus ĭsksĭnĭm'ĕsts otŭs'tapuauĕsts ki an'iu, kumauk'itsitatopuauaisks maka'pi ku'skĕttsipŏppuauĕsts? 
MAT.9.5	Tsĭm'a ksĭstspa'pi, kŏk'ansi, kit sauum' itsitappiisĭstsĭsksĭnip'iau; ki kŏk'anĭsi, Nipuat' ki auŏkat'? 
MAT.9.6	Ki kŏks'ksĭniisuai Nin'a okku'yi ikŏts'ksĭnĭmĕsts sauum'itsitappiisĭsts annom' ksŏkkum (itŭm'anĭstsiuaie aipakhpuyii) Nipuat', matsit' kitŭk'sĭn, koko'ai is'taput. 
MAT.9.7	Ki itsipuau' ki oko'ai itsitap'po. 
MAT.9.8	Ki akai'tappiii otsĭnĭs'sax, skai'etŭkkiau, ki a'tsĭmmĭmmiauaie Ap'ĭstotokiua annŏk' ikotsiu'ŏk matap'pix otŭmap'sĭnni. 
MAT.9.9	Ki Jesus otaumatto'si, nannuyiuaie nĭn'nau, an'ĭstau Matthew, itaupii'ĭnai itai'ponitatopiaie, ki an'ĭstsiuaie Sŭppa'kĭt. Ki itsipuau' ki pokio'attsiuaie. 
MAT.9.10	Ki ŭn'niitsiu Jesus otsitsĭps'taupĭssi nap'ioyĭs, otau'yĭssi, sat'sĭt akai'tappiiau publicanix ki sauum'itsitappix, itsito'taipimiau ki ipokau'pimiauax (Jesus) ki otŭs'ksĭnĭmatsax. 
MAT.9.11	Ki Pharisees otsĭnno'ŏssax, itŭnĭs'tsiauax otŭsksĭnĭmats'axaie. Kitsĭn'aimoau maukopoks'oyimiax publicanix ki sauum'itsitappix? 
MAT.9.12	Jesus otokh'tsĭsaie, an'ĭstsiuax, anniks'ĭsk matap'pixk ikut'totoaxk matsĭmmŭki tappi'uaxau assokinakki, anniks'ĭsk matap'pixk ai'okhtokosixk kĭmŭk'ĭttappiiau. 
MAT.9.13	Is'tapuk, ŭs'ksĭnĭk manĭstap'ipi, nitŏkh'sitsip kĭm'apiisĭnni, ki nimatŏkhsitsipats ikĭt'stŭksĭnni: tŭk'ka nimat'ŭtotopa nŏk'ainikŏttosau mokŏm'otsitappix mŏks'isauaitsitasau, sauum'itsitappix nimut'oto. 
MAT.9.14	John otŭs'ksĭnĭmatsax otsitŭm'ittotaakax, ki an'iau, Tsanĭstapiu'ats nimutsauau'yipĭnan nestŭn'an ki Pharisees, ki kĭtŭsksĭnĭmatsax kŭttaisauauyiu'axau? 
MAT.9.15	Ki Jesus anĭstsiuax kŭttaukotau'yesiuaxau man'okkemiuŏk oko'ai ĭstokos'ix, itsa'kiitawpĭssi man'okkemiuŏk? Ki annists'isk ksĭstsiku'ĭsts ak'otoiau man'okkemiuŏk otai' akitotoawpĭstskaie, ki akotŭmsauau'yiau. 
MAT.9.16	Kimatanipsospuau makap'isokŏsists; annik' psak'sĭnik aksoksipinikau ki saku'apĭnikan aksistŭpaipinikau. 
MAT.9.17	Matap'pix matomaisŭppasuyĭnĭmĕsts mani'ĭsts mĭn'iokkeĭsts ŭkautokeĭssuyĭnĭsts, ŏks'kakŭmipinikau ŭk'autokeĭssuyĭnĭsts, ki mĭn'iokke ak'saikĭmsskau, ki aks'iksistsuyinasiau: Manĭn'iokkeĭsts itsŭppa'suyĭnĭmiau man'otokeĭssuyĭnists ki ai'aketŏkhsiau. 
MAT.9.18	Otsakiaisĭtsĭp'sattosax annists'ĭsk epo'awsĭsts, tukskŭm'ĭni eenakin'ai itoto'iĭnai ki a'tsĭmmĭmmiuaie, ki an'iu, Nitŭn'na ŭk'ainiu; puk'siput ki kotsĭs'i tsĭxen'ĭs, ki aks'ipui tappiiu. 
MAT.9.19	Ki Jesus itsipuau', ki itopokom'iuaie, ki otŭsksĭnĭmatsax mat'opokomiauaie. 
MAT.9.20	Ki sat'sit ake'uă, au'atŭnikau ŭsksaumawksaikĭmskau otok'tokossĭnni na'tsikoputtuyi stuyi'ĭsts, itsŭp'paatsiuaie, ki itsĭx'enĭmaie opekakŭn'ĭmaniaie: 
MAT.9.21	Tŭk'ka, ĭs'tau, ksen'ĭmĭniki opekakŭn'ĭmani, nĭtak'okuttotoko. 
MAT.9.22	Ki Jesus ito'tŭkkau; ki otsĭnno'ŏssaie, itŭni'u, Nitŭn'na, ŏkh'sitŭkkit, kitaumai'tŭksĭnni kumut'okuttotoko. Ki ake'uă annik' itokut'totoau. 
MAT.9.23	Ki Jesus otsĭtto'taipiisi eenakin'ai oko'ai, ki otsĭnno'ŏssax au'yesĭx ki matap'pix eĭs'tsekĭniau, 
MAT.9.24	An'ĭstsiuax, anĭs'tapaauk, ake'kuŭn matseniu'ats, ai'okau. Ki itai'ĭmiauaie. 
MAT.9.25	Ki otsĭs'tŭpskoŏsax matap'pix, itsipim, ki ito'tsĭmaie, otsĭs'aie, ki ake'kuŭn itsipuau. 
MAT.9.26	Ki otap'ĭstutsipi, annik' auŏsĭn'ik, motŭs'ksĭnĭpaie. 
MAT.9.27	Ki Jesus otsĭstŭpaumatta'atossi, na'tokŭmi naps' tsix nĭn'ax ipokiuo'iax, ki aisokse'puyiax ki an'iau, David okkui', Kĭm'okĭnan. 
MAT.9.28	Ki otsĭtsipĭs'si nap'ioyĭs, naps'tsix itoto'yiauaie: ki Jesus an'ĭstsiuax kikŭtau'maitsipuan nŏk'okotŭnĭstutsĭs? An'ĭstsiiauaie A, Nin'a. 
MAT.9.29	Itŭm'itsĭxeniuax oŏps'puauax, ki itŭni'u, kanĭsto'maitsipuai, ŭnnianĭstsĭs'. 
MAT.9.30	Ki itsikau'opiii oŏps'puauax: ki Jesus saiemiuax mŏkstanĭs'tosax matap'pix. 
MAT.9.31	Ki osto'auai, otsĭs'tapusau ikŏnai'tsĭnnikoyiauax matap'pix annik'auŏsĭn'ik. 
MAT.9.32	Ki otsŭksax, sat'sit ito'tsĭpiauaie kŭttaiai'puyiua sauum'itsistaaw pakto'kĭnattsiuaie. 
MAT.9.33	Ki sannm'itsistaaw otsai'piksĭstŏssaie, kŭttaiai'puyină itse'puyiu: ki kŏnaitappix skai'etŭkkiau, ki an'iau, matsĭkainip'ats Israel ĭstauŏsĭn'im. 
MAT.9.34	Ki Pharisees an'iau sauum'itsistaawx otsĭn'aimoauai itai'saipiksĭstsiuax sauum'itsistaawx. 
MAT.9.35	Ki Jesus itap'auauŏkau kŏnau'akapioyĭsts, ki inŭk'akapioyĭsts, ki itŭs'ksĭnĭmatstokiu ota'toiapioyimoauĕsts, ki ai'semokiu nin'naiisĭnni ĭstŏkhs'itsĭniksĭnni, ki ŏk'kuttutsĭmĕsts matap'pix otokŏnai'oktokosuauĕsts ki otokŏnau'atŭnikauĕsts. 
MAT.9.36	Ki otsĭnno'ŏssaie otappiisĭn'na, kaiĭm'iuaie, tŭkka ŭs'tsĭmsiu, aneto' manistau'anetopiax emŭk'ikĭnax saiits'tsĭssi ŭsks'kŭmokiuă. 
