GEN.1.1	Kezdetben 
GEN.39.20	Vevé azért Józsefet az ő ura és veté őt a 
GEN.39.21	De az 
GEN.39.22	És a tömlöcztartó mind azokat a foglyokat, kik a tömlöczben valának, József kezébe adá, úgyhogy a mi ott történik vala, minden ő általa történék. 
GEN.39.23	És semmi gondja nem vala a tömlöcztartónak azokra, a melyek keze alatt valának, mivelhogy az Úr vala 
GEN.40.1	És lőn ezekután, hogy az égyiptomi király pohárnoka és sütőmestere vétkezének az ő urok ellen, az égyiptomi király ellen. 
GEN.40.2	Megharaguvék azért a Faraó az ő két főemberére, a főpohárnokra, és a fősütőmesterre. 
GEN.40.3	És fogságba vetteté azokat a testőrök főhadnagyának házában levő tömlöczbe, arra a helyre, ahol fogva vala József. 
GEN.40.4	A testőrök főhadnagya pedig Józsefet rendelé melléjük és szolgála nékik. És jó ideig valának fogságban. 
GEN.40.5	És az égyiptomi király pohárnoka és sütőmestere, a kik a tömlöczben fogva valának, látának álmot mindketten; mindegyik külön álmot, azon egy éjjel, mindegyik az ő álmának értelme szerint. 
GEN.40.6	És beméne hozzájok József reggel, látá, hogy ímé bánkódnak vala. 
GEN.40.7	És megkérdé a Faraó főembereit, a kik az ő ura házánál vele együtt fogva valának, mondván: Miért oly komor ma a ti orczátok? 
GEN.40.8	És mondának néki: Álmot láttunk és nincsen a ki megfejtse azt. És monda nékik József: A megfejtés nem Isten dolga-é? mondjátok el, kérlek, nékem.
GEN.40.9	Elbeszélé azért a főpohárnok az ő álmát Józsefnek, és monda néki: Álmomban ímé egy szőlőtő vala előttem; 
GEN.40.10	És a szőlőtőn három szál vessző vala, s alighogy bimbózék, virágozék, és gerézdjei megérlelék a szőlőszemeket. 
GEN.40.11	A Faraó pohara pedig az én kezemben vala, és én vevém a szőlőszemeket és facsarám a Faraó poharába, és adom vala a poharat a Faraó kezébe. 
GEN.40.12	És monda néki József: Ez annak a megfejtése: a három vesszőszál, három nap. 
GEN.40.13	Harmadnap múlva a Faraó felmagasztalja a te fejedet, és visszahelyez téged hivatalodba, és adod a Faraó kezébe az ő poharát, az elébbi tiszted szerint, mikor az ő pohárnokja valál. 
GEN.40.14	Csakhogy azután megemlékezzél rólam, mikor néked jól lesz dolgod, és cselekedjél, kérlek, irgalmasságot velem, emlékezzél meg rólam a Faraó előtt és szabadíts meg engem e házból. 
GEN.40.15	Mert lopva hoztak el engem a héberek földéről, és itt sem cselekedtem semmit, hogy a tömlöczbe vessenek.
GEN.40.16	És látá a fősütőmester, hogy jól magyaráz vala és monda Józsefnek: Álmodtam én is, hogy ímé három kosár kalács vala fejemen. 
GEN.40.17	A felső kosárban pedig valának a Faraónak mindenféle süteményei, és a madarak eszik vala azokat a kosárból, az én fejemről. 
GEN.40.18	És felele József és monda: Ez annak a magyarázatja: a három kosár, három nap. 
GEN.40.19	Harmadnap múlva fejedet véteti a Faraó és fára akasztat fel téged, és a madarak leeszik rólad húsodat.
GEN.40.20	S lőn harmadnapon a Faraó születése napja, és vendégséget szerze minden ő szolgáinak, s akkor a főpohárnokot és a fősütőmestert is fölvevé szolgái közé. 
GEN.40.21	És a főpohárnokot visszahelyezé pohárnokságába, és nyújtotta a poharat a Faraó kezébe. 
GEN.40.22	A fősütőmestert pedig felakasztatá; a miképen magyarázta vala nékik József. 
GEN.40.23	És nem emlékezék meg a főpohárnok Józsefről, hanem elfelejtkezék róla.
GEN.41.1	Lőn pedig két esztendő múlván, hogy a Faraó álmot láta, s ímé áll vala a folyóvíz mellett. 
GEN.41.2	És ímé a folyóvízből hét szép és kövér tehén jő vala ki, és legel vala a nádasban. 
GEN.41.3	S ímé azok után más hét tehén jő vala ki a folyóvízből, rútak és ösztövérek, és oda állanak vala ama tehenek mellé a folyóvíz partján. 
GEN.41.4	És elnyelék a rút és ösztövér tehenek a hét szép és kövér tehenet; és felserkene a Faraó. 
GEN.41.5	És elaluvék és másodszor is álmot láta, és ímé hét gabonafej nevekedik vala egy száron, mind teljes és szép. 
GEN.41.6	És ímé azok után hét vékony s keleti széltől kiszáradt gabonafej nevekedik vala. 
GEN.41.7	És elnyelék a vékony gabonafejek a hét kövér és teljes gabonafejet. És felserkene a Faraó, és ímé álom 
GEN.41.8	Reggelre kelvén, nyugtalankodék lelkében, elkülde azért és egybehívatá Égyiptom minden jövendőmondóját, és minden bölcsét és elbeszélé nékik a Faraó az ő álmát, de senki sem vala, ki azokat megmagyarázta volna a Faraónak. 
GEN.41.9	Szóla azért a főpohárnok a Faraónak, mondván: Az én bűneimről emlékezem e napon. 
GEN.41.10	A Faraó megharagudt vala az ő szolgáira, és fogságba vettetett vala engem a testőrök főhadnagyának házába, engem és a fősütőmestert. 
GEN.41.11	És álmot látánk 
GEN.41.12	És 
GEN.41.13	És lőn, hogy a miképen megfejté nékünk, úgy lőn: engem visszahelyeze hívatalomba, amazt pedig felakasztatá.
GEN.41.14	Elkülde 
GEN.41.15	És monda a Faraó Józsefnek: Álmot láttam és nincs a ki megmagyarázza azt: Én pedig azt hallottam rólad beszélni, hogy ha meghallod az álmot, meg is magyarázod azt. 
GEN.41.16	És felele József a Faraónak, mondván: Nem én, Isten jelenti meg, a mi a Faraónak javára van. 
GEN.41.17	Monda azért a Faraó Józsefnek: Álmomban ímé állok vala a folyóvíz partján. 
GEN.41.18	És ímé a folyóvízből hét kövér és szép tehén jő vala ki, és legel vala a nádasban. 
GEN.41.19	S ímé azok után más hét tehén jő vala ki, nagyon ösztövérek, rútak és hitványak; egész Égyiptom földén nem láttam azokhoz hitványságra hasonlókat. 
GEN.41.20	És elnyelék az ösztövér és rút tehenek, az elébbi hét kövér tehenet. 
GEN.41.21	És azok gyomrukban valának, de nem tetszik vala meg, hogy gyomrukban volnának, mert külsejök oly rút vala, mint az előtt. És felserkenék. 
GEN.41.22	És láttam álmomban, és ímé hét gabonafej nevekedik vala egy száron, mind teljes és szép. 
GEN.41.23	És ímé hét összeaszott, vékony, keleti széltől kiszáradt gabonafej nevekedik vala azok után, 
GEN.41.24	És elnyelék a vékony gabonafejek a hét szép gabonafejet. És elmondám az írástudóknak, de senki sincs, a ki megmagyarázza nékem. 
GEN.41.25	És monda József a Faraónak: A Faraó álma egy és ugyanaz; a mit Isten cselekedni akar, azt jelentette meg a Faraónak. 
GEN.41.26	A hét szép tehén, hét esztendő, a hét szép gabonafej az is hét esztendő; az álom egy és ugyanaz. 
GEN.41.27	A hét ösztövér és rút tehén pedig, melyek amazok után jöttek ki, az is hét esztendő, és a hét vékony, keleti széltől kiszáradt gabonafej, az az éhségnek hét esztendeje. 
GEN.41.28	Ez az a mit mondék a Faraónak, 
GEN.41.29	Ímé hét esztendő jő, 
GEN.41.30	Azok után pedig következik az éhség hét esztendeje, s minden bőséget elfelejtenek Égyiptom földén, és megemészti az éhség a földet. 
GEN.41.31	És nem ismerszik meg az elébbi bőség e földön az utána következő éhség miatt, mert igen nagy lesz. 
GEN.41.32	Hogy pedig a Faraó álma kettős, kétszeres vala, 
GEN.41.33	Most azért szemeljen ki a Faraó egy értelmes és bölcs férfit, és tegye Égyiptom földén gondviselővé. 
GEN.41.34	Cselekedje 
GEN.41.35	És takarítsák be a következő jó esztendők minden termését, és gyűjtsenek gabonát a Faraó keze alá, élelműl a városokban, és tartsák meg, 
GEN.41.36	És legyen az élelem tartalékban az ország számára az éhség hét esztendejére, melyek elkövetkeznek Égyiptom földére, hogy el ne vesszen e föld az éhség miatt.
GEN.41.37	És tetszék e beszéd a Faraónak és minden ő szolgáinak. 
GEN.41.38	Monda azért a Faraó az ő szolgáinak: Találhatnánk-é ehhez hasonló férfit, a kiben az Isten lelke van? 
GEN.41.39	És monda a Faraó Józsefnek: Mivelhogy Isten mind ezeket néked jelentette meg, nincs hozzád fogható értelmes és bölcs ember. 
GEN.41.40	Te 
GEN.41.41	Monda továbbá a Faraó Józsefnek: Ímé fejedelemmé tettelek az egész Égyiptom földén. 
GEN.41.42	És levevé a Faraó a maga gyűrűjét kezéről, és adá azt József kezére; és felöltözteté őt drága gyolcs ruhába, és aranylánczot tőn az ő nyakába. 
GEN.41.43	És meghordoztatá őt az ő második szekerén, és kiáltják vala ő előtte: Térdet hajtsatok! Így tevé őt 
GEN.41.44	És monda a Faraó Józsefnek: Én vagyok a Faraó; de te nálad nélkül senki se kezét, se lábát fel ne emelhesse egész Égyiptom földén. 
GEN.41.45	És nevezé a Faraó József nevét Czafenát-Pahneákhnak, és adá néki feleségűl Aszenáthot, Potiferának On papjának leányát. És kiméne József Égyiptom földére. 
GEN.41.46	József pedig harmincz esztendős vala, mikor a Faraó előtt, az égyiptomi király előtt álla. Kiméne tehát József a Faraó elől, és bejárá az egész Égyiptom földét.
GEN.41.47	És a föld a hét bő esztendő alatt tele marokkal ontá a termést. 
GEN.41.48	És összegyűjté a hét esztendőnek minden eleségét, mely vala Égyiptom földén, és a városokba takarítá az élelmet, 
GEN.41.49	És felhalmozá József a gabonát, mint a tenger fövénye, igen sokat, annyira, hogy megszűntek azt számba venni, mivelhogy száma nem 
GEN.41.50	Józsefnek pedig 
GEN.41.51	És nevezé József az elsőszülöttnek nevét Manassénak: mert 
GEN.41.52	A másodiknak nevét pedig nevezé Efraimnak: mivel, 
GEN.41.53	Eltele tehát a bőség hét esztendeje, a mely vala Égyiptomnak földén. 
GEN.41.54	És 
GEN.41.55	 megéhezék egész Égyiptom földe is, és kenyérért kiált vala a nép a Faraóhoz. – Monda pedig a Faraó mind az Égyiptombelieknek: Menjetek Józsefhez, 
GEN.41.56	És az éhség mind az egész földön vala. Akkor mind megnyitá József a 
GEN.41.57	És mind az egész föld Égyiptomba megy vala Józsefhez gabonát venni; mert nagy vala az éhség az egész földön.
GEN.42.1	És látá Jákób, hogy van gabona Égyiptomban és monda Jákób az ő fiainak: Mit néztek egymásra? 
GEN.42.2	És monda: Ímé hallom 
GEN.42.3	Leméne azért Józsefnek tíz bátyja Égyiptomba gabonát venni. 
GEN.42.4	De Benjámint a József öcscsét nem bocsátá el Jákób az ő bátyjaival; mert mondá: Netalán veszedelem érhetné. 
GEN.42.5	Elmenének tehát Izráel fiai gabonát venni az oda menőkkel együtt, mert éhség vala Kanaán földén. 
GEN.42.6	József pedig az ország kormányzója vala, és ő árulja vala a gabonát a föld minden népének. Eljutának azért a József bátyjai, és arczczal 
GEN.42.7	Amint meglátá József az ő bátyjait, megismeré őket, de idegennek mutatá magát hozzájok, és kemény beszédekkel szóla nékik, mondván: Honnan jöttetek? Azok pedig mondának: Kanaán földéről jöttünk eleséget venni. 
GEN.42.8	Megismeré pedig József az ő bátyjait, de azok nem ismerék meg őt. 
GEN.42.9	És megemlékezék József az álmokról, a melyeket azok felől 
GEN.42.10	És mondának néki: Nem uram, hanem eleséget venni jöttek a te szolgáid. 
GEN.42.11	Mi mindnyájan egy ember fiai vagyunk: igaz emberek vagyunk. 
GEN.42.12	Ismét monda: Nem úgy van, hanem azért jöttetek, hogy az ország védetlen részeit meglássátok. 
GEN.42.13	 mondának: Mi, te szolgáid, tizenketten vagyunk testvérek, egy embernek fiai, Kanaán földén; és ímé legkisebbikünk most atyánknál van, egyikünk pedig nincsen meg. 
GEN.42.14	József pedig monda nékik: Úgy van a mint néktek mondám: kémek vagytok. 
GEN.42.15	Ezzel lesztek próbára téve: Úgy éljen a Faraó, hogy ki nem mentek innen, míg ide nem jő a ti legkisebbik atyátokfia. 
GEN.42.16	Küldjetek el közűletek egyet, hogy hozza ide testvérteket; ti pedig fogva lesztek. Így lesz próbára téve beszédetek, hogy igaz járatban vagytok-é vagy nem? Úgy éljen a Faraó, hogy ti kémek vagytok. 
GEN.42.17	Annakokáért fogságban tartá őket harmadnapig. 
GEN.42.18	Harmadnap pedig monda nékik József: Ezt cselekedjétek, hogy éljetek; az Istent én is félem. 
GEN.42.19	Ha igaz emberek vagytok, maradjon fogva egyik testvéretek a ti tömlöczötökben, ti pedig menjetek el, vigyetek gabonát házaitok szükségére. 
GEN.42.20	Legkisebbik atyátokfiát pedig hozzátok 
GEN.42.21	És mondának egymásnak: Bizony vétkeztünk mi a mi atyánkfia ellen, a kinek láttuk lelki szorongását, mikor nékünk könyörög vala, de nem hallgattunk reá; azért következett reánk ez a nyomorúság. 
GEN.42.22	Rúben pedig felele nékik, mondván: Avagy 
GEN.42.23	És nem tudják vala ők, hogy József érti őket, mert tolmács vala közöttük. 
GEN.42.24	És elfordula tőlök és síra: Azután hozzájok fordula és szóla nékik, és visszatartá közűlök Simeont, és szemök láttára megkötözteté őt. 
GEN.42.25	És parancsola József, hogy töltsék meg edényeiket gabonával, és tegyék vissza pénzöket mindeniknek az ő zsákjába, és hogy adjanak nékik enni valót az útra; és így cselekedének velök. 
GEN.42.26	És felveték gabonájokat szamaraikra és elmenének onnan. 
GEN.42.27	És egyik kioldá zsákját, hogy abrakot adjon szamarának a szálláson és meglátá az ő pénzét, hogy ímé zsákja szájában van az. 
GEN.42.28	És monda az ő atyjafiainak: Visszatették az én pénzemet, és ímé zsákomban van. Akkor megrettene szívök, és remegve mondának egymásnak: Micsoda ez, a mit Isten cselekedett velünk?
GEN.42.29	És eljutának atyjokhoz Jákóbhoz Kanaán földére és mindazt elbeszélék néki a mi velök történt vala, mondván: 
GEN.42.30	Az a férfiú, annak a földnek ura, keményen szóla nékünk, és úgy bánt velünk, mintha az országot kémleltük volna. 
GEN.42.31	És mondánk néki: Igaz emberek vagyunk, 
GEN.42.32	Tizenketten vagyunk atyafiak, a mi atyánknak fiai, egyikünk nincs meg, legkisebbikünk pedig most atyánkkal 
GEN.42.33	És monda nékünk az a férfiú, annak a földnek ura: Erről ismerem meg, hogy igaz emberek vagytok: egyik atyátokfiát hagyjátok nálam, a házaitok szükségére valót vigyétek, és menjetek el; 
GEN.42.34	És hozzátok hozzám a ti legkisebbik atyátokfiát, akkor megtudom, hogy nem vagytok kémek, hanem igaz emberek; akkor visszaadom néktek a ti atyátokfiát, és ebben az országban kereskedhettek. 
GEN.42.35	És lőn a mint zsákjaikat kiüresíték, ímé az ő csomó 
GEN.42.36	És monda nékik az ő atyjok Jákób: Megfosztotok engem gyermekeimtől; József nincsen, Simeon sincsen. Benjámint is elviszitek? mindez engem ér! 
GEN.42.37	Akkor szóla Rúben az ő atyjának, mondván: az én két fiamat öld meg, ha meg nem hozom őt néked. Bízd az én kezemre őt, és én visszahozom néked. 
GEN.42.38	Az pedig monda: Nem megy le 
GEN.43.1	Az éhség pedig elhatalmazott vala az országon. 
GEN.43.2	És lőn mikor fogytán vala az eleség, melyet Égyiptomból hoztak vala, monda nékik az ő atyjok: Menjetek el ismét, vegyetek nékünk egy kevés eleséget. 
GEN.43.3	És felele néki Júda, mondván: Erősen fogadkozék az a férfiú, mondván: Színem elé ne kerűljetek, ha veletek nem lesz a ti atyátokfia. 
GEN.43.4	Ha azért elbocsátod velünk a mi öcsénket, elmegyünk, és veszünk néked eleséget; 
GEN.43.5	Ha pedig el nem bocsátod, nem megyünk, mert az a férfiú megmondá nékünk: 
GEN.43.6	És monda Izráel: Miért cselekedtetek gonoszul velem, hogy megmondtátok annak a férfiúnak, hogy még van egy öcsétek? 
GEN.43.7	Azok pedig mondának: Nagyon tudakozódék az a férfiú felőlünk és nemzetségünk felől, mondván: Él-é még atyátok? van-é még testvéretek? És mi kérdéseihez képest feleltünk néki. Avagy tudhattuk-é mi, hogy azt mondja: Hozzátok ide a ti atyátokfiát? 
GEN.43.8	És monda Júda Izráelnek, az ő atyjának: Bocsásd el azt a fiút én velem, és mi azonnal felkelünk és elmegyünk, hogy éljünk és meg ne haljunk se mi, se te, se a mi gyermekeink. 
GEN.43.9	Én leszek kezes érette, az én kezemből kérd elő. Ha vissza nem hozom őt hozzád, és elődbe nem állítom őt, mind éltig bűnös legyek előtted. 
GEN.43.10	Bizony ha nem késlekedünk vala, ez ideig már kétszer is megjöhettünk volna. 
GEN.43.11	És monda nékik Izráel az ő atyjok: Ha csakugyan így 
GEN.43.12	Pénzt pedig két annyit vigyetek magatokkal, sőt a mely pénzt meghoztatok a ti zsákjaitok szájában, azt is vigyétek vissza magatokkal, talán tévedés ez. 
GEN.43.13	Öcséteket is vegyétek, keljetek fel és menjetek vissza ahhoz a férfiúhoz. 
GEN.43.14	A mindenható Isten pedig engedje, hogy kedvet találjatok annál a férfiúnál, és bocsássa vissza ti veletek a másik atyátokfiát, és Benjámint. Én pedig ha megfosztottnak kell lennem, hadd legyek megfosztva.
GEN.43.15	Vevék azért a férfiak azt az ajándékot, és vevének kétannyi pénzt az ő kezökbe, és Benjámint, és felkelének és alámenének Égyiptomba, és megállának József előtt. 
GEN.43.16	A mint meglátá József ő velök Benjámint, monda az ő háza gondviselőjének: Vidd be azokat az embereket a házba, és ölj barmot, s készítsd el, mert velem ebédelnek ez emberek 
GEN.43.17	És az a férfiú aképen cselekedék, amint József parancsolta vala, és bevivé az a férfiú azokat az embereket a József házába. 
GEN.43.18	És megfélemlének azok az emberek, a miért bevivék őket a József házába, és mondának: A pénzért hozattatánk ide be, mely először a mi zsákjainkba tétetett volt, hogy reánk rohanjon, megtámadjon és minket rabszolgákká tegyen a mi szamarainkkal együtt. 
GEN.43.19	És járulának József házának gondviselőjéhez, és szólának néki a ház ajtajában. 
GEN.43.20	És mondának: Kérünk uram! Ennekelőtte 
GEN.43.21	És lőn mikor éjjeli szállásra jutánk és kioldjuk vala a mi zsákjainkat: ímé mindenikünknek pénze az ő zsákjának szájában vala, tulajdon pénzünk teljes mértéke szerint; és visszahoztuk azt magunkkal. 
GEN.43.22	De más pénzt is hoztunk le magunkkal eleséget venni; nem tudjuk ki tette a mi pénzünket zsákjainkba. 
GEN.43.23	És monda: Legyetek békén, ne féljetek; a ti Istentek és a ti atyátok Istene adta néktek azt a kincset zsákjaitokba; pénzetek az én kezemhez jutott. És kihozá hozzájok Simeont. 
GEN.43.24	Bevivé azután a férfiú azokat az embereket a József házába, és vizet hozata, és megmosák lábaikat, és abrakot is ada az ő szamaraiknak.
GEN.43.25	Ők pedig elkészíték az ajándékot mire József délben megjöve; mert megértették vala, hogy ott ebédelnek. 
GEN.43.26	Mikor József haza jöve, bevivék néki az ajándékot, mely kezökben vala, a házba, és leborulának 
GEN.43.27	És kérdezősködék egészségök felől, s monda: Egészségben van-é a ti vén atyátok, a kiről nékem szóltatok? él-é még? 
GEN.43.28	Azok pedig mondának: Egészségben van a te szolgád, a mi atyánk, még él. És meghajták magokat és leborulának. 
GEN.43.29	És felemelé szemeit és látá Benjámint az ő atyjafiát, az ő anyjának fiát, és monda: Ez-é a ti legkisebbik atyátokfia, a ki felől 
GEN.43.30	Akkor elsiete onnan József, mert felgerjede szíve az ő öcscse iránt, és erőlteti vala a sírás; 
GEN.43.31	Azután megmosá orczáját, és kiméne, és megtartóztatá magát, és monda: Hozzatok enni valót. 
GEN.43.32	És elhozák néki külön, azoknak is külön, és az Égyiptombelieknek is, kik vele esznek vala, külön: Mert nem ehettek az Égyiptombeliek együtt a héberekkel, mert utálatos az az Égyiptombeliek előtt. 
GEN.43.33	Leűlének azért ő előtte, az elsőszülött az ő elsőszülöttsége szerint, és a fiatalabb az ő fiatalsága szerint. És az emberek álmélkodva nézének egymásra. 
GEN.43.34	Ő pedig részt juttata azoknak maga elől és a Benjámin része ötszörte nagyobb vala mindnyájok részénél. És ivának és megittasodának ő nála.
GEN.44.1	Azután parancsola 
GEN.44.2	Az én poharamat pedig, az ezüst poharat, tedd a legkisebbik zsákjának szájába gabonájának árával együtt. És az József beszéde szerint cselekedék, a mint beszélt vala. 
GEN.44.3	Reggel virradatkor, elbocsáttatának azok az emberek, szamaraikkal együtt. 
GEN.44.4	Kimenének a városból, de nem messze haladhatának, a mikor monda József az ő háza gondviselőjének: Kelj fel, siess utánuk azoknak az embereknek és ha eléred őket, mondd nékik: Miért fizettetek gonoszszal a jó helyébe? 
GEN.44.5	Avagy nem abból iszik-é az én uram? és abból szokott jövendölni! Gonoszul cselekedtétek, a mit cselekedtetek! 
GEN.44.6	És utóléré őket, és ilyen szavakkal szóla nékik. 
GEN.44.7	Azok pedig mondának néki: Miért szól az én uram ilyen szavakkal? Távol legyen szolgáidtól, hogy ilyen dolgot cselekedjenek. 
GEN.44.8	Ímé a pénzt, melyet zsákjaink szájában találtunk vala, meghoztuk néked Kanaán földéről; hogy loptunk volna hát urad házából ezüstöt vagy aranyat? 
GEN.44.9	Akinél megtaláltatik a te szolgáid közűl, haljon meg az; sőt mi is szolgái leszünk uramnak. 
GEN.44.10	És monda: Mostan is legyen beszédetek szerint: a kinél megtaláltatik, 
GEN.44.11	És sietének és leraká kiki az ő zsákját a földre, és kioldá kiki az ő zsákját. 
GEN.44.12	És keresgéle; a legnagyobbikon kezdé s a legkissebbiken végezé, és megtalálá a poharat a Benjámin zsákjában. 
GEN.44.13	Azok pedig meghasogaták ruhájokat, és kiki megterhelé a maga szamarát, és visszatérének a városba. 
GEN.44.14	És beméne Júda és az ő atyjafiai a József házába, ki még ott vala, és földre esének előtte. 
GEN.44.15	És monda nékik József: Mi dolog ez a mit cselekedtetek? Avagy nem tudjátok-é hogy az ilyen magamféle ember jövendölni tud? 
GEN.44.16	És monda Júda: Mit mondhatunk az én uramnak? Mit szóljunk és mivel igazoljuk magunkat? Az Isten büntetése utólérte szolgáidat. Ímé mi az én uram szolgái vagyunk, mind mi, mind az, a kinek kezében a pohár találtatott. 
GEN.44.17	Ő pedig monda: Távol legyen tőlem, hogy azt cselekedjem: az a kinek kezében találtatott a pohár, az legyen nékem szolgám, ti pedig békességgel menjetek el a ti atyátokhoz. 
GEN.44.18	De Júda hozzá járula és monda: Kérlek, uram, hadd szólhasson egy szót uram fülébe a te szolgád, és ne gerjedjen fel haragod a te szolgád ellen; mert hasonló vagy te a Faraóhoz. 
GEN.44.19	Az én uram kérdezte vala az ő szolgáit, mondván: Van-é atyátok, vagy testvéretek? 
GEN.44.20	Akkor mi azt felelénk az én uramnak: Van egy vén atyánk, és egy kis gyermek, a ki az ő vénségében lett; és ennek bátyja megholt, és csak ő maga maradt az ő anyjától, és az ő atyja szereti őt. 
GEN.44.21	És azt mondád a te szolgáidnak: Hozzátok én hozzám azt, hogy szemeimet reá vessem. 
GEN.44.22	És mondánk az én uramnak: Nem hagyhatja el az a fiú az ő atyját; mert ha elhagyja atyját, meghal 
GEN.44.23	És 
GEN.44.24	Mikor azért felmenénk a te szolgádhoz, az én atyámhoz és tudtul adjuk vala néki az én uramnak beszédét; 
GEN.44.25	És monda a mi atyánk: Menjetek vissza, és vegyetek nékünk 
GEN.44.26	És mondánk: Nem mehetünk le; ha a mi legkisebbik atyánkfia velünk lesz, akkor lemegyünk; mert nem mehetünk ama férfiú színe elé, ha a mi legkisebbik atyánkfia velünk nem lesz. 
GEN.44.27	És monda a te szolgád, az én atyám, nékünk: Ti tudjátok hogy az én feleségem nékem csak két 
GEN.44.28	Az egyik kiméne tőlem, és azt mondom vala: 
GEN.44.29	Ha ezt is elviszitek szemeim elől, s veszedelem találja érni, akkor az én ősz fejemet 
GEN.44.30	Ha tehát most visszamenéndek a te szolgádhoz, az én atyámhoz, és e fiú nem lesz velünk, mivelhogy annak lelke ennek lelkéhez van nőve, 
GEN.44.31	Ha meglátja, hogy nincs meg a gyermek, meghal s akkor a te szolgáid, a te szolgádnak, a mi atyánknak ősz fejét búba borítva bocsátják alá a koporsóba. 
GEN.44.32	Mivel a te szolgád e fiúért az ő atyjánál kezes lett, mondván: 
GEN.44.33	Hadd maradjon azért e gyermek helyébe a te szolgád, az én uramnak szolgájáúl; e gyermek pedig menjen fel az ő bátyjaival. 
GEN.44.34	Mert mimódon mehetnék én fel atyámhoz, ha e gyermek velem nem lenne, a nélkül, hogy ne lássam a nyomorúságot, mely atyámat érné?
GEN.45.1	És nem tartóztathatá magát tovább József mindazok előtt, kik körűlötte állának és felkiálta: Vezessetek ki minden embert mellőlem. És nem marada senki nála, mikor megismerteté magát József az ő atyjafiaival. 
GEN.45.2	És hangos sírásra fakada, úgy hogy meghallák az Égyiptombeliek, és meghallá a Faraó 
GEN.45.3	És monda József az ő atyjafiainak: Én vagyok József, él-e még az én atyám? És nem felelhetének néki az ő atyjafiai, mert megrettentek vala tőle. 
GEN.45.4	Monda azért József az ő atyjafiainak: Jőjjetek közelebb hozzám! És közelebb menének. Akkor monda: Én 
GEN.45.5	És most ne bánkódjatok, és ne bosszankodjatok azon, hogy engem ide eladtatok; mert a ti 
GEN.45.6	Mert immár két esztendeje, hogy éhség van e földön, de még öt 
GEN.45.7	Az Isten küldött el engem ti előttetek, hogy míveljem a ti megmaradásotokat e földön, és hogy megmenthesselek titeket nagy szabadítással. 
GEN.45.8	Nem ti küldöttetek azért engem ide, hanem az Isten, ki engem a Faraó atyjává tett, és egész házának urává, és Égyiptom egész földének fejedelmévé. 
GEN.45.9	Siessetek és menjetek fel atyámhoz, és mondjátok néki: Ezt mondja a te fiad József: Az Isten engem egész Égyiptomnak urává tett, jőjj le én hozzám, ne késsél. 
GEN.45.10	És Gósen földén lakozol, és én hozzám közel leszesz, mind te, mind fiaid, mind fiaidnak fiai, juhaid, barmaid, és mindened, a mid van. 
GEN.45.11	És eltartalak ott téged, mert még öt esztendei éhség lesz, hogy tönkre ne juss te, és házadnépe, és semmi, a mid van. 
GEN.45.12	És ímé a ti szemeitek látják, és az én atyámfiának Benjáminnak szemei, hogy az én szám szól hozzátok. 
GEN.45.13	Beszéljétek hát el atyámnak minden én dicsőségemet Égyiptomban, és mindazt, a mit láttatok. És siessetek s 
GEN.45.14	És nyakába borúla az ő öccsének Benjáminnak és síra; Benjámin is síra az ő nyakán. 
GEN.45.15	És megcsókolá mind az ő testvéreit és síra ő rajtok; azután beszédbe ereszkedének vele az ő testvérei.
GEN.45.16	És eljuta 
GEN.45.17	És monda a Faraó Józsefnek: Mondd meg a te atyádfiainak: Ezt cselekedjétek: Terheljétek meg a ti barmaitokat, és eredjetek, menjetek el Kanaán földére; 
GEN.45.18	És vegyétek fel atyátokat és házatok népét, és jőjjetek hozzám; és én néktek adom Égyiptom földének javát, hogy éljétek e földnek zsírját. 
GEN.45.19	Ez is parancsolatúl legyen néked: Ezt míveljétek, vigyetek magatokkal Égyiptom földéről szekereket gyermekeitek és feleségeitek számára, és vegyétek fel atyátokat és jőjjetek. 
GEN.45.20	A ti házi eszközeitekre pedig ne tekintsetek sóhajtva; mert egész Égyiptom földének a legjava a tiétek. 
GEN.45.21	És aképen cselekedének Izráel fiai; és ada nékik József szekereket a Faraó parancsolatja szerint; és enni valót is ada nékik az útra. 
GEN.45.22	Valamennyien valának, mindegyiknek ada egy-egy öltöző ruhát: Benjáminnak pedig ada háromszáz ezüst pénzt és öt öltöző ruhát. 
GEN.45.23	Atyjának pedig külde ilyenképen: tíz szamarat égyiptomi javakkal terhelve, és tíz nőstény szamarat gabonával, kenyérrel és egyéb élelemmel terhelve, az ő atyjának az útra. 
GEN.45.24	És elbocsátá az ő testvéreit, és elmenének, és monda nékik: Ne háborogjatok az úton. 
GEN.45.25	Feljövének azért Égyiptomból: és eljutának Kanaán földére az ő atyjokhoz, Jákóbhoz. 
GEN.45.26	És mikor tudtára adák, mondván: József még él, és hogy uralkodik egész Égyiptom földén; az ő szíve elalélt, mert nem hisz vala nékik. 
GEN.45.27	Elbeszélék azért néki József minden beszédét, a melyeket velök beszélt vala, és látá a szekereket is, a melyeket József küldött vala, hogy őt elvigyék; akkor fölélede az ő atyjoknak, Jákóbnak lelke. 
GEN.45.28	És monda Izráel: Elég nékem, hogy József az én fiam még él: lemegyek hát, hogy meglássam őt minekelőtte meghalok.
GEN.46.1	Elindula azért Izráel minden hozzá tartozóival és méne Beérsebába; és áldozék áldozatokat az ő atyja Izsák Istenének. 
