MAT.1.1	 A Krisztus Jézus származásáról 
MAT.25.33	 A juhokat jobbfelől fogja állítani, a gödölyéket pedig balfelől.
MAT.25.34	 Azután ezt fogja mondani a király a jobbfelől állóknak: Jertek Atyámnak áldottai, vegyétek örök birtokul azt a királyságot, mely a világ megalapítása óta nektek készült.
MAT.25.35	 Mert megéheztem s ti ennem adtatok, megszomjaztam s innom adtatok, jövevény voltam s körötökbe fogadtatok,
MAT.25.36	 meztelen voltam és felruháztatok, elerőtlenedtem és meglátogattatok, tömlöcben voltam és hozzám jöttetek.
MAT.25.37	 Erre az igazságosak ezt fogják neki felelni: Uram, mikor láttunk éhezni téged, hogy tápláltunk volna, vagy szomjazni, hogy megitattunk volna?
MAT.25.38	 Mikor láttunk téged jövevényként, hogy körünkbe fogadtunk volna, vagy meztelennek, hogy felruháztunk volna?
MAT.25.39	 Mikor láttunk téged elerőtlenedve, vagy tömlöcben, hogy hozzád mentünk volna?
MAT.25.40	 Ám a király ezt fogja mondani nekik: Bizony azt mondom nektek, mindazt, amit e legkisebb testvéreim közül eggyel tettetek, velem tettétek.
MAT.25.41	 Azután így fog szólni a balfelől állókhoz: Átkozottak, menjetek előlem az örök tűzre, mely a vádlónak és angyalainak készült.
MAT.25.42	 Mert megéheztem, de ennem nem adtatok, megszomjaztam, de innom nem adtatok,
MAT.25.43	 jövevény voltam, körötökbe be nem fogadtatok, meztelen 
MAT.25.44	 Akkor azok is felelni fognak. Uram – fogják mondani –, mikor láttuk, hogy éheztél, szomjaztál, jövevény, meztelen, vagy elerőtlenült, vagy tömlöcben lettél volna, hogy kiszolgálhattunk volna?
MAT.25.45	 Erre ezt fogja felelni nekik: Bizony azt mondom nektek, amit e legkisebbek közül eggyel nem tettetek, azt velem nem tettétek.
MAT.25.46	 Akkor ezek el fognak menni örök büntetésre, az igazságosak pedig az örök életre.”
MAT.26.1	 Történt, hogy mikor Jézus mindezeket a beszédeket befejezte, így szólt tanítványaihoz:
MAT.26.2	 „Tudjátok, hogy két nap múlva lesz a pászka ünnepe, és az ember Fiát kiszolgáltatják majd, hogy megfeszítsék.”
MAT.26.3	 Ekkoriban annak a főpapnak udvarába, akit Kajafásnak hívnak, összegyűltek a főpapok és a nép vénei
MAT.26.4	 és tanácsot tartottak, hogy hogyan foghatnák el Jézust csellel, és hogyan ölhetnék meg.
MAT.26.5	 „De – azt mondták ne az ünnepen, hogy a nép között zavargás ne támadjon.”
MAT.26.6	 Mialatt Jézus Betániában a poklos Simon házában volt,
MAT.26.7	 hozzálépett egy asszony, akinél alabástrom korsócska volt, tele nagy értékű kenettel. Ezt, mikor éppen az 
MAT.26.8	 A tanítványok, ahogy ezt meglátták, bosszankodtak és ily szavakra fakadtak: „Mire ez a pazarlás?
MAT.26.9	 Nem lehetett volna ezt drága pénzen eladni, és a szegényeknek juttatni?”
MAT.26.10	 Jézus azonban, amikor észrevette, mit akarnak, így szólt hozzájuk: „Miért zaklatjátok ezt az asszonyt? Hiszen nemesen cselekedett velem.
MAT.26.11	 A szegények ugyanis mindenkor veletek lesznek, én azonban nem leszek mindig veletek.
MAT.26.12	 Hiszen azzal, hogy testemre öntötte ezt a kenetet, már a temetésemre készülődött.
MAT.26.13	 Bizony azt mondom nektek, hogy ahol csak az egész világon hirdetni fogják az örömhírt, őróla is megemlékeznek, elbeszélve azt, amit ő tett.”
MAT.26.14	 Ekkor a tizenkettő közül az egyik, akit Júdásnak, a karióti férfinak neveznek, elment a főpapokhoz
MAT.26.15	 és így szólt: „Mit szándékoztok nekem adni? Én átadom őt nektek.” Azok harminc ezüstöt rendeltek neki.
MAT.26.16	 Akkortól kezdve kereste a kedvező alkalmat, hogy átadhassa őt.
MAT.26.17	 A kovásztalan kenyerek 
MAT.26.18	 Ő ezt felelte: „Menjetek el a városba ehhez meg ahhoz és mondjátok meg neki: A tanító üzeni: Időm közel! Tanítványaimmal együtt nálad ülöm meg a pászkát.”
MAT.26.19	 A tanítványok úgy tettek, ahogy Jézus rendelte nekik és elkészítették a pászkát.
MAT.26.20	 Mikor aztán este lett, Jézus a tizenkét tanítvánnyal együtt 
MAT.26.21	 Mialatt ettek, így szólt: „Bizony azt mondom nektek, hogy közületek egy el fog engem árulni.”
MAT.26.22	 Igen elszomorodtak, s egyenként kérdezgették tőle: „Csak nem én Uram?”
MAT.26.23	 Mire ő azt felelte: „Aki velem együtt mártotta kezét a tálba, az fog engem elárulni.
MAT.26.24	 Az embernek Fia elmegy ugyan, ahogy róla írva van, de jaj annak az embernek, akivel az embernek Fiát elárultatják. Jobb volna annak, ha nem született volna.”
MAT.26.25	 Megszólalt Júdás is, aki őt elárulta: „Csak nem én vagyok az Mester?” Mire 
MAT.26.26	 Mialatt ettek, Jézus fogta a kenyeret, hálát adott, megtörte s ily szóval adta oda a tanítványoknak: „Fogjátok, egyétek, ez az én testem!”
MAT.26.27	 Aztán a poharat fogta kezébe, hálát adott, odaadta nekik, s ezt mondta: „Igyatok belőle mindnyájan!
MAT.26.28	 Mert ez az én vérem, a szövetség vére – mely a vétkek megbocsátása végett –, sokakért ömlik ki.
MAT.26.29	 De azt is mondom nektek, hogy mostantól fogva a szőlőnek ebből a terméséből nem fogok inni addig a napig, melyen majd veletek együtt annak új terméséből fogok inni Atyám királyságában.”
MAT.26.30	 Énekeltek s aztán kimentek az Olajfák hegyére. Akkor mondotta nekik ezt Jézus: „Ezen az éjszakán valamennyien megbotlotok bennem és 
MAT.26.31	 Hiszen megírták: Megverem majd a pásztort és szétszóródnak a nyájnak juhai.
MAT.26.32	 Feltámadásom után azonban előttetek megyek Galileába.”
MAT.26.33	 Ámde megszólalt Péter: „Ha mindannyian megütköznek is benned, én soha meg nem ütközöm.”
MAT.26.34	 „Bizony azt mondom neked – felelte neki Jézus –, ezen az éjszakán, még mielőtt a kakas megszólalna, háromszor megtagadsz engem.”
MAT.26.35	 „Még, ha veled együtt kellene meghalnom is – mondta neki Péter –, én meg nem tagadlak téged.” Hasonlóképpen szóltak a tanítványok mind.
MAT.26.36	 Ekkor Jézus arra a telekre ment, melyet Gecsemánénak hívnak. Ott így szólt a tanítványokhoz: „Üljetek itt le, míg én elmegyek amoda, hogy imádkozzam.”
MAT.26.37	 Magával vitte Pétert és Zebedeus két fiát s aztán bánat, és otthontalanság kezdték 
MAT.26.38	 Így szólt hozzájuk: „Bánat fogja körül lelkemet, míg csak a halál el nem 
MAT.26.39	 Kicsit előbbre ment, arcára borulva imádkozott és ezt mondta: „Atyám, ha lehetséges, távozzék tőlem ez a pohár!”
MAT.26.40	 Aztán odament a tanítványokhoz, de őket szunnyadva találta.” Hát ennyire nem volt erőtök arra, hogy egy óráig ébren legyetek velem? – szólt Péterhez.
MAT.26.41	 Maradjatok ébren és imádkozzatok, hogy kísértésbe ne jussatok! A szellem hajlandó ugyan, de a hús erőtlen.”
MAT.26.42	 Újra másodszor is elment és ily szóval imádkozott: „Atyám, ha nem lehet, hogy ez eltávozzék tőlem, hogy ki ne igyam: Legyen meg akaratod!”
MAT.26.43	 Mikor odament, megint szunnyadva találta őket, mert szemükre álom súlya nehezedett.
MAT.26.44	 Aztán újra elhagyta őket, elment és harmadszor is imádkozott és megint ugyanazt mondotta.
MAT.26.45	 Ekkor tanítványaihoz ment és ezt mondta nekik: „Most már szunnyadhattok! Csak nyugodjatok! Ím eljött már az óra, hogy az embernek Fiát odaadják a vétkezők kezébe.
MAT.26.46	 Keljetek fel, menjünk! Lám, itt van már az, aki elárul engem.”
MAT.26.47	 Még szólt, mikor a tizenkettő közül az egyik, Júdás, odaérkezett és vele nagy tömeg, mely kardokkal és botokkal 
MAT.26.48	 Az, aki elárulta őt, jelt adott nekik: „Az lesz az, akit meg fogok csókolni. Ragadjátok meg!”
MAT.26.49	 Tüstént oda is lépett Jézushoz és így szólt: „Örvendj Rabbi!” – s azzal összecsókolta.
MAT.26.50	 „Társam – mondta neki Jézus –, ezért vagy hát itt!” Akkor 
MAT.26.51	 Egyszer csak azok közül egy, akik Jézussal voltak, karját kinyújtva, kihúzta a kardját és rásújtott a főpap rabszolgájára. Leszelte annak fülét.
MAT.26.52	 De Jézus rászólt: „Tedd vissza kardodat a helyére, mert kardtól vesznek el mindazok, akik kardot fognak.
MAT.26.53	 Hát úgy véled, hogy nincs nekem hatalmam rá, hogy magam mellé szólítsam Atyámat, hogy Ő tizenkét légió angyalnál is többet állítson mellém?
MAT.26.54	 De hát akkor hogyan teljesülnének be az írások, melyek szerint a 
MAT.26.55	 Ugyanabban az órában Jézus így szólt a tömeghez: „Mint egy haramiára úgy törtök rám, hogy megfogjatok, kardokkal és botokkal felfegyverkezve? Napról-napra ott ültem a templomban és tanítottam, de ott nem tartóztattatok le.
MAT.26.56	 Ez az egész azért történt így, hogy beteljesedjenek a próféták írásai.” Ekkor tanítványai mind magára hagyták őt és elfutottak.
MAT.26.57	 Akik Jézust letartóztatták, Kajafás főpaphoz vezették el, hová az írástudók és vének is összegyűltek.
MAT.26.58	 Péter távolról követte őt egész a főpap udvaráig, ott bement s leült a szolgák közé, hogy lássa a végét.
MAT.26.59	 A főpapok, valamint az egész nagytanács hamis tanúkat kerestek Jézus ellen, hogy megölhessék,
MAT.26.60	 de bár sok hamis tanú jött, nem találtak megfelelő 
MAT.26.61	 akik így szóltak: „Azt mondotta, hatalmam van arra, hogy az Isten templomát leromboljam, és három nap alatt felépítsem.”
MAT.26.62	 Erre a főpap felállt és megkérdezte tőle: „Semmit sem felelsz? Micsoda tanúságot tesznek ezek ellened?”
MAT.26.63	 De Jézus hallgatott. Ám szólt a főpap: „Az élő Istenre kényszerítelek, mondd meg nekünk: Te vagy-e a Krisztus, az Isten Fia?”
MAT.26.64	 „Te mondtad – felelte Jézus. Ezen felül még azt is mondom nektek: Mostantól fogva majd a hatalomnak jobbján látjátok ülni az embernek Fiát, és látni fogjátok őt az ég felhőin eljönni.”
MAT.26.65	 Erre a főpap megszaggatta köpenyét és így szólt: „Káromolt! Mi szükségünk van még tanúkra? Íme most hallottátok a káromlást.
MAT.26.66	 Mi az ítéletetek?” „Halálra méltó” – felelték azok.
MAT.26.67	 Ekkor szembe köpdösték, arcul verték, bottal ütötték
MAT.26.68	 és azt kérdezték: „Prófétáld meg nekünk Krisztus, ki volt, aki megütött?”
MAT.26.69	Péter 
MAT.26.70	 Ő azonban mindenki előtt letagadta, s azt mondta: „Nem tudom, mit beszélsz.”
MAT.26.71	 Kiment a kapuba, ott meglátta egy másik 
MAT.26.72	 Ekkor újra esküvel tagadta: „Nem ismerem azt az embert.”
MAT.26.73	 Kis idő múlva az ott állók hozzáléptek, és ezt mondták Péternek: „Való igaz, hogy te is közülük való vagy. Beszéded is elárul téged.”
MAT.26.74	 Erre átkozódni és esküdözni kezdett: „Nem ismerem ezt az embert.” És azonnal megszólalt a kakas.
MAT.26.75	 Péter pedig ráemlékezett Jézus beszédére, hogy azt mondotta: „Mielőtt a kakas megszólalna, háromszor megtagadsz engem.” Ekkor kiment és keservesen sírt.
MAT.27.1	 Mikor reggeledett, a főpapok és a nép vénei valamennyien tanácsot tartottak Jézus ellen, hogy megöljék.
MAT.27.2	 Aztán megkötözték, elvezették és átadták Pilátusnak, a helytartónak.
MAT.27.3	 Akkor Júdás, aki elárulta őt, megtudta, hogy elítélték az 
MAT.27.4	 „Vétkeztem, hogy elárultam az ártatlan vért!” – mondotta. De azok így feleltek: „Mit tartozik az ránk? Magad lássad!”
MAT.27.5	 Erre a templomba hajította az ezüstöket és eltávozott. Aztán elment és felakasztotta magát.
MAT.27.6	 A főpapok pedig felszedték a pénzt, de ezt mondták: „Nem szabad az áldozati adományok közé tennünk, mert vérnek ára.”
MAT.27.7	 Tanácsot tartottak hát és megvásárolták rajta idegenek temetőjéül a fazekas mezejét.
MAT.27.8	 Ezért aztán azt a mezőt a mai napig Vérmezőnek nevezik.
MAT.27.9	 Ezzel teljesedett be az, amit Jeremiás prófétán át mondott a kijelentés: „Fogták a harminc ezüstöt, a megbecsültnek árát, kit Izráel fiai ennyire becsültek a szerint, ahogy az Úr nekem elrendelte,
MAT.27.10	 odaadták a fazekas mezejére.”
MAT.27.11	 Jézust pedig a helytartó elé állították. A helytartó megkérdezte tőle: „Te vagy a zsidók királya?” „Te mondod” – felelte Jézus.
MAT.27.12	 Mialatt azonban a főpapok és a vének vádolták, semmit sem felelt.
MAT.27.13	 Azután Pilátus szólt hozzá: „Nem hallod mekkora vádakat mondanak ellened?”
MAT.27.14	 De semmire egyetlen szóval sem felelt, úgyhogy a helytartó nagyon csodálkozott.
MAT.27.15	 Szokása volt a helytartónak, hogy ünnepenként egy foglyot, akit a tömeg akart, elbocsátott.
MAT.27.16	 Volt akkor egy nevezetes foglyuk, akit Barabbásnak hívtak.
MAT.27.17	 Mikor 
MAT.27.18	 Tudta ugyanis, hogy féltékenységből adták kézre.
MAT.27.19	 Mialatt az ítélőszéken ült, felesége hozzá küldött ezzel az üzenettel: „Semmivel se ártsd magadat annak az igazságos embernek a dolgába. Ma sokat szenvedtem álmomban miatta.”
MAT.27.20	 A főpapok és vének azonban rábeszélték a tömeget, hogy Barabbást kérjék ki, Jézust ellenben veszítsék el.
MAT.27.21	 A helytartó megkérdezte tőlük: „Mit akartok, a kettő közül melyiket bocsássam el nektek?” „Barabbást!” – mondották azok.
MAT.27.22	 „Mit tegyek hát Jézussal, akit Krisztusnak mondanak?” „Feszítsék meg!” – mondották mindannyian.
MAT.27.23	 „De hát mi rosszat tett?” – kérdezte Pilátus. Ám azok annál inkább kiáltozták: „Feszítsék meg!”
MAT.27.24	 Mikor Pilátus látta, hogy rábeszélése semmit sem használ, sőt csak nagyobb lesz a zavar, vizet hozatott, a tömeg elé állt, megmosta kezét, és ezt mondta: „Ártatlan vagyok ennek az igazságos embernek vérétől. Ti lássátok!”
MAT.27.25	 Az egész nép felelte: „A vére ránk és gyermekeinkre 
MAT.27.26	 Ekkor elbocsátotta nekik Barabbást, Jézust pedig megostoroztatta s átadta, hogy megfeszítsék.
MAT.27.27	 Akkor a helytartó katonái magukkal vitték Jézust a kaszárnyába s összegyűjtötték hozzá az egész helyőrséget.
MAT.27.28	 Levetkőztették, és veres katonaköpenyt adtak rá,
MAT.27.29	 tövisekből koszorút fontak és fejére tették, nádszálat adtak a jobb kezébe, térdreborultak előtte és csúfolódva mondták: „Örvendj! Zsidóknak királya!”
MAT.27.30	 Azután leköpdösték, elvették tőle a nádszálat és fejéhez verték.
MAT.27.31	 Miután kigúnyolták, levették róla a köpenyt, felöltöztették a saját ruhájába és elvezették, hogy megfeszítsék.
MAT.27.32	 Mikor kijutottak 
MAT.27.33	 Ahogy egy Golgota nevű helyre jutottak, ami annyit jelent, mint Koponya helye,
MAT.27.34	 epével kevert bort adtak innia, de ahogy megkóstolta, nem akart belőle inni.
MAT.27.35	 Miután megfeszítették, sorsvetéssel elosztották ruházatát,
MAT.27.36	 azután leültek, és ott őrizték.
MAT.27.37	 Majd az ellene emelt vádat írásban a feje fölé helyezték: „EZ JÉZUS A ZSIDÓK KIRÁLYA!”
MAT.27.38	 Azután jobb keze felől és bal keze felől két haramiát feszítettek melléje.
MAT.27.39	 Az arra elmenők a fejüket csóválták
MAT.27.40	 s így szóltak: „ Te, ki lerombolod, s három nap alatt felépíted a templomot – mondták –, mentsd meg magadat, ha Isten Fia vagy, szállj le a keresztről!”
MAT.27.41	 Ugyanúgy szóltak csúfolódva a főpapok az írástudókkal és vénekkel együtt:
MAT.27.42	 „Másokat megmentett, magát nincs hatalma megmenteni. Izráel királya, szálljon le most a keresztről, s majd hiszünk benne.
MAT.27.43	 Istenben bízott: hát ragadja ki most 
MAT.27.44	 Ugyanúgy ócsárolták őt a haramiák is, akiket vele együtt megfeszítettek.
MAT.27.45	 A hatodik órától kezdve sötétség borult az egész földre a kilencedik óráig.
MAT.27.46	 A kilencedik óra körül Jézus nagy hangon felkiáltott: „Éli, Éli, lamá szabachtani!” Azaz: „Istenem, Istenem, miért hagytál el?”
MAT.27.47	 Mikor az ott állók közül egyesek meghallották 
MAT.27.48	 Közülük az egyik hirtelen odafutott hozzá, fogott egy spongyát, megtöltötte ecettel, és nádszálra tűzve megitatta vele.
MAT.27.49	 A többiek azt mondották: „Lássuk, eljön-e Illés, hogy megmentse.”
MAT.27.50	 Jézus azonban, miután újra nagy hangon kiáltott, elbocsátotta szellemét.
MAT.27.51	 Ekkor egyszerre a templom függönye felülről az aljáig kettészakadt, a föld megrendült, a sziklák meghasadtak,
MAT.27.52	 a sírok megnyíltak és sok alvó szentnek a teste feltámadott.
MAT.27.53	 Miután a sírokból az 
MAT.27.54	 A százados, és akik vele őrizték Jézust, miután a földrengést és az eseményeket látták, nagyon megrémültek, és ezt mondották: „Valóban az Isten Fia volt.”
MAT.27.55	 Sok asszony volt ott, kik messziről figyelték a dolgokat. Ezek Galileából követték Jézust, hogy kiszolgálják őt.
MAT.27.56	 Köztük volt magdalai Mária, Mária Jakab és József anyja, továbbá Zebedeus fiainak anyja.
MAT.27.57	 Mikor beesteledett, eljött egy Arimátiából való gazdag ember, név szerint József, ki maga is Jézus tanítványa volt.
MAT.27.58	 Ez 
MAT.27.59	 József aztán átvette a testet, tiszta gyolcsba göngyölte
MAT.27.60	 s a saját új sírjába helyezte el, melyet sziklába vágatott. Miután nagy követ hengeríttetett a sír bejáratába, elment.
MAT.27.61	 Ott voltak éppen magdalai Mária s a másik Mária, kik a sírral szemközt ültek.
MAT.27.62	 Másnap, mely az előkészületet követő 
MAT.27.63	 és így szóltak: „Uram, eszünkbe jutott, hogy ez a tévelyítő még életében megmondta: Harmadnapon feltámadok.
MAT.27.64	 Parancsold meg hát, hogy vegyék a harmadik napig a sírt biztos őrizet alá, hogy tanítványai oda ne mehessenek, s el ne lopják őt, hogy aztán azt ne mondhassák a népnek: Feltámadt a halottak közül, hogy így az utolsó tévelyítés gonoszabb ne legyen az elsőnél.”
MAT.27.65	 Pilátus ezt felelte nekik: „Van őrségetek, menjetek, gondoskodjatok a biztonságról, ahogy tudtok.”
MAT.27.66	 Azok elmentek, a követ lepecsételték, és a sírt őrséggel biztosították.
MAT.28.1	 A szombat után, a hét első napjának felvirradásakor elment magdalai Mária és a másik Mária, hogy megnézzék a sírt.
MAT.28.2	 Egyszerre nagy földrengés támadt. Az Úrnak angyala szállt ugyanis le az égből. Odament a sírhoz és elgördítette a követ, majd ráült.
MAT.28.3	ránézett, mintha villámlást 
MAT.28.4	 A tőle való félelemtől reszkettek az őrt állók és olyanokká lettek, mint a halottak.
MAT.28.5	 Az asszonyoknak ellenben ezt mondta az angyal: „Ti ne féljetek! Tudom, hogy a megfeszített Jézust keresitek.
MAT.28.6	 Nincs itt, mert feltámadott, amint megmondotta. Jertek, nézzétek meg a helyet, ahol feküdt.
MAT.28.7	 Aztán sietve menjetek el és mondjátok meg tanítványainak, hogy feltámadt a halottak közül és hogy előttetek fog menni Galileába. Ott meg fogjátok látni őt. Íme, megmondta nektek.”
MAT.28.8	 Azok félve, mégis nagy örömmel, sietve távoztak a sírtól, futottak, hogy a tanítványoknak hírt vihessenek.
MAT.28.9	 Egyszerre csak Jézus szembe jött velük és ezt mondta: „Örvendjetek!” Ők odaléptek, megragadták a lábát és a földre borultak előtte.
MAT.28.10	 Jézus ekkor így szólt hozzájuk: „Ne féljetek! Menjetek el s adjátok hírül testvéreimnek, hogy Galileába kell menniük, ott majd meglátnak engem.”
MAT.28.11	 Míg 
MAT.28.12	a vénekkel összegyűltek és tanácsot tartottak, azután sok ezüstpénzt adtak a katonáknak,
MAT.28.13	 azzal a kikötéssel: „Mondjátok azt, hogy éjjel eljöttek a tanítványai, s amíg mi aludtunk, ellopták őt.
MAT.28.14	 Ha pedig a helytartónak a fülébe jutna a dolog, rábeszéljük őt és levesszük rólatok a gondot.”
MAT.28.15	 Azok elfogadták a pénzt és úgy tettek, ahogy kitanították őket. Ezt a beszédet a mai napig híresztelik a zsidók között.
MAT.28.16	 A tizenegy tanítvány aztán útra kelt Galileába, arra a hegyre, ahová Jézus rendelte őket.
MAT.28.17	 Amikor meglátták őt, imádattal borultak le, de voltak, akik kételkedtek.
MAT.28.18	 Jézus aztán hozzájuk lépett és így beszélt velük: „Mennyben és földön minden fennhatóságot nekem adtak.
MAT.28.19	 Menjetek el azért és tegyétek tanítványokká az összes nemzeteket, bemerítve őket az Atyának, a Fiúnak és a Szent Szellemnek nevében,
MAT.28.20	 s arra tanítva őket, hogy őrizzetek meg mindent, amit nektek parancsoltam. Íme én minden nap veletek leszek e kor célba érkezéséig!
MRK.1.1	 A Krisztus Jézus örömhírének kezdete,
MRK.1.2	 ahogy az Ézsaiás prófétánál írva található: „Íme, elküldöm követemet orcád előtt, az majd elkészíti utadat,
MRK.1.3	 kiáltó szó 
MRK.1.4	 Úgy lett Bemerítő János a pusztában a bemerítkezésnek hirdetőjévé, mely a vétkek megbocsáttatását, az új felismerésre térést 
MRK.1.5	 Ehhez 
MRK.1.6	 János teveszőr ruhába öltözött, bőrövet viselt csípeje körül, sáskákat és vadmézet evett.
MRK.1.7	 Ezt hirdette: „Jön utánam 
MRK.1.8	 Én vízbe merítettelek titeket: Ő majd Szent Szellembe fog titeket meríteni!”
MRK.1.9	 Azokban a napokban történt, hogy Jézus a galileai Názáretből odament és Jánossal bemeríttette magát a Jordánba.
MRK.1.10	 Tüstént feljött a vízből és látta, hogy az egek meghasadnak, s a Szellem galambként rája száll.
MRK.1.11	 Aztán szózat támadt az egekből: „Te vagy az én szeretett fiam, benned van gyönyörűségem.”
MRK.1.12	 Ezután a Szellem azonnal kiűzte őt a pusztába.
MRK.1.13	 A pusztában negyven napon át időzött, közben a sátán kísértette, együtt volt 
MRK.1.14	 Azután, hogy Jánost 
MRK.1.15	 „Betelt az idő, közel jött az Isten királysága, térjetek más felismerésre és higgyetek az örömhírnek!”
MRK.1.16	 Mikor a galileai-tó mentén járt, meglátta Simont és Simon testvérét Andrást, amint a tóba körhálót vetettek. Tudniillik halászok voltak.
MRK.1.17	 Jézus megszólította őket: „Jertek utánam és megteszem, hogy emberhalászokká lesztek!”
MRK.1.18	 Tüstént otthagyták hálóikat és követték őt.
MRK.1.19	 Kevéssel továbbmenvén, meglátta Zebedeus Jakabját és a testvérét Jánost, amint a hajóban hálóikat hozták rendbe.
MRK.1.20	 Azonnal hívta őket, s ők atyjukat Zebedeust a béresekkel a bárkában hagyták és elmentek utána.
MRK.1.21	 Aztán bementek Kapernaumba. Mindjárt szombaton 
MRK.1.22	 Tanítása megdöbbentette 
MRK.1.23	 Zsinagógájukban erre azonnal tisztátalan szellem hatásába került egy ember s felkiáltott:
MRK.1.24	 „Hah! Mi dolgunk veled, názáreti Jézus? Azért jöttél, hogy elveszíts minket? Tudom ki vagy: az Isten Szentje!”
MRK.1.25	 Jézus keményen rászólt: „Némulj el és menj ki belőle!”
MRK.1.26	 A tisztátalan szellem erre összerángatta az 
MRK.1.27	 Mindannyian megdöbbentek, úgyhogy egymással vitatkoztak, és azt kérdezték: „Mi ez? Valami 
MRK.1.28	 Azonnal szét is ment a híre mindenhova, Galilea egész környékére.
MRK.1.29	 Tüstént azután, hogy a zsinagógából kijöttek, Jakabbal és Jánossal együtt bementek Simon és András házába.
MRK.1.30	 Simon napa lázasan ágyban feküdt. Azonnal szóltak neki felőle.
MRK.1.31	 Ő hozzálépett, a kezén megragadta és felkeltette. Az asszonyt azonnal elhagyta a láz 
MRK.1.32	 Mikor lenyugodott a nap és este lett, odahozták hozzá az összes gonoszul gyötrötteket s az ördöngősöket,
MRK.1.33	 úgyhogy az egész város odagyűlt az ajtóhoz.
MRK.1.34	 Sokakat gyógyított, kik sok mindenféle betegségtől gonoszul szenvedtek, sok ördögi szellemet űzött ki s nem hagyta szólni az ördögi szellemeket, mert azok felismerték őt.
MRK.1.35	 Azután igen korán, még sötét éjszakában felkelt, kiment 
MRK.1.36	 Nyomon követték Simon és a vele lévők.
MRK.1.37	 Midőn rátaláltak, így szóltak hozzá: „Mindenki téged keres!”
MRK.1.38	 De ő ezt felelte nekik: „Menjünk máshová, a szomszédos kisebb városokba, hogy ott is hirdethessem 
MRK.1.39	 El is ment egész Galileába a zsinagógáikba s hirdette az igét és ördögöket űzött ki.
MRK.1.40	 Hozzáment egy bőrpoklos is és térdreborulva esengett hozzá.” Te, ha akarnád, képes volnál engem megtisztítani!” – mondta.
MRK.1.41	 Mire ő szánalomra gerjedt, kinyújtotta kezét, megérintette őt és így szólt hozzá: „Akarom. Tisztulj meg!”
MRK.1.42	 Nyomban eltávozott tőle a poklossága és megtisztult.
MRK.1.43	 Jézus pedig felindult hangon 
MRK.1.44	 s azt mondta neki: „Vigyázz, senkinek semmit ne szólj, hanem eredj, mutasd meg magad a papnak! Tisztulásod fejében pedig vidd fel, amit Mózes elrendelt, bizonyságtételül nekik.”
MRK.1.45	 Az elment, a dolgot 
MRK.2.1	 Napok múltán újra Kapernaumba ment s elment a híre, hogy otthon van.
MRK.2.2	 Sokan összegyűltek, úgyhogy még az ajtónál sem maradt férőhely. Hirdette nekik az igét.
MRK.2.3	 Ekkor emberek érkeztek hozzá, akik egy gutaütöttet hoztak. Négyen emelték.
MRK.2.4	 Mivel a tömeg miatt nem voltak képesek bevinni hozzá, ott, ahol volt, a tetőt bontották meg, s miután kivésték azt, a hordágyat, amelyen a gutaütött feküdt, leeresztették.
MRK.2.5	 Jézus miután látta hitüket, így szólt a gutaütötthöz: „Gyermekem, meg vannak bocsátva vétkeid!”
MRK.2.6	 Ott ült néhány írástudó is, kik szívükben ezt fontolgatták:
MRK.2.7	 „Miért beszél ez így? Káromol! Ki engedheti el a vétkeket az egyetlen Istenen kívül?”
MRK.2.8	 Jézus szellemével azonnal felismerte, hogy milyen fontolgatások 
MRK.2.9	 Mi könnyebb, azt mondani-e a gutaütöttnek, hogy vétkeid meg vannak bocsátva, vagy ezt mondani: Kelj fel, emeld fel a hordágyadat és járj!
MRK.2.10	 Hogy azonban lássátok, hogy az ember Fia felhatalmazást kapott arra, hogy vétkeket a földön megbocsásson, – odaszólt a gutaütötthöz:
MRK.2.11	 Azt mondom neked, kelj fel, emeld fel hordágyadat és eredj haza!”
MRK.2.12	 Az fel is kelt, tüstént felemelte hordágyát s kiment mindenki szemeláttára, úgyhogy valamennyien magukon kívül voltak és Istent dicsőítették.” Sohasem láttunk ilyesmit” – mondották.
MRK.2.13	 Megint kiment a tó partjára s hozzáment az egész tömeg, ő pedig tanította őket.
MRK.2.14	 Menetközben meglátta Lévit, az Alfeus 
MRK.2.15	 Történt aztán, hogy 
MRK.2.16	 Mikor azonban a farizeusok közül való írástudók meglátták, hogy a vétkezőkkel és vámszedőkkel együtt eszik, ezt mondták tanítványainak: „A vámszedőkkel és vétkezőkkel eszik együtt?”
MRK.2.17	 Ahogy ezt Jézus meghallotta, így szólt hozzájuk: „Az erejükben levőknek nincs szükségük orvosra, csak a betegeknek. Nem azért jöttem, hogy igazságosokat hívjak, hanem hogy vétkezőket.”
MRK.2.18	 János tanítványai és a farizeusok böjtölni szoktak. Eljöttek hát és megkérdezték tőle: „Miért van, hogy a János tanítványai és a farizeusok tanítványai böjtölnek, de a te tanítványaid nem böjtölnek?”
MRK.2.19	 Jézus ezt felelte nekik: „Vajon böjtölhetnek a lakodalmas ház fiai, amíg a vőlegény velük van? Ameddig maguknál láthatják a vőlegényt, nem lehet, hogy böjtöljenek.
MRK.2.20	 Jönnek azonban napok, mikor a vőlegényt elveszik tőlük, akkor, azon a napon böjtölni fognak!
MRK.2.21	 Új anyagból senki sem rak foltot régi köpenyre, ha mégis megteszi, 
MRK.2.22	 Senki sem tölt új bort régi tömlőkbe, ha mégis, a bor szétszakítja a tömlőket, elvész a bor és a tömlők is, hanem új bort új tömlőkbe töltenek!”
