MAT.1.1	Ǝntanay da esmawan n aljadan ǝn Ɣaysa Ǝlmǝsix, ahaya n ǝnnǝbi Dawǝd, d ǝnnǝbi Ibrahim:
MAT.11.28	Akkiwat-i-du ketnawan win ǝddaznen, ewayan ǝzuk, a kawan-akfa tǝsanfawt. 
MAT.11.29	Bardagat-i tǝlkamam i tara-nin, tabǝzam fall-i masnat, id nak mǝššis ǝn talmat a mosa, ǝwǝl-in deɣ wǝr t-iha zazwar ǝn man. Ǝddi ad za tǝgrǝwam tǝsanfawt i man-nawan, 
MAT.11.30	fǝlas lǝkkum i tara-nin isinaflay, ǝgǝggi-nin deɣ i fǝsusan.»
MAT.12.1	Azzaman en da, ǝzǝl iyyan ǝn tǝsanfawt ǝn Kǝl-Ǝlyǝhud, issiwal Ɣaysa šiwǝgas n alkama ǝnta ǝd nǝttulab-net. Iggaz gǝlǝk inǝttulab-net, a du-rassaban šiɣaɣanen, tattin-tanat. 
MAT.12.2	As ǝnayan Farisaytan awen, ǝnnan i Ɣaysa: «Ǝnǝy! Inǝttulab-nak taggin arat xarâman daɣ ǝzǝl wa n tǝsanfawt.» 
MAT.12.3	Inn-asan Ɣaysa: «Ak teɣaray a wǝr tǝgem awa iga ǝnnǝbi Dawǝd assaɣa wad t-iggaz gǝlǝk, ǝnta ǝd midawan-net? 
MAT.12.4	Awak wǝrgeɣ iguz a ǝgan ehan ǝn Mǝššina, ǝtšan šigǝlwen šin ǝmosnen takutay tǝskâtat i Mǝššina, imos awen arat fall-asan xaraman? Šigǝlwen šin den ilimaman ɣas as tǝxalal tattay-nasnat. Awak teɣaray a wǝr tǝgem adi? 
MAT.12.5	Meɣ ak teɣaray a wǝr tǝgem daɣ Ǝttawret as ǝzǝl wa n tǝsanfawt, ilimaman wǝr ǝssǝfraran ǝššǝrǝdan n ǝzǝl wa n tǝsanfawt id ǝzǝl wǝdi šaqqalan daɣ Ahan wa Zǝwwǝran n Ǝlɣibada, mišan wǝr fall-asan imos awen lahan? 
MAT.12.6	Ǝggǝyeɣ-awan as wa illan da, ogar Ehan wa Zǝwwǝran n Ǝlɣibada. 
MAT.12.7	Ǝnnar tǝgrâm almaɣna ǝn batu ta tǝnnat: "Nak tǝhanint a areɣ, wǝrge takutay." Wǝdi wǝr za tǝbǝzam s ǝššǝriɣa aytedan wǝr iwer lahan. 
MAT.12.8	Ǝnneɣ-awan adi fǝlas nak Ag Aggadǝm a ixkaman fǝl ǝzǝl wa n tǝsanfawt.»
MAT.12.9	Ifal Ɣaysa edag wen, ikka ehan n ǝlɣibada ǝn Kǝl-Ǝlyǝhud n ǝɣrǝm wen da. 
MAT.12.10	Ehan wen ih-ay alǝs as immût ǝfus-net. Ǝnnan Farisaytan i Ɣaysa: «Ak xalal ǝzuzǝy n awedan daɣ ǝzǝl wa n tǝsanfawt?» Arat wen imos tǝnagmayt a das-ǝgân fǝl ad t-ǝbǝzan s ǝššǝriɣa. 
MAT.12.11	Inn-asan Ɣaysa: «Mǝni daɣ-wan wa zʼilân tilay iyyadda, amaran tǝqqǝl anu daɣ ǝzǝl wa n tǝsanfawt, aqqam wǝr daɣ-as tat-d-ikkes? 
MAT.12.12	Awedan za, ogar tilay almaqam wǝllen! Daɣ adi xalal igi ǝn tǝnfa y awedan daɣ ǝzǝl wa n tǝsanfawt.» 
MAT.12.13	Tǝzzar inna Ɣaysa y alǝs wa: «Ǝzzǝl ǝfus-nak.» Izzal-tu, izzay, ola ǝd wa hadan. 
MAT.12.14	Ǝglan Farisaytan, ad timǝšǝwwiran fǝl tǝmǝwit tas zʼagin iman ǝn Ɣaysa.
MAT.12.15	As isla Ɣaysa awen, igmad edag wen. Tǝlkam-as tamattay tǝgget. Izzozay imiranan kul. 
MAT.12.16	Mišan irɣam-asan fǝl amel y awedan waliyyan awa imos. 
MAT.12.17	Arat wen iga fǝl ad andu awal wa iga ǝnnǝbi Isayas as inna: 
MAT.12.22	Tǝzzar immeway-du alǝs iyyan ǝs Ɣaysa, as immidad ǝmi-net, imos deɣ ǝmǝdderɣǝl, fǝlas aggǝsuf a t-izdaɣan. Izzozay Ɣaysa alǝs wen, iššewal iswad deɣ. 
MAT.12.23	Isimaklal awen wǝllen ǝs tamattay ketnet, ad tǝgannu: «Ma iqqal ak Ag ǝnnǝbi Dawǝd wa ǝttǝmalan awa?»
MAT.12.24	Mišan as ǝslan Farisaytan y awen, ǝnnan: «Alǝs en Aššaytan Baɣalzabul wa n ǝmǝnokal ǝn kǝlǝsuf a t-ikfan fǝrregat n ikus ǝn kǝlǝsuf daɣ aytedan.» 
MAT.12.25	Mišan ya issan Ɣaysa daɣ awa samadranan, inn-asan: «Taɣmar kul tas ǝmmǝgaran mǝssawǝs gar-essan, tǝdi ǝbǝrǝjji a za tagu. Wǝr t-illa ǝɣrǝm, wala deɣ aɣaywan, as zʼammazrayan mǝssawǝs, aqqam wǝr ibarajjat. 
MAT.12.26	As imos as Aššaytan isattaɣ iman-net, wǝdi iman-net a dǝr immǝgar. Daɣ adi manǝmmǝk as za tihag taɣmar-net? 
MAT.12.27	Amaran kud nak tarna ǝn Baɣalzabul as takkasaɣ kǝlǝsuf daɣ aytedan, inalkiman-nawan za, ma ilan tarna tas tan-takkasan? Adi da fǝlas ǝntanay iman-nasan as kawan-z-ǝbǝzan s ǝššǝriɣa. 
MAT.12.28	Mišan as imos as Infas ǝn Mǝššina as takkasaɣ kǝlǝsuf daɣ aytedan, wǝdi Taɣmar ta n Mǝššina tos-iwan-du. 
MAT.12.29	Wǝr t-illa i ifrâgan iguz n ahan n alǝs n ǝmǝqqerǝd, iɣrǝd aqqa ǝn tǝla-net, ar s ad t-ikrâd təzzar. Dǝffǝr as t-ikrâd amaran ad zʼifrəg aqqa ǝn tǝla-net. 
MAT.12.30	Wa dǝr-i wǝr nǝddew, wǝdi azangaw-nin a imos, wa di-wǝr-nǝllil deɣ s ǝšidǝw, wǝdi ǝzǝwwǝziwǝz a itaggu.»
MAT.12.31	«Awen da fǝl dawan-ǝnneɣ: A iqqal abakkad, wala alfawaxiš, kul ad tǝwǝsurǝfan y awedan, mišan ikus ǝn tarna y Infas wa Zǝddigan, ǝnta wǝr zʼitǝwǝsurǝf y awedan. 
MAT.12.32	As di-ibyak awedan nak Ag Aggadǝm, ifrâg ad igrǝw tǝsureft, mišan as ibǝyak awedan Infas wa Zǝddigan, wǝrmad zʼigrǝw tǝsureft daɣ ǝddǝnet, za wǝr tat-z-igrǝw daɣ alaxirat.»
MAT.12.33	«As tǝlam ašǝk isxân, a daɣ-as tǝgrǝwam âratăn olaɣnen, as tǝlam ašǝk wǝr nǝsxa, a daɣ-as tǝgrǝwam âratăn ǝbrarnen; fǝlas âratăn win itaraw ašǝk, ǝntanay as itawazday. 
MAT.12.34	Xa taššolen šin da! Manǝmmǝk as za tannim a olaɣan, ǝnta kawanay tǝknâm tallabast? Wǝrgeɣ awa idkaran ǝwǝl n awedan, ǝnta a d-igammadan imi-net? 
MAT.12.35	Awedan wa olaɣan, ǝlluɣ wa ihan ǝwǝl-net a daɣ d-itakkas awa olaɣan, mišan anallabus ǝnta, talbast ta tǝhat ǝwǝl-net a daɣ d-itakkas awa labasan. 
MAT.12.36	Amaran nak ǝnneɣ-awan ǝzǝl wa n tabadday awedan kul kundaba ibdad fǝl batuten ǝn bannan šin iga. 
MAT.12.37	Fǝlas awalan-nak a kay-tagaznen daɣ ǝššǝriɣa, amaran ǝntanatay harwa da a kay-tabaznen s ǝššǝriɣa.»
MAT.12.38	Ǝnnan arat daɣ musanan n Ǝttawret ǝd Farisaytan: «Ǝššex, nǝra daɣ-ak a dana-tassakna tǝlmǝɣjujat tǝmosat alɣalamat.» 
MAT.12.39	Inn-asan Ɣaysa: «Aytedan n azzaman win, inǝllubas, wǝr nǝksud Mǝššina, amaran gammayan tǝlmǝɣjujat! Kala! Tǝlmǝɣjujat ta dasan-tǝtawaggat iyyadda ɣas, a tat-imosan ta n ǝnnǝbi Yunǝs. 
MAT.12.40	Ǝnta ǝmmǝk wa daɣ as iga Yunǝs karad jilan, ǝd karad hadan daɣ tǝdist ǝn kifi wa zǝwwǝran, ǝmmǝk wen daɣ as nak da Ag Aggadǝm ad aga karad adan gǝr mawetan n amaḍal. 
MAT.12.41	Ǝzǝl wa n tabadday, ad d-ǝnkǝran aytedan n ǝɣrǝm ǝn Ninif, ǝzzǝbǝzan aytedan n azzaman win y ǝššǝriɣa fǝlas ǝntanay ǝhǝddi a ǝgan ǝzǝl wa dasan-iga Yunǝs tǝlxutbat, imal-asan awal ǝn Mǝššina. Ǝssǝnat za as, wa illan da ǝmǝrǝdda, ogar Yunǝs mišan tugayam ǝs tǝtubt. 
MAT.12.42	Ǝzǝl wa n tabadday, a du-tǝnkǝr tǝmǝnokalt tas kala tǝxkam fall akal n agala igân esǝm Šeba, taggayyat fǝl aytedan n azzaman win, tǝzzǝbǝz-tan y ǝššǝriɣa fǝlas d ad iraz amaḍal a du-tǝgmad fǝl ad tǝssǝsǝm y awal ǝn tǝla n ǝgǝrri wa itaggu ǝmǝnokal Suliman. Ǝssǝnat za as, wa illan da ǝmǝrǝdda, ogar ǝnnǝbi Suliman mišan tugayam s a das-tǝssǝsǝmam.»
MAT.12.43	«As igmad aggǝsuf awedan, iras aggǝsuf wen idaggan ǝqqurnen igammay id imal, iqqim wǝr t-igrew, 
MAT.12.44	ad annu daɣ man-net: "Nak a za, ad ǝqqǝlaɣ ehan-in wa d-ǝgmada." As t-id-iqqal a t-id-asu wǝr itawaggaz, ifrâd, iɣrad amaknaw. 
MAT.12.45	Tǝzzar aglu idaw-du d ǝssa kǝlǝsuf wiyyad a t-ogarnen tallabǝst, ǝggǝzan awedan wanâd, ǝzdǝɣan-tu. Tagu taɣara n awedan wen aɣšud ogaran was kala tu-tǝga. Awen da a zʼigrǝwan inǝllubas n azzaman win.»
MAT.12.46	A iššewal Ɣaysa i tamattay den da, tǝlla anna-net den ǝd mǝdrayan-net. Ǝbdâdan sǝdi dat ahan, ǝrân a das-annin arat. 
MAT.12.47	Inna awedan iyyan i Ɣaysa: «Ǝnǝy, anna-nak ǝd mǝdrayan-nak, ǝbdâdan-ak dat ahan ǝrân a dak-annin arat.» 
MAT.12.48	Inn-as Ɣaysa: «Ma imosan anna-nin? Ma imosan imǝdrayan-in?» 
MAT.12.49	Tǝzzar izzal Ɣaysa ifassan dǝnnǝg nǝttulab-net, inna: «Ǝnǝyat, anna-nin ǝd mǝdrayan-in ǝntanay da, 
MAT.12.50	id awedan kul wa itamazalan tara n Abba-nin ihan ijǝnnawan, ǝnta a imosan amadray-nin, madeɣ tǝmadrayt-in, madeɣ anna-nin.»
MAT.13.1	Ǝzǝl wen, igmad Ɣaysa ehan, igla, iqqim daɣ tǝgadamayt n agaraw. 
MAT.13.2	Tǝddew-du fall-as tamattay tagget, har as iggaz aɣlal n aman iqqim daɣ-as, tǝbdad tamattay ketnet daɣ tǝgadamayt n agaraw. 
MAT.13.3	Immǝgrad-asan daɣ aratan aggotnen s ǝlmitalan. Inn-asan: «Kala ad ikka ǝmagyak iyyan tawagost-net, y a tat-inbǝl. 
MAT.13.4	Daɣ anabal wa itaggu den imosan anabas n amasa, ǝrtaknat tǝblalen šiyyad fǝl tama ǝn tarrayt, osan-du gǝḍad, ǝtšan-tanat. 
MAT.13.5	Šiyyad ǝrtaknat daɣ adag ǝhanat tǝhun, amaran wǝr t-iha amaḍal igdân. Idwal-du amasa wen tarmad, fǝlas wǝr daw-ǝs illa amaḍal aggen. 
MAT.13.6	As tǝggǝzzay tǝfuk, tǝssǝqqad awa d-idwalan daɣ amasa wen. Iqqur fǝlas ikewan-net a wǝr nǝggug daɣ amaḍal. 
MAT.13.7	Šiblalen šiyyad ǝrtaknat daɣ tǝfǝssaɣ. Ǝdwalnat tǝfǝssaɣ šin, ǝlmaznat amasa wa d-idwalan den. 
MAT.13.8	Mišan ya arat daɣ təblalen en irtak daɣ amaḍal olaɣan. Igmad-du, idwal, iga šiɣaɣanen. Šiblalen šin den akkiyyat teraw temeday ǝn tablalt, šiyyad sǝdisat tǝmǝrwen, šiyyad karadat tǝmǝrwen. 
MAT.13.9	Wa isallin, isǝsǝmet!»
MAT.13.10	Dǝffǝr awen ǝhozan-t-in nǝttulab-net ǝnnan-as: «Mafǝl tǝtamagrada y aytedan win s ǝlmitalan?» 
MAT.13.11	Ijjawwab-asan Ɣaysa inn-asan: «Taggaɣ-asan ǝlmitalan win, id kawanay tǝgrâwam masnat daɣ ǝssiran ǝn Taɣmar ta n jǝnnawan, ǝntanay amaran wǝr tat-ǝgrewan. 
MAT.13.12	Fǝlas wa ilan, a das-itǝwǝšitu awa ila, annaflay. Wa wǝr nǝla amaran, arat n awa ila da a daɣ-as attarmas. 
MAT.13.13	Awen da a fǝl dasan-tamagrada s ǝlmitalan, id ǝswâdan mišan wǝr hǝnnǝyan, ǝssisaman mišan wǝr sallin, za wǝr gǝrrin. 
MAT.13.14	Ǝntanay a fǝl tǝnda batu ta iga ǝnnǝbi Isayas assaɣa wad inna: 
MAT.13.16	«Kawanay amaran tǝbbilalam id šittawen-nawan ǝhannaynat, tǝbbilalam id šimǝzzugen-nawan sallinat. 
MAT.13.17	Ǝggǝyyeɣ ǝsilakanaɣ-awan as sidaranan ǝnnǝbitan aggotnen d aytedan win oɣadnen aggotnen anay n awa tǝhannayam, mišan wǝr t-ǝnayan, sidaranan deɣ tesalay y awas tǝsallim, mišan wǝr das-ǝslen.»
MAT.13.18	«Daɣ adi kawanay sǝsǝmat y almaɣna n ǝlmital wa n ǝnabal n amasa. 
MAT.13.19	Amasa wa irtakan fǝl tama ǝn tarrayt, ǝlmital a imos n awedan wa islan i salan ǝn Taɣmar ta n Mǝššina wǝr tan-igra, asa-du Iblis ikkǝs awa itawanbalan daɣ ǝwǝl-net. 
MAT.13.20	Amasa wa irtakan daɣ amaḍal ǝhânat tǝhun, ǝlmital a imos n awedan wa islan y awal ǝn Mǝššina, iqbal-tu ǝddi da ǝs man filawasnen, 
MAT.13.21	mišan wǝr ila awen ekay. Awedan wa wǝr imos ar mǝššis ǝn tǝmazayen. Igda ɣas a tu-tǝmǝl tǝssust, madeɣ tǝddǝguzt tǝgât fǝl ǝddǝlil n Awal ǝn Mǝššina, ad ayyu ǝzǝgzan ǝddi da. 
MAT.13.22	Amasa wa irtakan daɣ tǝfǝssaɣ, ǝlmital a imos n awedan wa islan y Awal ǝn Mǝššina, mišan aššawašatan n ǝddǝnet, d adakal wa tǝga tǝgǝrgist n ǝddǝnet tayttay-net, ǝssǝfalan-du dǝnnǝg Awal wen, igdal-as awen a d-awǝy tǝnfa. 
MAT.13.23	Amasa amaran wa irtakan daɣ amaḍal olaɣan, ǝlmital a imos n awedan wa islan y Awal ǝn Mǝššina, igr-ay. Awedan wǝdi a d-awǝy tǝnfa tǝmosat temeday n ǝnǝtfus, iyyat tǝqqǝl sǝdisat tǝmǝrwen, iyyat amaran tǝqqǝl karadat tǝmǝrwen.»
MAT.13.24	Iga Ɣaysa i tamattay ǝlmital iyyan. Inna: «Taɣmar ta n jǝnnawan tǝha ǝlmital n alǝs inbalan amasa olaɣan daɣ tawagost-net. 
MAT.13.25	As ǝnsan aytedan osa-du azangaw-net, inbas ark amasa daɣ tǝwagost ten, ijawankat. 
MAT.13.26	As tǝdwal tawagost, tǝga šiɣaɣanen, inafalal-du ǝnta da ark amasa wanad. 
MAT.13.27	Osan-du eklan n alǝs wa ilan tawagost ten, ǝnnan-as: "Mǝššikkana, wǝrgeɣ amasa wa olaɣan a tǝnbala daɣ tawagost-nak? Ǝnnǝs za taɣara n arak yel wa daɣ-as d-idwalan den?" 
MAT.13.28	Inn-asan alǝs wen: "Adi azangaw-nin iyyan a t-igan." Ǝnnan-as eklan: "Meqqal tareɣ ad naglu nǝɣrǝd-du alabay ǝn yel wa wǝr noleɣ en?" 
MAT.13.29	Inn-asan: "Kala! Fǝlas tǝksǝda a ǝgeɣ a tu-tǝnakkadam har ammarsal alkama iman-net. 
MAT.13.30	Ayyiwat-tan ad ǝdwǝlan kul har du-tawǝd ɣarat. As inta ǝmilǝy ǝn tǝwǝgas, ad annaɣ i maššaɣalan win talaynen, ad izaran s arak yel wa, har t-ǝɣrǝdan tewaɣnay iqqǝl šibolasen, itǝwǝsǝqqǝd, alkama amaran agin-tu daɣ tǝdangawt-in."»
MAT.13.31	Ig-asan Ɣaysa ǝlmital iyyan, inn-asan: «Taɣmar ta n jǝnnawan tola d amasa n annabat igân esǝm mutard inbal awedan daɣ tawagost-net. 
MAT.13.32	Amasa wa n mutard ǝnta a ogaran imasan kul tǝmmǝdrǝyt. Mišan as idwal, ad agǝr annabatan kul win fǝrgan, iqqǝl ašǝk, har as a d-asin gǝḍad ad taggin šisǝllula daɣ zǝlan-net.»
MAT.13.33	Ig-asan ǝlmital iyyan, inn-asan: «Taɣmar ta n jǝnnawan tola ǝd xamira tǝrway tǝntut daɣ karadat annafaɣaten n agel n alkama har ikuf agel ketnet.»
MAT.13.34	Aratan win den kul igann-en Ɣaysa i tamattay s ǝlmitalan. Wǝr dasan-inna arat waliyyan wǝr nǝmos ǝlmital, 
MAT.13.35	fǝl ad andu awal ǝn Mǝššina wa imal ǝnnǝbi assaɣa wad inna: 
MAT.13.36	Dǝffǝr awen ifal Ɣaysa tamattay, igla ikka ehan. Ǝhozan-t-in nǝttulab-net ǝnnan-as: «Sassagr-anaɣ ǝlmital wa n arak yel wa d-idwalan daɣ tawagost.» 
MAT.13.37	Inn-asan: «Wa inbalan amasa wa olaɣan, adi Ag Aggadǝm. 
MAT.13.38	Tawagost, adi ǝddǝnet, amasa wa olaɣan amaran immittal aytedan win ǝbbǝrdagnen i Taɣmar ta n Mǝššina, arak yel immittal aytedan win ǝlkamnen i tarrayt ta n Iblis. 
MAT.13.39	Azangaw wa inbalan ark amasa, adi Iblis, ɣarat amaran adi ǝzǝl wa n tabadday. Aytedan win talaynen, adi angalosan. 
MAT.13.40	Ǝnta ǝmmǝk wa daɣ as d-itawankad arak yel daɣ tawagost, itǝwǝsǝqqǝd, ǝmmǝk wǝdi daɣ a zʼitǝwǝggin ǝzǝl wa tabadday y aytedan. 
MAT.13.41	A d-assagla nak Ag Aggadǝm angalosan-in a zʼǝkkǝsnen daɣ Taɣmar-in aratan kul win takkasnen ǝzǝgzan daɣ aytedan, d aytedan win nǝmmǝzray ǝn Mǝššina. 
MAT.13.42	Tǝzzar ǝgǝran-tan daɣ amahander ǝn tǝmsay, ad hallin ǝddadan idǝdwan-nasan fǝl tǝmagraz. 
MAT.13.43	Ǝddi daɣ ad zʼagin aytedan win oɣadnen ǝmǝlǝwlǝw wa n tǝfuk, daɣ Taɣmar ta n Mǝššina di n Abba-nasan. I isallin aslet!»
MAT.13.44	«Taɣmar ta n jǝnnawan tola harwa da d ǝrrǝzǝɣ iɣbâran daɣ tawagost, isaffagg-ay d awedan iyyan, ilas-tu aɣabar. Awa iga daɣ tǝfalawist, igla izzǝnz-in awa ila kul, izzǝnza tawagost ten.»
MAT.13.45	«Taɣmar ta n jǝnnawan tola harwa da d amassatag igammayan ǝljuhǝr wa ihossayan. 
MAT.13.46	As igraw ǝljuhǝr iyyan ihossayan, wa n ǝlǝsǝl, igla izzǝnz-in awa ila kul izzǝnz-ay.»
MAT.13.47	«Taɣmar ta n jǝnnawan tola harwa da ǝd sangay zǝwwǝran n abbaz ǝn kifitan itiwagaran daɣ agaraw, obaz-du kifitan ǝmosnen ǝzzǝnǝfan. 
MAT.13.48	As idnay, ǝrkaban-t-idu nabazan ǝn kifitan ǝs tǝgadamayt, ǝqqiman, ǝdkalan-du izmaman a daɣ-san taggin kifitan win olaɣnen, ǝggaran-in win wǝr nǝnfa wala. 
MAT.13.49	Awen daɣ a zʼagin ǝzǝl wa n tabadday. A d-asin angalosan, ǝskǝtan-in inǝmmǝzray ǝn Mǝššina, zǝmmǝzǝyan-tan d aytedan win oɣadnen, 
MAT.13.50	ǝgǝran-tan daɣ amahander ǝn tǝmsay, ad hallin ǝddadan idǝdwan-nasan fǝl tǝmagraz.»
MAT.13.51	Igla Ɣaysa iššêwal inn-asan: «Ak tǝgrâm awa ǝnne da kul?» Ǝnnan-as: «Awalla.» 
MAT.13.52	Tǝzzar inn-asan: «Daɣ adi, ǝmusan n Ǝttawret kul wa itawasasaɣran y ad iqqǝl ǝnalkim ǝn Taɣmar ta n jǝnnawan, ola ǝd mǝššis n aɣaywan, a d-itakkasan daɣ tǝla-net aratan win aynaynen ǝd win waššarnen isataɣmal-tan.»
MAT.13.53	As iɣrad Ɣaysa ǝsǝssǝɣri wa igan s ǝlmitalan en, igmad akal wa ihozan agaraw, igla.
MAT.13.54	As d-osa aɣrǝm wa daɣ idwal ad isasaɣru aytedan daɣ ahan-nasan wa n ǝlɣibada. Awa sǝr-san iga awen daɣ ǝsǝmmǝklǝl, har ǝqqiman gannin: «Mǝnis t-idu-tǝggaz masnat togdat d awa, ǝd tǝlmǝɣjujaten šin itaggu da?» 
MAT.13.55	«Ak awa wǝrgeɣ ag alǝs wa ikarrasan inan? Wǝrgeɣ anna-net esǝm-net Maryama, imǝdrayan-net iyyan Yaqub, iyyan Yusǝf, iyyan Simɣon, iyyan Yahuza? 
MAT.13.56	Wǝrgeɣ šimǝdrayen-net kul ǝllanat ɣur-na? Daɣ adi mǝni iguz wa das-d-ǝgan aratan win da kul?» 
MAT.13.57	Awen daɣ a dasan-igdalan ǝzǝgzan sǝr-ǝs. Mišan inn-asan Ɣaysa: «Ǝnnǝbi wǝr itǝwǝlku ar daɣ aɣrǝm wa daɣ idwal d aɣaywan-nasan.» 
MAT.13.58	Amaran iqqim da wǝr iga tǝlmǝɣjujaten aggotnen daɣ adag wen, fǝlas ǝzǝgzan a sǝr-ǝs wǝr ǝgen aytedan win den.
MAT.14.1	Azzaman en da a daɣ isla Herod Antifas wa n ǝmuzar n akal ǝn Galilaya, isalan ǝn Ɣaysa. 
MAT.14.2	Tǝzzar inna Herod y aytedan-net: «A igan da Yaxya wa isalmaɣan aytedan daɣ aman, a d-inkaran den daɣ tǝmattant! Awen da fǝl ila tarna n igi ǝn tǝlmǝɣjujaten.» 
MAT.14.3	Arat wen inn-ay Herod fǝlas azzaman dat awen omâr s ǝtǝrmǝs ǝn Yaxya, itawakrad itawagga daɣ kasaw, fǝl ǝddǝlil ǝn Herodǝyas tǝmosat taɣur Filibus imosan amadray ǝn Herod a da, 
MAT.14.4	fǝlas Yaxya a igannin i Herod: «Xaram fall-ak azalaf ǝn tǝntut di.» 
MAT.14.5	Eway-du awen ǝs Herod as ira ikus ǝn man ǝn Yaxya, mišan iksud tamattay tǝgât i Yaxya iduf n as ǝnnǝbi a imos. 
MAT.14.6	As d-iɣlay ǝzǝl wa n tǝhǝwt ǝn Herod, isassaga saksas, tǝga elles ǝn Herodǝyas eweɣ iknan šihussay dat naftaɣan. Tǝzzar oggăm-tat Herod 
MAT.14.7	har as ihad-as âs, a das-agu arat kul wa daɣ-as tǝgmay. 
MAT.14.8	As tǝššǝwwar anna-net tǝnn-as ad tannu i Herod eɣaf ǝn Yaxya a tǝra. Tǝnkar tǝbarart tǝnn-i Herod: «Akf-i attabla da da iha aɣaf ǝn Yaxya wa isalmaɣan aytedan daɣ aman.» 
MAT.14.9	Arat wa tǝgmay tǝbarart ten eway-du s ǝmǝnokal Herod as ǝɣšadan man-net. Mišan omar s a das-itǝwǝggu arat wa tǝgmay den, fəl əddəlil ən təhuday ta das-iga d əddəlil ən naftaɣan-net. 
MAT.14.10	Issǝgla awedan y a d-ifrǝs eɣaf ǝn Yaxya daɣ kasaw. 
MAT.14.11	Immeway-du aɣaf n ǝnnǝbi en daɣ attabla, itawakfa i tǝbarart, tǝzzar tǝkf-ay y anna-net. 
MAT.14.12	Osan-du nalkiman ǝn Yaxya ǝdkalan taɣǝssa-net, ǝnbalan-tat-in. Ǝglan ǝmalan i Ɣaysa.
MAT.14.13	As isla Ɣaysa isalan win, igmad edag wen, iha aɣlal n aman. Igla ɣas-net ikka edag issufan a din-ikitayyen. Tǝsla tamattay ta tǝhat šiɣarmaten šin ɣǝlǝyɣǝlayan awen, tǝlkam-as idaran-net. 
MAT.14.14	As d-izzǝbbat aɣlal inay tamattay tagget, tǝggaz-tu tǝhanint-net, ad izuzǝy imiranan-nasan. 
MAT.14.15	As tǝga takǝst, ǝhozan-t-idu nǝttulab-net ǝnnan-as: «Edag issufan awa, amaran ǝzǝl igla, daɣ adi suɣǝl tamattay a, ad tǝgmǝy id tǝzzǝnza a tǝtša daɣ tǝɣarmaten.» 
MAT.14.16	Inn-asan Ɣaysa: «Wǝr tǝga addararat s ad aglin, šatšat-tan kawanay iman-nawan da!» 
MAT.14.17	Ǝnnan-as: «Nakkanay ya wǝr nǝla da ar sǝmmosat tǝgǝlwen d ǝššin kifitan.» 
MAT.14.18	Inn-asan Ɣaysa: «Awǝyat-i-tan-du.» 
MAT.14.19	Omar tamattay s ad taqqam daɣ yel illan den, tǝzzar idkal sǝmmosat tǝgǝlwen šin den d ǝššin kifitan win, iggǝzzay ijǝnnawan, iga igodan i Mǝššina. Ikaramkaram šigǝlwen šin den, ikf-enat i nǝttulab, a tanat-tuzanan i tamattay. 
MAT.14.20	Ǝtšan aytedan en ketnasan har əyyəwanan. Ǝššedawan-du nǝttulab ikarammutan win du-tawaglaznen, ǝdnayan maraw ǝzmaman d ǝššin. 
MAT.14.21	Aytedan win ǝtšanen den ǝmosan edag ǝn sǝmmos gim n alǝs, ǝllanat deɣ tǝdoden den ǝd bararan.
MAT.14.22	Wala a ihogan omar Ɣaysa inǝttulab-net s ad ǝggǝzan aɣlal n aman izaran-as-in ǝs tǝgadamayt ta hadat n agaraw iket di ad itasallam tamattay. 
MAT.14.23	As ǝɣradan aytedan teklay, iggǝzzay Ɣaysa adɣaɣ y ad agu šiwatriwen daɣ adag ikitayyan. Illa den da ɣas-net har iga ahad. 
MAT.14.24	As itaggu awen da aɣlal iggug-in daɣ agaraw, ǝbbatnat-tu tǝnazzamaren sa ǝd sa fǝlas aḍu issohen a dǝr immǝqqas. 
MAT.14.25	As tǝga tilkamat n ahad, ikka-du Ɣaysa inǝttulab-net ijiwankat fǝl aman. 
MAT.14.26	As t-oggan ijiwankat-du fǝl aman, ǝrmaɣan. Ǝnnan: «Awen aggǝsuf!» Sakkarayan fǝl awa ǝgan daɣ tǝrǝmmeq. 
MAT.14.27	Mišan tamazayt ten da a dasan-iššewal Ɣaysa inn-asan: «Ad wǝr tǝɣšǝdam, nak awa! Tǝgmǝdet-kawan tasa!» 
MAT.14.28	Den daɣ a das-inna Butros: «Kud kay adi Ǝmǝli, tamǝraɣ-i s a din-jǝwǝnkeɣ fǝl aman ǝssǝlkadaɣ-ak-in.» 
MAT.14.29	«Iyyaw!» Inn-as Ɣaysa. Izzǝbbat Butros aɣlal, ijawankat fǝl aman innǝmad Ɣaysa. 
MAT.14.30	Mišan as din-igra assahat n aḍu wa igaran den, tǝggaz-tu tasa, ǝggazan-tu aman šin alamaz. Isaɣɣarat inna: «Ǝmǝli agǝz-i!» 
MAT.14.31	Tarmad as das-in-izzal Ɣaysa ǝfus-net, ibaz-t-idu. Inn-as Ɣaysa: «Ǝzǝgzan-nak irkam wǝllen, ma daɣ-ak igan aššak?» 
MAT.14.32	Ǝggazan aɣlal ɣas, idrar aḍu. 
MAT.14.33	Ǝssǝjadan-as aytedan win ǝhanen aɣlal en, gannin: «Illikan as kay a imosan Barar ǝn Mǝššina.»
MAT.14.34	As ǝɣrasan agaraw, ewadan akal ǝn Ganazaret. 
