MAT.1.1	Taariika iwdi Iisaa *Almasiihu mo Daawuuda mo Ibraahiima.
LUK.12.28	Si tawii non Allaahu on no holtinirde non hay huɗo wonuko hande ka ngesa kon, bugoyteeko jango ka yiite kon, hara o ronkay waɗande on ko ɓuri ɗun, onon ɓee fanɗa-gomɗinalɓe? 
LUK.12.29	Onon non wota on yango fii ko ɲaamon maa ko yaron, wota fii ɗun maapin on. 
LUK.12.30	Ko fii ɗun fow ko ɓe gomɗinaa ka aduna ɓen ɗaɓɓata ɗun. Kono Ben mon Wonɗo ka kammu on no andi hiɗon handi e ɗun. 
LUK.12.31	Kono ɗaɓɓee tun laamu makko ngun, ɗin piiji fow ɓeydanoyte on.
LUK.12.32	«Ko onon yo wuro tosooko, wota on hulu fus, sabu Ben mon Wonɗo ka kammu on tawii no wela mo ka o yeɗa on laamu ngun. 
LUK.12.33	Yeeyee ko jeyɗon kon, okkoron miskinɓe ɓen, moƴƴinee bonfooji ɗi hiɗɗataa, ɗun wonanay on keyee mo lannataa ka kammuuli, ɗon mooƴataa, awa kadi ngujjo meemataa. 
LUK.12.34	Ko fii ko ka keyee mon on woni woo, ɓernde mon nden wonata.»
LUK.12.35	«Wonee hebuliiɓe,
LUK.12.36	Wa'on wa nde jiyaaɗo tijjii jom mun, hara ko yahuɗo peera, hara no on hewtitiri hoɗɗii, o udditanay mo. 
LUK.12.37	Ɓen jiyaaɓe malii nde jom maɓɓe ari tawi hiɓe aynude. Ka haqiiqa mi andinii on, jom ɓen daditoto, o ɓannana ɓe ko ɓe ɲaama. 
LUK.12.38	Ɓen jiyaaɓe ɓe jom mun tawi no ayna tumbere jemma maa ka tataɓal jemma, haray ɓen malii. 
LUK.12.39	Ko fii andee fota, si tawno jom galle no andunoo nde ngujjo on araynoo wujjugol, haray o accataano galle makko ɗen fusee. 
LUK.12.40	Awa onon kadi hebilee, ko fii Ɓii-Aaden on aroyay e saa'i nde on sogitaaki.»
LUK.12.41	Onsay Petruusu wi'i mo kanko Iisaa: «Koohoojo amen, hara ngal misal ɗoo ko fii amen tun kaa ko fii yimɓe ɓen fow?»
LUK.12.42	Koohoojo on jaabii mo, wi'i: «Hara ko golloowo hombo reeniiɗo holniiɗo woni ko jom mun halfinta neemingol kurkaaɗi mun ɗin e saa'i haanuɗo? 
LUK.12.43	Maloore wonanii on jiyaaɗo mo jom mun ari tawi no jokkiri non. 
LUK.12.44	Ka haqiiqa mi andinii on, o halfinay mo jawle makko ɗen fow. 
LUK.12.45	Kono si on jiyaaɗo wi'itike: ‹Jom an neeɓii araali›, onsay, o nangana tilfugol kurkaaduuɓe ɓen worɓe e rewɓe e ɲaamugol yara haa mandila, 
LUK.12.46	jom on jiyaaɗo aray nde on jiyaaɗo sabbaaki mo e saa'i mo o sogitaaki, o letta mo lette sattuɗe, o waɗa mo ka ɓe gomɗinaa ɓen waɗetee ton.
LUK.12.47	«Jiyaaɗo anduɗo faaleeji jom mun ɗin, kono o eɓɓindaaki, maa o waɗaali faaleeji jom makko ɗin, o piyete piggal ɗuuɗungal. 
LUK.12.48	Kono si tawii non ontigi andaa faale jom mun on, o waɗii kuuɗe fodduɗe e donkineede, o foccete ko hawri. On okkoraaɗo ko ɗuuɗi ƴantete ko ɗuuɗi, awa kadi on halfinaaɗo ko ɗuuɗi landitoyte ko ɓurti.»
LUK.12.49	«Miɗo ari bugagol yiite e oo aduna, mi faalete hara nge huɓɓii! 
LUK.12.50	Kono no woodi loƴegol ngol mi loƴoytee, e maanaa ɗun ko tampere, ɗoo yo ɗun sollitanan, haray miɗo sonjii. 
LUK.12.51	E hara on sikku ko addugol ɓuttu e oo aduna mi arani? Oo'o, hinaa ɗun, kono ko liddondiral mi addi. 
LUK.12.52	Ko fii gila jooni njowo wonduɓe e nder suudu ɓe woncondiray, tato liddondiray e ɓeya ɗiɗo, ɓeya ɗiɗo kadi liddondira e ɓeya tato. 
LUK.12.53	Baaba liddondiray e ɓiɗɗo, ɓiɗɗo liddondira e baaba, neene liddondira e jiwo mun, jiwo kadi liddondira e neene mun, debbo liddondira e esiraawo mun jiwo, jiwo on kadi liddondira e esiraawo mun debbo.»
LUK.12.54	Iisaa wi'i kadi jamaa on: «No yiiruɗon duulere no immori ka hirnaange, on wi'ay kisan ‹ndiyan ɗan aray›, ɗun wonira non. 
LUK.12.55	Awa kadi no yiiruɗon hendu ndun iwrii sengo ɲaamo woo, on wi'ay ‹nguleendi ndin arii›, ɗun kadi waɗa. 
LUK.12.56	Ko onon yo faasiqiiɓe, on waawii faamude fii ko feeɲi ka leydi kon e ko feeɲi ka kammu kon. Ko fii honɗun non on waawaali andude oo saa'i fewndiiɗo ɗoo?
LUK.12.57	«Hara ko fii honɗun onon on waawataa faamande hoore mon ko feewi kon? 
LUK.12.58	Nde an e mo haɓiduɗaa hiɗon yaha ka yeesoojo on woo, waɗu feere no faamondiriron ka laawol, fii wota o watte e juuɗe ɲaawoowo on, on ɲaawoowo kadi watte e juuɗe aynooɓe kaso ngon, ɓen sokoye. 
LUK.12.59	Mi andinii ma, a yaltataa ɗon fannamaa a yoɓaali mbuuɗu sakkitoro on.»
LUK.13.1	Ko fewndo onsay, woɓɓe ari fillitanii Iisaa fii ɓee ɓe Jaliilu ɓe Pilaatu warnoo fewndo ɓe hirsata daabeeji fii ittugol sadakaaji maɓɓe. 
LUK.13.2	O jaabii ɓe kanko Iisaa, o wi'i: «Hara on sikku ɓen ɓe Jaliilu no ɓuri Jaliiluyankooɓe ɓen fow junuubu ɓay ɓe lettorii non? 
LUK.13.3	Min mi wi'ay on - oo'o! Kono si on tuubaali onon kadi, on fow on re'ay. 
LUK.13.4	Kaa hara on sikku ɓee sappoo e njeetato, ɓe nduu suudu aynirdu ka maadi Siluwaama yani e mun wari, no ɓuri ɓee ɓe Yerusalaam luttuɓe fow bakkatu? 
LUK.13.5	Min mi wi'ay on - oo'o! Kono si on tuubaali onon kadi, on fow on re'ay.»
LUK.13.6	Onsay o waɗani ɓe ngal misal ɗoo: «Tawi goɗɗo no marnoo ƴibbehi ka tutateeri mun. O ari ɗaɓɓugol ɓiɓɓe e makki, o heɓaali. 
LUK.13.7	Onsay o wi'i gollanoowo mo on ka tutateeri: ‹Heɓii nii duuɓi tati miɗo arude ɗaɓɓugol ɓiɓɓe e ngal leggal, mi heɓaali. Hara ko nafa honɗun ngal wonani ɗoo? Jooni soppu ngal!›
LUK.13.8	«Kono golloowo on jaabii mo, wi'i: ‹Jom an, accee ngal ɗoo ndee hitaande ɗoo. Ɗoo e ɗun mi jasay binde maggal on fow mi waɗana ngal ɲolu. 
LUK.13.9	No gasa ka ngal rima ko arata. Si ko liddu mun, onsay on soppoyay ngal.› »
LUK.13.10	Tawi ɲande goo Iisaa no jannaynoo e juulirde goo e *ɲalaande fowteteende nden, ɗun ko asewe. 
LUK.13.11	Tawi no ɗon debbo mo jinnawii jukkini heɓii duuɓi sappoo e jeetati, himo turii, o waawataano ɓantaade few. 
LUK.13.12	Ɓay Iisaa yi'ii mo, o noddi mo, o wi'i: «Debbo, a sendaama e jukkere maa nden!» 
LUK.13.13	Onsay Iisaa *fawi juuɗe mun ɗen e makko. Ɗon kisan debbo on feewi e darnde, o manti Allaahu on.
LUK.13.14	Kono yeesoojo juulirde nden seytini kon ko Iisaa ɲawndi ɲande asewe, o wi'i jamaa on: «No woodi balɗe jeegoo gaseteeɗe golleede e mun. Aree ɲawndeɗon e ɗen balɗe ɗon, hara hinaa e ɲalaande asewe!»
LUK.13.15	Koohoojo on jaabii mo, wi'i: «Ko onon yo faasiqiiɓe! Hinaa mo kala e mo'on yaltinay nagge mun maa mbabba mun ka dingiraa mun ɲande asewe, naɓa yarnoya? 
LUK.13.16	Hara oo debbo iwdi Ibraahiima mo Ibuliisa haɓɓi gila duuɓi sappoo e jeetati, haanaa ka o firtanee ɗin kaɓɓi ɲande ɲalaande fowteteende nden?»
LUK.13.17	Ɓay o yewtirii non, ɗun hersini ayɓe makko ɓen fow, kono jamaa luttuɗo on weltori ɗii piiji hittuɗi ɗi o waɗaynoo.
LUK.13.18	O wi'i fahin: «Hara ko honɗun *laamu Alla ngun nandi, maa ko honɗun mi eɓɓindirta e maggu? 
LUK.13.19	Hingu wa'i wa abbere bene nde goɗɗo ƴetti, bugii ka suntuure mun. Nden fuɗi, wonti leggal ngal colli ɗin ka weeyo arata hoɗa e calɗi mun.»
LUK.13.20	O wi'i kadi: «E ko honɗun mi eɓɓindirta e laamu Alla ngun? 
LUK.13.21	Hingu wa'i wa lewen mo debbo ƴetti, jillindiri e sariyaare tati condi farin, o piya ɗun, on lewen wona sabu ɗun fow ƴura.»
LUK.13.22	Ko Iisaa yahaynoo Yerusalaam, o rewayno koɗolun e koɗolii hara himo waajoo. 
LUK.13.23	Goɗɗo goo landii mo, wi'i: «Koohoojo, hara ko yimɓe seeɗaaɓe tun dandoytee?»
LUK.13.23	Onsay o wi'i ɓe: 
LUK.13.24	«Etee no naatiron ka dambugal faaɗungal, ko fii mi andinii on, buy ɗaɓɓoyay no naatira ɗon, kono ɓe waawoytaa. 
LUK.13.25	Nde jom galle ɗen immii ombi baafal ngal woo, hara hiɗon ka yaasi, onsay on fuɗɗoto honkande mo baafal ngal, wi'a: ‹Koohoojo, udditanee men!› O jaaboyto on, o wi'a: ‹Min mi andaa ko on ɓe honto!›
LUK.13.26	«Wi'on kadi: ‹Men ɲaamuno men yaridi e mon, awa kadi on waajotono ka ɗate amen.› 
LUK.13.27	O jaaboo on kadi, o wi'a: ‹Min mi andaa ko on ɓe honto. Onon ɓee waɗaynooɓe ko ɓoylii fow, pottitee lan!›
LUK.13.28	«Tuma yi'uɗon Ibraahiima e Issaaqa e Yaaquuba e ɓeya annabaaɓe heddiiɓe fow ka nder laamateeri Alla, tawa onon ko on bugoyteeɓe ka yaasi, ka wullaandu e ŋatindiro ɲiiƴe woni ton. 
LUK.13.29	Iwroyte funnaange e hirnaange, nano e ɲaamo, ɓe nafodoya ka laamateeri Alla. 
LUK.13.30	Awa andee wonde, no woodi ɓaawooɓe wontiroyayɓe yeeso, wano tawiri non kadi no woodi yeesooɓe wontiroyayɓe ɓaawo.»
LUK.13.31	Ko e on saa'i ɗon *Fariisiyaaɓe goo ari wi'i mo kanko Iisaa: «Yahu iwaa ɗoo, ko fii *Heroodu no faalaa sahinbinde ma!»
LUK.13.32	O wi'i ɓe: «Yahee hollon ndun saafaandu: Miɗo raɗaade jinnaaji ɗin, mi sellina ɲawɓe ɓen hande e jango, ka ɲalaande tammere haray timmanii lan. 
LUK.13.33	Kono bee mi seppa hande e jango e faɗɗi-jango, ko fii haanaa ka annabaajo waree ko wonaa Yerusalaam.
LUK.13.34	«Ee Yerusalaam! Ee Yerusalaam! Ko an yo saare sahinbinoore annabaaɓe, wariroore nelaaɓe e mun kaaƴe! Ko haa honto mi faalanoo mooɓude ɓee fayɓe maa wano gertogal mooɓirta coppi e ley gabitti mun, e hin-le on jaɓaali ɗun! 
LUK.13.35	Awa nokkuure mon nden eggaama. Kono mi andinii on, on yiitataa lan haa ɲande wi'oyton: ‹Yo barki wonan oo wonɗo arude e innde Joomiraaɗo on!› »
LUK.14.1	E *aseweere goo, ɗun ko *ɲalaande fowteteende nden, Iisaa naati e suudu hooreejo Fariisiyaaɓe ɓen fii nafagol, tawi ɓen Fariisiyaaɓe no tenƴina mo. 
LUK.14.2	Tawi aaden ɓuutuɗo no yeeso makko ɗon. 
LUK.14.3	Onsay Iisaa landii waawuɓe fii Sariya ɓen e Fariisiyaaɓe ɓen, o wi'i: «Hara no dagii ka ɲawndee e aseweere kaa dagaaki?» 
LUK.14.4	Kono ɓe fow ɓe deƴƴi. Onsay o ƴetti on ɲawɗo, o sellini, o acciti mo, on yahi.
LUK.14.5	Onsay o wi'i ɓe: «Ko hombo e mon, si ɓiɗɗo mun maa nagge mun aru e yanude e nder woyndu, salotoo nge ƴawnude maa ƴawna mo ɗon kisan fii nden ɲande ko asewe?» 
LUK.14.6	Laatii ɓe waawaali jaabaade hay huunde e ɗun.
LUK.14.7	Ɓay o yi'ii no ɓen saatinanooɓe suɓoraynoo ndaɗɗule yeesooje ɗen, o waɗani ɓe ngal misal ɗoo, o wi'i ɓe: 
LUK.14.8	«Si on aru e saatineede e peera, wota on wonu ka ndaɗɗule yeesooje fii hita taw ɓurɗo on hittude no saatinaa ɗon 
LUK.14.9	haa saatinɗo on on ara wi'a on: ‹Accanee oo ɗoo ndaɗɗudi ndin.› Onsay on hersay ruttagol ka ndaɗɗudi ɓaawoori. 
LUK.14.10	Kono tuma saatinaɗon woo, wontiree ɓaawo fii tuma nde saatinɗo on on ari woo, yo o wi'u on: ‹Giɗo an, aru wonaa yeeso gaa.› Onsay ɗun wonanay on teddungal e tawnde ɓen ɓe saatindinaɗon fow. 
LUK.14.11	Ko fii kala mawnintiniiɗo jippinoyte, awa kadi kala jippinɗo hoore mun mawninoyte.»
LUK.14.12	Onsay kanko Iisaa o wi'i saatinɗo mo on: «Nde hiɗa soƴƴina maa hirtina woo, wota a saatin yiɓɓe maa ɓen maa neene-gootooɓe maa ɓen maa musiɓɓe maa ɓen maa kawtalɓe maa alɗuɓe ɓen, fii wota kamɓe kadi ɓe saatine ɲande goo, ɗun wonane njoddi. 
LUK.14.13	Kono nde waɗataa caatal woo, saatin miskinɓe ɓen e jukkunnaaɓe ɓen, e maanaa boofooɓe ɓen e bumɓe ɓen. 
LUK.14.14	Ɗun a wonoyay malaaɗo, ko fii ɓen alaa ko yoɓitire, a yoɓitoyte ɲande ummutal feewuɓe ɓen.»
LUK.14.15	Ɓay goɗɗo e ɓe o nafodaynoo ɓen nanii ɗin konguɗi makko kanko Iisaa, o wi'i mo: «Maloore wonanoyay on nafoytooɗo ka *laamateeri Alla!»
LUK.14.16	Onsay Iisaa jaabii mo, wi'i: «Ɲande goo goɗɗo waɗuno caatal moolanaangal, o saatini yimɓe buy. 
LUK.14.17	Ɓay nafagol ngol fewndike, o nuli kurkaadu makko ndun yo on yahu wi'a ɓe o saatinnoo ɓen yo ɓen aru, ko fii hebulaama.
LUK.14.18	«Kono ɓe fow ɓe kuylitidi. Arano on e maɓɓe wi'i ndun kurkaadu: ‹Miɗo soodi ngesa, bee mi yaha mi ndaaroya mba. Mi torike mo yo o yaafo lan.› 
LUK.14.19	Goɗɗo on wi'i: ‹Miɗo soodi kalali sappo, miɗo yahude mi lasindoo ɗi, mi torike mo yo o yaafo lan.› 
LUK.14.20	Goɗɗo goo kadi wi'i: ‹Miɗo jombi neeɓaali, ko ɗun haɗata mi yaha.›
LUK.14.21	«Ɓay kurkaadu ndun hewtitii, o yottintini e jom makko ko o nulaa kon fow. Onsay jom galle on tikki, o wi'i ndun kurkaadu makko: ‹Yahu kisan e ɗate ɗen fow, njane e tosooke, addanoyaa mi miskinɓe ɓen e jukkunnaaɓe ɓen e bumɓe ɓen e boofooɓe ɓen fow.›
LUK.14.22	«Kurkaadu ndun wi'i: ‹Jom an, ko yamirɗon kon waɗaama, kono haa jooni ka jooɗee no lutti.›
LUK.14.23	«Onsay jom galle ɗen wi'i kurkaadu ndun: ‹Yahu haa ka fulawaa, takkoɗaa kowle ɗen fow, rewaa e ɗatoy koy fow, etoɗaa no yimɓe ɓen arda fii no ka an heewira. 
LUK.14.24	Ko fii mi andinii on, hay gooto e ɓee ɓe mi saatinnoo aranun mettotaako oo nafakka an!› »
LUK.14.25	Tawi jamaa moolanaaɗo no jokkondirnoo e Iisaa. O fewtiti ɓe, o wi'i: 
LUK.14.26	«Si goɗɗo arii e an, hara o woniraa selugol ben makko e yumma makko e ɓeyngu makko e ɓiɓɓe makko ɓen e neene-gootooɓe makko ɓen worɓe e rewɓe haa naɓani wonkii makko kin tigi, haray onɗon waawataa wonude taalibaajo an. 
LUK.14.27	Awa kadi kala mo ƴettaali *leggal mun altindiraangal ngal jokkimmi, haray ontigi waawataa wonude taalibaajo an.
LUK.14.28	«Hara ko hombo e mon si no faalaa darnude koore, ronkata jooɗaade taho, taskoo fii ko o eɓɓi kon si ko ko yonata? 
LUK.14.29	Kulol wota ootigi fuɗɗo ronka gaynude, fii wota yi'uɓe mo e ɗun ɓen fow jalu mo, 
LUK.14.30	wi'a: ‹Oo neɗɗo fuɗɗino darnude, kono o waawaali lannitaade!›
LUK.14.31	«Maa hara ko lanɗo hombo fokkitanta haɓidoygol e lanɗo goo mo konu mun woni embere yimɓe guluuje noogayo, hara kanko ngu makko ngun ko embere yimɓe guluuje sappo, ronkata jooɗaade taho, taskoo si o heɓoyay kutu maɓɓe? 
LUK.14.32	Si o tawii non o heɓoytaa kutu maɓɓe ɓay oya no woɗɗitii mo taho, o nelay e on fii yo on waɗan mo sartiiji no ɓuttu on tabitira. 
LUK.14.33	Ko ɗun waɗi, kala e mon mo woniraa seedugol e ko o jeyi kon, haray gasataa wonde taalibaajo an.
LUK.14.34	«Lanɗan ko huunde moƴƴere, kono si dakamme majjan on iwii, haray ko honno dakamme majjan on wattirtee? 
LUK.14.35	Haray ɗan alaa nafa ka leydi maa ka ɲolu, ko hawkoyteeɗan ka yaasi.
LUK.14.35	«Mo no mari noppi nanirɗi yo nanu!»
LUK.15.1	Ƴantooɓe sagalle ɓen fow wondude e junuubanke'en no ɓadotonoo Iisaa fii heɗagol mo. 
LUK.15.2	Fariisiyaaɓe* ɓen e jannooɓe fii Sariya on no ŋunaynoo hakkunde maɓɓe, wi'a: «Oo ɗoo kaɲun ɓannitay junuubanke'en, ɲaamida e maɓɓe!»
LUK.15.3	Onsay kanko Iisaa o waɗani ɓen ngal misal ɗoo, o wi'i: 
LUK.15.4	«Ko hombo e mon si no mari baali teemedere, gootii e ɗin majja, ronkata accude cappanɗe jeenay e jeenayji ɗin ka wulaa, yaha ɗaɓɓitoya majjungii ngin haa nde o yiitoyi ngii woo? 
LUK.15.5	Nde o yiitoyi ngii, o wakkoo ngii e hoore weltaare. 
LUK.15.6	Nde o hewtiti ka makko, o nodditay yiɓɓe makko ɓen e kawtalɓe makko ɓen, o wi'a ɓe: ‹Weltodee e an, ko fii mi yiitii baalii an majjunoongii ngin!› 
LUK.15.7	Mi andinii on, ko wano non kadi weltaare ɓurirta woodude ka kammu sabu junuubankeejo gooto tuubuɗo, edii feewuɓe cappanɗe njeenayo e njeenayo ɓe tuubuubuyee fawaaki ɗun.»
LUK.15.8	«Maa ko debbo hombo marɗo tammaaji sappo, si wooturu e ɗin majjirii mo, ronkata huɓɓude lampu, fitta suudu mun ndun, ɗaɓɓitira hakkil haa nde o yiiti ndu woo? 
LUK.15.9	Nde o yiiti ndu, o nodditay yiɓɓe makko ɓen wondude e kawtalɓe makko ɓen, o wi'a ɓe: ‹Weltodee e an, ko fii mi yiitii tammaaru an majjunoondu ndun!› 
LUK.15.10	Mi andinii on, ko wano non kadi malaa'ikaaɓe Alla ɓen weltorta tuma nde junuubankeejo gooto tuubi.»
LUK.15.11	O wi'i kadi: «Goɗɗo no marnoo ɓiɓɓe ɗiɗo. 
LUK.15.12	Toolaajo makko on wi'i mo: ‹Baaba an, jonnee lan geɓal an ngal mi haani hendoyaade ngal ka jawdi mon.› Onsay ben maɓɓe sendani ɓe jawdi mun ndin.
LUK.15.13	«Ɓay balɗe feƴƴii, toolaajo on mooɓi ko o jeyi kon fow, o yahi e leydi woɗɗundi, o funsitoyi ton jawdi makko ndin fow e nder jiiɓaare. 
LUK.15.14	Ɓay o lannii fewjande fow, heege tiiɗunge waɗi e ndin leydi. Onsay o fuɗɗaa ŋakkireede. 
LUK.15.15	O halfinoyii e goɗɗo goo jeyaaɗo e ndin leydi, on naɓi mo ka gese mun fii ko aynana ɗun koseeji mun ɗin. 
LUK.15.16	Himo faaletenoo ɲaamude neteeje ɗe koseeji ɗin ɲaamaynoo ɗen, kono hay gooto okkoraali mo.
LUK.15.17	«O luggini miijo, o wi'i: ‹Ko gollooɓe njelo ben an mari ɲaamooɓe haa luttina, hara min miɗo maaya ɗoo heege! 
LUK.15.18	Jooni non, miɗo yiltitaade ka ben an, mi wi'a ɓe: Baaben, mi waɗii junuubu ka Alla, mi heɓii hakkee mon, 
LUK.15.19	mi foddaa e noddeede ɓiɗɗo mon hande kadi. Jogoree lan wa golloowo mon.›
LUK.15.20	«Onsay o yiltitii ka ben makko. Ɓay o ɓadike, ben makko haynii mo, yurmaa mo. Tun ben makko dogi, hirbii mo, lunnii. 
LUK.15.21	Onsay on ɓiɗɗo makko wi'i mo: ‹Baaben, mi heɓii junuubu ka Alla mi heɓii hakkee mon, mi foddaa e noddeede ɓiɗɗo mon hande kadi!›
LUK.15.22	«Kono ben makko yamiri kurkaaduuɓe mun ɓen, o wi'i ɓe: ‹Yahee tinna addanon mo kaftaane ɓurɗo fotude on ɓornon mo, waɗanon mo hurundaare ka hondu e paɗe ko o wattoo.› 
LUK.15.23	O wi'i ɓe kadi: ‹Addoyee ga'un fayukun kun, hirson, ɲaamen, weltoɗen. 
LUK.15.24	Ko fii hari oo ɓiɗɗo an ɗoo ko mayɗo, kono jooni o wuuritii, hari kadi o majjii, kono jooni o yiitaama!› Onsay ɓe woni e fijugol weltoda.
LUK.15.25	«Ɗun hawrondiri afo makko on no ka ngesa. Ɓay on ɓadike ka hoɗo fewndo ko o artata, o nani hito gimi e gami. 
LUK.15.26	Tun o noddi golloowo maɓɓe goo fii ko humpita mo kon ko woni waɗude ka maɓɓe. 
LUK.15.27	On golloowo wi'i mo: ‹Miɲan maa hewtitii. Ɓay non o hewtitii e jam, ko sabu ɗun ben maa en hirsiri ga'un fayukun kun.›
LUK.15.28	«On seytini kisan, o salii naatude. Onsay ben makko yalti jeeji mo fii yo o naatu. 
LUK.15.29	Kono o wi'i ben makko: ‹E hino, waɗii nii duuɓi buy miɗo yanganaade on. Haa hande mi yeddaali on. Min-le hay nde wootere on okkaali lan hay be'un fii ko mi saatinira goreeɓe an ɓen. 
LUK.15.30	Kono ɓay oo ɓiɗɗo mon ɗoo dekkuɗo ndii jawdi mon dekkidi ndi e waɗooɓe jinaa artii, onɗon on hirsanii mo ga'un fayukun kun!›
LUK.15.31	«Ben makko wi'i mo: ‹An non boobo an, ɲande woo hiɗen wondi. Ko mi mari kon fow ko an jeyi. 
LUK.15.32	Kono mi taw bee mi weltoo, mi waɗa welo-welo, ɓay hari oo miɲɲiraawo maa ɗoo ko mayɗo, kono jooni o wuuritii, hari kadi o majjii, kono jooni o yiitaama.› »
LUK.16.1	Iisaa wi'i taalibaaɓe mun ɓen kadi: «No woodunoo aaden galo marɗo mbatulaajo, tawi on mbatulaajo makko no ɲo'iraa funsugol jawdi on galo. 
LUK.16.2	O noddi on mbatulaajo, o wi'i mo: ‹Ko honɗun mi woni nanude e hoore maa? Jittanan no wonɗaa gollirde, ko fii a waawataa wonude mbatulaajo an hande kadi.›
LUK.16.3	«Onsay mbatulaajo on wi'itii: ‹Hara ko honɗun mi waɗata jooni, ɓay jom an no ittude lan wonugol mbatulaajo makko? E hin-le mi maraa doole remugol, awa kadi toragol no hersinanii lan. 
LUK.16.4	Mi andii ko mi waɗa fii yo mi heɓoy ko wernammi ka mun tuma mi ittaa e mbatulayaagal.›
LUK.16.5	«Onsay o nodditi kala joganiiɓe jom makko ɓen. O wi'i arano on: ‹Ko jelu joganiɗaa jom an?› 
LUK.16.6	On jaabii: ‹Ko tankonje teemedere nebban.› Ontuma mbatulaajo on wi'i mo: ‹Jooɗo kisan, ƴettaa kaydi maa ndin, windaa ko cappanɗe jowi joganiɗaa mo.›
LUK.16.7	«O wi'i goɗɗo goo kadi: ‹An-le ko jelu joganiɗaa mo?› On jaabii: ‹Ko bootooji teemedere ngawri.› O wi'i onɗon kadi: ‹Ƴettu kaydi maa ndin, windaa ko bootooji cappanɗe jeetati joganiɗaa mo.›
LUK.16.8	«Onsay jom on mbatulaajo ɓoyliiɗo manti mo sabu kon ko on golliri ƴoyre. Ko fii fayɓe nguu jamaanu no ƴoƴi telen ɲokondooɓe mun ɓen ɓuri fayɓe jeyaaɓe ɓen ka ndaygu. 
LUK.16.9	Min-le mi wi'ay on: yo on ɗaɓɓir ɗee jawle adunayankeeje yiɓɓe, fii tuma nde ɗen lanniroyi on, yo on wernoye ka galleeji poomayankeeji.
LUK.16.10	«Mo nunɗii e hoore ko fanɗi, o nunɗay e hoore ko mawni. Awa kadi mo nunɗaali e hoore ko fanɗi, o nunɗataa e hoore ko mawni. 
LUK.16.11	Si tawii non on nunɗaali e hoore jawle adunayankeeje ɗen, haray ko hombo halfinoyta on jawle haqiiqaaje ɗen? 
LUK.16.12	Awa kadi si on nunɗaali e hoore ngel goɗɗo ngel, ko hombo jonnoyta on ko mon kon?
LUK.16.13	«Golloowo hay gooto waawataa gollande jeyɓe ɗun ɗiɗo, ko fii o aɲay oya, o yiɗa oya, maa o haɓɓoo e oya, o itta bote e oya. Ko ɗun waɗi si on waawataa rewude Alla, rewon jawdi.»
LUK.16.14	Fariisiyaaɓe* ɓen e yiɗude mun kaalisi no heɗotonoo ɗun fow liɓa bote e Iisaa. 
LUK.16.15	O wi'i ɓe: «Onon hiɗon waɗi hoore mon feewuɓe e yeeso yimɓe ɓen, kono Allaahu on kaɲun no andi ko woni ka ɓerɗe mon. Ko fii ko yimɓe ɓen ɓanti fii mun kon ko ɲidduɗun yeeso Alla.
LUK.16.16	«Awa ko Sariya on e defte annabaaɓe ɓen wonnoo haa fewndo Yaayaa. Kono gila e fewndo Yaayaa, Kibaaru Moƴƴo fii *laamu Alla ngun no feɲɲineede, mo kala no huutorde doole fii naatugol ɗon. 
LUK.16.17	Kono mi andinii on: kammu ngun e leydi ndin mutude no ɓuri newaade edii ciifun gootun wonkun ka Sariya monteede.
LUK.16.18	«Kala accituɗo ɓeyngu mun, ƴetti goɗɗo goo, haray ontigi jeenii. Awa kadi kala ƴettuɗo debbo seedaaɗo, haray onɗon kadi jeenii.
LUK.16.19	«Hari no woodunoo aaden galo ɓornotonooɗo conci dimi firsiniraaɗi ko wojji, waɗaynooɗo ɲande woo welii e fotii. 
LUK.16.20	Tawi miskiino wi'eteeɗo Laazaru mo ɓandu mun fow temmaa no waalii ka dambugal makko. 
LUK.16.21	On no faaletenoo hendaade ɲaameteeji luttaynooɗi ɗin ka on galo. Tawi hay bareeji ɗin arayno metta ɗen temmeeje makko.
LUK.16.22	«Ɲande goo on miskiino maayi, malaa'ikaaɓe ɓen naɓi mo tawtinoyi Ibraahiima. On galo kadi maayi, surraa. 
LUK.16.23	Ka jahannama, tawi on galo no e nder lette, o ɓanti gite, o haynii Laazaru takko Ibraahiima ka woɗɗitii. 
LUK.16.24	O ewnii, o wi'i: ‹Baaba an Ibraahiima, yurme lan, yamiraa Laazaru yo o jullu hondu makko ndun ka ndiyan, o ara o ɓuɓɓinanammi ɗenngal an ngal. Ko fii miɗo tampi ka yiite gaa!›
LUK.16.25	«Ibraahiima jaabii mo, wi'i: ‹Boobo an, anditu an a hendinoke moƴƴereeji maa ɗin ka aduna, wano non kadi Laazaru yeɗinoke ton tampereeji. Jooni non kanko ɓernde makko ɓuttinaama ɗoo, an hiɗa tampude. 
LUK.16.26	E hoore ɗun kadi, wimbo moolanaango no waɗaa hakkunde men fii wota faalaaɓe iwde gaa yaha ton ɓen waawu ɗun, wano non onon kadi wota on waawu lumbitirde gaa.›
LUK.16.27	«Onsay on galo wi'i: ‹Awa mi torike ma yo baaba an, nelanan Laazaru ka galle ben an 
LUK.16.28	haa e ɓee neene-gootooɓe an njowo, o hajoyoo ɓe ɗun fii wota kamɓe kadi ɓe aroy e ndee nokkuure lette.›
LUK.16.29	«Onsay Ibraahiima jaabii mo, wi'i: ‹Hiɓe jogii ton deftere Muusaa nden e defte ɓeya annabaaɓe, yo ɓe heɗo ɗen.›
