MAT.1.1	Leꞌe naŋ titinge loumwah tikin Jisas Krais. Loumwah kin kiŋ Dewit hindi Abraham.
LUK.14.11	Taꞌe luku pe, lahmende ŋaiye ka ahraꞌe naŋ kitikin pe, mindemboi ka guh tuweihe. Kut lahmende ŋaiye ka tule naŋ kitikin pe, mindemboi ka ahraꞌe kin e unuh hlaꞌ.”
LUK.14.12	Miꞌe pe, Jisas ŋaname yai tehei yokoh uku na, “Ŋupe ŋaiye na ende ŋai pe, yukur na gil lenge miyeꞌ yaŋam, toꞌ tatai, wim ilyeh, ŋemei lakai lenge miyeꞌ lowe ŋilyehme, na pakai. Ŋaiye na ende tuꞌe luku pe, ki taꞌe ŋaiye ni ŋasande nange ka plihe yisilih nin ŋaiye na el yukoh tinge pe, yitini nin, nin si nambaꞌe yehe. 
LUK.14.13	Kom ŋupe ŋaiye na ende ŋai embere ende pe, na gil lenge ŋaipwa ŋiꞌ, miyeꞌ ŋaiye ŋihip syep nule, topoꞌ lenge ŋembep tangare ŋaiye ka yut yono ŋai uku. 
LUK.14.14	Pe ŋaiye nin na ende tuꞌe luku pe, nin na hriphrip sekete. Detale, tinge yukur tatame ŋaiye mindemboi ka plihe yungwisme ŋai uku, pakai. Kom mindemboi Got se ka yule yitini bwore ŋupe ŋaiye ka ahraꞌe lenge miyeꞌ tuweinge bwore bwarme ŋaiye si yule.”
LUK.14.15	O miyeꞌ titinge ende ŋaiye narp ŋono ŋai topoꞌe Jisas ŋasande taꞌe luku pe, ki ŋaname Jisas na, “Iyai, mise, lenge mitiŋ lalme ŋaiye ka yono ŋai yurp yi yoto lemame tikin Got pe, se ka hriphrip embere sekete!” 
LUK.14.16	Pe Jisas ŋaname wusyep tap ende na, “Miyeꞌ ende ŋende ŋai embere pe, kin gal lenge miyeꞌ tuweinge wula wula ŋaiye ka yute yono ŋai kin. 
LUK.14.17	Ŋup sihei ŋaiye ka yono ŋai embere luku pe, ki nember miyeꞌ wah kin ende nange ka ini lenge mitiŋ ŋaiye kin si nalaŋatme ka yute yono ŋai ŋaiye kin si ŋende miꞌmiꞌ. 
LUK.14.18	Kom ŋoihmbwaip tinge lalme sai me ŋaiꞌe ŋaiꞌe tetehei pe, tinge jarnge ŋaiye ka yil. Taꞌe pe, miyeꞌ ŋendehei ŋaname miyeꞌ wah uku na, ‘Hai, ŋam yukur tatame ma mil. Ŋam da mi metekeꞌe kekep ambaran ende ŋaiye tukwini ŋam mambaꞌe.’ 
LUK.14.19	O miyeꞌ ende plihe ŋaname miyeꞌ wah na, ‘O ŋam pakai. Tukwini ŋam miche wuhyau mambaꞌe workau 10 pe, ŋam mal la sisipe lenge metekeꞌe na tinge yende wah bwore lakai. Taꞌe luku pe, ŋam yukur tatame ma mil, pakai.’ 
LUK.14.20	O ŋaiye hun kin ŋanange na, ‘Tukwini leꞌe ŋam dindiꞌ ambaran pe, ŋam sisyeme nange yukur ma se mil, pakai.’
LUK.14.21	Taꞌe luku pe, miyeꞌ wah uku plihe na ŋaname miyeꞌ ondoh kin me wusyep lalme luku ŋaiye tinge si yaname. Miꞌe pe, miyeꞌ ondoh uku ŋoihmbwaip kin tuhyul supule pe, ki ŋaname miyeꞌ wah kin na, ‘Hwihwai e tus el moi embere pe, na el ŋahwikin embere topoꞌme ŋahwikin lombo ambaꞌ lenge ŋaipwa ŋiꞌ, topoꞌ lenge ŋembep tangare, topoꞌ lenge ŋihip syep nule enge lenge ot.’ 
LUK.14.22	Miꞌe pe, miyeꞌ wah plihe nate ŋaname na, ‘Iyai, ŋam si mende wah gwande wusyep nin, kom dou syeꞌ teter sai me mitiŋ wula wula.’ 
LUK.14.23	Pe miyeꞌ ondoh uku plihe ŋaname miyeꞌ wah kin na, ‘Plihe e tus ŋahwikin embere, topoꞌe el ŋahwikin lombo sisikirpe ŋaiye sai wohe pe, na ende wah nihe ini lenge ŋaiye tinge ka yut. Detale, ŋam masande yokoh ŋam ka paparar.’ ” 
LUK.14.24	Pe Jisas ŋana lenge na, “Wusyep eꞌe bwore mise. Lenge miyeꞌ tuweinge ŋendehei ŋaiye ŋam gwal lenge no, tinge jarnge pe, tinge yukur tatame ŋaiye ka yi yoto lemame tikin Got no, ka yono ŋai topoꞌme ŋam, pakai.”
LUK.14.25	Miꞌe pe, lenge miyeꞌ tuweinge wondoh embere yate jande Jisas yal yaŋah pe, kin bunjenge ŋana lenge na, 
LUK.14.26	“Lahmende ŋaiye ŋasande ka gunde ŋam pe, kin ka ende nihararme ŋam engelyembe yai mam kin, topoꞌ lenge tuweinge talah kin, topoꞌ lenge toꞌ tatai, mihyen, yuruwai topoꞌme laip kitikin. Tu pakai pe, yukur tatame ka se gunde ŋam, pakai. 
LUK.14.27	Lahmende ŋaiye yukur nikirh loutungwarmbe kin gande ŋam pe, yukur tatame ka gunde ŋam, pakai. 
LUK.14.28	O ŋaiye miyeꞌ ende ŋasande ŋaiye ka guhurꞌe yokoh pe, ŋendeheiyeh ka ŋoiheryembe bworerme ŋaiꞌe ŋaiꞌe ŋaiye ka enge ahraꞌe yokoh uku. 
LUK.14.29	Tu pakai pe, ka dondowonge ilyehme depe ka si pe, lenge mitiŋ lalme ka yesenetme kin. 
LUK.14.30	Ka yende wi yininge na, ‘Hai, yetekeꞌe miyeꞌ eꞌe. Kin de ka guhurꞌe yokoh, kom kin behembuhu ŋende no, yukur kin ŋoiheryembe bworerme ŋaiꞌe ŋaiꞌe ŋaiye ka enge ahraꞌe yokoh kin.’
LUK.14.31	O rop ende kin taꞌe leꞌe. Ŋaiye miyeꞌ ondoh moi ende da enge lenge miyeꞌ wondoh kin yala yurmbe topoꞌme miyeꞌ wondoh moi ende pe, ka ŋoiheryembe bworerme yer ti, kin ka iyarꞌe ŋaiye miyeꞌ wondoh 10,000 kin tatame ka yurmbe topoꞌe miyeꞌ wondoh 20,000 moi ende. 
LUK.14.32	Ŋaiye kin teter narp wohe no, kin si netekeꞌe nange kin yukur tatame pe, ka ember lenge miyeꞌ syeꞌ ŋaiye ka hwihwai hri yil la yupwaiꞌe wusyep michukor yotop tinge.” 
LUK.14.33	Pe Jisas plihe ŋana lenge na, “Taꞌe luku pe, lahmende ŋasande ŋaiye ka gunde ŋam pe, ka osme ŋaiꞌe ŋaiꞌe lalme kin, topoꞌe ŋoihmbwaip kin ka teŋeime ŋam ŋilyehe si.”
LUK.14.34+LUK.14.35	“Ŋendeheiyeh kin, tihir ki bwore nehe, kom ŋaiye nehe kin ka miꞌe pe, yukur tatame ŋaiye ma se mende ŋainde no, ka plihe nehe, pakai. Ki si bilmbil, topoꞌe yukur ya menge tihir uku mende ŋainde no, ka bwore, pakai supule. Si pupwa yehe. Taꞌe luku pe, poi miche mal. Mungwim gale si, yisyunde yoworme wusyep ŋaiye ŋam manange!”
LUK.15.2	Kom lenge Farisi topoꞌ lenge jetmam tikin wusyep erŋeme yanange wusyep teket me kin yanange na, “Hai, miyeꞌ eꞌe ki ŋirir lenge miyeꞌ tuweinge pupwa ŋaiye yatme kin, topoꞌe ki ŋotop lenge ŋono ŋai narp ilyeh!” 
LUK.15.3	Pe Jisas plihe ŋana lenge wusyep tapimbilme ende taꞌe leꞌe, 
LUK.15.4	“O ŋaiye ŋende yip iki embepeteme worsip 100 no, ŋoinde ki talai pe, ka ende tuꞌe la? Se ka osme worsip 99 ka jin yono peperiyeh, kut ka e ekepe ŋilyeh uku e tutume ŋaiye ka etekeꞌe. 
LUK.15.5+LUK.15.6	Ŋupe ŋaiye ka etekeꞌe pe, ka irirme ambaꞌe ikil e unuh melem kin pe, ka enge el moi. Pe ka gil lenge miyeꞌ yaŋam kin topoꞌme lenge moi ilyeh kin ka yute juhilyeh ŋaiye ka hriphrip topoꞌe kin. Detale, kin si netekeꞌe worsip kin ŋaiye somohon talai pe, kin hriphrip embere sekete.
LUK.15.7	Bwore mise, ŋam mana yip, ŋupe ŋaiye miyeꞌ esep ilyeh ka imbilme ŋoihmbwaip osme pupwa kin pe, Got topoꞌe ka hriphrip embere sekete. Kom lenge mitiŋ 99 ŋaiye tinge ŋoihyeryembe nange tinge si bwore bwarme no, tinge yukur yimbilme ŋoihmbwaip pe, yukur Got ka hriphrip me tinge, pakai.”
LUK.15.8	“O ŋaiye tuwei ende wenge wuhyau mape syepumbur umbur lalme, kom ti wangalaime wuhyau mape ende wa woto yokoh meleꞌe pe, ta wende tuꞌe la? Ta se weŋelꞌe nih topoꞌe ta wenge timinyenge wuhwarnge yukoh meleꞌe wekepe wuhyau uku pe, ta bep wosoko wilꞌe wilꞌe bworerme tutume ŋaiye ta wetekeꞌe. 
LUK.15.9	Ŋupe ŋaiye ta wetekeꞌe pe, ta gwil lenge ŋemei ti, topoꞌe lenge moi ilyeh ti ka yute juhilyeh ŋaiye ka hriphrip topoꞌe ti. Detale, ti si wetekeꞌe wuhyau ti ŋaiye somohon talai pe, ti hriphrip embere sekete. 
LUK.15.10	Bwore mise, ŋam mana yip, ŋupe ŋaiye miyeꞌ esep ilyeh ka imbilme ŋoihmbwaip osme pupwa kin pe, lenge walip hlaꞌ tikin Got topoꞌe ka hriphrip embere sekete.”
LUK.15.11	Jisas neŋelꞌe ŋanange na, “O miyeꞌ ende pe, talah miyeꞌ kin hoi. 
LUK.15.12	Pe miyeꞌ yuwo ŋisilihme yai kin nange ka iyarꞌe ŋaiꞌe ŋaiꞌe kin aŋaꞌe. Taꞌe luku pe, ki ŋiyarꞌe ŋaiꞌe ŋaiꞌe tongonose talah miyeꞌ kin hoi. 
LUK.15.13	Kom talah yuwo luku ŋende windau me ŋaiꞌe ŋaiꞌe kin lalme nambaꞌe wuhyau. Miꞌe pe, kin nasme moi tiheinge kin nal moi ende wohe pe, ki ŋiche wuhyau kin lalme nalme ŋaiꞌe ŋaiꞌe tetehei pupwa. 
LUK.15.14	Ŋupe ŋaiye kin si ŋiche wuhyau kin lalme miꞌe pe, ŋasarp embere ki tahar nato moi uku. Taꞌe luku pe, miyeꞌ uku nimbot onombe kin embere sekete pe, ka tingini ŋaimune? Pakai supule. 
LUK.15.15	Taꞌe luku pe, miyeꞌ ende moi uku naŋaꞌe kin wah pe, kin nember kin nal moi bwahe nange ka embepeteme hroꞌ kin. 
LUK.15.16	Dindiꞌ ŋup uku ŋaiye ki ŋiche hapakau hiꞌ na gah lenge hroꞌ no, ka yono pe, ki ŋasande nange kin topoꞌe ka ono syeꞌ. Kom yukur lahende naŋaꞌe ŋai ŋaiye ka ono. Yohoꞌ supule.
LUK.15.17	Ŋupe ŋaiye ŋoihmbwaip bwore natme kin pe, kin ŋoiheryembe na, ‘Lenge miyeꞌ wah yai ŋam tinge yono ŋai tapam, kom ŋam eꞌe nimbot pwambe gere ŋoih marp. 
LUK.15.18	Taꞌe luku pe, ma plihe milme yai ŋam pe, ma minime kin na, “Ŋam si mende pupwa malme ŋembep tikin Got topoꞌme nin. 
LUK.15.19	Ŋam pupwa supule, topoꞌe yukur bwore tatame ŋaiye na gil ŋam talah nin. Kom tatame ŋaiye na pule wah syeꞌ ma mende tuꞌe ŋaiye lenge miyeꞌ wah nin yende?” ’ 
LUK.15.20	Kin ŋoiheryembe taꞌe luku pe, kin plihe tahar nalme yai kin. Ŋupe ŋaiye kin da el siheime yokoh yai kin pe, yai kin netekeꞌe pe, ŋoihmbwaip kin ginirme kin supule. Taꞌe luku pe, ki gertetenge nal nerŋe orope kin pe, ki ŋirirme. 
LUK.15.21	Pe talah ŋaname yai kin na, ‘Yai, ŋam si mende pupwa mal ŋembep tikin Got topoꞌme nin. Ŋam pupwa supule, topoꞌe yukur bwore tatame ŋaiye na gil ŋam talah nin.’
LUK.15.22	Kom yai kin gal lenge miyeꞌ wah kin ŋanange na, ‘Hwihwai yambaꞌe hihyilih bwore miꞌ supule yenge yut ŋaiye ya mendendeꞌme kin, topoꞌe ring ya mungul munuh syep lombo kin, topoꞌe ŋihip hiꞌ ya mungul munuh ŋihip kin. 
LUK.15.23	Pe yi yonombe yuwor kau ŋumbwahe embere liki ŋaiye somohon poi malaŋasme gan nange ya mende ŋai embere pe, pa yenge yut ŋaiye ya mende ŋai embere hriphrip me talah ŋam. 
LUK.15.24	O talah ŋam eꞌe, ki taꞌe ŋaiye somohon kin nule, kom tukwini ki plihe narp. Topoꞌe ki taꞌe ŋaiye kin si talai, kom tukwini poi plihe mambaꞌe kin.’ Taꞌe luku pe, tinge tahar yende ŋai embere hriphrip me kin.
LUK.15.25	Dindiꞌ ŋup uku, talah ondohe teter gan wah. Ŋupe ŋaiye kin nase wah nate gere siheime yokoh pe, ki ŋasande wenersep embere. 
LUK.15.26	Taꞌe luku pe, kin galme miyeꞌ wah ende nate ŋisilihme kin ŋaiye tinge yende ŋaimune. 
LUK.15.27	Miyeꞌ wah uku nungwisme na, ‘Toꞌ nin si plihe nat. Pe kin narp bwore. Taꞌe luku pe, yai nin si ŋonombe workau ŋumbwahe embere liki ŋaiye somohon poi malaŋasme gan.’
LUK.15.28	Kom talah ondohe ŋoih kin tuhyul pe, ki garnge ŋaiye ka e orp top lenge hriphrip me toꞌ kin. Taꞌe pe, yai kin nate tas ŋisilihme kin bongol ŋaiye ka ote oto hriphrip me toꞌ kin. 
LUK.15.29	Kom talah ondohe ŋaname yai kin na, ‘Etekeꞌe, wahtaip wula wula ŋam mende wah nihe taꞌe ŋaiye miyeꞌ wah nin, topoꞌe yukur ŋam mengelyembe wusyep nin ende, pakai. Kom yukur de sikirp ni pwale yowor ende ŋaiye ma motop lenge miyeꞌ yaŋam ŋam ya mende ŋai mono. Pakai supule. 
LUK.15.30	O talah nin iki, si ŋiche wuhyau nin lalme nal lenge tuweinge yaŋah. Kom ŋupe ŋaiye ki plihe nat moi pe, ni ŋonombe workau ŋembere miꞌ supule ŋaiye poi si malaŋasme gan iki pe, nin de ŋai hriphrip nirirme kin kuli!’
LUK.15.31	Yai ŋaname na, ‘Talah ŋam, nyermbe nyermbe poi berei marp eꞌe pe, ŋaiꞌe ŋaiꞌe ŋam lalme ŋaiye sai eꞌe pe, ŋaiꞌe ŋaiꞌe nin ko. 
LUK.15.32	Kom ki bwore ŋaiye poi mende ŋai embere hriphrip me kin. Detale, ki taꞌe ŋaiye somohon kin nule, kom tukwini ki plihe narp. Topoꞌe ki taꞌe ŋaiye ki talai, kom tukwini poi plihe mambaꞌe kin.’ ”
LUK.16.1	Jisas plihe ŋana lenge jetalah kin wusyep tap ende na, “Somohonme miyeꞌ lowe ende nalaŋatme miyeꞌ wah ende ŋaiye ka embepeteme wah wuhyau kin. Kom ŋup ende miyeꞌ lowe ŋasande wusyep nange miyeꞌ wah kin ŋende ŋendei wuhyau kin syeꞌ. 
LUK.16.2	Taꞌe luku pe, kin galme miyeꞌ wah kin nate ŋisilihme na, ‘Ŋam masande wusyep nange nin si de ŋendei me wuhyau ŋam syeꞌ. Taꞌe pe, ŋam masande ŋaiye na inge wusyep me wah nin no, ma miyarꞌe. Kom ŋaiye nin si ŋende pupwa pe, wah nin miꞌe ko.’ 
LUK.16.3	Miyeꞌ wah uku ŋoiheryembe kitikin na, ‘Ma mende tuꞌe la? Miyeꞌ ondoh ŋam se ka ginyenme ŋam wah. Ŋam yukur tatame ŋaiye ma mende wah embere bongol bongol, topoꞌe ŋam pwa hiꞌe ŋaiye ma tingilme ŋai. 
LUK.16.4	Tukwini ŋam si sisyeme ŋaimune ŋaiye ma mende no, ŋupe ŋaiye miyeꞌ ondoh ka ginyen ŋam wah pe, lenge mitiŋ ka hriphrip pe, ka yambaꞌ ŋam yenge yil yokoh tinge.’ 
LUK.16.5	Taꞌe luku pe, miyeꞌ wah uku yul gal lenge mitiŋ lalme ŋaiye wuyah tinge tuwihme miyeꞌ ondoh kin yat pe, ki ŋisilihme miyeꞌ ŋendehei na, ‘Wuyah nin yukuriye sai me miyeꞌ ondoh ŋam?’ 
LUK.16.6	Miyeꞌ ŋendehei ŋaname na, ‘O somohon kin pwale ŋam dram 100 olip winyeꞌ.’
LUK.16.7	Pe ki ŋisilihme miyeꞌ ende na, ‘O wuyah nin yukuriye?’ Miyeꞌ uku ŋaname na, ‘Tem 1,000 peperiyeh kakah esep.’ Taꞌe pe, miyeꞌ wah ŋaname kin na, ‘Isilꞌe tem 200, kut tem 800 ka si ŋaiye na ungwisme wuyah nin.’
LUK.16.8	Pe ŋupe ŋaiye miyeꞌ ondoh uku ŋasande ŋaimun ŋaiye miyeꞌ wah kin ŋende pe, kin hriphrip me kin. Detale, ŋoihmbwaip kin ŋowor tirtatar pe, ki ŋende wah ŋahaiꞌe yaŋah ŋaiye mitiŋ ka hriphrip me kin. Kom detale ti lenge miyeꞌ tuweinge kekep eꞌe yende wah nihe taꞌe luku yalme lenge mitiŋ ŋaiye ka ŋoihmbwaip bwore me tinge, kut lenge miyeꞌ tuweinge tikin Got pakai? 
LUK.16.9	Kom ŋam mana yip, pa yangange wuhyau, topoꞌe ŋaiꞌe ŋaiꞌe kekep yil lenge mitiŋ ŋaiye seheiꞌe ŋaiꞌe ŋaiꞌe, topoꞌe lenge ŋaipwa ŋiꞌ ŋaiye ka yende ŋemei topoꞌme yip. Ŋup ende wuhyau topoꞌe ŋaiꞌe ŋaiꞌe kekep ka miꞌe. Kom ŋaiye pa yende tuꞌe luku pe, Got se ka hriphrip me yip, topoꞌe ka ambaꞌe yip enge el yokoh kin e unuh moihlaꞌ.
LUK.16.10	Lahmende ŋaiye embepeteme ŋaiꞌe ŋaiꞌe malaih bworerme pe, kin topoꞌe tatame ŋaiye ka embepeteme ŋaiꞌe ŋaiꞌe ŋembere. Kom lahmende ŋaiye yukur embepeteme ŋaiꞌe ŋaiꞌe malaih bworerme pe, kin yukur tatame ŋaiye ka embepeteme ŋaiꞌe ŋaiꞌe ŋembere. 
LUK.16.11	Taꞌe luku pe, ŋaiye yip yukur yembepeteme wuhyau, topoꞌe ŋaiꞌe ŋaiꞌe kekep eꞌe bworerme no, yip yukur yungwisme lenge miyeꞌ tuweinge pe, yukur Got ka se yul yip yitini mise kitikin. 
LUK.16.12	Ŋaiye yip yukur yembepeteme ŋaiꞌe ŋaiꞌe titinge mitiŋ bworerme pe, yukur Got ka se yul yip yitini nanah moihlaꞌ, pakai. 
LUK.16.13	Yukur tatame ŋaiye pa yende wah me miyeꞌ ondoh hoi, pakai. Detale, pa yende nihararme ŋoinde, o pa jirnge ŋoinde, topoꞌe pa yusyunde wusyep ŋoinde, kut pa yaŋaꞌe teket me ŋoinde. Yukur tatame ŋaiye pa yasarꞌe ŋembep me Got topoꞌe wuhyau.”
LUK.16.14	Lenge Farisi ŋaiye ŋoihmbwaip tinge teŋeime wuhyau yasande taꞌe luku pe, tinge yende wime Jisas. 
LUK.16.15	Pe Jisas ŋana lenge na, “Yip bep jahe jahme yip tip nange yip bwore bwarme yal ŋembep lenge mitiŋ, kom Got si sisyeme ŋoihmbwaip yip. Ŋaimune ŋaiye lenge miyeꞌ tuweinge ŋoiheryembe nange ki ŋembere me tinge pe, nato ŋembep tikin Got pe, ki luh paka pakaiye. 
LUK.16.16	Somohonme nate gere tukwini pe, yip si yasande wusyep upwaiꞌe tikin Got ŋaiye sai nato Tup tikin Got, nal ŋendeheiyeh ŋaiye Moses ŋember wusyep erŋeme tikin Got na gere wusyep lenge profet lalme pe, ki taꞌe luku na tatame ŋaiye Jon Baptais tahar ŋende wah kin. Kom tukwini nenge nal pe, wusyep bwore me lemame tikin Got sisil nalꞌe nalꞌe pe, lenge miyeꞌ tuweinge ilyeh ilyeh yende bongol yahaiꞌe yaŋah ŋaiye ka yi yoto. 
LUK.16.17	Bwore mise, moihlaꞌ topoꞌe kekep ka miꞌe, kut wusyep erŋeme tikin Got malaih ende yukur ka se talai, pakai supule.”
LUK.16.19	Jisas plihe ŋanange wusyep tap ende na, “Somohonme miyeꞌ lowe ende narp pe, nye nyermbe ki dendeꞌ hihyilih miꞌ supule, topoꞌe ki ŋono ŋai bwore bwore. 
LUK.16.20	Pe lenge mitiŋ syeꞌ yenge miyeꞌ ŋaipwa ŋiꞌ ende, naŋ kin Lasarus, yate yember kohmap miyeꞌ lowe uku. Sisyep wararaimbe wahriꞌ kin lalme. Nye nyermbe kin nal yokoh miyeꞌ lowe luku pe, 
LUK.16.21	ki ŋasande nange ka ono ŋai temben ŋaiye ka derndur guh kekep ŋupe ŋaiye miyeꞌ lowe luku ŋono ŋai. Kin narp uku pe, lenge ŋumbwat yate yenge ŋilim yihyete sisyep kin.
LUK.16.22	O ŋupe ŋaiye Lasarus nule pe, lenge walip hlaꞌ yenge kin yal moihlaꞌ pe, kin narp topoꞌme loumwah poi Abraham. Ŋup ende pe, miyeꞌ lowe luku topoꞌe, kin nule pe, tinge yinise kin. 
LUK.16.23	Kom kin nal luh moi lenge miyeꞌ yule pe, kin nambaꞌe nihe syohe ŋembere supule. Pe kin bep nanah tekeꞌe Abraham hindi Lasarus yarp wohe pe, 
LUK.16.24	kin galme Abraham ŋaname na, ‘Yai Abraham, ŋam mambaꞌe nihe syohe ŋembere supule ŋaiye ŋam marp moto nih eꞌe. Taꞌe luku pe, na ŋoihginirme ŋam pe, ember Lasarus ka e inyer syep lombo kin e guh pinip ti, ka ote usuwaꞌe ŋilim ŋam ka singe sikirp.’ 
LUK.16.25	Kom Abraham ŋaname na, ‘Talah ŋam, te ŋoiheryembe, somohonme ŋaiye nin narp kekep pe, nin nambaꞌe ŋaiꞌe ŋaiꞌe bwore bwore, kut Lasarus nambaꞌe ŋaiꞌe ŋaiꞌe pupwa. Kom tukwini pe, kin narp hriphrip embere sekete, kut nin nambaꞌe nihe syohe supule. 
LUK.16.26	Ŋoinde kin taꞌe leꞌe, Got si ŋiche ŋeheh embere ŋaiye gululul na gah supule, ŋaiye ŋeheh mondom kin pakai. Taꞌe luku pe, yukur tatame ŋaiye ya merŋe mile mut moi poi topoꞌe moi nin, pakai supule.’ 
LUK.16.27+LUK.16.28	Pe miyeꞌ lowe luku ŋisilih bongol na, ‘Iyai Abraham, ŋoihmbwaip ŋam ŋilil embere sekete pe, ŋam masande na ember Lasarus ka el yokoh yai ŋam pe, ka ini lenge toꞌ yuwon ŋam syepumbur ŋaiye ka yimbilme ŋoihmbwaip tinge no, yukur ka yut luh eꞌe ŋaiye nihe syohe sai, na pakai.’ 
LUK.16.29	Kom Abraham ŋaname na, ‘Tinge si yambaꞌe wusyep tikin Got ŋaiye Moses topoꞌe lenge profet lalme yainge. Pe ŋaiye ka junde wusyep uku pe, ka yurp bwore.’ 
LUK.16.30	Miyeꞌ lowe uku ŋaname na, ‘Yai Abraham, luku yukur tatame. Kom ŋaiye ka yetekeꞌe Lasarus ka plihe tuhur orp pe, liki se ka yisyunde wusyep kin no, ka yimbilme ŋoihmbwaip yusme pupwa tinge.’ 
LUK.16.31	Kom Abraham ŋaname na, ‘Ŋaiye tinge yukur jande wusyep tikin Got ŋaiye Moses topoꞌe lenge profet yainge pe, yukur ka yenerme wusyep miyeꞌ nule ende ŋaiye ka plihe tuhur ininge wusyep, pakai.’ ”
LUK.17.1	Jisas ŋana lenge jetalah kin na, “Ŋaiꞌe ŋaiꞌe wula wula se ka ondolꞌme lenge miyeꞌ tuweinge ŋaiye ka yende pupwa no, ka tumbe. Kom ki pupwa supulme lahmende ŋaiye ki nututusme tinge nange ka yende pupwa no, ka tumbe. 
LUK.17.2	O ŋaiye miyeꞌ ende nututusme, lakai ŋondolꞌme lenge jetalah ambaran ŋam eꞌe nange ka yende pupwa no, ka tumbe pe, miyeꞌ uku ka ambaꞌe yitini pupwa supule. Yitini pupwa ŋaiye ka ambaꞌe pe, ka engelyembe ŋaiye mitiŋ ka yenge mwah yupwaiꞌe ŋeser embere yoyorꞌme wonge kin pe, ka yiche kin yi juh loh pinip mondom no, ka onoꞌe pinip ka ole. 
LUK.17.3	Taꞌe luku pe, ŋoihme yip tip, topoꞌe ŋaimune ŋaiye pa yende. Ŋaiye jetalah ŋam ende ŋende pupwa pe, inime kin yukur ka plihe ende ŋai uku, na pakai. Ŋaiye kin si nimbilme ŋoihmbwaip nasme pupwa luku pe, osme pupwa kin, topoꞌe yukur na ŋoih oworme pupwa kin ŋaiye kin si ŋende, na pakai. 
LUK.17.4	Ŋaiye miyeꞌ ende ŋende pupwa ni syepumbur hoi natme nin nato ŋup ilyeh, kom kin nale nat ŋisilihme nin nange na osme pupwa kin pe, na osme pupwa kin.”
LUK.17.5	Lenge aposel yisilihme Lahmborenge na, “Ende ŋoihmbwaip poi ka teŋeime nin bongole.” 
LUK.17.6	Pe Lahmborenge nungwisme na, “Mastet esep kin pwa malaih, kom ŋaiye ŋoihmbwaip yip ka teŋeime ŋam sikirp manaiꞌe taꞌe kapenih esep uku pe, yip tatame ŋaiye pa yininge wusyep yilme lou nange ka tus upwaihme luh uku no, ka el la gere si loh pinip pe, lou uku se ka isyunde wusyep yip.”
LUK.17.7	“Ŋaiye miyeꞌ ondoh ende ŋaname miyeꞌ wah ende kin nange ka embepeteme worsip, lakai ka oworꞌe kekep ononde ŋai pe, ka plihe ot yokoh pe, yukur ka guh orp ote ono ŋai topoꞌe kin, pakai. 
LUK.17.8	Kom miyeꞌ ondoh ka plihe inime na, ‘Ende miꞌmiꞌ ŋai ŋam. Ni na orp eseperhme ŋam ma mono ŋai ŋam yer ti, nin na ono ŋai nin.’ 
LUK.17.9	Tehei kin ŋaiye miyeꞌ ondoh yukur ŋirisukwarme miyeꞌ wah kin taꞌe leꞌe, miyeꞌ wah uku yukur ŋende wah embere ŋoinde tikin, pakai. Ki ŋende wah gande wusyep tikin miyeꞌ ondoh. Taꞌe luku pe, miyeꞌ ondoh yukur ka irisukwarme miyeꞌ wah kin ŋupe ŋaiye kin si ŋende wah gande wusyep kin, pakai. 
LUK.17.10	Liki ŋahilyeh nalme yip. Ŋupe ŋaiye yip si yende wah jande ŋaimune ŋaiye ŋam si mana yip nange pa yende pe, ka tuꞌe loko. Yukur pa plihe ŋoihyeryembe nange yip si yende wah embere ende no, pa yahraꞌe naŋ yip, na pakai. Kom pa yininge na, ‘Poi miyeꞌ wah pakaiye. Taꞌe luku pe, poi mende wah gwande ŋaimun ŋaiye miyeꞌ ondoh poi si nalaŋatme nange ya mende.’ ”
LUK.17.11	Ŋupe ŋaiye Jisas teteꞌe nal yaŋah nala el Jerusalem pe, kin nate gere kolpot bumbumbe me Samaria topoꞌe Galili distrik. 
LUK.17.12	Pe ŋupe ŋaiye kin nala oto moi malaih ende pe, ki ŋetekeꞌe miyeꞌ 10 ŋaiye yambaꞌe wahriꞌ epwa wukeh wukeh jan sikirp wohe yal tas moi kin. Detale, wahriꞌ epwa luku pupwa yehe pe, yukur tatame ŋaiye ka yut siheime lenge miyeꞌ tuweinge, pakai. 
LUK.17.13	Pe tinge tambah yanange na, “Lahmborenge Jisas, ŋoihginirme poi.”
LUK.17.15	Pe ŋupe ŋaiye tinge yetekeꞌe ŋaiye wahriꞌ epwa tinge si miꞌe pe, miyeꞌ esep ilyeh tikin Samaria plihe natme Jisas tambah ŋanange wusyep ŋirisukwarme Got embere sekete. 
LUK.17.16	Pe ki na gah tumbuhuroroꞌe gah kekep siheime ŋihip Jisas hriphrip irisukwarme kin embere sekete. 
LUK.17.17	Pe Jisas ŋanange wusyep na, “O lenge miyeꞌ syepumbur hoye hoye ŋaiye ŋam si mende miꞌe wahriꞌ epwa tinge topoꞌe yarp pa? 
LUK.17.18	Detaꞌe lai ti miyeꞌ titinge haiten kin ŋilyeh plihe nate ŋirisukwarme Got, kut lenge Juta pakai?” 
LUK.17.19	Pe Jisas plihe ŋaname kin na, “Ŋoihmbwaip nin teŋeime ŋam ti, ŋam mende miꞌme nin. Taꞌe pe, tuhur el.”
