GEN.1.1	IN die 
NUM.7.31	Sy offer was: een silwerskottel, honderd-en-dertig 
NUM.7.32	een rookpan van tien 
NUM.7.33	een jong bul, een ram, een jaaroud lam as brandoffer;
NUM.7.34	een bokram as sondoffer;
NUM.7.35	en as dankoffer: twee beeste, vyf ramme, vyf bokramme, vyf jaaroud lammers. Dit was die offer van Elísur, die seun van Sedéür.
NUM.7.36	Op die vyfde dag die owerste van die kinders van Símeon, 
NUM.7.37	Sy offer was: een silwerskottel, honderd-en-dertig 
NUM.7.38	een rookpan van tien 
NUM.7.39	een jong bul, een ram, een jaaroud lam as brandoffer;
NUM.7.40	een bokram as sondoffer;
NUM.7.41	en as dankoffer: twee beeste, vyf ramme, vyf bokramme, vyf jaaroud lammers. Dit was die offer van Selúmiël, die seun van Surísaddai.
NUM.7.42	Op die sesde dag die owerste van die kinders van Gad, 
NUM.7.43	Sy offer was: een silwerskottel, honderd-en-dertig 
NUM.7.44	een rookpan van tien 
NUM.7.45	een jong bul, een ram, een jaaroud lam as brandoffer;
NUM.7.46	een bokram as sondoffer;
NUM.7.47	en as dankoffer: twee beeste, vyf ramme, vyf bokramme, vyf jaaroud lammers. Dit was die offer van Éljasaf, die seun van Réhuel.
NUM.7.48	Op die sewende dag die owerste van die kinders van Efraim, 
NUM.7.49	Sy offer was: een silwerskottel, honderd-en-dertig 
NUM.7.50	een rookpan van tien 
NUM.7.51	een jong bul, een ram, een jaaroud lam as brandoffer;
NUM.7.52	een bokram as sondoffer;
NUM.7.53	en as dankoffer: twee beeste, vyf ramme, vyf bokramme, vyf jaaroud lammers. Dit was die offer van Elisáma, die seun van Ammíhud.
NUM.7.54	Op die agtste dag die owerste van die kinders van Manasse, 
NUM.7.55	Sy offer was: een silwerskottel, honderd-en-dertig 
NUM.7.56	een rookpan van tien 
NUM.7.57	een jong bul, een ram, een jaaroud lam as brandoffer;
NUM.7.58	een bokram as sondoffer;
NUM.7.59	en as dankoffer: twee beeste, vyf ramme, vyf bokramme, vyf jaaroud lammers. Dit was die offer van Gámliël, die seun van Pedásur.
NUM.7.60	Op die negende dag die owerste van die kinders van Benjamin, 
NUM.7.61	Sy offer was: een silwerskottel, honderd-en-dertig 
NUM.7.62	een rookpan van tien 
NUM.7.63	een jong bul, een ram, een jaaroud lam as brandoffer;
NUM.7.64	een bokram as sondoffer;
NUM.7.65	en as dankoffer: twee beeste, vyf ramme, vyf bokramme, vyf jaaroud lammers. Dit was die offer van Abídan, die seun van Gideóni.
NUM.7.66	Op die tiende dag die owerste van die kinders van Dan, 
NUM.7.67	Sy offer was: een silwerskottel, honderd-en-dertig 
NUM.7.68	een rookpan van tien 
NUM.7.69	een jong bul, een ram, een jaaroud lam as brandoffer;
NUM.7.70	een bokram as sondoffer;
NUM.7.71	en as dankoffer: twee beeste, vyf ramme, vyf bokramme, vyf jaaroud lammers. Dit was die offer van Ahiëser, die seun van Ammísaddai.
NUM.7.72	Op die elfde dag die owerste van die kinders van Aser, 
NUM.7.73	Sy offer was: een silwerskottel, honderd-en-dertig 
NUM.7.74	een rookpan van tien 
NUM.7.75	een jong bul, een ram, een jaaroud lam as brandoffer;
NUM.7.76	een bokram as sondoffer;
NUM.7.77	en as dankoffer: twee beeste, vyf ramme, vyf bokramme, vyf jaaroud lammers. Dit was die offer van Págiël, die seun van Ogran.
NUM.7.78	Op die twaalfde dag die owerste van die kinders van Náftali, 
NUM.7.79	Sy offer was: een silwerskottel, honderd-en-dertig 
NUM.7.80	een rookpan van tien 
NUM.7.81	een jong bul, een ram, een jaaroud lam as brandoffer;
NUM.7.82	een bokram as sondoffer;
NUM.7.83	en as dankoffer: twee beeste, vyf ramme, vyf bokramme, vyf jaaroud lammers. Dit was die offer van Ahíra, die seun van Enan.
NUM.7.84	Dit was 
NUM.7.85	elke skottel honderd-en-dertig 
NUM.7.86	twaalf goue rookpanne, vol reukwerk; elke rookpan tien 
NUM.7.87	Al die beeste vir die brandoffer was twaalf bulle; die ramme twaalf, die jaaroud lammers twaalf, met hulle spysoffer; en twaalf bokramme as sondoffer.
NUM.7.88	En al die beeste vir die dankoffer was vier-en-twintig bulle; die ramme sestig, die bokramme sestig, die jaaroud lammers sestig. Dit is 
NUM.7.89	En as Moses in die tent van samekoms gegaan het 
NUM.8.1	EN die 
NUM.8.2	Spreek met Aäron en sê vir hom: As 
NUM.8.3	En Aäron het so gedoen: aan die voorkant van die kandelaar het hy dié lampe opgesteek soos die 
NUM.8.5	EN die 
NUM.8.6	Neem die Leviete onder die kinders van Israel uit en reinig hulle.
NUM.8.7	En so moet jy met hulle doen om hulle te reinig: Sprinkel op hulle 
NUM.8.8	Daarna moet hulle 'n jong bul neem en 
NUM.8.10	Dan moet jy die Leviete voor die aangesig van die 
NUM.8.11	En Aäron moet die Leviete as beweegoffer beweeg voor die aangesig van die 
NUM.8.12	En die Leviete 
NUM.8.13	Dan moet jy die Leviete stel voor Aäron en sy seuns en hulle as beweegoffer aan die 
NUM.8.14	En jy moet die Leviete onder die kinders van Israel uit afsonder, dat die Leviete 
NUM.8.15	En daarna moet die Leviete inkom om die tent van samekoms te bedien. So moet jy hulle dan reinig en hulle as beweegoffer beweeg.
NUM.8.16	Want hulle is heeltemal aan My gegee onder die kinders van Israel uit, 
NUM.8.18	En Ek het die Leviete in die plek van al die eersgeborenes onder die kinders van Israel geneem
NUM.8.19	en 
NUM.8.20	En Moses en Aäron en die hele vergadering van die kinders van Israel het met die Leviete gedoen net soos die 
NUM.8.21	En die Leviete 
NUM.8.22	En daarna het die Leviete gekom om hulle dienswerk in die tent van samekoms voor Aäron en sy seuns te verrig; soos die 
NUM.8.23	En die 
NUM.8.24	Dit is die saak wat die Leviete betref: 
NUM.8.25	Maar van vyftig jaar oud moet hy vry wees van diensplig en nie meer dien nie —
NUM.8.26	hy kan sy broers in die tent van samekoms behulpsaam wees 
NUM.9.1	EN die 
NUM.9.2	dat die kinders van Israel die pasga op die bepaalde tyd moet hou.
NUM.9.3	Op die veertiende dag in hierdie maand, teen die aand, moet julle dit op die bepaalde tyd hou; volgens al sy insettinge en al sy verordeninge moet julle dit hou.
NUM.9.4	Toe het Moses met die kinders van Israel gespreek dat hulle die pasga moet hou.
NUM.9.5	En hulle het die pasga gehou op die veertiende dag van die eerste maand, teen die aand, in die woestyn Sinai; net soos die 
NUM.9.6	En daar was manne wat deur die lyk van 'n mens 
NUM.9.7	en dié manne het vir hom gesê: Ons is onrein deur die lyk van 'n mens; waarom moet ons te kort gedoen word, dat ons die offer van die 
NUM.9.8	En Moses het vir hulle gesê: Bly staan, dat 
NUM.9.9	Toe het die 
NUM.9.10	Spreek met die kinders van Israel en sê: As iemand van julle of van julle geslagte deur 'n lyk onrein word of op 'n ver reis is, moet hy tog die pasga vir die 
NUM.9.13	Maar die man wat rein is en nie op reis is nie en nalaat om die pasga te hou, dié siel 
NUM.9.14	En as 'n vreemdeling by julle vertoef en die pasga vir die 
NUM.9.15	EN 
NUM.9.16	So was dit altyddeur: die wolk het dit oordek, en snags 'n gedaante van vuur.
NUM.9.17	En so dikwels as die wolk 
NUM.9.18	volgens die bevel van die 
NUM.9.19	En as die wolk baie dae oor die tabernakel bly, het die kinders van Israel 
NUM.9.20	Maar somtyds was die wolk net 'n paar dae oor die tabernakel — volgens die bevel van die 
NUM.9.21	En somtyds was die wolk daar van die aand tot die môre — as die wolk in die môre optrek, het hulle weggetrek; of by dag of by nag — as die wolk optrek, het hulle weggetrek;
NUM.9.22	of ná twee dae of 'n maand of langer — as die wolk lank oor die tabernakel bly, het die kinders van Israel 
NUM.9.23	Volgens die bevel van die 
NUM.10.1	VERDER het die 
NUM.10.2	Maak vir jou twee silwertrompette; van dryfwerk moet jy dit maak; en hulle moet vir jou dien 
NUM.10.3	As 
NUM.10.4	Maar as hulle op een daarvan blaas, moet by jou byeenkom die owerstes, 
NUM.10.5	En as julle alarm blaas, moet 
NUM.10.6	Maar as julle die tweede keer alarm blaas, moet die laers opbreek wat 
NUM.10.7	Maar as die vergadering byeen moet kom, moet julle blaas, maar nie 
NUM.10.9	En 
NUM.10.11	IN die tweede jaar, in die tweede maand, op die twintigste van die maand, het die 
NUM.10.12	En die kinders van Israel het van plek tot plek weggetrek uit 
NUM.10.13	So het hulle dan die eerste keer weggetrek 
NUM.10.15	En oor die afdeling van die stam van Íssaskar se kinders was Netáneël, die seun van Suar.
NUM.10.16	En oor die afdeling van die stam van Sébulon se kinders was Elíab, die seun van Helon.
NUM.10.17	Toe is die 
NUM.10.18	Daarna het weggetrek 
NUM.10.19	En oor die afdeling van die stam van Símeon se kinders was Selúmiël, die seun van Surísaddai.
NUM.10.20	En oor die afdeling van die stam van Gad se kinders was Éljasaf, die seun van Réhuel.
NUM.10.21	Daarna het die Kehatiete, die draers van 
NUM.10.22	Daarna het weggetrek 
NUM.10.23	En oor die afdeling van die stam van Manasse se kinders was Gámliël, die seun van Pedásur.
NUM.10.24	En oor die afdeling van die stam van Benjamin se kinders was Abídan, die seun van Gideóni.
NUM.10.25	Toe het weggetrek die 
NUM.10.26	En oor die afdeling van die stam van Aser se kinders was Págiël, die seun van Ogran.
NUM.10.27	En oor die afdeling van die stam van Náftali se kinders was Ahíra, die seun van Enan.
NUM.10.28	Dit is die optogte van die kinders van Israel volgens hulle leërafdelings. En hulle het weggetrek.
NUM.10.29	En Moses het vir Hobab, die seun van 
NUM.10.30	Maar hy het vir hom gesê: Ek sal nie saamtrek nie; maar ek sal na my land en my familie gaan.
NUM.10.31	Toe sê hy: Moet ons tog nie verlaat nie, juis daarom dat jy weet hoe ons laer moet opslaan in die woestyn, en jy sal vir ons 
NUM.10.32	En as jy met ons saamtrek, sal ons 
NUM.10.33	En hulle het 
NUM.10.35	En as die ark wegtrek, het Moses gesê: 
NUM.10.36	En as dit rus, het hy gesê: Keer terug, 
NUM.11.1	EN 
NUM.11.2	Toe het die volk na Moses geroep, en Moses 
NUM.11.3	Daarom het hulle die plek Tabéra genoem, omdat die vuur van die 
NUM.11.4	EN die 
NUM.11.6	Maar nou is ons siel dor; daar's glad niks nie: net die manna is voor ons oë.
NUM.11.7	Die 
NUM.11.8	Die volk het rondgeloop en dit versamel en in handmeule gemaal of in vysels gestamp, en hulle het dit in potte gekook en daarvan roosterkoeke gemaak. En die smaak daarvan was soos die smaak van 
NUM.11.9	En 
NUM.11.10	Toe het Moses die volk, volgens hulle geslagte, elkeen by die deur van sy tent hoor ween; en die toorn van die 
NUM.11.12	Het ék hierdie hele volk dan ontvang? Of het ék hulle gebaar, dat U vir my sê: 
NUM.11.15	En as U so met my wil handel, 
NUM.11.16	Toe sê die 
NUM.11.17	Dan 
NUM.11.18	En aan die volk moet jy sê: 
NUM.11.19	Julle sal nie een dag of twee dae eet nie, of vyf dae of tien dae of twintig dae nie —
NUM.11.20	'n hele maand lank, 
NUM.11.21	Toe sê Moses: 
NUM.11.22	Sal daar vir hulle kleinvee en beeste geslag word, sodat daar vir hulle genoeg sal wees? Of sal al die visse van die see vir hulle versamel word, sodat daar vir hulle genoeg is?
NUM.11.23	Maar die 
NUM.11.24	Toe het Moses uitgegaan en die woorde van die 
NUM.11.25	Daarop 
NUM.11.26	Maar twee manne het in die laer agtergebly: die naam van die een was Eldad en die naam van die ander Medad; en die Gees het op hulle gerus — hulle het behoort by die wat opgeskrywe was, hoewel 
NUM.11.27	Toe hardloop 'n seun en vertel dit aan Moses en sê: Eldad en Medad profeteer in die laer.
NUM.11.28	En 
NUM.11.29	Maar Moses sê vir hom: Ywer jy vir my? 
NUM.11.30	Daarop het Moses hom in die laer teruggetrek, hy en die oudstes van Israel.
NUM.11.31	Toe het 'n 
NUM.11.32	Toe het die volk opgestaan daardie hele dag en die hele nag en die hele volgende dag en die kwartels versamel. Hy wat die minste gehad het, het tien 
NUM.11.33	Die 
NUM.11.34	Daarom het hulle dié plek genoem Kibrot-Hattáäwa; want daar het hulle die volk begrawe wat so begerig was.
NUM.12.1	EN Mirjam en Aäron het teen Moses gespreek vanweë die Kusitiese vrou wat hy geneem het; want hy 
NUM.12.2	En hulle het gesê: Het die 
NUM.12.4	Toe het die 
NUM.12.6	Toe sê Hy: Hoor tog my woorde. As julle profeet van die 
NUM.12.9	En die toorn van die 
NUM.12.10	En toe die 
NUM.12.11	Daarop sê Aäron vir Moses: Ag, my heer, 
NUM.12.12	Laat sy tog nie wees soos 'n dooie van wie se vleis, as hy uit sy moeder se skoot uitgaan, die helfte verteer is nie.
NUM.12.13	En Moses het die 
NUM.12.14	Toe sê die 
NUM.12.15	En hulle het Mirjam 
NUM.12.16	Maar daarna het die volk van 
NUM.13.1	EN die 
NUM.13.3	En Moses het hulle uitgestuur 
NUM.13.4	En dit is hulle name: Van die stam van Ruben: Sámmua, die seun van Sakkur.
NUM.13.5	Van die stam van Símeon: Safat, die seun van Hori.
NUM.13.7	Van die stam van Íssaskar: Jígeal, die seun van Josef.
NUM.13.8	Van die stam van Efraim: Hoséa, die seun van Nun.
NUM.13.9	Van die stam van Benjamin: Palti, die seun van Rafu.
NUM.13.10	Van die stam van Sébulon: Gáddiël, die seun van Sodi.
NUM.13.11	Van die stam van Josef, vir die stam van Manasse: Gaddi, die seun van Susi.
NUM.13.12	Van die stam van Dan: Ámmiël, die seun van Gemálli.
NUM.13.13	Van die stam van Aser: Setur, die seun van Mígael.
NUM.13.14	Van die stam van Náftali: Nagbi, die seun van Wofsi.
NUM.13.15	Van die stam van Gad: Géhuel, die seun van Magi.
NUM.13.16	Dit is die name van die manne wat Moses gestuur het om die land te verken; en Moses het 
NUM.13.17	En Moses het hulle gestuur om die land Kanaän te verken en vir hulle gesê: Trek hier 
NUM.13.18	En bekyk die land, hoe dit is, en die volk wat daarin woon, of dit sterk of swak, of dit min of baie is;
NUM.13.19	en hoe die land is waar hulle in woon, of dit goed of sleg is; en hoe die stede is waar hulle in woon, laers of vestings;
NUM.13.20	ook hoe die land is, of 
NUM.13.21	En hulle het opgetrek en die land verken 
NUM.13.22	hulle het in die Suidland opgetrek en tot by Hebron gekom; en daar was 
NUM.13.24	Dié plek het hulle die dal Eskol genoem vanweë die tros wat die kinders van Israel daar afgesny het.
NUM.13.25	En ná verloop van veertig dae het hulle teruggekom van die land te verken.
NUM.13.26	En hulle het weggegaan en by Moses en Aäron en die hele vergadering van die kinders van Israel gekom in die woestyn Paran, in 
NUM.13.27	En hulle het hom vertel en gesê: Ons het gekom in die land waarheen u ons gestuur het; en waarlik, 
NUM.13.28	Maar 
NUM.13.30	Toe het 
NUM.13.32	So het hulle dan 
NUM.13.33	Ons het daar ook die reuse gesien, die kinders van Enak, van die reuse afkomstig; en ons was soos 
NUM.14.1	TOE het die hele vergadering uitgeroep — hulle het hul stem verhef, en 
NUM.14.2	En al die kinders van Israel 
NUM.14.3	En waarom bring die 
NUM.14.4	En hulle sê vir mekaar: 
NUM.14.5	Toe het 
NUM.14.6	En Josua, die seun van Nun, en Kaleb, die seun van Jefúnne, twee van die wat die land verken het, het hulle klere geskeur
NUM.14.7	en die hele vergadering van die kinders van Israel toegespreek en gesê: 
NUM.14.8	As die 
NUM.14.9	Wees net nie teen die 
NUM.14.11	Daarop het die 
NUM.14.12	Ek sal hulle met die pes tref en hulle uitroei; en Ek 
NUM.14.13	Toe 
NUM.14.14	en dit aan die inwoners van hierdie land gesê. 
NUM.14.15	As U nou hierdie volk soos een man ombring, dan sal die nasies wat die tyding aangaande U gehoor het, spreek en sê:
NUM.14.16	Omdat die 
NUM.14.17	Laat dan nou tog die krag van die 
NUM.14.18	Die 
NUM.14.20	Toe sê die 
NUM.14.21	Maar so waar as Ek leef en 
NUM.14.22	al 
NUM.14.23	hulle sal die land nie sien wat Ek aan hulle vaders met 'n eed beloof het nie, ja, almal wat My verag het, sal dit nie sien nie.
NUM.14.24	Maar my kneg 
NUM.14.25	Die 
NUM.14.26	Daarna het die 
NUM.14.27	Hoe lank sal hierdie bose vergadering 
NUM.14.28	Sê vir hulle: 
NUM.14.29	Julle lyke sal in hierdie woestyn lê, naamlik 
NUM.14.30	Waarlik, júlle sal nie in die land kom waaroor Ek my hand opgehef het om julle daarin te laat woon nie, 
NUM.14.32	Maar 
NUM.14.33	En julle kinders sal soos herders rondtrek in die woestyn, 
NUM.14.35	Ek, die 
NUM.14.37	die manne wat 'n slegte gerug aangaande die land versprei het, 
NUM.14.39	En toe Moses hierdie woorde aan al die kinders van Israel gesê het, 
NUM.14.40	en die môre vroeg klaargemaak en op die top van die berg geklim en gesê: 
NUM.14.41	Maar Moses het gesê: Waarom 
NUM.14.43	Want 
NUM.14.45	Toe het 
NUM.15.1	DAARNA het die 
NUM.15.2	Spreek met die kinders van Israel en sê vir hulle: As julle in die land van julle inwoning kom wat Ek aan julle gee,
NUM.15.3	en julle 'n vuuroffer aan die 
NUM.15.4	dan 
NUM.15.5	en wyn vir die drankoffer, 'n kwart-hin, moet jy berei by die brandoffer of vir die slagoffer, vir elke lam.
NUM.15.7	En 'n derde van 'n hin wyn vir die drankoffer moet jy as lieflike geur aan die 
NUM.15.8	En as jy 'n jong bul as brandoffer of slagoffer berei, deur 'n besondere gelofte te volbring of as 
NUM.15.9	moet hy by 
NUM.15.10	En vir die drankoffer moet jy 'n half-hin wyn bring, as vuuroffer van lieflike geur aan die 
NUM.15.11	So moet gedoen word by elke bees of by elke ram of by 'n lam van die skape of van die bokke.
NUM.15.12	Volgens die getal wat julle berei — so moet julle doen by elkeen volgens hulle getal.
NUM.15.13	Elke kind van die land moet hierdie dinge op dieselfde manier doen, om 'n vuuroffer van lieflike geur aan die 
NUM.15.14	En as 'n vreemdeling by julle vertoef, of hy wat vir geslagte onder julle is, en 'n vuuroffer van lieflike geur vir die 
NUM.15.16	Een wet en een reg moet geld vir julle en vir die vreemdeling wat by julle vertoef.
NUM.15.17	Verder het die 
NUM.15.18	Spreek met die kinders van Israel en sê vir hulle: As julle in die land kom waarheen Ek julle bring,
NUM.15.19	moet julle, as julle 
NUM.15.21	Van die eerstelinge van julle growwe meel moet julle 'n offergawe aan die 
NUM.15.22	Verder, 
NUM.15.23	alles wat die 
NUM.15.24	dan moet die hele vergadering, as dit buiten wete van die vergadering, in swakheid gebeur het, een jong bul berei vir 'n brandoffer as lieflike geur aan die 
NUM.15.26	Dit sal dan die hele vergadering van die kinders van Israel vergewe word, ook die vreemdeling wat onder hulle vertoef; want dit het die hele volk deur swakheid oorgekom.
NUM.15.27	En 
NUM.15.31	Want die woord van die 
NUM.15.32	EN toe die kinders van Israel in die woestyn was, het hulle 'n man gekry wat op die sabbatdag 
NUM.15.33	En die wat hom gekry het terwyl hy hout bymekaarmaak, het hom na Moses en Aäron en na die hele vergadering gebring.
NUM.15.34	En hulle het hom 
NUM.15.35	Toe sê die 
NUM.15.36	Toe het die hele vergadering hom buitekant die laer uitgebring en hom gestenig, dat hy gesterf het, soos die 
NUM.15.37	EN die 
NUM.15.38	Spreek met die kinders van Israel en sê aan hulle, 
NUM.15.39	En dit sal julle as klossies dien: as julle dit sien, moet julle aan al die gebooie van die 
NUM.15.40	sodat julle aan al my gebooie mag dink en dit doen, en aan julle God 
NUM.15.41	Ek is die 
NUM.16.1	EN 
NUM.16.2	en hulle het opgestaan voor die oë van Moses saam met tweehonderd-en-vyftig man uit die kinders van Israel, owerstes van die vergadering, manne wat opgeroep was vir die volksvergadering, manne van naam.
NUM.16.3	En 
NUM.16.4	Toe Moses dit hoor, 
NUM.16.5	en hy het met Korag en sy hele bende gespreek en gesê: Môre vroeg, dan sal die 
NUM.16.6	Doen dit: Neem vir julle 
NUM.16.7	en gooi daar môre vuur in en lê daar reukwerk op voor die aangesig van die 
NUM.16.8	Verder het Moses vir Korag gesê: Luister tog, kinders van Levi!
NUM.16.9	Is dit julle 
NUM.16.10	en Hy jou laat nader kom het en al jou broers, die kinders van Levi, saam met jou — dat julle nou ook die priesteramp begeer?
NUM.16.11	Daarom, jy en jou hele bende is mense wat teen die 
NUM.16.12	En Moses het gestuur om Datan en Abíram, die seuns van Elíab, te laat roep; maar hulle het gesê: Ons sal nie opkom nie.
NUM.16.13	Is dit nie genoeg dat jy ons uit 'n land 
NUM.16.14	Ook het jy ons nie gebring in 'n land wat oorloop van melk en heuning en aan ons geen lande en wingerde as erfdeel gegee nie. Wil jy die oë van hierdie manne uitgrawe? Ons sal nie opkom nie.
NUM.16.15	Toe het Moses baie kwaad geword, en hy het aan die 
NUM.16.16	Verder het Moses vir Korag gesê: Jy en jou hele bende, sorg dat julle môre 
NUM.16.17	En neem julle elkeen sy vuurpan en gooi daar reukwerk op, en bring voor die aangesig van die 
NUM.16.18	Toe het hulle elkeen sy vuurpan geneem en daar vuur op gegooi en reukwerk op gelê; en hulle het gaan staan by die ingang van die tent van samekoms, ook Moses en Aäron.
NUM.16.19	En Korag het die hele vergadering teen hulle bymekaar laat kom by die ingang van die tent van samekoms. 
NUM.16.20	En die 
NUM.16.22	Maar hulle 
NUM.16.23	En die Here het met Moses gespreek en gesê:
NUM.16.24	Spreek met die vergadering en sê: Maak dat julle wegkom rondom die woning van Korag, Datan en Abíram!
NUM.16.25	Toe het Moses opgestaan en na Datan en Abíram gegaan, en die oudstes van Israel het agter hom aan gegaan.
NUM.16.26	Daarop het hy die vergadering toegespreek en gesê: 
NUM.16.27	En hulle het gemaak dat hulle wegkom rondom die woning van Korag, Datan en Abíram; maar Datan en Abíram het uitgekom en gaan staan by die deur van hulle tente saam met hulle vroue en seuns en kindertjies.
NUM.16.28	Toe sê Moses: Hieraan sal julle weet dat die 
NUM.16.29	as hierdie mense sterwe soos alle mense sterwe en met die besoeking van alle mense besoek word, dan het die 
NUM.16.30	Maar as die 
NUM.16.32	en die aarde het sy mond oopgemaak en hulle verslind saam met hul huisgesinne en 
NUM.16.33	So het hulle dan met alles wat hulle s'n was, lewendig na die doderyk afgedaal; en die aarde het hulle oordek, en hulle het omgekom uit die vergadering.
NUM.16.34	En die hele Israel wat rondom hulle was, het gevlug vir hulle geroep; want hulle het gesê: Dalk verslind die aarde ons!
NUM.16.35	Toe 
NUM.16.36	En die 
NUM.16.37	Sê aan 
NUM.16.39	Toe het die priester Eleásar die kopervuurpanne geneem wat die mense wat verbrand is, gebring het, en hulle het dit plat geslaan as 'n oortreksel vir die altaar —
NUM.16.40	'n aandenking vir die kinders van Israel, 
NUM.16.41	Maar die volgende dag het die hele vergadering van die kinders van Israel teen Moses en Aäron gemurmureer en gesê: Júlle het die volk van die 
NUM.16.42	En terwyl die vergadering teen Moses en Aäron bymekaarkom, het hulle hul na die tent van samekoms gedraai, en meteens het 
NUM.16.43	En toe Moses en Aäron tot voor die tent van samekoms kom,
NUM.16.44	het die 
NUM.16.46	en Moses sê vir Aäron: Neem die vuurpan en gooi vuur van die altaar daarin en lê reukwerk daarop, en bring dit gou na die vergadering en doen versoening vir hulle; 
NUM.16.47	Toe neem Aäron dit soos Moses gespreek het en hardloop onder die vergadering in, en kyk, die plaag het al onder die volk begin! En hy het die reukwerk daarop gelê en versoening gedoen vir die volk.
NUM.16.48	En terwyl hy tussen die dooies en die lewendes staan, het 
NUM.16.49	En die wat deur die plaag gesterf het, was veertienduisend-sewehonderd, 
NUM.16.50	Daarop gaan Aäron na Moses terug by die ingang van die tent van samekoms; en die plaag is gestuit.
NUM.17.1	DAARNA het die 
NUM.17.2	Spreek met die kinders van Israel en neem van hulle vir elke stam 'n staf, van al hulle owerstes volgens hulle stamme, twaalf stawwe; elkeen se naam moet jy skrywe op sy staf.
NUM.17.3	En Aäron se naam moet jy skrywe op die staf van Levi; want een staf moet daar wees vir hulle stamhoof.
NUM.17.4	En jy moet hulle wegsit in die tent van samekoms voor die Getuienis 
NUM.17.5	En die staf van die man 
NUM.17.6	Daarop het Moses met die kinders van Israel gespreek; en al hulle owerstes het hom 'n staf gegee, vir elke owerste een volgens hulle stamme, twaalf stawwe. Aäron se staf was ook onder hulle stawwe.
NUM.17.7	En Moses het die stawwe voor die aangesig van die 
NUM.17.8	En toe Moses die volgende dag in die tent van die Getuienis ingaan, kyk, daar het die staf van Aäron, vir die huis van Levi, gebloei: dit het bloeisels laat uitspruit en blomme laat oopgaan en amandels laat ryp word!
NUM.17.9	Toe bring Moses al die stawwe wat voor die aangesig van die 
NUM.17.10	Daarop het die 
NUM.17.11	En Moses het dit gedoen; soos die 
NUM.17.12	Toe het die kinders van Israel met Moses gespreek en gesê: Kyk, ons sterwe, ons vergaan, ons almal vergaan!
NUM.18.1	EN die 
NUM.18.2	En laat ook jou broers, die stam van Levi, die stam van jou vader, 
NUM.18.3	En hulle moet jou diens waarneem en 
NUM.18.4	Maar hulle moet by jou aansluit en die diens van die tent van samekoms waarneem: al die dienswerk van die tent; en 
NUM.18.5	En julle 
NUM.18.6	Want Ek self 
NUM.18.7	Maar jy en jou seuns saam met jou 
NUM.18.8	Verder het die 
NUM.18.9	Van die hoogheilige gawes, met uitsondering van wat verbrand word, moet dít joue wees: al hulle offers, naamlik elke 
NUM.18.11	Dit moet ook joue wees: 
NUM.18.13	Die eerstelinge van alles wat in hulle land is, 
NUM.18.16	En wat die loskoping daarvan aangaan: vanaf 'n maand oud moet jy loskoop, 
NUM.18.18	En hulle vleis moet joue wees; soos die 
NUM.18.19	Al die offergawes van die heilige dinge wat die kinders van Israel aan die 
NUM.18.20	Ook het die 
NUM.18.21	En kyk, 
NUM.18.23	Maar die Leviete, dié moet die dienswerk by die tent van samekoms verrig, en 
NUM.18.24	Want die tiendes van die kinders van Israel wat 
NUM.18.25	En die 
NUM.18.26	Jy moet ook met die Leviete spreek en aan hulle sê: As julle van die kinders van Israel die tiendes neem wat Ek aan julle van hulle as jul erfdeel gegee het, moet julle daarvan 'n offergawe aan die 
NUM.18.27	En julle offergawe sal vir julle gereken word soos koring van die dorsvloer af en soos die volle opbrings uit die parskuip.
NUM.18.28	Só moet julle ook 'n offergawe aan die 
NUM.18.29	Van al jul gawes moet julle die hele offergawe aan die 
NUM.18.30	Jy moet dan vir hulle sê: As julle die beste daarvan afgee, 
NUM.18.31	En julle mag dit op enige plek eet, julle en jul huisgesin; want dit is 
NUM.18.32	En julle sal daarby 
NUM.19.1	VERDER het die 
NUM.19.2	Dit is die wetsinsetting wat die 
NUM.19.3	En julle moet haar aan die priester Eleásar gee, en hulle moet haar 
NUM.19.4	En die priester Eleásar moet van haar bloed met sy vinger neem en van haar bloed sewe maal in die rigting van die voorkant van die tent van samekoms 
NUM.19.5	Daarna moet hulle die koei voor sy oë verbrand; 
NUM.19.6	En die priester moet 
NUM.19.7	Dan 
NUM.19.8	Ook die een wat haar verbrand het, moet sy klere in die water was en sy liggaam in die water bad, en hy sal tot die aand toe onrein wees.
NUM.19.9	En 'n rein man moet 
NUM.19.10	En die een wat die as van die koei bymekaargemaak het, moet sy klere was en sal tot die aand toe onrein wees. En dit moet vir die kinders van Israel en vir die vreemdeling wat onder hulle vertoef, 'n ewige insetting wees.
NUM.19.12	Op die derde dag 
NUM.19.13	Elkeen wat aan 'n dooie raak, aan die lyk van 'n mens wat gesterf het, en hom nie ontsondig nie, 
NUM.19.14	Dit is die wet: As iemand in 'n tent sterwe, sal elkeen wat in die tent kom en al wat in die tent is, sewe dae lank onrein wees.
NUM.19.15	Ook al die 
NUM.19.16	En elkeen wat in die oop veld aan iemand raak wat deur die swaard verslaan is, of aan 'n dooie of aan 'n mens se doodsbeen of aan 'n graf, sal sewe dae lank onrein wees.
NUM.19.17	Vir die onreine moet hulle dan van die as neem van die sondoffer wat verbrand is, en daar vars water in 'n pot op gooi;
NUM.19.18	en 'n rein man moet 
NUM.19.19	En die reine moet die onreine 
NUM.19.20	Maar as iemand onrein word en hom nie ontsondig nie, dan moet dié siel uitgeroei word uit die vergadering, want hy het die heiligdom van die 
