GEN.1.1	Na počiatku stvoril Boh nebo a zem.
1SA.9.21	Šaul však odvetil: „Som len Benjamínovec. Pochádzam z najmenšieho izraelského kmeňa a môj rod je najchatrnejší zo všetkých rodov Benjamínovho kmeňa. Ako len môžeš niečo také povedať?“
1SA.9.22	Potom Samuel priviedol Šaula i jeho sluhu, zaviedol ich do siene a usadil na čelné miesto. Pozvaných bolo okolo tridsať mužov. 
1SA.9.23	Samuel povedal kuchárovi: „Daj mi ten kus, čo som ti včera kázal odložiť u seba.“ 
1SA.9.24	Kuchár vytiahol stehno i s chvostom a predložil to Šaulovi. Samuel povedal: „Poslúž si tým, čo zostalo a jedz. To bolo schované pre teba na túto príležitosť odvtedy, ako som povedal: ‚Pozval som ľudí.‘“ V ten deň jedol Šaul so Samuelom.
1SA.9.25	Keď zostúpili z výšiny do mesta, zhováral sa Samuel so Šaulom na streche.
1SA.9.26	Včasráno za brieždenia zavolal Samuel Šaulovi na strechu: „Vstaň, vyprevadím ťa. Nato Šaul vstal a obaja, on i Samuel, vyšli von. 
1SA.9.27	Keď došli na koniec mesta, povedal Samuel Šaulovi: Pošli svojho sluhu pred nami. Ty však postoj na chvíľu, mám ti oznámiť Božie slovo.“
1SA.10.1	Samuel vzal nádobku s olejom, vylial mu ho na hlavu, pobozkal ho a vyhlásil: „Týmto ťa sám Hospodin pomazal za vojvodcu nad svojím dedičstvom.
1SA.10.2	Keď teraz odídeš odo mňa, stretneš pri Ráchelinom hrobe v Celcachu na Benjamínovom území dvoch mužov, ktorí ti povedia, že hľadané oslice sa už našli. Tvoj otec sa už nestará o ne, ale strachuje sa o vás. Kladie si otázku: ‚Čo môžem urobiť pre svojho syna?‘
1SA.10.3	Keď odtiaľ pôjdeš ďalej, dostaneš sa k dubu Tabór. Tam ťa stretnú traja muži putujúci k Bohu do Bételu. Jeden ponesie tri kozľatá, druhý tri pecne chleba a tretí mech vína. 
1SA.10.4	Pozdravia ťa a dajú ti dva chleby. Tie od nich prijmeš. 
1SA.10.5	Potom prídeš na Boží pahorok, kde majú Filištínci strážne stanovište. Keď vojdeš do mesta, narazíš na zástup prorokov, ktorí budú schádzať z výšiny — pred nimi harfa, bubon, flauta a citara — a budú v prorockom vytržení.
1SA.10.6	Vtedy ťa nadchne Hospodinov duch, dostaneš sa s nimi do prorockého vytrženia a premeníš sa na iného muža.
1SA.10.7	Keď sa u teba dostavia tieto znamenia, zachovaj sa podľa okolností, lebo Boh bude s tebou.
1SA.10.8	Zostúpiš predo mnou do Gilgálu, zídem ta aj ja, aby som priniesol spaľované obety a obety spoločenstva. Vyčkáš sedem dní, kým prídem k tebe. Potom ti poviem, čo máš robiť.“
1SA.10.9	Len čo sa Šaul obrátil a odchádzal od Samuela, Boh mu premenil srdce na iné. V ten deň sa dostavili všetky tie znamenia. 
1SA.10.10	Keď prišli odtiaľ do Gibey, šla mu v ústrety skupina prorokov. Vtedy sa ho zmocnil Boží Duch a on tiež vystupoval medzi nimi v prorockom vytržení.
1SA.10.11	Všetci, ktorí ho predtým poznali a uvideli ho v prorockom vytržení, si vzájomne kládli otázku: „Čo sa stalo Kíšovmu synovi? Či je aj Šaul medzi prorokmi?“ 
1SA.10.12	Niekto z tamojších ľudí sa spýtal: „Kto je ich otec?“ Tak vzniklo úslovie: „Či je aj Šaul medzi prorokmi?“ 
1SA.10.13	Keď doznelo prorocké vytrženie, odišiel na výšinu. 
1SA.10.14	Vtedy sa Šaulov strýko spýtal Šaula i mládenca: „Kadiaľ ste chodili?“ Dostal odpoveď: „Hľadali sme oslice. Keď sme zistili, že ich niet, zašli sme k Samuelovi.“ 
1SA.10.15	Strýko povedal Šaulovi: „Vyrozprávaj mi, prosím, čo vám hovoril Samuel.“ 
1SA.10.16	Šaul odpovedal svojmu strýkovi: „Uistil nás o tom, že oslice sa našli.“ Strýkovi však neoznámil, čo mu Samuel vravel o kráľovstve.
1SA.10.17	Samuel zvolal k Hospodinovi do Micpy ľud
1SA.10.18	a Izraelitom povedal: „Toto hovorí Hospodin, Boh Izraela: ‚Ja som vyviedol Izrael z Egypta a vyslobodil vás z područia Egypťanov a všetkých kráľovstiev, čo vás utláčali. 
1SA.10.19	Vy ste však zavrhli svojho Boha, ktorý vás vyslobodzoval z každej pohromy a tiesne, a povedali ste: Ustanov nad nami kráľa. Postavte sa teraz pred Hospodina podľa kmeňov a oddielov.‘“
1SA.10.20	Samuel predvolal všetky kmene Izraela. Lós padol na Benjamínov kmeň.
1SA.10.21	Potom predvolal Benjamínov kmeň po rodinách. Lós padol na rodinu Matriho. Nakoniec bol vylosovaný Kíšov syn Šaul. Keď ho však hľadali, nemohli ho nájsť. 
1SA.10.22	Pýtali sa teda Hospodina, či ten muž ešte príde. Hospodin odpovedal: „Tu sa skrýva medzi výzbrojou.“
1SA.10.23	Bežali teda a priviedli ho. Keď sa postavil medzi ľud, každého prevyšoval o hlavu.
1SA.10.24	Samuel povedal všetkému ľudu: „Vidíte, koho si vyvolil Hospodin? Spomedzi ľudu sa mu nikto nevyrovná.“ Všetok ľud jasal a volal: „Nech žije kráľ!“
1SA.10.25	Samuel potom oznámil ľudu práva kráľa, zapísal to do knihy a uložil pred Hospodinom. Nato prepustil všetok ľud, každého do svojho domu.
1SA.10.26	Aj Šaul odišiel domov do Gibey. Sprevádzala ho družina bojovníkov, ktorých srdca sa dotkol Boh.
1SA.10.27	Niektorí ničomníci však vraveli: „Ako nás môže on zachrániť?“ Pohrdli ním a nepriniesli mu dar. Šaul sa tváril, že to nepočuje.
1SA.11.1	Ammónčan Nacháš pritiahol a utáboril sa oproti Jabéš-Gileádu. Všetci muži z Jabéša navrhli Nachášovi: „Uzavri s nami zmluvu a budeme ti slúžiť.“
1SA.11.2	Ammónčan Nacháš však odpovedal: „Uzavriem s vami zmluvu pod podmienkou, že každému z vás vylúpim pravé oko. Tým potupím celý Izrael.“
1SA.11.3	Starší Jabéša mu povedali: „Pozhovej nám sedem dní, aby sme rozoslali poslov po celom území Izraela, a ak sa nenájde nikto, čo by nám pomohol, vzdáme sa.“ 
1SA.11.4	Keď prišli poslovia do Šaulovej Gibey, vyrozprávali ľudu, čo sa stalo. Ľud sa pustil do žalostného náreku.
1SA.11.5	Vtom práve prichádzal z poľa Šaul so svojimi volmi. Spýtal sa: „Čo sa stalo ľudu? Prečo narieka?“ Vyrozprávali mu o položení mužov Jabéša. 
1SA.11.6	Keď o tom Šaul počul, prenikol ho Boží duch a veľmi sa rozčúlil.
1SA.11.7	Vzal pár volov, rozsekal ich na kusy a po posloch rozoslal po celom území Izraela s výstrahou: „Takto sa stane s dobytkom toho, kto nevytiahne do boja za Šaulom a Samuelom.“ Vtedy padol na ľud strach pred Hospodinom a vytiahol do boja ako jeden muž.
1SA.11.8	Keď vykonal v Bezeku prehliadku, bolo tam tristotisíc Izraelitov a tridsaťtisíc Júdovcov.
1SA.11.9	Poslovia, ktorí prišli, dostali správu: „Odkážte mužom z Jabéš-Gileádu, že zajtra za slnečnej páľavy príde záchrana.“ Poslovia to šli oznámiť mužom z Jabéša a tí sa zaradovali. 
1SA.11.10	Muži z Jabéša mu odkázali: „Zajtra sa vám vzdáme. Potom môžete s nami urobiť, čo len chcete.“
1SA.11.11	Šaul na druhý deň rozdelil ľud do troch skupín, ktoré v čase rannej stráže vtrhli doprostred tábora a bili Ammónčanov až do poludňajšej páľavy. Zvyšok vojska sa rozpŕchol, takže ani dvaja nezostali pospolu.
1SA.11.12	Vtedy povedal ľud Samuelovi: „Kto sa to spýtal, či nám kráľom má byť Šaul? Vydajte tých mužov, nech ich zabijeme.“
1SA.11.13	Šaul však odvetil: „V takýto deň neslobodno nikoho zabiť, lebo dnes Hospodin zachránil Izrael.“
1SA.11.14	Nato Samuel vyzval ľud: „Vyberme sa do Gilgálu a obnovme tam kráľovstvo.“
1SA.11.15	Všetok ľud odišiel do Gilgálu a Šaula tam vyhlásili za kráľa. V Gilgále priniesli pred Hospodina obety spoločenstva. Šaul a všetci muži Izraela sa tam veľmi radovali.
1SA.12.1	Samuel povedal celému Izraelu: „Vyhovel som vám vo všetkom, o čo ste ma žiadali, a ustanovil som nad vami kráľa.
1SA.12.2	Odteraz vás povedie kráľ. Ja som zostarel a ošedivel. Moji synovia však, ako vidno, sú medzi vami. Viedol som vás od svojej mladosti až dodnes.
1SA.12.3	Som tu. Odpovedzte mi pred Hospodinom a jeho pomazaným: Vzal som niekomu vola alebo osla? Utláčal som niekoho alebo som mu ukrivdil? Vzal som od niekoho úplatok, aby som prižmúril oči? Ak áno, nahradím vám to!“
1SA.12.4	Odpovedali mu: „Neutláčal si nás, nekrivdil si nám ani si od nikoho nič nevzal.“ 
1SA.12.5	Povedal im: „Hospodin je svedkom proti vám a dnes je svedkom aj jeho pomazaný, že ste pri mne nič také nenašli.“ Odpovedali: „Je svedkom.“
1SA.12.6	Samuel povedal ľudu: „Svedkom je Hospodin, ktorý ustanovil Mojžiša s Áronom a vyviedol vašich otcov z Egypta. 
1SA.12.7	Teraz sa postavte, aby som vás súdil pred Hospodinom podľa všetkých jeho spravodlivých skutkov, ktoré preukázal vám i vašim otcom.
1SA.12.8	Keď Jákob prišiel do Egypta a vaši otcovia volali k Hospodinovi o pomoc, poslal Mojžiša a Árona. Tí vyviedli odtiaľ vašich otcov a usadili ich na tomto mieste.
1SA.12.9	Oni však zabudli na Hospodina, svojho Boha, preto ich vydal do moci Siseru, veliteľa chacórskeho vojska, do moci Filištíncov a moábskeho kráľa, ktorí proti nim bojovali.
1SA.12.10	Vtedy sa dovolávali pomoci u Hospodina: ‚Zhrešili sme, lebo sme opustili Hospodina a slúžili sme baalom a aštartám. Teraz nás vysloboď z područia našich nepriateľov a budeme ti slúžiť.‘
1SA.12.11	Hospodin poslal Jerubbaala, Bedána, Jefteho a Samuela, vyslobodzoval vás z moci okolitých nepriateľov, takže ste mohli bývať v bezpečí.
1SA.12.12	Keď ste videli, že vás ohrozuje ammónsky kráľ Nacháš, povedali ste mi: ‚Nie! Nech nám vládne kráľ!‘ Vaším kráľom je predsa Hospodin, váš Boh.
1SA.12.13	Teraz tu máte kráľa, ktorého ste si zvolili a žiadali. Hospodin vám teda ustanovil kráľa.
1SA.12.14	Ak sa budete báť Hospodina, ak mu budete slúžiť a poslúchať ho, ak nebudete odporovať jeho príkazom, stanete sa nasledovníkmi Hospodina, vášho Boha, vy aj s kráľom, ktorý vám bude vládnuť.
1SA.12.15	Ak ho však nebudete poslúchať, ak budete odporovať jeho príkazom, Hospodinova ruka zasiahne proti vám i vašim otcom.
1SA.12.16	Ešte raz sa postavte a sledujte veľký div, ktorý vykoná Hospodin pred vami. 
1SA.12.17	Práve prebieha žatva pšenice. Budem vzývať Hospodina, aby zoslal hromobitie a dážď. Sami sa presvedčíte, že žiadať si kráľa je Hospodinovi obzvlášť protivné.“
1SA.12.18	Samuel vzýval Hospodina a on v ten deň zoslal hromobitie a dážď. Všetok ľud sa veľmi bál Hospodina a Samuela.
1SA.12.19	Všetci naliehali na Samuela: „Pros Hospodina, svojho Boha, za svojich služobníkov, aby sme nepomreli. Ku všetkým svojim hriechom sme totiž pridali ďalšie zlo: Žiadali sme si kráľa.“
1SA.12.20	Samuel odpovedal ľudu: „Nebojte sa! Spáchali ste síce všetko to zlo, len sa neodvracajte od Hospodina, ale slúžte mu celým srdcom. 
1SA.12.21	Neobracajte sa k ničotám, ktoré neosožia, ani nezachraňujú; sú to len ničoty.
1SA.12.22	Hospodin nezavrhne svoj ľud pre svoje veľké meno, lebo z vás chce mať svoj ľud.
1SA.12.23	Nech sa to nestane, aby som zhrešil proti Hospodinovi a prestal sa za vás modliť. Chcem vás i ďalej učiť dobrej a pravej ceste.
1SA.12.24	Len sa bojte Hospodina a celým srdcom mu verne slúžte. Uvážte, čo všetko pre vás urobil!
1SA.12.25	No ak by ste páchali zlo, zahyniete aj so svojím kráľom.“
1SA.13.1	Šaul bol už rok kráľom. V druhom roku vlády nad Izraelom 
1SA.13.2	si zvolil spomedzi Izraela tritisíc mužov: dvetisíc ich bolo so Šaulom v Michmáse a v Bételskom pohorí, tisíc s Jonatánom v Benjamínovej Gibei. Zvyšok ľudu poslal domov.
1SA.13.3	Jonatán pobil filištínsku hliadku v Gebe a Filištínci sa to dozvedeli. Šaul dal trúbiť na roh po celej krajine a povedal: „Nech počujú Hebreji!“
1SA.13.4	Celý Izrael sa dopočul správu, že Šaul pobil filištínsku hliadku. Tým sa Izrael sprotivil Filištíncom. Ľud dostal výzvu ísť za Šaulom do Gilgálu. 
1SA.13.5	Filištínci sa zhromaždili do boja proti Izraelu. Mali tridsaťtisíc vozov, šesťtisíc jazdcov a ľudu toľko ako piesku na morskom pobreží. Tí pritiahli a utáborili sa v Michmáse, východne od Bét-Avenu.
1SA.13.6	Keď izraelskí muži videli, že sú v tiesni a že sa k nim blíži nepriateľ, poukrývali sa do jaskýň, do skalných trhlín, do dutín a jám.
1SA.13.7	Hebreji prešli cez Jordán do krajiny Gádu a Gileádu. Šaul zostával v Gilgále a ľud, čo prišiel za ním, sa chvel strachom. 
1SA.13.8	Vyčkával ešte sedem dní do času, ktorý určil Samuel. Samuel však do Gilgálu neprichádzal a ľud sa začal rozchádzať.
1SA.13.9	Šaul prikázal: „Prineste mi spaľovanú obetu a obetu spoločenstva.“ Tak obetoval spaľovanú obetu. 
1SA.13.10	Po jej skončení prišiel Samuel. Šaul mu vyšiel v ústrety, aby ho pozdravil. 
1SA.13.11	Samuel sa spýtal: „Čo si to urobil?“ Šaul odvetil: „Videl som, že ľud odo mňa odchádza, ty si na stanovený čas neprišiel a Filištínci sa zhromaždili v Michmáse. 
1SA.13.12	Pomyslel som si: ‚Filištínci zídu teraz ku mne do Gilgálu a dosiaľ som si nenaklonil Hospodinovu tvár.‘ Tak som sa odhodlal priniesť spaľovanú obetu sám.“ 
1SA.13.13	Samuel povedal Šaulovi: „To bolo od teba nerozvážne. Nezachoval si príkaz, čo ti dal Hospodin, tvoj Boh. Hospodin by bol teraz natrvalo upevnil tvoju kráľovskú moc nad Izraelom.
1SA.13.14	Takto tvoje kráľovstvo neobstojí. Hospodin si už našiel muža podľa svojho srdca a ustanovil ho za vojvodcu svojho ľudu, pretože si nesplnil jeho príkaz.“
1SA.13.15	Nato Samuel vstal a odišiel z Gilgálu do Benjamínovej Gibey. Šaul spočítal tých, čo zostali pri ňom; bolo ich asi šesťsto mužov.
1SA.13.16	Šaul, jeho syn Jonatán a ľud, čo zostal s nimi, sa usadil v Benjamínovej Gebe, kým Filištínci táborili v Michmáse. 
1SA.13.17	Z tábora Filištíncov vyrazila skupina záškodníkov v troch oddieloch. Jeden oddiel zamieril k Ofre a do kraja Šual,
1SA.13.18	druhý sa vydal smerom k Bét-Chorónu a tretí k územiu s výhľadom na Ceboímske údolie, obrátené k púšti.
1SA.13.19	V celej izraelskej krajine sa nenašiel nijaký kováč. Filištínci si totiž povedali: „Hebreji si nesmú zhotovovať meče ani kopije.“
1SA.13.20	Preto všetci Izraeliti chodili k Filištíncom naostriť si pluh, motyku, sekeru alebo kosák. 
1SA.13.21	Naostrenie pluhu a motyky stálo jeden pím, naostrenie sekery a hrotu tretinu šekla. 
1SA.13.22	Keď došlo k boju, nikto z ľudu, čo bol so Šaulom a Jonatánom, nemal pri sebe meč alebo kopiju. Mal ich len Šaul a jeho syn Jonatán. 
1SA.13.23	Hliadka Filištíncov vyšla k michmáskemu priesmyku.
1SA.14.1	Raz povedal Šaulov syn Jonatán svojmu zbrojnošovi: „Poď, prenikneme k hliadke Filištíncov, ktorá je na druhej strane.“ Svojmu otcovi to však neoznámil. 
1SA.14.2	Šaul sa zdržoval na kraji Gibey pod granátovníkom v Migróne. Pri sebe mal okolo šesťsto mužov.
1SA.14.3	Efód vtedy nosil Achija, syn Achitúba, brata Ikabóda, syna Pinchása, syna Eliho, Hospodinovho kňaza v Šile. Ľud však nevedel, že Jonatán odišiel.
1SA.14.4	V priesmyku, ktorým sa Jonatán pokúšal preniknúť k hliadke Filištíncov, vyčnieval z jednej i z druhej strany skalný útes. Jeden sa volal Bocéc, druhý Senne.
1SA.14.5	Jeden útes trčal strmo na sever oproti Michmásu, druhý od juhu oproti Gebe.
1SA.14.6	Jonatán povedal svojmu zbrojnošovi: „Poď, prenikneme k hliadke tých neobrezancov. Možno pre nás Hospodin niečo urobí. On predsa dokáže zvíťaziť pomocou mnohých i málopočetných.“
1SA.14.7	Zbrojnoš mu odvetil: „Urob všetko, čo máš na mysli. Len choď, budem s tebou, nech akokoľvek rozhodneš.“
1SA.14.8	Jonatán navrhol: „Mali by sme sa dostať k tým mužom a ukázať sa im. 
1SA.14.9	Ak nás vyzvú: ‚Stojte, kým prídeme k vám,‘ zostaneme na svojom mieste a nevystúpime. 
1SA.14.10	No ak povedia: ‚Vystúpte k nám hore,‘ tak vystúpime, lebo nám ich Hospodin vydal do rúk. To nám bude znamením.“
1SA.14.11	Obaja sa teda ukázali filištínskej hliadke. Tí si povedali: „Pozrite, Hebreji vyliezajú z dier, kam sa poskrývali.“ 
1SA.14.12	Muži z hliadky volali na Jonatána a jeho zbrojnoša: „Poďte k nám hore, niečo vám povieme.“ Jonatán povedal svojmu zbrojnošovi: „Poď za mnou hore, lebo ich Hospodin vydal do rúk Izraela.“ 
1SA.14.13	Jonatán šiel štvornožky hore a jeho zbrojnoš za ním. Filištínci padali pred Jonatánom a jeho zbrojnoš, čo šiel za ním, ich pozabíjal.
1SA.14.14	To bol prvý útok Jonatána a jeho zbrojnoša; padlo tam asi dvadsať mužov na ploche pol jutra poľa.
1SA.14.15	V tábore, na poli i všade medzi ľudom zavládol strach. Zľakla sa hliadka i záškodnícka skupina a zachvela sa aj zem. Toto všetko spôsobil Boh.
1SA.14.16	Šaulove hliadky v benjamínskej Gibei spozorovali, že sa dav motá sem a tam. 
1SA.14.17	Šaul povedal tým, čo boli s ním: „Dajte nastúpiť a zistite, kto z našich odišiel.“ Po nástupe sa zistilo, že chýba Jonatán i jeho zbrojnoš. 
1SA.14.18	Tu prikázal Šaul Achijovi: „Prines Božiu archu.“ Toho času bola totiž s Izraelitmi.
1SA.14.19	Kým sa Šaul zhováral s kňazom, hluk v tábore Filištíncov stále mohutnel. Preto povedal Šaul kňazovi: „Nechaj to tak!“ 
1SA.14.20	Šaul i všetok ľud, čo bol s ním, sa zoskupili a prišli na bojisko. Zbadali však, že sa Filištínci vo veľkom zmätku vzájomne zabíjajú.
1SA.14.21	Hebreji, ktorí predtým stáli na strane Filištíncov a pritiahli s nimi do tábora, prebehli k tým Izraelitom, čo boli so Šaulom a Jonatánom. 
1SA.14.22	Keď sa všetci izraelskí muži, ktorí sa skrývali v Efrajimskom pohorí, dozvedeli, že sa Filištínci dali na útek, pridali sa potom aj oni do boja.
1SA.14.23	Hospodin v ten deň vyslobodil Izrael a boj sa presunul až k Bét-Avenu.
1SA.14.24	Hoci izraelskí muži boli v ten deň unavení, Šaul ich zaprisahal týmito slovami: „Zlorečený bude ten, kto by do večera niečo zjedol prv, než sa pomstím svojim nepriateľom.“ Nikto z ľudu jedlo neokúsil.
1SA.14.25	Všetok ľud vošiel do lesa, kde na zemi boli plásty medu. 
1SA.14.26	Keď ta ľud vošiel, zbadal, ako z nich tečie med, no nik z neho neochutnal. Ľud sa totiž bál porušiť prísahu. 
1SA.14.27	Jonatán nepočul, že jeho otec zaviazal ľud prísahou. Vzal palicu, čo mal v ruke, jej koniec strčil do plástu medu a ochutnal ho. Hneď sa mu rozjasnili oči. 
1SA.14.28	Ktosi z ľudu sa ozval: „Tvoj otec zaviazal ľud touto prísahou: ‚Zlorečený bude ten, kto by dnes niečo zjedol, aj keď ľud bol unavený.‘“ 
1SA.14.29	Jonatán povedal: „Môj otec vrhá krajinu do nešťastia. Len sa pozrite, ako sa mi rozjasnili oči, keď som ochutnal trochu toho medu. 
1SA.14.30	Keby sa len ľud mohol dnes poriadne najesť z koristi, čo našiel u nepriateľov! Takto porážka Filištíncov nebude veľká.“ 
1SA.14.31	V ten deň porážali Filištíncov od Michmásu po Ajalón, takže ľud bol krajne vyčerpaný. 
1SA.14.32	Vrhol sa na korisť a odnášal si ovce, dobytok a teľce, zarezával ich na zemi a jedol mäso aj s krvou.
1SA.14.33	Šaulovi oznámili: „Pozri, ľudia hrešia proti Hospodinovi, keď jedia mäso aj s krvou.“ On povedal: „Porušili ste vernosť. Ihneď privaľte ku mne veľký kameň.“ 
1SA.14.34	Šaul pokračoval: „Rozíďte sa medzi ľudí a povedzte im: ‚Nech každý privedie ku mne svojho vola alebo svoju ovcu. Tu ich budete zabíjať a jesť, aby ste nehrešili proti Hospodinovi tým, že by ste jedli mäso s krvou.‘“ V tú noc každý z ľudu priviedol svojho vola a tam ho zabil. 
1SA.14.35	Šaul postavil Hospodinovi oltár. Bol to prvý oltár, čo mu postavil.
1SA.14.36	Šaul povedal: „Vyrazme v noci za Filištíncami a plieňme medzi nimi až do svitania. Neušetrime z nich nikoho.“ Odpovedali: „Urob, čo uznáš za vhodné.“ Kňaz však navrhol: „Pristúpme sem, k Bohu.“
1SA.14.37	Šaul si pýtal radu od Boha: „Mám prenasledovať Filištíncov? Vydáš ich do rúk Izraela?“ Boh mu však v ten deň nedal odpoveď. 
1SA.14.38	Vtedy Šaul prikázal: „Predstúpte sem všetci náčelníci ľudu a zistite, v čom spočíva náš dnešný hriech.
1SA.14.39	Akože žije Hospodin, záchranca Izraela, aj keby šlo o môjho syna Jonatána, musel by zomrieť.“ Nikto z ľudu sa však neozval. 
1SA.14.40	Šaul celému Izraelu prikázal: „Postavte sa na jednu stranu, kým ja a môj syn Jonatán budeme na strane druhej.“ Ľud odpovedal Šaulovi: „Urob, čo uznáš za dobré.“ 
1SA.14.41	Šaul volal k Hospodinovi: „Bože Izraela, daj mi jasnú odpoveď.“ Lós padol na Jonatána a Šaula a ľud sa z toho dostal.
1SA.14.42	Šaul prikázal: „Losujte medzi mnou a mojím synom Jonatánom.“ Lós padol na Jonatána. 
1SA.14.43	Tu vyzval Šaul Jonatána: „Priznaj sa, čo si urobil!“ Jonatán sa priznal. Povedal: „Koncom palice, čo som držal, som ochutnal trochu medu. Som pripravený zomrieť.“
1SA.14.44	Šaul vyhlásil: „Nech ma Boh prísne potresce, ak by si preto, Jonatán, nezomrel.“
1SA.14.45	Ľud sa spýtal Šaula: „Vari by mal zomrieť Jonatán, ktorý dosiahol toto skvelé víťazstvo v Izraeli? To teda nie! Akože žije Hospodin, nesmie sa mu skriviť ani vlas na hlave. Veď to, čo dnes vykonal, dosiahol s Božou pomocou.“ Ľud teda zachránil Jonatána, že nemusel zomrieť.
1SA.14.46	Šaul prestal prenasledovať Filištíncov a tí odišli domov.
1SA.14.47	Keď sa Šaul ujal kráľovskej moci nad Izraelom, bojoval proti všetkým okolitým nepriateľom: proti Moábčanom, proti Ammónčanom, proti Edómčanom, proti kráľom Coby a proti Filištíncom. Kam sa len obrátil, víťazil
1SA.14.48	Vytvoril vojenskú moc, porazil Amaléka a vyslobodil Izrael z područia tých, čo ho pustošili.
1SA.14.49	Šaulovi synovia boli: Jonatán, Jišvi a Malki-Šua. Staršia z jeho dvoch dcér sa volala Merab a mladšia Michal.
1SA.14.50	Šaulova žena sa volala Achinoam, Achimaacova dcéra. Veliteľ vojska sa volal Abnér, syn Šaulovho strýka Néra.
1SA.14.51	Šaulov otec Kíš a Abnérov otec Nér boli synmi Abíela.
1SA.14.52	Kým žil Šaul, prebiehal krutý boj proti Filištíncom. Keď Šaul uvidel nejakého zdatného a bojaschopného muža, zaradil ho do svojho vojska.
1SA.15.1	Samuel povedal Šaulovi: „Hospodin ma poslal, aby som ťa pomazal za kráľa nad jeho ľudom, nad Izraelom. Vypočuj si slová Hospodina.
1SA.15.2	Takto vraví Hospodin zástupov: ‚Beriem na zodpovednosť Amalékov za to, čo vykonali Izraelitom, keď sa im pri východe z Egypta postavili do cesty.
1SA.15.3	Choď teda, napadni Amalékov a vykonaj na nich i na všetkom, čo majú, hubiacu kliatbu. Bez milosti pobi mužov i ženy, deti i dojčatá, dobytok i ovce, ťavy i osly!‘“
1SA.15.4	Šaul zvolal ľud a v Telaíme vykonal jeho prehliadku. Bolo tam dvestotisíc pešiakov a desaťtisíc mužov z Judska.
1SA.15.5	Šaul prenikol k hlavnému mestu Amalékov a v údolí umiestnil zálohu. 
1SA.15.6	Kénitom povedal: „Odíďte spomedzi Amalékov a vzdiaľte sa, aby som vás spolu s nimi nezničil. Vy ste sa správali ohľaduplne ku všetkým Izraelitom pri ich východe z Egypta.“ Nato sa Kéniti odpútali od Amalékov.
1SA.15.7	Šaul zaútočil na Amaléka v úseku od Chavily po Šúr, ktorý je východne od Egypta.
1SA.15.8	Agaga, kráľa Amalékov, zajal živého a na všetok ľud zeme uvalil hubiacu kliatbu mečom. 
1SA.15.9	Šaul a ľud ušetrili Agaga i najlepšie kusy stáda, dobytka, tučného statku a baranov. Čo malo nejakú cenu, ušetrili od kliatby. Nechceli to zničiť. Kliatbu vykonali len na tom, čo bolo bezcenné a bezvýznamné.
1SA.15.10	Hospodin oslovil Samuela: 
1SA.15.11	„Ľutujem, že som Šaula ustanovil za kráľa, lebo sa odo mňa odvrátil a moje príkazy nesplnil.“ Samuela to trápilo a celú noc volal k Hospodinovi.
1SA.15.12	Včasráno sa vybral Samuel na stretnutie so Šaulom. Samuel dostal správu: „Šaul odišiel na Karmel, aby si tam postavil pamätník a potom sa obrátil a zišiel do Gilgálu.“
1SA.15.13	Keď Samuel prišiel, Šaul ho pozdravil: „Nech ťa požehná Hospodin! Jeho príkaz som splnil.“
1SA.15.14	Samuel však namietol: „A čo to bľačanie oviec, ktoré ku mne dolieha? A čo to bučanie dobytka, ktoré počujem?“ 
1SA.15.15	Šaul odpovedal: „Priviedli ich od Amalékov. Ľud totiž ušetril najlepšie kusy oviec a dobytka, aby to obetoval Hospodinovi, tvojmu Bohu. Na ostatnom sme však vykonali hubiacu kliatbu.“
1SA.15.16	Samuel prerušil Šaula: „Prestaň! Chcem ti oznámiť, čo mi dnes v noci oznámil Hospodin.“ On na to: „Hovor.“ 
1SA.15.17	Samuel pokračoval: „Hoci si o sebe zmýšľal skromne, stal si sa hlavou izraelských kmeňov a Hospodin ťa pomazal za kráľa nad Izraelom.
1SA.15.18	Hospodin ťa vyslal na cestu, aby si na hriešnych Amalékoch vykonal hubiacu kliatbu a bojoval proti nim, kým ich celkom nevyhubíš. 
1SA.15.19	Prečo si neposlúchol Hospodina, ale si sa vrhol na korisť a urobil si, čo sa prieči Hospodinovi?“ 
1SA.15.20	Šaul odpovedal Samuelovi: „Hospodina som predsa poslúchol. Dal som sa na výpravu, ktorou ma poveril, priviedol som kráľa Amalékov Agaga a na Amalékovi som vykonal hubiacu kliatbu. 
1SA.15.21	No ľud si ponechal z koristi najlepšie kusy z oviec a dobytka podliehajúceho kliatbe, aby to v Gilgále obetoval Hospodinovi, tvojmu Bohu.“ 
1SA.15.22	Samuel však povedal:
1SA.15.22	„Vari si Hospodin obľúbil viac spaľované obety a obety s hostinou
1SA.15.22	ako poslušnosť vlastnému slovu?
1SA.15.22	Poslušnosť je lepšia než obeta,
1SA.15.22	poddajnosť lepšia než tuk baranov.
1SA.15.23	Vzdorovitosť je ako hriech veštenia
1SA.15.23	a vzbura ako kúzlo a úcta k terafím
1SA.15.23	Pretože si zavrhol slovo Hospodina,
1SA.15.23	i on ťa zavrhol, aby si už nebol kráľom.“
1SA.15.24	Nato Šaul povedal Samuelovi: „Zhrešil som, lebo som prestúpil príkaz Hospodina i tvoje slová. Bál som sa ľudu, a preto som ho poslúchol.
1SA.15.25	Odpusť mi teda môj hriech a vráť sa so mnou, chcem sa klaňať Hospodinovi.“ 
