GEN.1_1.1	I. 
EXO.29_1.41	Ba ono mbiribiri si sara, ba tánõ owī õbeʼe — ba ba zoemange niʼā ba ba zoemange nibadoe, ba si mane na mahemoloe mbanoea õlaoe, samohoea omasiõ, õ nifatõrõ ba galitõ, nibeʼe chõ Jehowa, 
EXO.29_1.42	soemange nitoenoe chõmi, si lõ mamalõmalõ, gõtõgõtõ waʼara, ba zinga mbawandroehõ nose wamaʼeleʼõ, fõna Jehowa, ba niʼoromaʼõgoe jaʼo chõoe dania ba zi fahoehoeodo chõoe. 
EXO.29_1.43	IV. 
EXO.29_1.44	Ba oeʼamoniʼõ nose wamaʼeleʼõ andrõ, awõ naha wameʼe soemange; ba Aʼaroni gõi ba iraononia, ba oeʼamoniʼõ, enaʼõ ere ira chõgoe. 
EXO.29_1.45	Ba oeʼiagõ ba hoenõ Ndraono Gizeraëli, ba Lowalangira ndraʼodo; 
EXO.29_1.46	ba jaʼaboto ba dõdõra, wa no jaʼodo, Jehowa, Lowalangira, si no mangeheta jaʼira ba danõ Miseraji, ba wangiagõ chõra — jaʼodo andre, Jehowa, Lowalangira.
EXO.30_1.1	I. 
EXO.30_1.2	Sahela waʼanaoe ba sahela waʼebolo; niʼoʼõfa sagi, ba doea hela waʼalaw̃a. Si fadoro chõnia dandroenia. 
EXO.30_1.3	Ba õfoʼoeli ia si ndroehoe mbalaki, mezania, awõ saginia, fasoei, awõ dandroenia, ba õfasoei ia singa si ndroehoe mbalaki. 
EXO.30_1.4	Ba tooe zinga andrõ, ba õfotoembo niʼogaolo, domboea, ba watalingania si domboedomboea; faoma fatambai õbeʼe, naha heahea, ba wamahea jaʼia. 
EXO.30_1.5	Ba heahea andrõ, ba bana õbeʼe eoe, ba õfoʼoeli anaʼa. 
EXO.30_1.6	Ba baero mbaʼabaʼa andró, fombaʼa dawõla, si so soera goroisa, õbeʼe ia — baero mbaʼabaʼa lagõ dawõla andrõ, si so jaw̃a zoera goroisa andrõ, ba niʼoromaʼõgoe jaʼo chõoe dania. 
EXO.30_1.7	Ba itoenoe ba detenia jaw̃a zamohoea Aʼaroni; ero mahemoloe mbanoea, na ihaogõ wandroe andrõ, itoenoe. 
EXO.30_1.8	Ba na owi gõi, na itoenoe wandroe, ba itoenoe gõi Aʼaroni; soemange simbo, si lõ mamalõmalõ chõmi, fõna Jehowa, gõtõgõtõ waʼara. 
EXO.30_1.9	Samohoea bõʼõ ba soemange nitoenoe ba soemange niʼā, ba bõi mibeʼe jaw̃a; ba he soemange nibadoe, ba lõ tola mifadoewa jaw̃a. 
EXO.30_1.10	Ba samoeza zi dõfi iheta zala, ba dandroenia andrõ Aʼaroni, do zoemange fameta horõ andrõ, ba wameta sala, ibe e fameta zala chõnia, zamoeza zi dõfi, gõtõgõtõ waʼara — niʼamoniʼõ sibai chõ Jehowa. 
EXO.30_1.11	II. 
EXO.30_1.12	Na õʼerai zatoea Ndraono Gizeraëli ba jamoebeʼe chõ Jehowa mbelebele nosonia zamõsana, na teʼerai ira, enaʼõ lõ gõna ira famakao, na teʼerai ira. 
EXO.30_1.13	Dozi niʼerai ba 1/2 zekeli (sasoekoe) zamõsa labeʼe, saga niʼamoniʼõ, 20 gera zamba sekeli, 1/2 zekeli, õmõra soemange Jehowa. 
EXO.30_1.14	Dozi niʼerai, iʼotarai zi no doea woeloe fache, noemalõ ba zi aʼa moroi andrõ, ba labeʼe chõ Jehowa zoemange andrõ, õmõra. 
EXO.30_1.15	Soʼanaʼa ba lõ itõraigõ, ba si noemana, ba lõ iʼambõsi, ha 1/2 zekeli, wameʼe soemange andrõ chõ Jehowa, õmõra, belebele noso. 
EXO.30_1.16	Ba õtema gasalaõ andrõ ba Ndraono Gizeraëli ba õbeʼe balazo ba wohalõw̃õ ba nose wamaʼeleʼõ, enaʼõ itõrõ tõdõ Jehowa Ndraono Gizeraëli ibeʼe, ba enaʼõ belebele nosora.
EXO.30_1.17	III. 
EXO.30_1.18	Fazõchi gala tõla, nifoʼahe tõla, naha wanasa. Ba ba gotaloera nose wamaʼeleʼõ naha wameʼe soemange õbeʼe ba foʼõsi idanõ, 
EXO.30_1.19	fanasa gahe ba fanasa danga chõ Gaʼaroni ba ba ndraononia. 
EXO.30_1.20	Na mõi ira ba nose wamaʼeleʼõ, ba lasasai nõsira, fa bõi mate ira, ba si manõ gõi na mõi baero, ba naha wameʼe soemange, ba wangai halõw̃õra wanoenoe soemange ba galitõ, chõ Jehowa. 
EXO.30_1.21	Lasasai dangara ba ahera, fa bõi mate ira, ba amachoita chõra daʼõ si lõ teboelõ, gõtõgõtõ waʼara — chõnia ba ba madooenia, gõtõgõtõ waʼara.
EXO.30_1.22	IV. 
EXO.30_1.23	Faigi chõoe rembaremba, fondrege zi sõchi, 500 [zekeli] emoeri fondrege zi sõchi ba matonga daʼõ goeli mani, tobali 250 [zekeli], ba 250 [zekeli] deringoe samohoea, 
EXO.30_1.24	ba koeli deza 500 [zekeli], ba zaga niʼamoniʼõ ba sadoemba wanicha zai; 
EXO.30_1.25	ba baliʼõ fanicha famajoini, niʼamoniʼõ, si hoelõ daloedaloe nigoeleʼõ samohoea, nifolaoe zamaroeka daloedaloe nigoeleʼõ — ja fanicha famajoini niʼamoniʼõ ia! 
EXO.30_1.26	Ba õbeʼe famajoini nose wamaʼeleʼõ andrõ, fabaja tawõla, si so soera goroisa andrõ barõ, 
EXO.30_1.27	ba he meza andrõ, awõ wakake ba daʼõ, ba he naha wandroe ba fakakenia, awõ naha wanoenoe samohoea andrõ, 
EXO.30_1.28	ba he naha wameʼe soemange nitoenoe, ba fakakenia fefoe ba he gala andrõ ba ahenia. 
EXO.30_1.29	Ba õʼamoniʼõ, enaʼõ niʼamoniʼõ sibai; dozi sombambaja, ba no niʼamoniʼõ gõi. 
EXO.30_1.30	Ba Aʼaroni ba iraononia, ba õbajoini gõi ba õʼamoniʼõ, enaʼõ ere ira chõgoe. 
EXO.30_1.31	Ba ba Ndraono Gizeraëli; ba õmane: Fanicha famajoini, niʼamoniʼõ, chõgoe ia, miw̃aʼõ, gõtõgõtõ waʼara. 
EXO.30_1.32	Lõ tola lalaoe ba nõsi niha, ba lõ tola mifazõchi chõmi zi manõ famaroeka: niʼamoniʼõ ia, niʼamoniʼõ miw̃aʼõ. 
EXO.30_1.33	Na so zamaroeka si manõ ba na ibeʼe ba niha bõʼõ, ba niseʼe ia ba niwara.
EXO.30_1.34	V. 
EXO.30_1.35	ba baliʼõ samohoea nitoenoe, nifaroeka, samohoea, nifolaoe zamaroeka daloedaloe nigoeleʼõ, nilaoe asio maʼifoe ba bõi fabaja hadia ia, nifake ba niʼamoniʼõ. 
EXO.30_1.36	Ba õhalõ maʼifoe ba õfaoeloegõ õrecha ba õbeʼe fõna zoera goroisa õsa ba nose wamaʼeleʼõ, ba niʼoromaʼõgoe jaʼodo chõoe dania; niʼamoniʼõ sibai niw̃aʼõ. 
EXO.30_1.37	Ba chõmi, ba lõ tola mifazõchi zamohoea nitoenoe si manõ famaroeka, nilaoe ba nifazõchimõ andrõ; niʼamoniʼõ chõ Jehowa õw̃aʼõ. 
EXO.30_1.38	Na so zamazõchi si manõ, enaʼõ iʼago hoea, ba niseʼe ba niwara daʼõ.
EXO.31_1.1	I. 
EXO.31_1.2	Hiza, no oekaoni Mbesaleʼeli andrõ, ono Goeri ono Hoeri, mado Joeda, no oetõtõi dõi, 
EXO.31_1.3	ba no oehõna chõnia Geheha Lowalangi, 
EXO.31_1.4	ba wangaloei necheneche ba wohalõw̃õ ba ganaʼa ba ba wirõ ba ba dõla, 
EXO.31_1.5	ba ba wangazõchi feremata, famoadoe, ba famaʼanõ eoe, hadia ia ngawalõ. 
EXO.31_1.6	Ba noa gõi oebeʼe awõnia Goholiabi, ono Gahizamachi, mado Dano, ba no oebeʼe dõdõ waʼatoeka ba doeka andrõ fefoe, enaʼõ ahori lafazõchi niw̃aʼõgoe chõoe: 
EXO.31_1.7	Ose wamaʼeleʼõ andrõ, ba tawõla andrõ, naha zoera goroisa ba lagõlagõ andrõ jaw̃a, fabaja fakake ba nose fefoe; 
EXO.31_1.8	ba meza andrõ, awõ wakake chõnia, awõ naha wanoenoe samohoea, 
EXO.31_1.9	awõ naha wameʼe seemange nitoenoe, fabaja fakakenia fefoe, ba gala andrõ, awõ gahenia. 
EXO.31_1.10	Awõ noecha nihaogõ famazõchi andrõ ba noecha niʼamoniʼõ chõ Gaʼaroni, ere andrõ, fabaja noecha ndraononia ba woʼere, 
EXO.31_1.11	ba fanicha famajoini ba samohoea andrõ nitoenoe ba niʼamoniʼõ andrõ. Laʼoʼõ sibai niw̃aʼõgoe chõoe, wamazõchi jaʼia.
EXO.31_1.12	II. 
EXO.31_1.13	Beʼe li ba Ndraono Gizeraëli, õmane: Bõi zi lõ itõrõ tõdõmi loeo wolombase andrõ chõgoe! me no tandra ia chõda, gõtõgõtõ waʼara, enaʼõ aboto ba dõdõ, wa no jaʼo, Jehowa, zi amoniʼõ jaʼami. 
EXO.31_1.14	Andrõ bõi olifoe ami loeo wolombase andrõ; niʼamoniʼõ ia chõmi; ha niha zanawõ oroisa ba chõnia ba hoekoe famoenoe hoekoenia. Na so zangai hadia ia halõw̃õ, na loeo daʼõ, ba niseʼe daʼõ ba niwara. 
EXO.31_1.15	Õnõ ngaloeo zi tola tehalõ halõw̃õ, ba loeo si fitoe andrõ, ba no loeo niʼamoniʼõ chõ Jehowa, lõʼõ manõ mohalõw̃õ ba daʼõ, dozi sangai halõw̃õ ba loeo sabato, ba hoekoe famoenoe hoekoe. 
EXO.31_1.16	Andrõ bõi olifoe Ndraono Gizeraëli loeo sabato andrõ, ba weʼamoniʼõ jaʼia, gõtõgõtõ waʼara, amachoita si lõ teboelõ. 
EXO.31_1.17	Ja tandra ia chõma Iraono Gizeraëli, gõtõgõtõ waʼara. Õnõ ngaloeo Jehowa wamazõchi banoea si jaw̃a, awõ danõ; ba me loeo si fitoe andrõ, ba molombase ia, ihasoegõ ia. 
EXO.31_1.18	Ba me no iʼoʼozoei hoehoeonia chõ Moze, ba ibeʼe ba dangania zoera goroisa andrõ, si doea gõrõ, kara wanoera, nisoea toeroe Lowalangi. 
EXO.32_1.1	I. 
EXO.32_1.2	Ba imane chõra Aʼaroni: Miheta zaeroe dalinga anaʼa andrõ, ba dalinga woʼomomi ba ba dalinga nonomi matoea ba ba dalinga nonomi alawe, ba miʼohe chõgoe. 
EXO.32_1.3	Ba laheta zaeroe dalinga anaʼa ba dalingara, dozi, ba laʼohe chõ Gaʼaroni. 
EXO.32_1.4	Ba ihalõ ba dangara, ilaoe wahõ, ibaliʼõ ono zaw̃i nifahele. Ba lamane: Daʼõ Lowalangimi, jaʼami, Iraono Gizeraëli, sangeheta jaʼami ba danõ Miseraji! 
EXO.32_1.5	Ba me iʼila daʼõ Aʼaroni, ba ifazõchi naha wameʼe soemange fõnania; ba ifatenge ziʼao, lamane: Mahemoloe telaoe gowasa chõ Jehowa! 
EXO.32_1.6	Ba mahemoloe õ, ba lahoelõ wongi wameʼe soemange nitoenoe ba soemange fangorifi, ba moedadao zato manga ba mamadoe hadia ia; ba maoso ira, ba wolaja. 
EXO.32_1.7	II. 
EXO.32_1.8	No alio sibai larõi lala andrõ, nifachoigoe chõra, no lafazõchi nono zaw̃i nifahele ba no mangaloeloe ira chõnia, no lafosoemange ba no lamane: Daʼõ Lowalangimi, jaʼami Iraono Gizeraëli, sangeheta jaʼami ba danõ Miseraji. 
EXO.32_1.9	Ba imane na Jehowa chõ Moze: Oeʼila saʼae, wa no niha sabeʼe bõrõ doeʼi niha andrõ. 
EXO.32_1.10	Ba bõhõido saʼae, enaʼõ tesao wõnoegoe chõra ba enaʼõ oehori ira, ba oebaliʼõ foeroegõ soi seboea ndraʼoegõ! 
EXO.32_1.11	Ba itandraigõ iʼalõsi dõdõ Lowalanginia Jehowa Moze, imane: He Jehowa! hana wa mofõnoe sibai ndraʼoegõ ba mbanoeaoe andrõ nihetaoe ba danõ Miseraji faʼabolõoe ba tangaoe sabeʼe andrõ? 
EXO.32_1.12	Hana wa õbeʼe law̃aʼõ dania Dawa Miseraji: Ba wamatõrõ si lõ sõchi iheta ira, enaʼõ iboenoe ira ba hili andrõ, ba enaʼõ ihori ira ba goeli danõ? Alõsi wõnoemõ, sabõlõ sibai andrõ, ba hana na mangesa dõdõoe ba wamoenoe andrõ, niw̃aʼõoe nifatõrõ ba mbanoeaoe andrõ! 
EXO.32_1.13	Tõrõ tõdõoe genonioe Aberahamo ba Izaʼaki ba Izeraëli, ba zi no fahõloe ndraʼoegõ ba chõoe, ba zi no õfaboeʼoe: Oeʼojaʼõ dania maʼoewoemi, timba ndrõfi ba mbanoea si jawa, ba tanõ andre, niw̃aʼõgoe, ba oebeʼe ba maʼoewoemi, enaʼõ chõra, iroegi zi lõ aetoe! 
EXO.32_1.14	Ba mangesa dõdõ Jehowa ba wamoenoe andrõ, nidaõʼõdaõʼõnia folaoe ba mbanoeania andrõ.
EXO.32_1.15	III. 
EXO.32_1.16	Ba nifazõchi Lowalangi gara wanoera andrõ, ba soera Lowalangi zoera nisoea ba gara andrõ. 
EXO.32_1.17	Ba me irongo wagoeagoeasa zato Josoea, ba imane chõ Moze: Fangahahagõ ba wanoewõ ba golombasew̃a! 
EXO.32_1.18	Ba imane Moze: Tenga feʼao nilaoe zabõlõ daʼõ ba tenga gõi fangahahagõ nilaoe zi teʼala; fanoenõ oerongo. 
EXO.32_1.19	Ba me ahatõ Moze ba golombasew̃a ba me iʼila nono zaw̃i andrõ ba solaja andrõ, ba mofõnoe ia, tobali itiboʼõ tooe gara wanoera andrõ, irasa ba gahe hili. 
EXO.32_1.20	Ba ihalõ nono zaw̃i andrõ, nifazõchira, itoenoe ba irecha, ibaliʼõ gawoegawoe, ilaoe ba nidanõ ba ibeʼe ba Ndraono Gizeraëli, nibadoe. 
EXO.32_1.21	Ba imane Moze chõ Gaʼaroni: Hadia nilaoe niha andrõ chõoe, wa õfatõrõ chõra horõ seboea andrõ? 
EXO.32_1.22	Ba imane Aʼaroni: He Toea! bõi õfõnoe; jaʼoegõ saʼae zangila, wa no si lõ sõchi nilaoe dõdõ zato andrõ. 
EXO.32_1.23	No laʼandrõ chõgoe, lamane: Fazõchi chõda Lowalangi, sowaõwaõ fõnada; lõʼõ sa taʼila hadia zi gõna niha andrõ, Moze andrõ, solohe jaʼita ba daʼe, moroi ba danõ Miseraji. 
EXO.32_1.24	Ba oemane chõra: Ha niha zoʼaja anaʼa, ba jamoeheta! Ba labeʼe chõgoe ba oetiboʼõ ba galitõ, ba tobali ono zaw̃i andrõ. 
EXO.32_1.25	Ba me iʼila Moze, no fakoejoe ba zato — noa sa iloeloe chõra Aʼaroni, famaʼiki zi faʼoedoe chõra —, 
EXO.32_1.26	ba iʼagõ mbawa gõli golombasew̃a Moze, moeʼao ia, imane: Jamõi chõgoe ba daʼe zi lõ aefa chõ Jehowa! Ba owoelo chõnia nono Lewi, fefoe. 
EXO.32_1.27	Ba imane chõra: Daʼõ niw̃aʼõ Jehowa, Lowalangi Ndraono Gizaraëli: Dozi ami mibeʼe ba lõwilõwimi wõdami, ba mitõrõi golombasew̃a, iʼotarai mbawa gõli tánõ andre, noemalõ ba mbawa gõli tánõ sa, ba miboenoe ha niha ira, he talifoesõ ba he si fahoewoe ba he si tenga bõʼõ! 
EXO.32_1.28	Ba laʼoʼõ niw̃aʼõ Moze ono Lewi andrõ ba mafo tõloe ngahõnõ zi mate me loeo daʼõ niha sato. 
EXO.32_1.29	Ba imane Moze: Mifoʼõsi dangami chõ Jehowa maʼõchṍ, noa sa oedoe nononia zamõsana ba oedoe dalifoesõnia, enaʼõ mõi saʼae chõmi howoehowoe. 
EXO.32_1.30	IV. 
EXO.32_1.31	Ba ifoeli ia chõ Jehowa Moze, imane: Alai ndraʼo, no eboea sibai horõ niha andrõ, no lafazõchi chõra Lowalangi anaʼa. 
EXO.32_1.32	Ba oeʼandrõ chõoe, beʼe aefa chõra horõra andrõ! ba na lõʼõ, ba tõigōē boenoe ba zoera andrõ, nisoeramõ. 
EXO.32_1.33	Ba imane Jehowa chõ Moze: Si so sala chõgoe, daʼõ niboenoegoe tõi ba zoeragoe. 
EXO.32_1.34	Ba aeʼe iadaʼe, ba ohe niha andrõ ba niw̃aʼõgoe chõoe; mowaõwaõ fõnaoe malaʼika andrõ chõgoe. Ba na iroegi inõtõ wangoehoekoe andrõ chõgoe, ba oehoekoe sa chõra horõra andrõ. 
EXO.32_1.35	Ba ifatõrõ chõra wamakao Jehowa, me no lafazõchi nono zaw̃i andrõ, nifahele Gaʼaroni.
EXO.33_1.1	I. 
EXO.33_1.2	Ba oefowaõwaõ fõnami malaʼika, ba wanimba fõnami Dawa Ganaʼana ba Iraono Gamori ba Iraono Cheti ba Iraono Weresi ba Iraono Hewi ba Iraono Jeboesi, — 
EXO.33_1.3	ba danõ si falawoe soesoe ba w̃e w̃ani; jaʼodo sa, ba lõ fao chõmi me no niha sabeʼe bõrõ doeʼi ami, ma dania oehori ami ba lala. 
EXO.33_1.4	Ba me larongo wehede sabeʼe andrõ sato, ba aboe sibai dõdõra ba samõsa lõ si oʼaja ajania. 
EXO.33_1.5	Ba imane Jehowa chõ Moze: Õmane ba Ndraono Gizeraëli: Niha sabeʼe bõrõ doeʼi ami! he ha mamõʼi hõrõ waʼara faodo chõmi, ba oehori ami. Ba miheta najami; awena dania oefaigi he oewisa chõmi. 
EXO.33_1.6	Ba laheta najara Iraono Gizeraëli, iʼotarai ba hili Horebi andrõ.
EXO.33_1.7	II. 
EXO.33_1.8	Ba ero mõi baero Moze, ba nose, ba maoso zato fefoe ba iʼiagõ mbawandroehõ nosenia zamõsana, lanehegõ wofanõ Mose, irege no iroegi nose. 
EXO.33_1.9	Ba ero na iroegi nose Moze, ba adada mboto lawoeo andrõ, iʼiagõ zinga mbawandroehõ nose, ba fahoehoeo Jehowa chõ Moze. 
EXO.33_1.10	Ba dozi niha zangila boto lawoeo andrõ, ba zinga mbawandroehõ nose, ba maoso ira fefoe, ba ifalõgoe tooe ia ba danõ zamõsana, ba mbawandroehõ nosenia. 
EXO.33_1.11	Ba fahoehoeo Jehowa chõ Moze, si faoedoe wawa ira, si mane na fahoehoeo zi fahoewoe; ba ifoeli ia ba golombasew̃a ba torõi dohoetohoe dangania andrõ, Josoea, ono Noeni, ngoningoni bacha ba nose, lõ teboelõ. 
EXO.33_1.12	Ba imane Moze chõ Jehowa: Õw̃aʼõ sa: Ohe misa niha andrõ! ba lõ niʼombachaʼõoe chõgoe, ha niha nifatengeoe awõgoe. 
EXO.33_1.13	Ba na no faloechado waʼeboea dõdõoe, ba bokai chõgoe dõdõoe ba beʼe aboto ba dõdõgoe ndraʼoegõ, enaʼõ faloechado waʼeboea dõdõ chõoe, ba tõrõtõrõ atṍ tõdõoe, wa no banoeaoe niha andre. 
EXO.33_1.14	Ba imane: Hadia, jaʼodo zi fao, ba wolohe jaʼoegõ ba gahonoa naha? 
EXO.33_1.15	Ba imane Moze: Na tenga jaʼoegõ zi fao, ba si sõchinia, na lõ õhetaga ba daʼe! 
EXO.33_1.16	Heza so na, baero õ, ba zaboto ba dõdõ, wa no faloechaga waʼeboea dõdõ chõoe, he jaʼodo, ba he banoeaoe andrõ, na tenga ba wefaomõ chõma, ba na tehoedeʼõ ndraʼaga banoeaoe andrõ, ba daʼõ, fõna soi bõʼõ fefoe ba goeli danõ?
EXO.33_1.17	III. Ba imane Jehowa chõ Moze: Ba he daʼõ gõi, niʼandrõoe, ba oeʼoʼõ; noa sa faloechaʼõ waʼeboea dõdõ chõgoe ba no oeʼila dõimõ. 
EXO.33_1.18	Ba iʼandrõ chõnia: Oromaʼõ chõgoe lachõmimõ! 
EXO.33_1.19	Ba imane: Faʼasõchigoe fefoe ba oefatõrõ fõnaoe ba oetõtõi fõnaoe dõi Jehowa, ba 
EXO.33_1.20	Ba imane na: Bawagoe, ba tebai õfaigi; lõʼõ sa aoeri niha, na iʼila ndraʼodo! 
EXO.33_1.21	Ba imane na Jehowa: So naha, sahatõ chõgoe, hana sa na ba daʼõ mõiʼõ, ba gara jaw̃a. 
EXO.33_1.22	Ba na itõrõ lachõmigoe andrõ, ba oeʼoheʼõ ba dõgi narõ gara, ba oebaloegõ ndraʼoegõ tangagoe, irege no oetõrõ. 
EXO.33_1.23	Ba na oebõda dangagoe, ba õʼila gerogoe; ba bawagoe, ba tebai ifaigi niha.
EXO.34_1.1	I. 
EXO.34_1.2	Ba faʼanõʼõ, ba weʼamõi ba hili jaw̃a, mahemoloe, si hoelõ wongi, ba dõnadõna ndraʼo ba daʼõ, ba zoezoe hili. 
EXO.34_1.3	Ba lõ tola mõi awõoe ha niha, ba weʼamõi mijaw̃a, ba lõ tola oroma niha ba gahe hili, fasoei; ba he biribiri ba saw̃i, ba lõ tola mangaloei gõ heza, ba zahatõ ba hili andre. 
EXO.34_1.4	Ba itoto gara wanoera, doea gõrõ, si mane mege. Ba mahemoloe õ, ba ihoelõ wongi wemaoso Moze, mõi ia mijaw̃a, ba hili Zinaʼi andrõ, iʼoʼõ niw̃aʼõ Jehowa chõnia, iʼohe gara andrõ, si doea gõrõ. 
EXO.34_1.5	Ba mõi mitooe Jehowa, ba lawoeo, iʼagõ ngainia ba itõtõi dõi Jehowa. 
EXO.34_1.6	Ba me itõrõ fõnania Jehowa, ba imane: 
EXO.34_1.7	 ba lõʼõ sa taw̃aʼõ, lõʼõ manõ fotoe; lalõ ndra ama, ba ihoekoe ba ndraono ba ba maʼoewoe, ichamõ tõloe, irege õfa ngaʼõtõ. 
EXO.34_1.8	Ba iʼalioʼõ Moze ifaõndrõ ia tooe ba danõ, ifalõgoe tooe ia, 
EXO.34_1.9	ba imane: He Soʼaja! na no atṍ oesõndra waʼeboea dõdõ chõoe, ba iagõ hoenõma ba wofanõma! Sabeʼe bõrõ doeʼi sa ira, ba beʼe aefa chõma lalõma, awõ horõma ba halõ tána chõoe ndraʼaga! 
EXO.34_1.10	II. 
EXO.34_1.11	Oʼõ niw̃aʼõgoe chõoe maʼõchṍ; daʼoetimba fõnaoe Ndraono Gamori ba Dawa Ganaʼana ba Iraono Cheti ba Iraono Weresi ba Iraono Jeboesi. 
EXO.34_1.12	Angelama, fa bõi fawoeʼoe li ndraʼoegõ ba niha ba danõ andrõ, niroegimõ dania; ma dania tobali tandraw̃a ira ba ngaimi. 
EXO.34_1.13	Midoedoegõ naha wameʼe soemange andrõ chõra, mirasa harefara ba miʼobõ geoe niʼamoniʼõ andrõ chõra. 
EXO.34_1.14	Ba bõi angaloeloe ba Lowalangi bõʼõ; solohoe dõi Jehowa, Lowalangi solohoe ia. 
EXO.34_1.15	Na fawoeʼoe li ndraʼoegõ ba niha ba danõ andrõ, ba na lakaoni ndraʼoegõ, na mameʼe adoe ira, na lafosoemange Lowalangira, ba ahatõ chõmi waʼeloengoe, wemanga gõ nadoe andrõ. 
EXO.34_1.16	Ba ma mihalõ gõi dania donga nonomi matoea nonora alawe, ba na mameʼe adoe nonora, wamosoemange Lowalangira, ba lafaeloengoe gõi ndraonomi, ba wameʼe adoe andrõ. 
EXO.34_1.17	Bõi fazõchi chõoe wamaedo Lowalangi nifahele. 
EXO.34_1.18	Owasa roti si lõ moeʼaisõni andrõ, ba bõi olifoeʼõ; fitoe ngaloeo waʼara õʼā roti si lõ moeʼaisõni, õʼoʼõ niw̃aʼõgoe chõoe, na baw̃a Abibi; me no ba mbaw̃a Abibi ahetaʼõ ba danõ Miseraji. 
EXO.34_1.19	Fefoe zi aʼa ba waʼatoemboe, ba chõgoe, he oerifõoe fefoe, motõi matoea ono si aʼa ba zaw̃i ba ba mbiribiri 
EXO.34_1.20	Ba ono si aʼa ba galide ba õhõli biribiri; ba na lõ omasiʼõ õhõli, ba õfatõ mbaginia. Fefoe nono si aʼa chõoe, ba õhõli; ba chõgoe, ba bõi mõi lõ ba danga. 
EXO.34_1.21	Õnõ ngaloeo waʼara, ba hana na õhalõhalõ halõw̃õ, ba na loeo si fitoe, ba molombase ndraʼoegõ; he na baw̃a wamakoe ba he na baw̃a wamasi, ba molombaseʼõ. 
EXO.34_1.22	Ba owasa fendrakose andrõ, ba õlaoe, owasa wamasi gandroe sahoelõ, ba owasa wamasi ba wasoelõna ndrõfi. 
EXO.34_1.23	Medõloe zi dõfi ndramoeʼoromaʼõ ira fõna Zoʼaja, Jehowa, Lowalangi Ndraono Gizeraëli, dozi motõi matoea ba chõmi. 
EXO.34_1.24	Oetimba sa fõnaoe soi niha andrõ, ba ebolo danõoe oebeʼe, ba lõ tola iʼisõ niha bõʼõ danõ andrõ chõoe, fatoea mõi misi jaw̃a ndraʼoegõ, ba wangoromaʼõ jaʼoegõ fõna Lowalangioe Jehowa, si medõloe zi dõfi. 
EXO.34_1.25	Bõi oroedoegõ ba roti si no moeʼaisõni ndro zoemange andrõ chõgoe, ba soemange andrõ ba gowasa fasa, ba tenga nibeʼe jaw̃a irege mahemoloe. 
EXO.34_1.26	Boea zahoelõ ba danõ chõoe, ba õʼohe ba nomo Lowalangioe Jehowa. Ono mbiribiri andrõ, ba bõi rino ba nõsi zoesoe ninania. 
EXO.34_1.27	Ba imane Jehowa chõ Moze: Tánõ ba zoera chõoe goroisa andrõ. Tandrõsa wawoeʼoesa ligoe chõoe ba ba Ndraono Gizeraëli sa goroisa andrõ. 
EXO.34_1.28	Ba õfa woeloe ngaloeo ba õfa woefoe mbongi waʼarania ba daʼõ chõ Jehowa; lõ manga ia ba lõ ibadoe hadia ia. Ba itanõ ba zoera goroisa ba wawoeʼoesa li andrõ, oroisa si foeloe andrõ, isoera ba gara andrõ. 
EXO.34_1.29	III. 
EXO.34_1.30	Ba me laʼila Aʼaroni ba Iraono Gizeraëli fefoe mbawa Moze, wa no sihaga, ba ataʼoe ira lahatõʼõ ira chõnia. 
EXO.34_1.31	Ba hoemede chõra Moze, ba lafoeli laʼotahõgõ ia, he Aʼaroni ba he satoea mbanoea fefoe; ba fahoehoeo chõra Moze. 
EXO.34_1.32	Awena laʼondrasi ia Iraono Gizeraëli fefoe. Ba iʼombachaʼõ chõra goroisa andrõ fefoe, niʼoroiʼõ Jehowa chõnia ba hili. 
EXO.34_1.33	Ba me no iʼoʼozoei Moze hoehoeonia chõra, ba ifobaloebaloe mbawania. 
EXO.34_1.34	Ba ero na iʼondrasi Jehowa Moze, ba wahoehoeosa chõnia, ba iheta mbaloebaloe andrõ, irege mõi ia baero, ba ifaʼema ba Ndraono Gizeraëli hadia niw̃aʼõ chõnia. 
EXO.34_1.35	Ba ero na si manõ, ba laʼila Iraono Gizeraëli, wa no sihaga goeli mbawa Moze. Ba ifoeli dania ifobaloebaloe mbawania Moze, irege mõi ia bacha zoei, ba wahoehoeosa chõ Jehowa.
EXO.35_1.1	I. 
EXO.35_1.2	Õnõ ngaloeo, ba tola mohalõw̃õ, ba loeo si fitoe andrõ, ba miʼamoniʼõ, baw̃a niʼamoniʼõ chõ Jehowa, salõsoe lõ mohalõw̃õ ami. Dozi sangai halõw̃õ na loeo daʼõ, ba niboenoe. 
EXO.35_1.3	Na loeo sabato andrõ, ba lõ tola miʼeboeaʼõ galitõ ba nahiami andrõ, fefoe. 
EXO.35_1.4	Ba hoemede na Moze ba mbanoea Ndraono Gizeraëli fefoe imane: 
EXO.35_1.5	Daʼõ niʼoroiʼõ Jehowa: Mibeʼe bobotolõ chõ Jehowa zi so chõmi, õsa: anaʼa ba firõ ba tõla 
EXO.35_1.6	ba oengoe sowōē waroewaroe ba sojo ba kirimisi ba tarafali ba boe nambi 
EXO.35_1.7	ba oeli mbiribiri si matoea nilaoe sojo ba oeli goeaza mina ba eoe bana 
