MAT.1.1	Ăṭṭarex n-
LUK.1.19	Innʼ-as ănjălos: «A-wa năkk Žibril-wa s-hărkuk əbdădăɣ dat-Măssinăɣ, ăšmašăl-ahi-dd săr-k i-ad-kăy-dd-səssiwəḍăɣ isălan-wi-dăɣ ăhuskătnen. 
LUK.1.20	Ămăra, šămad wăr hi-təflesăd a-s hak-əmməjrădăɣ s-tizarăt, ad-itwəṭṭəf emm-năk, ikrəs iləs-năk hundăɣ har ašăl wa d-mad-itbatăn isălan-wi-dăɣ hak-jeɣ.»
LUK.1.21	A-s ităjj a-wen-dăɣ, tamətte tăqqal i-Zăkărya, tofʼ-et tăkunt n-a-wa t-in-išlăn d-a-wa t-in-iṭṭafăn. 
LUK.1.22	Ălwăqq wa dd-izjăr, ittăr ad-ămmăjrăd i-ăddinăt măšan, indăr-as, əlmădăn a-s hărăt a has-dd-ănfalălăn dăɣ-ehăn-en-dăɣ, ad-hasăn-isitufəy i-ad-tăn-isəfhəm a-wa ijăn. 
LUK.1.23	Issəmdă Zăkărya tăqqăn-net dăɣ-əššăɣəl ɣas, iqqăl ehăn-net.
LUK.1.24	Təkrăš hănne-s ḍarăt-a-wen ənniyăt ɣas, ja səmmos orăn təffăr iman-net dăɣ-ehăn-net, 
LUK.1.25	janna: «Ǝnta da a-wa hi-ija Emăli-nin, ənta a dăɣ-i dd-iswăḍăn, ikkăs făll-i tăkrakiḍt ta ămoosăɣ jer-ăddinăt.»
LUK.1.26	Təjjăš Elizăbăt ewăr-net wa s-săḍis ɣas, ăšmašăl Măssinăɣ ănjălos-net Žibril s-taɣrəmt tiyyăt s-itawănna Năṣirăt hat teje ta n-Galila, 
LUK.1.27	ăssokʼ-e tămawaḍt wărăt təzzey meddən s-isəm-net Măryăma, ittar ăhaləs n-ahăya n-ămănokal Dawəd s-isəm-net Yusəf.
LUK.1.28	Osă-dd ănjălos Măryăma, innʼ-as: «Ǝjeɣ-am ăsafu kămm-i tənnəfrănăt ed, təkrăšăd idəm ɣur-Emăli-năm.» 
LUK.1.29	Issărmăɣ-tăt măjrăd-wen-dăɣ, ad-tattăr ălmăɣna n-manăwen-wa-dăɣ. 
LUK.1.30	Innʼ-as ănjălos: «Măryăma, wăr tărmeɣăd, ăzzăbbăt-dd Măssinăɣ ănnuɣmăt-net fălla-m, 
LUK.1.31	kămm da-dăɣ, ad-təkrəšăd ənniyăt, təkrəšăd ara, təjəd-as isəm Ɣisa. 
LUK.1.32	Ad-ikrəš isəm, iwăr-t isəm 
LUK.1.33	ad-imnukəl hărkuk făll-ehăn wa n-ihăyawăn n-Yaqub, tiɣlal təmmənukəla.»
LUK.1.34	Tənnă Măryăma ḍarăt-a-wen i-ănjălos: «Ǝndek əmmək wa s-e-ăj a-wen ed năkk, wăr-əzzeyăɣ meddən.» 
LUK.1.35	Innʼ-as ănjălos: «Ad-fălla-m dd-izzubbət Unfas Šăddijăn, tălsʼ-im tărna n-wa iknăn aḍkul, a-wen-dăɣ a făl ara wa šăddijăn dd-e-iwən, ad-t-iwăr isəm 
LUK.1.36	Ara n-meddən-năm, Elizăbăt, wădden ti-wăššărăt măšan, ad-təkrəš ara ənta-dăɣ, ənta-i s-kăla tămoos teməjjejrut, ha ămăra ewăr-net wa s-săḍis 
LUK.1.37	ed, wăr t-illa a-s wădden ăddoobăt-t Măssinăɣ.»
LUK.1.38	Tənnʼ-as Măryăma: «Năkk, taklit n-Emăli, itwəjjet-ahi a-wa s-tənned.» Ifăl-tăt ănjălos ăssaɣăt-wen-dăɣ, iglă.
LUK.1.39	Təkkă Măryăma išilan-win-dăɣ taɣrəmt tiyyăt n-kăl-Yăhuda hat iḍaɣăn. 
LUK.1.40	Tăwwăḍ-in ehăn wa n-Zăkărya, ad-tinməjj isofan d-Elizăbăt. 
LUK.1.41	Diha-dăɣ d-has-təja Măryăma ăsafu, ad-iggăd, iɣbăr-tăt alyaḍ wa ihăn tăsa-net, iḍnăy-tăt Unfas Šăddijăn ălwăqq-wen-dăɣ. 
LUK.1.42	Təḍkăl Elizăbăt emăsli-net, tənnă: «Tənḍəḍ-am kămm jer-tiḍeḍen, tənḍəḍ daɣ i-ara wa ihăn tăsa-năm. 
LUK.1.43	Ǝnta năkk-i-dăɣ, ma ămoosăɣ tis-ahi-dd anna n-Emăli-nin? 
LUK.1.44	Ijmaḍ-t ăššăk a-s diha-dăɣ d-əslănăt timəẓẓujen-in i-ăsafu-năm, ad-iggăd ara-wa ihăn tăsa-nin s-tedăwit. 
LUK.1.45	Tənḍəḍ-am kămm-i təflăsăt a-s Emăli a ijăn-dăɣ, ilkam ɣas, ad-isətbət a-wa s-ijjăš ărkăwăl-net.»
LUK.1.46	Tənnă Măryăma:
LUK.1.46	«Timələn iman-in təmɣăre n-Emăli,
LUK.1.47	ăddiwăt ulh-in făl təssəba
LUK.1.47	n-a-wa hi-ija Măssinăɣ-i n-Ămaɣlas-in.
LUK.1.48	Ikyăd-dd dăɣ-təmmăḍrit n-taklit-net.
LUK.1.48	Ɣur-ašăl-i-dăɣ, e d t-illăm
LUK.1.48	ere ilkamăn făll-ărori n-ăkall,
LUK.1.48	ad-hi-ănn: ‹Tənḍəḍ-am›
LUK.1.49	făl-a-s, Wa ilăn tărna, ijʼ-ahi a ăjjeen, šăddiij isəm-net.
LUK.1.50	Tăhanint-net tənsa făll-əzzurəyatăn
LUK.1.50	ti t-ăksuḍnen dăɣ-iwətyan iket-năsăn.
LUK.1.51	Issəkna tărna n-ăfuss-net,
LUK.1.51	ăsmăḍrăy s-ăṣṣahăt-net ăddinăt wi iha əttəkəbru,
LUK.1.52	ikkăs-dd daw-kăl-ăṣṣahăt təmmənukəla-năsăn,
LUK.1.52	issəfrăr tilaqqiwen,
LUK.1.53	ăsyăwăn iməlluẓa dăɣ-a-wa ăẓedăn,
LUK.1.53	ăsɣăr ifassăn n-kăl-ehăre.
LUK.1.54	Idhăl kăl-Iṣrayil-i n-eklan-net,
LUK.1.54	wăr hin-iṭṭef fălla-săn tăhanint-net
LUK.1.55	ed, ămoos a-wen ărkăwăl iɣlalăn
LUK.1.55	ijjaš i-imărawăn-nănăɣ wi n-ibda
LUK.1.55	s-əmmək wa s-t-ija i-Ibrahim d-ihăyawăn-net.»
LUK.1.56	Təzzăɣ Măryăma ɣur-Elizăbăt har tăssakăy əḍḍəkuḍ n-kăraḍ orăn təzzar, tăqqăl ehăn-net.
LUK.1.57	Tăwwăḍ-dd tăqqăn ta dăɣ-jarrăw Elizăbăt eɣăf-net, təkrăš ara n-eyy. 
LUK.1.58	Ǝslăn ănhărajăn-net d-išăqqaɣăn-net tihusay n-a-wa has-ija Emăli ɣas, ohărăn dăr-s tedăwit ta ja. 
LUK.1.59	Ikrăš ara əttam išilan ɣas, ămelăy, jăn-as ăddinăt isəm Zăkărya i-ad-umas anəmmăɣru n-ti-s 
LUK.1.60	măšan, tənnʼ-asăn ma-s: «Ăbo! Iwăret-t isəm Exya.» 
LUK.1.61	Ǝggădăn-dd săr-s ăddinăt, ənnăn-as: «Wăr t-illa ăwadəm dăɣ-ihănan-năwăn iwar isəm-wen-dăɣ.» 
LUK.1.62	Ăstafăyăn i-ti-s n-alyaḍ i-ad-ănn ənta isəm wa s-irha ad-iwăr rure-s. 
LUK.1.63	Ăstafăy-asăn i-ad-t-dd-əkfən a făll-iktăb, iktăb-asăn fălla-s: «Isəm-net: Exya.» Ǝqqălăn-dd ăddinăt ɣas oran imawăn. 
LUK.1.64	Ămera iləs n-Zăkărya ălwăqq-wen-dăɣ, ad-itamăjrad, itiməl Măssinăɣ. 
LUK.1.65	Tărmăs tuksəḍa n-Măssinăɣ ăddinăt-wi əzzăɣnen dăɣ-attayăn-en-dăɣ d-kăl-iḍaɣăn wi n-Ălyăhudəyăt, ad-timsiɣulăn isălan-wi-dăɣ. 
LUK.1.66	Ǝṭṭăfăn ăddinăt iket-năsăn wi əslănen a-wa ijăn dăɣ-ulhawăn-năsăn, ăqqimăn-dd ɣas, jannen: «Ak ara-wa-dăɣ, ma mad-umas?» Ara-i, ăsiwăr-t Măssinăɣ ăfuss-net.
LUK.1.67	Zăkărya-i n-ti-s n-alyaḍ, iḍkăr-t 
LUK.1.68	«Təmmal i-Emăli-i n-Ămakraš n-Iṣrayil făl-a-s,
LUK.1.68	ənta, ad-dd-iššărjăšăn tamətte-net, ăsdărfʼ-et.
LUK.1.69	Ăsfăqqăt-anăɣ-dd isək n-əlɣəllas dăɣ-ehăn n-akli-net Dawəd.
LUK.1.70	A-wen ăru tăn-inna Măssinăɣ
LUK.1.70	s-imawăn n-ănnăbităn-net wi n-iməššeddəjăn.
LUK.1.71	Issəlmăd-anăɣ a-s ad-hanăɣ-agəẓ dăɣ-išənja-nănăɣ,
LUK.1.71	ikkəs-anăɣ dăɣ-ifassăn n-imiksănăn-nănăɣ iket-dăɣ-năsăn.
LUK.1.72	A-wen-dăɣ a făl oḍăn tăhanint
LUK.1.72	i-abbatăn-nanăɣ wi n-ibda,
LUK.1.72	iktă-dd ărkăwăl-net wa n-tassaɣt šăddijăn hasăn-ijjăš.
LUK.1.73	Ămoos a-wen tahuḍe ija i-abba-nănăɣ Ibrahim
LUK.1.74	a-s has-innă, ad-hanăɣ-agəẓ dăɣ-išənja-nănăɣ,
LUK.1.74	ad-nəzzaɣ jere-săn măšan, wăr tăn-năksuḍ.
LUK.1.75	A-wen ijʼ-e, i-ad-t-năɣbəd hak ašăl dăɣ-təšədje
LUK.1.75	d-iqqud dăɣ-tuksəḍa-net.
LUK.1.76	Kăyy daɣ i n-rure-ɣ,
LUK.1.76	ad-kăy-iwăr isəm ănnăbi n-Măssinăɣ wa iknăn aḍkul,
LUK.1.76	kăyy a-madăn-izar i-Emăli i-ad-təknəd ibaran-net,
LUK.1.77	səlmədăd ăddinăt-net s-əlɣəllas
LUK.1.77	wa t-illăn ɣur-Măssinăɣ i-tenăšše n-ibăkkaḍăn-năsăn
LUK.1.78	făl-a-s, Măssinăɣ oḍăn-anăɣ tăhanint.
LUK.1.78	Dăɣ-idəm n-ehăf n-ărrăxmăt-net,
LUK.1.78	ad-hanăɣ-dd-isəssiwəy Ămaɣlas
LUK.1.78	olăhăn d-tăfukt dd-təjammăḍăt išənnawăn
LUK.1.79	i-ad-imləwləw ănnur-net
LUK.1.79	făll-ăddinăt wi ăqqimănen dăɣ-tihay,
LUK.1.79	han tele ta n-tamăttant,
LUK.1.79	i-ad-hanăɣ-išărjəš dăɣ-tabarăt ta n-ălxer.»
LUK.1.80	Idaggăl Exya, tiwwaḍ tayətte-net, izzaɣ tinariwen hundăɣ
LUK.1.80	har ašăl wa t-dd-ăšmašăl Măssinăɣ s-kăl-Iṣrayil.
LUK.2.1	Ăzzăman wa d-ăsiṭăbăl Qăyṣăr Ojărtăn e d t-illăm ămănokal, omăr s-ad-tiḍan tamətte făll-ărori n-ăkall. 
LUK.2.2	Tăḍint-ten-dăɣ tăzzarăt, təja dăɣ-ăzzăman wa d-ămoos Kirənyus gəfăr n-teje ta n-Surya. 
LUK.2.3	Dăɣ-təssəba n-a-wen-dăɣ innʼ ămănokal wa măqqărăn, a făl hak ăwadəm, iqqăl taɣrəmt-ta dăɣ-iwa i-ad-iḍan. 
LUK.2.4	Ifăl-dd Yusəf taɣrəmt ta n-Năṣirăt hăt teje ta n-Galila, ikkă taɣrəmt n-amɣar-net Dawəd ta s-itawănna Bătlehăm hăt teje ta n-Ălyăhudəyăt, ed ahăya n-Dawəd a ămoos, 
LUK.2.5	i-ad-iḍan ənta d-Măryăma ta n-tămutărt-net-i s-a-s ităjj a-wen-dăɣ, la ənniyăt. 
LUK.2.6	Han taɣrəmt-ten-dăɣ, a-s dd-tosa tăqqăn ta dăɣ-jarrăw Măryăma eɣăf-net. 
LUK.2.7	Təjrăw eɣăf-net, təkrăš teɣăfădde-net, təttăl-t dăɣ-ikăršăyăn, təssənsʼ-e dăɣ-efăyd făl-a-s, ehăn wa n-imăjarăn, ăbas t-iha edăgg.
LUK.2.8	Ăkall-en, han-t imăḍanăn ăssinbărnen irəzzejăn-năsăn dăɣ-isalwan illa-hin i-aɣrəm sihen. 
LUK.2.9	A ənḍărrăn, ibdăd-dd ănjălos n-Măssinăɣ data-săn, ăsmălăwlăw-dd ălxurmăt n-Emăli edăgg wa hăn, əknăn-dăɣ tarəmmeɣt 
LUK.2.10	măšan, innʼ-asăn ănjălos: «Wăr tărmeɣăm, ənhəywăt, ăwwayăɣ-awăn isălan n-ălxer maden-umas əssəbab n-tedăwit i-tamətte iket-dăɣ-net. 
LUK.2.11	Ašăl-i, iwʼ-awăn Ămaɣlas dăɣ-taɣrəmt ta n-ămănokal Dawəd, ənta a-s 
LUK.2.12	Ǝnta da a-wa s-t-mad-təzzəyăm: ad-tənhəyăm ara s-iket iwa, ittal dăɣ-ikăršăyăn, insa dăɣ-efăyd.» 
LUK.2.13	Diha-dăɣ d-issəmdă ănjălos tənna n-a-wen-dăɣ, ad-dd-ăddew abrək n-ănjălosăn timəlnen Măssinăɣ, jannen:
LUK.2.14	«Təmmal i-Măssinăɣ dăɣ-išənnawăn,
LUK.2.14	ălxer ija făll-ărori n-ăkall
LUK.2.14	i-ăddinăt-wi făll-tənsa tărha-net.»
LUK.2.15	Ǝqqălăn ănjălosăn išənnawăn ɣas, ănmănnăn imăḍanăn: «Adiš, năkket Bătlehăm i-ad-nənhəy a-wa ijăn d-a-wa hanăɣ-issəlmăd Emăli.» 
LUK.2.16	Ăšwănken ălwăqq-wen-dăɣ, ogăẓăn-in dihen Măryăma d-Yusəf d-ara wa s-iket iwa, insa dăɣ-efăyd. 
LUK.2.17	Ǝnhăyăn-t imăḍanăn ɣas, ăssoɣălăn i-ăddinăt a-wa hasăn-ătwănnăn făll-ara wa ənḍărrăn. 
LUK.2.18	Ăkunăn ăddinăt iket-năsăn wi əslănen i-a-wa ənnăn imăḍanăn 
LUK.2.19	măšan, Măryăma-i n-ma-s n-alyaḍ, təṭṭăf isălan-win-dăɣ iket-năsăn dăɣ-iman-net, siməktəw-tăn dăɣ-ulh-net i-ad-təlməd ălmăɣna-năsăn. 
LUK.2.20	Ǝqqălăn imăḍanăn ḍarăt-a-wen, ad-samɣarăn Măssinăɣ, tiimələn-t făl təssəba n-a-wa əslăn d-a-wa ənhăyăn s-əmmək-wa-dăɣ s-hasăn-ătwănna.
LUK.2.21	Ikrăš ara əttam išilan ɣas, ămelăy, jăn-as isəm Ɣisa, isəm wa s-hasăn-innă ănjălos ad-has-t-əjən hărwa wăr-iwa.
LUK.2.22	Dăɣ-isălan n-a-wa tənna Ăṭṭăwrăt ta n-Mosa, ăddew Yusəf d-Măryăma s-
LUK.2.23	făl-a-s, iktab dăɣ-alămăr n-Emăli a-s: «Alyaḍ n-eyy wa n-teɣăfădde, umaset eməššeddəj n-Măssinăɣ.» 
LUK.2.24	Dăɣ-isălan n-ašəšdaj n-iman-năsăn, lan s-ad-əjən takute n-sănatăt tidăberen dăɣ-ti n-ăroj meɣ daɣ sănatăt măllolnen dăɣ-ti n-aɣrəm ed, a-wen-dăɣ a iktabăn dăɣ-alămăr n-Emăli.
LUK.2.25	A ənḍărrăn ăhaləs iyyăn da-dăɣ izzaɣăn Yărussălam s-isəm-net Šămɣun. A ija a-wa-dăɣ, ijar ăṭṭăma n-əlɣəllas wa s-inna Măssinăɣ i-Iṣrayil, ăssinsa daɣ Măssinăɣ 
LUK.2.26	Ăru d-has-dd-ănfalăl Măssinăɣ dăɣ-tăharjit, ijjăš-as ărkăwăl s-tărna n-Unfas Šăddijăn n-a-s wăr mad-ămmăt wăr-inhey 
LUK.2.27	Ašăl-en-dăɣ, imhăl-t-dd Unfas Šăddijăn s-
LUK.2.28	Irmăs-t-dd Šămɣun dăɣ-ifassăn-năsăn, ad-itiməl Măssinăɣ, ijanna:
LUK.2.29	«Emăli!
LUK.2.29	Ămăra, ărməs unfas dăɣ-akli-năk
LUK.2.29	i-ad-igəl dăɣ-ălxer ed, a-wa s-has-tənned, ijă.
LUK.2.30	Ăjjunfănăt tiṭṭawen-in dăɣ-əlɣəllas-năk
LUK.2.31	wa dd-tăsmăjned i-ăddunya iket-dăɣ-net.
LUK.2.32	Ǝlɣəllas wa s-ənta a-s ănnur i-inəẓẓulam
LUK.2.32	i-ad-hasăn-dd-tənfilələd,
LUK.2.32	ămoos ălxurmăt-năk i-kăl-Iṣrayil-i n-tamətte-năk.»
LUK.2.33	Iqqăl-dd ti-s d-ma-s ɣas tofʼ-en tăkunt n-a-wa itawănnen făll-alyaḍ-i-dăɣ. 
LUK.2.34	Ittăr Šămɣun ḍarăt-a-wen a dăɣ-săn ijăn ălbăraka təzzar, innă i-Măryăma-i n-ma-s: «Alyaḍ-i, ənhəy, ăsnăfrăn-t Măssinăɣ i-ad-umas tebădde d-ejăḍăl i-kăl-Iṣrayil, umas daɣ əssəbab n-tamɣənnant i-ăddinăt ăjjootnen. 
LUK.2.35	Dăɣ-təssəba-net, ad-dd-iffukkăr a-wa ihăn ulhawăn n-ăddinăt ăjjootnen. Kămm daɣ, ad-ham-umas əssəbab n-uɣšad n-iman olăhăn d-tidij n-tăkoba.»
LUK.2.36	Ăzzăman-en, təllʼ-ee tănnăbit təknat tušăre la tawset ta n-dăgg-Ašir s-isəm-net Hănnătu wălăt Fanwăl. Dăɣ-təmmăḍrit-net, kăla tăt-iḍăs adubən dăɣ-təja əssa iwətyan, 
LUK.2.37	ăbʼ ăhaləs-net ɣas, tăqqiimă-dd, wăr toles adubən, la ămăra-dăɣ a iwwăḍăn əttamăt timərwen n-awătay d-əkkoẓ. A ija a-wen-dăɣ, kăla wăr fel ehăn n-ămudd wa măqqărăn, ehăḍ d-ašăl ɣabbăd Măssinăɣ, tăxdam-as, tuẓam. 
LUK.2.38	Ăssaɣăt-wen-dăɣ ad-dd-tosa ənta-dăɣ, ad-tiiməl Măssinăɣ, tajj isălan n-Ɣisa i-ăddinăt iket-năsăn wi jărnen ăṭṭăma n-ad-dd-izəzzubbət Măssinăɣ tădarfit-net făll-Yărussălam.
LUK.2.39	Ǝssəmdăn imărawăn n-Ɣisa a-wa fălla-săn ifrăḍ alămăr n-Emăli ɣas, əqqălăn taɣrəmt-năsăn Năṣirăt, dăɣ-teje ta n-Galila. 
LUK.2.40	Idaggăl Ɣisa, itiṣuhut, itəggar-t sărho dăɣ-isălan n-a-wa irha Măssinăɣ făll-ăgg-adəm, ikna daɣ fălla-s Măssinăɣ asəns n-ănnuɣmăt-net.
LUK.2.41	Hak awătay, əkkan imărawăn n-Ɣisa Yărussălam i-
LUK.2.42	Ikrăš Ɣisa măraw iwətyan d-əssin ɣas, ăddewăn dăr-s ed, a-wen-dăɣ, a innă ălɣadăt n-ămudd. 
LUK.2.43	Ăssakăyăn ămudd dihen ɣas, əqqălăn ihănan-năsăn măšan, ăqqiima-hin Ɣisa ḍara-săn dăɣ-Yărussălam. Wăr t-oḍenăn hundăɣ har hin-əjrăhăn a-s wăr dăr-săn ăddew. 
LUK.2.44	Ǝjăn ašăl imdan n-asikəl ija ɣur-săn a-s ăddew d-iməssukal-wi iyyăḍnen dăr-săn ohărnen tabarăt, əjrăhăn-in a-s wăr dăr-săn ăddew ɣas, əqqălăn dăɣ-adăriš-năsăn, ad-has-tammăɣăn ɣur-išăqqaɣăn-năsăn d-imuzăyăn-năsăn 
LUK.2.45	măšan, ăba-hasăn-t hundăɣ har hin-əwwăḍăn Yărussălam. 
LUK.2.46	Šămad okayăn kăraḍ išilan ad-t-əjrăwăn ăniɣăyma dăɣ-
LUK.2.47	Ăkunăn ăddinăt iket-dăɣ-năsăn wi sallănen i-a-wa ijănna dăɣ-tayətte-net d-ălwižabăn-net. 
LUK.2.48	Ălwăqq wa d-t-ənhăyăn imărawăn-net dihen, ăqqănăn iɣăfawăn-năsăn, tənnʼ-as ma-s: «Alyaḍ-in, ma ămoos a-wa hanăɣ-jed? A ija a-wa-dăɣ, nətammăɣ-ak năkk d-abba-năk ed năɣel asujjəl a jed.» 
LUK.2.49	Innʼ-asăn: «Mafăl hi-tammăɣăm, ajăn wăr təssenăm a-s leɣ s-ad-hi-əšləwăn əššăɣəlăn n-Abba-nin dăɣ-ehăn-net?» 
LUK.2.50	Wăr t-illa a əjrahăn dăɣ-a-wa hasăn-innă. 
LUK.2.51	Ăddew dăr-săn ḍarăt-a-wen s-Năṣirăt, ăqqim isajăd i-a-wa has-jannen. Təṭṭaf anna-net hărătăn-winnin-dăɣ, wăr tăn-iha-i hin-tatăwa. 
LUK.2.52	Idaggăl Ɣisa dăɣ-eɣăs-net, itisărhut, ijraẓ i-Măssinăɣ hakd dăgg-adəm.
LUK.3.1	Awătay wa s-măraw d-səmmos dăɣ-təmmənukəla n-Qăyṣăr Tibăryus, ămoos Bunəs Bilatəs gəfăr n-teje ta n-Ălyăhudəyăt, ămoos Harudəs ămănokal n-teje ta n-Galila, ăŋŋa-s Fəlibb ăminakăl făll-Tarăkunit d-Ǝyyadurəya, Lisanyas ənta ăminakăl făll-ăkall wa n-Abila. 
LUK.3.2	Ăzzăman-en, Hənnan d-Qayăf a ăminakălnen făll-
LUK.3.3	Ikkʼ Exya ḍarăt-a-wen ikallăn iket-năsăn wi hănen attayăn n-ejănš wa s-itawănna Ɣurdəni. Ixaṭṭăb, ijanna i-ăddinăt: «Utabăt, tətwəsəlmăɣăm dăɣ-aman i-ad-təjrəwăm tenăšše n-ibăkkaḍăn.» 
LUK.3.4	A-wen-dăɣ išlăn Exya, a iktabăn dăɣ-əlkəttab wa n-ănnăbi Saya
LUK.3.4	«Săjdăt, ija emăsli iyyăn ijannen:
LUK.3.4	‹A-wa emăsli ăssewălăn dăɣ-tenere,
LUK.3.4	ăknăt tabarăt n-Emăli,
LUK.3.4	səssiɣədăt ibaran data-s.
LUK.3.5	Iɣəšran-wi ɣăšnen, ad-ənbəlăn,
LUK.3.5	iḍaɣăn d-ijefăn, ad-aləmən,
LUK.3.5	ibaran-wi ăkrănbăynen, ad-aɣədən,
LUK.3.5	tabarăten-ti ărbăɣrăbăɣnen, ad-agdăhnăt,
LUK.3.6	e d t-illăm ăgg-adəm,
LUK.3.6	ad-inhəy əlɣəllas wa dd-ăzzăbbăt Măssinăɣ.› »
LUK.3.7	Osăn-dd ăddinăt ăjjootnen ărhanen ad-tăn-isəlmăɣ Exya dăɣ aman, innʼ-asăn: «Ya taššălen-i-dăɣ! Wădden tənnăm təmsădăm! Ǝyya, a tărham ad-tətwəsəlmăɣăm i-ad-təfləm daw-ăššăreɣa n-Măssinăɣ wa s-išwar fălla-wăn dd-oḍa. Lăɣătăt-ahi, mi kăwăn-issəlmădăn s-a-wen? 
LUK.3.8	Sətbətăm tătubt-năwăn s-imărkedăn, təyyəm fălla-wăn tənna n-a-s əzzurəyăt n-Ibrahim a nămoos ed afăl tăqqăl s-isălan n-əzzurəyăt ɣas, ăyyăt-ahi ad-hawăn-ănnăɣ a-s: Măssinăɣ, ăddoobăt ad-isəmməskəl tihun-ti-dăɣ hannăyăm, ixlək-dd dăɣ-snăt əzzurəyăt i-Ibrahim. 
LUK.3.9	Ăjăt ənniyăt făl-a-s emm n-tutăla ăru d-insa făll-ikewăn n-ihəškan, e d t-illăm ahəšk wărăn itirəw aratăn ihʼ-ălfăyda, ad-hin-ăttănkăḍ, itwəjăr-in dăɣ-efew.»
LUK.3.10	Ǝssəstănăn-t ăddinăt wi has-ăsijădnen, ənnăn-as: «Ma s-nəla s-ad-t-năj?» 
LUK.3.11	Ăwwežăb-asăn, innʼ-asăn: «Ere dăɣ-wăn ilăn əssin imălsan, ăkfet iyyăn i-wa wărăn ila wălʼ iyyăn, wa ilăn a ikša, ăkfet ere wa t-wărăn ila.» 
LUK.3.12	Osăn-t-dd ḍarăt-a-wen inarmasăn n-tiwse i-ad-tăn-isəlmăɣ dăɣ-aman, ənnăn-as: «Ălɣalim, ma s-nəla s-ad-t-năj?» 
LUK.3.13	Innʼ-asăn: «Wăr tətterăm dăɣ-ăddinăt ar a-wa s-omăr əlxəkum.» 
LUK.3.14	Ǝssəstănăn-t əssărdusa, ənnăn-as: «Năkkăneḍ-i-š, ma hanăɣ-iwarăn?» Innʼ-asăn: «Wăr toheɣăm ăwadəm, wăr təssəḍlămăm ăwadəm s-bahu, ăjăt ărramăt dăɣ-timẓal-năwăn.»
LUK.3.15	Ăddinăt iket-dăɣ-năsăn wi əslănen i-a-wa ijănna Exya, jărăn ăṭṭăma, ad-tinməsəstinăn kunta wădden ənta-i-dăɣ a-s 
LUK.3.16	Ăwwežăb-asăn, innʼ-asăn: «Năkk, aman a dăɣ-kăwăn-salmaɣăɣ măšan, ilkam-ahi ăhaləs hi-ijan mijraw wa-dăɣ s-wăr-ănhăjjăɣ wăla-dăɣ d-ad-ăḍəsăɣ issal n-tifădelen-net, ənta ad-kăwăn-isəlmăɣ dăɣ-Unfas Šăddijăn d-efew i-ad-hin-istəb a-wa lăbasăn. 
LUK.3.17	Iṭṭaf tesăyt-net ta s-hin-e-izzuzzăr allon-net, isədəw allon wa olăɣăn, ăjʼ-e dăɣ-ejănd-net, irməs ahošăr wa wărăn infa hărăt, ăjʼ-e dăɣ-efew ăhijăljălăn hărkuk.»
LUK.3.18	Ikkʼ Exya dədi, itajj isălan n-ălxer n-
LUK.3.19	Ăzzăman-en-dăɣ, ad-ăsmăhăḍ Exya făll-ămănokal Harudəs Intibbas dăɣ-isălan n-Hărudəyyas ta n-hănne-s n-ăŋŋa-s Fəlibb dăɣ-s ohăɣ, illăɣăt-as daɣ ibăkkaḍăn ăjjootnen ămešăl săl wen-dăɣ. 
LUK.3.20	Ăssewăḍ Harudəs făll-a-wen-dăɣ iket-net iji n-Exya dăɣ-takărmut.
LUK.3.21	A-wen-dăɣ iket-net, ija ḍarăt a-s ăssilmăɣ Exya ăddinăt ăjjootnen d-Ɣisa iman-net dăɣ-aman. Ălwăqq wa d-ititwəsəlmeɣ Ɣisa, itəddal Măssinăɣ dihen-dăɣ a-s dd-ămerăn išənnawăn, 
LUK.3.22	ăzzubbăt-dd fălla-s 
LUK.3.22	«Kăyy-i-dăɣ a-s 
LUK.3.22	kăyy a dăɣ-ăsriwăn iman-in.»
LUK.3.23	Ila Ɣisa əḍḍəkuḍ n-kăraḍăt timərwen n-awătay a-s issənta ămašal-net, ija ɣur-ăddinăt iket-năsăn wi t-hannăynen a-s rure-s n-Yusəf wa n-ăgg Xali.
LUK.3.24	Xali ənta, ăgg Mătata, Mătata ăgg Lewi,
LUK.3.24	Lewi ăgg Mălki, Mălki ăgg Yănnay,
LUK.3.24	Yănnay ăgg Yusəf,
LUK.3.25	Yusəf ăgg Mătaṣiyas, Mătaṣiyas ăgg Ɣămmosa,
LUK.3.25	Ɣămmosa ăgg Năxwama, Năxwama ăgg Xăšli,
LUK.3.25	Xăšli ăgg Naggay,
LUK.3.26	Naggay ăgg Mătti, Mătti ăgg Mătaṣiyas,
LUK.3.26	Mătaṣiyas ăgg Šămɣi, Šămɣi ăgg Yosăx,
LUK.3.26	Yosăx ăgg Yoda,
LUK.3.27	Yoda ăgg Exya, Exya ăgg Ɣisa,
LUK.3.27	Ɣisa ăgg Žărrubabil, Žărrubabil ăgg Ăṣṣălat,
LUK.3.27	Ăṣṣălat ăgg Năyri,
LUK.3.28	Năyri ăgg Mălki, Mălki ăgg Ăddi,
LUK.3.28	Ăddi ăgg Kosăm, Kosăm ăgg Ălmădăm,
LUK.3.28	Ălmădăm ăgg Err,
LUK.3.29	Err ăgg Ɣisa, Ɣisa ăgg Ɣəlyazăr,
LUK.3.29	Ɣəlyazăr ăgg Yurim, Yurim ăgg Mătata,
LUK.3.29	Mătata ăgg Lewi,
LUK.3.30	Lewi ăgg Simyon, Simyon ăgg Yăhuda,
