MAT.1.1	Dawute naa, Abrahaame naa gidida Yesus Kirstoosa yeletetha zarkey hayssafe kaallizayssa;
LUK.18.31	Yesusikka bana kaalliza tammanne nam7ata dumma efidi “Ha7i nuni Yerusalame kezana goos; nabeti asa naa gish xaafidayssi wuri polettana. 
LUK.18.32	Dere asas aaththi immana; istika iza qidhi ka7ananne waayssana; iza bolla cuttana. 
LUK.18.33	garafana; hessafekka zaaridi wodhana; Izikka heedzdzantho gallas hayqoppe dendana” gides.
LUK.18.34	Iza kaallizayti gidikko hessa ubbafe issinoka eribeyttenna. Iza gizayssikka istas gelibenna. Izi aaza gish haasayidakkonne eribeyttenna.
LUK.18.35	Yesusi Iyarko geetettizaso matida wode issi qooqe addey oge duunan uttidi woosses. 
LUK.18.36	He qooqe addezikka daro asay ogera aadhdhizayssa siydi “Hessi aazee?” gi oychides. 
LUK.18.37	Istika izas “Naazirete Yesusi hayssara aadhdhees” giidi yootida.
LUK.18.38	Izikka “Dawute naa Yesusa taas qadheta” gi waassides.
LUK.18.39	Yesusappe sintheti bizayti “Co7u ga!” giidi hanqettida. Gido attin izi “Dawute nawu! Taas qadheta” giidi darsi waassides. 
LUK.18.40	Yesusikka eqqidi addeza izakko ehanna mala azazides; izikka izakko shiiqida wode 
LUK.18.41	“Ta nees ay ooththana mala koyay?” giidi oychides. Qooqezikka “Godo xeellanas koyays” gides.
LUK.18.42	Yesusikka “Nena ne ammanoy pathides xeella” gides. 
LUK.18.43	Addezi heerakka xeellides; Xoossakka bonchishe Yesusa kaallides. Hessa beyida derey wuri Xoossa galattides.
LUK.19.1	Yesusi Iyarko geetettizasora aadhdhi bishin, 
LUK.19.2	Zekkiyoosa geetettiza issi asi heen Yesusi biza oge bolla dees. Izikka dere qaraxa qanxisizaytas halaqanne keehi dure asa. 
LUK.19.3	Izi Yesusa geetettizayssi awayssakkonne beyanas koyishin qaantha asa gidida gishshinne daro derey Yesusa kaalliza gish Yesusa beyanas dandaybenna. 
LUK.19.4	Yesusi he ogera aadhdhishin sinthe aadhdhidi oge bolla diza issi eththa mitha bolla kezides. 
LUK.19.5	Yesusi eththa gars gakkidi dhoqu histi xeelidi “Zekkiyoosa! Hach ta ne keeththan pe7anas bessees. Elela wodhdha” gides.
LUK.19.6	Izikka elle wodhdhidi ufayssan mokki ekkides. 
LUK.19.7	He wode heen izara diza asay hessa beyidi “Nagarancha asa keeththan imato maana gees” giidi wurikka ba giddon zuuzumettida.
LUK.19.8	Gido attin Zekkiyoossi eqqidi “Godo! Tani taas diza miishe ubbafe bagga shaakada manqotas immana; tani oonappekka wordora bonqa ekkidazi diikko oyddu kushe gujjada izaades immana” gides.
LUK.19.9	Yesusikka “Ha addezi Abrahaame naa gidida gish hach ha keeththas paxatethi yides” gides.
LUK.19.10	Hayssas gaasoyka Asa Nay haa yiday dhayidayssa koyanassinne ashshanassa. 
LUK.19.11	Asay hayssa siyishin leemisora haasaya oykkides; gaasoyka izi Yerusalame gakkanaas matida gishshinne asatas Xoossa Kawoteth qoncana haniza misatida gishassa. 
LUK.19.12	Hessa gish “Issi kawo nay ba kawoteththa shuumeteth ekki yaanas haaho biitta bides. 
LUK.19.13	Ba ashkarata giddofe tammata xeygidi tammu minane istas immidi ‘Ta simmada yaana gakkanaas hayssa miishan zal7ite’ gides. 
LUK.19.14	“He dere asati qasse iza ixida gish ‘Hayssi addezi nu bolla kawotana mala koyokko’ giidi as iza geedora kiita aaththi yeddida.
LUK.19.15	“Gido attin ha kawo naazi kawo gididi guye ba dere simmides. Kase bishe tammu minane immida tammu ashkarati izi immida biran zal7idi ay keena tirfisidakkonne eranas ista xeygides.
LUK.19.16	“Istafe koyroy shiiqidi ‘Godo! Ne taas immida tammu minaney hara tammu yelides’ gides.
LUK.19.17	“Godazikka iza ‘Ne ammanettida ashkara; lo7o ooththadasa. Ne guutha miishan amanettida gish tammu katamata ne haarana mala nees immadis’ gides.
LUK.19.18	“Nam7anthozikka izakko shiiqidi ‘Godo! Ne taas immida minaneppe hara ichashu minaney wodhdhides’ gides.
LUK.19.19	“Iza godazi izas zaaridi ‘Neni ayssana mala tammu katamati nees imettida’ gides.
LUK.19.20+LUK.19.21	“Qasseka hanko oosanchay shiiqidi ‘Godo! Neni woothontasoppe ekkizadde; zerontasoppe maxizadenne menxe iita as gidida gish ta nees babbada curqan xaaxa woththida ne minaneyo hey ekka’ gides.
LUK.19.22+LUK.19.23	“Iza godazi zaaridi izas ‘Haysso iita oosanchazo! Ta ne qaalan nena zaara pirdays. Tani wothontasoppe ekkizaddenne zerontasoppe maxiza menxe iita as gididayssa eraasashin tani ta miisha yelora ekkana mala he miishan ooththana asatas aazas immabeekii?’ gides.
LUK.19.24	Iza “Godazikka heen eqqida asata ‘Iza kusheppe minaneza ekkidinne tammu minaney dizayssas immite’ gides.
LUK.19.25	“Istika zaaridi ‘Godo! Izas tammu minaney deessikko’ gida.
LUK.19.26+LUK.19.27	“Izikka zaaridi ‘Dizades ubbas haray gujjettana; bayndades kase dizayssi izappe ekettichana. 
LUK.19.28	Hessa haasayi simmidi Yesusi Yerusalame kezanas istafe sinthati bides. 
LUK.19.29+LUK.19.30+LUK.19.31	Dabrazayte geetettiza zuma bolla diza Betefaagenne Bitaaniya geetettiza katamatako matida wode bana kaallizaytappe nam7ata “Heeni inte sinthan diza qeeri katamayo biite; biidi katamayo inte gelishin oonikka togi eronta issi qasheti diza Hare gutte inte demmenna; iza birshidi haa taas ekki yiite; intena oonikka ‘Aazas birshetii?’ giidi oychikko ‘Godas koshshees gite’ ” gi kiittides.
LUK.19.32	Kiitetidaytikka biidi izi istas yootida mala hare gutteza demmida. 
LUK.19.33	Isti gutteza birshin gutteza godati beyidi “Aazas birshettii?” giidi oychida.
LUK.19.34	Istika “Godas koshshees” gida. 
LUK.19.35	Hare gutteza Yesusakko ehidi ba may7o wursi gutteza bolla yeggidi Yesusa Hare gutteza togisida. 
LUK.19.36	Asay wurikka ba afala Yesusi biza oge bolla micides.
LUK.19.37+LUK.19.38	Dabrazayte zuma bollara duge woththiza ogezakko matida wode qooday baynda derey ba beyida malata gish wurikka ufayssara ba qaala dhoqu histidi “Goda sunthan yiza kawoy anjettidayssa; saroy salon bonchoy saloppe bolla salon gido” gides. 
LUK.19.39	Deretappe issi issi Farsaaweeti Yesusa “Astamaare! Ha nena kaalliza asay gizayssa goonta mala hanqa” gides.
LUK.19.40	Izikka istas zaaridi “Hayti co7u gidakkonne shuchchatikka waassana” gides.
LUK.19.41+LUK.19.42+LUK.19.43	Yesusi Yerusalame matishe katamayo beyidi izis yeekkides. “Nees saro gidizaz hachchi ne eridakko aaze dizay? Ha7i ne ayfeppe qotettida gish ne morketi heera haara nena giddoththidi un7ethana wodey yaana. 
LUK.19.44	Nenanne ne gibbe giddon nenara diza ne nayta wursi biitta kessana. Shuchchakka shuchcha bollafe laalonta aggettenna. Hessi wurikka Xoossi nena koyishin neni eronta aggida gishassa” gides.
LUK.19.45	Hessafe kaallidi Yesusi Xoossa Keeththe gelidi Xoossa Keeththa giddon zal7izayta kessides. 
LUK.19.46	Qasseka “Ta keeththay Woosa Keeththa gidana geetettidi xaafettides; inten gidikko pangay diza gongolo histideta” gides. 
LUK.19.47	Wontin wontin Xoossa Keeththan izi tamarisishin Xaafetinne dere halaqati iza wodhanas koyda. 
LUK.19.48	Gido attin derey wurikka izara oyketidi izi tamarsizayssa kaalliza gish ooththanazi istas kirqi gides.
LUK.20.1	Issi gallas Yesusi asaa Xoossa Keeththan tamarsishinne Mishiraachcho qaala sabakishin Qeese halaqati Xaafetinne dere Cimati shiiqettidi izakko yida. 
LUK.20.2	“Hayssa ne ooththizay oona shenenee? Nees shene immiday oonee?” giidi iza oychida.
LUK.20.3	Izikka istas “Takka intena issi oysho oychays; ane taas zaarite. 
LUK.20.4	Yohannisa xinqatay saloppeyee? Asappee?” gides.
LUK.20.5	Istika ba giddon issoy issara “Nu ‘Yohannisa xinqatay saloppe’ giikko izi nuna ‘Histin aazas ammanibeekketii?’ gaana. 
LUK.20.6	‘Asappe’ giikko asay wuri Yohannisi nabe gididayssa ammaniza gish nuna shuchchara caddana” gi zorettida.
LUK.20.7	Hessa gish “Izi awappekkonne nu erokko” giidi zaarida.
LUK.20.8	Yesusikka histikko “Takka aaza wolqan ooththizakkonne intes yootikke” gides.
LUK.20.9	Qasseka Yesusi asaas leemisora “Issadey woyne mith tokkides; gade goyizaytas kira immidinne hara dere biidi heen gam7ides. 
LUK.20.10	Kaxiza bone wode kathafe ekki yaana mala ba ashkaratappe issade gadeza goyda asatakko yeddin gadaa goyizayti kiita bidayssa qoxidi mela kushe yeddida. 
LUK.20.11	Kaalethidikka hara ashkara yeddin goshshanchati ha7ikka oykki qoxidinne kawushshidi mela yeddida. 
LUK.20.12	Ha7ikka kaaleththidi heedzdzantho ashkara yeddin goshshanchati izakka qoxerethi madunthidi gede kare kessi yeggida.
LUK.20.13	“Woyne mitha goday ‘Ha7i ay ooththoo? Oone erizay ta keeha siiqiza ta naaza yeddidakko iza bonchandettoshaa?’ gides.
LUK.20.14	“Gido attin biitta goyizayti naaza beyida mala ba giddon ‘Hayssi iza laattana naaza gidennee? Haa yiite iza wodhidi biitta laattoos’ giidi zoretida. 
LUK.20.15	Woyine mitha tokkidasoppe gede kare kessidi naaza wodhida. Histikko ha7i woyne mitha goday ha asata wostanee? 
LUK.20.16	Yiidinne he goshshanchata dhayssana; woyne mitha tokkizasoza haratas immana” gides. Dereyka hessa izi gidayssa siydi “Hayssa malay hanoppo” gides.
LUK.20.17	Yesusikka “Istako xeelidi ‘Histin shuchchan keeththe keexiza asati leqqi aggida shuchchay keeththas waanna hu7e gidana” geetettidi xaafettida leemisozas birsheththay aazee?’ gides. 
LUK.20.18	Ha shuchcha bolla kundiday wuri shuchchan qoxettana; shuchchaykka iza bolla wodhdhidadey wurikka liiqana” gides.
LUK.20.19	Xaafetinne Qeeseta halaqati hessi leemisozi ista bolla haasayettidayssa eridi heerakka iza oykkanas koyda shin derezas babbida. 
LUK.20.20	Yesusa wolqara haarizaytas aaththi immanas iza duunappe keziza bala qaala demmidi oykkanas kaalli kaalli naagidanne xillo asa misatidi iza kaalli iza duunappe yo7o naagiza asata izakko yeddida. 
LUK.20.21	Iza duunappe yo7o koyiza asati Yesusa “Astamare! Neni tuma haasayizayssanne tuma tamarsizayssa qasseka Xoossa oge ne tumu tamarsizayssanne oonakka shaaka maadontayssa nu eroos. 
LUK.20.22	Gido attin Qeesares giira giiranas bessizee? Bessennee?” giidi oychida.
LUK.20.23	Izikka istas diza gene qofa eridi, 
LUK.20.24	“Ane issi dinare tana bessite, hayssi iza bolla diza medhazinne Xaafetoyssi oonayssee?” gides. Istika “Qeesareyssa” gida.
LUK.20.25	Izikka zaaridi istas “Qeesareyssa Qeesares, Xoossayssa Xoossas immite” gides.
LUK.20.26	Hessa gish izi haasayida qaalappe ekkidi asa sinthan iza qaxanas dandaybeetenna; izi immida qaalan malalettidi co7u gida.
LUK.20.27	Hayqqidayta denthi baawa giza Saduqaawetappe issi issi asati Yesusakko yiidi oysho shiishida. 
LUK.20.28	“Godo! ‘Issadey macho ekkidi naa yelonta hayqqikko he hayqqidayssa macheyo iza ishay ekkidi ba isha laattana naa izas yelo’ giidi Musey nuus xaafides. 
LUK.20.29	Histin laapun ishati deettes shin istafe bayray machidi naa yelonta hayqqides. 
LUK.20.30	Iza kaalozikka izatho hayqqides; 
LUK.20.31	heedzdzanthozikka izo ekkidees; laapunati wurikka he macasayo ekkidi wurikka naa yelonta hayqqida. 
LUK.20.32	Wursethan macasaya hayqqadus. 
LUK.20.33	Laapunatikka ha macasayo ekkida shin ha macasaya wursethan hayqqidayti dendiza wode iza awayssa macho gidanee?”
LUK.20.34	Yesusi istas “Ha dere nayti geleettessinne ekkettes. 
LUK.20.35	Buro yaana alamen hayqqidayta dentha demmanas bessizayti gidikko gelettenanne ekkettenna. 
LUK.20.36	Isti Kiitanchata mala gidana gish hessafe guye hayqqettenanne hayqoppe dentha nayta gidida gish isti Xoossa nayta. 
LUK.20.37	Musey qeeri wora gish xaafettida taarikezan Goda ‘Abrahaame Xoossa, Yisaaqa Xoossa Yaqoobe Xoossa’ guussan hayqqidayti dendanayssa bessees. 
LUK.20.38	Wurikka izas de7oy diza gish izi paxata Xoossafe attin hayqqethata Xoosse gidenna” gides.
LUK.20.39	Issi issi xaafeti “Astamare! Lo7o gadasa” gida. 
LUK.20.40	Hessafe guye ay asikka iza oychanas xaalibeenna.
LUK.20.41	Hessafe guye Yesusi “Asay Masihe waanidi izi Dawute naa gizee? 
LUK.20.42+LUK.20.43	Gaasoyka Dawutey ba xaafida mazamure maxaafatan ‘Ta ne morketa ne toho gars aaththana gakkanaas Goday ta Goda ne ta ushachan utta’ waanidi gidee? 
LUK.20.44	Histikko Dawutey iza ‘Goda’ gi xeygishe waani izas naa gidanee?” gides.
LUK.20.45	Derey wuri siyishin bana kaallizaytas 
LUK.20.46	“Gooshettiza aduussa qamse may7idi yuushshe dosizaytappenne giyay dizason saroketeth koyizaytappenne Ayhuda Woosa Keeththan dhoqa oydenne diggisason bonchoso koyizaytappe xaafetappe naagettite. 
LUK.20.47	Haytanti am7eta keeththa kallosizayta. Asi ista beyana mala woossa aduussetes; heytanta iita pirday naages” gides.
LUK.21.1	Yesusi dhoqu gi xeellishin dure asati Xoossa Keeththen muxuwata izan shiishshizayssa giddon muxuwata yeggishin beydes. 
LUK.21.2	Qasseka issi am7o dizaara nam7u sikina gidiza nam7u xarqimala he muxuwata izan shiishshizayssan yegishin xeelidi, 
LUK.21.3	“Ta intes tumu gays; hanna am7eya ubba asappe bollara aadhdheth immadus gides. 
LUK.21.4	Hayti asati immiday baas diza tirpafe gidishin iza gidikko baas baynda wolqafe baas dizaronne ba duussas koshshizaro wursa yeggadus” gides.
LUK.21.5+LUK.21.6	Iza kaallizaytappe issi issi asati Xoossa Keeththay lo7o shuchchaninne asay immida imotan ay mala lo7i keexettidakko giidi ba giddon haasayettishin Yesusi siydi “Hayssi inte beyizayssi wuri laalettonta shuchchi shuchcha bolla keelettida mala attonta wodey yaana” gides.
LUK.21.7	Istika iza “Astamaare! Hayssi wuri ayde hananee? Qasse hayssi hananayssas malatay aazee?” giidi oychida.
LUK.21.8	Izikka istas “Inte balettonta mala naagettite; daroti bana ‘Ta Kirstoosakko! Wodeykka matides’ gishe ta sunthara yaana shin inte ista kaallofte. 
LUK.21.9	Ola gishshinne dere makalatetha gish siyiza wode daggamofte. Hessi wuri kasetidi hananas bessees; wursethi gakkides; gido attin heerakka hanenna” gides.
LUK.21.10	Qasse “Derey dere bolla, kawoy kawo bolla dendana. 
LUK.21.11	Biittay wolqama qaath qaaxana; koshaynne boshay dumma dummason hanana; daro babissizazinne saloppe gita malatay beettanna.
LUK.21.12	“Hessi wuri hananappe kasetidi asay intena oykkananne gooddana; Ayhuda Woosa Keeththinne qasho keeththe gelthana; kawota sinthinne daannata sinth shiishana. Hessi wuri ta suntha gish inte bolla gakkana. 
LUK.21.13	Hessi wurikka markattanas lo7o qaada gidana. 
LUK.21.14	Hessa gish nuna oychizaytas nu ay zaarinoo? giidi kasetidi hirgonta mala hayssa woznan woththite. 
LUK.21.15	Inte morketappe oonikka intenara eqettanassinne baleththanas dandayonta qaalanne cincateth ta intes immana. 
LUK.21.16	Intena yelidaytinne inte ishati, inte dabbotinne inte laggeti wuri intena aaththi immana; intefe baggata wodhana. 
LUK.21.17	Ta suntha gish ubba asa achchan inte ixettana. 
LUK.21.18	Gido attin inte hu7e binanatappe issinaka dhayukku. 
LUK.21.19	Inte minni eqqikko inte shempo inte ashshana.
LUK.21.20	“Ola asay Yerusalame giddoththishin beykko izis dhayiza wodey matidayssa erite. 
LUK.21.21	He wode Yuhudan dizayti pude zuma bolla gangetto; kataman dizaytikka katamappe kezite; dere giddon dizaytikka he katamayo geloppetto. 
LUK.21.22	Xaafettidays wuri polettanas hanna halo kessiza wode. 
LUK.21.23	Biitta bolla gita metoy hanana; hayssa dereza bolla hanqoy yaana; hessa gish he wode qanthara diza macasatassinne dhanthiza aayetas aayye ana! 
LUK.21.24	Bagga asay mashshan hayqqana; ba dereppe hara dere di7ettana; Yerusalameykka Xoosse eronta dereta wodey polettana gakkanaas, Xoosse eronta asatan yedhetidaro gidana.
LUK.21.25	“Awa arshe bolla, agina bollanne xoolinte bolla malatay beettana; Abbafenne abba dambala giirissafe dendidayssan biitta bolla diza derey hirgananne metottettana. 
LUK.21.26	Salo wolqamati qaaxiza gish asay biitta bolla aaze hananesha guussaninne naagon xalla daaburana. 
LUK.21.27	He wode Asa Nay wolqara, gita bonchoranne shaarara yishin beyana. 
LUK.21.28	Inteka hayti ha ta gidayti poleteth oykkishin intes atetha wodey matida gish siti gi eqqite; inte ayfe pude dhoqu histite” gides.
LUK.21.29+LUK.21.30	Kaalethidi “Balase mithinne hara mithata wursi xeellite; he mithati haythe kessishin inte beyiza wode boney matidayssa inte ereeta. 
LUK.21.31	Hessathokka haytanti geetettidayti polettishin inte beyiza wode Xoossa Kawotethi inteko matidayssa erite.
LUK.21.32	“Ta intes tumu gays; hayssi wuri polettana gakkanaas ha yelettay aadhdhenna. 
LUK.21.33	Saloynne sa7ay aadhdhana shin ta qaalay aadhdhenna.
LUK.21.34	“Histikko wogay baynda duussan, daro ushshaninne duussas hirgan inte woznay daaburopo; hessa ooththonta ixikko he gallassay inte qopponta narxa mala inte bolla gakkonta mala naagettite. 
LUK.21.35	Hayssi biitta bollan diza asa ubba bolla gakkana. 
LUK.21.36	Hessa gish buro yaanayssafe inte kessi ekkana malanne Asa Naa sinthan eqqanas dandayana mala ubba gallas minnidi woossite” gides.
LUK.21.37	Yesusi gallas gallas Xoossa Keeththan tamarsi tamarsidi omars omars Dabrazayte geetettiza zuma bolla kezi kezi aqqees. 
LUK.21.38	Asay wurikka izappe siyanas maalado wontara Yesusakko Xoossa Keeththe yees.
LUK.22.1	He wode Paaziga geetettiza ukethara bonchettiza ba7aaley mati uttides. 
LUK.22.2	Qeeseta halaqatinne Xaafeti hanko dere asaas babbiza gish Yesusa dhayssana oge koyda.
LUK.22.3	Yesusa kaalliza tammanne nam7atappe Asqoroonto dere asa Yuhuda geetettizayssan Xala7ey gelides. 
LUK.22.4	Yuhudaykka Qeeseta halaqatakkonne Xoossa Keeththa alafetakko biidi istas Yesusa wost aaththi immanakkonne istara haasayettides. 
LUK.22.5	Istika hessan ufayettidi miishe immanas izara giigida. 
LUK.22.6+LUK.22.7	Yuhudaykka ista qofa dossides; Yesusa istas asi beyonta aaththi immanas inje wode naagishin Paaziga dorsa shukidi ukethara bonchiza ba7aale gallas gakkides.
LUK.22.8	Yesusikka bana kaallizayta “Paaziga kawo maanas biidi nuus giigissite” giidi Phexroosanne Yohannisa kiittides.
LUK.22.9	Istika “Nu awan giigissana mala koyay?” gida.
LUK.22.10	Izikka zaaridi “Inte gede Yerusalame katama gelishin haaththa oto tookkida asi intena demmenna; inteka izi biidi geliza keeththe gakkanaas iza kaallite. 
LUK.22.11	Keeththadezas ‘Astamarey tana kaallizaytara Paaziga kawo maanas imatha keeththi awan dizee?’ gees giite. 
LUK.22.12	Izikka imathas giigettida aahoso intena bessana; izi bessiza soon giigissite” gides. 
LUK.22.13	Istika biidi Yesusi gida mala keeththa demmidi Paaziga heen giigissida.
LUK.22.14+LUK.22.15	Wodey gakkida mala Yesusi Hawaaretara quma maaddan uttidi “Ta waaye beyanappe kasetada hayssa Paaziga intenara issife maanas keehi amottadis. 
LUK.22.16	Ta intes tumu gays; Xoossa Kawoteththan hayssa birsheththi polettana gakkanaas hayssa Paaziga nam7antho ta intenara miikke” gides.
LUK.22.17	Woyneppe oosettida ushsha xu7ara ekkidinne Xoossa galati simmidi “Heyte; wurikka izappe uyte” giidi istas immides. 
LUK.22.18	“Ta intes tumu gays; hayssafe guye Xoossa Kawotethi yaana gakkanaas nam7antho ha woyne ushshafe uyikke” gides.
LUK.22.19	Uketha ekkidi Xoossa galatides. Izappe istas menthi immidi “Hayssi inte gish imettana ta asho leemiso gidiza gish hayssa ubba wode tana qoppanas ooththite” gides. 
LUK.22.20	Izathoka kawoppe guye ushsha xu7a denthidi “Hayssi ushshay inte gish ta suuthan hanana oorath caaqo woga. 
LUK.22.21	“Gido attin tana aaththi immanade kushey ta kushera issife maaddan dees. 
LUK.22.22	Asa Nay kasetidi iza gish hananayssi wuri uttida mala izi baana; gido attin iza aaththi immizades aayye-ana” gides.
LUK.22.23	Istika hessa ooththanay oonee? giidi ba giddon issoy issa oysherethida.
LUK.22.24	Qasseka “Ooni oonappe aadhdhizakkonne” giidi ba giddon issoy issara palamettida. 
LUK.22.25	Yesusikka ista “Dere haariza kawoti ba dere asa wolqara haarettessinne istika lo7o kawota geetettidi xeygettetes. 
LUK.22.26	“Inte gidikko hessatho hanoppite; intefe gita gididadey woykko ta ooppekka aadhdhays giza asi ubbafe qeeri naa mala gido; haarizaddey haarettizade mala gido. 
LUK.22.27	Quma eqqidi mizidadefenne uttidi mizadefe ooni aadhdhizee? Uttidi mizade gidennee? Tani qasse inte giddon ashkara mala days. 
LUK.22.28	“Inten gidikko taappe shaaketonta ta waayishin ta matan eqqidayta. 
LUK.22.29	Ta Aaway tana kawothidayssa mala tanikka ta kawoteththan intena kawoththana. 
LUK.22.30	Hessika ta kawoteththan ta maaddafe inte maana malanne uyana mala. Qasseka ta kawoteththa algan uttidi tammanne nam7u Isra7eele nayta bolla pirdanassa” gides. 
LUK.22.31	Qasseka Yesusi Simoona xeygidi “Simoona! Xala7ey intena giste mala suraganas woossides. 
LUK.22.32	Gido attin tani neeppe ammanoy dhayonta mala ne gish Xoossa woossadis; nekka simmida wode ne ishata minthetha” gides.
LUK.22.33	Simoonikka zaaridi “Godo! Ta nenara qashettanassinne hayqqanas giiga uttadis” gides.
LUK.22.34	Yesusikka zaaridi “Phexroosa hach kuttoy issito waassanas ‘Ta iza erikke’ gaada heedzdzuto ne tana kaadana” gides.
LUK.22.35	Qasseka Yesusi ista “Ta intena kase caammay, korojoynne qaraxite baynda kiittida wode intes aazi paccidee?” giidi oychides. Istika “Aykkoykka paccibenna” gida. 
LUK.22.36	Izikka zaaridi “Ha7i gidikko korojokka qaraxiteyka dizadey oykko; giththa mashshay bayndadey ba may7o bayzidi shamo. 
LUK.22.37	Ta intes tuma gays ‘Makalatara izi issife taybettides’ geetetti kase xaafettida qaalay ta bolla polettana bessees; ta gish xaafettidayssas poloy tumappe gakkides” gides. 
LUK.22.38	Iza kaallizayti qasse “Godo! Hekko nam7u giththa mashshati hayssan deettes” gida. Izikka iza gish “Hayssi gidana” gides.
LUK.22.39	Kase izas lose gidida mala pude Dabrazayte geetettiza zuma bolla kezi bides. Iza kaallizaytikka iza kaalli bida. 
LUK.22.40	Hee gakkida mala “Inte paacen gelonta mala woossite” gides. 
LUK.22.41	Yesusi bana kaallizaytappe asi shuch olidi gaththanaso mala haakki biidi gulbati woossides. 
LUK.22.42	“Ta Aawawu! Ne shene gidikko hanno metoyo taappe digga; gido attin ne sheney hanoppe attin ta sheney hanoppo” giidi woossides. 
LUK.22.43	Saloppe Kiitanchay qoncidi Yesusa minthethides. 
LUK.22.44	Izikka keehi xuugettidi woossishin iza asatethafe caway suutha mala gukkides.
LUK.22.45	Woosappe dendidi bana kaallizaytakko bides. Istika izas mishetidi qoppishin dhiskoy efidashe Yesusi istako yiidi, 
LUK.22.46	“Ays dhisikeetii? Inte paacen gelonta mala ha7i dendidi woossite” gides.
LUK.22.47	Izi buro haasayan dishin Yesusa kaallizaytappe issoy Yuhuda geetettizayssi banara daro asa kaalethi ekki yiidi Yesusa yeeranas izakko shiiqides. 
LUK.22.48	Gido attin Yesusi iza “Yuhuda! Tana Asa Naa yeeron aaththa immay?” gides.
LUK.22.49	Yesusa yuuyi aadhdhi diza asay hanoza lo7ethi xeelidi “Godo! Haytanta mashshara buththinoo?” gida. 
LUK.22.50	Istafe issoy Qeeseta alafe ashkara ushacha haythe mashshara qanxides.
LUK.22.51	Yesusi ista “Inte ha7i taas aggite!” giidi ashkara haytha bochchidi pathides.
LUK.22.52	Qasseka iza oykkana yida Qeeseta halaqata Xoossa Keeththa alafetanne cimata “Panga oykkiza asa mala giththa mashshanne durqa ekkidi yidetii? 
LUK.22.53	Gallas gallas ta intenara Xoossa Keeththan dishin ta bolla kushe woththibeekketa; hayssi dhumay kawotida inte wode” gides.
LUK.22.54	Hessafe guye Yesusa oykki ekkidi Qeeseta halaqaso gelida; Phexroosikka Yesusa hahora kaallides. 
LUK.22.55	Asay Qeeseta halaqa gaathan tama eethidi ho7ishe issi bolla uttidashe Phexroosikka istara issife uttides. 
LUK.22.56	Issi garadeya Phexroosi tama ho7izaytara uttidayssa beyadanne tishshi ooththa xeellada “Hayssi addezikka Yesusara dees!” gadus.
LUK.22.57	Phexroosikka “Hanne macasaye! Ta iza erikke” giidi kadides.
LUK.22.58	Guuth gam7ishin hara issadey iza beyidi “Nekka izara dizaytappe issa gidikii?” gides. Phexroosikka “Haysso tani istara diikke!” gides.
LUK.22.59	Issi saate mala gam7ishin hara asi qasseka “Galila as gidiza gish sidhey baynda hayssi izara dees” gides.
LUK.22.60	Phexroosikka qasse “Haysso ne gizadde ta erikke!” gides. Hinno gi kessonta dishin kuttoy waassides. 
LUK.22.61	Godayka Phexroosakko yishe xeellin Phexroosi “Hach kuttoy waassanas ne tana heedzdzuto kaadana” giidi Goday kase yooto qaalay iza woznan karp gides. 
LUK.22.62	Phexroosikka kare kezidi hiqqimidi yeekkides.
LUK.22.63	Yesusa qachchidi naagiza asatikka iza bolla qidhi qidhi kaa7ishe shocerethida. 
LUK.22.64	Iza ayfe goozidi “Ne nabe gidikko nena shociday oonakkone ane era!” giidi oychida. 
LUK.22.65	Hara daro cashsha qaalara kawushshida.
LUK.22.66	Gadey wontin dere Cimati, Qeeseta halaqatinne Muse woga tamarsizayti duulata shiiqidi Yesusa duulatakko shiishida. 
LUK.22.67	Istika Yesusa “Ne Kirstoosee? Ane nuus yoota” gida. Yesusikka “Ta intes yootidakkokka tana ammanekketa. 
LUK.22.68	Ta intena oychidakko taas zaarekketa. 
LUK.22.69	Gido attin ha7ippe doommidi Asa Nay wolqama Xoossa ushachan uttana” gides.
LUK.22.70	He wode wurikka “Histin ne Xoossa Naa?” giidi oychida. Izikka “Ta Xoossa Naa gididayssa inteka geeta” gides. 
LUK.22.71	Istika “Hekko izi ba duunara markatishin nu haythara siydos; hayssafe hara marka aazas koshshizee?” gida.
LUK.23.1	Heen shiiqida asay wuri dendidi Yesusa Philaxoosakko ekki bides. 
LUK.23.2	“Ays nu asay Qeesares giira giironta mala baleththishenne bana ‘Tani Kirstoosi kawo’ giidi baleththishin hayssa addeza demmidos” giidi mootida.
LUK.23.3	Philaxoosikka Yesusa “Neni Ayhudata kawoo?” giidi oychides. Yesusikka zaaridi “Ne gida mala” gides.
LUK.23.4	Philaxoosikka Qeeseta halaqatassinne shiiqida asas “Hayssa addeza bolla iza mootisiza iita yo7o demmabekke” gides.
LUK.23.5	Isti zaaridi “Hayssi addezi Galilappe hayssa gakkanaas kumeththa Yuhuda waayiso bolla dees” giidi minthi yootida.
LUK.23.6	Philaxoosi asay gizayssa siydi “Yesusi Galila asakkone giidi lo7ethi eranas” oychides. 
LUK.23.7	Yesusi Herdoosa Kawoteththa giddon dizayssa shaakki eridi he wode Herdoossi Yerusalamen diza gish izakko Yesusa yeddides.
LUK.23.8	Herdoossika kase Yesusa beyanas daro koyishe diza gish Yesusa beyidi keehi ufaydes. Iza gish kase siydi izi ooththishin beyanas koydi ufayettides. 
LUK.23.9	Daro oyshataka iza oysherechides shin Yesusi iza oysha zaaribenna. 
