GEN.1.1	Bunso zaa piiligu, Naawunni n daa n maalini saazu ni tiŋŋa. 
GEN.9.11	Naŋgbandigiligu maa n ŋa, m digilini noori maa m ki lee n naa koom muri bunvuusira zaa, koom bi lee n chena o ti muri tiŋgbaŋaa zaa.” 
GEN.9.12	Naawunni yeli, “Buŋaa n ya n niŋi naŋgbandigiligu maa teesa, a ti e ni bunvuusira, a wa ti paa e yaŋsi zaa. 
GEN.9.13	M naani m sasuwa niŋi sagbana niŋi, wune n ya n niŋi m naŋgbandigiligu maa teesa ti durinye. 
GEN.9.14	Jemanso zaa ka sagbana ti pili, sasuwa maa ni yi, 
GEN.9.15	m ni teesi m naŋgbandigiligu yi ya ni buŋkobiri zaa maa, koom ki lee n di bunvuusira zaa. 
GEN.9.16	Ka sasuwa maa si n yi sagbana maa niŋi, m ni nye u, ka teesi m naŋgbandigiliguso n ka nyisigirisim koo baasigu, a yi m ni ya ni bunvuusira zaa sunsuuniŋi tiŋgbaŋaa niŋi. 
GEN.9.17	N ŋa naŋgbandigiligu teesa ŋa n na ma naa n tira bunvuusira zaa.”
GEN.9.18	Nuhu biisi maa n daa n paasi o niŋi yi ŋariŋu maa pu la n ŋa, Sem, Ham ni Jafeti. Ham bii n daa n niŋi Keenan. 
GEN.9.19	Nuhu biisi bata maa yaŋsi n niŋi nisaaladima zaa n ba tiŋgbaŋaa niŋi la.
GEN.9.20	Nuhu daa n niŋini kokpaara, wune n daa n piili n buri binseesi wala ba naa n maana daam. 
GEN.9.21	O n daa n ŋu daam maa seesi, a kuuli, a pirigi alibana do o gbana sugiri puwa. 
GEN.9.22	Ham, Keenan ba, n ti kpe, ka nye o ba n pirigi alibana do, o yi n wa ti yeli o mabiisi bayi la. 
GEN.9.23	Ba bayi maa naa waje pili ba bogiri niŋi, a lugi gbinni kpe sugiri maa puwa, a naa waje la pili ba ba, ba da nye o alibana maa.
GEN.9.24	Daam maa n ti yi Nuhu niŋi, o wumi seema o biisi maa bibila daana n niŋi u, 
GEN.9.25	ka yeli, “Naŋgbansiibu niŋini Keenan toori, o ni niŋi guruŋu ti o beya la. 
GEN.9.26	O lee n yeli, nafa o niŋi Sem Duuma Naawunni toori, Naawunni n ti Keenan niŋi Sem guruŋu. 
GEN.9.27	Naawunni n ti Jafeti o wasi, ka ti o yaŋsi ni Sem ba ba niŋi, ama Keenan ni niŋi Jafeti guruŋu.”
GEN.9.28	Kopaali maa nyaaŋa, Nuhu daa lee n dini yuma kobsita ni pisinu. 
GEN.9.29	O daa dini yuma kobsiwai ni pisinu poin ka kpi.
GEN.11.1	Piiligu maa, durinye puu niriba zaa daa n togsirini yatogiluŋko. 
GEN.11.2	Ba daa n chaŋŋi n kpabira ziya, ba mari wuluŋpusigu, a ti paa paaligu yinni ba boona Babilon paaligu, ka zi nisaaniŋi.
GEN.11.3	Niŋi n na, ba to jina, “Ya cheli ti ŋma birikisisi, ka ŋo a, a mari kpeeŋu.” Lala ba niŋi birikisisi maa, ka naa kootaali me a. 
GEN.11.4	Ba lee n yeli, “Ya cheli ti me tiŋkarigu, ka me kpaa o niŋi, o ba wogilim tisi sagbana, lala jemani o ni ti ti yuuri du, ka ti da pisimi n ba tiŋgbaŋŋu maa niŋi.”
GEN.11.5	Niŋi n na, Duuma sigi n ti nyaasi tiŋkarigu la, a ni kpaa maa ba n me la. 
GEN.11.6	Ka yeli, “Pimparaŋa, niribaa niŋini baligu luŋko, a togsira yatogiluŋko, ka piili n niŋi bunso ba n niŋina ŋa. Bo n na ba ni kpabira ba niŋi, ka niŋi u je? 
GEN.11.7	Ya cheli ti sigi n wa ti jebi ba yatoga maa, lala jemani ba ki lee n wumini taaba yatoga.” 
GEN.11.8	Lala n na Naawunni pisimi ba zaa yi tiŋgbaŋŋu maa niŋi, ba cheli tiŋkarigu maa meebu. 
GEN.11.9	Tiŋkarigu maa yuuri n daa n niŋi Babilon, a kpali bo, nisaaniŋi Naawunni daa jebi niriba maa yatoga, ka za niŋi pisimi ba tiŋgbaŋŋu maa niŋi. 
GEN.11.27	Yumdamta nyaaŋa, daba yindaana n daa n ba niŋi, ba boona u Tera. O biisi n niŋi Abram, Naho ni Haran. Haran bii n daa niŋi Loti. 
GEN.11.28	Haran daa n kpini o yiri gbagba, ba boona Waa, a yi Babilon paaligu, ka o ba na ba niŋi. 
GEN.11.29	Abram naa Sarai, ka Naho mi naa Milika, Haran bipuŋŋu, o biisi maa yinni n niŋi Isika. 
GEN.11.30	Sarai daa niŋini poginyee.
GEN.11.31	Niŋi n na, Tera mari o bii Abram ni o yaŋŋu Loti, Haran biya, o deempoga Sarai, Abram poga, a nyisigi n yi Waa n ba Babilon paaligu, a wara Keenan paaligu. Ba n wara maa, ba wa ti paa seela ba n boona Haran, ka zi niŋi. 
GEN.11.32	Haran tiŋgbaŋŋu niŋi n na Tera daa n kpi, ka o niŋi yuma kobsiyi ni anu.
GEN.12.1	Dindaso, Duuma daa yeli Abram, “Yi e paaligaa, e niriba puwa, a ni e ba laanta, a gaa tiŋgbanso ni ya n wusi i ŋa. 
GEN.12.2	Ni ti e yaŋsi zoo, ba ni niŋi baliso n mari zaaziya. M ni nafa i, ka ti e yuuri du, e ni niŋi nafa ti niriba.
GEN.12.3	“M ni nafa niseesi ni nafara i, ama ni si niseesi ni siira i noori, e niŋi n na ma ni dolli n nafa balisi zaa.”
GEN.12.4	Lala jemani, ka Abram daa niŋini yuma pisiyapoin ni anu, o nyisigi n yi Haran, seema Duuma n yeli u o niŋi la, ka Loti pa o zu gaari, 
GEN.12.5	Abram mari o poga Sarai ni o sunzo bii Loti ni ba bindaalim bini zaa, a ni ba gurunsi zaa ba n mari n yi Haran gbaa Keenan soori.
GEN.12.5	Ba n wa ti paa Keenan paaligu maa, 
GEN.12.6	Abram ni o niriba chaŋŋi tiŋgbaŋŋu maa niŋi ti paa More titintaa see, a yi Sekem tiŋŋa. A jemani maa Keenan dima daa na ba nisaaniŋi.
GEN.12.7	Niŋi n na, Duuma ta Abram saani ti yeli u, “Paaliguso ni naa tira e yaŋsi maa n na la.” Nisaaniŋi Abram me sariga nyisigu daaŋu ti Duuma, so n ta o saani maa. 
GEN.12.8	A nyaaŋa, o nyisigi n naa o zu to kiŋkagili sazu, a wara tiŋso n zi gunguntiri zu, ka niŋi tiŋkarigu Betel n ba wulunliya, ka Aii mi ba wuluŋpusigu. Ba sabi ba gbana suga, ka me sariga daaŋu, a kpeesi Duuma. 
GEN.12.9	Niŋi n na, o cherigi ziiziisi poli n jina, a naa o zu kpa Keenan kiŋkagili sazu.
GEN.12.10	A jemani, kom n daa n lini Keenan, bindira yela daa ba toom, Abram nyisigi n gaa Yijipiti paaligu, o wa ti ba niŋi daba ayi. 
GEN.12.11	Jemanso ba n ya n loo n du Yijipiti paaligu, o yeli o poga Sarai, “E veela ga. 
GEN.12.12	Ka Yijipiti dima nye i, ba ni baŋŋi maa m poga n niŋi i. A kpali lala zu, ba ni ku ma, ka cheli i. 
GEN.12.13	Yeli ba maa m sunzopoga n niŋi i, lala wune, ba ki ku ma, ka mari ma nene, a kpali e zu.”
GEN.12.14	Jemanso ba n loo n kpe Yijipiti paaligu, Yijipiti dima maa nye maa o poga maa veela ga. 
GEN.12.15	Yijipiti paaligu naaba maa tumtuminiba seesi n nye poga maa wa ti yeli u seema o n veela. A kpali lala zu, ba mari u gaa naaba maa yiri. 
GEN.12.16	Poga maa zu, naaba maa mari Abram nene, ka ti u buŋkobiri, peeri, buusi, naagi, buŋsi, gurunsi a ni nyogimasi.
GEN.12.17	Ama, a kpali naaba maa n naa Abram poga Sarai gaari o laanta la zu, Duuma ti toorabeeri gbaa o ni o laanta dima zaa. 
GEN.12.18	Niŋi n na, naaba maa booli Abram, a ti boosi u, “Bo n na e niŋi lala, wula n na e bi yeli ma maa e poga n na? 
GEN.12.19	Wula zu n na e yeli maa e sunzopoga n na, ka ti ma naag u loobi m poga? E poga n na la, mari u kunna.” 
GEN.12.20	Naaba maa ti o nivusi mari Abram yi paaligu maa niŋi, a ni o poga ni binseesi zaa ba n mari.
GEN.13.1	A zu, Abram ni o poga nyisigi Yijipiti paaligu kiŋkagili sagbinni, a pori n kpe Keenan paaligu kiŋkagili sazu, a ni o bindaalim bini zaa, ka Loti gba paag u gaari. 
GEN.13.2	Abram daa niŋini bindaana, a mari peeri, buusi, naagi, gbitisi a ni sugasi. 
GEN.13.3	Niŋi n na, o nyisigi seela o n zi maa, a poli n jili n ti paa Betel ni Aii sunsuuniŋi, seela o n daa daŋŋi n zi la, ka zi niŋi. 
GEN.13.4	Seela o n daa n me sariga daaŋu ti Duuma la, ka nyisi sariga nisaaniŋi.
GEN.13.5	Loti, so ninu n daa n chaŋina maa gba, daa marini peeri, buusi, naagi ni o laanta dima 
GEN.13.6	Ama, buŋkobiri moŋobira zii daa bi zoo, ba niriba bayi maa zaa di n lagimi n zi, a kpali bo, buŋkobiri maa daa n niŋi aligaaya. 
GEN.13.7	Lala zu, zabiri daa li Abram buŋkokpagiriba ni Loti buŋkokpagiriba niŋi. Lala jemani maa ka Keenan nivusi ni niseesi ba n boona Periziti dima la n daa n ba tiŋgbaŋŋu maa niŋi.
GEN.13.8	Niŋi n na, Abram yeli Loti, “Ti niŋini dogim luŋko, a bi daga e buŋkokpagiriba ni m buŋkokpagiriba ba zabira, 
GEN.13.9	Ka tiŋgbaŋŋu maa n do ŋa? Ti barigi taaba. Ka e gaa nuzaa, m ni gaa nudiya, ka e mi gaa nudiya, m ni gaa nuzaa.”
GEN.13.10	Loti nyaasi n poli n jili, ka nye maa Joodan falimini, a wa ti paa Zowa, ka niŋi n mari koom nene, a maa Duuma pu la, koo Yijipiti tiŋgbaŋŋu. Ŋama zaa nyaaŋa poin, ka Naawunni daa muri Sodom ni Gomora. 
GEN.13.11	A zu, Loti nyisi Joodan falimini maa, a kaasi n naag o zu to wuluŋpusigu. Seema a n di niriba bayi maa barigi taaba niŋi n na la. 
GEN.13.12	Abram zi Keenan tiŋgbaŋŋu maa niŋi, ka Loti mi zi tiŋsi sunsuuniŋi, a yi falimini maa niŋi, a leeli Sodom 
GEN.13.13	Nisaaniŋi niriba maa daa niŋini ferebeeri dima, ka niŋi yabeeri ga kpe Duuma niŋi.
GEN.13.14	Loti ni gaa maa nyaaŋa, Duuma yeli Abram, “Za seela e n be ŋa, ka lalli e nufu nyaasi kiŋkagili sagbinni, sazu, a ni wuluŋpusigu ni wulunliya. 
GEN.13.15	M ya n naani tiŋgbaŋaa, e n nyaasi a ti e ni e yaŋsi, o niŋi ya toori, a ma n wara. 
GEN.13.16	M ya n ti i ni yaŋdamta, seesi nisaala zaa di n ki tee n ba kaali, ka nira yi tee n kaali tiŋgbaŋŋu a niŋi tanni, lala wune, ba ni tee kaali e yaŋsi gba. 
GEN.13.17	Pimparaŋa, nyisigi n poli n jili tiŋgbaŋŋu maa zaa, a nyaasi u, a kpali bo, m ya naagi u ni ti i.”
GEN.13.18	Niŋi n na, Abram nyisigi seela o n daa zi la, a wa ti zi n begi Mamiri titintaasi, a yi Hebiron, nisaaniŋi n na o me sariga daaŋu ti Duuma.
GEN.14.1+GEN.14.2	Jemanso nadimseesi n daa n ya n tuusi taaba yi toowa niŋi.
GEN.14.1+GEN.14.2	Nadima banaasi yuya n ŋa: Babilon naaba Amafel, Elasa naaba Ariyok, Elam naaba Kedolaama, a ni Goyiim naaba Tidal. Nadima banu mi yuya n ŋa: Sodom naaba Bera, Gomora naaba Besa, Adima naaba Sinaaba, Zeboyiim naaba Semeba, a ni Bela naaba. O yuyinni n niŋi Zowa.
GEN.14.3+GEN.14.4+GEN.14.5+GEN.14.6+GEN.14.7+GEN.14.8	Nadima banu maa daa n laŋsi taaba, ba wa ti zabi Sidim nantaŋŋu puwa, seela n niŋi yaarim teeku la. Yuma pii ni ayi puwa, ba daa n bani naaba Kadilaama suurisi niŋi. Yuma pii ni ata daana, ba zagsi maa ba n di n ba o suurisi niŋi. Yuma piini anaasi daana, Kedolaama ni nadima seesi n ba o saani la niŋi naŋgbanluŋko wa ti zabi n nyaŋŋi Rifam dima, a yi Asiteraf Kanayim, Zuzim dima, a yi Ham, Emim dima, a yi Kiriatam paaligu niŋi, Horiti dima, a yi Idom zoori zu, a kari ba lala wa ti paa El-Paran n niŋi tambisigu paaligu la torigu. Niŋi n na, ba pori nyaaŋa ta En-Misipa, Kadesi n na la. Ba nyaŋŋi Amaleki dima, a yi ba tiŋgbaŋŋu maa zaa niŋi, a nyaŋŋi Amori dima seesi n ba Hazazon Tama la.
GEN.14.3+GEN.14.4+GEN.14.5+GEN.14.6+GEN.14.7+GEN.14.8	Niŋi n na, nadima banu la niŋi naŋgbanluŋko, ba ni ba toowa zabiriba, wa ti laŋsi Sidim falimini niŋi, a leeli yaarim teeku la. Barima n niŋi Sodom, Gomora, Adima, Zeboyiim, a ni Bela (o yuyinni n niŋi Zowa) nadimaa ni ba toozabiriba niŋi siriya nisaaniŋi ba zabi nadima banaasi la 
GEN.14.9	seesi n niŋi, Elam, Goyiim, Babilon dima naaba ni Elasa, nadima banu ya n tuusi ba banaasi. 
GEN.14.10	Sidim falimini maa zaa daa niŋini kootaali boga, jemanso Sodom ni Gomora nadima n zora maa, niriba maa seesi li kootaali boga maa puusi, ka ba seesi zo n du zoori zu. 
GEN.14.11	Ka nadima banaasi maa ti kaasi Sodom ni Gomora dima bunso zaa nyem, haali ba bindira zaa. 
GEN.14.12	Ka ba gbaa Loti, Abram sunzo biya, a ni o bunso zaa nyem gaari. 
GEN.14.13	Daba yindaana, daa n chee n wa ti yeli Abram, Hiburu daba la, bunso zaa n niŋi. A jemani maa Abram daa n zinni leeli daba so ba n boona Mamiri, Amori daba, titintaasi see. Daba maa mabiisi n daa n niŋi Esikol ni Aneri, ba ni Abram daa n mari ni naŋgbanluŋko. 
GEN.14.14	Jemanso Abram n wumi maa ba gbaa o sunzo bii gaari, o laŋsi o laanta puu toozabiriba zaa, ba daa n ba niriba kobsita ni pii ni banii, o mari ba kari nadima banaasi maa bobiri, a wa ti paa ba Dan tiŋgbaŋŋu niŋi. 
GEN.14.15	Nisaaniŋi n na, o barigi niriba maa gbulagbula, yiiŋu, ba ŋme ba dindima maa niŋi, a nyaŋŋi ba. O kari ba lala haali, a wa ti paa Hooba, Damasika kiŋkagili sagbinni, 
GEN.14.16	ba va binseesi zaa ba n naa maa. Ka mari Loti ni o bunso zaa, a ni pogiba ni nivuseesi zaa ba n ma n gaari la pori n ta.
GEN.14.17	Jemanso Abram n daa n zabi n nyaŋŋi naaba Kedolaama ni o nataaba la, ka pori n ta Sodom naaba tuusi u falimini so ba n boona Sava la niŋi, ka ba boona u naaba falimini. 
GEN.14.18	Ka Mekizade, so n niŋi Salem naaba, ka na kpari n niŋi Duuma Naawunni nakarigu la sandaantumina, o mari paanusi ni daam ti ti Abram, 
GEN.14.19	a nafa u yeli, “Naawunni nakarigu la, so n maali saazu ni tiŋŋa la, o nafa Abram. 
GEN.14.20	Kpeesigu niŋini Naawunni nakarigu, so n ti e nyaŋŋi e dindima la toori.” Abram nyisi binseesi zaa o ma n yi toowa puu ta la bu piipii zu ti Mekizade.
GEN.14.21	Sodom naaba yeli Abram, “Mari binseesi zaa e n ma n ta la, ka naa niriba la wune ti ma.” 
GEN.14.22	Abram yeli u, “M peya, nimbirimootiri, a yi Duuma nufu niŋi, so n niŋi Naawunni nakarigu saazu ni tiŋŋa zaa maana, 
GEN.14.23	a maa m ki naa bunso zaa n niŋi e toori, haali borabi koo sabitaa mii gba. E da ti yeli dindaso maa, mani n naa Abram loobi bindaana.” 
GEN.14.24	M ki naa sen zaa, ama binseesi m toozabiriba n di la ko. Ama, tori n ti seesi n paasi n niŋi la Aneri, Esikol, a ni Mamiri.
GEN.15.1	N ŋama nyaaŋa, Naawunni nyisi n wusi Abram, ka yeli u, “Da zora dabeem. M ni kogi i yi nimbirimoo zaa niŋi, ka yo i samkarigu.” 
GEN.15.2	Abram yeli, “Duuma Nakarigu, bo n na e sanyoobu maa ya maali ma, jemanso ni ka biisi ŋa? Eliyeza n niŋi Damasika nira la n si n niŋi m kapete dira. 
GEN.15.3	E bi ti ma biisi, m gurunsi ŋa yindaana n ni di m kapete.”
GEN.15.4	Niŋi n na, o lee n wumi Duuma ni togsira o saani. “E guruŋu maa ki di e kapete, e gbagba biduwa n ni niŋi e kapete dira”. 
GEN.15.5	Duuma mari u yi yaŋŋa, ka yeli u, “Nyaasi sagbana zu, ka niŋi aniya kaali ŋmeribiisi a, lala n na e yaŋsi ya n sagi.”
GEN.15.6	Abram yeride seema Duuma ni yeli u maa, Duuma deeg u, ka yeli, ni o niŋini yamonsi daana. 
GEN.15.7	Niŋi n na, Duuma yeli u, “Mani n niŋi Duuma so n pa i yiya, a mari i yi Waa n ba Babilon paaligu, a ti naa tiŋgbaŋaa ti i, o niŋi e buŋ.” 
GEN.15.8	Abram boosi u, “Duuma Nakarigu, wula ma ya n niŋi baŋŋi maa o niŋini m buŋ?” 
GEN.15.9	Duuma yeli u, “Mari nagisaa, busaa, pedaa, a zaa a niŋi yuma ataata, a ni kili ni ŋmenni ti ti ma” 
GEN.15.10	Abram mari lala buŋkobiri maa ti ti Naawunni, ka kasigi a, ayaayi, a digili a bobaayi a tooli taaba, ama niinsi la wune, o bi kasigi a. 
GEN.15.11	Zugusi ta a diibu, Abram kari a basi.
GEN.15.12	Wuluŋu n ti liira, gbeem gbaa Abram ga, ligu ti pili u birib, dabeem gbaa u. 
GEN.15.13	Duuma yeli, “E yaŋsi ni niŋi saamba yi paaligu yindaana niŋi, ba ni niŋi gurunsi, ka ba namsi ba ga yuma kobsinaasi. 
GEN.15.14	Ama, m ni darigi niseesi n naa ba loobi gurunsi maa tuba, ka jemanso ba n yiira paaligu maa niŋi, ba ni naa ba bindaalim bini yi ba saani. 
GEN.15.15	Nyiwune, ni kurigi poin, ka kpi, ba pi i, a ni niŋgbirimaasim. 
GEN.15.16	E yaŋsi ni paa balisi tulumbunaasi poin, ka pa pori n ta kpe, a kpali Amori dima yabeeri na bi paa tubidarigirisim.”
GEN.15.17	Wuluŋu n ti li, zii gbaa, duguso wusi ni yiira o niŋi, a ni miinkpalli ni bugum yi n ti mari buŋkoŋmaasira la sunsuuniŋi gaari. 
GEN.15.18	Niŋi n na, Naawunni ti Abram noori yeli, “M ti i ni noori maa tiŋgbaŋaa, a za Yijipiti torigu, a wa ti paa mogiso ba n boona Yufireeti la zaa ni loobi e yaŋsi toori.” 
GEN.16.1	Abram poga Sarai daa n bi dogi bii zaa ti u, ama o mari Yijipiti guruŋpoga Heega. 
GEN.16.2	Lala zu, o yeli Abram, “Duuma gbaa m dogim, bo n na e bi mari m guruŋaa doora? Saŋa, o ni dogi bii ti ma.” Abram sagi n pa bunso Sarai n yeli maa. 
GEN.16.3	A zu, Sarai naa Heega ti u, o loobi o poga. A jemani Abram n daa n wa ti zi Keenan, o yuma pii nyaaŋa n na lala daa n niŋi. 
GEN.16.4	Abram ni Heega lagimi, o mari puwa. Jemanso o n ti baŋŋi maa o mari ni puwa, zunyaabu ta, o bi lee booli Sarai sen.
GEN.16.5	Niŋi n na, Sarai yeli Abram, “Nyini n ti Heega nyaasira ma jaga. Mani n naagi u ti i, ama o n baŋŋi maa o n mari puu la, o pa nyaasira mani jaga. Naawunni ni di m nini zaa seriya, a baŋŋi so toori n ba niŋi.”
GEN.16.6	Abram yeli u, “Nyaasi, e guruŋu n na, nyini n su o kpeeŋu, niŋi u seema zaa e n kpabira.” Sarai namsi u ga, o yi n zo.
GEN.16.7	Duuma malaaka wa ti paa Heega, a yi bulugu n ba Sora soori, tambisigu tiŋgbaŋŋu niŋi. 
GEN.16.8	Ka boosi u, “Heega, Sarai guruŋu, ya n na e yi, ka ya n na e wara?” O yeli u, “M zoni wara, ka che m diima.”
GEN.16.9	O yeli u, “Pori n gaa o saani, a wa ti niŋi o guruŋu.” 
GEN.16.10	Ka o lee n yeli u, “M ni ti i yaŋdamta seesi nira zaa di n ki tee n kaali. 
GEN.16.11	E ni dogi biduwa, ka digili o yuuri Isimeel, a kpali Duuma wumi e namsigu kumsi. 
GEN.16.12	Ama, e bii maa ni ba maa buŋŋu n galimi, o ni zabira niriba, ka niriba gba ba zabira u, meesim ki ba o ni o mabiisi puwa.”
GEN.16.13	Niŋi n na, Heega boosi o maŋŋa, “Yamonsi n na ma nye Naawunni, ka na ba nyevuri puwa?” Lala zu, o booli Duuma, so n togsi o saani la, Naawunni so n nyaara ma. 
GEN.16.14	A zu n na niriba boona bulugu so n do Kadesi ni Bered sunsuuniŋi la, Nyevuri daana so n nyaara ma bulugu.
GEN.16.15	A nyaaŋa, Heega dogi biduu ti Abram, o digili u Isimeel. 
GEN.16.16	Lala jemani, ka Abram yuma pisinii ni ayoobu.
GEN.17.1	Jemanso Abram n daa ti niŋi yuma pisiwai ni awai, Duuma ta o saani, a ti yeli u, “Mani n niŋi Naawunni so n niŋi kpeeŋu zaa daana. Wumi n tira ma jemani zaa, ka niŋina yaseesi n veela. 
GEN.17.2	M ni digili i noori, ka ti i yaŋdamta.” 
GEN.17.3	Abram gba, ka zulisi o zu tiŋŋa, Naawunni yeli u. 
GEN.17.4	“M digilini i ni naŋgbanaa, maa e ni niŋi balidamta yaadaba. 
GEN.17.5	E yuuri bi lee n niŋi Abram, ama Ibrahim, a kpali m loobira i ni balidamta yaadaba. 
GEN.17.6	M ni ti i yaŋdamta, ba seesi ni niŋi nadima, ka ba seesi ba loobi balisi.
GEN.17.7	“M ki tami naŋgbanso ni ti e ni e soosa zu yaŋseesi n ya n ti loobi balisi la, a wara saŋa ni saŋa zaa. M ni niŋi e ni e yaŋsi zaa Naawunni. 
GEN.17.8	Keenan tiŋgbaŋaa zaa, seela e n niŋi saanaa, m ni naag u ti e ni e yaŋsi, o niŋi ba toori saŋa ni saŋa zaa, ka m niŋi ba Naawunni.”
GEN.17.9	Naawunni yeli Ibrahim, “E gba daga e sagi n pa m naŋgbandigiligu a, e ni e soosa zu yaŋsi zaa. 
GEN.17.10	E ni e yaŋsi zaa daga ya sagi, a ŋmaara ya biduusi zaa yoya. 
GEN.17.11+GEN.17.12	Za zinaa wara, a daga e ŋmaara biduusi zaa ba n dogi e laanta yoya, o dabaanii daari. Gurunseesi ba n dogi e laanta, a ni seesi ya n da. N ŋa ni wusi maa naŋgbandigiligu ba m nini sunsuuniŋi. 
GEN.17.13	A daga ba ŋma so zaa yoori. N ŋa ni wusi niŋgbaŋaa niŋi maa, m naŋgbandigiligu maa doni wara saŋa ni saŋa zaa. 
GEN.17.14	Daba zaa yoori ni bi ŋma, lala daana, ba nyisi u yi m niriba puwa, a kpali o bi pa m naŋgbandigiligu maa zu.”
GEN.17.15	Naawunni yeli Ibrahim, “A bi daga e n lee n boona e poga yuuri Sarai, za zinaa wara, o yuuri n niŋi Saara
GEN.17.16	M ni nafa u, o dogi biduu ti i, ka m loobi u balidamta ma, nadima ni yi o yaŋsi puwa.”
GEN.17.17	Ibrahim gba, ka zulisi o zu tiŋŋa, ka laara, ka feera o sufu niŋi, “Daba n tee niŋi yuma koowa, ka dogi biya? Saara n tee dogi, jemanso o n niŋi yuma pisiwai ŋa?”
GEN.17.18	Ŋama zaa nyaaŋa, o boosi Naawunni, “E ki ti Isimeel o niŋi m kapete dira?”
GEN.17.19	Naawunni yeli u, “Akai, e poga Saara ni dogi biduwa, e digili o yuuri Yisaaka. M ni ti naŋgbandigiligu maa ba m ninu sunsuuniŋi, a ni o yaŋsi zaa, a wara. O niŋini naŋgbandigiligu so n ka baasigu. 
GEN.17.20	M wumi e suusigu, a yi Isimeel pelli, a zu, m ni nafa u, a ti u biisi ni yaŋdamta. Ni naagi u loobi nabiisi pii ni bayi ba, ka m naa o yaŋsi maa baligu loobi nivutintaasi 
GEN.17.21	Ama m naŋgbandigiligu maa ni pa e bii Yisaaka niŋi, so Saara n ya n dogi yumini jemanaa zu.” 
GEN.17.22	Jemanso Naawunni n togsi Ibrahim saani baasi, o gaari.
GEN.17.23	A dindaari zaa, Ibrahim wumi n ti Naawunni, ka ŋma o bii Isimeel yoori, a ni daba zaa ni ba o laanta, a naa o gurunsi, seesi ba n dogi o laanta, a ni seesi zaa o n da. 
GEN.17.24	Ibrahim ni ŋma o yoori, ka o yuma pisiwai ni awai. 
GEN.17.25	Ka Isimeel mi niŋi yuma pii ni ata. 
GEN.17.26	O ni o ba zaa daa ŋmani ba yoya dindaluŋko. 
GEN.17.27	Daba zaa n daa n ba Ibrahim laanta daa n ŋma ba yoya, a ni o guruŋseesi ba n dogi o laanta, a ni seesi ba n da.
GEN.18.1	Dindaso wuntonkpaligu, Duuma daa n ta Ibrahim saani, a leeli Mamiri titintaasi. Ka Ibrahim daa n zinni o gbana sugiri noori. Jemanso zii n bii. 
GEN.18.2	Ka lalli o zu saa, o nyeni dabsi bata n za n leeli u. Noba maa niŋi o n si n nye ba, o chee n we ba saani, a wa ti gba, a naag o gbee zulisi tiŋŋa. 
GEN.18.3	O suusi ba yeli, “M yidaana jaande, ka m yela peri i, da pa ti saa m yiri. 
GEN.18.4	M ni ti ba ŋoo koom ti ti ya, ya pegi ya noba, ya zi tiyaa gbinni vuusira, m chena. 
GEN.18.5	M ni mari bindira beela gba ta, a ni paasi ya niŋi, ya cheni ŋa puwa. Ya naa mani saa, ya n ta m laanta ŋa.” Ba sagi, ka yeli u, “Niŋi seema e ni yeli maa.”
GEN.18.6	Ibrahim zo yomyom kpe o gbana sugiri puwa yeli Saara, “Naag e zumsuma la bowate niŋi paanu yoom.” 
GEN.18.7	Ka chee n gaari o naagi puu wa ti gbaa nagipolli, so n mari kpaam, a ti ti o guruŋsi yindaana, o ku u, a maali u nene yoom ta. 
GEN.18.8	O gbagba naa bisimkpaam, nagibisim, a ni valiga ti ti ba tii maa gbinni, ba dira, ka o za ba saani, tii maa gbinni.
GEN.18.9	Niŋi n na, ba boosi u, “E poga Saara baya?” O yeli ba, ni o ba sugiri puwa.
GEN.18.10	Ba yindaana yeli u, “Yumini jemanaa zu, m ni pori n ta e saani kpe, e poga Saara ni dogi biduwa.” Ka Saara begi dinoori wumina seema o n yetira maa. 
GEN.18.11	Ibrahim ni Saara zaa daa n kurigini, haali, Saara daa n bi lee n pegira. 
GEN.18.12	A la zu, Saara la o maŋŋa, a yi o sufu niŋi, ka yeli, “Pimparaŋa, seela m ni m sira zaa n kurigi n paag a, ni lee n tee n dogi?”
GEN.18.13	Niŋi n na, Duuma boosi Ibrahim, “Wula n na Saara la, ka yeli ni o ki lee n dogi jemanso o n kurigaa? 
GEN.18.14	Ya bo n ba toom ti Duuma? A maa seema ni yeli la, yumini jemani a zu, m ni lee n pori n ta, ka Saara dogi biduwa.”
GEN.18.15	A kpali Saara n daa zora dabeem zu, o chisi, “M bi la.” O yeli u, “Yamonsi, e laya.”
GEN.18.16	Niŋi n na, niriba maa yi nisaaniŋi wa ti paa seela ba n di n za, ka nye Sodom, ka Ibrahim pa ba zu, o zaali ba soori. 
GEN.18.17	Ka Duuma yeli o sufu niŋi, “M ki naa n sogi Ibrahim bunso ni ya n niŋi. 
GEN.18.18	O yaŋsi ni ti niŋi zaaziikara dima ni kpeena baligu, o niŋi n na ma ni dolli n nafa balisi zaa. 
GEN.18.19	M nyisi u ni, o wusi o biisi ni o yaŋsi ba mari wumintiibu ti ma, ka niŋini bunso zaa ni tooli, a ni yamonsi. Ka ba yi niŋi lala, m ni niŋi n paali naŋgbanseesi zaa ni digili u la.”
GEN.18.20	Niŋi n na, Duuma yeli Ibrahim, “Yadagiri seesi Sodom ni Gomora dima n niŋina la ti ba yabeeri zoo ga. 
GEN.18.21	A daga ni wa ti nyaasi, jiri n na bee yamonsi.”
