MAT.1.1	Neney na ɗeriwel ma mezley ma baba tete ma Yezu Kriste hay, bəzey ma David, bəzey ma Abraham.
MAT.24.18	Haɗaw ndaw ana ŋga da ley na, ka da mawa a mbaw, ma da zəgaɓa zana ma memeɗ aŋga zlay. 
MAT.24.19	Da har ana ŋga na na, ŋgwas ta bəzey da hwoɗ ana hay, dakay na, ta bəzey ka har ana hay na, ka tuwam vaw ta! 
MAT.24.20	Ɗulam mey na, ma ha da hwam ta har ma memeɗ kusey, dakay na ta pas ma mesley zlay. 
MAT.24.21	Tsetseh ana a da key na kambəlaɓa. Tsetseh ana ŋga na na, ɗaɗa ka kawa andza ha daha tsaray kakay, zla da mezley ma bəla, ha kasl ekəɗey. Yaw, a da key aha andza ha dasakay. 
MAT.24.22	Hana na ka takətsafama meney ana hay zlay na, ndaw ma da ləhada mendzey ŋga na dakay. Ama a da takətsafama meney ana hay ba na, hərway ma ndaw ma gaɗəma na hay. 
MAT.24.23	Arka tok na, kendzey ndaw a ləvakwar: ‹Ndaw 
MAT.24.24	Akwa na ndaw ma vaha ’ar maləwaɗay ana hay, ta ndaw sek maləwaɗay ana hay, a da lətsəmawa, a da kam zeheɗ me gegətsey ndaw ana hay ta ɗeɗew hay, ma ka zləgaɗəmata ndaw hay. Kendzey hana a key vaw na, ta ndaw ma gaɗəmata na hay dzay. 
MAT.24.25	Nəkafama, i ka ɓadakwar ba ka vaw.
MAT.24.26	Kendzey andza a ləvəmakwar: ‹ŋga tay da palah na, ka da dam zlay›, kendzey a ləvəmakwar: ‹ŋga da bəzay 'ay na›, ka da təɓama ka mevel a kwar zlay. 
MAT.24.27	Akwa a da key na, andza ma yam meweteɗey ma zlərawa da bəzay me wezley dey, kasl a mey ŋgwa na na, ma da sawa ma 
MAT.24.28	Kendzey vagay ka slam ana daha tsana, magwadok hay a tsəham 'ar kava. 
MAT.24.29	Nekəɗey a dəba ma viya ma pas ana ŋga na hay na, pas a da ndermeɗey, kiya a da wuɗey sakay. Wurzla hay a da kuyəmawa ba da 'ərlam. 
MAT.24.30	Arka tok na, zeheɗ ma 
MAT.24.31	A da sləradata madurlam aŋga hay, ta mezezeŋ ɗuhwa hiya,da tsakay lam hay faɗ ata hiya ka halay ma həzlay ma ’ərlam zla da tsakay naŋgar kasl a naŋgar na, a da tsəhadəmata 'ar ta ndaw aŋga ma gaɗəma na hay. 
MAT.24.32	Tsənadama bəzay ma guma neney ma maladama ta vəɗe tek ana ɗagay: ka nəkadama andza mey ma hawal ŋga na hay ləɓaw ahiya, ɓaslah ana hay a ɗaɗam ahiya na, ka səradama gwadavay a gurawa ha. 
MAT.24.33	Kuray ana tiyatsa na andza aha tsa, andza kuray ka nəkadəmata tek a neney hay ba tabiyaha na, a kam aha andza neney na, sərafama har ma 
MAT.24.34	I ɓadakwar dərka na, ndaw ma bəla neney hay a da ndəvam aha, mandzara tek a neney hay ka husəmawa kakay. 
MAT.24.35	Dala ta ndasl ma 'ərlam na, a da davasam, ama guma ɗaw hay na, ɗaɗa a da davasam aha tikay.
MAT.24.36	Ama pas ana ta har ana na ndaw ma sərada na dakay, kwa madurlam ma 'ərlam hay, kwa Bəzey ana, kwa ndaw ma sərada na dakay, sey Baba na asləta dada. 
MAT.24.37	Tek ma kawa da har ma Noey ana na, ma da sawa ma 
MAT.24.38	Andza papəlay ka sawa tsaray kakay na, ndaw hay a zəmam tek, a sam zom, a zəgam kokwa, a vəlam dem hay 'ay zel, ha kasl ka pas ma Noey me fuləkwey a kombiwal, 
MAT.24.39	taya ka səram ka vaw kakay, ha kasl ka pas ma yam ma sawa ma vadata ba tabiyaha: ma da sawa ma 
MAT.24.40	Arka mawal hay tsew da ley na, a zəgam asləta a mbəkadama naŋgar. 
MAT.24.41	Ŋgwas hay tsew a kəram aha ka ver na, a zəgam asləta a mbəkadama naŋgar. 
MAT.24.42	Ndzam tsekerkerre zləna, hərway ka səradama ha pas ma Bay’ərlam a kwar ma da sawa na kakay seŋgey. 
MAT.24.43	Ka səradama ha seŋgey, kendzey bay ma 'ay a sərada ha mahal a da sawa 'ay ŋga ma lam kəɗey kəɗey ma dəvaɗ na, sey a ndzey ta dey, a tsukura zləna, a mbəkar tsəveɗ a mahal, ka sləla 'ay ŋga kakay seŋgey. 
MAT.24.44	Nəkafama ka vəday a mey na, kuray tiyatsa na, ndzam tsekerkerre zləna, hərway pas ma ma da sawa ma 
MAT.24.45	Ɗagay gawla ma 'ay hayna na na waray? Na hayna ma sərada tek ana, kendzey andza bay ma 'ay ŋga ka pada ba, me nəkey dey ka sa ma gawla sana hay, ka vəladatara tek me zəmey kassla ka har ana. 
MAT.24.46	Gawla ma ’ay ana hana na ŋga da wuiya, kendzey bay ma 'ay ana a sawa, a ndzafa a key aha mber ana na. 
MAT.24.47	I ɓadakwar dərka na, a da pada me nəkey dey ka zleley ŋga hay tabiyaha. 
MAT.24.48	Ama, haɗaw gawla ma 'ay hayakakay ana tey na, a ləvey da mevel aŋga: ‹Bay ma 'ay ɗaw ana a rawa ha ləma sana›, 
MAT.24.49	a zlatar ma mbatsata me kəɗey a sa ma gawla na ma kam mber dzaya na hay, a zəmey tek, a sey zom aŋga hay andza ndaw ma 'ay zom hay, 
MAT.24.50	bay ma 'ay ma gawla na hana na a da sawa na ta pas aŋga na a huta ha kakay ana, da har aŋga na a sərada kakay ana. 
MAT.24.51	A da hara ba, a da həta na andza ma ndaw ta ’erneh da mey tsew ana hay, da huɗa na, ma tuway, ta me pəɗey sler.
MAT.25.1	Arka a da kam da Slala ma 'ərlam na, andza ma dem ana hay daha kurow, ma həlam peterle ta hay, ma bəmawa ma da zley 'ar ta zel ma kokwa.
MAT.25.2	Na zlam da walaŋ ata ana hay na: dəla hiya, neney zlam ana hay tey na: wewer ahiya. 
MAT.25.3	Andza taya ma həlam peterle ta hay na, dem ana dəla na hay na ka zəgam mal a har kakay. 
MAT.25.4	Dem ana wewer ana hay na, ma dawam ta peterle ta hiya na ta mal ata hiya da kwalaba. 
MAT.25.5	Andza zel ma kokwa na a rawa ha ləma mba na, me nerey ma katar tabiya ha na, ma naram. 
MAT.25.6	A key wuzla dəvaɗ na, me wudey me tsəney: « Zel ma kokwa na ŋga kəɗey, bəmawa da zlam 'ar tok.» 
MAT.25.7	Arka dem ana hana hay ma parkam tobiya ta ha, ma həram waw ka peterle ta hay. 
MAT.25.8	Na hana dəla na hay ma ləvəmatar a na wewer ana hay: ‹Vələmandar mal a kwar ana tey, hərway peterle la hay na, a mətsam aha tek ata.› 
MAT.25.9	Na hana wewer ana hay ma mbəɗəmatar kava: ‹A key vaw kakay zləna, neney na, a da sladandakwar aha kakay! Dawam dzadzak a 'ay ndaw filaw da haɗəkəmawa a kuray ana.› 
MAT.25.10	Andza a dam aha ma da haɗəkawa zlənemey na, zel ma kokwa ma husawa; na hana hay ma həla vaw ana hay na, ma fuləkwam andza zel ma kokwa a 'ay me key magurlam, ma wuɗadama mambaw ba. 
MAT.25.11	A dəba na na, dem a hana hay ma husəmaɓa tey, ma zəlam: ‹Bay’ərlam, Bay’ərlam, wurandar mambaw!› 
MAT.25.12	Ama ŋga ma mbəɗawa kava: ‹I ɓadakwar dərka na, kuray ŋga na hay ɗaw, i səradakwar kakay.› 
MAT.25.13	Ndzam tsekerkerre tok zləna, hərway ka səradama kwa pas ana, kwa har ana kakay seŋgey!»
MAT.25.14	Akwa na a da key na, andza ma ndaw ana daha ma daw a dzaŋgal, ŋga ma zəlatərawa gawla ma 'ay ŋga hay, ma vəladatara zleley ŋga a har ata. 
MAT.25.15	Ma vəlar milioŋ zlam a gawla naŋgar. A gawla naŋgar ma vəlar milioŋ tsew. A ndaw ma makar ana ma vəlar milioŋ asləta, kwa way way na, ma vəlar diday ma gədaŋ aŋga. A dəba na na ma daway təŋga. 
MAT.25.16	Arka tsana ndaw a hana me təɓey milioŋ zlam ana, ma daw ma mbəɗada har, ma ndzafada zlam adiya. 
MAT.25.17	Andza ha satsa na ndaw me təɓey milioŋ tsew ana, ma ndzafadərawa tsew adiya tey. 
MAT.25.18	Ama ndaw me təɓey milioŋ asləta na na, ma daw zlal zlalarada sumkwo ma bay ŋga na hana, a tsəvay. 
MAT.25.19	Mendzey haɗadzidzay a dəba na na, bay ma gawla ma 'ay ana hana na hay ma husawa, ma mbəslama zleley ŋga na. 
MAT.25.20	Ndaw me təɓey milioŋ zlam ana, ma gurafa ma ɓadara 'ar ana, ma ləvar: « Bay, kah ma vəlaya na milioŋ zlam kakay ɗaw? Ekəɗey zlam i ma ndzafadərawa adiya sa.» 
MAT.25.21	Bay ŋga na ma ləvar: « Yawa! gawla ɗey hayna ma tsənaya sləmay ana, tek ketekuɗey na kah ka wafa vaw ba, i da vəlaka haɗadzidzay mba, sawa da key wuiya ta bay ɗek.» 
MAT.25.22	Ndaw a hana me təɓey milioŋ tsew ana ma gurafa tey, ma ləvar: « Bay, kah ma vəlaya na milioŋ tsew kakay ɗaw? Ekəɗey tsew i ma ndzafadərawa adiya sa.» 
MAT.25.23	Bay ŋga na ma ləvar: « Yawa! gawla ɗey hayna ma tsənaya sləmay ana, tek ketekuɗey na kah ka wafa vaw ba, i da vəlaka haɗadzidzay mba, sawa da key wuiya ta bay ɗek.» 
MAT.25.24	Ndaw a hana me təɓey milioŋ asləta na, ma gurafa tey ma ləvar: « Bay, i sərada ha dey ta kava, kah na tek me key wasa kakay, kah ka sləkey tek ka slam ana kakay, tsana ka tsuwey tek kava tsa. Kah ka kəley tek ka slam ana kakay tsana, ka tsetsəmey tek kava tsa tok na, 
MAT.25.25	yah na i wesey, i ma dada zlal zlalarada sumkwo ɗek ana a tsəvay, ŋga kəɗey, təɓa tek eɗek.» 
MAT.25.26	Ama bay ŋga na hana ma mbəɗafara kava: «Kah gawla ɗey haya kakay ana, mayaɗ ana, azlakwa ka sərada ha i ka sləkey ka slam ana kakay na, i tsuwey tsa, i ka kəley tek ka slam ana kakay tsana, i tsetsəmey sana, 
MAT.25.27	azlakwa na, kah ka padaya sumkwo ɗaw ana a banke kwa; akwatay i sawa andza neney na, i da təɓa sumkwo ana ɗaw ta riba ha kava. 
MAT.25.28	Təɓəmərawa sumkwo ŋga na, vəladəmara a ndaw ta milioŋ kurow ana. 
MAT.25.29	Hərway tek ma ndaw ana daha na, a da vəlamar adiya arka a da kafa na dəraɗ dəraɗ. Ama ma ndaw ana dakay tey na, kwa ma ŋga ketekuɗey daha na, a da təɓadəmara ba. 
MAT.25.30	Gawla neney me nefey kakay ana na, vahama, kəladama a ləvaŋ, a bəla, da huɗa tok na ma tuway, me pəɗey sler.»
MAT.25.31	« Andza aza 
MAT.25.32	Mendzey ma ndaw ma dala hay tabiya ha, a da kusəmawa ka slam dey ŋga. A da wanəkadəmata ndaw hay ba ka vaw gəle gəle, andza ndaw me tsukurey ma wanəkadata təɓaŋ hay ba ka vaw ta ɗaw hay. 
MAT.25.33	A da padata təɓaŋ hay a har zəmay ŋga, ɗaw hay tey na a har gula ŋga. 
MAT.25.34	Arka Bay ɗuhwa na a da ləvatar a ndaw ma har zəmay ŋga hay na: ‹Kuray eɗey Baba ɗaw ma pəsafakwar mey ana hay na, səmawa, ndzafama Slala neney ma ləmadəmakwar ka vaw, zla da mezley ma bəla na. 
MAT.25.35	Hərway may ma tsafaya na, kuray ka vələmaya tek me zəmey ba. Yam ma harətaya na, kuray ka vələmaya yam me sey ba. I mbəlak aha na, kuray ka ŋgələmaya ba. 
MAT.25.36	I tetez aha na, kuray ka kələmaya zana ba ka vaw; i dzedzey aha na, kuray ka nəkamayawa ba; i da daŋgay na, kuray ka dəmaɓa ba ka tsakay ɗaw.› 
MAT.25.37	Arka ndaw dzerey ana hay a da mbəɗafəmara kava: ‹Bay’ərlam, la da nəkadəməkawa may a tsafakaha, la ma vələmaka tek me zəmey ana na, varay? Yam a hartaka ha, la ma vələmaka me sey ana na varay? 
MAT.25.38	La da nəkadəməkawa kah mbəlak aha, la ma ŋgələmaka na na varay, kah tetez aha, la ma kələmaka zana ka vaw ana na varay? 
MAT.25.39	La da nəkadəkawa kah dzedzey aha dakay da daŋgay, la ma da nəkəməkawa na na, varay?› 
MAT.25.40	Arka Bay ɗuhwa na a da mbəɗafatara kava: ‹Dərka na i ɓadakwar ekəɗey, ka pas a kwar ma kəmatar hahaya a malam a ɗaw bəza ketekwəɗey ana hay na, ka kadəmaya na, a yah ana!› 
MAT.25.41	Arka Bay ana a da ləvatar a ndaw ma har gula ŋga hay tey: ‹Kuray eɗey ma kəla 'ar ana hay na, dam ba dəreŋ ka slam dey ɗaw, a waw ma ndəvey kakay ana, ma ləmaha na ma 
MAT.25.42	Hərway may ma tsafaya na, kuray ka vələmaya tek me zəmey kakay; yam ma harətaya na, kuray ka vələmaya yam me sey kakay; 
MAT.25.43	i mbəlak aha na, kuray ka ŋgələmaya 'ay kwar kakay; i tetez aha na, kuray ka kələmaya zana ka vaw kakay; i dzedzey aha, i da daŋgay na, ɗaɗa kuray ka dəmaɓa ma da nəkiyawa kakay.› 
MAT.25.44	Arka ndaw a hana hay a da mbəɗafəmara kava tey: ‹Bay’ərlam, la da nəkadəməkawa may a tsafaka ha, yam a harəta ha, kah mbəlak aha, kah tetez aha, kah dzedzey aha, dakay kah da daŋgay, ma dəmaɓa ma nəkəməkaɓa dey tikay ana na, varay?› 
MAT.25.45	Arka a da mbəɗafatara kava: ‹Dərka na i ɓadakwar ekəɗey, ka pas ana ŋga na na, kuray ma kadəmatara tek a neney hay a bəzey bəza hiya ketekwəɗey ana hay kakay ana na, kwa a yah ana na, kuray ka kadəmaya kakay tiyatsa›. 
MAT.25.46	Arka a da wunam 'ar na, ndaw eɗey hay a slam ma banay me ndəvey kakay ana; arka ndaw dzerey ana hay na, a mendzey me ndəvey kakay ana.»
MAT.26.1	Arka andza Yezu ka ndəvada me tetəkey ŋga neney hay ba na, ŋga ma ləvatar a gawla ŋga hay: «Sərafama da meney tsew na magurlam ma Pak. 
MAT.26.2	A da mbəkafama har ka 
MAT.26.3	Arka baba ɗuhwa na ma kam kuley ana hay, ta 
MAT.26.4	Taya ma dazlama mey ta, ma da zəga Yezu ta wewer, ma da kəɗa ba vagay aha. 
MAT.26.5	Ama taya ma ləvam: «Ka da key da wuzlah ma magurlam zlay zləna, a da zlawara səkway ba»
MAT.26.6	Andza Yezu ŋga da Betani da 'ay Simoŋ ndaw 
MAT.26.7	ŋgwas ana daha ma gurafa ka tsakay ŋga, ta kwalaba ma wurdey aha ma sumkwo haɗadzidzay ana da har, ma mbəɗafa ka 'ar ma Yezu ma ndza ha a zəmam aha tek. 
MAT.26.8	Andza gawla ŋga hay ma nəkadama na, a ndalatar, ma ləvam: «Neney na, masaka ha mey, ma ŋgəsada andza neney na? 
MAT.26.9	Akwa hana ma haɗəkada sumkwo haɗadzidzay na, ma vəladatara sumkwo ana a ndaw mbarga na hay.» 
MAT.26.10	Yezu ma sərafa na, ma ləvatar: «Ɗagay ka pəslamar ’ar a ŋgwas a neney na ka mey? Mber ’aŋga na ma ndaslada hərway ɗaw ana na hayaha. 
MAT.26.11	Akwa ndaw mbarga na hay na, daha ka tsakay kwar ka pas ka pas aha; ama yah na, ka da ndzafəmaya ha, ma səlekw dakay. 
MAT.26.12	Ma mbəɗafaya wurdey ŋga neney ka vaw ɗaw ana na, a key na a ləmey vagay ɗaw. 
MAT.26.13	I ɓadakwar dərka na, ka slam ma da taləkadama mey ta Mey Wayna ka waray ka waray ka bəla tabiyaha na, a da təkərama tiyatsa ka sərafama ka ŋgwas ana, ka tek aŋga ma kawa na.»
MAT.26.14	Arka ndaw asləta da walaŋ ma gawla ŋga kurow kava tsew ana hay, a zəlamar Zudas Iskariyot, ma daw 'ay baba ɗuhwa na me key kuley ana hay. 
MAT.26.15	Ŋga ma ləvatar: « ka wuɗam ka vələmaya na mey, aza i ka da vəladakwar na?» Taya ma kama tsekeley ana sulay kokurow makar. 
MAT.26.16	Zla ta pas ana ŋga na na, ŋga me səpey wewer ma da vəladatara.
MAT.26.17	Pas tsəfəmey ana ma peŋ mandzar is ana na, gawla ŋga hay ma səmawa ma tsəhafama ka Yezu: «Ka wuɗey la ka tadəmaka tek me zəmey ma magurlam ma Pak ana na ka waray?» 
MAT.26.18	Ŋga ma ləvatar: «Dam a wuraw 'ay ma məna na, ləvamar: ‹Bay a ləvandərawa na: har a ɗaw ka gurawa ba, i da kama magurlam ma Pak andza gawla ɗaw hay na, da 'ay ɗek.› » 
MAT.26.19	Gawla ŋga hay ma kama andza ma Yezu ma ləvatərawa na; ma ləmadama tek ma magurlam ma Pak ana tok.
MAT.26.20	Andza hakwaɗ me key ba na, Taya ka slam me zəmey tek, andza gawla ŋga kurow kava tsew ana hay. 
MAT.26.21	Andza a zəmam aha tek na, ŋga ma ləvatar: «I ɓadakwar dərka na, ndaw asləta da walaŋ a kwar a da haɗəkadaya.» 
MAT.26.22	A ndalatar a gawla ŋga hay na, andza ha dakay. Taya ma zlamar ma tsəhafama: «Yah ɗaw, Bay’ərlam a ɗaw? Yah ɗaw, Bay’ərlam ɗaw?» 
MAT.26.23	Ŋga me mbəɗey kava: «Ndaw ma da haɗəkadaya na na, i ka dzəmam har ba a gandaf tsetsuwe. 
MAT.26.24	Ma da daw ma 
MAT.26.25	Zudas, ndaw ma haɗəkada na, ma ləvar: «Akwatay na yah ɗaw Rabi?» Yezu ma mbəɗar kava: «Kah ana me ləvey seŋgey.»
MAT.26.26	Andza a zəmam aha tek na, Yezu me zəgey peŋ,a dəba ma ma pəsafa mey ba na, ma tsada, arka ma vəladatara a gawla ŋga hay, me ləvey: «Təɓama, zəmama, neney na vaw ɗaw.» 
MAT.26.27	Arka me zəgey vəley ma zom, a dəba ma ma mada sise na, ma vəladatara, ta me ləvey aha kava: «Dzaɓadama tobiya kwar aha, 
MAT.26.28	hərway neney na mambaz a ɗaw, mambaz ma Me dzəmey Vaw, ma da mbəɗawa hərway ma ndaw hay haɗadzidzay, ma ma sey yam ka meŋgəsey hay. 
MAT.26.29	I ɓadakwar, mezley zla ekəɗey ana na, i da sey aha zom ma bəzey ma viŋe a neney sakay, ha aza ka pas i ma da sey na wayna, ta kuray da Slala ma Baba ɗaw.»
MAT.26.30	A dəba andza taya ma kəmata walay ma Pəsom hay ba na, taya ma bəmawa ma dam a mamba ma Tetəɗez. 
MAT.26.31	Arka Yezu ma ləvatar: «Teseɗey ma dəvaɗ na, kuray tobiya kwar aha ka da təɗam hərway ɗaw. Hərway ma winda ha akwa na: I da kəɗa ndaw me tsukurey ana ba na, təɓaŋ ma welde na a da zlaɗam 'ar. 
MAT.26.32	Ama a dəba ma ma da mbəlawa ɗaw tey na, i da lahafakwar ba ka mey a Galiley.» 
MAT.26.33	Piyer na, me mbəɗey kava me ləvey: «Kendzey ndaw hay tabiyaha ka təɗam ba hərway ɗek na, yah na ɗaɗa i da təɗey aha tikay.» 
MAT.26.34	Yezu ma ləvar: «I ɓadaka dərka na, ta dəvaɗ ma teseɗey a neney na, maga dzagulok a da zlehey na kah ka mbəɗey mey tsoy dey makar» 
MAT.26.35	Piyer na ma ləvar: «Kwa andza a dafa i da mətsama ta kah na, i da mbəɗey aha mey kakay » Arka sa ma gawla ŋga hay ma ləvam tabiyaha andza ha atsa.
MAT.26.36	Arka Yezu ma dawam dzaya a 'ay dzerne na daha, a zəlamar Zetsemani. Arka ŋga ma ləvatar a gawla ŋga hay: «Ndzam aha ka sləna, i daw i da ɗulawa mey ka taɗay.» 
MAT.26.37	Ŋga me ŋgəley ka bəzay na, Piyer ka zəgawa bəzey ma Zebedey hay tsew. A kar tossa me dzəmey ka vaw. 
MAT.26.38	Arka ŋga ma ləvatar: «Mezek a ɗaw ma ndza ha magwam aha a memətsey; ndzam ka sləna, ndzakwama ta dey.» 
MAT.26.39	Ŋga ma daw dəreŋ nekəɗey, me gertey ’ərdey dots ka dala, me ɗuley mey me ləvey: «Baba ɗaw, kendzey a key vaw na, vəley ma tsetseh a neney ka daw ba dəreŋ ta yah! Amana, andza na ŋga ɗaw me wuɗey ana kakay, ama na andza na kah me wuɗey ana! 
MAT.26.40	Arka ŋga ma mawa ka tsakay ma gawla ŋga hay. A da ndzafata na, a naram hiya. Arka ma ləvar a Piyer: «Kəɗey na kuray ka ndzafam gədaŋ me ndzey ta dey ndzemdey pal andza yah kakay ɗaw? 
MAT.26.41	Ndzam ta dey, ɗulam mey, ma aza kuray ka da təɗam a gendeɗ ma ndaw me pey wuiya zlay. Mesəfrey na ma həla vaw aha, ama slaw vaw na bəle ha.» 
MAT.26.42	Ŋga me mey dey ma tsetsew ana sa, ŋga ma gurey nekəɗey me ɗuley mey, me ləvey: «Baba ɗaw, banay a neney i ma da sa na na, a key vaw i ka sa zlay sakay sana, ka key na andza na ŋgeɗek me wuɗey ana.» 
MAT.26.43	Andza ŋga ma mawa sa na, a da ndzafata na, a naram hiya sa, hərway taya tsoy ma rəzla hiya. 
MAT.26.44	Ŋga ma mbəkadata, ma gurey sa, me ɗuley mey dey ma makar ana, ma mada guma na hay andza ha sa. 
MAT.26.45	Arka ŋga ma mawa ka slam ma gawla ŋga hay, ma ləvatar: «Ekəɗey na tsoy tok, naram tek a kwar hay, sasəkam vaw kwar! Nəkafama har ana ka gurawa tsoy, 
MAT.26.46	Lətsam, nakwam ba! Nəkafama, ndaw ma da haɗəkadaya na ka husawa tsoy bəse.»
MAT.26.47	Andza a tsey aha guma mba na, Zudas, ndaw asləta da walaŋ ma gawla ma Yezu kurow kava tsew ana hay, me husey ta ndaw hay haɗadzidzay, ta sleɗ ma tsakay ahiya, ta tapay ahiya; ma sləradatərawa na baba ɗuhwa na me key kuley ana hay, ta 
MAT.26.48	Ndaw ma haɗəkadatara na na, ɓa ka ɓatar zeheɗ ba: «Ndaw i ma da surma na na, ŋga tok, zəgama!» 
MAT.26.49	Arka tsana ŋga ma gurafa ka Yezu, me ləvey: «I ka tsadaka guma Rabi!» Arka ŋga ma surma. 
MAT.26.50	Yezu ma ləvar: «Dzam a ɗaw, key mber eɗek!» Arka taya ma gurafama; ma pafama har ka Yezu, ma zəgama. 
MAT.26.51	Arka ndaw asləta da walaŋ ma gawla ma Yezu hay, ma kuɗawa sleɗ ma tsakay ŋga, ma tsuwa gawla ma 'ay bay ma Baba ɗuhwa na me key kuley ana, ha sləmay fakwatok ba ka dala. 
MAT.26.52	Arka Yezu na, ma ləvar: «Mada sleɗ ma tsakay ɗek a 'ay ŋga, hərway ndaw me zəgey sleɗ ma tsakay na hay tabiya ha na, a da zəɗam na ta sleɗ ma tsakay ana tiyatsa. 
MAT.26.53	Kah ma dzala akwatay i wuɗey na, i tsəraɓa guma a Baba ɗaw na, a sləriyawa madurlam hay gabal kurow kava tsew, kakay ɗaw? 
MAT.26.54	Ɗagay mewindey Kokwoɗ ana hay a da ndaslam na, teŋgey?Haya a dafa ka kam na ka kam andza neney ana 
MAT.26.55	Da har aŋga na na na, Yezu ma ləvatar a ndaw ma kusa hiya na hay: «Kuray ma səmawa ta sleɗ ma tsakay, ta tapay ahiya, andza ma da zəgaɓa katsala. Ka pas ka pas i ma ndza ha da 'Ay me key 
MAT.26.56	Ama tek a neney hay a da kam andza neney na, hərway aza ka da ndaslam, andza ma ndaw sek hay ma windəmərawa na.» Arka na gawla ŋga hay ma mbəkadama tabiya ta ha, ma hwam tek ata.
MAT.26.57	Ndaw ma zəgama Yezu ana hay ma dadama 'ay Kayif baba ɗuhwa na, me key kuley ana. 
MAT.26.58	Piyer na, ma səpa da dəba da dəba da dəreŋ kasl ka mezləŋgəre a 'ay ma Baba ɗuhwa na me key kuley ana; ŋga me fuləkwey, me ndzey ka slam ma gawla ma 'ay hay, ma aza ka nəkada a da ndəvey na teŋgey. 
MAT.26.59	Azlakwa tok na, baba ɗuhwa na me key kuley ana hay, ta Sanedreŋ tabiyaha, a səpafama ha seydewe maləwaɗay ana, ma da dzuwada Yezu a memətsey. 
MAT.26.60	Amana taya ka ndzafam kakay. Kwa andza ndaw seydewe maləwaɗay ana hay haɗadzydzay ma lətsam na. A dəba na ndaw hay tsew ma lətsam, 
MAT.26.61	ma ləvam: «Ndaw a neney a ləvey na: ‹i slafa ma mbəzlada 'Ay me key 
MAT.26.62	Baba ɗuhwa na me key kuley ana, me lətsey, ma ləvar: «Guma ɗek me mbəɗey kava dakay ɗaw? Ndaw a neney hay a kafəmaka na, seydewe waray?» 
MAT.26.63	Ama Yezu na, tete təŋga. Baba ɗuhwa na me key kuley ana, ma ləvar: «I mbəɗaka ta Bay ma bəla ta dey ana, aŋga ɓadandar ɗagay, haɗaw kah na Ndaw ma vahara 'ar ana, Bəzey ma Bay ma bəla na» 
MAT.26.64	Yezu ma mbəɗar kava: «Kah ana me ləvey, ama ekəɗey i ɓadakwar tsana, ka da nəkadama 
MAT.26.65	Arka Baba ɗuhwa na me key kuley ana ma ŋgwarɗada zana ŋga hay, me ləvey: «Ŋga ka tsaɗa 
MAT.26.66	Kuray ekəɗey ka dzalafama kava na teŋgey?» Taya ma mbəɗam kava: «Təɗe me kəɗey ŋga na vagay aha.» 
MAT.26.67	Arka taya ma təfafama sleslem ka mey dey, ma kəɗama, sa na hay ma kəlamar marawa. 
MAT.26.68	Taya ma ləvamar: «Key ndaw sek, Ndaw ma vahara 'ar ana, ɓadandar, ma kəɗaka na way?»
MAT.26.69	Azlakwa Piyer na ma ndza ha da hwoɗ a 'ay. Arka dem ma 'ay ana ma gurafa, ma ləvar: «Kah ana na kete kuray ta Yezu ma Galiley ana tiyatsa seŋgey!» 
MAT.26.70	Ama Piyer na, me mbəɗey mey ka slam dey ma ndaw hay tabiyaha, me ləvey: «I sərada guma ɗek eɗey me wuɗey me tsey ana tikay.» 
MAT.26.71	Andza a daway aha təŋga ’ar a mey mambaw na, dem ana daha mekelehe ma nəkada na, ma ləvatar a ndaw na ka slam ana hay: «Ndaw a neney na, kete taya ta Yezu ma Nazaret ana.» 
MAT.26.72	Arka satsa na, ŋga na me mbəɗey mey ta me mbəɗey aha: «I sərada ndaw a neney kakay!» 
MAT.26.73	Arka mendzey nekəɗey a dəba na na, ndaw na ka slam aŋga na hay ma gurafama ka Piyer, ma ləvamar: «Dey ta kava kah ana tiyatsa na, kah da walaŋ ata, satsa na vəɗe ma ɗay ɗek ana na a həlafaka mey» 
MAT.26.74	Arka tsoy ŋga me mbəɗey mey ta ma tsaɗata ha: «I sərada ndaw a neney ana tikay!.» Arka tsa na, dzagulok me zlehey. 
MAT.26.75	Arka Piyer ma sərafa ka guma ma Yezu ma tsar andza neney ana tok: «Maga dzagulok a da zlehey na, kah ka mbəɗey mey tsoy dey makar ka səradaya kakay.» Arka ŋga ma bawa ma tuway ha da mey ŋga dakay.
MAT.27.1	Ma zlemedew ana na, baba ɗuhwa na me key kuley ana hay, ta 
MAT.27.2	Arka taya ma dzuwama, ma dadama, ma vəladəmara a har ma guverner 
MAT.27.3	Arka Zudas, ndaw ma haɗəkada na, ma nəkada ka dzuwama Yezu tsoy, me hwehuney. Ŋga ma madatara sulay kokurow makar ana a baba ɗuhwa na me key kuley ana hay, ta 
MAT.27.4	ta me ləvey aha: «I ka ŋgəsey ba zləna, i da haɗəkada na, mambaz ma ndaw ma ŋgəsa kakay ana.» Ama taya ma ləvam: «Ana mey la mey tey, mey ɗek ana, kah ma sərada!» 
MAT.27.5	Arka ŋga me lətsey ba ka slam ata, ta ma kuyada sulay ana a tsakay ma slam me key kuley, arka ma daw ma da hartey vaw ŋga. 
MAT.27.6	Baba ɗuhwa na me key kuley ana hay ma həlama sulay ana, arka ma ləvam: «Sulay a neney na, ndaw a dzəmada a dey ma sumkwo ma 'Ay me key 
