GEN.1.1	Na počátku Bůh stvořil nebe a zemi. 
DEU.6.1	A toto jsou ta přikázání, pravidla a zákony. Hospodin, váš Bůh, mi přikázal, ať vás jim učím, abyste je dodržovali v zemi, kterou jdete obsadit. 
DEU.6.2	Chce, abys ty i tvůj syn a vnuk po všechny dny svého života ctili Hospodina, svého Boha, a zachovávali všechna jeho pravidla a přikázání, která ti udílím, abys byl dlouho živ. 
DEU.6.3	Slyš je, Izraeli, a pečlivě je dodržuj. Pak se ti povede dobře a v zemi oplývající mlékem a medem se mocně rozmnožíte, jak ti to řekl Hospodin, Bůh tvých otců. 
DEU.6.4	Slyš, Izraeli: Hospodin je náš Bůh, Hospodin je jediný! 
DEU.6.5	Proto miluj Hospodina, svého Boha, celým svým srdcem, celou svou duší a celou svou silou. 
DEU.6.6	Ať tato slova, která ti dnes svěřuji, zůstanou ve tvém srdci. 
DEU.6.7	Vštěpuj je svým synům a mluv o nich, ať sedíš doma nebo jdeš po cestě, ať uléháš anebo vstáváš. 
DEU.6.8	Přivaž si je jako znamení na ruku a jako pásek na čelo.
DEU.6.9	Napiš je na veřeje svého domu a na své brány. 
DEU.6.10	Hospodin, tvůj Bůh, tě přivede do země, kterou s přísahou zaslíbil tvým otcům Abrahamovi, Izákovi a Jákobovi.
DEU.6.11	domy plné všeho dobrého, které jsi neplnil, vykopané studny, které jsi nekopal, vinice a olivoví, které jsi nesázel. Až pak budeš jíst a nasytíš se, 
DEU.6.12	měj se na pozoru, abys nezapomněl na Hospodina, který tě vyvedl z Egypta, z domu otroctví. 
DEU.6.13	Hospodina, svého Boha, budeš ctít, jemu budeš sloužit a při jeho jménu budeš přísahat. 
DEU.6.14	Nesmíš následovat cizí bohy, žádné z bohů okolních národů. 
DEU.6.15	Vždyť Hospodin, tvůj Bůh, jenž uprostřed tebe přebývá, je žárlivě milující Bůh! Jinak proti tobě vzplane hněv Hospodina, tvého Boha, a vyhladí tě z povrchu země. 
DEU.6.16	Nepokoušejte Hospodina, svého Boha, jako jste jej pokoušeli v Masse.
DEU.6.17	Pečlivě zachovávejte přikázání Hospodina, svého Boha, i jeho svědectví a pravidla, která ti vydal. 
DEU.6.18	Čiň, co je v Hospodinových očích správné a dobré. Pak se ti povede dobře a vejdeš do té krásné země, kterou Hospodin s přísahou zaslíbil tvým otcům, obsadíš ji 
DEU.6.19	a zaženeš všechny své nepřátele, jak ti to řekl Hospodin. 
DEU.6.20	Až se tě v budoucnu tvůj syn zeptá: „Co znamenají ta svědectví, pravidla a zákony, jež vám přikázal Hospodin, váš Bůh?“ 
DEU.6.21	odpovíš mu: „V Egyptě jsme byli faraonovými otroky, ale Hospodin nás mocnou rukou z Egypta vyvedl. 
DEU.6.22	Před našima očima přivedl Hospodin na Egypt, na faraona i na celý jeho dvůr veliká a hrozná znamení a divy. 
DEU.6.23	Nás však odtud vyvedl, aby nás přivedl sem a dal nám zemi, kterou s přísahou zaslíbil našim otcům. 
DEU.6.24	Tehdy nám Hospodin přikázal, abychom se řídili všemi těmito pravidly a ctili Hospodina, svého Boha. Pak se nám po všechny dny našeho života povede dobře a tak je tomu dnes. 
DEU.6.25	Naše spravedlnost je v tom, abychom před Hospodinem pečlivě dodržovali všechna tato přikázání, jak nám uložil.“ 
DEU.7.1	Až tě Hospodin, tvůj Bůh, uvede do země, kterou přicházíš obsadit, vytlačí před tebou početné národy: Chetejce, Girgašejce, Emorejce, Kananejce, Perizejce, Hivejce a Jebusejce – sedm národů větších a mocnějších, než jsi ty. 
DEU.7.2	Hospodin, tvůj Bůh, ti je vydá, abys je pobil, a tak je vyhladíš jako proklaté. Neuzavřeš s nimi smlouvu a nesmiluješ se nad nimi. 
DEU.7.3	Nespřízníš se s nimi – nedáš svou dceru jejich synovi ani nevezmeš jejich dceru pro svého syna. 
DEU.7.4	To by pak tvé potomky odvrátilo ke službě cizím bohům. Hospodin by proti vám vzplanul hněvem a rychle by tě vyhladil. 
DEU.7.5	Proto s nimi naložte takto: jejich oltáře zbořte, jejich posvátné sloupy roztříštěte, jejich posvátné kůly zporážejte a jejich tesané sochy spalte. 
DEU.7.6	Jsi přece svatý lid Hospodina, svého Boha! Tebe Hospodin, tvůj Bůh, vyvolil, abys byl jeho lidem, jeho zvláštním pokladem jako žádný jiný lid na zemi.
DEU.7.7	Ne proto, že by vás bylo více než jiných národů, k vám Hospodin přilnul a vyvolil si vás – vždyť jste nejnepatrnější z národů! 
DEU.7.8	Avšak proto, že si vás Hospodin zamiloval, a proto, že chtěl splnit přísahu, kterou dal tvým otcům, vyvedl vás Hospodin mocnou rukou a vykoupil tě z domu otroctví, z ruky egyptského krále faraona. 
DEU.7.9	Věz tedy, že Hospodin, tvůj Bůh, je Bůh. Je to věrný Bůh, zachovávající smlouvu a milosrdenství do tisícího pokolení těch, kdo jej milují a dodržují jeho přikázání. 
DEU.7.10	Těm, kdo jej nenávidí, však odplácí osobně, 
DEU.7.10	aby je vyhubil. 
DEU.7.10	Nebude váhat – tomu, kdo jej nenávidí, 
DEU.7.10	odplatí osobně. 
DEU.7.11	Zachovávej tedy přikázání, pravidla a zákony, jež ti dnes udílím, a dodržuj je. 
DEU.7.12	Budeš-li tato pravidla poslouchat, zachovávat a dodržovat, pak Hospodin, tvůj Bůh, vůči tobě dodrží svou smlouvu oddané lásky, jak přísahal tvým otcům. 
DEU.7.13	Bude tě milovat, bude ti žehnat a rozmnoží tě. Požehná plodu tvého lůna i plodům tvé půdy – tvému obilí, vínu i oleji, vrhu tvého skotu i mláďatům tvého bravu v zemi, o níž přísahal tvým otcům, že ti ji dá. 
DEU.7.14	Budeš požehnaný nade všechny národy. Nevyskytne se u tebe neplodný ani neplodná, ani mezi tvým dobytkem. 
DEU.7.15	Hospodin od tebe odejme každou nemoc. Nevloží na tebe žádnou ze zlých chorob, které jsi poznal v Egyptě, ale postihne jimi všechny, kdo tě nenávidí. 
DEU.7.16	Pohltíš všechny národy, které ti Hospodin, tvůj Bůh, dává. Nebudeš na ně hledět s účastí – tak by ses octl v pasti a nakonec sloužil jejich bohům. 
DEU.7.17	Možná si v srdci řekneš: „Tyto národy jsou početnější než já – jak je budu moci vyhnat?“ 
DEU.7.18	Neboj se jich! Jen si vzpomeň, jak Hospodin, tvůj Bůh, naložil s faraonem a s celým Egyptem! 
DEU.7.19	Vzpomeň si na veliké zkoušky, které jsi viděl na vlastní oči, na znamení a divy, na mocnou ruku a vztaženou paži, jíž tě Hospodin, tvůj Bůh, vyvedl. Takto Hospodin, tvůj Bůh, naloží se všemi národy, jichž se obáváš. 
DEU.7.20	Hospodin, tvůj Bůh, na ně pošle i sršně, dokud nezahyne i poslední z těch, kdo se před tebou skryli. 
DEU.7.21	Neměj z nich strach, vždyť uprostřed tebe je Hospodin, tvůj Bůh, veliký a hrozný Bůh! 
DEU.7.22	Hospodin, tvůj Bůh, před tebou ty národy vytlačí postupně; nebudeš je moci zdolat rychle, aby se proti tobě nerozmnožila divoká zvěř. 
DEU.7.23	Hospodin, tvůj Bůh, ti je vydá, a budou žít v naprosté hrůze, dokud nebudou vyhlazeni. 
DEU.7.24	Vydá do tvých rukou i jejich krále, takže vymažeš jejich jméno pod nebem. Žádný před tebou neobstojí, všechny je vyhladíš. 
DEU.7.25	Sochy jejich bohů spal. Nesmíš zatoužit po stříbru ani zlatu, které je na nich. Neber si je, abys neupadl do léčky. Pro Hospodina, tvého Boha, je to ohavnost! 
DEU.7.26	Nesmíš si tu ohavnost přinést domů, jinak propadneš klatbě jako ona. Budeš se jí štítit a pokládat ji za hnusnou ohavnost, neboť propadla klatbě. 
DEU.8.1	Pečlivě dodržujte všechna přikázání, která ti dnes udílím, abyste byli živi, rozmnožili se a mohli vejít a obsadit zem, kterou Hospodin s přísahou zaslíbil tvým otcům. 
DEU.8.2	Pamatuj na celou tu cestu, kterou tě Hospodin, tvůj Bůh, vedl těchto čtyřicet let po poušti, aby tě pokořil a vyzkoušel a aby poznal, co je v tvém srdci – zda budeš zachovávat jeho přikázání, nebo ne. 
DEU.8.3	Pokořoval tě a dopouštěl na tebe hlad; krmil tě manou, kterou jsi neznal ty ani tví otcové, aby ti dal poznat, že nejen chlebem bude člověk živ, ale vším, co vychází z Hospodinových úst. 
DEU.8.4	Tvůj oděv za těch čtyřicet let nezchátral a tvé nohy neotekly. 
DEU.8.5	Věz tedy ve svém srdci, že jako člověk vychovává svého syna, tak Hospodin, tvůj Bůh, vychovává tebe. 
DEU.8.6	Zachovávej přikázání Hospodina, svého Boha, choď po jeho cestách a cti jej. 
DEU.8.7	Hospodin, tvůj Bůh, tě totiž uvádí do krásné země, do země s potoky a vodními prameny, jež vyvěrají z hlubin v údolích i na horách; 
DEU.8.8	do země pšenice a ječmene, vinné révy, fíků a granátových jablek, do země olivového oleje a medu, 
DEU.8.9	do země, v níž nebudeš jíst chléb poskrovnu a v ničem nebudeš mít nedostatek, do země, jejíž kamení je železo a z jejíchž hor budeš těžit měď. 
DEU.8.10	Tam budeš jíst do sytosti a budeš dobrořečit Hospodinu, svému Bohu, za tu krásnou zem, kterou ti dal. 
DEU.8.11	Měj se však na pozoru, abys nezapomněl na Hospodina a nepřestal zachovávat jeho přikázání, pravidla a ustanovení, která ti dnes udílím. 
DEU.8.12	Až se najíš do sytosti, až postavíš krásné domy a zabydlíš se v nich, 
DEU.8.13	až se tvůj skot a brav rozmnoží, až budeš mít hojnost stříbra a zlata, až se všechen tvůj majetek bude rozrůstat, 
DEU.8.14	pak ať se tvé srdce nepozdvihne, takže bys zapomněl na Hospodina, svého Boha. 
DEU.8.14	To on tě vyvedl z Egypta, z domu otroctví! 
DEU.8.15	To on tě provedl velikou a hroznou pouští plnou jedovatých hadů a štírů, tím suchopárem bez vody. To on ti vyvedl vodu z nejtvrdší skály. 
DEU.8.16	To on tě na poušti krmil manou, kterou tví otcové neznali, aby tě pokořil a vyzkoušel, aby se ti v budoucnu vedlo šťastně. 
DEU.8.17	Neříkej si proto v srdci: „Díky svým schopnostem a své vlastní síle jsem se takto vzmohl,“ 
DEU.8.18	ale pamatuj na Hospodina, svého Boha. Je to přece on, kdo ti dává sílu, aby ses vzmáhal, aby tak potvrdil svou smlouvu, kterou odpřisáhl tvým otcům a která platí dodnes. 
DEU.8.19	Pokud bys však skutečně zapomněl na Hospodina, svého Boha, a následoval cizí bohy, sloužil jim a klaněl se jim, pak vás dnes varuji, že zcela vyhynete. 
DEU.8.20	Jako národy, které před vámi Hospodin vyhubil, tak vyhynete, protože jste neposlouchali Hospodina, svého Boha. 
DEU.9.1	Slyš, Izraeli, dnes se chystáš přejít Jordán, abys ovládl národy větší a mocnější, než jsi ty: veliká města opevněná až k nebi, 
DEU.9.2	mohutný a početný lid, Anakovce, o kterých víš a o nichž jsi slyšel: „Kdo obstojí proti synům Anakovým?“ 
DEU.9.3	Dnešního dne tedy věz, že Hospodin, tvůj Bůh, on sám jde před tebou jako stravující oheň. On sám je vyhladí, on je před tebou pokoří, takže je vyženeš a rychle je vyhubíš, jak ti Hospodin řekl.
DEU.9.4	Až je však Hospodin, tvůj Bůh, před tebou zažene, neříkej si v srdci: „To pro mou spravedlnost mě Hospodin dovedl až sem, abych tu zemi obsadil.“ Hospodin ty národy před tebou vyhání pro jejich zkaženost! 
DEU.9.5	Ne pro svou spravedlnost a ne pro ryzost svého srdce vstupuješ do jejich země, abys ji obsadil. Hospodin, tvůj Bůh, ty národy před tebou vyhání pro jejich zkaženost a proto, aby splnil slovo, které odpřisáhl tvým otcům, Abrahamovi, Izákovi a Jákobovi. 
DEU.9.6	Věz tedy, že Hospodin, tvůj Bůh, ti tu krásnou zem nedává za dědictví pro tvou spravedlnost – jste přece tvrdošíjný lid!
DEU.9.7	Vzpomeň si a nezapomínej, jak jsi popouzel Hospodina, svého Boha, na poušti. Ode dne, kdy jsi vyšel z Egypta, až do svého příchodu sem jste se bouřili proti Hospodinu. 
DEU.9.8	Popouzeli jste Hospodina i na Orébu, až se na vás rozhněval tak, že vás chtěl vyhladit. 
DEU.9.9	Když jsem na tu horu vystoupil, abych přijal kamenné desky – desky smlouvy, kterou s vámi Hospodin uzavřel – zůstal jsem na hoře čtyřicet dní a čtyřicet nocí bez chleba a bez vody. 
DEU.9.10	Tehdy mi Hospodin dal dvě kamenné desky popsané Božím prstem. Na nich byla všechna slova, která k vám Hospodin promluvil z prostředku ohně na oné hoře v den shromáždění. 
DEU.9.11	Když uplynulo těch čtyřicet dní a čtyřicet nocí, Hospodin mi dal dvě kamenné desky – desky smlouvy. 
DEU.9.12	Potom mi Hospodin řekl: „Hned sestup dolů! Tvůj lid, který jsi vyvedl z Egypta, spáchal zvrácenost. Brzy sešli z cesty, kterou jsem jim přikázal: odlili si modlu!“ 
DEU.9.13	Hospodin mi tehdy řekl: „Pozoruji tento lid – ó, jak je tvrdošíjný! 
DEU.9.14	Nech mě, ať je vyhladím a vymažu jejich jméno pod nebem, ale z tebe učiním národ mocnější a početnější, než jsou oni.“ 
DEU.9.15	Otočil jsem se tedy a se dvěma deskami smlouvy v obou rukou jsem sestoupil z hory. A hora plála ohněm. 
DEU.9.16	Tenkrát jsem uviděl, jak jste zhřešili proti Hospodinu, svému Bohu: odlili jste si sochu telete! Brzy jste sešli z cesty, kterou vám přikázal Hospodin, váš Bůh! 
DEU.9.17	Vzal jsem ty dvě desky, oběma rukama je zahodil a před vašima očima je roztříštil. 
DEU.9.18	Vrhl jsem se na zem a ležel před Hospodinem tak jako předtím – čtyřicet dní a čtyřicet nocí bez chleba a bez vody. To pro všechen váš hřích, jenž jste spáchali, když jste v Hospodinových očích provedli tuto hanebnost a popudili jej. 
DEU.9.19	Děsil jsem se toho zuřivého hněvu! Hospodin se proti vám rozlítil tak, že by vás vyhladil. Ale i tenkrát mě Hospodin vyslyšel. 
DEU.9.20	Hospodin se hněval na Árona tak, že jej chtěl zahubit, a proto jsem se tenkrát modlil i za Árona. 
DEU.9.21	To vaše hříšné dílo, to tele, jsem pak vzal, roztavil v ohni, roztloukl a rozdrtil až na jemný prášek, který jsem vysypal do potoka stékajícího z té hory. 
DEU.9.22	Také v Tabeře, Masse a Kibrot-hataavě jste popouzeli Hospodina. 
DEU.9.23	Když vás pak Hospodin vysílal z Kádeš-barné se slovy: „Vzhůru, obsaďte zemi, kterou jsem vám dal,“ vzepřeli jste se příkazu Hospodina, svého Boha. Nevěřili jste mu a neposlechli ho. 
DEU.9.24	Bouřili jste se proti Hospodinu ode dne, kdy jsem vás poznal! 
DEU.9.25	Vrhal jsem se před Hospodina, ležel jsem před ním čtyřicet dní a čtyřicet nocí, když řekl, že vás vyhladí. 
DEU.9.26	A takto jsem se modlil k Hospodinu: „Hospodine, Pane můj, nedopouštěj záhubu na svůj lid, na své dědictví, které jsi ve své velikosti vykoupil a mocnou rukou vyvedl z Egypta. 
DEU.9.27	Vzpomeň si na své služebníky, na Abrahama, Izáka a Jákoba! Nehleď na zatvrzelost tohoto lidu, na jejich zkaženost a hřích. 
DEU.9.28	Jinak v zemi, odkud jsi nás vyvedl, řeknou: ‚Hospodin je vyvedl, aby je pozabíjel na poušti, protože je nedokázal uvést do země, kterou jim slíbil, a protože je nenáviděl!‘ 
DEU.9.29	Oni jsou přece tvůj lid a tvé dědictví. Vyvedl jsi je svou velikou mocí a vztaženou paží!“
DEU.10.1	Tenkrát mi Hospodin řekl: „Vytesej si dvě kamenné desky, jako byly ty první, a vystup ke mně na horu. Zhotov také dřevěnou truhlu. 
DEU.10.2	Já na ty desky napíšu slova, která byla na oněch prvních deskách, jež jsi roztříštil, a ty je uložíš do truhly.“ 
DEU.10.3	Vyrobil jsem tedy truhlu z akáciového dřeva, vytesal dvě kamenné desky podobné těm prvním a s oběma deskami v rukou jsem vystoupil na horu. 
DEU.10.4	On pak na ty desky napsal tentýž nápis jako předtím, totiž Desatero, které vám Hospodin vyhlásil z prostředku ohně na oné hoře v den shromáždění. A když mi je Hospodin dal, 
DEU.10.5	otočil jsem se a sestoupil z hory. Desky jsem pak uložil do truhly, kterou jsem vyrobil, a jsou v ní, jak mi Hospodin přikázal. 
DEU.10.6	Synové Izraele táhli od studní Bne-jaakan do Mosery. Tam zemřel Áron a tam byl pochován. Na jeho místě pak konal kněžskou službu jeho syn Eleazar. 
DEU.10.7	Odtud táhli do Gudgodu a z Gudgodu do Jotbaty, krajiny potoků plných vody. 
DEU.10.8	Tenkrát Hospodin oddělil kmen Levi, aby nosili Truhlu Hospodinovy smlouvy, aby stáli před Hospodinem, sloužili mu a v jeho jménu aby žehnali, jak to činí až dodnes.
DEU.10.9	Proto nemá Levi žádný podíl ani dědictví mezi svými bratry – sám Hospodin je jeho dědictvím, jak mu to Hospodin, tvůj Bůh pověděl.
DEU.10.10	Já jsem tedy na oné hoře zůstal, tak jako poprvé, čtyřicet dní a čtyřicet nocí. I tenkrát mě Hospodin vyslyšel a svolil, že tě nezahubí. 
DEU.10.11	Hospodin mi řekl: „Vstaň, vydej se na cestu v čele lidu. Ať vejdou a obsadí tu zem, o níž jsem přísahal jejich otcům, že jim ji dám!“ 
DEU.10.12	Nyní tedy, Izraeli – co od tebe Hospodin, tvůj Bůh, žádá? Jen to, abys ctil Hospodina, svého Boha, kráčel po všech jeho cestách a miloval jej. Chce, abys sloužil Hospodinu, svému Bohu, celým svým srdcem a celou svou duší 
DEU.10.13	a abys zachovával Hospodinova přikázání a ustanovení, která ti dnes udílím pro tvé dobro. 
DEU.10.14	Hle, Hospodinu, tvému Bohu, patří nebe i nebesa nebes, země i vše, co je na ní. 
DEU.10.15	Pouze ke tvým otcům však Hospodin přilnul svou láskou. Ze všech národů vyvolil jejich potomstvo, totiž vás, a tak je tomu dodnes. 
DEU.10.16	Obřežte tedy svá neobřezaná srdce a nebuďte už tvrdošíjní. 
DEU.10.17	Hospodin, váš Bůh, je Bůh bohů a Pán pánů, veliký, mocný a hrozný Bůh, nestranný a neúplatný. 
DEU.10.18	Zjednává právo sirotku a vdově, miluje přistěhovalce, a tak jej krmí a šatí. 
DEU.10.19	Proto milujte přistěhovalce – vždyť jste sami byli přistěhovalci v Egyptě! 
DEU.10.20	Hospodina, svého Boha, cti a jemu služ, k němu se přimkni a v jeho jménu přísahej. 
DEU.10.21	To on je tvou chloubou, to on je tvůj Bůh! Na vlastní oči jsi viděl, jak veliké a hrozné věci pro tebe vykonal. 
DEU.10.22	Tvoji otcové sestoupili do Egypta v počtu sedmdesáti osob,
DEU.11.1	Proto miluj Hospodina, svého Boha, a po všechny dny zachovávej, co ti uložil – jeho pravidla, přikázání a zákony. 
DEU.11.2	Dnešního dne tedy vězte, že to nebyli vaši synové, kdo poznal a zažil ponaučení od Hospodina, vašeho Boha. To vy znáte jeho velikost, jeho mocnou ruku a vztaženou paži, 
DEU.11.3	jeho znamení a skutky, které uprostřed Egypta vykonal na faraonovi a celé jeho zemi. 
DEU.11.4	Vy víte, co Hospodin udělal s egyptským vojskem, s jeho koni i vozy – jak ty pronásledovatele zaplavil vodami Rudého moře, a tak je vyhubil. Až dodnes si pamatujete, 
DEU.11.5	co s vámi činil na poušti, než jste dorazili sem, 
DEU.11.6	i to, co učinil Dátanovi a Abiramovi, synům Eliaba, syna Rubenova – země otevřela ústa a pohltila je, jejich rodiny, jejich stany i všechno živé, co šlo za nimi! 
DEU.11.7	Vy sami jste na vlastní oči viděli celé to veliké Hospodinovo dílo, které vykonal. 
DEU.11.8	Proto dodržujte všechna přikázání, která vám dnes udílím. Pak budete mít sílu vejít a obsadit zem, kterou přicházíte obsadit, 
DEU.11.9	a budete užívat dlouhého života v zemi, o níž Hospodin přísahal vašim otcům, že ji dá jim a jejich semeni – zem oplývající mlékem a medem. 
DEU.11.10	Země, kterou přicházíš obsadit, totiž není jako egyptská zem, z níž jste vyšli, kterou jsi osíval semenem a zavlažoval ji prací svých nohou jako zelinářskou zahradu. 
DEU.11.11	Země, kterou jdete obsadit, je země hor a údolí, zavlažovaná nebeským deštěm. 
DEU.11.12	Je to země, o niž pečuje Hospodin, tvůj Bůh. Oči Hospodina, tvého Boha, jsou stále obráceny k ní, od počátku roku do jeho konce. 
DEU.11.13	Budete-li opravdu poslouchat přikázání, která vám dnes udílím, totiž abyste milovali Hospodina, svého Boha, a sloužili mu celým srdcem a celou duší, 
DEU.11.14	dám vaší zemi déšť v patřičný čas – déšť na podzim i na jaře, abys mohl sklízet své obilí, víno i olej. 
DEU.11.15	Na tvých pastvinách dám vyrůst trávě pro tvůj dobytek. Budeš moci jíst do sytosti. 
DEU.11.16	Mějte se však na pozoru, abyste se v srdcích nedali svést a neodvrátili se k cizím bohům. Kdybyste jim sloužili a klaněli se jim, 
DEU.11.17	Hospodin by proti vám vzplanul hněvem, zavřel by nebe, aby nevydalo déšť, a země by nevydala svou úrodu. Tak byste v té krásné zemi, kterou vám Hospodin dává, rychle vymřeli. 
DEU.11.18	Uložte si tato má slova v srdci a v duši, přivažte si je jako znamení na ruku a jako pásek na čelo. 
DEU.11.19	Vyučujte jim své syny. Mluv o nich, ať sedíš doma nebo jdeš po cestě, ať uléháš anebo vstáváš. 
DEU.11.20	Napiš je na veřejích svého domu i na svých branách.
DEU.11.21	Pak budete vy i vaši synové žít dlouho v zemi, o níž Hospodin přísahal vašim otcům, že jim ji dá – tak dlouho, dokud bude nebe nad zemí. 
DEU.11.22	Budete-li pečlivě dodržovat všechna tato přikázání, která vám udílím, budete-li milovat Hospodina, svého Boha, kráčet po všech jeho cestách a přimknete se k němu, 
DEU.11.23	Hospodin před vámi vyžene všechny tyto národy. Budete moci vyhnat národy větší a mocnější, než jste sami. 
DEU.11.24	Každé místo, na něž stoupne vaše noha, bude vaše. Vaše území bude sahat od pouště až k Libanonu a od té veliké řeky, řeky Eufrat, až ke Středozemnímu
DEU.11.25	Nikdo před vámi neobstojí; Hospodin, váš Bůh, uvede strach a hrůzu z vás na celou zem, kamkoli šlápnete, jak vám pověděl.
DEU.11.26	Pohleď, dnes vám předkládám požehnání i prokletí. 
DEU.11.27	Požehnání – budete-li poslouchat přikázání Hospodina, svého Boha, která vám dnes udílím. 
DEU.11.28	Prokletí – nebudete-li poslouchat přikázání Hospodina, svého Boha, ale sejdete z cesty, kterou vám dnes přikazuji, a vydáte se za cizími bohy, které jste nepoznali. 
DEU.11.29	Až tě Hospodin, tvůj Bůh, přivede do země, kterou přicházíš obsadit, budeš pronášet požehnání na hoře Gerizim a prokletí na hoře Ebal. 
DEU.11.30	(Obě jsou za Jordánem, kus cesty směrem na západ, v zemi Kananejců bydlících na pláni proti Gilgalu poblíž háje More.)
DEU.11.31	Chystáte se překročit Jordán a obsadit zem, kterou vám dává Hospodin, váš Bůh. Až ji obsadíte a usadíte se v ní, 
DEU.11.32	pečlivě dodržujte všechna ustanovení a pravidla, která vám dnes předkládám. 
DEU.12.1	Toto jsou pravidla a zákony, jež budete po všechny dny svého života pečlivě dodržovat v zemi, kterou ti Hospodin, Bůh tvých otců, dal za dědictví. 
DEU.12.2	Naprosto zničte všechna místa, kde národy, které vyháníte, sloužily svým bohům – ať už na vysokých horách a návrších nebo pod kdejakým košatým stromem. 
DEU.12.3	Jejich oltáře zbořte, jejich posvátné sloupy roztříštěte, jejich posvátné kůly spalte, sochy jejich bohů zporážejte a jejich jméno odtamtud vyhlaďte. 
DEU.12.4	Hospodinu, svému Bohu, nic takového nedělejte. 
DEU.12.5	Vyhledávejte místo, které si Hospodin, váš Bůh, uprostřed vašich kmenů vyvolí za příbytek a kde umístí své jméno. Tam choďte 
DEU.12.6	a tam přinášejte své zápalné a pokojné oběti, své desátky, obětní příspěvky z práce svých rukou, své slíbené i dobrovolné oběti a prvorozené ze svého skotu i bravu. 
DEU.12.7	Tam se svými rodinami jezte před Hospodinem, svým Bohem, a radujte se z veškerého díla svých rukou, v němž ti Hospodin, tvůj Bůh, požehnal. 
DEU.12.8	Nebudete jednat, jak tu jednáme dnes – každý tak, jak sám pokládá za správné. 
DEU.12.9	Až dosud jste přece nevstoupili do odpočinutí, do dědictví, které ti dává Hospodin, tvůj Bůh. 
DEU.12.10	Chystáte se však přejít Jordán a usadit se v zemi, kterou vám Hospodin, váš Bůh, dává za dědictví, kde vám dá odpočinout ode všech okolních nepřátel a kde budete přebývat v bezpečí. 
DEU.12.11	Na místo, které si Hospodin, váš Bůh, vyvolí za příbytek pro své jméno, tehdy přinášejte vše, co jsem vám přikázal – své zápalné a pokojné oběti, své desátky, obětní příspěvky z práce svých rukou a všechny své nejlepší věci, které jste přislíbili Hospodinu. 
DEU.12.12	Tam se před Hospodinem, svým Bohem, radujte se svými syny a dcerami, se svými otroky a děvečkami a také s levitou, který je ve tvém městě, neboť mezi vámi nemá žádný podíl ani dědictví. 
DEU.12.13	Měj se na pozoru, abys neobětoval své zápalné oběti na kterémkoli místě, které by sis sám vyhlédl. 
DEU.12.14	Pouze na místě, které si Hospodin vyvolí v jednom z vašich kmenů, tam smíš obětovat své zápalné oběti a budeš dělat vše, co jsem ti přikázal. 
DEU.12.15	Porážet dobytek a jíst maso můžeš s požehnáním Hospodina, svého Boha, v kterémkoli svém městě, kdykoli se ti zachce. Smí je jíst čistý i nečistý, tak jako gazelu či jelena. 
DEU.12.16	Nesmíte však jíst krev – nech ji vytéci na zem jako vodu. 
DEU.12.17	Nesmíš však ve svém městě jíst desátky ze svého obilí, vína a oleje ani prvorozené ze svého skotu a bravu, žádnou ze svých slíbených či dobrovolných obětí ani obětní příspěvky z práce svých rukou. 
DEU.12.18	Smíš je jíst pouze před Hospodinem, svým Bohem, na místě, které si Hospodin, tvůj Bůh, vyvolí, a to se svým synem a dcerou, se svým otrokem a děvečkou i s levitou, který je ve tvém městě. Před Hospodinem, svým Bohem, se budeš radovat z veškerého díla svých rukou. 
DEU.12.19	Měj se na pozoru, abys po všechny dny, kdy budeš žít ve své zemi, nezanedbával levity. 
DEU.12.20	Až Hospodin, tvůj Bůh, rozšíří tvé hranice, jak ti pověděl, a ty si řekneš: „Pojedl bych maso“, protože právě dostaneš chuť na maso, smíš je jíst podle své chuti. 
DEU.12.21	I když budeš daleko od místa, které si Hospodin, tvůj Bůh, vyvolí, aby tam umístil své jméno, smíš porážet svůj skot i brav, jejž ti Hospodin dal, tak, jak jsem ti přikázal. Smíš je jíst ve svém městě podle své chuti. 
DEU.12.22	Smíš je jíst stejně, jako se jí gazela či jelen; smí je jíst nečistý stejně jako čistý. 
DEU.12.23	Jen se utvrď v tom, abys nejedl krev – vždyť krev, to je život! Nesmíš tedy s masem jíst jeho život. 
DEU.12.24	Nejez krev, nech ji vytéci na zem jako vodu. 
DEU.12.25	Nejez ji. Tobě i tvým dětem se povede šťastně, když budeš činit, co je v Hospodinových očích správné. 
DEU.12.26	Své svaté oběti i slíbené dary však odnášej na místo, které si vyvolí Hospodin, váš Bůh. 
DEU.12.27	Tam budeš obětovat své zápalné oběti – maso i krev – na oltář Hospodina, svého Boha. U tvých ostatních obětí bude krev vylita na oltář Hospodina, tvého Boha, a maso sníš. 
DEU.12.28	Dbej, abys poslouchal všechna tato slova, která ti udílím. Tobě i tvým dětem se povede šťastně až navěky, když budeš v očích Hospodina, svého Boha, dělat, co je dobré a správné. 
DEU.12.29	Hospodin, tvůj Bůh, před tebou vykoření národy, které jdeš vyhnat. Až je vyženeš a usadíš se v jejich zemi, 
DEU.12.30	měj se na pozoru i poté, co budou vyhlazeni. Nesmíš je následovat do pasti – nevyhledávej jejich bohy. Neříkej: „Jak asi ty národy sloužily svým bohům? Chtěl bych to zkusit i já.“ 
DEU.12.31	Nic takového Hospodinu, svému Bohu, nedělej! Vždyť pro své bohy dělají vše, co Hospodin, tvůj Bůh, považuje za ohavnost a co nenávidí. Dokonce pro své bohy pálí své syny a dcery v ohni!
