GEN.1.1	Na počátku
NUM.29.36	 zápalnou oběť, ohnivou oběť, příjemnou vůni Hospodinu přinesete jednoho býčka, jednoho berana, sedm ročních beránků bez vady 
NUM.29.37	 patřičnou přídavnou oběť a patřičné lité oběti na býčka, na berana a na beránky v patřičném počtu podle nařízení. 
NUM.29.38	 jednoho kozla 
NUM.29.39	Toto připravíte Hospodinu o svých svátcích kromě svých slíbených a dobrovolných obětí jako své zápalné oběti, přídavné oběti, lité oběti a pokojné oběti.
NUM.30.1	Mojžíš řekl synům Izraele všechno, co Hospodin Mojžíšovi přikázal.
NUM.30.2	Nato Mojžíš promluvil k předákům pokolení synů Izraele: Toto 
NUM.30.3	Jestliže muž učiní slib Hospodinu či složí přísahu, že bere na sebe závazek,
NUM.30.4	Jestliže však žena učiní slib Hospodinu a vezme 
NUM.30.5	když její otec uslyší její slib a její závazek, který na sebe vzala, a 
NUM.30.6	Jestliže jí však její otec v den, kdy uslyší všechny její sliby a její závazky, které na sebe vzala, zabrání, neplatí 
NUM.30.7	Jestliže se vdá a 
NUM.30.8	a její muž 
NUM.30.9	Jestliže jí však její muž v den, 
NUM.30.10	Slib vdovy či zapuzené 
NUM.30.11	Jestliže učiní 
NUM.30.12	a její muž 
NUM.30.13	Jestliže je však její muž v den, kdy 
NUM.30.14	Každý slib a každý přísežný závazek k sebepokoření ať potvrdí její muž nebo ať její muž zruší. 
NUM.30.15	Jestliže k tomu bude zarytě její muž do druhého dne
NUM.30.16	Jestliže je však zruší později, 
NUM.30.17	Toto 
NUM.31.1	Hospodin promluvil k Mojžíšovi: 
NUM.31.2	Jistě
NUM.31.3	Mojžíš promluvil k lidu: Vyzbrojte mezi sebou muže pro válečné tažení,
NUM.31.4	Pošlete na válečné tažení vždy 
NUM.31.5	Tak bylo vybráno z izraelských rodů tisíc za pokolení, dvanáct tisíc vojenských ozbrojenců. 
NUM.31.6	Mojžíš je poslal na válečné tažení, tisíc za pokolení, a s 
NUM.31.7	Nato vytáhli do boje proti Midjáncům, jak přikázal Hospodin Mojžíšovi, a pobili všechny mužského pohlaví. 
NUM.31.8	Kromě jiných pobitých zabili midjánské krále Evího, Rekema, Súra, Chúra a Rebu a také Bileáma, syna Beórova, zabili mečem. 
NUM.31.9	Synové Izraele zajali midjánské ženy, jejich malé děti, všechen jejich dobytek i všechna jejich stáda a uloupili všechen jejich majetek. 
NUM.31.10	Všechna jejich města, v místech kde sídlili, a všechna jejich hradiště spálili ohněm. 
NUM.31.11	Pobrali všechnu kořist a všechen lup z lidí i z dobytka. 
NUM.31.12	Přivedli zajatce, lup a kořist k Mojžíšovi, ke knězi Eleazarovi a k pospolitosti synů Izraele do tábora v moábských stepích u Jordánu 
NUM.31.13	Mojžíš, kněz Eleazar a všichni předáci pospolitosti jim vyšli naproti ven za tábor. 
NUM.31.14	Mojžíš se rozhněval na ustanovené 
NUM.31.15	Mojžíš jim řekl: Vy jste nechali naživu všechny ženy? 
NUM.31.16	Vždyť 
NUM.31.17	Nyní proto zabijte všechny chlapce mezi dětmi a zabijte všechny ženy, které poznaly soulož 
NUM.31.18	Všechny mladé ženy,
NUM.31.19	Vy pak se 
NUM.31.20	Očistěte od hříchu všechny oděvy, všechny kožené předměty, vše vyrobené 
NUM.31.21	Kněz Eleazar řekl vojákům,
NUM.31.22	Ovšem zlato, stříbro, bronz, železo, cín a olovo, 
NUM.31.23	všechny věci, které procházejí ohněm, provedete ohněm a budou čisté; avšak 
NUM.31.24	Sedmého dne vyperete šaty a budete čistí. Potom smíte vejít do tábora.
NUM.31.25	Hospodin řekl Mojžíšovi: 
NUM.31.26	Ty s knězem Eleazarem a 
NUM.31.27	a rozděl lup mezi ty, kteří se zapojili do boje 
NUM.31.28	Vyber dávku pro Hospodina: Od bojovníků, kteří vytáhli na válečné tažení, 
NUM.31.29	vezměte 
NUM.31.30	A z 
NUM.31.31	Mojžíš a kněz Eleazar učinili tak, jak přikázal Hospodin Mojžíšovi. 
NUM.31.32	Zbytek lupu z kořisti, kterou ukořistil válečný lid,
NUM.31.33	sedmdesát dva tisíc býků,
NUM.31.34	šedesát jeden tisíc oslů 
NUM.31.35	a lidí, žen, které nepoznaly soulož 
NUM.31.36	Poloviční podíl těch, kteří vytáhli na válečné tažení, byl 
NUM.31.37	a dávka z ovcí pro Hospodina byla šest sto sedmdesát pět; 
NUM.31.38	býků 
NUM.31.39	oslů 
NUM.31.40	lidí
NUM.31.41	Mojžíš dal dávku 
NUM.31.42	Z poloviny 
NUM.31.43	-- tato polovina 
NUM.31.44	třicet šest tisíc býků, 
NUM.31.45	třicet tisíc pět set oslů 
NUM.31.46	a šestnáct tisíc lidí
NUM.31.47	-- z 
NUM.31.48	Ustanovení, kteří 
NUM.31.49	a řekli Mojžíšovi: Tvoji otroci učinili soupis bojovníků, kteří 
NUM.31.50	Přinesli jsme Hospodinův
NUM.31.51	Mojžíš a kněz Eleazar od nich vzali to zlato, všelijaké 
NUM.31.52	Všechno zlato od velitelů 
NUM.31.53	Vojáci loupili každý pro sebe. 
NUM.31.54	Mojžíš a kněz Eleazar vzali to zlato od velitelů 
NUM.32.1	Synové Rúbenovi a synové Gádovi měli množství dobytka, 
NUM.32.2	Synové Gádovi a synové Rúbenovi proto šli a řekli Mojžíšovi, knězi Eleazarovi a předákům pospolitosti: 
NUM.32.3	Atarót,
NUM.32.4	země, kterou Hospodin vybil před pospolitostí Izraele, je zemí 
NUM.32.5	A 
NUM.32.6	Mojžíš odpověděl synům Gádovým a synům Rúbenovým: Cožpak vaši bratři půjdou do boje a vy zůstanete zde? 
NUM.32.7	Proč berete synům Izraele odvahu, aby přešli do země, kterou jim dal Hospodin? 
NUM.32.8	Tak jednali vaši otcové, když jsem je poslal z Kádešbarneje, aby prohlédli zemi. 
NUM.32.9	Prošli až do údolí Eškólu, prohlédli zemi a vzali synům Izraele odvahu, aby šli do země, kterou jim dal Hospodin. 
NUM.32.10	Onoho dne vzplanul Hospodin hněvem a přísahal: 
NUM.32.11	Muži, kteří vyšli z Egypta, od dvacetiletých výše, neuvidí zemi, 
NUM.32.12	kromě Kenazejce Káleba, syna Jefunova, a Jozua, syna Núnova, protože 
NUM.32.13	Proto Hospodin vzplanul hněvem proti Izraelcům, nechal je bloudit čtyřicet let pustinou, dokud nebyla zcela vyhlazena celá generace, která páchala to, co je zlé v Hospodinových očích.
NUM.32.14	A hle, povstali jste 
NUM.32.15	Když se od něj odvrátíte, ponechá ho nadále v pustině a zničíte celý tento lid.
NUM.32.16	Nato k němu přistoupili a řekli: Postavíme zde ohrady
NUM.32.17	My 
NUM.32.18	Nevrátíme se do svých domovů, dokud synové Izraele neobdrží každý své dědictví. 
NUM.32.19	Neobdržíme dědictví s nimi za Jordánem a tam dále, protože jsme dostali své dědictví na druhé straně Jordánu na východě.
NUM.32.20	Mojžíš jim řekl: Jestliže budete jednat, jak jste řekli, jestliže se vyzbrojíte před Hospodinem do boje, 
NUM.32.21	celé vaše vojsko projde Jordán před Hospodinem, dokud před sebou nepodrobí své nepřátele 
NUM.32.22	a 
NUM.32.23	Pokud však nebudete takto jednat, hle, zhřešíte proti Hospodinu a vězte, že váš hřích vás dostihne. 
NUM.32.24	Postavte si města pro své děti a ohrady pro svůj brav a splňte to, co vyšlo z vašich úst. 
NUM.32.25	Synové Gádovi a synové Rúbenovi řekli Mojžíšovi: Tvoji otroci udělají to, co pán přikazuje. 
NUM.32.26	Naše děti, naše ženy, naše stáda a všechen náš dobytek zůstane tam v gileádských městech, 
NUM.32.27	ale tvoji otroci, všichni vojenští ozbrojenci, projdou před Hospodinem do boje, jak říká pán.
NUM.32.28	Potom o nich Mojžíš vydal příkaz knězi Eleazarovi, Jozuovi, synu Núnovu, a předákům rodů pokolení synů Izraele. 
NUM.32.29	Mojžíš jim řekl: Jestliže synové Gádovi a synové Rúbenovi projdou s vámi Jordánem, všichni ozbrojenci, do boje před Hospodinem, až bude země před vámi podmaněna, dejte jim do vlastnictví gileádskou zemi. 
NUM.32.30	Jestliže však s vámi ozbrojenci neprojdou, ať mají vlastnictví mezi vámi v kenaanské zemi. 
NUM.32.31	Synové Gádovi a synové Rúbenovi odpověděli: Jak Hospodin promluvil o tvých otrocích, tak uděláme. 
NUM.32.32	Projdeme 
NUM.32.33	Jim, synům Gádovým, synům Rúbenovým a polovině kmene Manasesa, syna Josefova, dal Mojžíš království emorejského krále Síchona a království bášanského krále Óga, zemi s jejími městy 
NUM.32.34	Synové Gádovi postavili Díbón, Atarót, Aróer, 
NUM.32.35	Atarótšófan, Jaezer, Jogbohu,
NUM.32.36	Bétnimru a Bétháran,
NUM.32.37	Synové Rúbenovi postavili Chešbón, Eleále, Kirjátajim, 
NUM.32.38	Nebó, Baalmeón -- se změněnými jmény -- i Sibmu a přejmenovali města, která postavili. 
NUM.32.39	Synové Makíra, syna Manasesova, táhli do Gileádu, dobyli ho a podrobili si Emorejce, kteří v něm 
NUM.32.40	Mojžíš dal Gileád Makírovi, synu Manasesovu, a 
NUM.32.41	Jaír, syn Manasesův, šel a dobyl jejich vesnice a pojmenoval je ChavótJaír.
NUM.32.42	Nóbach šel a dobyl Kenat a jeho vesnice a pojmenoval ho podle svého jména Nóbach.
NUM.33.1	Toto 
NUM.33.2	Mojžíš na Hospodinův příkaz zapsal jejich výchozí body podle jejich zastávek. Toto 
NUM.33.3	Vyrazili z Ramesesu
NUM.33.4	Egypťané mezitím pohřbívali ty, které Hospodin mezi nimi pobil, všechny prvorozené; také nad jejich bohy vykonal Hospodin soud. 
NUM.33.5	Synové Izraele vyrazili z Ramesesu a utábořili se v Sukótu. 
NUM.33.6	Vyrazili ze Sukótu a utábořili se v Étamu, který 
NUM.33.7	Vyrazili z Étamu a obrátili se k Píchírótu, který 
NUM.33.8	Vyrazili z Penechírótu,
NUM.33.9	Vyrazili z Mary, přišli do Élimu -- v Élimu 
NUM.33.10	Vyrazili z Élimu a utábořili se u Rákosového moře. 
NUM.33.11	Vyrazili od Rákosového moře a utábořili se v Sínské pustině. 
NUM.33.12	Vyrazili ze Sínské pustiny a utábořili se v Dofce. 
NUM.33.13	Vyrazili z Dofky a utábořili se v Alúši. 
NUM.33.14	Vyrazili z Alúše a utábořili se v Refídímu.
NUM.33.15	Vyrazili z Refídímu a utábořili se v Sínajské pustině. 
NUM.33.16	Vyrazili ze Sínajské pustiny a utábořili se v Kibróttaavě. 
NUM.33.17	Vyrazili z Kibróttaavy a utábořili se v Chaserótu. 
NUM.33.18	Vyrazili z Chaserótu a utábořili se v Ritmě. 
NUM.33.19	Vyrazili z Ritmy a utábořili se v Rimónperesu. 
NUM.33.20	Vyrazili z Rimónperesu a utábořili se v Libně. 
NUM.33.21	Vyrazili z Libny a utábořili se v Rise. 
NUM.33.22	Vyrazili z Risy a utábořili se v Kehelatě. 
NUM.33.23	Vyrazili z Kehelaty a utábořili se na hoře Šeferu. 
NUM.33.24	Vyrazili z hory Šeferu a utábořili se v Charadě. 
NUM.33.25	Vyrazili z Charady a utábořili se v Makhelótu. 
NUM.33.26	Vyrazili z Makhelótu a utábořili se v Tachatu. 
NUM.33.27	Vyrazili z Tachatu a utábořili se v Terachu. 
NUM.33.28	Vyrazili z Terachu a utábořili se v Mitce. 
NUM.33.29	Vyrazili z Mitky a utábořili se v Chašmóně. 
NUM.33.30	Vyrazili z Chašmóny a utábořili se v Moserótu. 
NUM.33.31	Vyrazili z Moserótu a utábořili se v Benéjaakánu. 
NUM.33.32	Vyrazili z Benéjaakánu a utábořili se v Chórgidgádu. 
NUM.33.33	Vyrazili z Chórgidgádu a utábořili se v Jotbatě. 
NUM.33.34	Vyrazili z Jotbaty a utábořili se v Abróně. 
NUM.33.35	Vyrazili z Abróny a utábořili se v Esjóngeberu. 
NUM.33.36	Vyrazili z Esjóngeberu a utábořili se v pustině Sinu, to 
NUM.33.37	Vyrazili z Kádeše a utábořili se na hoře Hóru, na okraji edómské země. 
NUM.33.38	Kněz Áron vystoupil podle Hospodinova příkazu na horu Hór a zemřel tam ve čtyřicátém roce po vyjití synů Izraele z egyptské země, v pátém měsíci, prvního 
NUM.33.39	Áronovi bylo sto dvacet tři let, když zemřel na Hóru.
NUM.33.40	Kenaanský král Aradu, který sídlil v Negebu v kenaanské zemi, se doslechl, že synové Izraele táhnou. 
NUM.33.41	Vyrazili z hory Hóru a utábořili se v Salmóně. 
NUM.33.42	Vyrazili ze Salmóny a utábořili se v Púnónu. 
NUM.33.43	Vyrazili z Púnónu a utábořili se v Obótu. 
NUM.33.44	Vyrazili z Obótu a utábořili se v Ijéabárímu na moábské hranici. 
NUM.33.45	Vyrazili z Ijímu a utábořili se v DíbónGádu. 
NUM.33.46	Vyrazili z DíbónGádu a utábořili se v Almóndiblatajimu. 
NUM.33.47	Vyrazili z Almóndiblatajimu a utábořili se v pohoří Abarím proti
NUM.33.48	Vyrazili z pohoří Abarímu a utábořili se v moábských stepích u Jordánu 
NUM.33.49	Tábořili u Jordánu od Bétješimótu až k Ábelšitímu
NUM.33.50	Hospodin promluvil k Mojžíšovi v moábských stepích u Jordánu 
NUM.33.51	Promluv k synům Izraele a řekni jim: Až projdete Jordánem do kenaanské země, 
NUM.33.52	vyžeňte před sebou všechny obyvatele země, zničte všechny jejich obrazy, všechny jejich lité modly
NUM.33.53	Podrobte si tu zemi a sídlete v ní, neboť vám jsem dal tu zemi, abyste ji obsadili. 
NUM.33.54	Rozdělte zemi do dědictví losem podle svých čeledí; většímu dejte větší dědictví a menšímu dejte menší dědictví. Kam komu padne los, 
NUM.33.55	Jestliže však nevyženete před sebou obyvatele země, ty, které z nich ponecháte, se stanou trny ve vašich očích a ostny ve vašich bocích a v
NUM.33.56	I stane se, 
NUM.34.1	Hospodin promluvil k Mojžíšovi: 
NUM.34.2	Přikaž synům Izraele a řekni jim: Až přijdete do kenaanské země, toto 
NUM.34.3	Vaše
NUM.34.4	Vaše hranice se stočí k jihu k průsmyku Akrabim, bude procházet Sinem. Na jihu bude sahat ke Kádešbarneji, táhnout se 
NUM.34.5	Hranice se bude stáčet od Asmónu k egyptskému potoku a bude sahat k moři.
NUM.34.6	Za západní hranici budete mít Velké moře. To bude vaší západní hranicí. 
NUM.34.7	A toto bude vaší severní hranicí: Od Velkého moře potáhnete linii 
NUM.34.8	Od hory Hóru potáhnete linii 
NUM.34.9	Hranice se potáhne k Zifrónu a bude sahat 
NUM.34.10	Východní hranici si vyznačíte od Chasarénanu k Šefámu. 
NUM.34.11	Hranice bude sestupovat z Šefámu do Ribly východně od Ajinu, potom bude hranice sestupovat dolů a dotkne se na východě břehu
NUM.34.12	Dále bude sestupovat hranice dolů k Jordánu a sahat 
NUM.34.13	I přikázal Mojžíš synům Izraele: Toto 
NUM.34.14	Neboť pokolení synů Rúbenových podle domu svých otců a pokolení synů Gádových podle domu svých otců dostala své dědictví, i polovina pokolení Manasesova 
NUM.34.15	Dvě a půl pokolení 
NUM.34.16	Hospodin promluvil k Mojžíšovi: 
NUM.34.17	Toto
NUM.34.18	A přiberou po jednom předáku z pokolení, aby rozdělili zemi do dědictví. 
NUM.34.19	Toto 
NUM.34.20	z pokolení synů Šimeónových Samuel,
NUM.34.21	z pokolení Benjamínova Elídad, syn Kislónův; 
NUM.34.22	z pokolení synů Danových předák Bukí, syn Joglího; 
NUM.34.23	ze synů Josefových z pokolení synů Manasesových předák Chaníel, syn Efódův; 
NUM.34.24	z pokolení synů Efrajimových předák Kemúel, syn Šiftánův; 
NUM.34.25	z pokolení synů Zabulónových předák Elísáfan, syn Parnakův; 
NUM.34.26	z pokolení synů Isacharových předák Paltíel, syn Azanův; 
NUM.34.27	z pokolení synů Ašerových předák Achíhúd, syn Šelomího; 
NUM.34.28	z pokolení synů Neftalího předák Pedahél, syn Amíhudův. 
NUM.34.29	To 
NUM.35.1	Hospodin promluvil k Mojžíšovi v moábských stepích u Jordánu 
NUM.35.2	Přikaž synům Izraele, aby dali Lévijcům ze svého dědičného vlastnictví města k bydlení. A také dejte Lévijcům pastviny okolo měst. 
NUM.35.3	Města budou pro ně k bydlení a jejich pastviny budou pro jejich dobytek, jejich stáda
NUM.35.4	Městské pastviny, které dáte Lévijcům, 
NUM.35.5	Venku za městem odměříte dva tisíce loket na stranu východní, dva tisíce loket na stranu jižní, dva tisíce loket na stranu západní, dva tisíce loket na stranu severní a město 
NUM.35.6	Města, která dáte Lévijcům, 
NUM.35.7	Všech měst, která dáte Lévijcům, 
NUM.35.8	Co 
NUM.35.9	Hospodin promluvil k Mojžíšovi: 
NUM.35.10	Promluv k synům Izraele a řekni jim: Až projdete Jordánem do kenaanské země, 
NUM.35.11	zřídíte
NUM.35.12	Ta města vám budou útočištěm před mstitelem, takže vrah nezemře, dokud se nepostaví před pospolitostí k soudu. 
NUM.35.13	Toto 
NUM.35.14	Tři města ustanovíte na druhé straně Jordánu a tři města ustanovíte v kenaanské zemi; 
NUM.35.15	Pro syny Izraele, pro hosta i pro příchozího mezi nimi bude těchto šest měst útočištěm, aby tam 
NUM.35.16	Jestliže ho udeří železným předmětem, takže zemře, je vrahem; ten vrah bude jistě usmrcen. 
NUM.35.17	Jestliže ho udeří kamenem, kterým je možno usmrtit, a 
NUM.35.18	Anebo jestliže ho udeří dřevěným předmětem, kterým je možno usmrtit, a 
NUM.35.19	Vraha usmrtí krevní mstitel; jakmile ho potká,
NUM.35.20	Jestliže 
NUM.35.21	anebo jej z nepřátelství udeří rukou, takže zemře, ten, kdo zabil, bude jistě usmrcen, je vrahem. Krevní mstitel toho vraha usmrtí, jakmile ho potká.
NUM.35.22	Jestliže však 
NUM.35.23	anebo na něj nechá z nepozornosti
NUM.35.24	tehdy bude pospolitost soudit mezi tím, kdo zabil, a krevním mstitelem podle těchto právních nařízení. 
NUM.35.25	Pospolitost vysvobodí vraha z ruky krevního mstitele a pospolitost jej přivede zpět do jeho útočištného města, kam utekl. V něm zůstane do smrti velekněze, který byl pomazán posvátným olejem. 
NUM.35.26	Jestliže však vrah vyjde z území svého útočištného města, kam utekl, 
NUM.35.27	a dopadne jej krevní mstitel mimo území jeho útočištného města, pokud krevní mstitel vraha zabije, není na něm krev, 
NUM.35.28	neboť vrah 
NUM.35.29	Toto bude vaše právní ustanovení pro 
NUM.35.30	Kdokoliv by zabil člověka, podle svědectví svědků
NUM.35.31	Nevezmete výkupné za život vraha. Je to ničema 
NUM.35.32	Nevezmete výkupné za toho, který utekl do svého útočištného města, aby 
NUM.35.33	Neznesvětíte zemi, ve které jste, neboť krev znesvěcuje zemi a země nebude usmířena za krev, která v ní byla vylita, jinak než krví toho, kdo ji prolil. 
NUM.35.34	Neznečistíš zemi, ve které sídlíte, v
NUM.36.1	Tehdy předstoupili předáci rodů z čeledí synů Gileáda, syna Makíra, syna Manasesova, z čeledí synů Josefových a promluvili před Mojžíšem a před předáky, vůdci rodů synů Izraele. 
NUM.36.2	Řekli: Mému pánu Hospodin přikázal, aby dal synům Izraele zemi do dědictví losem, a mému pánu bylo Hospodinem přikázáno, aby dal dědictví našeho bratra Selofchada jeho dcerám. 
NUM.36.3	Jestliže se provdají za někoho z příslušníků 
NUM.36.4	A jestliže budou mít synové Izraele milostivé léto,
NUM.36.5	Nato Mojžíš přikázal synům Izraele podle Hospodinova příkazu: Pokolení synů Josefových mluví správně. 
NUM.36.6	Toto 
NUM.36.7	Dědictví synů Izraele ne
NUM.36.8	Každá dcera, která obdrží dědictví z pokolení synů Izraele, se provdá do jedné z čeledí 
NUM.36.9	Dědictví ne
NUM.36.10	Jak Hospodin Mojžíšovi přikázal, tak dcery Selofchadovy učinily. 
NUM.36.11	Machla, Tirsa, Chogla, Milka a Nóa, dcery Selofchadovy, se provdaly za syny svých strýců. 
NUM.36.12	Provdaly se do čeledi synů Manasesa, syna Josefova, a jejich dědictví zůstalo v pokolení čeledi jejich otců. 
NUM.36.13	Toto 
DEU.1.1	Toto 
DEU.1.2	Od Chorébu
DEU.1.3	I stalo se ve čtyřicátém roce, v jedenáctém měsíci,
DEU.1.4	poté, co pobil emorejského krále Síchona sídlícího v Chešbónu
DEU.1.5	Za Jordánem, v moábské zemi, začal Mojžíš vysvětlovat tento zákon:
DEU.1.6	Hospodin, náš Bůh,
DEU.1.7	Vydejte se 
DEU.1.8	Pohleď, dal
DEU.1.9	V té době jsem vám řekl: Nemohu vás sám unést. 
DEU.1.10	Hospodin, váš
DEU.1.11	 vám Hospodin, Bůh vašich otců, ještě
DEU.1.12	Jak 
DEU.1.13	Vyberte
DEU.1.14	Nato jste mi odpověděli: To, co jsi řekl, abychom učinili, 
DEU.1.15	Vzal jsem tedy předáky vašich kmenů, moudré a znalé
DEU.1.16	V té době jsem přikázal vašim soudcům: Vyslechněte své bratry
DEU.1.17	Při soudu nestraňte lidem,
DEU.1.18	V té době jsem vám přikázal všechno, co
DEU.1.19	Vyrazili jsme z Chorébu a šli jsme celou tou velkou a obávanou
DEU.1.20	Řekl jsem vám: Přišli jste až k emorejskému pohoří, které vám dává Hospodin, náš Bůh. 
DEU.1.21	Pohleď, Hospodin, tvůj Bůh, před tebe dal zemi. Vytáhni 
DEU.1.22	Přistoupili jste všichni ke mně a řekli jste: Pošleme před sebou muže, aby pro nás proslídili zemi a přinesli nám zpět zprávu o cestě, kterou 
DEU.1.23	Líbilo se mi to
DEU.1.24	Vydali se 
DEU.1.25	vzali s sebou z ovoce té země a zanesli
DEU.1.26	Nechtěli jste však vytáhnout a vzpírali jste se příkazu Hospodina, svého Boha, 
DEU.1.27	reptali
DEU.1.28	Kam 
DEU.1.29	Nato jsem vám řekl: Nemějte strach a nebojte se jich. 
DEU.1.30	Hospodin, váš Bůh, který jde před vámi, on bude bojovat za vás, stejně jako jednal s vámi před vašima očima v Egyptě 
DEU.1.31	a v pustině, kde jsi viděl, jak tě Hospodin, tvůj Bůh, nesl, jako nosí člověk svého syna, po celou cestu, kterou jste šli, až jste přišli na toto místo. 
DEU.1.32	Navzdory tomu všemu
DEU.1.33	který šel cestou před vámi, aby vám vyhledal místo k táboření 
DEU.1.34	Když Hospodin uslyšel křik
DEU.1.35	Nikdo z
DEU.1.36	kromě Káleba, syna Jefunova. Ten ji uvidí, jemu a jeho synům dám zemi, na kterou vstoupil,
DEU.1.37	Také na mě se Hospodin kvůli vám rozhněval a řekl: Ani ty tam nevejdeš. 
DEU.1.38	Jozue, syn Núnův, který ti slouží,
DEU.1.39	Vaše malé děti, o kterých jste říkali, že se stanou kořistí, a vaši synové, kteří dnes nerozeznají dobré a zlé, ti tam vejdou, jim ji dám a oni ji obsadí. 
DEU.1.40	Vy se však vydejte 
DEU.1.41	Nato jste mi odpověděli: Zhřešili jsme proti Hospodinu. Vytáhneme a budeme bojovat, jak přikázal Hospodin, náš Bůh. Připásali jste si každý své válečné zbraně a lehkomyslně jste vytáhli
DEU.1.42	Hospodin mi řekl: Řekni jim: Netáhněte a nebojujte, protože já nejsem uprostřed vás; 
DEU.1.43	Mluvil jsem k vám, ale neposlouchali jste. Vzepřeli jste se Hospodinovu příkazu, jednali jste povýšeně a vytáhli
DEU.1.44	Emorejci sídlící v onom pohoří vytáhli proti vám, pronásledovali vás, jako 
DEU.1.45	Když jste se vrátili, plakali jste
DEU.1.46	Zůstali
DEU.2.1	Pak jsme se vydali 
DEU.2.2	Tu mi Hospodin řekl: 
DEU.2.3	 dost 
DEU.2.4	A lidu přikaž: Budete procházet územím svých bratrů, synů Ezauových,
DEU.2.5	Nepouštějte se s nimi do boje,
DEU.2.6	Jídlo od nich získávejte
DEU.2.7	Vždyť Hospodin, tvůj Bůh, ti požehnal při všem
DEU.2.8	Tak jsme šli dál od svých bratrů, synů Ezauových, sídlících v Seíru, cestou přes Arabu,
DEU.2.9	Tu mi Hospodin řekl: Nenapadej
DEU.2.10	(Předtím v něm sídlili Emejci, velký a početný lid, vysoký jako Anákovci; 
DEU.2.11	byli také považováni 
DEU.2.12	V Seíru předtím sídlili Chorejci. Ale synové Ezauovi je vypudili,
DEU.2.13	Nyní vstaňte a přejděte potok Zered.
DEU.2.14	Doba,
DEU.2.15	Ano,
DEU.2.16	I stalo se, když vymřeli
DEU.2.17	 ke mně Hospodin promluvil: 
DEU.2.18	Dnes procházíš územím
DEU.2.19	Až se přiblížíš k
DEU.2.20	(Také ta byla považována 
DEU.2.21	 velký a početný lid, vysoký jako Anákovci. Ale Hospodin je před nimi vyhladil, takže je vypudili a sídlili 
DEU.2.22	stejně jako to udělal pro syny Ezauovy, sídlící v Seíru, když před nimi vyhladil Chorejce, takže je vypudili a sídlili 
DEU.2.23	Avíjce
DEU.2.24	Vstaňte, vyrazte a přejděte potok Arnón. Pohleď, vydal jsem do tvé ruky Emorejce Síchona, krále Chešbónu, i jeho zemi. Začni 
DEU.2.25	Dnes začnu dávat strach a bázeň 
DEU.2.26	Nato jsem poslal z pustiny Kedemótu
DEU.2.27	 projít tvou zemí, půjdu přímo po cestě,
DEU.2.28	Budeš mi prodávat
DEU.2.29	stejně tak vůči mně jednali synové Ezauovi sídlící v Seíru a Moábci sídlící v Aru
DEU.2.30	Chešbónský král Síchon nás však nechtěl 
DEU.2.31	Hospodin mi řekl: Pohleď, začal jsem ti
DEU.2.32	Když Síchon se vším svým lidem
DEU.2.33	Hospodin, náš Bůh, nám
DEU.2.34	V té době jsme dobyli všechna jeho města a každé město jsme zasvětili zkáze, 
DEU.2.35	Jenom dobytek jsme zabrali pro sebe a kořist z měst, která jsme dobyli. 
DEU.2.36	Od Aróeru,
DEU.2.37	Pouze k zemi synů Amónových ses nepřiblížil, 
DEU.3.1	Pak jsme se vydali 
DEU.3.2	Hospodin mi řekl: Neboj se ho, neboť jsem vydal do tvé ruky jej, všechen jeho lid i jeho zemi. Nalož s ním tak, jak jsi naložil
DEU.3.3	A Hospodin, náš Bůh, vydal do naší ruky také bášanského krále Óga i všechen jeho lid. Pobíjeli jsme ho, až mu nezůstal 
DEU.3.4	V té době jsme dobyli všechna jeho města; nebylo město, které bychom jim
DEU.3.5	Všechno to 
DEU.3.6	Zasvětili jsme je zkáze tak, jako jsme 
DEU.3.7	Ale všechen dobytek a kořist 
DEU.3.8	V té době jsme zabrali zemi od dvou emorejských králů, kteří 
DEU.3.9	(Sidónci nazývají Chermón Sirjón a Emorejci ho nazývají Senír),
DEU.3.10	-- všechna města 
DEU.3.11	(Pouze bášanský král Óg totiž zůstal ze zbytku Refájců. Hle, jeho pohovka, železná pohovka
DEU.3.12	V té době jsme obsadili tuto zemi: 
DEU.3.13	Zbytek Gileádu a celý Bášan, Ógovo království, jsem dal polovině kmene Manasesova. 
DEU.3.14	Jaír, syn Manasesův, zabral celou oblast Argóbu až ke gešúrejskému a maakatskému území a nazval ho
DEU.3.15	Makírovi jsem dal Gileád. 
DEU.3.16	Rúbenovcům a Gádovcům jsem dal 
DEU.3.17	Také Araba a Jordán 
DEU.3.18	V té době jsem vám přikázal: Hospodin, váš Bůh, vám dal tuto zemi, abyste ji obsadili. 
DEU.3.19	Jenom vaše ženy, malé děti a váš dobytek -- vím, že máte mnoho dobytka -- zůstanou ve vašich městech, která jsem vám dal, 
DEU.3.20	dokud Hospodin 
DEU.3.21	V té době jsem přikázal Jozuovi: Tvé oči viděly vše, co Hospodin, váš Bůh, učinil těmto dvěma králům. Tak učiní Hospodin všem královstvím, do kterých půjdeš.
DEU.3.22	Nebojte se jich, neboť Hospodin, váš Bůh, bude bojovat za vás.
DEU.3.23	V té době jsem prosil Hospodina o smilování slovy: 
DEU.3.24	Panovníku Hospodine, ty jsi začal svému otroku ukazovat svou velikost a svou mocnou ruku. Jaký bůh na nebesích a na zemi 
DEU.3.25	Dovol, abych šel dál a uviděl tu dobrou zemi, která 
DEU.3.26	Hospodin se na mě kvůli vám nazlobil a nevyslyšel
DEU.3.27	Vystup 
