MAT.1.1	Antuyawino neturakkanneno gagginafuwera i Jesu Kristo a gaka i Ari David a gaka kappayi Abraham. 
LUK.11.6	se aneno bulungkuwa mabbiyahe a gaggamwangnga sey balay, e awana ipakkangku sikwana.’ 
LUK.11.7	Udde sumombatino ana sino balaya massapit si, ‘Mayan disturbundakami? Naggakukkamin e maturuggami ammin. Matarutakunna gumabwata mangaꞌda sikwam.’ 
LUK.11.8	Nu kunnenoy, sanneno akwanino bulunna? Ino sapitangku sikwayu, massiki nu ammena gumabwatino bulunna gafu se bulunna, nu ipatuꞌna a marang, gumabwatino bulunna ta iyaꞌdaneno ammina awanna.
LUK.11.9	“Kunnantu, kunnayawino sapitangku sikwayu. Kanayungkayu nadda marang ki Dios, e iyaꞌdana sikwayuweno arangngandaw. Ituluydokappaya mintufuk sikwana sino awandaw, e sumpalandaw. Ituluydokappaya mattottok, e mabukkatanino sawang ta makatallungkayu. 
LUK.11.10	Se massiki inya a marang ki Dios, maaꞌdan, e massiki inyeno mintufuk, makasumpal. E massiki inyeno mattottok, mabukkatanino sawang para sikwana. 
LUK.11.11	Se dandammandaw, ikkayuwa mapparanak, nu bilisino arangngannino abbindaw, aꞌdandokad si ulag? 
LUK.11.12	Onnu nu iꞌluwino arangnganna, aꞌdandokad si mallagama? 
LUK.11.13	Ikkayuwa narakkatta tolay, nu ammuyuwa mangaꞌda si nalawad sino abbindaw, mannanotinna ki Dios a Amayu sey langit, iyaꞌdaneno Espirituna sikwayuwa marang sikwana.”
LUK.11.14	Wasin tata si aw, nepaanawi Jesusino narakkatta espirituwa nappaabul sino tata a lalaki. Wasin inanawino narakkatta espiritu, makadamitingkappayino lalakiya inanawanna, e nakkaꞌbawino tolayira. 
LUK.11.15	Udde sinapitino korwanira sikwara si, “I Beelzebub a afafuweno narakkattira a espirituweno nangaꞌda sikwana si pannakadamana a mappaanaw si narakkatta espiritu.” 
LUK.11.16	Ino korwanira kappay, angganda a dalodawanni Jesus, antuweno inaranda sikwana si mangwa si kakkaꞌbawa mangipaita si i Diosino nanundun sikwana.
LUK.11.17	Udde ammuwi Jesusino ana sino nakanda, antuweno nassapitanna sikwara si, “Nu maggagarunutino tolayira sino tata a lubbun, madaralnenaya lubbun. Kunna kappay sino taabbalayira, nu massasarombatira, makkakaratwayira. 
LUK.11.18	Kunna kappay ki Satanas. Nu kontaranneno bafulunnera a narakkatta espiritu, madarallino patturayanna. Antuweno sapitangku sikwayu se sinapiꞌdaw si i Beelzebub ino nangaꞌda sino pannakadamaka mappaanaw si narakkatta espiritu. 
LUK.11.19	Nu gakkuruwinay, ino adalandawira a mappaanokappay si narakkatta espiritu, inya mantuweno naggabwatanino pannakadamara? Ira kappayino mipakurug si nabbakabakkannino sapitandaw. 
LUK.11.20	Se ino kakuruwanna, ino Espirituwi Diosino nangaꞌda sino pannakadamaka mappaanaw si narakkatta espiritu, e antuweno pangammuwandaw si anen sikwayuweno patturayani Dios.
LUK.11.21	“I Satanas, meyamparig si natuyagga tolaya aneno armasna. Nu indagganneno balena, awana makatakaw sino kukwana. 
LUK.11.22	Udde nu gubattannino natuyag amma sikwana e affutanna, iyanoneno armasa nanalakkanino kalingana, kasena appannino kukwana takesi iyannena sino bafulunnera.
LUK.11.23	“Ino ammena mebulun sikwak, ireno kumontara sikwak, e ino ammena manuffun sikwaka mampat sino tolayira, ireno mappakakaratway sikwara.”
LUK.11.24	Netuluyi Jesus a niyamparig si, “Nu manawino narakkatta espirituwa nunag si tolay, umang mannodoyug si kalolowata awana danumma a mintufuk si pimwanganna. E nu awana sumpalanna, kunna sino nakamma si, ‘Muliyak sino balaya naggabwatangku.’ 
LUK.11.25	Muli e madaꞌnganeno balaya nadalusan anna nalawad amma siꞌin. 
LUK.11.26	E umang mayag si pituwa narakkatta espirituwa mas narakkat amma sikwana takesi makiagyanira sikwana. Kakallakkingke inaya tolay amma sino palunguwa katolena.”
LUK.11.27	Wasin sinapiti Jesus inay, agyanino tata a bafay sino tolayira sinaya nikokwa a nassapit si, “Nagasatingke ino niyanak anna nappasusu sikwam!”
LUK.11.28	“On,” kunni Jesus a sinombat, “udde mas nagasatino tolayira a maningngag sino sapiti Dios e kuruwanda.”
LUK.11.29	Wasin umoodduweno tolayira a umaribumbung ki Jesus, netuluyna a nassapit si, “Narakkattingke ino tolayira sito ingkein se patutandaka mipaita si kakkaꞌbawa senyal, udde awana mepaita sikwara nu bakkampelangino senyal a kunneno nakwa ki Jonas a gumalabbun siꞌin. 
LUK.11.30	Se ino nakwa ki Jonas,
LUK.11.31	Nu madaꞌnganeno awa pangukumani Dios sino tolayira, paliwatandakayuneno bafaya ari sey Seba siꞌin, se naggabwat si aroyuwengke a lubbuna inang naningngag sino kinalainga netulduwi Ari Solomon. Udde ikkayu, massiki anen sikwayuweno napatig amma ki Solomon, ammeyu anggamma dingngaggannino tulduna. 
LUK.11.32	Ino kappay taga-Nineveyira, paliwatandakayuna kappay, se nebobolireno liwaꞌda sin diningngaddeno tulduwi Jonas, udde ikkayu, massiki anen sikwayuweno napatig amma ki Jonas, ammekayu kepay mangurug.”
LUK.11.33	Wasinoy, netuluyi Jesus a niyamparig si, “Awana misigi si lampara, kasena itawu onnu abbungan si angngoran, nu ammena lud itappat takesi masirwatanino tolayira a sumallung.
LUK.11.34	“Ino matam, antuweno gumansirwaꞌna baggim. Antu gafuna, nu nalawarino angngitama mittata ki Dios, nabaggawino nakammu. Udde nu narakkattino angngitam, lammuk kepayino nakammu. 
LUK.11.35	Mappalangka mantu, tantaro nu sapitannu si nabaggawino nakammu gampade lammuk kena. 
LUK.11.36	Udde nu nabaggawino nakammuwa awaningke a lammuk sikwam, masirwatan amminino akwannu a kunnangke anaka sino natuyagga sirwat.”
LUK.11.37	Wasin nasinduwi Jesus a nanuldu, inayanino tata a Fariseo ta umangngira mangngan, antuweno inangngi Jesus sino balena e nakituttura nangngan. 
LUK.11.38	Udde nakkaꞌbawino Fariseo sin initana a amme namagguwi Jesus a metuntul sino gagangera. 
LUK.11.39	Antuweno sinapiti Jesus sikwana a niyamparig si, “Ikkayuwa Fariseo! Kakunnayuweno tolaya muwappelang sino lasinneno tasa andino likunneno duyug, se dalusandawino baggiyu, udde purayandawino nakandawa napannu si kinadarogat anna narakkat. 
LUK.11.40	Ikkayuwa pangababulan! I Dios a nangwa sino baggitam, antu kappayino nangwa sino nakantam, antuweno nadalus nad ammin. 
LUK.11.41	Kunnantu, ino nad akwandaw, mangaꞌdakayu sino ana sikwayu sino mekakallakkira, se nu madalusanino nakandaw, nadalusin ammin.
LUK.11.42	“Kakallakkayuna a Fariseo, se nattalaginaggayuwa mangaꞌda ki Dios sino pakkatafuluneno mulayu, massiki ino kaddatta meusar si rikadu, udde ammeyu akwanino mas napatig sikwana a antuweno pangwandaw si naggaddang sino bafulundaw andino panggammandaw sikwana. Ira nad yawino akwandaw e ituluydokappayino korwan.
LUK.11.43	“Kakallakkayuna a Fariseo, se anggandawa pattutturanino attutturanna napatiya tolay sino sinagoga anna anggandokappaya medayawa mapakumusta sino mangitera sikwayu kadda mallakaggayu sino palengki.
LUK.11.44	“Kakallakkayuna, se kakunnayuweno tanamma awana markana a pappiꞌnakkanino tolayira, e makaliwatira se ammera inammu si tanammino pappiꞌnakkanda.”
LUK.11.45	Wasinoy, sinapitino tata a mesturuna lintig si, “Afu mesturu, sin nassapitannu sinay, nesapaꞌdakamiya neyatatal.”
LUK.11.46	E sinapiti Jesus si, “Kakallakkayuna kappaya mammesturuwerana lintig, se dadagganandawino lintig e patutandawino tolayira a manuntul, gampade awangkena iduffundaw sikwara. Kunnangke pattundawira si nadammat, udde ammekayu manuffuna mattu.
LUK.11.47	“Kakallakkayuna, se mangwakayu si nalawara pantiyonin gumalabbunira a pinapatayino gagginafuyuwera siꞌin. 
LUK.11.48	Udde sino pangwandaw sinay, ipaitayu si anggandaw inaya inangweno gagginafuyuwera, se ireno namapatay, udde ikkayu payino mangwa sino pantiyonin pinapaterera. 
LUK.11.49	Antuweno mangipaita sino kinalaingi Dios, se sinapiꞌna siꞌin si, ‘Ananeno gumalabbunira anna apostolira a dundunangku sikwara, udde papatayandaneno korwanira anna padyatandaneno korwanira.’ 
LUK.11.50	Antu gafuna, ino tolayira sito ingkein, makastiguwerana gafu sino napapatayanino amminira a gumalabbun mangiyafu sin naparatuwan yo lubag, 
LUK.11.51	mangiyafu sin napapatayani Abel kiyad sino napapatayani Zacarias a pinapatayin gagginafuyuwera sino nallatanneno assikkulan annino Templo. On, gakkuruwino sapitangku sikwayu, ino tolayira sito ingkein, makastiguwerana gafu sino napapatayanda ammin!
LUK.11.52	“Kakallakkayuna a mammesturuwerana lintig, se kunnangke netawuyuweno tulbika pabbukkat sino pangammuwanino tolayira ki Dios. Ammeyu anggamma mesapat sino patturayanna e tipaddandawino tolayira a manggam se ammeyuwera tulduwan sino kakuruwan mappeafu sikwana.”
LUK.11.53	Wasin inanawi Jesus sino balay inaya Fariseo, ino mammesturuwerana lintig andino Fariseowera, neyekwareno ammina damara a mangontara sikwana. Oddu kappayino nebebuꞌda 
LUK.11.54	se angganda a balabaliyan tantaro nu wara isombaꞌna sikwara si damara a pappaliwatan sikwana.
LUK.12.1	Sinoy kappaya tiyempo, nakkakarampattino parifurifuwera a tolay kiyad si massasaralpitiran. Sinatabbag abbuwi Jesusino adalannera, e sinapiꞌna si, “Palanandawino lebadureno Fariseowera, anggamma sapitan, ino passasannakammanda. 
LUK.12.2	Se ammina neyimad anna ammena naammuwan sito ingkein, mepaita anna maammuwan naso maddagguna aw. 
LUK.12.3	Antuweno massiki sanneno sapitandaw si gafi ta meyimad, mepakaammuna so aw, e ino idumidumiyu sino neyakuta kwartu, mekulawuna ta dingngaggan ammina tolay.”
LUK.12.4	Sinapikkappayi Jesus sino adalannera si, “Ino sapitangku sikwayuwa bafulungku, ammekayu nad mattalaw sino mamapatayira si baggina tolay pelang, se antu pelangino pakkiyaranneno pannakadamara, 
LUK.12.5	nu ammena luri Diosino pattalawandaw. Se nu ariyani Diosino biyangnga tolay, ana kappayino pannakadamana a mitakkub sikwara sey infiyernu. Antu gafuna, antu naddino pattalawandaw. 
LUK.12.6	Udde dandammandonaggappayino aggangwa i Dios sino dinnattira. Damayu pelanga gatangannino lima a dinnat si adwa a sentabo. Udde amme kalyawani Diosino massiki tata sikwara. 
LUK.12.7	Mannanotinna sikwayuwa tolay. Se massiki ino abuꞌdaw, ammuneno bilangnga. Antu gafuna, ammekayu nad mattalaw, se ipatingngeno kadda tata sikwayu amma sino dinnattira.”
LUK.12.8	Netuluyi Jesus a nassapit si, “Sapitangku sikwayu, massiki sanna a tolaya massapit sino aꞌlangino tolayira si mangurug sikwaka Abbingnga Tolay, antu kappayino itaꞌdaggu sino aꞌlangino anghelira i Dios. 
LUK.12.9	Udde ino tolaya miyimad si mangurug sikwak sino aꞌlangino tolayira, kunna kappayino sapitangku sino aꞌlangino anghelira i Dios.
LUK.12.10	“Massiki inyeno massapit si narakkat mappeafu sikwaka Abbingnga Tolay, dama a mapakoman inaya liwaꞌna, udde ino massapit si narakkat mappeafu sino Espirituwi Dios, ammena dama a mapakoman inaya liwaꞌna si makkikiyad.
LUK.12.11	“Nu doꞌmandakayu ta idarundakayu sino sinagogera anna iyaꞌlandakayu sino gubernadorira andino korwanira a turay, ammeyu paddararananino isombaꞌdaw annino sapitandaw, 
LUK.12.12	se sinoyna a orat, ipakaammuneno Espirituwi Dios sikwayuweno fustuwa sapitandaw.”
LUK.12.13	Wasinoy, agyanino tata sino kaodduwana naddamit, e sinapiꞌna si, “Afu mesturu, sapitannu sino kolakku ta iballayannak sino illalupattammi.”
LUK.12.14	Udde nesombati Jesus si, “Inyeno nangaꞌda sikwak si kalintiyangkuwa mangukum sikwayuwa mappaballay sino illalupattandawa makkolak?” 
LUK.12.15	E netuluyna a nassapit sikwara ammin si, “Mappalangkayu ta ammekayu matutunggungana mangaꞌrun sino akweno bafulundawira, se ino kukwana tolay, bakkanna antuweno mappabiyag sikwana, massiki sanneno kinabaꞌnangnga.”
LUK.12.16	Antuweno niyampariyani Jesus si, “Agyanino baꞌnangnga tolaya aggodduweno ganinna sino lubangnga. 
LUK.12.17	Antuweno kunna sino nakanakamma si, ‘Sannadeno akwangkuwa kurangin yo alangkuwera a pangekwangku sino ammina ginanik? 
LUK.12.18	Ay, on karud, kunnayawino akwangku. Sassatangku yo alangkuwera ta mappaan-angwak si dodokkal takesi makabalina pangekwangku sino ginanik andino korwana kukwak. 
LUK.12.19	Kaseꞌnga sapitan sito baggik si, Nagasataka tolay! Se anen amminino awangku si pipidya a run. Mimwangakunna. Ino penalang akwangku, mangngan, minum, annino mappaanggam sikwak.’ 
LUK.12.20	Udde sinapiti Dios sikwana si, ‘Pangababulangka a tolay, se sitawa gafi, matekan. Inyaneno makangkwa sino kukwama inampaꞌnu para sikwamungkepay?’ ”
LUK.12.21	Wasinoy, inabambutani Jesus a nassapit si, “Kunnenayino makwa sino tolayira a mampat si kinabaꞌnangnga para sikwara pelang, udde pobiriyera sino angngita i Dios.”
LUK.12.22	Wasinoy, sinapiti Jesus sino adalannera si, “Antuwen inayino gafuna a sapitangku sikwayu, ammekayu nad maddararan mappeafu sino akkanan anna barawasiya maawaddaw sitawa biyag. 
LUK.12.23	Se napatiyino biyag anna baggiyu amma sino akkanan anna barawasi. 
LUK.12.24	Dandammandonaddino gayangira. Ammera mabbini, ammera ke maggani, awangkappay alanda a pimfunanda sino akkananda, udde massiki kunnenoy, ammera mabisinan, se iyaꞌda i Diosino akkananda. Ammekayu kad napatig amma sino mammanukira? 
LUK.12.25	Ino tata kappay, massiki nu makadaradararangkayu, ammeyu dama a pasoddannino biyaddaw si massiki taorappelang. 
LUK.12.26	Nu ammeyu dama a pasoddannino biyaddaw si massiki taorappelang, ammekayu nad maddararan sino korwana maawaddaw sitawa biyaddaw.
LUK.12.27	“Itandawino addokallino sabungira sino danak. Ammera mattarabafu anna massinnun, udde sapitangku sikwayu, massiki i Ari Solomon a nabaꞌnangngingke, awana barawasina a mekunna sino kinalawarirenaya sabung. 
LUK.12.28	Nu kunnenayino kinalawara iyaꞌda i Dios sino kaddattira sino danaka mabiyayira pelang si tata si aw e masikkulanira si kadaramaꞌna, ammena kaggappay mangaꞌda sino barawasiya awandaw? Mayan kurang kepayino annalaꞌdaw sikwana? 
LUK.12.29	Antu gafuna, ammeyu nad aggadandammannino akkanandaw annino inumandaw e ammeyuwera paddararanan, 
LUK.12.30	se antuweno kabbatannino tolayira a amme nangammu ki Dios. Udde sikwayu, ammuwi Dios a Amayu si awandaw ammin inay. 
LUK.12.31	Kunnantu, pittatandonaddino nakandawa manandam sino patturayani Dios, e iyaꞌdanana ammin inaya awandaw.
LUK.12.32	“Ammekayu nad mattalaw, massiki bisangkayu ke, se anggammi Dios si isapaꞌdakayu sino patturayanna. 
LUK.12.33	Antu gafuna, ilakuyuweno kukwayu ta iyaꞌdayuweno kalakuwanna sino mekakallakkira. Unoyneno mampakkayu si kinabaꞌnandaw sey langit a kunnangke iyekwayu si pitaka a ammena manaral anna ammena maambutino baggaꞌna, se awana makatakaw sinay anna awana manaral. 
LUK.12.34	Se ino kakuruwanna, ino agyananino kinabaꞌnandaw, antu kappayino agyananino nakandaw.”
LUK.12.35+LUK.12.36	Netuluyi Jesus a nassapit sino adalannera si, “Kanayungkayu nadda maddadan a kunnangke ino aripannira a aggataron sino amunda a inang nakikasar. Aggabarawasiyera anna aggasirwatira takesi nanu gumamwangino amunda e mattottok, lananda a bukkatan. 
LUK.12.37+LUK.12.38	Nagasatirenaya aripan nu daꞌngannino amunda a aggataron anna aggadadan, massiki nu tangngenna gafi onnu araꞌniyen si awino gumamwanganna. Sapitangku sikwayu si mamataliyeno amunda, pattutturanneno aripannera, e pakkanannera.
LUK.12.39	“Dandammandonaggappay yaw. Nu ammu naddino makwan balayino oratta gamwanganino mattakaw, maddadan nad ta ammena makatallungino mattakaw. 
LUK.12.40	Massiki ikkayu, maawa aggadadangkayu, se gumamwangaꞌnga a Abbingnga Tolay sino oratta ammeyu innanaman si gamwangangku.”
LUK.12.41	Wasinoy, sinapiti Pedro si, “Afu, ikkami pelanga adalannuweno nassapitannu sinaya amparig onnu ammina tolay?”
LUK.12.42	Sinombatangkappayi Afu Jesus a niyamparig si, “Ino matalak anna madandamma aripan, antuweno dotukanino amungnga a makammu sino korwana aripanna anna mangaꞌda sino akkananda si kadda aw. 
LUK.12.43	Nagasat inaya aripan nu magamwanganino amungnga a mangwa sino nepakwana. 
LUK.12.44	Gakkurug yo sapitangku sikwayu, gafu se matalak, dotukangkappayino amungnga a makammu sino ammina kukwana.
LUK.12.45	“Udde nu kunninaya aripan sino nakamma si, ‘Mabayaggepayino puliyanino amungku,’ e padyatanneno bafulunnera a aripanna lallaki onnu bafabbay, e makakakkan, makininum, anna mabbobok, 
LUK.12.46	kakaꞌmeng kelanga gumamwangino amungnga sino aw anna oratta ammena ininnanama. Kastiguningkeneno amungnga a isapaꞌna sino kakastiguwanino ammerera matalak.
LUK.12.47	“Ino aripanna nangammu sino anggammino amungnga si akwanna, udde ammena akwan, nadammaꞌneno kastiguna. 
LUK.12.48	Udde ino aripanna amme nangammu sino anggammino amungnga si akwanna, makastigu kappay nu makaliwat, udde ammena nadammat. Se ino tolaya odduweno netalak sikwana, oddu kappaya mainnanama a maggabwat sikwana, e ino tolaya oodduweno netalak sikwana, ooddu kappeneno mainnanama a maggabwat sikwana.”
LUK.12.49	Sinapikkappayi Jesus a niyamparig si, “Inangngak sito lubagga miyang si afuy e anggangku si gumigillayafin nad. 
LUK.12.50	Maawa madyatanakungke, antuweno aggalowino nakangku kiyad si madaꞌngenay. 
LUK.12.51	Nganandonakuy si inangngak sito lubagga mappaibbat sino pakkakontaranino tolayira, udde bakkan, se inangngaka mappakakaratway sikwara. 
LUK.12.52	Antu gafuna, mangiyafu sito ingkein, makkakontarera. Nu limera a taabbalay, kontaranino talluweno adwera, e ino adwa, kontarandeno talluwera. 
LUK.12.53	Ino matatamera andino masasinera, makkakontarera, e massiki ino makkatuwanganira. Makkakontarera ammin.”
LUK.12.54	Wasinoy, sinapiti Jesus sino odduwera a tolay si, “Nu itandaw si madduladulam sey diraya, sapitandaw si ‘Gauran,’ e muran gakkurug. 
LUK.12.55	E nu giꞌnandaw si abbaggino paggabwatanino leled, sapitandaw si ‘Napatu sito aw,’ e gakkurug.
LUK.12.56	Ikkayuwa massasan mangurug! Nu malasindawino senyal sito lubag anna sey langit, mayan ammeyu maawatanino anggamma sapitannino senyala ipaita i Dios mappeafu sikwak?”
LUK.12.57	Netuluyi Jesus a niyamparig si, “Mayan ammekayu makadandam sino nalawara akwandaw? 
LUK.12.58	Gangngariyan, nu wara manggamma midarum sikwam, iyekwamungkenaddino damama makipakoli sikwana nu agyangkayu kepay sino dalan. Se nu ammem akwan inay, idarundaka sino huwes, iyalawaꞌdaka sino pulis, e ibaluddaka. 
LUK.12.59	Sapitangku sikwam si ammeka makalawan sino abbaluran kiyad si mapagan amminino multam.”
LUK.13.1	Sinoy kappaya tiyempo, agyanino ginamwangira sino agyanani Jesus e sinapiꞌda sikwaneno nakwa sino korwanira a taga-Galilea a nepapapatayi Gubernador Pilato sino aggewawaꞌlatanda sino animalda ki Dios. 
LUK.13.2	Sinapiti Jesus si, “Ariddonakuy si nadammattino liwat inayira a taga-Galilea amma sino ammina kalubbunandera a taga-Galilea gafu se kunnenayino akkapapatera. 
LUK.13.3	Udde bakkan. Sapitangku sikwayu, nu ammeyu iboboliyeno liwaꞌdaw, matekayuwa makastiguwa kakunnara. 
LUK.13.4	Kunna kappayino kadwafuluwera si waluwa natabbunan sin nagabbanino ataꞌnanga balay sey Siloe a sakoꞌma Jerusalem. Ariddokappay si ireno kararakkattana tolay amma sino ammina korwana magyan sey Jerusalem? 
LUK.13.5	Bakkangkappay. Sapitangku kappay sikwayu, nu ammeyu iboboliyeno liwaꞌdaw, kunna kappeneno makwa sikwayu.”
LUK.13.6	Wasinoy, niyampariyi Jesus a nassapit si, “Agyanino tata tolaya aneno kayuwa igosa nemula sino lubangnga. Umangnga aꞌitan nu wara bungana, udde awan. 
LUK.13.7	Antu gafuna, sinapiꞌna sino pattarabafunna sino lubangnga si, ‘Talluruninna maꞌangngak sitawa mita nu nammungen yawa kayu, udde awaningke a bungana. Gabbannun, se kengana pelangino nemulanna a lubag.’
LUK.13.8	“Udde sinapitino pattarabafunna si, ‘Afu, ammembu pagabba massiki sito pelanga run ta kokkofangkuneno lellebanna ta ekwanangku si abonu. 
LUK.13.9	Nu mammungen nanu tarun, nalawad, udde nu ammena mammunga, kasemma pagabba.’ ”
LUK.13.10	Wasin tata Sabadu a awna aggimwangan, nanulduwi Jesus sino sinagoga. 
LUK.13.11	Agyan sinayino tata a bafaya nepaddungkuwino narakkatta espiritu si kadwafulu si waluwa run, e ammena makagaddangnga mattaꞌdag. 
LUK.13.12	Wasin inita i Jesus, inayanna e sinapiꞌna sikwana si, “Nabbattunoyinnino takiꞌnu.” 
LUK.13.13	E inappanganna, e kakaꞌmeng kelanga naggaddangnga nattaꞌdag e nedandayona i Dios.
LUK.13.14	Wasinoy, nabbungutino afafuneno sinagoga, se awna aggimwanganino nappabattunoyani Jesus sino bafay. Antuweno sinapitino afafu sino tolayira si, “Annamma aw nabbelangino pattarabafuwantam. Antu naddino awa umangngandawa pappaagasan, a bakkan sino awna aggimwangan.”
LUK.13.15	Sinabbi Jesus si, “Ikkayuwa massasannakam! Kadda tata sikwayu, uttaranneno baka onnu kabayuna ta umangnga painuman, massiki awna aggimwangan. 
LUK.13.16	E sitoya, anen sikwatam iyawa bafaya gaka i Abraham, a kunnangke binaluri Satanas si kadwafulu si waluwa run. Ammena kad nalawad nu pabbattunoyangku sino takiꞌna ta mawayan, massiki sino awna aggimwangan?” 
LUK.13.17	Naatallanino kumontarera ki Jesus gafu sinaya nesombaꞌna. Udde ino korwanira a tolay, maanggammirangke gafu sino kakkaꞌbawira a inangangwana.
LUK.13.18	Wasinoy, sinapiti Jesus si, “Sanna kaddino piyampariyangku sino patturayani Dios? Sanneno kekunnanna? 
LUK.13.19	Meyamparig si tata a bukalla mustasa a nemuleno tata a tolay sino gardinna. Nattufu e dinokal kiyad si kunnangke kayuweno kataꞌnangnga, e damenna mammanuka pumukanino tangatangana.”
LUK.13.20	Sinapikkappayi Jesus si, “Sanneno piyampariyangku sino patturayani Dios? 
LUK.13.21	Mekunna si lebadura a ilamurino bafay si odduwa arina, e massiki bisangke, palattagganna amminino arina a kelamuranna.”
LUK.13.22	Wasinoy, netuluyi Jesus a inang sey Jerusalem, e niittud sino lulubbuna taꞌlifanna ta manuldu sino tolayira. 
LUK.13.23	Agyanino nabbebut sikwana si, “Afu, bisangngira ke kaddino mesalakan?”
LUK.13.23	E sinombati Jesus si, 
LUK.13.24+LUK.13.25	“Iyekwayungke naddino damayuwa sumallung sino bibissangnga sumallungan sey langit se wara kepay wayayu. Se nu iyakutinnino makwan balay, odduneno mangakkapa sumallung, udde ammenan dama. Massiki nu mattottokira a massapit si, ‘Afu, bukkatannu abbu,’ sapitanneno makwan balay si, ‘Ammetakayu inammu.’ 
LUK.13.26	E sapitanda si, ‘Ammurakami se ikkamiyeno nakikkan anna nakiinum sikwam e nanulduka ke sino lubbummi.’ 
LUK.13.27	Udde sapitanna kappay si, ‘Gakkuruwa ammetakayu inammu. Manokayun tan, ikkayu ammina mangwa si narakkat.’ 
LUK.13.28	Gakkuruwa mattatarangitirana anna mangngarangaritammirana nu itandara Abraham anni Isaac anni Jacob andino ammina gumalabbunira a mesapat sino patturayani Dios, gampade sikwara, ammera makatallung. 
LUK.13.29	Udde odduneno tolaya maggabwat si palulubbuna mesapat sino patturayani Dios. 
LUK.13.30	Se aneno abbafawira sito ingkeina meyantawirana, e aneno meyantawira sito ingkeina metabbaferana.”
LUK.13.31	Wasin sinapitinni Jesus inay, ginamwangino korwanira a Fariseo, e sinapiꞌda sikwana si, “Nalawad nu umanoka sitaw, se anggandaka i Herodes a papapatay.”
LUK.13.32	Udde netabbi Jesus sikwara si, “Umandaw sapitan sinaya mamoposung si itulutuluyku kepaya mappaanaw si narakkatta espiritu anna mappabattunoy sino matakitira, udde ammena mabayag, se gababalininnino tarabafuk. 
LUK.13.33	Gakkuruwa araꞌniyenna mapapatayak, udde itulutuluyku kepaya umang sey Jerusalem, se kunnangke ammena meannunga mapapatayino gumalabbun, nu bakkan sinay.”
LUK.13.34	Wasinoy, sinapiti Jesus si, “Ikkayuwa taga-Jerusalem a nallapalappag anna namapatay sino gumalabbunira andino korwanira a dinunduni Dios! Namipidyantakayuwa anggamma paraꞌnin sikwak ta imutantakayu a kunnangke ino akwanino upa a mangakkab sino piyaꞌngera, udde ammeyu anggam. 
LUK.13.35	Antu gafuna, ikkayunnino makammu, se anawandakayuwi Dios. Sapitangku sikwayu si ammerakunna maita makkiyad sino awa passapitandona si, ‘Madandayawino gumamwanga dinunduni Dios.’ ”
LUK.14.1	Wasin tata a Sabadu a awna aggimwangan, inangngi Jesus a nakikkan sino baleneno tata a pangafuwanna Fariseowera, e aggitanino tolayira nu sanneno akwanna, 
LUK.14.2	se agyangkappay sinayino tata a lalakiya nallullud. 
LUK.14.3	Nebebuti Jesus sino mammesturuwerana lintig andino Fariseowera a agyan sinay si, “Damana sino lintiddama mappabattunoy si matakit sino awna aggimwangan?” 
LUK.14.4	Udde aggasisinakkira. E inappangani Jesus inaya matakit e nabbattunoyin, kasena nepaanaw.
LUK.14.5	Wasinoy, sinapiti Jesus sikwara si, “Nu wara abbindaw onnu massiki bakayuwa madaꞌnag si bitu, ammeyu kad kangkamana umang ilabbed?” 
LUK.14.6	E ammera makasombat.
LUK.14.7	Wasinoy, inita i Jesus si ino korwanira a inayanino Fariseo, pinilireno attutturanino napatiyira a tolay. Antu gafuna, kunnayawino netuni Jesus sikwara ammin. 
LUK.14.8	“Nu wara mayag sikwam si mangngan, ammeka nad mattuttud sino attutturanino napatiyira a tolay, tantaro nu wara inayanda si napatig amma sikwam. 
LUK.14.9	Se nu gumamwangino napatiya tolay, kase umangngino makwan balay sikwam e sapitanna si, ‘Ammeka mattuttud sitan, se antuweno pattutturanna.’ Nu kunnenoy, maatallangka, se palitandaka e umangka makituttud sino likud. 
LUK.14.10	Antu gafuna, ino nad akwannu nu maayangka si mangngan, umangka makituttud sino likud. Se nu kunnenoy, nu itandakeno makwan balay, umangnga sapitan sikwam si, ‘Narakkat yan pattutturannu, akkanin taw ta mattuttugga sito nalawara tuttud.’ E medayokana sino naraꞌlanganino korwanira a naayan. 
LUK.14.11	Se ino miyantaw sino baggina, metabbafana, udde ino mitabbafa sino baggina, meyantona.”
LUK.14.12	Wasinoy, sinapiti Jesus sino nayag sikwana si, “Nu wara iyayangngu si maakkan, bakkampelangino bafulunnuwera, ino kakkolaꞌnguwera andino korwana wayim, andino bafaꞌnangnga kalubbunandawino ayannu, se ayandaka pena e matalyatanino ginastum sikwara. 
LUK.14.13	Ino nad akwannu, ayannu kappayino mekakallakkira, ino paralitikuwera, ino pilayira, andino lappattira, 
LUK.14.14	e ammera makatalyat sikwam. Nagasakka nu kunnenayino akwannu, se i Diosneno mallabut sikwam naso awa pangngangolinneno tolayira a naggaddang sikwana.”
LUK.14.15	Wasin diningngaggino tata a nakikkan inaya netuni Jesus, sinapiꞌna si, “Gakkuruwa nagasaꞌneno mesapata makilanggak sino patturayani Dios.”
LUK.14.16	Sinombatani Jesus si ampariya nassapit si, “Agyanino tata a tolaya nidadan si odduwa makkan, e odduweno inayannera. 
LUK.14.17	Wasin nadadanin ammin, dinundunneno aripanna ta umang mituldu sino inayannera si, ‘Antamun ta umangngetam mangngan.’ 
