MAT.1.1	Nkanda ya mbutukulu ya Yesu Klisto, mwana ya Davidi, mwana ya Abalahami. 
MAT.27.56	Nakati ya bau vandaka Malia Mangadala, ye Malia ngudi ya Yakobi ye Yosefi, ye ngudi ya bana ya Zebedai.
MAT.27.57	Bu nkokila kubwaka, muntu ya mvwama ya katuka na Alimataya kwizaka, nkumbu ya yandi Yosefi, yandi vandaka nlonguki ya Yesu mpe, 
MAT.27.58	Yandi kwizaka kwa Pilatu ye lombaka nitu ya Yesu. Buna Pilatu tubaka, kupesa yo.
MAT.27.59	Yosefi bakaka nitu ye zingilaka yo lele ya lino ya vedila;
MAT.27.60	yandi tulaka yo mu ndiamu ya yandi yampa, ya yandi timaka mu ditadi; nanima yandi nengumunaka ditadi ya nene mu mwelo ya ndiamu, ye yandi katukaka.
MAT.27.61	Kansi Malia Mangadala ye Malia yankaka vandaka kuna, bau vandaka kutala ndiamu.
MAT.27.62	Na suka, yo ikele kilumbu ya landa kilumbu ya kuyidika, bambuta banganga ye bafalisi kutakanaka kwa Pilatu;
MAT.27.63	bau tubaka: Mfumu, beto imene kubambuka mambu ya mukusi yai tubaka, bu yandi vandaka na moyo: Nanima na bilumbu tatu mono tafulukiswa diaka.
MAT.27.64	Sambu na yai, sikidikisa, na ndiamu kangwa mbote ti kilumbu ya tatu, keti banlonguki ya yandi takwiza kuyiba yandi, buna tuba kwa bantu: Yandi imene kufulukiswa tuka bafwa; buna nzimbukusu ya nima taluta yina ya ntete. 
MAT.27.65	Pilatu tubaka kwa bau: Beno ikele na minkengi; kwenda kukanga yo mbote, bonso beno zaba.
MAT.27.66	Bau kwendaka ye kangaka ndiamu, ye tulaka kidimbu va ditadi nantwala na minkengi.
MAT.28.1	Bu lumbu ya Luvundu zolaka kumana, bu kuma kia na kilumbu ya ntete na kilumbu ya luvundu, buna Malia Mangadala ya Malia yankaka kwizaka kutala ndiamu. 
MAT.28.2	Tala, ndikunu ya nene ya ntoto vandaka, sambu na wanjo ya Mfumu kulumukaka tuka zulu ye kwizaka ye nengumunaka ditadi, ye vandaka va yo.
MAT.28.3	Luse ya yandi vandaka bonso nzazi, ye mvwatu ya yandi vandaka mpembe bonso mvula ya mpembe.
MAT.28.4	Sambu na boma ya yandi, minkengi zakamaka ye vandaka bonso bafwa.
MAT.28.5	Wanjo vutulaka ye tubaka kwa bankento: Vanda na boma ve, sambu na mono zaba beno ikele kusosa Yesu ya komwaka va kulunsi.
MAT.28.6	Yandi ikele awa ve, kadi yandi imene kufulukiswa, bonso yandi tubaka, kwiza, tala sika ya yandi lalaka. 
MAT.28.7	Kwenda nswalu ye tuba kwa banlonguki ya yandi, yandi imene kufulukiswa tuka bafwa; kansi tala, yandi ikele kwenda nantwala na beno ku Ngalili; kuna beno tamona yandi. Tala, mono imene kutuba kwa beno. 
MAT.28.8	Bau katukaka nswalu na ndiamu, na boma ye kiese mingi, bau kwendaka nswalu kutuba kwa banlonguki ya yandi.
MAT.28.9	Tala, Yesu kutanaka na bau, yandi tubaka: Vanda na kiese! Kansi bau kwizaka ye simbaka makulu ya yandi ye sambilaka yandi.
MAT.28.10	Buna Yesu tubaka kwa bau: Vanda na boma ve, kwenda kutuba kwa bampangi ya mono, bau takwenda ku Ngalili, kuna bau tamona mono. 
MAT.28.11	Bu bau ikele kwenda, tala, bankaka ya minkengi kwizaka ku mbanza ye tubaka kwa bambuta banganga mambu yonso ya kubwaka.
MAT.28.12	Bu bau kutakanaka na bambuta ya bantu, bau tubanaka, ye pesaka basoldat mbongo mingi;
MAT.28.13	bau tubaka: Beno tuba: Banlonguki ya yandi kwizaka mu mpimpa, ye yibaka yandi, bu beto lalaka tulu.
MAT.28.14	Kana nyadi kuwa mambu yai, beto takwikidisa yandi ye vulusa beno.
MAT.28.15	Bau bakaka mbongo, ye salaka bonso bau longaka bau. Mambu yai mwanganaka nakati na baYuda ti kilumbu yai.
MAT.28.16	Kansi banlonguki kumi ye mosi kwendaka ku Ngalili ku mongo ya Yesu sikidikisaka bau.
MAT.28.17	Bu bau monaka yandi, bau sambilaka yandi, kansi bankaka vandaka na ntembe.
MAT.28.18	Yesu kwizaka kutuba kwa bau: Ngolo yonso imene kupeswa kwa mono mu zulu ye va ntoto. 
MAT.28.19	Sambu na yai, kwenda kusala makanda yonso ya bantu banlonguki ya mono, botika bau mu nkumbu na Tata ye Mwana ye Mpeve Yanlongo; 
MAT.28.20	longa bau kukeba mambu yonso ya mono sikidikisaka beno. Tala, mono ikele na beno bilumbu yonso, ti nsuka ya ntangu.
MRK.1.1	Luyantiku ya nsamu mbote ya Yesu Klisto Mwana ya Nzambi.
MRK.1.2	Bonso yo ikele kusonama mu Yesaya mbikudi: Tala, mono fidisa ntumwa ya mono nantwala ya luse ya nge, yandi tayidika nzila ya nge; 
MRK.1.3	Ndinga ya mosi kuboka mu nsi ya mpamba: Beno yidika nzila ya Mfumu, beno sungika tunzila ya yandi.
MRK.1.4	Yoane kwizaka, yandi botikaka mu nsi ya mpamba, ye samunaka mbotokolo ya mpindulu ya mabanza ku mvidisilu ya masumu ya bau. 
MRK.1.5	Nsi yonso ya Yuda ye bisi Yelusalemi yonso kwendaka kwa yandi, bau botikwaka ya yandi mu nzadi ya Yodani, ye bau kundimaka masumu. 
MRK.1.6	Ye Yoane vwataka mvwatu ya mika ya mbizi yanene ya bingwa kamela ye mukaba ya nkanda ya mbizi va luketo ya yandi, ye yandi kudiaka bampasu ye bwiki ya mfinda.
MRK.1.7	Yandi samunaka, kutuba: Yandi ya kwiza nanima na mono; luta mono ngolo, mono lunga ve yinama ye kangula nsinga ya nsampatu ya yandi. 
MRK.1.8	Mono botikaka beno mu masa, kansi yandi tabotika beno mu Mpeve Yanlongo. 
MRK.1.9	Yo vandaka, mu bilumbu yina, Yesu katukaka na Nazaleti ya Ngalili. Yandi botikwaka na Yoane mu Yodani. 
MRK.1.10	Ye nswalu bu yandi tomboka tuka masa, yandi monaka zulu kanguka ye Mpeve, mpilamosi yembe, kulumukaka va yandi.
MRK.1.11	Ndinga katukaka na zulu kutuba: Nge ikele Mwana ya mono ya zolwa, mu nge mono ikele kuyangidika. 
MRK.1.12	Nswalu mpeve sindikaka yandi ku nsi ya mpamba. 
MRK.1.13	Ye yandi vandaka mu nsi ya mpamba bilumbu makumi iya, yandi pukumunwaka kwa Satana, ye yandi vandaka na bambizi ya mfinda, ye banjo sadilaka yandi.
MRK.1.14	Bu Yoane imene kuyekulwa mu boloko, Yesu kwizaka mu Ngalili, kusamuna nsamu mbote ya Nzambi, kutuba: 
MRK.1.15	Ntangu imene kulunga, ye kimfumu ya Nzambi ikele mfinama, pindula mabanzi ya beno, ye kwikila nsamu mbote.
MRK.1.16	Bu yandi lutaka mfinama na mbu ya Ngalili, yandi monaka Simoni ye Andele mpangi ya Simoni, bau ikele kulosa makonde ya bau mu mbu, kadi bau vandaka bantambi ya bambizi ya masa. 
MRK.1.17	Ye Yesu tubaka kwa bau: Kwiza kulanda mono, mono takitula beno bantambi ya bantu.
MRK.1.18	Ye nswalu, bau bikaka makonde ya bau ye landaka yandi.
MRK.1.19	Bu yandi kwendaka nantwala ndambu, yandi monaka Yakobi, ye Yoane mpangi ya yandi, bana ya Zebedai; bau mpe vandaka mu bota kuyidika makonde ya bau.
MRK.1.20	Nswalu, yandi bingaka bau, ye bau bikaka tata ya bau Zebedai mu bota ye basielo ya yandi, ye bau landaka yandi.
MRK.1.21	Bau kotaka mu Kapenaumi. Mu kilumbu ya luvundu yandi kotaka mu nzo ya sambilu ye longaka. 
MRK.1.22	Bau yitukaka sambu na malongi ya yandi; kadi yandi longaka bau bonso yandi ikele na ngolo, kansi bonso bansoniki ve.
MRK.1.23	Muntu vandaka mu nzo ya sambilu, yandi vandaka na mpe ve ya sumuka, yandi bokaka, kutuba: 
MRK.1.24	Nge ikele na beto nki mambu ? Nge Yesu ya Nazaleti, Nge imene kwiza kufwa beto ? Mono zaba nge ikele nani, Nkwa Nlongo ya Nzambi.
MRK.1.25	Yesu sembaka yandi, kutuba: Vanda napi, ye basika tuka yandi.
MRK.1.26	Bu mpeve ya sumuka imene kutuntumuna yandi, ye boka mu ndinga ya nene, yandi basikaka tuka yandi.
MRK.1.27	Bantu yonso yitukaka, bau yuvulana, kutuba: Yai ikele nki, malongi yampa ? Mu ngolo yandi sikidikisa bampeve ya sumuka, ye bau ikele kulemvuka yandi.
MRK.1.28	Nswalu, nsangu ya yandi kwendaka na sika yonso, ye nsi yonso ya kuzunga Ngalili.
MRK.1.29	Ye bu bau basika mu nzo ya sambilu, bau kumaka ku nzo ya Simoni ye Andele, sikamosi na Yakobi ye Yoane. 
MRK.1.30	Kansi bukilo nkento ya Simoni ikele kulala na maladi ya fievre, bau tubaka kwa Yesu sambu na yandi.
MRK.1.31	Yandi kwizaka mfinama ye simbaka diboko ya yandi, ye telemisaka yandi, ye nswalu fievre bikaka yandi, yandi sadilaka bau.
MRK.1.32	Kansi mu nkokila bu ntangu kotaka, bau twalaka kwa yandi bantu ya vandaka na maladi ye ya bakama na bampeve mbi.
MRK.1.33	Ye bwala yamvimba kutakanaka na mwelo,
MRK.1.34	Yandi belulaka bau mingi ya vandaka na maladi mutindu mutindu, yandi basisaka bampeve mingi ya mbi, yandi buyaka bampeve kutuba, sambu na bau zabaka yandi.
MRK.1.35	Na suka bu kumakia ve, yandi telemaka ye basikaka ye kwendaka ku nsi ya mpamba, kuna yandi lombaka. 
MRK.1.36	Simoni ye bau ya vandaka na yandi landaka yandi.
MRK.1.37	Bu bau monaka yandi, bau tubaka kwa yandi: Bantu yonso ikele kusosa nge.
MRK.1.38	Yandi tubaka kwa bau: Beto kwenda ku mabwala yankaka ya ikele mfinama, sambu na kusamuna kuna mpe, sambu na mambu yai mono kwizaka.
MRK.1.39	Yandi kwendaka kusamuna mu banzo ya bau ya sambilu mu Ngalili yonso, yandi basisaka bampeve mbi.
MRK.1.40	Nkwa bwazi kwizaka kwa yandi, yandi bombidilaka yandi, ye fukamaka na makungunu ye tubaka kwa yandi: Kana nge zola, nge lenda kuvedisa mono. 
MRK.1.41	Yesu kuwilaka yandi nkenda, yandi lambulaka diboko ye valakanaka yandi ye tubaka kwa yandi: Mono zola, nge vanda ya vedila.
MRK.1.42	Nswalu bwazi katukaka na yandi, ye yandi vedilaka.
MRK.1.43	Nswalu Yesu kanikinaka yandi ye sindikaka yandi,
MRK.1.44	yandi tubaka kwa yandi: Tomatala, nge tuba kwa muntu ve, kansi kwenda kudisonga kwa nganga ye pesa bima ya Mose tubaka, sambu na kudisukula sambu na kitemo kwa bau.
MRK.1.45	Kansi bu yandi basikaka, yandi yantikaka kusamuna yo mingi, yandi mwangisaka mambu yina, sambu na yai Yesu lendaka ve kukota diaka mu mbanza, kansi yandi vandaka na nsi ya mpamba; bau kwizaka kwa yandi tuka ndambu yonso.
MRK.2.1	Yandi kotaka diaka mu Kapenaumi nanima bilumbu ndambu, bantu kuwaka yandi ikele mu nzo. 
MRK.2.2	Bantu mingi kutakanaka na sika nanganda ya mwelo, sika lungaka ve sambu na bau yonso. Yandi samunaka mambu ya Nzambi kwa bau.
MRK.2.3	Bau kwizaka kutwala kwa yandi nkwa mianzi, ya natwaka na bantu iya.
MRK.2.4	Bu bau lendaka ve kutwala yandi kwa Yesu sambu na kibuka, bau kangulaka nludi ya nzo sika yandi vandaka, bu bau imene kusala dibulu, bau kulumunaka mbeto, va yo lalaka nkwa mianzi.
MRK.2.5	Bu Yesu monaka lukwikilu ya bau, yandi tubaka kwa nkwa mianzi: Mwana, masumu ya nge imene kuvidiswa.
MRK.2.6	Bansoniki yankaka vandaka muna, bau banzaka mu ntima ya bau:
MRK.2.7	Sambu na nki muntu yai tuba mpilayai ? Yandi ikele kutuba mbi. Nani lenda kuvidisa masumu, kansi Nzambi kaka ? 
MRK.2.8	Nswalu bu Yesu zabaka mu mpeve ya yandi, bau vandaka kubanza mambu yina mu ntima ya bau, yandi tubaka kwa bau: Sambu na nki beno ikele kubanza mambu yai mu ntima ya beno ?
MRK.2.9	Nki ikele mpasi ve kutuba kwa nkwa mianzi: Masumu ya nge vidiswa, keti kutuba: Telema, baka mbeto ya nge, kwenda ?
MRK.2.10	Kansi na beno lenda kuzaba, Mwana ya muntu ikele na ngolo awa va ntoto kuvidisa masumu, —yandi tuba kwa nkwa mianzi:
MRK.2.11	Mono tuba kwa nge: Telema, baka mbeto ya nge, kwenda ku nzo ya nge.
MRK.2.12	Yandi telemaka nswalu, ye bakaka mbeto ya yandi, ye basikaka nantwala na bau yonso; sambu na yai, bantu yonso yitukaka, bau kembilaka Nzambi, kutuba: Beto imene kumona mambu mpilayai ntete ve.
MRK.2.13	Yandi kwendaka diaka ku mukidi ya mbu, ye kibuka yonso kwizaka kwa yandi, yandi longaka bau. 
MRK.2.14	Bu yandi lutaka, yandi monaka Levi, mwana ya Alafai, yandi vandaka na sika ya futisa mpaku, ye tubaka kwa yandi: Landa mono, ye yandi telemaka ye landaka yandi.
MRK.2.15	Yo vandaka, bu yandi vandaka na meza mu nzo ya yandi, bafutisi mingi ye bankwa masumu vandaka na meza sikamosi na Yesu ye banlonguki ya yandi; kadi bau vandaka mingi, ye bau landaka yandi.
MRK.2.16	Bansoniki ye bafalisi, bu bau monaka yandi ikele kudia sikamosi na bafutisi ye bankwa masumu, bau tubaka kwa banlonguki ya yandi: Mpila nki yandi ikele kudia ye kunwa na bafutisi ye bankwa masumu ?
MRK.2.17	Bu Yesu kuwaka mambu yai, yandi tubaka kwa bau: Bau ya ikele na ngolo ikele na nsatu ve ya munganga, kansi bau ya ikele na maladi. Mono kwizaka ve kubinga balunungu, kansi bankwa masumu. 
MRK.2.18	Banlonguki ya Yoane ye ya bafalisi vandaka kubuya madia. Bau kwizaka ye tubaka kwa yandi: Sambu na nki banlonguki ya Yoane ye banlonguki ya bafalisi ikele kubuya madia, kansi banlonguki ya nge ikele kubuya madia ve ? 
MRK.2.19	Yesu tubaka kwa bau: Banduku ya toko ya makwela lenda kubuya madia bu toko ya makwela ikele na bau ? Bilumbu ya bau ikele na toko ya makwela bau lenda ve kubuya madia.
MRK.2.20	Kansi bilumbu ikele kwiza bu toko ya makwela takatulwa na bau, nanima bau tabuya madia mu bilumbu yina.
MRK.2.21	Muntu ikele kutula ve kitini ya lele yampa va mvwatu ya nkulu; kana mpilayai kitini yampa ya tonda kukanga dibulu tapasula nlele ya nkulu ye dibulu taluta nene.
MRK.2.22	Muntu ikele kutula ve, vinia yampa mu makuba ya nkulu ya nkanda ya mbizi; kana mpilayai vinia yampa tapasula makuba, ye vinia ye makuba tavila, kansi bau tula vinia yampa mu makuba yampa,
MRK.2.23	Yo vandaka, yandi lutaka mu bilanga ya nkeni ya ble mu kilumbu ya luvundu; bu bau lutaka, banlonguki ya yandi yantikaka kubaka nkeni ya ble. 
MRK.2.24	Bafalisi tubaka kwa yandi: Tala, sambu na nki bau ikele kusala na kilumbu ya luvundu ya nsiku pesa nzila ve ?
MRK.2.25	Yandi tubaka kwa bau: Beno imene kutanga ve ta mbala mosi, mambu ya Davidi salaka bu yandi kondaka kima, ye yandi vandaka na nzala, yandi ye bau ya vandaka na yandi ? 
MRK.2.26	Mpila nki yandi kotaka mu nzo ya Nzambi mu bilumbu ya Abiatali nganga ya nene, ye yandi kudiaka mampa ya kutala, ya nsiku pesa nzila ve muntu kudia, kansi banganga kaka, ye yandi pesaka kwa bau ya vandaka na yandi mpe. 
MRK.2.27	Yandi tubaka kwa bau: Kilumbu ya luvundu salwaka ve sambu na muntu, kansi muntu salwaka sambu na kilumbu ya luvundu ve.
MRK.2.28	Mpilayai Mwana ya muntu ikele Mfumu ya kilumbu ya luvundu mpe.
MRK.3.1	Yandi kotaka diaka mu nzo ya sambilu ye muntu vandaka kuna na diboko ya yuma. 
MRK.3.2	Bau langidilaka yandi, kana yandi tabelula yandi mu kilumbu ya luvundu, na bau lenda kufunda yandi.
MRK.3.3	Yandi tubaka kwa muntu ya vandaka na diboko ya yuma: Telema kuna nakati!
MRK.3.4	Ye yandi tubaka kwa bau: Nsiku pesa nzila kusala mambu mbote kilumbu ya luvundu keti kusala mambu mbi ? Kuvulusa moyo keti kufwa yo ? Kansi bau vandaka napi.
MRK.3.5	Bu yandi talaka bau na makasi, yandi vandaka na ntantu sambu na ngolo ya ntima ya bau, yandi tubaka kwa muntu yina: Lambula diboko, ye yandi lambulaka yo, ye diboko ya yandi belukaka.
MRK.3.6	Bafalisi basikaka nswalu ye kanaka na bantu ya Elode sambu na yandi, mpila nki bau lenda kufwa yandi.
MRK.3.7	Kansi Yesu vutukaka sikamosi na banlonguki ya yandi ku mbu, ye kibuka ya nene ya katukaka na Ngalili ye Yuda landaka yandi. 
MRK.3.8	Tuka na Yelusalemi ye Idumaya ye simu ya Yodani ye ndambu ya Tilo ye Sidoni, kibuka ya nene kwizaka kwa yandi, bu bau kuwaka mambu ya nene ya yandi salaka. 
MRK.3.9	Yandi tubaka kwa banlonguki ya yandi, bota fioti fwiti kuvingila yandi na kibuka tafietikisa yandi ve.
MRK.3.10	Kadi yandi belulaka bantu mingi, ye bau fietikisaka yandi, sambu na kuvalakana yandi, bayina ya vandaka na maladi.
MRK.3.11	Bu bampeve ya sumuka kumonaka yandi, bau fukamaka kwa yandi, ye bokaka, kutuba: Nge ikele Mwana ya Nzambi.
MRK.3.12	Yandi sikidikisaka bau ngolo, bau tazaikisa yandi ve. 
MRK.3.13	Yandi tombokaka ku mongo, ye bingaka bau ya yandi zolaka; bau kwendaka kwa yandi. 
MRK.3.14	Yandi solaka kumi ye zole, sambu na kuvanda na yandi, sambu na kufidisa bau kwenda kusamuna
MRK.3.15	ye kuvanda na ngolo kubasisa bampeve ya mbi.
MRK.3.16	Yandi solaka kumi ye zole: Simoni ya yandi pesaka nkumbu Petelo;
MRK.3.17	ye Yakobi mwana ya Zebedai, ye Yoane mpangi ya Yakobi, ya yandi pesaka nkumbu Boanenges, yo ikele bana ya mbandanu;
MRK.3.18	Andele ye Filipo ye Batalomai ye Matai ye Toma ye Yakobi mwana ya Alafai ye Tadai ye Simoni mwisi Kana,
MRK.3.19	ye Yuda Iskalioti, ya yekulaka Yesu mpe.
MRK.3.20	Yandi kotaka mu nzo; kibuka kutakanaka diaka, sambu na yai bau lendaka ve kudia mampa. 
MRK.3.21	Bu banduku ya yandi kuwaka yo, bau kwendaka ye simbaka yandi, kadi bau tubaka: Yandi imene kulauka.
MRK.3.22	Bansoniki ya kulumukaka tuka Yelusalemi tubaka: Yandi ikele na Belesbuli, ye na nkuluntu ya bampeve mbi, yandi ikele kubasisa bampeve mbi. 
MRK.3.23	Yandi bingaka bau kwa yandi, ye tubaka kwa bau mu bingana: Mpila nki Satana lenda kubasisa Satana ?
MRK.3.24	Kana kimfumu kabana, kimfumu yina lenda kuvanda ve.
MRK.3.25	Kana nzo kabana, nzo yina lenda kuvanda ve.
MRK.3.26	Kana Satana dinwanisaka yandi kibeni, yandi ikele kudikaba, yandi lenda ve kutelema, mambu ya yandi tamana.
MRK.3.27	Muntu lenda ve kukota mu nzo ya muntu ya ngolo sambu na kubotula bima ya yandi, bu yandi kanga ntete ve muntu ya ngolo; buna yandi tabotula bima ya nzo ya yandi.
MRK.3.28	Kieleka, mono tuba kwa beno: Masumu yonso tavidiswa kwa bana ya bantu, ye kutuba mbi yonso konso ya bau tatuba mbi. 
MRK.3.29	Kansi konsonani ya tatuba mbi sambu na Mpeve Yanlongo yandi tabaka ve mvidisilu ya masumu mvu ya mvu, kansi yandi imene kubaka nkanu ya masumu ya mvu ya mvu.
MRK.3.30	Sambu na bau tubaka: Yandi ikele na mpeve ya sumuka.
MRK.3.31	Ngudi ya yandi ye bampangi ya yandi kwizaka; bu bau telemaka nanganda, bau fidisaka kwa yandi, kubinga yandi. 
MRK.3.32	Kibuka ya vandaka na yandi ye zungaka yandi, tubaka kwa yandi: Tala, nanganda ngudi ya nge ye bampangi ya nge sosa nge.
MRK.3.33	Yandi vutulaka kwa bau, ye tubaka: Nani ikele ngudi ya mono ye bampangi ya mono ?
MRK.3.34	Bu yandi talaka bau ya vandaka ye zungaka yandi, yandi tubaka: Tala, ngudi ya mono ye bampangi ya mono!
MRK.3.35	Kadi konsonani ya sala luzolo ya Nzambi, yandi ikele mpangi bakala ya mono ye mpangi nkento ya mono ye ngudi ya mono.
MRK.4.1	Yandi yantikaka kulonga diaka va mukidi ya mbu. Ye kibuka ya nene mingi kutakanaka kwa yandi, sambu na yai yandi kotaka ye vandaka mu bota va mbu; kibuka yonso vandaka va mukidi ya mbu. 
MRK.4.2	Yandi longaka bau mambu mingi mu bingana, ye yandi tubaka kwa bau mu malongi ya yandi:
MRK.4.3	Beno kuwa, Tala, mukuni kwendaka kukuna.
MRK.4.4	Yo vandaka mpilayai, bu yandi imene kukuna, yankaka kubwaka mfinama na nzila, bandeke ya zulu kwizaka kudia yau.
MRK.4.5	Yankaka kubwaka va sika ya matadi, ya kondaka ntoto mingi, ye nswalu yau menaka, sambu na yau vandaka na ntoto nansi ve.
MRK.4.6	Kansi bu ntangu tombokaka, yau jikaka; sambu na yau kondaka mianzi, yau yumaka.
MRK.4.7	Yankaka kubwaka mu nsinga ya nsende, nsende kulaka, ye fietikisaka yau; ye yau yelaka mabundu ve.
MRK.4.8	Yankaka kubwaka va ntoto ya mbote, yau pesaka mabundu, yau menaka, yau kulaka; yau butaka mabundu, yankaka makumi tatu tatu, yankaka makumi sambanu sambanu, yankaka nkama nkama.
MRK.4.9	Yandi tubaka kwa bau: Konso muntu ya ikele na makutu, bika yandi kuwa.
MRK.4.10	Bu yandi vandaka yandi mosi kaka, bayina ya zungaka yandi sikamosi na banlonguki kumi ye zole yuvulaka yandi sambu na bingana yina. 
MRK.4.11	Yandi tubaka kwa bau: Yo ikele kupeswa kwa beno kuzaba mambu ya kinsweki ya kimfumu ya Nzambi, kansi kwa bayina ya ikele nanganda mambu yai yonso ikele kusalwa mu bingana;
MRK.4.12	bau ya tala, ikele kutala, kansi bau mona ve; ye bau ya kuwa ikele kuwa kansi bau zaba ve, keti bau tapindula diaka ye masumu ya bau vidiswa. 
MRK.4.13	Yandi tubaka kwa bau: Beno zaba ve kingana yai ? Mpila nki beno tazaba bingana yonso ?
MRK.4.14	Mukuni ikele kukuna mambu ya Nzambi:
MRK.4.15	Kansi bayai ikele bau mfinama na nzila: Sika mambu ya Nzambi kunwaka, bu bau kuwaka yau, nswalu Satana kwiza katula mambu ya Nzambi ya kunwaka mu bau.
MRK.4.16	Bau ya kunwaka na sika ya matadi ikele bayai: Bu bau kuwaka mambu ya Nzambi, nswalu bau bakaka yo mu kiese;
MRK.4.17	kansi mianzi ikele ve mu bau kibeni, kansi bau vandaka ntangu fioti, nanima bu mpasi ye nzomono kwizaka sambu na mambu ya Nzambi, nswalu bau kutasakuba.
MRK.4.18	Ye bau ya kunwaka mu nsinga ya nsende ikele bau ya kuwaka mambu ya Nzambi,
MRK.4.19	ye mabanza ya nsi yai, ye makusa ya kimvwama ye zola ya bima yankaka kukota, yau fietikisa mambu ya Nzambi ye yo konda mabundu. 
MRK.4.20	Ye bau ya kunwaka va ntoto ya mbote ikele bayai: Bau kuwaka mambu ya Nzambi ye bakaka yau ye butaka mabundu makumi tatu tatu, makumi sambanu sambanu, ye yankaka nkama nkama.
MRK.4.21	Yandi tubaka kwa bau: Mwinda ikele kunatwa ye tulwa nansi ya sanduku keti nansi ya mbeto ? Yo ikele kunatwa sambu na kutulwa va kilundilu ya mwinda ve ? 
MRK.4.22	Kima ya kinsweki ikele ve ya konda kuzabakana; kadi kima ikele kuswekwa mpe ve, kansi yo tamonika.
MRK.4.23	Kana muntu ikele na makutu, bika yandi kuwa.
MRK.4.24	Yandi tubaka kwa bau: Beno tomatala mambu ya beno ikele kuwa. Kitezo ya beno tatezila, yo tatezilwa kwa beno mpe, ye beno tapeswa yankaka va zulu na yina. 
MRK.4.25	Kadi konsonani ya ikele na bima, yandi tapeswa yankaka, ye konsonani ya ikele na bima ve, yandi tabotulwa yina ya ikele na yandi. 
MRK.4.26	Yandi tubaka: Kimfumu ya Nzambi ikele bonso muntu ya mwangisaka nkeni va ntoto;
MRK.4.27	yandi lalaka, yandi sikamaka mu mpimpa ye mwini, ye nkeni menaka, yau kulaka, mutindu nki yau kulaka yandi zaba ve.
MRK.4.28	Ntoto kibeni ikele kubuta mabundu: Ntete nsongi, nanima nsesa nanima nkeni ya imene kuyela mu nsesa.
MRK.4.29	Kansi bu nkeni imene kuyela, nswalu yandi fidisa bazengi, sambu na nsungi ya ngionzoko ya bilanga ikele mfinama. 
MRK.4.30	Yandi tubaka: Mpila nki beto tafwanikisa kimfumu ya Nzambi, keti mu kingana nki beto tatuba yo ?
MRK.4.31	Yo ikele mpilamosi nkeni ya mutade; bu yo kunwaka va ntoto, yo luta nkeni yonso fioti ya ikele va ntoto;
MRK.4.32	kansi bu yo kunwaka yo kulaka ye lutaka matiti yonso nene, yo ikele kubasisa mavala ya nene, na bandeke ya zulu lenda kulala mu kini ya yo.
MRK.4.33	Mu bingana ya mutindu yai yandi tubaka mambu kwa bau, bonso bau lenda kuwa. 
MRK.4.34	Yandi tubaka kwa bau mpamba ve, kansi mu bingana, bu bau vandaka mu kinsweki yandi tendulaka mambu yonso kwa banlonguki ya yandi.
MRK.4.35	Kilumbu yina bu nkokila kubwaka, yandi tubaka kwa bau: Biko beto sabuka ku simu. 
MRK.4.36	Bau sindikaka kibuka ye bau kwendaka na yandi mu bota, bonso yandi vandaka, kansi babota yankaka mpe kwendaka sikamosi na yandi.
MRK.4.37	Kitembo ya ngolo ya mupepe kwizaka, ye mayo kubwaka nakati ya bota, bota zolaka kufuluka na masa.
MRK.4.38	Yandi kibeni lalaka va cousin nansi ya bota. Bau sikimisaka yandi, bau tubaka kwa yandi: Nlongi yo ikele mambu ve kana beto kufwa ?
MRK.4.39	Yandi telemaka ye sembaka mupepe ye tubaka kwa mbu: Bika, vanda napi. Ye mupepe bikaka, sika yina vandaka napi mingi.
MRK.4.40	Yandi tubaka kwa bau: Sambu na nki beno ikele na boma mpilayai ? Beno ikele na lukwikilu ve ?
MRK.4.41	Bau vandaka na boma mingi, bau tubanaka: Buna yandi yai ikele nani, mupepe ye mbu ikele kulemvuka yandi ?
MRK.5.1	Bau kumaka ku simu ya mbu, ku ntoto ya bantu ya Ngelasa. 
MRK.5.2	Bu yandi basikaka na bota, nswalu muntu kutakanaka na yandi, ya basikaka na bandiamu, ya vandaka na mpeve ya sumuka.
MRK.5.3	Yandi vandaka ntangu yonso mu bandiamu, muntu lendaka kukanga yandi ve na minyololo.
MRK.5.4	Sambu na yandi kangwa mbala mingi na mbienga ye minyololo, kansi yandi zengaka minyololo ye yandi pasulaka mbienga mu bitini, yandi lendaka ve kulemvuka kwa muntu.
MRK.5.5	Bilumbu yonso mpimpa ye mwini yandi vandaka mu bandiamu ye bamongo, yandi bokaka ye dilwadisaka na matadi.
MRK.5.6	Kansi bu yandi monaka Yesu ntama, yandi kwendaka ntinu, ye sambilaka yandi,
MRK.5.7	Yandi bokaka mu ndinga ya nene ye tubaka: Nki mambu beto ikele na nge ? Nge Mwana ya Nzambi Mpungu, Mono bombidila nge mu nkumbu ya Nzambi, monisa mono mpasi ve.
MRK.5.8	Kadi yandi tubaka kwa yandi: Nge mpeve ya sumuka, basika na muntu yai.
MRK.5.9	Yandi yuvulaka yandi: Nkumbu ya nge nani ? Yandi vutulaka ye tubaka kwa yandi: Nkumbu ya mono ikele Lengio, kadi beto ikele mingi.
MRK.5.10	Yandi bombidilaka Yesu mingi na yandi tabasisa bau ve mu ntoto yina.
MRK.5.11	Kansi kuna va mongo vandaka kibuka ya nene ya bangulu, bau vandaka kudia.
