MAT.1.1	ایسّا مَسیه، 
MRK.12.27	بزان آ، مُردگانی هُدا نه‌اِنت، زندگێنانی هُدا اِنت. شما باز رَد وارتگ.»
MRK.12.28	چه 
MRK.12.29	ایسّایا پَسّئو دات: «
MRK.12.31	دومی هُکم اِش اِنت: 
MRK.12.32	گڑا، شَریَتئے زانۆگرا گوَشت: «او استاد! تئو سکّ راست و شَرّ گوَشت، په راستی که هُدا یکّے و اَبێد چه آییا، هُدایے نێست. 
MRK.12.33	آییا په دل، گۆن سجّهێن پَهم و پِگر و سرجمێن وس و واکا دۆست دارگ و همساهگا وتی جندئے پئیما مِهر کنگ چه سجّهێن هئیراتیێن 
MRK.12.34	وهدے ایسّایا دیست آییا داناێن پَسّئوے دات، گوَشتی: «تئو چه 
MRK.12.35	وهدے ایسّایا، 
MRK.12.36	 وت چه 
MRK.12.37	«اگن داوودئے جند، 
MRK.12.38	پدا، ایسّایا وتی سر و سۆجانی تها گوَشت: «چه 
MRK.12.39	 شرترێن جاهان گچێنَ کننت و مهمانیان، ائولی رِدئے نندگِش پسند اِنت. 
MRK.12.40	جنۆزامانی لۆگان گۆن مالواریا برنت و په پێش دارگا وتی دْوا و سَنایان دراجکَشَّ کننت. اِشان سکترێن سِزا و پدمُزَّ رسیت.»
MRK.12.41	ایسّا، 
MRK.12.42	گڑا، گریب و بێوسێن جنۆزامے آتک و دو پئیسهی
MRK.12.43	نون ایسّایا مرید وتی کِرّا لۆٹتنت و گوَشتی: «شمارا راستێنَ گوَشان، اے بێوسێن جنۆزاما چه آ سجّهێنان گێشتر زرّ پێتیا مان کرت. 
MRK.12.44	چیا که آ دگران چه وتی گێشێن مالا چیزُکے دات، بله اے جنۆزاما، گۆن وتی نێزگاری و گریبیا، هرچے که آییا هست‌اَت داتی، بزان وتی سجّهێن بُنمال.»
MRK.13.1	وهدے ایسّا چه 
MRK.13.2	ایسّایا پَسّئو دات: «اے ڈئولدارێن لۆگ و ماڑیانَ گندئے؟ چه اِشان یک سِنگے هم دومی سِنگئے سرا نمانیت، سجّهێنانَ پْرۆشنت و کرۆجنت.»
MRK.13.3	وهدے ایسّا 
MRK.13.4	«مارا بگوَش، بارێن، اے پرُشت و پرۆش کدێنَ بیت و اِشیئے نزّیک بئیگئے نشانی چی اِنت؟» 
MRK.13.5	ایسّایا هبر بُنگێج کرت و گوَشتنت: «هُژّار بێت، کَسے شمارا گُمراه مکنت. 
MRK.13.6	بازێنے په منی ناما کئیت و گوَشیت: ‹من هما آن› و بازێنێا گُمراهَ کنت. 
MRK.13.7	وهدے جنْگانی کوکّارا اِشکنێت و آیانی هال و هبر شمئے گۆشانَ کپیت، متُرسێت و پرێشان مبێت. اَلَّم اے ڈئولا بیت، بله اَنگت هلاسیئے وهد نئیاتکگ و په سر نرَستگ. 
MRK.13.8	یک کئومے دگه کئومێئے سرا و یک هکومتے دگه هکومتێئے سرا پادَ کئیت. بازێن مُلک و جاگهان زلزله و زمین‌چَنڈَ بیت و ڈُکّال و کَهتَ کپیت. اے، تهنا زَنک و زایگئے دردانی بُنگێج و شروهات اَنت.
MRK.13.9	«هُژّار بێت! شمارا هَکدیوانانی
MRK.13.10	بله پێسرا باید اِنت که منی وشّێن 
MRK.13.11	هروهد که شمارا گرنت و هَکدیوانانَ برنت، چه پێشا پرێشان مبێت که: ‹ما چے بگوَشێن.› آ وهدا، هر چیزے که شمارا سۆج دئیگ و رسێنگَ بیت، هماییا بگوَشێت. چیا که گوَشۆک شما نه‌اێت، 
MRK.13.12	برات وتی براتا درۆهیت و کۆشارێنیت و پت وتی چُکّا، چُکّ چه وتی پت و ماتا یاگیَ بنت و آیانَ کۆشارێننت. 
MRK.13.13	سجّهێن مردم، په منی نامئیگی چه شما نَپرتَ کننت. بله هما که تان آهِرا سکّیانَ سگّیت، آ رَکّیت.
MRK.13.14	«وهدے شما آ ‹
MRK.13.15	آ که بان و بادگیرئے سرا اِنت په چیزێئے زورگا جَهلا اێر مکپیت و لۆگا مرئوت و 
MRK.13.16	آ که ڈگارانی سرا کِشت و کِشارا اِنت، وتی کباهئے زورگا پِر مترّیت. 
MRK.13.17	آ رۆچان، اَپسۆز په لاپ‌پُرّ و چُک‌ماتێن جنێنان. 
MRK.13.18	دْوا بکنێت که شمئے تچگ و در رئوگ، زمستانا مبیت. 
MRK.13.19	چیا که هما رۆچان، اَنچێن سکّی و سۆریے کپیت که آییئے مِسال، چه هما رۆچا که هُدایا جهان جۆڑێنتگ تان اے وهدا نئیاتکگ و هچبر هم نئیئیت. 
MRK.13.20	اگن 
MRK.13.21	آ وهدا، اگن کَسے شمارا بگوَشیت: ‹بچار، 
MRK.13.22	چیا که درۆگێن مَسیه و درۆگێن نبی جاهَ جننت و نشانی و اَجِکّایی پێشَ دارنت. وتی سجّهێن زۆرا جننت که گچێن کرتگێنان هم گُمراه بکننت. 
MRK.13.23	نون شَرّ هۆش و سار کنێت، چیا که اے سجّهێن جاورانی بئیگا پێسر من شمارا هال داتگ.
MRK.13.24	«آ رۆچان، چه اے سکّی و سۆریان و رَند، رۆچ تهارَ بیت، ماهَ ندْرپشیت
MRK.13.25	اِستار هم چه آسمانا کپنت و آسمانی زۆر و واک لَرزێنگ و جُلگُمێنگَ
MRK.13.26	آ وهدا، مردم 
MRK.13.27	گڑا 
MRK.13.28	«نون چه اِنجیرئے درچکا درس و سَبک بگرێت. انچُش که آییئے ٹال نرمَ بنت و تاکَ تْرکّنت، گڑا زانێت که گرماگئے مۆسم نزّیک اِنت. 
MRK.13.29	همے ڈئولا، وهدے اے چیزانَ گندێت، وتَ زانێت که منی آیگئے وهد نزّیک اِنت و دروازگئے دپا رستگان. 
MRK.13.30	شمارا راستێنَ گوَشان، تان اے سجّهێن جاور مئیاینت اے نَسل و پدرێچ، هلاسَ نبیت. 
MRK.13.31	زمین و آسمان گارَ بنت، بله منی هبر هچبر گار و زیانَ نبنت. 
MRK.13.32	هچکَسَ نزانت که آ رۆچ و ساهت کدێن سرَ رَسیت، نه آسمانئے 
MRK.13.33	«تئیار و هُژّار بێت! چیا که نزانێت آ وهد و دمان کدێنَ کئیت. 
MRK.13.34	منی پِر ترّگئے مِسال، همے ڈئولا اِنت که مردے دور و دْراجێن سپرێا برئوت، رُکست کنگئے وهدا، سجّهێن هِزمتکارانی کار و باران سر و سۆج بکنت و نِگهپانا هُکم بدنت: ‹سار و هُژّار بئے!› 
MRK.13.35	شما نزانێت که لۆگئے هُدابُند کجام رۆچ و چِه وهدا کئیت؛ بێگاها، شپنێما، بامگواها یا سباهئے وهد و جاورا؟ پمێشکا سار و هُژّار بێت. 
MRK.13.36	چُش مبیت که هُدابُند اَناگت
MRK.13.37	انچُش که من شمارا گوَشگا آن، سجّهێنانَ گوَشان: هُژّار بێت!»
MRK.14.2	بله گوَشتِش: «اییدئے رۆچان نه، چُش مبیت که مردم آشۆپ بکننت.»
MRK.14.3	ایسّا، بئیت‌اَنیایا هما شَمونئے لۆگا مهمان اَت که چه جُزامئے نادْراهیا دْراه بوتگ‌اَت. همۆدا، یک جنێنے گۆن سِنگ‌مَرمَرێن اَتردانێا ایسّائے گوَرا آتک، اَتردانا سُمبلئے
MRK.14.4	اۆدا، لهتێن نِشتگێن مردم چه اے کارا وتی دلا نئوَشّ بوت و گوَشتِش: «چیا اے اَتر زئوال کنگ بوت؟ 
MRK.14.5	اے اَتر، چه سێسَد دینارا گێشترا بها بوتگ‌اَت و زرّ، گریب و نێزگاران دئیگ بوتگ‌اتنت.» پمێشکا، نون آ جنێنا مئیاریگ کنگا اتنت. 
MRK.14.6	بله ایسّایا گوَشت: «بِلّێتی، شما په چے اِشیا رَنجێنگا اێت؟ اے جنێنا گۆن من نێکیے کرتگ. 
MRK.14.7	گریب و نێزگار، مُدام شمئے کرّا هست و شما هروهد که بلۆٹێت گۆن آیان نێکی کرتَ کنێت، بله من هروهد گۆن شما گۆن نه‌آن. 
MRK.14.8	آییا په منی کبر کنگئے تئیاریا، وتی هِزمت سرجم کرت و منی سرا اَتر چَنڈت. 
MRK.14.9	شمارا راستێنَ گوَشان، سجّهێن 
MRK.14.10	یَهودا اِسْکَریوتی، که چه ایسّائے دوازدهێن مریدان یکّے اَت، مزنێن دینی پێشوایانی کِرّا شت تانکه ایسّایا بدرۆهیت و آیانی دستا بدنت. 
MRK.14.11	آ چه یَهودائے هبرئے اِشکنگا باز وشّ بوتنت و لبزِش کرت آییا چیزے زَرّ بدئینت. نون، یَهودا گوَم و گێگێن وهد و مۆهێئے شۆهازا اَت که ایسّایا آیانی دستا بدنت.
MRK.14.13	گڑا، ایسّایا چه مریدان دو کَس دێم دات و گوَشتی: «شهرا برئوێت، اۆدا مردے گندێت که آپی کونزگے گۆن اِنتی، آییئے رَندا برئوێت. 
MRK.14.14	هما لۆگا که آ رئوت، شما هم برئوێت و لۆگئے واهندا بگوَشێت: ‹استاد جُستَ کنت: مهمانهانه کجا اِنت که من گۆن وتی مریدان سَرگوَزئے شاما همۆدا بوَران؟› 
MRK.14.15	آ مرد، شمارا وتی لۆگئے سَربُرا، پْراهێن بان و دیوانجاهے پێشَ داریت که اۆدا هر چیز هست و تئیار اِنت، شامئے تئیاریا همۆدا بکنێت.» 
MRK.14.16	دوێن مرید شت و شهرا رَستنت. اۆدا، آیان هر چیز هما پئیما دیست که ایسّایا گوَشتگ‌اَت. سَرگوَزئے شامِش همۆدا تئیار کرت.
MRK.14.17	بێگاه که بوت، ایسّا گۆن دوازدهێن مریدان همۆدا آتک. 
MRK.14.18	وهدے پَرزۆنَگئے سرا نِشتگ‌اتنت و شام ورگا اتنت، گوَشتی: «باور کنێت، چه شما یکّے که انّون گۆن من نِشتگ و شام ورگا اِنت، منا دْرۆهیت و دژمنانی دستا دنت.» 
MRK.14.19	مرید پرێشان و دِلتپرکه
MRK.14.20	ایسّایا پَسّئو دات: «چه شما دوازدهێنان یکّے، هما که انّون گۆن من همکاسگ اِنت.» 
MRK.14.21	چیا که هما ڈئولا که نبیسگ بوتگ، 
MRK.14.22	وهدے شام ورگا اتنت، ایسّایا نَگنے زرت، شگری گپت، چُنڈ چُنڈ کرت و مریدانا داتی. گوَشتی: «بزورێت! اے منی جسم اِنت.» 
MRK.14.23	پدا جامے زرتی، هُدائے شگری گپت، مریدانا داتی و سجّهێنان چه آ جاما نۆشِت. 
MRK.14.24	نون گوَشتی: «اے منی نۆکێن اَهد و کَرارئے هۆن اِنت که په بازێنێا رێچگَ بیت. 
MRK.14.25	شمارا راستێنَ گوَشان، نون دگه برے انگورئے دَهل و سَمَرا ننۆشان تان هما رۆچا که 
MRK.14.26	هُدائے سِپَت و سَنایا
MRK.14.27	ایسّایا گۆن مریدان گوَشت: «شما سجّهێن ٹَگلَ ورێت و منا یلهَ کنێت. چیا که نبیسگ بوتگ: 
MRK.14.28	بله زندگ بئیگ و جاه جنَگا رَند، چه شما پێسر 
MRK.14.29	پِتْرُسا درّاێنت: «اگن سجّهێن ٹَگل بوَرنت و ترا یله بدئینت، من هچبر ٹَگلَ نئوَران.» 
MRK.14.30	ایسّایا گوَشت: «ترا راستێنَ گوَشان، همے مرۆچی، هئو اِنشپی، تئو، تئیی جند، چه کرۆسئے دومی بانگا پێسر، منی پَجّاه آرگا سئے رَندا اِنکارَ کنئے و نمَنّئے.» 
MRK.14.31	پِتْرُسا په دلجمی گوَشت: «اگن گۆن تئو منی سر هم برئوت، چه تئیی پَجّارا هچبرَ نبجّان.» اے دگه سجّهێن مریدان هم انچُش گوَشت.
MRK.14.32	ایسّا و آییئے مرید، جِتسیمانی نامێن جاگهێا شتنت. گۆن آیان گوَشتی: «همِدا بدارێت، منَ رئوان و دْوا کنان.» 
MRK.14.33	پِتْرُس، آکوب و یوهَنّایی وتی همراه کرتنت. اَناگت، یک مزنێن اندۆه و بێتاهیریے
MRK.14.34	گۆن آیان گوَشتی: «سکّ پرێشان آن، گَم و اَندۆهان منا مَرکیگ کرتگ، شما اِدا بدارێت، مئوپسێت و آگاه و هُژّار بێت.» 
MRK.14.35	چه اۆدا کمّے دێمترا شت، دێم په چێر کپت و دْوا کنان گوَشتی: «او منی پت! اگن بوتَ کنت، اے سکّێن ساهتا چه منی سرا بٹَگلێن.» 
MRK.14.36	پدا گوَشتی: «ابّا، او منی پت! تئیی دستا هر چیز بوتَ کنت، اے سکّیانی جام و پیالها چه من دور کن و بٹَگلێن. بله آ ڈئولا نه که منَ لۆٹان، هما ڈئولا که تئو لۆٹئے.» 
MRK.14.37	وهدے ایسّا پِر ترّت، دیستی که آ واب اَنت. گڑا گۆن شَمون پِتْرُسا گوَشتی: «شَمون! واب ائے؟ نبوت یک ساهتے هم آگاه بمانئے؟ 
MRK.14.38	هُژّار بێت و دْوا کنێت تانکه آزمایش و چَکّاسا مکپێت. روه، تئیار و مُرادیگ اِنت، بله جسم نِزۆر و ناتوان.» 
MRK.14.39	یک برے پدا په دْوا کنگا شت و هما دْوایی کرت. 
MRK.14.40	وهدے پِر ترّت، دیستی پدا واب اَنت. آیانی چمّ رُهێزگ و وابێنگ اتنت و نزانتِش آییا چے پَسّئو بدئینت. 
MRK.14.41	سئیمی رَندا، پدا مریدانی کِرّا آتک و گوَشتی: «اَنگت هم وپتگ و آرام کنگا اێت؟ بَسّ اِنت! آ وهد و ساهت رَستگ. نون 
MRK.14.42	پاد آێت برئوێن! آ که منا درۆهیت، پێداک اِنت.»
MRK.14.43	ایسّا اَنگت هبرا اَت که چه دوازدهێن مریدان یکّے، بزان یَهودا، آتک و رَست. آییا رُمبے مردم همراه اَت که زَهم و لَٹِّش گۆن اَت. اے رُمب، چه مزنێن دینی پێشوا، 
MRK.14.44	یَهودایا آیانا اے نشانی داتگ‌اَت: «هماییا که منَ چُکّان، ایسّا هما اِنت. آییا دَزگیر کنێت و گۆن مُهر و مُهکمێن نِگهپانیے ببرێت.»
MRK.14.45	گڑا، یَهودا تچکاتچک ایسّائے کِرّا آتک و گوَشتی: «او استاد!» رَندا، ایسّایی چُکِّت. 
MRK.14.46	یَهودائے همراهان ایسّا گپت و دَزگیر کرت. 
MRK.14.47	چه ایسّائے همراهان یکّێا وتی زَهم کَشّت و 
MRK.14.48	ایسّایا گۆن هما مردمان که آییئے دَزگیر کنگا آتکگ‌اتنت، گوَشت: «زانا، من یاگی و رهزنے آن که گۆن زَهم و لَٹّان په منی گِرگا آتکگێت؟ 
MRK.14.49	من هر رۆچ، شمئے دێما 
MRK.14.50	آ وهدی، مریدان آ یله دات و جِستنت. 
MRK.14.51	ورنایے که جامگے گوَرا اَتی و بسّ، ایسّائے رَندا گۆن کپت، آاِش هم گپت. 
MRK.14.52	بله دَزگیر کنگئے وهدا، آییئے جامگ لَکُشت و جاندَرا تتک.
MRK.14.53	ایسّائے دَزگیر کنۆکان، ایسّا زرت و 
MRK.14.54	پِتْرُس هم دور دورا ایسّائے رَندا رئوان اَت، مسترێن دینی پێشوائے لۆگئے پێشجاها پُترت و گۆن هِزمتکاران آسئے کرّا نِشت و دستانی تاپگا لگّت. 
MRK.14.55	مزنێن دینی پێشوا و سرۆکانی دیوانئے سجّهێن باسک،
MRK.14.56	بازێنێا، درۆگێن شاهدی دات، بله آیانی هبر گۆن یکدومیا یکّ و همدَپ نه‌اتنت. 
MRK.14.57	دگه لهتێن، په درۆگێن شاهدی دئیگا پاد آتک و گوَشتِش: 
MRK.14.58	«ما اِشکتگ که اے مردا گوَشتگ: ‹من انسانئے اڈّ کرتگێن اے 
MRK.14.59	بله آ شاهدانی هبر هم یک ڈئولا نه‌اتنت. 
MRK.14.60	مسترێن دینی پێشوا پاد آتک و سجّهێنانی دێما چه ایسّایا جُستی کرت: «تئیی بارئوا چۆنێن شاهدی دئیگا اَنت؟ اِشانی هچ پَسّئوَ ندئیئے؟» 
MRK.14.61	بله ایسّا بێتئوار اَت و هچ پَسّئوے نداتی. مسترێن دینی پێشوایا پدا چه آییا جُست کرت و گوَشتی: «بارێن، تئو هما 
MRK.14.62	ایسّایا پَسّئو دات: 
MRK.14.63	مسترێن دینی پێشوایا وتی گوَرئے جامگ دِرت و گوَشتی: «اَنگت هم مارا شاهد پکار اِنت؟ 
MRK.14.64	شما وت اِشیئے کُپر اِشکت. نون شمئے شئور و سَلاه چی اِنت؟» سجّهێنان درّاێنت: «اِشیئے سِزا مَرک اِنت.» 
MRK.14.65	چه آیان لهتێنا، ایسّائے دێما تُه کرت،
MRK.14.66	آ وهدا که پِتْرُس، جَهلا، پێشجاها نِشتگ‌اَت، چه 
MRK.14.67	پِتْرُسی دیست که آسئے دێما نِشتگ و وتا گرم کنگا اِنت. آییئے نێمگا رُگورُگو چارت و گوَشتی: «تئو هم ایسّا ناسِریئے همراه بوتگئے!» 
MRK.14.68	بله آییا نمَنِّت و گوَشتی: «نه، منَ نزانان و سرپدَ نبان که تئو چے گوَشگا ائے.» گۆن اے هبرا، دێم په دروازگا رهادگ بوت. همے دمان و درگتا، کرۆسا بانگ سر دات. 
MRK.14.69	آ مۆلدا یک برے پدا پِتْرُس دیست و گۆن آیان که اۆدا اۆشتاتگ‌اتنت، گوَشتی: «اے مرد هم چه همایان اِنت!» 
MRK.14.70	بله پِتْرُسا پدا نمَنِّت. کمّے رَندترا، آ که اۆدا اۆشتاتگ‌اتنت، پدا گۆن پِتْرُسا گوَشتِش: «اَلّما تئو چه همایان ائے، چیا که تئو هم 
MRK.14.71	بله پِتْرُسا سئوگند وارت و گوَشت: «منی سرا هُدائے نالَت بات اگن درۆگ ببندان. اے مردا که شما گوَشێت، منَ نزانان.» 
MRK.14.72	همے درگتا، کرۆسا دومی بانگ سر دات. نون پِتْرُس، ایسّائے هما هبرئے یات و تْرانگا کپت که گوَشتگ‌اَتی: «چه کرۆسئے دومی بانگا پێسر، سئے رَندا منی پَجّاه آرگا اِنکارَ کنئے.» نون دلرنج بوت و سکّ گرێتی.
MRK.15.1	سَباها پَگّاه،
MRK.15.2	پیلاتوسا چه آییا جُست کرت: «تئو یَهودیانی بادشاه ائے؟» ایسّایا پَسّئو دات: «تئو وت گوَشگا ائے.» 
MRK.15.3	مزنێن دینی پێشوا آییئے سرا بازێن بُهتام جنَگا اتنت. 
MRK.15.4	پیلاتوسا پدا جُست کرت: «په چے پَسّئوَ ندئیئے؟ بچار تئیی سرا چینچُک بِڈّ و بُهتام جنَگا اَنت.» 
MRK.15.5	ایسّایا هچ پَسّئو ندات. پیلاتوس هئیران مَنت.
MRK.15.6	پیلاتوسا، هر سال اییدئے وهدا، چه یَهودی بندیگان یکّے، هما که مردمان بلۆٹتێن، آزاتَ کرت. 
MRK.15.7	بندیگانی تها باراباس نامێن مردے هست‌اَت. گۆن هما آشۆپیان گِرگ بوتگ‌اَت که شۆرشے وهدا هۆن و کۆشِش کرتگ‌اَت. 
MRK.15.8	مهلوک، پیلاتوسئے کِرّا آتک، دَزبندی‌اِش کرت و گوَشتِش: «هر دابا که گوَستگێن سالانِت کرتگ، اِمبری هم هما دابا بکن.» 
MRK.15.9	 جُست کرت: «لۆٹێت یَهودیانی بادشاها په شما آزات بکنان؟» 
MRK.15.10	آییا زانتگ‌اَت که دینی پێشوایان، ایسّا په هَسَدّ و کُنّت آییئے دستا داتگ. پمێشکا چُش گوَشتی. 
MRK.15.11	بله دینی پێشوایان مردم شۆرێنت و آشُپێنتنت
MRK.15.12	پیلاتوسا پدا جُست کرت: «گڑا اے مردا که شما آییا یَهودیانی بادشاهَ گوَشێت، چۆن کنان؟» 
MRK.15.13	مردمان کوکّار کرت: «
MRK.15.14	پیلاتوسا جُست کرت: «چیا بارێن؟ مئیاری چی اِنت؟» بله آیان گێشتر کوکّار کرت: «سَلیبی کَشّ!» 
MRK.15.15	گڑا پیلاتوسا که لۆٹت مردمان چه وت رزا بکنت، باراباس آزات کرت و ایسّا، شلّاک جناێنت و داتی که آییا سَلیبئے سرا بدرنجنت.
MRK.15.16	سپاهیگان، ایسّا والیئے کۆٹ و ماڑیئے پێشجاها برت و سپاهیگانی سجّهێن لشکر لۆٹت و مُچّ کرت. 
MRK.15.17	آیان، بادشاهی جَمورنگێن کَباهے ایسّائے گوَرا دات، چه ڈَنگر و کُنٹگان تاجے جۆڑێنت و آییئے سرا اێر کرت. 
MRK.15.18	گۆن کلاگ و ریشکندے، شرپ و اِزّت دات و گوَشتِش: «دْرود و دْرَهبات،
MRK.15.19	لَٹِّش سرا جت، دێما تُه کرت و سُجده‌اِش کرت. 
MRK.15.20	وهدے کلاگ و مَلنڈِش هلّێنت، گوَرئے جَمورنگێن کَباهِش کَشّت و آییئے جندئے گُدِش پدا گوَرا داتنت. رندا، دێم په 
MRK.15.21	هما وهدا، کِرینیئے شهرئے
MRK.15.22	آیان، ایسّا هما جاگها آورت که نامی «جُلْجُتا» بزان «کامپۆل» اِنت. 
MRK.15.23	گڑا، شرابِش 
MRK.15.24	نون سَلیبئے سرا دْرتکِش، پُچّ و پۆشاکِش وت‌مان‌وتا بهر کرتنت و پال جتِش که بارێن کئیا چے رسیت.
MRK.15.25	سُهبئے وهد اَت
MRK.15.26	مئیارنامگئے سرا په آییئے جُرم و مئیارا چُش نبشتگ‌اَت: «یَهودیانی بادشاه.» 
MRK.15.27	ایسّائے همراهیا دو یاگی و دُزِّش هم سَلیبئے سرا دْرتک، یکّے راستێن و دومی چَپّێن نێمگا. 
MRK.15.28	اے ڈئولا، پاکێن کتابئے هما پێشگۆیی سرجم بوت که گوَشیت: 
MRK.15.29	رهگوَزان دژمان دئیان، وتی سر چَنڈێنت و گوَشتِش: «او 
MRK.15.30	نون وتا برَکّێن و چه سَلیبا اێر آ!»
MRK.15.31	همے پئیما مزنێن دینی پێشوا و 
MRK.15.32	بِلّ که 
MRK.15.33	نێمرۆچا بگر تان بێگاهئے سئیا،
MRK.15.34	بێگاهئے ساهت سئیا،
MRK.15.35	اۆدا نزّیکا، لهتێن اۆشتاتگێن مردما وهدے اِشکت، گوَشتِش: «بچارێت، 
MRK.15.36	چه آیان یکّے تچانا شت، اِسْپنجے زرت و تْرُپشێن شرابا میسّێنتی. اِسْپنج، دارێئے سرا بست و په چوسّگا ایسّائے نێمگا شهارت و گوَشتی: «سَبر و ودار کنێت، بچارێن بارێن اِلیاس آییئے رَکّێنگا کئیت یا نه؟» 
MRK.15.37	گڑا، ایسّایا بُرزێن تئوارێا چیهال کَشّت و ساه دات. 
MRK.15.38	همے وهدا، 
MRK.15.39	هما پئوجی اَپسر که ایسّائے دێم په دێما اۆشتاتگ‌اَت، وهدے دیستی که آییا چۆنکا ساه دات، گڑا گوَشتی: «بێشکّ اے مرد 
MRK.15.40	لهتێن جنێن دور اۆشتاتگ و چارگا اَت، گۆن آیان، مَریم مَجْدَلیَه، کسانێن آکوب و یوشائے مات مَریم و سالومه گۆن اتنت. 
MRK.15.41	وهدے ایسّا 
MRK.15.42	آ رۆچ، جُمَهئے رۆچ اَت و مردم، په 
MRK.15.43	ایسُّپ نامێن مردے که اَریماتیائے شهرئے نندۆک اَت، سرۆکانی دیوانئے اِزَّتمندێن باسکے اَت و وت هم 
MRK.15.44	وهدے 
MRK.15.45	پئوجیانی مسترئے سجّهێن هال و هبرانی اِشکنگا رَند، ایسّائے جۆنئے برگئے اِجازتی دات. 
MRK.15.46	ایسُّپا، گُدے بها گپت و آورت، آییئے جۆن چه 
MRK.15.47	مَریم مَجْدَلیَه و یوشائے مات مَریم، هر دوێنان دیست که آاِش کجا کَلّ کرت.
MRK.16.1	وهدے 
MRK.16.2	یکشَمبِهئے
MRK.16.3	راها، وت‌مان‌وت هبر کنگا اتنت که: «بارێن، کَبرئے دَپئے ڈۆکا، کئے په ما لێٹێنیت و دورَ کنت؟» 
MRK.16.4	بله وهدے نزّیک رَستنت دیستِش ڈۆک، که سکّ مزن اَت، لێٹێنگ بوتگ. 
MRK.16.5	کَبرا که پُترتنت، دیستِش که راستێن نێمگا یک اِسپێت‌پۆشێن ورنایے نِشتگ. چه آییئے گِندگا، سکّ هئیران و هَبَکَّه منتنت. 
MRK.16.6	وَرنایا گوَشت: «متُرسێت، شما ایسّا ناسِریئے شۆهازا اێت که 
MRK.16.7	نون شما برئوێت، پِتْرُس و آ دگه مریدان سهیگ کنێت که ایسّا چه شما پێسر، 
MRK.16.8	جنێن در آتک و چه کَبرئے سرا جِستنت. آ چه تُرسا لَرزگ و درَهگا اتنت. پمێشکا، گۆن هچکَسا هبرِش نکرت.
MRK.16.9	یکشَمبِهئے سَباها ماهَلّه، چه وتی جاه جنَگا رَند، ایسّا چه سجّهێنان پێسر، مَریم مَجْدَلیَهئے دێما پَدّر بوت. اے هما مَریم اِنت که ایسّایا چه آییا هپت 
MRK.16.10	آ شت و ایسّائے گرێوان و پرێشانێن مریدی 
MRK.16.11	بله اے هبر که ایسّا زندگ بوتگ و مَریما دیستگ، آیان باور نکرت.
MRK.16.12	رَندا، ایسّا دگه شِکل و دْرۆشمێا، دو مریدئے دێما زاهر بوت که دێم په یک کلّگێا رئوگا اتنت. 
MRK.16.13	آ، پدا آتکنت و اے دگه مریدِش هال داتنت، بله آیان هم باور نکرت.
MRK.16.14	رَندا، آ وتی یازدهێن مریدانی دێما، هما وهدا آتک و زاهر بوت که آ وراک ورگا اتنت. ایسّایا، په آیانی کَمباوری و سِنگدلیا، آ مئیاریگ کرتنت چیا که آیان آ مردمانی هبر باور نکرتگ‌اَت که ایسّااِش چه جاه جنَگا رند دیستگ‌اَت. 
MRK.16.15	گۆن آیان گوَشتی: «شما 
MRK.16.16	هرکَس که منی سرا باورَ کنت و 
MRK.16.17	، اے نشانی گۆنَ بنت: منی نامئے سرا، 
MRK.16.18	ماران په دستَ گرنت و اگن زَهرناکێن چیز هم بوَرنت، آیان هچ پرواهَ نبیت. گۆن باورمندانی دست پِر مُشَگا، نادْراه وشّ و دْراهَ بنت.»
MRK.16.19	انچُش که 
MRK.16.20	مرید، په آییئے 
LUK.1.1+LUK.1.2+LUK.1.3	شرپدارێن واجه تیوپیلُس! اَنچێن سَرگوَست مئے نیاما
LUK.1.4	تان هَما تالیم که تئو گپتگ‌اَنت، آیانی راستیئے بارئوا تئیی باور مُهر و مُهکمتر ببیت.
LUK.1.6	آ، هر دوێن، هُدائے چمّ و نِزرا نێک و پهرێزکار اتنت و 
LUK.1.7	بله چُکِّش نێست‌اَت، چیا که اِلیزابِت سَنٹ و بێچُکّ اَت و دوێنانی اُمر هم مزن اَت.
LUK.1.8	یک رَندے که هِزمتکاریئے باریگ په زَکَریائے ٹۆلیا کپت و آ، هُدائے بارگاها دینی پێشوایی کنگا اَت، 
LUK.1.9	گۆن دینی پێشواییئے رهبندانی رَندگیریا، زَکَریا پالئے
LUK.1.10	وهدے زَکَریا سۆچُکی دوت دئیگا اَت، اے دگه سجّهێن مردم ڈنّا دْوا کنگا اتنت.
LUK.1.11	اَناگت،
LUK.1.12	گۆن پرێشتگئے گِندگا، زَکَریا بَه مَنت
LUK.1.13	بله پرێشتگا گۆن آییا گوَشت: «او زَکَریا! متُرس. تئیی دْوا مَنّگ بوت، تئیی جَن اِلیزابِت مردێن‌چُکّێئے سرا چِلّگَ بیت و باید اِنت تئو آییئے ناما یَهیا بکنئے. 
LUK.1.14	آ، په تئو شادهی و وشّیَ کاریت و چه آییئے بوتنا بازێنے هم شادانَ بیت، 
LUK.1.15	چیا که آ، هُداوندئے چمّا مزنێن مردمے بیت. نباید اِنت شراب و دگه هنۆش و بێسار کنۆکێن چیزان دپ پِر بکنت و بوارت. آ، ماتئے لاپا چه 
LUK.1.16	بازێن 
LUK.1.17	آ، گۆن 
LUK.1.18	زَکَریایا چه 
LUK.1.19	پرێشتگا پَسّئو
