MAT.1.1	Igioroni jio abuk ana afureta hohonyiok Yesu Kristo to woyo ba Dafide, lonyi Abramo.
MAT.13.23	Ati, enyomo hunne imohi 'to iboro hunno oyiji 'to arai isi ihuo aati hulle itaniŋuni 'to ekiana, ette imijana ojio anyio, ette isi ŋijana aaŋer, omuk esiha abotie, buo omuk atomuana ille, buo fe omuk atomuana hunihoi.”
MAT.13.24	Inyiak Yesu iramana jihosi obo etarriamai jiojio, “Ara Olobie ono Hollum ihua ana: Oyehi nyia obo atulo enyomo hunno oyiji imana honyi. 
MAT.13.25	Ati ninyia ajotoroi aati 'daŋ, ottu nyia obo amiottononi, ette iyehina alabali ihiji himma ette leten addi. 
MAT.13.26	Ninyia isuruni emma, itterie ossi hosi abuturi, attati alabali leyo. 
MAT.13.27	Ofuonni nyia egiamak honyi, ette jiaran jihonyi, ‘Lettok, oyiji nyia bu enyomo hunyia iyehi iyye, ottu ati alabali ana tai?’ 
MAT.13.28	Itarraŋ nyia inyi jiojio, ‘Obo amiottononi elle ihan 'to ariŋ ania.’ Buo isi ette ifiyo inyi jio, ‘Iwak iyye hohoi efuo irutoro alabali addi?’ 
MAT.13.29	Itarraŋ nyia inyi isi jiojio, ‘Obeŋ. Nyio, elle irutuna itai alabali, ŋadi irutuna iko emma. 
MAT.13.30	Ijiara alabali obolori arabotie iko emma 'daŋ many iholoŋ dioŋo. Attati ni iramana adioŋok oŋida orutuni alabali do addi, ette ititir isi, attati isuahina ihima; buo odioŋoni emma imugu hoŋ.’”
MAT.13.31	Inyiak Yesu iramana isi obo etarriamai onno ojio jio, “Ara Nolobie ettedou ihua ana: iduhu nyia obo atulo aŋerio cahai ette idulana imana honyi. 
MAT.13.32	Inyi aŋerio alla agalik 'to 'daŋ ta amutari, ati obolo ayyani honyi agalik 'daŋ. Alla abolo ayyani honyi, ofuonni aheny ette iduhonia asik hosi itanata honyi.”
MAT.13.33	Inyiak Yesu iramana isi obo etarriamai onno ojio jio, “Ara Nolobie ettedou ihua ana: iduhu nyia obo aŋotte olobou, ette icaŋana ihifua hunno oremehini ahiriehien hunihoi many odohuniere inyi 'daŋ dou.”
MAT.13.34	Iramio nyia Yesu erre huna 'daŋ jio eluluŋi waati te etarriamata. Obeŋ nyia inyi ikiana obo ariŋ arari fe te etarriamai. 
MAT.13.35	Ihanio nyia inyi ihuo nyia itasiruniere ekiana ninyia ojio ekianani Hollum jio,
MAT.13.35	“Ekiana adi ni jihosi te etarriamata;
MAT.13.35	Eramak adi ni jihosi erre hunno hobeŋi omijani many tetteri fau.”
MAT.13.36	Ninyia abusaru Yesu eluluŋ waati ette ijiŋana ihaji, ette lejifak honyi ikiana jihonyi jiojio, “Iramak hohoi awoyo hiram ono alabali otto tua mana.”
MAT.13.37	Itarraŋ nyia Yesu jiojio, “Lia ollo oyehi 'to enyomo hunno oyiji 'to inyi Lonyi Tulo. 
MAT.13.38	Amana inyi afau ana, buo enyomo hunno oyiji 'to isi aati hutto Lobie, buo alabali inyi aati hulo Olorroho. 
MAT.13.39	Buo amiottononi ollo oyehi 'to alabali inyi Sittan. Adioŋo inyi esidi ono aati hulo ahana, buo adioŋok isi ajilohien. 
MAT.13.40	Ihuo anna aharanyunierek alabali ette isuahina ihima, ara adi buo fe ihuo nyia isidi ono aati hulo ahana. 
MAT.13.41	Ifak adi Lonyi Tulo ajilohien honyi iyari addi to Lobie honyi arrohojak 'daŋ iko esusuak waati iyyauniere, 
MAT.13.42	ette ibironia isi ihima onno onok 'to bebe. Diya oyyooi adi isi buo fe oŋurutai aala hosi ta adiaha. 
MAT.13.43	Attati aati hulo Hollum faŋan Ilobie Monyosi ihuo oloŋ. Itayiriete yo, alla awoni ayyaha jihatai!
MAT.13.44	“Ara Nolobie ettedou ihua ana. Onyurak nyia obo atulo anyahuo idimani itua obo amana, ette inyiak inuhana. Omuno nyia inyi bebe, ette leten itinyiaŋara erre honyi 'daŋ, ette icaharu inyiaŋuniere amana ania.
MAT.13.45	“Ara buo fe Nolobie ettedou ihua ana. Ottittifiaru nyia obo apoconi asihira hunne ilamani 'to. 
MAT.13.46	Ninyia anyurak inyi obo enne ilaman 'to bebe, olo nyia inyi ette itinyiaŋana erre honyi 'daŋ inyiaŋuniere asihirati ania.
MAT.13.47	“Ara buo fe Nolobie ettedou ihuo ana. Oruaŋani nyia omuk ayafohok aboi hosi itua tafar enne ittokon, ette inefuna aham afacani gele gele. 
MAT.13.48	Ninyia ifut aboi, ipihuni nyia isi inyi ilotifor, ette itoŋo ifau, ette ihuhuronia aham hunno oyiji 'to itua afee, buo iruoŋori hunno orrohoji 'to addi. 
MAT.13.49	Ottu adi inyi irahan ihuo nyia jio esidi waati hula ahana. Ofuoi adi ajilohien igigialara addi arrohojak jio ayijok, 
MAT.13.50	ette ibironia isi ihima onno onok 'to bebe. Diya, oyyooi adi isi buo oŋurutai aala hosi.”
MAT.13.51	Ifiyo nyia Yesu isi jiojio, “Itaniŋuna itai erre hunia?”
MAT.13.51	Buo isi ette itarraŋ ojio, “Aafe.”
MAT.13.52	Attati inyi jiaran jihosi jio, “Itahutak ania jio, obo ettiyanani Ifahita elle ittiyanani Olobie ettedou, oso inyi ihuo amonye haŋ elle iduhu 'to erre aŋejuho iko erre amaruahi totua mugu honyi.”
MAT.13.53	Ninyia latuhok Yesu ekiana etarriamata hunia, idiaharu nyia inyi amaji ania, 
MAT.13.54	ette icaharu ibore gala hosi. Ittiyenio nyia inyi ihaji emojit, many illilliharik aati hunyia itaniŋuni 'to inyi, ette jiaran, “Orumak inyi olofioro hunia iko eduariti hunia 'daŋ ajia? 
MAT.13.55	Obiaŋara soho lonyi ahololoni olo? Obiaŋara soho honyonyi Maria? Obiaŋara soho illarak honyi bo Yakobo iko Yosefu buo Simone iko Yuda? 
MAT.13.56	Obeŋi soho haniyarak honyi 'daŋ amanyai dini? Onyurak inyi erre huna 'daŋ ajia?” 
MAT.13.57	Ania ette isi ihara inyi.
MAT.13.57	Attati Yesu jiaran jihosi jio, “Imasik 'daŋ, abaŋi aati ekianani Hollum arari fe aati hutto bore gala hosi iko hutta haŋ hosi hama.” 
MAT.13.58	Ittallik inyi ihanio eduariti arriai diya, nyio, obeŋ nyia eruk owon jihosi.
MAT.14.1	To oŋitek hua, itaniŋu nyia Erode, Elettok olo Galilea, eram ono ehanita Yesu, 
MAT.14.2	ette inyi iramana egiamak honyi jio, “Yoane Etifuotoni Batisimo alia luŋa. Itubuhuni inyi toye. Inyi anna awanari inyi iko agolon ihaniere eduariti.”
MAT.14.4	Nyio, iramak nyia Yoane inyi jio, “Obeŋ obis jihoi itadetuniere Erodias!” 
MAT.14.5	Awak nyia Erode ittohoro Yoane, ati abaŋ nyia inyi aati Yudei, nyio, iruhi nyia isi jio ara Yoane ahekianani Hollum.
MAT.14.6	Ohia nyia ŋarri Erodias ihosiere iluluŋ waati 'daŋ to ninyia awanari agari ta agiluna ono esiuna Erode. Omuno nyia Erode bebe 
MAT.14.7	many ocoroniere inyi jihonyi jio, “Ettuŋo ni jio, esio adi ni iyye ariŋ enne iwak iyye!”
MAT.14.8	Ihuo iramak honyonyi jihonyi, ette inyi jiaran jio Erode jio, “Esiarak ani ihuania ahou Yoane Etifuotoni Batisimo itua arrany ana.” 
MAT.14.9	Attati Hobu ijiriŋa, ati ihuo ittuŋo nyia inyi ihosiere tamonok honyi 'daŋ, ette inyi iramana oŋida ihani ihuo awak neto nyia. 
MAT.14.10	Ania, ette inyi ifahina aati ibabus iŋotuniere ahou Yoane, 
MAT.14.11	ette iyaŋuno ahou honyi itua 'rany, ette isiarana jio neto nyia, buo inyi ette iyaru jio honyonyi. 
MAT.14.12	Teya ofuonni nyia lejifak Yoane, ette iyaru ahuan honyi ette inuhana. Attati isi ifuatan iramana Yesu.
MAT.14.13	Ninyia itaniŋu Yesu eram ania, olo nyia inyi teya ta atogol jio obo amaji onno oyur 'to. Ati itayiruni nyia aati aleten honyi, ania, ette isi to borejin gala hosi ijifaru inyi te eejek. 
MAT.14.14	Ninyia afany inyi ilotifor, ette inyi igonyuna eluluŋ waati enne ittok, ette ataji honyi imehino jihosi, ette inyi itaŋida aŋuak hosi.
MAT.14.15	Nyia kekai, ofuonni nyia lejifak jihonyi, ette jiaran, “Oyur amaji ana buo fe attu attari. Itatturok eluluŋi waati hunia itua misihi, ijiara ofuoi inyiaŋuniere aŋiyo hosi.”
MAT.14.16	Itarraŋ nyia inyi isi ojio, “Hèlaha isi ofuoi obo amaji. Itai, ta ahuattek hatai, isiatta obo aŋiyo jihosi.” 
MAT.14.17	Oliahini nyia isi jihonyi jio, “Ewon hohoi iko emunio miyet buo aham arrihai ijiai.”
MAT.14.18	Attati inyi jiaran jihosi, “Iyaŋuniete isi jihoŋ dini.” 
MAT.14.19	Attati inyi iramana aati hétetoŋohi imiyaŋ, ette iduhuna emunio huna miyet buo aham hula arrihai, ette ibonno ahide idou, ette isio ahumo jio Hollum, ette ibibeny emunio hunia, ette ihiharana jio lejifak honyi; buo lejifak ette isiarana jio aati. 
MAT.14.20	Anyai nyia isi 'daŋ many ifuaŋarik. Attati lejifak ihuhuruna ofitot itua afeehien 'tomon harrihai 'daŋ 'lullur. 
MAT.14.21	Arai nyia aliawa hama hinyia oŋiyei 'to diya ihuo alif miyet (5,000), elle ebeŋ ehianak aŋoruo iko iŋiayai.
MAT.14.22	Attati Yesu itadahina lejifak itogol oŋida allaŋi to osiere honyi ifohor tole ono atafar enne ittok, buo inyi itatturok eluluŋ waati. 
MAT.14.23	Ninyia itatturok inyi eluluŋ waati, ette inyi leten idoŋe inyi hama imojori. Ninyia ara akekai arasa nyia Yesu diya hama. 
MAT.14.24	Ta asaa ania, alama nyia atogol bebe itua tafar. Itaburaŋio nyia apoŋia poŋia hari atogol ania, nyio, ohut nyia oloyyami bebe ajihonyi.
MAT.14.25	Ninyia iliaha ataŋatio motie, ette Yesu ittuna jio lejifak alla adahuno ta ahide hari. 
MAT.14.26	Ilafuhoi nyia isi bebe ninyia igonyuni isi inyi adahuno ta ahide hari, ette isi jiaran, “Etieŋ alia!” ette ituruho ta abaŋi. 
MAT.14.27	Teya teya, ette inyi ikiana jihosi ojio, “Itagoloto atajia hatai. Ani alia, hèbaŋata!”
MAT.14.28	Attati Petro jiaran jihonyi jio, “Lettok, alla ara iyye hode alia, iramak ani adahuno jihoi ta ahide hari.”
MAT.14.29	Teya, itarraŋ nyia Yesu inyi jiojio, “Waŋ!” Ania, ollu Petro to togol, ette idaharu jio Yesu ta ahide hari. 
MAT.14.30	Ati ninyia igonyu inyi oyyami ohut bebe, ette abaŋi inef inyi, ette inyi itterio adioro itua hari. Attati inyi iluaha, “Lettok, eluak ani!”
MAT.14.31	Teya Teya, ihalamak Yesu aani honyi, ette inef inyi, ette jiaran jihonyi, “Aii! Iyye ollo omuta eruk olo! Nyio ikuaya iyye?”
MAT.14.32	Ninyia adahini isi 'daŋ arrihai itogol, ette oyyami iwotia dee. 
MAT.14.33	Attati lejifak hutto tua togol itahabuyo Yesu, ette jiaran, “Hode, iyye Lonyi Hollum!”
MAT.14.34	Ninyia allaŋi isi afohor hari tole, ette isi ifanyan Genesaret. 
MAT.14.35	Ninyia aheruni aati huttono abore gala ania Yesu, ette isi itisarrahina eram jio afau ania 'daŋ jio, ijiara iyaŋunie aŋuak 'daŋ jihonyi. 
MAT.14.36	Attanai nyia isi inyi hataŋatak aŋuak hia ittiriere ara duadi bu esidi boŋo honyi; buo aati hinyia ottiri 'to aboŋo honyi ette iŋidari 'daŋ.
MAT.15.1	Attati omuk hulo 
MAT.15.2	“Nyio omesie lejifak hoi ettiyenita hohonyiok hohoi? Nyio oŋiyei isi hobeŋi ihumi ifinia!” 
MAT.15.3	Itarraŋ nyia Yesu isi jiojio, “Nyio ati imesiete itai efahita huno Hollum buo ijifatiete ettiyenita hatai? 
MAT.15.4	Nyio, iramak nyia Hollum jio, ‘Abaŋa monyohoi iko honyohoi,’ buo ‘Atulo elle ittarrohojio 'to afure monyonyi kuyya ono honyonyi, ijiara luŋa ottohori inyi.’ 
MAT.15.5	Ati ittiyeniete itai jio alla awon obo atulo iko obo ariŋ onno oremik inyi iluahiere monyonyi kuyya honyonyi, buo ojio jio, ‘Ara ana ahono Hollum,’ 
MAT.15.6	oremik inyi ibiaŋan ibaŋi monyonyi.
MAT.15.7	Itai etihanak huattek hulo! Ottenu nyiadi Isaya to ninyia ikianari inyi eram Hollum tetai jio,
MAT.15.9	Itahabuye isi nani obojiai,
MAT.15.9	nyio, ittiyenie isi efahita waati ihuo anna arai isi efahita hoŋ.’ ”
MAT.15.10	Attati Yesu iloŋuna eluluŋ waati, ette jiaran jihosi, “Itayiriete buo fe omijana jio, 
MAT.15.11	obiaŋara ariŋ onno ojiŋak 'to ihutuk tulo 
MAT.15.12	Attati lejifak honyi ifuanna, ette jiaran jihonyi, “Imijak soho iyye jio itiloŋoj ekiana hoi ania Farisei?”
MAT.15.13	Itarraŋ nyia inyi jiojio, “Orutori adi ayyani 'daŋ hunno obeŋ Monyoŋ ettedou idulak. 
MAT.15.14	Hèlafuhoti tesi! Arai isi aŋodok hullo orihotie 'to aŋodok. Alla arihotio oloŋodo obo oloŋodo, okuaharai adi isi 'daŋ itua iwure.”
MAT.15.15	Buo Petro ette jiaran jihonyi, “Itahutak hohoi ikiana etarriamai ania anyio.”
MAT.15.16	Buo Yesu ette jiaran jihosi, “Hèbiaŋata buo fe itai imijana ihuo hullomuk? 
MAT.15.17	Ibiaŋata itai imijana jio erre 'daŋ hunno ojiŋari 'to itua hutuk, ofuoi isi itua hohe ette ijiŋuna allet? 
MAT.15.18	Ati erre hunno ojiŋuni 'to to hutuk, obotuni isi many to taji. Isi hunia erre hunne itiboti 'to atulo. 
MAT.15.19	Nyio, totua taji tulo ofuonni egigilita hunno orrohoji 'to ihuo huna; attohoro tulo, aroto, erre somon, ahoho, agesemi, iko etarrohojio fureta waati. 
MAT.15.20	Isi erre hunia hunne itiboti 'to atulo, buo obiaŋara alla abeŋ atulo ihum ifinia iŋiyere ihuo ijiatta itai.”
MAT.15.21	Odioto nyia Yesu teya, ette leten ifau etteger borejin gala Taya iko Sidon. 
MAT.15.22	Attati obo aŋotte ono Kana ninyia amanya 'to jio aŋati ania ittuna jihonyi, ette jiaran, “Lettok, Lonyi Dafide, omehinie jihoŋ! Owon ŋarri hoŋ iko aminiaŋati arroho jihonyi bebe.”
MAT.15.23	Ati obeŋ nyia Yesu itarraŋak jihonyi obo ekiana. Attati lejifak honyi ifuanna jihonyi, ette ittana inyi jiojio, “Ifuhai aŋotte ania addi, nyio, ijifatio inyi hohoi buo iwuwoŋita.” 
MAT.15.24	Attati Yesu itarraŋ isi ojio, “Ifahuni ani jio akioro hunno olitohini 'to, isi aati Israele hama.”
MAT.15.25	Tonyia, origoŋo nyia aŋotte ania ihosiere honyi, ette jiaran, “Lettok, eluak ani!”
MAT.15.26	Buo Yesu ette itarraŋ ojio, “Obeŋ oyyu iruoŋoniere aŋiyo duri jio aŋohe.”
MAT.15.27	Buo aŋotte ania ette itarraŋ inyi ojio; “Lettok, ara ahode, ati, ihuhuroi aŋohe ara duadi bu aŋiyo onno oddoddou 'to to 'teremeja lamonye hosi.” 
MAT.15.28	Ania, ette Yesu jiaran jihonyi, “Haniye! Obolo eruk hoi bebe. Hétehaniehe jihoi ihuo iwak iyye” Teya teya, ette ŋarri aŋotte ania, ŋidari.
MAT.15.29	Teya, odioto nyia Yesu ette leten totto hutuk tafar Galilea, ette idahina ihide doŋe; ette iwoniara, 
MAT.15.30	ette eluluŋi waati arriai ifuanna jihonyi, hulle iyaŋunie aŋurak, aŋodok, elurok huattek, attuhok iko aŋuak hullomuk arriai, ette ihanana isi iger hejek Yesu; buo inyi ette itaŋida isi. 
MAT.15.31	Illillihai nyia aati ninyia igonyuni isi attuhok ikianai, adiotoi elurok, abisani aŋurak, buo fe aŋodok omijie, ette isi itahabuyo Hollum olo Israele.
MAT.15.32	Iloŋu nyia Yesu lejifak honyi, ette jiaran jihosi, “Omehino ataji hoŋ aati hulo, nyio, atuhi isi oŋitek hunihoi obeŋ obo ariŋ onno oŋiyei isi. Abeŋ ni awak itatturonia isi hullo oniamai, hèlaha ofuoi imohita ihiji ikoi alla acaharai miji.”
MAT.15.33	Ifiyei nyia lejifak inyi jiojio, “Erumak adi aŋiyo ajia, ihidiofo dini, onno oremik 'to itanya eluluŋ waati onno obolo 'to ana?”
MAT.15.34	Attati Yesu ifiyo isi jio, “Owoni emunio baya jihatai?”
MAT.15.34	Buo isi itarraŋi, “Emunio hattarik buo omuk aham kai hullo odihara.”
MAT.15.35	Ania, ette Yesu iramana eluluŋ waati ijiara owoniari ta fau. 
MAT.15.36	Attati inyi iduhuna emunio hattarik huna iko aham, ette isio ahumo jio Hollum, ette ibibeny isi. Attati isiarana jio lejifak honyi, buo lejifak ette ihiharana jio eluluŋ waati. 
MAT.15.37	Oŋiyei nyia isi 'daŋ many ifuaŋarik. Attati lejifak ihuhuruna ofitot itua afeehien hattarik 'daŋ lur lur. 
MAT.15.38	Arai nyia aliawa hinyia oŋiyei 'to alif aŋuan (4,000), elle ebeŋ ehianak aŋoruo iko iŋiayai.
MAT.15.39	Attati Yesu itatturonia eluluŋ waati, ette idahina itua togol, ette leten ifau Magadan.
MAT.16.2	Itarraŋ nyia inyi jiojio, “Elle iddorro oloŋ, ijiatta itai, ‘Afaŋ adi motie, nyio, odo edou ariet.’ 
MAT.16.3	Buo fe ta amotie hanyik berien, ijiatta itai, ‘Iliaha ahide sayo, nyio, odo edou buo fe iriok.’ Iremehina itai imijana erre ta amijio idou buo ittallihoto imijana etamijanita huno oŋitek huna! 
MAT.16.4	Orrohoji aati hula ahana buo fe obeŋi abaŋi Hollum. Nyio, awahi isi itahutani jihosi obo eduarit, ati obeŋi adi itahutani jihosi obo, arari fe eduarit ninyia ihani jio Yona.”
MAT.16.4	Ania, ette inyi idioto ette leten.
MAT.16.5	Ninyia allaŋari lejifak afohor tafar enne ittokon tole, oguoroi nyia isi iyari obo emune, 
MAT.16.6	ette Yesu jiaran jihosi, “Ihumata mijio olobou ono 
MAT.16.7	Ania, ette isi ikikiana isi hama jiojio, “Ikiana inyi ihuo nyia nyio, ebeŋ duo eyaŋuno obo emune.”
MAT.16.8	Ati omijak nyia Yesu ekiana hosi ania, ette inyi jiaran jihosi “Aii, itai aati hullo omuta eruk! Nyio ikikianati itai, itai hama ta abiaŋan obo emune? 
MAT.16.9	Hèbiaŋata itai imijana? Ibiaŋata itai igiluna ninyia etaŋiyere ni aati alif miyet (5,000) te emunio miyet? Itulluronia nyia itai afeehien omukajia? 
MAT.16.10	Buo te emunio hinyia hattarik, hunyia etaŋiyere ni aati alif aŋuan (4,000), itulluronia nyia itai afeehien omukajia? 
MAT.16.11	Aŋai to ibiaŋata itai imijana jio abeŋ ni ekiana jihatai te eram ono emune? Ihumata mijio olobou ono 
MAT.16.12	Attati isi imijana jio obeŋ duadi inyi ikiana jihosi te eram ono olobou ono emune. Ati asario duadi inyi isi te eram ono ettiyenita huno 
MAT.16.13	Ninyia afany Yesu iger ŋati bore gala Cesaria Filipi, ette inyi ifiyo lejifak honyi jio, “Ojiori aati Lonyi Tulo ŋai?”
MAT.16.15	Attati inyi ifiyo isi ojio, “Buo jihatai, ijiatta itai ani ŋai?”
MAT.16.17	Itarraŋ nyia Yesu inyi ette jiaran, “Hatawana amuno ikoye, Simone lonyi Yoane! Nyio, obiaŋara atulo itahutak iyye erre hunia, ati Monyoŋ ettedou itahutak iyye. 
MAT.16.18	Tania, eramak ni iyye Petro, ira iyye amoruo. Ihuo onno oduhonierek aaji ihide moruo, aduhok adi ni eluluŋ heruhok hoŋ jihoi. Ati ara duadi bu aye, ittallik adi inyi itattur isi. 
MAT.16.19	Esiarak adi ni iyye eŋanyiti huno olobie ettedou. Erre 'daŋ hunne itik iyye ta fau, itihi adi buo fe isi idou. Buo erre 'daŋ hunne iŋatak iyye ta fau, aŋatani adi buo fe isi idou.”
MAT.16.20	Attati inyi ihum iramana jio lejifak honyi hèlaha iramani obo atulo jio inyi 
MAT.16.21	Ta asaa nyia, itterio nyia Yesu ekiana jio lejifak honyi sar sar jio, “Alo ni luŋa Yerusalem irumaniere ettigemita jio lahou iko jio ehumak elettaha buo ettiyanak ifahita. Ottohori adi isi ani, ati itubuhuni adi ani ihalu oŋitek hunihoi.”
MAT.16.22	Iyaru nyia Petro inyi eger, ette iriŋ inyi, ette jiaran, “Lamonye, Hèlaha Hollum aŋatak erre hunia! Hèlaha luŋa erre hunia iduoŋi jihoi!”
MAT.16.23	Oyito nyia Yesu, ette jiaran jio Petro, “Sittan, ilo addi teger hoŋ! Itihotio iyye ekoi hoŋ, nyio, obiaŋara egigilo Hollum ottonohoi ania, ati ono aati.”
MAT.16.25	Nyio, alla awak obo atulo italuahuna esu honyi, italitohi adi inyi. Buo atulo elle italitohi 'to esu honyi te eram hoŋ, orumak adi inyi. 
MAT.16.26	Anyio yiji 'tadi inyi, alla anyurak obo atulo erre 'daŋ hutta fau buo italitohi esu honyi? Kuyya anyio riŋ adi onno oremik inyi isio inyiahuniere esu honyi? 
MAT.16.27	Nyio, ottu adi Lonyi Tulo iko ajilohien honyi ta akuatan ono Monyonyi. Ta asaa nyia oduma adi inyi aati 'daŋ te ehanita hosi. 
MAT.16.28	Eramak ni itai, hode hode, owoni omuk dini hullo obeŋi adi igonyuni aye many igonyunierek isi Lonyi Tulo ottu Ahobu.”
MAT.17.1	Ihalu oŋitek ille iyaru nyia Yesu; Petro, Yakobo iko illanyi Yoane, ette isi ifuatan isi hama ihide doŋe onno ohodo. 
MAT.17.2	Buo diya ihosiere hosi, iloito nyia omom Yesu onno olufa: ette omom honyi ipipiahi ihuo oloŋ, buo fe aboŋojin honyi ette pipiahi biny biny. 
MAT.17.3	Attati isi 'daŋ hunihoi igonyuna Mose iko Elija ikianai iko Yesu. 
MAT.17.4	Attati Petro jiaran jio Yesu, “Lamonye, oyyu jihohoi iwanari dini! Elle iwak iyye, aduhok adi ni aticio hunihoi; abotie jihoi, abotie jio Mose, buo fe abotie jio Elija.”
MAT.17.6	Ninyia itaniŋuni lejifak hulia ekiana ania, ette isi irruŋo ta abaŋi. 
MAT.17.7	Ati olo nyia Yesu jihosi, ette ittir isi, ette jiaran, “Odiototi, hèbaŋata!” 
MAT.17.8	Ninyia itadeti isi ossi hosi ahide, obeŋi nyia isi igonyuni obo atulo arari Yesu hama.
MAT.17.9	Ninyia isuruni isi to doŋe, ihum nyia Yesu iramana isi jio, “Hèramana aleyehino ania jio obo atulo many itubuhunierek Lonyi Tulo toye.”
MAT.17.10	Attati lejifak ifiyo inyi jiojio, “Nyioti ojiori ettiyanak ifahita jio oŋida Elija ottu do ahosiere?”
MAT.17.11	Itarraŋ nyia inyi isi jiojio, “Ottu adi Elija ahosiere, ihuhumaniere erre 'daŋ. 
MAT.17.12	Ati eramak ni itai jio, lattu nyia luŋa Elija, ati obeŋ nyia tulo inyi iruk. Ihanie nyia isi jihonyi ihuo awahi isi. Ihuo nyia buo fe ittigemie adi isi Lonyi Tulo.”
MAT.17.13	Attati lejifak imijana jio ikiana duadi inyi jihosi te eram ono Yoane etifuotoni batisimo.
MAT.17.14	Ninyia acohunie isi jio eluluŋ waati, ette obo atulo ittuna jio Yesu, ette irigoŋo ihosiere honyi, ette jiaran, 
MAT.17.15	“Lettok, omehinie jio lonyi hoŋ! Owon inyi iko aahue enne ittigemio 'to inyi bebe. Enyiahita arriai okuahitta inyi itua hima kuyya itua hari. 
MAT.17.16	Eyaŋuno duo ni inyi jio lejifak hoi, ati ittallihi isi itaŋida inyi.”
MAT.17.17	Buo Yesu ette itarraŋ jiojio, “Aii, itai aati hullo obeŋ eruk buo fe ipalata! Etoŋo adi ni ikatai many baya? Many baya adi adik ni itai? Iyaŋuniete leto alia dini!” 
MAT.17.18	Attati Yesu iŋerejanio jio aminiaŋati ania, buo aminiaŋati ania ette idehina leto alia. Teya teya, ette leto alia iŋidari.
MAT.17.19	Attati lejifak ifuanna jio Yesu isi hama, ette ifiyo inyi jiojio, “Nyio duati ettallik hohoi ifuhara aminiaŋati ania addi?”
MAT.17.21	“Ati, ariŋ anna ara 'to ihuo ana, oremehini ifuhara inyi ta amojo iko ta aferuna ijiai.”]
MAT.17.22	Ninyia attubanie lejifak 'daŋ Galilea, ette Yesu jiaran jihosi, “Isiori adi Lonyi Tulo ihas waati. 
MAT.17.23	Ottohori adi isi inyi, ati iholoŋ etahunihi, itubuhuni adi inyi toye.”
MAT.17.23	Ijiriŋai nyia lejifak bebe.
MAT.17.24	Ninyia afany Yesu iko lejifak honyi Kapernaum, ofuonni nyia eddudduhak musuru hulo Aaji emojit enne ittokon jio Petro, ette ifiyo inyi jio, “Odumatio soho ettiyanani hatai alia amusuru huno Aaji emojit enne ittokon?”
MAT.17.25	Itarraŋ nyia Petro ojio, “Aafe.”
MAT.17.25	Ninyia ajiŋa Petro attua haji, ette Yesu ifiyo inyi jiojio, “Simone, igigilo iyye aŋai? Ŋai oduma amusuru jio hobuok huttono afau ana, aati hullo obuore kuyya aterejok?”
MAT.17.26	Itarraŋ nyia Petro inyi ojio, “Aterejok.”
MAT.17.26	Buo Yesu ette jiaran jihonyi, “Itahutak fe ania jio obeŋi aati hulo obuore ania odumai. 
MAT.17.27	Ati, ebeŋ hohoi ewak italoŋoj aati hulo. Ihuania ilo ibirok erirehi hoi itua tafar enne ittokon. Iduhu ahami etteri elle irirehu iyye, aŋaa etuk honyi. Irumak adi iyye diya arobiya ollo oremik idumari amusuru hoŋ iko hunohoi. Iyaru inyi isiarak jihosi.”
MAT.18.2	Attati Yesu iloŋuna obo leto ollo odiha, ette itawojihina ihosiere hosi 
MAT.18.3	ette jiaran, “Ahode eramak ni itai jio, ibiaŋata adi itai ijiŋana Ilobie ettedou many iloiciette itai emanyiti hatai ihuo anna amanyarik aduri. 
MAT.18.4	Elle itafiaha 'to ahuan honyi ihuo leto olo, inyi alla agalik 'to 'daŋ Ilobie ettedou. 
MAT.18.5	Lia, elle ifuotu 'to obo eto ta afure hoŋ, ifuotu inyi, ani luŋa.
MAT.18.6	“Ati lia elle isusuhi 'to obo jio eruhok hoŋ hulo iyyauniere, osiru ifitani noonye hiriai imurut honyi, attati ibironia ilokubi tafar enne ittok. 
MAT.18.7	Orroho adi bebe jio afau ana te eram ono esusuta! Nyio, ofuonni adi esusuta hunia ahode; ati orroho adi bebe jio atulo elle iyaŋuno 'to isi.
MAT.18.8	“Elle iyaru aani kuyya eeju hoi iyye iyyauniere, oŋutoi inyi itte ibiroro addi. Iyyak adi jihoi ilari jio nesu onno osio 'to 'tulaŋ buo iwon iko aani abotie kuyya eju abotie, agalik ibironiere iyye ihima onno osio 'to 'tulaŋ buo ahas kuyya eejek hoi ottubai 'daŋ. 
MAT.18.9	Buo fe elle itadihoro onyek hoi iyye iyyau, ogolotu inyi itte ibiroro addi. Iyyak jihoi ilari jio esu 'tulaŋ buo iwon iko onyek abotie, agalik ibironiere iyye iko oŋite arrihai ihima ono iferno.
MAT.18.10	“Ihumata mijio, hèyyasata obo tehiji heruhok hoŋ hulo. Nyio, eramak ni itai jio, odulori ajilohien hosi huttedou iwanan ihosiere Monyoŋ ettedou. [
MAT.18.11	Nyio, ottu nyia Lonyi Tulo italahuniere aati hullo olitohini 'to.]
MAT.18.12	“Igigiloti itai ihan adi atulo ollo owon 'to iko akioro esiha abotie anyio, alla alitohi obo aker abotie tehiji hosi? Idiaharu adi inyi huna atomuana hottoŋuan hohottoŋuan attaditai ididaf doŋe, ette leten ittittifiaru aker ollo olitohi 'to. 
