MAT.1.1	Jiꞌi sen kuachrjenixin ndo Jesucristo. Jeꞌe ndo kuachrjenixin ndo, ndo David ko ndo Abraham.
MRK.6.56	Ko kain ti no ikjui ndo, tjajna nchíín ko tjajna ijié, o̱ ngaya chjaka meꞌe bikaꞌo na̱ kain ni niꞌe ko bakeꞌe na̱ ngandeꞌe chaꞌo. Ko ni niꞌe tinóatée na̱ ngajin ndo Jesús ixi jeꞌo xrotsé na̱ ngandeꞌe mantée ndo meꞌe koxruenꞌen na̱.
MRK.7.1	Tjumeꞌe kaxin ni fariseo ko kaxin ni bajako chijnie ndo Dio kui̱xi̱n na̱ tjajna Jerusalén konchjiñeꞌe na̱ ti jii ndo Jesús. 
MRK.7.2	Jeꞌe na̱ bikon na̱ ixi kaxin sen chrikao ndo Jesús junémaꞌi itja sen, jañao juine sen, méxin kuaxi na̱ juankataꞌa na̱ sen ijie̱. 
MRK.7.3	(Ixi xi fariseo ko kain ni judío kuanéma tja na̱ xranchi kuancheꞌe ni tachríꞌe na̱, ni xranchrjen, ixi saꞌó banéma na̱ itja na̱ ko tjumeꞌe ine na̱. 
MRK.7.4	Ko hora kjanxin na̱ ndasin, saꞌó xrokonda néma na̱ itja na̱ ko tjumeꞌe sine na̱. Ko kaxon banéma na̱ vaso ko ichi ko cazuela chika ko kuajontaꞌa na̱ cama, jaña kuancheꞌe na̱ ko kaxon ikaxin ngeꞌe ixi jaña kuituanꞌan ni tachríꞌe na̱ xranchrjen.) 
MRK.7.5	Méxin, xi fariseo ko xi tjako chijnie ndo Dio jaꞌin juanchangiꞌe xa ndo Jesús:
MRK.7.5	―¿Sonda sen chrjikoꞌa ncheꞌa sen ngeꞌe kuancheꞌe sen tachríꞌina xranchrjen ó saꞌó? Sen chrjikoꞌa jaꞌa, némaꞌi sen itja sen hora ine sen.
MRK.7.6	Ko juatingíexin ndo Jesús ko ndachro ndo:
MRK.7.6	―Nduaxin ti tsindachro ndo profeta Isaías ixi jaꞌanta ndakoꞌa xraxaonnta, ko jaꞌin ndachro xroon tsikjin ndo:
MRK.7.6	Ni tjajna jiꞌi jeꞌo roꞌa na̱ nichjanaxin na̱ ngajin,
MRK.7.6	jeꞌa nduaxin ixi aséen na̱ xraxaon na̱.
MRK.7.7	Méxin, xroꞌan tjintee juasaya
MRK.7.7	ixi jeꞌo tjako na̱ ngeꞌe tetuanꞌan chujni.
MRK.7.8	Ko jaꞌanta tsikintuꞌenta ngeꞌe tsiketuanꞌan ndo Dio ko rueꞌénta ngeꞌe kuancheꞌe na̱, méxin néꞌmanta ichi, ko vaso ti̱ꞌxi̱nnta, ko kaxon ikaxin ngeꞌe ncheꞌenta.
MRK.7.9	Ko kaxon ndachro ndo Jesús:
MRK.7.9	―Jaꞌanta rueꞌénta ngeꞌe kuancheꞌe na̱ ko jaña ndáꞌa tintuꞌenta ngeꞌe tsiketuanꞌan ndo Dio. 
MRK.7.10	Ndachro chijnie ndo Dio tsikjin ndo Moisés: “Xrochondeꞌenta juasaya ndotánta ko janáanta”, ko kaxon tsindachro ndo “Ngisen ndakoꞌa nichja ngajin ndotée o̱ janée xrokonda tsenꞌen sen.” 
MRK.7.11	Ko jaꞌanta ndachenta chujni ixi chao xrondache na̱ ndotée na̱ ko janée na̱: “Ndotána, janáana, juaꞌi tsingijnananta ixi kain ngeꞌe chondana meꞌe kóña corbán”, (meꞌe xrondachro ixi kain tomina ó tjáꞌa ndo Dio). 
MRK.7.12	Ko siá xrondachronta jaña, jaꞌanta ndachronta xrokondaꞌi tsingijnanta ndotánta o̱ janáanta. 
MRK.7.13	Ko jaña titikaonꞌanta ngeꞌe tsiketuanꞌan ndo Dio ko jaꞌanta titikaonnta ngeꞌe kuancheꞌe na̱ saꞌó. Ko kaxon ncheꞌenta ikaxin ngeꞌe ndakoꞌa.
MRK.7.14	Ko íjngo kuiyeꞌe ndo Jesús chujni ste ntiꞌa, ko ndachro ndo:
MRK.7.14	―Tinꞌennta kainnta ti ntatjunta ko tienxinnta jiꞌi. 
MRK.7.15	Jeꞌa ti ineni ncheki̱tja̱ aséenni. Ti tachrjexin aséenni meꞌe ncheki̱tja̱ni. 
MRK.7.16	Ti tjaunnta tsinꞌennta, tinꞌennta.
MRK.7.17	Ko ndo Jesús kuintuꞌe ndo kain na̱, ko jeꞌe ndo ko sen teyuu chrikao ndo kuixinꞌin sen nchia. Ko juanchangiꞌe sen ndo ngeꞌe xrondachro ti juinchekuenꞌen ndo na̱. 
MRK.7.18	Ko ndachro ndo Jesús:
MRK.7.18	―¿Á kaxon jaꞌanta tienxinꞌanta? ¿Á noaꞌinta ixi ti ngeꞌe ineni jeꞌa meꞌe ncheki̱tja̱ aséenni? 
MRK.7.19	Ixi ti ineni tjiꞌa ngaya aséenni. Meꞌe satsji ngaya tse̱ꞌe̱ni ko tjumeꞌe tachrje.
MRK.7.19	Meꞌe xrondachro ixi ti ngeꞌe ineni, ncheki̱tja̱ꞌi aséenni.
MRK.7.20	Ko ndachro ndo Jesús:
MRK.7.20	―Ko ti ngeꞌe tachrjenixin aséen chujni meꞌe ncheki̱tja̱ aséen. 
MRK.7.21	Kain jiꞌi tachrjenixin aséen chujni: ti ndakoꞌa xraxaon na̱, ti chónda na̱ inaa ngisen jeꞌa janchriꞌe na̱ o̱ ndoxiꞌe na̱, ti tjaun na̱ tsitexin na̱ inaa ngisen, ti naatsóñaxón kichuu na̱, 
MRK.7.22	ti te̱e na̱, ti tochjuyeꞌe na̱ ngeꞌe chónda inaa chujni, ti ndakoꞌa nchekao kichuu na̱, ti ncheya na̱, ti tsango chjinga ncheꞌe na̱, ti tochjio na̱, ti nchejié aséen na̱, ko ti ndakuaꞌi xraxaon na̱. 
MRK.7.23	Kain ti ndakoꞌa meꞌe tachrjenixin ngaya aséen na̱, ko meꞌe ti ncheki̱tja̱ aséen chujni.
MRK.7.24	Ko tjumeꞌe ndo Jesús kuachrjexin ndo ntiꞌa ko sakjui ndo nunte tjajna Tiro ko tjajna Sidón. Ko kuixinꞌin ndo naa nchia ixi tjaunꞌa ndo xrokonoꞌe na̱ ixi ntiꞌa jii ndo. Ko juaꞌi kuemá ndo. 
MRK.7.25	Ko tjumeꞌe janée naa nchrichajan, chónda nchrichan espíritue Xixronꞌanxrée kuinꞌen jan ixi ntiꞌa jii ndo Jesús, ko tuinxin kuiji jan ko bakeꞌexin jan ntatuchiꞌin jan tutée ndo Jesús. 
MRK.7.26	Jan meꞌe ikjín kui̱xi̱n jan, nunte Sirofenicia, ko kuinóatée jan ngajin ndo Jesús ixi xrokuantsje ndo espíritue Xixronꞌanxrée chónda nchrichajenꞌen jan. 
MRK.7.27	Ko ndo Jesús ndachro ndo:
MRK.7.27	―Saꞌó tintuꞌenta ichjan sine xjan. Ndakoꞌa jii xrokuantsjeꞌeni xjan nutja ko xrochjéeni kunia sine ba.
MRK.7.28	Ko jeꞌe jan juatingíexin jan:
MRK.7.28	―Nduaxin meꞌe, Nchána. Ko kunia jingi ba mesa ine ba nutja tituꞌo ti tintjí ichjan.
MRK.7.29	Ko ndachro ndo Jesús:
MRK.7.29	―Chao ndachrua. Satjia ixi espíritue Xixronꞌanxrée ó kuachrjexin nchrichajanꞌan.
MRK.7.30	Ko hora kuiji jan ndoꞌa jan, bikon jan ixi nchrichajenꞌen jan ó jian jitsingataꞌa xjan ti jijua xjan ixi ó tsikachrje espíritue Xixronꞌanxrée.
MRK.7.31	Ko tjumeꞌe ndo Jesús kuachrjexin ndo tjajna Tiro ko kuatsinga ndo tjajna Sidón ko kaxin tjajna tikinixin nunte Decápolis ko kuiji ndo ti ndalago Galilea. 
MRK.7.32	Ko ntiꞌa bikao na̱ naa xi tienꞌa ko juaꞌi nichja xa. Ko kuinóatée na̱ ngajin ndo Jesús ixi tsakeꞌe itja ndo ngataꞌa jaa xa meꞌe tsoxruenꞌen xa. 
MRK.7.33	Ko tjumeꞌe ndo Jesús kuachrjendakaꞌo ndo jeꞌe xi tienꞌa ti xroꞌan ngisen ste. Ko dedue itja ndo Jesús xraxinꞌin ndo ndatsjon xi tienꞌa. Ko kaxon dedue itja ndo bikitée ndo ndatée ndo ko bakeꞌe ndo dedue ngataꞌa nejen xi nichjaꞌi. 
MRK.7.34	Ko tjumeꞌe tsjeꞌe ndo nui ngajní ko kuabaa ndo ko nichjeꞌe ndo xi tienꞌa, ko ndachro ndo:
MRK.7.34	―¡Efata! ―meꞌe ngigueꞌe sen xrondachro: ¡Xitjeꞌe̱!
MRK.7.35	Ko tuinxin xitjeꞌe̱ ndatsjon xi tienꞌa ko kuinꞌen xa ko koxruenꞌen nejen xa, ko jian nichja xa. 
MRK.7.36	Ko ndo Jesús kuetuanꞌan ndo ixi xroꞌan ngisen xrobeꞌki ngeꞌe ti konꞌen. Ko maski jaña kuetuanꞌan ndo, jeꞌe na̱ ícha beki na̱. 
MRK.7.37	Ko meꞌe tsango xronka kain na̱ ko ndachro na̱:
MRK.7.37	―Tsango jian kain ngeꞌe ncheꞌe ndo. Ni tienꞌa, tinꞌen na̱ ko ni nichjaꞌi, nichja na̱.
MRK.8.1	Ko nchakon meꞌe kueya na̱ konchjiñeꞌe na̱ ngajin ndo Jesús. Ko chóndaꞌi na̱ ngeꞌe sine na̱. Ko ndo Jesús kuiyeꞌe ndo sen teyuu chrikao ndo, ko ndachro ndo:
MRK.8.2	―Tsango tikonóaꞌa kain ni ste ntiꞌi ixi ó níi nchakon ste na̱ ngajin ko chóndaꞌi na̱ ngeꞌe sine na̱. 
MRK.8.3	Ko siá tsétuanꞌan na̱ satsji na̱ ndoꞌa na̱ ko xraneꞌa na̱, ngatja chaꞌo tsjeje̱ñao na̱ ixi xraneꞌa na̱ ixi kaxin na̱ tsango ikjín tsiki̱ꞌxi̱n na̱.
MRK.8.4	Ko juatingíexin sen chrikao ndo:
MRK.8.4	―¿No tsi̱ꞌxi̱n ngeꞌe xrojuine kain ni jiꞌi ixi xroꞌan nchia jii ntiꞌi?
MRK.8.5	Ko juanchangiꞌe ndo Jesús:
MRK.8.5	―¿Ngijanꞌin nutja chondanta?
MRK.8.5	Ko jeꞌe sen juatingíexin sen:
MRK.8.5	―Ya̱a̱to̱ nutja chondana.
MRK.8.6	Ko ndo Jesús kuetuenꞌen ndo kain na̱ ixi tsakeꞌe na̱ nunte. Ko kua ndo ti ya̱a̱to̱ nutja ko kuajon ndo juasaya ngajin ndo Dio ko konchrinjin ndo nio ko chjée ndo sen teyuu chrikao ndo ixi tsonchjeya sen ngajin kain ni ste ntiꞌa. 
MRK.8.7	Ko kaxon kaxin kuchee̱ nchínchín chónda sen. Ko ndo Jesús kuajon ndo juasaya ko kuetuanꞌan ndo tsonchjeya sen kuchee̱ kaxon. 
MRK.8.8	Ko kain na̱ juine na̱ ko konkjeꞌe na̱. Ko juejo sen tutuꞌo ngeꞌe tsixeꞌe ko juinchekaon sen ya̱a̱to̱ ntaxra. 
MRK.8.9	Ko noó mil na̱ juine na̱. Ko tjumeꞌe ndo Jesús ndache ndo na̱ ixi satsji na̱. 
MRK.8.10	Ko jeꞌe ndo ko sen teyuu chrikao ndo kuixinꞌin sen naa nta̱barco ko sakjui sen no nunte Dalmanuta.
MRK.8.12	*Ko ndo Jesús kuabaa ndo ko ndachro ndo:
MRK.8.12	―¿Sonda ni jiꞌi tjanchia na̱ sintaꞌa naa ngeꞌe ijié? Nduaxin ndachrja̱n ixi xroꞌan ngeꞌe sintaꞌa tsikon na̱.
MRK.8.13	Ko kuintuꞌe ndo na̱ ntiꞌa, ko kuixinꞌin ndo nta̱barco ko sakjui ndo tuenxin ndalago.
MRK.8.14	Ko tjáñeꞌe sen tsikikaoꞌa sen ngeꞌe sine sen. Naakua nutja chónda sen ngaxinꞌin nta̱barco. 
MRK.8.15	*Ko ndo Jesús kuetuenꞌen ndo sen:
MRK.8.15	―Jian tsjeꞌenta ixi ngeꞌe nchetjaꞌin nutjée xi fariseo ko nutjée xi Herodes.
MRK.8.16	Ko sen teyuu chrikao ndo ndache kichuu sen:
MRK.8.16	―Jaña ichro ndo ixi tsikikoꞌina nutja.
MRK.8.17	Ko jeꞌe ndo noꞌe ndo ngeꞌe tjao kichuu sen ko ndachro ndo:
MRK.8.17	―¿Sonda tjao kichuunta ixi chondaꞌinta nutja? ¿Á noaꞌinta ko xratienxinꞌanta? ¿Á icha asáanta méxin titikaonꞌanta ndo Dio? 
MRK.8.18	*¿Á tikonxinꞌa ikonnta?, ko, ¿á tienxinꞌa ndatsjonnta? ¿Á sintaxiꞌañaonta? 
MRK.8.19	Nchakon konchrinjin naꞌó nutja juine naꞌó mil chujni, ¿ngijanꞌin ntaxra ti tutuꞌo nutja xejo?
MRK.8.19	Ko jeꞌe sen juatingíexin sen:
MRK.8.19	―Teyuu ntaxra.
MRK.8.20	Ko íjngo ndachro ndo Jesús:
MRK.8.20	―Ko nchakon konchrinjin ya̱a̱to̱ nutja juine noó mil chujni, ¿ngijanꞌin ntaxra ti tutuꞌo nutja xejo?
MRK.8.20	Ko ndachro sen:
MRK.8.20	―Ya̱a̱to̱ ntaxra.
MRK.8.21	Ko ndo Jesús ndachro ndo:
MRK.8.21	―Méxin, ¿á xratienxinꞌanta?
MRK.8.22	Ko kuiji sen tjajna Betsaida, ko kui̱i̱ kaxin na̱ bikaꞌo na̱ naa xi tikonꞌa. Ko kuinóatée na̱ ngajin ndo Jesús ixi xrojuinchexruenꞌen ndo xa. 
MRK.8.23	Ko ndo Jesús itsé ndo itja jeꞌe xi tikonꞌa ko kuachrjendakaꞌo ndo xa ngandeꞌe tjajna. Ko bikitée ndo ndatée ndo ikon xi meꞌe ko bakeꞌe itja ndo ngataꞌa xa ko juanchangiꞌe ndo xa:
MRK.8.23	―¿Á ó tikuan nchíín?
MRK.8.24	Ko ndachro jeꞌe xi tikonꞌa:
MRK.8.24	―Tiko̱n chujni, ko tiko̱n na̱ xranchi naa nta̱yua ichrji.
MRK.8.25	Ko ndo Jesús bakeꞌe itja ndo íjngo ngataꞌa ikon xa. Ko jeꞌe xa tsjeꞌe xa ko koxruenꞌen xa ko chao bikon xa kain ngeꞌe. 
MRK.8.26	Ko ndo Jesús kuetuanꞌan ndo ixi satsji xa ndoꞌa xa, ko ndachro ndo:
MRK.8.26	―Ikjanꞌia tjajna íjngo ko xroꞌan ngisen tekiꞌé jiꞌin.
MRK.8.27	Ko tjumeꞌe ndo Jesús ko sen teyuu chrikao ndo sakjui sen tjajna nchíín tjenka tjajna Cesarea de Filipo. Ko ngatja chaꞌo juanchangiꞌe ndo Jesús sen chrikao ndo ko ndachro ndo:
MRK.8.27	―¿Ngeꞌe ichro na̱, ngisen janꞌan?
MRK.8.28	―Kaxin na̱ ndachro na̱ ixi jaꞌanta ndo Juan Bautista ko ikaxin na̱ ndachro na̱ ixi jaꞌanta ndo profeta Elías ko ikaxin na̱ ndachro na̱ ixi jaꞌanta naa sen profeta kuachronga chijnie ndo Dio ó saꞌó.
MRK.8.29	―Ko jaꞌanta, ¿ngeꞌe ndachronta, ngisen janꞌan?
MRK.8.29	Ko juatingíexin ndo Pedro ko ndachro ndo:
MRK.8.29	―Jaꞌanta ndo Cristo tsixruaꞌan ndo Dio.
MRK.8.30	Ko kuetuanꞌan ndo Jesús ixi xroꞌan ngisen tsekiꞌe sen jiꞌi.
MRK.8.31	Ko juangíxin ndo Jesús ndache ndo sen ixi jeꞌe ndo chjenꞌen ndo Dio, xjan jongíꞌe xranchi chujni, xrokonda tsango tangi tsonꞌen ndo ko kain xi tetuanꞌan niꞌngo ko kain xitaana tetuanꞌan ko kain ni tjako ley tsoñaoꞌe na̱ ndo. Ko ni meꞌe naatsóñaxón na̱ ndo ko nchakon nínxin xroxechón ndo. 
MRK.8.32	Kain jiꞌi jian chronga ndo. Ko tjumeꞌe ndo Pedro kuantsjendáa ndo ndo Jesús ko kuyakutee ndo ndo. 
MRK.8.33	Ko ngatjia ndo Jesús tsjeꞌe ndo kain sen chrikao ndo ko kuyakutee ndo ndo Pedro, ko ndachro ndo:
MRK.8.33	―¡Satjixian ntiꞌi, Xixronꞌanxrée! Jaꞌa xraxaonꞌa xranchi xraxaon ndo Dio. Jaꞌa xraxaoan xranchi xraxaon chujni.
MRK.8.34	―Siá xrojan ngisen tjaun xroruaꞌna, xrokonda xrotjáñeꞌe sen kain ngeꞌe ícha tjaun sen ko xroruaꞌna sen kain nchakon, maski tangi tsonꞌen sen. 
MRK.8.35	*Ni tjaun tsitjáñaꞌi, ni meꞌe nduaxin tsenꞌen na̱; ko ni tsenꞌen ixi titikaonna na̱ janꞌan ko chijni jian nichja, ni meꞌe tsechón na̱ kain nchakon. 
MRK.8.36	¿Ngeꞌe tsjacha naa ngisen xrochónda kain ngeꞌe jii ngataꞌa nunte ntiꞌi ko ndatsitjáña aséen sen? 
MRK.8.37	¿Ngijanꞌin tsjenga sen ꞌna̱ ixi tsechón sen? 
MRK.8.38	Ixi sen tsosueꞌe ixi titikaonna sen ko kao chijni nichja, stetikon ni ndakoꞌa ncheꞌe ko ni chónda ijie̱, kaxon chjenꞌen ndo Dio, xjan jongíꞌe xranchi chujni, tsosueꞌe xjan ko xrondachro xjan ixi chúxinꞌa xjan sen nchakon tsetuanꞌan xjan ti jii juachaxin ijié chónda Ndotée xjan ko kain sen ángel.
MRK.9.1	Ko kaxon ndachro ndo Jesús:
MRK.9.1	―Nduaxin rintatjonta ixi kaxin ni ste ntiꞌi xratsenꞌa na̱, tsikonja na̱ tsi̱i̱ juachaxien ndo Dio.
MRK.9.3	Ko manta jía ndo ikjan tsango tjúá, ko ngataꞌa nunte ntiꞌi xroꞌan ngisen xrojuinéma manta jaña ixi tsango tjúá bikoni. 
MRK.9.4	Ko bikon sen ntiꞌa jii ndo Elías ko ndo Moisés stetjao sen ndo Jesús. 
MRK.9.5	Ko ndo Pedro ndache ndo ndo Jesús:
MRK.9.5	―Maestro, chao stena ntiꞌi. Sintakonchjianna níi tsaꞌon; naa tsaꞌon jaꞌanta ko naa tsaꞌon ndo Moisés ko naa tsaꞌon ndo Elías.
MRK.9.6	Jaña ichro ndo ixi kain sen tsango xronka sen, ko ndo Pedro noeꞌa ndo ngeꞌe nichja ndo. 
MRK.9.7	*Ko tuinxin kui̱i̱ naa itjui̱ bakeꞌe ngataꞌa ti ste sen. Ko ngakjenꞌen itjui̱ meꞌe kuinꞌen sen naa tée naa ngisen nichja:
MRK.9.7	―Jiꞌin chjanꞌna tsango tjuaꞌa.
MRK.9.8	Ko ikjan tsjeꞌe sen ko xroꞌan ngisen bikon sen; jeꞌo ndo Jesús jii ntiꞌa.
MRK.9.9	Ko tjumeꞌe xingajinxin sen ijna̱ meꞌe, ko kuetuanꞌan ndo Jesús ixi tsekieꞌa sen ikaxin chujni ngeꞌe bikon sen tsijija nchakon xroxechón jeꞌe ndo chjenꞌen ndo Dio, xjan jongíꞌe xranchi chujni. 
MRK.9.10	Méxin, jeꞌo sen noꞌe sen jiꞌi ko bekiꞌa sen ngeꞌe bikon sen ko stetjao sen ngeꞌe xrondachro ti xroxechón ndo íjngo. 
MRK.9.11	*Ko juanchangiꞌe sen ndo Jesús:
MRK.9.11	―¿Sonda ndachro ni tjako ley ixi saꞌó xrokui ndo Elías ko tjumeꞌe xrokui ndo Cristo?
MRK.9.12	Ko ndachro ndo Jesús:
MRK.9.12	―Nduaxin tsi̱i̱ ndo Elías saꞌó ko sinchekonchjian ndo kain ngeꞌe. ¿Ko ngeꞌe xrondachro xroon jitaxin chijnie ndo Dio?, ixi tsango tangi tsonꞌen chjenꞌen ndo Dio, xjan jongíꞌe xranchi chujni, ko tsitikaonꞌa na̱ xjan. 
MRK.9.13	Ko ntatjunta ixi nduaxin ó kui̱i̱ ndo Elías, ko tangi juinchekao na̱ ndo xranchi jeꞌe na̱ tjaun na̱, jaña jitaxin xroon chijnie ndo Dio ixi jaña tsonꞌen.
MRK.9.14	Ko hora kjan sen ti kuituꞌe kaxin sen chrikao ndo Jesús, bikon sen ixi kueya na̱ ste na̱ ngandajin sen. Ko kaxon kaxin ni tjako ley stetjao na̱ sen. 
MRK.9.15	Ko tuinxin hora bikon na̱ ndo Jesús kain na̱ xronka na̱, ko binga na̱ ikjui na̱ ti jii ndo, ko kuajon na̱ juajna. 
MRK.9.16	Ko ndo Jesús juanchangiꞌe ndo na̱ ko ndachro ndo:
MRK.9.16	―¿Ngeꞌe stetjaunnta sen chrjikiꞌan?
MRK.9.17	Ko naa xi jingakjenꞌen ni ste ntiꞌa juatingíexin xa:
MRK.9.17	―Maestro, ntiꞌi bikian chjanꞌna chónda xjan espíritue Xixronꞌanxrée tintueꞌa xjan nichja xjan. 
MRK.9.18	Ko ti no jii xjan, espíritue Xixronꞌanxrée itsé xjan ko tjanka xjan nunte, ko tuchrjo ti̱ꞌxi̱n roꞌa xjan ko ndachro neno xjan ko tsango toncha xjan. Ko janꞌan kuinóatáana ngajin sen chrjikuꞌunta xrokuantsje sen espíritue Xixronꞌanxrée ko juaꞌi juincheꞌe sen.
MRK.9.19	Ko ndo Jesús juatingíexin ndo:
MRK.9.19	―Jaꞌanta titikaonꞌanta jian ndo Dio. ¿Ti ngisa xrokonda tsakeꞌe ngajinnta? ¿Ngisa chao tsaxinta sincheꞌenta ixra̱? Tikuunantana chán ntiꞌi.
MRK.9.20	Ko bikaꞌo sen chán. Ko hora bikon espíritue Xixronꞌanxrée ndo Jesús kuaxi kontsjenga espíritu chán, ko juanka espíritu chán ngataꞌa inche ko jamangitaon chán ko kuachrje tuchrjo roꞌa chán. 
MRK.9.21	Ko ndo Jesús juanchangiꞌe ndo ndotée chán:
MRK.9.21	―¿Á ó sée jaña tonꞌen chán?
MRK.9.21	Ko ndachro ndotée chán:
MRK.9.21	―Xranchio chán bakonꞌen chán jaña. 
MRK.9.22	Ko nanaó espíritue Xixronꞌanxrée tjanka chán ti jii xroꞌi ko tjanka chán ti jii inda ixi tjaun espíritu naatsóñaxón chán. Ko ixudio tikonóaꞌnananta ko tingijnananta.
MRK.9.23	Ko ndachro ndo Jesús:
MRK.9.23	―¿Á chao titikaonnta ndo Dio? Siá titikaonnta ndo Dio, chao tsonꞌen kain ngeꞌe.
MRK.9.24	Ko tuinxin séen nichja ndotée chán, ko ndachro:
MRK.9.24	―Janꞌan titikaꞌon. Tingijnana ixi jaña ícha tsitikaꞌon.
MRK.9.25	Ko tjumeꞌe bikon ndo Jesús ixi kueya na̱ konchjiñeꞌe na̱. Ko kuyakutee ndo espíritue Xixronꞌanxrée chónda chán meꞌe, ko ndachro ndo:
MRK.9.25	―Jaꞌa espíritue ti tintueꞌa nichja na̱ ko ti tintueꞌa tinꞌen na̱. Jai janꞌan ntatjua tachrjexian chajan jiꞌi ko tintuꞌé chán ko íkjanꞌia.
MRK.9.26	Ko jeꞌe espíritue Xixronꞌanxrée kuyako ko kontsjenga espíritu chán íjngo, ko kuachrje espíritu. Ko jeꞌe chán ndako naa ni tsikenꞌen kuituꞌe chán, ko kueya na̱ ndachro na̱ ixi ó kuenꞌen chán. 
MRK.9.27	Ko ndo Jesús itsé ndo itja chán ko juinchengatjen ndo chán.
MRK.9.28	Ko ndo Jesús ko sen teyuu chrikao ndo kuixinꞌin sen naa nchia ko jeꞌe sen juanchangiꞌe sen ndo:
MRK.9.28	―¿Sonda juaꞌi kuantsjena espíritue Xixronꞌanxrée?
MRK.9.29	Ko ndachro ndo Jesús:
MRK.9.29	―Espíritu jeꞌo tachrjexin ixi xronichjeꞌenta Ndotána ko sinchekatse ñaonta jinta.
MRK.9.30	Hora sajuixin sen ntiꞌa, kuatsinga sen no nunte Galilea. Ko ndo Jesús tjaun ndo ixi xroꞌan ngisen tsonoꞌe ste sen ntiꞌa 
MRK.9.31	ixi tjaun ndo sinchekuenꞌen ndo sen chrikao ndo. Ko ndache ndo sen:
MRK.9.31	―Janꞌan chjenꞌen ndo Dio, xjan jongíꞌe xranchi chujni, xrotséna na̱ ko tsikaanna na̱ ngajin ni tituanꞌan ko naatsóñaxónna na̱. Ko nchakon nínxin xroxechónna.
MRK.9.32	Ko jeꞌe sen kuienxinꞌa sen ngeꞌe ti ndachro ndo ko noeꞌa sen á chao xrojuanchangíꞌe sen ndo ngeꞌe xrondachro jiꞌi.
MRK.9.33	Ko tjumeꞌe kuiji sen tjajna Capernaum; ko hora ste sen nchia ntiꞌa, ndo Jesús juanchangiꞌe ndo sen:
MRK.9.33	―¿Ngeꞌe stetjao kichuunta ti steyána chaꞌo?
MRK.9.35	*Ko tjumeꞌe ndo Jesús bakeꞌe ndo nunte ko kuiyeꞌe ndo ti teyuu sen chrikao ndo, ko ndache ndo sen:
MRK.9.35	―Siá xrojan jaꞌanta tjaunnta ícha tjinteenta, xrokonda sinchenchiin asáanta ko tsingijnanta kain chujni.
MRK.9.36	Ko tjumeꞌe kuiyeꞌe ndo naa chjan ko bakeꞌe ndo xjan ngusine ti ste sen, ko ndachro ndo:
MRK.9.38	Ko ndo Juan ndachro ndo:
MRK.9.38	―Maestro, bikona naa ngisen tantsje espíritue Xixronꞌanxrée ixi juachaxiannta. Ko ntatjanna sen meꞌe í sincheꞌa sen jaña ixi jeꞌe sen chrjikuiꞌana sen.
MRK.9.39	Ko ndo Jesús ndachro ndo:
MRK.9.39	―Tingakuenꞌanta sen meꞌe ixi xroꞌan ngisen, sen ncheꞌe naa ixra̱ jian ixi juachaxinna, sen meꞌe juaꞌi ndakoꞌa xronichja sen ixi janꞌan. 
MRK.9.40	*Sen ningakoñaꞌina, sen meꞌe chao tsingijnana. 
MRK.9.41	*Ko ngisen xrotjáanta naa vaso inda ixi nduaxin titikaonntana, nduaxin ndachrja̱n ixi tsayéꞌe sen ngeꞌe jian.
MRK.9.42	’Ko ngisen sinchekateya naa ichjan titikaonna janꞌan sincheꞌe xjan ti ndakoꞌa, ni meꞌe cháña xrokuintexin na̱ tusin na̱ naa xrochri ijié ko xrokuitsingangi na̱ ndachaon. 
MRK.9.43	*Ko siá tjáanta sinchexinnta ti ndakoꞌa, cháña xrokonchrijinnta tjáanta ixi cháña naakua tjáanta xrokuixinꞌinnta ti tsechónni kain nchakon ixi xrochondanta yui tjáanta ko saxrokjuinta ti jii xroꞌi naiꞌa tsanga, 
MRK.9.44	ti jii kutsindo tenꞌa ko ti jiche xroꞌi tsangaꞌi. 
MRK.9.45	Ko kaxon tutáanta xrojuinchexinnta ti ndakoꞌa, xrokonchrijinnta tutáanta ixi cháña naakua tutáanta xrokuixixinnta ti tsechónni kain nchakon ixi siá xrochondanta yui tutáanta ko saxrokjuinta ti jii xroꞌi naiꞌa tsanga, 
MRK.9.46	ti jii kutsindo tenꞌa ko ti jiche xroꞌi tsangaꞌi. 
MRK.9.47	*Ko siá ikonnta sinchexinnta ti ndakoꞌa, cháña xrokuantsjengínta ikonnta ixi naakua ikonnta xrochondanta ko jaña xrokuixinꞌinnta ti tetuanꞌan ndo Dio ti tsechónni kain nchakon ixi yui ikonnta saxrokjuinta ti jiche xroꞌi naiꞌa tsanga,
MRK.9.48	ti jii kutsindo tenꞌa ko ti jiche xroꞌi tangaꞌi.
MRK.9.49	’Ko kain chujni xrokonda tangi tsonꞌen sen ixi meꞌe tsingijna sen, xranchi xíjnta tingijna tsojníxin ngeꞌe sineni. 
MRK.9.50	*Xíjnta jian xíjnta. Ko siá xíjnta ijníꞌa xíjnta, juaꞌi tsonda xíjnta. Jaꞌanta xranchi xíjnta tinteenta, méxin juaxruxin tsarikuꞌunta kain chujni.
MRK.10.1	Tjumeꞌe ndo Jesús kuachrjexin ndo tjajna Capernaum, sakjui ndo nunte Judea nangoxin ndajitinga Jordán. Ko kueya na̱ xraꞌo na̱ ti jii ndo ko jeꞌe ndo juinchekuenꞌen ndo na̱ ixi meꞌe kuancheꞌe ndo. 
