MAT.1.1	Níilii caasamuncii Yéesu 
MAT.28.12	Sarahohcaa ɓiyaakɓaa dalla kihídírukohu na yaakcaa yaawúuꞌcaa, ɓa júwohha ga kiꞌeꞌ soldaaꞌcaama hëelís wiyewin, 
MAT.28.13	ɓa woꞌꞌaɓa an:
MAT.28.13	- Ɗú karaa, woꞌat an tëelíbéecaa ɓaa yaama ɓërí hay ga wek, ɓa lokka faraaffaagari lak ɗí ɓaa neeh. 
MAT.28.14	En ɗanaa gúwernëerii yéeŋkanaa ɗí hay nari kimín kiwoꞌ bi dara hokoorúu ga.
MAT.28.15	Soldaaꞌcaa ɓewussa koparaa, ɓa tummba fodaa daa ɓa woꞌseeɗa. Fodaama, ɓéestíraama síwwa ga ɗuuƴ yaawúuꞌcaa ee bi wati ka kii lís kiwoꞌu.
MAT.28.16	Waa ennda ɗa, tëelíbéecaa Yéesu ɓidaaŋkaahɓaa na yíinooyaa karussa Gëlílée, ga jaŋjagaa Yéesu ebileeɓaɗa. 
MAT.28.17	Daa ɓa hotee Yéesu, ɓa ƴíꞌꞌa, ɓa ɓaa jaamukki. Wayee laakka gaɓa ɓuwaa laak hel kanak ga iñaa ɓa hotɗa. 
MAT.28.18	Yéesu deeƴca gaɓa, woꞌꞌaɓa an:
MAT.28.18	- Ga ɗook na dii ga kakay, Paammboo erinndoo dooli ga tóoh. 
MAT.28.19	Kon karat ga ɓéeɓ heetcii ga ëldúnaɗa, ɗú tumɓa ɓitëelíbéeroo. Bëtísiꞌatɓa ga teekii Paamudii, wii Kowukii na wii Helii yiselaꞌíꞌyii. 
MAT.28.20	Yëedíratɓa kitaabuk ɓéeɓ iñcii mi nakkúu kitumɗa. Ee mi, mi yii narúu besaa en ɓéeɓ, bi ga daa ëldúna túkiꞌan.
MRK.1.1	*Hewhewii winéwíꞌwii woꞌ ga loo Yéesu 
MRK.1.2	Fodaa daa 
MRK.1.2	«Mi yii wos ɓoꞌꞌoo, yaa ɗëwrukanndaa, kiwaayuk waasumgaraa.
MRK.1.3	Laakin koonaa-ɓoꞌ, kaa en na kiwoꞌ didóolíꞌ ga ɗuuƴ ëgíꞌ-dúndagaa an:
MRK.1.3	Waayukɗat 
MRK.1.4	Ɓaama ennda Saŋ. Ya hayya, yaa bëtísiꞌ ɓuwaa ga ëgíꞌ-dúndagaa. Ya yaa jangat an ɓuwaa súpítat kipeskaagaɓa, ɓa bëtísiꞌu, en ɗanaa baakaaꞌcaagaɓa bayalu.
MRK.1.5	Kúlkaa Yúudée tóoh na ɓuwaa dëk Yéerúsaleemɗa ɓaa meƴ ɓaa aaw gari. Ɓa ɓaa récuk baakaaꞌcaagaɓa ga fíkíi ɓéeɓ ee Saŋ yaa bëtísiꞌɓa ga húlúwaa Yúrdeŋ.
MRK.1.6	Saŋ ekukee kúltífaa terohu na fënúf geeleem, ya pokukka liiɓ-on ga kenohkaa
MRK.1.7	Ya jangatee an:
MRK.1.7	- Laakin ɓaa en na kihay ga fenooroo ee yërí wëñnjoo kiyak fúuf. Mi jutuutin sah ga kiɗaal kipëkís liiɓcaa ñafaꞌcaagari. 
MRK.1.8	Mi, mi bëtísiꞌinndúu ga músú; ya nak, ya bëtísiꞌanndúu ga Helaa yiselaꞌíꞌyaa.
MRK.1.9	Waa ennda ɗa, Yéesu meyohha dëkaa 
MRK.1.10	Ga daa Yéesu en na kimeƴ ga músúmaaɗa, ya hotta asamaan lëgísukka. Helaa Kooh, fodii hoꞌ, yaa yoosuk ga ɗookci. 
MRK.1.11	Laakka koonaakaa meyoh ɗook Kooh, woꞌꞌa an:
MRK.1.11	- Fu yërí en Kowukiigoo mi keeñukɗa. Keeñnjoo soosin garaa
MRK.1.12	Ga saasi, Helaa yiselaꞌíꞌyaa woocca Yéesu, ɓayyari ɗekat, ëgíꞌ-dúndaŋ. Ya ennda da bes cidaaŋkaah-nikiis. 
MRK.1.13	Waa ya en daama, Seytaani íiséeríiri kifíꞌ. Yéesu enee daama na rapcaa ee 
MRK.1.14	Yéesu kaꞌta gohaa Gëlílée, wiima lak Saŋ abuunun ga kasu
MRK.1.15	Ya woꞌee an:
MRK.1.15	- Wahtii leꞌin ee 
MRK.1.16	Daa Yéesu kooree ga seereenaa 
MRK.1.17	Yéesu woꞌꞌaɓa an:
MRK.1.17	- Taabukattoo, mi hayyúu kitum ɓimbaaloh ɓoꞌ.
MRK.1.18	Ga saasi, ɓa foñnja mbaalcaagaɓa, ɓa ɓaa taabukki. 
MRK.1.19	Ya kaꞌta bi ga fíkíi, ya hotta towutaa 
MRK.1.20	Yéesu dallaɓa kiɓay; ɓa foñnja Sebedee, paamɓa na lëgëyohcaa ga gaal-loocaa, ɓaa taabukki.
MRK.1.21	Yéesu na tëelíbéecaagari leꞌussa dëkaa 
MRK.1.22	Ɓuwaa waaruꞌseera lool ga jëgírohaagari, ndaga ya en na kijëgírohaa, ya yërëmoo woꞌeenci fodaa jëgíroh-waascaa.
MRK.1.23	Bëríi, laakka ɓaa aas jaangu-yaawúuraagaɓa, ee enee ɓaa laak raɓ. Ya yaa fiip an:
MRK.1.24	- Yéesu 
MRK.1.25	Yéesu gëtta rawaa, woꞌꞌari an:
MRK.1.25	- Ɗekoha, fu meyoh ga ɓii!
MRK.1.26	Fodaama, rawaa saylukohha ɓaa saylukoh ciméeskíꞌ, lessa koonaa kiyaak, meyohha gari. 
MRK.1.27	Ɓuwaa enee daamaɗa ɓéeɓɓa jaahliꞌussa ga iñaama, bi ɓa ɓaa woꞌ ga díkaantiɓa an:
MRK.1.27	- Iñii yii man na? Ati jëgíroh wiꞌas! Ɓii yii woꞌi woꞌeen wíinoo
MRK.1.28	Meyohha da, teekaa Yéesu dalla kisíw daa en ɓéeɓ ga gohaa Gëlílée.
MRK.1.29	Waa ɓa meyoh 
MRK.1.30	Lak payam Simoŋ yiɓeti faanukin, tamoh hen. Yéesu dallaka kiyéegalu. 
MRK.1.31	Daa ya leꞌ bi gari, ya ammba yahaa, ɓëwíꞌtari. Ga ɗekataama faanfaa ƴímmba. Lëehíꞌta ya yaa toputuꞌɓa. 
MRK.1.32	Ga noh-soosaa lak nohaa aasin
MRK.1.33	Ee ɓu-dëkaa tóoh nëgírukohusee ga hal-kaanfaama. 
MRK.1.34	Ya wëkíꞌta ɓoꞌ ɓiyewin ɓaa laakin ɗúukoolcaa bokkii. Ya kaalla ɓan raɓ ɓiyewin ga ɓuwaa, ee ya onéeríi raɓcaama kiwoꞌ yen ndaga ɓa ínoheera ɓaa ya enɗa
MRK.1.35	Ga kímaa cuut, lak Kooh lís kiñúus, Yéesu kolukka, ya meƴca yaa ƴah daa wéetin. Daama, yaa kíim Kooh. 
MRK.1.36	Simoŋ na ɓuwaa ensee nariɗa ɓaa raasussi. 
MRK.1.37	Daa ɓa hoteeri, ɓa woꞌꞌari an:
MRK.1.37	- Ɓéeɓ ɓuwii ɓii raassaa.
MRK.1.38	Ya taassaɓa an:
MRK.1.38	- Ɗu ƴahat ɗekat wiliis, ga dëkcii ga yahaaniiɗa, doonaa mi mín kijangatnee ɓuwaa daamaɗa ɓan. Iñaama yërí tahhoo dii kimeƴ.
MRK.1.39	Fodaama, ya wíilla Gëlílée tóoh, yaa jangat ɓuwaa ga 
MRK.1.40	Laakka ɓoꞌ yaa ɓay ɗúukool-gaana hayya ga Yéesu, ƴíꞌꞌa ga fíkíici, yaa kíimmbi an:
MRK.1.40	- Fu waaꞌkanaa, fu míninndoo kiwëkíꞌ
MRK.1.41	Yéesu laakka yërmaandi wiyaak gari. Ya lëríssa yahaagari, leꞌꞌa ga ɓaa, woꞌꞌari an:
MRK.1.41	- Mi waarinka, waka!
MRK.1.42	Ga saasi, ɗúukool-gaanaa meyohha ga ɓaa, ɓaa wakka. 
MRK.1.43	Lëehíꞌta Yéesu dallari kiꞌebil, ɗíŋngari na woꞌeen ciyëgísíꞌ 
MRK.1.44	an:
MRK.1.44	- Abukaa ga kiwoꞌ ɓoꞌ iñii mi tumiꞌtaaɗa, wayee kara, fu teewohnee haffu ga sarahohaa ee fu tum sarahaa Móyíis nakoh ga kisetkiigaraaɗa. En ɗanaa iñaama hay kiteeɓ ɓéeɓ an fu setin
MRK.1.45	Ɓaa nak meyohha daama, ya ennda ga kiɓéestíꞌ na kilíbaacoh iñaa laakee yaama. Iñaama tahha bi Yéesu mínséeríi kiꞌaas dëk wíinoo ga fíkíi ɓéeɓ; ya nammba kites ga fooh, ga ɗekatcaa laakoo ken, wayee ɓuwaa ɓaa meyoh daa en ɓéeɓ ɓaa hay gari daama.
MRK.2.1	Bes cera tíkka ga, Yéesu sooffa 
MRK.2.2	Ɓoꞌ ɓiyewin nëgírukohussa ga ɗuuƴ kaanfaa, bi laakissii daa ɓoꞌ tuukan, enndii sah ga fíkíi hal-kaadaa. Ya yaa yéegalɓa woꞌeenaa Kooh. 
MRK.2.3	Ɓiɓoꞌ hayussa gari, haydohɗussi ɓaa lafañin. Ƴaal ɓinikiis ɓërí teembeelussi. 
MRK.2.4	Ga daa ɓa mínndii gari kideeƴ ndaga mbooloomaa, ɓa nammba kiheel gúl ga cakaraa
MRK.2.5	Daa Yéesu hotee ngëmaagaɓa waama, woꞌꞌa lafañaa an:
MRK.2.5	- Ƴaal, baakaaꞌcumgaraa bayaluununndaa.
MRK.2.6	Wiima lak laakin jëgíroh-waascaa yuŋ daama. Ɓaa halaat an: 
MRK.2.7	«Iñii tah ɓii yii kiwoꞌ iñaama ya? Ɓasin Kooh! Ɓii mín kibayal baakaaꞌ ɓa, enndii Kooh dogaa?»
MRK.2.8	Yéesu ínohha haat ga helaagari iñaa ɓuwaama halaatɗa. Ya woꞌꞌaɓa an:
MRK.2.8	- Iñii tah ya ɗú halaat iñuma ga helciigarúu? 
MRK.2.9	Kon iñii yiida wëñ kiyooɓ kiwoꞌ lafañii: kiwoꞌꞌi an «Baakaaꞌcumgaraa bayaluununndaanoo», kiwoꞌꞌi an «Koluka fu tíin»? 
MRK.2.10	Wayee bi ɗú ínoh an ga ëldúna, 
MRK.2.10	Ya woꞌꞌa lafañaa an:
MRK.2.11	- Mi woꞌꞌaaka, kolka, ɓewaa gataniigaraa, fu ƴee kaanfu!
MRK.2.12	Daama lafañaa dalla kikoluk, ɓeɓpa gatanaagari, yaa meƴ ga fíkíi ɓéeɓ. Fodaama ɓuwaa tóoh jaahliꞌussa ga iñaama, ɓa ɓaa ndam Kooh anee:
MRK.2.12	- Iñaa man na iñii yii, ɗí mosoori kihot!
MRK.2.13	Yéesu meyissa ga ɓak 
MRK.2.14	Ya enee na kipaaf, ya hotta 
MRK.2.14	- Taabukaaroo!
MRK.2.14	Léwí kolukka, yaa taabukki.
MRK.2.15	Lëehíꞌta, Yéesu enee na kiñam ga kaan Léwí, ee juuti ɓiyewin, na ɓuwaa júwussii boksee nari kiñam ɓan, ya na tëelíbéecaagari. Ga ɓuwaa taabukussiɗa, yewneera ɓuwaa man ɗa. 
MRK.2.16	Ga daa jëgíroh-waascaa faꞌ na 
MRK.2.16	- Iñii tah ya, ya bok kiñam na juuticii na ɓuwii júwussiiɗa?
MRK.2.17	Daa Yéesu kelohee iñaama, ya woꞌꞌaɓa an:
MRK.2.17	- Ɓuwaa dara gaa naɓa laakussii sooli ga payoh, wayee ɗúukoolíꞌcii ɓërí laak sooli ga. Mi hayyii ëldúna kiɓay ɓuwii júwinɗa, wayee mi hay kiɓay haꞌ-baakaaꞌcii.
MRK.2.18	Laakka bes, tëelíbéecaa Saŋ
MRK.2.18	- Iñii tah ya tëelíbéecii Saŋ na ɓii Fërísiyeeŋcii ɓii ooꞌ, ee tëelíbéeciigaraa ooꞌsoo?
MRK.2.19	Yéesu taassaɓa an:
MRK.2.19	- Ɓedohcaa haꞌ-kílookkaa mínin kiꞌooru ee lak haꞌ-kílookkaa yaa naɓane? En lakanaa haꞌ-kílookkaa kaa lís naɓa kiꞌen, ɓa mínoo kiꞌooꞌ. 
MRK.2.20	Wayee bes waa hay, waa haꞌ-kílookkaa hay kiɓewohu ga leelooɓa, bëríinaama nak, ɓa hay kiꞌooꞌ. 
MRK.2.21	Ken ɓewoo píis wiꞌas daafwa ga líil-kúltí. Enndiikanaa píisaa wiꞌaswaa hay kiɓaydoh yen ga líil-kúltaa, wa tum ɗaraa wëñ kiyak. 
MRK.2.22	Fodaama, ken tumoo biiñ wiꞌas ga mbúus-oncaa maañin. Enndiikanaa biiñaa lúudaa, pook mbúuscaa: biiñaa aamuk mbúuscaa yasukoh. Kon biiñ wiꞌas jom kiꞌeku ga mbúus-on ciꞌas!
MRK.2.23	Enee ga bes 
MRK.2.24	Laakka 
MRK.2.24	- Malka! Iñii tahɓa kitum ya iñaa 
MRK.2.25	Yéesu woꞌꞌaɓa an:
MRK.2.25	- Hanaa ɗú jaŋngii iñaa buuꞌ 
MRK.2.26	Ya aassa taalaa Kooh, waama lak Abíyataaꞌ yërí enee 
MRK.2.27	Yéesu tíkiꞌtaɓa ga an:
MRK.2.27	- Ɓoꞌ yërí tah bes Sabat kitumu, enndii bes Sabat tah ɓoꞌ kisaku. 
MRK.2.28	Iñaama tah kon, bi 
MRK.3.1	Laakka bes, Yéesu karissa 
MRK.3.2	Ɓuwaa ensee daɗa ɓaa malak ga Yéesu, ati ya hay kiwëkíꞌ ɓoꞌ ga bes 
MRK.3.3	Yéesu woꞌꞌa ɓaa laak yahaa ɗooƴkinɗa an:
MRK.3.3	- Kolka! Hayaa dii ga fíkíi ɓéeɓ!
MRK.3.4	Lëehíꞌta ya woꞌꞌa ɓuwaa ensee daɗa an:
MRK.3.4	- Iñii onohu kitum ga bes Sabat ya? Iñaa jofin wala iñaa moroo? Kisom kumuun ɓoꞌ wala kilaŋ kumuun?
MRK.3.4	Ɓa ennda tiiꞌ. 
MRK.3.5	Yéesu malakkaɓa ɓéeɓɓa na keeñ-tam, iñaama mesikkari ga daa ɓa súɓ ga keeñɗa. Ya woꞌꞌa haꞌ-yahaa an:
MRK.3.5	- Lërísaa yahii!
MRK.3.5	Ɓaa lëríssa, yahaa wakka, mannda ga daa wa eneeɗa. 
MRK.3.6	 meyussa, ɓa dalla kihídoh na ɓuwaa faꞌ na buuꞌ Erootɗa
MRK.3.7	Yéesu aawwa ɓak 
MRK.3.8	Ɓoꞌ ɓiyewin ɓiliis, daa ɓa kelohsee iñaa ya tumɗa, ɓa ɓaa hay gari ɓan; ɓa meyohsee gohaa Yúudée na dëkaa Yéerúsaleem, na gohaa Ídúmée
MRK.3.9	Ya woꞌꞌa tëelíbéecaagari ɓa heeliꞌti gaal-looci en ɗanaa ya míni ga kiꞌaas, doonaa ɓuwaa ñaakoo ga ɗookci. 
MRK.3.10	En kiꞌenaa, daa ya enee na kiwëkíꞌ ɓoꞌ ɓiyewinɗa tahha ɓéeɓ ɓaa ɗúukoolin yaa ɓociroh kiꞌam gari. 
MRK.3.11	Ee daa raɓcaa hotohussi ɓéeɓ, ɓa ƴíꞌɗiri, ɓa fiipi an: «Fu yërí en 
MRK.3.12	Wayee Yéesu ɗígiɓa na woꞌeen ciyëgísíꞌ, kihoonohɓa kiwoꞌ ɓaa ya enɗa.
MRK.3.13	Lëehíꞌta, Yéesu lappa ga ɗook jaŋjagaa, ya ɓayya ɓuwaa ya waaꞌɗa; ɓa hayya gari. 
MRK.3.14	Ya tanukka ɓidaaŋkaah na ɓanak, ɓaa ya teek apotaaꞌ: ɓa tes nari ee ya wosiɓa kijangatnee; 
MRK.3.15	ya eꞌdohhaɓa dooli kikaal raɓ ga ɓuwaa. 
MRK.3.16	Ɓuwii ɓii ɓërí en ɓidaaŋkaah na ɓanakɓii ya falɗa: Simoŋ (yërí ya teek Peeꞌ)
MRK.3.17	Saak na këmëeŋkíci Saŋ, towu 
MRK.3.18	Andari; Filiip; Bartulëmíi; Mëccëe; Toomaa; Saak, kowu Alfee; Tadee; Simoŋ selootaa, 
MRK.3.19	na Yúdaa Iskariyot ennda yaa toonan Yéesuɗa.
MRK.3.20	Yéesu ɓoyukka kaan. Ɓoꞌ ɓiyewin nëgírukohissa daama, bi tahha Yéesu na tëelíbéecaagari mínséeríi sah kiñam. 
MRK.3.21	Mbokcaa Yéesu kelohuka hen, ɓa ɓaa hayyi kiꞌamnee, ndaga ɓa woꞌee an hafaagari múuyin.
MRK.3.22	Laakka jëgíroh-waascaa meyohsee Yéerúsaleem, ɓaa woꞌ an:
MRK.3.22	- 
MRK.3.23	Yéesu ɓayyaɓa, 
MRK.3.23	- Seytaani mín na kikaal Seytaani? 
MRK.3.24	Binaa nguuꞌ hëgískoh ga ɗuuƴwanaa, nguuraama mínoo kituuk. 
MRK.3.25	Ee binaa kaan hëgískoh ga ɗuuƴfanaa, kaanfaama mínoo kituuk. 
MRK.3.26	Kon binaa Seytaani heñoh na hafci, ee ya hëgískohaa, ya mínoo kilís, ya dal kiɗúm. 
MRK.3.27	Binaa ɓoꞌ hay kiꞌaas ga kaan ɓaa yaa na doolaagari gík, ya ɓeɓ iñaa yaama laakɗanaa, ya jommbi kiɓaŋ hen paaƴ, doonaa ya han kimín kipook kaanfaa. 
MRK.3.28	Mi woꞌꞌúuka ee kayoh; ɓoꞌ mínin kibayalu iñaa en tóoh: baakaaꞌcaagari na woꞌeen-ɓaseecaa ya mínin kiꞌek Kooh tóoh. 
MRK.3.29	Wayee ɓaa fu woꞌ iñaa moroo ga Helaa yiselaꞌíꞌyaa ɓéeɓ, fu bayalsoo bi taaꞌ, fu koorukan baakaaraama bi taaꞌ.
MRK.3.30	Yéesu woꞌeeɓa fodaama, ndaga ɓa woꞌee gari an raɓ nari.
MRK.3.31	Eew Yéesu na ɓikëmëeŋkíci leꞌussa. Ɓa eemmba fooh, ɓa wosohha kiɓaynee Yéesu. 
MRK.3.32	Lak ɓoꞌ ɓiyewin yuguunun daama, wíiluununndi. Ɓa woꞌꞌari an:
MRK.3.32	- Taasa, eefu na ɓikëmëeŋkífu ɓaa day ga fooh, soolukussaa.
MRK.3.33	Ya taassa an:
MRK.3.33	- Ɓii en eewwoo ɓa? Ɓuwii en ɓikëmëeŋkírooɗa ɓa?
MRK.3.34	Ya weessa has ga ɓuwaa wíilliɗa, ya ennda an:
MRK.3.34	- Malkat, eewwoo na ɓikëmëeŋkíroo ɓeema. 
MRK.3.35	Ɓaa tumi iñaa Kooh waaꞌɗa, ɓaama yërí en këmëeŋkíroo yiƴaal wala yiɓeti, wala eewwoo.
MRK.4.1	Laakka bes Yéesu enissa ga kijangat ga seereenaa 
MRK.4.2	Ya jëgíꞌtaɓa enaama ciyewin caa taam na 
MRK.4.3	- Súkúrukat! Enee línoh, ya kolukka yaa ƴah kisoknee. 
MRK.4.4	Ga daa ya en na kisokɗa, laakka tesohtaa keen ga yahaanaa waasaa, selcaa hayussa, ñamussata. 
MRK.4.5	Laakka tesohtaa keen ga ɗekataa yewinin atoh, daa yewinndii kakay. Tesohtaa gaawwa kipaal ndaga lak kakayfaa yewinndii. 
MRK.4.6	Ee daa nohaa koluk ga ɗook hen, tëkíꞌta iñcaa paaleeɗa, ca súɓpa ndaga níilcaagaca abéeríi. 
MRK.4.7	Laakka tesohtaa keen ga ƴówée-lúp, ta paalla da. Lúpcaa yakka, dallata kiꞌon bi ta mínndii kimeƴdoh boŋ. 
MRK.4.8	Laakka tesohtaa keen ga kakayfaa laakin dooli, ta paalla, ta yakka bi ta ɓíríssa, tummba towu: tii haydohha iñaa leꞌin waas cidaaŋkaah-kaahay ga tesohtaa sokseeɗa, tii cidaaŋkaah-yitniinoo, tii citéeméeꞌ.
MRK.4.9	Lëehíꞌta ya tíkka ga an:
MRK.4.9	- Ɓaa fu laakin nof kikelohaa, súkúruka!
MRK.4.10	Daa ya úsaayee mbooloomaa, ɓidaaŋkaah na ɓanakɓaa na ɓuwaa daansee nari kitaamɗa meekissari ga loo 
MRK.4.11	Yéesu taassaɓa an:
MRK.4.11	- Ɗú ɓërí Kooh eree kiꞌínoh kúmpafaa Nguuraagari, ee ɓuwii tes ga foohɗa, ɓa kelohan ga liiwuk na liiwuk. 
MRK.4.12	Doonaa,
MRK.4.12	«Ɓa mín kimalak bi jof ee ɓa hotoo dara,
MRK.4.12	ɓa mín kikeloh bi jof ee ɓa ínohoo dara,
MRK.4.12	en ɗanaa ɓa récukoo baakaaꞌciigaɓa bi Kooh bayalɓa!»
MRK.4.13	Yéesu woꞌsissaɓa an:
MRK.4.13	- Binaa ɗú ínohhii iñii liiwukii wii waaꞌ kiwoꞌɗanaa, ɗú mínan na kiꞌínoh iñii liiwukcii tesɗa waaꞌ kiwoꞌɗa?
MRK.4.14	Sokohaa sok woꞌeenaa Kooh. 
MRK.4.15	Ɓíinoo mëdírohu na ɗekataa ga yahaanaa waasaaɗa, ee sokohaa sok woꞌeenaa ga ɗuuƴɓa. Bi ɓa laasan kikeloh woꞌeenaanaa, Seytaani hay, nís woꞌeenaa ɓa sokɗusee ga keeñcaagaɓaɗa. 
MRK.4.16	Ɓíinoo mëdírohu na ɗekataa sokuunun ee yewinin atoh. Ɓa keloh woꞌeenaa Koohaa, haat ɓa safaꞌ gawa kiteꞌ. 
MRK.4.17	Wayee ɓa úsaayoo ga, ndaga woꞌeenaa Kooh huuttii ga keeñcaagaɓa. Fodaama, binaa woꞌeenaa Kooh tahɓa kiꞌen ga iñaa newoo, wala ɓa tumu iñaa meskinaa, ɓa gaaw nawa kigúroh. 
MRK.4.18	Ɓíinoo ɓaa mëdírohu na ƴówée-lúpaa sokuunun. Ɓa hay kikeloh woꞌeenaa Kooh, 
MRK.4.19	wayee halaat ëldúna na kiwaaꞌ kihëpíꞌkaa aaw ga alal na waareen ciliis abuɓa; iñcaama on woꞌeenaa Kooh bi tah wa mínoo kilím yen. 
MRK.4.20	Ɓíinoo mëdírohu na kakayfaa laakin dooli, soku. Ɓa keloh woꞌeenaa Koohaa, ɓa teꞌwa, ee ɓa laakiꞌ Kooh jeriñ. Ɓii haydoh iñaa leꞌin waas cidaaŋkaah-kaahay ga iñaa sokseeɗa, ɓii cidaaŋkaah-yitniinoo, ɓii citéeméeꞌ.
MRK.4.21	Yéesu woꞌissaɓa an:
MRK.4.21	- Ɓoꞌ haydohin lampu líꞌ kanu gane? Wala ekwa ga fíldoo fayaage? Man lampu líksi hen
MRK.4.22	Laakkii iñaa mín kiɗaakuk bi hotukoo. Ee laakkii iñaa ɓoꞌ mín kiɗaak bi meƴdohsoo faŋ. 
MRK.4.23	Ɓaa fu laakin nof kikelohaa, súkúruka!
MRK.4.24	Ya woꞌsissaɓa an:
MRK.4.24	- Malaksukohat iñcii ɗú kelohiɗa. Nataa ɗú natoh ɓuwiiɗa wërí ɗú natohohsan ee ɗú ɓaatɗu ga. 
MRK.4.25	En kiꞌenaa, ɓaa laakin, hay kiɓaatɗu; wayee ɓaa laakoo, kiꞌiñkaa ya ɓayɗa sah hay kiteꞌu.
MRK.4.26	Yéesu tíkissa ga an:
MRK.4.26	- 
MRK.4.27	Ya enat ga kineehi, ya yúuduki, wekoo nohoo, wayee tesohtaa taa paal, taa yak. Ee ya yéegoo dara ga. 
MRK.4.28	Kakay fërí yëkɗi iñaa paal gari tóoh. Aboh ga daa wa paalan, lëehíraa wa ɓírís boŋ, tum towu. 
MRK.4.29	Yoonaa súwinaa ya aasi ga na kupíikaaꞌkaagari; ndaga lak kipíik leꞌin
MRK.4.30	Yéesu woꞌissa an:
MRK.4.30	- Iñii ɗu mín kimëdíroh Nguurii Kooh nawaɗa ya? Wala 
MRK.4.31	Wa man na kowu-kedik fodii kowu-fúdan, binaa sokunaa, kërí wëñ kijutuut ga tesohtii tóoh en ga ëldúnaɗa. 
MRK.4.32	Wayee ka laas kisokunaa, kedik-fúdankaa koluk bi wëñ kiyak iñcii línsiɗa, ee ka laak toy tiyaak taa wëeꞌtaa ga an tii selcii Kooh mínu kitaal ga ɗuuƴ tuuꞌtaagaca.
MRK.4.33	Ya daanee kiyéegaloh woꞌeenaa Kooh na liiwuk ciyewin caa manɗa; hínnda na fodaa daa ɓuwaa mín kiꞌam ga helcaagaɓaɗa. 
MRK.4.34	Ya woꞌéeríi iñaa enndii liiwuk na ɓuwaa; ee ya wéetta na tëelíbéecaagarinaa, ya ɓëgísiɓa ga liiwukcaa tóoh.
MRK.4.35	Besaa bëríi, lak Kooh yaa hooɓ, Yéesu woꞌꞌa tëelíbéecaagari an:
MRK.4.35	- Ɗu paafat giiyii ɓakaa hanoh gaaɗa.
MRK.4.36	Waa ɓa tagohha na mbooloomaa, ɓa ɓayya Yéesu ga loocaa ya enoheeɗa. Laakeera ɓan looci ciliis caa taamsee nari. 
MRK.4.37	Uuris wiyaak dalla kiyíp, dúusaa ɓewukka, waa weesuk ga ɗuuƴ loocaa bi haat waa líif na músú. 
MRK.4.38	Lak Yéesu yaa neeh ga ɓakaa hanoh bosaa loocaaɗa, tígínkin. Tëelíbéecaagari yúudussari, ɓaa woꞌꞌi an:
MRK.4.38	- Jëgírohii! Tumuuntii ɓuwii ɓíttiiraane?
MRK.4.39	Ya yúudukka, ya gëtta uurisaa, ya woꞌꞌa giiyaa an:
MRK.4.39	- Ɗekoha, fu yeewuk!
MRK.4.39	Uurisaa tuukka, ɗekataa ennda cel. 
MRK.4.40	Lëehíꞌta ya woꞌꞌa ɓuwaa an:
MRK.4.40	- Iñii tahhúu kiniik ya? Ɗú gëmmbii garoo bi watine?
MRK.4.41	Ɓa tíitta lool ga iñaama ee ɓa ɓaa meekisoh ga leelooɓa an:
MRK.4.41	- Kon ɓii yii yërí en ɓa, bi uurisii sah na giiyii tumsi ga iñaa ya nakohɗa?
MRK.5.1	Ɓa leꞌꞌa tewisaa 
MRK.5.2	Yéesu yaa yoosuk ga loocaa, laakka ɓaa raɓ am, meyohha ga ɗuuƴ loycaa
MRK.5.3	Ya dëkee ga loycaa ee ken mínsiséeríiri kipok, luu enee na ceen. 
MRK.5.4	Leekleek ya jëengíseera kotcaa, yahcaa poku na ceen, wayee ya gúꞌ ceencaa, ya weel jéeŋcaa. Ken laakéeríi dooli kiꞌammbi. 
MRK.5.5	Wekoo nohoo, ya enee ga ɗuuƴ loycaa na ga jaŋjaŋcaa; ya weleluki, ya gaañi hafci na atoh.
MRK.5.6	Daa ya séenee Yéesu, ya yaa fool, ya ƴíꞌꞌa ga fíkíici, 
MRK.5.7+MRK.5.8	Yéesu woꞌꞌari an:
MRK.5.7+MRK.5.8	- Hel wibóníꞌ, meyohaa ga ɓii!
MRK.5.7+MRK.5.8	Ɓaa ennda ga kifiip didóolíꞌ an:
MRK.5.7+MRK.5.8	- Yéesu, fu naroo ya, fu 
MRK.5.9	Yéesu meekissari an:
MRK.5.9	- Fu teeku na?
MRK.5.9	Ɓaa taassa an:
MRK.5.9	- Mi teeku coogeel, ndaga ɗí yewinin.
MRK.5.10	Helaa wibóníꞌwaa kíimee Yéesu doonaa ya meƴdohoori ga kúlkaa.
MRK.5.11	Lakanaa laakin yop-mbaam-parki
MRK.5.12	Raɓcaa kíimmba Yéesu an:
MRK.5.12	- Ëewdohaaríi ga mbaamcii, fu ekkíi gaɓa!
MRK.5.13	Ya onndaɓa iñaama. Raɓcaa meyussa ga ɓaa, aasussa ga mbaamcaa; yopaa írkísukka tëgël-tëgëlaa, keennda ga giiyaa: mbaamcaa leꞌin ɓijúnni-kanak, muurussa ga giiyaa.
MRK.5.14	Níirohcaagaɓa núpussa, ɓa woꞌneera iñaa hewɗa ga teeraa na dëkcaa cíinoo. Ɓuwaa ɓaa hay kimalak iñaa hewɗa. 
MRK.5.15	Ɓa hayya bi ga Yéesu, ɓa hotta haꞌ-rawaa ɓayee coogeelaaɗa yugin, ekkin kúltí, taammba na sagaagari. Ɓa dalla kiniik. 
