GEN.1.1	A kipatcilin Pasian in van le lei piangsak hi. 
2SA.14.31	 Tua ciangin Absalom inn ah Joab pai a, ama kiangah, "Bang hangin na nasemte in ka lo hong halsak uh ahi hiam?" a ci hi.
2SA.14.32	 Absalom in Joab kiangah, "En in, nang kong thukhak a, ‘Kumpipa kiangah hong sawlin, "Bang hangin Geshur panin hong ciah ka hi hiam? Tua lai-ah om lai leng kei adingin a hoihzaw ding hi!" ci-a nong dotsak ding ka deih hi. Tua hi-a tu-in kumpipa maitang ka mu nuam hi, na khatpeuh a khial ka hileh amah hong thatsak in,’ ci-in kong dongsak nuam hi," a ci hi.
2SA.14.33	 Kumpipa kiangah Joab pai-a a va gen hi. Tua ciangin kumpipa in Absalom samsak a, amah a sungah tumin kumpipa mai-ah leilam nga-in a kunsuk hi. Tuateh kumpipa in Absalom a nam hi.
2SA.15.1	Hih hun khit ciangin Absalom in a mai-a tai ding sakolleng khat le sakolte le mi sawmnga a kithawisak hi. 
2SA.15.2	 Amah thobaih a khuapi kongpi zuatna lampi gei-ah a ding hi. Kumpipa mai-ah thukhensak ding lungkimlohna a nei mi pai khatpeuh a om ciangin Absalom in sama, "Nang koi khua pan na hiam?" ci a, amah in, "Na nasempa Israel beh khat pan ka hi hi," ci-in a dawng hi. 
2SA.15.3	 En in, na thuneih dikin kician sinsen hi, ahi hangin na thu hong sit dingin kumpipa in mi a koih kei hi," a ci hi. 
2SA.15.4	 Tuateh Absalom in, "Gam sungah kei thukhenin hong kiseh le maw! Lungkimlohna a nei ahikeh thu nei peuhmah hong pai dinga thutangin a thu ka khensak ding hi," a cih beh hi.
2SA.15.5	 Mi khatpeuh in ama lam manawh in a mai-ah a kunsuk leh Absalom in a khutin zama, amah lenin a nam hi. 
2SA.15.6	 Absalom in kumpipa tunga thutang dong dinga pai Israel-te khempeuh tungah hici bangin bawla, hih bangin Israel mite lungsim a gukhia hi.
2SA.15.7	 Kum li b
2SA.15.8	 Aram a Geshur ah na nasempa ka ten lai-in: "
2SA.15.9	 Kumpipa in, "Lungnuamin pai in," ci hi. Tua ciangin Hebron ah a pai hi.
2SA.15.10	 Tua ciangin Absalom in Israel behte sung khempeuh ah kamtai sawlsim a, "Pengkul ging na zak phetun, ‘Hebron ah Absalom kumpi ahi hi,’ ci un," a cisak hi. 
2SA.15.11	 Jerusalem panin Absalom in mi zanih a tonpih hi. Amaute mawhpeng hi-in lengla bang lel-a kisam hi a, bangmah thu a thei kei uh hi. 
2SA.15.12	 Absalom in biakna a piak laitakin David thu kuppihpa Gilon-te Ahithophel zong ama gam khuapi Giloh pan a pai nadingin a vaikhak hi. Tua bangin sawmsimna thahatin Absalom nungzui a khang semsem hi.
2SA.15.13	 David kiangah kamtai khat pai a, "Israel mite lungsim Absalom in zo khin hi," ci-in a gen hi.
2SA.15.14	 Tua ciangin David in Jerusalem a, a ompih a ulian khempeuh tungah, "Hong pai un! I tai kei leh Absalom in eite khat beek hong suaktasak lo ding hi. Thakhatin i nusiat pak kei leh manlangin hong kuan dinga eite hong zoin hong siasak ding uh a, namsau-in khuapi a vat ding uh hi," a ci hi.
2SA.15.15	 Kumpipa’ uliante in, "Ka topa uh kumpipa in a tel peuhpeuh a sem dingin na nasemte kithawisa-in ka om uh hi," ci-in a dawng uh hi.
2SA.15.16	 Kumpipa paikhia-a, a innkuanpih khempeuh in amah a zui uh hi; ahi hangin amah in a kumpi inn kem dingin a zinote sawm a nusia hi. 
2SA.15.17	 Tuaci-in kumpipa paikhia-in, a mite khempeuh in zui uh a, a gamla simsim mun khatah a khawl uh hi. 
2SA.15.18	 A mite khempeuh in amah makhelh uh a, Kereth-te khempeuh, Peleth-te khempeuh le Gath pana a tonpih mi zagukte a vekun kumpipa mai-ah a pai uh hi.
2SA.15.19	 Kumpipa in Gath mi Ittai kiangah, "Bang dia ko hong zui na hi hiam? Ciah kik inla Kumpi Absalom tawh om in. Nang gamdang mi na hi a, na gam pana hong kihawlkhia ahi hi. 
2SA.15.20	 Zana hong tung pan bek na hi hi. Tua hi a, ka pai nading mun ka theih lohna ah tuni in nang hong kawivakpih ding ka hi hiam? Ciah kik inla na khuapih mite tonpih in. Migitna le muanhuaina no tawh om ta hen," a ci hi.
2SA.15.21	 Ahi hangin Ittai in kumpipa kiangah, "
2SA.15.22	 David in Ittai kiangah, "Pai ou leh," a ci hi. Tua ciangin Gath mi Ittai a mite khempeuh le ama tonpih a innkuanpihte in a zuisuak uh hi.
2SA.15.23	 Tua mite khempeuh nawkna khuaneu-a mite khempeuh a kapkhia uh hi. Kumpipa in zong Kidron Kuam kantana mite khempeuh in sehnel-gam lam a manawh uh hi.
2SA.15.24	 Zadok zong tua lai-ah kihel a, ama ompih Levi-te khempeuh in Pasian thukhun singkuangpi a pua uh hi. Amaute in Pasian singkuangpi nga uh a, mite khempeuh khuapi pan a pusuah khit matengun Abiathar in biakna a
2SA.15.25	 Tua ciangin kumpipa in Zadok kiangah, "Pasian singkuangpi khuapi sungah puak kik un. 
2SA.15.26	 Ahi hangin amah in, ‘Nang tungah ka lungkim kei hi,’ a cih leh kei a kigingsa ka hi hi; kei tungah hoih a sak bangbang hong hih ta hen," a ci hi.
2SA.15.27	 Kumpipa in siampi Zadok kiangah zong, "Thumukhol khat hi lo na hi hiam? Na tapa Ahimaaz le Abiathar’ tapa Jonathan tawh lungnuamtakin khuapi ah ciah kik un. Nang le Abiathar in na tapate gel uh tonpih un. 
2SA.15.28	 Sehnel-gam sunga ngahmun ah no hong zaksakna ka zak mateng ka na ngak ding hi," a ci hi. 
2SA.15.29	 Tua ciangin Zadok le Abiathar in Jerusalem ah Pasian singkuangpi pua kik uh a tua lai-ah a om uh hi.
2SA.15.30	 David ahileh Olive Vum ah paito lai-a, a pai kawmin a kap hi; a lu khuha a khe guakin a pai hi. Ama tonpihte khempeuh in zong a lu uh khuh uh a, a paitoh kawmun a kap uh hi. 
2SA.15.31	 Tua hunin David kiangah, "A lehdo mite lakah Absalom tawh Ahithophel kipawl hi," ci-in a kigen hi. Tua ciangin David in thu ngen a, "
2SA.15.32	 Mite in Pasian biakna muna a zat uh mualdawn ah David a tun ciangin amah tawh kimu dingin Ark mi Hushai na om-a a puantual kibalkekin a lutungah leivui a khu hi. 
2SA.15.33	 David in ama kiangah, "Kei nong zuih leh nong gimsak ding hi. 
2SA.15.34	 Ahi hangin khuapi ah kileh kik inla Absalom kiangah, ‘Kumpipa aw, na nasem kong suak ding hi; a beisa hunin na pa’ nasem ka hi hi; tu-in nang nasem kong suak ding hi,’ va ci lecin Ahithophel ngaih-sutpihna lawhsamsakin kei nong huh thei ding hi. 
2SA.15.35	 Siampite Zadok le Abiathar tua lai-ah nang tawh om ding hi lo ahi hiam? Kumpi inn sunga na zak khempeuh amau ko in. 
2SA.15.36	 Amau tapa nihte, Zadok’ tapa Ahimaaz le Abiathar’ tapa Jonathan-te amau tawh tua lai-ah a omkhawm uh hi. Zak khatpeuh na neih uh ciangin kei kiangah hong sawl un," a ci hi.
2SA.15.37	 Tua ciangin khuapi ah Absalom a lut laitakin Jerusalem ah David lawmpa Hushai a tung hi.
2SA.16.1	Mualdawn galdiak ah David a tun ciangin Mephibosheth neihsa kempa Ziba in amah a na dawn hi. Amah in anlum zanih, lenggah mohkeu zakhat, thei moh za khat le zu savun-um khat a pua tutphah vawhsa laa nih tawh a na dawn hi.
2SA.16.2	 Kumpipa in Ziba kiangah, "Bang hanga hihte hong puak na hi hiam?" ci-in a dong hi.
2SA.16.2	Ziba in, "Laate kumpi innkuante tuan nading hi a, anlum le singgahte mite nek ding hi-in, a zu pen sehnel gama a tha beite tha thawh kik nading ahi hi," a ci hi.
2SA.16.3	 Tua ciangin kumpipa in, "Na pu’ tupa koi-ah om ahi hiam?" ci-in a dong hi.
2SA.16.3	Ziba in, ama kiangah, "Amah Jerusalem ah omlai hi, bang hang hiam cih leh,‘Tuni-in Israel innkuante in ka pu kumpi-gam hong pia kik ding hi,’ ci-in ngaihsun hi," a ci hi.
2SA.16.4	 Tua ciangin kumpipa in Ziba kiangah, "Mephibosheth neihsa peuh mah tu-in nang aa ahi hi,"a ci hi.
2SA.16.4	Ziba in, "Kiniamkhiatin kong kun hi; ka topa kumpipa aw, na mai-ah maipha hong ngahsak in," a ci hi.
2SA.16.5	 Kumpipa David in Bahurim a manawh laitakin Saul innkuan tawh a bawng’ kibang mi khat tua lai panin a paikhia hi. Amah Gera’ tapa hi in a min Shimei hi a, a hamsiat kawmkawmin a paikhia hi. 
2SA.16.6	 Amah in David veilam le taklam ah galkap honte le amah a cingte om napi David le a uliante khempeuh suangtangin a deng hi. 
2SA.16.7	 A hamsiat kawmkawmin Shimei in, "Paikhia, paikhia, no mihing sisan suahte, no misiate! 
2SA.16.8	 Ama muna na uknapa, Saul innkuan sunga na luansak sisan 
2SA.16.9	 Tua ciangin Zeruiah’ tapa Abishai in kumpipa kiangah, "Bang hangin hih ui sisa in ka topa kumpipa hamsiat ahi hiam? A kiangah pai-in a lu hong tankhiasak in," a ci hi.
2SA.16.10	 Ahi hangin kumpipa in, "No Zeruiah’ tapate aw, no le ko bang kisai i hi hiam? Amah 
2SA.16.11	 Tua ciangin David in Abishai le uliante khempeuh kiangah, "Ka tapa, keima ci-le-sa mahmah in kei thah hong sawm hi. Tua ci lehang hih Benjamin mipa in kei hong hicih ding mah hi! Amah koihkhong lel un; hamsiatsak lel un, 
2SA.16.13	 Tua ciangin David le a mite lampi tawnin a pai laitakun amau gal ah mualpang tawnin Shimei pai a, a pai kawmkawmin samsia a, amah suangtangin deng a leivui a theh hi. 
2SA.16.14	 Kumpipa le a tonpihte khempeuh gimpi in a tupna mun uh a tung uh hi. Tua lai-ah amahmah a tawlnga hi.
2SA.16.15	 Tua hun laitakin Absalom le Israel mite Jerusalem ah tung uh a, Ahithophel amah tawh a omkhawm hi. 
2SA.16.16	 Tua ciangin David lawmpa Arki mi Hushai, Absalom kiangah pai a, "Kumpipa khansawt hen! Kumpipa khansawt hen!" a ci hi.
2SA.16.17	 Absalom in Hushai kiangah, "Hih pen na lawmpa na itna na lahna hi ve maw? Bang dinga na lawmpa zui lo na hi hiam?" ci-in a dong hi.
2SA.16.18	 Hushai in Absalom kiangah, "Hi lo hi, 
2SA.16.19	 Tua banah ke’n kua na sem ding ka hi hiam? A tapa na sem lo ding ka hi hiam? Na pa na ka sep bang tektekin nangma na ka sem ding hi," a ci hi.
2SA.16.20	 Absalom in Ahithophel kiangah, "Na ngaihsutna hong gen in. Bang hih ding i hi hiam?" a ci hi.
2SA.16.21	 Ahithophel in, "Na pa in a inn cing dinga a nusiat a zinote luppih in. Tua ciangin Israel khempeuh in na pa langpanna za ding uh a, nang tawh a om khawm peuhmah a thakhauhsak ding hi," ci-in a dawng hi. 
2SA.16.22	 Tua ciangin amaute in inn tungah Absalom puanbuk lamsak uh a, Israel khempeuh muhin a pa’ zinote a luppih hi.
2SA.16.23	 Tua hi a, tua hun lai-in Ahithophel ngaihsutna, Pasian dot tawh a kibang ahi hi. Tua bangin David le Absalom in Ahithophel ngaihsutna a thupi sim uh hi.
2SA.17.1	Ahithophel in Absalom kiangah, "Mi tul sawm le tulnih ka a
2SA.17.2	 Amah gima a thanem laitakin simin linthawnin ka sat dinga b
2SA.17.3	 mite khempeuh nang kong puak kik ding hi. A si dinga mi khat na zon, a vekpi-a hong ciahkikna suak dinga; mite khempeuh ka nasak kei ding hi," a ci hi. 
2SA.17.4	 Absalom le Israel upate khempeuh in tua geelna hoih sa uh hi.
2SA.17.5	 Ahi hangin Absalom in, "Ark-te Hushai zong sam dih un, amah’n bang gen hiam za phot dih ni," a ci hi. 
2SA.17.6	 Hushai ama kiang a tun ciangin Absalom in, "Ahithophel in hih ngaihsutna hong pia hi. A gen bangin i hih ding hiam? I hih kei ding leh na ngaihsutna hong gen in," a ci hi.
2SA.17.7	 Hushai in Absalom kiangah, "Ahithophel ngaihsutna tutungin hoih lo hi. 
2SA.17.8	 Na pa le a mite na theihsa ahi hi; amaute galdo siam uh a, gamlakah vompi no laksak bangin a hangsan uh hi. Tua thamlo in, na pa galdo siamsa khat hi a, zanin galkap honpi tawh a omkhawm kei ding hi. 
2SA.17.9	 Tu nangawnin suanghawm ah a buk kei leh mundang khatah om ding hi. Amah in nang galkapte hong sim masa e
2SA.17.10	 Tua ciangin Israel khempeuh in na pa galsiam hi-a, ama ompihte galhang ahilam a theihsa uh ahi manin, humpinelkai lungsim nei a hang pente nangawn lau-in lungsi ding uh hi.
2SA.17.11	 "Tua ahi ciangin kei ngaihsutna ah: Israel mi peuhmah Dan panin Beersheba ciang - tuipi gei-a sehnel zaha tamte - kikaikhawmin, nang mahmah in galsung ah amaute na makaih ding hi. 
2SA.17.12	 Tua hileh amah a kimuhna peuhpeuh ah simin leituala daitui kia bangin ama tungah i kia ding hi. 
2SA.17.13	 Amah khuapi sungah a nung kik leh, Israel khempeuh in khauhual kengin, tua khuapi a them zong a kimuh loh dongin kuam sungah i kaimang ding hi," a ci hi.
2SA.17.14	 Absalom le Israel mite khempeuh in, "Ahithophel ngaihsutna sangin Ark-te Hushai ngaihsutna hoihzaw hi," a ci uh hi. Ahang in, Absalom tungah siatna a tun theih nadingin 
2SA.17.15	 Hushai in siampi Zadok le Abiathar-te kiangah, "Ahithophel in Absalom le Israel upate kiangah hih bang hih banga sep dingin gen a, ahi hangin ke’n tuaci bang tuaci banga sep dingin ka gen hi. 
2SA.17.16	 Tu mahmah in thu paisak inla David kiangah, "Sehnel gam ngahmun ah tuzan na giak kei in; na galkah pelmawh kei uh leh kumpipa le ama ompih mi khempeuh hong kivalhtum ding hi,’ ci-in gen in," a ci hi.
2SA.17.17	 En Rogel ah Jonathan le Ahimaaz a om uh hi. Nasem numei khat in amaute thu va puakin amaute in kumpipa kiangah pai-in a va gen ding uh ahi hi; ahang in, tuate khuapi sungah a lut ding uh lauhuai hi. 
2SA.17.18	 Ahi hangin tangval khatin amaute mu a Absalom kiangah a ko hi. Tua ciangin tua mite gel paikhia uh a, Bahurim a mi khat inn a zuan uh hi. Tuapa in a huang sungah tuidum khat a nei hi; amaute tua sungah a kumsuk uh hi. 
2SA.17.19	 A zi in tuidum sin la-in a tungah sin-a, tua tungah an a zaal hi. Tua thu kuamah in a thei kei hi.
2SA.17.20	 Absalom mite tua inn a numei kiang a tun uh ciangin, "Ahimaaz le Jonathan koi-ah om uh hiam?" ci-in a dong uh hi.
2SA.17.20	Numei in amaute kiangah, "Amaute lui galkah khin uh hi," a
2SA.17.21	 Tua mite a paikhiat khit uh ciangin amaute tuidum panin kahto uh a Kumpi David thu puak dingin a pai uh hi. Amaute in, "Manlangin paikhia unla gungal kah un; Ahithophel in no tunga hih nadingin hibang, hibangin ngaihsutna pia hi," a ci uh hi. 
2SA.17.22	 Tua ciangin David le a ompihte khempeuh paikhia in Jordan galah a galkah uh hi. Khuavak ciangin Jordan galah a galkah nai lo khat beek a om kei uh hi.
2SA.17.23	 Ahithophel in ama ngaihsutna a kizuih loh lam a muh ciangin a laa tutphah vawhin ama gam khuapi-a a innah a ciah hi. A innsung vai hawmsaka tua khit ciangin a gui-awk hi. Tuaci-in amah si-a a pa hanah kivui hi.
2SA.17.24	 Mahanaim ah David pai a, Absalom le a mi Israel-te khempeuh Jordan a galkah uh hi. 
2SA.17.25	 Absalom in Joab munah galkapte a uk dingin Amasa a koih hi. Amasa pen Israel-te b
2SA.17.26	 Israel-te le Absalom in Gilead ah giahphual a sat uh hi.
2SA.17.27	 Mahanaim ah David a tun ciangin Rabbah pana Ammon-te Nahash’ tapa Shobi le Lo Debar pana Ammiel’ tapa Makir le Rogelim pana Gilead-te Barzillai in 
2SA.17.28	 puanlom le kuang le inn vanzatte a puak uh hi. Amaute in mangbuh le mangbuh-ham, annel le antang kansa, be le zawngbe e
2SA.17.29	 khuaizu le nawithau-khal, tuu le bawngnawi-khalte David le a mite nek dingin a puak uh hi. Bang hang hiam cih leh amaute in, "Mite gilkialin gim uh a, sehnel gamah a dangtak uh hi," a ci uh hi.
2SA.18.1	David in ama ompih a mite kikhawmsak-a a tultul-a uk le a zaza-a ukte a seh hi. 
2SA.18.2	 David in galkapte kuankhiasak-a - sehthum-ah khat Joab uksakin sehthum-ah khat Zeruiah’ tapa Joab sanggampa Abishai uksak-a, a thumna Gath-te Ittai a uksak hi. Kumpipa in galkapte kiangah, "Kei mahmah no tawh kong kuankhawm kul ding hi," ci-in a gen hi.
2SA.18.3	 Ahi hangin mite in, "Na kuan peuhmah kei ding hi; kote hong kidelh kek leh kote hong ki-awlmawh lo ding hi. Kote a lang nangawn ka si uh zongin hong awlmawh lo ding uh hi; ahi hangin kote f
2SA.18.4	 Kumpipa in, "Note hoihsak penpenin ka gamta ding hi," ci-in a dawng hi.
2SA.18.4	Tua ahi ciangin mite khempeuh a tultul le a zaza ukin a kuankhiat laitakun kongpi gei-ah kumpipa a ding hi. 
2SA.18.5	 Kumpipa in Joab, Abishai le Ittai-te kiangah, "Kei nong khualna un tangvalpa Absalom hong dopsak un," ci-in thu a pia hi. Kumpipa in Absalom tawh kisai galkap ukte tung ciat-a a thupiak, galkapte khempeuh in a za uh hi.
2SA.18.6	 Israel sim dingin galkapte lopaang ah kuankhia uh a, Ephraim tulak ah gal a kido hi. 
2SA.18.7	 Tua lai-ah David mite in Israel galkapte zo uh a, tua ni-in a si tam lua mahmah in - mi tul sawmnih a si hi. 
2SA.18.8	 Mualtung khuaneu buppi ah kidona kizel a, tua ni-a namsau a si sangin tulak in nuntakna tam a susiazaw hi.
2SA.18.9	 Tu-in Absalom le David mite a kituak kha uh hi. Amah a laa tungah tuanga, tawsaw hiangzau mahmah nuai-ah a laa a pai laitakin sing kawmah Absalom lu a awk hi. A tuanna laa paisuak a, amah huih lakah kikhai-in a nusia hi.
2SA.18.10	 A hici a om tua mite khatin a muh ciangin Joab kiangah, "Tawsaw kung khatah Absalom kikhai ka mu hi," a ci hi.
2SA.18.11	 Tua a gen mipa tungah Joab in, "Bang e! Amah mu ing e? Bang dia tua mun mahah lei lakah satkhia pah lo na hia? Tua cih lecin ngun shekel g
2SA.18.12	 Ahi hangin mipa in, "Shekel h
2SA.18.13	 Kei nuntakna a lauhuai-in om kha leh - kumpipa in lah zak loh nei lo a - nang lah kei kiang pan na kikangkoih tuak hi," a
2SA.18.14	 Joab in, "Hih bangin nang hong ngak man nawn kei ning," a ci hi. Tua ciangin teikhawh thum la a, tawi-in tawsaw kawmah a hing lai-a om Absalom lungtang ah tuate in a sun hi. 
2SA.18.15	 Tuateh Joab’ galhiam tawi mi sawm in Absalom umcih uh a satin a that uh hi.
2SA.18.16	 Tua ciangin Joab in pengkul muta, Joab in khawlsak ahi manin galkapte in Israel a delh nawn kei uh hi. 
2SA.18.17	 Amaute in Absalom lakhia uh a tulaka dumpi khatah lawnin a tungah suangtum tampitak a ciannelh uh hi. Tua khit phetin Israel-te khempeuh amau inn ciatah a tai uh hi.
2SA.18.18	 Absalom in, "Kei min ban zom ding tapa ka nei kei hi," ci-in ngaihsun ahi manin a nuntak lai-in khuampi khat la-a, a mual dingin Kumpipa Kuam sungah a phut hi. Amah in tua khuampi ama min puasak a, tuni dongin Absalom Mual kici hi.
2SA.18.19	 Tua ciangin Zadok’ tapa Ahimaaz in, "Kei va tai-in 
2SA.18.20	 Joab in, "Tuni-a thuthak ko ding nang hi kei teh; kumpipa’ tapa si ahi manin a hun dang teh ko in," ci-in a gen hi.
2SA.18.21	 Tua ciangin Joab in Cush-mipa kiangah, "Pai inla na muhsa teng kumpipa va ko in," a ci hi. Joab mai-ah Cush mipa kuna a taikhia pah hi.
2SA.18.22	 Zadok’ tapa Ahimaaz in Joab kiangah, "Bangbang hi ta leh Cush mipa nungah kei zong hong taisak in," a ci kik hi.
2SA.18.22	Ahi hangin Joab in, "Ka tapa aw, bang pai nopna na hi hiam, thuthak hilh man pahtakman na ngah kei ding hi," ci-in a dawng hi.
2SA.18.23	 Tuapa in, "Bangbang hita leh tai nuam ing," a ci hi.
2SA.18.23	Tua ciangin Joab in, "Tai ou leh!" a ci hi. Tuateh zanglei b
2SA.18.24	 Kongpi sungnung le a puanung kikalah David a tut laitakin kulh kongpi khum zangah galvilpa a kahto hi. Amah khuadak a mi khat hong tai a mu hi. 
2SA.18.25	 Galvilpa in kumpipa samin a gen hi.
2SA.18.25	Kumpipa in, "Amah kia ahileh thu hoih hi ding hi," a ci hi. Mipa a nai tektek hi.
2SA.18.26	 Tua ciangin galvilpa in mi tai dang khat mu-a a nuai-a kongpi cingpa samsukin, "En dih in, midang khat kia hong tai leuleu!" ci-in a ko hi.
2SA.18.26	Kumpipa in, "Amah’n zong thu hoih mah hong puak pelmawh ding hi," a ci hi.
2SA.18.27	 Galvilpa in, "A masa pen Zadok’ tapa Ahimaaz tai tawh kisun sa ing," a ci hi.
2SA.18.27	Kumpipa in amah mi hoih hi; amah’n thu hoih hong tun ding hi," a ci hi.
2SA.18.28	 Tua ciangin Ahimaaz in a mai leilam ngatin kumpipa mai-ah kunsuk-a, "Hoih khin hi, 
2SA.18.29	 Kumpipa in tangvalpa Absalom a suakta hiam?" ci-in a dong hi.
2SA.18.29	Ahimaaz in, "Joab in kumpipa nasempa kei hong sawl laitakin buaina lianpi khat ka mu a, na nasempa in bang hiam cih ka thei kei hi," ci-in a dawng hi.
2SA.18.30	 Kumpipa in, "Pam ah ding inla na ngak in," a ci hi. Tua ciangin amah pai-in a pamah a ding hi.
2SA.18.31	 Tua khit ciangin Cush mipa tunga, "Ka topa kumpipa aw, thu hoih na za in! Na langa ding khempeuh panin tuni-in 
2SA.18.32	 Kumpipa in Cush mipa kiangah, "Tangvalpa Absalom a suakta hia?" ci-in a dong hi.
2SA.18.32	Cush mipa in, "Ka topa kumpipa galte le nang hong nasak nuam-a dingte khempeuh tua tangvalpa tawh kibang ta uh hen," ci-in a dawng hi.
2SA.18.33	 Kumpipa a kigaih hi. Amah kongpi tunga inndei-ah paito in a kap hi. A paitoh kawmin: O ka tapa Absalom! Ka tapa, ka tapa Absalom! Nang sih tangin kei si hoh leng maw! - O Absalom, ka tapa, ka tapa!" a ci hi.
2SA.19.1	Joab kiangah, "Kumpipa in Absalom kahkahin a thum-thum hi," ci-in a kiko hi. 
2SA.19.2	 Tua hi-a, tua ni-in, "A tapa hangin kumpipa dah hi," cih galkap honpi in za uh ahi manin galkap buppi adingin tua ni-a gualzawhna, thumna a suak hi. 
2SA.19.3	 Galsimna pana tai-te maizumin a dap lut bangin tua ni-in mipite khuapi sungah a daplut uh hi. 
2SA.19.4	 Kumpipa in a mai khuh in, "O ka tapa Absalom! O Absalom ka tapa, ka tapa!" ci-in nakpi in a kap hi.
2SA.19.5	 Tua ciangin inn sungah Joab lut a kumpipa kiangah, "Nangma nuntakna, na tanu na tapate nuntakna le na zipite le na zinote nuntakna a hukhia na mite khempeuh tuni-in na maizumsak hi. 
2SA.19.6	 Nang hong mudahte na it a, nang hong itte na mudah hi. Tuni-in galkap mangte le a mite bangmah man lo na suahsak lam kitel hi. Tuni in Absalom-te nungta henla, kote khempeuh si khin le ung na nuam ding lamtak ka thei hi. 
2SA.19.7	 Tu-in paikhia inla na mite hanthawn in. 
2SA.19.8	 Tua ciangin kumpipa ding to a, kongpi-a a tutna ah a tu hi. Mite kiangah, "Kongpi ah kumpipa tu hi," ci-a a kigen ciangin amaute khempeuh a mai-ah a pai uh hi.
2SA.19.8	Tua hun laitakin Israel-te a inn uah a tai uh hi. 
2SA.19.9	 Israel beh sung tengah, "Kumpipa in i galte khut panin hong hukhia hi; Philistia-te khut pana hong hukhia zong amah ahi hi. Ahi hangin Absalom hangin a gam taisan hi; 
2SA.19.10	 tuateh eite hong uk dingin sathau i nilhpa Absalom lah gal sungah si ta hi. Tua ahi ciangin bang hanga kumpipa lak kik ding a gen om lo na hi uh hiam?" ci-in mi khempeuh khat le khat a kingawh uh hi.
2SA.19.11	 Tua ciangin David in siampi Zadok le Abiathar-te kiangah, "Judah upate kiangah, ‘Israel sungteng khempeuh ah kumpipa ama muna omsak kik ding a kigen nungsang bang hangin kumpipa a kumpi inn ah tunpih kik ding, note a nunung pen hi ding na hi uh hiam? 
2SA.19.12	 Note ka sanggamte, keima si-le-sa na hi uh hi. Tua ahi ciangin bang hangin kumpipa a tun kik nunung pen hi ding na hi uh hiam?" ci-in a dongsak hi. 
2SA.19.13	 Tua ciangin Amasa kiangah, ‘Nang ka si-le-sa hi lo na hi hiam? Tu-a kipan mailam ah ka galkap mangpa dingin Joab munah kong koih kei tak leh Pasian in a ut bangin hong bawlin a nasiazaw-in zong hong bawl ta hen, ci hi’ ci un," ci-in thu a zasak hi.
2SA.19.14	 David in Judah mi khempeuh lungsim mi khata bangin a zo pah hi. Amaute in kumpipa kiangah, "Nang le na mite khempeuh hong ciah un," ci-in thu a zasak uh hi. 
2SA.19.15	 Tua ciangin Jordan dong kumpipa a ciah kik hi.
2SA.19.15	Tu-in kumpipa dawn ding le Jordan gal a kahpih dingin Judah mite kuankhia-in Gilgal a tung uh hi. 
2SA.19.16	 Bahurim pana Benjamin-te Gera’ tapa Shimei, Judah mite tawh kumpipa David dawn dingin manlangin a kuankhia hi. 
2SA.19.17	 Amah tawh Benjamin-te tul khat hi a, Saul innsung neihsa kempa Ziba tonpihin, a tapa sawm le nga le a nasemte sawmnih tawh ahi uh hi. Amaute, kumpipa omna Jordan ah a taisuk henhan uh hi. 
2SA.19.18	 Kumpipa innkuante a galkahpih ding le ama deih bangbang a sem dingin ngahmun ah a galkah uh hi.
2SA.19.18	Jordan galah Gera’ tapa Shimei a galkah khit ciangin kumpipa mai ah khup bawh a 
2SA.19.19	 a kiangah, "Ka topa in kei hong mawhsak kei in. Ka topa kumpipa in Jerusalem na nusiat ni-a na nasempa gamtatna ciamteh kei in. Kumpipa in na lungsim ah koih kei in. 
2SA.19.20	 Ahang in, na nasempa keimah ka mawh lam ka thei hi; ahi hangin tuni-in ka topa kumpipa dawn dingin Joseph innkuan buppi panin kei hih lai kong tungsuk masa pen hi," a ci hi.
2SA.19.21	 Tua ciangin Zeruiah’ tapa Abishai in, "Hih thu hangin Shimei thah ding hi lo hiam? Amah in 
2SA.19.22	 David in, "Zeruiah’ tapa aw, nang tawh bang kisai i hi hiam? Tuni-in ka langpangte na suak khin uh hi. Tuni-in Israel khatpeuh kithat ding ahi hiam? Tuni-in Israel kumpipa ka hilam a thei lo hong sa na hi uh hiam?" ci-in a dawng hi. 
2SA.19.23	 Tua ciangin kumpipa in Shimei kiangah, "Na si peuhmah kei ding hi," a ci hi. Tuateh ama tungah kumpipa a kiciam hi.
2SA.19.24	 Saul’ tupa, Mephibosheth zong kumpipa dawn dingin a paisuk hi. Amah in kumpipa a paikhiata kipan galmuanga a tun kik ni dong a khete zun lo-a, a mukmul lah kiat loin a puansilh zong a sawp kei hi. 
2SA.19.25	 Kumpipa dawn dingin Jerusalem pan a kuankhiat ciangin kumpipa in, "Bang dinga kei hong zui lo na hia Mephibosheth?" ci-in a dong hi.
2SA.19.26	 Amah in, "Ka topa kumpipa aw, ka khe bai-a, ‘Kumpipa ka zui ding hi, ka tuan nading laa tutphah hong vawhsak in,’ ka ci hi. Ahi hangin ka nasempa Ziba in kei hong khem hi. 
2SA.19.27	 Amah in ka topa kumpipa kiangah na nasempa hong siatgen ahi hi. Ka topa kumpipa vansawltak khat tawh na kibang hi; tua ahi ciangin na lungkim bangbangin hong hih in. 
2SA.19.28	 Ka topa kumpipa tungah ka pu’ suante khempeuh thahlup ding vive hi napi nang in na nasempa na sabuai-a tute lakah mun nong pia hi. Tua ahi ciangin kumpipa tungah bang hamphatna ngenthuah lai ding ka hi hiam?" a ci hi.
