GEN.1.1	In the beginning when God created
1SA.5.3	When the people of Ashdod rose early the next day, there was Dagon, fallen on his face to the ground before the ark of the 
1SA.5.4	But when they rose early on the next morning, Dagon had fallen on his face to the ground before the ark of the 
1SA.5.5	This is why the priests of Dagon and all who enter the house of Dagon do not step on the threshold of Dagon in Ashdod to this day.
1SA.5.6	The hand of the 
1SA.5.7	And when the inhabitants of Ashdod saw how things were, they said, “The ark of the God of Israel must not remain with us; for his hand is heavy on us and on our god Dagon.” 
1SA.5.8	So they sent and gathered together all the lords of the Philistines, and said, “What shall we do with the ark of the God of Israel?” The inhabitants of Gath replied, “Let the ark of God be moved on to us.”
1SA.5.9	But after they had brought it to Gath,
1SA.5.10	So they sent the ark of the God of Israel
1SA.5.11	They sent therefore and gathered together all the lords of the Philistines, and said, “Send away the ark of the God of Israel, and let it return to its own place, that it may not kill us and our people.” For there was a deathly panic
1SA.5.12	those who did not die were stricken with tumors, and the cry of the city went up to heaven.
1SA.6.1	The ark of the 
1SA.6.2	Then the Philistines called for the priests and the diviners and said, “What shall we do with the ark of the 
1SA.6.3	They said, “If you send away the ark of the God of Israel, do not send it empty, but by all means return him a guilt offering. Then you will be healed and will be ransomed;
1SA.6.4	And they said, “What is the guilt offering that we shall return to him?” They answered, “Five gold tumors and five gold mice, according to the number of the lords of the Philistines; for the same plague was upon all of you and upon your lords. 
1SA.6.5	So you must make images of your tumors and images of your mice that ravage the land, and give glory to the God of Israel; perhaps he will lighten his hand on you and your gods and your land. 
1SA.6.6	Why should you harden your hearts as the Egyptians and Pharaoh hardened their hearts? After he had made fools of them, did they not let the people go, and they departed? 
1SA.6.7	Now then, get ready a new cart and two milch cows that have never borne a yoke, and yoke the cows to the cart, but take their calves home, away from them. 
1SA.6.8	Take the ark of the 
1SA.6.9	And watch; if it goes up on the way to its own land, to Beth-shemesh, then it is he who has done us this great harm; but if not, then we shall know that it is not his hand that struck us; it happened to us by chance.”
1SA.6.10	The men did so; they took two milch cows and yoked them to the cart, and shut up their calves at home. 
1SA.6.11	They put the ark of the 
1SA.6.12	The cows went straight in the direction of Beth-shemesh along one highway, lowing as they went; they turned neither to the right nor to the left, and the lords of the Philistines went after them as far as the border of Beth-shemesh.
1SA.6.13	Now the people of Beth-shemesh were reaping their wheat harvest in the valley. When they looked up and saw the ark, they went with rejoicing to meet it.
1SA.6.14	The cart came into the field of Joshua of Beth-shemesh, and stopped there. A large stone was there; so they split up the wood of the cart and offered the cows as a burnt offering to the 
1SA.6.15	The Levites took down the ark of the 
1SA.6.16	When the five lords of the Philistines saw it, they returned that day to Ekron.
1SA.6.17	These are the gold tumors, which the Philistines returned as a guilt offering to the 
1SA.6.18	also the gold mice, according to the number of all the cities of the Philistines belonging to the five lords, both fortified cities and unwalled villages. The great stone, beside which they set down the ark of the 
1SA.6.19	The descendants of Jeconiah did not rejoice with the people of Beth-shemesh when they greeted
1SA.6.20	Then the people of Beth-shemesh said, “Who is able to stand before the 
1SA.6.21	So they sent messengers to the inhabitants of Kiriath-jearim, saying, “The Philistines have returned the ark of the 
1SA.7.1	And the people of Kiriath-jearim came and took up the ark of the 
1SA.7.2	From the day that the ark was lodged at Kiriath-jearim, a long time passed, some twenty years, and all the house of Israel lamented
1SA.7.3	Then Samuel said to all the house of Israel, “If you are returning to the 
1SA.7.4	So Israel put away the Baals and the Astartes, and they served the 
1SA.7.5	Then Samuel said, “Gather all Israel at Mizpah, and I will pray to the 
1SA.7.6	So they gathered at Mizpah, and drew water and poured it out before the 
1SA.7.7	When the Philistines heard that the people of Israel had gathered at Mizpah, the lords of the Philistines went up against Israel. And when the people of Israel heard of it they were afraid of the Philistines. 
1SA.7.8	The people of Israel said to Samuel, “Do not cease to cry out to the 
1SA.7.9	So Samuel took a sucking lamb and offered it as a whole burnt offering to the 
1SA.7.10	As Samuel was offering up the burnt offering, the Philistines drew near to attack Israel; but the 
1SA.7.11	And the men of Israel went out of Mizpah and pursued the Philistines, and struck them down as far as beyond Beth-car.
1SA.7.12	Then Samuel took a stone and set it up between Mizpah and Jeshanah,
1SA.7.13	So the Philistines were subdued and did not again enter the territory of Israel; the hand of the 
1SA.7.14	The towns that the Philistines had taken from Israel were restored to Israel, from Ekron to Gath; and Israel recovered their territory from the hand of the Philistines. There was peace also between Israel and the Amorites.
1SA.7.15	Samuel judged Israel all the days of his life. 
1SA.7.16	He went on a circuit year by year to Bethel, Gilgal, and Mizpah; and he judged Israel in all these places. 
1SA.7.17	Then he would come back to Ramah, for his home was there; he administered justice there to Israel, and built there an altar to the 
1SA.8.1	When Samuel became old, he made his sons judges over Israel. 
1SA.8.2	The name of his firstborn son was Joel, and the name of his second, Abijah; they were judges in Beer-sheba. 
1SA.8.3	Yet his sons did not follow in his ways, but turned aside after gain; they took bribes and perverted justice.
1SA.8.4	Then all the elders of Israel gathered together and came to Samuel at Ramah, 
1SA.8.5	and said to him, “You are old and your sons do not follow in your ways; appoint for us, then, a king to govern us, like other nations.” 
1SA.8.6	But the thing displeased Samuel when they said, “Give us a king to govern us.” Samuel prayed to the 
1SA.8.7	and the 
1SA.8.8	Just as they have done to me,
1SA.8.9	Now then, listen to their voice; only—you shall solemnly warn them, and show them the ways of the king who shall reign over them.”
1SA.8.10	So Samuel reported all the words of the 
1SA.8.11	He said, “These will be the ways of the king who will reign over you: he will take your sons and appoint them to his chariots and to be his horsemen, and to run before his chariots; 
1SA.8.12	and he will appoint for himself commanders of thousands and commanders of fifties, and some to plow his ground and to reap his harvest, and to make his implements of war and the equipment of his chariots. 
1SA.8.13	He will take your daughters to be perfumers and cooks and bakers. 
1SA.8.14	He will take the best of your fields and vineyards and olive orchards and give them to his courtiers. 
1SA.8.15	He will take one-tenth of your grain and of your vineyards and give it to his officers and his courtiers. 
1SA.8.16	He will take your male and female slaves, and the best of your cattle
1SA.8.17	He will take one-tenth of your flocks, and you shall be his slaves. 
1SA.8.18	And in that day you will cry out because of your king, whom you have chosen for yourselves; but the 
1SA.8.19	But the people refused to listen to the voice of Samuel; they said, “No! but we are determined to have a king over us, 
1SA.8.20	so that we also may be like other nations, and that our king may govern us and go out before us and fight our battles.” 
1SA.8.21	When Samuel had heard all the words of the people, he repeated them in the ears of the 
1SA.8.22	The 
1SA.9.1	There was a man of Benjamin whose name was Kish son of Abiel son of Zeror son of Becorath son of Aphiah, a Benjaminite, a man of wealth. 
1SA.9.2	He had a son whose name was Saul, a handsome young man. There was not a man among the people of Israel more handsome than he; he stood head and shoulders above everyone else.
1SA.9.3	Now the donkeys of Kish, Saul's father, had strayed. So Kish said to his son Saul, “Take one of the boys with you; go and look for the donkeys.” 
1SA.9.4	He passed through the hill country of Ephraim and passed through the land of Shalishah, but they did not find them. And they passed through the land of Shaalim, but they were not there. Then he passed through the land of Benjamin, but they did not find them.
1SA.9.5	When they came to the land of Zuph, Saul said to the boy who was with him, “Let us turn back, or my father will stop worrying about the donkeys and worry about us.” 
1SA.9.6	But he said to him, “There is a man of God in this town; he is a man held in honor. Whatever he says always comes true. Let us go there now; perhaps he will tell us about the journey on which we have set out.” 
1SA.9.7	Then Saul replied to the boy, “But if we go, what can we bring the man? For the bread in our sacks is gone, and there is no present to bring to the man of God. What have we?” 
1SA.9.8	The boy answered Saul again, “Here, I have with me a quarter shekel of silver; I will give it to the man of God, to tell us our way.” 
1SA.9.9	(Formerly in Israel, anyone who went to inquire of God would say, “Come, let us go to the seer”; for the one who is now called a prophet was formerly called a seer.) 
1SA.9.10	Saul said to the boy, “Good; come, let us go.” So they went to the town where the man of God was.
1SA.9.11	As they went up the hill to the town, they met some girls coming out to draw water, and said to them, “Is the seer here?” 
1SA.9.12	They answered, “Yes, there he is just ahead of you. Hurry; he has come just now to the town, because the people have a sacrifice today at the shrine. 
1SA.9.13	As soon as you enter the town, you will find him, before he goes up to the shrine to eat. For the people will not eat until he comes, since he must bless the sacrifice; afterward those eat who are invited. Now go up, for you will meet him immediately.” 
1SA.9.14	So they went up to the town. As they were entering the town, they saw Samuel coming out toward them on his way up to the shrine.
1SA.9.15	Now the day before Saul came, the 
1SA.9.16	“Tomorrow about this time I will send to you a man from the land of Benjamin, and you shall anoint him to be ruler over my people Israel. He shall save my people from the hand of the Philistines; for I have seen the suffering of
1SA.9.17	When Samuel saw Saul, the 
1SA.9.18	Then Saul approached Samuel inside the gate, and said, “Tell me, please, where is the house of the seer?” 
1SA.9.19	Samuel answered Saul, “I am the seer; go up before me to the shrine, for today you shall eat with me, and in the morning I will let you go and will tell you all that is on your mind. 
1SA.9.20	As for your donkeys that were lost three days ago, give no further thought to them, for they have been found. And on whom is all Israel's desire fixed, if not on you and on all your ancestral house?” 
1SA.9.21	Saul answered, “I am only a Benjaminite, from the least of the tribes of Israel, and my family is the humblest of all the families of the tribe of Benjamin. Why then have you spoken to me in this way?”
1SA.9.22	Then Samuel took Saul and his servant-boy and brought them into the hall, and gave them a place at the head of those who had been invited, of whom there were about thirty. 
1SA.9.23	And Samuel said to the cook, “Bring the portion I gave you, the one I asked you to put aside.” 
1SA.9.24	The cook took up the thigh and what went with it
1SA.9.24	So Saul ate with Samuel that day. 
1SA.9.25	When they came down from the shrine into the town, a bed was spread for Saul
1SA.9.26	Then at the break of dawn
1SA.9.27	As they were going down to the outskirts of the town, Samuel said to Saul, “Tell the boy to go on before us, and when he has passed on, stop here yourself for a while, that I may make known to you the word of God.”
1SA.10.1	Samuel took a vial of oil and poured it on his head, and kissed him; he said, “The 
1SA.10.2	When you depart from me today you will meet two men by Rachel's tomb in the territory of Benjamin at Zelzah; they will say to you, ‘The donkeys that you went to seek are found, and now your father has stopped worrying about them and is worrying about you, saying: What shall I do about my son?’ 
1SA.10.3	Then you shall go on from there further and come to the oak of Tabor; three men going up to God at Bethel will meet you there, one carrying three kids, another carrying three loaves of bread, and another carrying a skin of wine. 
1SA.10.4	They will greet you and give you two loaves of bread, which you shall accept from them. 
1SA.10.5	After that you shall come to Gibeath-elohim,
1SA.10.6	Then the spirit of the 
1SA.10.7	Now when these signs meet you, do whatever you see fit to do, for God is with you. 
1SA.10.8	And you shall go down to Gilgal ahead of me; then I will come down to you to present burnt offerings and offer sacrifices of well-being. Seven days you shall wait, until I come to you and show you what you shall do.”
1SA.10.9	As he turned away to leave Samuel, God gave him another heart; and all these signs were fulfilled that day. 
1SA.10.10	When they were going from there
1SA.10.11	When all who knew him before saw how he prophesied with the prophets, the people said to one another, “What has come over the son of Kish? Is Saul also among the prophets?” 
1SA.10.12	A man of the place answered, “And who is their father?” Therefore it became a proverb, “Is Saul also among the prophets?” 
1SA.10.13	When his prophetic frenzy had ended, he went home.
1SA.10.14	Saul's uncle said to him and to the boy, “Where did you go?” And he replied, “To seek the donkeys; and when we saw they were not to be found, we went to Samuel.” 
1SA.10.15	Saul's uncle said, “Tell me what Samuel said to you.” 
1SA.10.16	Saul said to his uncle, “He told us that the donkeys had been found.” But about the matter of the kingship, of which Samuel had spoken, he did not tell him anything.
1SA.10.17	Samuel summoned the people to the 
1SA.10.18	and said to them,
1SA.10.19	But today you have rejected your God, who saves you from all your calamities and your distresses; and you have said, ‘No! but set a king over us.’ Now therefore present yourselves before the 
1SA.10.20	Then Samuel brought all the tribes of Israel near, and the tribe of Benjamin was taken by lot. 
1SA.10.21	He brought the tribe of Benjamin near by its families, and the family of the Matrites was taken by lot. Finally he brought the family of the Matrites near man by man,
1SA.10.22	So they inquired again of the 
1SA.10.23	Then they ran and brought him from there. When he took his stand among the people, he was head and shoulders taller than any of them. 
1SA.10.24	Samuel said to all the people, “Do you see the one whom the 
1SA.10.25	Samuel told the people the rights and duties of the kingship; and he wrote them in a book and laid it up before the 
1SA.10.26	Saul also went to his home at Gibeah, and with him went warriors whose hearts God had touched. 
1SA.10.27	But some worthless fellows said, “How can this man save us?” They despised him and brought him no present. But he held his peace.
1SA.10.27	Now Nahash, king of the Ammonites, had been grievously oppressing the Gadites and the Reubenites. He would gouge out the right eye of each of them and would not grant Israel a deliverer. No one was left of the Israelites across the Jordan whose right eye Nahash, king of the Ammonites, had not gouged out. But there were seven thousand men who had escaped from the Ammonites and had entered Jabesh-gilead.
1SA.11.1	About a month later,
1SA.11.2	But Nahash the Ammonite said to them, “On this condition I will make a treaty with you, namely that I gouge out everyone's right eye, and thus put disgrace upon all Israel.” 
1SA.11.3	The elders of Jabesh said to him, “Give us seven days' respite that we may send messengers through all the territory of Israel. Then, if there is no one to save us, we will give ourselves up to you.” 
1SA.11.4	When the messengers came to Gibeah of Saul, they reported the matter in the hearing of the people; and all the people wept aloud.
1SA.11.5	Now Saul was coming from the field behind the oxen; and Saul said, “What is the matter with the people, that they are weeping?” So they told him the message from the inhabitants of Jabesh. 
1SA.11.6	And the spirit of God came upon Saul in power when he heard these words, and his anger was greatly kindled. 
1SA.11.7	He took a yoke of oxen, and cut them in pieces and sent them throughout all the territory of Israel by messengers, saying, “Whoever does not come out after Saul and Samuel, so shall it be done to his oxen!” Then the dread of the 
1SA.11.8	When he mustered them at Bezek, those from Israel were three hundred thousand, and those from Judah seventy
1SA.11.9	They said to the messengers who had come, “Thus shall you say to the inhabitants of Jabesh-gilead: ‘Tomorrow, by the time the sun is hot, you shall have deliverance.’ ” When the messengers came and told the inhabitants of Jabesh, they rejoiced. 
1SA.11.10	So the inhabitants of Jabesh said, “Tomorrow we will give ourselves up to you, and you may do to us whatever seems good to you.” 
1SA.11.11	The next day Saul put the people in three companies. At the morning watch they came into the camp and cut down the Ammonites until the heat of the day; and those who survived were scattered, so that no two of them were left together.
1SA.11.12	The people said to Samuel, “Who is it that said, ‘Shall Saul reign over us?’ Give them to us so that we may put them to death.” 
1SA.11.13	But Saul said, “No one shall be put to death this day, for today the 
1SA.11.14	Samuel said to the people, “Come, let us go to Gilgal and there renew the kingship.” 
1SA.11.15	So all the people went to Gilgal, and there they made Saul king before the 
1SA.12.1	Samuel said to all Israel, “I have listened to you in all that you have said to me, and have set a king over you. 
1SA.12.2	See, it is the king who leads you now; I am old and gray, but my sons are with you. I have led you from my youth until this day. 
1SA.12.3	Here I am; testify against me before the 
1SA.12.4	They said, “You have not defrauded us or oppressed us or taken anything from the hand of anyone.” 
1SA.12.5	He said to them, “The 
1SA.12.6	Samuel said to the people, “The 
1SA.12.7	Now therefore take your stand, so that I may enter into judgment with you before the 
1SA.12.8	When Jacob went into Egypt and the Egyptians oppressed them,
1SA.12.9	But they forgot the 
1SA.12.10	Then they cried to the 
1SA.12.11	And the 
1SA.12.12	But when you saw that King Nahash of the Ammonites came against you, you said to me, ‘No, but a king shall reign over us,’ though the 
1SA.12.13	See, here is the king whom you have chosen, for whom you have asked; see, the 
1SA.12.14	If you will fear the 
1SA.12.15	but if you will not heed the voice of the 
1SA.12.16	Now therefore take your stand and see this great thing that the 
1SA.12.17	Is it not the wheat harvest today? I will call upon the 
1SA.12.18	So Samuel called upon the 
1SA.12.19	All the people said to Samuel, “Pray to the 
1SA.12.20	And Samuel said to the people, “Do not be afraid; you have done all this evil, yet do not turn aside from following the 
1SA.12.21	and do not turn aside after useless things that cannot profit or save, for they are useless. 
1SA.12.22	For the 
1SA.12.23	Moreover as for me, far be it from me that I should sin against the 
1SA.12.24	Only fear the 
1SA.12.25	But if you still do wickedly, you shall be swept away, both you and your king.”
1SA.13.1	Saul was . . .
1SA.13.2	Saul chose three thousand out of Israel; two thousand were with Saul in Michmash and the hill country of Bethel, and a thousand were with Jonathan in Gibeah of Benjamin; the rest of the people he sent home to their tents. 
1SA.13.3	Jonathan defeated the garrison of the Philistines that was at Geba; and the Philistines heard of it. And Saul blew the trumpet throughout all the land, saying, “Let the Hebrews hear!” 
1SA.13.4	When all Israel heard that Saul had defeated the garrison of the Philistines, and also that Israel had become odious to the Philistines, the people were called out to join Saul at Gilgal.
1SA.13.5	The Philistines mustered to fight with Israel, thirty thousand chariots, and six thousand horsemen, and troops like the sand on the seashore in multitude; they came up and encamped at Michmash, to the east of Beth-aven. 
1SA.13.6	When the Israelites saw that they were in distress (for the troops were hard pressed), the people hid themselves in caves and in holes and in rocks and in tombs and in cisterns. 
1SA.13.7	Some Hebrews crossed the Jordan to the land of Gad and Gilead. Saul was still at Gilgal, and all the people followed him trembling.
1SA.13.8	He waited seven days, the time appointed by Samuel; but Samuel did not come to Gilgal, and the people began to slip away from Saul.
1SA.13.9	So Saul said, “Bring the burnt offering here to me, and the offerings of well-being.” And he offered the burnt offering. 
1SA.13.10	As soon as he had finished offering the burnt offering, Samuel arrived; and Saul went out to meet him and salute him. 
1SA.13.11	Samuel said, “What have you done?” Saul replied, “When I saw that the people were slipping away from me, and that you did not come within the days appointed, and that the Philistines were mustering at Michmash, 
1SA.13.12	I said, ‘Now the Philistines will come down upon me at Gilgal, and I have not entreated the favor of the 
1SA.13.13	Samuel said to Saul, “You have done foolishly; you have not kept the commandment of the 
1SA.13.14	but now your kingdom will not continue; the 
1SA.13.15	And Samuel left and went on his way from Gilgal.
1SA.13.15	Saul counted the people who were present with him, about six hundred men. 
1SA.13.16	Saul, his son Jonathan, and the people who were present with them stayed in Geba of Benjamin; but the Philistines encamped at Michmash. 
1SA.13.17	And raiders came out of the camp of the Philistines in three companies; one company turned toward Ophrah, to the land of Shual, 
1SA.13.18	another company turned toward Beth-horon, and another company turned toward the mountain
1SA.13.19	Now there was no smith to be found throughout all the land of Israel; for the Philistines said, “The Hebrews must not make swords or spears for themselves”; 
1SA.13.20	so all the Israelites went down to the Philistines to sharpen their plowshare, mattocks, axes, or sickles;
1SA.13.21	The charge was two-thirds of a shekel
1SA.13.22	So on the day of the battle neither sword nor spear was to be found in the possession of any of the people with Saul and Jonathan; but Saul and his son Jonathan had them.
1SA.13.23	Now a garrison of the Philistines had gone out to the pass of Michmash.
1SA.14.1	One day Jonathan son of Saul said to the young man who carried his armor, “Come, let us go over to the Philistine garrison on the other side.” But he did not tell his father. 
1SA.14.2	Saul was staying in the outskirts of Gibeah under the pomegranate tree that is at Migron; the troops that were with him were about six hundred men, 
1SA.14.3	along with Ahijah son of Ahitub, Ichabod's brother, son of Phinehas son of Eli, the priest of the 
1SA.14.4	In the pass,
1SA.14.5	One crag rose on the north in front of Michmash, and the other on the south in front of Geba.
1SA.14.6	Jonathan said to the young man who carried his armor, “Come, let us go over to the garrison of these uncircumcised; it may be that the 
1SA.14.7	His armor-bearer said to him, “Do all that your mind inclines to.
1SA.14.8	Then Jonathan said, “Now we will cross over to those men and will show ourselves to them. 
1SA.14.9	If they say to us, ‘Wait until we come to you,’ then we will stand still in our place, and we will not go up to them. 
1SA.14.10	But if they say, ‘Come up to us,’ then we will go up; for the 
1SA.14.11	So both of them showed themselves to the garrison of the Philistines; and the Philistines said, “Look, Hebrews are coming out of the holes where they have hidden themselves.” 
1SA.14.12	The men of the garrison hailed Jonathan and his armor-bearer, saying, “Come up to us, and we will show you something.” Jonathan said to his armor-bearer, “Come up after me; for the 
1SA.14.13	Then Jonathan climbed up on his hands and feet, with his armor-bearer following after him. The Philistines
1SA.14.14	In that first slaughter Jonathan and his armor-bearer killed about twenty men within an area about half a furrow long in an acre
1SA.14.15	There was a panic in the camp, in the field, and among all the people; the garrison and even the raiders trembled; the earth quaked; and it became a very great panic.
1SA.14.16	Saul's lookouts in Gibeah of Benjamin were watching as the multitude was surging back and forth.
1SA.14.17	Then Saul said to the troops that were with him, “Call the roll and see who has gone from us.” When they had called the roll, Jonathan and his armor-bearer were not there. 
1SA.14.18	Saul said to Ahijah, “Bring the ark
1SA.14.19	While Saul was talking to the priest, the tumult in the camp of the Philistines increased more and more; and Saul said to the priest, “Withdraw your hand.” 
1SA.14.20	Then Saul and all the people who were with him rallied and went into the battle; and every sword was against the other, so that there was very great confusion. 
1SA.14.21	Now the Hebrews who previously had been with the Philistines and had gone up with them into the camp turned and joined the Israelites who were with Saul and Jonathan. 
1SA.14.22	Likewise, when all the Israelites who had gone into hiding in the hill country of Ephraim heard that the Philistines were fleeing, they too followed closely after them in the battle. 
1SA.14.23	So the 
1SA.14.23	The battle passed beyond Beth-aven, and the troops with Saul numbered altogether about ten thousand men. The battle spread out over the hill country of Ephraim.
1SA.14.24	Now Saul committed a very rash act on that day.
1SA.14.25	All the troops
1SA.14.26	When the troops came upon the honeycomb, the honey was dripping out; but they did not put their hands to their mouths, for they feared the oath. 
1SA.14.27	But Jonathan had not heard his father charge the troops with the oath; so he extended the staff that was in his hand, and dipped the tip of it in the honeycomb, and put his hand to his mouth; and his eyes brightened. 
1SA.14.28	Then one of the soldiers said, “Your father strictly charged the troops with an oath, saying, ‘Cursed be anyone who eats food this day.’ And so the troops are faint.” 
1SA.14.29	Then Jonathan said, “My father has troubled the land; see how my eyes have brightened because I tasted a little of this honey. 
1SA.14.30	How much better if today the troops had eaten freely of the spoil taken from their enemies; for now the slaughter among the Philistines has not been great.”
1SA.14.31	After they had struck down the Philistines that day from Michmash to Aijalon, the troops were very faint; 
1SA.14.32	so the troops flew upon the spoil, and took sheep and oxen and calves, and slaughtered them on the ground; and the troops ate them with the blood. 
1SA.14.33	Then it was reported to Saul, “Look, the troops are sinning against the 
1SA.14.34	Saul said, “Disperse yourselves among the troops, and say to them, ‘Let all bring their oxen or their sheep, and slaughter them here, and eat; and do not sin against the 
1SA.14.35	And Saul built an altar to the 
1SA.14.36	Then Saul said, “Let us go down after the Philistines by night and despoil them until the morning light; let us not leave one of them.” They said, “Do whatever seems good to you.” But the priest said, “Let us draw near to God here.” 
1SA.14.37	So Saul inquired of God, “Shall I go down after the Philistines? Will you give them into the hand of Israel?” But he did not answer him that day. 
1SA.14.38	Saul said, “Come here, all you leaders of the people; and let us find out how this sin has arisen today. 
1SA.14.39	For as the 
1SA.14.40	He said to all Israel, “You shall be on one side, and I and my son Jonathan will be on the other side.” The people said to Saul, “Do what seems good to you.” 
1SA.14.41	Then Saul said, “O 
1SA.14.42	Then Saul said, “Cast the lot between me and my son Jonathan.” And Jonathan was taken.
1SA.14.43	Then Saul said to Jonathan, “Tell me what you have done.” Jonathan told him, “I tasted a little honey with the tip of the staff that was in my hand; here I am, I will die.” 
1SA.14.44	Saul said, “God do so to me and more also; you shall surely die, Jonathan!” 
1SA.14.45	Then the people said to Saul, “Shall Jonathan die, who has accomplished this great victory in Israel? Far from it! As the 
1SA.14.46	Then Saul withdrew from pursuing the Philistines; and the Philistines went to their own place.
1SA.14.47	When Saul had taken the kingship over Israel, he fought against all his enemies on every side—against Moab, against the Ammonites, against Edom, against the kings of Zobah, and against the Philistines; wherever he turned he routed them. 
1SA.14.48	He did valiantly, and struck down the Amalekites, and rescued Israel out of the hands of those who plundered them.
1SA.14.49	Now the sons of Saul were Jonathan, Ishvi, and Malchishua; and the names of his two daughters were these: the name of the firstborn was Merab, and the name of the younger, Michal. 
1SA.14.50	The name of Saul's wife was Ahinoam daughter of Ahimaaz. And the name of the commander of his army was Abner son of Ner, Saul's uncle; 
1SA.14.51	Kish was the father of Saul, and Ner the father of Abner was the son of Abiel.
1SA.14.52	There was hard fighting against the Philistines all the days of Saul; and when Saul saw any strong or valiant warrior, he took him into his service.
1SA.15.1	Samuel said to Saul, “The 
1SA.15.2	Thus says the 
1SA.15.3	Now go and attack Amalek, and utterly destroy all that they have; do not spare them, but kill both man and woman, child and infant, ox and sheep, camel and donkey.’ ”
1SA.15.4	So Saul summoned the people, and numbered them in Telaim, two hundred thousand foot soldiers, and ten thousand soldiers of Judah. 
1SA.15.5	Saul came to the city of the Amalekites and lay in wait in the valley. 
1SA.15.6	Saul said to the Kenites, “Go! Leave! Withdraw from among the Amalekites, or I will destroy you with them; for you showed kindness to all the people of Israel when they came up out of Egypt.” So the Kenites withdrew from the Amalekites. 
1SA.15.7	Saul defeated the Amalekites, from Havilah as far as Shur, which is east of Egypt. 
1SA.15.8	He took King Agag of the Amalekites alive, but utterly destroyed all the people with the edge of the sword. 
1SA.15.9	Saul and the people spared Agag, and the best of the sheep and of the cattle and of the fatlings, and the lambs, and all that was valuable, and would not utterly destroy them; all that was despised and worthless they utterly destroyed.
1SA.15.10	The word of the 
1SA.15.11	“I regret that I made Saul king, for he has turned back from following me, and has not carried out my commands.” Samuel was angry; and he cried out to the 
1SA.15.12	Samuel rose early in the morning to meet Saul, and Samuel was told, “Saul went to Carmel, where he set up a monument for himself, and on returning he passed on down to Gilgal.” 
1SA.15.13	When Samuel came to Saul, Saul said to him, “May you be blessed by the 
1SA.15.14	But Samuel said, “What then is this bleating of sheep in my ears, and the lowing of cattle that I hear?” 
1SA.15.15	Saul said, “They have brought them from the Amalekites; for the people spared the best of the sheep and the cattle, to sacrifice to the 
1SA.15.16	Then Samuel said to Saul, “Stop! I will tell you what the 
1SA.15.17	Samuel said, “Though you are little in your own eyes, are you not the head of the tribes of Israel? The 
1SA.15.18	And the 
1SA.15.19	Why then did you not obey the voice of the 
1SA.15.20	Saul said to Samuel, “I have obeyed the voice of the 
1SA.15.21	But from the spoil the people took sheep and cattle, the best of the things devoted to destruction, to sacrifice to the 
1SA.15.22	And Samuel said,
1SA.15.22	“Has the 
1SA.15.22	as in obeying the voice of the 
1SA.15.22	Surely, to obey is better than sacrifice,
1SA.15.22	and to heed than the fat of rams.
1SA.15.23	For rebellion is no less a sin than divination,
1SA.15.23	and stubbornness is like iniquity and idolatry.
1SA.15.23	Because you have rejected the word of the 
1SA.15.23	he has also rejected you from being king.”
1SA.15.24	Saul said to Samuel, “I have sinned; for I have transgressed the commandment of the 
1SA.15.25	Now therefore, I pray, pardon my sin, and return with me, so that I may worship the 
1SA.15.26	Samuel said to Saul, “I will not return with you; for you have rejected the word of the 
1SA.15.27	As Samuel turned to go away, Saul caught hold of the hem of his robe, and it tore. 
1SA.15.28	And Samuel said to him, “The 
1SA.15.29	Moreover the Glory of Israel will not recant
1SA.15.30	Then Saul
1SA.15.31	So Samuel turned back after Saul; and Saul worshiped the 
1SA.15.32	Then Samuel said, “Bring Agag king of the Amalekites here to me.” And Agag came to him haltingly.
1SA.15.33	But Samuel said,
1SA.15.33	“As your sword has made women childless,
1SA.15.33	so your mother shall be childless among women.”
1SA.15.33	And Samuel hewed Agag in pieces before the 
1SA.15.34	Then Samuel went to Ramah; and Saul went up to his house in Gibeah of Saul. 
1SA.15.35	Samuel did not see Saul again until the day of his death, but Samuel grieved over Saul. And the 
1SA.16.1	The 
1SA.16.2	Samuel said, “How can I go? If Saul hears of it, he will kill me.” And the 
1SA.16.3	Invite Jesse to the sacrifice, and I will show you what you shall do; and you shall anoint for me the one whom I name to you.” 
1SA.16.4	Samuel did what the 
1SA.16.5	He said, “Peaceably; I have come to sacrifice to the 
1SA.16.6	When they came, he looked on Eliab and thought, “Surely the 
1SA.16.7	But the 
1SA.16.8	Then Jesse called Abinadab, and made him pass before Samuel. He said, “Neither has the 
1SA.16.9	Then Jesse made Shammah pass by. And he said, “Neither has the 
1SA.16.10	Jesse made seven of his sons pass before Samuel, and Samuel said to Jesse, “The 
1SA.16.11	Samuel said to Jesse, “Are all your sons here?” And he said, “There remains yet the youngest, but he is keeping the sheep.” And Samuel said to Jesse, “Send and bring him; for we will not sit down until he comes here.” 
1SA.16.12	He sent and brought him in. Now he was ruddy, and had beautiful eyes, and was handsome. The 
1SA.16.13	Then Samuel took the horn of oil, and anointed him in the presence of his brothers; and the spirit of the 
1SA.16.14	Now the spirit of the 
1SA.16.15	And Saul's servants said to him, “See now, an evil spirit from God is tormenting you. 
1SA.16.16	Let our lord now command the servants who attend you to look for someone who is skillful in playing the lyre; and when the evil spirit from God is upon you, he will play it, and you will feel better.” 
1SA.16.17	So Saul said to his servants, “Provide for me someone who can play well, and bring him to me.” 
1SA.16.18	One of the young men answered, “I have seen a son of Jesse the Bethlehemite who is skillful in playing, a man of valor, a warrior, prudent in speech, and a man of good presence; and the 
