GEN.1.1	In the beginning when God created
2SA.17.18	But a boy saw them, and told Absalom; so both of them went away quickly, and came to the house of a man at Bahurim, who had a well in his courtyard; and they went down into it. 
2SA.17.19	The man's wife took a covering, stretched it over the well's mouth, and spread out grain on it; and nothing was known of it. 
2SA.17.20	When Absalom's servants came to the woman at the house, they said, “Where are Ahimaaz and Jonathan?” The woman said to them, “They have crossed over the brook
2SA.17.21	After they had gone, the men came up out of the well, and went and told King David. They said to David, “Go and cross the water quickly; for thus and so has Ahithophel counseled against you.” 
2SA.17.22	So David and all the people who were with him set out and crossed the Jordan; by daybreak not one was left who had not crossed the Jordan.
2SA.17.23	When Ahithophel saw that his counsel was not followed, he saddled his donkey and went off home to his own city. He set his house in order, and hanged himself; he died and was buried in the tomb of his father.
2SA.17.24	Then David came to Mahanaim, while Absalom crossed the Jordan with all the men of Israel. 
2SA.17.25	Now Absalom had set Amasa over the army in the place of Joab. Amasa was the son of a man named Ithra the Ishmaelite,
2SA.17.26	The Israelites and Absalom encamped in the land of Gilead.
2SA.17.27	When David came to Mahanaim, Shobi son of Nahash from Rabbah of the Ammonites, and Machir son of Ammiel from Lo-debar, and Barzillai the Gileadite from Rogelim, 
2SA.17.28	brought beds, basins, and earthen vessels, wheat, barley, meal, parched grain, beans and lentils,
2SA.17.29	honey and curds, sheep, and cheese from the herd, for David and the people with him to eat; for they said, “The troops are hungry and weary and thirsty in the wilderness.”
2SA.18.1	Then David mustered the men who were with him, and set over them commanders of thousands and commanders of hundreds. 
2SA.18.2	And David divided the army into three groups:
2SA.18.3	But the men said, “You shall not go out. For if we flee, they will not care about us. If half of us die, they will not care about us. But you are worth ten thousand of us;
2SA.18.4	The king said to them, “Whatever seems best to you I will do.” So the king stood at the side of the gate, while all the army marched out by hundreds and by thousands. 
2SA.18.5	The king ordered Joab and Abishai and Ittai, saying, “Deal gently for my sake with the young man Absalom.” And all the people heard when the king gave orders to all the commanders concerning Absalom.
2SA.18.6	So the army went out into the field against Israel; and the battle was fought in the forest of Ephraim. 
2SA.18.7	The men of Israel were defeated there by the servants of David, and the slaughter there was great on that day, twenty thousand men. 
2SA.18.8	The battle spread over the face of all the country; and the forest claimed more victims that day than the sword.
2SA.18.9	Absalom happened to meet the servants of David. Absalom was riding on his mule, and the mule went under the thick branches of a great oak. His head caught fast in the oak, and he was left hanging
2SA.18.10	A man saw it, and told Joab, “I saw Absalom hanging in an oak.” 
2SA.18.11	Joab said to the man who told him, “What, you saw him! Why then did you not strike him there to the ground? I would have been glad to give you ten pieces of silver and a belt.” 
2SA.18.12	But the man said to Joab, “Even if I felt in my hand the weight of a thousand pieces of silver, I would not raise my hand against the king's son; for in our hearing the king commanded you and Abishai and Ittai, saying: For my sake protect the young man Absalom! 
2SA.18.13	On the other hand, if I had dealt treacherously against his life
2SA.18.14	Joab said, “I will not waste time like this with you.” He took three spears in his hand, and thrust them into the heart of Absalom, while he was still alive in the oak. 
2SA.18.15	And ten young men, Joab's armor-bearers, surrounded Absalom and struck him, and killed him.
2SA.18.16	Then Joab sounded the trumpet, and the troops came back from pursuing Israel, for Joab restrained the troops. 
2SA.18.17	They took Absalom, threw him into a great pit in the forest, and raised over him a very great heap of stones. Meanwhile all the Israelites fled to their homes. 
2SA.18.18	Now Absalom in his lifetime had taken and set up for himself a pillar that is in the King's Valley, for he said, “I have no son to keep my name in remembrance”; he called the pillar by his own name. It is called Absalom's Monument to this day.
2SA.18.19	Then Ahimaaz son of Zadok said, “Let me run, and carry tidings to the king that the 
2SA.18.20	Joab said to him, “You are not to carry tidings today; you may carry tidings another day, but today you shall not do so, because the king's son is dead.” 
2SA.18.21	Then Joab said to a Cushite, “Go, tell the king what you have seen.” The Cushite bowed before Joab, and ran. 
2SA.18.22	Then Ahimaaz son of Zadok said again to Joab, “Come what may, let me also run after the Cushite.” And Joab said, “Why will you run, my son, seeing that you have no reward
2SA.18.23	“Come what may,” he said, “I will run.” So he said to him, “Run.” Then Ahimaaz ran by the way of the Plain, and outran the Cushite.
2SA.18.24	Now David was sitting between the two gates. The sentinel went up to the roof of the gate by the wall, and when he looked up, he saw a man running alone. 
2SA.18.25	The sentinel shouted and told the king. The king said, “If he is alone, there are tidings in his mouth.” He kept coming, and drew near. 
2SA.18.26	Then the sentinel saw another man running; and the sentinel called to the gatekeeper and said, “See, another man running alone!” The king said, “He also is bringing tidings.” 
2SA.18.27	The sentinel said, “I think the running of the first one is like the running of Ahimaaz son of Zadok.” The king said, “He is a good man, and comes with good tidings.”
2SA.18.28	Then Ahimaaz cried out to the king, “All is well!” He prostrated himself before the king with his face to the ground, and said, “Blessed be the 
2SA.18.29	The king said, “Is it well with the young man Absalom?” Ahimaaz answered, “When Joab sent your servant,
2SA.18.30	The king said, “Turn aside, and stand here.” So he turned aside, and stood still.
2SA.18.31	Then the Cushite came; and the Cushite said, “Good tidings for my lord the king! For the 
2SA.18.32	The king said to the Cushite, “Is it well with the young man Absalom?” The Cushite answered, “May the enemies of my lord the king, and all who rise up to do you harm, be like that young man.”
2SA.19.1	It was told Joab, “The king is weeping and mourning for Absalom.” 
2SA.19.2	So the victory that day was turned into mourning for all the troops; for the troops heard that day, “The king is grieving for his son.” 
2SA.19.3	The troops stole into the city that day as soldiers steal in who are ashamed when they flee in battle. 
2SA.19.4	The king covered his face, and the king cried with a loud voice, “O my son Absalom, O Absalom, my son, my son!” 
2SA.19.5	Then Joab came into the house to the king, and said, “Today you have covered with shame the faces of all your officers who have saved your life today, and the lives of your sons and your daughters, and the lives of your wives and your concubines, 
2SA.19.6	for love of those who hate you and for hatred of those who love you. You have made it clear today that commanders and officers are nothing to you; for I perceive that if Absalom were alive and all of us were dead today, then you would be pleased. 
2SA.19.7	So go out at once and speak kindly to your servants; for I swear by the 
2SA.19.8	Then the king got up and took his seat in the gate. The troops were all told, “See, the king is sitting in the gate”; and all the troops came before the king.
2SA.19.8	Meanwhile, all the Israelites had fled to their homes. 
2SA.19.9	All the people were disputing throughout all the tribes of Israel, saying, “The king delivered us from the hand of our enemies, and saved us from the hand of the Philistines; and now he has fled out of the land because of Absalom. 
2SA.19.10	But Absalom, whom we anointed over us, is dead in battle. Now therefore why do you say nothing about bringing the king back?”
2SA.19.11	King David sent this message to the priests Zadok and Abiathar, “Say to the elders of Judah, ‘Why should you be the last to bring the king back to his house? The talk of all Israel has come to the king.
2SA.19.12	You are my kin, you are my bone and my flesh; why then should you be the last to bring back the king?’ 
2SA.19.13	And say to Amasa, ‘Are you not my bone and my flesh? So may God do to me, and more, if you are not the commander of my army from now on, in place of Joab.’ ” 
2SA.19.14	Amasa
2SA.19.15	So the king came back to the Jordan; and Judah came to Gilgal to meet the king and to bring him over the Jordan.
2SA.19.16	Shimei son of Gera, the Benjaminite, from Bahurim, hurried to come down with the people of Judah to meet King David; 
2SA.19.17	with him were a thousand people from Benjamin. And Ziba, the servant of the house of Saul, with his fifteen sons and his twenty servants, rushed down to the Jordan ahead of the king, 
2SA.19.18	while the crossing was taking place,
2SA.19.18	Shimei son of Gera fell down before the king, as he was about to cross the Jordan, 
2SA.19.19	and said to the king, “May my lord not hold me guilty or remember how your servant did wrong on the day my lord the king left Jerusalem; may the king not bear it in mind. 
2SA.19.20	For your servant knows that I have sinned; therefore, see, I have come this day, the first of all the house of Joseph to come down to meet my lord the king.” 
2SA.19.21	Abishai son of Zeruiah answered, “Shall not Shimei be put to death for this, because he cursed the 
2SA.19.22	But David said, “What have I to do with you, you sons of Zeruiah, that you should today become an adversary to me? Shall anyone be put to death in Israel this day? For do I not know that I am this day king over Israel?” 
2SA.19.23	The king said to Shimei, “You shall not die.” And the king gave him his oath.
2SA.19.24	Mephibosheth
2SA.19.25	When he came from Jerusalem to meet the king, the king said to him, “Why did you not go with me, Mephibosheth?”
2SA.19.26	He answered, “My lord, O king, my servant deceived me; for your servant said to him, ‘Saddle a donkey for me,
2SA.19.27	He has slandered your servant to my lord the king. But my lord the king is like the angel of God; do therefore what seems good to you. 
2SA.19.28	For all my father's house were doomed to death before my lord the king; but you set your servant among those who eat at your table. What further right have I, then, to appeal to the king?” 
2SA.19.29	The king said to him, “Why speak any more of your affairs? I have decided: you and Ziba shall divide the land.” 
2SA.19.30	Mephibosheth
2SA.19.31	Now Barzillai the Gileadite had come down from Rogelim; he went on with the king to the Jordan, to escort him over the Jordan. 
2SA.19.32	Barzillai was a very aged man, eighty years old. He had provided the king with food while he stayed at Mahanaim, for he was a very wealthy man. 
2SA.19.33	The king said to Barzillai, “Come over with me, and I will provide for you in Jerusalem at my side.” 
2SA.19.34	But Barzillai said to the king, “How many years have I still to live, that I should go up with the king to Jerusalem? 
2SA.19.35	Today I am eighty years old; can I discern what is pleasant and what is not? Can your servant taste what he eats or what he drinks? Can I still listen to the voice of singing men and singing women? Why then should your servant be an added burden to my lord the king? 
2SA.19.36	Your servant will go a little way over the Jordan with the king. Why should the king recompense me with such a reward? 
2SA.19.37	Please let your servant return, so that I may die in my own town, near the graves of my father and my mother. But here is your servant Chimham; let him go over with my lord the king; and do for him whatever seems good to you.” 
2SA.19.38	The king answered, “Chimham shall go over with me, and I will do for him whatever seems good to you; and all that you desire of me I will do for you.” 
2SA.19.39	Then all the people crossed over the Jordan, and the king crossed over; the king kissed Barzillai and blessed him, and he returned to his own home. 
2SA.19.40	The king went on to Gilgal, and Chimham went on with him; all the people of Judah, and also half the people of Israel, brought the king on his way.
2SA.19.41	Then all the people of Israel came to the king, and said to him, “Why have our kindred the people of Judah stolen you away, and brought the king and his household over the Jordan, and all David's men with him?” 
2SA.19.42	All the people of Judah answered the people of Israel, “Because the king is near of kin to us. Why then are you angry over this matter? Have we eaten at all at the king's expense? Or has he given us any gift?” 
2SA.19.43	But the people of Israel answered the people of Judah, “We have ten shares in the king, and in David also we have more than you. Why then did you despise us? Were we not the first to speak of bringing back our king?” But the words of the people of Judah were fiercer than the words of the people of Israel.
2SA.20.1	Now a scoundrel named Sheba son of Bichri, a Benjaminite, happened to be there. He sounded the trumpet and cried out,
2SA.20.1	“We have no portion in David,
2SA.20.1	no share in the son of Jesse!
2SA.20.1	Everyone to your tents, O Israel!”
2SA.20.2	So all the people of Israel withdrew from David and followed Sheba son of Bichri; but the people of Judah followed their king steadfastly from the Jordan to Jerusalem.
2SA.20.3	David came to his house at Jerusalem; and the king took the ten concubines whom he had left to look after the house, and put them in a house under guard, and provided for them, but did not go in to them. So they were shut up until the day of their death, living as if in widowhood.
2SA.20.4	Then the king said to Amasa, “Call the men of Judah together to me within three days, and be here yourself.” 
2SA.20.5	So Amasa went to summon Judah; but he delayed beyond the set time that had been appointed him. 
2SA.20.6	David said to Abishai, “Now Sheba son of Bichri will do us more harm than Absalom; take your lord's servants and pursue him, or he will find fortified cities for himself, and escape from us.” 
2SA.20.7	Joab's men went out after him, along with the Cherethites, the Pelethites, and all the warriors; they went out from Jerusalem to pursue Sheba son of Bichri. 
2SA.20.8	When they were at the large stone that is in Gibeon, Amasa came to meet them. Now Joab was wearing a soldier's garment and over it was a belt with a sword in its sheath fastened at his waist; as he went forward it fell out. 
2SA.20.9	Joab said to Amasa, “Is it well with you, my brother?” And Joab took Amasa by the beard with his right hand to kiss him. 
2SA.20.10	But Amasa did not notice the sword in Joab's hand; Joab struck him in the belly so that his entrails poured out on the ground, and he died. He did not strike a second blow.
2SA.20.10	Then Joab and his brother Abishai pursued Sheba son of Bichri. 
2SA.20.11	And one of Joab's men took his stand by Amasa, and said, “Whoever favors Joab, and whoever is for David, let him follow Joab.” 
2SA.20.12	Amasa lay wallowing in his blood on the highway, and the man saw that all the people were stopping. Since he saw that all who came by him were stopping, he carried Amasa from the highway into a field, and threw a garment over him. 
2SA.20.13	Once he was removed from the highway, all the people went on after Joab to pursue Sheba son of Bichri.
2SA.20.14	Sheba
2SA.20.15	Joab's forces
2SA.20.16	Then a wise woman called from the city, “Listen! Listen! Tell Joab, ‘Come here, I want to speak to you.’ ” 
2SA.20.17	He came near her; and the woman said, “Are you Joab?” He answered, “I am.” Then she said to him, “Listen to the words of your servant.” He answered, “I am listening.” 
2SA.20.18	Then she said, “They used to say in the old days, ‘Let them inquire at Abel’; and so they would settle a matter. 
2SA.20.19	I am one of those who are peaceable and faithful in Israel; you seek to destroy a city that is a mother in Israel; why will you swallow up the heritage of the 
2SA.20.20	Joab answered, “Far be it from me, far be it, that I should swallow up or destroy! 
2SA.20.21	That is not the case! But a man of the hill country of Ephraim, called Sheba son of Bichri, has lifted up his hand against King David; give him up alone, and I will withdraw from the city.” The woman said to Joab, “His head shall be thrown over the wall to you.” 
2SA.20.22	Then the woman went to all the people with her wise plan. And they cut off the head of Sheba son of Bichri, and threw it out to Joab. So he blew the trumpet, and they dispersed from the city, and all went to their homes, while Joab returned to Jerusalem to the king.
2SA.20.23	Now Joab was in command of all the army of Israel;
2SA.20.24	Adoram was in charge of the forced labor; Jehoshaphat son of Ahilud was the recorder; 
2SA.20.25	Sheva was secretary; Zadok and Abiathar were priests; 
2SA.20.26	and Ira the Jairite was also David's priest.
2SA.21.1	Now there was a famine in the days of David for three years, year after year; and David inquired of the 
2SA.21.2	So the king called the Gibeonites and spoke to them. (Now the Gibeonites were not of the people of Israel, but of the remnant of the Amorites; although the people of Israel had sworn to spare them, Saul had tried to wipe them out in his zeal for the people of Israel and Judah.) 
2SA.21.3	David said to the Gibeonites, “What shall I do for you? How shall I make expiation, that you may bless the heritage of the 
2SA.21.4	The Gibeonites said to him, “It is not a matter of silver or gold between us and Saul or his house; neither is it for us to put anyone to death in Israel.” He said, “What do you say that I should do for you?” 
2SA.21.5	They said to the king, “The man who consumed us and planned to destroy us, so that we should have no place in all the territory of Israel— 
2SA.21.6	let seven of his sons be handed over to us, and we will impale them before the 
2SA.21.7	But the king spared Mephibosheth,
2SA.21.8	The king took the two sons of Rizpah daughter of Aiah, whom she bore to Saul, Armoni and Mephibosheth;
2SA.21.9	he gave them into the hands of the Gibeonites, and they impaled them on the mountain before the 
2SA.21.10	Then Rizpah the daughter of Aiah took sackcloth, and spread it on a rock for herself, from the beginning of harvest until rain fell on them from the heavens; she did not allow the birds of the air to come on the bodies
2SA.21.11	When David was told what Rizpah daughter of Aiah, the concubine of Saul, had done, 
2SA.21.12	David went and took the bones of Saul and the bones of his son Jonathan from the people of Jabesh-gilead, who had stolen them from the public square of Beth-shan, where the Philistines had hung them up, on the day the Philistines killed Saul on Gilboa. 
2SA.21.13	He brought up from there the bones of Saul and the bones of his son Jonathan; and they gathered the bones of those who had been impaled. 
2SA.21.14	They buried the bones of Saul and of his son Jonathan in the land of Benjamin in Zela, in the tomb of his father Kish; they did all that the king commanded. After that, God heeded supplications for the land.
2SA.21.15	The Philistines went to war again with Israel, and David went down together with his servants. They fought against the Philistines, and David grew weary. 
2SA.21.16	Ishbi-benob, one of the descendants of the giants, whose spear weighed three hundred shekels of bronze, and who was fitted out with new weapons,
2SA.21.17	But Abishai son of Zeruiah came to his aid, and attacked the Philistine and killed him. Then David's men swore to him, “You shall not go out with us to battle any longer, so that you do not quench the lamp of Israel.”
2SA.21.18	After this a battle took place with the Philistines, at Gob; then Sibbecai the Hushathite killed Saph, who was one of the descendants of the giants. 
2SA.21.19	Then there was another battle with the Philistines at Gob; and Elhanan son of Jaare-oregim, the Bethlehemite, killed Goliath the Gittite, the shaft of whose spear was like a weaver's beam. 
2SA.21.20	There was again war at Gath, where there was a man of great size, who had six fingers on each hand, and six toes on each foot, twenty-four in number; he too was descended from the giants. 
2SA.21.21	When he taunted Israel, Jonathan son of David's brother Shimei, killed him. 
2SA.21.22	These four were descended from the giants in Gath; they fell by the hands of David and his servants.
2SA.22.1	David spoke to the 
2SA.22.2	He said:
2SA.22.2	The 
2SA.22.3	my God, my rock, in whom I take refuge,
2SA.22.3	my shield and the horn of my salvation,
2SA.22.3	my stronghold and my refuge,
2SA.22.3	my savior; you save me from violence.
2SA.22.4	I call upon the 
2SA.22.4	and I am saved from my enemies.
2SA.22.5	For the waves of death encompassed me,
2SA.22.5	the torrents of perdition assailed me;
2SA.22.6	the cords of Sheol entangled me,
2SA.22.6	the snares of death confronted me.
2SA.22.7	In my distress I called upon the 
2SA.22.7	to my God I called.
2SA.22.7	From his temple he heard my voice,
2SA.22.7	and my cry came to his ears.
2SA.22.8	Then the earth reeled and rocked;
2SA.22.8	the foundations of the heavens trembled
2SA.22.8	and quaked, because he was angry.
2SA.22.9	Smoke went up from his nostrils,
2SA.22.9	and devouring fire from his mouth;
2SA.22.9	glowing coals flamed forth from him.
2SA.22.10	He bowed the heavens, and came down;
2SA.22.10	thick darkness was under his feet.
2SA.22.11	He rode on a cherub, and flew;
2SA.22.11	he was seen upon the wings of the wind.
2SA.22.12	He made darkness around him a canopy,
2SA.22.12	thick clouds, a gathering of water.
2SA.22.13	Out of the brightness before him
2SA.22.13	coals of fire flamed forth.
2SA.22.14	The 
2SA.22.14	the Most High uttered his voice.
2SA.22.15	He sent out arrows, and scattered them
2SA.22.15	—lightning, and routed them.
2SA.22.16	Then the channels of the sea were seen,
2SA.22.16	the foundations of the world were laid bare
2SA.22.16	at the rebuke of the 
2SA.22.16	at the blast of the breath of his nostrils.
2SA.22.17	He reached from on high, he took me,
2SA.22.17	he drew me out of mighty waters.
2SA.22.18	He delivered me from my strong enemy,
2SA.22.18	from those who hated me;
2SA.22.18	for they were too mighty for me.
2SA.22.19	They came upon me in the day of my calamity,
2SA.22.19	but the 
2SA.22.20	He brought me out into a broad place;
2SA.22.20	he delivered me, because he delighted in me.
2SA.22.21	The 
2SA.22.21	according to the cleanness of my hands he recompensed me.
2SA.22.22	For I have kept the ways of the 
2SA.22.22	and have not wickedly departed from my God.
2SA.22.23	For all his ordinances were before me,
2SA.22.23	and from his statutes I did not turn aside.
2SA.22.24	I was blameless before him,
2SA.22.24	and I kept myself from guilt.
2SA.22.25	Therefore the 
2SA.22.25	according to my cleanness in his sight.
2SA.22.26	With the loyal you show yourself loyal;
2SA.22.26	with the blameless you show yourself blameless;
2SA.22.27	with the pure you show yourself pure,
2SA.22.27	and with the crooked you show yourself perverse.
2SA.22.28	You deliver a humble people,
2SA.22.28	but your eyes are upon the haughty to bring them down.
2SA.22.29	Indeed, you are my lamp, O 
2SA.22.29	the 
2SA.22.30	By you I can crush a troop,
2SA.22.30	and by my God I can leap over a wall.
2SA.22.31	This God—his way is perfect;
2SA.22.31	the promise of the 
2SA.22.31	he is a shield for all who take refuge in him.
2SA.22.32	For who is God, but the 
2SA.22.32	And who is a rock, except our God?
2SA.22.33	The God who has girded me with strength
2SA.22.33	has opened wide my path.
2SA.22.34	He made my
2SA.22.34	and set me secure on the heights.
2SA.22.35	He trains my hands for war,
2SA.22.35	so that my arms can bend a bow of bronze.
2SA.22.36	You have given me the shield of your salvation,
2SA.22.36	and your help
2SA.22.37	You have made me stride freely,
2SA.22.37	and my feet do not slip;
2SA.22.38	I pursued my enemies and destroyed them,
2SA.22.38	and did not turn back until they were consumed.
2SA.22.39	I consumed them; I struck them down, so that they did not rise;
2SA.22.39	they fell under my feet.
2SA.22.40	For you girded me with strength for the battle;
2SA.22.40	you made my assailants sink under me.
2SA.22.41	You made my enemies turn their backs to me,
2SA.22.41	those who hated me, and I destroyed them.
2SA.22.42	They looked, but there was no one to save them;
2SA.22.42	they cried to the 
2SA.22.43	I beat them fine like the dust of the earth,
2SA.22.43	I crushed them and stamped them down like the mire of the streets.
2SA.22.44	You delivered me from strife with the peoples;
2SA.22.44	you kept me as the head of the nations;
2SA.22.44	people whom I had not known served me.
2SA.22.45	Foreigners came cringing to me;
2SA.22.45	as soon as they heard of me, they obeyed me.
2SA.22.46	Foreigners lost heart,
2SA.22.46	and came trembling out of their strongholds.
2SA.22.47	The 
2SA.22.47	and exalted be my God, the rock of my salvation,
2SA.22.48	the God who gave me vengeance
2SA.22.48	and brought down peoples under me,
2SA.22.49	who brought me out from my enemies;
2SA.22.49	you exalted me above my adversaries,
2SA.22.49	you delivered me from the violent.
2SA.22.50	For this I will extol you, O 
2SA.22.50	and sing praises to your name.
2SA.22.51	He is a tower of salvation for his king,
2SA.22.51	and shows steadfast love to his anointed,
2SA.22.51	to David and his descendants forever.
2SA.23.1	Now these are the last words of David:
2SA.23.1	The oracle of David, son of Jesse,
2SA.23.1	the oracle of the man whom God exalted,
2SA.23.1	the anointed of the God of Jacob,
2SA.23.1	the favorite of the Strong One of Israel:
2SA.23.2	The spirit of the 
2SA.23.2	his word is upon my tongue.
2SA.23.3	The God of Israel has spoken,
2SA.23.3	the Rock of Israel has said to me:
2SA.23.3	One who rules over people justly,
2SA.23.3	ruling in the fear of God,
2SA.23.4	is like the light of morning,
2SA.23.4	like the sun rising on a cloudless morning,
2SA.23.4	gleaming from the rain on the grassy land.
2SA.23.5	Is not my house like this with God?
2SA.23.5	For he has made with me an everlasting covenant,
2SA.23.5	ordered in all things and secure.
2SA.23.5	Will he not cause to prosper
2SA.23.5	all my help and my desire?
2SA.23.6	But the godless are
2SA.23.6	for they cannot be picked up with the hand;
2SA.23.7	to touch them one uses an iron bar
2SA.23.7	or the shaft of a spear.
2SA.23.7	And they are entirely consumed in fire on the spot.
2SA.23.8	These are the names of the warriors whom David had: Josheb-basshebeth a Tahchemonite; he was chief of the Three;
2SA.23.9	Next to him among the three warriors was Eleazar son of Dodo son of Ahohi. He was with David when they defied the Philistines who were gathered there for battle. The Israelites withdrew, 
2SA.23.10	but he stood his ground. He struck down the Philistines until his arm grew weary, though his hand clung to the sword. The 
2SA.23.11	Next to him was Shammah son of Agee, the Hararite. The Philistines gathered together at Lehi, where there was a plot of ground full of lentils; and the army fled from the Philistines. 
2SA.23.12	But he took his stand in the middle of the plot, defended it, and killed the Philistines; and the 
2SA.23.13	Towards the beginning of harvest three of the thirty
2SA.23.14	David was then in the stronghold; and the garrison of the Philistines was then at Bethlehem. 
2SA.23.15	David said longingly, “O that someone would give me water to drink from the well of Bethlehem that is by the gate!” 
2SA.23.16	Then the three warriors broke through the camp of the Philistines, drew water from the well of Bethlehem that was by the gate, and brought it to David. But he would not drink of it; he poured it out to the 
2SA.23.17	for he said, “The 
2SA.23.18	Now Abishai son of Zeruiah, the brother of Joab, was chief of the Thirty.
2SA.23.19	He was the most renowned of the Thirty,
2SA.23.20	Benaiah son of Jehoiada was a valiant warrior
2SA.23.21	And he killed an Egyptian, a handsome man. The Egyptian had a spear in his hand; but Benaiah went against him with a staff, snatched the spear out of the Egyptian's hand, and killed him with his own spear. 
2SA.23.22	Such were the things Benaiah son of Jehoiada did, and won a name beside the three warriors. 
2SA.23.23	He was renowned among the Thirty, but he did not attain to the Three. And David put him in charge of his bodyguard.
2SA.23.24	Among the Thirty were Asahel brother of Joab; Elhanan son of Dodo of Bethlehem; 
2SA.23.25	Shammah of Harod; Elika of Harod; 
2SA.23.26	Helez the Paltite; Ira son of Ikkesh of Tekoa; 
2SA.23.27	Abiezer of Anathoth; Mebunnai the Hushathite; 
2SA.23.28	Zalmon the Ahohite; Maharai of Netophah; 
2SA.23.29	Heleb son of Baanah of Netophah; Ittai son of Ribai of Gibeah of the Benjaminites; 
2SA.23.30	Benaiah of Pirathon; Hiddai of the torrents of Gaash; 
2SA.23.31	Abi-albon the Arbathite; Azmaveth of Bahurim; 
2SA.23.32	Eliahba of Shaalbon; the sons of Jashen: Jonathan 
2SA.23.33	son of
2SA.23.34	Eliphelet son of Ahasbai of Maacah; Eliam son of Ahithophel the Gilonite; 
2SA.23.35	Hezro
2SA.23.36	Igal son of Nathan of Zobah; Bani the Gadite; 
2SA.23.37	Zelek the Ammonite; Naharai of Beeroth, the armor-bearer of Joab son of Zeruiah; 
2SA.23.38	Ira the Ithrite; Gareb the Ithrite; 
2SA.23.39	Uriah the Hittite—thirty-seven in all.
2SA.24.1	Again the anger of the 
2SA.24.2	So the king said to Joab and the commanders of the army,
2SA.24.3	But Joab said to the king, “May the 
2SA.24.4	But the king's word prevailed against Joab and the commanders of the army. So Joab and the commanders of the army went out from the presence of the king to take a census of the people of Israel. 
2SA.24.5	They crossed the Jordan, and began from
2SA.24.6	Then they came to Gilead, and to Kadesh in the land of the Hittites;
2SA.24.7	and came to the fortress of Tyre and to all the cities of the Hivites and Canaanites; and they went out to the Negeb of Judah at Beer-sheba. 
2SA.24.8	So when they had gone through all the land, they came back to Jerusalem at the end of nine months and twenty days. 
2SA.24.9	Joab reported to the king the number of those who had been recorded: in Israel there were eight hundred thousand soldiers able to draw the sword, and those of Judah were five hundred thousand.
2SA.24.10	But afterward, David was stricken to the heart because he had numbered the people. David said to the 
2SA.24.11	When David rose in the morning, the word of the 
2SA.24.12	“Go and say to David: Thus says the 
2SA.24.13	So Gad came to David and told him; he asked him, “Shall three
2SA.24.14	Then David said to Gad, “I am in great distress; let us fall into the hand of the 
2SA.24.15	So the 
2SA.24.16	But when the angel stretched out his hand toward Jerusalem to destroy it, the 
2SA.24.17	When David saw the angel who was destroying the people, he said to the 
2SA.24.18	That day Gad came to David and said to him, “Go up and erect an altar to the 
2SA.24.19	Following Gad's instructions, David went up, as the 
2SA.24.20	When Araunah looked down, he saw the king and his servants coming toward him; and Araunah went out and prostrated himself before the king with his face to the ground. 
2SA.24.21	Araunah said, “Why has my lord the king come to his servant?” David said, “To buy the threshing floor from you in order to build an altar to the 
2SA.24.22	Then Araunah said to David, “Let my lord the king take and offer up what seems good to him; here are the oxen for the burnt offering, and the threshing sledges and the yokes of the oxen for the wood. 
2SA.24.23	All this, O king, Araunah gives to the king.” And Araunah said to the king, “May the 
2SA.24.24	But the king said to Araunah, “No, but I will buy them from you for a price; I will not offer burnt offerings to the 
2SA.24.25	David built there an altar to the 
1KI.1.1	King David was old and advanced in years; and although they covered him with clothes, he could not get warm. 
1KI.1.2	So his servants said to him, “Let a young virgin be sought for my lord the king, and let her wait on the king, and be his attendant; let her lie in your bosom, so that my lord the king may be warm.” 
1KI.1.3	So they searched for a beautiful girl throughout all the territory of Israel, and found Abishag the Shunammite, and brought her to the king. 
1KI.1.4	The girl was very beautiful. She became the king's attendant and served him, but the king did not know her sexually.
1KI.1.5	Now Adonijah son of Haggith exalted himself, saying, “I will be king”; he prepared for himself chariots and horsemen, and fifty men to run before him. 
1KI.1.6	His father had never at any time displeased him by asking, “Why have you done thus and so?” He was also a very handsome man, and he was born next after Absalom. 
1KI.1.7	He conferred with Joab son of Zeruiah and with the priest Abiathar, and they supported Adonijah. 
1KI.1.8	But the priest Zadok, and Benaiah son of Jehoiada, and the prophet Nathan, and Shimei, and Rei, and David's own warriors did not side with Adonijah.
1KI.1.9	Adonijah sacrificed sheep, oxen, and fatted cattle by the stone Zoheleth, which is beside En-rogel, and he invited all his brothers, the king's sons, and all the royal officials of Judah, 
1KI.1.10	but he did not invite the prophet Nathan or Benaiah or the warriors or his brother Solomon.
1KI.1.11	Then Nathan said to Bathsheba, Solomon's mother, “Have you not heard that Adonijah son of Haggith has become king and our lord David does not know it? 
1KI.1.12	Now therefore come, let me give you advice, so that you may save your own life and the life of your son Solomon. 
1KI.1.13	Go in at once to King David, and say to him, ‘Did you not, my lord the king, swear to your servant, saying: Your son Solomon shall succeed me as king, and he shall sit on my throne? Why then is Adonijah king?’ 
1KI.1.14	Then while you are still there speaking with the king, I will come in after you and confirm your words.”
1KI.1.15	So Bathsheba went to the king in his room. The king was very old; Abishag the Shunammite was attending the king. 
1KI.1.16	Bathsheba bowed and did obeisance to the king, and the king said, “What do you wish?” 
1KI.1.17	She said to him, “My lord, you swore to your servant by the 
1KI.1.18	But now suddenly Adonijah has become king, though you, my lord the king, do not know it. 
1KI.1.19	He has sacrificed oxen, fatted cattle, and sheep in abundance, and has invited all the children of the king, the priest Abiathar, and Joab the commander of the army; but your servant Solomon he has not invited. 
