GEN.1.1	In the beginning God (
1CH.11.41	Uriah the Hittite [Bathsheba’s husband], Zabad the son of Ahlai, 
1CH.11.42	Adina the son of Shiza the Reubenite, a chief of the Reubenites, and thirty [heroes] with him, 
1CH.11.43	Hanan the son of Maacah, and Joshaphat the Mithnite, 
1CH.11.44	Uzzia the Ashterathite, Shama and Jeiel the sons of Hotham the Aroerite, 
1CH.11.45	Jediael the son of Shimri, and his brother Joha, the Tizite, 
1CH.11.46	Eliel the Mahavite, Jeribai and Joshaviah the sons of Elnaam, Ithmah the Moabite, 
1CH.11.47	Eliel and Obed and Jaasiel the Mezobaite.
1CH.12.1	These are the ones who came to David at Ziklag, while he still concealed himself from Saul the son of Kish; they were among the courageous men who helped him in battle. 
1CH.12.2	They were armed with bows, and could use the right hand or the left to 
1CH.12.3	The chief was Ahiezer and then Joash, the sons of Shemaah of Gibeah; Jeziel and Pelet the sons of Azmaveth; Beracah, and Jehu of Anathoth, 
1CH.12.4	Ishmaiah of Gibeon, a mighty man among the thirty, and [a leader] over them; 
1CH.12.5	Eluzai, Jerimoth, Bealiah, Shemariah, Shephatiah the Haruphite, 
1CH.12.6	Elkanah, Isshiah, Azarel, Joezer, and Jashobeam, the Korahites, 
1CH.12.7	and Joelah and Zebadiah the sons of Jeroham of Gedor.
1CH.12.8	Courageous men from the Gadites came over to David in the stronghold in the wilderness, men trained for war, who could handle shield and spear, whose faces were like the faces of lions, and who were swift as gazelles on the mountains. 
1CH.12.9	Ezer was the first, Obadiah the second, Eliab the third, 
1CH.12.10	Mishmannah the fourth, Jeremiah the fifth, 
1CH.12.11	Attai the sixth, Eliel the seventh, 
1CH.12.12	Johanan the eighth, Elzabad the ninth, 
1CH.12.13	Jeremiah the tenth, Machbannai the eleventh. 
1CH.12.14	These from the sons (descendants) of Gad were captains of the army; he who was least was 
1CH.12.15	These are the men who crossed over the Jordan in the first month when it had overflowed all its banks and they put to flight all those in the valleys, east and west.
1CH.12.16	Then some of the 
1CH.12.17	David went out to meet them and said to them, “If you have come peacefully to me to help me, my heart shall be united with you; but if 
1CH.12.18	Then the [Holy] Spirit came on Amasai, who was chief of the thirty, 
1CH.12.18	“We are yours, O David,
1CH.12.18	And with you, O son of Jesse!
1CH.12.18	Peace, peace be to you,
1CH.12.18	And peace be to him who helps you;
1CH.12.18	For your God helps you.”
1CH.12.18	Then David accepted 
1CH.12.19	Some [of the men] of Manasseh also defected to David when he came with the Philistines to go to battle against Saul. But David’s men did not [actually] assist the Philistines, for the lords (governors) of the Philistines after consultation sent him away, saying, “At 
1CH.12.20	As David went to Ziklag, 
1CH.12.21	They helped David against the band of raiders, for they were all courageous men, and [all seven] became commanders in his army. 
1CH.12.22	For day by day men kept coming to David to help him, until there was a great army, like the army of God.
1CH.12.23	These are the numbers of the [armed] units equipped for war who came to David at Hebron to turn [over] the kingdom of Saul to him, in accordance with the word of the L
1CH.12.24	Those of the tribe of Judah who carried shield and spear were 6,800, armed for war; 
1CH.12.25	of the tribe of Simeon, brave warriors, 7,100; 
1CH.12.26	of the tribe of Levi, 4,600. 
1CH.12.27	Jehoiada was the leader of [the house of] Aaron, and with him were 3,700, 
1CH.12.28	and Zadok, a courageous young man, and twenty-two captains from his father’s house. 
1CH.12.29	Of the tribe of Benjamin, the relatives of [King] Saul, 3,000; for until now the majority of them had kept their allegiance to the house of Saul. 
1CH.12.30	Of the tribe of Ephraim, 20,800, courageous men, famous in their fathers’ houses. 
1CH.12.31	Of the half-tribe of Manasseh, 18,000, who were designated by name to come and make David king. 
1CH.12.32	Of the tribe of Issachar, men who understood the times, with knowledge of what Israel should do, two hundred chiefs; and all their relatives were at their command; 
1CH.12.33	of the tribe of Zebulun, there were 50,000 in military service who could draw up in battle formation with all kinds of weapons of war and helped 
1CH.12.34	Of the tribe of Naphtali, 
1CH.12.35	Of the tribe of Dan, 28,600 men who could draw up in battle formation. 
1CH.12.36	Of the tribe of Asher, 40,000 men in military service, able to draw up in battle formation. 
1CH.12.37	From the other side [east] of the Jordan 
1CH.12.38	All these, being men of war arrayed in battle formation, came to Hebron with a perfect (committed) heart to make David king over all Israel; and all the rest of Israel were also of one mind to make David king. 
1CH.12.39	They were there with David for three days, eating and drinking, for their relatives had prepared for them. 
1CH.12.40	Also those who were [living] near them [from] as far as [the tribes of] Issachar, Zebulun, and Naphtali, brought food on donkeys, camels, mules, and oxen, abundant supplies of flour, cakes of figs and raisins, wine, [olive] oil, oxen, and sheep, for there was joy in Israel.
1CH.13.1	David consulted with the captains of the thousands and the hundreds, even with every leader. 
1CH.13.2	David said to all the assembly of Israel, “If it seems good to you, and if it is from the L
1CH.13.3	and let us bring back the ark of our God to us, 
1CH.13.4	Then all the assembly agreed to do so, for the thing was right in the eyes of all the people.
1CH.13.5	So David gathered all Israel together, from the Shihor [watercourse] of Egypt, to the entrance of Hamath [in the north], to bring the ark of God from Kiriath-jearim. 
1CH.13.6	David and all Israel went up to Baalah, 
1CH.13.7	They 
1CH.13.8	David and all Israel celebrated [joyfully] before God with all their might, with songs, lyres, harps, tambourines, cymbals, and trumpets.
1CH.13.9	When they came to the threshing floor of Chidon, Uzza put out his hand to hold 
1CH.13.10	The anger of the L
1CH.13.11	David became angry because of the L
1CH.13.12	David was afraid of God that day, and he said, “How can I bring the ark of God 
1CH.13.13	So David did not bring the ark with him to the City of David, but took it aside to the house of 
1CH.13.14	So the ark of God remained with the 
1CH.14.1	Now Hiram king of Tyre sent messengers to David with cedar timbers, masons and carpenters, to build a house (palace) for him. 
1CH.14.2	And David understood that the L
1CH.14.3	Then David took more wives at Jerusalem, and he became the father of more sons and daughters. 
1CH.14.4	Now these are the 
1CH.14.5	Ibhar, Elishua, Elpelet, 
1CH.14.6	Nogah, Nepheg, Japhia, 
1CH.14.7	Elishama, Beeliada, and Eliphelet.
1CH.14.8	When the Philistines heard that David had been anointed king over all Israel, they all went up in search of David; and he heard about it and went out against them. 
1CH.14.9	Now the Philistines had come and made a raid in the Valley of Rephaim. 
1CH.14.10	So David inquired of God, “Shall I go up against the Philistines? And will You hand them over to me?” Then the L
1CH.14.11	So Israel came up to Baal-perazim, and David defeated the Philistines there. Then David said, “God has broken through my enemies by my hand, like the breakthrough of waters.” Therefore they named that place 
1CH.14.12	The Philistines abandoned their gods (idols) there; so David gave a command and they were burned in a fire [as the Law of Moses required].
1CH.14.13	The Philistines again made a raid in the valley. 
1CH.14.14	So David inquired again of God, and God said to him, “Do not go up after them; circle around behind them and come at them in front of the balsam trees. 
1CH.14.15	It shall be when you hear the sound of marching in the tops of the balsam trees, then you shall go out to battle, for God has gone out before you to strike the Philistine army.” 
1CH.14.16	So David did just as God had commanded him, and they struck down the army of the Philistines from Gibeon as far as Gezer. 
1CH.14.17	Then David’s fame spread into all the lands; and the L
1CH.15.2	Then David said, “No one is to carry the ark of God except the Levites; for the L
1CH.15.3	And David assembled all Israel at Jerusalem to bring up the ark of the L
1CH.15.4	David gathered together the sons of Aaron and the Levites: 
1CH.15.5	of the sons of Kohath, Uriel the chief, with 120 of his relatives; 
1CH.15.6	of the sons of Merari, Asaiah the chief, with 220 of his relatives; 
1CH.15.7	of the sons of Gershom, Joel the chief, with 130 of his relatives; 
1CH.15.8	of the sons of Elizaphan, Shemaiah the chief, with 200 of his relatives; 
1CH.15.9	of the sons of Hebron, Eliel the chief, with 80 of his relatives; 
1CH.15.10	of the sons of Uzziel, Amminadab the chief, with 112 of his relatives.
1CH.15.11	Then David called for Zadok and Abiathar the priests, and for the Levites—Uriel, Asaiah, Joel, Shemaiah, Eliel, and Amminadab, 
1CH.15.12	and he said to them, “You are the heads of the fathers’ 
1CH.15.13	Because you did not [carry it as God directed] the first time, the L
1CH.15.14	So the priests and the Levites consecrated (dedicated) themselves to bring up the ark of the L
1CH.15.15	The Levites carried the ark of God on their shoulders with the poles, as Moses commanded in accordance with the word of the L
1CH.15.16	Then David told the chiefs of the Levites to appoint their relatives as the singers, with instruments of music—harps, lyres, and cymbals—to play loudly 
1CH.15.17	So the Levites appointed Heman the son of Joel, and from his relatives, Asaph the son of Berechiah; and from the sons of Merari their relatives, Ethan the son of Kushaiah, 
1CH.15.18	and with them their relatives of the second rank: Zechariah, Ben, Jaaziel, Shemiramoth, Jehiel, Unni, Eliab, Benaiah, Maaseiah, Mattithiah, Eliphelehu, and Mikneiah, Obed-edom, and Jeiel, the gatekeepers. 
1CH.15.19	So the singers, Heman, Asaph, and Ethan 
1CH.15.20	and Zechariah, Aziel, Shemiramoth, Jehiel, Unni, Eliab, Maaseiah, and Benaiah [were to play] with 
1CH.15.21	and Mattithiah, Eliphelehu, Mikneiah, Obed-edom, Jeiel, and Azaziah were to lead with lyres set to Sheminith [that is, the eighth string, a low pitch]. 
1CH.15.22	Chenaniah, leader of the Levites, was 
1CH.15.23	Berechiah and Elkanah were gatekeepers for the ark. 
1CH.15.24	Shebaniah, Joshaphat, Nethanel, Amasai, Zechariah, Benaiah, and Eliezer the priests blew the trumpets before the ark of God. Obed-edom and Jehiah (Jeiel) were also gatekeepers for the ark.
1CH.15.25	So David, with the elders of Israel and the captains over thousands, went to bring up the ark of the covenant of the L
1CH.15.26	Because God was helping the Levites who carried the ark of the covenant of the L
1CH.15.27	David was clothed with a robe of fine linen, as were all the Levites who carried the ark, and the singers and Chenaniah, director of the music of the singers. David also wore an ephod (a priestly upper garment) of linen. 
1CH.15.28	Thus all Israel brought up the ark of the covenant of the L
1CH.15.29	It happened that as the ark of the covenant of the L
1CH.16.1	So they brought the ark of God and set it inside the tent which David had pitched for it, and they offered burnt offerings and peace offerings before God. 
1CH.16.2	When David had finished offering the burnt offerings and the peace offerings, he blessed the people in the name of the L
1CH.16.3	He distributed to everyone in Israel, both man and woman, to everyone a loaf of bread, a portion 
1CH.16.4	He appointed some of the Levites to minister before the ark of the L
1CH.16.5	Asaph the chief, and second to him Zechariah, 
1CH.16.6	and Benaiah and Jahaziel the priests 
1CH.16.7	Then on that day David first entrusted to Asaph and his relatives to give thanks to the L
1CH.16.8	O give thanks to the L
1CH.16.8	Make His deeds known among the peoples.
1CH.16.9	Sing to Him, sing praises to Him;
1CH.16.9	Speak of all His wonders.
1CH.16.10	Glory in His holy name;
1CH.16.10	Let the hearts of those who seek the L
1CH.16.11	Seek the L
1CH.16.11	Seek His face continually [longing to be in His presence].
1CH.16.12	Remember [with gratitude] His marvelous deeds which He has done,
1CH.16.12	His miracles and the judgments from His mouth,
1CH.16.13	O seed of Israel His servant,
1CH.16.14	He is the L
1CH.16.14	His judgments are in all the earth.
1CH.16.15	Be mindful of His covenant forever,
1CH.16.15	The promise which He commanded 
1CH.16.16	And His oath (sworn promise) to Isaac.
1CH.16.17	He confirmed it as a statute to Jacob,
1CH.16.17	And to Israel as an everlasting covenant,
1CH.16.18	Saying, “To you I will give the land of Canaan,
1CH.16.18	As the portion of your possession 
1CH.16.19	When you were few in number,
1CH.16.19	Even a very few, and strangers in it,
1CH.16.20	When they wandered from nation to nation,
1CH.16.20	And from 
1CH.16.21	He allowed no man to oppress 
1CH.16.21	And, He reproved 
1CH.16.22	“Do not touch My anointed ones,
1CH.16.22	And do My prophets no harm.”
1CH.16.23	Sing to the L
1CH.16.23	Proclaim the good news of His salvation from day to day.
1CH.16.24	Declare His glory among the nations,
1CH.16.24	His marvelous works among all peoples.
1CH.16.25	For great is the L
1CH.16.25	He is also to be feared [with awe-filled reverence] above all gods.
1CH.16.26	For all the gods of the peoples are [lifeless] idols,
1CH.16.26	But the L
1CH.16.27	Splendor and majesty are [found] in His presence;
1CH.16.27	Strength and joy are [found] in His place (sanctuary).
1CH.16.28	Ascribe to the L
1CH.16.28	Ascribe to the L
1CH.16.29	Ascribe to the L
1CH.16.29	Bring an offering [of thanksgiving], and come before Him;
1CH.16.29	Worship the L
1CH.16.30	Tremble [reverently] before Him, all the earth;
1CH.16.30	The world is firmly established, it will not be moved.
1CH.16.31	Let the heavens be glad, and let the earth rejoice;
1CH.16.31	And let them say among the nations, “The L
1CH.16.32	Let the sea roar, and all the things that fill it;
1CH.16.32	Let the field rejoice, and all that is in it.
1CH.16.33	Then the trees of the forest will sing for joy before the L
1CH.16.33	For He comes to judge 
1CH.16.34	O give thanks to the L
1CH.16.34	For His lovingkindness endures forever.
1CH.16.35	Then say, “Save us, O God of our salvation;
1CH.16.35	Gather us together and rescue us from the nations,
1CH.16.35	That we may give thanks to Your holy name,
1CH.16.35	And glory in Your praise.”
1CH.16.36	Blessed be the L
1CH.16.36	Forever and ever.
1CH.16.36	And all the people said, “Amen,” and praised the L
1CH.16.37	So David left Asaph and his relatives there before the ark of the covenant of the L
1CH.16.38	and Obed-edom with his sixty-eight relatives; also Obed-edom the son of Jeduthun, and Hosah, were to be gatekeepers. 
1CH.16.39	 Zadok the priest and his relatives the priests before the dwelling place (tabernacle) of the L
1CH.16.40	to offer burnt offerings to the L
1CH.16.41	With them were Heman and Jeduthun, and the rest who were chosen and designated by name, to give thanks to the L
1CH.16.42	With them were Heman and Jeduthun 
1CH.16.43	Then all the people departed, each to his house, and David returned [home] to bless his household.
1CH.17.1	As David sat in his house (palace), he said to Nathan the prophet, “Behold, I live in a house of cedars, while the ark of the covenant of the L
1CH.17.2	Then Nathan said to David, “
1CH.17.3	But it came about that same night that the word of God came to Nathan, saying, 
1CH.17.4	“Go and tell David My servant, ‘Thus says the L
1CH.17.5	for I have not dwelt in a house since the day that I brought Israel up [from Egypt] until this day, but I have gone from tent to tent and from 
1CH.17.6	Wherever I have walked with all Israel, did I say a word to any of the judges of Israel, whom I commanded to shepherd My people, saying, ‘Why have you not built for Me a house of cedar?’ ” ’ 
1CH.17.7	Now, therefore, this is what you shall say to My servant David: ‘Thus says the L
1CH.17.8	I have been with you wherever you have gone, and I have cut off all your enemies from before you; and I will make your name like the name of the great ones of the earth. 
1CH.17.9	I will appoint a place for My people Israel, and will plant them, so that they may live in their own place and not be moved again [nor tremble with fear]; and the 
1CH.17.10	since the time that I commanded judges to be over My people Israel. And I will humble 
1CH.17.10	“
1CH.17.11	And it shall come to pass that when your days are completed and you must go to be with your fathers [in death], I will raise up 
1CH.17.12	He shall build Me a house, and I will establish his throne forever. 
1CH.17.13	I will be his father and he shall be My son; and I will not take My steadfast love 
1CH.17.14	But I will settle 
1CH.17.15	According to all these words and according to all this vision, so Nathan spoke to David.
1CH.17.16	Then David the king went in and sat before the L
1CH.17.17	This was a small thing in Your eyes, O God; but You have spoken of Your servant’s house for a great while to come, and have regarded me according to the standard 
1CH.17.18	What more can David say to You for the honor 
1CH.17.19	O L
1CH.17.20	O L
1CH.17.21	And what one nation on the earth is like Your people Israel, whom God went to redeem for Himself as a people, to make a name for Yourself by great and awesome 
1CH.17.22	You made Your people Israel Your own people forever, and You, L
1CH.17.23	“Therefore now, O L
1CH.17.24	Let Your name [and the character that it denotes] endure and be magnified forever, saying, ‘The L
1CH.17.25	For You, O my God, have revealed to Your servant that You will build for him a house (descendants); therefore Your servant has found 
1CH.17.26	And now, O L
1CH.17.27	Therefore may it please You to bless the house (descendants) of Your servant, that it may continue before You forever; for what You bless, O L
1CH.18.1	After this it came about that David defeated and subdued the Philistines, and he took Gath and its villages out of the hand of the Philistines. 
1CH.18.2	He defeated Moab, and the Moabites became David’s servants and brought tribute (gifts).
1CH.18.3	David also defeated Hadadezer king of Zobah 
1CH.18.4	David took from him 1,000 chariots, 7,000 horsemen, and 20,000 foot soldiers (infantrymen). David also 
1CH.18.5	When the Arameans (Syrians) of 
1CH.18.6	Then David put 
1CH.18.7	David took the shields of gold which were carried by the servants of Hadadezer and brought them to Jerusalem. 
1CH.18.8	Likewise from Tibhath and from Cun, cities of Hadadezer, David brought a very large amount of bronze, with which Solomon later made the bronze Sea (large basin), the pillars, and the utensils of bronze.
1CH.18.9	When Tou king of Hamath heard how David had defeated all the army of Hadadezer king of Zobah, 
1CH.18.10	he sent Hadoram his son to King David to greet him and to bless (congratulate) him, because he had fought against Hadadezer and had defeated him; for Hadadezer had been at war with Tou. And 
1CH.18.11	King David also dedicated these to the L
1CH.18.12	Also Abishai the son of Zeruiah [David’s half sister] defeated 18,000 Edomites in the Valley of Salt. 
1CH.18.13	He put military outposts in Edom, and all the Edomites became David’s servants. Thus the L
1CH.18.14	So David reigned over all Israel and administered justice and righteousness for all his people. 
1CH.18.15	Joab the son of Zeruiah was in command of the army, and Jehoshaphat the son of Ahilud was the recorder; 
1CH.18.16	Zadok the son of Ahitub and Abimelech the son of Abiathar were the priests, and Shavsha was secretary (state scribe); 
1CH.18.17	and Benaiah the son of Jehoiada was in charge of the 
1CH.19.1	Now it came about after this, that Nahash king of the Ammonites died, and his son became king in his place. 
1CH.19.2	David said, “I will be kind (gracious) to Hanun son of Nahash, because his father was kind to me.” So David sent messengers to comfort him concerning [the death of] his father. And the servants of David came to the land of the Ammonites to comfort Hanun. 
1CH.19.3	But the leaders of the Ammonites said to Hanun, “
1CH.19.4	Therefore Hanun took David’s servants, shaved them [cutting off half their beards], and cut off their garments in the middle as far as their buttocks, and sent them away [in humiliation]. 
1CH.19.5	When David was told how the men were treated, he sent 
1CH.19.6	When the Ammonites saw that they had made themselves hateful to David, Hanun and his people sent 1,000 talents of silver to hire for themselves chariots and horsemen from Mesopotamia, Aram-maacah, and Zobah. 
1CH.19.7	So they hired for themselves 32,000 chariots and the king of Maacah and his troops, who came and camped before Medeba. And the Ammonites gathered together from their cities and came to battle. 
1CH.19.8	When David heard 
1CH.19.9	The Ammonites came out and lined up in battle formation at the entrance of the city [Medeba], while the kings who had come were by themselves in the open country.
1CH.19.10	Now when Joab saw that the battle was set against him in the front and in the rear, he chose 
1CH.19.11	The rest of the soldiers he placed in the hand of Abishai his brother, and they lined up against the Ammonites. 
1CH.19.12	He said, “If the Arameans are too strong for me, then you shall help me; but if the Ammonites are too strong for you, I will help you. 
1CH.19.13	Be strong and let us show ourselves courageous for the sake of our people and for the cities of our God; and may the L
1CH.19.14	So Joab and the people who were with him approached the Arameans for battle, and they fled before him. 
1CH.19.15	When the Ammonites saw that the Arameans fled, they also fled before Abishai, Joab’s brother, and entered the city [Medeba]. Then Joab came to Jerusalem.
1CH.19.16	When the Arameans (Syrians) saw that they had been defeated by Israel, they sent messengers and brought out the Arameans who were beyond the [Euphrates] River, with Shophach the commander of the army of Hadadezer leading them. 
1CH.19.17	When this was told to David, he gathered all Israel and crossed the Jordan, and came upon them and drew up in formation against them. So when David drew up in battle array against the Arameans, they fought against him. 
1CH.19.18	But the Arameans fled before Israel, and David killed of the Arameans 7,000 charioteers and 40,000 foot soldiers, and put to death Shophach the commander of the army. 
1CH.19.19	When the servants of Hadadezer saw that they had been defeated by Israel, they made peace with David and became subject to 
1CH.20.1	Then it happened at the end of the year, 
1CH.20.2	David took the crown of their king from his head and found that it 
1CH.20.3	He brought out the people who were in it, and 
1CH.20.4	Now it came about after this that war broke out at Gezer with the Philistines; then Sibbecai the Hushathite killed Sippai, one of the descendants of the 
1CH.20.5	There was war again with the Philistines, and Elhanan the son of Jair killed Lahmi the brother of Goliath the Gittite, the shaft of whose spear was like a weaver’s beam. 
1CH.20.6	Again there was war at Gath, where there was a man of 
1CH.20.7	When he taunted Israel, Jonathan the son of Shimea, David’s brother, killed him. 
1CH.20.8	These were descended from the giants in Gath, and they fell by the hand of David and by the hand of his servants.
1CH.21.1	Satan [the adversary] stood up against Israel and incited David to 
1CH.21.2	So David said to Joab and the leaders of the people, “Go, count Israel from Beersheba to Dan, and bring me their total, so that I may know it.” 
1CH.21.3	Joab said, “May the L
1CH.21.4	But the king’s word prevailed over Joab. So Joab left and went throughout all Israel and came to Jerusalem. 
1CH.21.5	Then Joab gave the total of the census of the people to David. And all Israel were 1,100,000 men who drew the sword; and in Judah 470,000 men who drew the sword. 
1CH.21.6	But he did not count Levi and Benjamin among them, because the king’s order was detestable to Joab.
1CH.21.7	Now God was displeased with this act [of arrogance and pride], and He struck Israel. 
1CH.21.8	Then David said to God, “I have sinned greatly because I have done this thing. But now, I beseech You, take away the wickedness 
1CH.21.9	And the L
1CH.21.10	“Go and tell David, saying, ‘Thus says the L
1CH.21.11	So Gad came to David and said to him, “Thus says the L
1CH.21.12	either three years of famine, or three months to be swept away before your enemies, while the sword of your enemies overtakes you, or else three days of the sword of the L
1CH.21.13	David said to Gad, “I am in great distress; please let me fall into the hands of the L
1CH.21.14	So the L
1CH.21.15	God sent an angel to Jerusalem to destroy it; and as he was destroying it, the L
1CH.21.16	Then David raised his eyes and saw the angel of the L
1CH.21.17	David said to God, “Is it not I who commanded the people to be counted? I am the one who has sinned and done evil; but as for these sheep [the people of Israel], what have they done? O L
1CH.21.18	Then the angel of the L
1CH.21.19	So David went up at Gad’s word, which he spoke in the name of the L
1CH.21.20	Now Ornan was threshing wheat, and he turned back and saw the angel; and his four sons who were with him hid themselves. 
1CH.21.21	As David came to Ornan, Ornan looked and saw him, and went out from the threshing floor and bowed down before David with his face to the ground. 
1CH.21.22	Then David said to Ornan, “Give me the site of this threshing floor, so that I may build an altar on it to the L
1CH.21.23	Ornan said to David, “Take it for yourself; and let my lord the king do what is good in his eyes. See, I will give you the oxen also for burnt offerings and the threshing sledges (heavy wooden platforms) for wood and the wheat for the grain offering; I give it all.” 
1CH.21.24	But King David said to Ornan, “No, I will certainly pay the full price; for I will not take what is yours for the L
1CH.21.25	So David gave Ornan 600 shekels of gold by weight for the site. 
1CH.21.26	Then David built an altar to the L
1CH.21.27	Then the L
1CH.21.28	At that time, when David saw that the L
1CH.21.29	For the tabernacle of the L
1CH.21.30	But David could not go before it to inquire of God, for he was terrified by the sword of the angel of the L
1CH.22.1	Then David said, “This is the house of the L
1CH.22.2	So David gave orders to gather the foreigners who were in the land of Israel, and he assigned stonecutters to hew out stones to build the house of God. 
1CH.22.3	David prepared large quantities of iron to make nails for the doors of the gates and for the clamps (trusses), and more bronze than could be weighed; 
1CH.22.4	and cedar trees beyond number, for the Sidonians and Tyrians brought large quantities of cedar timber to David. 
1CH.22.5	David said, “Solomon my son is young and inexperienced, and the house that is to be built for the L
1CH.22.6	Then he called for Solomon his son and ordered him to build a house for the L
1CH.22.7	David said to Solomon, “My son, I had intended to build a house for the 
1CH.22.8	But the word of the L
1CH.22.9	Behold, a son will be born to you, who will be a man of peace. I will give him rest from all his enemies on every side; for his name shall be Solomon, and I will give peace and quiet to Israel in his days. 
1CH.22.10	He shall build a house for My Name (Presence). He shall be My son and I will be his father; and I will establish his royal throne over Israel forever.’ 
1CH.22.11	Now, my son, may the L
1CH.22.12	Only may the L
1CH.22.13	Then you will prosper, if you are careful to observe 
1CH.22.14	Now listen, 
1CH.22.15	Further, you have workmen in abundance: stonecutters and stonemasons and carpenters, and all men who are skillful in every kind of work. 
1CH.22.16	As for the gold, the silver, the bronze, and the iron, there is no limit. So arise and begin working, and may the L
1CH.22.17	David also commanded all the leaders of Israel to help Solomon his son, 
1CH.22.18	“Is not the L
1CH.22.19	Now set your heart and your soul to seek (inquire of, require as your vital necessity) the L
1CH.23.1	When David reached old age, he made his son Solomon king over Israel. 
1CH.23.2	And he assembled together all the leaders of Israel with the priests and Levites.
1CH.23.3	The Levites thirty years old and upward were counted, and their number man by man was 38,000. 
1CH.23.4	Of these 
1CH.23.5	and 4,000 were gatekeepers, and 4,000 [musicians] were to praise the L
1CH.23.6	And David organized them into divisions according to the sons of Levi: Gershon, Kohath, and Merari.
1CH.23.7	Of the Gershonites: Ladan (Libni) and Shimei. 
1CH.23.8	The sons of Ladan: Jehiel the first and Zetham and Joel—three 
1CH.23.9	The sons of Shimei: Shelomoth, Haziel, and Haran—three 
1CH.23.10	The sons of Shimei: Jahath, Zina (Zizah), Jeush, and Beriah. These were the four sons of Shimei. 
1CH.23.11	Jahath was the first and Zizah the second; but Jeush and Beriah did not have many sons [not enough for a father’s house or clan], so they were [counted together] as one father’s household, one working group.
1CH.23.12	The sons of Kohath: Amram, Izhar, Hebron, and Uzziel—four 
1CH.23.13	The sons of Amram: Aaron and Moses. Aaron was set apart to consecrate him as most holy, he and his sons forever, to burn incense before the L
1CH.23.14	But as for Moses the man of God, his sons were counted among the tribe of Levi. 
1CH.23.15	The sons of Moses: Gershom and Eliezer. 
1CH.23.16	The son of Gershom: Shebuel the chief. 
1CH.23.17	The son of Eliezer was Rehabiah the chief. Eliezer had no other sons, but Rehabiah’s sons were very many [in number]. 
1CH.23.18	The son of Izhar: Shelomith the chief. 
1CH.23.19	The sons of Hebron: Jeriah the first, Amariah the second, Jahaziel the third, and Jekameam the fourth. 
1CH.23.20	The sons of Uzziel: Micah the first and Isshiah the second.
1CH.23.21	The sons of Merari: Mahli and Mushi. The sons of Mahli: Eleazar and Kish. 
1CH.23.22	Eleazar died and had no sons, but daughters only, and their relatives, the sons of Kish, took them as wives. 
1CH.23.23	The sons of Mushi: Mahli, Eder, and Jeremoth—three 
1CH.23.24	These were the Levites by their fathers’ households, the heads of the fathers’ 
1CH.23.25	For David said, “The L
1CH.23.26	Also, the Levites will no longer need to carry the tabernacle and all its utensils for its service.” 
1CH.23.27	For by the last words of David, the Levites from twenty years old and above were counted. 
1CH.23.28	For their duty is to assist [the priests] the sons of Aaron in the service of the house of the L
1CH.23.29	and with the showbread, and the fine flour for a grain offering, and unleavened wafers, or 
1CH.23.30	They are to stand every morning to thank and praise the L
1CH.23.31	and to offer all burnt sacrifices to the L
1CH.23.32	So they shall be responsible for the Tent of Meeting, the Holy Place, and the sons of Aaron their relatives, for the service of the house of the L
1CH.24.1	The divisions of the 
1CH.24.2	But Nadab and Abihu died before their father and had no sons; therefore Eleazar and Ithamar served as priests. 
1CH.24.3	David, with Zadok of the sons of Eleazar and Ahimelech of the sons of Ithamar, divided them according to their offices for their 
1CH.24.4	Since there were more chief men found among the descendants of Eleazar than among the descendants of Ithamar [because of Eli’s misfortunes, and Saul’s massacre of the priests at Nob], they were divided in this way: sixteen heads of fathers’ households of the descendants of Eleazar and eight of the descendants of Ithamar, corresponding to their fathers’ households. 
1CH.24.5	So they were divided by lot, one group with the other; for they were officers of the sanctuary and officers (high priests) of God, both from the descendants of Eleazar and from the descendants of Ithamar. 
1CH.24.6	Shemaiah, the son of Nethanel the scribe, from the Levites, recorded them in the presence of the king, the officers, Zadok the priest, 
1CH.24.7	The lots fell, the first one to Jehoiarib, the second to Jedaiah, 
1CH.24.8	the third to Harim, the fourth to Seorim, 
1CH.24.9	the fifth to Malchijah, the sixth to Mijamin, 
1CH.24.10	the seventh to Hakkoz, the eighth to Abijah, 
1CH.24.11	the ninth to Jeshua, the tenth to Shecaniah, 
1CH.24.12	the eleventh to Eliashib, the twelfth to Jakim, 
1CH.24.13	the thirteenth to Huppah, the fourteenth to Jeshebeab, 
1CH.24.14	the fifteenth to Bilgah, the sixteenth to Immer, 
1CH.24.15	the seventeenth to Hezir, the eighteenth to Happizzez, 
1CH.24.16	the nineteenth to Pethahiah, the twentieth to Jehezkel, 
1CH.24.17	the twenty-first to Jachin, the twenty-second to Gamul, 
1CH.24.18	the twenty-third to Delaiah, the twenty-fourth to Maaziah. 
1CH.24.19	These were their offices 
1CH.24.20	Now as for the rest of the sons of Levi: of the sons of Amram: Shubael; of the sons of Shubael: Jehdeiah. 
1CH.24.21	Of Rehabiah: of the sons of Rehabiah: Isshiah the first. 
1CH.24.22	Of the Izharites: Shelomoth; of the sons of Shelomoth, Jahath. 
1CH.24.23	The sons 
1CH.24.24	Of the sons of Uzziel, Micah; of the sons of Micah, Shamir. 
1CH.24.25	The brother of Micah, Isshiah; of the sons of Isshiah, Zechariah. 
1CH.24.26	The sons of Merari: Mahli and Mushi; the sons of Jaaziah, Beno. 
1CH.24.27	The sons of Merari: by Jaaziah were Beno, Shoham, Zaccur, and Ibri. 
1CH.24.28	By Mahli: Eleazar, who had no sons. 
