GEN.1.1	In the beginning, when God created the universe,
GEN.43.17	The servant did as he was commanded and took the brothers to Joseph's house.
GEN.43.18	As they were being brought to the house, they were afraid and thought, “We are being brought here because of the money that was returned in our sacks the first time. They will suddenly attack us, take our donkeys, and make us his slaves.” 
GEN.43.19	So at the door of the house, they said to the servant in charge, 
GEN.43.20	“If you please, sir, we came here once before to buy food. 
GEN.43.21	When we set up camp on the way home, we opened our sacks, and each man found his money in the top of his sack—every bit of it. We have brought it back to you. 
GEN.43.22	We have also brought some more money with us to buy more food. We do not know who put our money back in our sacks.”
GEN.43.23	The servant said, “Don't worry. Don't be afraid. Your God, the God of your father, must have put the money in your sacks for you. I received your payment.” Then he brought Simeon to them.
GEN.43.24	The servant took the brothers into the house. He gave them water so that they could wash their feet, and he fed their donkeys. 
GEN.43.25	They got their gifts ready to present to Joseph when he arrived at noon, because they had been told that they were to eat with him. 
GEN.43.26	When Joseph got home, they took the gifts into the house to him and bowed down to the ground before him. 
GEN.43.27	He asked about their health and then said, “You told me about your old father—how is he? Is he still alive and well?”
GEN.43.28	They answered, “Your humble servant, our father, is still alive and well.” And they knelt and bowed down before him.
GEN.43.29	When Joseph saw his brother Benjamin, he said, “So this is your youngest brother, the one you told me about. God bless you, my son.” 
GEN.43.30	Then Joseph left suddenly, because his heart was full of tender feelings for his brother. He was about to break down, so he went to his room and cried. 
GEN.43.31	After he had washed his face, he came out, and controlling himself, he ordered the meal to be served. 
GEN.43.32	Joseph was served at one table and his brothers at another. The Egyptians who were eating there were served separately, because they considered it beneath their dignity to eat with Hebrews. 
GEN.43.33	The brothers had been seated at the table, facing Joseph, in the order of their age from the oldest to the youngest. When they saw how they had been seated, they looked at one another in amazement. 
GEN.43.34	Food was served to them from Joseph's table, and Benjamin was served five times as much as the rest of them. So they ate and drank with Joseph until they were drunk.
GEN.44.1	Joseph commanded the servant in charge of his house, “Fill the men's sacks with as much food as they can carry, and put each man's money in the top of his sack. 
GEN.44.2	Put my silver cup in the top of the youngest brother's sack, together with the money for his grain.” He did as he was told. 
GEN.44.3	Early in the morning the brothers were sent on their way with their donkeys. 
GEN.44.4	When they had gone only a short distance from the city, Joseph said to the servant in charge of his house, “Hurry after those men. When you catch up with them, ask them, ‘Why have you paid back evil for good? 
GEN.44.5	Why did you steal my master's silver cup?
GEN.44.6	When the servant caught up with them, he repeated these words. 
GEN.44.7	They answered him, “What do you mean, sir, by talking like this? We swear that we have done no such thing. 
GEN.44.8	You know that we brought back to you from the land of Canaan the money we found in the top of our sacks. Why then should we steal silver or gold from your master's house? 
GEN.44.9	Sir, if any one of us is found to have it, he will be put to death, and the rest of us will become your slaves.”
GEN.44.10	He said, “I agree; but only the one who has taken the cup will become my slave, and the rest of you can go free.” 
GEN.44.11	So they quickly lowered their sacks to the ground, and each man opened his sack. 
GEN.44.12	Joseph's servant searched carefully, beginning with the oldest and ending with the youngest, and the cup was found in Benjamin's sack. 
GEN.44.13	The brothers tore their clothes in sorrow, loaded their donkeys, and returned to the city.
GEN.44.14	When Judah and his brothers came to Joseph's house, he was still there. They bowed down before him, 
GEN.44.15	and Joseph said, “What have you done? Didn't you know that a man in my position could find you out by practicing divination?”
GEN.44.16	“What can we say to you, sir?” Judah answered. “How can we argue? How can we clear ourselves? God has uncovered our guilt. All of us are now your slaves and not just the one with whom the cup was found.”
GEN.44.17	Joseph said, “Oh, no! I would never do that! Only the one who had the cup will be my slave. The rest of you may go back safe and sound to your father.”
GEN.44.18	Judah went up to Joseph and said, “Please, sir, allow me to speak with you freely. Don't be angry with me; you are like the king himself. 
GEN.44.19	Sir, you asked us, ‘Do you have a father or another brother?’ 
GEN.44.20	We answered, ‘We have a father who is old and a younger brother, born to him in his old age. The boy's brother is dead, and he is the only one of his mother's children still alive; his father loves him very much.’ 
GEN.44.21	Sir, you told us to bring him here, so that you could see him, 
GEN.44.22	and we answered that the boy could not leave his father; if he did, his father would die. 
GEN.44.23	Then you said, ‘You will not be admitted to my presence again unless your youngest brother comes with you.’
GEN.44.24	“When we went back to our father, we told him what you had said. 
GEN.44.25	Then he told us to return and buy a little food. 
GEN.44.26	We answered, ‘We cannot go; we will not be admitted to the man's presence unless our youngest brother is with us. We can go only if our youngest brother goes also.’ 
GEN.44.27	Our father said to us, ‘You know that my wife Rachel bore me only two sons. 
GEN.44.28	One of them has already left me. He must have been torn to pieces by wild animals, because I have not seen him since he left. 
GEN.44.29	If you take this one from me now and something happens to him, the sorrow you would cause me would kill me, as old as I am.’
GEN.44.30+GEN.44.31	“And now, sir,” Judah continued, “if I go back to my father without the boy, as soon as he sees that the boy is not with me, he will die. His life is wrapped up with the life of the boy, and he is so old that the sorrow we would cause him would kill him. 
GEN.44.32	What is more, I pledged my life to my father for the boy. I told him that if I did not bring the boy back to him, I would bear the blame all my life. 
GEN.44.33	And now, sir, I will stay here as your slave in place of the boy; let him go back with his brothers. 
GEN.44.34	How can I go back to my father if the boy is not with me? I cannot bear to see this disaster come upon my father.”
GEN.45.2	He cried with such loud sobs that the Egyptians heard it, and the news was taken to the king's palace. 
GEN.45.3	Joseph said to his brothers, “I am Joseph. Is my father still alive?” But when his brothers heard this, they were so terrified that they could not answer. 
GEN.45.4	Then Joseph said to them, “Please come closer.” They did, and he said, “I am your brother Joseph, whom you sold into Egypt. 
GEN.45.5	Now do not be upset or blame yourselves because you sold me here. It was really God who sent me ahead of you to save people's lives. 
GEN.45.6	This is only the second year of famine in the land; there will be five more years in which there will be neither plowing nor reaping. 
GEN.45.7	God sent me ahead of you to rescue you in this amazing way and to make sure that you and your descendants survive. 
GEN.45.8	So it was not really you who sent me here, but God. He has made me the king's highest official. I am in charge of his whole country; I am the ruler of all Egypt.
GEN.45.10	You can live in the region of Goshen, where you can be near me—you, your children, your grandchildren, your sheep, your goats, your cattle, and everything else that you have. 
GEN.45.11	If you are in Goshen, I can take care of you. There will still be five years of famine; and I do not want you, your family, and your livestock to starve.’”
GEN.45.12	Joseph continued, “Now all of you, and you too, Benjamin, can see that I am really Joseph. 
GEN.45.13	Tell my father how powerful I am here in Egypt and tell him about everything that you have seen. Then hurry and bring him here.”
GEN.45.14	He threw his arms around his brother Benjamin and began to cry; Benjamin also cried as he hugged him. 
GEN.45.15	Then, still weeping, he embraced each of his brothers and kissed them. After that, his brothers began to talk with him.
GEN.45.16	When the news reached the palace that Joseph's brothers had come, the king and his officials were pleased. 
GEN.45.17	He said to Joseph, “Tell your brothers to load their animals and to return to the land of Canaan. 
GEN.45.18	Let them get their father and their families and come back here. I will give them the best land in Egypt, and they will have more than enough to live on. 
GEN.45.19	Tell them also to take wagons with them from Egypt for their wives and small children and to bring their father with them. 
GEN.45.20	They are not to worry about leaving their possessions behind; the best in the whole land of Egypt will be theirs.”
GEN.45.21	Jacob's sons did as they were told. Joseph gave them wagons, as the king had ordered, and food for the trip. 
GEN.45.22	He also gave each of them a change of clothes, but he gave Benjamin three hundred pieces of silver and five changes of clothes. 
GEN.45.23	He sent his father ten donkeys loaded with the best Egyptian goods and ten donkeys loaded with grain, bread, and other food for the trip. 
GEN.45.24	He sent his brothers off and as they left, he said to them, “Don't quarrel on the way.”
GEN.45.25	They left Egypt and went back home to their father Jacob in Canaan. 
GEN.45.26	“Joseph is still alive!” they told him. “He is the ruler of all Egypt!” Jacob was stunned and could not believe them.
GEN.45.27	But when they told him all that Joseph had said to them, and when he saw the wagons which Joseph had sent to take him to Egypt, he recovered from the shock. 
GEN.45.28	“My son Joseph is still alive!” he said. “This is all I could ask for! I must go and see him before I die.”
GEN.46.1	Jacob packed up all he had and went to Beersheba, where he offered sacrifices to the God of his father Isaac. 
GEN.46.2	God spoke to him in a vision at night and called, “Jacob, Jacob!”
GEN.46.2	“Yes, here I am,” he answered.
GEN.46.3	“I am God, the God of your father,” he said. “Do not be afraid to go to Egypt; I will make your descendants a great nation there. 
GEN.46.4	I will go with you to Egypt, and I will bring your descendants back to this land. Joseph will be with you when you die.”
GEN.46.5	Jacob set out from Beersheba. His sons put him, their small children, and their wives in the wagons which the king of Egypt had sent. 
GEN.46.6	 They took their livestock and the possessions they had acquired in Canaan and went to Egypt. Jacob took all his descendants with him: 
GEN.46.7	his sons, his grandsons, his daughters, and his granddaughters.
GEN.46.8	The members of Jacob's family who went to Egypt with him were his oldest son Reuben 
GEN.46.9	and Reuben's sons: Hanoch, Pallu, Hezron, and Carmi. 
GEN.46.10	Simeon and his sons: Jemuel, Jamin, Ohad, Jachin, Zohar, and Shaul, the son of a Canaanite woman. 
GEN.46.11	Levi and his sons: Gershon, Kohath, and Merari. 
GEN.46.12	Judah and his sons: Shelah, Perez, and Zerah. (Judah's other sons, Er and Onan, had died in Canaan.) Perez' sons were Hezron and Hamul. 
GEN.46.13	Issachar and his sons: Tola, Puah, Jashub, and Shimron. 
GEN.46.14	Zebulun and his sons: Sered, Elon, and Jahleel. 
GEN.46.15	These are the sons that Leah had borne to Jacob in Mesopotamia, besides his daughter Dinah. In all, his descendants by Leah numbered thirty-three.
GEN.46.16	Gad and his sons: Zephon, Haggi, Shuni, Ezbon, Eri, Arod, and Areli. 
GEN.46.17	Asher and his sons: Imnah, Ishvah, Ishvi, Beriah, and their sister Serah. Beriah's sons were Heber and Malchiel. 
GEN.46.18	These sixteen are the descendants of Jacob by Zilpah, the slave woman whom Laban gave to his daughter Leah.
GEN.46.19	Jacob's wife Rachel bore him two sons: Joseph and Benjamin. 
GEN.46.20	 In Egypt Joseph had two sons, Manasseh and Ephraim, by Asenath, the daughter of Potiphera, a priest in Heliopolis. 
GEN.46.21	Benjamin's sons were Bela, Becher, Ashbel, Gera, Naaman, Ehi, Rosh, Muppim, Huppim, and Ard. 
GEN.46.22	These fourteen are the descendants of Jacob by Rachel.
GEN.46.23	Dan and his son Hushim. 
GEN.46.24	Naphtali and his sons: Jahzeel, Guni, Jezer, and Shillem. 
GEN.46.25	These seven are the descendants of Jacob by Bilhah, the slave woman whom Laban gave to his daughter Rachel.
GEN.46.26	The total number of the direct descendants of Jacob who went to Egypt was sixty-six, not including his sons' wives. 
GEN.46.27	 Two sons were born to Joseph in Egypt, bringing to seventy the total number of Jacob's family who went there.
GEN.46.28	Jacob sent Judah ahead to ask Joseph to meet them in Goshen. When they arrived, 
GEN.46.29	Joseph got in his chariot and went to Goshen to meet his father. When they met, Joseph threw his arms around his father's neck and cried for a long time. 
GEN.46.30	Jacob said to Joseph, “I am ready to die, now that I have seen you and know that you are still alive.”
GEN.46.31	Then Joseph said to his brothers and the rest of his father's family, “I must go and tell the king that my brothers and all my father's family, who were living in Canaan, have come to me. 
GEN.46.32	I will tell him that you are shepherds and take care of livestock and that you have brought your flocks and herds and everything else that belongs to you. 
GEN.46.33	When the king calls for you and asks what your occupation is, 
GEN.46.34	be sure to tell him that you have taken care of livestock all your lives, just as your ancestors did. In this way he will let you live in the region of Goshen.” Joseph said this because Egyptians will have nothing to do with shepherds.
GEN.47.1	So Joseph took five of his brothers and went to the king. He told him, “My father and my brothers have come from Canaan with their flocks, their herds, and all that they own. They are now in the region of Goshen.” 
GEN.47.2	He then presented his brothers to the king. 
GEN.47.3	The king asked them, “What is your occupation?”
GEN.47.3	“We are shepherds, sir, just as our ancestors were,” they answered. 
GEN.47.4	“We have come to live in this country, because in the land of Canaan the famine is so severe that there is no pasture for our flocks. Please give us permission to live in the region of Goshen.” 
GEN.47.5	The king said to Joseph, “Now that your father and your brothers have arrived, 
GEN.47.6	the land of Egypt is theirs. Let them settle in the region of Goshen, the best part of the land. And if there are any capable men among them, put them in charge of my own livestock.”
GEN.47.7	Then Joseph brought his father Jacob and presented him to the king. Jacob gave the king his blessing, 
GEN.47.8	and the king asked him, “How old are you?”
GEN.47.9	Jacob answered, “My life of wandering has lasted a hundred and thirty years. Those years have been few and difficult, unlike the long years of my ancestors in their wanderings.” 
GEN.47.10	Jacob gave the king a farewell blessing and left. 
GEN.47.11	Then Joseph settled his father and his brothers in Egypt, giving them property in the best of the land near the city of Rameses, as the king had commanded. 
GEN.47.12	Joseph provided food for his father, his brothers, and all the rest of his father's family, including the very youngest.
GEN.47.13	The famine was so severe that there was no food anywhere, and the people of Egypt and Canaan became weak with hunger. 
GEN.47.14	As they bought grain, Joseph collected all the money and took it to the palace. 
GEN.47.15	When all the money in Egypt and Canaan was spent, the Egyptians came to Joseph and said, “Give us food! Don't let us die. Do something! Our money is all gone.”
GEN.47.16	Joseph answered, “Bring your livestock; I will give you food in exchange for it if your money is all gone.” 
GEN.47.17	So they brought their livestock to Joseph, and he gave them food in exchange for their horses, sheep, goats, cattle, and donkeys. That year he supplied them with food in exchange for all their livestock.
GEN.47.18	The following year they came to him and said, “We will not hide the fact from you, sir, that our money is all gone and our livestock belongs to you. There is nothing left to give you except our bodies and our lands. 
GEN.47.19	Don't let us die. Do something! Don't let our fields be deserted. Buy us and our land in exchange for food. We will be the king's slaves, and he will own our land. Give us grain to keep us alive and seed so that we can plant our fields.”
GEN.47.20	Joseph bought all the land in Egypt for the king. Every Egyptian was forced to sell his land, because the famine was so severe; and all the land became the king's property. 
GEN.47.21	Joseph made slaves of the people from one end of Egypt to the other. 
GEN.47.22	The only land he did not buy was the land that belonged to the priests. They did not have to sell their lands, because the king gave them an allowance to live on. 
GEN.47.23	Joseph said to the people, “You see, I have now bought you and your lands for the king. Here is seed for you to sow in your fields. 
GEN.47.24	At the time of harvest you must give one-fifth to the king. You can use the rest for seed and for food for yourselves and your families.”
GEN.47.25	They answered, “You have saved our lives; you have been good to us, sir, and we will be the king's slaves.” 
GEN.47.26	So Joseph made it a law for the land of Egypt that one-fifth of the harvest should belong to the king. This law still remains in force today. Only the lands of the priests did not become the king's property.
GEN.47.27	The Israelites lived in Egypt in the region of Goshen, where they became rich and had many children. 
GEN.47.28	Jacob lived in Egypt seventeen years, until he was a hundred and forty-seven years old. 
GEN.47.29	 When the time drew near for him to die, he called for his son Joseph and said to him, “Place your hand between my thighs
GEN.47.30	I want to be buried where my fathers are; carry me out of Egypt and bury me where they are buried.”
GEN.47.30	Joseph answered, “I will do as you say.”
GEN.47.31	Jacob said, “Make a vow that you will.” Joseph made the vow, and Jacob gave thanks there on his bed.
GEN.48.1	Some time later Joseph was told that his father was ill. So he took his two sons, Manasseh and Ephraim, and went to see Jacob. 
GEN.48.2	When Jacob was told that his son Joseph had come to see him, he gathered his strength and sat up in bed. 
GEN.48.3	 Jacob said to Joseph, “Almighty God appeared to me at Luz in the land of Canaan and blessed me. 
GEN.48.4	He said to me, ‘I will give you many children, so that your descendants will become many nations; I will give this land to your descendants as their possession forever.’”
GEN.48.5	Jacob continued, “Joseph, your two sons, who were born to you in Egypt before I came here, belong to me; Ephraim and Manasseh are just as much my sons as Reuben and Simeon. 
GEN.48.6	If you have any more sons, they will not be considered mine; the inheritance they get will come through Ephraim and Manasseh. 
GEN.48.7	 I am doing this because of your mother Rachel. To my great sorrow she died in the land of Canaan, not far from Ephrath, as I was returning from Mesopotamia. I buried her there beside the road to Ephrath.” (Ephrath is now known as Bethlehem.)
GEN.48.8	When Jacob saw Joseph's sons, he asked, “Who are these boys?”
GEN.48.9	Joseph answered, “These are my sons, whom God has given me here in Egypt.”
GEN.48.9	Jacob said, “Bring them to me so that I may bless them.” 
GEN.48.10	Jacob's eyesight was failing because of his age, and he could not see very well. Joseph brought the boys to him, and he hugged them and kissed them. 
GEN.48.11	Jacob said to Joseph, “I never expected to see you again, and now God has even let me see your children.” 
GEN.48.12	Then Joseph took them from Jacob's lap and bowed down before him with his face to the ground.
GEN.48.13	Joseph put Ephraim at Jacob's left and Manasseh at his right. 
GEN.48.14	But Jacob crossed his hands, and put his right hand on the head of Ephraim, even though he was the younger, and his left hand on the head of Manasseh, who was the older. 
GEN.48.15	Then he blessed Joseph:
GEN.48.15	“May God, whom my fathers Abraham and Isaac served, bless these boys!
GEN.48.15	May God, who has led me to this very day, bless them!
GEN.48.16	May the angel, who has rescued me from all harm, bless them!
GEN.48.16	May my name and the name of my fathers Abraham and Isaac live on through these boys!
GEN.48.16	May they have many children, many descendants!”
GEN.48.17	Joseph was upset when he saw that his father had put his right hand on Ephraim's head; so he took his father's hand to move it from Ephraim's head to the head of Manasseh. 
GEN.48.18	He said to his father, “Not that way, father. This is the older boy; put your right hand on his head.”
GEN.48.19	His father refused, saying, “I know, son, I know. Manasseh's descendants will also become a great people. But his younger brother will be greater than he, and his descendants will become great nations.”
GEN.48.21	Then Jacob said to Joseph, “As you see, I am about to die, but God will be with you and will take you back to the land of your ancestors. 
GEN.48.22	It is to you and not to your brothers that I am giving Shechem, that fertile region which I took from the Amorites with my sword and my bow.”
GEN.49.1	Jacob called for his sons and said, “Gather around, and I will tell you what will happen to you in the future:
GEN.49.2	“Come together and listen, sons of Jacob.
GEN.49.2	Listen to your father Israel.
GEN.49.3	“Reuben, my first-born, you are my strength
GEN.49.3	And the first child of my manhood,
GEN.49.3	The proudest and strongest of all my sons.
GEN.49.4	You are like a raging flood,
GEN.49.4	But you will not be the most important,
GEN.49.4	For you slept with my concubine
GEN.49.4	And dishonored your father's bed.
GEN.49.5	“Simeon and Levi are brothers.
GEN.49.5	They use their weapons to commit violence.
GEN.49.6	I will not join in their secret talks,
GEN.49.6	Nor will I take part in their meetings,
GEN.49.6	For they killed people in anger
GEN.49.6	And they crippled bulls for sport.
GEN.49.7	A curse be on their anger, because it is so fierce,
GEN.49.7	And on their fury, because it is so cruel.
GEN.49.7	I will scatter them throughout the land of Israel.
GEN.49.7	I will disperse them among its people.
GEN.49.8	“Judah, your brothers will praise you.
GEN.49.8	You hold your enemies by the neck.
GEN.49.8	Your brothers will bow down before you.
GEN.49.9	Killing his victim and returning to his den,
GEN.49.9	Stretching out and lying down.
GEN.49.9	No one dares disturb him.
GEN.49.10	Judah will hold the royal scepter,
GEN.49.10	And his descendants will always rule.
GEN.49.10	Nations will bring him tribute
GEN.49.10	And bow in obedience before him.
GEN.49.11	He ties his young donkey to a grapevine,
GEN.49.11	To the very best of the vines.
GEN.49.11	He washes his clothes in blood-red wine.
GEN.49.12	His eyes are bloodshot from drinking wine,
GEN.49.12	His teeth white from drinking milk.
GEN.49.13	“Zebulun will live beside the sea.
GEN.49.13	His shore will be a haven for ships.
GEN.49.13	His territory will reach as far as Sidon.
GEN.49.14	“Issachar is no better than a donkey
GEN.49.14	That lies stretched out between its saddlebags.
GEN.49.15	But he sees that the resting place is good
GEN.49.15	And that the land is delightful.
GEN.49.15	So he bends his back to carry the load
GEN.49.15	And is forced to work as a slave.
GEN.49.16	“Dan will be a ruler for his people.
GEN.49.16	They will be like the other tribes of Israel.
GEN.49.17	Dan will be a snake at the side of the road,
GEN.49.17	A poisonous snake beside the path,
GEN.49.17	That strikes at the horse's heel,
GEN.49.17	So that the rider is thrown off backward.
GEN.49.18	“I wait for your deliverance, 
GEN.49.19	“Gad will be attacked by a band of robbers,
GEN.49.19	But he will turn and pursue them.
GEN.49.20	“Asher's land will produce rich food.
GEN.49.20	He will provide food fit for a king.
GEN.49.21	“Naphtali is a deer that runs free,
GEN.49.21	Who bears lovely fawns.
GEN.49.22	“Joseph is like a wild donkey by a spring,
GEN.49.22	A wild colt on a hillside.
GEN.49.23	His enemies attack him fiercely
GEN.49.23	And pursue him with their bows and arrows.
GEN.49.24	But his bow remains steady,
GEN.49.24	And his arms are made strong
GEN.49.24	By the power of the Mighty God of Jacob,
GEN.49.24	By the Shepherd, the Protector of Israel.
GEN.49.25	It is your father's God who helps you,
GEN.49.25	The Almighty God who blesses you
GEN.49.25	With blessings of rain from above
GEN.49.25	And of deep waters from beneath the ground,
GEN.49.25	Blessings of many cattle and children,
GEN.49.26	Blessings of grain and flowers,
GEN.49.26	Blessings of ancient mountains,
GEN.49.26	Delightful things from everlasting hills.
GEN.49.26	May these blessings rest on the head of Joseph,
GEN.49.26	On the brow of the one set apart from his brothers.
GEN.49.27	“Benjamin is like a vicious wolf.
GEN.49.27	Morning and evening he kills and devours.”
GEN.49.28	These are the twelve tribes of Israel, and this is what their father said as he spoke a suitable word of farewell to each son.
GEN.49.29	Then Jacob commanded his sons, “Now that I am going to join my people in death, bury me with my fathers in the cave that is in the field of Ephron the Hittite, 
GEN.49.30	 at Machpelah east of Mamre in the land of Canaan. Abraham bought this cave and field from Ephron for a burial ground. 
GEN.49.31	 That is where they buried Abraham and his wife Sarah; that is where they buried Isaac and his wife Rebecca; and that is where I buried Leah. 
GEN.49.32	The field and the cave in it were bought from the Hittites. Bury me there.” 
GEN.49.33	 When Jacob had finished giving instructions to his sons, he lay back down and died.
GEN.50.1	Joseph threw himself on his father, crying and kissing his face. 
GEN.50.2	Then Joseph gave orders to embalm his father's body. 
GEN.50.3	It took forty days, the normal time for embalming. The Egyptians mourned for him seventy days.
GEN.50.4	When the time of mourning was over, Joseph said to the king's officials, “Please take this message to the king: 
GEN.50.5	 ‘When my father was about to die, he made me promise him that I would bury him in the tomb which he had prepared in the land of Canaan. So please let me go and bury my father, and then I will come back.’”
GEN.50.6	The king answered, “Go and bury your father, as you promised you would.”
GEN.50.7	So Joseph went to bury his father. All the king's officials, the senior men of his court, and all the leading men of Egypt went with Joseph. 
GEN.50.8	His family, his brothers, and the rest of his father's family all went with him. Only their small children and their sheep, goats, and cattle stayed in the region of Goshen. 
GEN.50.9	Men in chariots and men on horseback also went with him; it was a huge group.
GEN.50.10	When they came to the threshing place at Atad east of the Jordan, they mourned loudly for a long time, and Joseph performed mourning ceremonies for seven days. 
GEN.50.11	When the citizens of Canaan saw those people mourning at Atad, they said, “What a solemn ceremony of mourning the Egyptians are holding!” That is why the place was named Abel Mizraim.
GEN.50.12	So Jacob's sons did as he had commanded them; 
GEN.50.13	 they carried his body to Canaan and buried it in the cave at Machpelah east of Mamre in the field which Abraham had bought from Ephron the Hittite for a burial ground. 
GEN.50.14	After Joseph had buried his father, he returned to Egypt with his brothers and all who had gone with him for the funeral.
GEN.50.15	After the death of their father, Joseph's brothers said, “What if Joseph still hates us and plans to pay us back for all the harm we did to him?” 
GEN.50.16	So they sent a message to Joseph: “Before our father died, 
GEN.50.17	he told us to ask you, ‘Please forgive the crime your brothers committed when they wronged you.’ Now please forgive us the wrong that we, the servants of your father's God, have done.” Joseph cried when he received this message.
GEN.50.18	Then his brothers themselves came and bowed down before him. “Here we are before you as your slaves,” they said.
GEN.50.19	But Joseph said to them, “Don't be afraid; I can't put myself in the place of God. 
GEN.50.20	You plotted evil against me, but God turned it into good, in order to preserve the lives of many people who are alive today because of what happened. 
GEN.50.21	You have nothing to fear. I will take care of you and your children.” So he reassured them with kind words that touched their hearts.
GEN.50.22	Joseph continued to live in Egypt with his father's family; he was a hundred and ten years old when he died. 
GEN.50.23	He lived to see Ephraim's children and grandchildren. He also lived to receive the children of Machir son of Manasseh into the family. 
GEN.50.24	He said to his brothers, “I am about to die, but God will certainly take care of you and lead you out of this land to the land he solemnly promised to Abraham, Isaac, and Jacob.” 
GEN.50.25	 Then Joseph asked his people to make a vow. “Promise me,” he said, “that when God leads you to that land, you will take my body with you.” 
GEN.50.26	So Joseph died in Egypt at the age of a hundred and ten. They embalmed his body and put it in a coffin.
EXO.1.2	Reuben, Simeon, Levi, Judah, 
EXO.1.3	Issachar, Zebulun, Benjamin, 
EXO.1.4	Dan, Naphtali, Gad, and Asher. 
EXO.1.5	The total number of these people directly descended from Jacob was seventy.
EXO.1.6	In the course of time Joseph, his brothers, and all the rest of that generation died, 
EXO.1.7	 but their descendants, the Israelites, had many children and became so numerous and strong that Egypt was filled with them.
EXO.1.9	He said to his people, “These Israelites are so numerous and strong that they are a threat to us. 
EXO.1.10	 In case of war they might join our enemies in order to fight against us, and might escape from
EXO.1.11	So the Egyptians put slave drivers over them to crush their spirits with hard labor. The Israelites built the cities of Pithom and Rameses to serve as supply centers for the king. 
EXO.1.12	But the more the Egyptians oppressed the Israelites, the more they increased in number and the farther they spread through the land. The Egyptians came to fear the Israelites 
EXO.1.13+EXO.1.14	and made their lives miserable by forcing them into cruel slavery. They made them work on their building projects and in their fields, and they had no pity on them.
EXO.1.15	Then the king of Egypt spoke to Shiphrah and Puah, the two midwives who helped the Hebrew women. 
EXO.1.16	“When you help the Hebrew women give birth,” he said to them, “kill the baby if it is a boy; but if it is a girl, let it live.” 
EXO.1.17	But the midwives were God-fearing and so did not obey the king; instead, they let the boys live. 
EXO.1.18	So the king sent for the midwives and asked them, “Why are you doing this? Why are you letting the boys live?”
EXO.1.19	They answered, “The Hebrew women are not like Egyptian women; they give birth easily, and their babies are born before either of us gets there.” 
EXO.1.20+EXO.1.21	Because the midwives were God-fearing, God was good to them and gave them families of their own. And the Israelites continued to increase and become strong. 
EXO.1.22	 Finally the king issued a command to all his people: “Take every newborn Hebrew boy and throw him into the Nile, but let all the girls live.”
EXO.2.1	During this time a man from the tribe of Levi married a woman of his own tribe, 
EXO.2.2	 and she bore him a son. When she saw what a fine baby he was, she hid him for three months. 
EXO.2.3	But when she could not hide him any longer, she took a basket made of reeds and covered it with tar to make it watertight. She put the baby in it and then placed it in the tall grass at the edge of the river. 
EXO.2.4	The baby's sister stood some distance away to see what would happen to him.
EXO.2.5	The king's daughter came down to the river to bathe, while her servants walked along the bank. Suddenly she noticed the basket in the tall grass and sent a slave woman to get it. 
EXO.2.6	The princess opened it and saw a baby boy. He was crying, and she felt sorry for him. “This is one of the Hebrew babies,” she said.
EXO.2.7	Then his sister asked her, “Shall I go and call a Hebrew woman to nurse the baby for you?”
EXO.2.8	“Please do,” she answered. So the girl went and brought the baby's own mother. 
EXO.2.9	The princess told the woman, “Take this baby and nurse him for me, and I will pay you.” So she took the baby and nursed him. 
EXO.2.10	 Later, when the child was old enough, she took him to the king's daughter, who adopted him as her own son. She said to herself, “I pulled him out of the water, and so I name him Moses.”
EXO.2.12	Moses looked all around, and when he saw that no one was watching, he killed the Egyptian and hid his body in the sand. 
EXO.2.13	The next day he went back and saw two Hebrew men fighting. He said to the one who was in the wrong, “Why are you beating up a fellow Hebrew?”
EXO.2.14	The man answered, “Who made you our ruler and judge? Are you going to kill me just as you killed that Egyptian?” Then Moses was afraid and said to himself, “People have found out what I have done.” 
EXO.2.15+EXO.2.16	 When the king heard about what had happened, he tried to have Moses killed, but Moses fled and went to live in the land of Midian.
EXO.2.15+EXO.2.16	One day, when Moses was sitting by a well, seven daughters of Jethro, the priest of Midian, came to draw water and fill the troughs for their father's sheep and goats. 
EXO.2.17	But some shepherds drove Jethro's daughters away. Then Moses went to their rescue and watered their animals for them. 
EXO.2.18	When they returned to their father, he asked, “Why have you come back so early today?”
EXO.2.19	“An Egyptian rescued us from the shepherds,” they answered, “and he even drew water for us and watered our animals.”
EXO.2.20	“Where is he?” he asked his daughters. “Why did you leave the man out there? Go and invite him to eat with us.”
EXO.2.21	So Moses decided to live there, and Jethro gave him his daughter Zipporah in marriage, 
EXO.2.22	who bore him a son. Moses said to himself, “I am a foreigner in this land, and so I name him Gershom.”
EXO.2.23	Years later the king of Egypt died, but the Israelites were still groaning under their slavery and cried out for help. Their cry went up to God, 
EXO.2.24	 who heard their groaning and remembered his covenant with Abraham, Isaac, and Jacob. 
EXO.2.25	He saw the slavery of the Israelites and was concerned for them.
EXO.3.1	One day while Moses was taking care of the sheep and goats of his father-in-law Jethro, the priest of Midian, he led the flock across the desert and came to Sinai, the holy mountain. 
EXO.3.2	 There the angel of the 
EXO.3.3	“This is strange,” he thought. “Why isn't the bush burning up? I will go closer and see.”
EXO.3.4	When the 
EXO.3.4	He answered, “Yes, here I am.”
EXO.3.5	God said, “Do not come any closer. Take off your sandals, because you are standing on holy ground. 
EXO.3.6	I am the God of your ancestors, the God of Abraham, Isaac, and Jacob.” So Moses covered his face, because he was afraid to look at God.
EXO.3.7	Then the 
