GEN.1.1	In the beginning of God's preparing the heavens and the earth —
JDG.3.25	And they stay till confounded, and lo, he is not opening the doors of the upper chamber, and they take the key, and open, and lo, their lord is fallen to the earth — dead.
JDG.3.26	And Ehud escaped during their tarrying, and hath passed by the images, and is escaped to Seirath.
JDG.3.27	And it cometh to pass, in his coming in, that he bloweth with a trumpet in the hillcountry of Ephraim, and go down with him do the sons of Israel from the hill-country, and he before them;
JDG.3.28	and he saith unto them, ‘Pursue after me, for 
JDG.3.29	And they smite Moab at that time, about ten thousand men, all robust, and every one a man of valour, and not a man hath escaped,
JDG.3.30	and Moab is humbled in that day under the hand of Israel; and the land resteth eighty years.
JDG.3.31	And after him hath been Shamgar son of Anath, and he smiteth the Philistines — six hundred men — with an ox-goad, and he saveth — he also — Israel.
JDG.4.1	And the sons of Israel add to do the evil thing in the eyes of 
JDG.4.2	and 
JDG.4.3	and the sons of Israel cry unto 
JDG.4.4	And Deborah, a woman inspired, wife of Lapidoth, she is judging Israel at that time,
JDG.4.5	and she is dwelling under the palm-tree of Deborah, between Ramah and Beth-El, in the hill-country of Ephraim, and the sons of Israel go up unto her for judgment.
JDG.4.6	And she sendeth and calleth for Barak son of Abinoam, out of Kedesh-Naphtali, and saith unto him, ‘Hath not 
JDG.4.7	and I have drawn unto thee, unto the brook Kishon, Sisera, head of the host of Jabin, and his chariot, and his multitude, and have given him into thy hand.’
JDG.4.8	And Barak saith unto her, ‘If thou dost go with me, then I have gone; and if thou dost not go with me, I do not go;’
JDG.4.9	and she saith, ‘I do certainly go with thee; only, surely thy glory is not on the way which thou art going, for into the hand of a woman doth 
JDG.4.10	And Barak calleth Zebulun and Naphtali to Kedesh, and he goeth up — at his feet [are] ten thousand men — and Deborah goeth up with him.
JDG.4.11	And Heber the Kenite hath been separated from the Kenite, from the sons of Hobab father-in-law of Moses, and he stretcheth out his tent unto the oak in Zaanaim, which [is] by Kedesh.
JDG.4.12	And they declare to Sisera that Barak son of Abinoam hath gone up to mount Tabor,
JDG.4.13	and Sisera calleth all his chariots, nine hundred chariots of iron, and all the people who [are] with him, from Harosheth of the Goyim, unto the brook Kishon.
JDG.4.14	And Deborah saith unto Barak, ‘Rise, for this [is] the day in which 
JDG.4.15	And 
JDG.4.16	And Barak hath pursued after the chariots and after the camp, unto Harosheth of the Goyim, and all the camp of Sisera falleth by the mouth of the sword — there hath not been left even one.
JDG.4.17	And Sisera hath fled on his feet unto the tent of Jael wife of Heber the Kenite, for peace [is] between Jabin king of Hazor and the house of Heber the Kenite;
JDG.4.18	and Jael goeth out to meet Sisera, and saith unto him, ‘Turn aside, my lord, turn aside unto me, fear not;’ and he turneth aside unto her, into the tent, and she covereth him with a coverlet.
JDG.4.19	And he saith unto her, ‘Give me to drink, I pray thee, a little water, for I am thirsty;’ and she openeth the bottle of milk, and giveth him to drink, and covereth him.
JDG.4.20	And he saith unto her, ‘Stand at the opening of the tent, and it hath been, if any doth come in, and hath asked thee, and said, Is there a man here? that thou hast said, There is not.’
JDG.4.21	And Jael wife of Heber taketh the pin of the tent, and taketh the hammer in her hand, and goeth unto him gently, and striketh the pin into his temples, and it fasteneth in the earth — and he hath been fast asleep, and is weary — and he dieth.
JDG.4.22	And lo, Barak is pursuing Sisera, and Jael cometh out to meet him, and saith to him, ‘Come, and I shew thee the man whom thou art seeking;’ and he cometh in unto her, and lo, Sisera is fallen — dead, and the pin in his temples.
JDG.4.23	And God humbleth on that day Jabin king of Canaan before the sons of Israel,
JDG.4.24	and the hand of the sons of Israel goeth, going on and becoming hard on Jabin king of Canaan, till that they have cut off Jabin king of Canaan.
JDG.5.1	And Deborah singeth — also Barak son of Abinoam — on that day, saying: —
JDG.5.2	‘For freeing freemen in Israel, For a people willingly offering themselves Bless ye 
JDG.5.3	Hear, ye kings; give ear, ye princes, I, to 
JDG.5.5	Hills flowed from the face of 
JDG.5.6	In the days of Shamgar son of Anath — In the days of Jael — The ways have ceased, And those going in the paths go [in] crooked ways.
JDG.5.7	Villages ceased in Israel — they ceased, Till that I arose — Deborah, That I arose, a mother in Israel.
JDG.5.8	He chooseth new gods, Then war [is] at the gates! A shield is not seen — and a spear Among forty thousand in Israel.
JDG.5.9	My heart [is] to the lawgivers of Israel, Who are offering themselves willingly among the people, Bless ye 
JDG.5.10	Riders on white asses — Sitters on a long robe — And walkers by the way — meditate!
JDG.5.11	By the voice of shouters Between the places of drawing water, There they give out righteous acts of 
JDG.5.12	Awake, awake, Deborah; Awake, awake, utter a song; Rise, Barak, and take captive thy captivity, Son of Abinoam.
JDG.5.13	Then him who is left of the honourable ones He caused to rule the people of 
JDG.5.14	Out of Ephraim their root [is] against Amalek. After thee, Benjamin, among thy peoples. Out of Machir came down lawgivers, And out of Zebulun those drawing with the reed of a writer.
JDG.5.15	And princes in Issachar [are] with Deborah, Yea, Issachar [is] right with Barak, Into the valley he was sent on his feet. In the divisions of Reuben, Great [are] the decrees of heart!
JDG.5.16	Why hast thou abode between the boundaries, To hear lowings of herds? For the divisions of Reuben, Great [are] the searchings of heart!
JDG.5.17	Gilead beyond the Jordan did tabernacle, And Dan — why doth he sojourn [in] ships? Asher hath abode at the haven of the seas, And by his creeks doth tabernacle.
JDG.5.18	Zebulun [is] a people who exposed its soul to death, Naphtali also — on high places of the field.
JDG.5.19	Kings came — they fought; Then fought kings of Canaan, In Taanach, by the waters of Megiddo; Gain of money they took not!
JDG.5.20	From the heavens they fought: The stars from their highways fought with Sisera.
JDG.5.21	The brook Kishon swept them away, The brook most ancient — the brook Kishon. Thou dost tread down strength, O my soul!
JDG.5.22	Then broken were the horse-heels, By pransings — pransings of its mighty ones.
JDG.5.23	Curse Meroz — said a messenger of 
JDG.5.24	Blessed above women is Jael, Wife of Heber the Kenite, Above women in the tent she is blessed.
JDG.5.25	Water he asked — milk she gave; In a lordly dish she brought near butter.
JDG.5.26	Her hand to the pin she sendeth forth, And her right hand to the labourers' hammer, And she hammered Sisera — she smote his head, Yea, she smote, and it passed through his temple.
JDG.5.27	Between her feet he bowed — He fell, he lay down; Between her feet he bowed, he fell; Where he bowed, there he fell — destroyed.
JDG.5.28	Through the window she hath looked out — Yea, she crieth out — the mother of Sisera, Through the lattice: Wherefore is his chariot delaying to come? Wherefore tarried have the steps of his chariot?
JDG.5.29	The wise ones, her princesses, answer her, Yea, she returneth her sayings to herself:
JDG.5.30	Do they not find? — they apportion spoil, A female — two females — for every head, Spoil of finger-work for Sisera, Spoil of embroidered finger-work, Finger-work — a pair of embroidered things, For the necks of the spoil!
JDG.5.31	So do all Thine enemies perish, O 
JDG.6.1	And the sons of Israel do the evil thing in the eyes of 
JDG.6.2	and the hand of Midian is strong against Israel, from the presence of Midian have the sons of Israel made for themselves the flowings which [are] in the mountains, and the caves, and the strongholds.
JDG.6.3	And it hath been, if Israel hath sowed, that Midian hath come up, and Amalek, and the sons of the east, yea, they have come up against him,
JDG.6.4	and encamp against them, and destroy the increase of the land till thine entering Gaza; and they leave no sustenance in Israel, either sheep, or ox, or ass;
JDG.6.5	for they and their cattle come up, with their tents; they come in as the fulness of the locust for multitude, and of them and of their cattle there is no number, and they come into the land to destroy it.
JDG.6.6	And Israel is very weak from the presence of Midian, and the sons of Israel cry unto 
JDG.6.7	And it cometh to pass when the sons of Israel have cried unto 
JDG.6.8	that 
JDG.6.9	and I deliver you out of the hand of the Egyptians, and out of the hand of all your oppressors, and I cast them out from your presence, and I give to you their land,
JDG.6.10	and I say to you, I [am] 
JDG.6.11	And the messenger of 
JDG.6.12	and the messenger of 
JDG.6.13	And Gideon saith unto him, ‘O, my lord — and 
JDG.6.14	And 
JDG.6.15	And he saith unto him, ‘O, my lord, wherewith do I save Israel? lo, my chief [is] weak in Manasseh, and I the least in the house of my father.’
JDG.6.16	And 
JDG.6.17	And he saith unto Him, ‘If, I pray Thee, I have found grace in Thine eyes, then Thou hast done for me a sign that Thou art speaking with me.
JDG.6.18	Move not, I pray Thee, from this, till my coming in unto Thee, and I have brought out my present, and put it before Thee;’ and he saith, ‘I — I do abide till thy return.’
JDG.6.19	And Gideon hath gone in, and prepareth a kid of the goats, and of an ephah of flour unleavened things; the flesh he hath put in a basket, and the broth he hath put in a pot, and he bringeth out unto Him, unto the place of the oak, and bringeth [it] nigh.
JDG.6.20	And the messenger of God saith unto him, ‘Take the flesh and the unleavened things, and place on this rock — and the broth pour out;’ and he doth so.
JDG.6.21	And the messenger of 
JDG.6.22	And Gideon seeth that He [is] a messenger of 
JDG.6.23	And 
JDG.6.24	And Gideon buildeth there an altar to 
JDG.6.25	And it cometh to pass, on that night, that 
JDG.6.26	and thou hast built an altar to 
JDG.6.27	And Gideon taketh ten men of his servants, and doth as 
JDG.6.28	And the men of the city rise early in the morning, and lo, broken down hath been the altar of Baal, and the shrine which is by it hath been cut down, and the second bullock hath been offered on the altar which is built.
JDG.6.29	And they say one to another, ‘Who hath done this thing?’ and they inquire and seek, and they say, ‘Gideon son of Joash hath done this thing.’
JDG.6.30	And the men of the city say unto Joash, ‘Bring out thy son, and he dieth, because he hath broken down the altar of Baal, and because he hath cut down the shrine which [is] by it.’
JDG.6.31	And Joash saith to all who have stood against him, ‘Ye, do ye plead for Baal? ye — do ye save him? he who pleadeth for him is put to death during the morning; if he [is] a god he himself doth plead against him, because he hath broken down his altar.’
JDG.6.32	And he calleth him, on that day, Jerubbaal, saying, ‘The Baal doth plead against him, because he hath broken down his altar.’
JDG.6.33	And all Midian and Amalek and the sons of the east have been gathered together, and pass over, and encamp in the valley of Jezreel,
JDG.6.34	and the Spirit of 
JDG.6.35	and messengers he hath sent into all Manasseh, and it also is called after him; and messengers he hath sent into Asher, and into Zebulun, and into Naphtali, and they come up to meet them.
JDG.6.36	And Gideon saith unto God, ‘If Thou art Saviour of Israel by my hand, as Thou hast spoken,
JDG.6.37	lo, I am placing the fleece of wool in the threshing-floor: if dew is on the fleece alone, and on all the earth drought — then I have known that Thou dost save Israel by my hand, as Thou hast spoken;’
JDG.6.38	and it is so, and he riseth early on the morrow, and presseth the fleece, and wringeth dew out of the fleece — the fulness of the bowl, of water.
JDG.6.39	And Gideon saith unto God, ‘Let not Thine anger burn against me, and I speak only this time; let me try, I pray Thee, only this time with the fleece — let there be, I pray Thee, drought on the fleece alone, and on all the earth let there be dew.’
JDG.6.40	And God doth so on that night, and there is drought on the fleece alone, and on all the earth there hath been dew.
JDG.7.1	And Jerubbaal (he [is] Gideon) riseth early, and all the people who [are] with him, and they encamp by the well of Harod, and the camp of Midian hath been on the south of him, on the height of Moreh, in the valley.
JDG.7.2	And 
JDG.7.3	and now, call, I pray thee, in the ears of the people, saying, Whoso [is] afraid and trembling, let him turn back and go early from mount Gilead;’ and there turn back of the people twenty and two thousand, and ten thousand have been left.
JDG.7.4	And 
JDG.7.5	And he bringeth down the people unto the water, and 
JDG.7.6	And the number of those lapping with their hand unto their mouth is three hundred men, and all the rest of the people have bowed down on their knees to drink water.
JDG.7.7	And 
JDG.7.8	And the people take the provision in their hand, and their trumpets, and every man of Israel he hath sent away, each to his tents; and on the three hundred men he hath kept hold, and the camp of Midian hath been by him at the lower part of thevalley.
JDG.7.9	And it cometh to pass, on that night, that 
JDG.7.10	and if thou art afraid to go down — go down, thou and Phurah thy young man, unto the camp,
JDG.7.11	and thou hast heard what they speak, and afterwards are thy hands strengthened, and thou hast gone down against the camp.’ And he goeth down, he and Phurah his young man, unto the extremity of the fifties who [are] in the camp;
JDG.7.12	and Midian and Amalek, and all the sons of the east are lying in the valley, as the locust for multitude, and of their camels there is no number, as sand which [is] on the sea-shore for multitude.
JDG.7.13	And Gideon cometh in, and lo, a man is recounting to his companion a dream, and saith, ‘Lo, a dream I have dreamed, and lo, a cake of barley-bread is turning itself over into the camp of Midian, and it cometh in unto the tent, and smiteth it, and it falleth, and turneth it upwards, and the tent hath fallen.’
JDG.7.14	And his companion answereth and saith, ‘This is nothing save the sword of Gideon son of Joash, a man of Israel; God hath given into his hand Midian and all the camp.’
JDG.7.15	And it cometh to pass, when Gideon heareth the narration of the dream and its interpretation, that he boweth himself, and turneth back unto the camp of Israel, and saith, ‘Rise ye, for 
JDG.7.16	And he divideth the three hundred men [into] three detachments, and putteth trumpets into the hand of all of them, and empty pitchers, and lamps within the pitchers.
JDG.7.17	And he saith unto them, ‘Look at me, and thus do; and lo, I am coming into the extremity of the camp — and it hath been — as I do so ye do;
JDG.7.18	and I have blown with a trumpet — I and all who [are] with me, and ye have blown with trumpets, even ye, round about all the camp, and have said, For 
JDG.7.19	And Gideon cometh — and the hundred men who [are] with him — into the extremity of the camp, [at] the beginning of the middle watch (it hath only just confirmed the watchmen), and they blow with trumpets — dashing in pieces also the pitchers which [are] in their hand;
JDG.7.20	and the three detachments blow with trumpets, and break the pitchers, and keep hold with their left hand on the lamps, and with their right hand on the trumpets to blow, and they cry, ‘The sword of 
JDG.7.21	And they stand each in his place, round about the camp, and all the camp runneth, and they shout, and flee;
JDG.7.22	and the three hundred blow the trumpets, and 
JDG.7.23	And the men of Israel are called from Naphtali, and from Asher, and from all Manasseh, and pursue after Midian.
JDG.7.24	And messengers hath sent Gideon into all the hill-country of Ephraim, saying, ‘Come down to meet Midian, and capture before them the waters unto Beth-Barah, and the Jordan;’ and every man of Ephraim is called, and they capture the waters unto Beth-Barah, and the Jordan,
JDG.7.25	and they capture two of the heads of Midian, Oreb, and Zeeb, and slay Oreb at the rock of Oreb, and Zeeb they have slain at the wine-vat of Zeeb, and they pursue unto Midian; and the heads of Oreb and Zeeb they have brought in unto Gideon beyond the Jordan.
JDG.8.1	And the men of Ephraim say unto him, ‘What [is] this thing thou hast done to us — not to call for us when thou didst go to fight with Midian?’ and they strive with him severely;
JDG.8.2	and he saith unto them, ‘What have I done now like you? are not the gleanings of Ephraim better than the harvest of Abi-Ezer?
JDG.8.3	Into your hand hath God given the heads of Midian, Oreb and Zeeb; and what have I been able to do like you?’ Then their temper desisted from off him in his speaking this thing.
JDG.8.4	And Gideon cometh in unto the Jordan, passing over, he and the three hundred men who [are] with him — wearied, and pursuing,
JDG.8.5	and he saith to the men of Succoth, ‘Give, I pray you, cakes of bread to the people who [are] at my feet, for they [are] wearied, and I am pursuing after Zebah and Zalmunna kings of Midian.’
JDG.8.6	And the heads of Succoth say, ‘Is the hand of Zebah and Zalmunna now in thy hand, that we give to thy host bread?’
JDG.8.7	And Gideon saith, ‘Therefore — in 
JDG.8.8	And he goeth up thence [to] Penuel, and speaketh unto them thus; and the men of Penuel answer him as the men of Succoth answered.
JDG.8.9	And he speaketh also to the men of Penuel, saying, ‘In my turning back in peace, I break down this tower.’
JDG.8.10	And Zebah and Zalmunna [are] in Karkor, and their camps with them, about fifteen thousand, all who are left of all the camp of the sons of the east; and those falling [are] a hundred and twenty thousand men, drawing sword.
JDG.8.11	And Gideon goeth up the way of those who tabernacle in tents, on the east of Nobah and Jogbehah, and smiteth the camp, and the camp was confident;
JDG.8.12	and Zebab and Zalmunna flee, and he pursueth after them, and captureth the two kings of Midian, Zebah and Zalmunna, and all the camp he hath caused to tremble.
JDG.8.13	And Gideon son of Joash turneth back from the battle, at the going up of the sun,
JDG.8.14	and captureth a young man of the men of Succoth, and asketh him, and he describeth unto him the heads of Succoth, and its elders — seventy and seven men.
JDG.8.15	And he cometh in unto the men of Succoth, and saith, ‘Lo Zebah and Zalmunna, with whom ye reproached me, saying, Is the hand of Zebah and Zalmunna now in thy hand that we give to thy men who [are] wearied bread?’
JDG.8.16	And he taketh the elders of the city, and the thorns of the wilderness, and the threshing instruments, and teacheth by them the men of Succoth,
JDG.8.17	and the tower of Penuel he hath broken down, and slayeth the men of the city.
JDG.8.18	And he saith unto Zebah and unto Zalmunna, ‘How — the men whom ye slew in Tabor?’ and they say, ‘As thou — so they, one — as the form of the king's sons.’
JDG.8.19	And he saith, ‘My brethren — sons of my mother — they; 
JDG.8.20	And he saith to Jether his first-born, ‘Rise, slay them;’ and the young man hath not drawn his sword, for he hath been afraid, for he [is] yet a youth.
JDG.8.21	And Zebah saith — also Zalmunna — ‘Rise thou, and fall upon us; for as the man — his might;’ and Gideon riseth, and slayeth Zebah and Zalmunna, and taketh their round ornaments which [are] on the necks of their camels.
JDG.8.22	And the men of Israel say unto Gideon, ‘Rule over us, both thou, and thy son, and thy son's son, for thou hast saved us from the hand of Midian.’
JDG.8.23	And Gideon saith unto them, ‘I do not rule over you, nor doth my son rule over you; 
JDG.8.24	And Gideon saith unto them, ‘Let me ask of you a petition, and give ye to me each the ring of his prey, for they have rings of gold, for they [are] Ishmaelites.’
JDG.8.25	And they say, ‘We certainly give;’ and they spread out the garment, and cast thither each the ring of his prey;
JDG.8.26	and the weight of the rings of gold which he asked is a thousand and seven hundred [shekels] of gold, apart from the round ornaments, and the drops, and the purple garments, which [are] on the kings of Midian, and apart from the chains which [are] on the necks of their camels,
JDG.8.27	and Gideon maketh it into an ephod, and setteth it up in his city, in Ophrah, and all Israel go a-whoring after it there, and it is to Gideon and to his house for a snare.
JDG.8.28	And Midian is humbled before the sons of Israel, and have not added to lift up their head; and the land resteth forty years in the days of Gideon.
JDG.8.29	And Jerubbaal son of Joash goeth and dwelleth in his own house,
JDG.8.30	and to Gideon there have been seventy sons, coming out of his loin, for he had many wives;
JDG.8.31	and his concubine, who [is] in Shechem, hath born to him — even she — a son, and he appointeth his name Abimelech.
JDG.8.32	And Gideon son of Joash dieth, in a good old age, and is buried in the burying-place of Joash his father, in Ophrah of the Abi-Ezrite.
JDG.8.33	And it cometh to pass, when Gideon [is] dead, that the sons of Israel turn back and go a-whoring after the Baalim, and set over them Baal-Berith for a god;
JDG.8.34	and the sons of Israel have not remembered 
JDG.8.35	neither have they done kindness with the house of Jerubbaal — Gideon — according to all the good which he did with Israel.
JDG.9.1	And Abimelech son of Jerubbaal goeth to Shechem, unto his mother's brethren, and speaketh unto them, and unto all the family of the house of his mother's father, saying,
JDG.9.2	‘Speak, I pray you, in the ears of all the masters of Shechem, Which [is] good for you — the ruling over you of seventy men (all the sons of Jerubbaal), or the ruling over you of one man? — and ye have remembered that I [am] your bone and your flesh.’
JDG.9.3	And his mother's brethren speak concerning him, in the ears of all the masters of Shechem, all these words, and their heart inclineth after Abimelech, for they said, ‘He [is] our brother;’
JDG.9.4	and they give to him seventy silverings out of the house of Baal-Berith, and Abimelech hireth with them men, vain and unstable, and they go after him;
JDG.9.5	and he goeth into the house of his father at Ophrah, and slayeth his brethren, sons of Jerubbaal, seventy men, on one stone; and Jotham, youngest son of Jerubbaal, is left, for he was hidden.
JDG.9.6	And all the masters of Shechem are gathered together, and all the house of Millo, and come and cause Abimelech to reign for king at the oak of the camp which [is] in Shechem;
JDG.9.7	and they declare [it] to Jotham, and he goeth and standeth on the top of mount Gerizim, and lifteth up his voice, and calleth, and saith to them, ‘Hearken unto me, O masters of Shechem, and God doth hearken unto you:
JDG.9.8	‘The trees have diligently gone to anoint over them a king, and they say to the olive, Reign thou over us.
JDG.9.9	And the olive saith to them, Have I ceased from my fatness, by which they honour gods and men, that I have gone to stagger over the trees?
JDG.9.10	And the trees say to the fig, Come thou, reign over us.
JDG.9.11	And the fig saith to them, Have I ceased from my sweetness, and my good increase, that I have gone to stagger over the trees?
JDG.9.12	‘And the trees say to the vine, Come thou, reign over us.
JDG.9.13	And the vine saith to them, Have I ceased from my new wine, which is rejoicing gods and men, that I have gone to stagger over the trees?
JDG.9.14	And all the trees say unto the bramble, Come thou, reign over us.
JDG.9.15	And the bramble saith unto the trees, If in truth ye are anointing me for king over you, come, take refuge in my shadow; and if not — fire cometh out from the bramble, and devoureth the cedars of Lebanon.
JDG.9.16	‘And, now, if in truth and in sincerity ye have acted, when ye make Abimelech king; and if ye have done good with Jerubbaal, and with his house; and if according to the deed of his hands ye have done to him —
JDG.9.17	because my father hath fought for you, and doth cast away his life from [him], and deliver you from the hand of Midian;
JDG.9.18	and ye have risen against the house of my father to-day, and slay his sons, seventy men, on one stone, and cause Abimelech son of his handmaid to reign over the masters of Shechem, because he [is] your brother —
JDG.9.19	yea, if in truth and in sincerity ye have acted with Jerubbaal and with his house this day, rejoice ye in Abimelech, and he doth rejoice — even he — in you;
JDG.9.20	and if not — fire cometh out from Abimelech and devoureth the masters of Shechem and the house of Millo, and fire cometh out from the masters of Shechem and from the house of Millo, and devoureth Abimelech.’
JDG.9.21	And Jotham hasteth, and fleeth, and goeth to Beer, and dwelleth there, from the face of Abimelech his brother.
JDG.9.22	And Abimelech is prince over Israel three years,
JDG.9.23	and God sendeth an evil spirit between Abimelech and the masters of Shechem, and the masters of Shechem deal treacherously with Abimelech,
JDG.9.24	for the coming in of the violence [to] the seventy sons of Jerubbaal, and of their blood to place [it] on Abimelech their brother, who slew them, and on the masters of Shechem, who strengthened his hands to slay his brethren.
JDG.9.25	And the masters of Shechem set for him ambushes on the top of the hills, and rob every one who passeth over by them in the way, and it is declared to Abimelech.
JDG.9.26	And Gaal son of Ebed cometh — also his brethren — and they pass over into Shechem, and the masters of Shechem trust in him,
JDG.9.27	and go out into the field, and gather their vineyards, and tread, and make praises, and go into the house of their god, and eat and drink, and revile Abimelech.
JDG.9.28	And Gaal son of Ebed saith, ‘Who [is] Abimelech, and who [is] Shechem, that we serve him? is [he] not son of Jerubbaal? and Zebul his commander? Serve ye the men of Hamor father of Shechem, and wherefore do we serve him — we?
JDG.9.29	and oh that this people were in my hand — then I turn Abimelech aside;’ and he saith to Abimelech, ‘Increase thy host, and come out.’
JDG.9.30	And Zebul, prince of the city, heareth the words of Gaal son of Ebed, and his anger burneth,
JDG.9.31	and he sendeth messengers unto Abimelech deceitfully, saying, ‘Lo, Gaal son of Ebed and his brethren are coming into Shechem, and lo, they are fortifying the city against thee;
JDG.9.32	and, now, rise by night, thou and the people who [are] with thee, and lay wait in the field,
JDG.9.33	and it hath been, in the morning, about the rising of the sun, thou dost rise early, and hast pushed against the city; and lo, he and the people who [are] with him are going out unto thee — and thou hast done to him as thy hand doth find.’
JDG.9.34	And Abimelech riseth, and all the people who [are] with him, by night, and they lay wait against Shechem — four detachments;
JDG.9.35	and Gaal son of Ebed goeth out, and standeth at the opening of the gate of the city, and Abimelech riseth — also the people who [are] with him — from the ambush,
JDG.9.36	and Gaal seeth the people, and saith unto Zebul, ‘Lo, people are coming down from the top of the hills;’ and Zebul saith unto him, ‘The shadow of the hills thou art seeing like men.’
JDG.9.37	And Gaal addeth yet to speak, and saith, ‘Lo, people are coming down from the high part of the land, and another detachment is coming by the way of the oak of Meonenim.’
JDG.9.38	And Zebul saith unto him, ‘Where [is] now thy mouth, in that thou sayest, Who [is] Abimelech that we serve him? is not this the people against which thou hast kicked? go out, I pray thee now, and fight against it.’
JDG.9.39	And Gaal goeth out before the masters of Shechem, and fighteth against Abimelech,
JDG.9.40	and Abimelech pursueth him, and he fleeth from his presence, and many fall wounded — unto the opening of the gate.
JDG.9.41	And Abimelech abideth in Arumah, and Zebul casteth out Gaal and his brethren from dwelling in Shechem.
JDG.9.42	And it cometh to pass, on the morrow, that the people go out to the field, and they declare [it] to Abimelech,
JDG.9.43	and he taketh the people, and divideth them into three detachments, and layeth wait in a field, and looketh, and lo, the people are coming out from the city, and he riseth against them, and smiteth them.
JDG.9.44	And Abimelech and the detachments who [are] with him have pushed on, and stand at the opening of the gate of the city, and the two detachments have pushed against all who are in the field, and smite them,
JDG.9.45	and Abimelech hath fought against the city all that day, and captureth the city, and the people who [are] in it he hath slain, and he breaketh down the city, and soweth it [with] salt.
JDG.9.46	And all the masters of the tower of Shechem hear, and go in unto the high place of the house of the god Berith,
JDG.9.47	and it is declared to Abimelech that all the masters of the tower of Shechem have gathered themselves together,
JDG.9.48	and Abimelech goeth up to mount Zalmon, he and all the people who [are] with him, and Abimelech taketh the great axe in his hand, and cutteth off a bough of the trees, and lifteth it up, and setteth [it] on his shoulder, and saith unto the people who [are] with him, ‘What ye have seen I have done — haste, do ye like it.’
JDG.9.49	And all the people also cut down each one his bough, and go after Abimelech, and set [them] at the high place, and burn by these the high place with fire, and also all the men of the tower of Shechem die, about a thousand men and women.
JDG.9.50	And Abimelech goeth unto Thebez, and encampeth against Thebez, and captureth it,
JDG.9.51	and a strong tower hath been in the midst of the city, and thither flee do all the men and the women, and all the masters of the city, and they shut [it] behind them, and go up on the roof of the tower.
JDG.9.52	And Abimelech cometh unto the tower, and fighteth against it, and draweth nigh unto the opening of the tower to burn it with fire,
JDG.9.53	and a certain woman doth cast a piece of a rider on the head of Abimelech, and breaketh his skull,
JDG.9.54	and he calleth hastily unto the young man bearing his weapons, and saith to him, ‘Draw thy sword, and thou hast put me to death, lest they say of me — A woman slew him;’ and his young man pierced him through, and he dieth.
JDG.9.55	And the men of Israel see that Abimelech [is] dead, and go each one to his place;
JDG.9.56	and God turneth back the evil of Abimelech which he did to his father to slay his seventy brethren;
JDG.9.57	and all the evil of the men of Shechem hath God turned back on their head, and come unto them doth the cursing of Jotham son of Jerubbaal.
JDG.10.1	And there riseth after Abimelech, to save Israel, Tola son of Puah, son of Dodo, a man of Issachar, and he is dwelling in Shamir, in the hill-country of Ephraim,
JDG.10.2	and he judgeth Israel twenty and three years, and he dieth, and is buried in Shamir.
JDG.10.3	And there riseth after him Jair the Gileadite, and he judgeth Israel twenty and two years,
JDG.10.4	and he hath thirty sons riding on thirty ass-colts, and they have thirty cities, (they call them Havoth-Jair unto this day), which [are] in the land of Gilead;
JDG.10.5	and Jair dieth, and is buried in Kamon.
JDG.10.6	And the sons of Israel add to do the evil thing in the eyes of 
JDG.10.7	and the anger of 
JDG.10.8	and they crush and oppress the sons of Israel in that year — eighteen years all the sons of Israel [who] are beyond the Jordan, in the land of the Amorite, which [is] in Gilead.
JDG.10.9	And the Bene-Ammon pass over the Jordan to fight also against Judah, and against Benjamin, and against the house of Ephraim, and Israel hath great distress.
JDG.10.10	And the sons of Israel cry unto 
JDG.10.11	And 
JDG.10.12	And the Zidonians, and Amalek, and Maon have oppressed you, and ye cry unto Me, and I save you out of their hand;
JDG.10.13	and ye — ye have forsaken Me, and serve other gods, therefore I add not to save you.
JDG.10.14	Go and cry unto the gods on which ye have fixed; they — they save you in the time of your adversity.’
JDG.10.15	And the sons of Israel say unto 
JDG.10.16	And they turn aside the gods of the stranger out of their midst, and serve 
JDG.10.17	And the Bene-Ammon are called together, and encamp in Gilead, and the sons of Israel are gathered together, and encamp in Mizpah.
JDG.10.18	And the people — heads of Gilead — say one unto another, ‘Who [is] the man that doth begin to fight against the Bene-Ammon? he is for head to all inhabitants of Gilead.’
JDG.11.1	And Jephthah the Gileadite hath been a mighty man of valour, and he [is] son of a woman, a harlot; and Gilead begetteth Jephthah,
JDG.11.2	and the wife of Gilead beareth to him sons, and the wife's sons grow up and cast out Jephthah, and say to him, ‘Thou dost not inherit in the house of our father; for son of another woman [art] thou.’
JDG.11.3	And Jephthah fleeth from the face of his brethren, and dwelleth in the land of Tob; and vain men gather themselves together unto Jephthah, and they go out with him.
JDG.11.4	And it cometh to pass, after a time, that the Bene-Ammon fight with Israel,
JDG.11.5	and it cometh to pass, when the Bene-Ammon have fought with Israel, that the elders of Gilead go to take Jephthah from the land of Tob;
JDG.11.6	and they say unto Jephthah, ‘Come, and thou hast been to us for captain, and we fight against the Bene-Ammon.’
JDG.11.7	And Jephthah saith to the elders of Gilead, ‘Have not ye hated me? and ye cast me out from the house of my father, and wherefore have ye come unto me now when ye are in distress?’
JDG.11.8	and the elders of Gilead say unto Jephthah, ‘Therefore, now, we have turned back unto thee; and thou hast gone with us, and fought against the Bene-Ammon, and thou hast been to us for head — to all the inhabitants of Gilead.’
JDG.11.9	And Jephthah saith unto the elders of Gilead, ‘If ye are taking me back to fight against the Bene-Ammon, and 
JDG.11.10	And the elders of Gilead say unto Jephthah, ‘
