GEN.1.1	In the beginning God created the sky and the earth. 
1SA.14.20	Then Saul gathered his army and entered the battle. They found the Philistines confused, striking each other with their swords! 
1SA.14.21	Earlier, there were Hebrews who had served the Philistines and had stayed in their camp, but now they joined the Israelites with Saul and Jonathan. 
1SA.14.22	When all the Israelites hidden in the mountains of Ephraim heard that the Philistine soldiers were running away, they also joined the battle and chased the Philistines. 
1SA.14.23	So the L
1SA.14.24	The men of Israel were miserable that day because Saul had made an oath for all of them. He had said, “No one should eat food before evening and before I finish defeating my enemies. If he does, he will be cursed!” So no Israelite soldier ate food.
1SA.14.25	Now the army went into the woods, where there was some honey on the ground. 
1SA.14.26	They came upon some honey, but no one took any because they were afraid of the oath. 
1SA.14.27	Jonathan had not heard the oath Saul had put on the army, so he dipped the end of his stick into the honey and lifted some out and ate it. Then he felt better. 
1SA.14.28	Then one of the soldiers told Jonathan, “Your father made an oath for all the soldiers. He said any man who eats today will be cursed! That’s why they are so weak.”
1SA.14.29	Jonathan said, “My father has made trouble for the land! See how much better I feel after just tasting a little of this honey! 
1SA.14.30	It would have been much better for the men to eat the food they took from their enemies today. We could have killed many more Philistines!”
1SA.14.31	That day the Israelites defeated the Philistines from Micmash to Aijalon. After that, they were very tired. 
1SA.14.32	They had taken sheep, cattle, and calves from the Philistines. Now they were so hungry they killed the animals on the ground and ate them, without draining the blood from them! 
1SA.14.33	Someone said to Saul, “Look! The men are sinning against the L
1SA.14.33	Saul said, “You have sinned! Roll a large stone over here now!” 
1SA.14.34	Then he said, “Go to the men and tell them that each person must bring his ox and sheep to me and kill it here and eat it. Don’t sin against the L
1SA.14.34	That night everyone brought his animals and killed them there. 
1SA.14.35	Then Saul built an altar to the L
1SA.14.36	Saul said, “Let’s go after the Philistines tonight and rob them. We won’t let any of them live!”
1SA.14.36	The men answered, “Do whatever you think is best.”
1SA.14.36	But the priest said, “Let’s ask God.”
1SA.14.37	So Saul asked God, “Should I chase the Philistines? Will you let us defeat them?” But God did not answer Saul at that time. 
1SA.14.38	Then Saul said to all the leaders of his army, “Come here. Let’s find out what sin has been done today. 
1SA.14.39	As surely as the L
1SA.14.40	Then Saul said to all the Israelites, “You stand on this side. I and my son Jonathan will stand on the other side.”
1SA.14.40	The men answered, “Do whatever you think is best.”
1SA.14.41	Then Saul prayed to the L
1SA.14.41	And Saul and Jonathan were picked; the other men went free. 
1SA.14.42	Saul said, “Now let us discover if it is I or Jonathan my son who is guilty.” And Jonathan was picked.
1SA.14.43	Saul said to Jonathan, “Tell me what you have done.”
1SA.14.43	So Jonathan told Saul, “I only tasted a little honey from the end of my stick. And must I die now?”
1SA.14.44	Saul said, “Jonathan, if you don’t die, may God punish me terribly.”
1SA.14.45	But the soldiers said to Saul, “Must Jonathan die? Never! He is responsible for saving Israel today! As surely as the L
1SA.14.46	Then Saul stopped chasing the Philistines, and they went back to their own land.
1SA.14.47	When Saul became king over Israel, he fought against Israel’s enemies all around. He fought Moab, the Ammonites, Edom, the king of Zobah, and the Philistines. Everywhere Saul went he defeated Israel’s enemies. 
1SA.14.48	He fought bravely and defeated the Amalekites. He saved the Israelites from their enemies who had robbed them.
1SA.14.49	Saul’s sons were Jonathan, Ishvi, and Malki-Shua. His older daughter was named Merab, and his younger daughter was named Michal. 
1SA.14.50	Saul’s wife was Ahinoam daughter of Ahimaaz. The commander of his army was Abner son of Ner, Saul’s uncle. 
1SA.14.51	Saul’s father Kish and Abner’s father Ner were sons of Abiel.
1SA.14.52	All Saul’s life he fought hard against the Philistines. When he saw strong or brave men, he took them into his army.
1SA.15.1	Samuel said to Saul, “The L
1SA.15.2	This is what the L
1SA.15.3	Now go, attack the Amalekites and destroy everything they own as an offering to the L
1SA.15.4	So Saul called the army together at Telaim. There were two hundred thousand foot soldiers and ten thousand men from Judah. 
1SA.15.5	Then Saul went to the city of Amalek and set up an ambush in the ravine. 
1SA.15.6	He said to the Kenites, “Go away. Leave the Amalekites so that I won’t destroy you with them, because you showed kindness to the Israelites when they came out of Egypt.” So the Kenites moved away from the Amalekites.
1SA.15.7	Then Saul defeated the Amalekites. He fought them all the way from Havilah to Shur, at the border of Egypt. 
1SA.15.8	He took King Agag of the Amalekites alive, but he killed all of Agag’s army with the sword. 
1SA.15.9	Saul and the army let Agag live, along with the best sheep, fat cattle, and lambs. They let every good animal live, because they did not want to destroy them. But when they found an animal that was weak or useless, they killed it.
1SA.15.10	Then the L
1SA.15.11	“I am sorry I made Saul king, because he has stopped following me and has not obeyed my commands.” Samuel was upset, and he cried out to the L
1SA.15.12	Early the next morning Samuel got up and went to meet Saul. But the people told Samuel, “Saul has gone to Carmel, where he has put up a monument in his own honor. Now he has gone down to Gilgal.”
1SA.15.13	When Samuel came to Saul, Saul said, “May the L
1SA.15.14	But Samuel said, “Then why do I hear cattle mooing and sheep bleating?”
1SA.15.15	Saul answered, “The soldiers took them from the Amalekites. They saved the best sheep and cattle to offer as sacrifices to the L
1SA.15.16	Samuel said to Saul, “Stop! Let me tell you what the L
1SA.15.16	Saul answered, “Tell me.”
1SA.15.17	Samuel said, “Once you didn’t think much of yourself, but now you have become the leader of the tribes of Israel. The L
1SA.15.18	And he sent you on a mission. He said, ‘Go and destroy those evil people, the Amalekites. Make war on them until all of them are dead.’ 
1SA.15.19	Why didn’t you obey the L
1SA.15.20	Saul said, “But I did obey the L
1SA.15.21	The soldiers took the best sheep and cattle to sacrifice to the L
1SA.15.22	But Samuel answered,
1SA.15.22	“What pleases the L
1SA.15.22	burnt offerings and sacrifices
1SA.15.22	or obedience to his voice?
1SA.15.22	It is better to obey than to sacrifice.
1SA.15.22	It is better to listen to God than to offer the fat of sheep.
1SA.15.23	Disobedience is as bad as the sin of sorcery.
1SA.15.23	Pride is as bad as the sin of worshiping idols.
1SA.15.23	You have rejected the L
1SA.15.23	Now he rejects you as king.”
1SA.15.24	Then Saul said to Samuel, “I have sinned. I didn’t obey the L
1SA.15.25	Now, I beg you, forgive my sin. Come back with me so I may worship the L
1SA.15.26	But Samuel said to Saul, “I won’t go back with you. You rejected the L
1SA.15.27	As Samuel turned to leave, Saul caught his robe, and it tore. 
1SA.15.28	Samuel said to him, “The L
1SA.15.29	The L
1SA.15.30	Saul answered, “I have sinned. But please honor me in front of the elders of my people and in front of the Israelites. Come back with me so that I can worship the L
1SA.15.31	So Samuel went back with Saul, and Saul worshiped the L
1SA.15.32	Then Samuel said, “Bring me King Agag of the Amalekites.”
1SA.15.32	Agag came to Samuel in chains, but Agag thought, “Surely the threat of death has passed.”
1SA.15.33	Samuel said to him, “Your sword made other mothers lose their children. Now your mother will have no children.” And Samuel cut Agag to pieces before the L
1SA.15.34	Then Samuel left and went to Ramah, but Saul went up to his home in Gibeah. 
1SA.15.35	And Samuel never saw Saul again the rest of his life, but he was sad for Saul. And the L
1SA.16.1	The L
1SA.16.2	But Samuel said, “If I go, Saul will hear the news and will try to kill me.”
1SA.16.2	The L
1SA.16.3	Invite Jesse to the sacrifice. Then I will tell you what to do. You must appoint the one I show you.”
1SA.16.4	Samuel did what the L
1SA.16.5	Samuel answered, “Yes, I come in peace. I have come to make a sacrifice to the L
1SA.16.6	When they arrived, Samuel saw Eliab, and he thought, “Surely the L
1SA.16.7	But the L
1SA.16.8	Then Jesse called Abinadab and told him to pass by Samuel. But Samuel said, “The L
1SA.16.9	Then Jesse had Shammah pass by. But Samuel said, “No, the L
1SA.16.10	Jesse had seven of his sons pass by Samuel. But Samuel said to him, “The L
1SA.16.11	Then he asked Jesse, “Are these all the sons you have?”
1SA.16.11	Jesse answered, “I still have the youngest son. He is out taking care of the sheep.”
1SA.16.11	Samuel said, “Send for him. We will not sit down to eat until he arrives.”
1SA.16.12	So Jesse sent and had his youngest son brought in. He was a fine boy, tanned, and handsome.
1SA.16.12	The L
1SA.16.13	So Samuel took the container of olive oil and poured it on Jesse’s youngest son to appoint him in front of his brothers. From that day on, the L
1SA.16.14	But the L
1SA.16.15	Saul’s servants said to him, “See, an evil spirit from God is troubling you. 
1SA.16.16	Give us the command to look for someone who can play the harp. When the evil spirit from God troubles you, he will play, and you will feel better.”
1SA.16.17	So Saul said to his servants, “Find someone who can play well and bring him to me.”
1SA.16.18	One of the servants said, “I have seen a son of Jesse of Bethlehem play the harp. He is brave and courageous. He is a good speaker and handsome, and the L
1SA.16.19	Then Saul sent messengers to Jesse, saying, “Send me your son David, who is with the sheep.” 
1SA.16.20	So Jesse loaded a donkey with bread, a leather bag full of wine, and a young goat, and he sent them with his son David to Saul.
1SA.16.21	When David came to Saul, he began to serve him. Saul liked David and made him the officer who carried his armor. 
1SA.16.22	Saul sent a message to Jesse, saying, “Let David stay and serve me because I like him.”
1SA.16.23	When the evil spirit from God troubled Saul, David would take his harp and play. Then the evil spirit would leave him, and Saul would feel better.
1SA.17.1	The Philistines gathered their armies for war. They met at Socoh in Judah and camped at Ephes Dammim between Socoh and Azekah. 
1SA.17.2	Saul and the Israelites gathered in the Valley of Elah and camped there and took their positions to fight the Philistines. 
1SA.17.3	The Philistines controlled one hill while the Israelites controlled another. The valley was between them.
1SA.17.4	The Philistines had a champion fighter from Gath named Goliath. He was about nine feet, four inches tall. He came out of the Philistine camp 
1SA.17.5	with a bronze helmet on his head and a coat of bronze armor that weighed about one hundred twenty-five pounds. 
1SA.17.6	He wore bronze protectors on his legs, and he had a bronze spear on his back. 
1SA.17.7	The wooden part of his larger spear was like a weaver’s rod, and its blade weighed about fifteen pounds. The officer who carried his shield walked in front of him.
1SA.17.8	Goliath stood and shouted to the Israelite soldiers, “Why have you taken positions for battle? I am a Philistine, and you are Saul’s servants! Choose a man and send him to fight me. 
1SA.17.9	If he can fight and kill me, we will be your servants. But if I can kill him, you will be our servants.” 
1SA.17.10	Then he said, “Today I stand and dare the army of Israel! Send one of your men to fight me!” 
1SA.17.11	When Saul and the Israelites heard the Philistine’s words, they were very scared.
1SA.17.12	Now David was the son of Jesse, an Ephrathite from Bethlehem in Judah. Jesse had eight sons. In Saul’s time Jesse was an old man. 
1SA.17.13	His three oldest sons followed Saul to the war. The first son was Eliab, the second was Abinadab, and the third was Shammah. 
1SA.17.14	David was the youngest. Jesse’s three oldest sons followed Saul, 
1SA.17.15	but David went back and forth from Saul to Bethlehem, where he took care of his father’s sheep.
1SA.17.16	For forty days the Philistine came out every morning and evening and stood before the Israelite army.
1SA.17.17	Jesse said to his son David, “Take this half bushel of cooked grain and ten loaves of bread to your brothers in the camp. 
1SA.17.18	Also take ten pieces of cheese to the commander and to your brothers. See how your brothers are and bring back some proof to show me that they are all right. 
1SA.17.19	Your brothers are with Saul and the army in the Valley of Elah, fighting against the Philistines.”
1SA.17.20	Early in the morning David left the sheep with another shepherd. He took the food and left as Jesse had told him. When David arrived at the camp, the army was going out to their battle positions, shouting their war cry. 
1SA.17.21	The Israelites and Philistines were lining up their men to face each other in battle.
1SA.17.22	David left the food with the man who kept the supplies and ran to the battle line to talk to his brothers. 
1SA.17.23	While he was talking with them, Goliath, the Philistine champion from Gath, came out. He shouted things against Israel as usual, and David heard him. 
1SA.17.24	When the Israelites saw Goliath, they were very much afraid and ran away.
1SA.17.25	They said, “Look at this man! He keeps coming out to challenge Israel. The king will give much money to whoever kills him. He will also let whoever kills him marry his daughter. And his father’s family will not have to pay taxes in Israel.”
1SA.17.26	David asked the men who stood near him, “What will be done to reward the man who kills this Philistine and takes away the shame from Israel? Who does this uncircumcised Philistine think he is? Does he think he can speak against the armies of the living God?”
1SA.17.27	The Israelites told David what would be done for the man who would kill Goliath.
1SA.17.28	When David’s oldest brother Eliab heard David talking with the soldiers, he was angry with David. He asked David, “Why did you come here? Who’s taking care of those few sheep of yours in the desert? I know you are proud and wicked at heart. You came down here just to watch the battle.”
1SA.17.29	David asked, “Now what have I done wrong? Can’t I even talk?” 
1SA.17.30	When he turned to other people and asked the same questions, they gave him the same answer as before. 
1SA.17.31	Yet what David said was told to Saul, and he sent for David.
1SA.17.32	David said to Saul, “Don’t let anyone be discouraged. I, your servant, will go and fight this Philistine!”
1SA.17.33	Saul answered, “You can’t go out against this Philistine and fight him. You’re only a boy. Goliath has been a warrior since he was a young man.”
1SA.17.34	But David said to Saul, “I, your servant, have been keeping my father’s sheep. When a lion or bear came and took a sheep from the flock, 
1SA.17.35	I would chase it. I would attack it and save the sheep from its mouth. When it attacked me, I caught it by its fur and hit it and killed it. 
1SA.17.36	I, your servant, have killed both a lion and a bear! This uncircumcised Philistine will be like them, because he has spoken against the armies of the living God. 
1SA.17.37	The L
1SA.17.37	Saul said to David, “Go, and may the L
1SA.17.38	Saul put his own clothes on David. He put a bronze helmet on his head and dressed him in armor. 
1SA.17.39	David put on Saul’s sword and tried to walk around, but he was not used to all the armor Saul had put on him.
1SA.17.39	He said to Saul, “I can’t go in this, because I’m not used to it.” Then David took it all off. 
1SA.17.40	He took his stick in his hand and chose five smooth stones from a stream. He put them in his shepherd’s bag and grabbed his sling. Then he went to meet the Philistine.
1SA.17.41	At the same time, the Philistine was coming closer to David. The man who held his shield walked in front of him. 
1SA.17.42	When Goliath looked at David and saw that he was only a boy, tanned and handsome, he looked down on David with disgust. 
1SA.17.43	He said, “Do you think I am a dog, that you come at me with a stick?” He used his gods’ names to curse David. 
1SA.17.44	He said to David, “Come here. I’ll feed your body to the birds of the air and the wild animals!”
1SA.17.45	But David said to him, “You come to me using a sword and two spears. But I come to you in the name of the L
1SA.17.46	Today the L
1SA.17.47	Everyone gathered here will know the L
1SA.17.48	As Goliath came near to attack him, David ran quickly to meet him. 
1SA.17.49	He took a stone from his bag, put it into his sling, and slung it. The stone hit the Philistine and went deep into his forehead, and Goliath fell facedown on the ground.
1SA.17.50	So David defeated the Philistine with only a sling and a stone. He hit him and killed him. He did not even have a sword in his hand. 
1SA.17.51	Then David ran and stood beside him. He took Goliath’s sword out of its holder and killed him by cutting off his head.
1SA.17.51	When the Philistines saw that their champion was dead, they turned and ran. 
1SA.17.52	The men of Israel and Judah shouted and chased the Philistines all the way to the entrance of the city of Gath and to the gates of Ekron.
1SA.17.52	The Philistines’ bodies lay on the Shaaraim road as far as Gath and Ekron. 
1SA.17.53	The Israelites returned after chasing the Philistines and robbed their camp. 
1SA.17.54	David took Goliath’s head to Jerusalem and put Goliath’s weapons in his own tent.
1SA.17.55	When Saul saw David go out to meet Goliath, Saul asked Abner, commander of the army, “Abner, who is that young man’s father?”
1SA.17.55	Abner answered, “As surely as you live, my king, I don’t know.”
1SA.17.56	The king said, “Find out whose son he is.”
1SA.17.57	When David came back from killing Goliath, Abner brought him to Saul. David was still holding Goliath’s head.
1SA.17.58	Saul asked him, “Young man, who is your father?”
1SA.17.58	David answered, “I am the son of your servant Jesse of Bethlehem.”
1SA.18.1	When David finished talking with Saul, Jonathan felt very close to David. He loved David as much as he loved himself. 
1SA.18.2	Saul kept David with him from that day on and did not let him go home to his father’s house. 
1SA.18.3	Jonathan made an agreement with David, because he loved David as much as himself. 
1SA.18.4	He took off his coat and gave it to David, along with his armor, including his sword, bow, and belt.
1SA.18.5	Saul sent David to fight in different battles, and David was very successful. Then Saul put David over the soldiers, which pleased Saul’s officers and all the other people.
1SA.18.6	After David had killed the Philistine, he and the men returned home. Women came out from all the towns of Israel to meet King Saul. They sang songs of joy, danced, and played tambourines and stringed instruments. 
1SA.18.7	As they played, they sang,
1SA.18.7	“Saul has killed thousands of his enemies,
1SA.18.7	but David has killed tens of thousands.”
1SA.18.8	The women’s song upset Saul, and he became very angry. He thought, “The women say David has killed tens of thousands, but they say I have killed only thousands. The only thing left for him to have is the kingdom!” 
1SA.18.9	So Saul watched David closely from then on, because he was jealous.
1SA.18.10	The next day an evil spirit from God rushed upon Saul, and he prophesied in his house. David was playing the harp as he usually did, but Saul had a spear in his hand. 
1SA.18.11	He threw the spear, thinking, “I’ll pin David to the wall.” But David escaped from him twice.
1SA.18.12	The L
1SA.18.13	He sent David away and made him commander of a thousand soldiers. So David led them in battle. 
1SA.18.14	He had great success in everything he did because the L
1SA.18.15	When Saul saw that David was very successful, he feared David even more. 
1SA.18.16	But all the people of Israel and Judah loved David because he led them well in battle.
1SA.18.17	Saul said to David, “Here is my older daughter Merab. I will let you marry her. All I ask is that you remain brave and fight the L
1SA.18.18	But David answered Saul, saying, “Who am I? My family is not important enough for me to become the king’s son-in-law.” 
1SA.18.19	So, when the time came for Saul’s daughter Merab to marry David, Saul gave her instead to Adriel of Meholah.
1SA.18.20	Now Saul’s other daughter, Michal, loved David. When they told Saul, he was pleased. 
1SA.18.21	He thought, “I will let her marry David. Then she will be a trap for him, and the Philistines will defeat him.” So Saul said to David a second time, “You may become my son-in-law.”
1SA.18.22	And Saul ordered his servants to talk with David in private and say, “Look, the king likes you. His servants love you. You should be his son-in-law.”
1SA.18.23	Saul’s servants said these words to David, but David answered, “Do you think it is easy to become the king’s son-in-law? I am poor and unimportant.”
1SA.18.24	When Saul’s servants told him what David had said, 
1SA.18.25	Saul said, “Tell David, ‘The king doesn’t want money for the bride. All he wants is a hundred Philistine foreskins to get even with his enemies.’ ” Saul planned to let the Philistines kill David.
1SA.18.26	When Saul’s servants told this to David, he was pleased to become the king’s son-in-law. 
1SA.18.27	So he and his men went out and killed two hundred Philistines. David brought all their foreskins to Saul so he could be the king’s son-in-law. Then Saul gave him his daughter Michal for his wife. 
1SA.18.28	Saul saw that the L
1SA.18.29	So he grew even more afraid of David, and he was David’s enemy all his life.
1SA.18.30	The Philistine commanders continued to go out to fight the Israelites, but every time, David was more skillful than Saul’s officers. So he became famous.
1SA.19.1	Saul told his son Jonathan and all his servants to kill David, but Jonathan liked David very much. 
1SA.19.2	So he warned David, “My father Saul is looking for a chance to kill you. Watch out in the morning. Hide in a secret place. 
1SA.19.3	I will go out and stand with my father in the field where you are hiding, and I’ll talk to him about you. Then I’ll let you know what I find out.”
1SA.19.4	When Jonathan talked to Saul his father, he said good things about David. Jonathan said, “The king should do no wrong to your servant David since he has done nothing wrong to you. What he has done has helped you greatly. 
1SA.19.5	David risked his life when he killed Goliath the Philistine, and the L
1SA.19.6	Saul listened to Jonathan and then made this promise: “As surely as the L
1SA.19.7	So Jonathan called to David and told him everything that had been said. He brought David to Saul, and David was with Saul as before.
1SA.19.8	When war broke out again, David went out to fight the Philistines. He defeated them, and they ran away from him.
1SA.19.9	But once again an evil spirit from the L
1SA.19.10	Saul tried to pin David to the wall with his spear, but David jumped out of the way. So Saul’s spear went into the wall, and David ran away that night.
1SA.19.11	Saul sent messengers to David’s house to watch it and to kill him in the morning. But Michal, David’s wife, warned him, saying, “Tonight you must run for your life. If you don’t, you will be dead in the morning.” 
1SA.19.12	So she let David down out of a window, and he ran away and escaped. 
1SA.19.13	Then Michal took an idol, laid it on the bed, covered it with clothes, and put goats’ hair at its head.
1SA.19.14	Saul sent messengers to take David prisoner, but Michal said, “He is sick.”
1SA.19.15	Saul sent them back to see David, saying, “Bring him to me on his bed so I can kill him.”
1SA.19.16	When the messengers entered David’s house, they found just an idol on the bed with goats’ hair on its head.
1SA.19.17	Saul said to Michal, “Why did you trick me this way? You let my enemy go so he could run away!”
1SA.19.17	Michal answered Saul, “David told me if I did not help him escape, he would kill me.”
1SA.19.18	After David had escaped from Saul, he went to Samuel at Ramah and told him everything Saul had done to him. Then David and Samuel went to Naioth and stayed there. 
1SA.19.19	Saul heard that David was in Naioth at Ramah. 
1SA.19.20	So he sent messengers to capture him. But they met a group of prophets prophesying, with Samuel standing there leading them. So the Spirit of God entered Saul’s men, and they also prophesied.
1SA.19.21	When Saul heard the news, he sent more messengers, but they also prophesied. Then he sent messengers a third time, but they also prophesied. 
1SA.19.22	Finally, Saul himself went to Ramah, to the well at Secu. He asked, “Where are Samuel and David?”
1SA.19.22	The people answered, “In Naioth at Ramah.”
1SA.19.23	When Saul went to Naioth at Ramah, the Spirit of God also rushed upon him. And he walked on, prophesying until he came to Naioth at Ramah. 
1SA.19.24	He took off his robes and prophesied in front of Samuel. He lay that way all day and all night. That is why people ask, “Is even Saul one of the prophets?”
1SA.20.1	Then David ran away from Naioth in Ramah. He went to Jonathan and asked, “What have I done? What is my crime? How did I sin against your father? Why is he trying to kill me?”
1SA.20.2	Jonathan answered, “No! You won’t die! See, my father doesn’t do anything great or small without first telling me. Why would he keep this from me? It’s not true!”
1SA.20.3	But David took an oath, saying, “Your father knows very well that you like me. He says to himself, ‘Jonathan must not know about it, or he will tell David.’ As surely as the L
1SA.20.4	Jonathan said to David, “I’ll do anything you want me to do.”
1SA.20.5	So David said, “Look, tomorrow is the New Moon festival. I am supposed to eat with the king, but let me hide in the field until the third evening. 
1SA.20.6	If your father notices I am gone, tell him, ‘David begged me to let him go to his hometown of Bethlehem. Every year at this time his family group offers a sacrifice.’ 
1SA.20.7	If your father says, ‘Fine,’ I am safe. But if he becomes angry, you will know that he wants to hurt me. 
1SA.20.8	Jonathan, be loyal to me, your servant. You have made an agreement with me before the L
1SA.20.9	Jonathan answered, “No, never! If I learn that my father plans to hurt you, I will warn you!”
1SA.20.10	David asked, “Who will let me know if your father answers you unkindly?”
1SA.20.11	Then Jonathan said, “Come, let’s go out into the field.” So the two of them went out into the field.
1SA.20.12	Jonathan said to David, “I promise this before the L
1SA.20.13	But if my father plans to hurt you, I will let you know and send you away safely. May the L
1SA.20.14	But show me the kindness of the L
1SA.20.15	You must never stop showing your kindness to my family, even when the L
1SA.20.16	So Jonathan made an agreement with David. He said, “May the L
1SA.20.17	And Jonathan asked David to repeat his promise of love for him, because he loved David as much as he loved himself.
1SA.20.18	Jonathan said to David, “Tomorrow is the New Moon festival. Your seat will be empty, so my father will miss you. 
1SA.20.19	On the third day go to the place where you hid when this trouble began. Wait by the rock Ezel. 
1SA.20.20	On the third day I will shoot three arrows to the side of the rock as if I am shooting at a target. 
1SA.20.21	Then I will send a boy to find the arrows. If I say to him, ‘The arrows are near you; bring them here,’ you may come out of hiding. You are safe. As the L
1SA.20.22	But if I say to the boy, ‘Look, the arrows are beyond you,’ you must go, because the L
1SA.20.23	Remember what we talked about. The L
1SA.20.24	So David hid in the field. When the New Moon festival came, the king sat down to eat. 
1SA.20.25	He sat where he always sat, near the wall. Jonathan sat across from him, and Abner sat next to Saul, but David’s place was empty. 
1SA.20.26	That day Saul said nothing. He thought, “Maybe something has happened to David so that he is unclean.” 
1SA.20.27	But the next day was the second day of the month, and David’s place was still empty. So Saul said to Jonathan, “Why hasn’t the son of Jesse come to the feast yesterday or today?”
1SA.20.28	Jonathan answered, “David begged me to let him go to Bethlehem. 
1SA.20.29	He said, ‘Let me go, because our family has a sacrifice in the town, and my brother has ordered me to be there. Now if I am your friend, please let me go to see my brothers.’ That is why he has not come to the king’s table.”
1SA.20.30	Then Saul became very angry with Jonathan. He said, “You son of a wicked, worthless woman! I know you are on the side of David son of Jesse! You bring shame on yourself and on your mother who gave birth to you. 
1SA.20.31	As long as Jesse’s son lives, you will never be king or have a kingdom. Now send for David and bring him to me. He must die!”
1SA.20.32	Jonathan asked his father, “Why should David be killed? What wrong has he done?” 
1SA.20.33	Then Saul threw his spear at Jonathan, trying to kill him. So Jonathan knew that his father really wanted to kill David. 
1SA.20.34	Jonathan was very angry and left the table. That second day of the month he refused to eat. He was ashamed of his father and upset over David.
1SA.20.35	The next morning Jonathan went out to the field to meet David as they had agreed. He had a young boy with him. 
1SA.20.36	Jonathan said to the boy, “Run and find the arrows I shoot.” When he ran, Jonathan shot an arrow beyond him. 
1SA.20.37	The boy ran to the place where Jonathan’s arrow fell, but Jonathan called, “The arrow is beyond you!” 
1SA.20.38	Then he shouted, “Hurry! Go quickly! Don’t stop!” The boy picked up the arrow and brought it back to his master. 
1SA.20.39	(The boy knew nothing about what this meant; only Jonathan and David knew.) 
1SA.20.40	Then Jonathan gave his weapons to the boy and told him, “Go back to town.”
1SA.20.41	When the boy left, David came out from the south side of the rock. He bowed facedown on the ground before Jonathan three times. Then David and Jonathan kissed each other and cried together, but David cried the most.
1SA.20.42	Jonathan said to David, “Go in peace. We have promised by the L
1SA.21.1	David went to Nob to see Ahimelech the priest. Ahimelech shook with fear when he saw David, and he asked, “Why are you alone? Why is no one with you?”
1SA.21.2	David answered him, “The king gave me a special order. He told me, ‘No one must know what I am sending you to do or what I told you to do.’ I told my men where to meet me. 
1SA.21.3	Now, what food do you have with you? Give me five loaves of bread or anything you find.”
1SA.21.4	The priest said to David, “I don’t have any plain bread here, but I do have some holy bread. You may eat it if your men have kept themselves from women.”
1SA.21.5	David answered, “No women have been near us for days. My men always keep themselves holy, even when we do ordinary work. And this is especially true when the work is holy.”
1SA.21.6	So the priest gave David the holy bread from the presence of God because there was no other. Each day the holy bread was replaced with hot bread.
1SA.21.7	One of Saul’s servants happened to be there that day. He had been held there before the L
1SA.21.8	David asked Ahimelech, “Do you have a spear or sword here? The king’s business was very important, so I left without my sword or any other weapon.”
1SA.21.9	The priest answered, “The sword of Goliath the Philistine, the one you killed in the Valley of Elah, is here. It is wrapped in a cloth behind the holy vest. If you want it, you may take it. There’s no other sword here but that one.”
1SA.21.9	David said, “There is no other sword like it. Give it to me.”
1SA.21.10	That day David ran away from Saul and went to Achish king of Gath. 
1SA.21.11	But the servants of Achish said to him, “This is David, the king of the Israelites. He’s the man they dance and sing about, saying:
1SA.21.11	‘Saul has killed thousands of his enemies,
1SA.21.11	but David has killed tens of thousands.’ ”
1SA.21.12	David paid attention to these words and was very much afraid of Achish king of Gath. 
1SA.21.13	So he pretended to be crazy in front of Achish and his servants. While he was with them, he acted like a madman and clawed on the doors of the gate and let spit run down his beard.
1SA.21.14	Achish said to his servants, “Look at the man! He’s crazy! Why do you bring him to me? 
1SA.21.15	I have enough madmen. I don’t need you to bring him here to act like this in front of me! Don’t let him in my house!”
1SA.22.1	David left Gath and escaped to the cave of Adullam. When his brothers and other relatives heard that he was there, they went to see him. 
1SA.22.2	Everyone who was in trouble, or who owed money, or who was unsatisfied gathered around David, and he became their leader. About four hundred men were with him.
1SA.22.3	From there David went to Mizpah in Moab and spoke to the king of Moab. He said, “Please let my father and mother come and stay with you until I learn what God is going to do for me.” 
1SA.22.4	So he left them with the king of Moab, and they stayed with him as long as David was hiding in the stronghold.
1SA.22.5	But the prophet Gad said to David, “Don’t stay in the stronghold. Go to the land of Judah.” So David left and went to the forest of Hereth.
1SA.22.6	Saul heard that David and his men had been seen. Saul was sitting under the tamarisk tree on the hill at Gibeah, and all his officers were standing around him. He had a spear in his hand. 
1SA.22.7	Saul said to them, “Listen, men of Benjamin! Do you think the son of Jesse will give all of you fields and vineyards? Will David make you commanders over thousands of men or hundreds of men? 
1SA.22.8	You have all made plans against me! No one tells me when my son makes an agreement with the son of Jesse! No one cares about me! No one tells me when my son has encouraged my servant to ambush me this very day!”
1SA.22.9	Doeg the Edomite, who was standing there with Saul’s officers, said, “I saw the son of Jesse. He came to see Ahimelech son of Ahitub at Nob. 
1SA.22.10	Ahimelech prayed to the L
1SA.22.11	Then the king sent for the priest Ahimelech son of Ahitub and for all of Ahimelech’s relatives who were priests at Nob. And they all came to the king. 
1SA.22.12	Saul said to Ahimelech, “Listen now, son of Ahitub.”
1SA.22.12	Ahimelech answered, “Yes, master.”
1SA.22.13	Saul said, “Why are you and Jesse’s son against me? You gave him bread and a sword! You prayed to God for him. David has turned against me and is waiting to attack me even now!”
1SA.22.14	Ahimelech answered, “You have no other servant who is as loyal as David, your own son-in-law and captain of your bodyguards. Everyone in your house respects him. 
1SA.22.15	That was not the first time I prayed to God for David. Don’t blame me or any of my relatives. I, your servant, know nothing about what is going on.”
1SA.22.16	But the king said, “Ahimelech, you and all your relatives must die!” 
1SA.22.17	Then he told the guards at his side, “Go and kill the priests of the L
1SA.22.17	But the king’s officers refused to kill the priests of the L
