GEN.1.1	In the beginning, God
2KI.10.36	The time that Jehu reigned over Israel in Samaria was twenty-eight years.
2KI.11.1	Now when Athaliah the mother of Ahaziah saw that her son was dead, she arose and destroyed all the royal offspring. 
2KI.11.2	But Jehosheba, the daughter of king Joram, sister of Ahaziah, took Joash the son of Ahaziah, and stole him away from amongst the king’s sons who were slain, even him and his nurse, and put them in the bedroom; and they hid him from Athaliah, so that he was not slain. 
2KI.11.3	He was with her hidden in the 
2KI.11.4	In the seventh year Jehoiada sent and fetched the captains over hundreds of the Carites and of the guard, and brought them to him into the 
2KI.11.5	He commanded them, saying, “This is what you must do: a third of you, who come in on the Sabbath, shall be keepers of the watch of the king’s house; 
2KI.11.6	a third of you shall be at the gate Sur; and a third of you at the gate behind the guard. So you shall keep the watch of the house, and be a barrier. 
2KI.11.7	The two companies of you, even all who go out on the Sabbath, shall keep the watch of the 
2KI.11.8	You shall surround the king, every man with his weapons in his hand; and he who comes within the ranks, let him be slain. Be with the king when he goes out, and when he comes in.”
2KI.11.9	The captains over hundreds did according to all that Jehoiada the priest commanded; and they each took his men, those who were to come in on the Sabbath, with those who were to go out on the Sabbath, and came to Jehoiada the priest. 
2KI.11.10	The priest delivered to the captains over hundreds the spears and shields that had been king David’s, which were in the 
2KI.11.11	The guard stood, every man with his weapons in his hand, from the right side of the house to the left side of the house, along by the altar and the house, around the king. 
2KI.11.12	Then he brought out the king’s son, and put the crown on him, and gave him the covenant; and they made him king, and anointed him; and they clapped their hands, and said, “Long live the king!”
2KI.11.13	When Athaliah heard the noise of the guard and of the people, she came to the people into the 
2KI.11.14	and she looked, and behold, the king stood by the pillar, as the tradition was, with the captains and the trumpets by the king; and all the people of the land rejoiced, and blew trumpets. Then Athaliah tore her clothes, and cried, “Treason! Treason!”
2KI.11.15	Jehoiada the priest commanded the captains of hundreds who were set over the army, and said to them, “Bring her out between the ranks. Kill anyone who follows her with the sword.” For the priest said, “Don’t let her be slain in the 
2KI.11.16	So they made way for her; and she went by the way of the horses’ entry to the king’s house, and she was slain there. 
2KI.11.17	Jehoiada made a covenant between the 
2KI.11.18	All the people of the land went to the house of Baal, and broke it down. They broke his altars and his images in pieces thoroughly, and killed Mattan the priest of Baal before the altars. The priest appointed officers over the 
2KI.11.19	He took the captains over hundreds, and the Carites, and the guard, and all the people of the land; and they brought down the king from the 
2KI.11.20	So all the people of the land rejoiced, and the city was quiet. They had slain Athaliah with the sword at the king’s house.
2KI.11.21	Jehoash was seven years old when he began to reign.
2KI.12.1	Jehoash began to reign in the seventh year of Jehu, and he reigned forty years in Jerusalem. His mother’s name was Zibiah of Beersheba. 
2KI.12.2	Jehoash did that which was right in the 
2KI.12.3	However the high places were not taken away. The people still sacrificed and burnt incense in the high places. 
2KI.12.4	Jehoash said to the priests, “All the money of the holy things that is brought into the 
2KI.12.5	let the priests take it to them, each man from his donor; and they shall repair the damage to the house, wherever any damage is found.”
2KI.12.6	But it was so, that in the twenty-third year of king Jehoash the priests had not repaired the damage to the house. 
2KI.12.7	Then king Jehoash called for Jehoiada the priest, and for the other priests, and said to them, “Why don’t you repair the damage to the house? Now therefore take no more money from your treasurers, but deliver it for repair of the damage to the house.”
2KI.12.8	The priests consented that they should take no more money from the people, and not repair the damage to the house. 
2KI.12.9	But Jehoiada the priest took a chest, and bored a hole in its lid, and set it beside the altar, on the right side as one comes into the 
2KI.12.10	When they saw that there was much money in the chest, the king’s scribe and the high priest came up, and they put it in bags and counted the money that was found in the 
2KI.12.11	They gave the money that was weighed out into the hands of those who did the work, who had the oversight of the 
2KI.12.12	and to the masons and the stone cutters, and for buying timber and cut stone to repair the damage to the 
2KI.12.13	But there were not made for the 
2KI.12.14	for they gave that to those who did the work, and repaired the 
2KI.12.15	Moreover they didn’t demand an accounting from the men into whose hand they delivered the money to give to those who did the work; for they dealt faithfully. 
2KI.12.16	The money for the trespass offerings, and the money for the sin offerings was not brought into the 
2KI.12.17	Then Hazael king of Syria went up, and fought against Gath, and took it; and Hazael set his face to go up to Jerusalem. 
2KI.12.18	Jehoash king of Judah took all the holy things that Jehoshaphat and Jehoram and Ahaziah, his fathers, kings of Judah, had dedicated, and his own holy things, and all the gold that was found in the treasures of the 
2KI.12.19	Now the rest of the acts of Joash, and all that he did, aren’t they written in the book of the chronicles of the kings of Judah? 
2KI.12.20	His servants arose, and made a conspiracy, and struck Joash at the house of Millo, on the way that goes down to Silla. 
2KI.12.21	For Jozacar the son of Shimeath, and Jehozabad the son of Shomer, his servants, struck him, and he died; and they buried him with his fathers in David’s city; and Amaziah his son reigned in his place.
2KI.13.1	In the twenty-third year of Joash the son of Ahaziah, king of Judah, Jehoahaz the son of Jehu began to reign over Israel in Samaria for seventeen years. 
2KI.13.2	He did that which was evil in the 
2KI.13.3	The 
2KI.13.4	Jehoahaz begged the 
2KI.13.5	(The 
2KI.13.6	Nevertheless they didn’t depart from the sins of the house of Jeroboam, with which he made Israel to sin, but walked in them; and the Asherah also remained in Samaria.) 
2KI.13.7	For he didn’t leave to Jehoahaz of the people any more than fifty horsemen, and ten chariots, and ten thousand footmen; for the king of Syria destroyed them, and made them like the dust in threshing. 
2KI.13.8	Now the rest of the acts of Jehoahaz, and all that he did, and his might, aren’t they written in the book of the chronicles of the kings of Israel? 
2KI.13.9	Jehoahaz slept with his fathers; and they buried him in Samaria; and Joash his son reigned in his place.
2KI.13.10	In the thirty-seventh year of Joash king of Judah, Jehoash the son of Jehoahaz began to reign over Israel in Samaria for sixteen years. 
2KI.13.11	He did that which was evil in the 
2KI.13.12	Now the rest of the acts of Joash, and all that he did, and his might with which he fought against Amaziah king of Judah, aren’t they written in the book of the chronicles of the kings of Israel? 
2KI.13.13	Joash slept with his fathers; and Jeroboam sat on his throne. Joash was buried in Samaria with the kings of Israel.
2KI.13.14	Now Elisha became sick with the illness of which he died; and Joash the king of Israel came down to him, and wept over him, and said, “My father, my father, the chariots of Israel and its horsemen!”
2KI.13.15	Elisha said to him, “Take bow and arrows;” and he took bow and arrows for himself. 
2KI.13.16	He said to the king of Israel, “Put your hand on the bow;” and he put his hand on it. Elisha laid his hands on the king’s hands. 
2KI.13.17	He said, “Open the window eastward;” and he opened it. Then Elisha said, “Shoot!” and he shot. He said, “The 
2KI.13.18	He said, “Take the arrows;” and he took them. He said to the king of Israel, “Strike the ground;” and he struck three times, and stopped. 
2KI.13.19	The man of God was angry with him, and said, “You should have struck five or six times. Then you would have struck Syria until you had consumed it; whereas now you will strike Syria just three times.”
2KI.13.20	Elisha died, and they buried him.
2KI.13.20	Now the bands of the Moabites invaded the land at the coming in of the year. 
2KI.13.21	As they were burying a man, behold, they saw a band of raiders; and they threw the man into Elisha’s tomb. As soon as the man touched Elisha’s bones, he revived, and stood up on his feet.
2KI.13.22	Hazael king of Syria oppressed Israel all the days of Jehoahaz. 
2KI.13.23	But the 
2KI.13.24	Hazael king of Syria died; and Benhadad his son reigned in his place. 
2KI.13.25	Jehoash the son of Jehoahaz took again out of the hand of Benhadad the son of Hazael the cities which he had taken out of the hand of Jehoahaz his father by war. Joash struck him three times, and recovered the cities of Israel.
2KI.14.1	In the second year of Joash son of Joahaz king of Israel, Amaziah the son of Joash king of Judah began to reign. 
2KI.14.2	He was twenty-five years old when he began to reign; and he reigned twenty-nine years in Jerusalem. His mother’s name was Jehoaddin of Jerusalem. 
2KI.14.3	He did that which was right in the 
2KI.14.4	However the high places were not taken away. The people still sacrificed and burnt incense in the high places. 
2KI.14.5	As soon as the kingdom was established in his hand, he killed his servants who had slain the king his father, 
2KI.14.6	but the children of the murderers he didn’t put to death; according to that which is written in the book of the law of Moses, as the 
2KI.14.7	He killed ten thousand Edomites in the Valley of Salt, and took Sela by war, and called its name Joktheel, to this day. 
2KI.14.8	Then Amaziah sent messengers to Jehoash, the son of Jehoahaz son of Jehu, king of Israel, saying, “Come, let’s look one another in the face.”
2KI.14.9	Jehoash the king of Israel sent to Amaziah king of Judah, saying, “The thistle that was in Lebanon sent to the cedar that was in Lebanon, saying, ‘Give your daughter to my son as wife. Then a wild animal that was in Lebanon passed by, and trampled down the thistle. 
2KI.14.10	You have indeed struck Edom, and your heart has lifted you up. Enjoy the glory of it, and stay at home; for why should you meddle to your harm, that you fall, even you, and Judah with you?’” 
2KI.14.11	But Amaziah would not listen. So Jehoash king of Israel went up; and he and Amaziah king of Judah looked one another in the face at Beth Shemesh, which belongs to Judah. 
2KI.14.12	Judah was defeated by Israel; and each man fled to his tent. 
2KI.14.13	Jehoash king of Israel took Amaziah king of Judah, the son of Jehoash the son of Ahaziah, at Beth Shemesh, and came to Jerusalem, and broke down the wall of Jerusalem from the gate of Ephraim to the corner gate, four hundred cubits.
2KI.14.14	He took all the gold and silver, and all the vessels that were found in the 
2KI.14.15	Now the rest of the acts of Jehoash which he did, and his might, and how he fought with Amaziah king of Judah, aren’t they written in the book of the chronicles of the kings of Israel? 
2KI.14.16	Jehoash slept with his fathers, and was buried in Samaria with the kings of Israel; and Jeroboam his son reigned in his place.
2KI.14.17	Amaziah the son of Joash king of Judah lived after the death of Jehoash son of Jehoahaz king of Israel fifteen years. 
2KI.14.18	Now the rest of the acts of Amaziah, aren’t they written in the book of the chronicles of the kings of Judah? 
2KI.14.19	They made a conspiracy against him in Jerusalem, and he fled to Lachish; but they sent after him to Lachish, and killed him there. 
2KI.14.20	They brought him on horses, and he was buried at Jerusalem with his fathers in David’s city.
2KI.14.21	All the people of Judah took Azariah, who was sixteen years old, and made him king in the place of his father Amaziah. 
2KI.14.22	He built Elath, and restored it to Judah. After that the king slept with his fathers.
2KI.14.23	In the fifteenth year of Amaziah the son of Joash king of Judah, Jeroboam the son of Joash king of Israel began to reign in Samaria for forty-one years. 
2KI.14.24	He did that which was evil in the 
2KI.14.25	He restored the border of Israel from the entrance of Hamath to the sea of the Arabah, according to the 
2KI.14.26	For the 
2KI.14.27	The 
2KI.14.28	Now the rest of the acts of Jeroboam, and all that he did, and his might, how he fought, and how he recovered Damascus, and Hamath, which had belonged to Judah, for Israel, aren’t they written in the book of the chronicles of the kings of Israel? 
2KI.14.29	Jeroboam slept with his fathers, even with the kings of Israel; and Zechariah his son reigned in his place.
2KI.15.1	In the twenty-seventh year of Jeroboam king of Israel, Azariah son of Amaziah king of Judah began to reign. 
2KI.15.2	He was sixteen years old when he began to reign, and he reigned fifty-two years in Jerusalem. His mother’s name was Jecoliah of Jerusalem. 
2KI.15.3	He did that which was right in the 
2KI.15.4	However the high places were not taken away. The people still sacrificed and burnt incense in the high places. 
2KI.15.5	The 
2KI.15.6	Now the rest of the acts of Azariah, and all that he did, aren’t they written in the book of the chronicles of the kings of Judah? 
2KI.15.7	Azariah slept with his fathers; and they buried him with his fathers in David’s city: and Jotham his son reigned in his place.
2KI.15.8	In the thirty-eighth year of Azariah king of Judah, Zechariah the son of Jeroboam reigned over Israel in Samaria six months. 
2KI.15.9	He did that which was evil in the 
2KI.15.10	Shallum the son of Jabesh conspired against him, and struck him before the people, and killed him, and reigned in his place. 
2KI.15.11	Now the rest of the acts of Zechariah, behold, they are written in the book of the chronicles of the kings of Israel. 
2KI.15.12	This was the 
2KI.15.13	Shallum the son of Jabesh began to reign in the thirty-ninth year of Uzziah king of Judah, and he reigned for a month in Samaria. 
2KI.15.14	Menahem the son of Gadi went up from Tirzah, came to Samaria, struck Shallum the son of Jabesh in Samaria, killed him, and reigned in his place. 
2KI.15.15	Now the rest of the acts of Shallum, and his conspiracy which he made, behold, they are written in the book of the chronicles of the kings of Israel.
2KI.15.16	Then Menahem attacked Tiphsah, and all who were in it, and its border areas, from Tirzah. He attacked it because they didn’t open their gates to him, and he ripped up all their women who were with child. 
2KI.15.17	In the thirty ninth year of Azariah king of Judah, Menahem the son of Gadi began to reign over Israel for ten years in Samaria. 
2KI.15.18	He did that which was evil in the 
2KI.15.19	Pul the king of Assyria came against the land, and Menahem gave Pul one thousand talents
2KI.15.20	Menahem exacted the money from Israel, even from all the mighty men of wealth, from each man fifty shekels
2KI.15.21	Now the rest of the acts of Menahem, and all that he did, aren’t they written in the book of the chronicles of the kings of Israel? 
2KI.15.22	Menahem slept with his fathers, and Pekahiah his son reigned in his place.
2KI.15.23	In the fiftieth year of Azariah king of Judah, Pekahiah the son of Menahem began to reign over Israel in Samaria for two years. 
2KI.15.24	He did that which was evil in the 
2KI.15.25	Pekah the son of Remaliah, his captain, conspired against him and attacked him in Samaria, in the fortress of the king’s house, with Argob and Arieh; and with him were fifty men of the Gileadites. He killed him, and reigned in his place. 
2KI.15.26	Now the rest of the acts of Pekahiah, and all that he did, behold, they are written in the book of the chronicles of the kings of Israel.
2KI.15.27	In the fifty-second year of Azariah king of Judah, Pekah the son of Remaliah began to reign over Israel in Samaria for twenty years. 
2KI.15.28	He did that which was evil in the 
2KI.15.29	In the days of Pekah king of Israel, Tiglath Pileser king of Assyria came and took Ijon, Abel Beth Maacah, Janoah, Kedesh, Hazor, Gilead, and Galilee, all the land of Naphtali; and he carried them captive to Assyria. 
2KI.15.30	Hoshea the son of Elah made a conspiracy against Pekah the son of Remaliah, attacked him, killed him, and reigned in his place, in the twentieth year of Jotham the son of Uzziah. 
2KI.15.31	Now the rest of the acts of Pekah, and all that he did, behold, they are written in the book of the chronicles of the kings of Israel.
2KI.15.32	In the second year of Pekah the son of Remaliah king of Israel, Jotham the son of Uzziah king of Judah began to reign. 
2KI.15.33	He was twenty-five years old when he began to reign, and he reigned sixteen years in Jerusalem. His mother’s name was Jerusha the daughter of Zadok. 
2KI.15.34	He did that which was right in the 
2KI.15.35	However the high places were not taken away. The people still sacrificed and burnt incense in the high places. He built the upper gate of the 
2KI.15.36	Now the rest of the acts of Jotham, and all that he did, aren’t they written in the book of the chronicles of the kings of Judah? 
2KI.15.37	In those days, the 
2KI.15.38	Jotham slept with his fathers, and was buried with his fathers in his father David’s city, and Ahaz his son reigned in his place.
2KI.16.1	In the seventeenth year of Pekah the son of Remaliah, Ahaz the son of Jotham king of Judah began to reign. 
2KI.16.2	Ahaz was twenty years old when he began to reign, and he reigned sixteen years in Jerusalem. He didn’t do that which was right in the 
2KI.16.3	But he walked in the way of the kings of Israel, yes, and made his son to pass through the fire, according to the abominations of the nations whom the 
2KI.16.4	He sacrificed and burnt incense in the high places, on the hills, and under every green tree. 
2KI.16.5	Then Rezin king of Syria and Pekah son of Remaliah king of Israel came up to Jerusalem to wage war. They besieged Ahaz, but could not overcome him. 
2KI.16.6	At that time Rezin king of Syria recovered Elath to Syria, and drove the Jews from Elath; and the Syrians came to Elath, and lived there, to this day. 
2KI.16.7	So Ahaz sent messengers to Tiglath Pileser king of Assyria, saying, “I am your servant and your son. Come up and save me out of the hand of the king of Syria, and out of the hand of the king of Israel, who rise up against me.” 
2KI.16.8	Ahaz took the silver and gold that was found in the 
2KI.16.9	The king of Assyria listened to him; and the king of Assyria went up against Damascus, and took it, and carried its people captive to Kir, and killed Rezin. 
2KI.16.10	King Ahaz went to Damascus to meet Tiglath Pileser king of Assyria, and saw the altar that was at Damascus; and king Ahaz sent to Urijah the priest a drawing of the altar and plans to build it. 
2KI.16.11	Urijah the priest built an altar. According to all that king Ahaz had sent from Damascus, so Urijah the priest made it for the coming of king Ahaz from Damascus. 
2KI.16.12	When the king had come from Damascus, the king saw the altar; and the king came near to the altar, and offered on it. 
2KI.16.13	He burnt his burnt offering and his meal offering, poured his drink offering, and sprinkled the blood of his peace offerings on the altar. 
2KI.16.14	The bronze altar, which was before the 
2KI.16.15	King Ahaz commanded Urijah the priest, saying, “On the great altar burn the morning burnt offering, the evening meal offering, the king’s burnt offering, his meal offering, with the burnt offering of all the people of the land, their meal offering, and their drink offerings; and sprinkle on it all the blood of the burnt offering, and all the blood of the sacrifice; but the bronze altar will be for me to enquire by.” 
2KI.16.16	Urijah the priest did so, according to all that king Ahaz commanded. 
2KI.16.17	King Ahaz cut off the panels of the bases, and removed the basin from off them, and took down the sea from off the bronze oxen that were under it, and put it on a pavement of stone. 
2KI.16.18	He removed the covered way for the Sabbath that they had built in the house, and the king’s entry outside to the 
2KI.16.19	Now the rest of the acts of Ahaz which he did, aren’t they written in the book of the chronicles of the kings of Judah? 
2KI.16.20	Ahaz slept with his fathers, and was buried with his fathers in David’s city, and Hezekiah his son reigned in his place.
2KI.17.1	In the twelfth year of Ahaz king of Judah, Hoshea the son of Elah began to reign in Samaria over Israel for nine years. 
2KI.17.2	He did that which was evil in the 
2KI.17.3	Shalmaneser king of Assyria came up against him, and Hoshea became his servant, and brought him tribute. 
2KI.17.4	The king of Assyria found conspiracy in Hoshea; for he had sent messengers to So king of Egypt, and offered no tribute to the king of Assyria, as he had done year by year. Therefore the king of Assyria seized him, and bound him in prison. 
2KI.17.5	Then the king of Assyria came up throughout all the land, went up to Samaria, and besieged it three years. 
2KI.17.6	In the ninth year of Hoshea the king of Assyria took Samaria, and carried Israel away to Assyria, and placed them in Halah, and on the Habor, the river of Gozan, and in the cities of the Medes. 
2KI.17.7	It was so because the children of Israel had sinned against the 
2KI.17.8	and walked in the statutes of the nations whom the 
2KI.17.9	The children of Israel secretly did things that were not right against the 
2KI.17.10	and they set up for themselves pillars and Asherah poles on every high hill, and under every green tree; 
2KI.17.11	and there they burnt incense in all the high places, as the nations whom the 
2KI.17.12	and they served idols, of which the 
2KI.17.13	Yet the 
2KI.17.14	Notwithstanding, they would not listen, but hardened their neck, like the neck of their fathers, who didn’t believe in the 
2KI.17.15	They rejected his statutes, and his covenant that he made with their fathers, and his testimonies which he testified to them; and they followed vanity, and became vain, and followed the nations that were around them, concerning whom the 
2KI.17.16	They abandoned all the commandments of the 
2KI.17.17	They caused their sons and their daughters to pass through the fire, used divination and enchantments, and sold themselves to do that which was evil in the 
2KI.17.18	Therefore the 
2KI.17.19	Also Judah didn’t keep the commandments of the 
2KI.17.20	The 
2KI.17.21	For he tore Israel from David’s house; and they made Jeroboam the son of Nebat king; and Jeroboam drove Israel from following the 
2KI.17.22	The children of Israel walked in all the sins of Jeroboam which he did; they didn’t depart from them 
2KI.17.23	until the 
2KI.17.24	The king of Assyria brought men from Babylon, from Cuthah, from Avva, and from Hamath and Sepharvaim, and placed them in the cities of Samaria instead of the children of Israel; and they possessed Samaria, and lived in its cities. 
2KI.17.25	So it was, at the beginning of their dwelling there, that they didn’t fear the 
2KI.17.26	Therefore they spoke to the king of Assyria, saying, “The nations which you have carried away and placed in the cities of Samaria don’t know the law of the god of the land. Therefore he has sent lions amongst them, and behold, they kill them, because they don’t know the law of the god of the land.”
2KI.17.27	Then the king of Assyria commanded, saying, “Carry there one of the priests whom you brought from there; and let them go and dwell there, and let him teach them the law of the god of the land.”
2KI.17.28	So one of the priests whom they had carried away from Samaria came and lived in Bethel, and taught them how they should fear the 
2KI.17.29	However every nation made gods of their own, and put them in the houses of the high places which the Samaritans had made, every nation in their cities in which they lived. 
2KI.17.30	The men of Babylon made Succoth Benoth, and the men of Cuth made Nergal, and the men of Hamath made Ashima, 
2KI.17.31	and the Avvites made Nibhaz and Tartak; and the Sepharvites burnt their children in the fire to Adrammelech and Anammelech, the gods of Sepharvaim. 
2KI.17.32	So they feared the 
2KI.17.33	They feared the 
2KI.17.34	To this day they do what they did before. They don’t fear the 
2KI.17.35	with whom the 
2KI.17.36	but you shall fear the 
2KI.17.37	The statutes and the ordinances, and the law and the commandment, which he wrote for you, you shall observe to do forever more. You shall not fear other gods. 
2KI.17.38	You shall not forget the covenant that I have made with you. You shall not fear other gods. 
2KI.17.39	But you shall fear the 
2KI.17.40	However they didn’t listen, but they did what they did before. 
2KI.17.41	So these nations feared the 
2KI.18.1	Now in the third year of Hoshea son of Elah king of Israel, Hezekiah the son of Ahaz king of Judah began to reign. 
2KI.18.2	He was twenty-five years old when he began to reign, and he reigned twenty-nine years in Jerusalem. His mother’s name was Abi the daughter of Zechariah. 
2KI.18.3	He did that which was right in the 
2KI.18.4	He removed the high places, and broke the pillars, and cut down the Asherah. He also broke in pieces the bronze serpent that Moses had made, because in those days the children of Israel burnt incense to it; and he called it Nehushtan. 
2KI.18.5	He trusted in the 
2KI.18.6	For he joined with the 
2KI.18.7	The 
2KI.18.8	He struck the Philistines to Gaza and its borders, from the tower of the watchmen to the fortified city.
2KI.18.9	In the fourth year of king Hezekiah, which was the seventh year of Hoshea son of Elah king of Israel, Shalmaneser king of Assyria came up against Samaria, and besieged it. 
2KI.18.10	At the end of three years they took it. In the sixth year of Hezekiah, which was the ninth year of Hoshea king of Israel, Samaria was taken. 
2KI.18.11	The king of Assyria carried Israel away to Assyria, and put them in Halah, and on the Habor, the river of Gozan, and in the cities of the Medes, 
2KI.18.12	because they didn’t obey the 
2KI.18.13	Now in the fourteenth year of king Hezekiah, Sennacherib king of Assyria came up against all the fortified cities of Judah, and took them. 
2KI.18.14	Hezekiah king of Judah sent to the king of Assyria to Lachish, saying, “I have offended you. Return from me. That which you put on me, I will bear.” The king of Assyria appointed to Hezekiah king of Judah three hundred talents of silver and thirty talents
2KI.18.15	Hezekiah gave him all the silver that was found in the 
2KI.18.16	At that time, Hezekiah cut off the gold from the doors of the 
2KI.18.17	The king of Assyria sent Tartan and Rabsaris and Rabshakeh from Lachish to king Hezekiah with a great army to Jerusalem. They went up and came to Jerusalem. When they had come up, they came and stood by the conduit of the upper pool, which is in the highway of the fuller’s field. 
2KI.18.18	When they had called to the king, Eliakim the son of Hilkiah, who was over the household, and Shebnah the scribe, and Joah the son of Asaph the recorder came out to them. 
2KI.18.19	Rabshakeh said to them, “Say now to Hezekiah, ‘The great king, the king of Assyria, says, “What confidence is this in which you trust? 
2KI.18.20	You say (but they are but vain words), ‘There is counsel and strength for war.’ Now on whom do you trust, that you have rebelled against me? 
2KI.18.21	Now, behold, you trust in the staff of this bruised reed, even in Egypt. If a man leans on it, it will go into his hand, and pierce it. So is Pharaoh king of Egypt to all who trust on him. 
2KI.18.22	But if you tell me, ‘We trust in the 
2KI.18.23	Now therefore, please give pledges to my master the king of Assyria, and I will give you two thousand horses, if you are able on your part to set riders on them. 
2KI.18.24	How then can you turn away the face of one captain of the least of my master’s servants, and put your trust on Egypt for chariots and for horsemen? 
2KI.18.25	Have I now come up without the 
2KI.18.26	Then Eliakim the son of Hilkiah, Shebnah, and Joah, said to Rabshakeh, “Please speak to your servants in the Syrian language, for we understand it. Don’t speak with us in the Jews’ language, in the hearing of the people who are on the wall.”
2KI.18.27	But Rabshakeh said to them, “Has my master sent me to your master and to you, to speak these words? Hasn’t he sent me to the men who sit on the wall, to eat their own dung, and to drink their own urine with you?” 
2KI.18.28	Then Rabshakeh stood, and cried with a loud voice in the Jews’ language, and spoke, saying, “Hear the word of the great king, the king of Assyria. 
2KI.18.29	The king says, ‘Don’t let Hezekiah deceive you; for he will not be able to deliver you out of his hand. 
2KI.18.30	Don’t let Hezekiah make you trust in the 
2KI.18.31	Don’t listen to Hezekiah.’ For the king of Assyria says, ‘Make your peace with me, and come out to me; and everyone of you eat from his own vine, and everyone from his own fig tree, and everyone drink water from his own cistern; 
2KI.18.32	until I come and take you away to a land like your own land, a land of grain and new wine, a land of bread and vineyards, a land of olive trees and of honey, that you may live, and not die. Don’t listen to Hezekiah, when he persuades you, saying, “The 
2KI.18.33	Has any of the gods of the nations ever delivered his land out of the hand of the king of Assyria? 
2KI.18.34	Where are the gods of Hamath, and of Arpad? Where are the gods of Sepharvaim, of Hena, and Ivvah? Have they delivered Samaria out of my hand? 
2KI.18.35	Who are they amongst all the gods of the countries, that have delivered their country out of my hand, that the 
2KI.18.36	But the people stayed quiet, and answered him not a word; for the king’s commandment was, “Don’t answer him.” 
2KI.18.37	Then Eliakim the son of Hilkiah, who was over the household, came with Shebna the scribe, and Joah the son of Asaph the recorder, to Hezekiah with their clothes torn, and told him Rabshakeh’s words.
2KI.19.1	When king Hezekiah heard it, he tore his clothes, covered himself with sackcloth, and went into the 
2KI.19.2	He sent Eliakim, who was over the household, Shebna the scribe, and the elders of the priests, covered with sackcloth, to Isaiah the prophet the son of Amoz. 
2KI.19.3	They said to him, “Hezekiah says, ‘Today is a day of trouble, of rebuke, and of rejection; for the children have come to the point of birth, and there is no strength to deliver them. 
2KI.19.4	It may be the 
2KI.19.5	So the servants of king Hezekiah came to Isaiah. 
2KI.19.6	Isaiah said to them, “Tell your master this: ‘The 
2KI.19.7	Behold, I will put a spirit in him, and he will hear news, and will return to his own land. I will cause him to fall by the sword in his own land.”’”
2KI.19.8	So Rabshakeh returned and found the king of Assyria warring against Libnah; for he had heard that he had departed from Lachish. 
2KI.19.9	When he heard it said of Tirhakah king of Ethiopia, “Behold, he has come out to fight against you, he sent messengers again to Hezekiah, saying, 
2KI.19.10	‘Tell Hezekiah king of Judah this: “Don’t let your God in whom you trust deceive you, saying, Jerusalem will not be given into the hand of the king of Assyria. 
2KI.19.11	Behold, you have heard what the kings of Assyria have done to all lands, by destroying them utterly. Will you be delivered? 
2KI.19.12	Have the gods of the nations delivered them, which my fathers have destroyed, Gozan, Haran, Rezeph, and the children of Eden who were in Telassar? 
2KI.19.13	Where is the king of Hamath, the king of Arpad, and the king of the city of Sepharvaim, of Hena, and Ivvah?”’”
2KI.19.14	Hezekiah received the letter from the hand of the messengers and read it. Then Hezekiah went up to the 
2KI.19.15	Hezekiah prayed before the 
2KI.19.16	Incline your ear, 
2KI.19.17	Truly, 
2KI.19.18	and have cast their gods into the fire; for they were no gods, but the work of men’s hands, wood and stone. Therefore they have destroyed them. 
2KI.19.19	Now therefore, 
2KI.19.20	Then Isaiah the son of Amoz sent to Hezekiah, saying, “The 
2KI.19.21	This is the word that the 
2KI.19.22	Whom have you defied and blasphemed? Against whom have you exalted your voice and lifted up your eyes on high? Against the Holy One of Israel! 
2KI.19.23	By your messengers, you have defied the Lord, and have said, “With the multitude of my chariots, I have come up to the height of the mountains, to the innermost parts of Lebanon, and I will cut down its tall cedars and its choice cypress trees; and I will enter into his farthest lodging place, the forest of his fruitful field. 
2KI.19.24	I have dug and drunk strange waters, and I will dry up all the rivers of Egypt with the sole of my feet.” 
2KI.19.25	Haven’t you heard how I have done it long ago, and formed it of ancient times? Now I have brought it to pass, that it should be yours to lay waste fortified cities into ruinous heaps. 
2KI.19.26	Therefore their inhabitants had little power. They were dismayed and confounded. They were like the grass of the field, and like the green herb, like the grass on the housetops, and like grain blasted before it has grown up. 
2KI.19.27	But I know your sitting down, your going out, your coming in, and your raging against me. 
2KI.19.28	Because of your raging against me, and because your arrogance has come up into my ears, therefore I will put my hook in your nose, and my bridle in your lips, and I will turn you back by the way by which you came.’
2KI.19.29	“This will be the sign to you: This year, you will eat that which grows of itself, and in the second year that which springs from that; and in the third year sow, and reap, and plant vineyards, and eat its fruit. 
2KI.19.30	The remnant that has escaped of the house of Judah will again take root downward, and bear fruit upward. 
2KI.19.31	For out of Jerusalem a remnant will go out, and out of Mount Zion those who shall escape. The 
2KI.19.32	“Therefore the 
2KI.19.33	He will return the same way that he came, and he will not come to this city,’ says the 
2KI.19.34	‘For I will defend this city to save it, for my own sake, and for my servant David’s sake.’”
2KI.19.35	That night, the 
2KI.19.36	So Sennacherib king of Assyria departed, and went and returned, and lived at Nineveh. 
2KI.19.37	As he was worshipping in the house of Nisroch his god, Adrammelech and Sharezer struck him with the sword; and they escaped into the land of Ararat. Esar Haddon his son reigned in his place.
2KI.20.1	In those days Hezekiah was sick and dying. Isaiah the prophet the son of Amoz came to him, and said to him, “The 
2KI.20.2	Then he turned his face to the wall, and prayed to the 
2KI.20.3	“Remember now, 
2KI.20.4	Before Isaiah had gone out into the middle part of the city, the 
2KI.20.5	“Turn back, and tell Hezekiah the prince of my people, ‘The 
2KI.20.6	I will add to your days fifteen years. I will deliver you and this city out of the hand of the king of Assyria. I will defend this city for my own sake, and for my servant David’s sake.”’”
