LKA.1.1	Many have undertaken to draw up an account of the things that have been fulfilled
LKA.31.40	They told Aaron, ‘Make us gods who will go before us. As for this fellow Moses who led us out of Egypt — we donʼt know what has happened to him!’
LKA.31.41	That was the time they made an idol in the form of a calf. They brought sacrifices to it and reveled in what their own hands had made. 
LKA.31.42	But God turned away from them and gave them over to the worship of the sun, moon and stars. This agrees with what is written in the book of the prophets:
LKA.31.42	“ ‘Did you bring me sacrifices and offerings
LKA.31.42	forty years in the wilderness, people of Israel?
LKA.31.43	You have taken up the tabernacle of Molek
LKA.31.43	and the star of your god Rephan,
LKA.31.43	the idols you made to worship.
LKA.31.43	Therefore I will send you into exile’
LKA.31.44	“Our ancestors had the tabernacle of the covenant law with them in the wilderness. It had been made as God directed Moses, according to the pattern he had seen. 
LKA.31.45	After receiving the tabernacle, our ancestors under Joshua brought it with them when they took the land from the nations God drove out before them. It remained in the land until the time of David, 
LKA.31.46	who enjoyed Godʼs favor and asked that he might provide a dwelling place for the God of Jacob.
LKA.31.47	But it was Solomon who built a house for him.
LKA.31.48	“However, the Most High does not live in houses made by human hands. As the prophet says:
LKA.31.49	“ ‘Heaven is my throne,
LKA.31.49	and the earth is my footstool.
LKA.31.49	What kind of house will you build for me?
LKA.31.49	says the Lord.
LKA.31.49	Or where will my resting place be?
LKA.31.50	Has not my hand made all these things?’
LKA.31.51	“You stiff-necked people! Your hearts and ears are still uncircumcised. You are just like your ancestors: You always resist the Holy Spirit! 
LKA.31.52	Was there ever a prophet your ancestors did not persecute? They even killed those who predicted the coming of the Righteous One. And now you have betrayed and murdered him —  
LKA.31.53	you who have received the law that was given through angels but have not obeyed it.”
LKA.31.54	When the members of the Sanhedrin heard this, they were furious and gnashed their teeth at him. 
LKA.31.55	But Stephen, full of the Holy Spirit, looked up to heaven and saw the glory of God, and Jesus standing at the right hand of God. 
LKA.31.56	“Look,” he said, “I see heaven open and the Son of Man standing at the right hand of God.”
LKA.31.57	At this they covered their ears and, yelling at the top of their voices, they all rushed at him, 
LKA.31.58	dragged him out of the city and began to stone him. Meanwhile, the witnesses laid their coats at the feet of a young man named Saul.
LKA.31.59	While they were stoning him, Stephen prayed, “Lord Jesus, receive my spirit.” 
LKA.31.60	Then he fell on his knees and cried out, “Lord, do not hold this sin against them.” When he had said this, he fell asleep.
LKA.32.1	And Saul approved of their killing him.
LKA.32.1	On that day a great persecution broke out against the church in Jerusalem, and all except the apostles were scattered throughout Judea and Samaria. 
LKA.32.2	Godly men buried Stephen and mourned deeply for him. 
LKA.32.3	But Saul began to destroy the church. Going from house to house, he dragged off both men and women and put them in prison.
LKA.32.4	Those who had been scattered preached the word wherever they went. 
LKA.32.5	Philip went down to a city in Samaria and proclaimed the Messiah there. 
LKA.32.6	When the crowds heard Philip and saw the signs he performed, they all paid close attention to what he said. 
LKA.32.7	For with shrieks, impure spirits came out of many, and many who were paralyzed or lame were healed. 
LKA.32.8	So there was great joy in that city.
LKA.32.9	Now for some time a man named Simon had practiced sorcery in the city and amazed all the people of Samaria. He boasted that he was someone great, 
LKA.32.10	and all the people, both high and low, gave him their attention and exclaimed, “This man is rightly called the Great Power of God.” 
LKA.32.11	They followed him because he had amazed them for a long time with his sorcery. 
LKA.32.12	But when they believed Philip as he proclaimed the good news of the kingdom of God and the name of Jesus Christ, they were baptized, both men and women. 
LKA.32.13	Simon himself believed and was baptized. And he followed Philip everywhere, astonished by the great signs and miracles he saw.
LKA.32.14	When the apostles in Jerusalem heard that Samaria had accepted the word of God, they sent Peter and John to Samaria. 
LKA.32.15	When they arrived, they prayed for the new believers there that they might receive the Holy Spirit, 
LKA.32.16	because the Holy Spirit had not yet come on any of them; they had simply been baptized in the name of the Lord Jesus. 
LKA.32.17	Then Peter and John placed their hands on them, and they received the Holy Spirit.
LKA.32.18	When Simon saw that the Spirit was given at the laying on of the apostlesʼ hands, he offered them money 
LKA.32.19	and said, “Give me also this ability so that everyone on whom I lay my hands may receive the Holy Spirit.”
LKA.32.20	Peter answered: “May your money perish with you, because you thought you could buy the gift of God with money! 
LKA.32.21	You have no part or share in this ministry, because your heart is not right before God. 
LKA.32.22	Repent of this wickedness and pray to the Lord in the hope that he may forgive you for having such a thought in your heart. 
LKA.32.23	For I see that you are full of bitterness and captive to sin.”
LKA.32.24	Then Simon answered, “Pray to the Lord for me so that nothing you have said may happen to me.”
LKA.32.25	After they had further proclaimed the word of the Lord and testified about Jesus, Peter and John returned to Jerusalem, preaching the gospel in many Samaritan villages.
LKA.32.26	Now an angel of the Lord said to Philip, “Go south to the road — the desert road — that goes down from Jerusalem to Gaza.” 
LKA.32.27	So he started out, and on his way he met an Ethiopian
LKA.32.28	and on his way home was sitting in his chariot reading the Book of Isaiah the prophet. 
LKA.32.29	The Spirit told Philip, “Go to that chariot and stay near it.”
LKA.32.30	Then Philip ran up to the chariot and heard the man reading Isaiah the prophet. “Do you understand what you are reading?” Philip asked.
LKA.32.31	“How can I,” he said, “unless someone explains it to me?” So he invited Philip to come up and sit with him.
LKA.32.32	This is the passage of Scripture the eunuch was reading:
LKA.32.32	“He was led like a sheep to the slaughter,
LKA.32.32	and as a lamb before its shearer is silent,
LKA.32.32	so he did not open his mouth.
LKA.32.33	In his humiliation he was deprived of justice.
LKA.32.33	Who can speak of his descendants?
LKA.32.33	For his life was taken from the earth.”
LKA.32.34	The eunuch asked Philip, “Tell me, please, who is the prophet talking about, himself or someone else?” 
LKA.32.35	Then Philip began with that very passage of Scripture and told him the good news about Jesus.
LKA.32.36	As they traveled along the road, they came to some water and the eunuch said, “Look, here is water. What can stand in the way of my being baptized?” 
LKA.32.38	And he gave orders to stop the chariot. Then both Philip and the eunuch went down into the water and Philip baptized him. 
LKA.32.39	When they came up out of the water, the Spirit of the Lord suddenly took Philip away, and the eunuch did not see him again, but went on his way rejoicing. 
LKA.32.40	Philip, however, appeared at Azotus and traveled about, preaching the gospel in all the towns until he reached Caesarea.
LKA.33.1	Meanwhile, Saul was still breathing out murderous threats against the Lordʼs disciples. He went to the high priest 
LKA.33.2	and asked him for letters to the synagogues in Damascus, so that if he found any there who belonged to the Way, whether men or women, he might take them as prisoners to Jerusalem. 
LKA.33.3	As he neared Damascus on his journey, suddenly a light from heaven flashed around him. 
LKA.33.4	He fell to the ground and heard a voice say to him, 
LKA.33.5	“Who are you, Lord?” Saul asked.
LKA.33.7	The men traveling with Saul stood there speechless; they heard the sound but did not see anyone. 
LKA.33.8	Saul got up from the ground, but when he opened his eyes he could see nothing. So they led him by the hand into Damascus. 
LKA.33.9	For three days he was blind, and did not eat or drink anything.
LKA.33.10	In Damascus there was a disciple named Ananias. The Lord called to him in a vision, 
LKA.33.10	“Yes, Lord,” he answered.
LKA.33.11	The Lord told him, 
LKA.33.13	“Lord,” Ananias answered, “I have heard many reports about this man and all the harm he has done to your holy people in Jerusalem. 
LKA.33.14	And he has come here with authority from the chief priests to arrest all who call on your name.”
LKA.33.15	But the Lord said to Ananias, 
LKA.33.17	Then Ananias went to the house and entered it. Placing his hands on Saul, he said, “Brother Saul, the Lord — Jesus, who appeared to you on the road as you were coming here — has sent me so that you may see again and be filled with the Holy Spirit.” 
LKA.33.18	Immediately, something like scales fell from Saulʼs eyes, and he could see again. He got up and was baptized, 
LKA.33.19	and after taking some food, he regained his strength.
LKA.33.19	Saul spent several days with the disciples in Damascus. 
LKA.33.20	At once he began to preach in the synagogues that Jesus is the Son of God. 
LKA.33.21	All those who heard him were astonished and asked, “Isnʼt he the man who raised havoc in Jerusalem among those who call on this name? And hasnʼt he come here to take them as prisoners to the chief priests?” 
LKA.33.22	Yet Saul grew more and more powerful and baffled the Jews living in Damascus by proving that Jesus is the Messiah.
LKA.33.23	After many days had gone by, there was a conspiracy among the Jews to kill him, 
LKA.33.24	but Saul learned of their plan. Day and night they kept close watch on the city gates in order to kill him. 
LKA.33.25	But his followers took him by night and lowered him in a basket through an opening in the wall.
LKA.33.26	When he came to Jerusalem, he tried to join the disciples, but they were all afraid of him, not believing that he really was a disciple. 
LKA.33.27	But Barnabas took him and brought him to the apostles. He told them how Saul on his journey had seen the Lord and that the Lord had spoken to him, and how in Damascus he had preached fearlessly in the name of Jesus. 
LKA.33.28	So Saul stayed with them and moved about freely in Jerusalem, speaking boldly in the name of the Lord. 
LKA.33.29	He talked and debated with the Hellenistic Jews,
LKA.33.30	When the believers learned of this, they took him down to Caesarea and sent him off to Tarsus.
LKA.33.31	Then the church throughout Judea, Galilee and Samaria enjoyed a time of peace and was strengthened. Living in the fear of the Lord and encouraged by the Holy Spirit, it increased in numbers.
LKA.33.32	As Peter traveled about the country, he went to visit the Lordʼs people who lived in Lydda. 
LKA.33.33	There he found a man named Aeneas, who was paralyzed and had been bedridden for eight years. 
LKA.33.34	“Aeneas,” Peter said to him, “Jesus Christ heals you. Get up and roll up your mat.” Immediately Aeneas got up. 
LKA.33.35	All those who lived in Lydda and Sharon saw him and turned to the Lord.
LKA.33.36	In Joppa there was a disciple named Tabitha (in Greek her name is Dorcas); she was always doing good and helping the poor. 
LKA.33.37	About that time she became sick and died, and her body was washed and placed in an upstairs room. 
LKA.33.38	Lydda was near Joppa; so when the disciples heard that Peter was in Lydda, they sent two men to him and urged him, “Please come at once!”
LKA.33.39	Peter went with them, and when he arrived he was taken upstairs to the room. All the widows stood around him, crying and showing him the robes and other clothing that Dorcas had made while she was still with them.
LKA.33.40	Peter sent them all out of the room; then he got down on his knees and prayed. Turning toward the dead woman, he said, “Tabitha, get up.” She opened her eyes, and seeing Peter she sat up. 
LKA.33.41	He took her by the hand and helped her to her feet. Then he called for the believers, especially the widows, and presented her to them alive. 
LKA.33.42	This became known all over Joppa, and many people believed in the Lord. 
LKA.33.43	Peter stayed in Joppa for some time with a tanner named Simon.
LKA.34.1	At Caesarea there was a man named Cornelius, a centurion in what was known as the Italian Regiment. 
LKA.34.2	He and all his family were devout and God-fearing; he gave generously to those in need and prayed to God regularly. 
LKA.34.3	One day at about three in the afternoon he had a vision. He distinctly saw an angel of God, who came to him and said, “Cornelius!”
LKA.34.4	Cornelius stared at him in fear. “What is it, Lord?” he asked.
LKA.34.4	The angel answered, “Your prayers and gifts to the poor have come up as a memorial offering before God. 
LKA.34.5	Now send men to Joppa to bring back a man named Simon who is called Peter. 
LKA.34.6	He is staying with Simon the tanner, whose house is by the sea.”
LKA.34.7	When the angel who spoke to him had gone, Cornelius called two of his servants and a devout soldier who was one of his attendants. 
LKA.34.8	He told them everything that had happened and sent them to Joppa.
LKA.34.9	About noon the following day as they were on their journey and approaching the city, Peter went up on the roof to pray. 
LKA.34.10	He became hungry and wanted something to eat, and while the meal was being prepared, he fell into a trance. 
LKA.34.11	He saw heaven opened and something like a large sheet being let down to earth by its four corners. 
LKA.34.12	It contained all kinds of four-footed animals, as well as reptiles and birds. 
LKA.34.13	Then a voice told him, 
LKA.34.14	“Surely not, Lord!” Peter replied. “I have never eaten anything impure or unclean.”
LKA.34.15	The voice spoke to him a second time, 
LKA.34.16	This happened three times, and immediately the sheet was taken back to heaven.
LKA.34.17	While Peter was wondering about the meaning of the vision, the men sent by Cornelius found out where Simonʼs house was and stopped at the gate. 
LKA.34.18	They called out, asking if Simon who was known as Peter was staying there.
LKA.34.19	While Peter was still thinking about the vision, the Spirit said to him, “Simon, three
LKA.34.20	So get up and go downstairs. Do not hesitate to go with them, for I have sent them.”
LKA.34.21	Peter went down and said to the men, “Iʼm the one youʼre looking for. Why have you come?”
LKA.34.22	The men replied, “We have come from Cornelius the centurion. He is a righteous and God-fearing man, who is respected by all the Jewish people. A holy angel told him to ask you to come to his house so that he could hear what you have to say.” 
LKA.34.23	Then Peter invited the men into the house to be his guests.
LKA.34.23	The next day Peter started out with them, and some of the believers from Joppa went along. 
LKA.34.24	The following day he arrived in Caesarea. Cornelius was expecting them and had called together his relatives and close friends. 
LKA.34.25	As Peter entered the house, Cornelius met him and fell at his feet in reverence. 
LKA.34.26	But Peter made him get up. “Stand up,” he said, “I am only a man myself.”
LKA.34.27	While talking with him, Peter went inside and found a large gathering of people. 
LKA.34.28	He said to them: “You are well aware that it is against our law for a Jew to associate with or visit a Gentile. But God has shown me that I should not call anyone impure or unclean. 
LKA.34.29	So when I was sent for, I came without raising any objection. May I ask why you sent for me?”
LKA.34.30	Cornelius answered: “Three days ago I was in my house praying at this hour, at three in the afternoon. Suddenly a man in shining clothes stood before me 
LKA.34.31	and said, ‘Cornelius, God has heard your prayer and remembered your gifts to the poor. 
LKA.34.32	Send to Joppa for Simon who is called Peter. He is a guest in the home of Simon the tanner, who lives by the sea.’ 
LKA.34.33	So I sent for you immediately, and it was good of you to come. Now we are all here in the presence of God to listen to everything the Lord has commanded you to tell us.”
LKA.34.34	Then Peter began to speak: “I now realize how true it is that God does not show favoritism 
LKA.34.35	but accepts from every nation the one who fears him and does what is right. 
LKA.34.36	You know the message God sent to the people of Israel, announcing the good news of peace through Jesus Christ, who is Lord of all. 
LKA.34.37	You know what has happened throughout the province of Judea, beginning in Galilee after the baptism that John preached —  
LKA.34.38	how God anointed Jesus of Nazareth with the Holy Spirit and power, and how he went around doing good and healing all who were under the power of the devil, because God was with him.
LKA.34.39	“We are witnesses of everything he did in the country of the Jews and in Jerusalem. They killed him by hanging him on a cross, 
LKA.34.40	but God raised him from the dead on the third day and caused him to be seen. 
LKA.34.41	He was not seen by all the people, but by witnesses whom God had already chosen — by us who ate and drank with him after he rose from the dead. 
LKA.34.42	He commanded us to preach to the people and to testify that he is the one whom God appointed as judge of the living and the dead. 
LKA.34.43	All the prophets testify about him that everyone who believes in him receives forgiveness of sins through his name.”
LKA.34.44	While Peter was still speaking these words, the Holy Spirit came on all who heard the message. 
LKA.34.45	The circumcised believers who had come with Peter were astonished that the gift of the Holy Spirit had been poured out even on Gentiles. 
LKA.34.46	For they heard them speaking in tongues
LKA.34.46	Then Peter said, 
LKA.34.47	“Surely no one can stand in the way of their being baptized with water. They have received the Holy Spirit just as we have.” 
LKA.34.48	So he ordered that they be baptized in the name of Jesus Christ. Then they asked Peter to stay with them for a few days.
LKA.35.1	The apostles and the believers throughout Judea heard that the Gentiles also had received the word of God. 
LKA.35.2	So when Peter went up to Jerusalem, the circumcised believers criticized him 
LKA.35.3	and said, “You went into the house of uncircumcised men and ate with them.”
LKA.35.4	Starting from the beginning, Peter told them the whole story: 
LKA.35.5	“I was in the city of Joppa praying, and in a trance I saw a vision. I saw something like a large sheet being let down from heaven by its four corners, and it came down to where I was. 
LKA.35.6	I looked into it and saw four-footed animals of the earth, wild beasts, reptiles and birds. 
LKA.35.7	Then I heard a voice telling me, 
LKA.35.8	“I replied, ‘Surely not, Lord! Nothing impure or unclean has ever entered my mouth.’
LKA.35.9	“The voice spoke from heaven a second time, 
LKA.35.10	This happened three times, and then it was all pulled up to heaven again.
LKA.35.11	“Right then three men who had been sent to me from Caesarea stopped at the house where I was staying. 
LKA.35.12	The Spirit told me to have no hesitation about going with them. These six brothers also went with me, and we entered the manʼs house. 
LKA.35.13	He told us how he had seen an angel appear in his house and say, ‘Send to Joppa for Simon who is called Peter. 
LKA.35.14	He will bring you a message through which you and all your household will be saved.’
LKA.35.15	“As I began to speak, the Holy Spirit came on them as he had come on us at the beginning. 
LKA.35.16	Then I remembered what the Lord had said: 
LKA.35.17	So if God gave them the same gift he gave us who believed in the Lord Jesus Christ, who was I to think that I could stand in Godʼs way?”
LKA.35.18	When they heard this, they had no further objections and praised God, saying, “So then, even to Gentiles God has granted repentance that leads to life.”
LKA.35.19	Now those who had been scattered by the persecution that broke out when Stephen was killed traveled as far as Phoenicia, Cyprus and Antioch, spreading the word only among Jews. 
LKA.35.20	Some of them, however, men from Cyprus and Cyrene, went to Antioch and began to speak to Greeks also, telling them the good news about the Lord Jesus. 
LKA.35.21	The Lordʼs hand was with them, and a great number of people believed and turned to the Lord.
LKA.35.22	News of this reached the church in Jerusalem, and they sent Barnabas to Antioch. 
LKA.35.23	When he arrived and saw what the grace of God had done, he was glad and encouraged them all to remain true to the Lord with all their hearts. 
LKA.35.24	He was a good man, full of the Holy Spirit and faith, and a great number of people were brought to the Lord.
LKA.35.25	Then Barnabas went to Tarsus to look for Saul, 
LKA.35.26	and when he found him, he brought him to Antioch. So for a whole year Barnabas and Saul met with the church and taught great numbers of people. The disciples were called Christians first at Antioch.
LKA.35.27	During this time some prophets came down from Jerusalem to Antioch. 
LKA.35.28	One of them, named Agabus, stood up and through the Spirit predicted that a severe famine would spread over the entire Roman world. (This happened during the reign of Claudius.) 
LKA.35.29	The disciples, as each one was able, decided to provide help for the brothers and sisters living in Judea. 
LKA.35.30	This they did, sending their gift to the elders by Barnabas and Saul.
LKA.36.1	It was about this time that King Herod arrested some who belonged to the church, intending to persecute them. 
LKA.36.2	He had James, the brother of John, put to death with the sword. 
LKA.36.3	When he saw that this met with approval among the Jews, he proceeded to seize Peter also. This happened during the Festival of Unleavened Bread. 
LKA.36.4	After arresting him, he put him in prison, handing him over to be guarded by four squads of four soldiers each. Herod intended to bring him out for public trial after the Passover.
LKA.36.5	So Peter was kept in prison, but the church was earnestly praying to God for him.
LKA.36.6	The night before Herod was to bring him to trial, Peter was sleeping between two soldiers, bound with two chains, and sentries stood guard at the entrance. 
LKA.36.7	Suddenly an angel of the Lord appeared and a light shone in the cell. He struck Peter on the side and woke him up. “Quick, get up!” he said, and the chains fell off Peterʼs wrists.
LKA.36.8	Then the angel said to him, “Put on your clothes and sandals.” And Peter did so. “Wrap your cloak around you and follow me,” the angel told him. 
LKA.36.9	Peter followed him out of the prison, but he had no idea that what the angel was doing was really happening; he thought he was seeing a vision. 
LKA.36.10	They passed the first and second guards and came to the iron gate leading to the city. It opened for them by itself, and they went through it. When they had walked the length of one street, suddenly the angel left him.
LKA.36.11	Then Peter came to himself and said, “Now I know without a doubt that the Lord has sent his angel and rescued me from Herodʼs clutches and from everything the Jewish people were hoping would happen.”
LKA.36.12	When this had dawned on him, he went to the house of Mary the mother of John, also called Mark, where many people had gathered and were praying. 
LKA.36.13	Peter knocked at the outer entrance, and a servant named Rhoda came to answer the door. 
LKA.36.14	When she recognized Peterʼs voice, she was so overjoyed she ran back without opening it and exclaimed, “Peter is at the door!”
LKA.36.15	“Youʼre out of your mind,” they told her. When she kept insisting that it was so, they said, “It must be his angel.”
LKA.36.16	But Peter kept on knocking, and when they opened the door and saw him, they were astonished. 
LKA.36.17	Peter motioned with his hand for them to be quiet and described how the Lord had brought him out of prison. “Tell James and the other brothers and sisters about this,” he said, and then he left for another place.
LKA.36.18	In the morning, there was no small commotion among the soldiers as to what had become of Peter. 
LKA.36.19	After Herod had a thorough search made for him and did not find him, he cross-examined the guards and ordered that they be executed.
LKA.36.19	Then Herod went from Judea to Caesarea and stayed there. 
LKA.36.20	He had been quarreling with the people of Tyre and Sidon; they now joined together and sought an audience with him. After securing the support of Blastus, a trusted personal servant of the king, they asked for peace, because they depended on the kingʼs country for their food supply.
LKA.36.21	On the appointed day Herod, wearing his royal robes, sat on his throne and delivered a public address to the people. 
LKA.36.22	They shouted, “This is the voice of a god, not of a man.” 
LKA.36.23	Immediately, because Herod did not give praise to God, an angel of the Lord struck him down, and he was eaten by worms and died.
LKA.36.24	But the word of God continued to spread and flourish.
LKA.36.25	When Barnabas and Saul had finished their mission, they returned from
LKA.37.1	Now in the church at Antioch there were prophets and teachers: Barnabas, Simeon called Niger, Lucius of Cyrene, Manaen (who had been brought up with Herod the tetrarch) and Saul. 
LKA.37.2	While they were worshiping the Lord and fasting, the Holy Spirit said, “Set apart for me Barnabas and Saul for the work to which I have called them.” 
LKA.37.3	So after they had fasted and prayed, they placed their hands on them and sent them off.
LKA.37.4	The two of them, sent on their way by the Holy Spirit, went down to Seleucia and sailed from there to Cyprus. 
LKA.37.5	When they arrived at Salamis, they proclaimed the word of God in the Jewish synagogues. John was with them as their helper.
LKA.37.6	They traveled through the whole island until they came to Paphos. There they met a Jewish sorcerer and false prophet named Bar-Jesus, 
LKA.37.7	who was an attendant of the proconsul, Sergius Paulus. The proconsul, an intelligent man, sent for Barnabas and Saul because he wanted to hear the word of God. 
LKA.37.8	But Elymas the sorcerer (for that is what his name means) opposed them and tried to turn the proconsul from the faith. 
LKA.37.9	Then Saul, who was also called Paul, filled with the Holy Spirit, looked straight at Elymas and said, 
LKA.37.10	“You are a child of the devil and an enemy of everything that is right! You are full of all kinds of deceit and trickery. Will you never stop perverting the right ways of the Lord? 
LKA.37.11	Now the hand of the Lord is against you. You are going to be blind for a time, not even able to see the light of the sun.”
LKA.37.11	Immediately mist and darkness came over him, and he groped about, seeking someone to lead him by the hand. 
LKA.37.12	When the proconsul saw what had happened, he believed, for he was amazed at the teaching about the Lord.
LKA.37.13	From Paphos, Paul and his companions sailed to Perga in Pamphylia, where John left them to return to Jerusalem. 
LKA.37.14	From Perga they went on to Pisidian Antioch. On the Sabbath they entered the synagogue and sat down. 
LKA.37.15	After the reading from the Law and the Prophets, the leaders of the synagogue sent word to them, saying, “Brothers, if you have a word of exhortation for the people, please speak.”
LKA.37.16	Standing up, Paul motioned with his hand and said: “Fellow Israelites and you Gentiles who worship God, listen to me! 
LKA.37.17	The God of the people of Israel chose our ancestors; he made the people prosper during their stay in Egypt; with mighty power he led them out of that country; 
LKA.37.18	for about forty years he endured their conduct
LKA.37.19	and he overthrew seven nations in Canaan, giving their land to his people as their inheritance. 
LKA.37.20	All this took about 450 years.
LKA.37.20	“After this, God gave them judges until the time of Samuel the prophet. 
LKA.37.21	Then the people asked for a king, and he gave them Saul son of Kish, of the tribe of Benjamin, who ruled forty years. 
LKA.37.22	After removing Saul, he made David their king. God testified concerning him: ‘I have found David son of Jesse, a man after my own heart; he will do everything I want him to do.’
LKA.37.23	“From this manʼs descendants God has brought to Israel the Savior Jesus, as he promised. 
LKA.37.24	Before the coming of Jesus, John preached repentance and baptism to all the people of Israel. 
LKA.37.25	As John was completing his work, he said: ‘Who do you suppose I am? I am not the one you are looking for. But there is one coming after me whose sandals I am not worthy to untie.’
LKA.37.26	“Fellow children of Abraham and you God-fearing Gentiles, it is to us that this message of salvation has been sent. 
LKA.37.27	The people of Jerusalem and their rulers did not recognize Jesus, yet in condemning him they fulfilled the words of the prophets that are read every Sabbath. 
LKA.37.28	Though they found no proper ground for a death sentence, they asked Pilate to have him executed. 
LKA.37.29	When they had carried out all that was written about him, they took him down from the cross and laid him in a tomb. 
LKA.37.30	But God raised him from the dead, 
LKA.37.31	and for many days he was seen by those who had traveled with him from Galilee to Jerusalem. They are now his witnesses to our people.
LKA.37.32	“We tell you the good news: What God promised our ancestors 
LKA.37.33	he has fulfilled for us, their children, by raising up Jesus. As it is written in the second Psalm:
LKA.37.33	“ ‘You are my son;
LKA.37.33	today I have become your father.’
LKA.37.34	God raised him from the dead so that he will never be subject to decay. As God has said,
LKA.37.34	“ ‘I will give you the holy and sure blessings promised to David.’
LKA.37.35	So it is also stated elsewhere:
LKA.37.35	“ ‘You will not let your holy one see decay.’
LKA.37.36	“Now when David had served Godʼs purpose in his own generation, he fell asleep; he was buried with his ancestors and his body decayed. 
LKA.37.37	But the one whom God raised from the dead did not see decay.
LKA.37.38	“Therefore, my friends, I want you to know that through Jesus the forgiveness of sins is proclaimed to you. 
LKA.37.39	Through him everyone who believes is set free from every sin, a justification you were not able to obtain under the law of Moses. 
LKA.37.40	Take care that what the prophets have said does not happen to you:
LKA.37.41	“ ‘Look, you scoffers,
LKA.37.41	wonder and perish,
LKA.37.41	for I am going to do something in your days
LKA.37.41	that you would never believe,
LKA.37.41	even if someone told you.’
LKA.37.42	As Paul and Barnabas were leaving the synagogue, the people invited them to speak further about these things on the next Sabbath. 
LKA.37.43	When the congregation was dismissed, many of the Jews and devout converts to Judaism followed Paul and Barnabas, who talked with them and urged them to continue in the grace of God.
LKA.37.44	On the next Sabbath almost the whole city gathered to hear the word of the Lord. 
LKA.37.45	When the Jews saw the crowds, they were filled with jealousy. They began to contradict what Paul was saying and heaped abuse on him.
LKA.37.46	Then Paul and Barnabas answered them boldly: “We had to speak the word of God to you first. Since you reject it and do not consider yourselves worthy of eternal life, we now turn to the Gentiles. 
LKA.37.47	For this is what the Lord has commanded us:
LKA.37.47	“ ‘I have made you
LKA.37.47	that you
LKA.37.48	When the Gentiles heard this, they were glad and honored the word of the Lord; and all who were appointed for eternal life believed.
LKA.37.49	The word of the Lord spread through the whole region. 
LKA.37.50	But the Jewish leaders incited the God-fearing women of high standing and the leading men of the city. They stirred up persecution against Paul and Barnabas, and expelled them from their region. 
LKA.37.51	So they shook the dust off their feet as a warning to them and went to Iconium. 
LKA.37.52	And the disciples were filled with joy and with the Holy Spirit.
LKA.38.1	At Iconium Paul and Barnabas went as usual into the Jewish synagogue. There they spoke so effectively that a great number of Jews and Greeks believed. 
LKA.38.2	But the Jews who refused to believe stirred up the other Gentiles and poisoned their minds against the brothers. 
LKA.38.3	So Paul and Barnabas spent considerable time there, speaking boldly for the Lord, who confirmed the message of his grace by enabling them to perform signs and wonders. 
LKA.38.4	The people of the city were divided; some sided with the Jews, others with the apostles. 
LKA.38.5	There was a plot afoot among both Gentiles and Jews, together with their leaders, to mistreat them and stone them. 
LKA.38.6	But they found out about it and fled to the Lycaonian cities of Lystra and Derbe and to the surrounding country, 
LKA.38.7	where they continued to preach the gospel.
LKA.38.8	In Lystra there sat a man who was lame. He had been that way from birth and had never walked. 
LKA.38.9	He listened to Paul as he was speaking. Paul looked directly at him, saw that he had faith to be healed 
LKA.38.10	and called out, “Stand up on your feet!” At that, the man jumped up and began to walk.
LKA.38.11	When the crowd saw what Paul had done, they shouted in the Lycaonian language, “The gods have come down to us in human form!” 
LKA.38.12	Barnabas they called Zeus, and Paul they called Hermes because he was the chief speaker. 
LKA.38.13	The priest of Zeus, whose temple was just outside the city, brought bulls and wreaths to the city gates because he and the crowd wanted to offer sacrifices to them.
LKA.38.14	But when the apostles Barnabas and Paul heard of this, they tore their clothes and rushed out into the crowd, shouting: 
LKA.38.15	“Friends, why are you doing this? We too are only human, like you. We are bringing you good news, telling you to turn from these worthless things to the living God, who made the heavens and the earth and the sea and everything in them. 
LKA.38.16	In the past, he let all nations go their own way. 
LKA.38.17	Yet he has not left himself without testimony: He has shown kindness by giving you rain from heaven and crops in their seasons; he provides you with plenty of food and fills your hearts with joy.” 
LKA.38.18	Even with these words, they had difficulty keeping the crowd from sacrificing to them.
LKA.38.19	Then some Jews came from Antioch and Iconium and won the crowd over. They stoned Paul and dragged him outside the city, thinking he was dead. 
LKA.38.20	But after the disciples had gathered around him, he got up and went back into the city. The next day he and Barnabas left for Derbe.
LKA.38.21	They preached the gospel in that city and won a large number of disciples. Then they returned to Lystra, Iconium and Antioch, 
LKA.38.22	strengthening the disciples and encouraging them to remain true to the faith. “We must go through many hardships to enter the kingdom of God,” they said. 
LKA.38.23	Paul and Barnabas appointed elders
LKA.38.24	After going through Pisidia, they came into Pamphylia, 
LKA.38.25	and when they had preached the word in Perga, they went down to Attalia.
LKA.38.26	From Attalia they sailed back to Antioch, where they had been committed to the grace of God for the work they had now completed. 
LKA.38.27	On arriving there, they gathered the church together and reported all that God had done through them and how he had opened a door of faith to the Gentiles. 
LKA.38.28	And they stayed there a long time with the disciples.
LKA.39.1	Certain people came down from Judea to Antioch and were teaching the believers: “Unless you are circumcised, according to the custom taught by Moses, you cannot be saved.” 
LKA.39.2	This brought Paul and Barnabas into sharp dispute and debate with them. So Paul and Barnabas were appointed, along with some other believers, to go up to Jerusalem to see the apostles and elders about this question. 
LKA.39.3	The church sent them on their way, and as they traveled through Phoenicia and Samaria, they told how the Gentiles had been converted. This news made all the believers very glad. 
LKA.39.4	When they came to Jerusalem, they were welcomed by the church and the apostles and elders, to whom they reported everything God had done through them.
