GEN.1.1	 In the beginning God created heaven and earth.
EXO.18.23	 If God commands you, and you do this, you will be able to continue your work, and all these people will have their disagreements settled so that they can go home.”
EXO.18.24	 Moses listened to his father-in-law and did everything he said. 
EXO.18.25	 Moses chose capable men from all the Israelites and put them in charge of groups of 1,000, or 100, or 50, or 10 people. 
EXO.18.26	 These men were the ones who usually settled disagreements among the people. They would bring difficult cases to Moses, but they settled all minor ones themselves.
EXO.18.27	 Moses sent his father-in-law on his way. So Jethro went back to his own country.
EXO.19.1	 Two months after the Israelites left Egypt, they came to the desert of Sinai. 
EXO.19.2	 Israel had moved from Rephidim and had come into the desert of Sinai. They had set up camp there in front of the mountain.
EXO.19.3	 Then Moses went up the mountain to God, and the L
EXO.19.4	 ‘You have seen for yourselves what I did to Egypt and how I carried you on eagles’ wings and brought you to my mountain. 
EXO.19.5	 If you carefully obey me and are faithful to the terms of my promise,
EXO.19.6	 You will be my kingdom of priests and my holy nation.’ These are the words you must speak to the Israelites.”
EXO.19.7	 So Moses went down and called for the leaders of the people. He repeated to them all the words that the L
EXO.19.8	 All the people answered together, “We will do everything the L
EXO.19.9	 The L
EXO.19.10	 So the L
EXO.19.11	 and be ready by the day after tomorrow. On that day the L
EXO.19.12	 Mark off a boundary around the mountain for the people, and tell them not to go up the mountain or even touch it. Those who touch the mountain must be put to death. 
EXO.19.13	 No one should touch them. They must be stoned or shot with arrows. No matter whether it’s an animal or a person, it must not live. The people may go up the mountain ⌊only⌋ when the ram’s horn sounds a long blast.”
EXO.19.14	 After Moses went down the mountain to the people, he had them get ready, and they washed their clothes. 
EXO.19.15	 Then Moses said to the people, “Be ready two days from now. Don’t disqualify yourselves by having sexual intercourse.”
EXO.19.16	 On the morning of the second day, there was thunder and lightning with a heavy cloud over the mountain, and a very loud blast from a ram’s horn ⌊was heard⌋. All the people in the camp shook with fear. 
EXO.19.17	 Then Moses led the people out of the camp to meet with God, and they stood at the foot of the mountain. 
EXO.19.18	 All of Mount Sinai was covered with smoke because the L
EXO.19.19	 As the sound of the horn grew louder and louder, Moses was speaking, and the voice of God answered him.
EXO.19.20	 The L
EXO.19.21	 The L
EXO.19.22	 Even the priests who are allowed to come near the L
EXO.19.23	 Moses said to the L
EXO.19.24	 The L
EXO.19.25	 So Moses went down to the people and told them.
EXO.20.1	 Then God spoke all these words:
EXO.20.2	 “I am the L
EXO.20.3	 “Never have any other god. 
EXO.20.4	 Never make your own carved idols or statues that represent any creature in the sky, on the earth, or in the water. 
EXO.20.5	 Never worship them or serve them, because I, the L
EXO.20.6	 But I show mercy to thousands of generations of those who love me and obey my commandments.
EXO.20.7	 “Never use the name of the L
EXO.20.8	 “Remember the day of worship by observing it as a holy day. 
EXO.20.9	 You have six days to do all your work. 
EXO.20.10	 The seventh day is the day of worship dedicated to the L
EXO.20.11	 In six days the L
EXO.20.12	 “Honor your father and your mother, so that you may live for a long time in the land the L
EXO.20.13	 “Never murder.
EXO.20.14	 “Never commit adultery.
EXO.20.15	 “Never steal.
EXO.20.16	 “Never lie when you testify about your neighbor.
EXO.20.17	 “Never desire to take your neighbor’s household away from him.
EXO.20.17	“Never desire to take your neighbor’s wife, his male or female slave, his ox, his donkey, or anything else that belongs to him.”
EXO.20.18	 All the people heard the thunder and saw the lightning. They heard the blast of the ram’s horn and saw the mountain covered with smoke. So they shook with fear and stood at a distance. 
EXO.20.19	 Then they said to Moses, “You speak to us, and we’ll listen. But don’t let God speak to us, or we’ll die!”
EXO.20.20	 Moses answered the people, “Don’t be afraid! God has come only to test you, so that you will be in awe of him and won’t sin.”
EXO.20.21	 The people kept their distance while Moses went closer to the dark cloud where God was.
EXO.20.22	 The L
EXO.20.23	 Never make any gods of silver or gold for yourselves. Never worship them.
EXO.20.24	 “You must build an altar for me made out of dirt. Sacrifice your burnt offerings and your fellowship offerings, your sheep, goats, and cattle on it. Wherever I choose to have my name remembered, I will come to you and bless you. 
EXO.20.25	 If you build an altar for me made out of stones, never make it with cut stone blocks. If you use a chisel on it, you will make it unacceptable to me. 
EXO.20.26	 Never use stairs to go up to my altar. Otherwise, people will be able to see under your clothes.”
EXO.21.1	 ⌊The L
EXO.21.2	 “Whenever you buy a Hebrew slave, he will be your slave for six years. In the seventh year he may leave as a free man, without paying for his freedom. 
EXO.21.3	 If he comes to you by himself, he must leave by himself. If he comes as a married man, his wife may leave with him. 
EXO.21.4	 If his master gives him a wife and she gives birth to sons or daughters, the wife and her children belong to the master, and the slave must leave by himself. 
EXO.21.5	 But if he makes this statement: ‘I hereby declare my love for my master, my wife, and my children. I don’t want to leave as a free man,’ 
EXO.21.6	 then his master must bring him to God. The master must bring him to the door or the doorframe and pierce his ear with an awl. Then he will be his slave for life.
EXO.21.7	 “Whenever a man sells his daughter into slavery, she will not go free the way male slaves do. 
EXO.21.8	 If she doesn’t please the master who has chosen her as a wife,
EXO.21.9	 But if he has chosen her for his son, he must treat her like a daughter. 
EXO.21.10	 If that son marries another woman, he must not deprive the first wife of food, clothes, or sex.
EXO.21.11	 If he doesn’t give her these three things, she can go free, without paying any money for her freedom.
EXO.21.12	 “Whoever strikes someone and kills him must be put to death. 
EXO.21.13	 If it wasn’t done intentionally, but God let it happen, the killer should flee to a place I will set aside for you. 
EXO.21.14	 But whenever someone becomes so angry that he plans to kill his neighbor, you must take him away from my altar and put him to death.
EXO.21.15	 “Whoever hits his father or mother must be put to death.
EXO.21.16	 “Whoever kidnaps another person must be put to death, whether he has sold the kidnapped person or still has him.
EXO.21.17	 “Whoever curses his father or mother must be put to death.
EXO.21.18	 “This is what you must do whenever men quarrel and one hits the other with a rock or with his fist and injures him so that he has to stay in bed. 
EXO.21.19	 If the injured man can get up again and walk around outside with a cane, the one who hit him must not be punished. He must pay the injured man for the loss of his time and for all his medical expenses.
EXO.21.20	 “Whenever an owner hits his male or female slave with a stick so that the slave dies from the beating, the owner must be punished. 
EXO.21.21	 But if the slave gets up in a day or two, the owner must not be punished. The slave is his property.
EXO.21.22	 “This is what you must do whenever men fight and injure a pregnant woman so that she gives birth prematurely. If there are no other injuries, the offender must pay whatever fine the court allows the woman’s husband to demand. 
EXO.21.23	 If anyone is injured, the offender must pay a life for a life, 
EXO.21.24	 an eye for an eye, a tooth for a tooth, a hand for a hand, a foot for a foot, 
EXO.21.25	 a burn for a burn, a bruise for a bruise, a wound for a wound.
EXO.21.26	 “Whenever an owner hits his male or female slave in the eye and the slave is blinded, he must let the slave go free to make up for the loss of the eye. 
EXO.21.27	 If the owner knocks out the tooth of his male or female slave, he must let the slave go free to make up for the loss of the tooth.
EXO.21.28	 “Whenever a bull gores a man or a woman to death, the bull must be stoned to death, and its meat may not be eaten. The bull’s owner is free from any liability. 
EXO.21.29	 But if the bull has had the habit of goring, and the owner has been warned but has not kept it confined, and it kills a man or a woman, then the bull must be stoned and its owner must be put to death, too. 
EXO.21.30	 However, if only a cash settlement is demanded from the owner, the bull’s owner may save his life by paying whatever price is demanded of him. 
EXO.21.31	 If the bull gores someone’s son or daughter, this same ruling applies. 
EXO.21.32	 If the bull gores a male or female slave, its owner must pay 12 ounces of silver to the slave’s master, and the bull must be stoned.
EXO.21.33	 “Whenever someone opens up a cistern or digs a new one and doesn’t cover it and a bull or a donkey falls into it, 
EXO.21.34	 the owner of the cistern must make up for the loss. He must pay money to the animal’s owner, and then the dead animal will be his.
EXO.21.35	 “Whenever one person’s bull kills another person’s bull, they must sell the live bull and divide the money between them. They must divide the dead bull, too. 
EXO.21.36	 However, if it was known that the bull had the habit of goring, and its owner didn’t keep it confined, the owner must make up for the loss—bull for bull—and then the dead bull will be his.”
EXO.22.1	 ⌊The L
EXO.22.2	 “If anyone catches a thief breaking in and hits him so that he dies, he is not guilty of murder. 
EXO.22.3	 But if it happens after sunrise, he is guilty of murder.
EXO.22.3	“A thief must make up for what he has stolen. If he is unable to do so, he must be sold ⌊as a slave⌋ to pay for what he stole. 
EXO.22.4	 But if the stolen animal is found alive in his possession, whether it’s a bull, donkey, or a sheep, he must make up for the loss with double the amount.
EXO.22.5	 “Whenever someone lets his livestock graze in a field or a vineyard, and they stray and graze in another person’s field, he must make up for what the damaged field was expected to produce. But if he lets them ruin the whole field with their grazing,
EXO.22.6	 “Whenever a fire starts and spreads into the underbrush so that it burns up stacked or standing grain or ruins a field, the person who started the fire must make up for the loss.
EXO.22.7	 “This is what you must do whenever someone gives his neighbor silver or ⌊other⌋ valuables to keep for him, and they are stolen from that person’s house: If the thief is caught, he must make up for the loss with double the amount. 
EXO.22.8	 If the thief is not caught, the owner of the house must be brought to God to find out whether or not he took his neighbor’s valuables. 
EXO.22.9	 If there is a dispute over the ownership of a bull, a donkey, a sheep, an article of clothing, or any ⌊other⌋ lost property which two people claim as their own, both people must bring their case to God. The one whom God declares guilty must make up for his neighbor’s loss with double the amount.
EXO.22.10	 “This is what you must do whenever someone gives his neighbor a donkey, a bull, a sheep, or any other kind of animal to keep for him, and it dies, is injured, or is captured in war, and there are no witnesses. 
EXO.22.11	 The case between them must be settled by swearing an oath to the L
EXO.22.12	 But if the animal was stolen from the neighbor, he must make up for the owner’s loss. 
EXO.22.13	 If it was killed by a wild animal, he must bring in the dead body as evidence. He doesn’t have to make up for an animal that has been killed.
EXO.22.14	 “Whenever someone borrows an animal from his neighbor, and it is injured or dies while the owner is not present, the borrower must make up for the loss. 
EXO.22.15	 If the owner is with the animal, the borrower doesn’t have to make up for the loss. If it is rented, the rental fee covers the loss.
EXO.22.16	 “Whenever a man seduces a virgin who is not engaged to anyone and has sexual intercourse with her, he must pay the bride-price and marry her. 
EXO.22.17	 If her father absolutely refuses to give her to him, he must pay an amount of money equal to the bride-price for virgins.
EXO.22.18	 “Never let a witch live.
EXO.22.19	 “Whoever has sexual intercourse with an animal must be put to death.
EXO.22.20	 “Whoever sacrifices to any god except the L
EXO.22.21	 “Never mistreat or oppress foreigners, because you were foreigners living in Egypt.
EXO.22.22	 “Never take advantage of any widow or orphan. 
EXO.22.23	 If you do and they cry out to me, you can be sure that I will hear their cry. 
EXO.22.24	 I will become angry and have you killed in combat. Then your wives and children will become widows and orphans.
EXO.22.25	 “If you lend money to my people—to any poor person among you—never act like a moneylender. Charge no interest. 
EXO.22.26	 If you take any of your neighbor’s clothes as collateral, give it back to him by sunset. 
EXO.22.27	 It may be the only clothes he has to cover his body. What else will he sleep in? When he cries out to me, I will listen because I am compassionate.
EXO.22.28	 “Never show disrespect for God or curse a leader of your people.
EXO.22.29	 “Never withhold your best wine 
EXO.22.29	“You must give me your firstborn son. 
EXO.22.30	 You must do the same with your cattle and your sheep. They will stay with their mothers seven days, but on the eighth day you must give them to me.
EXO.22.31	 “You must be my holy people. Never eat the meat of an animal that has been killed by wild animals out in the countryside. Throw it to the dogs.”
EXO.23.1	 ⌊The L
EXO.23.2	 Never follow a crowd in doing wrong. When you testify in court, don’t side with the majority to pervert justice. 
EXO.23.3	 Never give special favors to poor people in court.
EXO.23.4	 “Whenever you come across your enemy’s ox or donkey wandering loose, be sure to take it back to him. 
EXO.23.5	 Whenever you see that the donkey of someone who hates you has collapsed under its load, don’t leave it there. Be sure to help him with his animal.
EXO.23.6	 “Never deny justice to poor people in court. 
EXO.23.7	 Avoid telling lies. Don’t kill innocent or honest people, because I will never declare guilty people innocent. 
EXO.23.8	 Never take a bribe, because bribes blind those who can see and deny justice to those who are in the right.
EXO.23.9	 “Never oppress foreigners. You know what it’s like to be foreigners because you were foreigners living in Egypt.
EXO.23.10	 “For six years you may plant crops in your fields and harvest them, 
EXO.23.11	 but in the seventh year you must leave the land unplowed and unused. In that way the poor among your people will have food to eat, and wild animals may eat what the poor people leave. You must do the same with your vineyards and olive groves.
EXO.23.12	 “For six days you will do your work, but on the seventh day you must not work. Then your ox and donkey can rest. The slaves born in your household and foreigners will also be refreshed.
EXO.23.13	 “Be careful ⌊to do⌋ everything I told you.
EXO.23.13	“Never mention the names of other gods or let them be heard on your lips.
EXO.23.14	 “Three times a year you must celebrate a pilgrimage festival in my honor.
EXO.23.15	 “Celebrate the Festival of Unleavened Bread: For seven days you must eat unleavened bread, as I commanded you. Do this at the appointed time in the month of Abib, because that was when you left Egypt. No one may come into my presence without an offering.
EXO.23.16	 “Celebrate the Festival of the Harvest with the first produce harvested from whatever you plant in your fields.
EXO.23.16	“Celebrate the Festival of the Final Harvest at the end of the year when you harvest your crops from the fields.
EXO.23.17	 “These are the three times each year that all your men must come into the presence of the Master, the L
EXO.23.18	 “Never offer the blood of a sacrifice to me at the same time you offer anything containing yeast. The fat sacrificed at my festivals should never be left over in the morning.
EXO.23.19	 “You must bring the best of the first produce harvested from your soil to the house of the L
EXO.23.19	“Never cook a young goat in its mother’s milk.
EXO.23.20	 “I’m going to send a Messenger in front of you to protect you on your trip and bring you to the place I have prepared. 
EXO.23.21	 Pay attention to him, and listen to him. Don’t defy him, because he will not forgive your disobedience. He is acting on my authority. 
EXO.23.22	 But if you will listen to him and do everything I say, then I will be an enemy to your enemies and an opponent to your opponents.
EXO.23.23	 “My Messenger will go ahead of you and will bring you to ⌊the land of⌋ the Amorites, Hittites, Perizzites, Canaanites, Hivites, and Jebusites. I will wipe them out. 
EXO.23.24	 Never worship or serve their gods or follow their practices. Instead, you must destroy their gods and crush their sacred stones. 
EXO.23.25	 You must serve the L
EXO.23.26	 No woman in your land will miscarry or be unable to have children. I will let you live a normal life span.
EXO.23.27	 “I will send my terror ahead of you and throw any nation you meet into a panic. I will make all your enemies flee from you. 
EXO.23.28	 I will spread panic ahead of you to force the Hivites, Canaanites, and Hittites out of your way. 
EXO.23.29	 I will not force them out of your way in one year. Otherwise, the land would be deserted, and wild animals would take over. 
EXO.23.30	 Little by little I will force them out of your way until you have increased enough in number to take possession of the land.
EXO.23.31	 “I will establish your borders from the Red Sea to the Mediterranean Sea and from the Sinai Desert to the Euphrates River. I will put the people living in the land under your control, and you will force them out of your way. 
EXO.23.32	 Never make a treaty with them and their gods. 
EXO.23.33	 Never let them live in your land, or they will make you sin against me and trap you into serving their gods.”
EXO.24.1	 The L
EXO.24.2	 Moses may come near the L
EXO.24.3	 Moses went and told the people all the L
EXO.24.4	 So Moses wrote down all the L
EXO.24.4	Early the next morning he built an altar at the foot of the mountain and ⌊set up⌋ 12 sacred stones for the 12 tribes of Israel. 
EXO.24.5	 Then he sent young Israelite men, and they sacrificed bulls as burnt offerings and fellowship offerings to the L
EXO.24.6	 Moses took half of the blood and put it into bowls, and he threw the other half against the altar. 
EXO.24.7	 Then he took the Book of the L
EXO.24.8	 Moses took the blood and sprinkled it on the people and said, “Here is the blood which seals the promise that the L
EXO.24.9	 Moses went up with Aaron, Nadab, Abihu, and 70 of Israel’s leaders. 
EXO.24.10	 They saw the God of Israel. Under his feet was something like a pavement made out of sapphire as clear and blue as the sky itself. 
EXO.24.11	 God didn’t harm these leaders of the Israelites. So they saw God, and then they ate and drank.
EXO.24.12	 The L
EXO.24.13	 Moses set out with his assistant Joshua, and Moses went up on the mountain of God. 
EXO.24.14	 He said to the leaders, “Wait here for us until we come back to you. Aaron and Hur are here with you. Take all your disagreements to them.”
EXO.24.15	 So Moses went up on the mountain, and the cloud covered it. 
EXO.24.16	 The glory of the L
EXO.24.17	 To the Israelites, the glory of the L
EXO.24.18	 Moses entered the cloud as he went up the mountain. He stayed on the mountain 40 days and 40 nights.
EXO.25.1	 The L
EXO.25.2	 “Tell the Israelites to choose something to give me as a special contribution. You must accept whatever contribution each person freely gives. 
EXO.25.3	 This is the kind of contribution you will accept from them: gold, silver, and bronze, 
EXO.25.4	 violet, purple, and bright red yarn, fine linen, goats’ hair, 
EXO.25.5	 rams’ skins dyed red, fine leather,
EXO.25.6	 olive oil for the lamps, spices for the anointing oil and for the sweet-smelling incense, 
EXO.25.7	 onyx stones, and other precious stones to be set in the ⌊chief priest’s⌋ ephod 
EXO.25.8	 “Then have them make a holy place for me, and I will live among them. 
EXO.25.9	 Make the tent and all its furnishings exactly like the plans I am showing you.
EXO.25.10	 “Make an ark of acacia wood 45 inches long, 27 inches wide, and 27 inches high. 
EXO.25.11	 Cover it with pure gold inside and out, and put a gold molding around it. 
EXO.25.12	 Cast four gold rings for it, and fasten them to its four feet, two rings on each side. 
EXO.25.13	 Make poles of acacia wood, and cover them with gold. 
EXO.25.14	 Put the poles through the rings on the sides of the ark in order to carry it. 
EXO.25.15	 The poles must stay in the rings of the ark. Never remove them. 
EXO.25.16	 Then you will put into the ark the words of my promise which I will give you.
EXO.25.17	 “Make a throne of mercy to cover the ark out of pure gold 45 inches long and 27 inches wide. 
EXO.25.18	 Make two angels 
EXO.25.19	 one on each end. Form the angels and the throne of mercy out of one piece of gold. 
EXO.25.20	 The angels should have their wings spread above the throne of mercy, overshadowing it. They should face each other, looking at the throne of mercy. 
EXO.25.21	 After you put into the ark the words of my promise which I will give you, place the throne of mercy on top. 
EXO.25.22	 I will be above the throne of mercy between the angels whenever I meet with you and give you all my commands for the Israelites.
EXO.25.23	 “Make a table of acacia wood 36 inches long, 18 inches wide, and 27 inches high. 
EXO.25.24	 Cover it with pure gold, and put a gold molding around it. 
EXO.25.25	 Make a rim three inches wide around it, and put a gold molding around the rim. 
EXO.25.26	 Make four gold rings for it, and fasten them to the four corners, where the four legs are. 
EXO.25.27	 The rings are to be close to the rim. They are to hold the poles for carrying the table. 
EXO.25.28	 Make the poles out of acacia wood, cover them with gold, and use them to carry the table. 
EXO.25.29	 Make plates and dishes for the table out of pure gold, as well as pitchers and bowls to be used for pouring wine offerings. 
EXO.25.30	 Put the bread of the presence on this table so that it will be in front of me all the time.
EXO.25.31	 “Make a lamp stand out of pure gold. The lamp stand, its base, and its shaft, as well as the flower cups, buds, and petals must be hammered out of one piece of gold. 
EXO.25.32	 Six branches are to come out of the sides, three branches on one side and three on the other. 
EXO.25.33	 Each of the six branches coming out of the lamp stand is to have three flower cups shaped like almond blossoms, with buds and petals. 
EXO.25.34	 The lamp stand itself is to have four flower cups shaped like almond blossoms, with buds and petals. 
EXO.25.35	 There should be a bud under each of the three pairs of branches coming out of the lamp stand. 
EXO.25.36	 The buds and branches should also be hammered out of the same piece of pure gold as the lamp stand.
EXO.25.37	 “Make seven lamps, and set them on the lamp stand so that they light up ⌊the area⌋ in front of it. 
EXO.25.38	 The tongs and incense burners must be made of pure gold. 
EXO.25.39	 Use 75 pounds of pure gold to make the lamp stand and all the utensils. 
EXO.25.40	 Be sure to make them according to the plans you were shown on the mountain.”
EXO.26.1	 ⌊The L
EXO.26.2	 Each sheet will be 42 feet long and 6 feet wide—all the same size. 
EXO.26.3	 Five of the sheets must be sewn together, and the other five must also be sewn together. 
EXO.26.4	 Make 50 violet loops along the edge of the end sheet in each set, 
EXO.26.5	 placing the loops opposite each other. 
EXO.26.6	 Make 50 gold fasteners. Use them to link the ⌊two sets of⌋ sheets together so that the tent is a single unit.
EXO.26.7	 “Make 11 sheets of goats’ hair to form an outer tent over the inner tent. 
EXO.26.8	 Each of the 11 sheets will be 45 feet long and 6 feet wide. 
EXO.26.9	 Sew five of the sheets together into one set and the remaining six into another set. Fold the sixth sheet in half ⌊to hang⌋ in front of the tent. 
EXO.26.10	 Make 50 loops along the edge of the end sheet in each set. 
EXO.26.11	 Make 50 bronze fasteners, and put them through the loops to link the inner tent together as a single unit. 
EXO.26.12	 The remaining half-sheet should hang over the back of the inner tent. 
EXO.26.13	 There will be 18 inches left over on each side because of the length of the outer tent’s sheets. That part should hang over each side in order to cover the inner tent. 
EXO.26.14	 Make a cover of rams’ skins that have been dyed red for the outer tent. Over that put a cover made of fine leather.
EXO.26.15	 “Make a framework out of acacia wood for the inner tent. 
EXO.26.16	 Each frame is to be 15 feet long and 27 inches wide, 
EXO.26.17	 with two identical pegs. Make all the frames for the inner tent the same way. 
EXO.26.18	 Make 20 frames for the south side of the inner tent. 
EXO.26.19	 Then make 40 silver sockets at the bottom of the 20 frames, two sockets at the bottom of each frame for the two pegs. 
EXO.26.20	 For the north side of the inner tent ⌊make⌋ 20 frames 
EXO.26.21	 and 40 silver sockets, two at the bottom of each frame. 
EXO.26.22	 Make six frames for the far end, the west side. 
EXO.26.23	 Make two frames for ⌊each of⌋ the corners at the far end of the inner tent. 
EXO.26.24	 These will be held together at the bottom and held tightly at the top by a single ring.
EXO.26.25	 There will be eight frames with 16 silver sockets, two at the bottom of each frame.
EXO.26.26	 “Make crossbars out of acacia wood: five for the frames on one side of the inner tent, 
EXO.26.27	 five for those on the other side, and five for the frames on the far end of the inner tent, the west side. 
EXO.26.28	 The middle crossbar will run from one end to the other, halfway up the frames. 
EXO.26.29	 Cover the frames with gold, make gold rings to hold the crossbars, and cover the crossbars with gold.
EXO.26.30	 “Set up the inner tent according to the plans you were shown on the mountain.
EXO.26.31	 “Make a canopy of violet, purple, and bright red yarn. Creatively work an angel design into fine linen yarn. 
EXO.26.32	 Use gold hooks to hang it on four posts of acacia wood covered with gold, standing in four silver sockets. 
EXO.26.33	 Hang the canopy from the fasteners in the ceiling, and put the ark containing the words of my promise under it. The canopy will mark off the most holy place from the holy place. 
EXO.26.34	 Put the throne of mercy that is on the ark in the most holy place.
EXO.26.35	 “Place the table outside the canopy on the north side of the inner tent, and put the lamp stand opposite the table on the south side.
EXO.26.36	 “For the entrance of the outer tent, make a screen out of fine linen yarn, embroidered with violet, purple, and bright red yarn. 
EXO.26.37	 Make five posts of acacia wood for the screen and cover them with gold. Make gold hooks for this screen. Cast five bronze bases for the posts.”
EXO.27.1	 ⌊The L
EXO.27.2	 Make a horn at each of its four corners. The four horns and the altar must be made out of one piece ⌊of wood⌋ covered with bronze.
EXO.27.3	 “Make all the utensils for it out of bronze: pots for taking away the altar’s ashes, also shovels, bowls, forks, and incense burners.
EXO.27.4	 “Make a grate for it out of bronze mesh, and make a bronze ring for ⌊each of⌋ the four corners of the grate. 
EXO.27.5	 Put the grate under the ledge of the altar so that it comes halfway up the altar.
EXO.27.6	 “Make poles out of acacia wood for the altar, and cover them with bronze. 
EXO.27.7	 The poles should be put through the rings on both sides of the altar to carry it.
EXO.27.8	 “Make the altar out of boards so that it’s hollow inside. It must be made just as you were shown on the mountain.
EXO.27.9	 “Make a courtyard for the tent. The south side of the courtyard should be 150 feet long and have curtains made out of fine linen yarn, 
EXO.27.10	 ⌊hung⌋ on 20 posts ⌊set in⌋ 20 bronze bases. The hooks and bands on the posts should be made of silver. 
EXO.27.11	 The north side should be the same: 150 feet long, with curtains on 20 posts set in 20 bronze bases. The hooks and bands on the posts should be made of silver.
EXO.27.12	 “The courtyard on the west end should be 75 feet wide and have curtains ⌊hung⌋ on ten posts ⌊set in⌋ ten bases. 
EXO.27.13	 On the east end, facing the rising sun, the courtyard should also be 75 feet wide.
EXO.27.14+EXO.27.15	 Each side ⌊of the entrance⌋ will be 22½ feet wide with curtains ⌊hung on⌋ three posts ⌊set in⌋ three bases.
EXO.27.16	 “The entrance to the courtyard must have a 30-foot screen made from fine linen yarn, embroidered with violet, purple, and bright red yarn, ⌊hung⌋ on four posts ⌊set in⌋ four bases. 
EXO.27.17	 All the posts around the courtyard should have silver bands, silver hooks, and bronze bases. 
EXO.27.18	 The courtyard should be 150 feet long, 75 feet wide, and 7½ feet high, with ⌊curtains⌋ made of fine linen yarn and with bronze bases.
EXO.27.19	 “All the things for the tent, no matter how they’re used, including all the pegs for the tent and the courtyard, must be made of bronze.
EXO.27.20	 “For the lighting, you must command the Israelites to bring you pure, virgin olive oil so that the lamps won’t go out. 
EXO.27.21	 In the tent of meeting outside the canopy where the words of my promise are, Aaron and his descendants must keep the lamps lit in the L
EXO.28.1	 ⌊The L
EXO.28.2	 Make holy clothes for your brother Aaron to give him dignity and honor.
EXO.28.3	 “Tell all those who have the skill—those to whom I have given this ability—to make Aaron’s clothes. These clothes will set him apart as holy when he serves me as priest. 
EXO.28.4	 These are the clothes they will make: a breastplate, an ephod and the robe that is worn with it, another specially woven linen robe, the chief priest’s turban, and a cloth belt. They will make these holy clothes for your brother Aaron and his sons so that they can serve me as priests. 
EXO.28.5	 They must use gold, violet, purple, and bright red yarn, and fine linen.
EXO.28.6	 “Make the ephod out of fine linen yarn. Creatively work gold, violet, purple, and bright red yarn into the fabric. 
EXO.28.7	 It will have two shoulder straps attached at the ⌊top⌋ corners so that it can be fastened. 
EXO.28.8	 Make the belt that is attached to the ephod out of the same fabric. 
EXO.28.9	 Take two onyx stones, and engrave on them the names of the sons of Israel 
EXO.28.10	 in birth order—six of their names on one stone and the remaining six on the other. 
EXO.28.11	 Engrave the names of the sons of Israel on the two stones the same way a jeweler engraves a signet ring. Mount them in gold settings, 
EXO.28.12	 and fasten them on the shoulder straps of the ephod as reminders of who the Israelites are. In this way Aaron will carry their names on his shoulders as a reminder in the L
EXO.28.13	 Make gold settings 
EXO.28.14	 and two chains of pure gold, twisted like ropes, and fasten these chains to the settings.
EXO.28.15	 “Make the breastplate for decision-making as creatively as you make the ephod. Make it out of gold, violet, purple, and bright red yarn and out of fine linen yarn. 
EXO.28.16	 Fold it in half so that it’s 9 inches square. 
EXO.28.17	 Fasten four rows of precious stones on it. In the first row put red quartz, topaz, and emerald. 
EXO.28.18	 In the second row put turquoise, sapphire, and crystal. 
EXO.28.19	 In the third row put jacinth, agate, and amethyst. 
EXO.28.20	 In the fourth row put beryl, onyx, and gray quartz. Mount them in gold settings. 
EXO.28.21	 The stones correspond to the 12 sons of Israel, by name, each stone engraved (like a signet ring) with the name of one of the 12 tribes.
EXO.28.22	 “For the breastplate make chains out of pure gold, twisted like ropes. 
EXO.28.23	 Make two gold rings for the breastplate. Attach them to the two ⌊top⌋ corners of the breastplate. 
EXO.28.24	 Then fasten the two gold ropes to the rings at the ⌊top⌋ corners of the breastplate. 
EXO.28.25	 Fasten the other ends of the ropes to the two settings on the shoulder straps of the ephod ⌊so that the breastplate hangs⌋ in front of it. 
EXO.28.26	 Make two gold rings, and fasten them to the other two corners of the breastplate on the inside edge next to the ephod. 
EXO.28.27	 Make two ⌊more⌋ gold rings, and fasten them to the bottom of the shoulder straps on the front of the ephod. This will be close to the seam just above the belt of the ephod. 
EXO.28.28	 Then the breastplate should be fastened by its rings to the rings of the ephod with a violet cord. This will attach it just above the belt of the ephod and will hold the breastplate in place.
EXO.28.29	 “Whenever Aaron goes into the holy place, he will be carrying the names of the sons of Israel over his heart as a constant reminder in the L
EXO.28.30	 Put the Urim and Thummim 
EXO.28.31	 “Make the robe that is worn with the ephod entirely of violet material. 
EXO.28.32	 Make an opening for the head in the center with a reinforced edge (like a leather collar 
EXO.28.33	 All around the hem of the robe make pomegranates of violet, purple, and bright red yarn with gold bells in between—
EXO.28.34	 a gold bell alternating with a pomegranate all around the hem of the robe. 
EXO.28.35	 Aaron must wear it when he serves as priest. The sound of the bells must be heard when he comes into and goes out of the L
EXO.28.36	 “Make a flower-shaped medallion out of pure gold, and engrave on it (as on a signet ring): Holy to the L
EXO.28.37	 Fasten a violet cord to it, and tie it so that it’s on the front of the turban. 
EXO.28.38	 It will be on Aaron’s forehead. He’s the one to be blamed for anything done wrong when the Israelites bring their holy offerings—whatever their gifts may be. The medallion must always be on Aaron’s forehead so that the L
EXO.28.39	 “Make the specially woven inner robe of fine linen. Make the turban of fine linen, but the belt should be embroidered with colored yarn.
EXO.28.40	 “Also make linen robes, belts, and turbans for Aaron’s sons. These clothes will give them dignity and honor. 
EXO.28.41	 Put these clothes on your brother Aaron and his sons, anoint them, ordain them, and set them apart to serve me as priests.
EXO.28.42	 “Make linen undergarments to cover them down to their thighs. 
EXO.28.43	 Aaron and his sons must wear them when they go into the tent of meeting or when they come near the altar to serve as priests in the holy place. Then they will be blameless and won’t die.
EXO.28.43	“This is a permanent law for him and his descendants.”
EXO.29.1	 ⌊The L
EXO.29.1	“Take a young bull that has no defects and two rams that have no defects. 
