GEN.1.1	In the beginning, when God created the universe,
JOS.1.8	Be sure that the book of the Law is always read in your worship. Study it day and night, and make sure that you obey everything written in it. Then you will be prosperous and successful. 
JOS.1.9	Remember that I have commanded you to be determined and confident! Do not be afraid or discouraged, for I, the 
JOS.1.10	Then Joshua ordered the leaders to 
JOS.1.11	go through the camp and say to the people, “Get some food ready, because in three days you are going to cross the Jordan River to occupy the land that the 
JOS.1.13	“Remember how the 
JOS.1.14	Your wives, your children, and your livestock will stay here, but your soldiers, armed for battle, will cross over ahead of the other Israelites in order to help them 
JOS.1.15	until they have occupied the land west of the Jordan that the 
JOS.1.16	They answered Joshua, “We will do everything you have told us and will go anywhere you send us. 
JOS.1.17	We will obey you, just as we always obeyed Moses, and may the 
JOS.1.18	Whoever questions your authority or disobeys any of your orders will be put to death. Be determined and confident!”
JOS.2.2	The king of Jericho heard that some Israelites had come that night to spy out the country, 
JOS.2.3	so he sent word to Rahab: “The men in your house have come to spy out the whole country! Bring them out!”
JOS.2.4+JOS.2.5+JOS.2.6	“Some men did come to my house,” she answered, “but I don't know where they were from. They left at sundown before the city gate was closed. I didn't find out where they were going, but if you start after them quickly, you can catch them.” (Now Rahab had taken the two spies up on the roof and hidden them under some stalks of flax that she had put there.) 
JOS.2.7	The king's men left the city, and then the gate was shut. They went looking for the Israelite spies as far as the place where the road crosses the Jordan.
JOS.2.8	Before the spies settled down for the night, Rahab went up on the roof 
JOS.2.9	and said to them, “I know that the 
JOS.2.10	 We have heard how the 
JOS.2.11	We were afraid as soon as we heard about it; we have all lost our courage because of you. The 
JOS.2.12	Now swear by him that you will treat my family as kindly as I have treated you, and give me some sign that I can trust you. 
JOS.2.13	Promise me that you will save my father and mother, my brothers and sisters, and all their families! Don't let us be killed!”
JOS.2.14	The men said to her, “May God take our lives if we don't do as we say!
JOS.2.15	Rahab lived in a house built into the city wall, so she let the men down from the window by a rope. 
JOS.2.16	“Go into the hill country,” she said, “or the king's men will find you. Hide there for three days until they come back. After that, you can go on your way.”
JOS.2.17	The men said to her, “We will keep the promise that you have made us give. 
JOS.2.18	This is what you must do. When we invade your land, tie this red cord to the window you let us down from. Get your father and mother, your brothers, and all your father's family together in your house. 
JOS.2.19	If anyone goes out of the house, his death will be his own fault, and we will not be responsible; but if anyone in the house with you is harmed, then we will be responsible. 
JOS.2.20	However, if you tell anyone what we have been doing, then we will not have to keep our promise which you have made us give you.” 
JOS.2.21	She agreed and sent them away. When they had gone, she tied the red cord to the window.
JOS.2.22	The spies went into the hills and hid. The king's men looked for them all over the countryside for three days, but they did not find them, so they returned to Jericho. 
JOS.2.23	Then the two spies came down from the hills, crossed the river, and went back to Joshua. They told him everything that had happened, 
JOS.2.24	and then said, “We are sure that the 
JOS.3.1	The next morning Joshua and all the people of Israel got up early, left the camp at Acacia, and went to the Jordan, where they camped while waiting to cross it. 
JOS.3.2	Three days later the leaders went through the camp 
JOS.3.3	and told the people, “When you see the priests carrying the Covenant Box of the 
JOS.3.4	You have never been here before, so they will show you the way to go. But do not get near the Covenant Box; stay about half a mile behind it.”
JOS.3.5	Joshua told the people, “Purify yourselves, because tomorrow the 
JOS.3.6	Then he told the priests to take the Covenant Box and go with it ahead of the people. They did as he said.
JOS.3.7	The 
JOS.3.8	Tell the priests carrying the Covenant Box that when they reach the river, they must wade in and stand near the bank.”
JOS.3.9	Then Joshua said to the people, “Come here and listen to what the 
JOS.3.10	As you advance, he will surely drive out the Canaanites, the Hittites, the Hivites, the Perizzites, the Girgashites, the Amorites, and the Jebusites. You will know that the living God is among you 
JOS.3.11	when the Covenant Box of the Lord of all the earth crosses the Jordan ahead of you. 
JOS.3.12	Now choose twelve men, one from each of the tribes of Israel. 
JOS.3.13	When the priests who carry the Covenant Box of the 
JOS.3.14+JOS.3.15	It was harvest time, and the river was in flood.
JOS.3.14+JOS.3.15	When the people left the camp to cross the Jordan, the priests went ahead of them, carrying the Covenant Box. As soon as the priests stepped into the river, 
JOS.3.16	the water stopped flowing and piled up, far upstream at Adam, the city beside Zarethan. The flow downstream to the Dead Sea was completely cut off, and the people were able to cross over near Jericho. 
JOS.3.17	While the people walked across on dry ground, the priests carrying the 
JOS.4.1	When the whole nation had crossed the Jordan, the 
JOS.4.2	“Choose twelve men, one from each tribe, 
JOS.4.3	and command them to take twelve stones out of the middle of the Jordan, from the very place where the priests were standing. Tell them to carry these stones with them and to put them down where you camp tonight.”
JOS.4.4	Then Joshua called the twelve men he had chosen, 
JOS.4.5	and he told them, “Go into the Jordan ahead of the Covenant Box of the 
JOS.4.6	These stones will remind the people of what the 
JOS.4.7	you will tell them that the water of the Jordan stopped flowing when the 
JOS.4.8	The men followed Joshua's orders. As the 
JOS.4.9	Joshua also set up twelve stones in the middle of the Jordan, where the priests carrying the Covenant Box had stood. (Those stones are still there.) 
JOS.4.10	The priests stood in the middle of the Jordan until everything had been done that the 
JOS.4.10	The people hurried across the river. 
JOS.4.11	When they were all on the other side, the priests with the 
JOS.4.12	The men of the tribes of Reuben and Gad and of half the tribe of Manasseh, ready for battle, crossed ahead of the rest of the people, as Moses had told them to do. 
JOS.4.13	In the presence of the 
JOS.4.14	What the 
JOS.4.15	Then the 
JOS.4.16	to command the priests carrying the Covenant Box to come up out of the Jordan. 
JOS.4.17	Joshua did so, 
JOS.4.18	and when the priests reached the riverbank, the river began flowing once more and flooded its banks again.
JOS.4.19	The people crossed the Jordan on the tenth day of the first month and camped at Gilgal, east of Jericho. 
JOS.4.20	There Joshua set up the twelve stones taken from the Jordan. 
JOS.4.21	And he said to the people of Israel, “In the future, when your children ask you what these stones mean, 
JOS.4.22	you will tell them about the time when Israel crossed the Jordan on dry ground. 
JOS.4.23	Tell them that the 
JOS.4.24	Because of this everyone on earth will know how great the 
JOS.5.1	All the Amorite kings west of the Jordan and all the Canaanite kings along the Mediterranean Sea heard that the 
JOS.5.2	Then the 
JOS.5.3	So Joshua did as the 
JOS.5.4+JOS.5.5+JOS.5.6	 When the people of Israel left Egypt, all the males were already circumcised. However, during the forty years the people spent crossing the desert, none of the baby boys had been circumcised. Also, by the end of that time all the men who were of fighting age when they left Egypt had died because they had disobeyed the 
JOS.5.7	The sons of these men had never been circumcised, and it was this new generation that Joshua circumcised.
JOS.5.8	After the circumcision was completed, the whole nation stayed in the camp until the wounds had healed. 
JOS.5.9	The 
JOS.5.11	The next day was the first time they ate food grown in Canaan: roasted grain and bread made without yeast. 
JOS.5.12	 The manna stopped falling then, and the Israelites no longer had any. From that time on they ate food grown in Canaan.
JOS.5.13	While Joshua was near Jericho, he suddenly saw a man standing in front of him, holding a sword. Joshua went up to him and asked, “Are you one of our soldiers, or an enemy?”
JOS.5.14	“Neither,” the man answered. “I am here as the commander of the 
JOS.5.14	Joshua threw himself on the ground in worship and said, “I am your servant, sir. What do you want me to do?”
JOS.5.15	And the commander of the 
JOS.6.1	The gates of Jericho were kept shut and guarded to keep the Israelites out. No one could enter or leave the city. 
JOS.6.2	The 
JOS.6.3	You and your soldiers are to march around the city once a day for six days. 
JOS.6.4	Seven priests, each carrying a trumpet, are to go in front of the Covenant Box. On the seventh day you and your soldiers are to march around the city seven times while the priests blow the trumpets. 
JOS.6.5	Then they are to sound one long note. As soon as you hear it, all the people are to give a loud shout, and the city walls will collapse. Then the whole army will go straight into the city.”
JOS.6.6	Joshua called the priests and told them, “Take the Covenant Box, and seven of you go in front of it, carrying trumpets.” 
JOS.6.7	Then he ordered the people to start marching around the city, with an advance guard going on ahead of the 
JOS.6.8+JOS.6.9	So, just as Joshua had ordered, an advance guard started out ahead of the priests who were blowing trumpets; behind these came the priests who were carrying the Covenant Box, followed by a rear guard. All this time the trumpets were sounding. 
JOS.6.10	But Joshua had ordered the people not to shout, not to say a word until he gave the order. 
JOS.6.11	So he had this group of men take the 
JOS.6.12+JOS.6.13	Joshua got up early the next morning, and for the second time the priests and soldiers marched around the city in the same order as the day before: first, the advance guard; next, the seven priests blowing the seven trumpets; then, the priests carrying the 
JOS.6.14	On this second day they again marched around the city one time and then returned to camp. They did this for six days.
JOS.6.15	On the seventh day they got up at daybreak and marched seven times around the city in the same way—this was the only day that they marched around it seven times. 
JOS.6.16	The seventh time around, when the priests were about to sound the trumpets, Joshua ordered the people to shout, and he said, “The 
JOS.6.17	The city and everything in it must be totally destroyed as an offering to the 
JOS.6.18	But you are not to take anything that is to be destroyed; if you do, you will bring trouble and destruction on the Israelite camp. 
JOS.6.19	Everything made of silver, gold, bronze, or iron is set apart for the 
JOS.6.21	With their swords they killed everyone in the city, men and women, young and old. They also killed the cattle, sheep, and donkeys.
JOS.6.22	Joshua then told the two men who had served as spies, “Go into the prostitute's house, and bring her and her family out, as you promised her.” 
JOS.6.23	So they went and brought Rahab out, along with her father and mother, her brothers, and the rest of her family. They took them all, family and slaves, to safety near the Israelite camp. 
JOS.6.24	Then they set fire to the city and burned it to the ground, along with everything in it, except the things made of gold, silver, bronze, and iron, which they took and put in the 
JOS.6.25	 But Joshua spared the lives of the prostitute Rahab and all her relatives, because she had hidden the two spies that he had sent to Jericho. (Her descendants have lived in Israel to this day.)
JOS.6.26	Whoever lays the foundation will lose his oldest son;
JOS.6.26	Whoever builds the gates will lose his youngest.”
JOS.6.27	So the 
JOS.7.1	The 
JOS.7.2	Joshua sent some men from Jericho to Ai, a city east of Bethel, near Bethaven, with orders to go and explore the land. When they had done so, 
JOS.7.3	they reported back to Joshua: “There is no need for everyone to attack Ai. Send only about two or three thousand men. Don't send the whole army up there to fight; it is not a large city.” 
JOS.7.4	So about three thousand Israelites made the attack, but they were forced to retreat. 
JOS.7.5	The men of Ai chased them from the city gate as far as some quarries and killed about thirty-six of them on the way down the hill. Then the Israelites lost their courage and were afraid.
JOS.7.6	Joshua and the leaders of Israel tore their clothes in grief, threw themselves to the ground before the 
JOS.7.7	And Joshua said, “Sovereign 
JOS.7.8	What can I say, O Lord, now that Israel has retreated from the enemy? 
JOS.7.9	The Canaanites and everyone else in the country will hear about it. They will surround us and kill every one of us! And then what will you do to protect your honor?”
JOS.7.10	The 
JOS.7.11	Israel has sinned! They have broken the agreement with me that I ordered them to keep. They have taken some of the things condemned to destruction. They stole them, lied about it, and put them with their own things. 
JOS.7.12	This is why the Israelites cannot stand against their enemies. They retreat from them because they themselves have now been condemned to destruction! I will not stay with you any longer unless you destroy the things you were ordered not to take! 
JOS.7.13	Get up! Purify the people and get them ready to come before me. Tell them to be ready tomorrow, because I, the 
JOS.7.14	So tell them that in the morning they will be brought forward, tribe by tribe. The tribe that I pick out will then come forward, clan by clan. The clan that I pick out will come forward, family by family. The family that I pick out will come forward, one by one. 
JOS.7.15	The one who is then picked out and found with the condemned goods will be burned, along with his family and everything he owns, for he has brought terrible shame on Israel and has broken my covenant.”
JOS.7.16	Early the next morning Joshua brought Israel forward, tribe by tribe, and the tribe of Judah was picked out. 
JOS.7.17	He brought the tribe of Judah forward, clan by clan, and the clan of Zerah was picked out. Then he brought the clan of Zerah forward, family by family, and the family of Zabdi was picked out. 
JOS.7.18	He then brought Zabdi's family forward, one by one, and Achan, the son of Carmi and grandson of Zabdi, was picked out. 
JOS.7.19	Joshua said to him, “My son, tell the truth here before the 
JOS.7.20	“It's true,” Achan answered. “I have sinned against the 
JOS.7.21	Among the things we seized I saw a beautiful Babylonian cloak, about five pounds of silver, and a bar of gold weighing over one pound. I wanted them so much that I took them. You will find them buried inside my tent, with the silver at the bottom.”
JOS.7.22	So Joshua sent some men, who ran to the tent and found that the condemned things really were buried there, with the silver at the bottom. 
JOS.7.23	They brought them out of the tent, took them to Joshua and all the Israelites, and laid them down in the presence of the 
JOS.7.24	Joshua, along with all the people of Israel, seized Achan, the silver, the cloak, the bar of gold, together with Achan's sons and daughters, his cattle, donkeys, and sheep, his tent, and everything else he owned; and they took them to Trouble Valley. 
JOS.7.25	And Joshua said, “Why have you brought such trouble on us? The 
JOS.7.26	They put a huge pile of stones over him, which is there to this day. That is why that place is still called Trouble Valley.
JOS.7.26	Then the 
JOS.8.1	The 
JOS.8.2	You are to do to Ai and its king what you did to Jericho and its king, but this time you may keep its goods and livestock for yourselves. Prepare to attack the city by surprise from the rear.”
JOS.8.3	So Joshua got ready to go to Ai with all his soldiers. He picked out thirty thousand of his best troops and sent them out at night 
JOS.8.4	with these orders: “Hide on the other side of the city, but not too far away from it; be ready to attack. 
JOS.8.5	My men and I will approach the city. When the men of Ai come out against us, we will turn and run, just as we did the first time. 
JOS.8.6	They will pursue us until we have led them away from the city. They will think that we are running from them, as we did before. 
JOS.8.7	Then you will come out of hiding and capture the city. The 
JOS.8.8	After you have taken the city, set it on fire, just as the 
JOS.8.9	So Joshua sent them out, and they went to their hiding place and waited there, west of Ai, between Ai and Bethel. Joshua spent the night in camp.
JOS.8.10	Early in the morning Joshua got up and called the soldiers together. Then he and the leaders of Israel led them to Ai. 
JOS.8.11	The soldiers with him went toward the main entrance to the city and set up camp on the north side, with a valley between themselves and Ai. 
JOS.8.12	He took about five thousand men and put them in hiding west of the city, between Ai and Bethel. 
JOS.8.13	The soldiers were arranged for battle with the main camp north of the city and the rest of the men to the west. Joshua spent the night in the valley. 
JOS.8.14	When the king of Ai saw Joshua's men, he acted quickly. He and all his men went out toward the Jordan Valley to fight the Israelites at the same place as before, not knowing that he was about to be attacked from the rear. 
JOS.8.15	Joshua and his men pretended that they were retreating, and ran away toward the barren country. 
JOS.8.16	All the men in the city had been called together to go after them, and as they pursued Joshua, they kept getting farther away from the city. 
JOS.8.17	Every man in Ai
JOS.8.18	Then the 
JOS.8.19	and as soon as he lifted his hand, the men who had been hiding got up quickly, ran into the city and captured it. They immediately set the city on fire. 
JOS.8.20	When the men of Ai looked back, they saw the smoke rising to the sky. There was no way for them to escape, because the Israelites who had run toward the barren country now turned around to attack them. 
JOS.8.21	When Joshua and his men saw that the others had taken the city and that it was on fire, they turned around and began killing the men of Ai. 
JOS.8.22	The Israelites in the city now came down to join the battle. So the men of Ai found themselves completely surrounded by Israelites, and they were all killed. No one got away, and no one lived through it 
JOS.8.23	except the king of Ai. He was captured and taken to Joshua.
JOS.8.24	The Israelites killed every one of the enemy in the barren country where they had chased them. Then they went back to Ai and killed everyone there. 
JOS.8.25+JOS.8.26	Joshua kept his spear pointed at Ai and did not put it down until every person there had been killed. The whole population of Ai was killed that day—twelve thousand men and women. 
JOS.8.27	The Israelites kept for themselves the livestock and goods captured in the city, as the 
JOS.8.28	Joshua burned Ai and left it in ruins. It is still like that today. 
JOS.8.29	He hanged the king of Ai from a tree and left his body there until evening. At sundown Joshua gave orders for the body to be removed, and it was thrown down at the entrance to the city gate. They covered it with a huge pile of stones, which is still there today.
JOS.8.31	 He made it according to the instructions that Moses, the 
JOS.8.32	There, with the Israelites looking on, Joshua made on the stones
JOS.8.33	 The Israelites, with their leaders, officers, and judges, as well as the foreigners among them, stood on two sides of the 
JOS.8.34	Joshua then read aloud the whole Law, including the blessings and the curses, just as they are written in the book of the Law. 
JOS.8.35	Every one of the commandments of Moses was read by Joshua to the whole gathering, which included women and children, as well as the foreigners living among them.
JOS.9.1	The victories of Israel became known to all the kings west of the Jordan—in the hills, in the foothills, and all along the coastal plain of the Mediterranean Sea as far north as Lebanon; these were the kings of the Hittites, the Amorites, the Canaanites, the Perizzites, the Hivites, and the Jebusites. 
JOS.9.2	They all came together and joined forces to fight against Joshua and the Israelites.
JOS.9.3	But the people of Gibeon, who were Hivites, heard what Joshua had done to Jericho and Ai, 
JOS.9.4	and they decided to deceive him. They went and got some food and loaded their donkeys with worn-out sacks and patched-up wineskins. 
JOS.9.5	They put on ragged clothes and worn-out sandals that had been mended. The bread they took with them was dry and moldy. 
JOS.9.6	Then they went to the camp at Gilgal and said to Joshua and the Israelites, “We have come from a distant land. We want you to make a treaty with us.”
JOS.9.8	They said to Joshua, “We are at your service.”
JOS.9.8	Joshua asked them, “Who are you? Where do you come from?”
JOS.9.9	Then they told him this story: “We have come from a very distant land, sir, because we have heard of the 
JOS.9.10	 and what he did to the two Amorite kings east of the Jordan: King Sihon of Heshbon and King Og of Bashan, who lived in Ashtaroth. 
JOS.9.11	Our leaders and all the people that live in our land told us to get some food ready for a trip and to go and meet you. We were told to put ourselves at your service and ask you to make a treaty with us. 
JOS.9.12	Look at our bread. When we left home with it and started out to meet you, it was still warm. But look! Now it is dry and moldy. 
JOS.9.13	When we filled these wineskins, they were new, but look! They are torn. Our clothes and sandals are worn out from the long trip.”
JOS.9.14	The Israelites accepted some food from them, but did not consult the 
JOS.9.15	Joshua made a treaty of friendship with the people of Gibeon and allowed them to live. The leaders of the community of Israel gave their solemn promise to keep the treaty.
JOS.9.16	Three days after the treaty had been made, the Israelites learned that these people did indeed live nearby. 
JOS.9.17	So the people of Israel started out and three days later arrived at the cities where these people lived: Gibeon, Chephirah, Beeroth, and Kiriath Jearim. 
JOS.9.18	But the Israelites could not kill them, because their leaders had made a solemn promise to them in the name of the 
JOS.9.19	but they answered, “We have made our solemn promise to them in the name of the 
JOS.9.20	We must let them live because of our promise; if we don't, God will punish us. 
JOS.9.21	Let them live, but they will have to cut wood and carry water for us.” This was what the leaders suggested.
JOS.9.22	Joshua ordered the people of Gibeon to be brought to him, and he asked them, “Why did you deceive us and tell us that you were from far away, when you live right here? 
JOS.9.23	Because you did this, God has condemned you. Your people will always be slaves, cutting wood and carrying water for the sanctuary of my God.”
JOS.9.24	They answered, “We did it, sir, because we learned that it was really true that the 
JOS.9.25	Now we are in your power; do with us what you think is right.” 
JOS.9.26	So this is what Joshua did: he protected them and did not allow the people of Israel to kill them. 
JOS.9.27	But at the same time he made them slaves, to cut wood and carry water for the people of Israel and for the 
JOS.10.1	Adonizedek, the king of Jerusalem,
JOS.10.2	The people of Jerusalem were greatly alarmed at this because Gibeon was as large as any of the cities that had a king; it was larger than Ai, and its men were good fighters. 
JOS.10.3	So Adonizedek sent the following message to King Hoham of Hebron, King Piram of Jarmuth, King Japhia of Lachish, and to King Debir of Eglon: 
JOS.10.4	“Come and help me attack Gibeon, because its people have made peace with Joshua and the Israelites.” 
JOS.10.5	These five Amorite kings, the kings of Jerusalem, Hebron, Jarmuth, Lachish, and Eglon, joined forces, surrounded Gibeon, and attacked it.
JOS.10.6	The men of Gibeon sent word to Joshua at the camp in Gilgal: “Do not abandon us, sir! Come at once and help us! Save us! All the Amorite kings in the hill country have joined forces and have attacked us!”
JOS.10.7	So Joshua and his whole army, including the best troops, started out from Gilgal. 
JOS.10.8	The 
JOS.10.9	All night Joshua and his army marched from Gilgal to Gibeon, and they made a surprise attack on the Amorites. 
JOS.10.10	The 
JOS.10.11	While the Amorites were running down the pass from the Israelite army, the 
JOS.10.12	On the day that the 
JOS.10.12	“Sun, stand still over Gibeon;
JOS.10.12	Moon, stop over Aijalon Valley.”
JOS.10.14	Never before, and never since, has there been a day like it, when the 
JOS.10.15	After this, Joshua and his army went back to the camp at Gilgal.
JOS.10.16	The five Amorite kings, however, had escaped and were hiding in the cave at Makkedah. 
JOS.10.17	Someone found them, and Joshua was told where they were hiding. 
JOS.10.18	He said, “Roll some big stones in front of the entrance to the cave. Place some guards there, 
JOS.10.19	but don't stay there yourselves. Keep on after the enemy and attack them from the rear; don't let them get to their cities! The 
JOS.10.20	Joshua and the men of Israel slaughtered them, although some managed to find safety inside their city walls and were not killed. 
JOS.10.21	Then all of Joshua's men came back safe to him at the camp at Makkedah.
JOS.10.21	No one in the land dared even to speak against the Israelites.
JOS.10.22	Then Joshua said, “Open the entrance to the cave and bring those five kings out to me.” 
JOS.10.23	So the cave was opened, and the kings of Jerusalem, Hebron, Jarmuth, Lachish, and Eglon were brought out 
JOS.10.24	and taken to Joshua. Joshua then called all the men of Israel to him and ordered the officers who had gone with him to come and put their feet on the necks of the kings. They did so. 
JOS.10.25	Then Joshua said to his officers, “Don't be afraid or discouraged. Be determined and confident because this is what the 
JOS.10.26	Then Joshua killed the kings and hanged them on five trees, where their bodies stayed until evening. 
JOS.10.27	At sundown Joshua gave orders, and their bodies were taken down and thrown into the same cave where they had hidden earlier. Large stones were placed at the entrance to the cave, and they are still there.
JOS.10.28	Joshua attacked and captured Makkedah and its king that day. He put everyone in the city to death; no one was left alive. He did to the king of Makkedah what he had done to the king of Jericho.
JOS.10.29	After this, Joshua and his army went on from Makkedah to Libnah and attacked it. 
JOS.10.30	The 
JOS.10.31	After this, Joshua and his army went on from Libnah to Lachish, surrounded it and attacked it. 
JOS.10.32	The 
JOS.10.33	King Horam of Gezer came to the aid of Lachish, but Joshua defeated him and his army and left none of them alive.
JOS.10.34	Next, Joshua and his army went on from Lachish to Eglon, surrounded it and attacked it. 
JOS.10.35	They captured it the same day and put everyone there to death, just as they had done at Lachish.
JOS.10.36	After this, Joshua and his army went from Eglon up into the hills to Hebron, attacked it 
JOS.10.37	and captured it. They killed the king and everyone else in the city as well as in the nearby towns. Joshua condemned the city to total destruction, just as he had done to Eglon. No one in it was left alive.
JOS.10.38	Then Joshua and his army turned back to Debir and attacked it. 
JOS.10.39	He captured it, with its king and all the nearby towns. They put everyone there to death. Joshua did to Debir and its king what he had done to Hebron and to Libnah and its king.
JOS.10.40	Joshua conquered the whole land. He defeated the kings of the hill country, the eastern slopes, and the western foothills, as well as those of the dry country in the south. He spared no one; everyone was put to death. This was what the 
JOS.10.41	Joshua's campaign took him from Kadesh Barnea in the south to Gaza near the coast, including all the area of Goshen, and as far north as Gibeon. 
JOS.10.42	Joshua conquered all these kings and their territory in one campaign because the 
JOS.10.43	After this, Joshua and his army went back to the camp at Gilgal.
JOS.11.1	When the news of Israel's victories reached King Jabin of Hazor, he sent word to King Jobab of Madon, to the kings of Shimron and Achshaph, 
JOS.11.2	and to the kings in the hill country in the north, in the Jordan Valley south of Lake Galilee, in the foothills, and on the coast near Dor. 
JOS.11.3	He also sent word to the Canaanites on both sides of the Jordan, to the Amorites, the Hittites, the Perizzites, and the Jebusites in the hill country, as well as to the Hivites who lived at the foot of Mount Hermon in the land of Mizpah. 
JOS.11.4	They came with all their soldiers—an army with as many men as there are grains of sand on the seashore. They also had many horses and chariots. 
JOS.11.5	All of these kings joined forces and came together and set up camp at Merom Brook to fight against Israel.
JOS.11.6	The 
JOS.11.7	So Joshua and all his men attacked them by surprise at Merom Brook. 
JOS.11.8	The 
JOS.11.9	Joshua did to them what the 
JOS.11.10	Joshua then turned back, captured Hazor and killed its king. (At that time Hazor was the most powerful of all those kingdoms.) 
JOS.11.11	They put everyone there to death; no one was left alive, and the city was burned.
JOS.11.12	Joshua captured all these cities and their kings, putting everyone to death, just as Moses, the 
JOS.11.13	However, the Israelites did not burn any of the cities built on mounds, except Hazor, which Joshua did burn. 
JOS.11.14	The people of Israel took all the valuables and livestock from these cities and kept them for themselves. But they put every person to death; no one was left alive. 
JOS.11.15	The 
JOS.11.16	Joshua captured all the land—the hill country and foothills, both north and south, all the area of Goshen and the dry country south of it, as well as the Jordan Valley. 
JOS.11.17+JOS.11.18	The territory extended from Mount Halak in the south near Edom, as far as Baalgad in the north, in the valley of Lebanon south of Mount Hermon. Joshua was at war with the kings of this territory for a long time, but he captured them all and put them to death. 
JOS.11.19	The only city that made peace with the people of Israel was Gibeon, where some of the Hivites lived. All the others were conquered in battle. 
JOS.11.20	 The 
JOS.11.21	At this time Joshua went and destroyed the race of giants called the Anakim who lived in the hill country—in Hebron, Debir, Anab, and in all the hill country of Judah and Israel. Joshua completely destroyed them and their cities. 
JOS.11.22	None of the Anakim were left in the land of Israel; a few, however, were left in Gaza, Gath, and Ashdod.
JOS.11.23	Joshua captured the whole land, as the 
JOS.11.23	So the people rested from war.
JOS.12.2	One was Sihon, the Amorite king who ruled at Heshbon. His kingdom included half of Gilead: from Aroer (on the edge of the Arnon Valley) and from the city in
JOS.12.3	it included the Jordan Valley from Lake Galilee south to Beth Jeshimoth (east of the Dead Sea) and on toward the foot of Mount Pisgah.
JOS.12.4	They also defeated King Og of Bashan, who was one of the last of the Rephaim; he ruled at Ashtaroth and Edrei. 
JOS.12.5	His kingdom included Mount Hermon, Salecah, and all of Bashan as far as the boundaries of Geshur and Maacah, as well as half of Gilead, as far as the territory of King Sihon of Heshbon.
JOS.12.7	Joshua and the people of Israel defeated all the kings in the territory west of the Jordan, from Baalgad in the valley of Lebanon to Mount Halak in the south near Edom. Joshua divided this land among the tribes and gave it to them as a permanent possession. 
JOS.12.8	This portion included the hill country, the western foothills, the Jordan Valley and its foothills, the eastern slopes, and the dry country in the south. This land had been the home of the Hittites, the Amorites, the Canaanites, the Perizzites, the Hivites, and the Jebusites. 
JOS.12.9	The people of Israel defeated the kings of the following cities: Jericho, Ai (near Bethel), 
JOS.12.10	Jerusalem, Hebron, 
JOS.12.11	Jarmuth, Lachish, 
JOS.12.12	Eglon, Gezer, 
JOS.12.13	Debir, Geder, 
JOS.12.14	Hormah, Arad, 
JOS.12.15	Libnah, Adullam, 
JOS.12.16	Makkedah, Bethel, 
JOS.12.17	Tappuah, Hepher, 
JOS.12.18	Aphek, Lasharon, 
JOS.12.19	Madon, Hazor, 
JOS.12.20	Shimron Meron, Achshaph, 
JOS.12.21	Taanach, Megiddo, 
JOS.12.22	Kedesh, Jokneam (in Carmel), 
JOS.12.23	Dor (on the coast), Goiim (in Galilee
JOS.12.24	and Tirzah—thirty-one kings in all.
JOS.13.1	Joshua was now very old. The 
JOS.13.2	all the territory of Philistia and Geshur, 
JOS.13.3	as well as all the territory of the Avvim to the south. (The land from the stream Shihor, at the Egyptian border, as far north as the border of Ekron was considered Canaanite; the kings of the Philistines lived at Gaza, Ashdod, Ashkelon, Gath, and Ekron.) 
JOS.13.4	There is still all the Canaanite country, and Mearah (which belonged to the Sidonians), as far as Aphek, at the Amorite border; 
JOS.13.5	the land of the Gebalites; all of Lebanon to the east, from Baalgad, which is south of Mount Hermon, to Hamath Pass. 
JOS.13.6	 This includes all the territory of the Sidonians, who live in the hill country between the Lebanon Mountains and Misrephoth Maim. I will drive all these peoples out as the people of Israel advance. You must divide the land among the Israelites, just as I have commanded you to do. 
JOS.13.7	Now then, divide this land among the other nine tribes and half of the tribe of Manasseh, for them to possess as their own.”
JOS.13.9	Their territory extended to Aroer (on the edge of the Arnon Valley) and the city in the middle of that valley and included all of the plateau from Medeba to Dibon. 
JOS.13.10	It went as far as the border of Ammon and included all the cities that had been ruled by the Amorite king Sihon, who had ruled at Heshbon. 
JOS.13.11	It included Gilead, the regions of Geshur and Maacah, all of Mount Hermon, and all of Bashan as far as Salecah. 
JOS.13.12	It included the kingdom of Og, the last of the Rephaim, who had ruled at Ashtaroth and Edrei. Moses had defeated these people and driven them out. 
JOS.13.13	However, the Israelites did not drive out the people of Geshur and Maacah; they still live in Israel.
JOS.13.15	Moses had given a part of the land to the families of the tribe of Reuben as their possession. 
JOS.13.16	Their territory extended to Aroer (on the edge of the Arnon Valley) and the city in the middle of that valley and included all the plateau around Medeba. 
JOS.13.17	It included Heshbon and all the cities on the plateau: Dibon, Bamoth Baal, Beth Baalmeon, 
JOS.13.18	Jahaz, Kedemoth, Mephaath, 
JOS.13.19	Kiriathaim, Sibmah, Zereth Shahar on the hill in the valley, 
JOS.13.20	Bethpeor, the slopes of Mount Pisgah, and Beth Jeshimoth. 
JOS.13.21	It included all the cities of the plateau and the whole kingdom of the Amorite king Sihon, who had ruled at Heshbon. Moses defeated him, as well as the rulers of Midian: Evi, Rekem, Zur, Hur, and Reba. All of them had ruled the land for King Sihon. 
JOS.13.22	Among those whom the people of Israel killed was the fortune teller Balaam son of Beor. 
JOS.13.23	The Jordan was the western border of the tribe of Reuben. These were the cities and towns given to the families of the tribe of Reuben as their possession.
JOS.13.24	Moses had also given a part of the land to the families of the tribe of Gad as their possession. 
JOS.13.25	Their territory included Jazer and all the cities of Gilead, half the land of Ammon as far as Aroer, which is east of Rabbah; 
