GEN.1.2	The earth was without form and void, and darkness was upon the face of the deep; and the Spirit
1SA.25.4	David heard in the wilderness that Nabal was shearing his sheep. 
1SA.25.5	So David sent ten young men; and David said to the young men, “Go up to Carmel, and go to Nabal, and greet him in my name. 
1SA.25.6	And thus you shall salute him: ‘Peace be to you, and peace be to your house, and peace be to all that you have. 
1SA.25.7	I hear that you have shearers; now your shepherds have been with us, and we did them no harm, and they missed nothing, all the time they were in Carmel. 
1SA.25.8	Ask your young men, and they will tell you. Therefore let my young men find favor in your eyes; for we come on a feast day. Pray, give whatever you have at hand to your servants and to your son David.’ ”
1SA.25.9	When David's young men came, they said all this to Nabal in the name of David; and then they waited. 
1SA.25.10	And Nabal answered David's servants, “Who is David? Who is the son of Jesse? There are many servants nowadays who are breaking away from their masters. 
1SA.25.11	Shall I take my bread and my water and my meat that I have killed for my shearers, and give it to men who come from I do not know where?” 
1SA.25.12	So David's young men turned away, and came back and told him all this. 
1SA.25.13	And David said to his men, “Every man gird on his sword!” And every man of them girded on his sword; David also girded on his sword; and about four hundred men went up after David, while two hundred remained with the baggage.
1SA.25.14	But one of the young men told Abigail, Nabal's wife, “Behold, David sent messengers out of the wilderness to salute our master; and he railed at them. 
1SA.25.15	Yet the men were very good to us, and we suffered no harm, and we did not miss anything when we were in the fields, as long as we went with them; 
1SA.25.16	they were a wall to us both by night and by day, all the while we were with them keeping the sheep. 
1SA.25.17	Now therefore know this and consider what you should do; for evil is determined against our master and against all his house, and he is so ill-natured that one cannot speak to him.”
1SA.25.18	Then Abigail made haste, and took two hundred loaves, and two skins of wine, and five sheep ready dressed, and five measures of parched grain, and a hundred clusters of raisins, and two hundred cakes of figs, and laid them on asses. 
1SA.25.19	And she said to her young men, “Go on before me; behold, I come after you.” But she did not tell her husband Nabal. 
1SA.25.20	And as she rode on the ass, and came down under cover of the mountain, behold, David and his men came down toward her; and she met them. 
1SA.25.21	Now David had said, “Surely in vain have I guarded all that this fellow has in the wilderness, so that nothing was missed of all that belonged to him; and he has returned me evil for good. 
1SA.25.22	God do so to David
1SA.25.23	When Abigail saw David, she made haste, and alighted from the ass, and fell before David on her face, and bowed to the ground. 
1SA.25.24	She fell at his feet and said, “Upon me alone, my lord, be the guilt; pray let your handmaid speak in your ears, and hear the words of your handmaid. 
1SA.25.25	Let not my lord regard this ill-natured fellow, Nabal; for as his name is, so is he; Nabal
1SA.25.26	Now then, my lord, as the 
1SA.25.27	And now let this present which your servant has brought to my lord be given to the young men who follow my lord. 
1SA.25.28	Pray forgive the trespass of your handmaid; for the 
1SA.25.29	If men rise up to pursue you and to seek your life, the life of my lord shall be bound in the bundle of the living in the care of the 
1SA.25.30	And when the 
1SA.25.31	my lord shall have no cause of grief, or pangs of conscience, for having shed blood without cause or for my lord taking vengeance himself. And when the 
1SA.25.32	And David said to Abigail, “Blessed be the 
1SA.25.33	Blessed be your discretion, and blessed be you, who have kept me this day from bloodguilt and from avenging myself with my own hand! 
1SA.25.34	For as surely as the 
1SA.25.35	Then David received from her hand what she had brought him; and he said to her, “Go up in peace to your house; see, I have hearkened to your voice, and I have granted your petition.”
1SA.25.36	And Abigail came to Nabal; and lo, he was holding a feast in his house, like the feast of a king. And Nabal's heart was merry within him, for he was very drunk; so she told him nothing at all until the morning light. 
1SA.25.37	And in the morning, when the wine had gone out of Nabal, his wife told him these things, and his heart died within him, and he became as a stone. 
1SA.25.38	And about ten days later the 
1SA.25.39	When David heard that Nabal was dead, he said, “Blessed be the 
1SA.25.40	And when the servants of David came to Abigail at Carmel, they said to her, “David has sent us to you to take you to him as his wife.” 
1SA.25.41	And she rose and bowed with her face to the ground, and said, “Behold, your handmaid is a servant to wash the feet of the servants of my lord.” 
1SA.25.42	And Abigail made haste and rose and mounted on an ass, and her five maidens attended her; she went after the messengers of David, and became his wife.
1SA.25.43	David also took Ahino-am of Jezreel; and both of them became his wives. 
1SA.25.44	Saul had given Michal his daughter, David's wife, to Palti the son of Laish, who was of Gallim.
1SA.26.2	So Saul arose and went down to the wilderness of Ziph, with three thousand chosen men of Israel, to seek David in the wilderness of Ziph. 
1SA.26.3	And Saul encamped on the hill of Hachilah, which is beside the road on the east of Jeshimon. But David remained in the wilderness; and when he saw that Saul came after him into the wilderness, 
1SA.26.4	David sent out spies, and learned of a certainty that Saul had come. 
1SA.26.5	Then David rose and came to the place where Saul had encamped; and David saw the place where Saul lay, with Abner the son of Ner, the commander of his army; Saul was lying within the encampment, while the army was encamped around him.
1SA.26.6	Then David said to Ahimelech the Hittite, and to Joab's brother Abishai the son of Zeruiah, “Who will go down with me into the camp to Saul?” And Abishai said, “I will go down with you.” 
1SA.26.7	So David and Abishai went to the army by night; and there lay Saul sleeping within the encampment, with his spear stuck in the ground at his head; and Abner and the army lay around him. 
1SA.26.8	Then said Abishai to David, “God has given your enemy into your hand this day; now therefore let me pin him to the earth with one stroke of the spear, and I will not strike him twice.” 
1SA.26.9	But David said to Abishai, “Do not destroy him; for who can put forth his hand against the 
1SA.26.10	And David said, “As the 
1SA.26.11	The 
1SA.26.12	So David took the spear and the jar of water from Saul's head; and they went away. No man saw it, or knew it, nor did any awake; for they were all asleep, because a deep sleep from the 
1SA.26.13	Then David went over to the other side, and stood afar off on the top of the mountain, with a great space between them; 
1SA.26.14	and David called to the army, and to Abner the son of Ner, saying, “Will you not answer, Abner?” Then Abner answered, “Who are you that calls to the king?” 
1SA.26.15	And David said to Abner, “Are you not a man? Who is like you in Israel? Why then have you not kept watch over your lord the king? For one of the people came in to destroy the king your lord. 
1SA.26.16	This thing that you have done is not good. As the 
1SA.26.17	Saul recognized David's voice, and said, “Is this your voice, my son David?” And David said, “It is my voice, my lord, O king.” 
1SA.26.18	And he said, “Why does my lord pursue after his servant? For what have I done? What guilt is on my hands? 
1SA.26.19	Now therefore let my lord the king hear the words of his servant. If it is the 
1SA.26.20	Now therefore, let not my blood fall to the earth away from the presence of the 
1SA.26.21	Then Saul said, “I have done wrong; return, my son David, for I will no more do you harm, because my life was precious in your eyes this day; behold, I have played the fool, and have erred exceedingly.” 
1SA.26.22	And David made answer, “Here is the spear, O king! Let one of the young men come over and fetch it. 
1SA.26.23	The 
1SA.26.24	Behold, as your life was precious this day in my sight, so may my life be precious in the sight of the 
1SA.26.25	Then Saul said to David, “Blessed be you, my son David! You will do many things and will succeed in them.” So David went his way, and Saul returned to his place.
1SA.27.1	And David said in his heart, “I shall now perish one day by the hand of Saul; there is nothing better for me than that I should escape to the land of the Philistines; then Saul will despair of seeking me any longer within the borders of Israel, and I shall escape out of his hand.” 
1SA.27.2	So David arose and went over, he and the six hundred men who were with him, to Achish the son of Maoch, king of Gath. 
1SA.27.3	And David dwelt with Achish at Gath, he and his men, every man with his household, and David with his two wives, Ahino-am of Jezreel, and Abigail of Carmel, Nabal's widow. 
1SA.27.4	And when it was told Saul that David had fled to Gath, he sought for him no more.
1SA.27.5	Then David said to Achish, “If I have found favor in your eyes, let a place be given me in one of the country towns, that I may dwell there; for why should your servant dwell in the royal city with you?” 
1SA.27.6	So that day Achish gave him Ziklag; therefore Ziklag has belonged to the kings of Judah to this day. 
1SA.27.7	And the number of the days that David dwelt in the country of the Philistines was a year and four months.
1SA.27.8	Now David and his men went up, and made raids upon the Geshurites, the Girzites, and the Amalekites; for these were the inhabitants of the land from of old, as far as Shur, to the land of Egypt. 
1SA.27.9	And David smote the land, and left neither man nor woman alive, but took away the sheep, the oxen, the asses, the camels, and the garments, and came back to Achish. 
1SA.27.10	When Achish asked, “Against whom
1SA.27.11	And David saved neither man nor woman alive, to bring tidings to Gath, thinking, “Lest they should tell about us, and say, ‘So David has done.’ ” Such was his custom all the while he dwelt in the country of the Philistines. 
1SA.27.12	And Achish trusted David, thinking, “He has made himself utterly abhorred by his people Israel; therefore he shall be my servant always.”
1SA.28.1	In those days the Philistines gathered their forces for war, to fight against Israel. And Achish said to David, “Understand that you and your men are to go out with me in the army.” 
1SA.28.2	David said to Achish, “Very well, you shall know what your servant can do.” And Achish said to David, “Very well, I will make you my bodyguard for life.”
1SA.28.3	Now Samuel had died, and all Israel had mourned for him and buried him in Ramah, his own city. And Saul had put the mediums and the wizards out of the land. 
1SA.28.4	The Philistines assembled, and came and encamped at Shunem; and Saul gathered all Israel, and they encamped at Gilboa. 
1SA.28.5	When Saul saw the army of the Philistines, he was afraid, and his heart trembled greatly. 
1SA.28.6	And when Saul inquired of the 
1SA.28.7	Then Saul said to his servants, “Seek out for me a woman who is a medium, that I may go to her and inquire of her.” And his servants said to him, “Behold, there is a medium at Endor.”
1SA.28.8	So Saul disguised himself and put on other garments, and went, he and two men with him; and they came to the woman by night. And he said, “Divine for me by a spirit, and bring up for me whomever I shall name to you.” 
1SA.28.9	The woman said to him, “Surely you know what Saul has done, how he has cut off the mediums and the wizards from the land. Why then are you laying a snare for my life to bring about my death?” 
1SA.28.10	But Saul swore to her by the 
1SA.28.11	Then the woman said, “Whom shall I bring up for you?” He said, “Bring up Samuel for me.” 
1SA.28.12	When the woman saw Samuel, she cried out with a loud voice; and the woman said to Saul, “Why have you deceived me? You are Saul.” 
1SA.28.13	The king said to her, “Have no fear; what do you see?” And the woman said to Saul, “I see a god coming up out of the earth.” 
1SA.28.14	He said to her, “What is his appearance?” And she said, “An old man is coming up; and he is wrapped in a robe.” And Saul knew that it was Samuel, and he bowed with his face to the ground, and did obeisance.
1SA.28.15	Then Samuel said to Saul, “Why have you disturbed me by bringing me up?” Saul answered, “I am in great distress; for the Philistines are warring against me, and God has turned away from me and answers me no more, either by prophets or by dreams; therefore I have summoned you to tell me what I shall do.” 
1SA.28.16	And Samuel said, “Why then do you ask me, since the 
1SA.28.17	The 
1SA.28.18	Because you did not obey the voice of the 
1SA.28.19	Moreover the 
1SA.28.20	Then Saul fell at once full length upon the ground, filled with fear because of the words of Samuel; and there was no strength in him, for he had eaten nothing all day and all night. 
1SA.28.21	And the woman came to Saul, and when she saw that he was terrified, she said to him, “Behold, your handmaid has hearkened to you; I have taken my life in my hand, and have hearkened to what you have said to me. 
1SA.28.22	Now therefore, you also hearken to your handmaid; let me set a morsel of bread before you; and eat, that you may have strength when you go on your way.” 
1SA.28.23	He refused, and said, “I will not eat.” But his servants, together with the woman, urged him; and he hearkened to their words. So he arose from the earth, and sat upon the bed. 
1SA.28.24	Now the woman had a fatted calf in the house, and she quickly killed it, and she took flour, and kneaded it and baked unleavened bread of it, 
1SA.28.25	and she put it before Saul and his servants; and they ate. Then they rose and went away that night.
1SA.29.1	Now the Philistines gathered all their forces at Aphek; and the Israelites were encamped by the fountain which is in Jezreel. 
1SA.29.2	As the lords of the Philistines were passing on by hundreds and by thousands, and David and his men were passing on in the rear with Achish, 
1SA.29.3	the commanders of the Philistines said, “What are these Hebrews doing here?” And Achish said to the commanders of the Philistines, “Is not this David, the servant of Saul, king of Israel, who has been with me now for days and years, and since he deserted to me I have found no fault in him to this day.” 
1SA.29.4	But the commanders of the Philistines were angry with him; and the commanders of the Philistines said to him, “Send the man back, that he may return to the place to which you have assigned him; he shall not go down with us to battle, lest in the battle he become an adversary to us. For how could this fellow reconcile himself to his lord? Would it not be with the heads of the men here? 
1SA.29.5	 Is not this David, of whom they sing to one another in dances,
1SA.29.5	‘Saul has slain his thousands,
1SA.29.5	and David his ten thousands’?”
1SA.29.6	Then Achish called David and said to him, “As the 
1SA.29.7	So go back now; and go peaceably, that you may not displease the lords of the Philistines.” 
1SA.29.8	And David said to Achish, “But what have I done? What have you found in your servant from the day I entered your service until now, that I may not go and fight against the enemies of my lord the king?” 
1SA.29.9	And Achish made answer to David, “I know that you are as blameless in my sight as an angel of God; nevertheless the commanders of the Philistines have said, ‘He shall not go up with us to the battle.’ 
1SA.29.10	Now then rise early in the morning with the servants of your lord who came with you; and start early in the morning, and depart as soon as you have light.” 
1SA.29.11	So David set out with his men early in the morning, to return to the land of the Philistines. But the Philistines went up to Jezreel.
1SA.30.1	Now when David and his men came to Ziklag on the third day, the Amalekites had made a raid upon the Negeb and upon Ziklag. They had overcome Ziklag, and burned it with fire, 
1SA.30.2	and taken captive the women and all
1SA.30.3	And when David and his men came to the city, they found it burned with fire, and their wives and sons and daughters taken captive. 
1SA.30.4	Then David and the people who were with him raised their voices and wept, until they had no more strength to weep. 
1SA.30.5	David's two wives also had been taken captive, Ahino-am of Jezreel, and Abigail the widow of Nabal of Carmel. 
1SA.30.6	And David was greatly distressed; for the people spoke of stoning him, because all the people were bitter in soul, each for his sons and daughters. But David strengthened himself in the 
1SA.30.7	And David said to Abiathar the priest, the son of Ahimelech, “Bring me the ephod.” So Abiathar brought the ephod to David. 
1SA.30.8	And David inquired of the 
1SA.30.9	So David set out, and the six hundred men who were with him, and they came to the brook Besor, where those stayed who were left behind. 
1SA.30.10	But David went on with the pursuit, he and four hundred men; two hundred stayed behind, who were too exhausted to cross the brook Besor.
1SA.30.11	They found an Egyptian in the open country, and brought him to David; and they gave him bread and he ate, they gave him water to drink, 
1SA.30.12	and they gave him a piece of a cake of figs and two clusters of raisins. And when he had eaten, his spirit revived; for he had not eaten bread or drunk water for three days and three nights. 
1SA.30.13	And David said to him, “To whom do you belong? And where are you from?” He said, “I am a young man of Egypt, servant to an Amalekite; and my master left me behind because I fell sick three days ago. 
1SA.30.14	We had made a raid upon the Negeb of the Cherethites and upon that which belongs to Judah and upon the Negeb of Caleb; and we burned Ziklag with fire.” 
1SA.30.15	And David said to him, “Will you take me down to this band?” And he said, “Swear to me by God, that you will not kill me, or deliver me into the hands of my master, and I will take you down to this band.”
1SA.30.16	And when he had taken him down, behold, they were spread abroad over all the land, eating and drinking and dancing, because of all the great spoil they had taken from the land of the Philistines and from the land of Judah. 
1SA.30.17	And David smote them from twilight until the evening of the next day; and not a man of them escaped, except four hundred young men, who mounted camels and fled. 
1SA.30.18	David recovered all that the Amalekites had taken; and David rescued his two wives. 
1SA.30.19	Nothing was missing, whether small or great, sons or daughters, spoil or anything that had been taken; David brought back all. 
1SA.30.20	David also captured all the flocks and herds; and the people drove those cattle before him,
1SA.30.21	Then David came to the two hundred men, who had been too exhausted to follow David, and who had been left at the brook Besor; and they went out to meet David and to meet the people who were with him; and when David drew near to the people he saluted them. 
1SA.30.22	Then all the wicked and base fellows among the men who had gone with David said, “Because they did not go with us, we will not give them any of the spoil which we have recovered, except that each man may lead away his wife and children, and depart.” 
1SA.30.23	But David said, “You shall not do so, my brothers, with what the 
1SA.30.24	Who would listen to you in this matter? For as his share is who goes down into the battle, so shall his share be who stays by the baggage; they shall share alike.” 
1SA.30.25	And from that day forward he made it a statute and an ordinance for Israel to this day.
1SA.30.26	When David came to Ziklag, he sent part of the spoil to his friends, the elders of Judah, saying, “Here is a present for you from the spoil of the enemies of the 
1SA.30.27	it was for those in Bethel, in Ramoth of the Negeb, in Jattir, 
1SA.30.28	in Aroer, in Siphmoth, in Eshtemoa, 
1SA.30.29	in Racal, in the cities of the Jerahmeelites, in the cities of the Kenites, 
1SA.30.30	in Hormah, in Borashan, in Athach, 
1SA.30.31	in Hebron, for all the places where David and his men had roamed.
1SA.31.2	And the Philistines overtook Saul and his sons; and the Philistines slew Jonathan and Abinadab and Malchishua, the sons of Saul. 
1SA.31.3	The battle pressed hard upon Saul, and the archers found him; and he was badly wounded by the archers. 
1SA.31.4	Then Saul said to his armor-bearer, “Draw your sword, and thrust me through with it, lest these uncircumcised come and thrust me through, and make sport of me.” But his armor-bearer would not; for he feared greatly. Therefore Saul took his own sword, and fell upon it. 
1SA.31.5	And when his armor-bearer saw that Saul was dead, he also fell upon his sword, and died with him. 
1SA.31.6	Thus Saul died, and his three sons, and his armor-bearer, and all his men, on the same day together. 
1SA.31.7	And when the men of Israel who were on the other side of the valley and those beyond the Jordan saw that the men of Israel had fled and that Saul and his sons were dead, they forsook their cities and fled; and the Philistines came and dwelt in them.
1SA.31.8	On the morrow, when the Philistines came to strip the slain, they found Saul and his three sons fallen on Mount Gilboa. 
1SA.31.9	And they cut off his head, and stripped off his armor, and sent messengers throughout the land of the Philistines, to carry the good news to their idols
1SA.31.10	They put his armor in the temple of Ashtaroth; and they fastened his body to the wall of Beth-shan. 
1SA.31.11	But when the inhabitants of Jabesh-gilead heard what the Philistines had done to Saul, 
1SA.31.12	all the valiant men arose, and went all night, and took the body of Saul and the bodies of his sons from the wall of Beth-shan; and they came to Jabesh and burnt them there. 
1SA.31.13	And they took their bones and buried them under the tamarisk tree in Jabesh, and fasted seven days.
2SA.1.1	After the death of Saul, when David had returned from the slaughter of the Amalekites, David remained two days in Ziklag; 
2SA.1.2	and on the third day, behold, a man came from Saul's camp, with his clothes rent and earth upon his head. And when he came to David, he fell to the ground and did obeisance. 
2SA.1.3	David said to him, “Where do you come from?” And he said to him, “I have escaped from the camp of Israel.” 
2SA.1.4	And David said to him, “How did it go? Tell me.” And he answered, “The people have fled from the battle, and many of the people also have fallen and are dead; and Saul and his son Jonathan are also dead.” 
2SA.1.5	Then David said to the young man who told him, “How do you know that Saul and his son Jonathan are dead?” 
2SA.1.6	 And the young man who told him said, “By chance I happened to be on Mount Gilboa; and there was Saul leaning upon his spear; and lo, the chariots and the horsemen were close upon him. 
2SA.1.7	And when he looked behind him, he saw me, and called to me. And I answered, ‘Here I am.’ 
2SA.1.8	And he said to me, ‘Who are you?’ I answered him, ‘I am an Amalekite.’ 
2SA.1.9	And he said to me, ‘Stand beside me and slay me; for anguish has seized me, and yet my life still lingers.’ 
2SA.1.10	So I stood beside him, and slew him, because I was sure that he could not live after he had fallen; and I took the crown which was on his head and the armlet which was on his arm, and I have brought them here to my lord.”
2SA.1.11	Then David took hold of his clothes, and rent them; and so did all the men who were with him; 
2SA.1.12	and they mourned and wept and fasted until evening for Saul and for Jonathan his son and for the people of the 
2SA.1.13	And David said to the young man who told him, “Where do you come from?” And he answered, “I am the son of a sojourner, an Amalekite.” 
2SA.1.14	David said to him, “How is it you were not afraid to put forth your hand to destroy the 
2SA.1.15	Then David called one of the young men and said, “Go, fall upon him.” And he smote him so that he died. 
2SA.1.16	And David said to him, “Your blood be upon your head; for your own mouth has testified against you, saying, ‘I have slain the 
2SA.1.17	And David lamented with this lamentation over Saul and Jonathan his son, 
2SA.1.18	and he said it
2SA.1.19	“Thy glory, O Israel, is slain upon thy high places!
2SA.1.19	How are the mighty fallen!
2SA.1.20	Tell it not in Gath,
2SA.1.20	publish it not in the streets of Ashkelon;
2SA.1.20	lest the daughters of the Philistines rejoice,
2SA.1.20	lest the daughters of the uncircumcised exult.
2SA.1.21	“Ye mountains of Gilboa,
2SA.1.21	let there be no dew or rain upon you,
2SA.1.21	nor upsurging of the deep!
2SA.1.21	For there the shield of the mighty was defiled,
2SA.1.21	the shield of Saul, not anointed with oil.
2SA.1.22	“From the blood of the slain,
2SA.1.22	from the fat of the mighty,
2SA.1.22	the bow of Jonathan turned not back,
2SA.1.22	and the sword of Saul returned not empty.
2SA.1.23	“Saul and Jonathan, beloved and lovely!
2SA.1.23	In life and in death they were not divided;
2SA.1.23	they were swifter than eagles,
2SA.1.23	they were stronger than lions.
2SA.1.24	“Ye daughters of Israel, weep over Saul,
2SA.1.24	who clothed you daintily in scarlet,
2SA.1.24	who put ornaments of gold upon your apparel.
2SA.1.25	“How are the mighty fallen
2SA.1.25	in the midst of the battle!
2SA.1.25	“Jonathan lies slain upon thy high places.
2SA.1.26	I am distressed for you, my brother Jonathan;
2SA.1.26	very pleasant have you been to me;
2SA.1.26	your love to me was wonderful,
2SA.1.26	passing the love of women.
2SA.1.27	“How are the mighty fallen,
2SA.1.27	and the weapons of war perished!”
2SA.2.1	After this David inquired of the 
2SA.2.2	So David went up there, and his two wives also, Ahino-am of Jezreel, and Abigail the widow of Nabal of Carmel. 
2SA.2.3	And David brought up his men who were with him, every one with his household; and they dwelt in the towns of Hebron. 
2SA.2.4	And the men of Judah came, and there they anointed David king over the house of Judah.
2SA.2.4	When they told David, “It was the men of Jabesh-gilead who buried Saul,” 
2SA.2.5	David sent messengers to the men of Jabesh-gilead, and said to them, “May you be blessed by the 
2SA.2.6	Now may the 
2SA.2.7	Now therefore let your hands be strong, and be valiant; for Saul your lord is dead, and the house of Judah has anointed me king over them.”
2SA.2.8	Now Abner the son of Ner, commander of Saul's army, had taken Ish-bosheth the son of Saul, and brought him over to Mahanaim; 
2SA.2.9	and he made him king over Gilead and the Ashurites and Jezreel and Ephraim and Benjamin and all Israel. 
2SA.2.10	Ish-bosheth, Saul's son, was forty years old when he began to reign over Israel, and he reigned two years. But the house of Judah followed David. 
2SA.2.11	And the time that David was king in Hebron over the house of Judah was seven years and six months.
2SA.2.12	Abner the son of Ner, and the servants of Ish-bosheth the son of Saul, went out from Mahanaim to Gibeon. 
2SA.2.13	And Joab the son of Zeruiah, and the servants of David, went out and met them at the pool of Gibeon; and they sat down, the one on the one side of the pool, and the other on the other side of the pool. 
2SA.2.14	And Abner said to Joab, “Let the young men arise and play before us.” And Joab said, “Let them arise.” 
2SA.2.15	Then they arose and passed over by number, twelve for Benjamin and Ish-bosheth the son of Saul, and twelve of the servants of David. 
2SA.2.16	And each caught his opponent by the head, and thrust his sword in his opponent's side; so they fell down together. Therefore that place was called Helkath-hazzurim,
2SA.2.17	And the battle was very fierce that day; and Abner and the men of Israel were beaten before the servants of David.
2SA.2.18	And the three sons of Zeruiah were there, Joab, Abishai, and Asahel. Now Asahel was as swift of foot as a wild gazelle; 
2SA.2.19	and Asahel pursued Abner, and as he went he turned neither to the right hand nor to the left from following Abner. 
2SA.2.20	Then Abner looked behind him and said, “Is it you, Asahel?” And he answered, “It is I.” 
2SA.2.21	Abner said to him, “Turn aside to your right hand or to your left, and seize one of the young men, and take his spoil.” But Asahel would not turn aside from following him. 
2SA.2.22	And Abner said again to Asahel, “Turn aside from following me; why should I smite you to the ground? How then could I lift up my face to your brother Joab?” 
2SA.2.23	But he refused to turn aside; therefore Abner smote him in the belly with the butt of his spear, so that the spear came out at his back; and he fell there, and died where he was. And all who came to the place where Asahel had fallen and died, stood still.
2SA.2.24	But Joab and Abishai pursued Abner; and as the sun was going down they came to the hill of Ammah, which lies before Giah on the way to the wilderness of Gibeon. 
2SA.2.25	And the Benjaminites gathered themselves together behind Abner, and became one band, and took their stand on the top of a hill. 
2SA.2.26	Then Abner called to Joab, “Shall the sword devour for ever? Do you not know that the end will be bitter? How long will it be before you bid your people turn from the pursuit of their brethren?” 
2SA.2.27	And Joab said, “As God lives, if you had not spoken, surely the men would have given up the pursuit of their brethren in the morning.” 
2SA.2.28	So Joab blew the trumpet; and all the men stopped, and pursued Israel no more, nor did they fight any more.
2SA.2.29	And Abner and his men went all that night through the Arabah; they crossed the Jordan, and marching the whole forenoon they came to Mahanaim. 
2SA.2.30	Joab returned from the pursuit of Abner; and when he had gathered all the people together, there were missing of David's servants nineteen men besides Asahel. 
2SA.2.31	But the servants of David had slain of Benjamin three hundred and sixty of Abner's men. 
2SA.2.32	And they took up Asahel, and buried him in the tomb of his father, which was at Bethlehem. And Joab and his men marched all night, and the day broke upon them at Hebron.
2SA.3.1	There was a long war between the house of Saul and the house of David; and David grew stronger and stronger, while the house of Saul became weaker and weaker.
2SA.3.3	and his second, Chile-ab, of Abigail the widow of Nabal of Carmel; and the third, Absalom the son of Maacah the daughter of Talmai king of Geshur; 
2SA.3.4	and the fourth, Adonijah the son of Haggith; and the fifth, Shephatiah the son of Abital; 
2SA.3.5	and the sixth, Ithre-am, of Eglah, David's wife. These were born to David in Hebron.
2SA.3.6	While there was war between the house of Saul and the house of David, Abner was making himself strong in the house of Saul. 
2SA.3.7	Now Saul had a concubine, whose name was Rizpah, the daughter of Aiah; and Ish-bosheth said to Abner, “Why have you gone in to my father's concubine?” 
2SA.3.8	Then Abner was very angry over the words of Ish-bosheth, and said, “Am I a dog's head of Judah? This day I keep showing loyalty to the house of Saul your father, to his brothers, and to his friends, and have not given you into the hand of David; and yet you charge me today with a fault concerning a woman. 
2SA.3.9	God do so to Abner and more also, if I do not accomplish for David what the 
2SA.3.10	to transfer the kingdom from the house of Saul, and set up the throne of David over Israel and over Judah, from Dan to Beer-sheba.” 
2SA.3.11	And Ish-bosheth could not answer Abner another word, because he feared him.
2SA.3.12	And Abner sent messengers to David at Hebron,
2SA.3.13	And he said, “Good; I will make a covenant with you; but one thing I require of you; that is, you shall not see my face, unless you first bring Michal, Saul's daughter, when you come to see my face.” 
2SA.3.14	Then David sent messengers to Ish-bosheth Saul's son, saying, “Give me my wife Michal, whom I betrothed at the price of a hundred foreskins of the Philistines.” 
2SA.3.15	And Ish-bosheth sent, and took her from her husband Palti-el the son of Laish. 
2SA.3.16	But her husband went with her, weeping after her all the way to Bahurim. Then Abner said to him, “Go, return”; and he returned.
2SA.3.17	And Abner conferred with the elders of Israel, saying, “For some time past you have been seeking David as king over you. 
2SA.3.18	Now then bring it about; for the 
2SA.3.19	Abner also spoke to Benjamin; and then Abner went to tell David at Hebron all that Israel and the whole house of Benjamin thought good to do.
2SA.3.20	When Abner came with twenty men to David at Hebron, David made a feast for Abner and the men who were with him. 
2SA.3.21	And Abner said to David, “I will arise and go, and will gather all Israel to my lord the king, that they may make a covenant with you, and that you may reign over all that your heart desires.” So David sent Abner away; and he went in peace.
2SA.3.22	Just then the servants of David arrived with Joab from a raid, bringing much spoil with them. But Abner was not with David at Hebron, for he had sent him away, and he had gone in peace. 
2SA.3.23	When Joab and all the army that was with him came, it was told Joab, “Abner the son of Ner came to the king, and he has let him go, and he has gone in peace.” 
2SA.3.24	Then Joab went to the king and said, “What have you done? Behold, Abner came to you; why is it that you have sent him away, so that he is gone? 
2SA.3.25	You know that Abner the son of Ner came to deceive you, and to know your going out and your coming in, and to know all that you are doing.”
2SA.3.26	When Joab came out from David's presence, he sent messengers after Abner, and they brought him back from the cistern of Sirah; but David did not know about it. 
2SA.3.27	And when Abner returned to Hebron, Joab took him aside into the midst of the gate to speak with him privately, and there he smote him in the belly, so that he died, for the blood of Asahel his brother. 
2SA.3.28	Afterward, when David heard of it, he said, “I and my kingdom are for ever guiltless before the 
2SA.3.29	May it fall upon the head of Joab, and upon all his father's house; and may the house of Joab never be without one who has a discharge, or who is leprous, or who holds a spindle, or who is slain by the sword, or who lacks bread!” 
2SA.3.30	So Joab and Abishai his brother slew Abner, because he had killed their brother Asahel in the battle at Gibeon.
2SA.3.31	Then David said to Joab and to all the people who were with him, “Rend your clothes, and gird on sackcloth, and mourn before Abner.” And King David followed the bier. 
2SA.3.32	They buried Abner at Hebron; and the king lifted up his voice and wept at the grave of Abner; and all the people wept. 
2SA.3.33	And the king lamented for Abner, saying,
2SA.3.33	“Should Abner die as a fool dies?
2SA.3.34	Your hands were not bound,
2SA.3.34	your feet were not fettered;
2SA.3.34	as one falls before the wicked
2SA.3.34	you have fallen.”
2SA.3.34	And all the people wept again over him. 
2SA.3.35	Then all the people came to persuade David to eat bread while it was yet day; but David swore, saying, “God do so to me and more also, if I taste bread or anything else till the sun goes down!” 
2SA.3.36	And all the people took notice of it, and it pleased them; as everything that the king did pleased all the people. 
2SA.3.37	So all the people and all Israel understood that day that it had not been the king's will to slay Abner the son of Ner. 
2SA.3.38	And the king said to his servants, “Do you not know that a prince and a great man has fallen this day in Israel? 
2SA.3.39	And I am this day weak, though anointed king; these men the sons of Zeruiah are too hard for me. The 
2SA.4.1	When Ish-bosheth, Saul's son, heard that Abner had died at Hebron, his courage failed, and all Israel was dismayed. 
2SA.4.2	Now Saul's son had two men who were captains of raiding bands; the name of the one was Baanah, and the name of the other Rechab, sons of Rimmon a man of Benjamin from Be-eroth (for Be-eroth also is reckoned to Benjamin; 
2SA.4.3	the Be-erothites fled to Gittaim, and have been sojourners there to this day).
